   BhP_02.01.001/0 śrīśuka uvāca	BhP_02.01.001/0 SrI-SukaH uvAca
   BhP_02.05.004/3 ekaḥ sṛjasi bhūtāni bhūtairevātmamāyayā	Bhu-_02.05.004/3 ekaH sRjasi BUtAni BUtEH-eva-Atma-mAyayA
   BhP_02.05.005/1 ātman bhāvayase tāni na parābhāvayan svayam	Bhu-_02.05.005/1 Atman BAvayase tAni na parABAvayan svayam
   BhP_02.05.005/3 ātmaśaktim avaṣṭabhya ūrṇanābhirivāklamaḥ	Bhu-_02.05.005/3 Atma-Saktim avazwaBya UrNanABiH-iva-aklamaH
   BhP_02.05.006/1 nāhaṃ veda paraṃ hyasmin nāparaṃ na samaṃ vibho	Bhu-_02.05.006/1 na-aham veda param hi-asmin na-aparam na samam viBo
   BhP_02.05.006/3 nāmarūpaguṇairbhāvyaṃ sadasat kiñcidanyataḥ	Bhu-_02.05.006/3 nAma-rUpa-guNEH-BAvyam sat-asat kiQcid-anyataH
   BhP_02.05.007/1 sa bhavān acaradghoraṃ yat tapaḥ susamāhitaḥ	Bhu-_02.05.007/1 sa BavAn acarat-Goram yat tapaH su-samAhitaH
   BhP_02.05.007/3 tena khedayase nastvaṃ parāśaṅkāṃ ca yacchasi	Bhu-_02.05.007/3 tena Kedayase naH-tvam parASaFkAm ca yacCasi
   BhP_02.05.008/1 etan me pṛcchataḥ sarvaṃ sarvajña sakaleśvara	Bhu-_02.05.008/1 etat me pRcCataH sarvam sarvajQa sakala-ISvara
   BhP_02.05.008/3 vijānīhi yathaivedam ahaṃ budhye 'nuśāsitaḥ	BhP-_02.05.008/3 vijAnIhi yaTA-eva-idam aham buDye anuSAsitaH
   BhP_02.05.009/0 brahmovāca	Bhu-_02.05.009/0 brahmA-uvAca
   BhP_02.05.009/1 samyak kāruṇikasyedaṃ vatsa te vicikitsitam	Bhu-_02.05.009/1 samyak kAruNikasya-idam vatsa te vicikitsitam
   BhP_02.05.009/3 yadahaṃ coditaḥ saumya bhagavadvīryadarśane	Bhu-_02.05.009/3 yat-aham coditaH sOmya Bagavat-vIrya-darSane
   BhP_02.05.010/1 nānṛtaṃ tava tac cāpi yathā māṃ prabravīṣi bhoḥ	Bhu-_02.05.010/1 na-anRtam tava tat ca-api yaTA mAm prabravIzi BoH
   BhP_02.05.010/3 avijñāya paraṃ matta etāvat tvaṃ yato hi me	Bhu-_02.05.010/3 avijQAya param mattaH etAvat tvam yatas hi me
   BhP_02.05.011/1 yena svarociṣā viśvaṃ rocitaṃ rocayāmyaham	Bhu-_02.05.011/1 yena sva-rocizA viSvam rocitam rocayAmi-aham
   BhP_02.05.011/3 yathārko 'gniryathā somo yatharkṣagrahatārakāḥ	Bhu-_02.05.011/3 yaTA-arkaH agniH-yaTA somaH yaTa-Rkza-graha-tArakAH
   BhP_02.05.012/1 tasmai namo bhagavate vāsudevāya dhīmahi	Bhu-_02.05.012/1 tasmE namaH Bagavate vAsudevAya DImahi
   BhP_02.05.012/3 yanmāyayā durjayayā māṃ vadanti jagadgurum	Bhu-_02.05.012/3 yad-mAyayA durjayayA mAm vadanti jagadgurum
   BhP_02.05.013/1 vilajjamānayā yasya sthātum īkṣāpathe 'muyā	Bhu-_02.05.013/1 vilajjamAnayA yasya sTAtum IkzA-paTe amuyA
   BhP_02.05.013/3 vimohitā vikatthante mamāham iti durdhiyaḥ	Bhu-_02.05.013/3 vimohitAH vikatTante mama-aham iti durDiyaH
   BhP_02.05.014/1 dravyaṃ karma ca kālaśca svabhāvo jīva eva ca	Bhu-_02.05.014/1 dravyam karma ca kAlaH-ca svaBAvaH jIvaH eva ca
   BhP_02.05.014/3 vāsudevāt paro brahman na cānyo 'rtho 'sti tattvataḥ	Bhu-_02.05.014/3 vAsudevAt paraH brahman na ca-anyaH arTaH asti tattvataH
   BhP_02.05.015/1 nārāyaṇaparā vedā devā nārāyaṇāṅgajāḥ	Bhu-_02.05.015/1 nArAyaNa-parAH vedAH devAH nArAyaNa-aFga-jAH
   BhP_02.05.015/3 nārāyaṇaparā lokā nārāyaṇaparā makhāḥ	Bhu-_02.05.015/3 nArAyaNa-parAH lokAH nArAyaNa-parAH maKAH
   BhP_02.05.016/1 nārāyaṇaparo yogo nārāyaṇaparaṃ tapaḥ	Bhu-_02.05.016/1 nArAyaNa-paraH yogaH nArAyaNa-param tapaH
   BhP_02.05.016/3 nārāyaṇaparaṃ jñānaṃ nārāyaṇaparā gatiḥ	Bhu-_02.05.016/3 nArAyaNa-param jQAnam nArAyaNa-parA gatiH
   BhP_02.05.017/1 tasyāpi draṣṭurīśasya kūṭasthasyākhilātmanaḥ	Bhu-_02.05.017/1 tasya-api drazwuH-ISasya kUwasTasya-aKila-AtmanaH
   BhP_02.05.017/3 sṛjyaṃ sṛjāmi sṛṣṭo 'ham īkṣayaivābhicoditaḥ	Bhu-_02.05.017/3 sRjyam sRjAmi sRzwaH aham IkzayA-eva-aBicoditaH
   BhP_02.05.018/1 sattvaṃ rajastama iti nirguṇasya guṇāstrayaḥ	Bhu-_02.05.018/1 sattvam rajaH-tamaH iti nirguNasya guNAH-trayaH
   BhP_02.05.018/3 sthitisarganirodheṣu gṛhītā māyayā vibhoḥ	Bhu-_02.05.018/3 sTiti-sarga-niroDezu gRhItAH mAyayA viBoH
   BhP_02.05.019/1 kāryakāraṇakartṛtve dravyajñānakriyāśrayāḥ	Bhu-_02.05.019/1 kArya-kAraNa-kartR-tve dravya-jQAna-kriyA-ASrayAH
   BhP_02.05.019/3 badhnanti nityadā muktaṃ māyinaṃ puruṣaṃ guṇāḥ	Bhu-_02.05.019/3 baDnanti nityadA muktam mAyinam puruzam guNAH
   BhP_02.05.020/1 sa eṣa bhagavāṃl liṅgaistribhiretairadhokṣajaḥ	Bhu-_02.05.020/1 saH eza BagavAn liFgEH-triBiH-etEH-aDokzajaH
   BhP_02.05.020/3 svalakṣitagatirbrahman sarveṣāṃ mama ceśvaraḥ	Bhu-_02.05.020/3 sva-lakzita-gatiH-brahman sarvezAm mama ca-ISvaraH
   BhP_02.05.021/1 kālaṃ karma svabhāvaṃ ca māyeśo māyayā svayā	BhP_02.05.021/1 kAlam karma svaBAvam ca mAyA-ISaH mAyayA svayA
   BhP_02.05.021/3 ātman yadṛcchayā prāptaṃ vibubhūṣurupādade	Bhu-_02.05.021/3 Atman yadRcCayA prAptam vibuBUzuH-upAdade
   BhP_02.05.022/1 kālādguṇavyatikaraḥ pariṇāmaḥ svabhāvataḥ	Bhu-_02.05.022/1 kAlAt-guNa-vyatikaraH pariNAmaH svaBAvataH
   BhP_02.05.022/3 karmaṇo janma mahataḥ puruṣādhiṣṭhitādabhūt	BhP_02.05.022/3 karmaNaH janma mahataH puruza-aDizWitAt-aBUt-
   BhP_02.05.023/1 mahatastu vikurvāṇādrajaḥsattvopabṛṃhitāt	Bhu-_02.05.023/1 mahataH-tu vikurvANAt-rajaH-sattva-upabRMhitAt
   BhP_02.05.023/3 tamaḥpradhānastvabhavaddravyajñānakriyātmakaḥ	Bhu-_02.05.023/3 tamaH-praDAnaH-tu-aBavat-dravya-jQAna-kriyA-AtmakaH
   BhP_02.05.024/1 so 'haṅkāra iti prokto vikurvan samabhūt tridhā	Bhu-_02.05.024/1 saH ahaFkAraH iti proktaH vikurvan samaBUt triDA
   BhP_02.05.024/3 vaikārikastaijasaśca tāmasaśceti yadbhidā	BhP_02.05.024/3 vEkArikaH-tEjasaH-ca tAmasaH-ca-iti yat-BidA
   BhP_02.05.024/5 dravyaśaktiḥ kriyāśaktirjñānaśaktiriti prabho	Bhu-_02.05.024/5 dravya-SaktiH kriyASaktiH-jQAnaSaktiH-iti praBo
   BhP_02.05.025/1 tāmasādapi bhūtādervikurvāṇādabhūn nabhaḥ	Bhu-_02.05.025/1 tAmasAt-api BUtAdeH-vikurvANAt-aBUt naBaH
   BhP_02.05.025/3 tasya mātrā guṇaḥ śabdo liṅgaṃ yaddraṣṭṛdṛśyayoḥ	Bhu-_02.05.025/3 tasya mAtrA guNaH SabdaH liFgam yat-drazwR-dRSyayoH
   BhP_02.05.026/1 nabhaso 'tha vikurvāṇādabhūt sparśaguṇo 'nilaḥ	Bhu-_02.05.026/1 naBasaH aTa vikurvANAt-aBUt sparSa-guNaH anilaH
   BhP_02.05.026/3 parānvayāc chabdavāṃśca prāṇa ojaḥ saho balam	Bhu-_02.05.026/3 para-anvayAt SabdavAn=-ca prANaH ojaH sahaH balam
   BhP_02.05.027/1 vāyorapi vikurvāṇāt kālakarmasvabhāvataḥ	Bhu-_02.05.027/1 vAyoH-api vikurvANAt kAla-karma-svaBAvataH
   BhP_02.05.027/3 udapadyata tejo vai rūpavat sparśaśabdavat	Bhu-_02.05.027/3 udapadyata tejaH vE rUpavat sparSa-Sabda-vat-
   BhP_02.05.028/1 tejasastu vikurvāṇādāsīdambho rasātmakam	Bhu-_02.05.028/1 tejasaH-tu vikurvANAt-AsIt-amBaH rasa-Atmakam
   BhP_02.05.028/3 rūpavat sparśavac cāmbho ghoṣavac ca parānvayāt	Bhu-_02.05.028/3 rUpavat sparSa-vat ca-amBaH Gozavat ca para-anvayAt-
   BhP_02.05.029/1 viśeṣastu vikurvāṇādambhaso gandhavān abhūt	Bhu-_02.05.029/1 viSezaH-tu vikurvANAt-amBasaH ganDavAn aBUt-
   BhP_02.05.029/3 parānvayādrasasparśa śabdarūpaguṇānvitaḥ	Bhu-_02.05.029/3 para-anvayAt-rasa-sparSa Sabda-rUpa-guNa-anvitaH
   BhP_02.05.030/1 vaikārikān mano jajñe devā vaikārikā daśa	Bhu-_02.05.030/1 vEkArikAt manaH jajQe devAH vEkArikAH daSa
   BhP_02.05.030/3 digvātārkapraceto 'śvi vahnīndropendramitrakāḥ	Bhu-_02.05.030/3 digvAta-arka-pracetaH aSvi vahni-indra-upendra-mitrakAH
   BhP_02.05.031/1 taijasāt tu vikurvāṇādindriyāṇi daśābhavan	Bhu-_02.05.031/1 tEjasAt tu vikurvANAt-indriyANi daSa-aBavan
   BhP_02.05.031/3 jñānaśaktiḥ kriyāśaktirbuddhiḥ prāṇaśca taijasau	Bhu-_02.05.031/3 jQAnaSaktiH kriyASaktiH-budDiH prANaH-ca tEjasO
   BhP_02.05.031/5 śrotraṃ tvagghrāṇadṛgjihvā vāgdormeḍhrāṅghripāyavaḥ	Bhu-_02.05.031/5 Srotram tvac-GrANa-dRS-jihvA vAc-dos-meXra-aFGri-pAyavaH
   BhP_02.05.032/1 yadaite 'saṅgatā bhāvā bhūtendriyamanoguṇāḥ	Bhu-_02.05.032/1 yadA-ete asaFga-tA BAvAH BUta-indriya-manaH-guNAH
   BhP_02.05.032/3 yadāyatananirmāṇe na śekurbrahmavittama	Bhu-_02.05.032/3 yat-Ayatana-nirmANe na SekuH-brahma-vittama
   BhP_02.05.033/1 tadā saṃhatya cānyonyaṃ bhagavacchakticoditāḥ	Bhu-_02.05.033/1 tadA saMhatya ca-anyonyam Bagavat-Sakti-coditAH
   BhP_02.05.033/3 sadasattvam upādāya cobhayaṃ sasṛjurhyadaḥ	Bhu-_02.05.033/3 sat-asat-tvam upAdAya ca-uBayam sasRjuH-hi-adaH
   BhP_02.05.034/1 varṣapūgasahasrānte tadaṇḍam udake śayam	Bhu-_02.05.034/1 varza-pUga-sahasra-ante tad-aNxam udake Sayam
   BhP_02.05.034/3 kālakarmasvabhāvastho jīvo ñjīvam ajīvayat	Bhu-_02.05.034/3 kAla-karma-svaBAva-sTaH jIvaH QjIvam ajIvayat-
   BhP_02.05.035/1 sa eva puruṣastasmādaṇḍaṃ nirbhidya nirgataḥ	Bhu-_02.05.035/1 saH eva puruzaH-tasmAt-aNxam nirBidya nirgataH
   BhP_02.05.035/3 sahasrorvaṅghribāhvakṣaḥ sahasrānanaśīrṣavān	Bhu-_02.05.035/3 sahasra-Uru-aFGri-bAhu-akzaH sahasra-Anana-SIrzavAn
   BhP_02.05.036/1 yasyehāvayavairlokān kalpayanti manīṣiṇaḥ	Bhu-_02.05.036/1 yasya-iha-avayavEH-lokAn kalpayanti manIziNaH
   BhP_02.05.036/3 kaṭyādibhiradhaḥ sapta saptordhvaṃ jaghanādibhiḥ	Bhu-_02.05.036/3 kawi-AdiBiH-aDas sapta sapta-UrDvam jaGana-AdiBiH
   BhP_02.05.037/1 puruṣasya mukhaṃ brahma kṣatram etasya bāhavaḥ	Bhu-_02.05.037/1 puruzasya muKam brahma kzatram etasya bAhavaH
   BhP_02.05.037/3 ūrvorvaiśyo bhagavataḥ padbhyāṃ śūdro vyajāyata	Bhu-_02.05.037/3 UrvoH-vESyaH BagavataH padByAm SUdraH vyajAyata
   BhP_02.05.038/1 bhūrlokaḥ kalpitaḥ padbhyāṃ bhuvarloko 'sya nābhitaḥ	BhP_02.05.038/1 BUrlokaH kalpitaH padByAm BuvarlokaH asya nABitaH
   BhP_02.05.038/3 hṛdā svarloka urasā maharloko mahātmanaḥ	Bhu-_02.05.038/3 hRdA svar-loke urasA mahar-lokaH mahAtmanaH
   BhP_02.05.039/1 grīvāyāṃ janaloko 'sya tapolokaḥ stanadvayāt	Bhu-_02.05.039/1 grIvAyAm janalokaH asya tapolokaH stana-dvayAt
   BhP_02.05.039/3 mūrdhabhiḥ satyalokastu brahmalokaḥ sanātanaḥ	Bhu-_02.05.039/3 mUrDaBiH satya-lokaH-tu brahma-lokaH sanAtanaH
   BhP_02.05.040/1 tatkaṭyāṃ cātalaṃ kḷptam ūrubhyāṃ vitalaṃ vibhoḥ	Bhu-_02.05.040/1 tad-kawyAm ca-atalam k?ptam UruByAm vitalam viBoH
   BhP_02.05.040/3 jānubhyāṃ sutalaṃ śuddhaṃ jaṅghābhyāṃ tu talātalam	Bhu-_02.05.040/3 jAnuByAm sutalam SudDam jaFGAByAm tu talAtalam
   BhP_02.05.041/1 mahātalaṃ tu gulphābhyāṃ prapadābhyāṃ rasātalam	Bhu-_02.05.041/1 mahAtalam tu gulPAByAm prapadAByAm rasAtalam
   BhP_02.05.041/3 pātālaṃ pādatalata iti lokamayaḥ pumān	Bhu-_02.05.041/3 pAtAlam pAda-talataH iti loka-mayaH pumAn
   BhP_02.05.042/1 bhūrlokaḥ kalpitaḥ padbhyāṃ bhuvarloko 'sya nābhitaḥ	BhP_02.05.042/1 BUrlokaH kalpitaH padByAm BuvarlokaH asya nABitaH
   BhP_02.05.042/3 svarlokaḥ kalpito mūrdhnā iti vā lokakalpanā	BhP_02.05.042/3 svarlokaH kalpitaH mUrDnA iti vA loka-kalpanA
   BhP_02.06.001/0 brahmovāca	Bhu-_02.06.001/0 brahmA-uvAca
   BhP_02.06.001/1 vācāṃ vahnermukhaṃ kṣetraṃ chandasāṃ sapta dhātavaḥ	Bhu-_02.06.001/1 vAcAm vahneH-muKam kzetram CandasAm sapta DAtavaH
   BhP_02.06.001/3 havyakavyāmṛtānnānāṃ jihvā sarvarasasya ca	Bhu-_02.06.001/3 havya-kavya-amRta-annAnAm jihvA sarva-rasasya ca
   BhP_02.06.002/1 sarvāsūnāṃ ca vāyośca tannāse paramāyaṇe	Bhu-_02.06.002/1 sarva-asUnAm ca vAyoH-ca tad-nAse paramAyaNe
   BhP_02.06.002/3 aśvinoroṣadhīnāṃ ca ghrāṇo modapramodayoḥ	BhP_02.06.002/3 aSvinoH-ozaDInAm ca GrANaH moda-pramodayoH
   BhP_02.06.003/1 rūpāṇāṃ tejasāṃ cakṣurdivaḥ sūryasya cākṣiṇī	Bhu-_02.06.003/1 rUpANAm tejasAm cakzuH-divaH sUryasya ca-akziNI
   BhP_02.06.003/3 karṇau diśāṃ ca tīrthānāṃ śrotram ākāśaśabdayoḥ	Bhu-_02.06.003/3 karNO diSAm ca tIrTAnAm Srotram AkASa-SabdayoH
   BhP_02.06.003/5 tadgātraṃ vastusārāṇāṃ saubhagasya ca bhājanam	Bhu-_02.06.003/5 tad-gAtram vastu-sArANAm sOBagasya ca BAjanam
   BhP_02.06.004/1 tvag asya sparśavāyośca sarvamedhasya caiva hi	Bhu-_02.06.004/1 tvac asya sparSavAyoH-ca sarvameDasya ca-eva hi
   BhP_02.06.004/3 romāṇyudbhijjajātīnāṃ yairvā yajñastu sambhṛtaḥ	BhP_02.06.004/3 romANi-udBid-ja-jAtInAm yEH-vA yajQaH-tu samBRtaH
   BhP_02.06.005/1 keśaśmaśrunakhānyasya śilālohābhravidyutām	Bhu-_02.06.005/1 keSa-SmaSru-naKAni-asya SilA-loha-aBra-vidyutAm
   BhP_02.06.005/3 bāhavo lokapālānāṃ prāyaśaḥ kṣemakarmaṇām	Bhu-_02.06.005/3 bAhavaH lokapAlAnAm prAyaSas kzema-karmaNAm
   BhP_02.06.006/1 vikramo bhūrbhuvaḥ svaśca kṣemasya śaraṇasya ca	Bhu-_02.06.006/1 vikramaH BUH-BuvaH svar-ca kzemasya SaraNasya ca
   BhP_02.06.006/3 sarvakāmavarasyāpi hareścaraṇa āspadam	Bhu-_02.06.006/3 sarva-kAma-varasya-api hareH-caraNaH Aspadam
   BhP_02.06.007/1 apāṃ vīryasya sargasya parjanyasya prajāpateḥ	Bhu-_02.06.007/1 apAm vIryasya sargasya parjanyasya prajApateH
   BhP_02.06.007/3 puṃsaḥ śiśna upasthastu prajātyānandanirvṛteḥ	BhP-_02.06.007/3 puMsaH SiSnaH upasTaH-tu prajA-ati-Ananda-nirvRteH
   BhP_02.06.008/1 pāyuryamasya mitrasya parimokṣasya nārada	Bhu-_02.06.008/1 pAyuH-yamasya mitrasya parimokzasya nArada
   BhP_02.06.008/3 hiṃsāyā nirṛtermṛtyornirayasya gudaṃ smṛtaḥ	Bhu-_02.06.008/3 hiMsAyAH nirRteH-mRtyoH-nirayasya gudam smRtaH
   BhP_02.06.009/1 parābhūteradharmasya tamasaścāpi paścimaḥ	Bhu-_02.06.009/1 parABUteH-aDarmasya tamasaH-ca-api paScimaH
   BhP_02.06.009/3 nāḍyo nadanadīnāṃ ca gotrāṇām asthisaṃhatiḥ	Bhu-_02.06.009/3 nAxyaH nadanadInAm ca gotrANAm asTi-saMhatiH
   BhP_02.06.010/1 avyaktarasasindhūnāṃ bhūtānāṃ nidhanasya ca	Bhu-_02.06.010/1 avyakta-rasa-sinDUnAm BUtAnAm niDanasya ca
   BhP_02.06.010/3 udaraṃ viditaṃ puṃso hṛdayaṃ manasaḥ padam	Bhu-_02.06.010/3 udaram viditam puMsaH hRdayam manasaH padam
   BhP_02.06.011/1 dharmasya mama tubhyaṃ ca kumārāṇāṃ bhavasya ca	Bhu-_02.06.011/1 Darmasya mama tuByam ca kumArANAm Bavasya ca
   BhP_02.06.011/3 vijñānasya ca sattvasya parasyātmā parāyaṇam	Bhu-_02.06.011/3 vijQAnasya ca sattvasya parasya-AtmA parAyaNam
   BhP_02.06.012/1 ahaṃ bhavān bhavaścaiva ta ime munayo 'grajāḥ	Bhu-_02.06.012/1 aham BavAn BavaH-ca-eva te ime munayaH agrajAH
   BhP_02.06.012/3 surāsuranarā nāgāḥ khagā mṛgasarīsṛpāḥ	Bhu-_02.06.012/3 sura-asura-narAH nAgAH KagAH mRga-sarIsRpAH
   BhP_02.06.013/1 gandharvāpsaraso yakṣā rakṣobhūtagaṇoragāḥ	Bhu-_02.06.013/1 ganDarva-apsarasaH yakzAH rakzaH-BUta-gaNa-uragAH
   BhP_02.06.013/3 paśavaḥ pitaraḥ siddhā vidyādhrāścāraṇā drumāḥ	Bhu-_02.06.013/3 paSavaH pitaraH sidDAH vidyADrAH-cAraNAH drumAH
   BhP_02.06.014/1 anye ca vividhā jīvājalasthalanabhaukasaḥ	Bhu-_02.06.014/1 anye ca viviDAH jIvA-jala-sTala-naBa-okasaH
   BhP_02.06.014/3 graharkṣaketavastārāstaḍitaḥ stanayitnavaḥ	Bhu-_02.06.014/3 graha-Rkza-ketavaH-tArAH-taxitaH stanayitnavaH
   BhP_02.06.015/1 sarvaṃ puruṣa evedaṃ bhūtaṃ bhavyaṃ bhavac ca yat	Bhu-_02.06.015/1 sarvam puruzaH eva-idam BUtam Bavyam Bavat ca yat-
   BhP_02.06.015/3 tenedam āvṛtaṃ viśvaṃ vitastim adhitiṣṭhati	Bhu-_02.06.015/3 tena-idam AvRtam viSvam vitastim aDitizWati
   BhP_02.06.016/1 svadhiṣṇyaṃ pratapan prāṇo bahiśca pratapatyasau	Bhu-_02.06.016/1 sva-DizNyam pratapan prANaH bahis-ca pratapati-asO
   BhP_02.06.016/3 evaṃ virājaṃ pratapaṃstapatyantarbahiḥ pumān	Bhu-_02.06.016/3 evam virAjam pratapan=-tapati-antar-bahis pumAn
   BhP_02.06.017/1 so 'mṛtasyābhayasyeśo martyam annaṃ yadatyagāt	Bhu-_02.06.017/1 saH amRtasya-aBayasya-ISaH martyam annam yat-atyagAt
   BhP_02.06.017/3 mahimaiṣa tato brahman puruṣasya duratyayaḥ	Bhu-_02.06.017/3 mahimA-eza tatas brahman puruzasya duratyayaH
   BhP_02.06.018/1 pādeṣu sarvabhūtāni puṃsaḥ sthitipado viduḥ	Bhu-_02.06.018/1 pAdezu sarva-BUtAni puMsaH sTiti-padaH viduH
   BhP_02.06.018/3 amṛtaṃ kṣemam abhayaṃ trimūrdhno 'dhāyi mūrdhasu	Bhu-_02.06.018/3 amRtam kzemam aBayam trimUrDnaH aDAyi mUrDasu
   BhP_02.06.019/1 pādāstrayo bahiścāsann aprajānāṃ ya āśramāḥ	Bhu-_02.06.019/1 pAdAH-trayaH bahis-ca-Asan aprajAnAm yaH ASramAH
   BhP_02.06.019/3 antastrilokyāstvaparo gṛhamedho 'bṛhadvrataḥ	Bhu-_02.06.019/3 antar-trilokyAH-tu-aparaH gRhameDaH abRhat-vrataH
   BhP_02.06.020/1 sṛtī vicakrame viśvam sāśanānaśane ubhe	Bha-a_02.06.020/1 sRtI vicakrame viSvam sa-aSana-anaSane uBe
   BhP_02.06.020/3 yadavidyā ca vidyā ca puruṣastūbhayāśrayaḥ	Bhu-_02.06.020/3 yat-avidyA ca vidyA ca puruzaH-tu-uBaya-ASrayaH
   BhP_02.06.021/1 yasmādaṇḍaṃ virāḍjajñe bhūtendriyaguṇātmakaḥ	Bhu-_02.06.021/1 yasmAt-aNxam virAj-jajQe BUta-indriya-guNa-AtmakaH
   BhP_02.06.021/3 taddravyam atyagādviśvaṃ gobhiḥ sūrya ivātapan	Bhu-_02.06.021/3 tat-dravyam atyagAt-viSvam goBiH sUryaH iva-Atapan
   BhP_02.06.022/1 yadāsya nābhyān nalinādaham āsaṃ mahātmanaḥ	Bhu-_02.06.022/1 yadA-asya nAByAt nalinAt-aham Asam mahAtmanaH
   BhP_02.06.022/3 nāvidaṃ yajñasambhārān puruṣāvayavān ṛte	Bhu-_02.06.022/3 na-avidam yajQa-samBArAn puruza-avayavAn Rte
   BhP_02.06.023/1 teṣu yajñasya paśavaḥ savanaspatayaḥ kuśāḥ	Bhu-_02.06.023/1 tezu yajQasya paSavaH sa-vanaspatayaH kuSAH
   BhP_02.06.023/3 idaṃ ca devayajanaṃ kālaścoruguṇānvitaḥ	Bhu-_02.06.023/3 idam ca devayajanam kAlaH-ca-uru-guNa-anvitaH
   BhP_02.06.024/1 vastūnyoṣadhayaḥ snehā rasalohamṛdo jalam	Bhu-_02.06.024/1 vastUni-ozaDayaH snehAH rasaloha-mRdaH jalam
   BhP_02.06.024/3 ṛco yajūṃṣi sāmāni cāturhotraṃ ca sattama	Bhu-_02.06.024/3 RcaH yajUMzi sAmAni cAturhotram ca sattama
   BhP_02.06.025/1 nāmadheyāni mantrāśca dakṣiṇāśca vratāni ca	Bhu-_02.06.025/1 nAmaDeyAni mantrAH-ca dakziNAH-ca vratAni ca
   BhP_02.06.025/3 devatānukramaḥ kalpaḥ saṅkalpastantram eva ca	Bhu-_02.06.025/3 devatA-anukramaH kalpaH saFkalpaH-tantram eva ca
   BhP_02.06.026/1 gatayo matayaścaiva prāyaścittaṃ samarpaṇam	Bhu-_02.06.026/1 gatayaH matayaH-ca-eva prAyaScittam samarpaNam
   BhP_02.06.026/3 puruṣāvayavairete sambhārāḥ sambhṛtā mayā	Bhu-_02.06.026/3 puruza-avayavEH-ete samBArAH samBRtA mayA
   BhP_02.06.027/1 iti sambhṛtasambhāraḥ puruṣāvayavairaham	BhP_02.06.027/1 iti samBRta-samBAraH puruza-avayavEH-aham
   BhP_02.06.027/3 tam eva puruṣaṃ yajñaṃ tenaivāyajam īśvaram	Bhu-_02.06.027/3 tam eva puruzam yajQam tena-eva-ayajam ISvaram
   BhP_02.06.028/1 tataste bhrātara ime prajānāṃ patayo nava	Bhu-_02.06.028/1 tatas-te BrAtaraH ime prajAnAm patayaH nava
   BhP_02.06.028/3 ayajan vyaktam avyaktaṃ puruṣaṃ susamāhitāḥ	Bhu-_02.06.028/3 ayajan vyaktam avyaktam puruzam su-samAhitAH
   BhP_02.06.029/1 tataśca manavaḥ kāle ījire ṛṣayo 'pare	Bhu-_02.06.029/1 tatas-ca manavaH kAle Ijire RzayaH apare
   BhP_02.06.029/3 pitaro vibudhā daityā manuṣyāḥ kratubhirvibhum	Bhu-_02.06.029/3 pitaraH vibuDAH dEtyAH manuzyAH kratuBiH-viBum
   BhP_02.06.030/1 nārāyaṇe bhagavati tadidaṃ viśvam āhitam	Bhu-_02.06.030/1 nArAyaNe Bagavati tat-idam viSvam Ahitam
   BhP_02.06.030/3 gṛhītamāyoruguṇaḥ sargādāvaguṇaḥ svataḥ	Bhu-_02.06.030/3 gRhIta-mAyA-uru-guNaH sarga-AdO=-aguNaH svatas-
   BhP_02.06.031/1 sṛjāmi tanniyukto 'haṃ haro harati tadvaśaḥ	BhP_02.06.031/1 sRjAmi tad-niyuktaH aham haraH harati tad-vaSaH
   BhP_02.06.031/3 viśvaṃ puruṣarūpeṇa paripāti triśaktidhṛk	Bhu-_02.06.031/3 viSvam puruza-rUpeNa paripAti tri-Sakti-DRk-
   BhP_02.06.032/1 iti te 'bhihitaṃ tāta yathedam anupṛcchasi	Bhu-_02.06.032/1 iti te aBihitam tAta yaTA-idam anupRcCasi
   BhP_02.06.032/3 nānyadbhagavataḥ kiñcidbhāvyaṃ sadasadātmakam	Bhu-_02.06.032/3 na-anyat-BagavataH kiQcid-BAvyam sat-asat-Atmakam
   BhP_02.06.033/1 na bhāratī me 'ṅga mṛṣopalakṣyate na vai kvacin me manaso	Bhu-_02.06.033/1 na BAratI me aFga mRzA-upalakzyate na vE kvacid me manasaH-
   mṛṣā gatiḥ	mRzA gatiH
   BhP_02.06.033/3 na me hṛṣīkāṇi patantyasatpathe yan me hṛdautkaṇṭhyavatā	Bhu-_02.06.033/3 na me hRzIkANi patanti-asat-paTe yat me hRdA-OtkaNWyavatA
   dhṛto hariḥ	DRtaH hariH
   BhP_02.06.034/1 so 'haṃ samāmnāyamayastapomayaḥ prajāpatīnām abhivanditaḥ	Bhu-_02.06.034/1 saH aham samAmnAya-mayaH-tapaH-mayaH prajApatInAm aBivanditaH
   patiḥ	patiH
   BhP_02.06.034/3 āsthāya yogaṃ nipuṇaṃ samāhitastaṃ nādhyagacchaṃ yata	Bhu-_02.06.034/3 AsTAya yogam nipuNam samAhitaH-tam na-aDyagacCam yata
   ātmasambhavaḥ	Atma-samBavaH
   BhP_02.06.035/1 nato 'smyahaṃ taccaraṇaṃ samīyuṣāṃ bhavacchidaṃ	Bhu-_02.06.035/1 nataH asmi-aham tad-caraNam samIyuzAm Bava=-Cidam
   svastyayanaṃ sumaṅgalam	svastyayanam su-maFgalam
   BhP_02.06.035/3 yo hyātmamāyāvibhavaṃ sma paryagād yathā nabhaḥ svāntam	Bhu-_02.06.035/3 yaH hi-Atma-mAyA-viBavam sma paryagAt yaTA naBaH svAntam
   athāpare kutaḥ	aTa-apare kutas-
