   akathyamapi deveśi Ras_1.13c	akaTyam-api deveSi RaH-_1.13c
   dolāsvedena cāvaśyaṃ Ras_10.24a	dolA-svedena ca-avaSyam RaH-_10.24a
   dolāsvedena tat pakvaṃ Ras_11.86c	dolA-svedena tat pakvam RaH-_11.86c
   doṣayuktaśca sūtakaḥ Ras_10.7b	doza-yuktaH-ca sUtakaH RaH-_10.7b
   doṣān haranti yogina Ras_5.23c	dozAn haranti yoginaH RaH-_5.23c
   dravadravyeṇa bhāṇḍasya Ras_4.7a	drava-dravyeNa BANxasya RaH-_4.7a
   dravanti tasya pāpāni Ras_11.6c	dravanti tasya pApAni RaH-_11.6c
   dravanti salilaṃ yathā Ras_6.120f	dravanti salilam yaTA RaH-_6.120f
   dravanti salilaṃ yathā Ras_6.138d	dravanti salilam yaTA RaH-_6.138d
   dravanti salilaṃ yathā Ras_7.144d	dravanti salilam yaTA RaH-_7.144d
   dravanti salilaṃ yathā Ras_8.40d	dravanti salilam yaTA RaH-_8.40d
   dravanti salilaṃ yathā Ras_12.173d	dravanti salilam yaTA RaH-_12.173d
   dravanti hy avicārataḥ Ras_7.145b	dravanti hi avicArataH RaH-_7.145b
   dravet salilasannibham Ras_6.31d	dravet salila-sanniBam RaH-_6.31d
   dravaiḥ punarnavodbhūtaiḥ Ras_7.76c	dravEH punarnavA-udBUtEH RaH-_7.76c
   dravyakarmaṇi yojayet Ras_7.152d	dravya-karmaNi yojayet RaH-_7.152d
   dravyakāro tathā vaiśyaḥ Ras_6.76a	dravya-kAraH taTA vESyaH RaH-_6.76a
   dravyanirvāhaṇe sā ca Ras_4.39c	dravya-nirvAhaNe sA ca RaH-_4.39c
   dravyamāvartayedbudhaḥ Ras_4.48b	dravyam-Avartayet-buDaH RaH-_4.48b
   dravyaṃ tābhyo hi gopayet Ras_2.124d	dravyam tAByaH hi gopayet RaH-_2.124d
   dravyāṇi ca viśeṣataḥ Ras_4.62b	dravyANi ca viSezataH RaH-_4.62b
   dravyaiḥ sthāvarajaṅgamaiḥ Ras_5.21b	dravyEH sTAvara-jaFgamEH RaH-_5.21b
   drāvakaṃ cottamottamam Ras_6.44d	drAvakam ca-uttama-uttamam RaH-_6.44d
   drāvakaṃ bhavati priye Ras_6.54d	drAvakam Bavati priye RaH-_6.54d
   drāvakaiḥ pañcabhistathā Ras_6.39b	drAvakEH paQcaBiH-taTA RaH-_6.39b
   drāvaṇaṃ rañjanaṃ caiva Ras_10.11c	drAvaNam raQjanam ca-eva RaH-_10.11c
   drāvayitvājadugdhake Ras_7.68b	drAvayitvA-aja-dugDake RaH-_7.68b
   drāvayitvā drutaṃ kuru Ras_12.11d	drAvayitvA drutam kuru RaH-_12.11d
   drāvayet kanakaṃ vāpāt Ras_7.118c	drAvayet kanakam vApAt RaH-_7.118c
   drāvayet tatprabhāvataḥ Ras_7.119b	drAvayet tad-praBAvataH RaH-_7.119b
   drāvayet salilaṃ yathā Ras_7.135b	drAvayet salilam yaTA RaH-_7.135b
   drāvayet salilopamam Ras_7.136d	drAvayet salila-upamam RaH-_7.136d
   drāvayet sūtagarbhataḥ Ras_11.84d	drAvayet sUta-garBataH RaH-_11.84d
   drāvayedgaganaṃ devi Ras_6.20c	drAvayet-gaganam devi RaH-_6.20c
   drāvayedgaganaṃ devi Ras_12.42e	drAvayet-gaganam devi RaH-_12.42e
   drāvikāḥ parikīrtitāḥ Ras_5.23b	drAvikAH parikIrtitAH RaH-_5.23b
   drāvitaṃ śuddhimicchati Ras_7.104b	drAvitam SudDim-icCati RaH-_7.104b
   drutaṃ yonau jalūkavat Ras_11.201b	drutam yonO jalUka-vat RaH-_11.201b
   drutaṃ hemanibhaṃ sūtaṃ Ras_8.48c	drutam hema-niBam sUtam RaH-_8.48c
   drutānāṃ vahnimadhyataḥ Ras_12.154b	drutAnAm vahni-maDyatas RaH-_12.154b
   drutikriyā tu vāruṇyāṃ Ras_2.108a	druti-kriyA tu vAruNyAm RaH-_2.108a
   drutipātañca sādhayet Ras_6.64d	drutipAtaQca sADayet RaH-_6.64d
   drutiḥ sañjāyate kṣaṇāt Ras_6.38f	drutiH san-jAyate kzaNAt RaH-_6.38f
   drute nirmalatāṃ gate Ras_4.54b	drute nirmala-tAm gate RaH-_4.54b
   dvandve samyaṅmilanti ca Ras_6.86d	dvandve samyak-milanti ca RaH-_6.86d
   dvayośca yo raso devi Ras_1.34c	dvayoH-ca yaH rasaH devi RaH-_1.34c
   dvaṃdvajaṃ tu rasāyane Ras_8.37d	dvaMdva-jam tu rasAyane RaH-_8.37d
   dvaṃdvamelāpake tathā Ras_4.41b	dvaMdvamelApake taTA RaH-_4.41b
   dvaṃdvamelāpanaṃ drutam Ras_8.23d	dvaMdvamelApanam drutam RaH-_8.23d
   dvaṃdvamelāpanaṃ viḍam Ras_2.5b	dvaMdvamelApanam vixam RaH-_2.5b
   dvaṃdvamelāpanaṃ śṛṇu Ras_8.24b	dvaMdvamelApanam SRNu RaH-_8.24b
   dvaṃdvamelāpanauṣadhaiḥ Ras_8.85b	dvaMdvamelApana-OzaDEH RaH-_8.85b
   dvaṃdvaṃ kāntābhrayoḥ pṛthak Ras_12.273b	dvaMdvam kAnta-aBrayoH pRTak RaH-_12.273b
   dvaṃdvitaṃ tāpyasattvena Ras_8.42c	dvaMdvitam tApya-sattvena RaH-_8.42c
   dvaṃdvitaṃ syādrasāyane Ras_8.55d	dvaMdvitam syAt-rasAyane RaH-_8.55d
   dvātriṃśatpalakaṃ devi Ras_10.36a	dvAtriMSat-palakam devi RaH-_10.36a
   dvātriṃśatsadguṇaṃ tāre Ras_8.71c	dvAtriMSat-sat-guNam tAre RaH-_8.71c
   dvātriṃśadakṣaraṃ ghoraṃ Ras_3.16c	dvAtriMSat-akzaram Goram RaH-_3.16c
   dvātriṃśadakṣarā devi Ras_3.9c	dvAtriMSat-akzarA devi RaH-_3.9c
   dvātriṃśadguṇameva vā Ras_11.45b	dvAtriMSat-guNam-eva vA RaH-_11.45b
   dvātriṃśadguṇitaṃ hemni Ras_8.66a	dvAtriMSat-guNitam hemni RaH-_8.66a
   dvātriṃśārṇena manunā Ras_2.66c	dvAtriMSa-arNena manunA RaH-_2.66c
   dvātriṃśāṃśo dvitīyakaḥ Ras_11.50b	dvAtriMSa-aMSaH dvitIyakaH RaH-_11.50b
   dvādaśāgraṃ śataṃ pañca Ras_8.7a	dvAdaSa-agram Satam paQca RaH-_8.7a
   dvādaśāṅgulamānataḥ Ras_4.8b	dvAdaSa-aFgula-mAnataH RaH-_4.8b
   dvādaśe lakṣavedhakaḥ Ras_12.363b	dvAdaSe lakza-veDakaH RaH-_12.363b
   dvāre caturdhā vinyasya Ras_2.55a	dvAre caturDA vinyasya RaH-_2.55a
   dvāviṃśatiguṇaṃ priye Ras_11.92b	dvAviMSati-guNam priye RaH-_11.92b
   dvāviṃśāṃśena ca kramāt Ras_11.179d	dvAviMSa-aMSena ca kramAt RaH-_11.179d
   dviguṇaṃ kanakaṃ tathā Ras_11.152b	dviguNam kanakam taTA RaH-_11.152b
   dviguṇaṃ pittalaṃ bhavet Ras_12.49d	dviguNam pittalam Bavet RaH-_12.49d
   dviguṇe gagane jīrṇe Ras_12.64a	dviguNe gagane jIrNe RaH-_12.64a
   dviguṇe tu sahasrakam Ras_12.199d	dviguNe tu sahasrakam RaH-_12.199d
   dviguṇe raktapuṣpāṇāṃ Ras_8.82a	dviguNe rakta-puzpANAm RaH-_8.82a
   dviguṇe śatavedhī syāt Ras_11.155c	dviguNe Sata-veDI syAt RaH-_11.155c
   dvitalaṃ vāpi maṇḍapam Ras_2.47b	dvi-talam vA-api maNxapam RaH-_2.47b
   dvitīyasāraṇāyogād Ras_12.332a	dvitIya-sAraNA-yogAt RaH-_12.332a
   dvitīyasāraṇāṃ prāpya Ras_12.325a	dvitIya-sAraNAm prApya RaH-_12.325a
   dvitīyasāraṇāṃ prāpya Ras_12.327a	dvitIya-sAraNAm prApya RaH-_12.327a
   dvitīyā devi khecarī Ras_12.59d	dvitIyA devi KecarI RaH-_12.59d
   dvitīye vāsare prāpte Ras_12.54a	dvitIye vAsare prApte RaH-_12.54a
   dvitīye 'ṣṭadalāmbuje Ras_2.61d	dvitIye azwa-dala-ambuje RaH-_2.61d
   dvidhā tatrādya uttamaḥ Ras_7.74b	dviDA tatra-AdyaH uttamaH RaH-_7.74b
   dvipadīrajasā saha Ras_12.37b	dvipadI-rajasA saha RaH-_12.37b
   dvipadīrajasā sārdhaṃ Ras_12.39c	dvipadI-rajasA sArDam RaH-_12.39c
   dvipadyāśca rasena tu Ras_12.8d	dvipadyAH-ca rasena tu RaH-_12.8d
   dviparṇī caikaparṇikā Ras_5.6b	dviparNI ca-ekaparNikA RaH-_5.6b
   dvimāsena dvitīyāṃśaṃ Ras_4.27a	dvi-mAsena dvitIya-aMSam RaH-_4.27a
   dvir aṣṭaguṇagandhakam Ras_11.83b	dvis azwaguNa-ganDakam RaH-_11.83b
   dvir aṣṭavarṣakākāraḥ Ras_12.297e	dvis azwa-varzaka-AkAraH RaH-_12.297e
   dvivāraṃ tu dhameddevi Ras_12.272a	dvi-vAram tu Damet-devi RaH-_12.272a
   dvividhaṃ tāvadīśvari Ras_8.16d	dviviDam tAvat-ISvari RaH-_8.16d
   dvividhaṃ devi kāñcanam Ras_7.100b	dviviDam devi kAQcanam RaH-_7.100b
   dvividhaṃ rajataṃ priye Ras_7.103b	dviviDam rajatam priye RaH-_7.103b
   dvividhaḥ śailā īśvari Ras_7.18b	dviviDaH SElAH ISvari RaH-_7.18b
   dvividho daradaḥ punaḥ Ras_7.47b	dviviDaH daradaH punar RaH-_7.47b
   dvisaptāhaṃ rase tasyā Ras_12.30a	dvi-sapta-aham rase tasyAH RaH-_12.30a
   dve sahasre palānāṃ tu Ras_10.37a	dve sahasre palAnAm tu RaH-_10.37a
   dvaidhaṃ śulvasya dāpayet Ras_11.112b	dvEDam Sulvasya dApayet RaH-_11.112b
   dvau viḍau śataśaḥ kramāt Ras_9.15d	dvO vixO SataSas kramAt RaH-_9.15d
   dhanavāṃśca dine dine Ras_12.263b	DanavAn=-ca dine dine RaH-_12.263b
   dhamanāt koṣṭhikāyantre Ras_6.16a	DamanAt kozWikAyantre RaH-_6.16a
   dhamanāt khoṭatāṃ vrajet Ras_12.273d	DamanAt Kowa-tAm vrajet RaH-_12.273d
   dhamanāt patate sattvaṃ Ras_12.380c	DamanAt patate sattvam RaH-_12.380c
   dhamanāt sūryyatāpotthāt Ras_6.36c	DamanAt sUryya-tApa-utTAt RaH-_6.36c
   dhamanīlohayantrāṇi Ras_4.2c	DamanI-loha-yantrANi RaH-_4.2c
   dhamanīṣu niyojayet Ras_3.23b	DamanIzu niyojayet RaH-_3.23b
   dhamayitvā puṭe sthitam Ras_6.130d	DamayitvA puwe sTitam RaH-_6.130d
   dhamayet kokilātrayam Ras_7.42b	Damayet kokilA-trayam RaH-_7.42b
   dhamayet pūrvavat sūtaṃ Ras_12.100c	Damayet pUrvavat sUtam RaH-_12.100c
   dhamitaṃ khādirāṅgāraiḥ Ras_7.87e	Damitam KAdira-aFgArEH RaH-_7.87e
   dhamitvā pātayet sattvaṃ Ras_7.80c	DamitvA pAtayet sattvam RaH-_7.80c
   dhamecca mūkamūṣāyāṃ Ras_12.136c	Damet-ca mUkamUzAyAm RaH-_12.136c
   dhamet sattvam apekṣitam Ras_7.11d	Damet sattvam apekzitam RaH-_7.11d
   dhameddinatrayaṃ mandaṃ Ras_11.195a	Damet-dina-trayam mandam RaH-_11.195a
   dhamed drutaṃ bhavelloham Ras_7.129a	Damet drutam Bavet-loham RaH-_7.129a
   dhameddhavāgninā caiva Ras_12.169c	Damet-Dava-agninA ca-eva RaH-_12.169c
   dhamedvātena koṣṭhakam Ras_4.57d	Damet-vAtena kozWakam RaH-_4.57d
   dhamenmukhānilairbaddho Ras_12.98c	Damet-muKa-anilEH-badDaH RaH-_12.98c
   dharaṇītalavāsinām Ras_1.15b	DaraNI-tala-vAsinAm RaH-_1.15b
   dharmakāmārthamokṣadam Ras_12.15f	Darma-kAma-arTa-mokza-dam RaH-_12.15f
   dharmajñaḥ satyavāk dakṣaḥ Ras_2.3c	Darma-jQaH satya-vAc dakzaH RaH-_2.3c
   dharmārthakāmamokṣārthaṃ Ras_12.78c	Darma-arTa-kAma-mokza-arTam RaH-_12.78c
   dharme naṣṭe kutaḥ kriyā Ras_1.15d	Darme nazwe kutas kriyA RaH-_1.15d
   dharme naṣṭe kuto dharmaḥ Ras_1.15c	Darme nazwe kutas DarmaH RaH-_1.15c
   dhātakīgugguluguḍa- Ras_8.37a	DAtakI-guggulu-guxa RaH-_8.37a
   dhātuvāde niyojayet Ras_2.11d	DAtuvAde niyojayet RaH-_2.11d
   dhātusattvanipātārthaṃ Ras_4.56c	DAtu-sattva-nipAta-arTam RaH-_4.56c
   dhātusāraṃ dharādharāḥ Ras_7.19b	DAtu-sAram DarADarAH RaH-_7.19b
   dhātūnāṃ pāradasya ca Ras_5.23d	DAtUnAm pAradasya ca RaH-_5.23d
   dhānyarāśau nidhātavyaṃ Ras_12.17c	DAnya-rASO niDAtavyam RaH-_12.17c
   dhānyarāśau nidhātavyaṃ Ras_12.68e	DAnya-rASO niDAtavyam RaH-_12.68e
   dhānyarāśau nidhāpayet Ras_6.122d	DAnya-rASO niDApayet RaH-_6.122d
   dhānyasthaḥ pravaro viḍaḥ Ras_9.14f	DAnya-sTaH pravaraH vixaH RaH-_9.14f
   dhānyābhrakaṃ purā kṛtvā Ras_6.14a	DAnyABrakam purA kRtvA RaH-_6.14a
   dhānyāmlake paryyuṣitaṃ Ras_6.21a	DAnyAmlake paryyuzitam RaH-_6.21a
   dhānyāmlopaviṣair viṣaiḥ Ras_7.22b	DAnyAmla-upavizEH vizEH RaH-_7.22b
   dhāmayet khadirāgninā Ras_12.304d	DAmayet Kadira-agninA RaH-_12.304d
   dhāmitaṃ mūkamūṣayā Ras_7.17b	DAmitam mUkamUzayA RaH-_7.17b
   dhāmyamānena naśyati Ras_12.63b	DAmyamAnena naSyati RaH-_12.63b
   dhāmyamāno na tiṣṭhati Ras_12.76d	DAmyamAnaH na tizWati RaH-_12.76d
   dhāreśvare pākṣikaṃ syāt Ras_12.283c	DAreSvare pAkzikam syAt RaH-_12.283c
   dhāryamāṇā mukhe sā tu Ras_12.331c	DAryamANA muKe sA tu RaH-_12.331c
   dhāryamāṇā mukhe seyam Ras_12.332c	DAryamANAH muKe sA-iyam RaH-_12.332c
   dhīrā sūraṇakandaśca Ras_7.140a	DIrA sUraNa-kandaH-ca RaH-_7.140a
   dhūpagandhānulepanāt Ras_8.21d	DUpa-ganDa-anulepanAt RaH-_8.21d
   dhūpadīpaistu naivedyaiḥ Ras_2.73c	DUpa-dIpEH-tu nEvedyEH RaH-_2.73c
   dhūpasrakcandanādibhiḥ Ras_2.106b	DUpa-sraj-candana-AdiBiH RaH-_2.106b
   dhūmavedhī bhaveddevi Ras_11.140c	DUmaveDI Bavet-devi RaH-_11.140c
   dhūmaściṭiciṭiścaiva Ras_10.18a	DUmaH-ciwiciwiH-ca-eva RaH-_10.18a
   dhūmaś ciṭiciṭiścaiva Ras_11.75a	DUmaH ciwiciwiH-ca-eva RaH-_11.75a
   dhūmasārakaṭutrayam Ras_7.91b	DUmasAra-kawutrayam RaH-_7.91b
   dhūmasāraguḍavyoṣa- Ras_10.47a	DUmasAra-guxa-vyoza RaH-_10.47a
   dhūmasāreṣṭakāguḍaiḥ Ras_11.188b	DUmasAra-izwakA-guxEH RaH-_11.188b
   dhūmaṃ jvālāṃ vimuñcati Ras_12.205b	DUmam jvAlAm vimuQcati RaH-_12.205b
   dhūmaṃ pariharettasya Ras_12.225c	DUmam pariharet-tasya RaH-_12.225c
   dhūmāvalokavedhī syāt Ras_11.152c	DUma-avaloka-veDI syAt RaH-_11.152c
   dhūmravarṇaṃ rasaṃ dṛṣṭvā Ras_10.9c	DUmra-varNam rasam dRzwvA RaH-_10.9c
   dhṛtimicchati jāraṇe Ras_4.46b	DRtim-icCati jAraNe RaH-_4.46b
   dhṛtvā cādṛśyatāṃ vrajet Ras_12.200d	DRtvA ca-adRSya-tAm vrajet RaH-_12.200d
   dhmātastīvrānalena tu Ras_12.104b	DmAtaH-tIvra-analena tu RaH-_12.104b
   dhmātaṃ dravati tatkṣaṇāt Ras_6.30d	DmAtam dravati tad-kzaNAt RaH-_6.30d
   dhmātaṃ bhavati kāñcanam Ras_12.178d	DmAtam Bavati kAQcanam RaH-_12.178d
   dhmātaṃ mūṣāgataṃ dravat Ras_6.39d	DmAtam mUzA-gatam dravat RaH-_6.39d
   dhmātaṃ vaṅgābhrakaṃ milet Ras_8.29f	DmAtam vaFgABrakam milet RaH-_8.29f
   dhmātaṃ sattvaṃ vimuñcati Ras_6.135d	DmAtam sattvam vimuQcati RaH-_6.135d
   dhmāto nipatito bhavet Ras_7.43b	DmAtaH nipatitaH Bavet RaH-_7.43b
   dhyānaṃ syāt pañcakaṃ punaḥ Ras_3.10d	DyAnam syAt paQcakam punar RaH-_3.10d
   dhvajaśaṅkhādilāñchitaiḥ Ras_2.9b	Dvaja-SaFKa-Adi-lAQCitEH RaH-_2.9b
   na kāntaḥ sūtavarjitaḥ Ras_6.57b	na kAntaH sUta-varjitaH RaH-_6.57b
   na kuryācchītale kriyām Ras_4.13d	na kuryAt-SItale kriyAm RaH-_4.13d
   naktamālaḥ phalatrayam Ras_7.108d	naktamAlaH Palatrayam RaH-_7.108d
   naktamāleṅgudīśakra- Ras_7.117a	naktamAla-iFgudI-Sakra RaH-_7.117a
   na kramet na ca vedhayet Ras_11.217d	na kramet na ca veDayet RaH-_11.217d
   na khoṭo na ca vā bhasma Ras_12.76a	na KowaH na ca vA Basma RaH-_12.76a
   nagare gokulābhidhe Ras_12.287f	nagare gokula-aBiDe RaH-_12.287f
   na garbhaḥ sampradāyārthe Ras_1.27a	na garBaH sampradAya-arTe RaH-_1.27a
   na ca gacchati kutracit Ras_4.14b	na ca gacCati kutracid RaH-_4.14b
   na jñātaṃ vīravandite Ras_12.2d	na jQAtam vIra-vandite RaH-_12.2d
   na jñātvā mantravedyapi Ras_4.1b	na jQAtvA mantra-vedI-api RaH-_4.1b
   na tatra kṣīyate sūto Ras_4.14a	na tatra kzIyate sUtaH RaH-_4.14a
   na tatra rogadaurgatyaṃ Ras_2.129c	na tatra roga-dOrgatyam RaH-_2.129c
   na tādṛśī bhavennārī Ras_2.16c	na tAdRSI Bavet-nArI RaH-_2.16c
   na tiṣṭhatyeva mūrchitaḥ Ras_11.208d	na tizWati-eva mUrCitaH RaH-_11.208d
   na tyajed rasabhāvanam Ras_2.104d	na tyajet rasa-BAvanam RaH-_2.104d
   natvā ca gurudevayoḥ Ras_11.104b	natvA ca guru-devayoH RaH-_11.104b
   nadī godāvarī nāma Ras_12.236c	nadI godAvarI nAma RaH-_12.236c
   nadībhagavatītaṭe Ras_12.282d	nadI-BagavatI-tawe RaH-_12.282d
   na deyaṃ duṣṭabuddhīnāṃ Ras_2.126a	na deyam duzwa-budDInAm RaH-_2.126a
   nandinaṃ ca mahākālaṃ Ras_2.54a	nandinam ca mahAkAlam RaH-_2.54a
   na piṇḍaṃ dhārayet kvacit Ras_1.14b	na piNxam DArayet kvacid RaH-_1.14b
   napuṃsakam anukramāt Ras_6.68d	napuMsakam anukramAt RaH-_6.68d
   napuṃsakāḥ sattvahīnāḥ Ras_6.72c	napuMsakAH sattva-hInAH RaH-_6.72c
   nabhaśca gaganaṃ vyoma Ras_2.115a	naBaH-ca gaganam vyomaH RaH-_2.115a
   na manyante mama priye Ras_3.31d	na manyante mama priye RaH-_3.31d
   na yāvat pāśakṛntanam Ras_1.23b	na yAvat pASa-kRntanam RaH-_1.23b
   narakuñjaravājinām Ras_11.218d	nara-kuQjara-vAjinAm RaH-_11.218d
   narajīvā hemapuṣpī Ras_5.13a	narajIvA hemapuzpI RaH-_5.13a
   narajīvena jārayet Ras_12.86b	narajIvena jArayet RaH-_12.86b
   na rasasya kṣayo bhavet Ras_4.25b	na rasasya kzayaH Bavet RaH-_4.25b
   na rasāyanakarmaṇi Ras_11.21d	na rasAyana-karmaNi RaH-_11.21d
   narasārarasastanye Ras_12.41a	narasAra-rasa-stanye RaH-_12.41a
   narasārarasaṃ dattvā Ras_12.37a	narasAra-rasam dattvA RaH-_12.37a
   narasārarase dattvā Ras_12.44a	narasAra-rase dattvA RaH-_12.44a
   narasārarasenaiva Ras_12.36c	narasAra-rasena-eva RaH-_12.36c
   narasārarasenaiva Ras_12.38a	narasAra-rasena-eva RaH-_12.38a
   narasārarasenaiva Ras_12.40a	narasAra-rasena-eva RaH-_12.40a
   narasārarasenaiva Ras_12.42c	narasAra-rasena-eva RaH-_12.42c
   narasārarasenaiva Ras_12.43a	narasAra-rasena-eva RaH-_12.43a
   narasārarasenaiva Ras_12.50:2a	narasAra-rasena-eva RaH-_12.50:2a
   narasārarase bhāvyaṃ Ras_12.47a	narasAra-rase BAvyam RaH-_12.47a
   narasārarase bhāvyaṃ Ras_12.50:1a	narasAra-rase BAvyam RaH-_12.50:1a
   navanītasamo bhavet Ras_11.54b	navanIta-samaH Bavet RaH-_11.54b
   navabhāṇḍe vinikṣipet Ras_12.17b	nava-BANxe vinikzipet RaH-_12.17b
   navame śabdavedhī syād Ras_12.70e	navame Sabda-veDI syAt RaH-_12.70e
   navayauvanasampannā Ras_2.20a	nava-yOvana-sampannAH RaH-_2.20a
   navalakṣaṃ ca rāgāṇāṃ Ras_8.11c	nava-lakzam ca rAgANAm RaH-_8.11c
   navavāraṃ tato devi Ras_11.35c	nava-vAram tatas devi RaH-_11.35c
   navavidyāṃ varārohe Ras_3.24c	nava-vidyAm varArohe RaH-_3.24c
   navasārasamanvitam Ras_10.39d	navasAra-samanvitam RaH-_10.39d
   navasārastathaiva ca Ras_11.88b	navasAraH-taTA-eva ca RaH-_11.88b
   navasāraṃ ca kāsīsaṃ Ras_11.34a	navasAram ca kAsIsam RaH-_11.34a
   na vākyaṃ triśirasya ca Ras_3.22b	na vAkyam triSirasya ca RaH-_3.22b
   na vilaṅghyaṃ vijānatā Ras_4.22d	na vilaFGyam vijAnatA RaH-_4.22d
   na visphuliṅgo na ca budbudaśca Ras_4.52a	na visPuliFgaH na ca budbudaH-ca RaH-_4.52a
   navīnaṃ jāyate vapuḥ Ras_12.379b	navInam jAyate vapuH RaH-_12.379b
   na vedhaṃ ca śatād ūrdhvaṃ Ras_12.77c	na veDam ca SatAt UrDvam RaH-_12.77c
   naśyatyeva na saṃśayaḥ Ras_11.214d	naSyati-eva na saMSayaH RaH-_11.214d
   naśyanti phalakādayaḥ Ras_6.106b	naSyanti Palaka-AdayaH RaH-_6.106b
   naśyanti yojanaśate kas tasmāllohavedhakaraḥ Ras_7.15*b	naSyanti yojana-Sate kaH tasmAt-loha-veDa-karaH RaH-_7.15*b
   naśyanti vividhāni ca Ras_2.128d	naSyanti viviDAni ca RaH-_2.128d
   naṣṭacchāyo bhavet so 'yam Ras_12.343c	nazwa=-CAyaH Bavet saH ayam RaH-_12.343c
   naṣṭacchāyo hy adṛśyaśca Ras_12.33c	nazwa=-CAyaH hi adRSyaH-ca RaH-_12.33c
   naṣṭapiṣṭaṃ kṣaṇena tu Ras_12.267b	nazwapizwam kzaNena tu RaH-_12.267b
   naṣṭapiṣṭaṃ bhaviṣyati Ras_12.302d	nazwapizwam Bavizyati RaH-_12.302d
   naṣṭapiṣṭaṃ bhavettataḥ Ras_12.255d	nazwapizwam Bavet-tatas RaH-_12.255d
   naṣṭapiṣṭīkṛtaṃ khalle Ras_12.228:2a	nazwapizwIkRtam Kalle RaH-_12.228:2a
   na samartho rasāyane Ras_11.79b	na samarTaH rasAyane RaH-_11.79b
   na siddhiḥ sūtakaṃ vinā Ras_1.27d	na sidDiH sUtakam vinA RaH-_1.27d
   na sidhyati raso devi Ras_1.25c	na siDyati rasaH devi RaH-_1.25c
   na sūtena vinā kānto Ras_6.57a	na sUtena vinA kAntaH RaH-_6.57a
   na so 'sti lohamātaṃgo Ras_7.150a	na saH asti loha-mAtaMgaH RaH-_7.150a
   nāgajihvā nāgakarṇī Ras_5.20a	nAgajihvA nAgakarNI RaH-_5.20a
   nāgapattraṃ prayatnataḥ Ras_11.182d	nAga-pattram prayatnataH RaH-_11.182d
   nāgabījamudāhṛtam Ras_8.66d	nAga-bIjam-udAhRtam RaH-_8.66d
   nāgavaṅgādikā doṣā Ras_10.49c	nAga-vaFga-AdikAH dozAH RaH-_10.49c
   nāgavarṇaṃ bhavet sūtaṃ Ras_11.199a	nAga-varNam Bavet sUtam RaH-_11.199a
   nāgavallī ca bhṛṅgarāṭ Ras_5.27d	nAgavallI ca BRFgarAj RaH-_5.27d
   nāgavallyā praliptaṃ tu Ras_6.114a	nAgavallyA praliptam tu RaH-_6.114a
   nāgaśuṇḍīrasastanya- Ras_11.44a	nAgaSuNxI-rasa-stanya RaH-_11.44a
   nāgastvekavidho devi Ras_7.111a	nAgaH-tu-ekaviDaH devi RaH-_7.111a
   nāgasya mūtre deveśi Ras_11.166a	nAgasya mUtre deveSi RaH-_11.166a
   nāgahemayutaṃ vyoma Ras_11.57c	nAga-hema-yutam vyomaH RaH-_11.57c
   nāgahemayutaṃ vyoma Ras_11.58c	nAga-hema-yutam vyomaH RaH-_11.58c
   nāgaṃ capalamāritam Ras_8.74b	nAgam capala-mAritam RaH-_8.74b
   nāgaṃ tāpyaṃ hataṃ vahet Ras_8.66b	nAgam tApyam hatam vahet RaH-_8.66b
   nāgaṃ dehagataṃ nityaṃ Ras_6.7c	nAgam deha-gatam nityam RaH-_6.7c
   nāgaṃ vaṅgaṃ tathāyasam Ras_11.215b	nAgam vaFgam taTA-Ayasam RaH-_11.215b
   nāgaṃ vaṅgaṃ suvīraṃ ca Ras_7.152c	nAgam vaFgam su-vIram ca RaH-_7.152c
   nāgaṃ vidhyati tatkṣaṇāt Ras_12.121d	nAgam viDyati tad-kzaNAt RaH-_12.121d
   nāgaṃ śilārkakṣīreṇa Ras_7.149a	nAgam SilA-arka-kzIreNa RaH-_7.149a
   nāgaḥ karoti mṛdutāṃ Ras_8.68a	nAgaH karoti mRdu-tAm RaH-_8.68a
   nāgaḥ sindūratāṃ vrajet Ras_12.218b	nAgaH sindUra-tAm vrajet RaH-_12.218b
   nāgābhraṃ devi vaṅgābhraṃ Ras_11.48a	nAgABram devi vaFgABram RaH-_11.48a
   nāgābhraṃ dvaṃdvitaṃ bhavet Ras_11.187f	nAgABram dvaMdvitam Bavet RaH-_11.187f
   nāgābhraṃ śilayā milet Ras_8.31f	nAgABram SilayA milet RaH-_8.31f
   nāgābhre tu manaḥśilāḥ Ras_8.30d	nAga-aBre tu manaHSilAH RaH-_8.30d
   nāginīkandasūtendraṃ Ras_12.141a	nAginI-kanda-sUtendram RaH-_12.141a
   nāgena kṣārarājena Ras_7.104a	nAgena kzArarAjena RaH-_7.104a
   nāge malinadhūmakā Ras_4.50b	nAge malina-DUmakAH RaH-_4.50b
   nāge rāgā vyavasthitāḥ Ras_8.7b	nAge rAgAH vyavasTitAH RaH-_8.7b
   nāgo nāgāsthimūtrataḥ Ras_7.112d	nAgaH nAga-asTi-mUtrataH RaH-_7.112d
   nāgo nirjīvatāṃ yāti Ras_8.59e	nAgaH nirjIva-tAm yAti RaH-_8.59e
   nāgo bhavati kāñcanam Ras_11.112d	nAgaH Bavati kAQcanam RaH-_11.112d
   nātiśuṣkaṃ śilātale Ras_9.11b	na-atiSuzkam SilA-tale RaH-_9.11b
   nātra kāryā vicāraṇā Ras_6.58f	na-atra kAryA vicAraNAH RaH-_6.58f
