   Kṣemendra: Narmamālā	Kzema-indra: Narma-mAlA
   arundhatīmapi kṣipraṃ pratārayati līlayā /	arunDatIm-api kzipram pratArayati lIlayA /
   purāṇapuṃścalī sā hi jāhnavīṃ manyate tṛṇam // KNarm_2.31 //	purANa-puMScalI sA hi jAhnavIm manyate tRNam // KNarm_2.31 //
   sā samīhitamasmākamacireṇa vidhāsyati /	sA samIhitam-asmAkam-acireNa viDAsyati /
   ityuktvā te yayurdhūrtā vṛddhaśramaṇikāgṛham // KNarm_2.32 //	iti-uktvA te yayuH-DUrtAH vRdDa-SramaNikA-gRham // KNarm_2.32 //
   śramaṇikā /	SramaNikA /
   kadācidatha tāmeva harmye hariṇalocanām /	kadAcid-aTa tAm-eva harmye hariNa-locanAm /
   sattrabhojanapūrṇāṅgaḥ punarāyātayauvanaḥ // KNarm_2.33 //	sattra-Bojana-pUrNa-aFgaH punar-AyAta-yOvanaH // KNarm_2.33 //
   nirdagdhacandanasphāratilakaḥ pṛthujūṭabhṛt /	nirdagDa-candana-sPAra-tilakaH pRTu-jUwa-BRt /
   māyūropānadāmandamandarārāvagarvitaḥ // KNarm_2.34 //	mAyUra-upAnadA-manda-mandara-ArAva-garvitaH // KNarm_2.34 //
   kakṣāntasaṃvṛtapaṭo brāhmaṇānapi na spṛśan /	kakzA-anta-saMvRta-pawaH brAhmaNAn-api na spRSan /
   re re dāsīsutetyādi janaṃ kopena bhartsayan // KNarm_2.35 //	re re dAsI-sutA-ityAdi janam kopena Bartsayan // KNarm_2.35 //
   malapatraṃ vahanmūrkho dadarśa maṭhadaiśikaḥ /	mala-patram vahan-mUrKaH dadarSa maWa-dESikaH /
   sahasā vismayāviṣṭo daṣṭo makaraketunā // KNarm_2.36 //	sahasA vismaya-AvizwaH dazwaH makara-ketunA // KNarm_2.36 //
   niyogigṛhabālānāmupādhyāyamupetya saḥ /	niyogi-gRha-bAlAnAm-upADyAyam-upetya saH /
   āyayau māsamūlyena nityamakṣaraśikṣakaḥ // KNarm_2.37 //	AyayO mAsa-mUlyena nityam-akzara-SikzakaH // KNarm_2.37 //
   labdhapraveśastāmeva dhyāyandhū[rtaḥ] papāṭha saḥ /	labDa-praveSaH-tAm-eva DyAyan-DU[rtaH] papAWa saH /
   jānannapi lipiṃ sarvāmoṃkāramalikhacchanaiḥ // KNarm_2.38 //	jAnan=-api lipim sarvAm-oMkAram-aliKat-SanEs // KNarm_2.38 //
   kautukādgṛhanārībhirvṛtastasthau tadunmukhaḥ /	kOtukAt-gRha-nArIBiH-vRtaH-tasTO tad-unmuKaH /
   upādhyāyo 'pi dīnāragaṇanāṃ vidadhaddhiyā // KNarm_2.39 //	upADyAyaH api dInAra-gaNanAm vidaDat-DiyA // KNarm_2.39 //
   aṣṭāvatārastotreṇa sarvajña iva garvitaḥ /	azwa-avatAra-stotreNa sarvajQaH iva garvitaH /
   daiśikaṃ pāṭhayāmīti so 'bhūdadhikamuddhataḥ // KNarm_2.40 //	dESikam pAWayAmi-iti saH aBUt-aDikam-udDataH // KNarm_2.40 //
   pāntu no bhagavatpādā jaghanyajanavatsalāḥ /	pAntu naH Bagavat-pAdAH jaGanya-jana-vatsalAH /
   paralokasya hantāro gamane kṣemakāriṇaḥ // KNarm_2.41 //	para-lokasya hantAraH gamane kzema-kAriNaH // KNarm_2.41 //
   bhābhūto kuṅkumārdrau ^ ^ ^ ^ ^ _ rainaisaddṛśau	BABUtaH kuFkuma-ArdrO ^ ^ ^ ^ ^ _ rEnA-esat-dRSO
   _ _ _ _ ^ _ _ ^ ^ ^ musimusi lakṣaṇau phenaparvau /	_ _ _ _ ^ _ _ ^ ^ ^ musi-musi lakzaNO Pena-parvO /
   _ _ _ _ ^ _ _ maṇikanakadharau divyagandhānuliptau	_ _ _ _ ^ _ _ maNi-kanaka-DarO divya-ganDa-anuliptO
   saṅgrāmeṇa praviṣṭau palupa ^ ^ ^ nau labhyatāṃ rājyalakṣmīḥ // KNarm_2.42	saFgrAmeNa pravizwO palupa ^ ^ ^ nO laByatAm rAjya-lakzmIH // KNarm_2.42
   gaṅgāyamunayorbilvavṛṣabhaṃ *pūrṇakumbhayoḥ /	gaFgA-yamunayoH-bilva-vRzaBam *pUrNa-kumBayoH /
   pañcacandana lī paṭṭabandhaṃ bhaviṣyati (?) // KNarm_2.43 //	paQcacandana lI pawwabanDam Bavizyati (?) // KNarm_2.43 //
   ityādi dattvā bālānāṃ nityaṃ phalahakeṣu saḥ /	ityAdi dattvA bAlAnAm nityam Pala-hakezu saH /
   varṣaṃ tiṣṭhati niḥśaṃko gaṇayanmāsavetanam // KNarm_2.44 //	varzam tizWati niHSaMkaH gaNayan-mAsa-vetanam // KNarm_2.44 //
   kartanaṃ likhanaṃ sūcīpaṭṭikāvānamauṣadham /	kartanam liKanam sUcI-pawwikA-vAnam-OzaDam /
   kurvanna *vetti purataḥ sthitānno vā kumārakān // KNarm_2.45 //	kurvan-na *vetti puratas sTitAn-naH vA kumArakAn // KNarm_2.45 //
   upādhyāyetyabhihito vakti krodhāgninā jvalan /	upADyAya-iti-aBihitaH vakti kroDa-agninA jvalan /
   gāndharvikaścarmakṛdvā kiṃ tavāsmīti niṣṭhuraḥ // KNarm_2.46 //	gAnDarvikaH-carmakRt-vA kim tava-asmi-iti nizWuraH // KNarm_2.46 //
   %% iti dārkopādhyāyaḥ /	%% iti dArka-upADyAyaH /
   sasmitaṃ sasmitālāpaṃ muhurgoṣṭhīvidhāyinam /	sa-smitam sa-smita-AlApam muhur-gozWI-viDAyinam /
   niyogikāntā paśyantī daiśikaṃ nācalat tataḥ // KNarm_2.47 //	niyogikAntA paSyantI dESikam na-acalat tatas // KNarm_2.47 //
   sa bhāṣāṃ buddhyamāno 'pi tattatstrībhirudāhṛtām /	sa BAzAm budDyamAnaH api tad-tad-strIBiH-udAhRtAm /
   kiṃ bhaṇantīti papraccha prollasadbhrūlato muhuḥ // KNarm_2.48 //	kim BaNanti-iti papracCa prollasat-BrU-lataH muhur // KNarm_2.48 //
   sa tābhirnarmasotprāsasādhikṣepaviḍambanaiḥ /	sa tABiH-narmasA-utprAsa-sADi-kzepa-vixambanEH /
   āyāsyamāno mattābhirabhūtprahasitānanaḥ // KNarm_2.49 //	AyAsyamAnaH mattABiH-aBUt-prahasita-AnanaH // KNarm_2.49 //
   nāyaṃ kiñcinmahābhāgo jānāti na ca budhyate /	na-ayam kiQcid-mahABAgaH jAnAti na ca buDyate /
   iti no bhejire lajjā vivastrā api tasya tāḥ // KNarm_2.50 //	iti naH Bejire lajjA vivastrAH api tasya tAH // KNarm_2.50 //
   ṛṣyaśṛṅgavrataḥ so 'tha vi .. .. .. .. .. .. .. /	RzyaSRFga-vrataH saH aTa vi .. .. .. .. .. .. .. /
   tāsāṃ goṣṭhīrasābhijñaḥ stanau pasparśa pāṇinā // KNarm_2.51 //	tAsAm gozWI-rasa-aBijQaH stanO pasparSa pANinA // KNarm_2.51 //
   sa bījāśva ivotsṛṣṭo vaḍavāmaṇḍale yuvā /	sa bIja-aSvaH iva-utsRzwaH vaxavA-maNxale yuvA /
   siṣeve lalanāḥ sarvāḥ proṣitasya niyoginaḥ // KNarm_2.52 //	sizeve lalanAH sarvAH prozitasya niyoginaH // KNarm_2.52 //
   bhrātṛjāyāṃ svasāraṃ ca tāṃ ca bhāryāṃ mṛgīdṛśam /	BrAtR-jAyAm svasAram ca tAm ca BAryAm mRgI-dRSam /
   anyāścāsya sadā svairamakāmayata daiśikaḥ // KNarm_2.53 //	anyAH-ca-asya sadA svEram-akAmayata dESikaH // KNarm_2.53 //
   tāstena jāraguruṇā kṛtadīkṣā varāṅganāḥ /	tAH-tena jAra-guruNA kRta-dIkzAH vara-aFganAH /
   babhūvuḥ sarvagāminyo nirvikalpavrate sthitāḥ // KNarm_2.54 //	baBUvuH sarva-gAminyaH nirvikalpa-vrate sTitAH // KNarm_2.54 //
   %% iti maṭhadaiśikaḥ /	%% iti maWa-dESikaH /
   tayā śramaṇikādūtyā tataste 'pi kṛtodyamāḥ /	tayA SramaNikA-dUtyA tatas-te api kRta-udyamAH /
   dhūrtāḥ svādhīnatāṃ prāptāṃ svairiṇīṃ tāṃ siṣevire // KNarm_2.55 //	DUrtAH svADIna-tAm prAptAm svEriNIm tAm sizevire // KNarm_2.55 //
   athādhikārī taruṇīṃ sotkaṇṭhastāṃ smaranpriyām /	aTa-aDikArI taruNIm sa-utkaNWaH-tAm smaran-priyAm /
   bhṛtavastro viveśāśu mithyāgrāmacikitsayā // KNarm_2.56 //	BRta-vastraH viveSa-ASu miTyA-grAma-cikitsayA // KNarm_2.56 //
   sa sevārthaṃ samānītaghṛtamākṣikasarpiṣā /	sa sevA-arTam samAnIta-GRta-mAkzika-sarpizA /
   bhārikairdhanikairbhītyā nagaraṃ samapūrayat // KNarm_2.57 //	BArikEH-DanikEH-BItyA nagaram samapUrayat // KNarm_2.57 //
   prāptaṃ vilokya sucirāttaṃ dṛṣṭānekakāmukā /	prAptam vilokya su-cirAt-tam dRzwa-aneka-kAmukAH /
   pīvaraṃ grāmyamāsannarogaṃ pūrṇamivāmbunā // KNarm_2.58 //	pIvaram grAmyam-Asanna-rogam pUrNam-iva-ambunA // KNarm_2.58 //
   tāṃ ca meṣaghṛtāmikṣākilāṭamadhusampadam /	tAm ca meza-GRta-AmikzA-kilAwa-maDu-sampadam /
   rurodaikena netreṇa jahāsānyena tadvadhūḥ // KNarm_2.59 //	ruroda-ekena netreNa jahAsa-anyena tad-vaDUH // KNarm_2.59 //
   idaṃ suruciraṃ vastraṃ krītamābharaṇañca te /	idam su-ruciram vastram krItam-ABaraNaQca te /
   tasyetivādino dṛptā sā cakre sarvamaśrutam // KNarm_2.60 //	tasya-iti-vAdinaH dRptA sA cakre sarvam-aSrutam // KNarm_2.60 //
   sā śirovedanāvyājanibaddhābhyaṅgapaṭṭikā /	sA SiraH-vedanA-vyAja-nibadDa-aByaFga-pawwikA /
   stanantī sasvanaṃ patyurnābhavatpārśvavartinī // KNarm_2.61 //	stanantI sa-svanam patyuH-na-aBavat-pArSva-vartinI // KNarm_2.61 //
   tato vācāla[vā]cālamālākalakalākule /	tatas vAcAla-[vA]cAla-mAlA-kalakalA-Akule /
   gṛhe tasyābhavadvyagragrāma[dā]se mahotsavaḥ // KNarm_2.62 //	gRhe tasya-aBavat-vyagra-grAma[-dA]se mahA-utsavaH // KNarm_2.62 //
   dinānte bahubhaktāśī lohitāsavadurmadaḥ /	dina-ante bahu-Bakta-ASI lohita-Asava-durmadaH /
   niyogī śayane tasthau kumbhakarṇa ivāparaḥ // KNarm_2.63 //	niyogI Sayane tasTO kumBakarNaH iva-aparaH // KNarm_2.63 //
   atha kṛcchrādivābhyetya rātriśeṣe tadaṅganā /	aTa kRcCrAt-iva-aByetya rAtri-Seze tad-aFganA /
   āliṅgane samudvignā cumbane valitānanā // KNarm_2.64 //	AliFgane samudvignA cumbane valita-AnanAH // KNarm_2.64 //
   rundhānā jaghanasparśamūrusvastikaniścalā /	runDAnA jaGana-sparSam-Uru-svastika-niScalAH /
   gṛhavyāpārakhinneva nidrāṃ cakre mudhaiva sā // KNarm_2.65 //	gRha-vyApAra-KinnA-iva nidrAm cakre muDA-eva sA // KNarm_2.65 //
   tataḥ prabhāte prasṛte bhūrjabhāṇḍādike puraḥ /	tatas praBAte prasRte BUrja-BANxa-Adike puras /
   vadantī sarvagātreṣu śūlaṃ sāpyakarotklamam // KNarm_2.66 //	vadantI sarva-gAtrezu SUlam sA-api-akarot-klamam // KNarm_2.66 //
   athāhūtaḥ parijanairvaidyo madyāmiṣapriyaḥ /	aTa-AhUtaH parijanEH-vEdyaH madya-Amiza-priyaH /
   nidhiṃ hastagataṃ daivānmanyamānaḥ samāyayau // KNarm_2.67 //	niDim hasta-gatam dEvAt-manyamAnaH samAyayO // KNarm_2.67 //
   %% sabhārtṛkā /	%% saBArtRkA /
   namo vidyāvihīnāya vaidyāyāvadyakāriṇe /	namaH vidyA-vihInAya vEdyAya-avadya-kAriNe /
   nihatānekalokāya *sarpāyevāpamṛtyave // KNarm_2.68 //	nihata-aneka-lokAya *sarpAya-iva-apamRtyave // KNarm_2.68 //
   bhrānto gṛhaśataṃ tūrṇaṃ bhārākrānta ivocchvasan /	BrAntaH gRha-Satam tUrNam BAra-AkrAntaH iva-ucCvasan /
   lalāṭasvedasalilaṃ pāṇinā vikṣipanmuhuḥ // KNarm_2.69 //	lalAwa-sveda-salilam pANinA vikzipan-muhur // KNarm_2.69 //
   vahannauṣadhasaṅketanāmasaṃyogacīrikām /	vahan=-OzaDa-saFketa-nAma-saMyoga-cIrikAm /
   kṛtāntādhikṛtasyāgrādyaḥ prāyastha ivāgataḥ // KNarm_2.70 //	kRtAnta-aDikRtasya-agra-AdyaH prAya-sTaH iva-AgataH // KNarm_2.70 //
   cikitsako 'rthaprāṇānāṃ vyādhīnāmacikitsakaḥ /	cikitsakaH arTa-prANAnAm vyADInAm-acikitsakaH /
   ājīvamīśvaraḥ śūlī yena na tyajyate janaḥ // KNarm_2.71 //	AjIvam-ISvaraH SUlI yena na tyajyate janaH // KNarm_2.71 //
   sa vaidyaḥ kālakūṭo vā vyālo vetāla eva vā /	sa vEdyaH kAlakUwaH vA vyAlaH vetAlaH eva vA /
   bhūyasā yāti māṃsena yaḥ kṣipramanukūlatām // KNarm_2.72 //	BUyasA yAti mAMsena yaH kzipram-anukUla-tAm // KNarm_2.72 //
   sa vaidya eva kupito vāyurāyuḥkṣayaṅkaraḥ /	sa vEdyaH eva kupitaH vAyuH-AyuH-kzayaFkaraH /
   hastasparśena trimalakṣālakaḥ kṣapitendriyaḥ // KNarm_2.73 //	hasta-sparSena tri-malakzAlakaH kzapita-indriyaH // KNarm_2.73 //
   kṛcchrasannyāsakṛtpuṃsāṃ prāṇācāryaḥ kimucyate /	kRcCra-sannyAsa-kRt-puMsAm prANa-AcAryaH kim-ucyate /
   sthitaṃ bhuktaṃ nu pītaṃ nu vaidyeneti pralāpinaḥ // KNarm_2.74 //	sTitam Buktam nu pItam nu vEdyena-iti pralApinaH // KNarm_2.74 //
   yā .. vidhatte yatnena bhiṣagārtopajīvakaḥ /	yAH .. viDatte yatnena Bizaj-Arta-upajIvakaH /
   nagarotsavayātrāsu vivāheṣvatibhojanāt /	nagara-utsava-yAtrAsu vivAhezu-ati-BojanAt /
   janatā yāti yanmāndyaṃ tadvaidyasya śaneḥ phalam // KNarm_2.75 //	janatA yAti yat-mAndyam tad-vEdyasya SaneH Palam // KNarm_2.75 //
   guhyāṅgasparśakṛtstrīṇāṃ bahvāśī jīvitāpahaḥ /	guhya-aFga-sparSa-kRt-strINAm bahu-ASI jIvita-apahaH /
   nṛṇāṃ tridoṣakṛtsatyaṃ vaidya eva na tu jvaraḥ // KNarm_2.76 //	nRNAm tridoza-kRt-satyam vEdyaH eva na tu jvaraH // KNarm_2.76 //
   vidyāvirahitā vaidyāḥ kāyasthāḥ prabhaviṣṇavaḥ /	vidyA-virahitAH vEdyAH kAyasTAH praBavizNavaH /
   durācārāśca guravaḥ prajānāṃ kṣayahetavaḥ // KNarm_2.77 //	durAcArAH-ca guravaH prajAnAm kzaya-hetavaH // KNarm_2.77 //
   upasṛtya sa pasparśa stanau tasyāḥ susaṃhatau /	upasRtya sa pasparSa stanO tasyAH su-saMhatO /
   kaṭhinau satatasparśau khalaḥ khalatarāviva // KNarm_2.78 //	kaWinO satata-sparSO KalaH Kala-tarO=-iva // KNarm_2.78 //
   laṅghanaṃ sahate naiṣā hitaṃ śūle na vṛṃhaṇam /	laFGanam sahate na-ezA hitam SUle na vRMhaNam /
   karotu mama cintāsu sarvāhāraṃ mayā saha // KNarm_2.79 //	karotu mama cintAsu sarva-AhAram mayA saha // KNarm_2.79 //
   jaḍā hyasyāḥ sthitā buddhirdhātuśca viṣamaḥ sthitaḥ /	jaxAH hi-asyAH sTitA budDiH-DAtuH-ca vizamaH sTitaH /
   {tasmātsnigdhā dadhi} pūrvamatra yojyaṃ saśarkaram // KNarm_2.80 //	{tasmAt-snigDA daDi} pUrvam-atra yojyam sa-Sarkaram // KNarm_2.80 //
   ityukte vaidyanāthena strībhiḥ tūrṇaṃ sasambhramam /	iti-ukte vEdyanATena strIBiH tUrNam sa-samBramam /
   āhūtaḥ pādapatanairjyotirgaṇaka āyayau // KNarm_2.81 //	AhUtaH pAda-patanEH-jyotiH-gaNakaH AyayO // KNarm_2.81 //
   %% vaidyaḥ /	%% vEdyaH /
   jyotiḥśāstravide tasmai namo 'stu jñānacakṣuṣe /	jyotiHSAstra-vide tasmE namaH astu jQAna-cakzuze /
   varṣaṃ pṛcchatyavarṣaṃ vā dhīvarānyo vinaṣṭadhīḥ // KNarm_2.82 //	varzam pRcCati-avarzam vA DIvarAn-yaH vinazwa-DIH // KNarm_2.82 //
   grahanakṣatratārāṇāṃ saṃkhyāne 'pyakṛtaśramaḥ /	graha-nakzatra-tArANAm saMKyAne api-akRta-SramaH /
   atītānāgatajñānadambhāya malapatrabhṛt // KNarm_2.83 //	atIta-anAgata-jQAna-damBAya mala-patra-BRt // KNarm_2.83 //
   tava varṣatrayīmadhye kaścidvittavyayo bhavet /	tava varza-trayI-maDye kaScid-vitta-vyayaH Bavet /
   jvaraśca netrapīḍā ca lābhāṃśo 'pyavicintitaḥ // KNarm_2.84 //	jvaraH-ca netra-pIxA ca lABa-aMSaH api-avicintitaH // KNarm_2.84 //
   na kaścidupakāraṃ te manyate śatravaśca te /	na kaScid-upakAram te manyate SatravaH-ca te /
   santi tebhyo bhayaṃ deharakṣāyāṃ naiva bādhate // KNarm_2.85 //	santi teByaH Bayam deha-rakzAyAm na-eva bADate // KNarm_2.85 //
   durbalo dṛśyase bhrātaryūṣaṃ na kuruṣe katham /	durbalaH dRSyase BrAtar-yUzam na kuruze kaTam /
   apyasti kāmalā nūnaṃ tāṃ mantreṇa nudāmyaham // KNarm_2.86 //	api-asti kAmalA nUnam tAm mantreNa nudAmi-aham // KNarm_2.86 //
   iti sādhāraṇajñānamantravaidyakamiśritam /	iti sADAraNa-jQAna-mantra-vEdyaka-miSritam /
   jyotiḥśāstraṃ vigaṇayanyo muṣṇāti jaḍāśayān // KNarm_2.87 //	jyotiHSAstram vigaNayan-yaH muzNAti jaxASayAn // KNarm_2.87 //
   prāṅniyogivadhūvṛttaṃ jānannapi janaśrutam /	prAc-niyogi-vaDU-vRttam jAnan=-api jana-Srutam /
   dhūrto dhūlipaṭe cakre rāśicakraṃ mudhaiva saḥ // KNarm_2.88 //	DUrtaH DUli-pawe cakre rASi-cakram muDA-eva saH // KNarm_2.88 //
   kṣipte niyoginā tatra dīnārakusumotkare /	kzipte niyoginA tatra dInAra-kusuma-utkare /
   dambhastabdhaściraṃ tasthau svāṅgulīgaṇanāparaḥ // KNarm_2.89 //	damBa-stabDaH-ciram tasTO sva-aFgulI-gaNanA-paraH // KNarm_2.89 //
   tato 'vadanmandamandaṃ protkṣiptabhrūlato muhuḥ /	tatas avadat-manda-mandam protkzipta-BrU-lataH muhur /
   iyamāpāṇḍuramukhī ratikāmena pīḍitā // KNarm_2.90 //	iyam-ApANxura-muKI rati-kAmena pIxitA // KNarm_2.90 //
   durnivāraśca nārīṇāṃ piśāco ratirāgakṛt /	durnivAraH-ca nArINAm piSAcaH rati-rAga-kRt /
   punaḥ śūnyagṛhe snātā guhyakena nirambarā /	punar SUnya-gRhe snAtA guhyakena nirambarAH /
   gṛhītetyatra paśyāmi cakre śukrasamāgamāt // KNarm_2.91 //	gRhItA-iti-atra paSyAmi cakre Sukra-samAgamAt // KNarm_2.91 //
   %% iti gaṇakaḥ /	%% iti gaNakaH /
   tataḥ prayāte gaṇake cintite śukrapūjane /	tatas prayAte gaNake cintite Sukra-pUjane /
   niryatpalālapūlīkaḥ pādato dhūlidhūsaraḥ // KNarm_2.92 //	niryad-palAla-pUlIkaH pAdataH DUli-DUsaraH // KNarm_2.92 //
   dāmabaddhakaṭirgrāmyaḥ śīrṇaniṣka .. .. lakaḥ /	dAma-badDa-kawiH-grAmyaH SIrNa-nizka .. .. lakaH /
   visṛṣṭaṃ tatsahāyena dadau lekhaṃ niyoginaḥ // KNarm_2.93 //	visRzwam tad-sahAyena dadO leKam niyoginaH // KNarm_2.93 //
   eḍikāvyapadeśena gāvaḥ pādairhṛtā daśa /	exikA-vyapadeSena gAvaH pAdEH-hRtAH daSa /
   tāsāṃ madhyān mṛtāḥ pañca pañca śeṣāḥ sthitāḥ khale // KNarm_2.94 //	tAsAm maDyAt mRtAH paQca paQca SezAH sTitAH Kale // KNarm_2.94 //
   tanmuktaye tvarāyātāḥ sahanto 'pi dinatrayam /	tad-muktaye tvarA-AyAtAH sahantaH api dina-trayam /
   tadabhāve 'pi lābhaste grāme daṇḍaḥ patiṣyati // KNarm_2.95 //	tad-aBAve api lABaH-te grAme daNxaH patizyati // KNarm_2.95 //
   ghṛtanāḍīnimittena yaścāsau bandhane dhṛtaḥ /	GRta-nAxI-nimittena yaH-ca-asO banDane DRtaH /
   so 'pi vipro nirāhārastīkṣṇaḥ pañcatvamāgataḥ // KNarm_2.96 //	saH api vipraH nirAhAraH-tIkzNaH paQcatvam-AgataH // KNarm_2.96 //
   pādāntike ca prahitaṃ tasya pradhanapatrakam /	pAda-antike ca prahitam tasya praDana-patrakam /
   baddhaṃ mayā tatkalatraṃ mudritaṃ sakalaṃ gṛham // KNarm_2.97 //	badDam mayA tad-kalatram mudritam sakalam gRham // KNarm_2.97 //
   yānskandhakanimittena prāyasthānparipālakaḥ /	yAn-skanDaka-nimittena prAya-sTAn-paripAlakaH /
   pradadau māsavṛttyaiva te mayā tadgṛhe dhṛtāḥ // KNarm_2.98 //	pradadO mAsa-vRttyA-eva te mayA tad-gRhe DRtAH // KNarm_2.98 //
   dhānyarāśiḥ prabhūto 'sti tūrṇamāgamyatāmiha /	DAnya-rASiH praBUtaH asti tUrNam-AgamyatAm-iha /
   tātparyamiti vijñaptāḥ pādā jyeṣṭhārkavāsare // KNarm_2.99 //	tAtparyam-iti vijQaptAH pAdAH jyezWa-arka-vAsare // KNarm_2.99 //
   %% khvāśapatiḥ tūṇarakṣako /	%% KvASa-patiH tUNa-rakzakaH /
   vācayannityasau lekhaṃ tasya karmaṇyatāṃ *tataḥ /	vAcayan=-iti-asO leKam tasya karmaNya-tAm *tatas /
   praśaśaṃsa sahāyasya niyogī harṣanirbharaḥ // KNarm_2.100 //	praSaSaMsa sahAyasya niyogI harza-nirBaraH // KNarm_2.100 //
   so 'bhūtpūrvataraṃ bauddhastato dambhāya vaiṣṇavaḥ /	saH aBUt-pUrvataram bOdDaH-tatas damBAya vEzNavaH /
   rakṣārthamatha bhāryāyā jātakaulāgamādaraḥ // KNarm_2.101 //	rakzA-arTam-aTa BAryAyAH jAta-kOla-Agama-AdaraH // KNarm_2.101 //
   ānināya guruṃ garvadambhalobhaniketanam /	AninAya gurum garva-damBa-loBa-niketanam /
   māyākuhakalaulyānāṃ dīkṣāsamayamaṇḍalam // KNarm_2.102 //	mAyA-kuhaka-lOlyAnAm dIkzA-samaya-maNxalam // KNarm_2.102 //
   namaste gurunāthāya dhanadārāpahāriṇe /	namaH-te guru-nATAya Dana-dAra-apahAriNe /
   kṣobhiṇe sarvabhakṣāya yakṣāyeva kṣapāśine // KNarm_2.103 //	kzoBiNe sarva-BakzAya yakzAya-iva kzapA-Sine // KNarm_2.103 //
   *bhālanyastārdhasindūrapattrikāpuṣpagucchakaḥ /	*BAla-nyasta-arDa-sindUrapattrikA-puzpa-gucCakaH /
   bi[ndū]pabindunityārdramahālālāṭakarparaḥ // KNarm_2.104 //	bi[ndU]pabindu-nitya-Ardra-mahA-lAlAwa-karparaH // KNarm_2.104 //
   karṇamūlaśikhāmātragrathitasvalpajūṭikaḥ /	karNa-mUla-SiKA-mAtragraTita-svalpa-jUwikaH /
   kuṅkumāṅkitakarṇāgraḥ kācarākṣo mahāhanuḥ // KNarm_2.105 //	kuFkuma-aFkita-karNa-agraH kAcara-akzaH mahA-hanuH // KNarm_2.105 //
   khalvāṭo viralaśmaśrurdīrghavākpraskhalankvacit /	KalvAwaH virala-SmaSruH-dIrGa-vAc-prasKalan-kvacid /
   bibhrāṇo vadanaṃ vṛddhamahiṣībhagavibhramam // KNarm_2.106 //	biBrANaH vadanam vRdDa-mahizI-Baga-viBramam // KNarm_2.106 //
   kṣaṇātpibati yo madyaghaṭaṃ ghaṭaghaṭāravaiḥ /	kzaNAt-pibati yaH madya-Gawam Gawa-Gawa-AravEH /
   tasya kaṇṭhapraṇālasya sthaulyaṃ kenopamīyatām // KNarm_2.107 //	tasya kaNWa-praNAlasya sTOlyam kena-upamIyatAm // KNarm_2.107 //
   madyamāṃsadurāmodamalinaṃ yogapaṭṭakam /	madya-mAMsa-durAmoda-malinam yoga-pawwakam /
   dadhānaḥ stanasampūrṇaṃ vakṣasā *rākṣasākṛtiḥ // KNarm_2.108 //	daDAnaH stana-sampUrNam vakzasA *rAkzasa-AkRtiH // KNarm_2.108 //
   sindūrapūrṇagambhīranābhirandhropaśobhitaḥ /	sindUra-pUrNa-gamBIra-nABi-ranDra-upaSoBitaH /
   lopikāpūpa*śapharāmikṣābhṛtamahodaraḥ // KNarm_2.109 //	lopikA-pUpa*SaPara-AmikzA-BRta-mahodaraH // KNarm_2.109 //
   madhumāṃsakṛtājīrṇapratyagrāmodaduḥsahān /	maDu-mAMsa-kRta-ajIrNa-pratyagra-Amoda-duHsahAn /
   dhūmodgāra*gaḍatkārānmuñcanmegha ivākulaḥ // KNarm_2.110 //	DUma-udgAra*-gaxatkArAt-muQcan-meGaH iva-AkulaH // KNarm_2.110 //
   gururgurutarāvidyāvadyamadyamadāndhadhīḥ /	guruH-gurutara-avidyA-vadya-madya-mada-anDa-DIH /
   ahaṃkāra ivākāramāgataḥ pratyadṛśyata // KNarm_2.111 //	ahaMkAraH iva-AkAram-AgataH pratyadRSyata // KNarm_2.111 //
   ākāreṇa gururguruśca vacasā kausīdyamaurkhyairgurur	AkAreNa guruH-guruH-ca vacasA kOsIdya-mOrKyEH-guruH-
   meḍhreṇātigurustathāsyakuharaśmaśrūdarasphigguruḥ /	meXreNa-ati-guruH-taTA-Asya-kuhara-SmaSru-udara-sPik-guruH /
   veśyākāminiyogivañcanaguruḥ sadvṛttaśūnyo guruś	veSyA-kAmi-niyogi-vaQcana-guruH sat-vRtta-SUnyaH guru-H-
   citraṃ sarvaguruḥ śivoditamahāśikṣāsu nityaṃ laghuḥ // KNarm_2.112 //	citram sarva-guruH Siva-udita-mahA-SikzAsu nityam laGuH // KNarm_2.112 //
   api nāma sa jāyeta pavitracaritaḥ kṣitau /	api nAma sa jAyeta pavitra-caritaH kzitO /
   aśaucanidhayo yena guravo nopasevitāḥ // KNarm_2.113 //	aSOca-niDayaH yena guravaH na-upasevitAH // KNarm_2.113 //
   ahaṃpūrvikayā sarve patitāstasya pādayoḥ /	ahaMpUrvikayA sarve patitAH-tasya pAdayoH /
   cakruḥ śirobhirbhūkampaluṭhatpiṭharakabhramam // KNarm_2.114 //	cakruH SiroBiH-BUkampa-luWat-piWaraka-Bramam // KNarm_2.114 //
   rakṣāyai nijabhāryāyāḥ sampadāṃ ca vivṛddhaye /	rakzAyE nija-BAryAyAH sampadAm ca vivRdDaye /
   niyoginā yāgavidhau vijñapto bhagavānguruḥ // KNarm_2.115 //	niyoginA yAga-viDO vijQaptaH BagavAn-guruH // KNarm_2.115 //
   likhitvā kuṅkumenāśu svalpasambhāracīrikām /	liKitvA kuFkumena-ASu su-alpa-samBAra-cIrikAm /
