   aitareyopaniṣad	Etareya-upanizad-
   sraṣṭāramabruvannuktavatyaḥ āyatanamadhiṣṭhānaṃ no 'smabhyaṃ prajānīhi	srazwAram-abruvan=-uktavatyaH Ayatanam-aDizWAnam naH asmaByam prajAnIhi
   vidhatsva /	viDatsva /
   yasminnāyatane pratiṣṭhitāḥ samarthāḥ satyo 'nnamadāma bhakṣayāma iti	yasmin=-Ayatane pratizWitAH samarTAH satyaH annamadAma BakzayAmaH iti
   START 1,2.2	START 1,2.2
   evamukta īśvaraḥ -	evam-uktaH ISvaraH -
   tābhyo gām ānayat |	tAByaH gAm Anayat |
   tā abruvan na vai no 'yam alam iti |	tAH abruvan na vE naH ayam alam iti |
   tābhyo 'śvam ānayat |	tAByaH aSvam Anayat |
   tā abruvan na vai no 'yam alam iti || AitUp_1,2.2 ||	tAH abruvan na vE naH ayam alam iti || AitUB-_1,2.2 ||
   tābhyo devatābhyo gāṃ gavākṛtiviśiṣṭaṃ piṇḍaṃ tābhya aivādbhyaḥ	tAByaH devatAByaH gAm gavA-AkRti-viSizwam piNxam tAByaH Eva-AdByaH
   pūrvavatpiṇḍaṃ samuddhṛtya mūrchayitvānayaddarśitavān /	pUrvavat-piNxam samudDRtya mUrCayitvA-Anayat-darSitavAn /
   tāḥ punargavākṛtiṃ dṛṣṭavānbruvan - na vai no	tAH punar-gavA-AkRtim dRzwavAn-bruvan  na vE no
   'smadarthamadhiṣṭhānāyānnamattumayaṃ piṇḍo 'laṃ na vai /	asmad-arTam-aDizWAnAya-anna-mattu-mayam piNxaH alam na vE /
   alaṃ paryāptaḥ attuṃ na yogya ityarthaḥ /	alam paryAptaH attum na yogyaH iti-arTaH /
   gavi pratyākhyāte tābhyo 'śvamānayattā abruvanna vai no 'yamalamiti	gavi pratyAKyAte tAByaH aSvamAna-yat-tA abruvan-na vE naH ayam-alam-iti
   pūrvavat //2//	pUrvavat //2//
   START 1,2.3	START 1,2.3
   sarvapratyākhyāne -	sarva-pratyAKyAne -
   tābhyaḥ puruṣam ānayat |	tAByaH puruzam Anayat |
   tā abruvan sukṛtaṃ bateti |	tAH abruvan sukRtam bata-iti |
   puruṣo vāva sukṛtam |	puruzaH vAva sukRtam |
   tā abravīd yathāyatanaṃ praviśateti || AitUp_1,2.3 ||	tAH abravIt yaTAyatanam praviSata-iti || AitUB-_1,2.3 ||
   AitUpBh_1,2.3	Aitu-upBh_1,2.3
   tābhyaḥ puruṣamānayatsvayonibhūtam /	tAByaH puruzam-Anayat-sva-yoni-BUtam /
   tāḥ svayoniṃ puruṣaṃ dṛṣṭvā akhinnāḥ satyaḥ sukṛtaṃ śobhanaṃ	tAH sva-yonim puruzam dRzwvA aKinnAH satyaH sukRtam SoBanam
   kṛtamidamadhiṣṭhānaṃ batetyabruvan tasmātpuruṣo vāva puruṣa eva sukṛtaṃ	kRtam-idam-aDizWAnam bata-iti-abruvan tasmAt-puruzaH vAva puruzaH eva sukRtam
   sarvapuṇyakarmahetutvāt /	sarva-puNya-karma-hetu-tvAt /
   svayaṃ vā svenevātmanā svamāyābhiḥ kṛtatvātsukṛtamityucyate /	svayam vA svena-iva-AtmanA sva-mAyABiH kRta-tvAt-sukRtam-iti-ucyate /
   tā devatā īśvaro 'bravīdiṣṭamāsāmidamadhiṣṭhānamiti matvā sarve hi	tAH devatAH ISvaraH abravIt-izwam-AsAm-idam-aDizWAnam-iti matvA sarve hi
   svayoniṣu ramante, ato yathāyatanaṃ yasya yadvadanādikriyāyogyamāyatanaṃ	sva-yonizu ramante, atas yaTAyatanam yasya yat-vadana-Adi-kriyA-yogyam-Ayatanam
   tatpraviśateti //3//	tat-praviSata-iti //3//
   START 1,2.4	START 1,2.4
   tathāstvityanujñāṃ pratilabhyeśvarasya nagaryāmiva balādhikṛtādayaḥ -	taTA-astu-iti-anujQAm pratilaBya-ISvarasya nagaryAm-iva bala-aDikRta-AdayaH -
   agnir vāg bhūtvā mukhaṃ prāviśat |	agniH vAc BUtvA muKam prAviSat |
   vāyuḥ prāṇo bhūtvā nāsike prāviśat |	vAyuH prANaH BUtvA nAsike prAviSat |
   ādityaś cakṣur bhūtvākṣiṇī prāviśat |	AdityaH cakzuH BUtvA-akziNI prAviSat |
   diśaḥ śrotraṃ bhūtvā karṇau prāviśan |	diSaH Srotram BUtvA karNO prAviSan |
   oṣadhivanaspatayo lomāni bhūtvā tvacaṃ prāviśan |	ozaDi-vanaspatayaH lomAni BUtvA tvacam prAviSan |
   candramā mano bhūtvā hṛdayaṃ prāviśat |	candramAH manaH BUtvA hRdayam prAviSat |
   mṛtyur apāno bhūtvā nābhiṃ prāviśat |	mRtyuH apAnaH BUtvA nABim prAviSat |
   āpo reto bhūtvā śiśnaṃ prāviśan || AitUp_1,2.4 ||	ApaH retaH BUtvA SiSnam prAviSan || AitUB-_1,2.4 ||
   AitUpBh_1,2.4	Aitu-upBh_1,2.4
   agnirvāgabhimānī vāgeva bhūtvā svāṃ yoniṃ mukhaṃ	agniH-vAc-aBimAnI vAc-eva BUtvA svAm yonim muKam
   prāviśattathoktārthamanyat /	prAviSat-taTA-ukta-arTam-anyat /
   vāyurnāsike ādityo 'kṣiṇī diśaḥ karṇau oṣadhivanasyatayastvacaṃ candramā	vAyuH-nAsike AdityaH akziNI diSaH karNO ozaDi-vanasyatayaH-tvacam candramA
   hṛdayaṃ mṛtyurnābhimāpaḥ śiśnaṃ prāviśan //4//	hRdayam mRtyuH-na-aBimApaH SiSnam prAviSan //4//
   START 1,2.5	START 1,2.5
   evaṃ labdhādhiṣṭhānāsu devatāsu -	evam labDa-aDizWAnAsu devatAsu -
   tam aśanāpipāse abrūtām avābhyām abhiprajānīhīti |	tam aSanA-pipAse abrUtAm avAByAm aBiprajAnIhi-iti |
   te abravīd etāsv eva vāṃ devatāsv ābhajāmy etāsu bhāginyau karomīti |	te abravIt etAsu eva vAm devatAsu ABajAmi etAsu BAginyO karomi-iti |
   tasmād yasyai kasyai ca devatāyai havir gṛhyate bhāginyāv evāsyām	tasmAt yasyE kasyE ca devatAyE haviH gRhyate BAginyO eva-asyAm
   aśanāpipāse bhavataḥ || AitUp_1,2.5 ||	aSanA-pipAse BavataH || AitUB-_1,2.5 ||
   AitUpBh_1,2.5	Aitu-upBh_1,2.5
   niradhiṣṭhāne satyau aśanāyāpipāse tamīśvaramabrūtāmuktavatyau /	niraDizWAne satyO aSanAyA-pipAse tam-ISvaram-abrUtAm-uktavatyO /
   āvābhyāmadhiṣṭhānamabhiprajānīhi cintaya vidhatsvetyarthaḥ /	AvAByAm-aDizWAnam-aBiprajAnIhi cintaya viDatsva-iti-arTaH /
   sa īśvara evamuktaste aśanāyāpipāse abravīt /	saH ISvaraH evam-uktaH-te aSanAyA-pipAse abravIt /
   na hi yuvayorbhāvarūpatvāccetanāvadvastvanāśrityānnārttṛtvaṃ saṃbhavati /	na hi yuvayoH-BAva-rUpa-tvAt-cetanAvat-vastu-anASrityAt-na-ArttR-tvam saMBavati /
   tasmādetāsvevāgnyādyāsu vāṃ yuvāṃ devatāsvadhyātmādhidevatāsvābhajāmi	tasmAt-etAsu-eva-agni-AdyAsu vAm yuvAm devatAsu-aDyAtma-aDidevatA-su-ABajAmi
   vṛttisaṃvibhāgenānugṛhṇāmi /	vRtti-saMviBAgena-anugRhNAmi /
   etāsu bhāginyai yaddevatyo yo bhāgo havirādilakṣaṇaḥ syāttasyāstenaiva,	etAsu BAginyE yat-devatyaH yaH BAgaH haviH-Adi-lakzaNaH syAt-tasyAH-tena-eva,
   bhāgena bhāginyau bhāgavatyau vāṃ karomīti /	BAgena BAginyO BAgavatyO vAm karomi-iti /
   sṛṣṭyādāvīśvara evaṃ vyadadhādyasmāttasmādidānīmapi yasyai kasyai ca	sRzwi-AdO=-ISvaraH evam vyadaDAt-yasmAt-tasmAt-idAnIm-api yasyE kasyE ca
   devatāyai arthāya havirgṛhyate carupuroḍāśādilakṣaṇaṃ bhāginyādeva	devatAyE arTAya haviH-gRhyate caru-puroxASa-Adi-lakzaNam BAginyAt-eva
   bhāgavatyāvevāsyāṃ devatāyāmaśanāyapipāse bhavataḥ //5//	BAgavatyO=-eva-asyAm devatAyAm-aSanAya-pipAse BavataH //5//
   iti prathamādhyāye dvitīyaḥ khaṇḍaḥ samāptaḥ //2//	iti praTama-aDyAye dvitIyaH KaNxaH samAptaH //2//
   START 1,3.1	START 1,3.1
   sa īkṣateme nu lokāś ca lokapālāś ca |	saH Ikzata-ime nu lokAH ca lokapAlAH ca |
   annam ebhyaḥ sṛjā iti || AitUp_1,3.1 ||	annam eByaH sRjAH iti || AitUB-_1,3.1 ||
   AitUpBh_1,3.1	Aitu-upBh_1,3.1
   evaṃ hi loke īśvarāṇāmanugrahe nigrahe ca svātantryaṃ dṛṣṭaṃ sveṣu /	evam hi loke ISvarANAm-anugrahe nigrahe ca svAtantryam dRzwam svezu /
   tadvanmaheśvarasyāpi sarveśvaratvātsarvānprati nigrahānugrahe 'pi	tadvat-maheSvarasya-api sarva-ISvara-tvAt-sarvAn-prati nigraha-anugrahe api
   svātantryameva //1//	svAtantryam-eva //1//
   START 1,3.2	START 1,3.2
   so 'po 'bhyatapat |	saH apaH aByatapat |
   tābhyo 'bhitaptābhyo mūrtir ajāyata |	tAByaH aBitaptAByaH mUrtiH ajAyata |
   yā vai sā mūrtir ajāyatānnaṃ vai tat || AitUp_1,3.2 ||	yA vE sA mUrtiH ajAyata-annam vE tat || AitUB-_1,3.2 ||
   AitUpBh_1,3.2	Aitu-upBh_1,3.2
   sa īśaro 'nnaṃ sisṛkṣustā eva pūrvoktā apa uddiśyābhyatapat /	saH ISaraH annam sisRkzuH-tAH eva pUrva-uktAH apaH uddiSya-aByatapat /
   tābhyo 'bhitaptābhya upādānabhūtābhyo mūrtirghanarūpaṃ dhāraṇasamartha	tAByaH aBitaptAByaH upAdAna-BUtAByaH mUrtiH-Gana-rUpam DAraNa-samarTa
   carācaralakṣaṇamajāyatotpannam /	carAcara-lakzaNam-aja-Ayata-utpannam /
   annaṃ vai tanmūrtirūpaṃ yā vai sā mūrtirajāyata //2//	annam vE tad-mUrti-rUpam yA vE sA mUrtiH-ajAyata //2//
   START 1,3.3	START 1,3.3
   tad enat sṛṣṭaṃ parāṅ atyajighāṃsat |	tat enat sRzwam parAF atyajiGAMsat |
   tad vācājighṛkṣat |	tat vAcA-ajiGRkzat |
   tan nāśaknod vācā grahītum |	tat na-aSaknot vAcA grahItum |
   sa yad dhainad vācāgrahaiṣyad abhivyāhṛtya haivānnam atrapsyat ||	sa yat Da-enat vAcA-agrahEzyat aBivyAhRtya ha-eva-annam atrapsyat ||
   AitUp_1,3.3 ||	AitUB-_1,3.3 ||
   AitUpBh_1,3.3	Aitu-upBh_1,3.3
   tadenadannaṃ lokalokapālānāmarthe 'bhimukhe sṛṣṭaṃ tadyathā	tat-enat-annam loka-lokapAlAnAm-arTe aBimuKe sRzwam tat-yaTA
   mūṣakādirmārjārādigocare, sanmama mṛtyurannāda iti matvā parāgañcatīti	mUzakAdiH-mArjAra-Adi-gocare, sat-mama mRtyuH-anna-AdaH iti matvA parAgaQcati-iti
   parāṅsadattṝnatītyājighāṃsadatigantumaicchat palāyituṃ prārabhatetyarthaḥ	parAFsa-dattLn-atItya-ajiGAMsat-atigantum-EcCat palAyitum prAraBatA-iti-arTaH
   tadannābhiprāyaṃ matvā sa lokalokapālasaṃghātaḥ kāryakaraṇalakṣaṇaḥ piṇḍaḥ	tat-anna-aBiprAyam matvA sa loka-lokapAla-saMGAtaH kArya-karaNa-lakzaNaH piNxaH
   prathamajatvād anyāṃścānnādānapaśyaṃstadannaṃ vācā	praTama-ja-tvAt anyAn=-ca-anna-AdAna-paSyan=-tat-annam vAcA
   vadanavyāpāreṇājighṛkṣad grahītumaicchat /	vadana-vyApAreNa-ajiGRkzat grahItum-EcCat /
   tadannaṃ nāśaknonna samartho 'bhadvācā vadanakriyayā grahītumupādātum /	tat-annam na-aSaknot-na samarTaH aBat-vAcA vadana-kriyayA grahItum-upAdAtum /
   sa prathamajaḥ śarīrī yadyadi hainadvācāgrahaiṣyadgṛhītavānsyādannaṃ sarvo	sa praTama-jaH SarIrI yat-yadi ha-enat-vAca-agrahEzyat-gRhItavAn-syAt-annam sarvaH-
   'pi lokastatkāryabhūtatvādabhivyāhṛtya haivānnamatrapsyattṛpto 'bhaviṣyat,	api lokaH-tad-kArya-BUta-tvAt-aBivyAhRtya ha-eva-annam-atrapsyat-tRptaH aBavizyat,
   na caitadasti, ato nāśaknodvācā grahītumityavagacchāmaḥ pūrvajo 'pi //3//	na ca-etat-asti, atas na-aSaknot-vAcA grahItum-iti-avagacCAmaH pUrvajaH api //3//
   START 1,3.4-10	START 1,3.4-10
   samānamuttaram -	samAnam-uttaram -
   tat prāṇenājighṛkṣat |	tat prANena-ajiGRkzat |
   tan nāśaknot prāṇena grahītum |	tat na-aSaknot prANena grahItum |
   sa yad dhainat prāṇenāgrahaiṣyad abhiprāṇya haivānnam atrapsyat ||	sa yat DEnat prANena-agrahEzyat aBiprANya ha-eva-annam atrapsyat ||
   AitUp_1,3.4 ||	AitUB-_1,3.4 ||
   tac cakṣuṣājighṛkṣat |	tat cakzuzA-ajiGRkzat |
   tan nāśaknoc cakṣuṣā grahītum |	tat na-aSaknot cakzuzA grahItum |
   sa yad dhainac cakṣuṣāgrahaiṣyad dṛṣṭvā haivānnam atrapsyat || AitUp_1,3.5	sa yat Da-enat cakzuzA-agrahEzyat dRzwvA ha-eva-annam atrapsyat || AitUB-_1,3.5
   tac chrotreṇājighṛkṣat |	tat SrotreNa-ajiGRkzat |
   tan nāśaknoc chrotreṇa grahītum |	tat na-aSaknot SrotreNa grahItum |
   sa yad dhainac chrotreṇāgrahaiṣyac chrutvā haivānnam atrapsyat ||	sa yat Da-enat SrotreNa-agrahEzyat SrutvA ha-eva-annam atrapsyat ||
   AitUp_1,3.6 ||	AitUB-_1,3.6 ||
   tat tvacājighṛkṣat |	tat tvacA-ajiGRkzat |
   tan nāśaknot tvacā grahītum |	tat na-aSaknot tvacA grahItum |
   sa yad dhainat tvacāgrahaiṣyat spṛṣṭvā haivānnam atrapsyat || AitUp_1,3.7	sa yat DEnat tvacA-agrahEzyat spRzwvA ha-eva-annam atrapsyat || AitUB-_1,3.7
   tan manasājighṛkṣat |	tat manasA-ajiGRkzat |
   tan nāśaknon manasā grahītum |	tat na-aSaknot manasA grahItum |
   sa yad dhainan manasāgrahaiṣyad dhyātvā haivānnam atrapsyat || AitUp_1,3.8	sa yat DEnan manasA-agrahEzyat DyAtvA ha-eva-annam atrapsyat || AitUB-_1,3.8
   tac chiśnenājighṛkṣat |	tat SiSnena-ajiGRkzat |
   tan nāśaknoc chiśnena grahītum |	tat na-aSaknot SiSnena grahItum |
   sa yad dhainac chiśnenāgrahaiṣyad visṛjya haivānnam atrapsyat ||	sa yat Da-enat SiSnena-agrahEzyat visRjya ha-eva-annam atrapsyat ||
   AitUp_1,3.9 ||	AitUB-_1,3.9 ||
   tad apānenājighṛkṣat |	tat apAnena-ajiGRkzat |
   tad āvayat |	tat Avayat |
   saiṣo 'nnasya graho yad vāyuḥ |	sa-ezaH annasya grahaH yat vAyuH |
   annāyur vā eṣa yad vāyuḥ || AitUp_1,3.10 ||	anna-AyuH vE eza yat vAyuH || AitUB-_1,3.10 ||
   AitUpBh_1,3.4-10	Aitu-upBh_1,3.4-10
   tatprāṇena taccakṣuṣā tacchrotreṇa tattvacā tanmanasā tacchiśnena tena	tad-prANena tad-cakzuzA tat-SrotreNa tat-tvacA tad-manasA tat-SiSnena tena
   tena karaṇavyāpāreṇānnaṃ grahītumaśaknuvanpaścādapānena vāyunā	tena karaNa-vyApAreNa-annam grahItum-aSaknuvan-paScAt-apAnena vAyunA
   mukhacchidreṇa tadannamajighṛkṣat /	muKa=-CidreNa tat-annam-ajiGRkzat /
   tadāvayāttadannamevaṃ jagrāha āśitavān /	tadA-avayAt-tat-annam-evam jagrAha ASitavAn /
   tena sa eṣo 'pānavāyurannasya graho 'nnagrāhaka ityetat /	tena saH ezaH apAna-vAyuH-annasya grahaH anna-grAhakaH iti-etat /
   yadvāyuryo vāyurannāyuḥ annabandhano 'nnajīvano vai prasiddhaḥ sa eṣa yo	yat-vA-AyuH-yaH vAyuH-anna-AyuH anna-banDanaH anna-jIvanaH vE prasidDaH saH eza yaH-
   vāyuḥ //4-10 //	vAyuH //4-10 //
   START 1,3.11	START 1,3.11
   sa īkṣata kathaṃ nv idaṃ mad ṛte syād iti |	saH Ikzata kaTam nu idam mat Rte syAt iti |
   sa īkṣata katareṇa prapadyā iti |	saH Ikzata katareNa prapadyAH iti |
   sa īkṣata yadi vācābhivyāhṛtaṃ yadi prāṇenābhiprāṇitaṃ yadi cakṣuṣā dṛṣṭaṃ	saH Ikzata yadi vAcA-aBivyAhRtam yadi prANena-aBiprANitam yadi cakzuzA dRzwam
   yadi śrotreṇa śrutaṃ yadi tvacā spṛṣṭaṃ yadi manasā dhyātaṃ yady	yadi SrotreNa Srutam yadi tvacA spRzwam yadi manasA DyAtam yadi-
   apānenābhyapānitaṃ yadi śiśnena visṛṣṭam atha ko 'ham iti || AitUp_1,3.11	apAnena-aBya-pAnitam yadi SiSnena visRzwam aTa kaH aham iti || AitUB-_1,3.11
   AitUpBh_1,3.11	Aitu-upBh_1,3.11
   sa evaṃ lokalokapālasaṃghātasthitimannanimittaṃ kṛtvā purapauratatpālayita	saH evam loka-lokapAla-saMGAta-sTitim-anna-nimittam kRtvA pura-pOra-tad-pAlayita
   sthitisamāṃ svāmīva īkṣata - kathaṃ nu kena prakāreṇeti vitarkayannidaṃ	sTiti-samAm svAmI-iva Ikzata  kaTam nu kena prakAreNa-iti vitarkayan=-idam
   madṛte māmantareṇa purasvāminam, yadidaṃ kāryakaraṇasaṃghātakāya	mad-Rte mAm-antareNa pura-svAminam, yat-idam kArya-karaNa-saMGAtakAya
   vakṣyamāṇaṃ kathaṃ nu khalu māmantareṇa syātparārthaṃ sat /	vakzyamANam kaTam nu Kalu mAm-antareNa syAt-para-arTam sat /
   yadi vācābhivyāhṛtamityādi kevalameva vāgvyavaharaṇādi tannirarthakaṃ na	yadi vAcA-aBivyAhRtam-ityAdi kevalam-eva vAc-vyavaharaNa-Adi tat-nirarTakam na
   kathañcana bhavedbalistutyādivat, pauravandyādibhiḥ prayujyamānaṃ	kaTaQcana Bavet-baliH-tuti-Adi-vat, pOra-vandya-AdiBiH prayujyamAnam
   svāmyarthaṃ sattatsvāminamantareṇāsatyeva svāmini tadvat /	svAmi-arTam sat-tad-svAminam-antareNa-asati-eva svAmini tadvat /
   tasmānmayā pareṇa svāminādhiṣṭhātrā kṛtākṛtaphalasākṣibhūtena bhoktā	tasmAt-mayA pareNa svAminA-aDizWAtrA kRta-akRta-Pala-sAkzi-BUtena BoktA
   bhavitavyaṃ purasyeva rājñā /	Bavitavyam purasya-iva rAjQA /
   yadi nāmaitatsaṃhatakāryasya parārthatvaṃ parārthinaṃ māṃ cetanamantareṇa	yadi nAma-etat-saMhata-kAryasya parArTa-tvam para-arTinam mAm cetanam-antareNa
   bhavetpurapaurakāryamiva tatsvāminam, atha ko 'haṃ kiṃsvarūpaḥ kasya vā	Bavet-pura-pOra-kAryam-iva tad-svAminam, aTa kaH aham kiMsvarUpaH kasya vA
   svāmī?	svAmI?
   yadyahaṃ kāryakaraṇasaṃghātamanupraviśya vāgādyabhivyāhṛtādiphalaṃ	yadi-aham kArya-karaNa-saMGAtam-anupraviSya vAc-Adi-aBivyAhRta-Adi-Palam
   nopalabheya rājeva puramāviśyādhikṛtapuruṣakṛtākṛtāvekṣaṇam na	na-upalaBeya rAjA-iva puram-AviSya-aDikRta-puruza-kRta-akRta-avekzaNam na
   kaścinmāmayaṃ sannevaṃrūpaścetyadhigacchedvicārayet /	kaScid-mAm-ayam san=-evaMrUpaH-ca-iti-aDigacCet-vicArayet /
   viparyaye tu yo 'yaṃ vāgādyabhivyāhṛtādīdamiti veda, sa	viparyaye tu yaH ayam vAc-Adi-aBivyAhRta-Adi-idam-iti veda, sa
   sanvedanarūpaścetyadhigantavyo 'haṃ syām, yadarthamidaṃ saṃhatānāṃ	san-vedana-rUpaH-ca-iti-aDigantavyaH aham syAm, yad-arTam-idam saMhatAnAm
   vāgādīnāmabhivyāhṛtādi, yathā stambhakuḍyādīnāṃ prāsādādisaṃhatānāṃ	vAc-AdInAm-aBivyAhRta-Adi, yaTA stamBa-kuxya-AdInAm prAsAda-Adi-saMhatAnAm
   svāvayavairasaṃhataparārthatvaṃ tadvaditi /	sva-avayavEH-asaMhata-para-arTa-tvam tadvat-iti /
   evamīkṣitvātaḥ katareṇa prapadyā iti /	evam-IkzitvAtas katareNa prapadyAH iti /
   prapadaṃ ca mūrdhā cāsya saṃghātasya praveśamārgau /	prapadam ca mUrDA ca-asya saMGAtasya praveSa-mArgO /
   anayoḥ katareṇa mārgeṇedaṃ kāryakaraṇasaṃghātalakṣaṇaṃ puraṃ prapadyai	anayoH katareNa mArgeNa-idam kArya-karaNa-saMGAta-lakzaNam puram prapadyE
   prapadyeyeti //11//	prapadyeya-iti //11//
   START 1,3.12	START 1,3.12
   evamīkṣitvā na tāvanmadbhṛtyasya prāṇasya mama sarvārthādhikṛtasya	evam-IkzitvA na tAvat-mad-BRtyasya prANasya mama sarva-arTa-aDikRtasya
   praveśamārgeṇa prapadābhyāmadhaḥ prapadye /	praveSa-mArgeNa prapadAByAm-aDas prapadye /
   kiṃ tarhi pāriśeṣyādasya mūrdhānaṃ vidārya prapadyeyamiti loka	kim tarhi pAriSezyAt-asya mUrDAnam vidArya prapadyeyam-iti loka
   ivekṣitakārī -	iva-Ikzita-kArI -
   sa etam eva sīmānaṃ vidāryaitayā dvārā prāpadyata |	saH etam eva sImAnam vidArya-etayA dvArA prApadyata |
   saiṣā vidṛtir nāma dvāḥ |	sA-ezA vidRtiH nAma dvAH |
   tad etan nāndanam |	tat etat nAndanam |
   tasya traya āvasathās trayaḥ svapnā ayam āvasatho 'yam āvasatho 'yam	tasya trayaH AvasaTAH trayaH svapnAH ayam AvasaTaH ayam AvasaTaH ayam
   āvasatha iti || AitUp_1,3.12 ||	AvasaTaH iti || AitUB-_1,3.12 ||
   AitUpBh_1,3.12	Aitu-upBh_1,3.12
   sa iṣṭeśvara etameva mūrdhasīmānaṃ keśavibhāgāvasānaṃ vidārya	saH izweSvaraH etam-eva mUrDa-sImAnam keSa-viBAga-avasAnam vidArya
   cchidrīkṛtvaitayā dvārā mārgeṇemaṃ lokaṃ kāryakaraṇasaṃghātaṃ prāpadyata	cCidrIkRtvA-etayA dvArAH mArgeNa-imam lokam kArya-karaNa-saMGAtam prApadyata
   praviveśa /	praviveSa /
   seyaṃ hi prasiddhā dvāḥ mūrdhni tailādidhāraṇakāle	sA-iyam hi prasidDAH dvAr mUrDni tEla-Adi-DAraNa-kAle
   antastadrasādisaṃvedanāt /	antar-tad-rasa-Adi-saMvedanAt /
   saiṣā vidṛtirvidāritatvādvidṛtirnāma prasiddhā dvāḥ /	sA-ezA vidRtiH-vidArita-tvAt-vidRtiH-nAma prasidDAH dvAH /
   itarāṇi tu śrotrādidvārāṇi bhṛtyādisthānīyasādhāraṇamārgatvānna samṛddhīni	itarANi tu Srotra-Adi-dvArANi BRtya-Adi-sTAnIya-sADAraNa-mArga-tvAt-na samRdDIni
   nānandahetūni /	na-Ananda-hetUni /
   idaṃ tu dvāraṃ parameśvarasyaiva kevalasyeti tadetannāndanaṃ nandanameva /	idam tu dvAram parameSvarasya-eva kevalasya-iti tat-etat-nAndanam nandanam-eva /
   nāndanamiti daidhyaṃ chāndasam nandatyanena dvāreṇa gatvā	nAndanam-iti dEDyam CAndasam nandati-anena dvAreNa gatvA
   parasminbrahmaṇīti /	parasmin-brahmaNi-iti /
   tasyaivaṃ sṛṣṭvā praviṣṭasya jīvenātmanā rājña iva puraṃ traya āvasathāḥ /	tasya-evam sRzwvA pravizwasya jIvena-AtmanA rAjQaH iva puram trayaH AvasaTAH /
   jāgaritakāsa indriyasthānaṃ dakṣiṇaṃ cakṣuḥ svapnakāle 'ntarmanaḥ,	jAgarita-kAsaH indriya-sTAnam dakziNam cakzuH svapna-kAle antar-manaH,
   suṣuptikāle hṛdayākāśa ityetat /	suzupti-kAle hRdaya-AkASaH iti-etat /
   vakṣyamāṇā vā traya āvasthāḥ pitṛśarīraṃ mātṛgarbhāśayaḥ svaṃ ca	vakzyamANAH vA trayaH AvasTAH pitR-SarIram mAtR-garBASayaH svam ca
   śarīramiti /	SarIram-iti /
   trayaḥ svapnā jāgratsvapnasuṣuptyākhyāḥ /	trayaH svapnAH jAgrat-svapna-suzupti-AKyAH /
   nanu jāgaritaṃ prabodharūpatvānna svapnaḥ, naivam, svapna eva /	nanu jAgaritam praboDa-rUpa-tvAt-na svapnaH, na-evam, svapnaH eva /
   katham? paramārthasvātmaprabodhābhāvātsvapnavadasadvastudarśanācca /	kaTam? parama-arTa-sva-Atma-praboDa-aBAvAt-svapna-vat-asat-vastu-darSanAt-ca /
   ayamevāvasathaścakṣurdakṣiṇaṃ prathamaḥ, mano 'ntaraṃ dvitīyaḥ,	ayam-eva-AvasaTaH-cakzuH-dakziNam praTamaH, manaH antaram dvitIyaH,
   hṛdayākāśastṛtīyaḥ /	hRdaya-AkASaH-tRtIyaH /
   ayamāvasatha ityuktānukīrtanameva /	ayam-AvasaTaH iti-ukta-anukIrtanam-eva /
   teṣu hyayamāvasatheṣu paryāyeṇātmabhāvena vartamāno 'vidyayā dīrghakālaṃ	tezu hi-ayam-AvasaTezu paryAyeNa-Atma-BAvena vartamAnaH avidyayA dIrGa-kAlam
   gāḍhaprasuptaḥ svābhāvikyā na prabudhyate	gAXa-prasuptaH svABAvikyAH na prabuDyate
   'nekaśatasahasrānarthasaṃnipātajaduḥkhamudgarābhighātānubhavairapi //12//	aneka-Sata-sahasra-anarTa-saMnipAta-ja-duHKa-mudgara-aBiGAta-anuBavEH-api //12//
   START 1,3.13	START 1,3.13
   sa jāto bhūtāny abhivyaikhyat kim ihānyaṃ vāvadiṣad iti |	sa jAtaH BUtAni aBivyEKyat kim iha-anyam vA-avadizat iti |
   sa etam eva puruṣaṃ brahma tatamam apaśyad idam adarśam itī 3 ||	saH etam eva puruzam brahma tatamam apaSyat idam adarSam itI 3 ||
   AitUp_1,3.13 ||	AitUB-_1,3.13 ||
   AitUpBh_1,3.13	Aitu-upBh_1,3.13
   sa jātaḥ śarīre praviṣṭo jīvātmanā bhūtānyabhivyaikhyadvyākarot /	sa jAtaH SarIre pravizwaH jIva-AtmanA BUtAni-aBivyEKya-dvyAkarot /
   sa kadācitparamakāruṇikenācāryeṇātmajñānaprabodhakṛcchabdikāyāṃ	sa kadAcid-parama-kAruNikena-AcAryeNa-Atma-jQAna-praboDa-kRt-SabdikAyAm
   vedāntamahāvākyabheryāṃ tatkarṇamūle tāḍyamānāyāmetameva	vedAnta-mahA-vAkya-BeryAm tad-karNa-mUle tAxyamAnAyAm-etam-eva
   sṛṣṭyādikartṛtvena prakṛtaṃ puruṣaṃ puri śayānamātmānaṃ brahma	sRzwi-Adi-kartR-tvena prakRtam puruzam puri SayAnam-AtmAnam brahma
   bṛhattatamaṃ takāreṇaikena luptena tatatamaṃ vyāptatamaṃ	bRhattatamam takAreNa-ekena luptena tatatamam vyAptatamam
   paripūrṇamākāśavatpratyabudhyatāpaśyat /	paripUrNam-AkASa-vat-pratyabuDyatA-apaSyat /
   katham? idaṃ brahma mamātmanaḥ /	kaTam? idam brahma mama-AtmanaH /
