   akārādilakārāntā ToT_9.17a	akAra-Adi-lakAra-antAH ToT_9.17a
   tripurā jāmadagnyaḥ syād ToT_10.10c	tripurAH jAmadagnyaH syAt ToT_10.10c
   tripurāyā mahāmantraṃ ToT_9.1a	tripurAyAH mahA-mantram ToT_9.1a
   trir nimajya japenmanum ToT_3.40b	tris nimajya japet-manum ToT_3.40b
   trivāraṃ japamācaret ToT_3.45b	tri-vAram japam-Acaret ToT_3.45b
   trivāraṃ jalamutkṣipet ToT_3.53b	tri-vAram jalam-utkzipet ToT_3.53b
   trivāraṃ nikṣipet sudhīḥ ToT_3.43b	tri-vAram nikzipet suDIH ToT_3.43b
   trividhaṃ vighnanāśanam ToT_4.4b	triviDam viGna-nASanam ToT_4.4b
   trividhaṃ vighnam utsārya ToT_3.58c	triviDam viGnam utsArya ToT_3.58c
   triṣu lokeṣu pūjitā ToT_3.18b	trizu lokezu pUjitAH ToT_3.18b
   triṣu lokeṣu pūjitā ToT_3.24d	trizu lokezu pUjitAH ToT_3.24d
   triṣu lokeṣu pūjitā ToT_6.44b	trizu lokezu pUjitAH ToT_6.44b
   trailokyajananī nityā ToT_1.20e	trElokya-jananI nityAH ToT_1.20e
   tryakṣarī paramā vidyā ToT_3.15c	tri-akzarI paramA vidyA ToT_3.15c
   tryambakastena kathyate ToT_1.10d	tryambakaH-tena kaTyate ToT_1.10d
   tvatprasādānmahādeva ToT_5.1a	tvad-prasAdAt-mahAdeva ToT_5.1a
   tvatprasādānmaheśvara ToT_5.28d	tvad-prasAdAt-maheSvara ToT_5.28d
   dakāraḥ pālakaḥ sadā ToT_1.18d	dakAraH pAlakaH sadA ToT_1.18d
   dakṣabhāge prapūjayet ToT_1.3d	dakza-BAge prapUjayet ToT_1.3d
   dakṣabhāge prapūjayet ToT_1.20b	dakza-BAge prapUjayet ToT_1.20b
   dakṣahaste samānayet ToT_3.47b	dakza-haste samAnayet ToT_3.47b
   dakṣiṇākālikā siddha- ToT_3.18c	dakziNA-kAlikA sidDa ToT_3.18c
   dakṣiṇāmūrtisaṃjñakam ToT_1.11d	dakziNAmUrti-saMjQakam ToT_1.11d
   dakṣiṇā ramate sadā ToT_1.4b	dakziNAH ramate sadA ToT_1.4b
   dakṣiṇe tryambakaṃ yajet ToT_1.9d	dakziNe tryambakam yajet ToT_1.9d
   dakṣiṇe pūjayecchivam ToT_1.7d	dakziNe pUjayet-Sivam ToT_1.7d
   dakṣiṇe brahmarūpakam ToT_1.17b	dakziNe brahma-rUpakam ToT_1.17b
   dantairdantān samāpīḍya ToT_10.3a	dantEH-dantAn samApIxya ToT_10.3a
   darśayed bahuyatnataḥ ToT_3.38b	darSayet bahu-yatnataH ToT_3.38b
   daśadigbandhanaṃ caret ToT_4.23d	daSa-digbanDanam caret ToT_4.23d
   daśapattre viṃśatiṃ ca ToT_9.11a	daSa-pattre viMSatim ca ToT_9.11a
   daśamūleṣu pūjayet ToT_4.35d	daSamUlezu pUjayet ToT_4.35d
   daśavaktraṃ maheśvaram ToT_1.17d	daSa-vaktram maheSvaram ToT_1.17d
   daśāvatāraṃ deveśa ToT_10.7c	daSa-avatAram deveSa ToT_10.7c
   diksahasraṃ sureśvari ToT_7.16b	diS-sahasram sureSvari ToT_7.16b
   digjapānnāśayeddhīmān ToT_4.27c	digjapAn-nASayet-DImAn ToT_4.27c
   dinatrayaṃ pūjayitvā ToT_9.9a	dina-trayam pUjayitvA ToT_9.9a
   divā lakṣaṃ japenmantraṃ ToT_6.22a	divA lakzam japet-mantram ToT_6.22a
   divyavīramate devi ToT_6.22c	divya-vIra-mate devi ToT_6.22c
   divyavīramatenaiva ToT_6.23c	divya-vIra-matena-eva ToT_6.23c
   dīrghakālaṃ sa jīvati ToT_9.24b	dIrGa-kAlam sa jIvati ToT_9.24b
   dīrghamuktaṃ ṣaḍaṅgakam ToT_5.16d	dIrGam-uktam zaxaFgakam ToT_5.16d
   duradṛṣṭavaśād devi ToT_5.9a	duradRzwa-vaSAt devi ToT_5.9a
   durgāyā dakṣiṇe deśe ToT_1.18a	durgAyAH dakziNe deSe ToT_1.18a
   durgā syāt kalkirūpiṇī ToT_10.11b	durgA syAt kalki-rUpiNI ToT_10.11b
   dṛṣṭimāropya yatnataḥ ToT_9.22b	dRzwim-Aropya yatnatas ToT_9.22b
   devakanyāsuśobhitam ToT_4.19b	devaka-nyA-su-SoBitam ToT_4.19b
   devatāprītaye paścāt ToT_3.35a	devatA-prItaye paScAt ToT_3.35a
   devatārghyaṃ tataḥ paścād ToT_3.50c	devatA-arGyam tatas paScAt ToT_3.50c
   devatā siddhikālikā ToT_3.14d	devatA sidDikAlikA ToT_3.14d
   devadeva mahādeva ToT_3.1a	devadeva mahAdeva ToT_3.1a
   devān pitṝn ṛṣīṃścaiva ToT_4.31c	devAn pitLn RzIn=-ca-eva ToT_4.31c
   devīpūjāṃ samācaret ToT_5.42b	devI-pUjAm samAcaret ToT_5.42b
   devyā haste japaphalaṃ ToT_3.77c	devyAH haste japa-Palam ToT_3.77c
   devyā haste samarpayet ToT_4.37d	devyAH haste samarpayet ToT_4.37d
   deharakṣaṇakāraṇam ToT_9.26d	deha-rakzaNa-kAraNam ToT_9.26d
   dehāsanaparo bhavet ToT_10.1d	deha-Asana-paraH Bavet ToT_10.1d
   drutasiddhipradā vidyā ToT_6.20a	druta-sidDi-pradA vidyA ToT_6.20a
   dvaṃdvaṃ cāparakaṃ śṛṇu ToT_3.11d	dvaMdvam ca-aparakam SRNu ToT_3.11d
   dvādaśe vedanetrakam ToT_9.11b	dvAdaSe veda-netrakam ToT_9.11b
   dvārapālāṃśca saṃpūjya ToT_4.6a	dvArapAlAn=-ca saMpUjya ToT_4.6a
   dvārapūjāṃ samācaret ToT_3.58b	dvAra-pUjAm samAcaret ToT_3.58b
   dvāviṃśatyakṣaraṃ mantraṃ ToT_3.13c	dvAviMSati-akzaram mantram ToT_3.13c
   dviguṇaṃ parikīrtitam ToT_7.26d	dviguNam parikIrtitam ToT_7.26d
   dviguṇaḥ parameśāni ToT_7.26a	dviguNaH parameSAni ToT_7.26a
   dvitīyaṃ parameśāni ToT_3.12c	dvitIyam parameSAni ToT_3.12c
   dvitīyā bhairavī parā ToT_1.20d	dvitIyA BEravI parA ToT_1.20d
   dviśataṃ vai rasātalam ToT_7.36d	dvi-Satam vE rasAtalam ToT_7.36d
   dvisaptatisahasrāṇi ToT_2.3c	dvisaptati-sahasrANi ToT_2.3c
   dve'ṅgulī cāntike sthite ToT_7.37b	dve-aFgulI ca-antike sTite ToT_7.37b
   dhamane cāṣṭadhā proktaḥ ToT_7.18a	Damane ca-azwaDA proktaH ToT_7.18a
   dharmārthakāmadā sadā ToT_9.38b	Darma-arTa-kAma-dA sadA ToT_9.38b
   dhārayed vāmahastake ToT_10.5b	DArayet vAma-hastake ToT_10.5b
   dhīmahīti tataḥ paścāt ToT_3.55c	DImahi-iti tatas paScAt ToT_3.55c
   dhīmahīti tato vadet ToT_3.52b	DImahi-iti tatas vadet ToT_3.52b
   dhūmāvatī mahāvidyā ToT_1.13c	DUmAvatI mahAvidyA ToT_1.13c
   dhūmāvatī varāhaṃ syāt ToT_10.9c	DUmAvatI varAham syAt ToT_10.9c
   dhenvādikaṃ tataḥ prāṇa- ToT_3.65c	Denu-Adikam tatas prANa ToT_3.65c
   dhyātvā tu parimaṇḍale ToT_3.54d	DyAtvA tu parimaNxale ToT_3.54d
   dhyānapūjādikaṃ sarvaṃ ToT_6.24c	DyAna-pUjA-Adikam sarvam ToT_6.24c
   dhyānamasyāḥ pravakṣyāmi ToT_9.39a	DyAnam-asyAH pravakzyAmi ToT_9.39a
   dhyānaṃ mānasayāgaṃ ca ToT_3.74a	DyAnam mAnasa-yAgam ca ToT_3.74a
   na kalau bhāvayet kvacit ToT_5.7d	na kalO BAvayet kvacid ToT_5.7d
   nakulīśaṃ samuddhṛtya ToT_5.2c	nakulISam samudDRtya ToT_5.2c
   na tatra prajapenmantraṃ ToT_9.20a	na tatra prajapet-mantram ToT_9.20a
   na prakāśyaṃ kadācana ToT_9.7d	na prakASyam kadAcana ToT_9.7d
   na bhogī bhogamāpnoti ToT_9.27a	na BogI Bogam-Apnoti ToT_9.27a
   namaskāraṃ samuccārya ToT_5.22c	namaskAram samuccArya ToT_5.22c
   namaskāraṃ samuddhṛtya ToT_5.4a	namaskAram samudDRtya ToT_5.4a
   nardinī ca tathā nidrā ToT_8.6c	nardinI ca taTA nidrA ToT_8.6c
   narmadeti samuccārya ToT_3.36c	narmadA-iti samuccArya ToT_3.36c
   na vaktavyaṃ paśor agre ToT_7.38c	na vaktavyam paSoH agre ToT_7.38c
   navalakṣāḥ prakīrtitāḥ ToT_8.3d	nava-lakzAH prakIrtitAH ToT_8.3d
   navārṇasya ca vāsanām ToT_9.1d	nava-arNasya ca vAsanAm ToT_9.1d
   navārṇo merurucyate ToT_9.2d	navArNaH meruH-ucyate ToT_9.2d
   nākāraḥ sṛṣṭikartā ca ToT_1.18c	na-AkAraH sRzwi-kartA ca ToT_1.18c
   nāgapāśaṃ tadūrdhvake ToT_9.18b	nAgapASam tad-UrDvake ToT_9.18b
   nāḍīdvayena deveśi ToT_2.13a	nAxI-dvayena deveSi ToT_2.13a
   nādaṃ ca vaktraṃ bhālaṃ ca ToT_6.30c	nAdam ca vaktram BAlam ca ToT_6.30c
   nādopari vicintayet ToT_8.13b	nAda-upari vicintayet ToT_8.13b
   nānāratnopaśobhitām ToT_4.20b	nAnA-ratna-upaSoBitAm ToT_4.20b
   nānārūpaṃ pinākadhṛk ToT_1.2b	nAnA-rUpam pinAkaDRk ToT_1.2b
   nānāsukhavilāsena ToT_8.19a	nAnA-suKa-vilAsena ToT_8.19a
   nānyat saṃcārayet sudhīḥ ToT_4.45b	na-anyat saMcArayet suDIH ToT_4.45b
   nābhimūle maheśāni ToT_7.34a	nABi-mUle maheSAni ToT_7.34a
   nābhirandhre'thavā gulphaṃ ToT_10.5a	nABi-ranDre-aTavA gulPam ToT_10.5a
   nābhyādihṛdayāntaṃ ca ToT_7.14c	nABi-Adi-hRdaya-antam ca ToT_7.14c
   nāradaṃ paripūjayet ToT_1.18b	nAradam paripUjayet ToT_1.18b
   nāradaḥ parikīrtitaḥ ToT_1.19b	nAradaH parikIrtitaH ToT_1.19b
   nāśameti na saṃśayaḥ ToT_5.11b	nASam-eti na saMSayaH ToT_5.11b
   nāsāgre yā sthirā dṛṣṭir ToT_6.27a	nAsA-agre yA sTirA dRzwiH ToT_6.27a
   nāsā netraṃ ca pārvati ToT_6.5d	nAsA netram ca pArvati ToT_6.5d
   nāsāyāṃ ca tato mukhe ToT_3.3d	nAsAyAm ca tatas muKe ToT_3.3d
   nāsārandhrāt samānīya ToT_4.33a	nAsA-ranDrAt samAnIya ToT_4.33a
   nāsāṃ netraṃ ca pārvati ToT_6.30d	na-AsAm netram ca pArvati ToT_6.30d
   nāsikāyāṃ mukhe caiva ToT_3.4c	nAsikAyAm muKe ca-eva ToT_3.4c
   nāsti satyaṃ sureśvara ToT_7.1d	na-asti satyam sureSvara ToT_7.1d
   nijapucchena kāminī ToT_9.17d	nija-pucCena kAminI ToT_9.17d
   nijabījatrayaṃ bhadre ToT_3.17a	nija-bIja-trayam Badre ToT_3.17a
   nijabījadvayaṃ kūrcaṃ ToT_3.15a	nija-bIja-dvayam kUrcam ToT_3.15a
   nijabījaṃ maheśāni ToT_3.20a	nija-bIjam maheSAni ToT_3.20a
   nityātantre śrutaṃ mayā ToT_9.1b	nityAtantre Srutam mayA ToT_9.1b
   nitye cāvyayapaṅkaje ToT_2.14b	nitye ca-avyaya-paFkaje ToT_2.14b
   nirākāraṃ ca mūrtimat ToT_6.41b	nirAkAram ca mUrtimat ToT_6.41b
   nirākāraṃ paraṃ jyotir ToT_6.47a	nirAkAram param jyotiH ToT_6.47a
   nirmālyavāsinīṃ ṅe'ntāṃ ToT_4.43a	nirmAlya-vAsinIm Fe-antAm ToT_4.43a
   nirmālyaṃ dhārayet śīrṣe ToT_4.43c	nirmAlyam DArayet SIrze ToT_4.43c
   nirmālyena prapūjayet ToT_4.42d	nirmAlyena prapUjayet ToT_4.42d
   nirvāṇamokṣadāyinī ToT_3.30d	nirvANa-mokza-dAyinI ToT_3.30d
   nirvāṇamokṣadāyinī ToT_6.16b	nirvANa-mokza-dAyinI ToT_6.16b
   niścitaṃ tu sa jīvati ToT_9.26b	niScitam tu sa jIvati ToT_9.26b
   niṣiddhācaraṇaṃ pāpaṃ ToT_5.10c	nizidDa-AcaraNam pApam ToT_5.10c
   niṣiddhācaraṇāddevi ToT_5.35c	nizidDa-AcaraNAt-devi ToT_5.35c
   niḥkṣipya ravisaṃkhyayā ToT_3.39b	niHkzipya ravi-saMKyayA ToT_3.39b
   nīlakaṇṭham upāsate ToT_5.8d	nIlakaNWam upAsate ToT_5.8d
   nīlakaṇṭhastavādikam ToT_5.9b	nIlakaNWa-stava-Adikam ToT_5.9b
   nīlakaṇṭhasya yanmantraṃ ToT_5.12c	nIlakaNWasya yat-mantram ToT_5.12c
   naivedyaṃ kiṃcit svīkṛtya ToT_3.71c	nEvedyam kiMcid svIkRtya ToT_3.71c
   naivedyaṃ kiṃcit svīkṛtya ToT_3.79e	nEvedyam kiMcid svIkRtya ToT_3.79e
   nyūnādhikaṃ mahādevi ToT_5.36a	nyUna-aDikam mahAdevi ToT_5.36a
   nyūnādhikaṃ maheśāni ToT_5.37a	nyUna-aDikam maheSAni ToT_5.37a
   pakṣāntare maheśāni ToT_5.13a	pakza-antare maheSAni ToT_5.13a
   pañcatattvaṃ viśodhayet ToT_4.24d	paQcatattvam viSoDayet ToT_4.24d
   pañcatattvena pārvati ToT_9.8d	paQcatattvena pArvati ToT_9.8d
   pañcatattvena sundari ToT_9.43d	paQcatattvena sundari ToT_9.43d
   pañcanāḍyaḥ prakīrtitāḥ ToT_8.5d	paQca-nAxyaH prakIrtitAH ToT_8.5d
   pañcamīti prakīrtitā ToT_1.9b	paQcamI-iti prakIrtitAH ToT_1.9b
   pañcamudrāḥ pradarśayet ToT_4.33d	paQca-mudrAH pradarSayet ToT_4.33d
   pañcalakṣāḥ prakīrtitāḥ ToT_8.3b	paQca-lakzAH prakIrtitAH ToT_8.3b
   pañcavaktraṃ tameva hi ToT_1.12b	paQcavaktram tam-eva hi ToT_1.12b
   pañcavaktraṃ trinetraṃ ca ToT_1.8a	paQcavaktram trinetram ca ToT_1.8a
   pañcavaktreṇa deveśi ToT_2.25a	paQcavaktreNa deveSi ToT_2.25a
   pañcavaktreṇa deveśi ToT_6.43c	paQcavaktreNa deveSi ToT_6.43c
   pañcākṣareṇa deveśi ToT_6.53c	paQcAkzareNa deveSi ToT_6.53c
   pañcāmnāyaphalapradaḥ ToT_5.5b	paQca-AmnAya-Pala-pradaH ToT_5.5b
   pañcāśadvarṇabhūṣitā ToT_9.14b	paQcASat-varNa-BUzitA ToT_9.14b
   pañcāśadvarṇarūpiṇī ToT_9.32d	paQcASat-varNa-rUpiNI ToT_9.32d
   pañcīkaraṇamācaret ToT_4.25b	paQcIkaraNam-Acaret ToT_4.25b
   paṭṭavastraparīdhānāṃ ToT_9.40a	pawwavastra-parIDAnAm ToT_9.40a
   pattramālāphalaṃ vada ToT_9.28d	pattra-mAlA-Palam vada ToT_9.28d
   pattre cābhyāsamācaret ToT_9.10b	pattre ca-aByAsam-Acaret ToT_9.10b
   padmāsīnaṃ samantāt stutam amaragaṇair vyāghrakṛttiṃ vasānaṃ ToT_5.17e	padmAsInam samantAt stutam amara-gaNEH vyAGra-kRttim vasAnam ToT_5.17e
   paramāṇutribhāgaika- ToT_8.11a	paramANu-tri-BAga-eka ToT_8.11a
   paramātmani sādhakaḥ ToT_4.8d	paramAtmani sADakaH ToT_4.8d
   parikhāto manoharam ToT_4.17b	pariKAtaH manoharam ToT_4.17b
   parito bhāvayenmantrī ToT_4.17a	paritas BAvayet-mantrI ToT_4.17a
   pavitrāhaṃ na cānyathā ToT_5.1b	pavitrA-aham na ca-anyaTA ToT_5.1b
   paśupatiḥ śivaścaiva ToT_5.33c	paSupatiH SivaH-ca-eva ToT_5.33c
   pātālatalavāsinī ToT_2.5d	pAtAla-tala-vAsinI ToT_2.5d
   pātālaṃ kīdṛśaṃ prabho ToT_7.31d	pAtAlam kIdRSam praBo ToT_7.31d
   pātālaṃ śṛṇu yatnataḥ ToT_2.7d	pAtAlam SRNu yatnatas ToT_2.7d
   pādāṅgulivirājitām ToT_9.41d	pAda-aFguli-virAjitAm ToT_9.41d
   pādāṅguṣṭhādigulphāntaṃ ToT_7.12a	pAdAFguzWa-Adi-gulPa-antam ToT_7.12a
   pādau ca kṣālayettataḥ ToT_4.3b	pAdO ca kzAlayet-tatas ToT_4.3b
   pāpabhāg jāyate naraḥ ToT_5.35d	pApa-BAj jAyate naraH ToT_5.35d
   pāparūpaṃ vicintayet ToT_3.48d	pApa-rUpam vicintayet ToT_3.48d
   pārthivaṃ śivapūjanam ToT_5.13d	pArTivam Siva-pUjanam ToT_5.13d
   pāvamānaṃ ca trir japtvā ToT_4.28c	pAvamAnam ca tris japtvA ToT_4.28c
   pitṛbhūmau dinatrayam ToT_9.46d	pitR-BUmO dina-trayam ToT_9.46d
   pitṛyajñaṃ tathaiva ca ToT_6.38d	pitR-yajQam taTA-eva ca ToT_6.38d
   pinākadhṛgiti coccārya ToT_5.19a	pinAkaDRk-iti ca-uccArya ToT_5.19a
   pīṭhanyāsaṃ tataḥ kṛtvā ToT_3.61c	pIWa-nyAsam tatas kRtvA ToT_3.61c
   pīṭhapūjāṃ punardhyānaṃ ToT_3.74c	pIWa-pUjAm punar-DyAnam ToT_3.74c
   pīṭhapūjāṃ samārabhet ToT_4.6b	pIWa-pUjAm samAraBet ToT_4.6b
   pīṭhaśaktīśca lakṣmyādyās ToT_4.6c	pIWa-SaktIH-ca lakzmI-AdyAH ToT_4.6c
   pīṭhe puṣpaṃ nidhāya ca ToT_4.33b	pIWe puzpam niDAya ca ToT_4.33b
   pītaṃ hālāhalaṃ viṣam ToT_1.6b	pItam hAlAhalam vizam ToT_1.6b
   pītvā pītvā japitvā ca ToT_4.39a	pItvA pItvA japitvA ca ToT_4.39a
   putradārādhanaṃ tasya ToT_5.11a	putra-dArADanam tasya ToT_5.11a
   punardevīṃ prapūjayet ToT_3.67b	punar-devIm prapUjayet ToT_3.67b
   punardevīṃ prapūjayet ToT_3.76d	punar-devIm prapUjayet ToT_3.76d
   punardevīṃ prapūjyātha ToT_4.36c	punar-devIm prapUjya-aTa ToT_4.36c
   punardhyātvā maheśāni ToT_5.18c	punar-DyAtvA maheSAni ToT_5.18c
   punardhyānaṃ sanetrakam ToT_3.64d	punar-DyAnam sa-netrakam ToT_3.64d
   punar bījatrayaṃ kūrcaṃ ToT_3.13a	punar bIja-trayam kUrcam ToT_3.13a
   punar bījatrayaṃ bhadre ToT_3.17c	punar bIja-trayam Badre ToT_3.17c
   punarmudrāṃ pradarśayet ToT_4.34b	punar-mudrAm pradarSayet ToT_4.34b
   punaśca kālikābījaṃ ToT_3.20c	punar-ca kAlikA-bIjam ToT_3.20c
   punaḥ prāsādamuddhṛtya ToT_5.6c	punar prAsAdam-udDRtya ToT_5.6c
   purato vajrapāṣāṇe ToT_3.49a	puratas vajrapAzANe ToT_3.49a
   puraścaraṇam ucyate ToT_6.18b	puraScaraNam ucyate ToT_6.18b
   puraścaraṇam uttamam ToT_6.21b	puraScaraNam uttamam ToT_6.21b
   puruṣatvaṃ na muñcati ToT_1.25f	puruza-tvam na muQcati ToT_1.25f
   puruṣaṃ kajjalaprabham ToT_4.9b	puruzam kajjala-praBam ToT_4.9b
   puraiva kathitaṃ mayā ToT_9.21b	purA-eva kaTitam mayA ToT_9.21b
   puṣpaṃ śirasi saṃdhārya ToT_5.18a	puzpam Sirasi saMDArya ToT_5.18a
   pūjayitvā maheśāni ToT_5.23a	pUjayitvA maheSAni ToT_5.23a
   pūjayet kālikāṃ devīṃ ToT_9.8a	pUjayet kAlikAm devIm ToT_9.8a
   pūjayet paradevatām ToT_3.75b	pUjayet para-devatAm ToT_3.75b
   pūjayet parameśāni ToT_1.16c	pUjayet parameSAni ToT_1.16c
   pūjayet parameśvarīm ToT_9.43b	pUjayet parameSvarIm ToT_9.43b
   pūjayet parayatnena ToT_1.12a	pUjayet para-yatnena ToT_1.12a
   pūjayet sādhakāgraṇīḥ ToT_3.77b	pUjayet sADaka-agraNIH ToT_3.77b
   pūjayet sādhakottamaḥ ToT_5.25d	pUjayet sADaka-uttamaH ToT_5.25d
   pūjayet sādhakottamaḥ ToT_5.34b	pUjayet sADaka-uttamaH ToT_5.34b
   pūjayedannapūrṇāyā ToT_1.17a	pUjayet-anna-pUrNAyAH ToT_1.17a
   pūjādhyānaṃ samācaret ToT_4.32d	pUjA-DyAnam samAcaret ToT_4.32d
   pūjāvidhirihocyate ToT_3.56d	pUjA-viDiH-iha-ucyate ToT_3.56d
   pūjyāsu bhuvanatraye ToT_1.1d	pUjyAsu Buvanatraye ToT_1.1d
   pūrakeṇa tu kūrcena ToT_4.10c	pUrakeNa tu kUrcena ToT_4.10c
   pūrakeṇa samānayet ToT_9.15d	pUrakeNa samAnayet ToT_9.15d
   pūrakeṇa sureśvari ToT_4.7d	pUrakeNa sureSvari ToT_4.7d
   pūrayet parameśāni ToT_2.20a	pUrayet parameSAni ToT_2.20a
   pūrayet parameśāni ToT_3.5a	pUrayet parameSAni ToT_3.5a
   pūrṇagirim adhobhāge ToT_7.32c	pUrNa-girim aDoBAge ToT_7.32c
   pūrṇāṃ śasyena deveśi ToT_6.36c	pUrNAm Sasyena deveSi ToT_6.36c
   pūrvādikramayogataḥ ToT_5.26d	pUrva-Adi-krama-yogataH ToT_5.26d
   pūrvoktenaiva vidhinā ToT_2.21a	pUrva-uktena-eva viDinA ToT_2.21a
   pṛthak pṛthak mahādeva ToT_1.2c	pRTak pRTak mahAdeva ToT_1.2c
   pṛthak pṛthaṅ mahādeva ToT_9.28c	pRTak pRTak mahAdeva ToT_9.28c
   pṛthivyāmavyayo deho ToT_9.34c	pRTivyAm-avyayaH dehaH ToT_9.34c
   pṛthivyāṃ vartate devi ToT_7.8a	pRTivyAm vartate devi ToT_7.8a
   pṛthvīcakrasya madhye tu ToT_8.14c	pRTvI-cakrasya maDye tu ToT_8.14c
   pṛthvīcakraṃ manoharam ToT_8.9b	pRTvI-cakram manoharam ToT_8.9b
   pṛṣṭhaṃ caiva kaṭidvayam ToT_6.31d	pRzWam ca-eva kawi-dvayam ToT_6.31d
   prakāraṃ śṛṇu pārvati ToT_6.4d	prakAram SRNu pArvati ToT_6.4d
   prakāśaṃ vīravandite ToT_2.3d	prakASam vIra-vandite ToT_2.3d
   prakuryājjñānacakṣuṣā ToT_4.16b	prakuryAt-jQAna-cakzuzA ToT_4.16b
   prakuryād dṛḍhabandhanam ToT_2.18d	prakuryAt dRXa-banDanam ToT_2.18d
   prajapettu pracodayāt ToT_3.52d	prajapet-tu pracodayAt ToT_3.52d
   prajapet sādhakāgraṇīḥ ToT_4.38d	prajapet sADaka-agraNIH ToT_4.38d
   prajapet sādhakāgraṇīḥ ToT_6.24b	prajapet sADaka-agraNIH ToT_6.24b
   prajapedakṣamālāyāṃ ToT_9.13a	prajapet-akzamAlAyAm ToT_9.13a
   praṇavaṃ kāmabījaṃ tu ToT_6.52a	praNavam kAmabIjam tu ToT_6.52a
   praṇavaṃ ca samuddhṛtya ToT_3.51a	praNavam ca samudDRtya ToT_3.51a
   praṇavādinamo'ntena ToT_5.26a	praNava-Adi-namaH-antena ToT_5.26a
   praṇavādi yadā devi ToT_5.5c	praNava-Adi yadA devi ToT_5.5c
   praṇavādyā mahāvidyā ToT_3.14c	praNava-AdyAH mahAvidyA ToT_3.14c
   praṇavādyā yadā vidyā ToT_3.27a	praNava-AdyAH yadA vidyA ToT_3.27a
   praṇavena ṣaḍaṅgaṃ ca ToT_9.38c	praNavena zaxaFgam ca ToT_9.38c
   pratipātre japenmantram ToT_4.39c	pratipAtre japet-mantram ToT_4.39c
   pratibimbaṃ prapaśyati ToT_4.15d	pratibimbam prapaSyati ToT_4.15d
   prativaktre sureśvari ToT_1.8b	prativaktre sureSvari ToT_1.8b
   pratiṣṭhāṃ mūlapūjanam ToT_3.65d	pratizWAm mUla-pUjanam ToT_3.65d
   pratyahaṃ prajapenmantraṃ ToT_9.45c	pratyaham prajapet-mantram ToT_9.45c
   pratyahaṃ yadi pārvati ToT_9.23d	pratyaham yadi pArvati ToT_9.23d
   pradarśya mūlamaṣṭadhā ToT_4.29d	pradarSya mUlam-azwaDA ToT_4.29d
   pramāṇaṃ kathitaṃ sarvaṃ ToT_7.22c	pramANam kaTitam sarvam ToT_7.22c
   pramāṇaṃ cāsya devasya ToT_8.12c	pramANam ca-asya devasya ToT_8.12c
   pramāṇaṃ vada śaṃkara ToT_8.10d	pramANam vada SaMkara ToT_8.10d
   praviśantī svaketanam ToT_9.19d	praviSantI sva-ketanam ToT_9.19d
   praviśennityamandiram ToT_2.14d	praviSet-nitya-mandiram ToT_2.14d
   prāṅmukho vāpyudaṅmukhaḥ ToT_2.18b	prAFmuKaH vA-api-udaFmuKaH ToT_2.18b
   prāṅmukho vāpyudaṅmukhaḥ ToT_3.2d	prAFmuKaH vA-api-udaFmuKaH ToT_3.2d
   prāṇabījādikā caiṣā ToT_3.31c	prANa-bIja-AdikA ca-ezA ToT_3.31c
   prāṇamantreṇa deveśi ToT_2.19c	prANa-mantreNa deveSi ToT_2.19c
   prāṇānte'pi kadācana ToT_7.38d	prANAnte-api kadAcana ToT_7.38d
   prāṇānte'pi paśoragre ToT_6.57c	prANAnte-api paSoH-agre ToT_6.57c
   prāṇāyāmapuraḥsaram ToT_3.49d	prANAyAma-puraHsaram ToT_3.49d
   prāṇāyāmastataḥ param ToT_3.73d	prANAyAmaH-tatas param ToT_3.73d
   prāṇāyāmaṃ ca sundari ToT_9.38d	prANAyAmam ca sundari ToT_9.38d
   prāṇāyāmaṃ tataścaret ToT_3.68b	prANAyAmam tatas-caret ToT_3.68b
   prāṇāyāmaṃ tataḥ kṛtvā ToT_3.56a	prANAyAmam tatas kRtvA ToT_3.56a
   prāṇāyāmaṃ tataḥ kṛtvā ToT_3.77a	prANAyAmam tatas kRtvA ToT_3.77a
   prāṇāyāmaṃ tataḥ kṛtvā ToT_3.78a	prANAyAmam tatas kRtvA ToT_3.78a
   prāṇāyāmaṃ tataḥ kṛtvā ToT_4.22c	prANAyAmam tatas kRtvA ToT_4.22c
   prāṇāyāmaṃ tataḥ kṛtvā ToT_4.37a	prANAyAmam tatas kRtvA ToT_4.37a
   prāṇāyāmaṃ tataḥ param ToT_4.42b	prANAyAmam tatas param ToT_4.42b
   prāṇāyāmaṃ tato japam ToT_3.67d	prANAyAmam tatas japam ToT_3.67d
   prāṇāyāmaṃ punaḥ kṛtvā ToT_4.38a	prANAyAmam punar kRtvA ToT_4.38a
   prāṇāyāmaṃ samācaret ToT_3.61d	prANAyAmam samAcaret ToT_3.61d
   prāṇāyāmena deveśi ToT_7.21a	prANAyAmena deveSi ToT_7.21a
   prāṇo vāyuḥ pratiṣṭhitaḥ ToT_6.3b	prANaH vAyuH pratizWitaH ToT_6.3b
   prātarutthāya mantrajñaḥ ToT_3.33a	prAtar-utTAya mantra-jQaH ToT_3.33a
   prāsādākhyaṃ mahāmanum ToT_5.3b	prAsAda-AKyam mahA-manum ToT_5.3b
   prāsādākhyaṃ samuddhṛtya ToT_5.6a	prAsAda-AKyam samudDRtya ToT_5.6a
   prāsādādīn mahāmantrān ToT_5.31a	prAsAda-AdIn mahA-mantrAn ToT_5.31a
