   ṣaṭ sandarbha nāmaka 	zaw sandarBa nAmaka 
   prayojanakatvaṃ nāma ko'pi svarūpānanda vilāsa bhūta paramāścarya 	prayojanaka tvam nAma kaH api sva rUpa Ananda  vilAsa BUta  parama AScarya 
   svabhāva viśeṣa iti mūla padye'py anukālam ṛcchatīty anenaiva [BhP 8.3.8]	svaBAva  viSezaH iti mUla padye api anukAlam RcCati iti anena eva [Bhj 8.3.8]
   darśitam | ataḥ prayojanāntara matitvaṃ tu tasmin nāsty eva | tat 	darSitam | atas prayojana antara mati tvam tu tasmin na asti eva | tat 
   prayojanatvaṃ ca tasya parama samarthasyānanda vilāsa eveti dik |	prayojana tvam ca tasya parama  samarTasya Ananda vilAse eva iti diS |
   yathoktam  	yaTA uktam  
   kṛpālor asamarthasya duḥkhāyaiva kṛpālutā |	kRpAloH asamarTasya duHKAya eva kRpAlu tA |
   samarthasya tu tasyaiva sukhāyaiva kṛpālutā || iti ||	samarTasya tu tasya eva suKAya eva kRpAlu tAH || iti ||
   gajendraḥ śrī harim || 49 ||	gaja indraH SrI  harim || 49 ||
   tasmād apāṇi pāda śruter api yad ananta svaprakāśānanda vigraha eva	tasmAt apANi  pAda  SruteH api yat ananta  sva prakASa Ananda vigrahaH eva
   bhagavati tātparyaṃ nānyatreti pratipādayanti |	Bagavati tAtparyam na anyatra iti pratipAdayanti |
   tvam akaraṇaḥ svarāḍ akhila kāraka śakti dharas	tvam akaraNaH svarAj aKila  kAraka  Sakti Dara s
   tava balim udvahanti samadantyajayānimiṣāḥ |	tava balim udvahanti sama danti ajaya animizAH |
   varṣa bhujo'khila ksitipater iva viśva sṛjo vidadhati	varza  BujaH aKila  ksitipateH iva viSva sRjaH vidaDati
   yatra ye tv adhikṛtā bhavataś cakitāḥ || [BhP 10.87.28]	yatra ye tu aDikRtAH BavataH cakitAH || [Bhj 10.87.28]
   ayam arthaḥ | atra karaṇaṃ nāma vāsyādivat kartṛ śakti preritatayā	ayam arTaH | atra karaNam nAma vA asya Adi vat kartR Sakti  prerita tayA
   kāryakaraṃ kartur bhinnatamaṃ kevala karaṇatvāpannam eva vastv aṅgīkṛtaṃ,	kArya karam kartuH Binnatamam kevala  karaNa tva Apannam eva vastu aFgIkRtaM,
   na tu svarūpatvāpannam api yat tad api | yathā dahanādau tac chaktyādikam	na tu svarUpa tva Apannam api yat tat api | yaTA dahana AdO tac  Sakti Adikam
   | gauṇārthatvāt svarāṭ pada niruktau sveneti tṛtīyānta padasya svarūpa 	| gONa arTa tvAt svarAw  pada  niruktO svena iti tRtIya anta padasya svarUpa 
   śaktāv eva paryavasānāc ca | tato jīvasya cid rūpatvāt pāṇyādīnāṃ svato	SaktO eva paryavasAnAt ca | tatas jIvasya cit   rUpa tvAt pANi AdInAm svatas 
   jaḍatvāt tad adhīna śaktīnāṃ teṣāṃ bhinnatamānāṃ karaṇatvaṃ	jaxa tvAt tad  aDIna  SaktInAm tezAm BinnatamAnAm karaNa tvam
   mukhyārtham eva | tato'sau tad āsaktatvāt sakaraṇaḥ tvaṃ tu tad antaryāmī	muKya arTam eva | tatas asO tad  a Asakta tvAt sa karaNaH tvam tu tad  antaryAmI
   tad anāsaktatvāt tad anapekṣo yataḥ svarāṭ svarūpa śaktyaiva rājase iti |	tat  anAsakta tvAt tad  anapekzaH yatas svarAj svarUpa SaktyA eva rAjase iti |
   tathā pralaya kālāvasāne |	taTA pralaya  kAla avasAne |
   striya urugendra bhoga bhuja daṇḍa viṣakta dhiyo	striyaH uruga indra   Boga  Buja  daNxa  vizakta Diyo
   vayam api te samāḥ samadṛśo'ṅghri saroja sudhāḥ || [BhP 10.87.23]	vayam api te samAH samadRSaH aFGri  saroja  suDAH || [Bhj 10.87.23]
   iti vidvad gaṇa gurubhir asmābhir api nijālambanatvena varṇyamāna parama 	iti vidvat   gaNa guruBiH asmABiH api nija Alambana tvena varNyamAna  parama 
   divya karaṇa gaṇa vicitro'py asau akaraṇa eva | kutaḥ svarāṭ svena	divya karaNa  gaNa vicitraH api asO akaraNaH eva | kutas svarAj svena
   svarūpa 	svarUpa 
   śakti viśeṣa siddha prādurbhāva viśeṣeṣeṇa svarūpeṇaiva tat tat karaṇatayā	Sakti viSeza  sidDa  prAdurBAva  viSeza IzeNa sva rUpeNa eva tat tat karaNa tayA
   rājase | teṣāṃ svarūpa bhūtatvena mukhya karaṇatvāyogād iti bhāvaḥ |	rAjase | tezAm svarUpa BUta tvena muKya  karaNa tva ayogAt iti BAvaH |
   anyathaupādhika vastu dvārā tavāpi prakāśe kathaṃ nāma svarāṭtvaṃ	anyaTA OpADika  vastu  dvArA tava api prakASe kaTam nAma svarAj tvam
   sidhyed iti ca |	siDyet iti ca |
   ānanda mātram ajaraṃ purāṇam ekaṃ santaṃ bahudhā dṛśyamānaṃ neha	Ananda  mAtram ajaram purANam ekam santam bahuDA dRSyamAnam na iha
   nānāsti kiñcana ity ādi śruteḥ [BAU 4.4.19] | ānanda mātra kara pāda 	nAnA asti kiQcanaH iti Adi SruteH [BAU 4.4.19] | Ananda  mAtra kara  pAda 
   mukhodarādir ity ādi smṛteś [NārPañc] ca |	muKa udara AdiH iti Adi smRteH [NA arPaQc] ca |
   nanu, mayi tathābhūta svarūpa śaktīnām astitāyāṃ kiṃ pramāṇam | tatrāhur	nanu, mayi taTABUta  svarUpa  SaktInAm astitAyAm kim pramANam | tatra AhuH 
   akhila kāraka śakti dhara iti | akhilebhyaḥ prāṇibhyaḥ kārakāṇi karaṇāni	aKila kAraka  Sakti DaraH iti | aKileByaH prANiByaH kArakANi karaNAni
   cakuṣur ādi golakāni teṣu śaktīś cendriyāṇi dharasi dadāsīti tathā |	cakuzuH  Adi golakAni tezu SaktIH ca indriyANi Darasi dadAsi iti taTA |
   sarveṣu	sarvezu
   teṣu tat tad dhāraṇāt | tās tu tvayi svataḥ siddhā avyayāḥ pūrṇā eva	tezu tat tad  DAraNAt | tAH tu tvayi svataH sidDAH avyayAH pUrNAH eva
   santīti	santi iti
   bhāvaḥ | tathā ca śrutiḥ   prāṇasya prāṇam uta cakṣuṣaś cakṣur iti ādyā	BAvaH | taTA ca SrutiH  prANasya prANam uta cakzuzaH cakzuH iti AdyA
   [KenaU 1.2] | svābhāvikī jñāna bala kriyā ca ity ādyā ca [ŚvetU 6.8] |	[KenaU 1.2] | svABAvikI jQAna bala  kriyA ca iti AdyA ca [ŚvetU 6.8] |
   tad uktam ekādaśe  	tat uktam ekAdaSe  
   yasyendriyas tanu bhṛtām ubhayendriyāṇi	yasya indriyaH tanu BRtAm uBaya indriyANi
   jñānaṃ svataḥ śvasanato balabhoja īhā || iti [BhP 11.4.4]	jQAnam svatas SvasanataH balaBojaH IhAH || iti [Bhj 11.4.4]
   ataeva vikaraṇatvān neti cet tad uktam ity [Vs 2.1.32] atra sūtrakāro'pi	ataeva vikaraNa tvAt na iti ced tat uktam iti [VH 2.1.32] atra sUtra kAraH api
   tad	tat 
   uktam ity anena śrutes tu śabda mūlatvād ity [Vs. 2.1.27] ukta rītyaiva	uktam iti anena SruteH tu Sabda  mUla tvAt iti [Vs. 2.1.27] ukta  rItyA eva
   śruty 	Sruty 
   eka gamyaṃ tarkātītaṃ tasya vikaraṇatvaṃ sakaraṇatvaṃ ca sādhitavān |	eka gamyam tarka atItam tasya vikaraNa tvam sa karaNa tvam ca sADitavAn |
   śrutiś	SrutiH 
   ca   na tasya kāryaṃ karaṇaṃ ca vidyate ity [ŚvetU 6.8] ādyā |	ca  na tasya kAryam karaNam ca vidyate iti [ŚvetU 6.8] AdyAH |
   athavā, akhila kāraka śakti dharo'pi tvam asāv akaraṇa evety anvayaḥ |	aTavA, aKila kAraka  Sakti DaraH api tvam asO akaraNaH eva iti anvayaH |
   kutaḥ	kutas 
   ? svarāḍ ity ādi | ataḥ sarvato vilakṣaṇa mahimatvād animiṣā devā	? svarAj iti Adi | atas sarvatas vilakzaNa  mahima tvAt animizA devAH 
   indrādayas tat pūjyā viśva sṛjo brahmādayo'pi tava tubhyaṃ balim upahāraṃ	indra AdayaH tat  pUjyAH viSva sRjaH brahma AdayaH api tava tuByam balim upahAram
   tad uccaiḥ śirobhir vahanti | ajayā teṣām adhikāriṇyā māyayāpi sahitāḥ |	tat uccEs SiroBiH vahanti | ajayA tezAm aDikAriNyAH mAyayA api sahitAH |
   sāpi ābhāsa śakti rūpā svarūpānanda śakti mayāya tubhyam ātma sampad 	sA api ABAsa  Sakti rUpA sva rUpa Ananda  Sakti mayAya tuByam Atma  sampad 
   udbhāvārthaṃ balim haratīty arthaḥ | samadanti ca mauṣyair dattaṃ havya 	udBAva arTam balim harati iti arTaH | samadanti ca mOzyEH dattam havya 
   kavy ādi lakṣaṇaṃ baliṃ bhakṣayanti ca | atra dṛṣṭāntaḥ varṣa bhuja iti |	kavy Adi  lakzaNam balim Bakzayanti ca | atra dRzwAntaH varza BujaH iti |
   varṣaṃ khaṇḍa maṇḍalam |	varzam KaNxa  maNxalam |
   kathaṃ balim udvahanti ? tad āhuḥ vidadhatīti | tva ājñā pālanam eva bali 	kaTam balim udvahanti ? tat AhuH vidaDati iti | tu a AjQA  pAlanam eva bali 
   haraṇam ity arthaḥ | bhīṣāsmād vātaḥ pavate bhīsodeti sūryaḥ bhīṣāsmād	haraNam iti arTaH | BIzA asmAt vAtaH pavate BIsodeti sUryaH BIzA asmAt 
   agniś cendraś ca mṛtyur dhāvati pañcamaḥ iti [Kaṭha 2.3.3] śruteḥ |	agniH ca indraH ca mRtyuH DAvati paQcamaH iti [KaWa 2.3.3] SruteH |
   athavā, nanu mama pāṇy ādi karaṇānāṃ svarūpa bhūtatve yukti kathayaty ata	aTavA, nanu mama pANi  Adi  karaNAnAm svarUpa BUta tve yukti kaTayati ata
   āhuḥ animiṣāḥ karaṇādhiṣṭhātṛ devās tava balim udvanatīti | ājñāna 	AhuH animizAH karaNa aDizWAtR devAH tava balim udvanati iti | AjQAna 
   devatvād viśva sṛjaḥ viśveṣāṃ sṛṣṭi hetavaḥ | anye tat tad adhiṣṭhātṛ 	deva tvAt viSva sRjaH viSvezAm sRzwi  hetavaH | anye tat tad  aDizWAtR 
   devatāśrayād eva karaṇair viṣayaṃ prakāśayituṃ śaknuvanti | tvaṃ punas	devatA ASrayAt eva karaNEH vizayam prakASayitum Saknuvanti | tvam punar 
   teṣām apy āśraya iti tvat karaṇānāṃ svaprakāśatāpatteḥ svarūpa bhūtatvam	tezAm api ASrayaH iti tu at karaNAnAm sva prakASa tA ApatteH svarUpa BUta tvam
   eveti |	eva iti |
   athāpy āstāṃ mahā śaktir māyaivāśraya ity ata āhuḥ ajayeti | nanu jīvā api	aTa api AstAm mahA  SaktiH mAyA eva ASrayaH iti atas AhuH ajaya iti | nanu jIvAH api
   nijendriyādhiṣṭhātātṝṇām āśrayā bhavanti | tatrāhuḥ vidadhatīti | viṣaya 	nija indriya aDizWAta atLNAm ASrayAH Bavanti | tatra AhuH vidaDati iti | vizaya 
   bhoga dvāreeṣv indriyeṣu bhavatā viśva patinā dattādhikārāṇāṃ devānām	Boga dvAreezu indriyezu BavatA viSva patinA datta aDikArANAm devAnAm
   evādhikāryāḥ katipaya grāma bhaumikā iva jīvā iti na teṣām āśrayāḥ |	eva aDikAryAH katipaya  grAma  BOmikAH iva jIvAH iti na tezAm ASrayAH |
   kintu bhavān eva teṣām adhikārakatvād āśraya iti bhāvaḥ ||	kintu BavAn eva tezAm aDikAraka tvAt ASrayaH iti BAvaH ||
   10|87|| śrutayaḥ śrī bhagavantam ||50||	10|87|| SrutayaH SrI  Bagavantam ||50||
   tasmād vilakṣaṇa pāṇi pādāditvenaivāpāṇi pādāditvam | yathāha  	tasmAt vilakzaNa pANi  pAda Adi tvena eva apANi pAda Adi tvam | yaTA Aha  
   tvak śmaśru roma nakha keśa pinaddham antar	tvak  SmaSru   roma  naKa  keSa pinadDam antar
   māṃsāsthi rakta kṛmi viṭ kapha pitta vātam |	mAMsa asTi  rakta  kRmi  viw  kaPa  pitta  vAtam |
   jīvac chavaṃ bhajati kāntam ati vimūḍhā	jIvac Cavam Bajati kAntam ati vimUXA
   yā te padābja makarandam ajighratī strī || [BhP 10.60.45]	yA te pada abja  makarandam ajiGratI strI || [Bhj 10.60.45]
   atha śrī bhagavati keśādīnāṃ śrūyamāṇānām ānanda svarūpatvam anyeṣāṃ	aTa SrI  Bagavati keSa AdInAm SrUyamANAnAm Ananda  svarUpa tvam anyezAm
   tv abhāva eveti vailakṣaṇyaṃ spaṣṭam eva | ataeva hi hiraṇyakaśipuṃ prati	tu aBAvaH eva iti vElakzaNyam spazwam eva | ataeva hi hiraNyakaSipum prati
   tan māraka jana niṣedha lakṣaṇa brahma vara dānam api saṅgacchate |	tan mAra ka jana  nizeDa  lakzaNa  brahma  vara dAnam api saFgacCate |
   vyasubhir vāsumadbhir vā surāsura mahoragair iti [BhP 7.3.37] | na caitat	vyasuBiH vAsumadBiH vA sura asura  mahA uragEH iti [Bhj 7.3.37] | na ca etat 
   karaṇasya niṣedha paraṃ, kintu kartur eva | kartṛ prakaraṇāt aprāṇibhiḥ	karaNasya nizeDa  paran, kintu kartuH eva | kartR prakaraNAt aprANiBiH
   prāṇibhir vety uktes tasyaiva prāptatvāt | hantur jīvad[*ENDNOTE #13] 	prANiBiH vA iti ukteH tasya eva prApta tvAt | hantuH jIvad[*ENDNa oTEH #13] 
   deha sāmye'pi saprāṇa bhāgān niṣkrāntasya kartanīya[*ENDNOTE #14] 	deha  sAmye api sa prANa  BAgAn nizkrAntasya kartanIya[*ENDNOTEH #14] 
   nakhāgra bhāgasya tyakta prāṇatvāc ca |	naKa agra  BAgasya tyakta  prANa tvAt ca |
   tasmād asmākam aprāṇo hy amanāḥ śubhra iti | asya mahato bhūtasya	tasmAt asmAkam aprANaH hi amanAH SuBraH iti | asya mahataH BUtasya
   niḥśvasitam etad iti [BAU 2.4.10] ca śrutir nāsaṅgateti | ataeva vārāhe  	niHSvasitam etat iti [BAU 2.4.10] ca SrutiH na asaFgatA iti | ataeva vArAhe  
   na yasya prākṛtā mūrtir medomajjāsthi sambhavā |	na yasya prAkRtA mUrtiH medaH majja asTi samBavA |
   na yogitvādīśvaratvāt satya rūpo'cyuto vibhur || iti ||	na yogi tvAt ISvara tvAt satya  rUpaH acyutaH viBuH || iti ||
   tac cāprākṛta mūrtitvaṃ tasya mahāyogitvād icchā kṛtam iti na, kintv	tat ca aprAkRta mUrti tvam tasya mahA yogi tvAt icCA kRtam iti na, kintv
   īśvaratvān nityam evety arthaḥ | tathā ca prayogaḥ | īśvaraḥ sa vigrahaḥ	ISvara tvAt nityam eva iti arTaH | taTA ca prayogaH | ISvaraH sa vigrahaH
   jñānecchā prayatnavat kartṛtvāt kulālādivat | sa ca vigraho nityaḥ īśvara 	jQAna icCA  prayatna vat kartR tvAt kulAla Adi vat | sa ca vigrahaH nityaH ISvara 
   kararṇatvāt taj jñānādivad iti | ataeva vilakṣaṇatvam api | jīvacchavam	kara rNa tvAt taj  jQAna Adi vat iti | ataeva vilakzaNa tvam api | jIvacCavam
   iti	iti
   caitanyayogena jīvantam svatas tu śavam | tataḥ śrī bhagavad vigrahas tu	cEtanya yogena jIvantam svatas tu Savam | tatas SrI  Bagavat  vigrahaH tu
   cid	cit 
   eka rasatvāt sadā jīvann eveti vailakṣaṇyaṃ yuktaṃ nityānanda cid rūpatvād	eka rasa tvAt sadA jIvan eva iti vElakzaNyam yuktam nitya Ananda cit  rUpa tvAt 
   bhajanīyatvaṃ ca yuktam iti bhāvaḥ ||	BajanIya tvam ca yuktam iti BAvaH ||
   || 10.60 || śrī rukmiṇī śrī bhagavantam ||51||	|| 10.60 || SrI  rukmiNI SrI  Bagavantam ||51||
   nāma rūpitva vidhiniṣedha śrutibhir vivadamānānāṃ vivādāvasare tad eva	nAma  rUpi tva  viDi nizeDa  SrutiBiH vivadamAnAnAm vivAda avasare tat eva
   hy apapādayati |	hi apapAdayati |
   astīti nāstīti ca vastu niṣṭhayor	asti iti na asti iti ca vastu nizWayoH 
   eka sthayor bhinna viruddha dharmaṇoḥ	eka sTayoH Binna  virudDa  DarmaNoH
   avekṣitaṃ kiñcana yoga sāṅkhyayoḥ	avekzitam kiQcana yoga  sAFKyayoH
   samaṃ paraṃ hy anukūlaṃ bṛhat tat || [BhP 6.4.32]	samam param hi anukUlam bRhat tat || [Bhj 6.4.32]
   astīti yogaḥ sthūlopāsanā śāstraṃ, tatra hi yad bhagavato nāma rūpitvaṃ	asti iti yogaH sTUla upAsanA  SAstran, tatra hi yat  BagavataH nAma  rUpi tvam
   śrūyate tad dṛṣṭa kalpanā lāghavāt ghaṭa paṭādi lakṣaṇākhila nāma 	SrUyate tad  dRzwa kalpanA  lAGavAt Gawa  pawa Adi  lakzaNa aKila  nAma 
   dheyatvaṃ pātāla pādādikatvaṃ ceti vidhīyate | nāstīti sāṅkhyaṃ jñāna 	Deya tvam pAtAla pAda Adika tvam ca iti viDIyate | na asti iti sAFKyam jQAna 
   śāstraṃ tatra hi niṣedha śrutibhis tasya nāma rūpitvaṃ yan niṣidhyate tat	SAstram tatra hi nizeDa  SrutiBiH tasya nAma  rUpi tvam yat niziDyate tat 
   prāpañcika nāma rūpitvasya kalpitatvāt sarvathaiva nāstīti niścīyate | tad	prApaQcika nAma  rUpi tvasya kalpita tvAt sarvaTA eva na asti iti niScIyate | tat 
   uktam ubhaya matasyaiva prāk | sa sarva nāmā sa ca viśva rūpaḥ ity ādinā	uktam uBaya matasya eva prAk | sa sarva nAmA sa ca viSva rUpaH iti AdinA
   yad yan niruktaṃ vacasā nirūpitam ity ādinā ca [BhP 6.4.28 29] |	yat yat niruktam vacasA nirUpitam iti AdinA ca [Bhj 6.4.28 29] |
   astīti nāstīti ca vastuni niṣṭhā yayoḥ | tam eva vivādaṃ sphuṭayati,	asti iti na asti iti ca vastuni nizWA yayoH | tam eva vivAdam sPuwayati,
   bhinnau	BinnO
   astīti nāstīty evambhūtau viruddhau dharmau yayos tayoḥ |	asti iti na asti iti evamBUtO virudDO DarmO yayoH tayoH |
   nanv āstām anayor bhinna viṣayatvaṃ netyāha ekasthayoḥ samāna viṣayoḥ |	nanu AstAm anayoH Binna vizaya tvam na iti Aha ekasTayoH samAna   vizayoH |
   tad evaṃ vivāde sati yat kiñcit samaṃ samañjasatvenaiva avekṣitaṃ pratītaṃ	tat evam vivAde sati yat kiQcid samam samaQjasa tvena eva avekzitam pratItam
   vastu tad dvayor api bṛhan mahad anukūlaṃ bhavati | kiṃ tat samañjasaṃ ?	vastu tat dvayoH api bRhat mahat anukUlam Bavati | kim tat samaQjasam ?
   yat	yat 
   paraṃ nāma rūpād atyanta tad abhāvāc ca vilakṣaṇaṃ kim api nāma rūpa 	param nAma  rUpAt atyanta  tad aBAvAt ca vilakzaNam kim api nAma  rUpa 
   lakṣaṇam eva vastv ity arthaḥ |	lakzaNam eva vastu iti arTaH |
   etad uktaṃ bhavati | ekasminn eva vastuni nāma rūpitva vidhi niṣedhābhyāṃ	etat uktam Bavati | ekasmin eva vastuni nAma  rUpi tva  viDi  nizeDAByAm
   parasparaṃ śrutayaḥ parāhatārthāḥ syuḥ | atra tu paratvenobhayatrāpi	parasparam SrutayaH parAhata arTAH syuH | atra tu paratvena uBayatra api
   prāktana yuktyā samañjasam aprākṛta nāma rūpitvam eva vidhi niṣedha 	prAktana yuktyA samaQjasam aprAkRta nAma  rUpi tvam eva viDi nizeDa 
   śruti tātparyenopasthāpyata iti tat tan mataṃ vivāda mātram |	Sruti tAtparyena upasTApyate iti tat tan  matam vivAda  mAtram |
   ittham evātra śrī dhruveṇa nirvivādatvam uktam   	itTam eva atra SrI  DruveNa nirvivAda tvam uktam   
   tiryaṅ naga dvija sarīsṛpa deva daitya 	tiryaF naga dvija  sarIsRpa  deva  dEtya 
   martyādibhiḥ paricitaṃ sad asad viśeṣam	martya AdiBiH paricitam sat  asat  viSezam
   rūpaṃ sthaviṣṭham aja te mahad ādy anekaṃ	rUpam sTavizWam aja te mahat  Adi  anekam
   nātaḥ paraṃ parama vedmi na yatra vādaḥ || iti [BhP 4.9.13] |	na atas param parama vedmi na yatra vAdaH || iti [Bhj 4.9.13] |
   atra rūpa śabdasyaivobhayatra viśeṣyatvena | bhūpa rūpam arūpaṃ ca paraṃ	atra rUpa  Sabdasya eva uBayatra viSezya tvena | BUpa rUpam arUpam ca param
   cāparam eva ca iti [ViP 6.7.47] vaiṣṇava vākyānusāreṇa ca | ataḥ paraṃ	ca aparam eva ca iti [ViS 6.7.47] vEzNava  vAkya anusAreNa ca | atas param
   caturbhujāditva lakṣaṇaṃ rūpaṃ vapur ity arthaḥ | tac cāgre darśayiṣyate |	catur Buja Adi tva  lakzaNam rUpam vapuH iti arTaH | tat ca agre darSayizyate |
   tan na vedmi etat paryantaṃ kālaṃ nājñāsiṣam ity arthaḥ | tad eva vyanakti	tat na vedmi etat paryantam kAlam na AjQAsizam iti arTaH | tat eva vyanakti
   yo 'nugrahārthaṃ bhajatāṃ pāda mūlam	yaH anugraha arTam BajatAm pAda  mUlam
   anāma rūpo bhagavān anantaḥ |	anAma   rUpaH BagavAn anantaH |
   nāmāni rūpāṇi ca janma karmabhir	nAmAni rUpANi ca janma  karmaBiH 
   bheje sa mahyaṃ paramaḥ prasīdatu || [BhP 6.4.33]	Beje sa mahyam paramaH prasIdatu || [Bhj 6.4.33]
   yo nāma rūpa rahita eva nāmāni rūpāṇi ca bheje prakaṭitavān | janma 	yaH nAma  rUpa  rahitaH eva nAmAni rUpANi ca Beje prakawitavAn | janma 
   karmabhiḥ saha tāni ca prakaṭitavān ity arthaḥ | vyatireke doṣam āha	karmaBiH saha tAni ca prakawitavAn iti arTaH | vyatireke dozam Aha
   ananta	ananta
   iti | yadi tasmin nāma rūpitvādikaṃ nāsti tarhi tac chaktimattvaṃ prati	iti | yadi tasmin nAma  rUpitvA Adikam na asti tarhi tac Saktimat tvam prati
   sāntatvam eva prasajyeteti | tad uktaṃ pracetobhiḥ    na hy antas tvad 	sAnta tvam eva prasajyeta iti | tat uktam pracetoBiH   na hi antar tvad  
   vibhūtīnāṃ so 'nanta iti gīyase iti [BhP 4.30.31] | tat tat prakāśane	viBUtInAm saH anantaH iti gIyase iti [Bhj 4.30.31] | tat tat  prakASane
   hetuḥ |	hetuH |
   bhagavān bhagātmaka śaktimān | tasyāḥ śakter māyātvam niṣedhati	BagavAn Baga Atmaka  SaktimAn | tasyAH SakteH mAyA tvam nizeDati
   paramaḥ | parākhya śakti rūpā mā lakṣmīr yasmin | anyathā paramatva 	paramaH | para AKya  Sakti  rUpA mA lakzmIH yasmin | anyaTA parama tva 
   vyāghātaḥ syād iti bhāvaḥ |	vyAGAtaH syAt iti BAvaH |
   tasmān na māyayā sarvaṃ sarvam aiśvarya sambhavam |	tasmAt na mAyayA sarvam sarvam ESvarya  samBavam |
   amāyo hīśvaro yasmāt tasmāt taṃ paramaṃ viduḥ || ity ukteḥ |	amAyaH hi ISvaraH yasmAt tasmAt tam paramam viduH || iti ukteH |
   nanu, sarva nāma viśva rūpatve tad rāhitye ca santy eva tat tad upāsakāḥ	nanu, sarva nAma  viSva rUpa tve tad  rAhitye ca santi eva tat tad  upAsakAH
   pramāṇam | atra tu ke syur ity āśaṅkyāha   pāda mūlaṃ bhajatām	pramANam | atra tu ke syuH iti ASaFkya Aha  pAda  mUlam BajatAm
   anugrahārtham iti | yoga sāṅkhyayos tat tattvaṃ na samyak prakāśate, kintu	anugraha arTam iti | yoga  sAFKyayoH tat tattvam na samyak prakASate, kintu
   bhaktāv eva | bhaktir evainaṃ darśayati ity ādi śruteḥ | tasmād yuktaṃ	BaktO eva | BaktiH eva enam darSayati iti Adi SruteH | tasmAt yuktam
   tayor	tayoH 
   vivāda mātratvam iti bhāvaḥ | ataeva vakṣyate'nantaram eva   	vivAda  mAtra tvam iti BAvaH | ataeva vakzyate anantaram eva   
   iti saṃstuvatas tasya sa tasminn agha marṣaṇe |	iti saMstuvataH tasya sa tasmin aGa  marzaNe |
   prādurāsīt kuru śreṣṭha bhagavān bhakta vatsalaḥ ||	prAdurAsIt kuru  SrezWa BagavAn Bakta  vatsalaH ||
   kṛta pādaḥ suparṇāṃsa ity ādeḥ [BhP 6.4.35 6]	kRta pAdaH suparNa aMsaH iti AdeH [Bhj 6.4.35 6]
   pāda mūlaṃ bhajatām ity anena tān prati rūpa prākaṭyāt pūrvam api rūpam	pAda  mUlam BajatAm iti anena tAn prati rUpa  prAkawyAt pUrvam api rUpam
   asty eveti vyañjitam | caraṇaṃ pavitraṃ vitataṃ purāṇam ity ādi śruteḥ |	asti eva iti vyaQjitam | caraNam pavitram vitatam purANam iti Adi SruteH |
   bheja	Beja
   ity atīta nirdeśaḥ prāmāṇya dārḍhyāyānāditvaṃ bodhayati | ananta padasya	iti atIta  nirdeSaH prAmANya  dArXyAya anAdi tvam boDayati | ananta padasya
   ca nāmāni rūpāṇi cānantāny eveti bhāvaḥ | atra prākṛta nāma rūpa rahito'pi	ca nAmAni rUpANi ca anantAni eva iti BAvaH | atra prAkRta nAma  rUpa rahitaH api
   iti ṭīkā ca ||	iti wIkA ca ||
   || 6.4 || dakṣaḥ śrī puruṣottamam ||52||	|| 6.4 || dakzaH SrI  puruzottamam ||52||
   tad evaṃ nityatvād vibhutvāt sarvāśrayatvāt sthūla s”kṣmāprākṛta vastv 	tat evam nitya tvAt viBu tvAt sarva ASraya tvAt sTUla s”kzmA prAkRta  vastu  
   atiriktatvāt pratya rūpatvāt sva prakāśatvāt	atirikta tvAt pratya  rUpa tvAt sva  prakASa tvAt 
   sarva śruti samanvaya siddhatvāt	sarva  Sruti  samanvaya  sidDa tvAt
   tad rūpaṃ parama tattva rūpam eveti siddham | tathaiva hi param 	tad  rUpam parama  tattva  rUpam eva iti sidDam | taTA eva hi param 
   vaiduṣyeṇānubhūtaṃ spaṣṭam evāha tribhiḥ  	vEduzyeNa anuBUtam spazwam eva Aha triBiH  
   rūpaṃ yad etad avabodha rasodayena	rUpam yat etat avaboDa  rasa udayena
   śaśvan nivṛtta tamasaḥ sad anugrahāya |	SaSvan  nivRtta tamasaH sat  anugrahAya |
   ādau gṛhītam avatāra śataika bījaṃ	AdO gRhItam avatAra  Sata eka bIjam
   yan nābhi padma bhavanād aham āvirāsam ||	yan nABi  padma  BavanAt aham AvirAsam ||
   nātaḥ paraṃ parama yad bhavataḥ svarūpam	na atas param parama yat BavataH svarUpam
   ānanda mātram avikalpam aviddha varcaḥ |	Ananda  mAtram avikalpam avidDa  varcaH |
   paśyāmi viśva sṛjam ekam aviśvam ātman	paSyAmi viSva sRjam ekam aviSvam Atman
   bhūtendriyātmaka madas ta upāśrito 'smi ||	BUta indriya Atmaka madaH te upASritaH asmi ||
   tad vā idaṃ bhuvana maṅgala maṅgalāya	tat vA idam Buvana  maFgala maFgalAya
   dhyāne sma no darśitaṃ ta upāsakānām |	DyAne sma naH darSitam te upAsakAnAm |
   tasmai namo bhagavate 'nuvidhema tubhyaṃ	tasmE namaH Bagavate anuviDema tuByam
   yo 'nādṛto naraka bhāgbhir asat prasaṅgaiḥ ||[BhP 3.9.2 4]	yaH anAdRtaH naraka BAgBiH asat  prasaFgEH ||[Bhj 3.9.2 4]
   ṭīkā ca   nanu tvam api samyak na jānāsi yat tvayā dṛṣṭaṃ rūpam etad api	wIkA ca  nanu tvam api samyak na jAnAsi yat tvayA dRzwam rUpam etat api
   guṇātmakam eva nirguṇaṃ brahmaiva tu satyaṃ tatrāha rūpam iti dvābhyām	guNa Atmakam eva nirguNam brahma eva tu satyam tatra Aha rUpam iti dvAByAm
