   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   manomātrendriyakalā bhūteṣu kramayogataḥ /	manaH-mAtra-indriya-kalA BUtezu krama-yogataH /
   tadādhikārā hariṇā śakrādyāḥ puṣkarāntimāḥ // PS_1,10.58 //	tadA-aDikArAH hariNA Sakra-AdyAH puzkara-antimAH // PS_1,10.58 //
   sūkṣmasthūlotpattikāle uttamāstūrdhvadeśagāḥ /	sUkzma-sTUla-utpatti-kAle uttamAH-tu-UrDva-deSa-gAH /
   nīcanīcāstūccadeśasthitoccoccasurāśrayāt // PS_1,10.59 //	nIcanI-ca-astu-ucca-deSa-sTita-ucca-ucca-sura-ASrayAt // PS_1,10.59 //
   deśādavaradeśe tu kramāttatveṣu saṃsthitāḥ /	deSAt-avara-deSe tu kramAt-tatvezu saMsTitAH /
   tatvavyāpārakāle tu svarūpocitaśaktayaḥ // PS_1,10.60 //	tatu-a-vyApAra-kAle tu svarUpa-ucita-SaktayaH // PS_1,10.60 //
   iti deśocita mahātāratamyaṃ vadanti hi /	iti deSocita mahAtAratamyam vadanti hi /
   devamānenābdaśataṃ paurvāparyavyavasthayā // PS_1,10.61 //	deva-mAnena-abda-Satam pOrvAparya-vyavasTayA // PS_1,10.61 //
   ṛjūnāṃ ca janiḥ proktā sahasrābdāntarāmatāḥ /	RjUnAm ca janiH proktA sahasra-abda-antarAmatAH /
   vipādyāstu tathendrādyā daśasāhasravatsaraiḥ // PS_1,10.62 //	vipAdyAH-tu taTA-indra-AdyAH daSa-sAhasra-vatsarEH // PS_1,10.62 //
   kramātpaurvāparyajātāḥ kālānnīcoccabhāvinaḥ /	kramAt-pOrvAparya-jAtAH kAlAn-nIca-ucca-BAvinaH /
   atha sarvasyāparokṣatāratamyaṃ vivicyate // PS_1,10.63 //	aTa sarvasya-aparokza-tAratamyam vivicyate // PS_1,10.63 //
   tṛṇādisarvajīvānāṃ svarūpoddhāra āgate /	tRNa-Adi-sarva-jIvAnAm svarUpa-udDAraH Agate /
   kāle tattadyogyajīvasādhanocitakālake // PS_1,10.64 //	kAle tad-tad-yogya-jIva-sADana-ucita-kAlake // PS_1,10.64 //
   hariśca śrībrahmavāyū sabhāryau ca tadājñayā /	hariH-ca SrI-brahma-vAyU sa-BAryO ca tad-AjQayA /
   etadanyadvīpavarṣajāyāmānān hi sarvaśaḥ // PS_1,10.65 //	etad-anya-dvIpa-varza-jAyAmAnAn hi sarvaSas // PS_1,10.65 //
   svakarmavaśagān svargāntarikṣadharān caran /	sva-karma-vaSa-gAn svarga-antarikza-DarAn caran /
   nānāyonigatān jīvān atalādyādharasthitān // PS_1,10.66 //	nAnA-yoni-gatAn jIvAn atala-Adya-aDara-sTitAn // PS_1,10.66 //
   uddhartukāmo bhagavān bhārate janayiṣyati /	udDartu-kAmaH BagavAn BArate janayizyati /
   tatra mānuṣayonyutthāṃstatrāpi brāhmaṇottamān // PS_1,10.67 //	tatra mAnuza-yoni-utTAn=-tatra-api brAhmaNa-uttamAn // PS_1,10.67 //
   tatra sarvasvarūporuvyaktikārakakarmaṇā /	tatra sarva-svarUpa-Uru-vyakti-kAraka-karmaNA /
   saṃyojya sarvasadyogyajñānadānagurūttamān // PS_1,10.68 //	saMyojya sarva-sat-yogya-jQAna-dAna-guru-uttamAn // PS_1,10.68 //
   bhinnadeśe bhinnakāle yojayatyakhilaṃ hariḥ /	Binna-deSe Binna-kAle yojayati-aKilam hariH /
   tṛṇādimartyaparyantagandharvāste hyanantaśaḥ // PS_1,10.69 //	tRNa-Adi-martya-paryanta-ganDarvAH-te hi-anantaSas // PS_1,10.69 //
   niraṃśāste pratīkālambanāste karmayoginaḥ /	niraMSAH-te pratIka-AlambanAH-te karma-yoginaH /
   devagandharvapūrvāstvājānajāntā samastaśaḥ // PS_1,10.70 //	deva-ganDarva-pUrvAH-tu-AjAna-jAntA samastaSas // PS_1,10.70 //
   apratīkālambanā sāṃśāḥ kramocca jñānayoginaḥ /	apratIka-AlambanA sa-aMSAH krama-ucca jQAna-yoginaH /
   pratīkasthaṃ śarīrasthaṃ paśyantīti tathāhvayāḥ // PS_1,10.71 //	pratIka-sTam SarIra-sTam paSyanti-iti taTA-AhvayAH // PS_1,10.71 //
   pratīkādbahirīśasya darśānāt karmadevatāḥ /	pratIkAt-bahirISasya darSAnAt karma-devatAH /
   apratīkālambanāśca prāyovijñānayoginaḥ // PS_1,10.72 //	apratIka-AlambanAH-ca prAyovijQAna-yoginaH // PS_1,10.72 //
   eṣāmaṇḍāntare janmāparokṣādi praśasyate /	ezAm-aNxa-antare janma-aparokza-Adi praSasyate /
   niraṃśāḥ pakvakāle tu utkrāmyaiva maharādigāḥ // PS_1,10.73 //	niraMSAH pakva-kAle tu utkrAmya-eva maharAdi-gAH // PS_1,10.73 //
   eṣāṃ laye svottameṣu praveśo naiva vidyate /	ezAm laye sva-uttamezu praveSaH na-eva vidyate /
   devagandharvapūrvāṇāṃ bhūmāvutkramaṇāllayaḥ // PS_1,10.74 //	deva-ganDarva-pUrvANAm BUmO=-utkramaNAt-layaH // PS_1,10.74 //
   mahālaye svottameṣu praveśaḥ lūkṣmadehataḥ /	mahAlaye sva-uttamezu praveSaH lUkzma-dehataH /
   utkramānutkramānyoginohyatatveśvaravaśān jaguḥ // PS_1,10.75 //	utkramAn-utkramAn-yoginohya-tatva-ISvara-vaSAn jaguH // PS_1,10.75 //
   puṣkarāntā tātvikāśca kvāpi notkramaṇāllayāḥ /	puzkara-antA tAtvikAH-ca kvApi na-utkramaNAt-layAH /
   yānti sthūlaśarīraiste svottameṣu viśanti hi // PS_1,10.76 //	yAnti sTUla-SarIrEH-te sva-uttamezu viSanti hi // PS_1,10.76 //
   tānanukramaṇānyāhuḥ yogino bhaktiyoginaḥ /	tAn-anukramaNAni-AhuH yoginaH Bakti-yoginaH /
   satkarmajñānabhaktī ca sarveṣāṃ sarvadāpi hi // PS_1,10.77 //	sat-karma-jQAna-BaktI ca sarvezAm sarvadA-api hi // PS_1,10.77 //
   avaśyakāste sarvepi tattatprācuryatastathā /	avaSyakAH-te sarva-ipi tad-tad-prAcuryataH-taTA /
   niraṃśāḥsatsādhanāyocitajanmasahasrataḥ // PS_1,10.78 //	niraMSAH-sat-sADana-ayocita-janma-sahasrataH // PS_1,10.78 //
   jñānantu daśabhiḥ prāpya sadbhaktiṃ tribhirāpya ca /	jQAnantu daSaBiH prApya sat-Baktim triBiH-Apya ca /
   dṛṣṭvā hṛdisthaṃ mucyante hyataste karmayoginaḥ // PS_1,10.79 //	dRzwvA hRdisTam mucyante hi-atas-te karma-yoginaH // PS_1,10.79 //
   satkarmakṛtvā niṣkāmyaṃ labhanti gurusantatī /	satkarma-kRtvA nizkAmyam laBanti guru-santatI /
   atātvikā devadāsāḥ satkarmaśatajanmabhiḥ // PS_1,10.80 //	atAtvikAH devadAsAH sat-karma-Sata-janmaBiH // PS_1,10.80 //
   kṛtvā daśasahasrorujanmabhirjñānamāpya ca /	kRtvA daSa-sahasra-Uru-janmaBiH-jQAnam-Apya ca /
   bhaktiṃ triśatakairāpya mucyante jñānayoginaḥ // PS_1,10.81 //	Baktim tri-SatakEH-Apya mucyante jQAna-yoginaH // PS_1,10.81 //
   ataste karmadevatāstadūrdhvaṃ bhaktiyoginaḥ /	atas-te karma-devatAH-tad-UrDvam Bakti-yoginaH /
   tṛṇādyāḥ svahṛdisthaṃ taṃ paśyantyucitajanmabhiḥ // PS_1,10.82 //	tRNa-AdyAH sva-hRdisTam tam paSyanti-ucita-janmaBiH // PS_1,10.82 //
   dīpakāntiviśiṣṭeśaṃ na devān naiva martyagam /	dIpa-kAnti-viSizwa-ISam na devAn na-eva martya-gam /
   ghaṭikārdhaṃ śarīre vā muktau śaktistu tādṛśī // PS_1,10.83 //	GawikA-arDam SarIre vA muktO SaktiH-tu tAdRSI // PS_1,10.83 //
   cinmātropāsanāśaktiḥ naivādhikaguṇottare /	cit-mAtra-upAsana-aSaktiH na-eva-aDika-guNa-uttare /
   teṣārm idṛśa evaṃ syāt apararokṣo hi nādhikaḥ // PS_1,10.84 //	teza-arm idRSaH evam syAt apara-rokzaH hi na-aDikaH // PS_1,10.84 //
   rāmakṛṣṇādi rūpāṇi bahiḥ paśyantyapi kvacit /	rAma-kRzNa-Adi rUpANi bahis paSyanti-api kvacid /
   mānuṣatvena paśyanti aparokṣena saṃsmṛtaḥ // PS_1,10.85 //	mAnuza-tvena paSyanti aparokzena saMsmRtaH // PS_1,10.85 //
   sthūlahṛdgāparokṣāstu bāhyastādaparokṣakāḥ /	sTUla-hRd-gAparokzAH-tu bAhyaH-tAt-aparokzakAH /
   svasvarūpasthajīvābhasvatantrasya ca darśanam // PS_1,10.86 //	sva-svarUpa-sTa-jIva-ABa-svatantrasya ca darSanam // PS_1,10.86 //
   svarūpābhyāparokṣastu sarveṣāmevameva hi /	svarUpa-aBya-aparokzaH-tu sarvezAm-evam-eva hi /
   pādonaghaṭikāmātraṃ svarūpe prākṛte hṛdi // PS_1,10.87 //	pAda-Una-GawikA-mAtram svarUpe prAkRte hRdi // PS_1,10.87 //
   paśyanti krimikīṭādyāḥ pradīpaprabhayā harim /	paSyanti krimi-kIwa-AdyAH pradIpa-praBayA harim /
   svarūpacakṣuṣādṛṣṭiḥ aparokṣa itīryate // PS_1,10.88 //	svarUpa-cakzuzA-dRzwiH aparokzaH iti-Iryate // PS_1,10.88 //
   veda deśākṣarokālo jīveśau prākṛtendriyaiḥ /	veda deSa-akza-rokAlaH jIveSO prAkRta-indriyEH /
   na vedyā hi svarūpeṇa vedyā eva prakīrtitāḥ // PS_1,10.89 //	na vedyAH hi sva-rUpeNa vedyAH eva prakIrtitAH // PS_1,10.89 //
   bhaktyā hariprasādena naṣṭetvajñānapañcake /	BaktyA hari-prasAdena nazwetu-ajQAna-paQcake /
   ratnavadbhāsure liṅge sūkṣmadehesthitasya tu // PS_1,10.90 //	ratnavat-BAsure liFge sUkzma-deha-IsTitasya tu // PS_1,10.90 //
   jīvasya cakṣuṣī vyakto bhavataḥ svena paśyati /	jIvasya cakzuzI vyaktaH BavataH svena paSyati /
   tejomayasvarūpasthaṃ sthūlahṛdgaṃ krameṇa tu // PS_1,10.91 //	tejaH-maya-svarUpa-sTam sTUla-hRd-gam krameNa tu // PS_1,10.91 //
   yavamātraṃ harintārṇāḥ kīṭādyāḥ badarīmitam /	yava-mAtram harinta-arNAH kIwa-AdyAH badarI-mitam /
   aṅguṣṭāgramitaṃ vṛṣāḥ pradīpadaśasannibham // PS_1,10.92 //	aFguzwa-agra-mitam vRzAH pradIpa-daSa-sanniBam // PS_1,10.92 //
   hariṃ paśyanti ghaṭikāmitaṃ kālaṃ ramāpatim /	harim paSyanti GawikA-mitam kAlam ramApatim /
   samaṃ dīpaṃ cidānandaṃ cidānandātmakaṃ mṛgāḥ // PS_1,10.93 //	samam dIpam cit-Anandam cit-Ananda-Atmakam mRgAH // PS_1,10.93 //
   khagāśca paśavo gāvaḥ hṛdgaṃ jīvagataṃ harim /	KagAH-ca paSavaH gAvaH hRd-gam jIva-gatam harim /
   pradīpaśatabhāyuktaṃ ghaṭikārdhatadardhakam // PS_1,10.94 //	pradIpa-Sata-BAyuktam GawikA-arDa-tad-arDakam // PS_1,10.94 //
   saccidānda ātmeti mānuṣyairdhyaiyar iśvaraḥ /	sat-cidAndaH AtmA-iti mAnuzyEH-DyEyar iSvaraH /
   vidyudvanmānuṣā vidyurdaśavidyunmitaṃ nṛpāḥ // PS_1,10.95 //	vidyut-vat-mAnuzAH vidyuH-daSa-vidyunmitam nRpAH // PS_1,10.95 //
   rājānastadviguṇābhaṃ sūryamaṇḍalavatsurāḥ /	rAjAnaH-tad-viguNa-ABam sUrya-maNxala-vat-surAH /
   gandharvāḥ pitaraḥsūryaśatasannibhamīśvaram // PS_1,10.96 //	ganDarvAH pitaraH-sUrya-Sata-sanniBam-ISvaram // PS_1,10.96 //
   gopyaḥ kṛṣṇāṅgasaṅgārhāḥ pañcasāhasrasūryabham /	gopyaH kRzNa-aFga-saFga-arhAH paQca-sAhasra-sUryaBam /
   ājānajādaśasāhasasrārkābhaṃ tvagnijā api // PS_1,10.97 //	AjAna-jA-daSa-sAhasa-sra-arka-ABam tu-agni-jAH api // PS_1,10.97 //
   caturlakṣādhikāśītilakṣajīvagaṇeṣvapi /	catur-lakza-aDika-aSIti-lakza-jIva-gaNezu-api /
   daśaiva puruṣāḥ proktāstātvikāsteṣu pañca ca // PS_1,10.98 //	daSa-eva puruzAH proktAH-tAtvikAH-tezu paQca ca // PS_1,10.98 //
   parjanyādavarāḥ pañca puṣkarāduttamā matāḥ /	parjanyAt-avarAH paQca puzkarAt-uttamAH matAH /
   sastrīkāḥsomahīnā aṇḍādantarbahisthitāḥ // PS_1,10.99 //	sa-strI-kAHsoma-hInAH aNxAt-antar-bahi-sTitAH // PS_1,10.99 //
   triṃśaccāraṇarakṣāṃsi saptatiḥ sarvajātiṣu /	triMSat-cAraNa-rakzAMsi saptatiH sarva-jAtizu /
   antarāletu padmotthā brahmāyāvaddhitiṣṭhati // PS_1,10.100 //	antarAletu padma-utTAH brahmAya-avat-hitizWati // PS_1,10.100 //
   tāvatsaṃvatsaragata pratipratidineṣvapi /	tAvat-saMvatsara-gata pratiprati-dinezu-api /
   sāṃśā atātvikāḥ sarvesaṃkhyayā vakṣyamāṇayā // PS_1,10.101 //	sa-aMSAH atAtvikAH sarvesaMKyayA vakzyamANayA // PS_1,10.101 //
   mitāstu pratikalpepi padasthā hyaparokṣiṇaḥ /	mitAH-tu pratikalpepi pada-sTAH hi-aparokziNaH /
   urvaśyādyāhyapsarasaḥ śataṃśā sva(svaṣṭa)saṃkhyayā // PS_1,10.102 //	urvaSI-AdyAhi-apsarasaH SataMSA sva(su-azwa)-saMKyayA // PS_1,10.102 //
   mitā ajānajaistulyāḥ karmadevasamāparāḥ /	mitAH ajAnajEH-tulyAH karma-deva-sama-aparAH /
   śataṃ pitṝṇāṃ saptaiva teṣūrvaśyādibhiḥ samāḥ // PS_1,10.103 //	Satam pitLNAm sapta-eva tezu-urvaSya-AdiBiH samAH // PS_1,10.103 //
   anye ājānajebhyastu nyūnāstebhyovarāḥ kramāt /	anye AjAna-jeByaH-tu nyUnAH-teByaH-varAH kramAt /
   gandharvāstu śataṃ teṣu aṣṭau tulyāśca karmajaiḥ // PS_1,10.104 //	ganDarvAH-tu Satam tezu azwO tulyAH-ca karma-jEH // PS_1,10.104 //
   śatakoṭimitāḥ sarve ṛṣayo viṃśaduttamāḥ /	Sata-kowi-mitAH sarve RzayaH viMSat-uttamAH /
   teṣveva tāvatviṣṭābhiḥ śatakaṃ karmajaiḥ samam // PS_1,10.105 //	tezu-eva tAvatu-izwABiH Satakam karma-jEH samam // PS_1,10.105 //
   tadanye ājānajebhyastulyā agnisutā api /	tad-anye AjAna-jeByaH-tulyAH agni-sutAH api /
   dvyaṣṭausahasrāṇi śatantriṃśaccāraṇarakṣasām // PS_1,10.106 //	dvi-azwOsahasrANi SatantriMSat-cAraNa-rakzasAm // PS_1,10.106 //
   sādhyasiddhāstathānyāstu saptatiḥ sarvajātiṣu /	sADya-sidDAH-taTA-anyAH-tu saptatiH sarva-jAtizu /
   śataṃ siddhājānajākhyā paśyanti hṛdi jīvagam // PS_1,10.107 //	Satam sidDAjAna-ja-AKyA paSyanti hRdi jIva-gam // PS_1,10.107 //
   koṭisūryaprabhaṃ karmadevā hṛdgaṃ bahisthitam /	kowi-sUrya-praBam karma-devAH hRd-gam bahi-sTitam /
   dvisaptalokasamitaṃ te pratīkāvalambanāḥ // PS_1,10.108 //	dvi-sapta-loka-samitam te pratIka-avalambanAH // PS_1,10.108 //
   martyāḥ dvighaṭikāmātraṃ trināḍyantaṃ nṛpottamāḥ /	martyAH dvi-GawikA-mAtram tri-nAxI-antam nRpa-uttamAH /
   tathā mānuṣagandharvāścaturnāḍyantamīśvaram // PS_1,10.109 //	taTA mAnuza-ganDarvAH-catur-nAxI-antam-ISvaram // PS_1,10.109 //
   ṣaṇṇāḍyantaṃ sugandharvā gopyāyāmāntamañjasā /	zaNNAxyantam suganDarvAH gopyAyAma-antam-aQjasA /
   śatonaśatakoṭyastu ṛṣayognisutā api // PS_1,10.110 //	Satona-Sata-kowyaH-tu RzayA-ugni-sutAH api // PS_1,10.110 //
   sājānajādaśaghaṭikāmitaṃ kālaṃ jagadgurum /	sAjAna-jAdaSa-GawikA-mitam kAlam jagadgurum /
   paśyanti karmadevāstu madhyāhnāntaṃ pareśvaram // PS_1,10.111 //	paSyanti karma-devAH-tu maDyAhna-antam para-ISvaram // PS_1,10.111 //
   svottamaspardhayāhīnāḥ duṣprārabdhavivarjitāḥ /	sva-uttama-sparDayA-hInAH duzprArabDa-vivarjitAH /
   bhāvarūpājñānaśūnyāḥ daityāveśavivarjitāḥ // PS_1,10.112 //	BAva-rUpa-ajQAna-SUnyAH dEtya-AveSa-vivarjitAH // PS_1,10.112 //
   pūrvoktakāntyākāle taṃ paśyanti jagadīśvaram /	pUrva-ukta-kAntyA-kAle tam paSyanti jagat-ISvaram /
   pūrvoktadoṣarahitāstātvikāḥsarvadā harim // PS_1,10.113 //	pUrva-ukta-doza-rahitAH-tAtvikAH-sarvadA harim // PS_1,10.113 //
   paśyantidivaparyantā doṣā ete hi nīcakaiḥ /	paSyanti-diva-paryantAH dozAH ete hi nIcakEH /
   uttameṣūttameṣvalpāstathā cānyatarāmatāḥ // PS_1,10.114 //	uttamezu-uttamezu-alpAH-taTA ca-anyatarAmatAH // PS_1,10.114 //
   brahmaṇo doṣa sambandho na kvāpi kva cad dṛśyate /	brahmaNaH doza sambanDaH na kvApi kva cat dRSyate /
   rājāno martyagandharvapūrvā ṣaṭdaśapūrvakān // PS_1,10.115 //	rAjAnaH martya-ganDarva-pUrvA zawdaSa-pUrvakAn // PS_1,10.115 //
   śataṃ daśasahasrāṃśca lakṣakoṭimitān guṇān /	Satam daSa-sahasrAn=-ca lakza-kowi-mitAn guNAn /
   viṣṇorguṇānarbudāṃśca sarvānapi tatodhikān // PS_1,10.116 //	vizNoH-guNAn-arbudAn=-ca sarvAn-api tatoDikAn // PS_1,10.116 //
   anantavedoktaguṇān brahmopāsyati netaraḥ /	ananta-veda-ukta-guNAn brahma-upAsyati na-itaraH /
   martyoccā hṛdi devāṃśca padasthā pīṭhadevatāḥ // PS_1,10.117 //	martya-uccAH hRdi devAn=-ca pada-sTA pIWa-devatAH // PS_1,10.117 //
   tathāvaraṇagān devān paśyantyapi ca maṇḍalam /	taTA-AvaraNa-gAn devAn paSyanti-api ca maNxalam /
   suṣumnāṃ saptakamalānyapi tadgaharīśvare // PS_1,10.118 //	suzumnAm sapta-kamalAni-api tad-gahari-ISvare // PS_1,10.118 //
   sthāneśaṃ caiva mūleśaṃ rājāno martyagāyakāḥ /	sTAna-ISam ca-eva mUla-ISam rAjAnaH martya-gAyakAH /
   iḍāpiṅgalanāḍisthān kramoccān sarvadehagān // PS_1,10.119 //	ixA-piFgala-nAxi-sTAn krama-uccAn sarva-deha-gAn // PS_1,10.119 //
   tatveśāṃ stadgatahareḥ rūpāṇi a(ni)khilānyapi /	tatva-ISAm stad-gata-hareH rUpANi a(ni)KilAni-api /
   dhyātvopāsya vimucyante devā ājānajāhvayāḥ // PS_1,10.120 //	DyAtvA-upAsya vimucyante devAH AjAna-jAhvayAH // PS_1,10.120 //
   ime te ca pratīkastha haripādāvalambinaḥ /	ime te ca pratIka-sTa hari-pAda-avalambinaH /
   karmadevā atatveśā api rūpāṇi sarvaśaḥ // PS_1,10.121 //	karma-devAH atatva-ISAH api rUpANi sarvaSas // PS_1,10.121 //
   upāsyāpi virāḍrūpaṃ mucyante samupāsya ca /	upAsya-api virAj-rUpam mucyante samupAsya ca /
   apratīkālambanāste tu karmadevāḥ surā api // PS_1,10.122 //	apratIka-AlambanAH-te tu karma-devAH surAH api // PS_1,10.122 //
   tyaktaliṅgasya muktasya tṛṇakīṭādikasya ca /	tyakta-liFgasya muktasya tRNa-kIwa-Adikasya ca /
   svarūpadeha te sarve daśayojanasantatā // PS_1,10.123 //	svarUpa-dA-iha te sarve daSa-yojana-santatA // PS_1,10.123 //
   vṛkṣādīnāṃ mṛgādīnāṃ tato dviguṇarugbhavet /	vRkza-AdInAm mRga-AdInAm tatas dviguNa-ruj-Bavet /
   vimuktānāntu martyānāṃ śūdrādīnāmataḥ param // PS_1,10.124 //	vimuktAnAntu martyAnAm SUdra-AdInAm-atas param // PS_1,10.124 //
   ekadvitricatuṣpādādhikaruksantatāḥ sadā /	eka-dvi-tri-catuzpAda-aDika-ruj-santatAH sadA /
   rājanyāmartyagandharvāstatodvitryādhikaprabhāḥ // PS_1,10.125 //	rAjanya-amartya-ganDarvAH-tata-udvitrya-aDika-praBAH // PS_1,10.125 //
   parito merutulyātviṭ devagandharvasantateḥ /	paritas meru-tulya-Atviz deva-ganDarva-santateH /
   cirānto pitaro muktā bhuvarlokāntakāntayaḥ // PS_1,10.126 //	cira-antaH pitaraH muktAH Buvarloka-anta-kAntayaH // PS_1,10.126 //
   gopyaḥ kṛṣṇāṅghrisaṅgārhāḥ upasantati dīptayaḥ /	gopyaH kRzNa-aFGri-saFga-arhAH upasantati dIptayaH /
   ājanājātatsamāśca svargāntā tatprakāśinaḥ // PS_1,10.127 //	Ajana-ajAtat-samAH-ca svarga-antA tad-prakASinaH // PS_1,10.127 //
   yasya yasya ca jīvasya prakāśo yatra ceritaḥ /	yasya yasya ca jIvasya prakASaH yatra ca-IritaH /
   daivādbahirdṛṣṭigato bhāti martyoccavaddhariḥ // PS_1,10.128 //	dEvAt-bahis-dRzwi-gataH BAti martya-ucca-vat-hariH // PS_1,10.128 //
   na saccidānandatanurbāhyadṛggocaro bhavet /	na saccidAnanda-tanuH-bAhya-dRS-gocaraH Bavet /
   dṛṣṭvopāsya vimucyante karmadevā virāṭtanum // PS_1,10.129 //	dRzwvA-upAsya vimucyante karma-devAH virAj-tanum // PS_1,10.129 //
   tādṛjjotistāvadantaṃ viṣṇuṃ paśyati cakṣuṣā /	tAdRt-jotiH-tAvat-antam vizNum paSyati cakzuzA /
   svārūpikeṇa bādhyena naiva paśyanti ceśvaram // PS_1,10.130 //	svArUpikeNa bADyena na-eva paSyanti ca-ISvaram // PS_1,10.130 //
   paśyanti naivopāsyanti brahmāṇḍe vyāptamīśvaram /	paSyanti na-eva-upAsyanti brahmANxe vyAptam-ISvaram /
   puṣkarādyāstu śakrāntāḥ pūrvoktākhilarūpiṇam // PS_1,10.131 //	puzkara-AdyAH-tu Sakra-antAH pUrva-ukta-aKila-rUpiNam // PS_1,10.131 //
   aṇḍādbahiḥ pṛthivyādi manastatvādi santateḥ /	aNxAt-bahis pRTivI-Adi manaH-tatva-Adi santateH /
   dṛṣṭvādhyātvopāsya sarve muktiṃ yāsyanti kālataḥ // PS_1,10.132 //	dRzwvA-aDyAtva-upAsya sarve muktim yAsyanti kAlataH // PS_1,10.132 //
   ahaṅkāragataṃ draṣṭumīśānopāsane kṣamāḥ /	ahaFkAra-gatam drazwum-ISAna-upAsane kzamAH /
   puṣkarādyā mahendrāntāḥ kramādadhikakāntayaḥ // PS_1,10.133 //	puzkara-AdyAH mahA-indra-antAH kramAt-aDika-kAntayaH // PS_1,10.133 //
   koṭyarbudārkābhaṃ devaṃ vāmadevādayo harim /	kowI-arbuda-arka-ABam devam vAmadeva-AdayaH harim /
   upāsyāhaṅkāratatvavyāptasattanumīśvaram // PS_1,10.134 //	upAsya-ahaFkAra-tatva-vyApta-sat-tanum-ISvaram // PS_1,10.134 //
   mucyate ca mahattatve tamasyapi tataṃ harim /	mucyate ca mahat-tatve tamasi-api tatam harim /
   paśyantīvāruṇīpūrvā neṣyanti tamasisthitam // PS_1,10.135 //	paSyantI-va-aruNI-pUrvAH nezyanti tam-asi-sTitam // PS_1,10.135 //
   anantārkarucā satvāvṛtyantaṃ vyāptamavyayam /	ananta-arka-rucA satva-AvRtyantam vyAptam-avyayam /
   upāsya gīrmuktimeti tatopyadhikaruk tataḥ // PS_1,10.136 //	upAsya gIrmuktim-eti tata-upyaDika-ruj tatas // PS_1,10.136 //
   vāsudevāvaraṇagaṃ brahmā paśyati netaraḥ /	vAsudeva-AvaraNa-gam brahmA paSyati na-itaraH /
   yāvatpaśyanti taṃ jīvaṃ tāvatsāmānyaruk sa hi // PS_1,10.137 //	yAvat-paSyanti tam jIvam tAvat-sAmAnya-ruj sa hi // PS_1,10.137 //
   yāvanupāsyo vai viṣṇustāvatteṣāṃ viśeṣabhā /	yO=-anupAsyaH vE vizNuH-tAvat-tezAm viSeza-BA /
   brahmaṇo naiva sāmānyarugviśeṣaprabho hi saḥ // PS_1,10.138 //	brahmaNaH na-eva sAmAnya-ruj-viSeza-praBaH hi saH // PS_1,10.138 //
   atyalpasukharūpāṃśā jīvānāṃ yogyatāvasan /	ati-alpa-suKa-rUpa-aMSAH jIvAnAm yogya-tA-vasan /
   yādṛśī bhāramāyāstu vyāptāyāḥ sarvadeśagā // PS_1,10.139 //	yAdRSI BAramAyAH-tu vyAptAyAH sarva-deSa-gA // PS_1,10.139 //
   bhānuprabhāgatā dīpaprabhā yadvanna rocate /	BAnu-praBA-gatA dIpa-praBA yadvat-na rocate /
   tathā viṣṇuprabhānunnāmāprabhā naiva rocate // PS_1,10.140 //	taTA vizNu-praBAn-unnAmA-praBA na-eva rocate // PS_1,10.140 //
   evaṃ nīcaprabhāsvoccaprabhāsu pravilīyate /	evam nIca-praBAsva-ucca-praBAsu pravilIyate /
   tathāpi ca yathārthajñā muktāptai tatvavettamāḥ // PS_1,10.141 //	taTA-api ca yaTArTa-jQAH mukta-AptE tatu-a-vettamAH // PS_1,10.141 //
   yo yāvatīṃ harau kāntiṃ vetyasau tacchatāṃśabhāk /	yaH yAvatIm harO kAntim vA-iti-asO tad-Sata-aMSa-BAj /
   prabhātyeva prakāśasya tāratamyaṃ viduttamāḥ // PS_1,10.142 //	praBAti-eva prakASasya tAratamyam viduttamAH // PS_1,10.142 //
   iti śrī prakāśasaṃhitāyāṃ prathamaparicchede daśamo 'dhyāyaḥ	iti SrI prakASa-saMhitAyAm praTama-paricCede daSamaH aDyAyaH
   śrīhaṃsa uvāca	SrI-haMsaH uvAca
   puruṣeṣu brahmavāyū vipādiṣu ramāpatiḥ /	puruzezu brahma-vAyU vipAdizu ramApatiH /
   puṃ rūpeṇa viśeṣāveśādikaṃ sarvadā hariḥ // PS_1,11.1 //	pum rUpeNa viSeza-AveSa-Adikam sarvadA hariH // PS_1,11.1 //
   karoti strīṣu mā vāgīrvāyustrī(ṣu)svarūpataḥ /	karoti strIzu mA vAgIrvAyu-strI-(zu)-svarUpataH /
   viśeṣāveśakṛdviṣṇuḥ yogyatāyānuyogataḥ // PS_1,11.2 //	viSeza-AveSa-kRt-vizNuH yogyatAya-anuyogataH // PS_1,11.2 //
   āviṣṭastūttameṣvekaḥ viśeṣātmā tu taiḥ suraiḥ(svakaiḥ) /	AvizwaH-tu-uttamezu-ekaH viSeza-AtmA tu tEH surEH(-svakEH) /
   jīvairasādhya sumahatkarmakāra yatīśvaraḥ // PS_1,11.3 //	jIvEH-asADya su-mahat-karmakAra yati-ISvaraH // PS_1,11.3 //
   uttamottamajīveṣu āve(de)śo yādṛgiṣyate /	uttama-uttama-jIvezu Ave(de)SaH yAdRS-izyate /
   na tathā nīcajīveṣu tasmāttehyalpaśaktayaḥ // PS_1,11.4 //	na taTA nIca-jIvezu tasmAt-tehi-alpa-SaktayaH // PS_1,11.4 //
   padastheṣu sureṣvevamāveśo naiva muktigaḥ /	pada-sTezu surezu-evam-AveSaH na-eva mukti-gaH /
