   [II,1 Hiranyas Erlebnisse]	[II,1 HiranyaH EH-lebnisse]
   stanyakṣīreṇa vivardhitaḥ |	stanya-kzIreNa vivarDitaH |
   tenātimātram ahaṃ ṣaṇmāsajātaśiśus svayūthyam adhyagataḥ |	tena-atimAtram aham zaz-mAsa-jAta-SiSuH sva-yUTyam aDyagataH |
   abhyadhikajavatvād gacchan mṛgān āgataḥ pratipālayāmi |	aByaDika-java-tvAt gacCan mRgAn AgataH pratipAlayAmi |
   asmākaṃ dve gatī ! ūrdhvā ! āñjasī ca |	asmAkam dve gatI ! UrDvA ! AQjasI ca |
   tayor mātṛkapayovirahād aham āñjasīṃ vedmi ! nordhvam |	tayoH mAtRka-payaH-virahAt aham AQjasIm vedmi ! na-UrDvam |
   atha kadācin mṛgāṃś caramāṇān nānupaśyāmi |	aTa kadAcid mRgAn caramANAn na-anupaSyAmi |
   āvignahṛdayaś ca kva te gatā iti vilokitavān |	Avigna-hRdayaH ca kva te gatAH iti vilokitavAn |
   paśyāmi tān ūrdhvagatyabhijñatayā jālaṃ vilaṅghyāgrato gatān |	paSyAmi tAn UrDva-gati-aBijQa-tayA jAlam vilaFGya-agratas gatAn |
   ahaṃ tv anabhijñas strīkṣīradoṣāt |	aham tu anaBijQaH strI-kzIra-dozAt |
   tathā ca |	taTA ca |
   kāryakāle tu samprāpte nāvajñeyaṃ trayaṃ sadā |	kArya-kAle tu samprApte na-avajQeyam trayam sadA |
   bījam auṣadham āhāro yathā lābhas tathākrayaḥ || 149 ||	bIjam OzaDam AhAraH yaTA lABaH taTA-akrayaH || 149 ||
   ahaṃ tena	aham tena
   kṣīrākhyenauṣadhenordhvagatyanabhijñatayāñjasyā gatyā	kzIra-AKyena-OzaDena-UrDva-gati-anaBijQa-tayA-aQjasyA gatyA
   niṣpatitojālenākulīkṛtaḥ |	nizpatitaH-jAlena-AkulIkRtaH |
   tataś ca vyādhair durātmabhir jīvagrāhaṃ gṛhītvā krīḍārthaṃ	tatas ca vyADEH durAtmaBiH jIva-grAham gRhItvA krIxA-arTam
   rājaputrāyopanītaḥ |	rAja-putrAya-upanItaH |
   so 'pi māṃ dṛṣṭvātīva parituṣṭo vyādhān prādeśikena	saH api mAm dRzwvA-atIva parituzwaH vyADAn prAdeSikena
   sammānitavān |	sammAnitavAn |
   māṃ	mAm
   cādareṇāṅgodvartanasnānabhojanadhūpālaṅkāravāsoviṣe.	ca-AdareNa-aFga-udvartana-snAna-Bojana-DUpa-alaFkAra-vAsaH-vize.
   sair bhojanaprakāraiś cāsambhāvyais snigdhadravapeśalais	sEH Bojana-prakArEH ca-asamBAvyEH snigDa-drava-peSalEH-
   sakhaṇḍaguḍadāḍimacāturjātakavimiśrair anyaiś ca bhojyair	sa-KaNxa-guxa-dAxima-cAturjAtaka-vimiSrEH anyEH ca BojyEH-
   atarpayat |	atarpayat |
   athāntaḥpurikājanasya rājakumārāṇāṃ ca hastād dhastaṃ ca	aTa-antaHpurikA-janasya rAja-kumArANAm ca hastAt Dastam ca
   kautukaparatayā grīvānayanakaracaraṇakarṇāvakarṣaṇaiḥ	kOtuka-para-tayA grIvA-nayana-kara-caraNa-karNa-avakarzaNEH
   parasparerṣyābhī rājāṅganābhis sammānaparamparatayā kleśito	paraspara-IrzyABiH rAja-aFganABiH sammAna-paramparatayA kleSitaH-
   aham |	aham |
   cintitaṃ ca mayā |	cintitam ca mayA |
   kiṃ suvarṇena śrotrabādhākareṇa |	kim suvarNena Srotra-bADA-kareNa |
   hā kaṣṭam |	hA kazwam |
   kadā tad vanaṃ prāpsyāmīti |	kadA tat vanam prApsyAmi-iti |
   nivṛttakautukānāṃ ca kadācid vivikte vartamāne	nivRtta-kOtukAnAm ca kadAcid vivikte vartamAne
   rājaputraśayanādhastān mayā prāvṛṭsamaye	rAja-putra-Sayana-aDastAt mayA prAvRz-samaye
   meghaśabdaśravaṇotkaṇṭhitahṛdayena svayūthacyutena	meGa-Sabda-SravaNa-utkaNWita-hRdayena sva-yUTa-cyutena
   svayūthyān anusmṛtyābhihitam |	sva-yUTyAn anusmRtya-aBihitam |
   vātavṛṣṭyavadhūtasya mṛgayūthasya dhāvataḥ |	vAta-vRzwi-avaDUtasya mRga-yUTasya DAvataH |
   pṛṣṭhato yad gamiṣyāmi kadā tan me bhaviṣyati || 150 ||	pRzWatas yat gamizyAmi kadA tat me Bavizyati || 150 ||
   evam uccārayato rājaputreṇa bālabhāvād abhāvitacittenaitāvac	evam uccArayataH rAja-putreNa bAla-BAvAt aBAvita-cittena-etAvat-
   chrutvā santrastena dvāsstho 'bhihitaḥ |	SrutvA santrastena dvAssTaH aBihitaH |
   kenedam abhihitam iti |	kena-idam aBihitam iti |
   santāpitahṛdayas samantād avalokayan mām apaśyat |	santApita-hRdayaH samantAt avalokayat mAm apaSyat |
   ahaṃ ca lubdhakair mānuṣīṃ vācaṃ śikṣita āsam |	aham ca lubDakEH mAnuzIm vAcam SikzitaH Asam |
   dṛṣṭvā ca māṃ mānuṣeṇevānena mṛgenābhihitam ! vinaṣṭo 'smīti	dRzwvA ca mAm mAnuzeNa-iva-anena mRgena-aBihitam ! vinazwaH asmi-iti
   matvā paramāvegaṃ gataḥ |	matvA parama-Avegam gataH |
   atha kathañcid viskhalitavāg asau bahir niścakrāma |	aTa kaTaQcid visKalita-vAc asO bahis niScakrAma |
   paramasattvādhiṣṭhita iva mahad asvāsthyam āpede |	parama-sattva-aDizWitaH iva mahat asvAsTyam Apede |
   tatas sarvābhiṣagbhūtatantrikān mahatyā arthamātrayā jvaraparītaḥ	tatas sarva-aBizak-BUta-tantrikAn mahatyA arTa-mAtrayA jvara-parItaH
   prārthitavān ! evaṃ cābravīt |	prArTitavAn ! evam ca-abravIt |
   yo mamaitāṃ rujam apanayati ! tasyāham akṛśāṃ pūjāṃ	yaH mama-etAm rujam apanayati ! tasya-aham akRSAm pUjAm
   kariṣyāmīti |	karizyAmi-iti |
   aham api tatrāsamīkṣitakāriṇā janena laguḍeṣṭakādibhir	aham api tatra-asamIkzita-kAriNA janena laguxa-izwakA-AdiBiH-
   druhyamāṇaḥ kenāpi sādhunāvacchannaḥ |	druhyamANaH kena-api sADunA-avacCannaH |
   kim anena kṛtam iti |	kim anena kRtam iti |
   atha mamāyuśśeṣatayā tenāryeṇa sarvalakṣaṇavidā vijñāpito	aTa mama-AyuH-Seza-tayA tena-AryeNa sarva-lakzaNa-vidA vijQApitaH-
   rājaputraḥ |	rAja-putraH |
   avimarśapareṇa lokenemām avasthāṃ prāpitastvam |	avimarSa-pareNa lokena-imAm avasTAm prApitaH-tvam |
   punar api tenāryeṇokto yathā |	punar api tena-AryeNa-uktaH yaTA |
   priyako nāmaiṣa mṛgo mānuṣīṃ vācaṃ jānāti |	priyakaH nAma-eza mRgaH mAnuzIm vAcam jAnAti |
   naiṣa mānuṣaḥ |	na-eza mAnuzaH |
   bhadra ! anena prāvṛṭkālameghaśabdapratibodhitacittena	Badra ! anena prAvRz-kAla-meGa-Sabda-pratiboDita-cittena
   svayūthyānusmaraṇautsukyād abhihitam |	sva-yUTya-anusmaraNa-OtsukyAt aBihitam |
   vātavṛsṭyavadhūtasyeti |	vAta-vRswI-avaDUtasya-iti |
   kim atra citram |	kim atra citram |
   prāyeṇa pakṣiṇaḥ paśavaś ca bhayāhāramaithunamātravedino	prAyeNa pakziNaH paSavaH ca Baya-AhAra-mETuna-mAtra-vedinaH-
   bhavanti ! ity adhigatam eva devena |	Bavanti ! iti aDigatam eva devena |
   ato 'yam amānuṣaḥ |	atas ayam amAnuzaH |
   tathā ca |	taTA ca |
   [ yādṛśais sannivasate yādṛśāṃś copasevate |	[ yAdRSEH sannivasate yAdRSAn ca-upasevate |
   yādṛg icchec ca bhavituṃ tādṛg bhavati pūruṣaḥ || 151 ||	yAdRS icCet ca Bavitum tAdRS Bavati pUruzaH || 151 ||
   hīyate hi naras tāta hīnais saha samāgamāt |	hIyate hi naraH tAta hInEH saha samAgamAt |
   samaiś ca samatām eti viśiṣṭaiś ca viśiṣṭatām || 152 || ]	samEH ca sama-tAm eti viSizwEH ca viSizwa-tAm || 152 || ]
   tat ! deva ! manuṣyasamparkāt priyakajātivaśāc ca mānuṣīṃ vācaṃ	tat ! deva ! manuzya-samparkAt priyaka-jAti-vaSAt ca mAnuzIm vAcam
   dadātīti sammānitaḥ |	dadAti-iti sammAnitaH |
   tathā ca |	taTA ca |
   [ yathodayagirer dravyaṃ sannikarṣeṇa dīpyate |	[ yaTA-udaya-gireH dravyam sannikarzeNa dIpyate |
   iti |	iti |
   tatra kim asambaddhaṃ jvarakāraṇam |	tatra kim asambadDam jvara-kAraNam |
   api ca |	api ca |
   [ mantrāṇāṃ parato nāsti bījam uccaraṇaṃ tathā |	[ mantrANAm paratas na-asti bIjam uccaraNam taTA |
   asambaddhapralāpā na kāryaṃ sādhayituṃ kṣamāh || 154 || ]	asambadDa-pralApAH na kAryam sADayitum kzamAh || 154 || ]
   tathā ca |	taTA ca |
   [ śaṅkhaḥ kadalyāṃ kadalī ca bheryāṃ	[ SaFKaH kadalyAm kadalI ca BeryAm
   tasyāṃ ca bheryāṃ sumahad vimānam |	tasyAm ca BeryAm su-mahat vimAnam |
   tacchaṅkhabherīkadalīvimānam	tad-SaFKa-BerI-kadalI-vimAnam
   unmattaśaṅkāpratimaṃ babhūva || 155 || ]	unmatta-SaFkA-pratimam baBUva || 155 || ]
   tat kva śaṅkaḥ ! kva kadalī ! kva bherī ! kva vimānam iti |	tat kva SaFkaH ! kva kadalI ! kva BerI ! kva vimAnam iti |
   tadvidham idam asambaddhatayā tvayy āgatam |	tadviDam idam asambadDa-tayA tvayi Agatam |
   tac ca śrutvāpagatavikāro rājaputraḥ pūrvaprakṛtim āpannaḥ |	tat ca SrutvA-apagata-vikAraH rAja-putraH pUrva-prakRtim ApannaH |
   vicārya tasyāryasya prajñāvibhavaṃ tato mahatīṃ pūjāṃ kṛtvā	vicArya tasya-Aryasya prajQA-viBavam tatas mahatIm pUjAm kRtvA
   mantrisamīpavartī mantritve kṛtaḥ |	mantri-samIpa-vartI mantri-tve kRtaH |
   māṃ cāpanīyābhyajya prabhūtenāmbhasā prakṣālitaśarīraṃ	mAm ca-apanIya-aByajya praBUtena-amBasA prakzAlita-SarIram
   kṛtvārakṣipuruṣādhiṣṭhitaṃ tatraiva vane pratimuktavān |	kRtvA-Arakzi-puruza-aDizWitam tatra-eva vane pratimuktavAn |
   tat kiṃ bahunā ! anubhūtabandhano 'py ahaṃ niyativaśāt punar	tat kim bahunA ! anuBUta-banDanaH api aham niyati-vaSAt punar-
   baddha iti |	badDaH iti |
