   <B1> dvitīyaḥ pādaḥ /	<B1> dvitIyaH pAdaH /
   'syāstadapūrvasaṃbandhavidhikalpanamāvaśyakamityata āha ---------	asyAH-tat-apUrva-saMbanDa-viDi-kalpanam-AvaSyakam-iti-atas Aha ---------
   saṃbhavati ceti //	saMBavati ca-iti //
   stotradvāreha tadasaṃbhave 'pi upasthānarūpakāryāntaradvārā	stotra-dvArA-iha tad-asaMBave api upasTAna-rUpa-kArya-antara-dvArA
   jyotiṣṭomāpūrvasaṃbandhasaṃbhavānna tadapūrvasaṃbandhāyogyatvam /	jyotizwomA-pUrva-saMbanDa-saMBavAt-na tad-apUrva-saMbanDa-ayogya-tvam /
   ataeva ------- yadyapyapūrvasaṃbandhaḥ svakalpakena viśiṣyopasthitena ca	ataeva ------ yadi-api-apUrva-saMbanDaH sva-kalpakena viSizya-upasTitena ca
   kāryāntarasaṃbandhena nirākāṅkṣaḥ; tathāpi tadā'kāṅkṣayaiva tadupajīvanaṃ	kArya-antara-saMbanDena nirAkAFkzaH; taTA-api tadA-akAFkzayA-eva tad-upajIvanam
   nānupapannaṃ iti bhāvaḥ //	na-anupapannam iti BAvaH //
   nanu prakṛtāgneyīmantrasya stotrāpūrvasaṃbandhakḷptāvapi	nanu prakRta-AgneyI-mantrasya stotra-apUrva-saMbanDa-k?ptO=-api
   upasthānajanyāpūrvasaṃbandhasya dvāratayā kalpanāvaśyakatvena gauravaṃ	upasTAna-janyA-pUrva-saMbanDasya dvAratayA kalpanA-vaSyaka-tvena gOravam
   siddhānte 'pyaviśiṣṭamevetyākṣepaṇīyāpūrvasaṃbandhasya	sidDAnte api-aviSizwam-eva-iti-AkzepaNIyA-pUrva-saMbanDasya
   kāryāntarārthamapyanyatra niyamena kḷptau tanmātropajīvanenānyatra	kArya-antara-arTam-api-anyatra niyamena k?ptO tanmAtra-upajIvanena-anyatra
   kāryāntarasaṃbandhamātrakaraṇamityetadadhikaraṇanyāyasya kathamāgneyīvākye	kArya-antara-saMbanDa-mAtra-karaNam-iti-etat-aDikaraNa-nyAyasya kaTam-AgneyI-vAkye
   pravṛttyā prakṛtaniyamasiddhirityata āha -------- āgneyīnāmiti //	pravRttyA prakRta-niyama-sidDiH-iti-atas Aha ------- AgneyInAm-iti //
   upasthānajanyāpūrvasaṃbandhakalpanāvaśyakatve 'pi na taddvārā	upasTAna-janyA-pUrva-saMbanDa-kalpanA-vaSyaka-tve api na tad-dvArA
   jyotiṣṭomasaṃbandho 'pi kalpyaḥ prakṛtagrahaṇe āpatati; stotraṃ vināpi	jyotizwoma-saMbanDaH api kalpyaH prakRta-grahaNe Apatati; stotram vinA-api
   tatsaṃbandhasya pāṭhādeva siddheḥ; ataḥ	tad-saMbanDasya pAWAt-eva sidDeH; atas-
   stotrāpūrvadvārakatvamātrakalpanavadihāpi	stotra-apUrva-dvAraka-tva-mAtra-kalpanavat-iha-api
   upasthānajanyāpūrvadvārakatvamātrasyaiva kalpanādaprakṛtagrahaṇetu tasyāpi	upasTAna-janyA-pUrva-dvArakatva-mAtrasya-eva kalpanAda-prakRta-grahaNetu tasya-api
   kalpanāpatteḥ gauravamityevamākṣepaṇīyāpūrvasaṃbandhasya	kalpanA-patteH gOravam-iti-evam-AkzepaNIyA-pUrva-saMbanDasya
   kḷptatvamupapādanīyamityarthaḥ //	k?pta-tvam-upapAdanIyam-iti-arTaH //
   brahmodanaprāśanavākye 'pi brahmodanaprāśanāṅgabhūtabrāhmaṇavidhau	brahmodana-prASana-vAkye api brahmodana-prASana-aFga-BUta-brAhmaNa-viDO
   prāśanasya pratipattitvena dṛṣṭārthatvādādhānādyapūrvasādhanalakṣaṇayā	prASanasya pratipatti-tvena dRzwa-arTa-tvAt-ADAna-Adya-pUrva-sADana-lakzaNayA
   tatra tadapūrvasaṃbandhasya dṛṣṭārthatvādādhānādyapūrvasādhanalakṣaṇayā	tatra tad-apUrva-saMbanDasya dRzwa-arTa-tvAt-ADAna-Adya-pUrva-sADana-lakzaNayA
   tatra tadapūrvasaṃbandhasya ṛtvijāṃ prayogāṅgatvena nityaprāptatvāt	tatra tad-apUrva-saMbanDasya RtvijAm prayoga-aFga-tvena nitya-prApta-tvAt-
   prakṛtagrahaṇopapattirityabhipretyāha ------ ayameva ceti //	prakRta-grahaNa-upapattiH-iti-aBipretya-Aha ----- ayam-eva ca-iti //
   niyamenāprāpteriti //	niyamena-aprApteH-iti //
   tatra niyamataḥ prāptyabhāvena	tatra niyamataH prApti-aBAvena
   vidhiśruterapūrvasaṃbandhākṣepakatvasyāvaśyakatvānna kadācit prakṛtasattve	viDi-SruteH-apUrva-saMbanDa-Akzepaka-tvasya-AvaSyaka-tvAt-na kadAcid prakRta-sattve
   'pi tanniyama ityarthaḥ //	api tat-niyamaH iti-arTaH //
   āyataneti //	Ayatana-iti //
   "vinā eṣa indriyeṇa vīryeṇa vyṛdhyate yasyāhitāgneragnirapakṣāyati taṃ	"vinA ezaH indriyeNa vIryeNa vyRDyate yasya-AhitAgneH-agniH-apakzAyati tam
   saṃbharedidanta ekami"ti vacanena	saMBaret-idantaH ekam-i"ti vacanena
   yajamānīyendriyavīryanāśarūpadoṣāpādakāyatanabahirbhāvarūpāpakṣaye	yajam-AnIya-indriya-vIrya-nASa-rUpa-doza-ApAdaka-Ayatana-bahis-BAva-rUpa-apakzaye
   prāyaścittavidhānāt bahirbhāvasyāyoga ityarthaḥ /	prAyaScitta-viDAnAt bahirBAvasya-ayogaH iti-arTaH /
   siddhāntamupasaṃharati --------- ata iti //	sidDAntam-upasaMharati -------- atas iti //
   prayojanaṃ spaṣṭatvānnoktam //	prayojanam spazwa-tvAt-na-uktam //
   yājñikāstu --------- āgneyakṛṣṇargrīvapaśukramāmrātena agne	yAjQikAH-tu -------- Agneya-kRzNaH-grIva-paSu-kramAmrAtena agne
   yanasupathetyāgneyīmantreṇābhimarśanamācaranti nopasthānam,	yanasupaTa-iti-AgneyI-mantreNa-aBimarSanam-Acaranti na-upasTAnam,
   tatrāgneyyarcāgnīdhramabhimṛśediti taittirīyaśrutireva pramāṇaṃ draṣṭavyam	tatra-AgneyI-arcA-gnIDram-aBimRSet-iti tEttirIya-SrutiH-eva pramANam drazwavyam
   ityaṣṭamamagneyīprakṛtaniyamādhikaraṇam //	iti-azwamam-agneyI-prakRta-niyama-aDikaraNam //
   (adhikārādhikaraṇam) <B3> (1) saptamyantādvatiḥ /	(aDikAra-aDikaraNam) <B3> (1) saptamI-antAt-vatiH /
   <B1> (9 adhikaraṇam / ) (a.3 pā.2 adhi.9) liṅgasamākhyānābhyām //	<B1> (9 aDikaraNam / ) (a.3 pA.2 aDi.9) liFga-samAKyAnAByAm //
   some ------ "bhakṣe hi māviśetyā" dirbhakṣānuvāka ityevaṃ samākhyāto	some ----- "Bakze hi mA-aviSetyA" dirBakza-anuvAkaH iti-evam samAKyAtaH-
   mantraḥ śrutaḥ /	mantraH SrutaH /
   tatra yastāvadasyāṃśo bhakṣaṇameva pratipādayati sa tatraiva viniyujyate,	tatra yaH-tAvat-asya-aMSaH BakzaNam-eva pratipAdayati sa tatra-eva viniyujyate,
   grahaṇāvekṣaṇasamyagjaraṇapratipādakānāṃ tvaṃśānāṃ kiṃ grahaṇādāveva	grahaNa-avekzaNa-samyak-jaraNa-pratipAdakAnAm tu-aMSAnAm kim grahaNa-AdO=-eva
   viniyogo 'thavā bhakṣaṇamantraikavākyatayā bhakṣaṇa eveti cintāyām	viniyogaH aTavA BakzaNa-mantra-eka-vAkya-tayA BakzaNaH eva-iti cintAyAm
   -------- grahaṇāderavihitatvenāpūrvaṃ	------- grahaNa-AdeH-avihita-tvena-apUrvam
   pratyaṅgatvavajjanakatvasyāpyabhāvādgrahaṇasyārthādbhakṣaṇajanakatvena	pratyaFga-tva-vat-janaka-tvasya-api-aBAvAt-grahaNasya-arTAt-BakzaNa-janaka-tvena
   pakṣaprāptāvapi bāhubhyāṃ sadhyāsamityanenoktasya bāhudvayakaraṇakasya	pakza-prAptO=-api bAhuByAm sa-DyAsamiti-anena-uktasya bAhu-dvaya-karaNakasya
   grahaṇasya kathamapyaprāpteravekṣaṇasya ca bhakṣājanakatvenaivāprāpteḥ	grahaNasya kaTam-api-aprApteH-avekzaNasya ca BakzA-janaka-tvena-eva-aprApteH
   samyagjaraṇasya tadanukūlavyāpārasya vā bhakṣottarabhāvitayā	samyak-jaraNasya tad-anukUla-vyApArasya vA Bakza-uttara-BAvitayA
   bhakṣājanakatvena teṣāmapūrvaprayojakatvasyāpyabhāvādgrahaṇādyarthatve	BakzA-janaka-tvena tezAm-apUrva-prayojaka-tvasya-api-aBAvAt-grahaNa-Adi-arTa-tve
   ānarthakyāpatteḥ bhakṣaṇamantraikavākyatayā bhakṣaṇārthatvamevaiṣām /	AnarTakya-ApatteH BakzaNa-mantra-eka-vAkya-tayA BakzaNa-arTa-tvam-eva-ezAm /
   ataeva samākhyāpyupapannā bhavatīti prāpte ---------	ataeva samAKyA-api-upapannA Bavati-iti prApte ---------
   grahaṇādipratyakṣavidhyabhāve 'pi samākhyāsahakṛtāvāntaraprakaraṇena	grahaNa-Adi-pratyakza-viDi-aBAve api samAKyA-saha-kRta-avAntara-prakaraNena
   bhakṣasaṃbandhe tattanmantrāṇāmavagate liṅgabalena	Bakza-saMbanDe tad-tad-mantrANAm-avagate liFga-balena
   māntravarṇikagrahaṇādividhikalpanayā tatprāptyupapattestadarthatvenaiva	mAntra-varNika-grahaNa-Adi-viDi-kalpanayA tad-prApti-upapatteH-tad-arTa-tvena-eva
   mantraviniyogopapattau na svato nirākāṅkṣayordvayorākhyātapadayoḥ	mantra-viniyoga-upapattO na svatas nirAkAFkzayoH-dvayoH-AKyAta-padayoH
   kathañcidekavākyatāṃ parikalpya gauṇyā bhakṣārthatvakalpanam śaktyaiva vā	kaTaQcid-eka-vAkyatAm parikalpya gONyA Bakza-arTa-tva-kalpanam SaktyA-eva vA
   bhakṣaviśeṣaṇatvena grahaṇādiprakāśakatvakalpanamupapattimat /	Bakza-viSezaNa-tvena grahaNa-Adi-prakASaka-tva-kalpanam-upapattimat /
   nacaivamapi samyagjaraṇasya kṛtyasādhyatvānna vidhisaṃbhavaḥ;	na-ca-evam-api samyak-jaraNasya kRtya-sADya-tvAt-na viDi-saMBavaH;
   samyagjaraṇānukūlavyāpārasyāsanaviśeṣasyaivānuṣṭheyasya vidheyatvāt /	samyak-jaraNa-AnukUla-vyApArasya-Asana-viSezasya-eva-anuzWeyasya viDeya-tvAt /
   vamanavirekanimittaprāyaścittāmnānācca samyagjaraṇaparyantameva bhakṣaṇaṃ	vamana-vireka-nimitta-prAyaScittAmnAnAt-ca samyak-jaraNa-paryantam-eva BakzaNam
   pratipattiriti tasya bhakṣopayogitā // 24 // 9 // iti navamaṃ	pratipattiH-iti tasya Bakza-upayogitAH // 24 // 9 // iti navamam
   liṅgasamākhyānādhikaraṇam //	liFga-samAKyAna-aDikaraNam //
   <B2> ityādiriti //	<B2> ityAdiH-iti //
   ādiśabdena vicāraviṣayatayā āvaśyakasya "dīrghāyutvāya śantanutvāya	Adi-Sabdena vicAra-vizaya-tayA AvaSyakasya "dIrGa-Ayu-tvAya Santanu-tvAya
   rāyaspoṣāya varcase suprajāstvāyehi vaso purovaso priyo me	rAyaspozAya varcase suprajAH-tvAya-ihi vaso purovaso priyaH me
   hṛdosyāśvinostvā bāhubhyāṃsadhyāsaṃ nṛcakṣasaṃ tvā deva soma sucakṣā	hRdosya-aSvinoH-tvA bAhuByAMsaDyAsam nR-cakzasam tvA deva soma sucakzA
   avakhyeṣam /	avaKyezam /
   hinva me gātrā harivo gaṇānme mā vitītṛṣaḥ /	hinva me gAtrAH harivaH gaNAn-me mA vitItRzaH /
   śivo me saptarṣīnupatiṣṭhasva yā me vāṅmābhimatigāḥ /	SivaH me saptarzIn-upatizWasva yAH me vAc-mABim-ati-gAH /
   mandrābhibhūtiḥ keturyajñānāṃ vāgjuṣāṇā somasya tṛpyatu -------	mandra-aBiBUtiH ketuH-yajQAnAm vAc-juzANA somasya tRpyatu -------
   vasumadgaṇasya rudravadgaṇasyādityavadgaṇasya somadevate matividaḥ	vasumat-gaNasya rudra-vat-gaNasya-Aditya-vat-gaNasya soma-devate mati-vidaH
   prātaḥsavanasya mādhyandinasya savanasya gāyatrachandasaḥ triṣṭup chandaso	prAtaHsavanasya mADyandinasya savanasya gAyatra-CandasaH trizwuB CandasaH-
   jagacchandaso 'gnihuta indrapītasya narāśaṃsapītasya pitṛpītasya madhumata	jagacCandasaH agni-hutaH indra-pItasya nara-aSaMsa-pItasya pitR-pItasya maDumata
   upahūtasyopahūto bhakṣayāmi" ityantasya bhāgasyopādānam /	upahUtasya-upahUtaH BakzayAmi" iti-antasya BAgasya-upAdAnam /
   etacca bhāṣyalikhitakrameṇa likhitam /	etat-ca BAzya-liKita-krameNa liKitam /
   taittirīyaśākhāyāntu avakhyeṣamityasyāgre mandrābhibhūtirityādi	tEttirIya-SAKA-AyAntu avaKyezam-iti-asya-agre mandra-aBiBUtiH-ityAdi
   bhakṣayāmītyantaṃ paṭhitvā hinva me iti paṭhitam /	BakzayAmi-iti-antam paWitvA hinva me iti paWitam /
   pūrvapakṣopayogitayā ityevaṃ samākhyāta ityuktam /	pUrva-pakza-upayogi-tayA iti-evam samAKyAtaH iti-uktam /
   tatra sarvasyāpyudāharaṇatāśaṅkānirāsāya viṣayaṃ vivinakti ------ tatreti	tatra sarvasya-api-udAharaNa-tA-SaFkA-nirAsAya vizayam vivinakti ----- tatra-iti
   mandrābhibhūtirityādi juṣāṇetyantasya tṛptyā asya phalaprakāśanapūrvakaṃ	mandra-aBiBUtiH-ityAdi juzANa-iti-antasya tRptyAH asya Pala-prakASana-pUrvakam
   bhakṣaṇaprakāśanārthatvasya spaṣṭatvāt tṛpyatvityantasya	BakzaNa-prakASana-arTa-tvasya spazwa-tvAt tRpyatu-iti-antasya
   bhakṣaṇaprakāśakatvasya uttarādhikaraṇe sādhayiṣyamāṇatvācca vasumadādeśca	BakzaNa-prakASaka-tvasya uttara-aDikaraNe sADayizyamANa-tvAt-ca vasumadAdeH-ca
   liṅgasamākhyābhyāṃ nirvivādameva "abhiṣutyāhavanīye hutvā pratyañcaḥ	liFga-samAKyAByAm nirvivAdam-eva "aBizuti-AhavanIye hutvA pratyaQcaH
   paretya sadasi bhakṣān bhakṣayatī"ti vihitabhakṣaṇāṅgatvam /	paretya sadasi BakzAn Bakzayati-i"ti vihita-BakzaNa-aFga-tvam /
   tadgatānāñca prātaḥsavanādiśabdānāṃ tathā indrapītādiśabdānāṃ ca	tad-gata-anAQca prAtaHsavana-Adi-SabdAnAm taTA indra-pIta-Adi-SabdAnAm ca
   sūktavākavibhāgādhikaraṇanyāyena tadvadeva yathāsavanaṃ viniyogasya	sUktavAka-viBAga-aDikaraNa-nyAyena tadvat-eva yaTA-savanam viniyogasya
   spaṣṭatvamiti nodāharaṇatvamityarthaḥ /	spazwa-tvam-iti na-udAharaNa-tvam-iti-arTaH /
   aṃśānāmiti //	aMSAnAm-iti //
   "bhakṣehime" tyādeḥ "sadhyāsami" tyantasya grahaṇe "nṛcakṣasami"tyādera	"Bakzehime" tyAdeH "saDyA-sami" tyantasya grahaNe "nRcakzasam-i"ti-Adera
   "vakhyeṣami" tyantasya avekṣaṇe "hinva me"tyādeḥ "atigā" ityantasya	"vaKyezami" tyantasya avekzaNe "hinva me"ti-AdeH "atigA" iti-antasya
   samyagjaraṇe ityevamaṃśānāṃ viniyoga ityarthaḥ /	samyak-jaraNe iti-evam-aMSAnAm viniyogaH iti-arTaH /
   tatra siddhānte yathāliṅgaṃ viniyogāt	tatra sidDAnte yaTAliFgam viniyogAt-
   tadupayogyuddeśyatāvacchedakanirūpaṇāt pādādhyāyasaṅgatī tathā	tad-upayogi-uddeSya-tAvacCedaka-nirUpaNAt pAda-aDyAya-saFgatI taTA
   pūrvādhikaraṇe kratusaṃbandharahitadvārasaṃbandhānupapatteḥ prakṛtagrahaṇe	pUrva-aDikaraNe kratu-saMbanDa-rahita-dvAra-saMbanDa-anupapatteH prakRta-grahaNe
   ukte prakṛte sarvathāvihitagrahaṇāderapūrvasaṃbandhābhāve dvāratvābhāva	ukte prakRte sarvaTA-vihita-grahaNa-AdeH-apUrva-saMbanDa-aBAve dvAra-tva-aBAva
   ityevaṃ pūrvapakṣotthānāt pratyudāharaṇarūpāṃ anantarasaṅgatiñca	iti-evam pUrva-pakza-utTAnAt pratyudAharaNa-rUpAm anantara-saFgatiQca
   spaṣṭatvādanuktvā pādādhyāyasaṅgatyoratispaṣṭatvaṃ prathamataḥ	spazwa-tvAt-anuktvA pAda-aDyAya-saFgatyoH-ati-spazwa-tvam praTamatas-
   siddhāntakoṭyupanyāsena sūcayan sandehaṃ darśayati ------- kimiti //	sidDAnta-kowi-upanyAsena sUcayan sandeham darSayati ------ kim-iti //
   grahaṇādyarthatve liṅgamātrasattve 'pi grahaṇādisvarūpārthatve	grahaNa-Adi-arTa-tve liFga-mAtra-sattve api grahaNa-Adi-svarUpa-arTa-tve
   mantraniyamasyānarthakyāpatteḥ teṣāmavihitatvenāpūrvaṃ pratyaṅgatvasya	mantra-niyamasya-anarTakyApatteH tezAm-avihita-tvena-apUrvam pratyaFga-tvasya
   janakasya vābhāve tadapūrvasādhanatvalakṣaṇayā	janakasya vA-aBAve tad-apUrva-sADana-tva-lakzaNayA
   ānarthakyaparihārānupapatterna tadaṅgatvena mantraviniyogo yuktaḥ, apitu	AnarTakya-parihAra-anupapatteH-na tad-aFga-tvena mantra-viniyogaH yuktaH, apitu
   vihitabhakṣaṇāṅgatayaivetyabhipretya pūrvapakṣamāha ------- grahaṇāderiti	vihita-BakzaNa-aFga-tayA-eva-iti-aBipretya pUrva-pakzam-Aha ------ grahaNa-AdeH-iti
   bhakṣājanakatvenaiveti //	BakzA-janaka-tvena-eva-iti //
   grahaṇaṃ vinā bhakṣaṇāsaṃbhavena tasya pakṣaprāptasaṃbhāvanāyāmapi	grahaNam vinA BakzaNa-asaMBavena tasya pakza-prApta-saMBAvanAyAm-api
   avekṣaṇasya loke niyamatastajjanakatvāvikḷpteḥ sarvathaivāprāptirityarthaḥ	avekzaNasya loke niyamataH-tad-janakatvA-avik?pteH sarvaTA-eva-aprAptiH-iti-arTaH
   bhakṣottarabhāvitayeti //	Bakza-uttara-BAvitayA-iti //
   naca ------- bhakṣottarabhāvibhakṣaṇajanyaphalaprakāśanadvārā	na-ca ------ Bakza-uttara-BAvi-BakzaNa-janya-Pala-prakASana-dvArA
   aganmetyādimantrasya darśapūrṇamāsāṅgatvamiva bhakṣaṇāṅgatvamiti -------	aganma-ityAdi-mantrasya darSa-pUrNamAsa-aFga-tvam-iva BakzaNa-aFga-tvam-iti -------
   vācyam; kavalasaṃyogarūpabhakṣaṇasya bhakṣyamāṇapratipattirūpatayā	vAcyam; kavala-saMyoga-rUpa-BakzaNasya BakzyamANa-pratipatti-rUpa-tayA
   samyagjaraṇaphalakatvābhāvāditi bhāvaḥ //	samyak-jaraNa-Palaka-tva-aBAvAt-iti BAvaH //
   bhakṣamantraikavākyatayeti //	Bakza-mantra-eka-vAkyatayA-iti //
   satyapyākhyātabhede upakramopasaṃhāraikye	sati-api-AKyAta-Bede upakrama-upasaMhAra-Ekye
   satyekavākyatāprayojakībhūtākāṅkṣāsattvasya vaiśvānaravākye darśanādatrāpi	sati-eka-vAkyatA-prayojakI-BUtAkAFkzA-sattvasya vESvAnara-vAkye darSanAt-atra-api
   bhakṣehītyādinā bhakṣaṇasyaivopakramāt bhakṣayāmītyantena	Bakza-ihi-ityAdinA BakzaNasya-eva-upakramAt BakzayAmi-iti-antena
   tasyaivopasaṃhārādupakramopasaṃhāraikyapratīterekavākyatāprayojakībhūtākāṅkṣārūpaliṅgāt	tasya-eva-upasaMhArAt-upakrama-upasaMhAra-Ekya-pratIteH-eka-vAkyatA-prayojakI-BUta-akAFkzA-rUpaliFgAt
   grahaṇāvekṣaṇasamyagjaraṇaviśiṣṭatvena athavā bhakṣaṇalakṣaṇayāvā	grahaNa-avekzaNa-samyak-jaraNa-viSizwa-tvena aTavA BakzaNa-lakzaNayAvA
   bhakṣārthatvamityarthaḥ /	Bakza-arTa-tvam-iti-arTaH /
   evaṃ laukikaviniyogāsaṃbhave pūrvoktaikavākyatārūpaliṅgopaṣṭabdhayā	evam lOkika-viniyoga-asaMBave pUrva-ukta-eka-vAkya-tArUpa-liFga-upazwabDayA
   durbalayāpi samākhyayā viniyoge virodhābhāva ityāha --------- ataeveti //	durbalayA-api samAKyayA viniyoge viroDa-aBAvaH iti-Aha -------- ataeva-iti //
   yadyapīyaṃ laukikī; tathāpi anāditvāt bhakṣasaṃbandhabodhe niyāmakatayā	yadi-api-iyam lOkikI; taTA-api anAdi-tvAt Bakza-saMbanDa-boDe niyAmaka-tayA
   yogyatvādaṅgatvaṃ gamayantyupapannā bhavati /	yogya-tvAt-aFga-tvam gamayanti-upapannA Bavati /
   itarathā bhakṣābhakṣasamudāyāśrayeṣu liṅgasamavāyena gauṇīvṛttirāśrayaṇīyā	itaraTA BakzA-Bakza-samudAya-ASrayezu liFga-samavAyena gONI-vRttiH-ASrayaNIyA
   bhavedityarthaḥ /	Bavet-iti-arTaH /
   ato yadyapi "bhakṣehītyādriyamāṇaṃ pratīkṣya" " aśvinostvā	atas yadi-api "Bakza-ihi-iti-AdriyamANam pratIkzya" " aSvinoH-tvA
   bāhubhyāṃsadhyāsamiti" pratigṛhyetyāpastambasūtre pratīkṣaṇe	bAhuByAMsa-DyAsamiti" pratigRhya-iti-Apastamba-sUtre pratIkzaNe
   bhakṣehītyayamaṃśo viniyuktaḥ; tathāpi pratīkṣaṇaliṅgakatvāpratīterayuktaṃ	Bakza-ihi-iti-ayam-aMSaH viniyuktaH; taTA-api pratIkzaNa-liFgaka-tva-apratIteH-ayuktam
   taditi matvā sarvasyāpyanuvākasya bhakṣāṅgatvamabhipretya	tat-iti matvA sarvasya-api-anuvAkasya Bakza-aFga-tvam-aBipretya
   pūrvapakṣamupasaṃharati -------- iti prāpta iti //	pUrva-pakzam-upasaMharati ------- iti prAptaH iti //
   yadyapi cātra upakramopasaṃhāraikyādekavākyatopagamanarūpaṃ kḷptaṃ bhavet;	yadi-api ca-atra upakrama-upasaMhAra-EkyAt-eka-vAkyatA-upagamana-rUpam k?ptam Bavet-;
   tathāpi grahaṇādiprakāśakamantrabhāgasya bhakṣaṇāṅgatvaṃ vākyenaiveti	taTA-api grahaNa-Adi-prakASaka-mantra-BAgasya BakzaNa-aFga-tvam vAkyena-eva-iti
   tasya prabalena liṅgena bādhopapattiḥ /	tasya prabalena liFgena bADa-upapattiH /
   vastutastu ------- upakramasya sādhāraṇatvāt pratyuta	vastutas-tu ------ upakramasya sADAraNa-tvAt pratyuta
   mukhyasāmarthyānurodhena grahaṇādiviṣaya evopapatternātrākhyātabhede	muKya-sAmarTya-anuroDena grahaNa-Adi-vizayaH eva-upapatteH-nAtra-AKyAta-Bede
   satyekavākyatvamapi /	sati-eka-vAkya-tvam-api /
   naca dīrghāyutvāyetyasya bhakṣaṇaphalapratipādakasya grahaṇe 'nanvaya eva	na-ca dIrGa-Ayu-tvAya-iti-asya BakzaNa-Pala-pratipAdakasya grahaNe ananvayaH eva
   bhakṣaṇārthatvatātparyagrāhakaḥ; tasya	BakzaNa-arTa-tva-tAtparya-grAhakaH; tasya
   grahaṇaphalībhūtabhakṣaṇaphalapratipādanena stāvakatayānvayopapatteḥ, ato	grahaNa-PalIBUta-BakzaNa-Pala-pratipAdanena stAvaka-tayA-anvaya-upapatteH, atas-
   liṅgenaikavākyatābhaṅgāt grahaṇādyaṅgatvamevetyabhipretya siddhāntaṃ	liFgena-eka-vAkyatA-BaFgAt grahaNa-Adi-aFga-tvam-eva-iti-aBipretya sidDAntam
   pratipādayan ānarthakyaparihārāya prathamato grahaṇādividhiṃ sādhayati	pratipAdayan AnarTakya-parihArAya praTamatas grahaNa-Adi-viDim sADayati
   ------ grahaṇādīti //	----- grahaNa-Adi-iti //
   kalpakamantrasya bhakṣāṅgatvāt tatkalpyavidhivihitagrahaṇādīnāmapi	kalpaka-mantrasya Bakza-aFga-tvAt tad-kalpya-viDi-vihita-grahaNa-AdInAm-api
   bhakṣāṅgatvasiddhirityarthaḥ /	Bakza-aFga-tva-sidDiH-iti-arTaH /
   tadarthatvenaiveti //	tad-arTa-tvena-eva-iti //
   yadyapi sadherhiṃsārthatvāccakṣiṇau bhāṣaṇārthatvāddhinotergatyarthatvānna	yadi-api saDeH-hiMsA-arTa-tvAt-cakziNO BAzaNa-arTa-tvAt-hinoteH-gati-arTa-tvAt-na
   grahaṇāvekṣaṇasamyagjaraṇaprakāśanaliṅgataiṣāṃ saṃbhavati; tathāpi	grahaNa-avekzaNa-samyak-jaraNa-prakASana-liFga-tA-ezAm saMBavati; taTA-api
   bījatantusantānārthanirvapatineva bāhudbayakaraṇakahiṃsāvinābhāvāt	bIja-tantu-santAna-arTa-nirvapatinA-iva bAhudbaya-karaNa-ka-hiMsA-vinA-BAvAt
   bāhukaraṇatvārhatayā ca lakṣaṇayā grahaṇapratipādakatvam /	bAhukaraNa-tva-arha-tayA ca lakzaNayA grahaNa-pratipAdaka-tvam /
   cakṣiṅaḥ khyāñityanena vihitasya khyāñādeśasyāniṭtvena khyeṣamiti	cakziFaH KyAQiti-anena vihitasya KyAQA-deSasya-aniwtvena Kyezam-iti
   rūpāsiddhāvapi chandasi dṛṣṭānuvidhitvena khyeñityupasaṅkhyānakaraṇāt sic	rUpa-asidDO=-api Candasi dRzwa-anuviDi-tvena KyeQiti-upasaFKyAna-karaNAt sic
   bahulaṃ leṭīti sickaraṇāśrayaṇāt	bahulam lewI-iti sickaraNa-ASrayaNAt-
   vāgviṣayavyaktatākhyaprakāśanavācināpyavakhyeṣamityanena loke khyāta	vAc-vizaya-vyakta-tA-AKya-prakASana-vAcinA-api-avaKyezam-iti-anena loke KyAta
   ityādau vede ca nṛṣu khyāyata iti nṛcakṣā ityevamihaiva	ityAdO vede ca nRzu KyAyate iti nR-cakzAH iti-evam-iha-eva
   sarvajñātatvarūpaprasiddhyākhyaprakāśanamātre prayogāttatpareṇa satā	sarva-jQAta-tva-rUpa-prasidDi-AKya-prakASana-mAtre prayogAt-tatpareNa satA
   sucakṣuṣṭvācisucakṣuḥ padaikavākyatāvaśāt	sucakzuzwvA-acisucakzuH pada-eka-vAkyatA-vaSAt
   cākṣuṣajñānākhyāvekṣaṇarūpaprakāśanapratipādanamaviruddham /	cAkzuza-jQAna-AKya-avekzaNa-rUpa-prakASana-pratipAdanam-avirudDam /
   hinoteśca prīṇane 'pi prayogāddhinvetyanena he haritavarṇa soma me gātrāṇi	hinoteH-ca prINane api prayogAt-hinva-iti-anena he harita-varNa soma me gAtrANi
   prīṇaya gaṇānindriyagaṇān vedabhāṣyakāralekhanāt putrādīn vā	prINaya gaNAn-indriya-gaNAn veda-BAzya-kAra-leKanAt putra-AdIn vA
   somapānaviṣayatṛṣṇārahitān mā kuru śivaḥ san me saptarṣīn	soma-pAna-vizaya-tRzNA-rahitAn mA kuru SivaH san me saptarzIn
   āsyasaptamacakṣurnāsāśrotrākhyadvandvadvayarūpaśīrṣa	Asya-saptama-cakzuH-nAsA-Srotra-AKya-dvandva-dvaya-rUpa-SIrza
   ṇyacchidrasañcārisaptaprāṇākhyānupatiṣṭhasva vāknābhimatikramya	Nya=-Cidra-saQcAri-sapta-prANa-AKyAn-upatizWasva vAknABim-atikramya
