   akāmakṛtapāpasya Par_8.1c	akAma-kRta-pApasya Par_8.1c
   govāṭe vā gṛhe vāpi Par_9.4c	go-vAwe vA gRhe vA-api Par_9.4c
   goviṃśad dakṣiṇāṃ dadet Par_6.17d	goviMSat dakziNAm dadet Par_6.17d
   govṛṣāṇāṃ vipattau ca Par_9.47a	go-vRzANAm vipattO ca Par_9.47a
   grāmaghāte śaraugheṇa Par_9.43a	grAma-GAte Sara-oGeNa Par_9.43a
   grāmasthānaṃ yathā śūnyaṃ Par_8.17a	grAma-sTAnam yaTA SUnyam Par_8.17a
   grāmeṣu nagareṣu vā Par_12.68(67)d	grAmezu nagarezu vA Par_12.68(67)d
   grāsaṃ vā yadi gṛhṇīyāt Par_9.12a	grAsam vA yadi gRhNIyAt Par_9.12a
   grāsaṃ vai parikalpayet Par_10.3b	grAsam vE parikalpayet Par_10.3b
   grāsārthaṃ codito vāpi Par_9.51a	grAsa-arTam coditaH vA-api Par_9.51a
   ghātaś ceti caturvidham Par_9.3b	GAtaH ca-iti caturviDam Par_9.3b
   ghṛtakumbhaśatena ca Par_1.46b	GRta-kumBa-Satena ca Par_1.46b
   ghṛtam ekapalaṃ dadyāt Par_11.31c	GRtam eka-palam dadyAt Par_11.31c
   ghṛtaṃ kuśodakaṃ pītvā Par_5.4c	GRtam kuSa-udakam pItvA Par_5.4c
   ghṛtaṃ tailaṃ tathā kṣīraṃ Par_11.13a	GRtam tElam taTA kzIram Par_11.13a
   ghṛtaṃ prāśya viśudhyati Par_3.42d	GRtam prASya viSuDyati Par_3.42d
   ghṛtaṃ prāśya viśudhyati Par_3.46d	GRtam prASya viSuDyati Par_3.46d
   ghṛtaṃ prāśya viśudhyati Par_5.3d	GRtam prASya viSuDyati Par_5.3d
   ghorāyāṃ bhrūṇahatyāyāṃ Par_4.15c	GorAyAm BrUNa-hatyAyAm Par_4.15c
   cakravākaṃ ca kukkuṭam Par_6.2b	cakravAkam ca kukkuwam Par_6.2b
   caṇḍālakhātavāpīṣu Par_6.25a	caNxAla-KAta-vApIzu Par_6.25a
   caṇḍālaghaṭasaṃsthaṃ tu Par_6.27a	caNxAla-Gawa-saMsTam tu Par_6.27a
   caṇḍāladarśane sadya Par_6.24a	caNxAla-darSane sadyas Par_6.24a
   caṇḍālabhāṇḍasaṃspṛṣṭaṃ Par_6.26a	caNxAla-BANxa-saMspRzwam Par_6.26a
   caṇḍālasparśane caiva Par_6.24c	caNxAla-sparSane ca-eva Par_6.24c
   caṇḍālasya vadhe prāpte Par_6.20c	caNxAlasya vaDe prApte Par_6.20c
   caṇḍālaṃ patitaṃ striyam Par_7.9d	caNxAlam patitam striyam Par_7.9d
   caṇḍālaṃ hatavān kaścid Par_6.19a	caNxAlam hatavAn kaScid Par_6.19a
   caṇḍālaḥ somavikrayī Par_12.28(27)b	caNxAlaH soma-vikrayI Par_12.28(27)b
   caṇḍālānnam athāpi vā Par_11.1b	caNxAla-annam aTa-api vA Par_11.1b
   caṇḍālānnaṃ kathaṃcana Par_6.32b	caNxAla-annam kaTaMcana Par_6.32b
   caṇḍālīṃ gacchato yadi Par_10.7b	caNxAlIm gacCataH yadi Par_10.7b
   caṇḍālīṃ vā śvapākīṃ vā hy Par_10.5a	caNxAlIm vA SvapAkIm vA hi Par_10.5a
   caṇḍālena śvapākena Par_5.10a	caNxAlena SvapAkena Par_5.10a
   caṇḍālaikapathaṃ gatvā Par_6.23c	caNxAla-eka-paTam gatvA Par_6.23c
   caṇḍālaiḥ saha saṃparkaṃ Par_6.43a	caNxAlEH saha saMparkam Par_6.43a
   caṇḍālaiḥ saha saṃparkaṃ Par_10.17a	caNxAlEH saha saMparkam Par_10.17a
   caṇḍālaiḥ saha suptaṃ tu Par_6.23a	caNxAlEH saha suptam tu Par_6.23a
   caṇḍālo yadi kasyacit Par_6.46b	caNxAlaH yadi kasyacid Par_6.46b
   caturahaṃ caikabhaktāśī Par_8.40a	catur-aham ca-eka-Bakta-ASI Par_8.40a
   caturahaṃ naktabhojanaḥ Par_8.40b	catur-aham naktaBojanaH Par_8.40b
   caturahaṃ mārutāśanaḥ Par_8.40d	catur-aham mArutASanaH Par_8.40d
   catur gomithunaṃ dadet Par_10.8d	catuH go-miTunam dadet Par_10.8d
   caturṇām api varṇānām Par_1.37a	caturNAm api varNAnAm Par_1.37a
   caturṇām api varṇānām Par_2.15c	caturNAm api varNAnAm Par_2.15c
   caturṇām api varṇānāṃ Par_1.17c	caturNAm api varNAnAm Par_1.17c
   caturthapuruṣeṇa tu Par_3.8b	caturTa-puruzeNa tu Par_3.8b
   caturthe godvayaṃ smṛtam Par_9.15d	caturTe go-dvayam smRtam Par_9.15d
   caturthe daśarātraṃ syāt Par_3.9a	caturTe daSa-rAtram syAt Par_3.9a
   caturthe daśarātraṃ syāt Par_4.12a	caturTe daSa-rAtram syAt Par_4.12a
   caturthe 'hani śudhyati Par_7.15d	caturTe ahani SuDyati Par_7.15d
   caturthe 'hani śudhyati Par_7.19b	caturTe ahani SuDyati Par_7.19b
   caturdinam ayācī syāc Par_8.40c	catur-dinam ayAcI syAt Par_8.40c
   caturvidyopapannas tu Par_12.65(64)c	catur-vidyA-upapannaH tu Par_12.65(64)c
   caturvidhyeṣu dakṣiṇām Par_12.73(72)d	catur-viDi-ezu dakziNAm Par_12.73(72)d
   catvāriṃśac chire dadyāc Par_5.16a	catvAriMSat Sire dadyAt Par_5.16a
   catvāro vā trayo vāpi Par_8.7a	catvAraH vA trayaH vA-api Par_8.7a
   catvāro vā trayo vāpi Par_8.11a	catvAraH vA trayaH vA-api Par_8.11a
   candanaṃ sumaṇiṃ ghṛtam Par_12.48(47)b	candanam su-maNim GRtam Par_12.48(47)b
   caret sarvaṃ nipātane Par_9.4b	caret sarvam nipAtane Par_9.4b
   caret sarvaṃ nipātane Par_9.18d	caret sarvam nipAtane Par_9.18d
   caret sarvaṃ nipātane Par_9.29d	caret sarvam nipAtane Par_9.29d
   caret sāṃtapanaṃ kāṣṭhe Par_9.24a	caret sAMtapanam kAzWe Par_9.24a
   caret sāṃtapanaṃ vipraḥ Par_6.29a	caret sAMtapanam vipraH Par_6.29a
   careyus te pṛthak pṛthak Par_9.49d	careyuH te pRTak pRTak Par_9.49d
   cāṇḍālasūtikodakyā- Par_12.54(53)c	cANxAla-sUtikA-udakyA Par_12.54(53)c
   cāturvarṇyasamācāraṃ Par_1.17a	cAturvarNya-samAcAram Par_1.17a
   cāturvarṇyasamācāraṃ Par_1.35c	cAturvarNya-samAcAram Par_1.35c
   cāturvarṇyasya ca gṛhe tv Par_6.44c	cAturvarNyasya ca gRhe tu Par_6.44c
   cāturvarṇyasya nārīṇāṃ Par_10.23a	cAturvarNyasya nArINAm Par_10.23a
   cāturvarṇyāt samācaret Par_12.66(65)d	cAturvarNyAt samAcaret Par_12.66(65)d
   cāturvarṇyāśramāgatam Par_2.1d	cAturvarNya-ASrama-Agatam Par_2.1d
   cāturvarṇyeṣu sarveṣu Par_10.1a	cAturvarNyezu sarvezu Par_10.1a
   cāturvedyo vikalpī ca Par_8.27a	cAturvedyaH vikalpI ca Par_8.27a
   cāndrāyaṇatrayaṃ kuryāc Par_10.10a	cAndrAyaNa-trayam kuryAt Par_10.10a
   cāndrāyaṇaṃ yāvakaṃ tu Par_12.80(79)c	cAndrAyaNam yAvakam tu Par_12.80(79)c
   cāndrāyaṇe tataś cīrṇe Par_12.75(74)c	cAndrAyaNe tatas cIrNe Par_12.75(74)c
   citrakarma yathānekair Par_8.19a	citrakarma yaTA-anekEH Par_8.19a
   citraṃ vyāghraṃ tu ghātayan Par_6.13b	citram vyAGram tu GAtayan Par_6.13b
   cintitaṃ brāhmaṇārthāya Par_1.36c	cintitam brAhmaNa-arTAya Par_1.36c
   cīrṇānte caiva gāṃ dadyād Par_12.59(58)c	cIrNa-ante ca-eva gAm dadyAt Par_12.59(58)c
   cetano vāpy acetanaḥ Par_9.8d	cetanaH vA-api acetanaH Par_9.8d
   caityavṛkṣaś citir yūpaś Par_12.28(27)a	cEtya-vRkzaH citiH yUpaH Par_12.28(27)a
   corabhaktaprado hi saḥ Par_1.60d	cora-Bakta-pradaH hi saH Par_1.60d
   corau śvapākacaṇḍālau Par_6.21a	corO SvapAka-caNxAlO Par_6.21a
   cchedayed aṅguladvayam Par_9.54d	cCedayet aFgula-dvayam Par_9.54d
   chataṃ kaṇṭhe tu vinyaset Par_5.16b	Catam kaNWe tu vinyaset Par_5.16b
   chatropānadvivarjitaḥ Par_12.67(66)b	Catra-upAnat-vivarjitaH Par_12.67(66)b
   chiśnacchedena śudhyati Par_10.10b	CiSna=-Cedena SuDyati Par_10.10b
   chucir niyamam ācaret Par_9.58d	CuciH niyamam Acaret Par_9.58d
   chuddhiṃ pāraśaro 'bravīt Par_10.11d	CudDim pAraSaraH abravIt Par_10.11d
   chuddhiṃ pārāśaro 'bravīt Par_10.6d	CudDim pArASaraH abravIt Par_10.6d
   chuddhiṃ pārāśaro 'bravīt Par_10.22d	CudDim pArASaraH abravIt Par_10.22d
   chuddhiṃ svāyaṃbhuvo 'bravīt Par_12.8b	CudDim svAyaMBuvaH abravIt Par_12.8b
   chudhyate nātra saṃśayaḥ Par_10.13d	CuDyate na-atra saMSayaH Par_10.13d
   chūdro dānena śudhyati Par_6.51b	CUdraH dAnena SuDyati Par_6.51b
   chūdro dānena śudhyati Par_11.27b	CUdraH dAnena SuDyati Par_11.27b
   janane maraṇe tathā Par_3.1b	janane maraNe taTA Par_3.1b
   janane maraṇe tathā Par_3.19b	janane maraNe taTA Par_3.19b
   janmakarmaparibhraṣṭaḥ Par_3.6a	janma-karma-pariBrazwaH Par_3.6a
   janmany api vipattau ca Par_3.7c	janmani api vipattO ca Par_3.7c
   japac chidraṃ tapac chidraṃ Par_6.52c	japat Cidram tapat Cidram Par_6.52c
   japato juhvato vāpi Par_12.34(33)c	japataH juhvataH vA-api Par_12.34(33)c
   japahomadayādānaiḥ Par_10.40c	japa-homa-dayA-dAnEH Par_10.40c
   japitvā pāvanīṃ devīṃ Par_9.35c	japitvA pAvanIm devIm Par_9.35c
   japed vai jātavedasam Par_6.15d	japet vE jAtavedasam Par_6.15d
   japed vai vedamātaram Par_8.30d	japet vE vedamAtaram Par_8.30d
   japyaṃ devārcanaṃ homaṃ Par_2.5a	japyam deva-arcanam homam Par_2.5a
   jambukena vṛkeṇa vā Par_5.7b	jambukena vRkeNa vA Par_5.7b
   jalaśaucena vastrāṇāṃ Par_6.39c	jala-SOcena vastrANAm Par_6.39c
   jalasthaś ca bahiḥsthale Par_12.17b	jala-sTaH ca bahis-sTale Par_12.17b
   jalaṃ dadhi ghṛtaṃ payaḥ Par_11.25b	jalam daDi GRtam payaH Par_11.25b
   jalaṃ dadhi payaḥ pibet Par_6.30b	jalam daDi payaH pibet Par_6.30b
   jalāgnipatane caiva Par_12.5a	jala-agni-patane ca-eva Par_12.5a
   jalāvagāhanāt teṣāṃ Par_3.40c	jala-avagAhanAt tezAm Par_3.40c
   jale sthalastho nācāmej Par_12.17a	jale sTala-sTaH na-AcAmet Par_12.17a
   jalaiḥ prokṣed gṛhaṃ tathā Par_6.47d	jalEH prokzet gRham taTA Par_6.47d
   jātavedaḥ suvarṇaṃ ca Par_7.10c	jAtavedaH suvarNam ca Par_7.10c
   jātimātropajīvinām Par_8.4b	jAti-mAtra-upajIvinAm Par_8.4b
   jātau vipro daśāhena Par_3.4a	jAtO vipraH daSa-ahena Par_3.4a
   jātyandhe badhire mūke Par_4.27c	jAti-anDe baDire mUke Par_4.27c
   jāyāyās tu agamyatām Par_12.57(56)b	jAyAyAH tu agamyatAm Par_12.57(56)b
   jārasyaiva tu tad gṛham Par_10.36b	jArasya-eva tu tat gRham Par_10.36b
   jāreṇa janayed garbhaṃ Par_10.28c	jAreNa janayet garBam Par_10.28c
   jālapādaṃ ca śarabham Par_6.2c	jAlapAdam ca SaraBam Par_6.2c
   jitāś coraiś ca rājānaḥ Par_1.30c	jitAH corEH ca rAjAnaH Par_1.30c
   jitena labhyate lakṣmīr Par_3.37a	jitena laByate lakzmIH Par_3.37a
   jito dharmo hy adharmeṇa Par_1.30a	jitaH DarmaH hi aDarmeNa Par_1.30a
   juhūṃ ca dakṣiṇe haste Par_5.19c	juhUm ca dakziNe haste Par_5.19c
   jñātim ajñātim eva vā Par_3.42b	jQAtim ajQAtim eva vA Par_3.42b
   jñātvā tu niṣkṛtiṃ kuryāt Par_6.45a	jQAtvA tu nizkRtim kuryAt Par_6.45a
   jñātvā vipras tv ahorātraṃ Par_11.11c	jQAtvA vipraH tu ahorAtram Par_11.11c
   jñātvā samācaret kṛcchraṃ Par_11.5c	jQAtvA samAcaret kRcCram Par_11.5c
   jyeṣṭho bhrātā tathaiva ca Par_7.6d	jyezWaH BrAtA taTA-eva ca Par_7.6d
   jyeṣṭho bhrātā yadā tiṣṭhed Par_4.29a	jyezWaH BrAtA yadA tizWet Par_4.29a
   jvalantam api pātayet Par_12.35(34)d	jvalantam api pAtayet Par_12.35(34)d
   ḍāmare samare vāpi Par_10.16a	xAmare samare vA-api Par_10.16a
   takṣaṇāc chuddhir iṣyate Par_7.1d	takzaNAt SudDiH izyate Par_7.1d
   tac chrutvā ṛṣivākyaṃ tu Par_1.3a	tat SrutvA Rzi-vAkyam tu Par_1.3a
   taj jalaṃ sāgaropamam Par_1.53d	tat jalam sAgara-upamam Par_1.53d
   taṭākasyātha duṣṭasya Par_11.43c	tawAkasya-aTa duzwasya Par_11.43c
   taṇḍulājyatilān mukhe Par_5.20d	taNxula-Ajya-tilAn muKe Par_5.20d
   tatas ta ṛṣayaḥ sarve Par_1.5a	tatas te RzayaH sarve Par_1.5a
   tataḥ prāpnoti govadham Par_9.36d	tatas prApnoti go-vaDam Par_9.36d
   tataḥ śuddhim avāpnoti Par_12.78(77)c	tatas SudDim avApnoti Par_12.78(77)c
   tataḥ śudhyet sa āturaḥ Par_7.20b	tatas SuDyet saH AturaH Par_7.20b
   tataḥ saṃtuṣṭahṛdayaḥ Par_1.10a	tatas saMtuzwa-hRdayaH Par_1.10a
   tataḥ saṃnidhimātreṇa Par_12.55(54)a	tatas saMniDi-mAtreNa Par_12.55(54)a
   tato droṇāḍhakasyānnaṃ Par_6.71a	tatas droNa-AXakasya-annam Par_6.71a
   tatkṣaṇāt kṣipate yas tu Par_6.27c	tad-kzaNAt kzipate yaH tu Par_6.27c
   tat kṣetraṃ daśagaṇitaṃ Par_12.49(48)c	tat kzetram daSa-gaNitam Par_12.49(48)c
   tat pāpaṃ teṣu gacchati Par_6.57b	tat pApam tezu gacCati Par_6.57b
   tat pāpaṃ śatadhā bhūtvā Par_8.5c	tat pApam SataDA BUtvA Par_8.5c
   tat pāpaṃ śatadhā bhūtvā Par_8.29c	tat pApam SataDA BUtvA Par_8.29c
   tatra tatra ca ye dvijāḥ Par_1.33b	tatra tatra ca ye dvijAH Par_1.33b
   tatraśuddhiḥ kathaṃ bhavet Par_6.74d	tatra-SudDiH kaTam Bavet Par_6.74d
   tatra śrāddhaṃ ca kārayet Par_3.13d	tatra SrAdDam ca kArayet Par_3.13d
   tatra sthitvā nirāhārā tv Par_10.18c	tatra sTitvA nirAhArA tu Par_10.18c
   tatra snātvā tu gaṅgāyāṃ Par_12.11c	tatra snAtvA tu gaFgAyAm Par_12.11c
   tat somapānena kilāsya tulyaṃ Par_3.38c	tat soma-pAnena kila-asya tulyam Par_3.38c
   tat snānaṃ divyam ucyate Par_12.11b	tat snAnam divyam ucyate Par_12.11b
   tat syād vaikālikaṃ matam Par_7.17b	tat syAt vEkAlikam matam Par_7.17b
   tathā kāryaṃ vicakṣaṇaiḥ Par_5.23d	taTA kAryam vicakzaNEH Par_5.23d
   tathā cātyayakarmaṇi Par_12.26(25)b	taTA ca-atyaya-karmaNi Par_12.26(25)b
   tathā cośanasā smṛtāḥ Par_1.13b	taTA ca-uSanasA smRtAH Par_1.13b
   tathā dānena śaktitaḥ Par_6.31d	taTA dAnena SaktitaH Par_6.31d
   tathā prācetasān muneḥ Par_1.15b	taTA prAcetasAt muneH Par_1.15b
   tathā vipro 'nṛco 'phalaḥ Par_8.18d	taTA vipraH anRcaH aPalaH Par_8.18d
   tathā vedāntavedinaḥ Par_12.61(60)b	taTA vedAnta-vedinaH Par_12.61(60)b
   tathā vai bālavṛddhayoḥ Par_6.55d	taTA vE bAla-vRdDayoH Par_6.55d
   tathaiva kilbiṣaṃ sarvaṃ Par_8.23c	taTA-eva kilbizam sarvam Par_8.23c
   tathaiva kṣatriyo vaiśyo 'py Par_11.2a	taTA-eva kzatriyaH vESyaH api Par_11.2a
   tathaiva dharmān smarati Par_1.21c	taTA-eva DarmAn smarati Par_1.21c
   tathaivāhaṃ vadāmi vaḥ Par_6.68b	taTA-eva-aham vadAmi vaH Par_6.68b
   tadantarā spṛśec cāpas Par_6.65a	tad-antarA spRSet ca-apaH Par_6.65a
   tad annaṃ parivarjayet Par_12.40(39)d	tat annam parivarjayet Par_12.40(39)d
   tad annaṃ bhasmanā spṛśet Par_6.65b	tat annam BasmanA spRSet Par_6.65b
   tadardhaṃ tu cared vaiśyaḥ Par_6.29c	tad-arDam tu caret vESyaH Par_6.29c
   tad aśuddhaṃ gṛhaṃ bhavet Par_10.35d	tat aSudDam gRham Bavet Par_10.35d
   tad ūrdhvaṃ caiva tatsamaḥ Par_4.10d	tat UrDvam ca-eva tad-samaH Par_4.10d
   tad ekāhena lāṅgalī Par_2.9b	tat eka-ahena lAFgalI Par_2.9b
   tad eva bandhanaṃ vidyāt Par_9.7a	tat eva banDanam vidyAt Par_9.7a
   tadaiva ṛṣibhir dṛṣṭaṃ Par_3.22c	tadA-eva RziBiH dRzwam Par_3.22c
   tadgṛhe tu dvijair bhojyaṃ Par_11.12c	tad-gRhe tu dvijEH Bojyam Par_11.12c
   tad dānaṃ śubhakārakam Par_12.51(50)d	tat dAnam SuBa-kArakam Par_12.51(50)d
   tad dhi hetur nipātane Par_9.9d	tat Di hetuH nipAtane Par_9.9d
   tad bhavet tasya niṣphalam Par_1.64d	tat Bavet tasya nizPalam Par_1.64d
   tad bhaikṣyaṃ meruṇā tulyaṃ Par_1.53c	tat BEkzyam meruNA tulyam Par_1.53c
   tadvaktṝn adhigacchati Par_8.5d	tad-vaktLn aDigacCati Par_8.5d
   tadvat parastriyāḥ putrau Par_4.23a	tadvat para-striyAH putrO Par_4.23a
   tad vadhaṃ tu na taṃ vidyāt Par_9.1c	tat vaDam tu na tam vidyAt Par_9.1c
   tad vai rakṣāṃsi bhuñjate Par_1.59d	tat vE rakzAMsi BuQjate Par_1.59d
   tanmahādoṣam āpnuyāt Par_2.8b	tat-mahA-dozam ApnuyAt Par_2.8b
   tapaḥ paraṃ kṛtayuge Par_1.23a	tapaH param kRta-yuge Par_1.23a
   tapo vaneṣu tīrtheṣu Par_12.69(68)a	tapaH vanezu tIrTezu Par_12.69(68)a
   taptakṛcchraṃ tu pāṣāṇe Par_9.24c	taptakRcCram tu pAzANe Par_9.24c
   taptakṛcchraṃ vidhīyate Par_4.8d	taptakRcCram viDIyate Par_4.8d
   taptakṛcchreṇa śuddhās te Par_4.6a	taptakRcCreNa SudDAH te Par_4.6a
   taptakṛcchreṇa śudhyantīty Par_4.4a	taptakRcCreNa SuDyanti-iti Par_4.4a
   taptakṛcchre bhavanty aṣṭāv Par_9.25c	taptakRcCre Bavanti azwO Par_9.25c
   tam agārād vinirvāsya Par_6.46c	tam agArAt vinirvAsya Par_6.46c
   tayor annam adattvā tu Par_1.51c	tayoH annam adattvA tu Par_1.51c
   tarakṣuśvānaghātakaḥ Par_6.11b	tarakzu-SvAna-GAtakaH Par_6.11b
   tasmāt taṃ na vicārayet Par_1.54d	tasmAt tam na vicArayet Par_1.54d
   tasmāt tāṃ na tu dūṣayet Par_10.23d	tasmAt tAm na tu dUzayet Par_10.23d
   tasmāt tāṃ parivarjayet Par_12.23(22)d	tasmAt tAm parivarjayet Par_12.23(22)d
   tasmāt paśyet tu nityaśaḥ Par_12.47(46)d	tasmAt paSyet tu nityaSas Par_12.47(46)d
   tasmāt prakāśayet pāpaṃ Par_9.61a	tasmAt prakASayet pApam Par_9.61a
   tasmāt sarvaprayatnena Par_3.26c	tasmAt sarva-prayatnena Par_3.26c
   tasmād atithir ucyate Par_1.42d	tasmAt atiTiH ucyate Par_1.42d
   tasmād dānaṃ tu tadgrahe Par_12.24(23)d	tasmAt dAnam tu tad-grahe Par_12.24(23)d
   tasmād vṛṣalabhītena Par_12.33(32)a	tasmAt vRzala-BItena Par_12.33(32)a
   tasmān na pīḍayed vastraṃ Par_12.13c	tasmAt na pIxayet vastram Par_12.13c
   tasmān nānugrahaḥ smṛtaḥ Par_6.56b	tasmAt na-anugrahaH smRtaH Par_6.56b
   tasminn ṛṣisabhāmadhye Par_1.8a	tasmin Rzi-saBA-maDye Par_1.8a
   tasmin pātre jalaṃ pibet Par_12.41(40)b	tasmin pAtre jalam pibet Par_12.41(40)b
   tasya śuddhiṃ vinirdiśet Par_9.23d	tasya SudDim vinirdiSet Par_9.23d
   tasya homo nirarthakaḥ Par_1.46d	tasya homaH nirarTakaH Par_1.46d
   tasyāgnir vasate gṛhe Par_5.14b	tasya-agniH vasate gRhe Par_5.14b
   tasyānurūpaṃ mūlyaṃ vā Par_9.26c	tasya-anurUpam mUlyam vA Par_9.26c
   tasyās tyāgo vidhīyate Par_4.20d	tasyAH tyAgaH viDIyate Par_4.20d
   taṃ grāmaṃ daṇḍayed rājā Par_1.60c	tam grAmam daNxayet rAjA Par_1.60c
   taṃ pravakṣyāmy ahaṃ pūrvaṃ Par_2.2a	tam pravakzyAmi aham pUrvam Par_2.2a
   taṃ śūdraṃ varjayed vipraḥ Par_11.14c	tam SUdram varjayet vipraH Par_11.14c
   tāḍayitvā tṛṇenāpi Par_11.52c	tAxayitvA tRNena-api Par_11.52c
   tāmbūlekṣuphale caiva Par_7.33a	tAmbUla-ikzu-Pale ca-eva Par_7.33a
   tāmramamlena śudhyati Par_7.2b	tAmram-amlena SuDyati Par_7.2b
   tāmrāṇi pañcagavyena Par_10.38a	tAmrANi paQcagavyena Par_10.38a
   tāvatkālaṃ vaset svarge Par_4.32c	tAvatkAlam vaset svarge Par_4.32c
   tāvat tat sūtakaṃ gotre Par_3.8a	tAvat tat sUtakam gotre Par_3.8a
   tāvat taṃ poṣayen naraḥ Par_9.21b	tAvat tam pozayet naraH Par_9.21b
   tāvat tiṣṭhen nirāhārā Par_7.12a	tAvat tizWet nirAhArA Par_7.12a
   tāvat saṃvasate bahiḥ Par_10.21d	tAvat saMvasate bahis Par_10.21d
   tāvat syād aśucir vipro Par_3.28c	tAvat syAt aSuciH vipraH Par_3.28c
   tāv apūrvau dine dine Par_1.49d	tO apUrvO dine dine Par_1.49d
   tāṃ tyajed apare rāṣṭre Par_10.29a	tAm tyajet apare rAzwre Par_10.29a
   tāṃ diśaṃ vāvalokayet Par_5.8d	tAm diSam vA-avalokayet Par_5.8d
   tithir na jñāyate yadi Par_3.12d	tiTiH na jQAyate yadi Par_3.12d
   tiladarbhodakaiḥ prokṣya Par_11.6c	tila-darBa-udakEH prokzya Par_11.6c
   tilaprasthaṃ dvije dadyād Par_6.11c	tila-prasTam dvije dadyAt Par_6.11c
   tilān kṛṣṇājinaṃ chāgaṃ Par_12.48(47)c	tilAn kRzNAjinam CAgam Par_12.48(47)c
   tilā rasā na vikreyā Par_2.7a	tilAH rasAH na vikreyA Par_2.7a
   tisraḥ koṭyo 'rdhakoṭī ca Par_4.32a	tisraH kowyaH arDa-kowI ca Par_4.32a
   tīrthabhūtā hi sādhavaḥ Par_6.61d	tIrTa-BUtAH hi sADavaH Par_6.61d
   tīrthābhigamanena ca Par_12.6b	tIrTa-aBigamanena ca Par_12.6b
   tulāpuruṣa eva ca Par_12.80(79)d	tulApuruzaH eva ca Par_12.80(79)d
   tūlikādyupadhānāni Par_7.30a	tUlikA-Adi-upaDAnAni Par_7.30a
   tṛṇakāṣṭhasya rajjūṇām Par_7.29c	tRNa-kAzWasya rajjUNAm Par_7.29c
   tṛṇakāṣṭhādivikrayaḥ Par_2.7d	tRNa-kAzWa-Adi-vikrayaH Par_2.7d
   tṛtīye caiva pakṣe tu Par_4.11c	tRtIye ca-eva pakze tu Par_4.11c
   tṛtīye rajakī proktā Par_7.19a	tRtIye rajakI proktA Par_7.19a
   tṛṣārtāḥ salilārthinaḥ Par_12.12d	tRzA-ArtAH salila-arTinaH Par_12.12d
   tejo 'si śukram ity ājyaṃ Par_11.33a	tejaH asi Sukram iti Ajyam Par_11.33a
   te tasya vighnakartāraḥ Par_6.59a	te tasya viGna-kartAraH Par_6.59a
   tedāṃ vākyodakenaiva Par_6.62a	tedAm vAkya-udakena-eva Par_6.62a
   te dvijā pāpakarmāṇaḥ Par_8.20c	te dvijA pApa-karmANaH Par_8.20c
   tenaiva saha modate Par_4.33d	tena-eva saha modate Par_4.33d
   tenocchiṣṭena saṃspṛṣṭaḥ Par_7.22a	tena-ucCizwena saMspRzwaH Par_7.22a
   te yānti paramāṃ gatim Par_5.24d	te yAnti paramAm gatim Par_5.24d
   teṣām udvijate pāpaṃ Par_8.8c	tezAm udvijate pApam Par_8.8c
   teṣāṃ cāsaṃbhave trayaḥ Par_8.14b	tezAm ca-asaMBave trayaH Par_8.14b
   teṣāṃ tat sūtakaṃ bhavet Par_3.7d	tezAm tat sUtakam Bavet Par_3.7d
   teṣāṃ nindā na kartavyā Par_1.33c	tezAm nindA na kartavyA Par_1.33c
   teṣāṃ nindā na kartavyā Par_11.51a	tezAm nindA na kartavyA Par_11.51a
   teṣāṃ bhuktvā ca pītvā ca Par_10.34a	tezAm BuktvA ca pItvA ca Par_10.34a
   teṣu teṣu ca ye dvijāḥ Par_11.50d	tezu tezu ca ye dvijAH Par_11.50d
   tailabindur ivāmbhasi Par_12.80(79)b	tEla-binduH iva-amBasi Par_12.80(79)b
   toyaṃ pibati vaktreṇa Par_12.56(55)c	toyam pibati vaktreNa Par_12.56(55)c
   toyaṃ vāpi pibed yadi Par_9.12b	toyam vA-api pibet yadi Par_9.12b
   tau dvau nirayagāminau Par_11.47b	tO dvO niraya-gAminO Par_11.47b
   tyaktvā bandhūn sutān patim Par_10.30d	tyaktvA banDUn sutAn patim Par_10.30d
   tyajec ca mṛṇmayaṃ pātraṃ Par_10.37a	tyajet ca mRNmayam pAtram Par_10.37a
   tyajed deśaṃ kṛtayuge Par_1.25a	tyajet deSam kRta-yuge Par_1.25a
   tyajen naṣṭaśrutāṃ tathā Par_10.33b	tyajet nazwa-SrutAm taTA Par_10.33b
   tyajeyus tāṃ tu gotriṇaḥ Par_10.35b	tyajeyuH tAm tu gotriNaH Par_10.35b
   trayaś ca āśramo mukhyāḥ Par_8.27c	trayaH ca ASramaH muKyAH Par_8.27c
   trayas te narakaṃ yānti Par_7.7a	trayaH te narakam yAnti Par_7.7a
   trayas te nāmadhārakāḥ Par_8.16d	trayaH te nAmaDArakAH Par_8.16d
   trayo varṇā dvijātayaḥ Par_12.2d	trayaH varNAH dvijAtayaH Par_12.2d
   trikālaṃ mārutāśanaḥ Par_6.5d	tri-kAlam mArutASanaH Par_6.5d
   tridinaṃ caikabhaktāśī Par_8.39a	tri-dinam ca-eka-Bakta-ASI Par_8.39a
   tridinaṃ naktabhojanaḥ Par_8.39b	tri-dinam naktaBojanaH Par_8.39b
   tridinaṃ mārutāśanaḥ Par_8.39d	tri-dinam mArutASanaH Par_8.39d
   tripalaṃ tu payaḥ pibet Par_4.8b	tri-palam tu payaH pibet Par_4.8b
   tripādaṃ caiva karṇe tu Par_9.18c	tri-pAdam ca-eva karNe tu Par_9.18c
