   [I. dānapāramitā]	[I. dAna pAramitA]
   vālikās tāvanty anena bhikṣuṇā cakravartirājyasahasrāṇi paribhoktavyāni |	vAlikAH tAvanti anena BikzuNA cakravarti rAjya sahasrANi pariBoktavyAni |
   yāvad athāyuṣmān upālir yena bhagavān tenāñjaliṃ praṇamya bhagavantam idam	yAvat aTa AyuzmAn upAliH yena BagavAn tena aQjalim praNamya Bagavantam idam
   avocat | yad uktaṃ bhagavatāsya bhikṣor evaṃ mahānti kuśalamūlāni |	avocat | yat uktam BagavatA asya BikzoH evam mahAnti kuSala mUlAni |
   kutremāni bhagavan kuśalamūlāni tanutvaṃ parikṣayaṃ paryādānaṃ gacchanti |	kutra imAni Bagavan kuSala mUlAni tanu tvam parikzayam paryAdAnam gacCanti |
   nāham upāle evaṃ kṣatiṃ copahatiṃ ca samanupaśyāmi | yathā sabrahmacārī	na aham upAle evam kzatim ca upahatim ca samanupaSyAmi | yaTA sa brahmacArI
   sabrahmacāriṇo 'ntike duṣṭacittam utpādayati | atropāle imāni mahānti	sabrahmacAriNaH antike duzwa cittam utpAdayati | atra upAle imAni mahAnti
   kuśalamūlāni tanutvaṃ parikṣayaṃ paryādānaṃ gacchanti | tasmāt tarhy upāle	kuSala mUlAni tanu tvam parikzayam paryAdAnam gacCanti | tasmAt tarhi upAle
   evaṃ śikṣitavyaṃ yad dagdhasthūṇāyām api cittaṃ na pradūṣayiṣyāmaḥ | prāg	evam Sikzitavyam yat dagDa sTUNAyAm api cittam na pradUzayizyAmaH | prAk 
   eva savijñānake kāya iti ||	eva sa vijQAnake kAyaH iti ||
   āryamañjuśrīvikrīḍitasūtre 'py āha | pratighaḥ pratigha iti	Arya maQju SrI vikrIxita sUtre api Aha | pratiGaH pratiGaH iti
   kalpaśatopacitaṃ kuśalamūlaṃ pratihanti tenocyate pratigha iti ||	kalpa Sata upacitam kuSala mUlam pratihanti tena ucyate pratiGaH iti ||
   āryagaṇḍavyūhasūtre ca samantasatvaparitrāṇy ojasaḥ striyā rātridevatayā	Arya gaNxa vyUha sUtre ca samantasatva paritrANi ojasaH striyAH rAtri devatayA
   pūrvāvadānaṃ kathayantyābhihitaṃ | te	pUrva avadAnam kaTayantyA aBihitam | te
   tenānyonyāvamanyanāsamuditenākuśalamūlenāyuḥpramāṇād api parihīyante sma |	tena anyonya avamanya nAsamuditena akuSala mUlena AyuH pramANAt api parihIyante sma |
   varṇād api balād api parihīyante smeti | atra ca na kadācid unnatiḥ	varNAt api balAt api parihIyante sma iti | atra ca na kadAcid unnatiH
   kāryeti pradarśanārthaṃ sadety ucyate ||	kAryA iti pradarSana arTam sadA iti ucyate ||
   lābhasatkāras tu kadācid abhyupagamyate 'pi | yathoktaṃ āryaratnameghe |	lABa satkAraH tu kadAcid aByupagamyate api | yaToktam Arya ratna meGe |
   iha kulaputra bodhisatvaḥ sumerumātram api ratnarāśiṃ labhamānaḥ	iha kula putra boDisatvaH sumeru mAtram api ratna rASim laBamAnaH
   pratigṛhṇāti | pratyavaram api vastu pratilabhamānaḥ | tat kasya hetoḥ |	pratigRhNAti | pratyavaram api vastu pratilaBamAnaH | tat kasya hetoH |
   tasyaivaṃ bhavati | ete satvā matsariṇo lubdhā lobhābhibhūtāḥ | taddhetoḥ	tasya evam Bavati | ete satvAH matsariNaH lubDAH loBa aBiBUtAH | tad hetoH
   tatpratyayaṃ tannidānaṃ mahāvāriskandhāvaṣṭabdā iva saṃsārasāgare	tad pratyayam tat nidAnam mahA vAri skanDa avazwabdAH iva saMsAra sAgare
   unmajjanimajjanaṃ kurvanti | tad eṣāṃ bhaviṣyati dīrgharātram arthāya	unmajja nimajjanam kurvanti | tat ezAm Bavizyati dIrGarAtram arTAya
   hitāya sukhāya | sarvaṃ pratigṛhya na svīkaroti | na lobhacittam	hitAya suKAya | sarvam pratigRhya na svIkaroti | na loBa cittam
   utpādayati | anyatra sarvasatvasādhāraṇāṃ buddhadharmasaṃgheṣu kārāṃ	utpAdayati | anyatra sarva satva sADAraNAm budDa Darma saMGezu kArAn
   karoti | yathā duṣkhitānāṃ ca sarvasatvānām upajīvyaṃ karoti |taṃ ca	karoti | yaTA duzKitAnAm ca sarva satvAnAm upajIvyam karoti |tam ca
   dānapatiṃ samuttejayati saṃpraharṣayatīti ||	dAnapatim samuttejayati saMpraharzayati iti ||
   tathātraivoktaṃ | tena ca dānena nonnato bhavatīti ||	taTA atra eva uktam | tena ca dAnena na unnataH Bavati iti ||
   punar atraivāha | yadi punar asya taddhetos tatpratyayaṃ tannidānaṃ	punar atra eva Aha | yadi punar asya tad hetoH tad pratyayam tat nidAnam
   kīrtiśabdaśloko bhavati tatra nonnāmajāto bhavati na mānajāto na madajātaḥ	kIrti Sabda SlokaH Bavati tatra na unnAma jAtaH Bavati na mAna jAtaH na mada jAtaH
   | evaṃ cāsya bhavati | na cireṇa kālena yasya cāyaṃ kīrtiślokaśabdaḥ	| evam ca asya Bavati | na cireNa kAlena yasya ca ayam kIrti Sloka SabdaH
   samutthito yaiś ca samutthāpito yaś ca kīrtiśabdaślokas trayam apy etat	samutTitaH yEH ca samutTApitaH yaH ca kIrti Sabda SlokaH trayam api etat 
   sarveṇa sarvaṃ na bhaviṣyati | tatra kaḥ paṇḍitajātīyo 'nityeṣu na ca	sarveNa sarvam na Bavizyati | tatra kaH paNxita jAtIyaH anityezu na ca
   sthiteṣu dharmeṣv adhruveṣv annāśvāsikeṣv anunayacittam utpādayed unnato	sTitezu Darmezu aDruvezu anna ASvAsikezu anunaya cittam utpAdayet unnataH 
   bhaven mānadarpito vā | evaṃ hi bodhisatvo lābhasatkārakīrtiśabdaślokeṣu	Bavet mAna darpitaH vA | evam hi boDisatvaH lABa satkAra kIrti Sabda Slokezu
   sūpasthitasmṛtir viharatīti ||	su upasTita smRtiH viharati iti ||
   punar āha | caṇḍālakumāropamāś ca loke viharanti nīcanīcena manasā |	punar Aha | caNxAla kumAra upamAH ca loke viharanti nIca nIcena manasA |
   mānamadadarpādhigatāś ca bhavanti paiśunyasaṃjñāyāḥ satatasamitaṃ	mAna mada darpa aDigatAH ca Bavanti pESunya saMjQAyAH satata samitam
   pratyupasthitatvād iti ||	pratyupasTita tvAt iti ||
   punar apy uktaṃ | iha kulaputrābhiniṣkrāntagṛhavāsaḥ pravrajito bodhisatvo	punar api uktam | iha kula putra aBinizkrAnta gRha vAsaH pravrajitaH boDisatvaH 
   mṛtakasadṛśo 'haṃ mitrāmātyajñātisālohitānām iti nihatamāno bhavati |	mRtaka sadRSaH aham mitra amAtya jQAti sa AlohitAnAm iti nihatamAnaH Bavati |
   vairūpyaṃ me 'bhyudgataṃ vivarṇāni ca me vāsāṃsi prāvṛtāny anyaś ca me	vErUpyam me aByudgatam vivarNAni ca me vAsAMsi prAvRtAni anyaH ca me
   ākalpaḥ saṃvṛtta iti nihatamāno bhavati | muṇḍaḥ pātrapāṇiḥ kulāt kulam	AkalpaH saMvRttaH iti nihatamAnaH Bavati | muNxaH pAtra pANiH kulAt kulam
   upasaṃkramāmi bhikṣāhetor bhikṣānidānam iti nihatamāno bhavati |	upasaMkramAmi BikzA hetoH BikzA nidAnam iti nihatamAnaH Bavati |
   nīcanīcena cittena caṇḍālakumārasadṛśena piṇḍāya carāmīti nihatamāno	nIca nIcena cittena caNxAla kumAra sadRSena piNxAya carAmi iti nihata mAnaH 
   bhavati | paiṇḍiliko 'smi saṃvṛtaḥ | parapratibaddhā ca me jīviketi	Bavati | pENxilikaH asmi saMvRtaH | para pratibadDA ca me jIvikA iti
   nihatamāno bhavati | avadhūtam avajñātaṃ pratigṛhṇāmīti nihatamāno bhavati	nihatamAnaH Bavati | avaDUtam avajQAtam pratigRhNAmi iti nihata mAnaH Bavati
   | ārādhanīyā me ācāryagurudakṣiṇīyā iti nihatamāno bhavati | saṃtoṣaṇīyā	| ArADanIyAH me AcArya guru dakziNIyAH iti nihata mAnaH Bavati | saMtozaNIyA
   me sabrahmacāriṇo | yad uta tena tenācāragocarasamudācāreṇeti nihatamāno	me sa brahmacAriNaH | yat uta tena tena AcAra gocara samudAcAreNa iti nihata mAnaH 
   bhavati | apratilabdhānubaddhadharmān pratipatsyae iti nihatamāno bhavati	Bavati | apratilabDa anubadDa DarmAn pratipatsyae iti nihatamAnaH Bavati
   | kruddhānāṃ vyāpannacittānāṃ satvānāṃ madhye kṣāntibahulo vihariṣyāmīti	| krudDAnAm vyApanna cittAnAm satvAnAm maDye kzAnti bahulaH viharizyAmi iti
   nihatamāno bhavatīti ||	nihatamAnaH Bavati iti ||
   āryasāgaramatisūtre 'py uktaṃ | satkāyapariśuddhaś ca bhavati |	Arya sAgaram atisUtre api uktam | satkAya pariSudDaH ca Bavati |
   lakṣaṇasamalaṃkṛtagātramṛdutaruṇahastapādaḥ svavibhaktapuṇyaniṣyandagātro	lakzaNa samalaMkRta gAtra mRdu taruNa hasta pAdaH sva viBakta puNya nizyanda gAtraH 
   'hīnendriyaḥ sarvāṅgapratyaṅgaparipūrṇaḥ | na ca rūpamadamatto bhavati |	ahIna indriyaH sarva aFga pratyaFga paripUrNaH | na ca rUpa mada mattaH Bavati |
   na kāyamaṇḍanayogānuyuktaḥ | sa kiyad dhīnānām api satvānāṃ rūpavikalānām	na kAya maNxana yoga anuyuktaH | sa kiyat DInAnAm api satvAnAm rUpa vikalAnAm
   apy avanamati praṇamati dharmagrāhyatām upādāyeti ||	api avanamati praNamati Darma grAhya tAm upAdAya iti ||
   punar atraivoktaṃ | syād yathāpi nāma bhagavan yadā mahāsāgaraḥ	punar atra eva uktam | syAt yaTA api nAma Bagavan yadA mahA sAgaraH
   pratisaṃtiṣṭhate tadā nimne pṛthivīpradeśe saṃtiṣṭhate | tasya nimnatvād	pratisaMtizWate tadA nimne pRTivI pradeSe saMtizWate | tasya nimna tvAt 
   alpakṛcchreṇa sarvanadyaś ca sarvapraśravaṇāni ca prapatanti | evam eva	alpa kRcCreNa sarvanadyaH ca sarva praSravaNAni ca prapatanti | evam eva
   bhagavan nirmānasya gurudakṣiṇīyagauravasya bodhisatvasyālpakṛcchreṇa tāni	Bagavat nirmAnasya guru dakziNIya gOravasya boDisatvasya alpa kRcCreNa tAni
   gambhīrāṇi dharmasukhāni śrotendriyasyābhāsam āgacchanti | smṛtau	gamBIrANi Darma suKAni Srota indriyasya ABAsam AgacCanti | smRtO
   cāvatiṣṭhante | tasmāt tarhi bhagavan yo bodhisatvo mānonnato bhavati	ca avatizWante | tasmAt tarhi Bagavan yaH boDisatvaH mAna unnataH Bavati
   mānastabdhaḥ na ca gurudakṣiṇīyebhyo 'vanamati na praṇamati veditavyaṃ	mAna stabDaH na ca guru dakziNIyeByaH avanamati na praNamati veditavyam
   bhagavan mārāṅkuśāviddho vatāyaṃ bodhisatva iti ||	Bagavat mAra aFkuSa AvidDaH vata ayam boDisatvaH iti ||
   āryalokottaraparivarte coktaṃ | daśemāni bho jinaputra bodhisatvānāṃ	Arya loka uttara parivarte ca uktam | daSa imAni Bo jinaputra boDisatvAnAm
   mārakarmāṇi | katamāni daśa | yad idaṃ	mAra karmANi | katamAni daSa | yat idam
   gurudakṣiṇīyācāryamātāpitṛśramaṇabrāhmaṇasamyaggatasamyakpratipanneṣv	guru dakziNIya AcArya mAtA pitR SramaNa brAhmaNa samyak gata samyak pratipannezu 
   agauravatā mārakarma | dharmabhāṇakānāṃ viśiṣṭadharmādhigatānām	agOrava tA mAra karma | Darma BANakAnAm viSizwa Darma aDigatAnAm
   udāradharmadeśakānāṃ mahāyānasamārūḍhānāṃ nirvāṇapathavidhijñānāṃ	udAra Darma deSakAnAm mahAyAna samArUXAnAm nirvANa paTa viDi jQAnAm
   dhāraṇīsūtrāntarājapratilabdhānāṃ nāvanamati | garvitastabdhaś ca bhavati	DAraNI sUtra anta rAja pratilabDAnAm na avanam ati | garvita stabDaH ca Bavati
   | dharmabhāṇake na gauravam utpādayati | na śuśrūṣāṃ na citrīkāraṃ karoti	| Darma BANake na gOravam utpAdayati | na SuSrUzAm na citrIkAram karoti
   | mārakarma dharmaśravaṇasāṃkathye ca niṣaṇṇae udāradharmavege samutpanne	| mAra karma Darma SravaNa sAMkaTye ca nizaNNae udAra Darma vege samutpanne
   dharmabhāṇakasya sādhukāraṃ na prayacchati mā kaścid asmin praśaṃsatīti	Darma BANakasya sADu kAram na prayacCati mA kaScid asmin praSaMsati iti
   mārakarma ||	mAra karma ||
   abhimānaṃ cotpādyātmānaṃ pratigṛhṇāti | parāṃś ca na gṛhṇāti | ātmajñatāṃ	aBimAnam ca utpAdya AtmAnam pratigRhNAti | parAn ca na gRhNAti | Atma jQa tAm
   ca nāvatarati | cittanidhyaptiṃ notpādayati | mārakarma ||	ca na avatarati | citta niDi aptim na utpAdayati | mAra karma ||
   adhimānaṃ cotpādyājānann abudhyamāno varṇārhāṇāṃ pudgalānāṃ varṇaṃ	aDimAnam ca utpAdya ajAnan abuDyamAnaH varNa arhANAm pudgalAnAm varNam
   praticchādayati | avarṇaṃ bhāṣate | na ca parasya guṇavarṇenāttamanā	praticCAdayati | avarNam BAzate | na ca parasya guNa varNena Atta manA
   bhavati | mārakarma ||	Bavati | mAra karma ||
   jānāti ca | ayaṃ dharmo 'yaṃ vinayo bhūtam idaṃ buddhavacanam iti |	jAnAti ca | ayam DarmaH ayam vinayaH BUtam idam budDa vacanam iti |
   pudgalavidveṣeṇa dharmavidveṣaṃ karoti | saddharmaṃ pratikṣipati | anyāṃś	pudgala vidvezeNa Darma vidvezam karoti | sadDarmam pratikzipati | anyAn= 
   ca vigrāhayati | mārakarma ||	ca vigrAhayati | mAra karma ||
   uccamānasaṃ prārthayate parihāradharmaṃ na mārgayati | paropasthānaṃ so	ucca mAnasam prArTayate parihAra Darmam na mArgayati | para upasTAnam saH 
   'bhiyāti | abhinandati | vṛddhasthavirāṇāṃ ciracaritabrahmacaryāṇāṃ na	aBiyAti | aBinandati | vRdDa sTavirANAm cira carita brahmacaryANAm na
   pratyupatiṣṭhate na ca pratyudgacchati | mārakarma ||	pratyupatizWate na ca pratyudgacCati | mAra karma ||
   bhṛkuṭīmukhaḥ khalu punar bhavati | na smitamukhaḥ | na khila	BRkuwI muKaH Kalu punar Bavati | na smita muKaH | na Kila
   madhuravacanaḥ | sadā kaṭhinacittaś chidrānveṣī ||	maDura vacanaH | sadA kaWina cittaH Cidra anvezI ||
   avatāraprekṣī | mārakarma ||	avatAra prekzI | mAra karma ||
   abhimānaṃ ca patitvā paṇḍitān nopasaṃkrāmati | na sevate | na bhajate | na	aBimAnam ca patitvA paNxitAn na upasaMkrAmati | na sevate | na Bajate | na
   paryupāste | na paripraśnayati | na paripṛcchati | kiṃ kuśalaṃ kim	paryupAste | na paripraSnayati | na paripRcCati | kim kuSalam kim
   akuśalaṃ kiṃ karaṇīyaṃ kiṃ kṛtaṃ dīrgharātram arthāya hitāya sukhāya	akuSalam kim karaNIyam kim kRtam dIrGarAtram arTAya hitAya suKAya
   bhavati | kiṃ vākṛtaṃ dīrgharātram annarthāyāhitāyāsukhāya bhavatīti |	Bavati | kim vA akRtam dIrGarAtram annarTAya ahitAya asuKAya Bavati iti |
   sajaḍaḥ sajaḍataro bhavati | mohavyūho mānagrāhī | aniḥsaraṇadarśī |	sa jaxaH sa jaxataraH Bavati | moha vyUhaH mAna grAhI | aniHsaraNa darSI |
   mārakarma ||	mAra karma ||
   saa mānābhibhūto buddhotpādaṃ virāgayati | pūrvakuśalamūlaṃ kṣapayati |	saa mAna aBiBUtaH budDa utpAdam virAgayati | pUrva kuSala mUlam kzapayati |
   navaṃ notthāpayati | anirdeśaṃ nirdiśati | vigraham ārabhate vivādabahulaś	navam na utTApayati | anirdeSam nirdiSati | vigraham AraBate vivAda bahulaH 
   ca bhavati | sa evaṃ dharmavihārī sthānam etad vidyate yasmin mithyā	ca Bavati | saH evam Darma vihArI sTAnam etat vidyate yasmin miTyA
   mahāprapātaṃ patet | atha ca punar bodhicittabalādhīnād aiśvaryaṃ	mahA prapAtam patet | aTa ca punar boDi citta bala aDInAt ESvaryam
   pratilabhate | sa kalpaśatasahasreṣu buddhotpādaṃ nāsādayati | kutaḥ punar	pratilaBate | sa kalpa Sata sahasrezu budDa utpAdam na AsAdayati | kutas punar 
   dharmaśravaṇam | idaṃ daśamaṃ mārakarma ||	Darma SravaNam | idam daSamam mAra karma ||
   imāni bho jinaputra daśa mārakarmāṇi | yāni parivarjya bodhisatvā daśa	imAni Bo jinaputra daSa mAra karmANi | yAni parivarjya boDisatvAH daSa
   jñānakarmāṇi pratilabhante | atraiva ca jñānakarmasu pacyate | nirmānatā	jQAna karmANi pratilaBante | atra eva ca jQAna karmasu pacyate | nirmAna tA
   sarvasatveṣv iti ||	sarva satvezu iti ||
   āryarāṣṭrapālasūtre 'py uktaṃ | apāyabhūmiṃ | gatim akṣaṇeṣu | daridratāṃ	Arya rAzwrapAlasUtre api uktam | apAya BUmim | gatim akzaNezu | daridra tAm
   | nīcakulopapattim | jātyandhyadaurbalyam athālpasthāmatāṃ | gṛhṇanti te	| nIca kula upapattim | jAti anDya dOrbalyam aTa alpa sTAma tAm | gRhNanti te
   mānavaśena mūḍhāḥ ||	mAna vaSena mUXAH ||
   iti ||	iti ||
   dharmasaṃgītisūtre 'py uktaṃ | satvakṣetraṃ bodhisatvasya buddhakṣetraṃ	Darma saMgIti sUtre api uktam | satva kzetram boDisatvasya budDa kzetram
   yataś ca buddhakṣetrād buddhadharmāṇāṃ lābhāgamo bhavati | nārhāmi tasmin	yatas ca budDa kzetrAt budDa DarmANAm lABa AgamaH Bavati | na arhAmi tasmin
   vipratipattum | evaṃ cāsya bhavati | sarvaṃ sucaritaṃ duścaritaṃ ca satvān	vipratipattum | evam ca asya Bavati | sarvam su caritam duScaritam ca satvAn
   niśritya pravartate | duścaritāśramāc cāpāyāḥ pravartante | sucaritāśrayād	niSritya pravartate | duScarita ASramAt ca apAyAH pravartante | su carita ASrayAt 
   devamanuṣyā iti ||	deva manuzyAH iti ||
   ata eva ratnolkādhāraṇyām apy uktaṃ | iha bho jinaputrāḥ	atas eva ratna ulkA DAraNyAm api uktam | iha Bo jinaputrAH
   prathamacittotpādiko bodhisatvaḥ ādita eva sarvasatvānām antike	praTama citta utpAdikaH boDisatvaH Aditas eva sarva satvAnAm antike
   daśaprakāraṃ cittam utpādayati | katamad daśaprakāraṃ | tad yathā |	daSa prakAram cittam utpAdayati | katamat daSa prakAram | tat yaTA |
   hitacittatāṃ sukhacittatāṃ dāyācittatāṃ snigdhacittatāṃ priyacittatāṃ	hita citta tAm suKa citta tAm dAyAcitta tAm snigDa citta tAm priya citta tAm
   anugrahacittatāṃ ārakṣācittatāṃ samacittatāṃ ācāryacittatāṃ śāstṛcittatāṃ	anugraha citta tAm ArakzA citta tAm sama citta tAm AcArya citta tAm SAstR citta tAm
   | idaṃ daśaprakāraṃ cittam utpādayatīti ||	| idam daSa prakAram cittam utpAdayati iti ||
   śraddhābalādhānāvatāramudrāsūtre 'py uktaṃ | sarvasatvānāṃ	SradDA bala ADAna avatAra mudrA sUtre api uktam | sarva satvAnAm
   śiṣyatvābhyupagame sthito 'smi | parāṃś ca sarvasatvaśiṣyatvābhyupagame	Sizya tva aByupagame sTitaH asmi | parAn ca sarva satva Sizya tva aByupagame
   pratiṣṭhāpayiṣyāmīty āśvāsaṃ pratilabhate ||	pratizWApayizyAmi iti ASvAsam pratilaBate ||
   peyālaṃ ||	peyAlam ||
   sarvasatveṣv avanamapraṇamanatāyāṃ pratiṣṭhito 'smīti pūrvavat ||	sarva satvezu avanam apraNama natAyAm pratizWitaH asmi iti pUrvavat ||
   tatrāvanamanapraṇamanatāyāṃ sarvasatveṣu nirmānatā ||	tatra avanamana praNama natAyAm sarva satvezu nirmAna tA ||
   tathāryavimalakīrtinirdeśe | pariśuddhabuddhakṣetropapattaye sarvasatveṣu	taTA Arya vimala kIrti nirdeSe | pariSudDa budDa kzetra upapattaye sarva satvezu
   śāstṛpremoktaṃ | lokaprasādānurakṣārthaṃ tv āsanapādaprakhyālanakarma	SAstR prema uktam | loka prasAda anurakza arTam tu Asana pAda praKyAlana karma
   kurvatāpi cetasā strīṣu vākṣaṇaprāpteṣu vā vinipatiteṣu bodhisatvena	kurvatA api cetasA strIzu vA akzaNa prAptezu vA vinipatitezu boDisatvena
   premagauravābhyāsaḥ kāryaḥ ||	prema gOrava aByAsaH kAryaH ||
   uktaṃ hi gaṇḍavyūhe tasya samanantaraniṣaṇṇasya tasmin mahāsiṃhāsane	uktam hi gaNxa vyUhe tasya samanantara nizaNNasya tasmin mahA siMhAsane
   sarvaḥ sa janakāyo 'bhimukhaḥ prāñjalisthito 'bhūt | tam eva rājānaṃ	sarvaH sa jana kAyaH aBimuKaH prAQjali sTitaH aBUt | tam eva rAjAnam
   namasyamānaḥ || pe ||	namasyamAnaH || pe ||
   sa khalu sarvadharmanirnādacchatramaṇḍalanirghoṣo rājā teṣāṃ yācanakānāṃ	sa Kalu sarva Darma nirnAda= Catra maNxala nirGozaH rAjA tezAm yAcana kAnAm
   saha darśanenāttamanaskataro rājñānena ca	saha darSanena Atta manaskataraH rAjQA anena ca
   trisāhasracakravartirājyapratilābhenāsīmāprāptakalpaparyavasānena | yāvat	tri sAhasra cakravarti rAjya pratilABena AsImA prApta kalpa paryavasAnena | yAvat 
   śuddhāvāsadevaśāntivimokṣamukhavihāreṇāparyantakalpāvasānena | tad yathā	SudDAvAsa deva SAnti vimokza muKa vihAreNa aparyanta kalpa avasAnena | tat yaTA
   kulaputra puruṣasyaikāntatṛṣṇācaritasya	kula putra puruzasya ekAnta tRzNA Acaritasya
   mātāpitṛbhrātṛbhaginīmitrāmātyajñātisālohitaputraduhitṛbhāryācirakālaviyuktasyāṭavīkāntāravipraṇaṣṭasya	mAtA pitR BrAtR BaginI mitra amAtya jQAti sa Alohita putra duhitR BAryA cira kAla viyuktasya awavI kAntAra vipraNazwasya
   taddarśanakāmasya | teṣāṃ samavadhānena mahatī prītir adhyavasānam utpatet	tad darSana kAmasya | tezAm samavaDAnena mahatI prItiH aDyavasAnam utpatet 
   taddarśanāvitṛptatayā | evam eva kulaputra rājñaḥ	tad darSana avitRpta tayA | evam eva kula putra rAjQaH
   sarvadharmanirnādacchatramaṇḍalanirghoṣasya teṣāṃ yācanakānāṃ saha	sarva Darma nirnAda= Catra maNxala nirGozasya tezAm yAcanakAnAm saha
   darśanena mahāprītivegāḥ saṃjātāḥ | cittatuṣṭisukham avakrāntaṃ mahāṃś	darSanena mahA prIti vegAH saMjAtAH | citta tuzwi suKam avakrAntam mahAMS
   cittodagratāvegaḥ prādurbhūto yāvat teṣu sarvayācanakeṣu ekaputrakasaṃjñā	citta udagra tA vegaH prAdurBUtaH yAvat tezu sarva yAcanakezu eka putraka saMjQA
   mātāpitṛsaṃjñā dakṣiṇīyasaṃjñā kalyāṇamitrasaṃjñā varṇasaṃjñā	mAtA pitR saMjQA dakziNIya saMjQA kalyANa mitra saMjQA varNa saMjQA
   durlabhasaṃjñā duṣkarakārakasaṃjñā bahukarasaṃjñā paramopakārisaṃjñā	durlaBa saMjQA duzkara kAraka saMjQA bahu kara saMjQA parama upakAri saMjQA
   bodhimārgopastambhasaṃjñā ācāryaśāstṛsaṃjñotpadyeteti ||	boDi mArga upastamBa saMjQAH AcArya SAstR saMjQA utpadyeta iti ||
   evam anyagatabhāve satvānām agratogamanopasthānādiprasaṅge sarvotsargaṃ	evam anya gata BAve satvAnAm agratas gamana upasTAna Adi prasaFge sarva utsargam
   smaret | eṣām evāyam ātmīyaḥ kāyaḥ | yatheṣṭam atra vartantām |	smaret | ezAm eva ayam AtmIyaH kAyaH | yaTezwam atra vartantAm |
   pṛthivīśodhanopalepanādiṣv iva svasukhārtham iti | athavā	pRTivI SoDana upalepana Adizu iva sva suKa arTam iti | aTavA
   svāmyaprasādabhīteneva tatprasādārthineva tadājñāsaṃpādanā manasi kartavyā	svAmya prasAda BItena iva tad prasAda arTinA iva tad AjQA saMpAdanA manasi kartavyA
   | bhagavato 'py upasthānaṃ kurvato 'nyagatyabhāvāt | bhikṣuṇā	| BagavataH api upasTAnam kurvataH anya gati aBAvAt | BikzuNA
   glānenāṅgīkṛtaṃ ||	glAnena aFgIkRtam ||
   yathoktaṃ bhikṣuprakīrṇake | bhagavān āha | mā bhāya bhikṣu mā bhāya	yaTA uktam Bikzu prakIrNake | BagavAn Aha | mA BAya Bikzu mA BAya
   bhikṣu | ahaṃ te bhikṣūpasthāsyaṃ | āhara bhikṣu cīvarāṇi yāvat te dhopāmi	Bikzu | aham te Bikzu upasTAsyam | Ahara Bikzu cIvarANi yAvat te DopAmi
   | evam ukte āyuṣmān ānando bhagavantam etad avocat | mā bhagavān etasya	| evam ukte AyuzmAn AnandaH Bagavantam etat avocat | mA BagavAn etasya
   glānasyāśucimraks.itāni cīvarāṇi dhovatu | ahaṃ bhagavan dhoviṣyaṃ |	glAnasya aSucimraks.itAni cIvarANi Dovatu | aham Bagavan Dovizyam |
   bhagavān āha | tena hy ānanda tvam etasya bhikṣusya cīvarāṇi dhova |	BagavAn Aha | tena hi Ananda tvam etasya Bikzusya cIvarANi Dova |
   tathāgato udakam āsiñciṣyati | atha khalv āyuṣmān ānando tasya glānasya	taTAgataH udakam AsiQcizyati | aTa Kalu AyuzmAn AnandaH tasya glAnasya
   bhikṣusya cīvarāṇi dhovati | bhagavān udakam āsiñcati || pe ||	Bikzusya cIvarANi Dovati | BagavAn udakam AsiQcati || pe ||
   atha khalv āyuṣmān ānandas taṃ glānaṃ bhikṣuṃ sādhu ca suṣṭhu	aTa Kalu AyuzmAn AnandaH tam glAnam Bikzum sADu ca suzWu
   cānuparigṛhya bahirdhā haritvā snāpayet | bhagavān udakam āsiñcatīti | āha	ca anuparigRhya bahirDA haritvA snApayet | BagavAn udakam AsiQcati iti | Aha
   ca| yān ārādhya mahat tvaṃ virādhya kaṣṭāṃ vipattim āpnoti |	ca| yAn ArADya mahat tvam virADya kazwAm vipattim Apnoti |
   prāṇaparityāgair api teṣāṃ nanu toṣaṇaṃ nyāyyaṃ ||	prANa parityAgEH api tezAm nanu tozaNam nyAyyam ||
   ete te vai satvāḥ prasādya yān siddham āgatā bahavaḥ | siddhikṣetraṃ	ete te vE satvAH prasAdya yAn sidDam AgatAH bahavaH | sidDi kzetram
   nānyat satvebhyo vidyate jagati ||	na anyat satveByaH vidyate jagati ||
   ete cintāmaṇayo bhadraghaṭā dhenavaś ca kāmadughāḥ | guruvac ca devateva	ete cintAmaNayaH Badra GawAH DenavaH ca kAmaduGAH | guru vat ca devatA iva
   ca tasmād ārādhanīyās te ||	ca tasmAt ArADanIyAH te ||
   kiṃ ca niśchadmabandhūnām aprameyopakāriṇām | satvārādhanam utsṛjya	kim ca niSCadma banDUnAm aprameya upakAriNAm | satva ArADanam utsRjya
   niṣkṛtiḥ kā parā bhavet ||	nizkRtiH kA parA Bavet ||
   śirasā dhārayām āsa purā nātho yathepsitam | jaṭāsvadhyuṣitān satvān	SirasA DArayAm Asa purA nATaH yaTA Ipsitam | jawAsu aDyuzitAn satvAn
   bhūtvā yatnena niścalaḥ ||	BUtvA yatnena niScalaH ||
   bhindanti dehaṃ praviśanty avīcīm yeṣāṃ kṛte tatra kṛte kṛtaṃ syāt ||	Bindanti deham praviSanti avIcIm yezAm kRte tatra kRte kRtam syAt ||
   mahāpakāriṣv api tena sarvaṃ kalyāṇam evācaraṇīyam eṣu ||	mahA apakArizu api tena sarvam kalyANam eva AcaraNIyam ezu ||
   svayaṃ mama svāmina eva tāvad yad artham ātmany api nirvyapekṣāḥ | ahaṃ	svayam mama svAminaH eva tAvat yat arTam Atmani api nirvyapekzAH | aham
