   aktāṃśaṃ sūtaśodhakaḥ Rsdhy_166*[65]b	akta-aMSam sUta-SoDakaH RsDi-_166*[65]b
   dinaikaṃ dhūmasārakam Rsdhy_187*[86]d	dina-ekam DUmasArakam RsDi-_187*[86]d
   dinaikaṃ naramūtrake Rsdhy_188*[87]d	dina-ekam nara-mUtrake RsDi-_188*[87]d
   divyauṣadhimukhaṃ prati Rsdhy_130b	divyOzaDi-muKam prati RsDi-_130b
   dugdhena tadasaṃbhave Rsdhy_274*[173]b	dugDena tad-asaMBave RsDi-_274*[173]b
   dubhitāni ca kāmalām Rsdhy_20d	duBitAni ca kAmalAm RsDi-_20d
   duḥśakyo hi parīkṣitum Rsdhy_296*[195]d	duHSakyaH hi parIkzitum RsDi-_296*[195]d
   deyaṃ cūrṇamuparyadhaḥ Rsdhy_213*[112]b	deyam cUrNam-upari-aDas RsDi-_213*[112]b
   deyā saptadaśādhikāḥ Rsdhy_104d	deyA saptadaSa-aDikAH RsDi-_104d
   devadānavagandharva- Rsdhy_205*[104]a	deva-dAnava-ganDarva RsDi-_205*[104]a
   devadālīrasena ca Rsdhy_44b	devadAlI-rasena ca RsDi-_44b
   devadālyaṅgapañcakam Rsdhy_269*[168]b	devadAlI-aFga-paQcakam RsDi-_269*[168]b
   dehaloharasāyanam Rsdhy_13d	deha-loha-rasAyanam RsDi-_13d
   dehaloho nibadhyati Rsdhy_203*[102]d	deha-lohaH nibaDyati RsDi-_203*[102]d
   dehaṃ nīrogayed rasaḥ Rsdhy_25b	deham nIrogayet rasaH RsDi-_25b
   dairghye cādhastathā vyāse Rsdhy_278*[177]c	dErGye ca-aDas-taTA vyAse RsDi-_278*[177]c
   dolāyantreṇa kartavyā Rsdhy_75c	dolAyantreNa kartavyA RsDi-_75c
   dolāyantreṇa tanmadhye Rsdhy_108c	dolAyantreNa tad-maDye RsDi-_108c
   dolāyāṃ divasatrayam Rsdhy_124d	dolAyAm divasa-trayam RsDi-_124d
   doṣaśūnyaḥ prajāyate Rsdhy_49d	doza-SUnyaH prajAyate RsDi-_49d
   doṣā naśyanti pañca vai Rsdhy_41b	dozAH naSyanti paQca vE RsDi-_41b
   doṣāḥ pañca sadā rase Rsdhy_18b	dozAH paQca sadA rase RsDi-_18b
   doṣairdvādaśabhirmukto Rsdhy_25a	dozEH-dvAdaSaBiH-muktaH RsDi-_25a
   dravyavyayaṃ prakurvanto Rsdhy_4c	dravya-vyayam prakurvantaH RsDi-_4c
   drutirevaṃ na saṃśayaḥ Rsdhy_270*[169]d	drutiH-evam na saMSayaH RsDi-_270*[169]d
   dvayaṃ tathaiva sampiṣya Rsdhy_65c	dvayam taTA-eva sampizye RsDi-_65c
   dvātriṃśāṃśaṃ tataḥ punaḥ Rsdhy_183*[82]d	dvAtriMSa-aMSam tatas punar RsDi-_183*[82]d
   dvikaḥ pāṣāṇakañcukaḥ Rsdhy_14b	dvikaH pAzANa-kaQcukaH RsDi-_14b
   dvigranthiṃ dorakaṃ kṣipet Rsdhy_197*[96]b	dvi-granTim dorakam kzipet RsDi-_197*[96]b
   dvighnāḥ śuddhaśilāyāste Rsdhy_212*[111]c	dvi-GnAH SudDa-SilAyAH-te RsDi-_212*[111]c
   dvitīye kākaviṣṭābhaṃ Rsdhy_128c	dvitIye kAka-vizwa-ABam RsDi-_128c
   dvitīyo mardano nāma Rsdhy_26c	dvitIyaH mardanaH nAma RsDi-_26c
   dvitīyo vahnisambhavaḥ Rsdhy_17b	dvitIyaH vahni-samBavaH RsDi-_17b
   dvau dvau ca nāgavaṅgajau Rsdhy_14d	dvO dvO ca nAga-vaFga-jO RsDi-_14d
   dvau bhāgau śuddhahemajau Rsdhy_225*[124]b	dvO BAgO SudDa-hema-jO RsDi-_225*[124]b
   dhātuvāde pariśramaḥ Rsdhy_6d	DAtuvAde pariSramaH RsDi-_6d
   dhātuvādo na sidhyati Rsdhy_3b	DAtuvAdaH na siDyati RsDi-_3b
   dhātusiddhyarthameva hi Rsdhy_142d	DAtu-sidDi-arTam-eva hi RsDi-_142d
   dhānyābhraṃ rasavedinā Rsdhy_120b	DAnyABram rasa-vedinA RsDi-_120b
   dhūmavyājena gacchati Rsdhy_133f	DUma-vyAjena gacCati RsDi-_133f
   dhūlim aṣṭāṅguliṃ dattvā Rsdhy_85c	DUlim azwa-aFgulim dattvA RsDi-_85c
   dhmātaṃ śāmyati pāradaḥ Rsdhy_136b	DmAtam SAmyati pAradaH RsDi-_136b
   dhmātaṃ satkurute bandhaṃ Rsdhy_202*[101]a	DmAtam satkurute banDam RsDi-_202*[101]a
   dhmātān miśreṇa chaṇṭayet Rsdhy_301*[200]d	DmAtAn miSreNa CaNwayet RsDi-_301*[200]d
   dhmātvā dhmātvā śikhivarṇaṃ Rsdhy_299*[198]c	DmAtvA DmAtvA SiKi-varNam RsDi-_299*[198]c
   dhmātvā vidhyāpayenmuhuḥ Rsdhy_302*[201]b	DmAtvA viDyApayet-muhur RsDi-_302*[201]b
   na kṣīyate muhurdhmāte Rsdhy_202*[101]c	na kzIyate muhur-DmAte RsDi-_202*[101]c
   na tu hīnaṃ na cādhikam Rsdhy_166*[65]d	na tu hInam na ca-aDikam RsDi-_166*[65]d
   natvā tānarhataḥ kurve Rsdhy_1c	natvA tAn-arhataH kurve RsDi-_1c
   na bandho jāyate hemno Rsdhy_260*[159]a	na banDaH jAyate hemnaH RsDi-_260*[159]a
   narapramāṇikaṃ gartaṃ Rsdhy_214*[113]c	nara-pramANikam gartam RsDi-_214*[113]c
   navadhā pūrvarītijā Rsdhy_285*[184]d	navaDA pUrva-rIti-jAH RsDi-_285*[184]d
   navadhā saṃpacenmuhuḥ Rsdhy_283*[182]b	navaDA saMpacet-muhur RsDi-_283*[182]b
   navanavairbījapūrakaiḥ(?) Rsdhy_280*[179]b	nava-navEH-bIjapUrakEH(?) RsDi-_280*[179]b
   navamastu nirodhakaḥ Rsdhy_28b	navamaH-tu niroDakaH RsDi-_28b
   navavelamayaṃ vidhiḥ Rsdhy_280*[179]d	nava-vela-mayam viDiH RsDi-_280*[179]d
   navasāraṃ tathaiva ca Rsdhy_139d	navasAram taTA-eva ca RsDi-_139d
   navyair bhavyabhavan mukham Rsdhy_109d	navyEH Bavya-Bavat muKam RsDi-_109d
   naśyatyandhaśca paśyati Rsdhy_204*[103]d	naSyati-anDaH-ca paSyati RsDi-_204*[103]d
   naṣṭaṃ naṣṭaṃ cāranālaṃ Rsdhy_75a	nazwam nazwam ca-AranAlam RsDi-_75a
   na spṛśetkāñjikaṃ yathā Rsdhy_73b	na spRSet-kAQjikam yaTA RsDi-_73b
   na syur nistejasaśca ye Rsdhy_297*[196]d	na syuH nistejasaH-ca ye RsDi-_297*[196]d
   nāgapatrasya veḍhanīm Rsdhy_218*[117]d	nAga-patrasya veXanIm RsDi-_218*[117]d
   nāgarājir bhavecceyaṃ Rsdhy_242*[141]c	nAga-rAjiH Bavet-ca-iyam RsDi-_242*[141]c
   nāgarājistu sāmānyā Rsdhy_232*[131]a	nAga-rAjiH-tu sAmAnyAH RsDi-_232*[131]a
   nāgavallyāśca patreṇa Rsdhy_218*[117]a	nAgavallyAH-ca patreNa RsDi-_218*[117]a
   nāgaṃ manaḥśilā hanti Rsdhy_271*[170]a	nAgam manaHSilA hanti RsDi-_271*[170]a
   nāge kāṃsyācca ṣaḍguṇe Rsdhy_238*[137]d	nAge kAMsyAt-ca zaxguNe RsDi-_238*[137]d
   nāge śyāmakapālike Rsdhy_15b	nAge SyAma-kapAlike RsDi-_15b
   nānāvarṇo 'pi tat kvacit Rsdhy_47d	nAnA-varNaH api tat kvacid RsDi-_47d
   nāmnāsau gaganagrāsaḥ Rsdhy_120c	nAmnA-asO gagana-grAsaH RsDi-_120c
   nāraṅgaṃ sūraṇaṃ muṇḍī Rsdhy_101c	nAraFgam sUraNam muNxI RsDi-_101c
   nāhyārasena sampiṣṭād Rsdhy_40a	nAhyA-rasena sampizwAt RsDi-_40a
   nimbukaṃ ca rasaṃ kṣiptvā Rsdhy_51c	nimbukam ca rasam kziptvA RsDi-_51c
   nimbukānāṃ rasācitā Rsdhy_108b	nimbukAnAm rasa-AcitA RsDi-_108b
   nimbukānāṃ rasaiḥ kṣuttvā Rsdhy_226*[125]a	nimbukAnAm rasEH kzuttvA RsDi-_226*[125]a
   niyamyo 'sau tataḥ samyak Rsdhy_111c	niyamyaH asO tatas samyak RsDi-_111c
   niyamyo'sau punaḥ punaḥ Rsdhy_115b	niyamyaH-asO punar punar RsDi-_115b
   niyāmako 'ṣṭamaḥ prokto Rsdhy_28a	niyAmakaH azwamaH proktaH RsDi-_28a
   niyāmikāṃ tato vacmi Rsdhy_97a	niyAmikAm tatas vacmi RsDi-_97a
   niraghnatat samastaṃ ca Rsdhy_248*[147]a	niraGna-tat samastam ca RsDi-_248*[147]a
   nirodhakaṃ salavaṇaṃ Rsdhy_107c	niroDakam sa-lavaNam RsDi-_107c
   niśāhvāyāṃ ca vartayet Rsdhy_266*[165]b	niSAhvAyAm ca vartayet RsDi-_266*[165]b
   nisāhāyāṃ ca saṃvartya Rsdhy_281*[180]a	nisAhAyAm ca saMvartya RsDi-_281*[180]a
   nīrandhravastramṛtsnayā Rsdhy_222*[121]b	nIranDra-vastramRtsnayA RsDi-_222*[121]b
   nūtnair nūtnairmuhuḥ sarvaiś Rsdhy_295*[194]a	nUtnEH nUtnEH-muhur sarvEH RsDi-_295*[194]a
   nūnnābhir vaḍavāibhir Rsdhy_283*[182]a	nu-unnABiH vaxavAiBiH RsDi-_283*[182]a
   nṛmūtraṃ thauharaṃ dugdhaṃ Rsdhy_300*[199]a	nR-mUtram TOharam dugDam RsDi-_300*[199]a
   nṛmūtreṇa dinatrayam Rsdhy_244*[143]b	nR-mUtreNa dina-trayam RsDi-_244*[143]b
   nesahiṅgum adhaścordhvaṃ Rsdhy_284*[183]c	nesa-hiFgum aDas-ca-UrDvam RsDi-_284*[183]c
   nesahiṅgumaye khoṭe Rsdhy_286*[185]a	nesa-hiFgu-maye Kowe RsDi-_286*[185]a
   pakṣachinno bhaven nūnam Rsdhy_96c	pakza-CinnaH Bavet nUnam RsDi-_96c
   pakṣaphāḍīdvayaṃ tyajet Rsdhy_230*[129]d	pakza-PAxI-dvayam tyajet RsDi-_230*[129]d
   pañcabhirlavaṇaiḥ kṣāraiḥ Rsdhy_81c	paQcaBiH-lavaNEH kzArEH RsDi-_81c
   pañcamo rasapātanaḥ Rsdhy_27b	paQcamaH rasa-pAtanaH RsDi-_27b
   pañca vakṣyāmi mṛttikāḥ Rsdhy_167*[66]b	paQca vakzyAmi mRttikAH RsDi-_167*[66]b
   pañcavarṇā bhavet śyāmā Rsdhy_16a	paQca-varNA Bavet SyAmAH RsDi-_16a
   pañcāṅgāṃ kuru khaṇḍaśaḥ Rsdhy_265*[164]b	paQcAFgAm kuru KaNxaSas RsDi-_265*[164]b
   pattraṃ kuryāt sujadukam Rsdhy_225*[124]d	pattram kuryAt su-jadukam RsDi-_225*[124]d
   pattraṃ tāmrasya cūrṇaṃ vā Rsdhy_273*[172]a	pattram tAmrasya cUrNam vE RsDi-_273*[172]a
   pattraṃ phāḍītrayaṃ bhavet Rsdhy_230*[129]b	pattram PAxI-trayam Bavet RsDi-_230*[129]b
   pattraṃ sūteṣu jārayet Rsdhy_184*[83]b	pattram sUtezu jArayet RsDi-_184*[83]b
   pattrāṇi tāmrasya laghūni piṣṭīṃ Rsdhy_64a	pattrANi tAmrasya laGUni pizwIm RsDi-_64a
   pattrābhram abhracūrṇaṃ vā (vanyaṃ) Rsdhy_145a	pattra-aBram aBra-cUrNam vA (vanyan) RsDi-_145a
   paratra svargabhāg bhavet Rsdhy_24d	paratra svarga-BAj Bavet RsDi-_24d
   pariṇāmastṛtīyakaḥ Rsdhy_193*[92]b	pariNAmaH-tRtIyakaH RsDi-_193*[92]b
   parito vastramṛtsnayā Rsdhy_248*[147]b	paritas vastramRtsnayA RsDi-_248*[147]b
   parpaṭān brahmavṛkṣasya Rsdhy_35a	parpawAn brahmavRkzasya RsDi-_35a
   palaṃ dhānyābhrakaṃ kṣiptvā Rsdhy_117c	palam DAnyABrakam kziptvA RsDi-_117c
   palaṃ dhānyābhrakaṃ caikaṃ Rsdhy_119c	palam DAnyABrakam ca-ekam RsDi-_119c
   palāni tāmracūrṇasya Rsdhy_51a	palAni tAmra-cUrNasya RsDi-_51a
   palāni nava tāmrasya Rsdhy_233*[132]c	palAni nava tAmrasya RsDi-_233*[132]c
   palāny āvartayet pṛthak Rsdhy_208*[107]d	palAni Avartayet pRTak RsDi-_208*[107]d
   palānyāvartayet pṛthak Rsdhy_239*[138]b	palAni-Avartayet pRTak RsDi-_239*[138]b
   palāny āvartayet sudhīḥ Rsdhy_208*[107]b	palAni Avartayet suDIH RsDi-_208*[107]b
   palāṣṭānāṃ kṛtaṃ cūrṇaṃ Rsdhy_240*[139]a	pala-azwAnAm kRtam cUrNam RsDi-_240*[139]a
   palaikaṃ tīkṣṇalohasya Rsdhy_233*[132]a	pala-ekam tIkzNalohasya RsDi-_233*[132]a
   paścāt mūṣāṃ tadopari Rsdhy_178*[77]d	paScAt mUzAm tadA-upari RsDi-_178*[77]d
   pāṇḍurogaṃ tathā mohaṃ Rsdhy_20c	pANxu-rogam taTA moham RsDi-_20c
   pātanāya pṛthakkṛtam Rsdhy_65b	pAtanAya pRTak-kRtam RsDi-_65b
   pātitotthāpito rasaḥ Rsdhy_69d	pAtita-utTApitaH rasaH RsDi-_69d
   pātrasampuṭamadhyagam Rsdhy_48b	pAtra-sampuwa-maDya-gam RsDi-_48b
   pātre'gniṃ jvālayedadhaḥ Rsdhy_287*[186]b	pAtre-agnim jvAlayet-aDas RsDi-_287*[186]b
   pāradasya na saṃśayaḥ Rsdhy_202*[101]b	pAradasya na saMSayaH RsDi-_202*[101]b
   pāradasya mṛduvahnitastvidaṃ Rsdhy_77c	pAradasya mRdu-vahnitaH-tu-idam RsDi-_77c
   pāradaṃ cāharet śubham Rsdhy_63d	pAradam ca-Aharet SuBam RsDi-_63d
   pāradaṃ jīrṇagandhakam Rsdhy_164*[63]b	pAradam jIrNa-ganDakam RsDi-_164*[63]b
   pāradaṃ jīrṇāhīrakam Rsdhy_198*[97]d	pAradam jIrNA-hIrakam RsDi-_198*[97]d
   pāradaṃ mukhavāñchayā Rsdhy_82d	pAradam muKa-vAQCayA RsDi-_82d
   pāradaṃ hemarājeśca Rsdhy_154*[53]c	pAradam hema-rAjeH-ca RsDi-_154*[53]c
   pāradaḥ parikīrtitaḥ Rsdhy_120d	pAradaH parikIrtitaH RsDi-_120d
   pāradāt ṣaḍguṇo yāvaj Rsdhy_160*[59]c	pAradAt zaxguNaH yAvat RsDi-_160*[59]c
   pārado'sau niyāmakaḥ Rsdhy_89b	pAradaH-asO niyAmakaH RsDi-_89b
   pāśito rāgasahano Rsdhy_150c	pASitaH rAga-sahanaH RsDi-_150c
   pāṣāṇāj jāyate jāḍyaṃ Rsdhy_19a	pAzANAt jAyate jAxyam RsDi-_19a
   piṇḍaḥ śarāvasampuṭe Rsdhy_281*[180]d	piNxaH SarAva-sampuwe RsDi-_281*[180]d
   piṇḍādardhaguṇaṃ nāgaṃ Rsdhy_238*[137]a	piNxAt-arDa-guNam nAgam RsDi-_238*[137]a
   pittalasya palatrayam Rsdhy_233*[132]d	pittalasya pala-trayam RsDi-_233*[132]d
   pidadhyātkarpareṇāsyaṃ Rsdhy_279*[178]c	pidaDyAt-karpareNa-Asyam RsDi-_279*[178]c
   pidadhyād abhrakeṇāsyaṃ Rsdhy_251*[150]c	pidaDyAt aBrakeNa-Asyam RsDi-_251*[150]c
   piṣṭāt kudhyarasenaivam Rsdhy_40c	pizwAt kuDya-rasena-evam RsDi-_40c
   piṣṭād yātyambukañcukaḥ Rsdhy_35d	pizwAt yAti-ambu-kaQcukaH RsDi-_35d
   piṣṭād yātyaśmakañcukaḥ Rsdhy_34d	pizwAt yAti-aSma-kaQcukaH RsDi-_34d
   piṣṭād vaṅgajakālikā Rsdhy_36d	pizwAt vaFga-ja-kAlikAH RsDi-_36d
   piṣṭā mūrvāṃ niyāmakāḥ Rsdhy_105d	pizwAH mUrvAm niyAmakAH RsDi-_105d
   piṣṭiḥ syānmardane rase Rsdhy_145d	pizwiH syAt-mardane rase RsDi-_145d
   piṣṭvā cūrṇīkṛte śulbe Rsdhy_242*[141]a	pizwvA cUrNIkRte Sulbe RsDi-_242*[141]a
   piṣyo jambīranīreṇa Rsdhy_185*[84]c	pizyaH jambIra-nIreNa RsDi-_185*[84]c
   pihitāyāṃ tathā sthālyāṃ Rsdhy_73c	pihitAyAm taTA sTAlyAm RsDi-_73c
   pīṭhī kāryā ca pūrvavat Rsdhy_65d	pIWI kAryA ca pUrvavat RsDi-_65d
   pīṭhī syān mṛkṣaṇopamā Rsdhy_52b	pIWI syAt mRkzaNa-upamA RsDi-_52b
   pīḍito 'tibubhukṣayā Rsdhy_91d	pIxitaH ati-buBukzayA RsDi-_91d
   pītāṅgādeva dālīṃ ca Rsdhy_265*[164]a	pIta-aFgAt-eva dAlIm ca RsDi-_265*[164]a
   punarjāritajārye tu Rsdhy_195*[94]a	punar-jArita-jArye tu RsDi-_195*[94]a
   punas tan mūrchayet sūtaṃ Rsdhy_48c	punar tat mUrCayet sUtam RsDi-_48c
   punaḥ punastathā pātyaṃ Rsdhy_211*[110]e	punar punar-taTA pAtyam RsDi-_211*[110]e
   punaḥ punaḥ prakartavyo Rsdhy_280*[179]c	punar punar prakartavyaH RsDi-_280*[179]c
   pūrṇatāvadbhiṣak param Rsdhy_180*[79]d	pUrNa-tA-vat-Bizaj param RsDi-_180*[79]d
   pūrṇaṃ pūrṇaṃ dhamenmuhuḥ Rsdhy_249*[148]d	pUrNam pUrNam Damet-muhur RsDi-_249*[148]d
   pūrvavatpātayettaṃ tu Rsdhy_56c	pUrvavat-pAtayet-tam tu RsDi-_56c
   pūrvavatpātayedrasam Rsdhy_210*[109]b	pUrvavat-pAtayet-rasam RsDi-_210*[109]b
   pūṣā dattvā ca pratyekaṃ Rsdhy_88c	pUzA dattvA ca pratyekam RsDi-_88c
   pṛthak yāmacatuṣṭayam Rsdhy_189*[88]d	pRTak yAma-catuzwayam RsDi-_189*[88]d
   peṣṭavyaṃ cātisūkṣmakam Rsdhy_258*[157]d	pezwavyam ca-ati-sUkzmakam RsDi-_258*[157]d
   peṣyā manaḥśilā budhaiḥ Rsdhy_251*[150]b	pezyA manaHSilA buDEH RsDi-_251*[150]b
   poṭalīmadhyalambanaḥ Rsdhy_78b	powalI-maDya-lambanaH RsDi-_78b
   prakṣālitarasaṃ budhaḥ Rsdhy_131d	prakzAlita-rasam buDaH RsDi-_131d
   prakṣipet tāmrapattrakam Rsdhy_274*[173]d	prakzipet tAmrapattrakam RsDi-_274*[173]d
   prakṣiped bhekacūrṇakam Rsdhy_263*[162]b	prakzipet Beka-cUrNakam RsDi-_263*[162]b
   prakṣipen nūtanaṃ muhuḥ Rsdhy_75b	prakzipet nUtanam muhur RsDi-_75b
   prakṣipen naimbukaṃ rasam Rsdhy_88d	prakzipet nEmbukam rasam RsDi-_88d
   prakṣipte bhasmano vallaṃ Rsdhy_267*[166]c	prakzipte BasmanaH vallam RsDi-_267*[166]c
   prakṣipya bhūdhare yantre Rsdhy_164*[63]a	prakzipya BUDare yantre RsDi-_164*[63]a
   prakṣipya lohasattve tau Rsdhy_172*[71]a	prakzipya loha-sattve tO RsDi-_172*[71]a
   prakṣipyāvartayet sudhīḥ Rsdhy_234*[133]d	prakzipya-Avartayet suDIH RsDi-_234*[133]d
   prakṣipyāvartya mūṣāyāṃ Rsdhy_237*[136]c	prakzipya-Avartya mUzAyAm RsDi-_237*[136]c
   pratyahaṃ tv aṣṭayāmaṃ ca Rsdhy_74a	pratyaham tu azwa-yAmam ca RsDi-_74a
   pratyahaṃ mātuliṅgaiś ca Rsdhy_109c	pratyaham mAtuliFgEH ca RsDi-_109c
   pratyahaṃ śigrupattraiś ca Rsdhy_74c	pratyaham Sigru-pattrEH ca RsDi-_74c
   pratyekaṃ śataniṣkaṃ syād Rsdhy_62c	pratyekam Sata-nizkam syAt RsDi-_62c
   pratyauṣadhaṃ dinānīha Rsdhy_45c	pratyOzaDam dinAni-iha RsDi-_45c
   prathamā parikīrtitā Rsdhy_236*[135]d	praTamA parikIrtitAH RsDi-_236*[135]d
   pradadyād vastrasampuṭam Rsdhy_52d	pradadyAt vastra-sampuwam RsDi-_52d
   pradahettīvravahninā Rsdhy_121d	pradahet-tIvra-vahninA RsDi-_121d
   pradāyādho'ṣṭayāmaṃ ca Rsdhy_119a	pradAya-aDas-azwa-yAmam ca RsDi-_119a
   pradhvarāyāṃ ca ḍhaṅkaṇyāṃ Rsdhy_199*[98]c	praDvarAyAm ca XaFkaNyAm RsDi-_199*[98]c
   pradhvarāṃ ḍhaṅkaṇīṃ dattvā Rsdhy_257*[156]a	praDvarAm XaFkaNIm dattvA RsDi-_257*[156]a
   prabhāvātiśayo mahān Rsdhy_207*[106]b	praBAva-atiSayaH mahAn RsDi-_207*[106]b
   prabhṛtīnāṃ mṛtāṅgāraiḥ Rsdhy_249*[148]c	praBRtInAm mRta-aFgArEH RsDi-_249*[148]c
   prarohatyandhacakṣuṣi Rsdhy_204*[103]b	prarohati-anDa-cakzuzi RsDi-_204*[103]b
   prasannībhūya cetsarvaṃ Rsdhy_5a	prasannIBUya ced-sarvam RsDi-_5a
   prasāryaṃ na mukhaṃ budhaiḥ Rsdhy_7d	prasAryam na muKam buDEH RsDi-_7d
   prākṛtaṃ śodhitaṃ rasam Rsdhy_43b	prAkRtam SoDitam rasam RsDi-_43b
   prākpramuktagartāyāṃ Rsdhy_285*[184]c	prAc-pramukta-gartAyAm RsDi-_285*[184]c
   prokto'pi guruṇā sākṣād Rsdhy_3a	proktaH-api guruNA sAkzAt RsDi-_3a
   procyate pratisāraṇam Rsdhy_216*[115]d	procyate pratisAraNam RsDi-_216*[115]d
   protsārya kuru randhrakam Rsdhy_107b	protsArya kuru ranDrakam RsDi-_107b
   plāvayitvā puṭe pacet Rsdhy_123d	plAvayitvA puwe pacet RsDi-_123d
   baddhasūtacatuḥṣaṣṭi- Rsdhy_208*[107]a	badDa-sUta-catuHzazwi RsDi-_208*[107]a
   baddhasūtadravopari Rsdhy_209*[108]b	badDa-sUta-drava-upari RsDi-_209*[108]b
   baddhvā pidhāya saptāhaṃ Rsdhy_109a	badDvA piDAya sapta-aham RsDi-_109a
   badhyate svagṛhāntastho Rsdhy_143c	baDyate sva-gRha-antasTaH RsDi-_143c
   babbūlakhadirāvalīm Rsdhy_249*[148]b	babbUla-Kadira-AvalIm RsDi-_249*[148]b
   bavveraṃ yac ca thūthakam Rsdhy_147b	bavveram yat ca TUTakam RsDi-_147b
   bāhye coḍḍīya no yāti Rsdhy_135c	bAhye ca-uxxIya naH yAti RsDi-_135c
   bījapūrasya yadvṛntaṃ Rsdhy_277*[176]a	bIjapUrasya yat-vRntam RsDi-_277*[176]a
   bījapūrasya sadvṛntaṃ Rsdhy_107a	bIjapUrasya sat-vRntam RsDi-_107a
   bījapūraṃ samagraṃ tu Rsdhy_278*[177]a	bIjapUram samagram tu RsDi-_278*[177]a
   bījīny arūṣkarasyāpi Rsdhy_104a	bIjIni arUzkarasya-api RsDi-_104a
   bīnalīmadhyato mukhīm Rsdhy_250*[149]b	bInalI-maDyataH muKIm RsDi-_250*[149]b
   bīyājalena sampiṣṭāt Rsdhy_37c	bIyA-jalena sampizwAt RsDi-_37c
   budhnasaṃlepitaṃ dhruvam Rsdhy_211*[110]b	buDna-saMlepitam Druvam RsDi-_211*[110]b
   bṛhatī cāgnidamanī Rsdhy_144c	bRhatI ca-agnidamanI RsDi-_144c
   brahmaghnī yakṣalocanā Rsdhy_102d	brahma-GnI yakza-locanAH RsDi-_102d
   brahmacaryaṃ tapaḥ kāryaṃ Rsdhy_11a	brahmacaryam tapaH kAryam RsDi-_11a
   brahmadaṇḍy ākhuparṇikā Rsdhy_98b	brahmadaNxI AKuparNikAH RsDi-_98b
   brahmahatyādikā hatyā Rsdhy_23c	brahmahatyA-AdikAH hatyA RsDi-_23c
   brahmahā sa durācāro Rsdhy_177*[76]e	brahma-hA sa durAcAraH RsDi-_177*[76]e
   bruḍantaṃ cordhvagaṃ kṣipet Rsdhy_228*[127]b	bruxantam ca-UrDva-gam kzipet RsDi-_228*[127]b
   bruḍantaṃ bījapūrakam Rsdhy_108d	bruxantam bIjapUrakam RsDi-_108d
   bhaṅktvā pakvaghaṭaṃ kaṇṭhe Rsdhy_253*[152]a	BaFktvA pakva-Gawam kaNWe RsDi-_253*[152]a
   bhajyate na hato ghanaiḥ Rsdhy_296*[195]b	Bajyate na hataH GanEH RsDi-_296*[195]b
   bhartavyā prākkṛtā gartā Rsdhy_282*[181]a	BartavyA prAk-kRtAH gartAH RsDi-_282*[181]a
   bhartavyā sthālikā tataḥ Rsdhy_227*[126]d	BartavyA sTAlikA tatas RsDi-_227*[126]d
   bhavetsarvepsitaṃ śriyām Rsdhy_1b	Bavet-sarva-Ipsitam SriyAm RsDi-_1b
   bhaved dārḍhyaṃ ca rāgena Rsdhy_161*[60]a	Bavet dArXyam ca rAgena RsDi-_161*[60]a
   bhaveyus tasya sarvadā Rsdhy_23d	BaveyuH tasya sarvadA RsDi-_23d
   bhasmanastvekaviṃśatiḥ Rsdhy_269*[168]d	BasmanaH-tu-ekaviMSatiH RsDi-_269*[168]d
   bhāgatrayaṃ samāvarta- Rsdhy_225*[124]c	BAga-trayam samAvarta RsDi-_225*[124]c
   bhāgaikaṃ lavaṇasya ca Rsdhy_227*[126]b	BAga-ekam lavaNasya ca RsDi-_227*[126]b
   bhāvanāsyaiva bhasmanaḥ Rsdhy_266*[165]d	BAvanA-asya-eva BasmanaH RsDi-_266*[165]d
   bhāvitaṃ munisaṃkhyayā Rsdhy_141d	BAvitam muni-saMKyayA RsDi-_141d
   bhāvenāpi mṛto bheko Rsdhy_255*[154]a	BAvena-api mRtaH BekaH RsDi-_255*[154]a
   bhuvaḥ sthālīṃ samākṛṣya hy Rsdhy_257*[156]c	BuvaH sTAlIm samAkRzya hi RsDi-_257*[156]c
   bhūkhagaṭaṅkaṇamanaḥśilalavaṇāsuriśigrukāñcikais tridinam Rsdhy_116*1	BU-Kaga-waFkaNa-manaHSila-lavaNa-Asuri-Sigru-kAQcikEH tri-dinam RsDi-_116*1
   bhūgarte kumpikāṃ kṣiptvā Rsdhy_90a	BU-garte kumpikAm kziptvA RsDi-_90a
   bhūṭaṅkaṇoṣaṇasvayāsuriśigrupiṣṭaiḥ Rsdhy_113c	BU-waFkaNa-UzaNa-svayA-Asuri-Sigru-pizwEH RsDi-_113c
   bhūmau kurkuṭakaiḥ puṭaiḥ Rsdhy_292*[191]b	BUmO kurkuwakEH puwEH RsDi-_292*[191]b
   bhūmau kurkuṭasaṃnibham Rsdhy_290*[189]d	BUmO kurkuwa-saMniBam RsDi-_290*[189]d
   bhūmau kurkuṭasaṃnibhaḥ Rsdhy_294*[193]d	BUmO kurkuwa-saMniBaH RsDi-_294*[193]d
   bhūmau lagati yatkṣipraṃ Rsdhy_133c	BUmO lagati yat-kzipram RsDi-_133c
   bhṛṅgarāḍ raktacitrakam Rsdhy_101b	BRFgarAj raktacitrakam RsDi-_101b
   bhṛśaṃ cūrṇīkṛtā muhuḥ Rsdhy_212*[111]d	BRSam cUrNIkRtAH muhur RsDi-_212*[111]d
   bhekodaraṃ vidāryātha Rsdhy_256*[155]a	Beka-udaram vidArya-aTa RsDi-_256*[155]a
   maṇimantrauṣadhebhyo 'pi Rsdhy_207*[106]a	maNi-mantra-OzaDeByaH api RsDi-_207*[106]a
