   akārādikṣakārāntam VT_252c	akAra-Adi-kzakAra-antam VT_252c
   dvādaśāṅgulagatāgate VT_239d	dvAdaSa-aFgula-gata-Agate VT_239d
   dvādaśādityasaṃkāśaḥ VT_255c	dvAdaSa-Aditya-saMkASaH VT_255c
   dvāv etau paricintayet VT_174d	dvO etO paricintayet VT_174d
   dvāsaptatisahasrāṇi VT_140c	dvAsaptati-sahasrANi VT_140c
   dvijayoṣin mṛtā yā tu VT_178a	dvija-yozit mRtA yA tu VT_178a
   dvitīyaṃ mukhamaṇḍale VT_90b	dvitIyam muKa-maNxale VT_90b
   dvitīyaṃ samudāhṛtam VT_63b	dvitIyam samudAhRtam VT_63b
   dvitīyā tv analā smṛtā VT_381b	dvitIyA tu analA smRtA VT_381b
   dvitricatuḥpañca eva vā VT_38d	dvi-tri-catur-paQcaH eva vA VT_38d
   dvisaptakoṣṭhakaṃ bījaṃ VT_63a	dvi-sapta-kozWakam bIjam VT_63a
   dharmakāmārthamokṣadāḥ VT_222d	Darma-kAma-arTa-mokza-dAH VT_222d
   dharmārthamokṣadā caiva VT_297a	Darma-arTa-mokza-dA ca-eva VT_297a
   dhātucāmīkaraprakhyāṃ VT_104c	DAtu-cAmIkara-praKyAm VT_104c
   dhānyabījatṛṇāni ca VT_392d	DAnya-bIja-tRNAni ca VT_392d
   dhāraṇāyogamārgeṇa VT_76a	DAraNA-yoga-mArgeNa VT_76a
   dhūmajvālāvinirmuktaṃ VT_353c	DUma-jvAlA-vinirmuktam VT_353c
   dhyātavyā sā prayatnena VT_360a	DyAtavyA sA prayatnena VT_360a
   dhyātvā kālāgnibījaṃ tu VT_71a	DyAtvA kAlAgni-bIjam tu VT_71a
   dhyātvādau bījapañcakam VT_201d	DyAtvA-AdO bIja-paQcakam VT_201d
   dhyātvā vai bījapañcakam VT_138d	DyAtvA vE bIja-paQcakam VT_138d
   dhyātvā sampūrṇamaṇḍalam VT_168b	DyAtvA sampUrNa-maNxalam VT_168b
   dhyātvaivaṃ bījapañcakam VT_208b	DyAtvA-evam bIja-paQcakam VT_208b
   dhyāyeta nityaṃ yogīndraḥ VT_356c	DyAyeta nityam yogi-indraH VT_356c
   dhyāyet kundendusaprabham VT_364d	DyAyet kunda-indu-sapraBam VT_364d
   dhyāyet tuhinasaṃnibham VT_149b	DyAyet tuhina-saMniBam VT_149b
   dhyāyet sindūrasadṛśaṃ VT_349c	DyAyet sindUra-sadRSam VT_349c
   dhruvādhiṣthitaṃ tat sarvam VT_249a	Druva-aDizTitam tat sarvam VT_249a
   dhvajāgrāṇi tathaiva ca VT_165d	Dvaja-agrANi taTA-eva ca VT_165d
   dhvastajānuśiroruhaḥ VT_206b	Dvasta-jAnu-SiroruhaH VT_206b
   nagno muktaśikho bhūtvā VT_156a	nagnaH mukta-SiKaH BUtvA VT_156a
   na ca nāstikanindake VT_318d	na ca nAstika-nindake VT_318d
   na cāsau siddhim āpnuyāt VT_14d	na ca-asO sidDim ApnuyAt VT_14d
   na caiva bahudhā śrutam VT_328d	na ca-eva bahuDA Srutam VT_328d
   na tapaś ca maheśvari VT_333d	na tapaH ca maheSvari VT_333d
   na dīkṣitā na sidhyanti VT_319a	na dIkzitAH na siDyanti VT_319a
   na deyaṃ yasya kasyacit VT_307b	na deyam yasya kasyacid VT_307b
   napuṃsakacatuṣṭayam VT_56b	napuMsaka-catuzwayam VT_56b
   na bhūyaḥ paripṛcchāmi VT_331a	na BUyas paripRcCAmi VT_331a
   namaskārāntayojitam VT_382b	namaskAra-anta-yojitam VT_382b
   namaskārāntayojitam VT_390d	namaskAra-anta-yojitam VT_390d
   namaskārāntavyavasthitam VT_384b	namaskAra-anta-vyavasTitam VT_384b
   namaskāro japasyānte VT_230c	namaskAraH japasya-ante VT_230c
   nayottarāditantreṣu VT_305a	naya-uttara-Adi-tantrezu VT_305a
   navatriṃśasamāyuktaṃ VT_134a	navatriMSa-samAyuktam VT_134a
   navamyām ekādaśīṣu ca VT_15b	navamyAm ekAdaSIzu ca VT_15b
   navamyāṃ pārthivaṃ yāgaṃ VT_17c	navamyAm pArTivam yAgam VT_17c
   navaṃ cākṛṣya pūrayet VT_70b	navam ca-AkRzya pUrayet VT_70b
   na sidhyantīha sādhakāḥ VT_236b	na siDyanti-iha sADakAH VT_236b
   nāgakeśarajena vā VT_220b	nAgakeSa-rajena vA VT_220b
   nāgakeśarajobhir vā VT_116a	nAgakeSa-rajoBiH vA VT_116a
   nāgayajñopavītaṃtu VT_97c	nAga-yajQopavItaMtu VT_97c
   nāgnikarma na caivārcā VT_334a	na-agni-karma na ca-eva-arcAH VT_334a
   nāḍībhir vyāpitaṃ puram VT_247b	nAxIBiH vyApitam puram VT_247b
   nāḍīmadhyagataṃ dhyātvā VT_163c	nAxI-maDya-gatam DyAtvA VT_163c
   nāḍīmārgānusāreṇa VT_164a	nAxI-mArga-anusAreNa VT_164a
   nāḍīr ādhārasaṃsthitāḥ VT_140d	nAxIH ADAra-saMsTitAH VT_140d
   nāḍīsaṃsthaṃ yathā karma VT_259c	nAxI-saMsTam yaTA karma VT_259c
   nāḍyau dve samudāhṛte VT_260d	nAxyO dve samudAhRte VT_260d
   nātaḥ parataro mantras VT_311c	na-atas parataraH mantraH VT_311c
   nātra kāryā vicāraṇā VT_278d	na-atra kAryA vicAraNAH VT_278d
   nātra kāryā vicāraṇā VT_281d	na-atra kAryA vicAraNAH VT_281d
   nānādrumalatākīrṇe VT_1c	nAnA-druma-latA-AkIrNe VT_1c
   nānābhakṣyānnapānaiś ca VT_34c	nAnA-Bakzya-anna-pAnEH ca VT_34c
   nānāratnopaśobhite VT_1b	nAnA-ratna-upaSoBite VT_1b
   nānyathā darśayet tantraṃ VT_14c	na-anyaTA darSayet tantram VT_14c
   nānyam etat samarpayet VT_380b	na-anyam etat samarpayet VT_380b
   nāpy asau pīḍyate bhayaiḥ VT_186d	na-api asO pIxyate BayEH VT_186d
   nābhideśe sthito granthis VT_141a	nABi-deSe sTitaH granTiH VT_141a
   nāmamantrair vidarbhitām VT_272d	nAma-mantrEH vidarBitAm VT_272d
   nāyāso na vrataś caiva VT_333c	na-AyAsaH na vrataH ca-eva VT_333c
   nārācāstravidarbhitaḥ VT_345b	nArAca-astra-vidarBitaH VT_345b
   nāsikā ca tathāparā VT_241d	nAsikA ca taTA-aparAH VT_241d
   nāstikā vedanindakāḥ VT_319d	nAstikAH veda-nindakAH VT_319d
   nikhanyate sa vai kṣipraṃ VT_179c	niKanyate sa vE kzipram VT_179c
   nit yam ākarṣayet proktam VT_294a	nid yam Akarzayet proktam VT_294a
   nityaṃ kālajapenāpi VT_186a	nityam kAla-japena-api VT_186a
   nityaṃ devi bhavanti hi VT_12d	nityam devi Bavanti hi VT_12d
   nityaṃ sā sevyate yuktair VT_354c	nityam sA sevyate yuktEH VT_354c
   nimbatailasamāyutam VT_197d	nimba-tEla-samAyutam VT_197d
   nimbasthavāyasaṃ gṛhya VT_171a	nimba-sTa-vAyasam gRhya VT_171a
   niyoktavyaṃ tatas tatra VT_45a	niyoktavyam tatas tatra VT_45a
   niruddhamāyātasmāttam VT_41c	nirudDa-mAyAtasmAt-tam VT_41c
   nirodhe kumbhakaḥ proktaḥ VT_70c	niroDe kumBakaH proktaH VT_70c
   nirjitārir bhaved dhruvam VT_188b	nirjita-ariH Bavet Druvam VT_188b
   nirṇītāni yathākramam VT_64d	nirNItAni yaTAkramam VT_64d
   nirdahate mantraṃ devi VT_369c	nirdahate mantram devi VT_369c
   nirdahec cātmadehaṃ tu VT_72a	nirdahet ca-Atma-deham tu VT_72a
   nirdahet sādhakottamaḥ VT_76b	nirdahet sADaka-uttamaH VT_76b
   nirdhūmatejarūpiṇam VT_353b	nirDUma-teja-rUpiNam VT_353b
   nirmathya kathito devi VT_317c	nirmaTya kaTitaH devi VT_317c
   nirmalā sphātikopamā VT_354b	nirmalA sPAtika-upamA VT_354b
   nirvyājenāśusiddhidam VT_10d	nirvyAjena-ASu-sidDi-dam VT_10d
   niviṣṭam karṇikodare VT_30b	nivizwam karNikA-udare VT_30b
   nivedya samayān tasya VT_48a	nivedya samayAn tasya VT_48a
   niścayaṃ mama baddhvānta ? VT_313a	niScayam mama badDvA-ante ? VT_313a
   niṣkalasya tu devasya VT_245c	nizkalasya tu devasya VT_245c
   niṣkalaṃ paramaṃ śivam VT_246b	nizkalam paramam Sivam VT_246b
   niṣkale niṣkalā proktā VT_46c	nizkale nizkalA proktAH VT_46c
   niṣkramya recayed vāyuṃ VT_70a	nizkramya recayet vAyum VT_70a
   niḥśabdo dhyānapāragaḥ VT_177b	niHSabdaH DyAna-pAragaH VT_177b
   nṛpatiṃ mānagarvitam VT_177d	nRpatim mAna-garvitam VT_177d
   nṛmāṃsaṃ taṇḍulānvitam VT_190d	nR-mAMsam taNxula-anvitam VT_190d
   nṛvālaṃ citibhasmaṃ ca VT_166a	nR-vAlam citi-Basmam ca VT_166a
   netraṃ tu kathitaṃ devi VT_344a	netram tu kaTitam devi VT_344a
   naiva siddhipradāḥ smṛtāḥ VT_138b	na-eva sidDi-pradAH smRtAH VT_138b
   nyaset padmaṃ caturdalam VT_221b	nyaset padmam catur-dalam VT_221b
   nyaset pādatale mantrī VT_71c	nyaset pAda-tale mantrI VT_71c
   nyased vai bījapañcakam VT_80b	nyaset vE bIja-paQcakam VT_80b
   nyastavyaṃ tu yad ādau tu ? VT_204c	nyastavyam tu yat AdO tu ? VT_204c
   nyastavyaṃ bījapañcakam VT_212b	nyastavyam bIja-paQcakam VT_212b
   nyastavyā tu yathākramam VT_133b	nyastavyA tu yaTAkramam VT_133b
   nyastavyāni yathākramam VT_61d	nyastavyAni yaTAkramam VT_61d
   nyāsam ālabhanaṃ kuryād VT_77a	nyAsam AlaBanam kuryAt VT_77a
   nyāsaṃ ca samudāhṛtam VT_61b	nyAsam ca samudAhRtam VT_61b
   pañca caiva varānane VT_66d	paQca ca-eva varAnane VT_66d
   pañcatattvapariṣkṛtam VT_21b	paQca-tattva-parizkRtam VT_21b
   pañcadevyā catuṣṭayam VT_163b	paQcadevyA catuzwayam VT_163b
   pañcamaṃ bījam ucyate VT_64b	paQcamam bIjam ucyate VT_64b
   pañcamyāṃ susamāhitaḥ VT_16d	paQcamyAm su-samAhitaH VT_16d
   pañcarātraṃ trirātraṃ vā VT_177a	paQca-rAtram tri-rAtram vA VT_177a
   pañcavargāntabindukam VT_54b	paQcavarga-anta-bindukam VT_54b
   pañcaviṃśac chikhābhāji VT_126a	paQcaviMSat SiKA-BAji VT_126a
   pañcaviṃśatikoṣasthaṃ VT_129c	paQcaviMSati-koza-sTam VT_129c
   pañcaviṃśatikoṣasthaṃ VT_133c	paQcaviMSati-koza-sTam VT_133c
   pañcaviṃśatikoṣṭhasthaṃ VT_62c	paQcaviMSati-kozWa-sTam VT_62c
   pañcaviṃśatitattvāni VT_243c	paQcaviMSati-tattvAni VT_243c
   pañcaviṃśatiyojitam VT_135b	paQcaviMSati-yojitam VT_135b
   patir dāsaṃ kariṣyati VT_283b	patiH dAsam karizyati VT_283b
   padārthavidhisaṃyuktaṃ VT_348c	padArTa-viDi-saMyuktam VT_348c
   padmasampuṭamadhyasthau VT_175c	padma-sampuwa-maDya-sTO VT_175c
   padmaṃ cājyamadhuplutam VT_187b	padmam ca-Ajya-maDu-plutam VT_187b
   padmāsanopaviṣṭaṃ tu VT_96c	padmAsana-upavizwam tu VT_96c
   payasā vāpi śuddhena VT_393a	payasA vA-api SudDena VT_393a
   paramārtham udāhṛtam VT_258b	parama-arTam udAhRtam VT_258b
   paramīkaraṇaṃ hy etan VT_367a	paramIkaraNam hi etat VT_367a
   pararāṣṭravimardanam VT_17b	para-rAzwra-vimardanam VT_17b
   parijapya sahasraṃ tu VT_172c	parijapya sahasram tu VT_172c
   paritaḥ paryavasthitaiḥ VT_35b	paritas paryavasTitEH VT_35b
   parirakṣanti putravat VT_118d	parirakzanti putra-vat VT_118d
   pariṣṭhāpya pare 'dhvani VT_44d	parizWApya pare aDvani VT_44d
   parīkṣya guruṇā śiṣyaṃ VT_318a	parIkzya guruNA Sizyam VT_318a
   paścāt tu hṛdaye tasya VT_212a	paScAt tu hRdaye tasya VT_212a
   paścād vakṣye jape vidhim VT_375d	paScAt vakzye jape viDim VT_375d
   pātraṃ madhvājyasampūrṇaṃ VT_182a	pAtram maDu-Ajya-sampUrNam VT_182a
   pādaleparasāyanam VT_193b	pAda-lepa-rasAyanam VT_193b
   pādau pāyur upastham ca VT_241a	pAdO pAyuH upasTam ca VT_241a
   pādau prabhṛti hotavyaṃ VT_269a	pAdO praBRti hotavyam VT_269a
   pāyasaṃ śavavaktre tu VT_191a	pAyasam Sava-vaktre tu VT_191a
   pāśāṅkuśakaraprabham VT_98d	pASa-aFkuSa-kara-praBam VT_98d
   piṅgalāntargataṃ dhyātvā VT_148a	piFgala-antargatam DyAtvA VT_148a
   piṅgalāntargato 'pi vā VT_145b	piFgala-antargataH api vA VT_145b
   piṅgalāntargato yadā VT_255d	piFgala-antargataH yadA VT_255d
   piṣtvā pūrvavidhānena VT_282c	piztvA pUrva-viDAnena VT_282c
   pīḍitaṃ chardayed asṛk VT_211d	pIxitam Cardayet asRk VT_211d
   pītamālyāmbarapriyām VT_104d	pIta-mAlya-ambara-priyAm VT_104d
   putavarṇavidhānaṃ syād VT_377c	puta-varNa-viDAnam syAt VT_377c
   punar ādhārasaṃsthitiḥ VT_245d	punar ADAra-saMsTitiH VT_245d
   punar etadbījayuktaṃ VT_130c	punar etat-bIja-yuktam VT_130c
   pun as tat sthāpayitvā tu VT_204a	pun aH tat sTApayitvA tu VT_204a
   puruṣaś cādheya ucyate VT_244d	puruzaH ca-ADeyaH ucyate VT_244d
   puruṣasya tathā proktaṃ VT_154c	puruzasya taTA proktam VT_154c
   puruṣasya bhaved devi VT_197a	puruzasya Bavet devi VT_197a
   puruṣo vaśam āyāti VT_286a	puruzaH vaSam AyAti VT_286a
   puṣṭitejovivardhanī VT_297b	puzwi-tejaH-vivarDanI VT_297b
   puṣpadhūpaiś ca balibhir VT_33a	puzpa-DUpEH ca baliBiH VT_33a
   puṣpamaṇḍalake 'pi vā VT_115d	puzpa-maNxalake api vA VT_115d
   pūjayet kūṭamadhyasthaṃ VT_112a	pUjayet kUwa-maDya-sTam VT_112a
   pūjayed bījapañcake VT_221d	pUjayet bIja-paQcake VT_221d
   pūjayen manasā japet VT_395d	pUjayet manasA japet VT_395d
   pūjitāḥ sādhakaṃ devyaḥ VT_118c	pUjitAH sADakam devyaH VT_118c
   pūrvam uktakrameṇa tu VT_302d	pUrvam ukta-krameNa tu VT_302d
   pūrvavat kramayogena VT_123c	pUrvavat krama-yogena VT_123c
   pūrvavad dhastamātraṃ tu VT_94c	pUrvavat Dasta-mAtram tu VT_94c
   pūrvādidalasaṃsthitām VT_95d	pUrva-Adi-dala-saMsTitAm VT_95d
   pūrvoktena yathākramam VT_315b	pUrva-uktena yaTAkramam VT_315b
   pṛthvy āpas tathā tejo VT_242a	pRTvI ApaH taTA tejaH VT_242a
   pracchanne janavarjite VT_94b	pracCanne jana-varjite VT_94b
   praṇayasva prasādaś ca VT_120c	praNayasva prasAdaH ca VT_120c
   praṇayād atulaṃ vāpi VT_121c	praNayAt atulam vA-api VT_121c
   praṇavaṃ ca adhomukham VT_73d	praNavam ca aDomuKam VT_73d
   praṇāmaiḥ śaktidānaiś ca VT_50c	praNAmEH Sakti-dAnEH ca VT_50c
   praṇipatya nivedayet VT_24d	praNipatya nivedayet VT_24d
   pratimāsu susampūrṇaṃ VT_270c	pratimAsu su-sampUrNam VT_270c
   pratimāṃ lavaṇamayīṃ kṛtvā VT_268c	pratimAm lavaNa-mayIm kRtvA VT_268c
   prathamaṃ bījam ucyate VT_62d	praTamam bIjam ucyate VT_62d
   prathame vāyavī proktā VT_381a	praTame vAyavI proktAH VT_381a
   pradīptadīpakair dikṣu VT_34a	pradIpta-dIpakEH dikzu VT_34a
   pramārjayetkuśāgreṇa VT_22a	pramArjayet-kuSa-agreNa VT_22a
   prayatnena suniścalam VT_361d	prayatnena su-niScalam VT_361d
   prayatnenāpi sādhakāḥ VT_235b	prayatnena-api sADakAH VT_235b
   prayāti yamasādanam VT_179d	prayAti yama-sAdanam VT_179d
   prayuktaṃ kurute prabhuḥ VT_261d	prayuktam kurute praBuH VT_261d
   prayogam idam ārabhet VT_216b	prayogam idam AraBet VT_216b
   prayogarahitā mantrā VT_138a	prayoga-rahitAH mantrAH VT_138a
   prayogaṃ kāraṇaṃ devi VT_137a	prayogam kAraNam devi VT_137a
   prayogaṃ cāsya vakṣyāmi VT_136c	prayogam ca-asya vakzyAmi VT_136c
   prayogaṃ tu sudurlabham VT_137d	prayogam tu su-durlaBam VT_137d
   prayogaṃ sarvatantrāṇām VT_332c	prayogam sarva-tantrANAm VT_332c
   prayojyā sādhakottamaiḥ VT_87d	prayojyA sADaka-uttamEH VT_87d
   pravṛtte maithune kāle VT_283a	pravRtte mETune kAle VT_283a
   praveśya tatra śiṣyaṃ tu VT_38c	praveSya tatra Sizyam tu VT_38c
   praveśya sādhyavigraham VT_164b	praveSya sADya-vigraham VT_164b
   praśnam ekā garīyasī VT_331b	praSnam ekA garIyasI VT_331b
   praṣṭavyaṃ nānyataḥ param VT_127d	prazwavyam na-anyatas param VT_127d
   prasādaṃ kuru deveśa VT_326a	prasAdam kuru deveSa VT_326a
   prasādaṃ kuru deveśa VT_327c	prasAdam kuru deveSa VT_327c
   prasādaṃ sūkṣmagocaram VT_331d	prasAdam sUkzma-gocaram VT_331d
   prasāryākuñcayed budhaḥ VT_86d	prasArya-AkuQcayet buDaH VT_86d
   prasṛtaiś ca karaiḥ kramāt VT_91b	prasRtEH ca karEH kramAt VT_91b
   prastāram evaṃ prastārya VT_58a	prastAram evam prastArya VT_58a
   prastārarekham ujjvalam VT_53b	prastAra-reKam ujjvalam VT_53b
   prastāraṃ prastarec chuciḥ VT_52d	prastAram prastaret SuciH VT_52d
   prastārya pūrvavad varṇaṃ VT_123a	prastArya pUrvavat varNam VT_123a
   prākṛtaṃ tapasaḥ phalam VT_121b	prAkRtam tapasaH Palam VT_121b
   prāg ārabhya yathānyāyaṃ VT_28c	prAk AraBya yaTAnyAyam VT_28c
   prāṇadraviṇahāriṣu VT_118b	prANa-draviNa-hArizu VT_118b
   prāṇāyāmapuraḥsaraḥ VT_69b	prANAyAma-puraHsaraH VT_69b
   prāṇāyāmapuraḥsaraḥ VT_302b	prANAyAma-puraHsaraH VT_302b
   prāṇāyāmaṃ prakīrtitam VT_70d	prANAyAmam prakIrtitam VT_70d
   prāṇāyāmais tribhir devi VT_69c	prANAyAmEH triBiH devi VT_69c
   prāptayauvanam eva ca VT_151b	prApta-yOvanam eva ca VT_151b
   prāpte kaliyuge ghore VT_326c	prApte kali-yuge Gore VT_326c
   prāpnuyāt tu na saṃśayaḥ VT_188d	prApnuyAt tu na saMSayaH VT_188d
   prāyo draviṇavarjitāḥ VT_5d	prAyas draviNa-varjitAH VT_5d
   pretārūḍhāṃ caturvaktrāṃ VT_100c	preta-ArUXAm catur-vaktrAm VT_100c
   proddharet tu yathākramam VT_58d	prodDaret tu yaTAkramam VT_58d
   proddhared bījapañcakam VT_123b	prodDaret bIja-paQcakam VT_123b
   proddhṛtya sādhyanāmaivaṃ VT_212c	prodDRtya sADya-nAma-evam VT_212c
   phaṭkāram ādimadhyataḥ VT_389d	PawkAram Adi-maDyatas VT_389d
   phaṭkāraś caiva madhyataḥ VT_387d	PawkAraH ca-eva maDyatas VT_387d
   phaṭkārāntaṃ prayojayet VT_228d	PawkAra-antam prayojayet VT_228d
   phatkārānte vyavasthitā VT_299b	PatkAra-ante vyavasTitA VT_299b
   phalair nānāvidhaiś caiva VT_35a	PalEH nAnAviDEH ca-eva VT_35a
   baddhe ruddhe 'tha mokṣaṇāt VT_215d	badDe rudDe aTa mokzaNAt VT_215d
   baddhe ruddhe 'pi mokṣaṇam VT_207b	badDe rudDe api mokzaNam VT_207b
   bandhūkakusumaprakhyāṃ VT_31a	banDUka-kusuma-praKyAm VT_31a
   balīvardaṃ tu kārayet VT_286d	balIvardam tu kArayet VT_286d
   bahuvyākulacetasā VT_328b	bahu-vyAkula-cetasA VT_328b
   bindudevī jayā smṛtā VT_335d	bindudevI jayA smRtAH VT_335d
   bindupuñjasametā hi VT_133a	bindu-puQja-sametAH hi VT_133a
   bindumadhyevicakṣaṇaḥ VT_366b	bindu-maDyevicakzaNaH VT_366b
   bindumūrdhnā tu pīḍitam VT_338d	bindu-mUrDnA tu pIxitam VT_338d
   binduyuktāny aśesāṇi VT_61c	bindu-yuktAni aSesANi VT_61c
   binduyoniḥ caturthakam VT_63d	bindu-yoniH caturTakam VT_63d
   bījadvādaśakaṃ nyaset VT_56d	bIja-dvAdaSakam nyaset VT_56d
   bījanāḍīprayogataḥ VT_262b	bIja-nAxI-prayogataH VT_262b
   bījapañcakadevasya VT_218a	bIja-paQcaka-devasya VT_218a
   bījapañcakam abhyasya VT_67a	bIja-paQcakam aByasya VT_67a
   bījapañcakam uddhṛtya VT_66a	bIja-paQcakam udDRtya VT_66a
   bījapañcakam etad dhi VT_307a	bIja-paQcakam etat Di VT_307a
   bījapañcakasaṃyuktaṃ VT_168c	bIja-paQcaka-saMyuktam VT_168c
   bījapiṇḍaṃ tu madhyasthaṃ VT_382c	bIja-piNxam tu maDya-sTam VT_382c
   bījamudrāprayogataḥ VT_383d	bIja-mudrA-prayogataH VT_383d
   bījamudrāṃ prayojayet VT_394d	bIja-mudrAm prayojayet VT_394d
   bījaṣoḍaśakaṃ caiva VT_58c	bIja-zoxaSakam ca-eva VT_58c
   bījaṣoḍaśakaṃ nyaset VT_174b	bIja-zoxaSakam nyaset VT_174b
   bījaṃ gāyatrisaṃjñakam VT_134b	bIjam gAyatri-saMjQakam VT_134b
   bījaṃ sāvitrisaṃjñitam VT_135d	bIjam sAvitri-saMjQitam VT_135d
   bījāni kramaśo nyaset VT_57d	bIjAni kramaSas nyaset VT_57d
   bījāni devadevīnāṃ VT_64c	bIjAni deva-devInAm VT_64c
   bījāni bījayet prājñaḥ VT_308c	bIjAni bIjayet prAjQaH VT_308c
   bījān tebhyaḥ pradāpayet VT_47d	bIjAn teByaH pradApayet VT_47d
   bījair etair yathānyāyaṃ VT_227a	bIjEH etEH yaTAnyAyam VT_227a
   bījair etair viparyastais VT_171c	bIjEH etEH viparyastEH VT_171c
   bījair etaiḥ samāyuktair VT_181c	bIjEH etEH samAyuktEH VT_181c
   bījair vidarbhitaṃ nāma VT_179a	bIjEH vidarBitam nAma VT_179a
   bodhanaṃ parikīrtitam VT_368d	boDanam parikIrtitam VT_368d
   brahmaghno 'pi hi nānyathā VT_223d	brahma-GnaH api hi na-anyaTA VT_223d
   brahmaviṣṇupuraḥsaraiḥ VT_9d	brahma-vizNu-puraHsarEH VT_9d
   bhakārajathare sthitam VT_298b	BakAra-jaTare sTitam VT_298b
   bhaktāya dātum arhasi VT_7b	BaktAya dAtum arhasi VT_7b
   bhakṣayet sādhakottamaḥ VT_49b	Bakzayet sADaka-uttamaH VT_49b
   bhakṣayed deśayet kaṃcit VT_285c	Bakzayet deSayet kaMcid VT_285c
   bhakṣyabhojyavidhānaiś ca VT_111c	Bakzya-Bojya-viDAnEH ca VT_111c
   bhage vā athavā liṅge VT_275c	Bage vE aTavA liFge VT_275c
   bhañjane yadi sainyānāṃ VT_298a	BaQjane yadi sEnyAnAm VT_298a
   bharamākhāś ? ca vinyaset VT_79d	BaramAKAH ? ca vinyaset VT_79d
   bhavati niyatā kṣipraṃ VT_298c	Bavati niyatA kzipram VT_298c
   bhavati niyatā devi VT_297c	Bavati niyatAH devi VT_297c
   bhavaty arthapradāyikā VT_296b	Bavati arTa-pradAyikA VT_296b
   bhavanti niyataṃ[nityaṃ] VT_222c	Bavanti niyataM[nityan] VT_222c
   bhavantīty avicāraṇāt VT_116d	Bavanti-iti avicAraNAt VT_116d
   bhaven mantrātmavigrahaḥ VT_77b	Bavet mantra-Atma-vigrahaH VT_77b
   bhasmakūṭam iva sthitam VT_72d	BasmakUwam iva sTitam VT_72d
   bhasmanā candanenāpi VT_220a	BasmanA candanena-api VT_220a
   bhinnāñjanacayaprakhyām VT_32a	BinnAQjana-caya-praKyAm VT_32a
   bhinnāñjanasamaprakhyāṃ VT_106c	BinnAQjana-sama-praKyAm VT_106c
   bhuktibhogaṃ sudurlabham VT_383b	Bukti-Bogam su-durlaBam VT_383b
   bhuktimuktipradāyakam VT_324d	Bukti-mukti-pradAyakam VT_324d
   bhuktimuktiphalapradā VT_45d	Bukti-mukti-Pala-pradA VT_45d
   bhūyaś cottarabījāni VT_83c	BUyas ca-uttara-bIjAni VT_83c
   bhūr evāyaṃ pādapadmair VT_112c	BUH eva-ayam pAda-padmEH VT_112c
   bhṛgvādyaiḥ surasattamaiḥ VT_3b	BRgu-AdyEH sura-sattamEH VT_3b
   makāraṃ bindudevatām VT_336d	makAram bindudevatAm VT_336d
   mañjiṣthā kunduruś caiva VT_282a	maQjizTA kunduruH ca-eva VT_282a
   maṇḍalam saṃlikhed divyam VT_27a	maNxalam saMliKet divyam VT_27a
   maṇḍalaṃ deśikottamaḥ VT_38b	maNxalam deSika-uttamaH VT_38b
   maṇḍalaṃ saṃlikhet prājño VT_26a	maNxalam saMliKet prAjQaH VT_26a
   maṇḍalāt paścime bahiḥ VT_39b	maNxalAt paScime bahis VT_39b
   matsyamāṃsasurāpriyām VT_103b	matsya-mAMsa-surA-priyAm VT_103b
   madhunā ghṛtasaṃyuktaṃ VT_393c	maDunA GRta-saMyuktam VT_393c
   madhūkā śvetapadmaṃ ca VT_279a	maDUkA Svetapadmam ca VT_279a
   madhye vargāntapiṇḍas tu VT_388a	maDye varga-anta-piNxaH tu VT_388a
   manasā cintitaṃ kāmaṃ VT_224a	manasA cintitam kAmam VT_224a
   manasā pūjayen nityaṃ VT_113a	manasA pUjayet nityam VT_113a
   mano buddhir ahaṃkāro VT_243a	manaH budDiH ahaMkAraH VT_243a
   mantram evaṃ samuddiṣtaṃ VT_370c	mantram evam samuddiztam VT_370c
   mantrasyāpyāyanaṃ smṛtam VT_367b	mantrasya-ApyAyanam smRtam VT_367b
   mantrāṇāṃ mantravādinām VT_371d	mantrANAm mantra-vAdinAm VT_371d
   mantrāṇāṃ mantravij japet VT_366d	mantrANAm mantra-vid japet VT_366d
   mantrī kurvīta yatnena VT_380c	mantrI kurvIta yatnena VT_380c
   mantrī mantraṃ tu yogavit VT_372d	mantrI mantram tu yoga-vid VT_372d
   mantrī yatnena niścayāt VT_374b	mantrI yatnena niScayAt VT_374b
   mantrī lakṣadvayena tu VT_187d	mantrI lakza-dvayena tu VT_187d
   mantrī sādhayate kṣaṇāt VT_150d	mantrI sADayate kzaNAt VT_150d
   mamāpi gopitaṃ devi VT_312c	mama-api gopitam devi VT_312c
   mayā tava udāhṛtāḥ VT_291d	mayA tava udAhRtAH VT_291d
   mayūragrīvasadṛśaṃ VT_351a	mayUra-grIva-sadRSam VT_351a
   mahākālādibhir gaṇaiḥ VT_d	mahAkAla-AdiBiH gaNEH VT_d
   mahāpuruṣavarastrīṇāṃ VT_294c	mahApuruza-vara-strINAm VT_294c
   mahābhūteṣu pañcasu VT_44b	mahABUtezu paQcasu VT_44b
   mahābhūteṣu pañcasu VT_301d	mahABUtezu paQcasu VT_301d
   mahārāvādinirghoṣaiś VT_108a	mahA-rAva-Adi-nirGozEH VT_108a
   mahāśaṅkhamayaṃ kuryād VT_113c	mahA-SaFKa-mayam kuryAt VT_113c
   mahāsammohane tathā VT_317b	mahA-sammohane taTA VT_317b
   mānuṣāṇāṃ tu kā cintā VT_341a	mAnuzANAm tu kA cintA VT_341a
