   akalādhipabhṛtyadarśitaṃ BhKir_3.59a	akala-aDipa-BRtya-darSitam BhKiH-_3.59a
   prasasṛpuḥ saritaḥ paritaḥ sthalīḥ BhKir_18.11d	prasasRpuH saritaH paritas sTalIH BhKiH-_18.11d
   prasaheta raṇe tavānujān BhKir_2.23c	prasaheta raNe tava-anujAn BhKiH-_2.23c
   prasahya cetaḥsu samāsajantam BhKir_3.2c	prasahya cetaHsu samAsajantam BhKiH-_3.2c
   prasahya yo 'smāsu paraiḥ prayuktaḥ BhKir_3.44a	prasahya yaH asmAsu parEH prayuktaH BhKiH-_3.44a
   prasahya saṃrakṣaṇam ātmarandhre BhKir_16.23b	prasahya saMrakzaNam Atma-ranDre BhKiH-_16.23b
   prasādayantī hṛdayāny api dviṣām BhKir_14.3b	prasAdayantI hRdayAni api dvizAm BhKiH-_14.3b
   prasādaramyam ojasvi BhKir_11.38a	prasAda-ramyam ojasvi BhKiH-_11.38a
   prasādalakṣmīṃ dadhataṃ samagrāṃ BhKir_3.2a	prasAda-lakzmIm daDatam samagrAm BhKiH-_3.2a
   prasādalakṣmīḥ śaśalāñchanasya BhKir_16.21d	prasAda-lakzmIH SaSalAQCanasya BhKiH-_16.21d
   prasādasāphalyam avāpa jāhvanī BhKir_8.44d	prasAda-sAPalyam avApa jAhvanI BhKiH-_8.44d
   prasāditāyāḥ karavārivāritam BhKir_8.50b	prasAditAyAH karavAri-vAritam BhKiH-_8.50b
   prasīda saṃdhehi vadhāya vidviṣām BhKir_1.42b	prasIda saMDehi vaDAya vidvizAm BhKiH-_1.42b
   prasūtim enaḥpraṇudāṃ śrutīnām BhKir_3.4b	prasUtim enaH-praNudAm SrutInAm BhKiH-_3.4b
   prasedivāṃsaṃ tam upāsasāda BhKir_3.24c	prasedivAMsam tam upAsasAda BhKiH-_3.24c
   prasedivāṃsaṃ na tam āpa kopaḥ BhKir_17.23a	prasedivAMsam na tam Apa kopaH BhKiH-_17.23a
   prasehire sādayituṃ na sāditāḥ BhKir_14.57c	prasehire sAdayitum na sAditAH BhKiH-_14.57c
   prasthānaśramajanitāṃ vihāya nidrām BhKir_7.31a	prasTAna-Srama-janitAm vihAya nidrAm BhKiH-_7.31a
   prasthānaṃ samabhidadhe mṛdaṅganādaḥ BhKir_7.1d	prasTAnam samaBidaDe mRdaFga-nAdaH BhKiH-_7.1d
   prasthānaṃ surakariṇaḥ kathaṃcid īṣuḥ BhKir_7.24d	prasTAnam sura-kariNaH kaTaMcid IzuH BhKiH-_7.24d
   prasthitaṃ sapadi kopapadena BhKir_9.45b	prasTitam sapadi kopa-padena BhKiH-_9.45b
   prasthitābhir adhināthanivāsaṃ BhKir_9.36a	prasTitABiH aDinATa-nivAsam BhKiH-_9.36a
   prasnāpayāmāsa mukhaṃ nidāghaḥ BhKir_17.8d	prasnApayAmAsa muKam nidAGaH BhKiH-_17.8d
   prasyandipracalitagaṇḍaśailaśobhā BhKir_7.37d	prasyandi-pracalita-gaNxa-SEla-SoBA BhKiH-_7.37d
   prasvāpanāstraṃ drutam ājahāra BhKir_16.25c	prasvApana-astram drutam AjahAra BhKiH-_16.25c
   prahariṣyan mayi māyayā śamasthe BhKir_13.9b	praharizyat mayi mAyayA Sama-sTe BhKiH-_13.9b
   prahitavatī kusumeṣuṇābhitaptā BhKir_10.47b	prahitavatI kusuma-izuNA-aBitaptA BhKiH-_10.47b
   prahitaṃ divi prajavibhiḥ śvasitaiḥ BhKir_6.15c	prahitam divi prajaviBiH SvasitEH BhKiH-_6.15c
   prahīyatām atra nṛpeṇa mānitā BhKir_14.13c	prahIyatAm atra nRpeNa mAnitA BhKiH-_14.13c
   prahīyate kāryavaśāgateṣu BhKir_16.22a	prahIyate kArya-vaSa-Agatezu BhKiH-_16.22a
   prahlādaṃ śamitapariśramā diśantaḥ BhKir_7.15b	prahlAdam Samita-pariSramAH diSantaH BhKiH-_7.15b
   prahlādaṃ surakariṇāṃ ghanāḥ kṣarantaḥ BhKir_7.13b	prahlAdam sura-kariNAm GanAH kzarantaH BhKiH-_7.13b
   prahvīkṛtaṃ me hṛdayaṃ guṇaughaiḥ BhKir_3.12b	prahvIkRtam me hRdayam guNa-oGEH BhKiH-_3.12b
   prāñjalāv api jane natamūrdhni BhKir_9.10a	prAQjalO api jane nata-mUrDni BhKiH-_9.10a
   prāṇanātham abhibāṣpanipātaḥ BhKir_9.45d	prANanATam aBibAzpa-nipAtaH BhKiH-_9.45d
   prāṇyantam icchann iva jātavedāḥ BhKir_16.50d	prANi-antam icCan iva jAtavedAH BhKiH-_16.50d
   prāpa muditahariṇīdaśana- BhKir_12.52c	prApa mudita-hariNI-daSana BhKiH-_12.52c
   prāptaḥ paṅko durutsahaḥ BhKir_15.17d	prAptaH paFkaH durutsahaH BhKiH-_15.17d
   prāptum abhavam abhivāñchati vā BhKir_12.30c	prAptum aBavam aBivAQCati vA BhKiH-_12.30c
   prāpto 'bhimānavyasanād asahyaṃ BhKir_3.45a	prAptaH aBimAna-vyasanAt asahyam BhKiH-_3.45a
   prāpyate guṇavatāpi guṇānāṃ BhKir_9.58a	prApyate guNavatA-api guNAnAm BhKiH-_9.58a
   prāpyate yad iha dūram agatvā BhKir_18.25a	prApyate yat iha dUram agatvA BhKiH-_18.25a
   prāpya pāram iveśānam BhKir_15.32c	prApya pAram iva-ISAnam BhKiH-_15.32c
   prāpyorvīr anupadavīṃ vimānapaṅktīḥ BhKir_7.11b	prApya-urvIH anupadavIm vimAna-paFktIH BhKiH-_7.11b
   prāpsyate ca sakalaṃ mahībhṛtā BhKir_13.54c	prApsyate ca sakalam mahIBRtA BhKiH-_13.54c
   prāyaśaḥ skhalitam apy upakāri BhKir_9.37d	prAyaSas sKalitam api upakAri BhKiH-_9.37d
   prāyeṇa saty api hitārthakare vidhau hi BhKir_5.49c	prAyeNa sati api hita-arTa-kare viDO hi BhKiH-_5.49c
   prāyo yaṣṭyāvalambitaḥ BhKir_11.5d	prAyas yazwyA-avalambitaH BhKiH-_11.5d
   prārthanādhikabale vipatphalā BhKir_13.61d	prArTanA-aDika-bale vipad-PalA BhKiH-_13.61d
   prāleyāvatatimlāna- BhKir_11.4c	prAleya-avatati-mlAna BhKiH-_11.4c
   prāha te nu sadṛśī divaukasām BhKir_13.37c	prAha te nu sadRSI divOkasAm BhKiH-_13.37c
   priyatām eti yathā kṛtāvadānaḥ BhKir_13.32d	priya-tAm eti yaTA kRta-avadAnaH BhKiH-_13.32d
   priyatāṃ jyāyasīṃ mā gān BhKir_11.60c	priya-tAm jyAyasIm mA gAn BhKiH-_11.60c
   priyabālavāladhibhir ādade dhṛtiḥ BhKir_12.47d	priya-bAla-vAlaDiBiH Adade DRtiH BhKiH-_12.47d
   priyamadhurasanāni ṣaṭpadālī BhKir_10.26c	priya-maDu-rasanAni zawpadAlI BhKiH-_10.26c
   priyam icchann athavā suyodhanasya BhKir_13.10b	priyam icCan aTavA suyoDanasya BhKiH-_13.10b
   priyam iyatī hy abalājanasya bhūmiḥ BhKir_10.58d	priyam iyatI hi abalA-janasya BUmiH BhKiH-_10.58d
   priyam iva kathayiṣyann āliliṅga sphurantīṃ BhKir_3.60c	priyam iva kaTayizyan AliliFga sPurantIm BhKiH-_3.60c
   priyam uccaiḥ padam ārurukṣataḥ BhKir_2.13b	priyam uccEs padam ArurukzataH BhKiH-_2.13b
   priyaṃ jaghānonnatapīvarastanī BhKir_8.19d	priyam jaGAna-unnata-pIvara-stanI BhKiH-_8.19d
   priyaṃ mudānandayati sma māninī BhKir_8.46b	priyam mudA-Anandayati sma mAninI BhKiH-_8.46b
   priyāṅkaśītā nabhasaḥ patantī BhKir_16.11b	priya-aFka-SItA naBasaH patantI BhKiH-_16.11b
   priyāṅkaśītāḥ śucimauktikatviṣo BhKir_8.10c	priya-aFka-SItAH Suci-mOktika-tvizaH BhKiH-_8.10c
   priyāṅgasaṃśleṣam avāpa māninī BhKir_8.48d	priya-aFga-saMSlezam avApa mAninI BhKiH-_8.48d
   priyāṇi cakruḥ praṇayena yoṣitaḥ BhKir_8.13d	priyANi cakruH praNayena yozitaH BhKiH-_8.13d
   priyāṇi vāñchanty asubhiḥ samīhitum BhKir_1.18d	priyANi vAQCanti asuBiH samIhitum BhKiH-_1.18d
   priyānurāgeṇa vilāsinījanaḥ BhKir_8.41b	priya-anurAgeNa vilAsinI-janaH BhKiH-_8.41b
   priyām ivāsāditayauvanāṃ bhuvam BhKir_4.1d	priyAm iva-AsAdita-yOvanAm Buvam BhKiH-_4.1d
   priyā vipriyakāriṇaḥ BhKir_11.35b	priyA vipriya-kAriNaH BhKiH-_11.35b
   priyāḥ śalyaṃ tadāsavaḥ BhKir_11.28b	priyAH Salyam tadAsavaH BhKiH-_11.28b
   priyeṇa vadhvā madanārdracetasaḥ BhKir_8.51b	priyeNa vaDvA madana-Ardra-cetasaH BhKiH-_8.51b
   priyeṇa saṃgrathya vipakṣasaṃnidhāv BhKir_8.37a	priyeNa saMgraTya vipakza-saMniDO BhKiH-_8.37a
   priyeṇa siktā caramaṃ vipakṣataś BhKir_8.54a	priyeNa siktA caramam vipakzataH BhKiH-_8.54a
   priye 'parā yacchati vācam unmukhī BhKir_8.15a	priye aparA yacCati vAcam unmuKI BhKiH-_8.15a
   priyeṣu yaiḥ pārtha vinopapatter BhKir_3.52a	priyezu yEH pArTa vinA-upapatteH BhKiH-_3.52a
   priyair āsāṃ na bhūyate BhKir_11.24b	priyEH AsAm na BUyate BhKiH-_11.24b
   priyaiṣiṇānuprahitāḥ śivena BhKir_17.33b	priya-eziNA-anuprahitAH Sivena BhKiH-_17.33b
   priyaiḥ salīlaṃ karavārivāritaḥ BhKir_8.49a	priyEH sa-lIlam karavAri-vAritaH BhKiH-_8.49a
   priyopakaṇṭhaṃ kṛtagātravepathuḥ BhKir_8.53b	priya-upakaNWam kRta-gAtra-vepaTuH BhKiH-_8.53b
   prītaye navanavatvam iyāya BhKir_9.43d	prItaye nava-nava-tvam iyAya BhKiH-_9.43d
   prīte pinākini mayā saha lokapālair BhKir_11.81a	prIte pinAkini mayA saha lokapAlEH BhKiH-_11.81a
   prīto vijihmaś ca tadīyavṛddhyā BhKir_17.2b	prItaH vijihmaH ca tadIya-vRdDyA BhKiH-_17.2b
   prekṣākārī yāti padaṃ muktam apāyaiḥ BhKir_18.28b	prekzA-kArI yAti padam muktam apAyEH BhKiH-_18.28b
   prema kām api bhuvaṃ pramadānām BhKir_9.71d	prema kAm api Buvam pramadAnAm BhKiH-_9.71d
   prema kārayati vā niratyayam BhKir_13.61b	prema kArayati vA niratyayam BhKiH-_13.61b
   prema tatpravaṇacetasi hitvā BhKir_9.10b	prema tad-pravaNa-cetasi hitvA BhKiH-_9.10b
   prema paśyati bhayāny apade 'pi BhKir_9.70d	prema paSyati BayAni apade api BhKiH-_9.70d
   prema yuktam itaretarāśrayam BhKir_13.57d	prema yuktam itaretara-ASrayam BhKiH-_13.57d
   premṇā samānīya vibhajyamānaḥ BhKir_3.33b	premNA samAnIya viBajyamAnaH BhKiH-_3.33b
   preritaḥ śaśadhareṇa karaughaḥ BhKir_9.28a	preritaH SaSaDareNa kara-oGaH BhKiH-_9.28a
   projjhya rantum iti śaṅkitanāthāḥ BhKir_9.70b	projJya rantum iti SaFkita-nATAH BhKiH-_9.70b
   plāvite jahnukanyayā BhKir_11.36b	plAvite jahnu-kanyayA BhKiH-_11.36b
   plutamālatīsitakapāla- BhKir_12.24a	pluta-mAlatIsita-kapAla BhKiH-_12.24a
   pluṣṭebhyo bhava mahatā bhavānalena BhKir_18.39b	pluzweByaH Bava mahatA Bava-analena BhKiH-_18.39b
   phaṇabhṛtām abhito vitataṃ tataṃ BhKir_5.11c	PaNaBRtAm aBitas vitatam tatam BhKiH-_5.11c
   phaṇāvataś ca tvaci vicyutāyām BhKir_17.45b	PaNAvataH ca tvaci vicyutAyAm BhKiH-_17.45b
   phaṇāvatām utphaṇamaṇḍalānām BhKir_16.39b	PaNAvatAm utPaNa-maNxalAnAm BhKiH-_16.39b
   phalakusumāvacaye 'pi tadvidhānām BhKir_10.8b	Pala-kusuma-avacaye api tadviDAnAm BhKiH-_10.8b
   phalaniṣpattim adūṣitāyatim BhKir_2.35b	Pala-nizpattim adUzita-Ayatim BhKiH-_2.35b
   phalanty upāyāḥ paribṛṃhitāyatīr BhKir_1.15c	Palanti upAyAH paribRMhita-AyatIH BhKiH-_1.15c
   phalasampatpravaṇaḥ parikṣayaḥ BhKir_2.8d	Pala-sampad-pravaNaH parikzayaH BhKiH-_2.8d
   phalasya nirdhūtarajāḥ savitrī BhKir_3.5b	Palasya nirDUta-rajAH savitrI BhKiH-_3.5b
   phalaṃ ca tasya pratikāyasādhanam BhKir_14.17b	Palam ca tasya pratikAya-sADanam BhKiH-_14.17b
   phalitorubhūruhaviviktavanaḥ BhKir_6.18b	Palita-uru-BUruha-vivikta-vanaH BhKiH-_6.18b
   phullalocanavinīlasarojair BhKir_9.57c	Pulla-locana-vinIla-sarojEH BhKiH-_9.57c
   badarītapovananivāsa- BhKir_12.33a	badarI-tapaH-vana-nivAsa BhKiH-_12.33a
   baddhakopavikṛtīr api rāmāś BhKir_9.64a	badDa-kopa-vikRtIH api rAmAH BhKiH-_9.64a
   baddhāṃ baddhāṃ bhittiśaṅkām amuṣmin BhKir_5.36c	badDAm badDAm Bitti-SaFkAm amuzmin BhKiH-_5.36c
   baddhormi nākavanitāparibhuktamuktaṃ BhKir_8.57c	badDa-Urmi nAka-vanitA-pariBuktam-uktam BhKiH-_8.57c
   babhāra ramyo 'pi vapuḥ sa bhīṣaṇaṃ BhKir_3.56c	baBAra ramyaH api vapuH sa BIzaNam BhKiH-_3.56c
   babhāra vītoccayabandham aṃśukam BhKir_8.51d	baBAra vIta-uccaya-banDam aMSukam BhKiH-_8.51d
   babhāra śūnyākṛtir arjunas tau BhKir_17.39a	baBAra SUnya-AkRtiH arjunaH tO BhKiH-_17.39a
   babhūva bhūyān iva tatra pāvakaḥ BhKir_16.59d	baBUva BUyAn iva tatra pAvakaH BhKiH-_16.59d
   balam asya paśyata mṛdhe 'dhikupyataḥ BhKir_12.39d	balam asya paSyata mRDe aDikupyataH BhKiH-_12.39d
   balavati bhaye 'py upasthite BhKir_12.47b	balavati Baye api upasTite BhKiH-_12.47b
   balavad api balaṃ mithovirodhi BhKir_10.37a	balavat api balam miTas-viroDi BhKiH-_10.37a
   balavān api kopajanmanas BhKir_2.37a	balavAn api kopa-janmanaH BhKiH-_2.37a
   balaśālitayā yathā tathā vā BhKir_13.12a	bala-SAli-tayA yaTA taTA vA BhKiH-_13.12a
   balaṃ nirastaṃ na rarāja jiṣṇunā BhKir_14.63d	balam nirastam na rarAja jizNunA BhKiH-_14.63d
   balaṃ prakopād iva viṣvag āyatā BhKir_14.59b	balam prakopAt iva vizvak AyatA BhKiH-_14.59b
   balāt prahlādate manaḥ BhKir_11.8d	balAt prahlAdate manaH BhKiH-_11.8d
   balād alabhyaṃ tava lipsate nṛpaḥ BhKir_14.19b	balAt alaByam tava lipsate nRpaH BhKiH-_14.19b
   balāni śambhor iṣubhis tatāpa BhKir_17.10c	balAni SamBoH izuBiH tatApa BhKiH-_17.10c
   balikriyā cātilakaṃ tadāspadam BhKir_8.52d	bali-kriyA ca-atilakam tad-Aspadam BhKiH-_8.52d
   balinaś ca vadhād ṛte 'sya śakyaṃ BhKir_13.13c	balinaH ca vaDAt Rte asya Sakyam BhKiH-_13.13c
   balivyapāyasphuṭaromarājinā BhKir_8.17c	bali-vyapAya-sPuwa-romarAjinA BhKiH-_8.17c
   balīyasā tad vidhineva pauruṣaṃ BhKir_14.63c	balIyasA tat viDinA-iva pOruzam BhKiH-_14.63c
   baleṣu dṛṣṭir vinipātaśaṃsinī BhKir_14.49d	balezu dRzwiH vinipAta-SaMsinI BhKiH-_14.49d
   bahir antaś ca nṛpasya maṇḍalam BhKir_2.53b	bahis antar ca nRpasya maNxalam BhKiH-_2.53b
   bahudhā gatāṃ jagati bhūtasṛjā BhKir_6.42a	bahuDA gatAm jagati BUta-sRjA BhKiH-_6.42a
   bahu barhicandrikanibhaṃ vidadhe BhKir_6.11a	bahu barhi-candrika-niBam vidaDe BhKiH-_6.11a
   bahumatim adhikāṃ yayāv aśokaḥ BhKir_10.9c	bahu-matim aDikAm yayO aSokaH BhKiH-_10.9c
   bahur alpīyasi dṛśyate guṇaḥ BhKir_2.4d	bahuH alpIyasi dRSyate guNaH BhKiH-_2.4d
   bahulasamaye 'pi dhāmabhiḥ BhKir_12.12b	bahula-samaye api DAmaBiH BhKiH-_12.12b
   bahuśaḥ kṛtasatkṛter vidhātuṃ BhKir_13.10a	bahuSas kRta-satkRteH viDAtum BhKiH-_13.10a
   bahusamaranayajñaḥ sādayiṣyann arātim BhKir_16.63b	bahu-samara-naya-jQaH sAdayizyan arAtim BhKiH-_16.63b
   bāṇacchidas te viśikhāḥ smarārer BhKir_17.30a	bANa=-CidaH te viSiKAH smara-areH BhKiH-_17.30a
   bāṇam atrabhavate nijaṃ diśann BhKir_13.68c	bANam atraBavate nijam diSan BhKiH-_13.68c
   bāṇān dhvajinyā hṛdayeṣv arātiḥ BhKir_17.31d	bANAn DvajinyA hRdayezu arAtiH BhKiH-_17.31d
   bibharāṃbabhūva yugapan mahasī BhKir_6.22d	biBarAMbaBUva yugapad mahasI BhKiH-_6.22d
   bibharāṃbabhūvur apavṛtta- BhKir_12.49a	biBarAMbaBUvuH apavRtta BhKiH-_12.49a
   bibharmi vratam īdṛśam BhKir_11.46b	biBarmi vratam IdRSam BhKiH-_11.46b
   bibhrad aruṇanayanena rucaṃ BhKir_12.41c	biBrat aruNa-nayanena rucam BhKiH-_12.41c
   bibhrāṇam ānīlarucaṃ piśaṅgīr BhKir_3.1c	biBrANam AnIla-rucam piSaFgIH BhKiH-_3.1c
   bibhrāṇāṃ jvalitamaṇīni saikatāni BhKir_7.26b	biBrANAm jvalita-maNIni sEkatAni BhKiH-_7.26b
   bimbād ivārkasya mukhān maharṣeḥ BhKir_3.25b	bimbAt iva-arkasya muKAt mahA-RzeH BhKiH-_3.25b
   bījānāṃ prabhava namo 'stu jīvanāya BhKir_18.39d	bIjAnAm praBava namaH astu jIvanAya BhKiH-_18.39d
   bṛhacchilāvapraghanena vakṣasā BhKir_14.40b	bRhat-SilA-vapra-Ganena vakzasA BhKiH-_14.40b
   bṛhatas tarūn gamayatāvanatim BhKir_6.26b	bRhataH tarUn gamayatA-avanatim BhKiH-_6.26b
   bṛhatikām iva raucanikīṃ rucam BhKir_5.45b	bRhatikAm iva rOcanikIm rucam BhKiH-_5.45b
   bṛhadudvahañ jaladanādi BhKir_12.42a	bRhat-udvahan jalada-na-Adi BhKiH-_12.42a
   bṛhaddyutīn duḥkhakṛtātmalābhaṃ BhKir_3.32c	bRhat-dyutIn duHKa-kRta-Atma-lABam BhKiH-_3.32c
   bṛhanti mattadvipabṛṃhitāni BhKir_16.8b	bRhanti matta-dvipa-bRMhitAni BhKiH-_16.8b
   bṛhanniveśaiś ca vadhūpayodharaiḥ BhKir_8.32b	bRhat-niveSEH ca vaDu-upayoDarEH BhKiH-_8.32b
   brahmaṇaḥ padam upaitum icchatām BhKir_5.22b	brahmaNaH padam upEtum icCatAm BhKiH-_5.22b
   brūhi tvaṃ hi tapodhana BhKir_11.71d	brUhi tvam hi tapoDana BhKiH-_11.71d
   bhagavān yathā vipulasattvatayā BhKir_18.14b	BagavAn yaTA vipula-sattva-tayA BhKiH-_18.14b
   bhaṅgaḥ sa jiṣṇor dhṛtim unmamātha BhKir_17.29d	BaFgaH sa jizNoH DRtim unmamATa BhKiH-_17.29d
   bhayam ity eṣa na bhūtaye 'bhimānaḥ BhKir_13.7b	Bayam iti eza na BUtaye aBimAnaH BhKiH-_13.7b
   bhayaviplutam īkṣito nabhaḥsthair BhKir_13.24c	Baya-viplutam IkzitaH naBaH-sTEH BhKiH-_13.24c
   bhayaṃkaraḥ prāṇabhṛtāṃ BhKir_11.17a	BayaMkaraH prANaBRtAm BhKiH-_11.17a
   bhayaṃ vibhedāya dhiyaḥ pradarśitam BhKir_14.7b	Bayam viBedAya DiyaH pradarSitam BhKiH-_14.7b
   bhayād ivāśliṣya jhaṣāhate 'mbhasi BhKir_8.46a	BayAt iva-ASlizya Jaza-Ahate amBasi BhKiH-_8.46a
   bhartṛbhiḥ praṇayasambhramadattāṃ BhKir_9.54a	BartRBiH praNaya-samBrama-dattAm BhKiH-_9.54a
   bhartṛṣūpasakhi nikṣipatīnām BhKir_9.66a	BartRzu-upasaKi nikzipatInAm BhKiH-_9.66a
   bhavataḥ smaratāṃ sadāsane BhKir_18.38a	BavataH smaratAm sadA-Asane BhKiH-_18.38a
   bhavatā tasya tataḥ kṛtāvadheḥ BhKir_2.46b	BavatA tasya tatas kRta-avaDeH BhKiH-_2.46b
   bhavatā dhīratayādharīkṛtaḥ BhKir_2.40d	BavatA DIra-tayA-aDarIkRtaH BhKiH-_2.40d
   bhavati jitendriyatā yad ātmarakṣā BhKir_10.35b	Bavati jita-indriya-tA yat Atma-rakzA BhKiH-_10.35b
   bhavati dīptir adīpitakaṃdarā BhKir_5.48c	Bavati dIptiH adIpita-kaMdarA BhKiH-_5.48c
   bhavatībhir anyamunivad vikṛtiḥ BhKir_6.45b	BavatIBiH anya-muni-vat vikRtiH BhKiH-_6.45b
   bhavatu diśati nānyakāminībhyas BhKir_10.55c	Bavatu diSati na-anya-kAminIByaH BhKiH-_10.55c
   bhavatkṛtāṃ bhūtim apekṣamāṇāḥ BhKir_3.49b	Bavat-kRtAm BUtim apekzamANAH BhKiH-_3.49b
   bhavaty adhikṣepa ivānuśāsanam BhKir_1.28b	Bavati aDikzepaH iva-anuSAsanam BhKiH-_1.28b
   bhavaty apāye parimohinī matiḥ BhKir_14.19d	Bavati apAye parimohinI matiH BhKiH-_14.19d
   bhavadupakaṇṭham upāgataṃ viveda BhKir_10.47d	Bavat-upakaNWam upAgatam viveda BhKiH-_10.47d
   bhavadbhir adhunārāti- BhKir_15.17a	BavadBiH aDunA-arAti BhKiH-_15.17a
   bhavantam etarhi manasvigarhite BhKir_1.32a	Bavantam etarhi manasvi-garhite BhKiH-_1.32a
   bhavanti gomāyusakhā na dantinaḥ BhKir_14.22d	Bavanti gomAyu-saKAH na dantinaH BhKiH-_14.22d
   bhavanti te sabhyatamā vipaścitāṃ BhKir_14.4a	Bavanti te saByatamAH vipaScitAm BhKiH-_14.4a
   bhavanti bhavyeṣu hi pakṣapātāḥ BhKir_3.12d	Bavanti Bavyezu hi pakzapAtAH BhKiH-_3.12d
   bhavanti māyāviṣu ye na māyinaḥ BhKir_1.30b	Bavanti mAyAvizu ye na mAyinaH BhKiH-_1.30b
   bhavanti vaśyāḥ svayam eva dehinaḥ BhKir_1.33b	Bavanti vaSyAH svayam eva dehinaH BhKiH-_1.33b
   bhavanty aneke jaladher ivormayaḥ BhKir_14.61d	Bavanti aneke jalaDeH iva-UrmayaH BhKiH-_14.61d
   bhava bhaktigamyam adhigamya janāḥ BhKir_18.22b	Bava Bakti-gamyam aDigamya janAH BhKiH-_18.22b
   bhavavītaye na hi tathā sa vidhiḥ BhKir_6.44c	Bava-vItaye na hi taTA sa viDiH BhKiH-_6.44c
   bhavavītaye hatabṛhattamasām BhKir_6.41a	Bava-vItaye hata-bRhattamasAm BhKiH-_6.41a
   bhavādṛśāś ced adhikurvate parān BhKir_1.43c	BavAdRSAH ced aDikurvate parAn BhKiH-_1.43c
   bhavādṛśeṣu pramadājanoditaṃ BhKir_1.28a	BavAdRSezu pramadA-jana-uditam BhKiH-_1.28a
   bhavān mā sma vadhīn nyāyyaṃ BhKir_11.30c	BavAn mA sma vaDIn nyAyyam BhKiH-_11.30c
   bhaved api svasti carācarāya vā BhKir_14.62b	Bavet api svasti carAcarAya vA BhKiH-_14.62b
   bhavodbhavārādhanam ādideśa BhKir_11.80d	BavodBava-ArADanam AdideSa BhKiH-_11.80d
   bhavodbhavenātmani cāpayaṣṭiḥ BhKir_17.52b	BavodBavena-Atmani cApayazwiH BhKiH-_17.52b
   bhavyo bhavann api muner iha śāsanena BhKir_5.49a	BavyaH Bavan api muneH iha SAsanena BhKiH-_5.49a
   bhānumān upapayodhi lalambe BhKir_9.1d	BAnumAn upapayoDi lalambe BhKiH-_9.1d
   bhāvam ānayane satyāḥ BhKir_11.50c	BAvam Anayane satyAH BhKiH-_11.50c
   bhāsas taḍidvilasitāni viḍambayanti BhKir_5.46d	BAsaH taxit-vilasitAni vixambayanti BhKiH-_5.46d
   bhāsvatā nidadhire bhuvanānām BhKir_9.12c	BAsvatA nidaDire BuvanAnAm BhKiH-_9.12c
   bhittveva bhābhiḥ savitur mayūkhāñ BhKir_16.51a	BittvA-iva BABiH savituH mayUKAn BhKiH-_16.51a
   bhinnajaladhijalanādaguru BhKir_12.32c	Binna-jalaDi-jala-nAda-guru BhKiH-_12.32c
   bhinnatimiranikaraṃ na jahe BhKir_12.12c	Binna-timira-nikaram na jahe BhKiH-_12.12c
   bhinnaḥ śivaśilīmukhaiḥ BhKir_15.44b	BinnaH Siva-SilImuKEH BhKiH-_15.44b
   bhinnākṛtiṃ jyāṃ dadṛśuḥ sphurantīṃ BhKir_17.24c	Binna-AkRtim jyAm dadRSuH sPurantIm BhKiH-_17.24c
   bhinnailāsurabhim uvāha gandhavāhaḥ BhKir_7.38d	Binna-elA-suraBim uvAha ganDavAhaH BhKiH-_7.38d
   bhītabhīta iva śītamayūkhaḥ BhKir_9.26d	BIta-BItaH iva SIta-mayUKaH BhKiH-_9.26d
   bhītāḥ śitaśarābhītāḥ BhKir_15.31c	BItAH Sita-Sara-aBItAH BhKiH-_15.31c
   bhīmaninadapihitorubhuvaḥ BhKir_12.44c	BIma-ninada-pihita-uru-BuvaH BhKiH-_12.44c
   bhīmārjanaphalānanāḥ BhKir_15.42b	BIma-arjana-Pala-AnanAH BhKiH-_15.42b
   bhīme bhujālambam ivāridurge BhKir_17.3d	BIme Buja-Alambam iva-ari-durge BhKiH-_17.3d
   bhīṣme 'py asambhāvyam idaṃ gurau vā BhKir_16.23c	BIzme api asamBAvyam idam gurO vA BhKiH-_16.23c
   bhujagarājasitena nabhaḥśriyā BhKir_5.4a	Bujaga-rAja-sitena naBaH-SriyA BhKiH-_5.4a
   bhujaṅgapāśān bhujavīryaśālī BhKir_16.36c	BujaFga-pASAn Buja-vIrya-SAlI BhKiH-_16.36c
   bhujadvitīyo 'pi vijetum icchayā BhKir_17.60b	Buja-dvitIyaH api vijetum icCayA BhKiH-_17.60b
   bhujayugena vibhajya samādade BhKir_18.7c	Buja-yugena viBajya samAdade BhKiH-_18.7c
   bhujālambaṃ na lambhayet BhKir_11.57d	Buja-Alambam na lamBayet BhKiH-_11.57d
   bhuvanaparibhavī na yat tadānīṃ BhKir_10.37c	Buvana-pariBavI na yat tadAnIm BhKiH-_10.37c
   bhuvanavivare durāsadam BhKir_12.11b	Buvana-vivare durAsadam BhKiH-_12.11b
   bhuvam anibhṛtavelāvīcibāhuḥ payodhiḥ BhKir_3.60d	Buvam aniBRta-velA-vIci-bAhuH payoDiH BhKiH-_3.60d
   bhuvam abhyupetya manujeṣu tiṣṭhataḥ BhKir_12.35d	Buvam aByupetya manujezu tizWataH BhKiH-_12.35d
   bhuvaḥ kṣaṇaṃ nimnatayeva bhejire BhKir_14.33d	BuvaH kzaNam nimna-tayA-iva Bejire BhKiH-_14.33d
   bhūtasaṃgha iva na tvam upetaḥ BhKir_18.34b	BUta-saMGaH iva na tvam upetaH BhKiH-_18.34b
   bhūtānām adhipatinā śilāvitāne BhKir_17.61b	BUtAnAm aDipatinA SilA-vitAne BhKiH-_17.61b
