   Rudrabhaṭṭaḥ: Śṛṅgāratilakaḥ	Rudra-BawwaH: ŚRFgAratilakaH
   dhṛti-dhāma puṣpa-dhanuṣaḥ prāpnoti dhanyo ratam // ST_1.68a //	DRti--DAma puzpa--DanuzaH prApnoti DanyaH ratam // ST_1.68aH //
   īrṣyā kula-strīṣu na nāyakasya $ niḥśaṅka-kelir na parāṅganāsu &	IrzyA kula-strIzu na nAyakasya $ niHSaFka-keliH na para-aFganAsu &
   veśyāsu caitad dvitayaṃ prarūḍhaṃ % sarvasvam etās tad aho smarasya //	veSyAsu ca-etat dvitayam prarUXam % sarva-svam etAH tat aho smarasya //
   ST_1.69 // (Skm 556)	ST_1.69 // (Skm 556)
   kupyat pināki-netrāgni- $ jvālā-bhasmīkṛtaḥ purā &	kupyat pinAki-netra-agni $ jvAlA--BasmIkRtaH purA &
   ujjīvati punaḥ kāmo % manye veśyāvalokitaiḥ // ST_1.70 // (Skm 557)	ujjIvati punar kAmaH % manye veSyA-avalokitEH // ST_1.70 // (Skm 557)
   ānandayanti yuktyā tāṃ $ sevitā ghnanti cānyathā &	Anandayanti yuktyA tAm $ sevitAH Gnanti ca-anyaTA &
   durvijñeyāḥ prakṛtyaiva % tasmād veśyā viṣopamāḥ // ST_1.71 //	durvijQeyAH prakRtyA-eva % tasmAt veSyAH viza-upamAH // ST_1.71 //
   svādhīna-patikotkā ca $ tathā vāsaka-sajjikā &	svADIna-patika-utkA ca $ taTA vAsaka-sajjikA &
   sandhitā vipralabdhā ca % khaṇḍitā cābhisārikā // ST_1.72 //	sanDitA vipralabDA ca % KaNxitA ca-aBisArikAH // ST_1.72 //
   proṣita-preyasī caivaṃ $ nāyikāḥ pūrva-sūcitāḥ &	prozita--preyasI ca-evam $ nAyikAH pUrva-sUcitAH &
   tā evātra bhavanty aṣṭāv % avasthābhiḥ punar yathā // ST_1.73 //	tAH eva-atra Bavanti azwO % avasTABiH punar yaTA // ST_1.73 //
   yasyā rati-guṇākṛṣṭaḥ $ patiḥ pārśvaṃ na muñcati &	yasyAH rati-guNa-AkRzwaH $ patiH pArSvam na muQcati &
   vicitra-vibhramāsaktā % svādhīna-patikā yathā // ST_1.74 //	vicitra-viBrama-AsaktA % svADIna-patikAH yaTA // ST_1.74 //
   likhati kucayoḥ patraṃ kaṇṭhe niyojayati srajaṃ $ tilakam alike kurvan	liKati kucayoH patram kaNWe niyojayati srajam $ tilakam alike kurvan
   gaṇḍād udasyati kuntalān &	gaNxAt udasyati kuntalAn &
   iti caṭu-śatair vāraṃ vāraṃ vapuḥ paritaḥ spṛśan % viraha-vidhuro nāsyāḥ	iti cawu-SatEH vAram vAram vapuH paritas spRSan % viraha--viDuraH na-asyAH
   pārśvaṃ vimuñcati vallabhaḥ // ST_1.74a // (Skm 661)	pArSvam vimuQcati vallaBaH // ST_1.74aH // (Skm 661)
   utkā bhavati sā yasyāḥ $ saṅketaṃ nāgataḥ priyaḥ &	utkA Bavati sA yasyAH $ saFketam na-AgataH priyaH &
   tasyānāgamane hetuṃ % cintayanty ākulā yathā // ST_1.75 //	tasya-anAgamane hetum % cintayanti AkulAH yaTA // ST_1.75 //
   kiṃ ruddhaḥ priyayā kayācid athavā sakhyā tayodvejitaḥ $ kiṃ vā	kim rudDaH priyayA kayAcid aTavA saKyA tayA-udvejitaH $ kim vA
   kāraṇa-gauravaṃ kim api yan nādyāgato vallabhaḥ &	kAraNa--gOravam kim api yat na-adya-AgataH vallaBaH &
   ity ālocya mṛgīdṛśā karatale saṃsthāpya vaktrāmbujaṃ % dīrghe niḥśvasitaṃ	iti Alocya mRgI-dRSA kara-tale saMsTApya vaktra-ambujam % dIrGe niHSvasitam
   ciraṃ ca ruditaṃ kṣiptāś ca puṣpa-srajaḥ // ST_1.75a //	ciram ca ruditam kziptAH ca puzpa-srajaH // ST_1.75aH //
   bhaved vāsaka-sajjāsau $ sajjitāṅgaratālayā &	Bavet vAsaka--sajjA-asO $ sajjita-aFgaratAlayA &
   niśityāgamanaṃ bhartur % dvārekṣaṇa-parā yathā // ST_1.76 //	niSiti-Agamanam BartuH % dvAra-IkzaNa--parAH yaTA // ST_1.76 //
   dṛṣṭvā darpaṇa-maṇḍale nija-mukhaṃ bhūṣāṃ manohāriṇīṃ $ dīpārciḥ-kapiśaṃ	dRzwvA darpaNa--maNxale nija--muKam BUzAm manohAriNIm $ dIpa-arciH-kapiSam
   ca mohana-gṛhaṃ trasyāt-kuraṅgī-dṛśā &	ca mohana--gRham trasya-at--kuraFgI--dRSA &
   evaṃ nau surataṃ bhaviṣyati cirād adyeti sānandayā % mandaṃ	evam nO suratam Bavizyati cirAt adya-iti sa-AnandayA % mandam
   kānta-didṛkṣayātilalitaṃ dvāre dṛg-āropitṃ // ST_1.76a // (Skm 657)	kAnta-didRkzayA-ati-lalitam dvAre dRS--Aropitm // ST_1.76aH // (Skm 657)
   nirasto manyunā kānto $ namann api yayā punaḥ &	nirastaH manyunA kAntaH $ naman api yayA punar &
   duḥsthitā taṃ vinā sāti- % sandhitābhimatā yathā // ST_1.77 //	duHsTitA tam vinA sAti % sanDitA-aBimatAH yaTA // ST_1.77 //
   yat-pāda-praṇataḥ priyaḥ paruṣayā vācā sa nirvārito $ yat-sakhyā na kṛtaṃ	yat-pAda--praNataH priyaH paruzayA vAcA sa nirvAritaH $ yat--saKyA na kRtam
   vaco jaḍatayā yan-manyur eko dhṛtaḥ &	vacaH jaxa-tayA yan-manyuH ekaH DRtaH &
   pāpasyāsya phalaṃ tad etad adhunā yac candanendu-dyuti- %	pApasya-asya Palam tat etat aDunA yat candana-indu-dyuti %
   prāleyāmbu-samīra-paṅkaja-visair gātraṃ muhur dahyate // ST_1.77a // (Skm	prAleya-ambu--samIra--paFkaja-visEH gAtram muhur dahyate // ST_1.77aH // (Skm
   preṣya dūtīṃ svayaṃ dattvā $ saṅketaṃ nāgataḥ priyaḥ &	prezya dUtIm svayam dattvA $ saFketam na-AgataH priyaH &
   yasyāstena vinā duḥsthā % vipralabdhā tu sā yathā // ST_1.78 //	yasyAH-tena vinA duHsTA % vipralabDA tu sA yaTA // ST_1.78 //
   yat saṅketa-gṛhaṃ priyeṇa kathitaṃ sampreṣya dūtīṃ svayaṃ $ tac chūnyaṃ	yat saFketa-gRham priyeNa kaTitam samprezya dUtIm svayam $ tat SUnyam
   suciraṃ niṣevya sudṛśā paścāc ca bhagnāśayā &	su-ciram nizevya su-dRSA paScAt ca Bagna-ASayAH &
   sthānopāsana-sūcanāya vigalat-sāndrāñjanair locanair % bhūmāv	sTAna-upAsana--sUcanAya vigalat--sAndra-aQjanEH locanEH % BUmO=-
   akṣaramālikeva likhitā dīrghaṃ rudatyā śanaiḥ // ST_1.78a // (Skm 670)	akzaramAlikA-iva liKitAH dIrGam rudatyA SanEs // ST_1.78aH // (Skm 670)
   kutaścin nāgato yasyā $ ucite vāsake priyaḥ &	kutaScid na-AgataH yasyAH $ ucite vAsake priyaH &
   tad-anāgam asantaptā % khaṇḍitā sā matā yathā // ST_1.79 //	tad--anAgam asantaptA % KaNxitA sA matAH yaTA // ST_1.79 //
   sotkaṇṭhaṃ ruditaṃ sakampam asakṛd yātaṃ sa-bāṣpaṃ ciraṃ $ cakṣur dikṣu	sa-utkaNWam ruditam sa-kampam asakRt yAtam sa-bAzpam ciram $ cakzuH dikzu
   niveśitaṃ sa-karuṇaṃ sakhyā samaṃ jalpitam &	niveSitam sa-karuNam saKyA samam jalpitam &
   nāgacchaty ucite'pi vāsaka-vidhau kānte samudvignayā % tat tat kiṃcid	na-AgacCati ucite-api vAsaka-viDO kAnte samudvignayA % tat tat kiMcid-
   anuṣṭhitaṃ mṛgadṛśā no yatra vācāṃ gatiḥ // ST_1.79a // (Skm 669)	anuzWitam mRga-dRSA naH yatra vAcAm gatiH // ST_1.79aH // (Skm 669)
   yā nirlajjīkṛtā bāḍhaṃ $ madane madanena ca &	yA nirlajjIkRtA bAXam $ madane madanena ca &
   abhiyāti priyaṃ sābhi- % sāriketi matā yathā // ST_1.80 //	aBiyAti priyam sABi % sArikA-iti matAH yaTA // ST_1.80 //
   no bhītaṃ taḍito dṛśā jalamucā tad-darśanākāṅkṣayā $ no garjir gaṇitā	no BItam taxitaH dRSA jalamucA tad--darSana-AkAFkzayA $ naH garjiH gaNitA
   bhṛśaṃ śruti-mukhaṃ tad-vāci saṃcintya ca &	BRSam Sruti-muKam tat--vAci saMcintya ca &
   dhārāpātasamudbhavā na ca matā pīḍā tad-āliṅganaṃ % vāñchantyā	DArA-pAta-samudBavA na ca matA pIxA tat--AliFganam % vAQCantyA
   dayitābhisāraṇa-vidhau tanvyā paraṃ tat-param // ST_1.80a //	dayitA-aBisAraNa--viDO tanvyA param tat--param // ST_1.80aH //
   kutaścit kāraṇādyasyāḥ $ patir deśāntaraṃ gataḥ &	kutaScid kAraNAt-yasyAH $ patiH deSa-antaram gataH &
   dattvāvadhiṃ bhṛśārtā sā % proṣita-preyasī yathā // ST_1.81 //	dattvA-avaDim BRSa-ArtA sA % prozita--preyasI yaTA // ST_1.81 //
   utkṣipyālaka-mālikāṃ vilulitām āpāṇḍu-gaṇḍa-sthalā- $	utkzipya-alaka-mAlikAm vilulitAm ApANxu--gaNxa-sTalA $
   dviśliṣyad-valaya-prapāta-bhayataḥ prodyamya kiñcit karau &	dvi-Slizyat--valaya--prapAta--BayataH prodyamya kiQcid karO &
   dvāra-stambha-niṣaṇṇa-gātra-latikā kenāpi puṇyātmanā %	dvAra--stamBa--nizaNNa--gAtra-latikA kena-api puNya-AtmanA %
   mārgālokana-datta-dṛṣṭir abalā tat-kālam āliṅgyate // ST_1.81a // (Skm	mArga-Alokana-datta-dRzwiH abalA tat-kAlam AliFgyate // ST_1.81aH // (Skm
   niḥśvāsa-santāpa-sakhī-vacorti- $ cintāśru-pātādi-yutāḥ sakhedāḥ &	niHSvAsa--santApa--saKI--vacorti $ cintA-aSru--pAta-Adi--yutAH sa-KedAH &
   vācyā pralabdhāgata-bhartṛkotkā- % tisandhitāḥ khaṇḍitayā sahātra //	vAcyA pralabDa-Agata--BartRkA-utkA % tisanDitAH KaNxitayA saha-atra //
   ST_1.82 //	ST_1.82 //
   vicitra-maṇḍanā hṛṣṭā $ bhavet svādhīna-bhartṛkā &	vicitra--maNxanA hRzwA $ Bavet svADIna--BartRkA &
   tathā vāsaka-sajjāpi % sā kiṃ tv āgantuka-priyā // ST_1.83 //	taTA vAsaka-sajjA-api % sA kim tu Agantuka-priyAH // ST_1.83 //
   kulajānyāṅganā veśyā $ tridhā syād abhisārikā &	kula-jAnya-aFganA veSyA $ triDA syAt aBisArikA &
   yathaivoktās tathaivānyāḥ % svādhīna-patikādayaḥ // ST_1.84 //	yaTA-eva-uktAH taTA-eva-anyAH % svADIna--patika-AdayaH // ST_1.84 //
   kulajā saṃvṛtā trastā $ savrīḍā ca drutaṃ vrajet &	kula-jA saMvRtA trastA $ sa-vrIxA ca drutam vrajet &
   nāyakaṃ para-nārī ca % samantād anavekṣitā // ST_1.85 //	nAyakam para-nArI ca % samantAt anavekzitAH // ST_1.85 //
   sakhī-yuktā madādhikyāt $ sphāritākṣī na śaṅkitā &	saKI-yuktA mad-a-ADikyAt $ sPArita-akzI na SaFkitA &
   sa-śabdābharaṇā kāmaṃ % veśyā sarati nāyakam // ST_1.86 //	sa--Sabda-ABaraNA kAmam % veSyA sarati nAyakam // ST_1.86 //
   trayodaśa-vidhā svīyā $ dvividhā ca parāṅganā &	trayodaSa-viDA svIyA $ dviviDA ca para-aFganAH &
   ekā veśyā punaś cāṣṭāv % avasthā-bhedato'tra tāḥ // ST_1.87 //	ekA veSyA punar ca-azwO % avasTA-BedataH-atra tAH // ST_1.87 //
   punaś ca tās tridhā sarvā $ uttamā madhyamādhamā &	punar ca tAH triDA sarvAH $ uttamA maDyama-aDamA &
   itthaṃ śatatrayaṃ tāsām % aśītiś catur-uttarā // ST_1.88 //	itTam Sata-trayam tAsAm % aSItiH catur--uttarA // ST_1.88 //
   doṣānurūpa-kopā yā- $ [a]nunītā ca prasīdati &	doza-anurUpa-kopA yA $ [a]nunItA ca prasIdati &
   rajyate ca bhṛśaṃ nāthe % guṇa-hāryottameti sā // ST_1.89 //	rajyate ca BRSam nATe % guNa--hAryA-uttamA-iti sA // ST_1.89 //
   kānte kiṃ kupitāsi kaḥ para-jane prāṇeśa kopo bhavet $ ko'yaṃ subhru paras	kAnte kim kupitA-asi kaH para--jane prANeSa kopaH Bavet $ kaH-ayam suBru para-s
   tvam eva dayite dāso'smi kas te paraḥ &	tvam eva dayite dAsaH-asmi kaH te paraH &
   ity uktvā praṇataḥ priyaḥ kṣititalād utthāpya sānandayā %	iti uktvA praNataH priyaH kziti-talAt utTApya sa-AnandayA %
   netrāmbhaḥ-kaṇikāṅkite stana-taṭe tanvyā samāropitaḥ // ST_1.89a //	netra-amBaH--kaNikA-aFkite stana--tawe tanvyA samAropitaH // ST_1.89aH //
   doṣe svalpe'pi yā kopaṃ $ dhatte kaṣṭena muñcati &	doze su-alpe-api yA kopam $ Datte kazwena muQcati &
   prayāti karuṇād rāgaṃ % madhyamā sā matā yathā // ST_1.90 //	prayAti karuNAt rAgam % maDyamA sA matAH yaTA // ST_1.90 //
   visphāra-sphuritādharāpi vikasad-gaṇḍa-sthala-praskhala- $	visPAra--sPurita-aDarA-api vikasat--gaNxa--sTala--prasKala $
   dgharmāmbhaḥ-kaṇikāpi bhaṅguratara-bhrū-bheda-bhūṣāpy alam &	dGarmAmBaH--kaNikA-api BaFguratara--BrU--Beda--BUzA-api alam &
   pādāntaḥ-praṇate priye prakaṭayaty antaḥ prasādaṃ priyā %	pAda-antaH--praNate priye prakawayati antar prasAdam priyA %
   keśāramanrūpuṇḍalīṣu valitānunmocayantī śanaiḥ // ST_1.90a //	keSAra-manrU-puNxalIzu valitAn-unmocayantI SanEs // ST_1.90aH //
   yā kupyati vinā doṣaṃ $ snihyaty anunayaṃ vinā &	yA kupyati vinA dozam $ snihyati anunayam vinA &
   nirhetuka-pravṛttiś ca % cala-cittāpi sādhamā // ST_1.91 //	nirhetuka--pravRttiH ca % cala--cittA-api sADamA // ST_1.91 //
   yatrādhaḥ-kṛta-kāma-kārmuka-katho bhrāmyad-bhuvor vibhramaḥ $ sadyaḥ	yatra-aDas---kRta-kAma--kArmuka-kaTaH BrAmyat--BuvoH viBramaH $ sadyas-
   prodgata-candrakānti-jayinī yasmin kapola-cchaviḥ &	prodgata--candra-kAnti--jayinI yasmin kapola-=-CaviH &
   yatra sveda-kaṇāvalupta-mahimā hāro'py uroja-sthale % ko'yaṃ mānini	yatra sveda--kaNA-avalupta--mahimA hAraH-api uroja--sTale % kaH-ayam mAnini
   mat-praṇāma-vimukhaḥ pratyagra-māna-grahaḥ // ST_1.91a //	mat--praNAma--vimuKaH pratyagra-mAna-grahaH // ST_1.91aH //
   jāti-kāla-vayovasthā- $ bhāva-kandarpa-nāyakaiḥ &	jAti-kAla--vayaH-vasTA $ BAva--kandarpa-nAyakEH &
   itarā pay asaṅkhyāḥ syur % noktā vistara-bhītitaḥ // ST_1.92 //	itarA pay asaFKyAH syuH % na-uktAH vistara--BItitaH // ST_1.92 //
   ity ādi sakalaṃ jñātvā $ svayaṃ cālokya tad-vidām &	iti Adi sakalam jQAtvA $ svayam ca-Alokya tad--vidAm &
   kavīnāṃ ca viśeṣoktyā % jñātavyāḥ sakalā imāḥ // ST_1.93 //	kavInAm ca viSeza-uktyAH % jQAtavyAH sakalAH imAH // ST_1.93 //
   romāñca-vepathu-stambha- $ sveda-netrāmbu-vibhramāḥ &	romAQca--vepaTu--stamBa $ sveda--netra-ambu--viBramAH &
   vācyāḥ saṃyoga-śṛṅgāre % kavinā nāyikāśritāḥ // ST_1.94 //	vAcyAH saMyoga--SRFgAre % kavinA nAyikA-ASritAH // ST_1.94 //
   sambandhi-mitra-dvija-rāja-tīkṣṇa- $ varṇādhikānāṃ pramadā na gamyāḥ &	sambanDi--mitra-dvija-rAja--tIkzNa $ varNa-aDikAnAm pramadAH na gamyAH &
   vyaṅgās tathā pravrajitā vibhinna- % mantrāś ca dharmārtha-manobhava-jñaiḥ	vyaFgAH taTA pravrajitAH viBinna % mantrAH ca Darma-arTa--manoBava--jQEH
   // ST_1.95 //	// ST_1.95 //
   anena mārgeṇa viśeṣa-ramyaṃ $ sambhoga-śṛṅgāram imaṃ vitanvan &	anena mArgeNa viSeza--ramyam $ samBoga--SRFgAram imam vitanvan &
   bhavet kavir bhāva-rasānurakto % vidagdha-goṣṭhī-vanitā-manojñaiḥ //	Bavet kaviH BAva--rasa-anuraktaH % vidagDa---gozWI--vanitA--manojQEH //
   ST_1.96 //	ST_1.96 //
   iti śrī-rudra-bhaṭṭa-viracite śṛṅgāra-tilakābhidhāne kāvya-rasālaṅkāre	iti SrI--rudra-Bawwa-viracite SRFgAra-tilaka-aBiDAne kAvya--rasa-alaFkAre
   sambhoga-śṛṅgāro nāma prathamaḥ paricchedaḥ	samBoga-SRFgAraH nAma praTamaH paricCedaH
   dvitīya-paricchedaḥ	dvitIya--paricCedaH
   vipralambhābhidhāno'yaṃ śṛṅgāraḥ syāc caturvidhaḥ &	vipralamBa-aBiDAnaH-ayam SRFgAraH syAt caturviDaH &
   pūrvānurāgo mānākhyaḥ pravāsaḥ karuṇātmakaḥ // ST_2.1 //	pUrva-anurAgaH mAna-AKyaH pravAsaH karuNA-AtmakaH // ST_2.1 //
   dampatyor darśanād eva samutpannānurāgayoḥ &	dampatyoH darSanAt eva samutpanna-anurAgayoH &
   jñeyaḥ pūrvānurāgo'yam aprāptau ca daśā yathā // ST_2.2 //	jQeyaH pUrva-anurAgaH-ayam aprAptO ca daSA yaTA // ST_2.2 //
   kiṃ candanair racayase nu mṛṇāla-śayyāṃ $ mā mā mamāli kuru	kim candanEH racayase nu mRNAla-SayyAm $ mA mA mama-ali kuru
   komala-tāla-vṛntam &	komala-tAla-vRntam &
   muñcāgrahaṃ vikaca-paṅkaja-yojaneṣu % tat-saṅgamaḥ param apākurute	muQcAgraham vikaca--paFkaja--yojanezu % tat-saFgamaH param apAkurute
   smarāgnim // ST_2.2a //	smara-agnim // ST_2.2aH //
   yat sārair iva paṅkajasya ghaṭitaṃ yac candra-garbhād iva $ protkīrṇaṃ yad	yat sArEH iva paFkajasya Gawitam yat candra-garBAt iva $ protkIrNam yat-
   anaṅga-sāyaka-śikhābhāseva saṃvardhitam &	anaFga-sAyaka-SiKA-ABAsA-iva saMvarDitam &
   yat saṃsicya sudhā-rasair iva rater āsthāna-bhūmīkṛtaṃ % tad bhūyo'pi kadā	yat saMsicya suDA-rasEH iva rateH AsTAna--BUmIkRtam % tat BUyas-api kadA
   saroruha-dṛśaḥ paśyāmi tasyā mukham // ST_2.2b //	saroruha-dRSaH paSyAmi tasyAH muKam // ST_2.2B //
   mṛṇāla-kadalī-candra- $ candanāmbu-ruhādikam &	mRNAla--kadalI-candra $ candana-ambu-ruha-Adikam &
   tatrānayoḥ smarātaṅka- % śāntaye naiva sevitam // ST_2.3 //	tatra-anayoH smara-AtaFka % SAntaye na-eva sevitam // ST_2.3 //
   ālokālāpa-saṃrūḍha- $ rāgākulita-cetasoḥ &	Aloka-AlApa--saMrUXa $ rAga-Akulita-cetasoH &
   tayor bhaved asaṃprāptau % daśāvasthaḥ smaro yathā // ST_2.4 //	tayoH Bavet asaMprAptO % daSa-avasTaH smaraH yaTA // ST_2.4 //
   abhilāṣo'tha cintā syāt $ smṛtiś ca guṇa-kīrtanam &	aBilAzaH-aTa cintA syAt $ smRtiH ca guNa-kIrtanam &
   udvego'tha pralāpaḥ syād % unmādo vyādhir eva ca // ST_2.5 //	udvegaH-aTa pralApaH syAt % unmAdaH vyADiH eva ca // ST_2.5 //
   jaḍatā maraṇaṃ caiva $ daśamaṃ jāyate dhruvam &	jaxatA maraNam ca-eva $ daSamam jAyate Druvam &
   asaṃprāptau bhavanty etās % tayor daśa daśā yathā // ST_2.6 //	asaMprAptO Bavanti etAH % tayoH daSa daSA yaTA // ST_2.6 //
   vyavasāyo bhaved yatra $ bāḍhaṃ tat-saṅgamāśayā &	vyavasAyaH Bavet yatra $ bAXam tat-saFgamASayA &
   saṅkalpākula-cittatvāt % so'bhilāṣaḥ smṛto yathā // ST_2.7 //	saFkalpa-Akula--citta-tvAt % saH-aBilAzaH smRtaH yaTA // ST_2.7 //
   praviśati yathā gehe'kasmād bahiś ca viceṣṭate $ vadati ca yathā sakhyā	praviSati yaTA gehe-akasmAt bahis ca vicezwate $ vadati ca yaTA saKyA
   sārdhaṃ sahāsam ihotsukā &	sArDam sa-hAsam iha-utsukA &
   dayita-vadanāloke mandaṃ yathā ca calaty asau % mṛga-dṛśi tathaitasyāṃ	dayita--vadana-Aloke mandam yaTA ca calati asO % mRga-dRSi taTA-etasyAm
   manye smareṇa kṛtaṃ padam // ST_2.7b // (Skm 959)	manye smareNa kRtam padam // ST_2.7B // (Skm 959)
   kathaṃ sa vallabhaḥ prāpyaḥ $ kiṃ kuryām asya siddhaye &	kaTam sa vallaBaH prApyaH $ kim kuryAm asya sidDaye &
   kathaṃ bhaved asau vaśya % iti cintā matā yathā // ST_2.8 //	kaTam Bavet asO vaSyaH % iti cintA matAH yaTA // ST_2.8 //
   satyaṃ durlabha eṣa vallabhatamo rāgo mamāsmin punaḥ $ ko'py anyo'sti	satyam durlaBaH eza vallaBatamaH rAgaH mama-asmin punar $ kaH-api anyaH-asti
   gurur na cātinipuṇāḥ sakhyo'sya saṃbodhane &	guruH na ca-ati-nipuNAH saKyaH-asya saMboDane &
   saṃcintyeti mṛgīdṛśā priyatame dṛṣṭe ślathāṃ mekhalāṃ % badhnantyā na	saMcintya-iti mRgI-dRSA priyatame dRzwe SlaTAm meKalAm % baDnantyA na
   gataṃ sthitaṃ na ca galad-vāso na vā saṃvṛtam // ST_2.8a //	gatam sTitam na ca galat--vAsaH na vA saMvRtam // ST_2.8aH //
   dveṣo yatrānya-kāryeṣu $ tad-ekāgraṃ ca mānasam &	dvezaH yatra-anya--kAryezu $ tad--ekAgram ca mAnasam &
   śvāsair manorathaiś cāpi % ceṣṭās tāḥ smaraṇaṃ yathā // ST_2.9 //	SvAsEH manoraTEH ca-api % cezwAH tAH smaraNam yaTA // ST_2.9 //
   induṃ nindati padma-kandala-dalais talpaṃ na vā manyate $ karpūraṃ kirati	indum nindati padma--kandala-dalEH talpam na vA manyate $ karpUram kirati
   prayāti na ratiṃ prāleya-dhārā-gṛhe &	prayAti na ratim prAleya--DArA--gRhe &
   śvāsaiḥ kevalam eva khedita-tanur dhyāyaty asau bālikā % yat tat ko'pi	SvAsEH kevalam eva Kedita-tanuH DyAyati asO bAlikA % yat tat kaH-api
   yuvā dhruvaṃ smara-suhṛc-cetasy amuṣāḥ sthitaḥ // ST_2.9a //	yuvA Druvam smara--su-hRc--cetasi amuzAH sTitaH // ST_2.9aH //
   saundarya-hasitālāpair $ nāsty anyas tat-samo yuvā &	sOndarya--hasita-AlApEH $ na-asti anyaH tat-samaH yuvA &
   iti vāṇī bhaved yatra % tad itthaṃ guṇa-kīrtanam // ST_2.10 //	iti vANI Bavet yatra % tat itTam guNa-kIrtanam // ST_2.10 //
   tad-vaktraṃ hasitendu-maṇḍalam iti sphāraṃ tad-ālokitaṃ $ sā vāṇī	tad--vaktram hasita-indu-maNxalam iti sPAram tat--Alokitam $ sA vANI
   jita-kāma-kārmuka-ravā saundaryam etasya tat &	jita-kAma--kArmuka--ravA sOndaryam etasya tat &
   itthaṃ saṃtatam āli vallabhatama-dhyāna-prasaktātmanaś % cetaś	itTam saMtatam Ali vallaBatama--DyAna--prasakta-AtmanaH % cetas-
   cumbita-kāla-kūṭam iva me kasmād idaṃ muhyati // ST_2.10a //	cumbita-kAla--kUwam iva me kasmAt idam muhyati // ST_2.10aH //
   yasmin ramyam aramyaṃ vā $ na ca harṣāya jāyate &	yasmin ramyam aramyam vA $ na ca harzAya jAyate &
   pradveṣaḥ prāṇitavye'pi % sa udvegaḥ smṛto yathā // ST_2.11 //	pradvezaH prANitavye-api % saH udvegaH smRtaH yaTA // ST_2.11 //
   agny-ākāraṃ kalayasi puraś cakravākīva candraṃ $ baddhotkampaṃ	agni--AkAram kalayasi puras cakravAkI-iva candram $ badDa-utkampam
   śiśira-marutā dahyase padminīva &	SiSira-marutA dahyase padminI-iva &
   prāṇān dhatse katham api balād gacchataḥ śalya-tulyāṃ- % stat kenāsau	prANAn Datse kaTam api balAt gacCataH Salya--tulyAn % stat kena-asO
   sutanu jantio mānmathas te vikāraḥ // ST_2.11a // (Skm 972)	su-tanu jantiaH mAnmaTaH te vikAraH // ST_2.11aH // (Skm 972)
   bambhramīti mano yasmin $ ratyautsukyād itas tataḥ &	bamBrami-iti manaH yasmin $ ratyOtsukyAt itas tatas &
   vācaḥ priyāśritā eva % sa pralāpaḥ smṛto yathā // ST_2.12 //	vAcaH priya-ASritAH eva % sa pralApaH smRtaH yaTA // ST_2.12 //
   itthaṃ tena nirīkṣitaṃ na ca mayāpy evaṃ samālokitas $ tenoktaṃ subhagena	itTam tena nirIkzitam na ca mayA-api evam samAlokitaH $ tena-uktam suBagena
   tatra na mayā dattaṃ vaco mandayā &	tatra na mayA dattam vacaH mandayA &
   tat satyaṃ kathayāli kiṃ sa subhagaḥ kupyen na mahyaṃ gata % ity uktvā	tat satyam kaTayAli kim sa suBagaH kupyet na mahyam gataH % iti uktvA
   sudṛśā kayāpi valita-grīvaṃ dṛśau sphārite // ST_2.12a //	sudRSA kayA-api valita--grIvam dRSO sPArite // ST_2.12aH //
   śvāsa-prarodanotkampa- $ vasudhollekhanair api &	SvAsa--prarodana-utkampa $ vasuDA-ulleKanEH api &
   vyāpāro jāyate yatra % sa unmādaḥ smṛto yathā // ST_2.13 //	vyApAraH jAyate yatra % saH unmAdaH smRtaH yaTA // ST_2.13 //
   devīvānimiṣekṣaṇā vilikhati kṣoṇīṃ śvasity uccakaiḥ $ kiṃcid dhyāyati	devI-ivA-nimiza-IkzaNA viliKati kzoNIm Svasiti uccakEs $ kiMcid DyAyati
   niścalā ca balavad romāñcitā kampate &	niScalA ca balavat romAQcitA kampate &
   rodity aṅga-gatāṃ vilokya suciraṃ vīṇām api vyāpṛtā % svalpair eva dinair	roditi aFga--gatAm vilokya su-ciram vINAm api vyApRtA % su-alpEH eva dinEH-
   iyaṃ vara-tanuḥ kenāpi saṃśikṣitā // ST_2.13a //	iyam vara-tanuH kena-api saMSikzitAH // ST_2.13aH //
   santāpa-vedanā-prāyo $ dīrgha-śvāsa-samākulaḥ &	santApa---vedanA--prAyaH $ dIrGa-SvAsa--samAkulaH &
   tanūkṛta-tanur vyādhir % aṣṭamo'yaṃ smṛto yathā // ST_2.14 //	tanUkRta-tanuH vyADiH % azwamaH-ayam smRtaH yaTA // ST_2.14 //
   tāpaḥ śoṣita-candanodaka-rasaḥ śvāsā vikīrṇotpalāḥ $	tApaH Sozita-candana-udaka--rasaH SvAsAH vikIrNa-utpalAH $
   karpūrābhibhava-pracaṇḍa-paṭimā gaṇḍa-sthale pāṇḍimā &	karpUra-aBiBava--pracaNxa--pawimA gaNxa-sTale pANximAH &
   mlāyad-bāla-mṛṇāla-nāla-lalitā prāptā tanus tānavaṃ % tanv-aṅgyāḥ kathitaḥ	mlAyad--bAla--mRNAla-nAla--lalitA prAptA tanuH tAnavam % tanu--aFgyAH kaTitaH
   smareṇa guruṇā ko'py eṣa kaṣṭa-kramaḥ // ST_2.14a //	smareNa guruNA kaH-api eza kazwa-kramaH // ST_2.14aH //
   akāṇḍe yatra huṃkāro $ dṛṣṭiḥ stabdhā gatā smṛtiḥ &	akANxe yatra huMkAraH $ dRzwiH stabDA gatA smRtiH &
