   Ārya Saṃghāṭa Sūtra	Ārya SaMGAwa SUtra
   caturaśītiṣu puṣpakūṭāgārasahasreṣu caturaśīti sahasrāṇyāsanānāṃ	caturaSItizu puzpa-kUwa-AgAra-sahasrezu caturaSIti sahasrANi-AsanAnAm
   prajñaptāni saptaratnamayāni prādurbhūtāni / sarvatra cāsane tathāgato	prajQaptAni sapta-ratna-mayAni prAdurBUtAni / sarvatra ca-Asane taTAgataH-
   niṣaṇṇo dharman deśayati / atha khalvayaṃ trisāhasramahāsāhasro lokadhātuḥ	nizaNNaH Darman deSayati / aTa Kalu-ayam tri-sAhasra-mahA-sAhasraH lokaDAtuH
   ṣaḍvikāraṃ prakampitaḥ //	zaz-vikAram prakampitaH //
   [SaSū 162] atha khalu sarvaśūro bodhisattvo mahāsattvo yena	[SaSU 162] aTa Kalu sarva-SUraH boDisattvaH mahAsattvaH yena
   bhagavāṃstenāṃjaliṃ praṇamya bhagavantametadavocat - ko bhagavan hetuḥ kaḥ	BagavAn=-tena-aMjalim praNamya Bagavantam-etat-avocat  kaH Bagavan hetuH kaH
   pratyayo yadimānyevaṃrūpāṇi rājagṛhe mahānagare prātihāryāṇi; sandṛśyante	pratyayaH yat-imAni-evaMrUpANi rAjagRhe mahA-nagare prAtihAryANi; sandRSyante
   / bhagavān āha - tadyathā kaścideva puruṣaḥ syāccañcalaścapalo	/ BagavAn Aha  tat-yaTA kaScid-eva puruzaH syAt-caQcalaH-capalaH-
   'haṃkāramamakārasthitaḥ sa ca daridro bhavet tasya rājā śīrṣaṃ	ahaMkAra-mamakAra-sTitaH sa ca daridraH Bavet tasya rAjA SIrzam
   parimārjayedatha sa puruṣo 'dhimānādyāvādrājadvāraṃ gatvā balasā taṃ	parimArjayet-aTa sa puruzaH aDimAnAt-yAvAt-rAjadvAram gatvA balasA tam
   rājakulaṃ praveṣṭuṃ icchedatha te rājāmātyapārṣadyāstaṃ puruṣaṃ	rAja-kulam pravezwum icCet-aTa te rAja-amAtya-pArzadyAH-tam puruzam
   gṛhṇīyurbahubhiśca prakāraistāḍayeyur	gRhNIyuH-bahuBiH-ca prakArEH-tAxayeyuH-
   [SaSū 163] atha tena kālena tena samayena sa rājā śṛṇuyād etaṃ prakṛtiṃ sa	[SaSU 163] aTa tena kAlena tena samayena sa rAjA SRNuyAt etam prakRtim sa
   daridrapuruṣo balasābhyantaraṃ praveṣṭukāma iti / śrutvā cāsyaivaṃ bhaved	daridra-puruzaH balasa-aByantaram pravezwu-kAmaH iti / SrutvA ca-asya-evam Bavet-
   avaśyamayaṃ mama ghātayitukāmaḥ tataḥ sa rājā ruṣṭastān pārṣadyānevaṃ	avaSya-mayam mama GAtayitu-kAmaH tatas sa rAjA ruzwaH-tAn pArzadyAn-evam
   vaded gacchantu bhavanta etaṃ puruṣaṃ parvatavivaraṃ nītvā	vadet gacCantu BavantaH etam puruzam parvata-vivaram nItvA
   jīvitādvyaparopayatha; sarvaparivāraṃ	jIvitAt-vyapara-upayaTa; sarva-parivAram
   mātāpitṛputraduhitṛdāsīdāsakarmakarāṇāṃ ca vyasanamāpādayatha / atha te	mAtA-pitR-putra-duhitR-dAsI-dAsa-karmakarANAm ca vyasanam-ApAdayaTa / aTa te
   sarve jīvitādvyavaropitāḥ tasya (ca) sarve svajanabandhuvargāḥ	sarve jIvitAt-vyavaropitAH tasya (ca) sarve sva-jana-banDu-vargAH
   paramaśokaśalyasamarpitā bhaveyuḥ	parama-Soka-Salya-samarpitAH BaveyuH
   [SaSū 164] evameva sarvaśūra tathāgato 'pyarhan samyaksaṃbuddhaḥ sattvānān	[SaSU 164] evam-eva sarva-SUra taTAgataH api-arhan samyaksaMbudDaH sattvAnAn
   dharman deśayati / tatra yathā sa puruṣo 'dhimānika evaṃ	Darman deSayati / tatra yaTA sa puruzaH aDimAnikaH evam
   bālapṛthagjanāstathāgataṃ rūpavarṇaliṃgasaṃsthānato nimittamudgṛhya	bAla-pRTagjanAH-taTAgatam rUpa-varNa-liMga-saMsTAnataH nimittam-udgRhya
   tathāgatakāyamiti saṃjānanti /	taTAgata-kAyam-iti saMjAnanti /
   [SaSū 165] tatra te bahūn dharmaṃcchrutvādhimāne patanti nānāpralāpān	[SaSU 165] tatra te bahUn Darman=-SrutvA-aDimAne patanti nAnA-pralApAn
   pralapanti / ahaṃkāramamakāreṇābhibhūtāḥ (sattvāḥ) svayameva dharmaṃ na	pralapanti / ahaMkAra-mamakAreNa-aBiBUtAH (sattvAH) svayam-eva Darmam na
   śṛṇvanti na prakāśayanti / yaḥ kaścit sūtraṃ vā gāthāṃ vāntaśo dṛṣṭāntaṃ	SRNvanti na prakASayanti / yaH kaScid sUtram vA gATAm vAntaSas dRzwAntam
   vā teṣāṃ ārocayati / tatte na gṛhṇanti na śrotramavadadhanti / vayaṃ	vA tezAm Arocayati / tat-te na gRhNanti na Srotram-avadaDanti / vayam
   svayaṃ jānīmaha iti / tatkasya hetoryathāpīdamadhimānatvātte ca	svayam jAnImahe iti / tat-kasya hetoH-yaTApi-idam-aDimAna-tvAt-te ca
   bāhuśrutyena pramādamāpadyante /	bAhu-Srutyena pramAdam-Apadyante /
   [SaSū 166] ye bālapṛthagjanaiḥ sārdhaṃ samavadhānaṃ kurvanti / na te	[SaSU 166] ye bAla-pRTagjanEH sArDam samavaDAnam kurvanti / na te
   tathārūpaṃ dharmopasaṃhitaṃ vacanaṃ śroṣyanti / tettena bāhuśrutyena	taTArUpam Darma-upasaMhitam vacanam Srozyanti / tet-tena bAhu-Srutyena
   pramattā bhaviṣyanti / te tathārūpāḥ puruṣāḥ svakāvyāni sthāpayanti /	pramattAH Bavizyanti / te taTArUpAH puruzAH sva-kAvyAni sTApayanti /
   svagranthāni dānāni sthāpayanti / te sarvalokaṃ cātmānaṃ ca visaṃpādayanti	sva-granTAni dAnAni sTApayanti / te sarva-lokam ca-AtmAnam ca visaMpAdayanti
   / vyarthaṃ ca rāṣṭrapiṇḍaṃ prabhūtaṃ paribhokṣyanti / bhuktvā ca na samyak	/ vyarTam ca rAzwra-piNxam praBUtam pariBokzyanti / BuktvA ca na samyak-
   pariṇamayiṣyaṃti / maraṇakālasamaye ca teṣāṃ mahāsantrāso bhaviṣyati /	pariNamayizyaMti / maraNa-kAla-samaye ca tezAm mahA-santrAsaH Bavizyati /
   [SaSū 167] te ca sattvāstaṃ vakṣyanti / bahavastvayā vayaṃ śilpajñānaṃ	[SaSU 167] te ca sattvAH-tam vakzyanti / bahavaH-tvayA vayam Silpa-jQAnam
   śikṣāpitāḥ kathaṃ tvaṃ svamātmānaṃ na śaknuṣe parisaṃsthāpayituṃ / sa	SikzApitAH kaTam tvam svam-AtmAnam na Saknuze parisaMsTApayitum / sa
   teṣāṃ evaṃ vadenna śakyaṃ mārṣā idānīmātmānaṃ parisaṃsthāpayituṃ /	tezAm evam vadet-na Sakyam mArzAH idAnIm-AtmAnam parisaMsTApayitum /
   [SaSū 168] tatra te sattvā(stasya tadbhāṣitaṃ śrutvā) nānāprakāraṃ	[SaSU 168] tatra te sattvA(H-tasya tat-BAzitam SrutvA) nAnA-prakAram
   paridevayiṣyanti / yathā tasyaikapudgalasyarthena bahavo jñatṛsaṃghā	paridevayizyanti / yaTA tasya-eka-pudgalasi-arTena bahavaH jQatR-saMGA
   jīvitādvyavaropitā anaparādhinaḥ svakarmapratyayena / evameva te sattvā	jIvitAt-vyavaropitA anaparADinaH sva-karma-pratyayena / evam-eva te sattvA
   maraṇakālasamaye teṣāṃ paridevatāṃ narakatiryagyoniparāyaṇaṃ ātmānaṃ	maraNa-kAla-samaye tezAm paridevatAm naraka-tiryagyoni-parAyaNam AtmAnam
   samanupaśyantaḥ akalyāṇamitrahetoḥ evameva yuṣmākaṃ	samanupaSyantaH akalyANa-mitra-hetoH evam-eva yuzmAkam
   brāhmaṇānāmanyatīrthikacarakaparibrājakanigranthānāmevaṃ vadāmi / mā yūyaṃ	brAhmaNAnAm-anya-tIrTika-caraka-paribrAjaka-nigranTAnAm-evam vadAmi / mA yUyam
   pramattā bhavathaḥ tadyathāpināmājātapakṣaḥ śakunirna śaknotyākāśe	pramattAH BavaTaH tat-yaTA-apinAma-ajAta-pakzaH SakuniH-na Saknoti-AkASe
   prakramituṃ devalokagamanāya / evameva	prakramitum deva-loka-gamanAya / evam-eva
   yuṣmābhir(ahaṃkāramamakārasthitair)na śakyaṃ nirvāṇaṃ anuprāptuṃ na	yuzmABiH-(ahaMkAra-m-amakAra-sTitEH-)na Sakyam nirvANam anuprAptum na
   yuṣmākaṃ tathā ṛddhiḥ saṃvidyate / tatkasya hetoḥ karmaprakaraṇena yūyaṃ	yuzmAkam taTA RdDiH saMvidyate / tat-kasya hetoH karma-prakaraNena yUyam
   kukkuṭayonyā ivotpannāḥ na cireṇāyaṃ kāyo bhedanadharmā maraṇaparyavasāno	kukkuwa-yonyAH iva-utpannAH na cireNa-ayam kAyaH Bedana-DarmA maraNa-paryavasAnaH-
   bhaviṣyati / maraṇakālasamaye nirāsvādanatā paritasyanatā ca bhaviṣyati /	Bavizyati / maraNa-kAla-samaye nirAsvAdana-tA paritasyanatA ca Bavizyati /
   [SaSū 169] kimayaṃ asmābhirātmabhāvaḥ sandhārito ye vayaṃ na devasukhaṃ na	[SaSU 169] kim-ayam asmABiH-Atma-BAvaH sanDAritaH ye vayam na deva-suKam na
   manuṣyalokasukhaṃ pratyanubhaviṣyāma / nāpi nirvāṇapadasthā bhaviṣyāma;	manuzya-loka-suKam pratyanuBavizyAmaH / na-api nirvANa-pada-sTA BavizyAma;
   nirarthakamasmābhiḥ śarīramudbūḍhaṃ / kā gatirasmābhiḥ kaḥ parāyaṇaṃ	nirarTakam-asmABiH SarIram-udbUXam / kA gatiH-asmABiH kaH parAyaNam
   bhaviṣyati / kutropapattiḥ kutra (vā) nirodho bhaviṣyati /	Bavizyati / kutra-upapattiH kutra (vA) niroDaH Bavizyati /
   [SaSū 170] atha (khalu) bhagavāṃs(punarapi) teṣāṃ	[SaSU 170] aTa (Kalu) BagavAMs(-punar-api) tezAm
   anyatīrthikacarakaparibrājakanigranthabrāhmaṇānamantrayati / mā yūyaṃ	anya-tIrTika-caraka-paribrAjaka-nigranTa-brAhmaNAn-amantrayati / mA yUyam
   mārṣā ratnamayājjaṃbūdvīpānnirāśā bhaviṣyadhve; mā yāyaṃ dharmaratnāt	mArzAH ratna-mayAt-jaMbUdvIpAt-nirASAH BavizyaDve; mA yAyam Darma-ratnAt-
   paribāhyā bhaviṣyatheti / pṛcchatha yūyaṃ mārṣāstathāgataṃ	paribAhyAH BavizyaTa-iti / pRcCaTa yUyam mArzAH-taTAgatam
   yadyadevākāṃkṣathāhaṃ yuṣmākaṃ sarvābhiprāyān paripūrayiṣyāmi /	yat-yat-eva-akAMkzaTA-aham yuzmAkam sarva-aBiprAyAn paripUrayizyAmi /
   [SaSū 171] atha khalu te sarve	[SaSU 171] aTa Kalu te sarve
   brāhmaṇānyatīrthikacarakaparibrājakanigranthā utthāyāsanebhyaḥ ekāṃsāni	brAhmaNa-ani-atIrTika-caraka-paribrAjaka-nigranTAH utTAya-AsaneByaH eka-aMsAni
   cīvarāṇi pravṛtyāṃjalayaḥ pragṛhya bhagavantaṃ paripṛcchanti (sma) /	cIvarANi pravRtya-aMjalayaH pragRhya Bagavantam paripRcCanti (sma) /
   bahūni bhagavaṃ sattvāni rātrindivastathāgataḥ saṃsārā parimocayati / na	bahUni Bagavam sattvAni rAtrindivaH-taTAgataH saMsArA parimocayati / na
   ca sattvadhātorūnatvaṃ vā pūrṇatvaṃ vā prajñāyate / ko bhagavan hetuḥ kaḥ	ca sattva-DAtoH-Una-tvam vA pUrNa-tvam vA prajQAyate / kaH Bagavan hetuH kaH
   pratyayaḥ yatte sattvā samānā utpādanirodhaṃ darśayanti //0//	pratyayaH yat-te sattvAH samAnAH utpAda-niroDam darSayanti //0//
   (saṃghāṭe mahādharmaparyāye sarvaśūraparipṛcchā samāptā //0 // //)//	(saMGAwe mahA-Darma-paryAye sarva-SUra-paripRcCA samAptAH //0 // //)//
   IV. bhaiṣajyasenaparipṛcchā /	IV. BEzajya-sena-paripRcCA /
   [SaSū 172] tatra khalu bhagavān bhaiṣajyasenaṃ bodhisattvaṃ	[SaSU 172] tatra Kalu BagavAn BEzajya-senam boDisattvam
   mahāsattvamāmantrayati sma / mahāsannāhaṃ sannahyanti tīrthyā /	mahAsattvam-Amantrayati sma / mahAsanna-aham sannahyanti tIrTyAH /
   mahākaukṛtyavinodanārthāya / mahādharmolkājvālanāya / mahāpraśnanidānaṃ	mahAkOkRtya-vinodana-arTAya / mahA-Darma-ulkA-jvAlanAya / mahA-praSna-nidAnam
   paripṛcchanti / (śṛṇutha yūyaṃ kulaputrā ihānantāparyanta	paripRcCanti / (SRNuTa yUyam kula-putrAH iha-anantA-paryanta
   pṛthivīdhāturabdhātustejodhāturvāyudhāturato nāṃtataraḥ sattvadhātuḥ santi	pRTivI-DAtuH-ap-DAtuH-tejaH-DAtuH-vAyu-DAtuH-atas na-aMtataraH sattva-DAtuH santi
   ca sattvāḥ ye sattvahitārthamutpādanirodhaṃ darśayaṃti) paścime tu kāle	ca sattvAH ye sattva-hita-arTam-utpAda-niroDam darSayaMti) paScime tu kAle
   bhaviṣyanti daharā sattvā vṛddhā vā ye utpādanirodhaṃ kariṣyanti / santi	Bavizyanti daharA sattvAH vRdDAH vA ye utpAda-niroDam karizyanti / santi
   bhaiṣajyasena vṛddhā sattvā daharā iva na kiṃcijjānanti /	BEzajyasena vRdDA sattvAH daharAH iva na kiMcid-jAnanti /
   [SaSū 173] tadyathāpi nāma bhaiṣajyasena kaścideva puruṣaḥ śiraṃ śocayeta	[SaSU 173] tat-yaTA-api nAma BEzajyasena kaScid-eva puruzaH Siram Socayeta
   navakāni ca vastrāṇi pravṛṇuyāt sa ca gṛhādbahirniṣkrameta / tamenaṃ	navakAni ca vastrANi pravRNuyAt sa ca gRhAt-bahis-nizkrameta / tam-enam
   sattvā āmantrayanti / suprāvṛtāni te navakāni vastrāṇīti / atha	sattvAH Amantrayanti / su-prAvRtAni te navakAni vastrANi-iti / aTa
   kaścidevāparaḥ sattvo bhavet sa śiraḥ śocayeta purāṇakāni ca vastrāṇi	kaScid-eva-aparaH sattvaH Bavet sa SiraH Socayeta purANakAni ca vastrANi
   (śocayitvā) prāvṛṇuyāt tāni ca śithilakāni bhavanti na ca śobhante / sa ca	(SocayitvA) prAvRNuyAt tAni ca SiTilakAni Bavanti na ca SoBante / sa ca
   puruṣaḥ susnātaśirā bhavati vastraṃ cāsya na śobhate / evameva	puruzaH su-snAta-SirAH Bavati vastram ca-asya na SoBate / evam-eva
   bhaiṣajyasena saṃti vṛddhā sattvā ye jaṃbūdvīpaṃ na śobhayanti / daharāstu	BEzajyasena saMti vRdDA sattvAH ye jaMbUdvIpam na SoBayanti / daharAH-tu
   sattvā utpādanirodhaṃ darśayanti /	sattvAH utpAda-niroDam darSayanti /
   [SaSū 174] atha khalu te sarve	[SaSU 174] aTa Kalu te sarve
   'nyatīrthikacarakaparibrājakanigranthabrāhmaṇā utthāyasanād	anya-tIrTika-caraka-paribrAjaka-nigranTa-brAhmaNAH utTa-AyasanAd
   bhagavantametadavocan - ko bhagavannasmākaṃ vṛddho vā daharo vā bhagavān	Bagavantam-etat-avocan  kaH Bagavan=-asmAkam vRdDaH vA daharaH vA BagavAn
   āha - vṛddhā yūyaṃ punaḥ punarnarakatiryakpreteṣu duḥkhāṃ vedanāṃ dṛṣṭvā	Aha  vRdDAH yUyam punar punar-naraka-tiryak-pretezu duHKAm vedanAm dRzwvA
   tadadyāpi yūyaṃ tṛptiṃ nādhigacchatha;	tat-adya-api yUyam tRptim na-aDigacCaTa;
   [SaSū 175] atha khalu te sarve	[SaSU 175] aTa Kalu te sarve
   brāhmaṇānyatīrthikacarakaparibrājakanigranthāḥ sarve ca nāgarājāno	brAhmaNa-ani-atIrTika-caraka-paribrAjaka-nigranTAH sarve ca nAga-rAjAnaH-
   bhagavantametadavocan - na bhūyo bhagavannutsahāma saṃsāre duḥkhāṃ	Bagavantam-etat-avocan  na BUyas Bagavan=-utsahAma saMsAre duHKAm
   vedanāmanubhavituṃ te cānyatīrthikacarakaparibrājakanigranthabrāhmaṇā	vedanAm-anuBavitum te ca-anya-tIrTika-caraka-paribrAjaka-nigranTa-brAhmaNA
   evamāhuḥ na santi daharā sattvā ye śaknuyurdharmatāṃ sākṣāt kartum //	evam-AhuH na santi daharA sattvAH ye SaknuyuH-DarmatAm sAkzAt kartum //
   [SaSū 176] atha khalu bhaiṣajyaseno bodhisattvo mahāsattvo	[SaSU 176] aTa Kalu BEzajyasenaH boDisattvaH mahAsattvaH-
   bhagavantametadavocat - paśya bhadanta bhagavan kiyadduradhimocyā ime	Bagavantam-etat-avocat  paSya Badanta Bagavan kiyat-duraDimocyAH ime
   sattvāḥ bhagavān āha - śṛṇu bhaiṣajyasena saṃprataṃ tathāgataḥ	sattvAH BagavAn Aha  SRNu BEzajyasena saMpratam taTAgataH
   sarvalokapratyakṣaṃ karoti /	sarva-loka-pratyakzam karoti /
   [SaSū 177] atha khalu catunavati koṭīsahasrāṇi navakānāṃ sattvānāṃ te	[SaSU 177] aTa Kalu catunavati kowI-sahasrANi navakAnAm sattvAnAm te
   tathāgatasya purataḥ sthitāḥ na ca tathāgataṃ bandanti nālapanti na	taTAgatasya puratas sTitAH na ca taTAgatam bandanti na-alapanti na
   saṃlapanti / tūṣṇīṃbhāvenādhivāsayanti / atha khalu bhaiṣajyaseno	saMlapanti / tUzNIMBAvena-aDivAsayanti / aTa Kalu BEzajya-senaH-
   bodhisattvo mahāsattvo bhagavantametadavocat - ko bhagavan hetuḥ kaḥ	boDisattvaH mahAsattvaH Bagavantam-etat-avocat  kaH Bagavan hetuH kaH
   pratyayo yadete sattvā bhagavantaṃ nālapanti na saṃlapanti na vandanti na	pratyayaH yat-ete sattvAH Bagavantam na-alapanti na saMlapanti na vandanti na
   ca bhagavantaṃ paripṛcchanti / bhagavān āha - śṛṇu bhaiṣajyasena ye sattvā	ca Bagavantam paripRcCanti / BagavAn Aha  SRNu BEzajyasena ye sattvA
   evaṃ vadanti na śakyaṃ navakaiḥ sattvairdharmatā sākṣāt kartum // ta ete	evam vadanti na Sakyam navakEH sattvEH-DarmatA sAkzAt kartum // te ete
   bhaiṣajyasena navakāḥ sattvā yuṣmābhirdraṣṭavyāḥ te ca sattvā evaṃ	BEzajyasena navakAH sattvAH yuzmABiH-drazwavyAH te ca sattvAH evam
   āhurvayaṃ bhadanta bhagavan navakāḥ sattvā vayaṃ bhadanta sugata navakāḥ	AhuH-vayam Badanta Bagavat navakAH sattvAH vayam Badanta sugata navakAH
   sattvā / bhagavān āha - eṣāṃ bho sattvānāṃ lokapratyakṣaṃ sāṃprataṃ	sattvAH / BagavAn Aha  ezAm Bo sattvAnAm loka-pratyakzam sAMpratam
   svaśarīrāllokasya pramānaṃ darśayatha /	sva-SarIrAt-lokasya pramAnam darSayaTa /
   [SaSū 178] tena khalu punaḥ kālena tena samayena caturnavati koṭīsahasrāṇi	[SaSU 178] tena Kalu punar kAlena tena samayena caturnavati kowI-sahasrANi
   navakānāṃ sattvānāṃ kāyasya bhedādantarikṣe sthitvā daśabhūmipratilabdhā	navakAnAm sattvAnAm kAyasya BedAt-antarikze sTitvA daSa-BUmi-pratilabDA
   abhūvan atha khalu bhaiṣajyaseno bodhisattvo mahāsattvo	aBUvan aTa Kalu BEzajyasenaH boDisattvaH mahAsattvaH-
   bhagavantametadavocat - sulabdhā lābhā bhagavannīdṛśāḥ sattvāḥ ye saṃsāre	Bagavantam-etat-avocat  su-labDAH lABAH Bagavan=-IdRSAH sattvAH ye saMsAre
   parikṣayāya paryadānāya vīryamārabhante / adyaiva bhagavannime sattvā	parikzayAya paryadAnAya vIryam-AraBante / adya-eva Bagavat-=-ime sattvA
   utpannāḥ adyaiva bhagavannime sattvāḥ parimuktāḥ (adyaiva) sarve	utpannAH adya-eva Bagavat-=-ime sattvAH parimuktAH (adya-eva) sarve
   daśabhūmipratiṣṭhitā dṛṣṭāḥ //	daSa-BUmi-pratizWitAH dRzwAH //
   [SaSū 179] atha khalu sarvabrāhmaṇānyatīrthikacarakaparibrājakanigranthā	[SaSU 179] aTa Kalu sarva-brAhmaNa-ani-atIrTika-caraka-paribrAjaka-nigranTA
   nāgarājāno 'pi mārāśca pāpīyānaṃ saparivāraṃ upasaṃkrāntaṃ	nAga-rAjAnaH api mArAH-ca pApI-yAnam sa-parivAram upasaMkrAntam
   vicakṣuṣkaraṇāya; sarve ca te bhagavantametadavocanniha vayaṃ bhagavan	vicakzuzkaraNa-aya; sarve ca te Bagavantam-etat-avocan=-iha vayam Bagavan
   tathāgatasyāntikamupasaṃkrāntā vicakṣuṣkaraṇāya / te vayaṃ bhagavanniman	taTAgatasya-antikam-upasaMkrAntAH vicakzuzkaraNAya / te vayam Bagavat-niman
   dharmaparyāyaṃ śrutvā prasādapratilabdhā abhūvan buddhe ca dharme ca /	Darma-paryAyam SrutvA prasAda-pratilabDAH aBUvan budDe ca Darme ca /
   tatrāsmākaṃ bhagavan sarveṣāṃ evaṃ bhagavatyevaṃrūpaṃ buddhasukhaṃ	tatra-asmAkam Bagavan sarvezAm evam Bagavati-evaMrUpam budDa-suKam
   pratilabhema; // evaṃrūpāśca tathāgatā arhantaḥ samyaksaṃbuddhā loke	pratilaBema; // evaMrUpAH-ca taTAgatAH arhantaH samyaksaMbudDAH loke
   bhavema;	Bavema;
   [SaSū 180] bhagavān āhaivametadbhadramukhā evametadyathā yūyaṃ	[SaSU 180] BagavAn Aha-evam-etat-Badra-muKAH evam-etat-yaTA yUyam
   tathāgatasyārhataḥ samyaksaṃbuddhasyāntikamupasaṃkrāntāḥ tairyuṣmābhirimaṃ	taTAgatasya-arhataH samyaksaMbudDasya-antikam-upasaMkrAntAH tEH-yuzmABiH-imam
   saṃghāṭaṃ (sūtraṃ) dharmaparyāyaṃ śrutvānuttarāyāḥ	saMGAwam (sUtraM) Darma-paryAyam SrutvA-anuttarAyAH
   samyaksaṃbodheścittānyutpāditāni / tena yūyaṃ bhadramukhāḥ kuśalamūlena na	samyaksaMboDeH-cittAni-utpAditAni / tena yUyam Badra-muKAH kuSala-mUlena na
   cireṇa kālenānuttarāṃ samyaksaṃbodhimabhisaṃbhotsyadhve / atha	cireNa kAlena-anuttarAm samyaksaMboDim-aBisaMBotsyaDve / aTa
   samantarabhāṣitā ca bhagavateyaṃ vāg	samantara-BAzitA ca BagavatA-iyam vAc-
   [SaSū 181] atha tāvadeva teṣāṃ	[SaSU 181] aTa tAvat-eva tezAm
   sarveṣāmanyatīrthikacarakaparibrājakanigranthabrāhmaṇānāmanutpattikadharmakṣāntipraitlabdho	sarvezAm-anya-tIrTika-caraka-paribrAjaka-nigranTa-brAhmaNAnAm-anutpattika-Darma-kzAnti-prEtlabDaH-
   'bhūvat sarve ca daśabhūmipratiṣṭhitā bodhisattvāḥ saṃvṛttāḥ sarve ca te	aBUvat sarve ca daSa-BUmi-pratizWitAH boDisattvAH saMvRttAH sarve ca te
   bodhisattvā uparyantarīkṣe sapta tālān vaihāyasamabhyudgamya	boDisattvAH upari-antarIkze sapta tAlAn vEhAyasam-aByudgamya
   saptaratnamayāni kūṭāgārāṇi tathāgatasyopanāmayanti / sarve ca	sapta-ratna-mayAni kUwAgArANi taTAgatasya-upanAmayanti / sarve ca
   nānāvikurvādhiṣṭhānardhyabhisaṃkārān abhisaṃskurvanti / atha tāvadeva te	nAnA-vikurva-aDizWAn-arDi-aBisaMkArAn aBisaMskurvanti / aTa tAvat-eva te
   sarve bhagavata uparimūrdhni sthitvā bhagavantaṃ nānāpuṣpairabhyavakiranti	sarve BagavataH upari-mUrDni sTitvA Bagavantam nAnA-puzpEH-aByavakiranti
   / tathāgatāṃśca manasi kurvanti / svakāye ca	/ taTAgatAn=-ca manasi kurvanti / sva-kAye ca
   buddhasaṃjñāmutpādayantyanekāni ca devaputrakoṭīniyutaśatasahasrāṇi	budDa-saMjQAm-utpAdayanti-anekAni ca deva-putra-kowI-niyuta-Sata-sahasrANi
   (divyapuṣp[SaSū ai]s) tathāgatamabhyavakiranti (smaḥ) /	(divya-puzp[-SaSU E]s) taTAgatam-aByavakiranti (smaH) /
   [SaSū 182] evaṃ ca vācamabhāśanta; mahālābhaḥ śramaṇo gautamaḥ mahākṣetraṃ	[SaSU 182] evam ca vAcam-aBASanta; mahA-lABaH SramaNaH gOtamaH mahA-kzetram
   lokanāthaḥ samādhibalādhānaprāptaḥ vijño vijñārthikaḥ yaḥ īdṛśān sattvān	lokanATaH samADi-bala-ADAna-prAptaH vijQaH vijQArTikaH yaH IdRSAn sattvAn
   saṃsārādanupūrveṇopāyakauśalyena parimocayatyekena subhāṣitamātreṇa	saMsArAt-anupUrveNa-upAya-kOSalyena parimocayati-ekena su-BAzita-mAtreNa
   etāvanti sattvāni saṃsārāt parimucyante //	etAvanti sattvAni saMsArAt parimucyante //
   [SaSū 183] atha khalu bhaiṣajyaseno bodhisattvo mahāsattva	[SaSU 183] aTa Kalu BEzajyasenaH boDisattvaH mahAsattva
   utthāyāsanādekāṃsamuttarāsaṃgaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ	utTAya-AsanAt-eka-aMsam-uttarAsaMgam kRtvA dakziNam jAnu-maNxalam pRTivyAm
   pratiṣṭhāpya yena bhagavāṃs tenāṃjaliṃ praṇamya bhagavantametadavocat - ko	pratizWApya yena BagavAn tena-aMjalim praNamya Bagavantam-etat-avocat  kaH-
   bhagavan hetuḥ kaḥ pratyayo ya eta devaputrā evaṃ vānniścārayanti / bahūni	Bagavan hetuH kaH pratyayaH yaH eta deva-putrAH evam vAn-niScArayanti / bahUni
   cardhyabhisaṃskāraṃ kurvanti / bahubhiśca	carDi-aBisaMskAram kurvanti / bahuBiH-ca
   guṇavarṇastavaistathāgatamabhistavanti sma / bhagavān āha - śṛṇu kulaputra	guNa-varNa-stavEH-taTAgatam-aBistavanti sma / BagavAn Aha  SRNu kula-putra
   na hi te māṃ stunvanti / svakāyameva stunvanti / svakāyameva	na hi te mAm stunvanti / sva-kAyam-eva stunvanti / sva-kAyam-eva
   dharmarājāsane sthāpayiṣyanti / svakāyamevagradharmāsane	DarmarAja-Asane sTApayizyanti / sva-kAyam-evagra-Darma-Asane
   pratiṣṭhāpayiṣyanti / svakāyādeva dharmaraśmin niścārayiṣyanti /	pratizWApayizyanti / sva-kAyAt-eva Darma-raSmin niScArayizyanti /
   sarvabuddhaparigṛhītāśca bhaviṣyantyanuttarāsyāḥ	sarva-budDa-parigRhItAH-ca Bavizyanti-anuttara-AsyAH
   samyaksaṃbodherabhisaṃbodhāyābhisaṃbudhya ca dharman deśayiṣyanti (ca) //	samyaksaMboDeH-aBisaMboDAya-aBisaMbuDya ca Darman deSayizyanti (ca) //
   [SaSū 184] atha khalu bhaiṣajyaseno bodhisattvo mahāsattvo	[SaSU 184] aTa Kalu BEzajyasenaH boDisattvaH mahAsattvaH-
   bhagavantametadavocat - bahavo bhadanta bhagavan sattvāḥ bahavo bhadanta	Bagavantam-etat-avocat  bahavaH Badanta Bagavan sattvAH bahavaH Badanta
   sugataḥ sattvā rātrindivaṃ parimucyante tadadyāpi sattvānāṃ kṣayo na	sugataH sattvAH rAtrindivam parimucyante tat-adya-api sattvAnAm kzayaH na
   bhavati / bhagavān āha - sādhu sādhu bhaiṣajyasena yastvaṃ	Bavati / BagavAn Aha  sADu sADu BEzajyasena yaH-tvam
