   Spandakārikā, prathamo niḥṣyandaḥ	Spanda-kArikA, praTamaH niHzyandaH
   * parasyāprabuddhasya punastāsāṃ daśānāṃ svocitasaṃvidrūpāṇāṃ pratyekam	* parasya-aprabudDasya punar-tAsAm daSAnAm sva-ucita-saMvid-rUpANAm pratyekam
   ādāv udbubhūṣāyām ante ca viśrāntyātmakāntarmukhatve na tu	AdO udbuBUzAyAm ante ca viSrAnti-Atmaka-antarmuKa-tve na tu
   svocitārthāvabhāsāvasthitirūpe madhyapade || VSpkC_1.17:2	sva-ucita-arTa-avaBAsa-avasTiti-rUpe maDya-pade || VSpkC_1.17:2
   * yaduktaṃ śrīśivadṛṣṭau /	* yat-uktam SrI-Siva-dRzwO /
   * yāvat samagrajñānāgrajñātṛsparśadaśāsv api /	* yAvat samagra-jQAna-agra-jQAtR-sparSa-daSAsu api /
   * sthitaiva lakṣyate sā tu tadviśrāntyāthavā phale || VSpkC_1.17:3	* sTitA-eva lakzyate sA tu tad-viSrAntyA-aTavA Pale || VSpkC_1.17:3
   * bhaṭṭalollaṭenāpi tadādyanta ityevameva vyākhyāyi svavṛttau ||	* Bawwa-lollawena-api tat-Adi-ante iti-evam-eva vyAKyAyi sva-vRttO ||
   VSpkC_1.17:4	VSpkC_1.17:4
   * bhaṭṭaśrīkallaṭavṛttyakṣarāṇyapekṣya vayamapi tadvṛttyakṣarānurodhena	* Bawwa-SrI-kallawa-vRtti-akzarANi-apekzya vayam-api tad-vRtti-akzara-anuroDena
   sautram artham ativimalamapi kliṣṭakalpanayā vyākartumaśikṣitāḥ yata	sOtram arTam ati-vimalam-api klizwa-kalpanayAH vyAkartum-aSikzitAH yata
   evāsuprabuddhasya tadādyante 'sti tadupalabdhiḥ ata evāyam ihādhikārī	eva-asu-prabudDasya tad-Adi-ante asti tad-upalabDiH atas eva-ayam iha-aDikArI
   spandopadeśaiḥ suprabuddhīkriyate || VSpkC_1.17:5	spanda-upadeSEH suprabudDIkriyate || VSpkS_1.17:5
   * yadvakṣyati /	* yat-vakzyati /
   * ataḥ satatamudyuktaḥ spandatattvaviviktaye /	* atas satatam-udyuktaH spanda-tattva-viviktaye /
   * jāgrat /	* jAgrat /
   * ityādi /	* ityAdi /
   * sauṣuptapadavanmūḍhaḥ prabuddhaḥ syādanāvṛtaḥ /	* sOzupta-pada-vat-mUXaH prabudDaH syAt-anAvRtaH /
   * iti /	* iti /
   * tathā svapne'pi /	* taTA svapne-api /
   * ityādi /	* ityAdi /
   * prabuddhaḥ sarvadā tiṣṭhet || VSpkC_1.17:6	* prabudDaH sarvadA tizWet || VSpkC_1.17:6
   * ityādi ca || VSpkC_1.17:7	* ityAdi ca || VSpkC_1.17:7
   * atra hi jāgarāditriṣu padeṣu ādyantakoṭivan madhyamapy arthāvasāyātmakaṃ	* atra hi jAgara-Adi-trizu padezu Adi-anta-kowi-vat maDyam-api arTa-avasAya-Atmakam
   padaṃ turyābhogamayaṃ kartuṃ prabuddhasya suprabuddhatāpādanāyopadeśaḥ	padam turya-ABoga-mayam kartum prabudDasya suprabudDa-tA-ApAdanAya-upadeSaH
   pravṛttaḥ etac ca nirṇeṣyāmaḥ || VSpkC_1.17:8	pravRttaH etat ca nirNezyAmaH || VSpkC_1.17:8
   * tathā ca śivasūtram /	* taTA ca SivasUtram /
   * jāgratsvapnasuṣuptabhede turyābhogasambhavaḥ || VSpkC_1.17:9	* jAgrat-svapna-suzupta-Bede turya-ABoga-samBavaH || VSpkS_1.17:9
   * tathā /	* taTA /
   * triṣu caturthaṃ tailavad āsecyam /	* trizu caturTam tEla-vat Asecyam /
   * iti /	* iti /
   * tritayabhoktā vīreśaḥ /	* tritaya-BoktA vIreSaH /
   * iti || VSpkC_1.17:10	* iti || VSpkC_1.17:10
   * suprabuddhasya triṣu padeṣu yādṛśy upalabdhis tāṃ vibhāgena darśayati ||	* suprabudDasya trizu padezu yAdRSI upalabDiH tAm viBAgena darSayati ||
   VSpkC_1.17:11]	VSpkC_1.17:11]
   jñānajñeyasvarūpiṇyā śaktyā paramayā yutaḥ /	jQAna-jQeya-svarUpiNyA SaktyA paramayA yutaH /
   padadvaye vibhurbhāti tadanyatra tu cinmayaḥ // VSpk_1.18 //	pada-dvaye viBuH-BAti tat-anyatra tu cit-mayaH // VSpc-_1.18 //
   * suprabuddhasya bhūmnā jñānajñeyasvarūpayā madhyame pade	* suprabudDasya BUmnA jQAna-jQeya-svarUpayA maDyame pade
   jñānāgraparyantayos tu svasvarūpayaiva spandatattvātmanā parāśaktyā yukto	jQAna-agra-paryantayoH tu sva-svarUpayA-eva spanda-tattva-AtmanA parASaktyA yuktaH-
   vibhuḥ śaṃkarātmā svabhāvo jāgarāsvapnarūpe padadvaye bhāti ||	viBuH SaMkara-AtmA svaBAvaH jAgarA-svapna-rUpe pada-dvaye BAti ||
   VSpkC_1.18:1	VSpkC_1.18:1
   * tatra hi viśvamasau sadāśiveśvaravatsvāṅgavat paśyati tadanyatra tu	* tatra hi viSvam-asO sadASiva-ISvara-vat-sva-aFga-vat paSyati tad-anyatra tu
   suṣupte na tu yathānye suṣuptaturyayor iti tripadāvyabhicāriṇī iti	suzupte na tu yaTA-anye suzupta-turyayoH iti tripada-avyaBicAriNI iti
   prakrānte turyasyāprastutatvāt tadupalabdher eva ca turyarūpatvāt asau	prakrAnte turyasya-aprastuta-tvAt tad-upalabDeH eva ca turya-rUpa-tvAt asO
   vibhuś cinmaya evāsya bhāti aśeṣavedyopaśamād ity etat	viBuH cit-mayaH eva-asya BAti aSeza-vedya-upaSamAt iti etat-
   suprabuddhābhiprāyam eva na tu vastuvṛttānusāreṇa tadanyatra tu cinmayaḥ	suprabudDa-aBiprAyam eva na tu vastu-vRtta-anusAreNa tat-anyatra tu cit-mayaH
   ity asyānupapannatvāpatteḥ loke sauṣuptasya mohamayatvāt śivāpekṣayā tu	iti asya-anupapanna-tva-ApatteH loke sOzuptasya moha-maya-tvAt Siva-apekzayA tu
   jāgratsvapnayorapi cinmayatvāt evamapi ca prakṛtānupayuktatvāt ||	jAgrat-svapnayoH-api cit-maya-tvAt evam-api ca prakRta-anupayukta-tvAt ||
   VSpkC_1.18:2	VSpkC_1.18:2
   * itaḥ prabhṛti prathamaniḥṣyandānto granthaḥ prabuddhasya	* itas praBRti praTama-niHzyanda-antaH granTaH prabudDasya
   suprabuddhatāyai sthito yathā ṭīkākārairna cetitas tathā parīkṣyatāṃ	suprabudDa-tAyE sTitaH yaTA wIkAkArEH-na cetitaH taTA parIkzyatAm
   svayameva kiyatpratipadaṃ likhāmaḥ || VSpkC_1.18:3	svayam-eva kiyat-pratipadam liKAmaH || VSpkC_1.18:3
   * yatheyaṃ jāgarādimadhyadaśāpi prabuddhaṃ na pratibadhnāti	* yaTA-iyam jAgara-Adi-maDya-daSA-api prabudDam na pratibaDnAti
   tathopapādayati || VSpkC_1.18:4]	taTA-upapAdayati || VSpkC_1.18:4]
   guṇādispandaniḥṣyandāḥ sāmānyaspandasaṃśrayāt /	guNa-Adi-spanda-niHzyandAH sAmAnya-spanda-saMSrayAt /
   labdhātmalābhāḥ satataṃ syur jñasyāparipanthinaḥ // VSpk_1.19 //	labDa-Atma-lABAH satatam syuH jQasya-aparipanTinaH // VSpc-_1.19 //
   * guṇāḥ sattvarajastamāṃsi yeṣāṃ prakṛtitattvaṃ vibhavabhūte	* guNAH sattva-rajaH-tamAMsi yezAm prakRti-tattvam viBava-BUte
   māyātattvāvasthitā ihābhipretāḥ || VSpkC_1.19:1	mAyA-tattva-avasTitAH iha-aBipretAH || VSpkS_1.19:1
   * yathoktaṃ śrīsvacchande māyāmasūrakavinyāse /	* yaToktam SrI-svacCande mAyA-masUraka-vinyAse /
   * adhaśchādanamūrdhvaṃ ca raktaṃ śuklaṃ vicintayet /	* aDas-CAdanam-UrDvam ca raktam Suklam vicintayet /
   * madhye tamo vijānīyādguṇās tv ete vyavasthitāḥ || VSpkC_1.19:2	* maDye tamaH vijAnIyAt-guNAH tu ete vyavasTitAH || VSpkC_1.19:2
   * iti || VSpkC_1.19:3	* iti || VSpkC_1.19:3
   * ta ādayo yeṣāṃ kalādīnāṃ kṣityantānāṃ spandānāṃ viśeṣaprasarāṇāṃ teṣāṃ	* te AdayaH yezAm kalA-AdInAm kziti-antAnAm spandAnAm viSeza-prasarANAm tezAm
   ye niḥṣyandāstanukaraṇabhuvanaprasarāḥ nīlasukhādisaṃvidaś ca tathā	ye niHzyandAH-tanu-karaNa-Buvana-prasarAH nIla-suKa-Adi-saMvidaH ca taTA
   yogyapekṣayā bindunādādayas te satataṃ jñasya suprabuddhasya kasyacid	yogi-apekzayA bindu-nAda-AdayaH te satatam jQasya suprabudDasya kasyacid-
   evāpaścimajanmano 'paripanthinaḥ svasvabhāvācchādakā na bhavantīti	eva-apaScima-janmanaH aparipanTinaH sva-svaBAva-AcCAdakAH na Bavanti-iti
   niścayaḥ yatas te sāmānyaspandamuktarūpam āśritya yatra sthitam ityatra	niScayaH yatas te sAmAnya-spanda-mukta-rUpam ASritya yatra sTitam iti-atra
   nirṇītadṛśā labdhātmalābhās tata evotpannās tanmayāś cetyarthaḥ ||	nirNIta-dRSAH labDa-Atma-lABAH tatas eva-utpannAH tad-mayAH ca-iti-arTaH ||
   VSpkC_1.19:4	VSpkC_1.19:4
   * tathāhi /	* taTA-hi /
   * svāṅgarūpeṣu bhāveṣu patyurjñānaṃ kriyā ca yā /	* sva-aFga-rUpezu BAvezu patyuH-jQAnam kriyA ca yA /
   * māyātṛtīye ta eva paśoḥ sattvaṃ rajastamaḥ || VSpkC_1.19:5	* mAyA-tRtIye te eva paSoH sattvam rajaH-tamaH || VSpkC_1.19:5
   * iti śrīpratyabhijñoktadṛśā citiśaktireva pārameśvarī	* iti SrI-pratyaBijQA-ukta-dRSA citi-SaktiH-eva pArameSvarI
   jñānakriyāmāyāśaktitritayatayā śrīsadāśivādipade sphuritvā	jQAna-kriyA-mAyA-Sakti-tritaya-tayA SrI-sadASiva-Adi-pade sPuritvA
   saṃkocaprakarṣātsattvarajastamorūpaṃ krīḍāśarīraṃ śrayati yato	saMkoca-prakarzAt-sattva-rajaH-tamaH-rUpam krIxA-SarIram Srayati yatas-
   nijacicchaktisphāramayatvāt tadadhiṣṭhitameva sarvadā sarvaṃ jānan	nija-cit-Sakti-sPAra-maya-tvAt tat-aDizWitam-eva sarvadA sarvam jAnan
   suprabuddho guṇādiviśeṣaspandān anucchindann api spandatattvāveśamaya eva	suprabudDaH guNa-Adi-viSeza-spandAn anucCindan api spanda-tattva-AveSa-mayaH eva
   || VSpkC_1.19:6	|| VSpkC_1.19:6
   * yathā tv aprabuddhān badhnanty ete tat pratipādayati || VSpkC_1.19:7]	* yaTA tu aprabudDAn baDnanti ete tat pratipAdayati || VSpkC_1.19:7]
   aprabuddhadhiyas tv ete svasthitisthaganodyatāḥ /	aprabudDa-DiyaH tu ete sva-sTiti-sTagana-udyatAH /
   pātayanti duruttāre ghore saṃsāravartmani // VSpk_1.20 //	pAtayanti duruttAre Gore saMsAra-vartmani // VSpc-_1.20 //
   * aprabuddhadhiyaḥ prāyaḥ sarvān	* aprabudDa-DiyaH prAyas sarvAn
   apratyabhijñātapārameśvarīśaktyātmakanijaspandatattvān dehātmamānino	apratyaBijQA-tapAH-rameSvarI-Sakti-Atmaka-nija-spanda-tattvAn deha-Atma-mAninaH-
   laukikān prāṇādyātmābhimāninaś ca mitayoginas tv ete pūrvoktā	lOkikAn prANa-Adi-Atma-aBimAninaH ca mita-yoginaH tu ete pUrva-uktA
   guṇādispandaniḥṣyandāḥ svasyāḥ spandatattvātmanaḥ sthiteḥ sthaganāyodyatā	guNa-Adi-spanda-niHzyandAH svasyAH spanda-tattva-AtmanaH sTiteH sTaganAya-udyatA
   nityaṃ tadudyamaikasārāḥ duḥkhenottāryante 'smād daiśikair jantucakramiti	nityam tad-udyama-eka-sArAH duHKena-uttAryante asmAt dESikEH jantu-cakram-iti
   duruttāre laṅghayitum aśakye ghore duḥkhamaye saṃsaraṇamārge pātayanti ||	duruttAre laFGayitum aSakye Gore duHKa-maye saMsaraNa-mArge pAtayanti ||
   VSpkC_1.20:1	VSpkC_1.20:1
   * yathoktaṃ śrīmālinīvijaye /	* yaTA-uktam SrI-mAlinI-vijaye /
   * viṣayeṣveva saṃlīnānadho'dhaḥ pātayantyaṇūn /	* vizayezu-eva saMlInAn-aDas-aDas pAtayanti-aNUn /
   * rudrāṇūnyāḥ samāliṅghaya ghorataryo 'parāḥ smṛtāḥ || VSpkC_1.20:2	* rudra-aNUn-yAH samAliFGaya GorataryaH aparAH smRtAH || VSpkS_1.20:2
   * iti || VSpkC_1.20:3	* iti || VSpkC_1.20:3
   * tathā hi pūrvaṃ pratipāditā yeyaṃ spandatattvātmā parāśaktiḥ saiva	* taTA hi pUrvam pratipAditA yA-iyam spanda-tattva-AtmA parASaktiH sA-eva
   viśvasyāntarbahiś ca vamanāt saṃsāravāmācāratvāc ca vāmeśvarīśaktiḥ	viSvasya-antar-bahis ca vamanAt saMsAra-vAma-AcAra-tvAt ca vAmeSvarI-SaktiH
   tadutthāpitāni tu khecarīgocarīdikcarībhūcarīrūpāṇi catvāri devatācakrāṇi	tad-utTApitAni tu KecarI-gocarI-dikcarI-BUcarI-rUpANi catvAri devatA-cakrANi
   suprabuddhasya parabhūmisaṃcārīṇi aprabuddhānāṃ tu	suprabudDasya para-BUmi-saMcArINi aprabudDAnAm tu
   adharādharasaraṇiprerakāṇi || VSpkC_1.20:4	aDarADara-saraNi-prerakANi || VSpkS_1.20:4
   * tathā hi yā eva suprabuddhasya khe bodhagagane carantyaḥ khecaryo	* taTA hi yAH eva suprabudDasya Ke boDa-gagane carantyaH KecaryaH-
   'kālakalitatvābhedasarvakartṛtvasarvajñatvapūrṇatvavyāpakatvaprathāhetavas	akAla-kalita-tva-aBeda-sarva-kartR-tva-sarvajQa-tva-pUrNa-tva-vyApaka-tva-praTA-hetavaH-
   tā evāprabuddhasya śūnyapramātṛpadacāriṇyaḥ kañcukarūpatayā sthitāḥ	tAH eva-aprabudDasya SUnya-pramAtR-pada-cAriNyaH kaQcuka-rUpa-tayA sTitAH
   kālakalitatvakiṃcitkartṛtākiṃcijjhatābhiṣvaṅganiyamahetavaḥ ||	kAla-kalita-tva-kiMcid-kartR-tA-kiMcid-Jata-aBizvaFga-niyama-hetavaH ||
   VSpkC_1.20:5	VSpkC_1.20:5
   * gaur vāk tadupalakṣitāsu saṃjalpamayīṣu buddhyahaṃkāramanobhūmiṣu	* gOH vAc tad-upalakzitAsu saMjalpa-mayIzu budDi-ahaMkAra-manaH-BUmizu
   carantyo gocaryaḥ suprabuddhasya svātmābhedamayādhyavasāyābhimānasaṃkalpāñ	carantyaH gocaryaH suprabudDasya sva-Atma-aBeda-m-ayADyavasAya-aBimAna-saMkalpAn-
   janayanti mūḍhānāṃ tu bhedaikasārān || VSpkC_1.20:6	janayanti mUXAnAm tu Beda-eka-sArAn || VSpkC_1.20:6
   * dikṣu daśasu bāhyendriyabhūmiṣu carantyo dikcaryaḥ	* dikzu daSasu bAhya-indriya-BUmizu carantyaH dikcaryaH
   suprabuddhasyādvayaprathāsārāḥ anyeṣāṃ dvayaprathāhetavaḥ || VSpkC_1.20:7	suprabudDasya-advaya-praTA-sArAH anyezAm dvaya-praTA-hetavaH || VSpkC_1.20:7
   * bhūrūpādipañcakātmakaṃ meyapadaṃ tatra carantyo bhūcaryas tadā	* BU-rUpa-Adi-paQcaka-Atmakam meya-padam tatra carantyaH BUcaryaH tadA
   bhogamayyā āśyānībhāvatayā tanmayatvamāpannāḥ bhūcaryaḥ suprabuddhasya	Boga-mayyAH ASyAnI-BAva-tayA tad-maya-tvam-ApannAH BUcaryaH suprabudDasya
   citprakāśaśarīratayātmānaṃ darśayantya itareṣāṃ sarvato 'py avacchinnatāṃ	cit-prakASa-SarIra-tayA-AtmAnam darSayantyaH itarezAm sarvatas api avacCinna-tAm
   prathayantyaḥ sthitāḥ ity evaṃ	praTayantyaH sTitAH iti evam
   pramātrantaḥkaraṇabahiṣkaraṇaprameyarūpatayaiva tāni catvāri cakrāṇi	pramAtR-antaHkaraNa-bahizkaraNa-prameya-rUpa-tayA-eva tAni catvAri cakrANi
   guṇādispandamayāny aprabuddhabuddhīṃl laukikāṃs tathā	guNa-Adi-spanda-mayAni aprabudDa-budDIn lOkikAn taTA
   bindunādādiprathāmātrasaṃtuṣṭān yoginas tattattvaprasararūpe saṃsāre	bindu-nAda-Adi-praTA-mAtra-saMtuzwAn yoginaH tad-tattva-prasara-rUpe saMsAre
   pātayanti || VSpkC_1.20:8	pAtayanti || VSpkC_1.20:8
   * yata evam || VSpkC_1.20:9]	* yatas evam || VSpkC_1.20:9]
   ataḥ satatamudyuktaḥ spandatattvaviviktaye /	atas satatam-udyuktaH spanda-tattva-viviktaye /
   jāgradeva nijaṃ bhāvam acireṇādhigacchati // VSpk_1.21 //	jAgrat-eva nijam BAvam acireNa-aDigacCati // VSpc-_1.21 //
   * uktavakṣyamāṇarūpasya spandatattvasya viviktaye vimarśanāya satatam	* ukta-vakzyamANa-rUpasya spanda-tattvasya viviktaye vimarSanAya satatam
   udyuktaḥ /	udyuktaH /
   * mayyāveśya mano ye māṃ nityayuktā upāsate || VSpkC_1.21:1	* mayi-AveSya manaH ye mAm nitya-yuktAH upAsate || VSpkC_1.21:1
   * iti gītoktadṛśā satatam evāntarmukhasvarūpanibhālanapravaṇo yaḥ sa	* iti gIta-ukta-dRSA satatam eva-antarmuKa-svarUpa-niBAlana-pravaNaH yaH sa
   jāgradeva jāgarāvasthāsthita eva nijamātmīyaṃ śaṃkarātmakaṃ svasvabhāvam	jAgrat-eva jAgara-avasTA-sTitaH eva nijam-AtmIyam SaMkara-Atmakam sva-svaBAvam
   acireṇādhigacchati tathā asya śaṃkarātmā āntaraḥ svabhāvaḥ svayam	acireNa-aDigacCati taTA asya SaMkara-AtmA AntaraH svaBAvaH svayam
   evonmajjati yena prabuddho nityoditasamāveśāsādanāt suprabuddho jīvanmukto	eva-unmajjati yena prabudDaH nitya-udita-samAveSa-AsAdanAt suprabudDaH jIvanmuktaH-
   bhavatītyarthaḥ || VSpkC_1.21:2	Bavati-iti-arTaH || VSpkS_1.21:2
   * yathāsyodyuktasya	* yaTA-asya-udyuktasya
   balavadālambanavaśoditānāyāsatadanyasakalavṛttikṣayamayīṣu niyatāsu	balavat-Alamba-nava-Sa-uditAn-AyAsa-tad-anya-sakala-vRtti-kzaya-mayIzu niyatAsu
   yāsvavasthāsu spandanidhānam unmudritam abhimukhībhūtam āste tā etāḥ	yAsu-avasTAsu spanda-niDAnam unmudritam aBimuKIBUtam Aste tAH etAH
   prathamam udyogasya viṣayā ityupadeṣṭum āha || VSpkC_1.21:3]	praTamam udyogasya vizayAH iti-upadezwum Aha || VSpkC_1.21:3]
   atikruddhaḥ prahṛṣṭo vā kiṃ karomīti vā mṛśan /	ati-krudDaH prahRzwaH vA kim karomi-iti vA mRSan /
   dhāvanvā yatpadaṃ gacchet tatra spandaḥ pratiṣṭhitaḥ // VSpk_1.22 //	DAvan-vA yat-padam gacCet tatra spandaH pratizWitaH // VSpc-_1.22 //
   * sarvatra tāvad upāyamārge samastetaravṛttipraśamapūrvam ekāgrībhavanti	* sarvatra tAvat upAya-mArge samasta-itara-vRtti-praSama-pUrvam ekAgrIBavanti
   yoginaḥ etāsvatikrodhādyavasthāsu svarasata eva	yoginaH etAsu-ati-kroDa-Adi-avasTAsu svarasataH eva
   samastāparavṛttikṣayamayīṣu yadi spandatattvaviviktaye satatam udyukto	samasta-apara-vRtti-kzaya-mayIzu yadi spanda-tattva-viviktaye satatam udyuktaH-
   jhaṭity antarmukhībhavanti yoginas tatsamīhitam acireṇaiva labhante ||	Jawiti antarmuKIBavanti yoginaH tad-samIhitam acireNa-eva laBante ||
   VSpkC_1.22:1	VSpkC_1.22:1
   * ayoginastvatra mūḍhā eveti tātparyam || VSpkC_1.22:2	* ayoginaH-tu-atra mUXAH eva-iti tAtparyam || VSpkC_1.22:2
   * tathāhi samanantaravihitadāruṇopaghātaśatrudarśanān	* taTA-hi samanantara-vihita-dAruNa-upaGAta-Satru-darSanAn
   marmasparśitattadvacanākarṇanād vā prathamam	marma-sparSi-tad-tad-vacana-AkarNanAt vA praTamam
   evonmiṣatsaṃjihīrṣādevatābalād antarmukhībhavadraśmicakro 'tikruddhaḥ	eva-unmizat-saMjihIrzA-devatA-balAt antarmuKI-Bavat-raSmi-cakraH ati-krudDaH
   ciraprārthitaprāṇeśīvadanendudarśanād eva tatkṣaṇam	cira-prArTita-prANeSI-vadana-indu-darSanAt eva tad-kzaNam
   evonmajjatpūrṇābhilāṣadevatāvaśavikāsitānudhāvatsamastakaraṇacakraḥ	eva-unmajjat-pUrNa-aBilAza-devatA-vaSa-vikAsita-anuDAvat-samasta-karaNa-cakraH
   prahṛṣṭo vā balavadātatāyibalena sarvato valitatvāt kāndiśīkaḥ kiṃ	prahRzwaH vA balavadAta-tAyi-balena sarvatas valita-tvAt kAndiSIkaH kim
   karomīti mṛśan vikalpayan saṃśayadhārādhirohātmani pade 'nupraviṣṭaḥ	karomi-iti mRSan vikalpayan saMSaya-DArA-aDiroha-Atmani pade anupravizwaH
   kṣīṇasakalālambanavikasatsaṃśayasaṃvinnirālambanīkṛtavṛttiprasaro vā	kzINa-sakala-Alamba-navika-sat-saMSaya-saMvid-nirAlambanIkRta-vRtti-prasaraH vA
   mattavāraṇādyanubadhyamāno dhāvan śarīranirapekṣam eva	matta-vAraNa-Adi-anubaDyamAnaH DAvan SarIra-nirapekzam eva
   svātmapravaṇīkṛtetaravṛttiprasaradudyogadevīpreraṇayātitvaritapalāyanakriyāviṣṭo	sva-Atma-pravaNIkRta-itara-vRtti-prasarat-udyoga-devI-preraNayA-ati-tvarita-palAyana-kriyA-AvizwaH-
   vā evam anyāsv apy evamprāyāsu	vE evam anyAsu api evamprAyAsu
   siṃhājagarādyavalokanajanitamahātrāsādyavasthāsu yad vṛttikṣayātmakaṃ	siMha-ajagara-Adi-avalokana-janita-mahA-trAsa-Adi-avasTAsu yat vRtti-kzaya-Atmakam
   padaṃ gacched adhitiṣṭhet spandatattvaviviktaye satatam udyukto yo	padam gacCet aDitizWet spanda-tattva-viviktaye satatam udyuktaH yaH-
   yogijanas tasya tatra vṛttikṣayātmake pade 'vasthāviśeṣe spandaḥ	yogi-janaH tasya tatra vRtti-kzaya-Atmake pade avasTA-viSeze spandaH
   pratiṣṭhitaḥ spandatattvam abhimukhībhūtameva tiṣṭhati || VSpkC_1.22:3	pratizWitaH spanda-tattvam aBimuKIBUtam-eva tizWati || VSpkC_1.22:3
   * tasmād etad vṛttikṣayapadaṃ saṃcetya jhaṭiti kūrmāṅgasaṃkocayuktyā	* tasmAt etat vRtti-kzaya-padam saMcetya Jawiti kUrma-aFga-saMkoca-yuktyA
   krodhasaṃśayavṛttīḥ praśamayya mahāvikāsavyāptiyuktyā vā	kroDa-saMSaya-vRttIH praSamayya mahA-vikAsa-vyApti-yuktyA vA
   praharṣadhāvanavṛttīr visphāryābhimukhībhūtanijaspandaśaktivimarśavatā	praharza-DAvana-vRttIH visPArya-aBimuKIBUta-nija-spanda-Sakti-vimarSavatA
   yoginā bhayam || VSpkC_1.22:4	yoginA Bayam || VSpkC_1.22:4
   * yathoktaṃ śrīvijñānabhairave /	* yaToktam SrI-vijQAnaBErave /
   * kāmakrodhalobhamohamadamātsaryagocare /	* kAma-kroDa-loBa-moha-mada-mAtsarya-gocare /
   * buddhiṃ nistimitāṃ kṛtvā tat tattvam avaśiṣyate || VSpkC_1.22:5	* budDim nistimitAm kRtvA tat tattvam avaSizyate || VSpkS_1.22:5
   * ānande mahati prāpte dṛṣṭe vā bāndhave cirāt || VSpkC_1.22:6	* Anande mahati prApte dRzwe vA bAnDave cirAt || VSpkC_1.22:6
   * ānandam udgataṃ dhyātvā tallayas tanmanā bhavet || VSpkC_1.22:7	* Anandam udgatam DyAtvA tad-layaH tanmanAH Bavet || VSpkC_1.22:7
   * kṣutādyante bhaye śoke gahvare vāraṇadrute /	* kzuta-Adi-ante Baye Soke gahvare vAraNa-drute /
   * kutūhale kṣudhādyante brahmasattā samīpagā || VSpkC_1.22:8	* kutUhale kzuDA-Adi-ante brahma-sattA samIpa-gA || VSpkC_1.22:8
   * iti || VSpkC_1.22:9	* iti || VSpkC_1.22:9
   * evam etāsv avasthāsūktayuktyā prathamaṃ spandaśaktiṃ pariśīlya tadanu	* evam etAsu avasTA-sUkta-yuktyA praTamam spanda-Saktim pariSIlya tadanu
   tām evānusaṃdadhat sarvāsvavasthāsu taddārḍhyānupraveśamayīṃ jīvanmuktatām	tAm eva-anusaMdaDat sarvAsu-avasTAsu tad-dArXya-anupraveSa-mayIm jIvanmukta-tAm
   āharet satatodyukta ityupadiśati || VSpkC_1.22:10]	Aharet satata-udyuktaH iti-upadiSati || VSpkC_1.22:10]
   yāmavasthāṃ samālambya yadayaṃ mama vakṣyati /	yAm-avasTAm samAlambya yat-ayam mama vakzyati /
   tadavaśyaṃ kariṣye 'hamiti saṃkalpya tiṣṭhati // VSpk_1.23 //	tat-avaSyam karizye aham-iti saMkalpya tizWati // VSpc-_1.23 //
   tāmāśrityordhvamārgeṇa candrasūryāv ubhāv api /	tAm-ASritya-UrDva-mArgeNa candra-sUryO uBO api /
   sauṣumne'dhvany astamito hitvā brahmāṇḍagocaram // VSpk_1.24 //	sOzumne-aDvani astamitaH hitvA brahmANxa-gocaram // VSpc-_1.24 //
   tadā tasminmahāvyomni pralīnaśaśibhāskare /	tadA tasmin-mahA-vyomni pralIna-SaSi-BAskare /
   sauṣuptapadavan mūḍhaḥ prabuddhaḥ syād anāvṛtaḥ // VSpk_1.25 //	sOzupta-pada-vat mUXaH prabudDaH syAt anAvRtaH // VSpc-_1.25 //
   * ayaṃ śaṃkarātmā svabhāvo yan mama vakṣyati abhivyaktaṃ sat yac	* ayam SaMkara-AtmA svaBAvaH yat mama vakzyati aBivyaktam sat yat-
   cidānandaghanam anubhūtapūrvaṃ svarūpaṃ māṃ vimarśayiṣyati tadavaśyamahaṃ	cit-Ananda-Ganam anuBUta-pUrvam svarUpam mAm vimarSayizyati tat-avaSyam-aham
   kariṣye bahirmukhatāṃ hitvā tatpravaṇa eva bhaviṣyāmi iti saṃkalpya	karizye bahirmuKa-tAm hitvA tad-pravaNaH eva BavizyAmi iti saMkalpya
   niścitya yām atikrodhādyavasthāsv anubhūtacarīṃ cidānandaghanāṃ	niScitya yAm ati-kroDa-Adi-avasTAsu anuBUta-carIm cit-Ananda-GanAm
   spandātmikām avasthām avalambya prāpyatvenābhisaṃdhāya tiṣṭhati	spanda-AtmikAm avasTAm avalambya prApya-tvena-aBisaMDAya tizWati
   śamitavikalpagatim avikalpām avasthām avicalatvena bhajate yo yogī tadīyāṃ	Samita-vikalpa-gatim avikalpAm avasTAm avicala-tvena Bajate yaH yogI tadIyAm
   tāmavasthāṃ samāśritya candrasūryau apānaḥ prāṇaś cobhāv api hṛdayabhūmau	tAm-avasTAm samASritya candra-sUryO apAnaH prANaH ca-uBO api hRdaya-BUmO
   militvā yugapadeva sauṣumne'dhvani brahmanāḍyām	militvA yugapad-eva sOzumne-aDvani brahma-nAxyAm
   ūrdhvamārgeṇodānapathenāstamitaḥ śāmyataḥ kathaṃ brahmāṇḍalakṣaṇaṃ gocaraṃ	UrDva-mArgeNa-udAna-paTena-astamitaH SAmyataH kaTam brahmANxa-lakzaNam gocaram
