   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   naivam atra niyataṃ rasātale Pnc_8.30c	na evam atra niyatam rasAtale Pn= _8.30c
   naiva svadhāmagamanābhimukho babhūva Pnc_13.66b	na eva sva DAma gamana aBimuKaH baBUva Pnd _13.66b
   no kasya lokatrayasaṃmatānāṃ Pnc_9.3c	no kasya lokatraya saMmatAnAm Pn= _9.3c
   nokṣā viṣaṃ na dayitāpi na yatra rūpam Pnc_18.23c	na ukzAH vizam na dayitA api na yatra rUpam Pn= _18.23c
   ntarapāriplavasārasāsu dṛṣṭaḥ Pnc_5.39d	ntara pAriplava sArasAsu dRzwaH Pn= _5.39d
   nyañcacchikhābharaṇabhāsurapadmarāga  Pnc_18.28a	nyaQcat SiKA ABaraNa BAsura padmarAga Pn= _18.28a
   nyabhād anīkaṃ kariṇāṃ ca sāndra  Pnc_17.4a	nyaBAt anIkam kariNAm ca sAndra Pn= _17.4a
   ny amandam ārabdhamṛdaṅgavādye Pnc_1.54b	ni amandam ArabDa mRdaFgavAdye Pnc_1.54b
   nyamīlayan yadvijayaprayāṇe Pnc_1.68c	nyamIlayan yat vijaya prayANe Pn= _1.68c
   nyaviśata vindhyanagendrakandarasya Pnc_3.3d	nyaviSata vinDya naga indra kandarasya Pn= _3.3d
   nyaṣedhi vanarājibhiḥ Pnc_2.32d	nyazeDi vana rAjiBiH Pn= _2.32d
   nyastāni yāni mayi sūktisudhāpṛṣanti Pnc_gp.3a	nyastAni yAni mayi sUkti suDA pRzanti Pn= _gp.3a
   nyasyad asamaśarayantram iva Pnc_15.51c	nyasyat asamaSara yantram iva Pn= _15.51c
   nrpatir aviśal līlāgāraṃ saḥ sāhasalāñchanaḥ Pnc_14.87b	nrpatiH aviSat lIlA AgAram saH sAhasa lAQCanaH Pnc_14.87b
   nrpas trapānamramukho babhūva Pnc_13.63b	nrpaH trapAnamra muKaH baBUva Pn= _13.63b
   Pañcabāṇāṅkitaṃ vayaḥ Pnc_6.88d	PaQca bANa aFkitam vayaH Pn= _6.88d
   pañcamaḥ prathāmā samit Pnc_6.14d	paQcamaH praTAmA samiD Pn= _6.14d
   pañcaikena smara iva śarān pāṇinā hemapuṅkhān Pnc_2.101a	paQca ekena smaraH iva SarAn pANinA hema puFKAn Pnd _2.101a
   paṭalasmerataṭā surasravantī Pnc_5.16b	pawala smera tawA surasravantI Pnc_5.16b
   paṭāñcale kāñcanakiṅkiṇīnām Pnc_1.29b	pawa aQcale kAQcana kiFkiNInAm Pnc_1.29b
   paṭu yaḥ pramādāvilāsahāsa  Pnc_5.9c	pawu yaH pramAda AvilAsa hAsa Pn= _5.9c
   paṭu vyapāṭyanta mataṅgajānāṃ Pnc_17.12c	pawu vyapAwyanta mataFga jAnAm Pn= _17.12c
   paṭu sāndhye mahasi prasarpati Pnc_12.35d	pawu sAnDye mahasi prasarpati Pn= _12.35d
   patagam anu tam āttahāraṃ Pnc_3.41c	patagam anu tam Atta hAram Pn= _3.41c
   pataṅgabimbānukṛtir vitene Pnc_17.24d	pataFga bimba anukRtiH vitene Pn= _17.24d
   pataty adhaḥ kuṅkumapaṅkapāṭale Pnc_7.25a	patati aDas kuFkuma paFka pAwale Pn= _7.25a
   patadbhaṭaṃ nirdalitāśvavāraṃ Pnc_17.25a	patat Bawam nirdalita aSva vAram Pn= _17.25a
   patākāṅgā hiraṇmayī Pnc_6.113d	patAkA aFgA hiraNmayI Pn= _6.113d
   patitaṃ kukūladahane na kasya vā Pnc_10.52c	patitam kukUla dahane na kasya vA Pn= _10.52c
   patitāsyatisaṅkaṭe Pnc_6.83d	patita asi ati saFkawe Pn= _6.83d
   patitāḥ sparśakutūhalād iva Pnc_12.60d	patitAH sparSa kutUhalAt iva Pn= _12.60d
   patito manmathapatriṇāṃ pathi Pnc_12.15b	patitaH manmaTa patriNAm paTi Pnd _12.15b
   patim utpathagāminam Pnc_16.101d	patim utpaTa gAminam Pn= _16.101d
   patir avane ravataṃsitāyatākṣaḥ Pnc_3.49b	patiH avane rava taMsita Ayata akzaH Pnc_3.49b
   patiṃ pṛthivyāḥ prathitaprabhāvaḥ Pnc_11.120d	patim pRTivyAH praTita praBAvaH Pn= _11.120d
   patiṃ madhyamalokasya Pnc_11.16c	patim maDyama lokasya Pn= _11.16c
   pattikolāhalena ca Pnc_2.15b	patti kolAhalena ca Pnc_2.15b
   patyā bhuvaḥ sāgaramekhalāyāḥ Pnc_1.63b	patyA BuvaH sAgara meKalAyAH Pn= _1.63b
   patyā saha vanānteṣu Pnc_11.62a	patyA saha vana antezu Pn= _11.62a
   patyur viśām astagirer ivārkaḥ Pnc_17.40d	patyuH viSAm astagireH iva arkaH Pn= _17.40d
   patyuḥ prajānām asureśvaro 'tha Pnc_17.68a	patyuH prajAnAm asura ISvaraH aTa Pnd _17.68a
   patyuḥ prasādasmitarajjukṛṣṭā Pnc_17.42a	patyuH prasAda smita rajju kRzwA Pn= _17.42a
   patrāntarair āśramapādapānām Pnc_14.3d	patra antarEH ASrama pAdapAnAm Pn= _14.3d
   patrāvalī taruṇi te valitānaneti Pnc_12.79b	patra AvalI taruNi te valita AnanA iti Pnd _12.79b
   patreṇa sphuṭaghaṭitātapatralīlaḥ Pnc_6.119b	patreNa sPuwa Gawita Atapatra lIlaH Pnc_6.119b
   patreṇāmbujinībhuvā Pnc_2.86b	patreNa ambujinIBuvA Pn= _2.86b
   pathānena rathakṣuṇṇa  Pnc_16.87c	paTA anena raTa kzuNNa Pn= _16.87c
   pathi ced avatiṣṭhase praṇīte Pnc_5.52a	paTi ced avatizWase praNIte Pn= _5.52a
   pathi jātena pariśrameṇa sa Pnc_12.6b	paTi jAtena pariSrameNa sa Pnc_12.6b
   pathi locanayor eṣa Pnc_2.56c	paTi locanayoH eza Pn= _2.56c
   pathi vicare 'dhinākakanyakānām Pnc_3.70d	paTi vicare aDinAka kanyakAnAm Pn= _3.70d
   pathi siddhāntasamīkṣite caranti Pnc_5.61d	paTi sidDAnta samIkzite caranti Pn= _5.61d
   pathi smarasya viṣame Pnc_6.74a	paTi smarasya vizame Pn= _6.74a
   patho jayasyātha gajān asīṃś ca Pnc_17.8b	paTaH jayasya aTa gajAn asIn ca Pnd _17.8b
   padam aṅke vanitā ca vallakī ca Pnc_5.17d	padam aFke vanitA ca vallakI ca Pn= _5.17d
   padam apade hṛdayeṣu cakranāmnām Pnc_3.50d	padam apade hRdayezu cakra nAmnAm Pn= _3.50d
   padam astācalacūlake raviḥ Pnc_12.20d	padam astAcala cUlake raviH Pn= _12.20d
   padavīṃ nyāyavidāṃ vilaṅghayanti Pnc_5.52d	padavIm nyAya vidAm vilaFGayanti Pn= _5.52d
   padaṃ kva te kiṃ ca kapir bhavān abhūt Pnc_13.30b	padam kva te kim ca kapiH BavAn aBUt Pnc_13.30b
   padaṃ nidhatte kumude dinaklamaḥ Pnc_13.16d	padam niDatte kumude dina klamaH Pn= _13.16d
   padaṃ nidhatse gṛhamedhināṃ dhuri Pnc_7.76b	padam niDatse gRhameDinAm Duri Pnd _7.76b
   padaṃ pathi nidhatse 'tra Pnc_16.111a	padam paTi niDatse atra Pn= _16.111a
   padaṃ vanālokanakautukena Pnc_14.30d	padam vana Alokana kOtukena Pn= _14.30d
   padāhataḥ kāntam alaktakāṅgam Pnc_14.62b	pada AhataH kAntam alaktaka aFgam Pnc_14.62b
   pade pade vatsa vilambamānā Pnc_9.22d	pade pade vatsa vilambamAnA Pn= _9.22d
   pade pade sāndrasudhojjvalāni Pnc_1.20a	pade pade sAndra suDA ujjvalAni Pnd _1.20a
   padmakiñjalkasaurabhaḥ Pnc_2.12b	padma kiQjalka sOraBaH Pnc_2.12b
   padmakesaraśālinā Pnc_6.54b	padma kesara SAlinA Pnc_6.54b
   padmachadāyatadṛśā dadṛśe 'tha tasminn Pnc_18.26c	padma Cada Ayata dRSAH dadRSe aTa tasmin Pn= _18.26c
   padmarāgaprabhāvṛtaḥ Pnc_2.10b	padmarAga praBA AvRtaH Pnc_2.10b
   padmarāgaracitālavālakā Pnc_8.66a	padmarAga racita ala vAlakA Pn= _8.66a
   panthāḥ puro 'surasyāsya Pnc_11.110a	panTAH puras asurasya asya Pn= _11.110a
   panthāḥ śivo 'yaṃ purato 'tra gantā Pnc_9.65a	panTAH SivaH ayam puratas atra gantA Pn= _9.65a
   pannagendraduhituḥ kareṇa yaḥ Pnc_8.34a	pannaga indra duhituH kareNa yaH Pn= _8.34a
   pannagendrasutayā tayā nṛpaḥ Pnc_8.6d	pannaga indra sutayA tayA nRpaH Pn= _8.6d
   papāta paścād iva hemakuṭṭime Pnc_13.24c	papAta paScAt iva hema kuwwime Pn= _13.24c
   papāta me locanagocare 'rṇavaḥ Pnc_13.35d	papAta me locana gocare arNavaH Pn= _13.35d
   papāta sīmantamaṇir mṛgīdṛśaḥ Pnc_13.46d	papAta sImanta maNiH mRgI dRSaH Pn= _13.46d
   papātāvantibhartari Pnc_6.101d	papAta avanti Bartari Pn= _6.101d
   papau śaśiprabhāpy enaṃ Pnc_6.33a	papO SaSipraBA api enam Pnd _6.33a
   paya iva vistṛtadhāram ujjagāra Pnc_3.47d	payaH iva vistRta DAram ujjagAra Pn= _3.47d
   payasi niyamasthitair iva Pnc_15.9b	payasi niyama sTitEH iva Pnc_15.9b
   payāṃsīva pade pade Pnc_11.19d	payAMsi iva pade pade Pn= _11.19d
   payodakhaṇḍe harivāḍ ivāyudham Pnc_13.27d	payoda KaNxe hari vAx iva AyuDam Pn= _13.27d
   payodhamadhye śaśinaḥ kalām iva Pnc_4.9d	payoDa maDye SaSinaH kalAm iva Pn= _4.9d
   payodharadvandvam ivājilakṣmyāś Pnc_17.64c	payoDara dvandvam iva aji lakzmyAH Pn= _17.64c
   payodharaspṛśam ivāsasāda sa Pnc_4.4d	payoDara spRSam iva AsasAda sa Pn= _4.4d
   payodharotsaṅganivāsalālitaṃ Pnc_4.43a	payoDara utsaFga nivAsa lAlitam Pn= _4.43a
   payodhiveleva suvelam āpa sā Pnc_4.44d	payoDi velA iva suvelam Apa sA Pn= _4.44d
   parato 'stagirer idaṃ galaty Pnc_12.33c	paratas astagireH idam galati Pn= _12.33c
   parato 'stu śaras tvadarthitā sā Pnc_5.77c	paratas astu SaraH tvad arTitA sA Pn= _5.77c
   parabrahmopalabdhir vā Pnc_11.44c	para brahma upalabDiH vA Pn= _11.44c
   paramajyotiṣaḥ śikhāḥ Pnc_11.32d	parama jyotizaH SiKAH Pn= _11.32d
   paramaṇḍale tad anu nītipāragair Pnc_10.8c	para maNxale tat anu nIti pAragEH Pn= _10.8c
   paramānandasampadaḥ Pnc_11.44b	parama Ananda sampadaH Pnc_11.44b
   paramāra iti kṣiteḥ Pnc_16.107d	paramAraH iti kziteH Pn= _16.107d
   paramāra iti prapāt Pnc_11.71a	paramAraH iti prapAt Pn= _11.71a
   Paramārakulodvahaḥ Pnc_16.20b	Para mArakula udvahaH Pn= _16.20b
   Paramāramahībhṛti Pnc_2.52b	Para mAra mahIBRti Pnd _2.52b
   Paramāravaṃśasarasīsaroruha Pnc_10.11d	Para mAra vaMSa sarasI saroH uha Pn= _10.11d
   Paramārānvayodāra  Pnc_6.102c	Para mAra anvaya udAra Pn= _6.102c
   pararandhradṛṣṭipaṭucāracakṣuṣā Pnc_10.21b	para ranDra dRzwi pawu cAra cakzuzA Pnc_10.21b
   paravañcanapaṇḍitā matis te Pnc_5.70a	para vaQcana paNxitA matiH te Pnd _5.70a
   parasparakṣodasamākulāsu Pnc_1.80c	parasparakzoda samAkulAsu Pn= _1.80c
   parasparaspardhi vilāsasampadāṃ Pnc_4.58a	paraspara sparDi vilAsa sampadAm Pn= _4.58a
   parasparāghaṭṭitadantakoṭi  Pnc_17.65a	paraspara AGawwita danta kowi Pn= _17.65a
   parasparāpātajuṣām asīnāṃ Pnc_17.51a	paraspara apAta juzAm asInAm Pnd _17.51a
   parasparāpātikṛpāṇaniryat  Pnc_17.9a	paraspara ApAti kRpANa niryat Pn= _17.9a
   paraṃ vānīrapallavāḥ Pnc_16.42d	param vAnIra pallavAH Pn= _16.42d
   parākramāgner iva dhūmalekhā Pnc_17.59d	parAkrama agneH iva DUma leKA Pn= _17.59d
   parāgam iva paṅkajam Pnc_2.75d	parAgam iva paFkajam Pn= _2.75d
   parāṅmukhīnām api ratnabhittau Pnc_1.39a	parAFmuKInAm api ratna BittO Pnd _1.39a
   parāṅmukhenāpi sadā parasve Pnc_1.63a	parAFmuKena api sadA para sve Pn= _1.63a
   parāmamarśāṅgam anaṅgamohitaḥ Pnc_13.3d	parAmam arSa aFgam anaFga mohitaH Pn= _13.3d
   parārdhyacūḍāmaṇinā ca maulinā Pnc_4.30d	parArDya cUxAmaNinA ca mOlinA Pn= _4.30d
   parikhacitam ayatnapūritāśair Pnc_3.14a	pariKacitam ayatna pUrita ASEH Pnd _3.14a
   parikhāyāḥ patir bhuvaḥ Pnc_11.92d	pariKAyAH patiH BuvaH Pn= _11.92d
   parikhārṇavam ullaṅghya Pnc_16.67c	pariKA arNavam ullaFGya Pn= _16.67c
   parigalitamauktikabhramāt Pnc_15.27b	parigalita mOktika BramAt Pn= _15.27b
   paricayataḥ kṛtakāntisaṃvibhāgam Pnc_3.11d	paricayataH kRta kAnti saMviBAgam Pn= _3.11d
   paricita eṣa sadā śaśiprabhāyāḥ'' Pnc_3.67d	paricitaH eza sadA SaSipraBAyAH aa Pn= _3.67d
   paricumbati vāruṇīṃ diśaṃ Pnc_12.26a	paricumbati vAruNIm diSam Pn= _12.26a
   paricumbati sma na paraṃ vadhūm api Pnc_15.64d	paricumbati sma na param vaDUm api Pn= _15.64d
   paricyutaiḥ kuñjarakarṇaśaṅkhaiḥ Pnc_17.26b	paricyutEH kuQjara karNa SaFKEH Pnc_17.26b
   pariṇatabisakāṇḍabhaṅgapītaṃ Pnc_3.47c	pariNata bisa kANxa BaFga pItam Pn= _3.47c
   pariṇāmena tadantare 'tra haṃsaḥ Pnc_5.34b	pariNAmena tad antare atra haMsaH Pnc_5.34b
   pariṇāhavat kucaniṣiddha  Pnc_15.13a	pariNAha vat kuca nizidDa Pnd _15.13a
   pariṇītām adhīratām Pnc_6.117d	pariNItAm aDIra tAm Pn= _6.117d
   pariṇetuṃ śaśiprabhām Pnc_16.87b	pariNetum SaSi praBAm Pnc_16.87b
   paritaḥ śramavāribindavo ye Pnc_5.33c	paritas Srama vAri bindavaH ye Pnc_5.33c
   paritaḥ sukhātaparikhāṃ punaḥ purīṃ Pnc_10.32c	paritas suKa AtapariKAm punar purIm Pn= _10.32c
   paritaḥ svadurghaṭane yatiṣyate Pnc_10.31d	paritas sva durGawane yatizyate Pn= _10.31d
   paritaḥ svedalavair ivāṅkitam Pnc_12.47d	paritas sveda lavEH iva aFkitam Pn= _12.47d
   paritāpavatyaviralocchalatprabhā  Pnc_10.62a	paritApavati avirala ucCalat praBA Pn= _10.62a
   parito nicitāḥ sadaiva yasmin Pnc_5.10c	paritas nicitAH sadA eva yasmin Pn= _5.10c
   parito vyadhitāraṇyaṃ Pnc_2.19c	paritas vyaDita araNyam Pn= _2.19c
   paripanthinām iha vidheyavastuni Pnc_10.9b	paripanTinAm iha viDeya vastuni Pnd _10.9b
   paripiñjaritāsitāmbarair Pnc_12.36a	paripiQjarita asita ambarEH Pn= _12.36a
   parimalamuco mṛgīdṛśaḥ Pnc_15.36b	parimala mucaH mRgI dRSaH Pnc_15.36b
   parimalarasajñatām aliḥ Pnc_15.58b	parimala rasa jQa tAm aliH Pnc_15.58b
   parimṛjya mukhaṃ vilāsinā Pnc_12.71a	parimRjya muKam vilAsinA Pn= _12.71a
   parimṛṣṭārdrakapolapatrayā Pnc_12.73b	parimRzwa Ardra kapola patrayA Pn= _12.73b
   parimlāneva lakṣyase Pnc_16.18b	parimlAn eva lakzyase Pnc_16.18b
   parivarto 'yam akāri hārayor yaḥ Pnc_5.74b	parivartaH ayam akAri hArayoH yaH Pn= _5.74b
   parivārapramadānideśitaṃ sā Pnc_5.29b	parivAra pramadA nideSitam sA Pnd _5.29b
   parividdharekham adhitīra  Pnc_15.4a	parividDa reKam aDitIra Pn= _15.4a
   pariveṣavibhramaniveśi  Pnc_15.18a	pariveza viBrama niveSi Pn= _15.18a
   pariślatheyaṃ kabarī niyamyate Pnc_4.12b	pariSlaTA iyam kabarI niyamyate Pnc_4.12b
   pariślathe saṃyamanārtham etayā Pnc_7.12c	pariSlaTe saMyamana arTam etayA Pn= _7.12c
   parisaram abhinṛttanīlakaṇṭhaṃ Pnc_3.3c	parisaram aBinRtta nIla kaNWam Pn= _3.3c
   pariskhalatsaptasamudramudrā Pnc_1.80b	parisKalat sapta samudra mudrA Pnc_1.80b
   parisphuratkuṇḍalaghṛṣṭapuṅkhās Pnc_17.56a	parisPurat kuNxala GRzwa puFKAH Pnd _17.56a
   parisphuratpallavapāṭalādharo Pnc_4.5c	parisPurat pallava pAwalA DaraH Pn= _4.5c
   parisphuratphenavilāsahāsā Pnc_14.79b	parisPurat Pena vilAsa hAsA Pn= _14.79b
   parisphurantyā sphaṭikākṣamālayā Pnc_13.10d	parisPurantyA sPawika akzamAlayA Pn= _13.10d
   paryaṅkavat kanakavedisanāthamadhyam Pnc_11.121b	paryaFka vat kanaka vedi sanATa maDyam Pnc_11.121b
   paryaṅke dantavāsasi Pnc_2.71d	paryaFke danta vAsasi Pn= _2.71d
   paryantahemasikate pṛtanāniveśaḥ Pnc_14.86d	paryanta hema sikate pRtanA niveSaH Pn= _14.86d
   paryastastabakābhavat Pnc_2.76d	paryasta stabaka aBavat Pn= _2.76d
   paryāṇaparyutsukamānaso muniḥ Pnc_13.17c	paryANa paryutsuka mAnasaH muniH Pn= _13.17c
   paryāpta iva candramaḥ Pnc_2.74d	paryAptaH iva candramaH Pn= _2.74d
   paryāptakṛṣṇāgurudhūmagandhe Pnc_14.46b	paryApta kRzNA guru DUma ganDe Pn= _14.46b
   paryāyajātobhayasainyabhaṅga  Pnc_17.52a	paryAya jAta uBaya sEnya BaFga Pn= _17.52a
   paryutsukaḥ svanagarīṃ sa nṛpaḥ pratasthe Pnc_18.55d	paryutsukaH sva nagarIm sa nRpaH pratasTe Pn= _18.55d
   paryupāsta viśāmpatim Pnc_2.88d	paryupAsta viSAm patim Pn= _2.88d
   parvaṇy ujjayinīṃ purīṃ Pnc_6.22d	parvaNi ujjayinIm purIm Pn= _6.22d
   pallavaprastare tataḥ Pnc_2.99b	pallava prastare tatas Pn= _2.99b
   pallavālikhitahaṃsahāriṇi Pnc_8.28b	pallava aliKita haMsa hAriNi Pnd _8.28b
   pallavāsanam upāsya śāsanaḥ Pnc_8.33b	pallava Asanam upAsya SAsanaH Pnc_8.33b
   paścād alajjatālībhis Pnc_6.108c	paScAt alajjata alIBiH Pn= _6.108c
   paścād dṛśau ketakapatradīrghe Pnc_9.14b	paScAt dRSO ketaka patra dIrGe Pnc_9.14b
   paśya citre likhāmy aham Pnc_6.29b	paSya citre liKAmi aham Pnc_6.29b
   paśya japāpāṭalayānayā Pnc_11.26b	paSya japA pAwalayA anayA Pn= _11.26b
   paśya tatpadam itīva revayā Pnc_8.29c	paSya tat padam iti iva revayA Pn= _8.29c
   paśyato 'sya na camatkṛtaṃ manaḥ Pnc_8.56d	paSyataH asya na camat kRtam manaH Pn= _8.56d
   paśya nīpataroś chāyā Pnc_2.62c	paSya nIpa taroH CAyA Pn= _2.62c
   paśyanti paśya svam ivāptakāntiṃ Pnc_14.68c	paSyanti paSya svam iva Apta kAntim Pn= _14.68c
   paśyanti yenāvahitāḥ kavīndrās Pnc_1.4c	paSyanti yena avahitAH kavi indrAH Pn= _1.4c
   paśyantīnāṃ munimṛgadṛśāṃ locanāṃśūtkareṇa Pnc_13.70b	paSyantInAm muni mRga dRSAm locana aMSu utkareNa Pnd _13.70b
   paśya paśya capaleyam antikāt Pnc_8.10a	paSya paSya capaleyam antikAt Pn= _8.10a
   paśya paśya śaśiprabhe Pnc_6.102b	paSya paSya SaSi praBe Pnc_6.102b
   paśya puṃskokilaiḥ sthitam Pnc_2.61d	paSya puMskokilEH sTitam Pn= _2.61d
   paśya ślathaṃ keśakalāpam eṣā Pnc_14.52b	paSya SlaTam keSa kalApam ezA Pnc_14.52b
   paśyāgravātāyanam etad etya Pnc_14.36a	paSya agra vAtAyanam etat etya Pn= _14.36a
   paśyātra darpaṇatale likhitā mayeyaṃ Pnc_12.79a	paSya atra darpaNa tale liKitAH mayA iyam Pn= _12.79a
   paśyābhitaḥ pallaviteyam āsām Pnc_14.70c	paSya aBitas pallavitA iyam AsAm Pn= _14.70c
   paśyāmburāser iva jahnukanyā Pnc_14.31d	paSya amburAseH iva jahnukanyA Pn= _14.31d
   paśyālinīle paribhāgam eti Pnc_14.46d	paSyAli nIle pariBAgam eti Pn= _14.46d
   paśyendragopaśriyam udvahantaḥ Pnc_14.33b	paSya indragopa Sriyam udvahantaH Pnc_14.33b
   paśyeyam udbāhulatāhitaśrīr Pnc_14.59a	paSyeyam udbAhu latA hita SrIH Pnd _14.59a
   paśyaite guruśikṣayā Pnc_11.20b	paSya ete guru SikzayA Pn= _11.20b
   paśyotpatatpuṣpaśilīmukheyam Pnc_14.42c	paSya utpatat puzpa SilImuKA iyam Pn= _14.42c
   paśyonmayūkhā maṇikarṇapūrāḥ Pnc_14.22b	paSya unmayUKAH maNikarNapUrAH Pn= _14.22b
   paśyopariṣṭād alimaṇḍalāni Pnc_14.40c	paSya uparizwAt ali maNxalAni Pn= _14.40c
   paspṛśe pārthivo bhṛśam Pnc_2.1d	paspRSe pArTivaH BRSam Pn= _2.1d
   pāṭalākuḍmaleṣu te Pnc_6.81d	pAwalA kuxmalezu te Pn= _6.81d
   pāṭalādharapallavam Pnc_6.6b	pAwalA aDara pallavam Pnc_6.6b
   Pāṭalām ity avocata Pnc_16.47d	PAwalAm iti avocata Pn= _16.47d
   Pāṭale kiṃ na paśyasi ? Pnc_16.48d	PAwale kim na paSyasi ? Pn= _16.48d
   pāṇisparśeṇa patriṇā Pnc_6.10b	pANi sparSeNa patriNA Pnd _6.10b
   pāṇiḥ samucchalitamaṅgalatūryaghoṣe Pnc_18.25b	pANiH samucCalita maFgala tUrya Goze Pnc_18.25b
   pāṇḍimā ripuyoṣitām Pnc_11.100b	pANximAH ripu yozitAm Pnd _11.100b
   pāṇḍupakṣmaladṛśaḥ paricyutaṃ Pnc_8.24a	pANxu pakzmaladRSaH paricyutam Pn= _8.24a
   pāṇḍuḥ śaraddhanair ūrdhvam Pnc_11.58a	pANxuH Sarad DanEH UrDvam Pnc_11.58a
   pātālakalpavṛkṣāṇām Pnc_11.7c	pAtAla kalpavRkzANAm Pn= _11.7c
   pātālakukṣipratinādasāndraḥ Pnc_14.9b	pAtAla kukzi pratinAda sAndraH Pnc_14.9b
   pātālacandrakalayā sas tayā sametya Pnc_18.48d	pAtAla candra kalayA saH tayA sametya Pn= _18.48d
   pātālacirasaṃvāsāc Pnc_16.106c	pAtAla cira saMvAsAt Pn= _16.106c
   pātālamallam anilasya pathā jagāma Pnc_18.45d	pAtAla mallam anilasya paTA jagAma Pn= _18.45d
   pātālam etan nayanotsavena Pnc_14.23a	pAtAlam etat nayana utsavena Pn= _14.23a
   pātālavilāsinī jagāda Pnc_5.6d	pAtAla vilAsinI jagAda Pn= _5.6d
   pātālasaṃtamasam asya puro babhūva Pnc_13.68d	pAtAla saMtamasam asya puras baBUva Pn= _13.68d
   pātālendukale tava Pnc_6.53d	pAtAla indu kale tava Pn= _6.53d
   pātram atrir ivogrāṇāṃ Pnc_11.36c	pAtram atriH iva ugrANAm Pn= _11.36c
   pādanyāsotsavaḥ sphuṭam Pnc_6.72b	pAda nyAsa utsavaH sPuwam Pnc_6.72b
   pādapadmadvayī tava Pnc_11.112d	pAda padma dvayI tava Pn= _11.112d
   pādābjayāvakaniṣaktam ivācakāśe Pnc_17.71d	pAda abja yAvaka nizaktam iva AcakASe Pn= _17.71d
   pānanamitamukhamugdhavadhū  Pnc_15.55c	pAna namita muKa mugDa vaDU Pn= _15.55c
   pāram agād dvayoḥ Pnc_2.25b	pAram agAt dvayoH Pnc_2.25b
   pāraṃ gatāḥ praṇavam ātmavido vadanti Pnc_18.21b	pAram gatAH praNavam Atma vidaH vadanti Pnd _18.21b
   pārāvatātimadhuradhvanitachalena Pnc_18.58b	pArAvata ati maDura Dvanita Calena Pn= _18.58b
   pāriplavavyaktamṛṇālakāṇḍā Pnc_14.84b	pAriplava vyakta mRNAla kANxA Pn= _14.84b
   pārollasannavarasormiṣu mānaseṣu Pnc_18.9d	pArolla sanna varasa Urmizu mAnasezu Pn= _18.9d
   pārthasya pāñcālanṛpātmajeva Pnc_9.44d	pArTasya pAQcAla nRpa AtmajA iva Pn= _9.44d
   pārthivaṃ janitakautukaḥ śukaḥ Pnc_8.73b	pArTivam janita kOtukaH SukaH Pnc_8.73b
   pārthivaḥ patitum aicchad ambhasi Pnc_8.31b	pArTivaH patitum EcCat amBasi Pnd _8.31b
   pārthivaḥ svam atha narmadāmbhasi Pnc_8.38b	pArTivaH svam aTa narmadA amBasi Pnd _8.38b
   pārthivāhipatikanyakāṃ prati Pnc_8.8b	pArTiva ahi pati kanyakAm prati Pnd _8.8b
   pārthivendur ajāyata Pnc_11.80d	pArTiva induH ajAyata Pn= _11.80d
   pārthivo hi navasāhasāṅka Pnc_8.77c	pArTivaH hi nava sAhasa aFka Pn= _8.77c
   pārvatīva pinākinaḥ Pnc_16.109b	pArvatI iva pinAkinaH Pn= _16.109b
   pāśam ākāśavartmani Pnc_2.7d	pASam AkASa vartmani Pn= _2.7d
   pāṃsukūṭair ajāyata Pnc_2.13b	pAMsu kUwEH ajAyata Pnd _2.13b
   pāṃsucchaṭāḥ śeṣaphaṇāmaṇīnām Pnc_1.68b	pAMsu= CawAH Seza PaNA maNInAm Pnc_1.68b
   pitrā tad asyāḥ kṛtam arthayuktam Pnc_9.40c	pitrA tat asyAH kRtam arTa yuktam Pn= _9.40c
   pidhātum ālekhyanṛpe nyadhīyata Pnc_7.25d	piDAtum AleKya nRpe nyaDIyata Pn= _7.25d
   pipeṣa vairidviṣakumbhapīṭham Pnc_17.63b	pipeza vEri dviza kumBa pIWam Pnc_17.63b
   piśaṅgayaty eṣa diśāṃ mukhāni Pnc_14.16d	piSaFgayati eza diSAm muKAni Pn= _14.16d
   pihitāśaṃ tuhināṃśunā karaiḥ Pnc_12.55b	pihita ASam tuhina aMSunA karEH Pnc_12.55b
   pihite puṣkarapatralocane Pnc_12.57b	pihite puzkara patra locane Pn= _12.57b
   pītaśītakaramūrtitānavaṃ Pnc_8.35c	pIta SIta kara mUrti tAnavam Pn= _8.35c
   pīnāṃsataṭasaṃśliṣṭa  Pnc_2.91a	pIna aMsa tawa saMSlizwa Pn= _2.91a
   pīnāṃsalolamaṇikuṇḍalam uttamāṅgam Pnc_17.69d	pIna aMsa lola maNi kuNxalam uttamAFgam Pn= _17.69d
   pīyūṣadhārāmadhurair vacobhis Pnc_9.26b	pIyUza DArA maDurEH vacoBiH Pnc_9.26b
   puṇḍarīkadalatviṣā Pnc_6.45b	puNxarIka dala tvizA Pn= _6.45b
   puṇḍarīkāyatekṣaṇaḥ Pnc_2.21d	puNxarIka Ayata IkzaNaH Pn= _2.21d
   puṇyayā hṛtam ātmānam Pnc_11.114c	puNyayA hRtam AtmAnam Pn= _11.114c
   puṇyā puro dūrata eva tena Pnc_14.85c	puNyA puras dUratas eva tena Pn= _14.85c
   puṇyās tatpādapāṃsavaḥ Pnc_16.116d	puNyAH tad pAda pAMsavaH Pn= _16.116d
   puṇyena janmāntarasambhṛtena Pnc_9.47d	puNyena janma antara samBRtena Pn= _9.47d
