   akaros tvaṃ pratāpena RmUD_*6.34c	akaroH tvam pratApena RmUD_*6.34c
   mantharādūṣitāśayā RmUD_43*2.3b	manTarA-dUzita-ASayAH RmUD_43*2.3b
   mandodarī vadhaṃ śrutvā RmUD_*6.46a	mandodarI vaDam SrutvA RmUD_*6.46a
   mandodarīṃ mayasutāṃ RmUD_8*1.8a	mandodarIm maya-sutAm RmUD_8*1.8a
   mayā saha samantriṇā RmUD_*6.26b	mayA saha sa-mantriNA RmUD_*6.26b
   mayūrāś ca yathā śiśūn RmUD_*6.59b	mayUrAH ca yaTA SiSUn RmUD_*6.59b
   mātulasya yudhājitaḥ RmUD_41*2.1b	mAtulasya yuDAjitaH RmUD_41*2.1b
   mātṛbhiś cābhinanditaḥ RmUD_*6.57d	mAtRBiH ca-aBinanditaH RmUD_*6.57d
   mānuṣaṃ deham utsṛjya RmUD_151c	mAnuzam deham utsRjya RmUD_151c
   mānuṣeṇa padātinā RmUD_*6.33b	mAnuzeNa padAtinA RmUD_*6.33b
   māyāsītāṃ vinikṣipya RmUD_*6.19c	mAyA-AsItAm vinikzipya RmUD_*6.19c
   mārīcasyāśramaṃ prāpya RmUD_73*3.13c	mArIcasya-ASramam prApya RmUD_73*3.13c
   mārutiś cauṣadhīs tatrā- RmUD_*6.13c	mArutiH ca-ozaDIH tatrA RmUD_*6.13c
   mā viṣādaṃ kṛthā devi RmUD_118*5.10a	mA vizAdam kRTAH devi RmUD_118*5.10a
   mithyā viṣādaṃ saṃtyajya RmUD_*6.24a	miTyA vizAdam saMtyajya RmUD_*6.24a
   munibhiś cābhipūjitaḥ RmUD_*6.50b	muniBiH ca-aBipUjitaH RmUD_*6.50b
   mṛtaṃ putram ajīvayat RmUD_148d	mRtam putram ajIvayat RmUD_148d
   meghanādāhvayaṃ sutam RmUD_8*1.8d	meGanAda-Ahvayam sutam RmUD_8*1.8d
   maithilīṃ madanārditaḥ RmUD_114*5.6b	mETilIm madana-arditaH RmUD_114*5.6b
   mocayām āsa brahmā tvāṃ RmUD_*6.35a	mocayAm Asa brahmA tvAm RmUD_*6.35a
   yajñaṃ cāpālayan muneḥ RmUD_34*1.34d	yajQam ca-apAlayan muneH RmUD_34*1.34d
   yatra ramo 'vrajal laghu RmUD_*6.21d	yatra ramaH avrajat laGu RmUD_*6.21d
   yathārhaṃ pūjitāś cāsan RmUD_*6.61c	yaTArham pUjitAH ca-Asan RmUD_*6.61c
   yathāvidhi sahānujaḥ RmUD_54*2.14d	yaTAviDi saha-anujaH RmUD_54*2.14d
   yathā viṣṇus triviṣṭape RmUD_*6.66d	yaTA vizNuH trivizwape RmUD_*6.66d
   yathā sītāvalokane RmUD_*6.62d	yaTA sItA-avalokane RmUD_*6.62d
   yayāce yajñarakṣārthaṃ RmUD_29*1.29c	yayAce yajQa-rakzA-arTam RmUD_29*1.29c
   yayāce rakṣituṃ rājyaṃ RmUD_56*2.16c	yayAce rakzitum rAjyam RmUD_56*2.16c
   yayāce satyasaṃgaram RmUD_43*2.3d	yayAce satya-saMgaram RmUD_43*2.3d
   yas tu dāśarathir bhūtvā RmUD_156*7.9a	yaH tu dASaraTiH BUtvA RmUD_156*7.9a
   yātudhānās tataḥ sarve RmUD_7*1.7a	yAtuDAnAH tatas sarve RmUD_7*1.7a
   yātudhānaiḥ samanvitaḥ RmUD_70*3.10d	yAtuDAnEH samanvitaH RmUD_70*3.10d
   yāhīty uktvā divaṃ yayau RmUD_87*3.27d	yAhi-iti uktvA divam yayO RmUD_87*3.27d
   yuddhaṃ cakre sudāruṇam RmUD_*6.42d	yudDam cakre su-dAruNam RmUD_*6.42d
   yuddhaṃ tyaktvā tataḥ sarvair RmUD_*6.21a	yudDam tyaktvA tatas sarvEH RmUD_*6.21a
   yuddhe hantuṃ sa rāghavau RmUD_*6.18d	yudDe hantum sa rAGavO RmUD_*6.18d
   yenāham adya paśyāmi RmUD_*6.32c	yena-aham adya paSyAmi RmUD_*6.32c
   yeṣāṃ prasādād rāmasya RmUD_155a	yezAm prasAdAt rAmasya RmUD_155a
   yauvarājyaṃ tu dattavān RmUD_*6.67b	yOvarAjyam tu dattavAn RmUD_*6.67b
   rakṣituṃ raghunandanaḥ RmUD_75*3.15b	rakzitum raGunandanaH RmUD_75*3.15b
   rakṣodīpitalāṅgūlaḥ RmUD_121*5.13a	rakzaH-dIpita-lAFgUlaH RmUD_121*5.13a
   rakṣobhiḥ saha niryāya RmUD_131a	rakzoBiH saha niryAya RmUD_131a
   raghūttamasyottamāṅge RmUD_137c	raGUttamasya-uttamAFge RmUD_137c
   rajyāya bharatas tadā RmUD_55*2.15b	rajyAya BarataH tadA RmUD_55*2.15b
   raṇaṃ cakre sudāruṇam RmUD_98*4.10d	raNam cakre su-dAruNam RmUD_98*4.10d
   raṇāyāhvayata kṣipraṃ RmUD_97*4.9c	raNAya-Ahvayata kzipram RmUD_97*4.9c
   raṇe jitvā dhanādhipam RmUD_6*1.6b	raNe jitvA DanADipam RmUD_6*1.6b
   raṇe hatvā ca rāvaṇam RmUD_156*7.9b	raNe hatvA ca rAvaNam RmUD_156*7.9b
   ratham āruhya cāgamat RmUD_47*2.7d	raTam Aruhya ca-agamat RmUD_47*2.7d
   ratham āruhya vāhinīm RmUD_*6.11b	raTam Aruhya vAhinIm RmUD_*6.11b
   ratham aindraṃ samāruhan RmUD_*6.43b	raTam Endram samAruhan RmUD_*6.43b
   rathaṃ sūta mamāgre tvaṃ RmUD_*6.41a	raTam sUta mama-agre tvam RmUD_*6.41a
   rarakṣa ca vasuṃdharām RmUD_58*2.18d	rarakza ca vasuMDarAm RmUD_58*2.18d
   rarakṣa lokān vaikuṇṭhaḥ RmUD_156*7.9c	rarakza lokAn vEkuNWaH RmUD_156*7.9c
   rarāja rāmo dharmātmā hy RmUD_*6.43c	rarAja rAmaH Darma-AtmA hi RmUD_*6.43c
   rasātalanivāsinaḥ RmUD_7*1.7b	rasAtala-nivAsinaH RmUD_7*1.7b
   rasāṃ rasātalaṃ caiva RmUD_9*1.9a	rasAm rasAtalam ca-eva RmUD_9*1.9a
   rākṣasāñ śarasaṃcayaiḥ RmUD_*6.29d	rAkzasAn Sara-saMcayEH RmUD_*6.29d
   rākṣasānām adhipatiṃ RmUD_138a	rAkzasAnAm aDipatim RmUD_138a
   rākṣasā nihatāḥ sarve RmUD_*6.38c	rAkzasAH nihatAH sarve RmUD_*6.38c
   rākṣasān prahṛtān api RmUD_*6.39b	rAkzasAn prahRtAn api RmUD_*6.39b
   rākṣasān subahūn yuddhe RmUD_128*6.6c	rAkzasAn su-bahUn yudDe RmUD_128*6.6c
   rākṣasāś ca samāgaman RmUD_33*1.33d	rAkzasAH ca samAgaman RmUD_33*1.33d
   rākṣasendrasutaṃ jahi RmUD_*6.27b	rAkzasa-indra-sutam jahi RmUD_*6.27b
   rākṣasendrasutena vai RmUD_*6.25b	rAkzasa-indra-sutena vE RmUD_*6.25b
   rāghavas tasya nirdeśāc RmUD_50*2.10c	rAGavaH tasya nirdeSAt RmUD_50*2.10c
   rāghavas tu gires tasmād RmUD_59*2.19a	rAGavaH tu gireH tasmAt RmUD_59*2.19a
   rāghavas tu tato 'streṇa RmUD_34*1.34a	rAGavaH tu tatas astreNa RmUD_34*1.34a
   rāghavasya niyogataḥ RmUD_147*7.3b	rAGavasya niyogataH RmUD_147*7.3b
   rāghavasya viceṣṭitam RmUD_51*2.11d	rAGavasya vicezwitam RmUD_51*2.11d
   rāghavaṃ hantum āyayau RmUD_70*3.10b	rAGavam hantum AyayO RmUD_70*3.10b
   rāghavādīn ajīvayat RmUD_*6.14d	rAGava-AdIn ajIvayat RmUD_*6.14d
   rāghavāyātmanā kṛtam RmUD_122*5.14b	rAGavAya-AtmanA kRtam RmUD_122*5.14b
   rāghaveṇa parājitaḥ RmUD_130*6.8b	rAGaveNa parAjitaH RmUD_130*6.8b
   rāghavo niryayau tena RmUD_38*1.38c	rAGavaH niryayO tena RmUD_38*1.38c
   rāghavo rāvaṇaṃ raṇe RmUD_118*5.10b	rAGavaH rAvaNam raNe RmUD_118*5.10b
   rājā duḥkhavimūḍhadhīḥ RmUD_52*2.12b	rAjA duHKa-vimUXa-DIH RmUD_52*2.12b
   rājā paryagrahīd eva RmUD_145*7.1a	rAjA paryagrahIt eva RmUD_145*7.1a
   rājñe nyavedayat sarvaṃ RmUD_51*2.11c	rAjQe nyavedayat sarvam RmUD_51*2.11c
   rājyād bhraṣṭena dīnena RmUD_*6.33c	rAjyAt Brazwena dInena RmUD_*6.33c
   rājyāptyai bharatasya ca RmUD_44*2.4b	rAjya-AptyE Baratasya ca RmUD_44*2.4b
   rāmam eva tato vavre RmUD_68*3.8a	rAmam eva tatas vavre RmUD_68*3.8a
   rāma rāmeti vilapan RmUD_52*2.12c	rAma rAma-iti vilapan RmUD_52*2.12c
   rāmas tatyāja maithilīm RmUD_145*7.1d	rAmaH tatyAja mETilIm RmUD_145*7.1d
   rāmasyādarśanād vahni- RmUD_*6.55c	rAmasya-adarSanAt vahni RmUD_*6.55c
   rāmaṃ cīrajaṭādharam RmUD_56*2.16b	rAmam cIra-jawA-Daram RmUD_56*2.16b
   rāmaṃ tadaiva kaikeyī RmUD_45*2.5a	rAmam tadA-eva kEkeyI RmUD_45*2.5a
   rāmaṃ śaktidharopamam RmUD_29*1.29d	rAmam Sakti-Dara-upamam RmUD_29*1.29d
   rāmaṃ salakṣmaṇaṃ hantuṃ RmUD_*6.41c	rAmam sa-lakzmaNam hantum RmUD_*6.41c
   rāmaṃ sītopalabdhaye RmUD_87*3.27b	rAmam sItA-upalabDaye RmUD_87*3.27b
   rāmaṃ hantuṃ nyayuṅkta ca RmUD_130*6.8d	rAmam hantum nyayuFkta ca RmUD_130*6.8d
   rāmājñayātha sarve 'pi RmUD_*6.64a	rAma-AjQayA-aTa sarve api RmUD_*6.64a
   rāmādibhyas tatsutebhyaḥ RmUD_37*1.37c	rAma-AdiByaH tad-suteByaH RmUD_37*1.37c
   rāmāya vaiṣṇavaṃ cāpam RmUD_64*3.4a	rAmAya vEzNavam cApam RmUD_64*3.4a
   rāmeṇa janakātmajā RmUD_150*7.5b	rAmeNa janakAtmajA RmUD_150*7.5b
   rāmeṇa yuyudhe bhṛśaṃ RmUD_135d	rAmeNa yuyuDe BRSam RmUD_135d
   rāmeṇa samupekṣitaḥ RmUD_151b	rAmeNa samupekzitaH RmUD_151b
   rāmeṇa saha saṃgamya RmUD_*6.42c	rAmeNa saha saMgamya RmUD_*6.42c
   rāme hemamayīṃ patnīṃ RmUD_149*7.4a	rAme hema-mayIm patnIm RmUD_149*7.4a
   rāmo 'tha saha saṃgamya RmUD_*6.57a	rAmaH aTa saha saMgamya RmUD_*6.57a
   rāmo dharmabhṛtāṃ varaḥ RmUD_*6.44d	rAmaH Darma-BRtAm varaH RmUD_*6.44d
   rāmo 'pi mānuṣaṃ dehaṃ RmUD_153*7.7c	rAmaH api mAnuzam deham RmUD_153*7.7c
   rāmo 'pi vidhipūjitaḥ RmUD_*6.56d	rAmaH api viDi-pUjitaH RmUD_*6.56d
   rāmo 'pi suciraṃ tena RmUD_136a	rAmaH api su-ciram tena RmUD_136a
   rāmo moham avāpa saḥ RmUD_*6.22d	rAmaH moham avApa saH RmUD_*6.22d
   rāmo rakṣo'dhipena ca RmUD_140d	rAmaH rakzaH-aDipena ca RmUD_140d
   rāmo lakṣmaṇasaṃyutaḥ RmUD_101*4.13b	rAmaH lakzmaNa-saMyutaH RmUD_101*4.13b
   rāmo viśvāsam āyayau RmUD_*6.50d	rAmaH viSvAsam AyayO RmUD_*6.50d
   rāmo vīkṣya sunirmalām RmUD_*6.48b	rAmaH vIkzya su-nirmalAm RmUD_*6.48b
   rāvaṇas tu tato gatvā RmUD_6*1.6a	rAvaNaH tu tatas gatvA RmUD_6*1.6a
   rāvaṇas tu tadābhyetya RmUD_114*5.6a	rAvaNaH tu tadA-aByetya RmUD_114*5.6a
   rāvaṇasya gatāyuṣaḥ RmUD_*6.47d	rAvaNasya gata-AyuzaH RmUD_*6.47d
   rāvaṇasya niyogena RmUD_127*6.5a	rAvaNasya niyogena RmUD_127*6.5a
   rāvaṇasya viceṣṭitam RmUD_12*1.12d	rAvaNasya vicezwitam RmUD_12*1.12d
   rāvaṇasyānujena saḥ RmUD_*6.27d	rAvaNasya-anujena saH RmUD_*6.27d
   rāvaṇaṃ lokakaṇṭakam RmUD_*6.45b	rAvaNam loka-kaNwakam RmUD_*6.45b
   rāvaṇaḥ kapibhir dagdhāṃ RmUD_*6.15a	rAvaNaH kapiBiH dagDAm RmUD_*6.15a
   rāvaṇaḥ sokakarśitaḥ RmUD_*6.31b	rAvaNaH soka-karSitaH RmUD_*6.31b
   rāvaṇāya nyavedayat RmUD_120*5.12d	rAvaNAya nyavedayat RmUD_120*5.12d
   rāvaṇis tu tadābhyetya RmUD_129*6.7a	rAvaNiH tu tadA-aByetya RmUD_129*6.7a
   rāvaṇena pracoditam RmUD_*6.17b	rAvaNena pracoditam RmUD_*6.17b
   rāvaṇo nāma rākṣasaḥ RmUD_2*1.2b	rAvaNaH nAma rAkzasaH RmUD_2*1.2b
   rāvaṇo 'pi tato yuddhe RmUD_130*6.8a	rAvaNaH api tatas yudDe RmUD_130*6.8a
   rāvaṇo 'pi tadā yayau RmUD_115*5.7d	rAvaNaH api tadA yayO RmUD_115*5.7d
   rāvaṇo mānuṣād anyair RmUD_4*1.4a	rAvaNaH mAnuzAt anyEH RmUD_4*1.4a
   rāvaṇo yatirūpadhṛt RmUD_78*3.18b	rAvaNaH yati-rUpa-DRt RmUD_78*3.18b
   rāvaṇo yuddhadurmadam RmUD_*6.18b	rAvaNaH yudDa-durmadam RmUD_*6.18b
   rāvaṇo rakṣituṃ caināṃ RmUD_81*3.21c	rAvaNaH rakzitum ca-enAm RmUD_81*3.21c
   rudan prāṇān samatyajat RmUD_76*3.16d	rudan prANAn samatyajat RmUD_76*3.16d
   rurudhuḥ sarvato laṅkāṃ RmUD_126*6.4c	ruruDuH sarvatas laFkAm RmUD_126*6.4c
   lakṣmaṇaś ca tutoṣātha RmUD_*6.50c	lakzmaNaH ca tutoza-aTaH RmUD_*6.50c
   lakṣmaṇaś cānujagmatuḥ RmUD_46*2.6b	lakzmaNaH ca-anujagmatuH RmUD_46*2.6b
   lakṣmaṇaś cāvadhīc charaiḥ RmUD_*6.11d	lakzmaNaH ca-avaDIt SarEH RmUD_*6.11d
   lakṣmaṇaś codito bhṛśam RmUD_77*3.17b	lakzmaNaH coditaH BRSam RmUD_77*3.17b
   lakṣmaṇas tu tadā rāmam RmUD_*6.28a	lakzmaNaH tu tadA rAmam RmUD_*6.28a
   lakṣmaṇaṃ preṣayādyaiva RmUD_*6.26a	lakzmaNam prezaya-adya-eva RmUD_*6.26a
   lakṣmaṇaḥ sabhayabhraṃśād RmUD_151a	lakzmaNaH sa-Baya-BraMSAt RmUD_151a
   lakṣmaṇānumate rāmo RmUD_*6.67a	lakzmaNa-anumate rAmaH RmUD_*6.67a
   lakṣmaṇena tadā roṣāt RmUD_69*3.9a	lakzmaNena tadA rozAt RmUD_69*3.9a
   lakṣmaṇena samanvitam RmUD_30*1.30b	lakzmaNena samanvitam RmUD_30*1.30b
   lakṣmaṇo bhedayām āsa RmUD_*6.29c	lakzmaNaH BedayAm AsaH RmUD_*6.29c
   lakṣmaṇo vānarādhipam RmUD_102*4.14b	lakzmaNaH vAnara-aDipam RmUD_102*4.14b
   laṅkādhidevatāṃ jitvā RmUD_111*5.3a	laFkA-aDidevatAm jitvA RmUD_111*5.3a
   laṅkādhipatye 'bhyaṣiñcad RmUD_124*6.2c	laFkA-ADipatye aByaziQcat RmUD_124*6.2c
   laṅkāpurīṃ puṣpakaṃ ca RmUD_6*1.6c	laFkA-purIm puzpakam ca RmUD_6*1.6c
   laṅkām ānīya vai balāt RmUD_*6.34b	laFkAm AnIya vE balAt RmUD_*6.34b
   laṅkāyāṃ sukham āvasan RmUD_7*1.7d	laFkAyAm suKam Avasat RmUD_7*1.7d
   laṅkāsamarasādhakaḥ RmUD_*6.65b	laFkA-samara-sADakaH RmUD_*6.65b
   laṅkāṃ prāyād vibhīṣaṇaḥ RmUD_*6.65d	laFkAm prAyAt viBIzaNaH RmUD_*6.65d
   laṅkāṃ śokasamanvitā RmUD_72*3.12b	laFkAm Soka-samanvitA RmUD_72*3.12b
   lokapīḍanatatparām RmUD_32*1.32d	loka-pIxana-tatparAm RmUD_32*1.32d
   lokān ākramayan sarvāñ RmUD_9*1.9c	lokAn Akramayan sarvAn RmUD_9*1.9c
   lokeṣu tvatsamo nāsti RmUD_*6.37a	lokezu tvad-samaH na-asti RmUD_*6.37a
   vacanāt tasya vānarān RmUD_103*4.15b	vacanAt tasya vAnarAn RmUD_103*4.15b
   vañcayitvā tu tān paurān RmUD_47*2.7a	vaQcayitvA tu tAn pOrAn RmUD_47*2.7a
   vadhaṃ munibhir arthitaḥ RmUD_62*3.2d	vaDam muniBiH arTitaH RmUD_62*3.2d
   vanavāsāya cādiśat RmUD_45*2.5b	vana-vAsAya ca-AdiSat RmUD_45*2.5b
   vanavāsāya rāmasya RmUD_44*2.4a	vana-vAsAya rAmasya RmUD_44*2.4a
   vanāyaiva yayau rāmam RmUD_55*2.15c	vanAya-eva yayO rAmam RmUD_55*2.15c
   varadvayaṃ purā dattaṃ RmUD_43*2.3c	vara-dvayam purA dattam RmUD_43*2.3c
   vavrire ca varān iṣṭān RmUD_3*1.3c	vavrire ca varAn izwAn RmUD_3*1.3c
   vavre śūrpaṇakhābhikā RmUD_67*3.7b	vavre SUrpaNaKABikA RmUD_67*3.7b
   vavre sattvaguṇānvitaḥ RmUD_5*1.5b	vavre sattva-guNa-anvitaH RmUD_5*1.5b
   vavre so' pi nirākarot RmUD_67*3.7d	vavre saH-a pi nirAkarot RmUD_67*3.7d
   vasavo vāsavaṃ yathā RmUD_*6.60d	vasavaH vAsavam yaTA RmUD_*6.60d
   vasiṣṭhavacanād rāmaṃ RmUD_30*1.30a	vasizWa-vacanAt rAmam RmUD_30*1.30a
   vasiṣṭhādyā mudānvitāḥ RmUD_*6.60b	vasizWa-AdyAH mudA-anvitAH RmUD_*6.60b
   vasiṣṭhādyair dvijaiḥ saha RmUD_56*2.16d	vasizWa-AdyEH dvijEH saha RmUD_56*2.16d
   vasiṣṭho 'tha dvijaiḥ sākaṃ RmUD_143a	vasizWaH aTa dvijEH sAkam RmUD_143a
   vastracandanakuṅkumaiḥ RmUD_*6.63d	vastra-candana-kuFkumEH RmUD_*6.63d
   vānarāṇām adhipatiṃ RmUD_100*4.12c	vAnarANAm aDipatim RmUD_100*4.12c
   vānarā dakṣiṇāṃ diśam RmUD_105*4.17b	vAnarAH dakziNAm diSam RmUD_105*4.17b
   vānarān samupāgamat RmUD_121*5.13d	vAnarAn samupAgamat RmUD_121*5.13d
   vānarāṃś cāvadhīc charaiḥ RmUD_*6.12d	vAnarAn ca-avaDIt SarEH RmUD_*6.12d
   vānareṣv api paśyatsu RmUD_*6.20a	vAnarezu api paSyatsu RmUD_*6.20a
   vānaraiḥ sa parīvṛtaḥ RmUD_*6.21b	vAnarEH sa parIvRtaH RmUD_*6.21b
   vārttām ākarṇya duḥkhārtaḥ RmUD_82*3.22c	vArttAm AkarNya duHKa-ArtaH RmUD_82*3.22c
   vālinaṃ nāma vānaram RmUD_19*1.19b	vAlinam nAma vAnaram RmUD_19*1.19b
   vālī niṣkramya sugrīvaṃ RmUD_96*4.8a	vAlI nizkramya sugrIvam RmUD_96*4.8a
   vālī parivṛḍho 'bhavat RmUD_21*1.21b	vAlI parivRXaH aBavat RmUD_21*1.21b
   vāsavaṃ cāpy apīḍayat RmUD_10*1.10d	vAsavam ca-api apIxayat RmUD_10*1.10d
   vāhyamānaṃ sumantreṇa RmUD_47*2.7c	vAhyamAnam sumantreNa RmUD_47*2.7c
   vicinvānas tatas tataḥ RmUD_112*5.4b	vicinvAnaH tatas tatas RmUD_112*5.4b
   vicinvāno vanāntare RmUD_83*3.23b	vicinvAnaH vana-antare RmUD_83*3.23b
   vijitya bhārgavaṃ rāmam RmUD_39*1.39c	vijitya BArgavam rAmam RmUD_39*1.39c
   vijitya sa tu rāvaṇaḥ RmUD_9*1.9b	vijitya sa tu rAvaNaH RmUD_9*1.9b
   viddhvā bhūmau nyapātayat RmUD_99*4.11b	vidDvA BUmO nyapAtayat RmUD_99*4.11b
   vidhātāraṃ divaukasaḥ RmUD_12*1.12b	viDAtAram divOkasaH RmUD_12*1.12b
   vidhātā vividhaiḥ stavaiḥ RmUD_13*1.13d	viDAtA viviDEH stavEH RmUD_13*1.13d
   vibhīṣaṇasya dharmātmā RmUD_*6.51a	viBIzaNasya Darma-AtmA RmUD_*6.51a
   vibhīṣaṇo 'tha rāmeṇa RmUD_*6.47a	viBIzaNaH aTa rAmeNa RmUD_*6.47a
   vibhīṣaṇo 'tha saṃprāpya RmUD_*6.23a	viBIzaNaH aTa saMprApya RmUD_*6.23a
   vibhīṣaṇo viṣṇubhaktiṃ RmUD_5*1.5a	viBIzaNaH vizNu-Baktim RmUD_5*1.5a
   vimānaṃ tāḥ samāruhan RmUD_*6.53d	vimAnam tAH samAruhan RmUD_*6.53d
   virarāja tathā rāmo RmUD_*6.66c	virarAja taTA rAmaH RmUD_*6.66c
   virādhaṃ vidhicoditam RmUD_61*3.1b	virADam viDi-coditam RmUD_61*3.1b
   vilaṅghayitum arṇavam RmUD_109*5.1d	vilaFGayitum arNavam RmUD_109*5.1d
   vilapya ca bhṛśaṃ punaḥ RmUD_117*5.9b	vilapya ca BRSam punar RmUD_117*5.9b
   vilapya sa tu rāvaṇaḥ RmUD_*6.40b	vilapya sa tu rAvaNaH RmUD_*6.40b
   vilalāpa raṇaṃ gatvā RmUD_*6.46c	vilalApa raNam gatvA RmUD_*6.46c
   vilalāpākulendriyaḥ RmUD_*6.31d	vilalApa-Akula-indriyaH RmUD_*6.31d
   vivaraṃ praviveśa sā RmUD_150*7.5d	vivaram praviveSa sA RmUD_150*7.5d
   vividhair dhanasaṃcayaiḥ RmUD_139d	viviDEH Dana-saMcayEH RmUD_139d
   viveśa daṇḍakāraṇyaṃ RmUD_60*2.20c	viveSa daNxaka-araNyam RmUD_60*2.20c
   vivyādha ca mṛgaṃ rāmaḥ RmUD_76*3.16a	vivyADa ca mRgam rAmaH RmUD_76*3.16a
   viśiṣya muktāhāreṇa RmUD_*6.62a	viSizya muktA-hAreNa RmUD_*6.62a
   viśvāmitro mahāmuniḥ RmUD_29*1.29b	viSvAmitraH mahA-muniH RmUD_29*1.29b
   viśvāsāya tu vaidehyās RmUD_104*4.16c	viSvAsAya tu vEdehyAH RmUD_104*4.16c
   viṣaṇṇān vānarān vācā RmUD_*6.23c	vizaNNAn vAnarAn vAcA RmUD_*6.23c
   vīkṣya tau balaśālinau RmUD_*6.16b	vIkzya tO bala-SAlinO RmUD_*6.16b
   vṛkṣapāṣāṇapāṇayaḥ RmUD_126*6.4d	vRkza-pAzANa-pANayaH RmUD_126*6.4d
   vṛttāntaṃ sarvam āditaḥ RmUD_72*3.12d	vRttAntam sarvam Aditas RmUD_72*3.12d
   veṣaṃ saṃtyajya tāpasaṃ RmUD_142b	vezam saMtyajya tApasam RmUD_142b
   vaidehyāḥ pālanāyainaṃ RmUD_65*3.5c	vEdehyAH pAlanAya-enam RmUD_65*3.5c
   vrajan vanena kākutstho RmUD_61*3.1a	vrajan vanena kAkutsTaH RmUD_61*3.1a
   śakrajid rāghavau raṇe RmUD_*6.12b	Sakrajit rAGavO raNe RmUD_*6.12b
   śaṅkyamānā punaś caivaṃ RmUD_150*7.5a	SaFkyamAnA punar ca-evam RmUD_150*7.5a
   śatrughnena samanvitaḥ RmUD_41*2.1d	SatruGnena samanvitaH RmUD_41*2.1d
   śatrughno lavaṇaṃ yuddhe RmUD_147*7.3c	SatruGnaH lavaNam yudDe RmUD_147*7.3c
   śabaryāśramam abhyayāt RmUD_88*3.28b	SabaryASramam aByayAt RmUD_88*3.28b
   śambūkākhyaṃ raghūttamaḥ RmUD_148b	SambUka-AKyam raGUttamaH RmUD_148b
   śarabhaṅgāśramam prāpya RmUD_62*3.2a	SaraBaFga-ASramam prApya RmUD_62*3.2a
   śitena samitiñjayaḥ RmUD_*6.20d	Sitena samitiQjayaH RmUD_*6.20d
   śiraś ciccheda saumitrir RmUD_*6.30c	SiraH cicCeda sOmitriH RmUD_*6.30c
   śīghraṃ sārathivāhitam RmUD_*6.42b	SIGram sAraTivA-ahitam RmUD_*6.42b
   śṛṇu me 'bhihitaṃ vākyaṃ RmUD_*6.24c	SRNu me aBihitam vAkyam RmUD_*6.24c
   śraddadhe pitṛvallabham RmUD_65*3.5d	SraddaDe pitR-vallaBam RmUD_65*3.5d
   śriṅgiberapuraṃ gatvā RmUD_48*2.8a	SriFgibera-puram gatvA RmUD_48*2.8a
   śrīpatiṃ praṇipatyāhaṃ RmUD_1*1.1a	SrIpatim praNipatya-aham RmUD_1*1.1a
   śrīrāmodantam ākhyātam RmUD_154*7.8a	SrI-rAmodantam AKyAtam RmUD_154*7.8a
   śrīrāmodantam ākhyāsye RmUD_1*1.1c	SrI-rAmodantam AKyAsye RmUD_1*1.1c
   śrīvatsāṅkitavakṣasam RmUD_1*1.1b	SrIvatsa-aFkita-vakzasam RmUD_1*1.1b
   śrīvālmīkiprakīrtitam RmUD_1*1.1d	SrIvAlmIki-prakIrtitam RmUD_1*1.1d
   śrutvā paścān mṛtaṃ ca tam RmUD_84*3.24b	SrutvA paScAt mRtam ca tam RmUD_84*3.24b
   śrutvā vṛttāntam akhilaṃ RmUD_*6.22c	SrutvA vRttAntam aKilam RmUD_*6.22c
   sakalāsu ca vidyāsu RmUD_28*1.28c	sakalAsu ca vidyAsu RmUD_28*1.28c
   sakhyaṃ ca kārayām āsa RmUD_90*4.2c	saKyam ca kArayAm AsaH RmUD_90*4.2c
   sa gatvā citrakūṭasthaṃ RmUD_56*2.16a	sa gatvA citrakUwa-sTam RmUD_56*2.16a
   sa gatvā vānaraiḥ sākaṃ RmUD_122*5.14a	sa gatvA vAnarEH sAkam RmUD_122*5.14a
   sajjanāmbhojabhāskaram RmUD_26*1.26b	sat-jana-amBoja-BAskaram RmUD_26*1.26b
   sa tu divyākṛtir bhūtvā RmUD_87*3.27a	sa tu divya-AkRtiH BUtvA RmUD_87*3.27a
   sa tu laṅkām aśeṣataḥ RmUD_121*5.13b	sa tu laFkAm aSezatas RmUD_121*5.13b
   satyasaṃdha udāradhīḥ RmUD_*6.51b	satya-saMDaH udAra-DIH RmUD_*6.51b
   sadārānujam ātmānaṃ RmUD_61*3.1c	sa-dAra-anujam AtmAnam RmUD_61*3.1c
   sa nijaṃ rūpam āsthitaḥ RmUD_76*3.16b	sa nijam rUpam AsTitaH RmUD_76*3.16b
   sabhāryā raghusattamāḥ RmUD_*6.68b	sa-BAryAH raGu-sattamAH RmUD_*6.68b
   samayātikramāt tatra RmUD_106*4.18a	samayA-atikramAt tatra RmUD_106*4.18a
   samare 'pīḍayad bhṛśam RmUD_96*4.8b	samare apIxayat BRSam RmUD_96*4.8b
   samare rāmalakṣmaṇau RmUD_129*6.7b	samare rAma-lakzmaNO RmUD_129*6.7b
   samaṃ prāyāt prahṛṣṭadhīḥ RmUD_18*1.18d	samam prAyAt prahRzwa-DIH RmUD_18*1.18d
   samāgamya jaṭāyuṣam RmUD_65*3.5b	samAgamya jawAyuzam RmUD_65*3.5b
   samārebhe mudānvitaḥ RmUD_42*2.2d	samAreBe mudA-anvitaH RmUD_42*2.2d
   samāśvāsya raghūttamaḥ RmUD_100*4.12b	samASvAsya raGUttamaH RmUD_100*4.12b
