   Rājanighaṇṭu, Maṅgalācaraṇa	RAjani GaNwu, MaFgala AcaraNa
   kāraskaraḥ kaṭūṣṇaś ca tiktaḥ kuṣṭhavināśanaḥ /	kAraskaraH kawu uzNaH ca tiktaH kuzWa vinASanaH /
   vātāmayāsrakaṇḍūtikaphāmārśovraṇāpahaḥ // Rajni_9.143	vAta Amaya asra kaNxUti kaPAma arSaH vraNa apahaH // Rajni_9.143
   kaṭabhī nābhikā śauṇḍī pāṭalī kiṇihī tathā /	kawaBI nABikA SONxI pAwalI kiNihI taTA /
   madhureṇuḥ kṣudraśāmā kaiḍaryaḥ śyāmalā nava // Rajni_9.144	maDureNuH kzudraSAmA kExaryaH SyAmalA nava // Rajni_9.144
   śitādikaṭabhī śvetā kiṇihī girikarṇikā /	Sita Adi kawaBI SvetA kiNihI girikarNikA /
   śirīṣapatrā kālindī śatapādī viṣaghnikā /	SirIza patrA kAlindI SatapAdI viza GnikA /
   mahāśvetā mahāśauṇḍī mahādikaṭabhī tathā // Rajni_9.145	mahASvetA mahASONxI mahAdi kawaBI taTA // Rajni_9.145
   kaṭabhī bhavet kaṭūṣṇā gulmaviṣādhmānaśūladoṣaghnī /	kawaBI Bavet kawu uzNA gulma viza ADmAna SUla doza GnI /
   vātakaphājīrṇarujāśamanī śvetā ca tatra guṇayuktā // Rajni_9.146	vAta kaPa ajIrNa rujA SamanI SvetA ca tatra guNa yuktAH // Rajni_9.146
   kṣavakaḥ kṣurakas tīkṣṇaḥ krūro bhūtāṅkuśaḥ kṣavaḥ /	kzavakaH kzurakaH tIkzNaH krUraH BUtAFkuSaH kzavaH /
   rājodvejanasaṃjñaś ca bhūtadrāvī grahāhvayaḥ // Rajni_9.147	rAjA udvejana saMjQaH ca BUta drAvI graha AhvayaH // Rajni_9.147
   bhūtāṅkuśas tīvragandhaḥ kaṣāyoṣṇaḥ kaṭus tathā /	BUtAFkuSaH tIvra ganDaH kazAya uzNaH kawuH taTA /
   bhūtagrahādidoṣaghnaḥ kaphavātanikṛntanaḥ // Rajni_9.148	BUta graha Adi doza GnaH kaPa vAta nikRntanaH // Rajni_9.148
   devasarṣapakaś cākṣo badaro raktamūlakaḥ /	devasarzapakaH ca akzaH badaraH raktamUlakaH /
   surasarṣapakaś caindras tathā sūkṣmadalaḥ smṛtaḥ /	surasarzapakaH ca EndraH taTA sUkzmadalaH smRtaH /
   sarṣapo nirjarādiḥ syāt kurarāṅghrir navābhidhaḥ // Rajni_9.149	sarzapaH nirjara AdiH syAt kurarAFGriH nava aBiDaH // Rajni_9.149
   devasarṣapanāmā tu kaṭūṣṇaḥ kaphanāśanaḥ /	devasarzapa nAmA tu kawu uzNaH kaPa nASanaH /
   jantudoṣaharo rucyo vaktrāmayaviśodhanaḥ // Rajni_9.150	jantu doza haraH rucyaH vaktra Amaya viSoDanaH // Rajni_9.150
   lakuco likucaḥ śālaḥ kaṣāyī dṛḍhavalkalaḥ /	lakucaH likucaH SAlaH kazAyI dRXa valkalaH /
   ḍahuḥ kārśyaś ca śūraś ca sthūlaskandho navāhvayaḥ // Rajni_9.151	xahuH kArSyaH ca SUraH ca sTUla skanDaH nava AhvayaH // Rajni_9.151
   lakucaḥ svarase tiktaḥ kaṣāyoṣṇo laghus tathā /	lakucaH svarase tiktaH kazAya uzNaH laGuH taTA /
   kaphadoṣaharo dāhī malasaṃgrahadāyakaḥ // Rajni_9.152	kaPa doza haraH dAhI mala saMgraha dAyakaH // Rajni_9.152
   vikaṅkato vyāghrapādo granthilaḥ svādukaṇṭakaḥ /	vikaFkataH vyAGrapAdaH granTilaH svAdukaNwakaH /
   kaṇṭhapādo bahuphalo gopaghoṇṭā sruvadrumaḥ // Rajni_9.153	kaNWapAdaH bahuPalaH gopaGoNwA sruvadrumaH // Rajni_9.153
   mṛduphalo dantakāṣṭho yajñīyo brahmapādapaḥ /	mRduPalaH dantakAzWaH yajQIyaH brahmapAdapaH /
   piṇḍarohiṇakaḥ pūtaḥ kiṅkiṇī ca tripañcadhā // Rajni_9.154	piNxarohiNakaH pUtaH kiFkiNI ca tri paQcaDA // Rajni_9.154
   vikaṅkato 'mlamadhuraḥ pāke 'timadhuro laghuḥ /	vikaFkataH amla maDuraH pAke ati maDuraH laGuH /
   dīpanaḥ kāmalāsraghnaḥ pācanaḥ pittanāśanaḥ // Rajni_9.155	dIpanaH kAmalA asra GnaH pAcanaH pitta nASanaH // Rajni_9.155
   itthaṃ vanyamahīruhāhvayaguṇābhikhyānamukhyānayā bhaṅgyā	itTam vanya mahIruha Ahvaya guNa aBiKyAna muKya anayA BaFgyA
   bhaṅguritābhidhāntaramahābhogaśriyā bhāsvaram /	BaFgurita aBiDA antara mahA Boga SriyA BAsvaram /
   vaidyo vai dyatu vargam enam akhilaṃ vijñāya vaijñānikaḥ	vEdyaH vE dyatu vargam enam aKilam vijQAya vEjQAnikaH
   prajñālokavijṛmbhaṇena sahasā svairaṃ gadānāṃ gaṇam // Rajni_9.156	prajQA loka vijRmBaNena sahasA svEram gadAnAm gaNam // Rajni_9.156
   ye vṛścanti nṛṇāṃ gadān gurutarān ākramya vīryāsinā ye sthitvāpi vane	ye vRScanti nRNAm gadAn gurutarAn Akramya vIrya asinA ye sTitvA api vane
   guṇena sarujāṃ svenāvanaṃ tanvate /	guNena sa rujAm svena avanam tanvate /
   teṣām eṣa mahān asīmamahimā vanyātmanāṃ vāsabhūr vṛkṣāṇāṃ bhaṇito	tezAm eza mahAn asIma mahimA vanya AtmanAm vAsa BUH vRkzANAm BaNitaH 
   bhiṣagbhir asamo yo vṛkṣavargākhyayā // Rajni_9.157	BizagBiH asamaH yaH vRkza varga AKyayA // Rajni_9.157
   yaḥ kāśmīrakulojjvalāmbujavanīhaṃso 'pi saṃsevyate	yaH kASmIra kula ujjvala ambuja vanI haMsaH api saMsevyate
   nityollāsitanīlakaṇṭhamanasaḥ prītyādyabhagnaśriyā /	nitya ullAsita nIla kaNWa manasaH prIti Adi a Bagna SriyA /
   tasyāyaṃ navamaḥ kṛtau naraharer vargaḥ prabhadrādiko bhadrātmany	tasya ayam navamaH kRtO narahareH vargaH praBadra AdikaH Badra Atmani 
   abhidhānaśekharaśikhācūḍāmaṇau saṃsthitaḥ // Rajni_9.158	aBiDAna SeKara SiKA cUxAmaNO saMsTitaH // Rajni_9.158
   Rājanighaṇṭu, Karavīrādivarga	RAjani GaNwu, Kara vIra Adi varga
   caturdhā karavīro 'tha dhattūratritayaṃ tathā /	caturDA karavIraH aTa DattUra tritayam taTA /
   kovidāro 'bdhir arkaḥ syān nameruḥ kiṃśukas tathā // Rajni_10.1	kovidAraH abDiH arkaH syAt nameruH kiMSukaH taTA // Rajni_10.1
   punnāgas tilako 'gastyaḥ pāṭalyau ca dvidhā smṛte /	punnAgaH tilakaH agastyaH pAwalyO ca dviDA smRte /
   aśokaś campako dhanvī ketakī dvividhā tathā // Rajni_10.2	aSokaH campakaH DanvI ketakI dviviDA taTA // Rajni_10.2
   sindūrī ca tathā jātī mudgaraḥ śatapatrikā /	sindUrI ca taTA jAtI mudgaraH SatapatrikA /
   mallikā ca caturdhā syād vāsantī navamallikā // Rajni_10.3	mallikA ca caturDA syAt vAsantI navamallikA // Rajni_10.3
   atimukto dvidhā yūthī kubjako mucakundakaḥ /	atimuktaH dviDA yUTI kubjakaH mucakundakaH /
   karuṇī mādhavī cātha gaṇikārī ca kundakaḥ // Rajni_10.4	karuNI mADavI ca aTa gaNikArI ca kundakaH // Rajni_10.4
   bakakevikabandhūkās trisandhiś ca japā tathā /	baka kevika banDUkAH trisanDiH ca japA taTA /
   proktā bhramaramārī ca taruṇy amlānakas tathā // Rajni_10.5	proktA BramaramArI ca taruNI amlAnakaH taTA // Rajni_10.5
   kiṅkirāto 'tha bālākhyo jhiṇṭikā coṣṭrakāṇḍikā /	kiFkirAtaH aTa bAlAKyaH JiNwikA ca uzwra kANxikA /
   tagaraṃ damanadvandvaṃ tulasī maruvo dvidhā // Rajni_10.6	tagaram damana dvandvam tulasI maruvaH dviDA // Rajni_10.6
   arjakaś ca caturgaṅgā patrī pācī ca bālakaḥ /	arjakaH ca caturgaFgA patrI pAcI ca bAlakaH /
   barbaro mañcikāpatraḥ proktā cārāmaśītalā // Rajni_10.7	barbaraH maQcikA patraH proktA ca ArAma SItalA // Rajni_10.7
   atha kamalapuṇḍarīkāhvayakokanadāni padminī caiva /	aTa kamala puNxarIka Ahvaya kokanadAni padminI ca eva /
   padmākṣaṃ ca mṛṇālaṃ tatkandaḥ kesaraś ca tathā // Rajni_10.8	padmAkzam ca mRNAlam tat kandaH kesaraH ca taTA // Rajni_10.8
   utpalakumudakuvalayam utpalinī cāṅkavasumityā /	utpala kumuda kuvalayam utpalinI ca aFka vasumityA /
   uttaṃsanāmni varge dravyāṇy atropadiśyante // Rajni_10.9	uttaMsa nAmni varge dravyANi atra upadiSyante // Rajni_10.9
   karavīro mahāvīro hayamāro 'śvamārakaḥ /	karavIraH mahAvIraH hayamAraH aSvamArakaH /
   hayaghnaḥ pratihāsaś ca śatakundo 'śvarodhakaḥ // Rajni_10.10	haya GnaH pratihAsaH ca SatakundaH aSva roDakaH // Rajni_10.10
   hayārir vīrakaḥ kundaḥ śakundaḥ śvetapuṣpakaḥ /	hayAriH vIrakaH kundaH SakundaH SvetapuzpakaH /
   aśvāntakas tathāśvaghno nakharāhvo 'śvanāśakaḥ // Rajni_10.11	aSvAntakaH taTA aSvaGnaH naKarAhvaH aSva nASakaH // Rajni_10.11
   sthalādikumudaḥ prokto divyapuṣpo harapriyaḥ /	sTala Adi kumudaH proktaH divyapuzpaH hara priyaH /
   gaurīpuṣpaḥ siddhapuṣpo dvikarāhvaḥ prakīrttitaḥ // Rajni_10.12	gOrIpuzpaH sidDapuzpaH dvi kara AhvaH prakIrttitaH // Rajni_10.12
   karavīraḥ kaṭus tīkṣṇaḥ kuṣṭhakaṇḍūtināśanaḥ /	karavIraH kawuH tIkzNaH kuzWa kaNxUti nASanaH /
   vraṇārtiviṣavisphoṭaśamano 'śvamatipradaḥ // Rajni_10.13	vraNa Arti viza visPowa SamanaH aSvamati pradaH // Rajni_10.13
   raktakaravīrako 'nyo raktaprasavo gaṇeśakusumaś ca /	raktakaravIrakaH anyaH rakta prasavaH gaNeSa kusumaH ca /
   caṇḍīkusumaḥ krūro bhūtadrāvī ravipriyo munibhiḥ // Rajni_10.14	caNxIkusumaH krUraH BUta drAvI ravipriyaH muniBiH // Rajni_10.14
   raktas tu karavīraḥ syāt kaṭustīkṣṇo viśodhakaḥ /	raktaH tu karavIraH syAt kawuH tIkzNaH viSoDakaH /
   tvagdoṣavraṇakaṇḍūtikuṣṭhahārī viṣāpahaḥ // Rajni_10.15	tvac doza vraNa kaNxUti kuzWa hArI viza apahaH // Rajni_10.15
   pītakaravīrako 'nyaḥ pītaprasavaḥ sugandhikusumaś ca /	pItakaravIrakaH anyaH pIta prasavaH suganDikusumaH ca /
   kṛṣṇas tu kṛṣṇakusumaś caturvidho 'yaṃ guṇe tulyaḥ // Rajni_10.16	kRzNaH tu kRzNakusumaH caturviDaH ayam guNe tulyaH // Rajni_10.16
   dhattūraḥ kitavo dhūrtta unmattaḥ kanakāhvayaḥ /	DattUraH kitavaH DUrtte unmattaH kanakAhvayaH /
   śaṭho mātulakaḥ śyāmo madanaḥ śivaśekharaḥ // Rajni_10.17	SaWaH mAtulakaH SyAmaH madanaH SivaSeKaraH // Rajni_10.17
   kharjūghnaḥ kāhalāpuṣpaḥ khalaḥ kaṇṭaphalas tathā /	KarjUGnaH kAhalApuzpaH KalaH kaNwaPalaH taTA /
   mohanaḥ kalabhonmattaḥ śaivaḥ saptadaśāhvayaḥ // Rajni_10.18	mohanaH kalaBa unmattaH SEvaH saptadaSa AhvayaH // Rajni_10.18
   dhattūraḥ kaṭur uṣṇaś ca kāntikārī vraṇārtinut /	DattUraH kawuH uzNaH ca kAnti kArI vraNa Arti nud /
   tvagdoṣakharjūkaṇḍūtijvarahārī bhramapradaḥ // Rajni_10.19	tvac doza KarjU kaNxUti jvara hArI Brama pradaH // Rajni_10.19
   kṛṣṇadhattūrakaḥ siddhaḥ kanakaḥ sacivaḥ śivaḥ /	kRzNaDattUrakaH sidDaH kanakaH sacivaH SivaH /
   kṛṣṇapuṣpo viṣārātiḥ krūradhūrtaś ca kīrtitaḥ // Rajni_10.20	kRzNapuzpaH vizArAtiH krUra DUrtaH ca kIrtitaH // Rajni_10.20
   rājadhattūrakaś cānyo rājadhūrto mahāśaṭhaḥ /	rAjaDattUrakaH ca anyaH rAjaDUrtaH mahA SaWaH /
   nistraiṇipuṣpako bhrānto rājasvarṇaḥ ṣaḍāhvayaḥ // Rajni_10.21	nistrENipuzpakaH BrAntaH rAjasvarNaH zaz AhvayaH // Rajni_10.21
   sitanīlakṛṣṇalohitapītaprasavāś ca santi dhattūrāḥ /	sita nIla kRzNa lohita pIta prasavAH ca santi DattUrAH /
   sāmānyaguṇopetās teṣu guṇāḍhyas tu kṛṣṇakusumaḥ syāt // Rajni_10.22	sAmAnya guNa upetAH tezu guNAXyaH tu kRzNa kusumaH syAt // Rajni_10.22
   kovidāraḥ kāñcanāraḥ kuddālaḥ kanakārakaḥ /	kovidAraH kAQcanAraH kuddAlaH kanakArakaH /
   kāntapuṣpaś ca karakaḥ kāntāro yamalacchadaḥ // Rajni_10.23	kAntapuzpaH ca karakaH kAntAraH yamalacCadaH // Rajni_10.23
   pītapuṣpaḥ suvarṇāro girijaḥ kāñcanārakaḥ /	pItapuzpaH suvarNAraH girijaH kAQcanArakaH /
   yugmapatro mahāpuṣpaḥ syāc caturdaśadhābhidhaḥ // Rajni_10.24	yugmapatraH mahApuzpaH syAt caturdaSaDA aBiDaH // Rajni_10.24
   kovidāraḥ kaṣāyaḥ syāt saṃgrāhī vraṇaropaṇaḥ /	kovidAraH kazAyaH syAt saMgrAhI vraNa ropaNaH /
   dīpanaḥ kaphavātaghno mūtrakṛcchranibarhaṇaḥ // Rajni_10.25	dIpanaH kaPa vAta GnaH mUtrakRcCra nibarhaNaH // Rajni_10.25
   arkaḥ kṣīradalaḥ pucchī pratāpaḥ kṣīrakāṇḍakaḥ /	arkaH kzIradalaH pucCI pratApaH kzIrakANxakaH /
   vikṣīro bhāskaraḥ kṣīrī kharjūghnaḥ śivapuṣpakaḥ // Rajni_10.26	vikzIraH BAskaraH kzIrI KarjUGnaH SivapuzpakaH // Rajni_10.26
   bhañjanaḥ kṣīraparṇī syāt savitā ca vikīraṇaḥ /	BaQjanaH kzIraparNI syAt savitA ca vikIraNaH /
   sūryāhvaś ca sadāpuṣpo ravir āsphoṭakas tathā /	sUryAhvaH ca sadApuzpaH raviH AsPowakaH taTA /
   tūlaphalaḥ śukaphalo viṃśatiś ca samāhvayaḥ // Rajni_10.27	tUlaPalaH SukaPalaH viMSatiH ca samAhvayaH // Rajni_10.27
   arkas tu kaṭur uṣṇaś ca vātajid dīpanīyakaḥ /	arkaH tu kawuH uzNaH ca vAta jit dIpanIyakaH /
   śophavraṇaharaḥ kaṇḍūkuṣṭhakrimivināśanaḥ // Rajni_10.28	SoPa vraNa haraH kaNxU kuzWa krimi vinASanaH // Rajni_10.28
   śuklārkas tapanaḥ śvetaḥ pratāpaś ca sitārkakaḥ /	Sukla arkaH tapanaH SvetaH pratApaH ca sita arkakaH /
   supuṣpaḥ śaṅkarādiḥ syād atyarko vṛttamallikā // Rajni_10.29	supuzpaH SaFkara AdiH syAt atyarkaH vRttamallikA // Rajni_10.29
   śvetārkaḥ kaṭutiktoṣṇo malaśodhanakārakaḥ /	SvetArkaH kawu tikta uzNaH mala SoDana kArakaH /
   mūtrakṛcchrāsraśophārtivraṇadoṣavināśanaḥ // Rajni_10.30	mUtrakRcCra asra SoPa Arti vraNa doza vinASanaH // Rajni_10.30
   rājārko vasuko 'larko mandāro gaṇarūpakaḥ /	rAjArkaH vasukaH alarkaH mandAraH gaNarUpakaH /
   kāṣṭhīlaś ca sadāpuṣpo jñeyo 'tra saptasaṃmitaḥ // Rajni_10.31	kAzWIlaH ca sadApuzpaH jQeyaH atra sapta saMmitaH // Rajni_10.31
   rājārkaḥ kaṭutiktoṣṇaḥ kaphamedoviṣāpahaḥ /	rAjArkaH kawu tikta uzNaH kaPa medaH viza apahaH /
   vātakuṣṭhavraṇān hanti śophakaṇḍūvisarpanut // Rajni_10.32	vAta kuzWa vraNAn hanti SoPa kaNxU visarpa nud // Rajni_10.32
   śvetamandārakas tv anyaḥ pṛthvī kuravakaḥ smṛtaḥ /	SvetamandArakaH tu anyaH pRTvI kuravakaH smRtaH /
   dīrghapuṣpaḥ sitālarko dīrghātyarkaḥ rasāhvayaḥ // Rajni_10.33	dIrGapuzpaH sitAlarkaH dIrGAtyarkaH rasa AhvayaH // Rajni_10.33
   śvetamandārako 'tyuṣṇas tikto malaviśodhanaḥ /	Sveta mandArakaH ati uzNaH tiktaH mala viSoDanaH /
   mūtrakṛcchravraṇān hanti krimīn atyantadāruṇān // Rajni_10.34	mUtrakRcCra vraNAn hanti krimIn atyanta dAruNAn // Rajni_10.34
   nameruḥ surapunnāgaḥ sureṣṭaḥ suraparṇikā /	nameruH sura punnAgaH surezwaH suraparNikA /
   suratuṅgaś ca pañcāhvaḥ punnāgaguṇasaṃyutaḥ // Rajni_10.35	suratuFgaH ca paQca AhvaH punnAga guNa saMyutaH // Rajni_10.35
   palāśaḥ kiṃśukaḥ parṇo vātapotho 'tha yājñikaḥ /	palASaH kiMSukaH parNaH vAta poTaH aTa yAjQikaH /
   triparṇo vakrapuṣpaś ca pūtadrur brahmavṛkṣakaḥ /	triparNaH vakrapuzpaH ca pUtadruH brahmavRkzakaH /
   brahmopanetā kāṣṭhadruḥ paryāyaikādaśa smṛtāḥ // Rajni_10.36	brahma upanetA kAzWadruH paryAya ekAdaSa smRtAH // Rajni_10.36
   palāśas tu kaṣāyoṣṇaḥ krimidoṣavināśanaḥ /	palASaH tu kazAya uzNaH krimi doza vinASanaH /
   tadbījaṃ pāmakaṇḍūtidadrutvagdoṣanāśakṛt // Rajni_10.37	tad bIjam pAma kaNxUti dadru tvac doza nASa kRt // Rajni_10.37
   tasya puṣpaṃ ca soṣṇaṃ ca kaṇḍūkuṣṭhārttināśanam /	tasya puzpam ca sa uzNam ca kaNxU kuzWa Artti nASanam /
   raktaḥ pītaḥ sito nīlaḥ kusumais tu vibhajyate // Rajni_10.38	raktaH pItaH sitaH nIlaH kusumEH tu viBajyate // Rajni_10.38
   kiṃśukair guṇasāmye 'pi sito vijñānadaḥ smṛtaḥ // Rajni_10.39	kiMSukEH guNa sAmye api sitaH vijQAna daH smRtaH // Rajni_10.39
   punnāgaḥ puruṣas tuṅgaḥ punnāmā pāṭalaḥ pumān /	punnAgaH puruzaH tuFgaH put nAmA pAwalaH pumAn /
   raktapuṣpo raktareṇur aruṇo 'yaṃ navāhvayaḥ // Rajni_10.40	raktapuzpaH raktareNuH aruNaH ayam nava AhvayaH // Rajni_10.40
   punnāgo madhuraḥ śītaḥ sugandhiḥ pittanāśakṛt /	punnAgaH maDuraH SItaH suganDiH pitta nASa kRt /
   bhūtavidrāvaṇaś caiva devatānāṃ prasādanaḥ // Rajni_10.41	BUta vidrAvaNaH ca eva devatAnAm prasAdanaH // Rajni_10.41
   tilako viśeṣakaḥ syān mukhamaṇḍanakaś ca puṇḍrakaḥ puṇḍraḥ /	tilakaH viSezakaH syAt muKamaNxanakaH ca puNxrakaH puNxraH /
   sthirapuṣpaḥ chinnaruho dagdharuho recakaś ca mṛtajīvī // Rajni_10.42	sTirapuzpaH CinnaruhaH dagDaruhaH recakaH ca mRta jIvI // Rajni_10.42
   taruṇīkaṭākṣakāmo vāsantaḥ sundaro 'bhīṣṭaḥ /	taruNI kawAkza kAmaH vAsantaH sundaraH aBIzwaH /
   bhālavibhūṣaṇasaṃjño vijñeyaḥ pañcadaśanāmā // Rajni_10.43	BAla viBUzaNa saMjQaH vijQeyaH paQcadaSa nAmA // Rajni_10.43
   tilako madhuraḥ snigdho vātapittakaphāpahaḥ /	tilakaH maDuraH snigDaH vAta pitta kaPa apahaH /
   balapuṣṭikaro hṛdyo laghur medovivardhanaḥ // Rajni_10.44	bala puzwi karaH hRdyaH laGuH medaH vivarDanaH // Rajni_10.44
   tilakatvak kaṣāyoṣṇā puṃstvaghnī dantadoṣanut /	tilaka tvac kazAyA uzNA puMstva GnI danta doza nud /
   krimiśophavraṇān hanti raktadoṣavināśanī // Rajni_10.45	krimi SoPa vraNAn hanti rakta doza vinASanI // Rajni_10.45
   agastyaḥ śīghrapuṣpaḥ syāt agastis tu munidrumaḥ /	agastyaH SIGrapuzpaH syAt agastiH tu munidrumaH /
   vraṇārir dīrghaphalako vakrapuṣpaḥ surapriyaḥ // Rajni_10.46	vraNAriH dIrGaPalakaH vakrapuzpaH surapriyaH // Rajni_10.46
   sitapītanīlalohitakusumaviśeṣāc caturvidho 'gastiḥ /	sita pIta nIla lohita kusuma viSezAt caturviDaH agastiH /
   madhuraśiśirastridoṣaśramakāsavināśanaś ca bhūtaghnaḥ // Rajni_10.47	maDura SiSiraH tridoza Srama kAsa vinASanaH ca BUtaGnaH // Rajni_10.47
   agastyaṃ śiśiraṃ gaulyaṃ tridoṣaghnaṃ śramāpaham /	agastyam SiSiram gOlyam tridoza Gnam Srama apaham /
   balāsakāsavaivarṇyabhūtaghnaṃ ca balāpaham // Rajni_10.48	balAsa kAsa vEvarNya BUta Gnam ca bala apaham // Rajni_10.48
   pāṭalī tāmrapuṣpī ca kumbhikā raktapuṣpikā /	pAwalI tAmrapuzpI ca kumBikA rakta puzpikA /
   vasantadūtī cāmoghā sthālī ca viṭavallabhā /	vasantadUtI ca amoGA sTAlI ca viwavallaBA /
   sthiragandhāmbuvāsī ca kālavṛntīndubhūhvayā // Rajni_10.49	sTiraganDA ambuvAsI ca kAlavRnti indu BU hvayA // Rajni_10.49
   pāṭalī tu rase tiktā kaṭūṣṇā kaphavātajit /	pAwalI tu rase tiktA kawu uzNA kaPa vAta jit /
   śophādhmānavamiśvāsaśamanī sannipātanut // Rajni_10.50	SoPa ADmAna vami SvAsa SamanI sannipAta nud // Rajni_10.50
   sitapāṭalikā cānyā sitakumbhī phaleruhā /	sitapAwalikA ca anyA sitakumBI PaleruhA /
   sitā moghā kuberākṣī sitāhvā kāṣṭhapāṭalā /	sitA moGA kuberAkzI sitAhvA kAzWa pAwalA /
   pāṭalī dhavalā proktā jñeyā vasumitāhvayā // Rajni_10.51	pAwalI DavalA proktA jQeyA vasu mita AhvayA // Rajni_10.51
   sitapāṭalikā tiktā gurūṣṇā vātadoṣajit /	sitapAwalikA tiktA guru uzNA vAta doza jit /
   vamihikkākaphaghnī ca śramaśoṣāpahārikā // Rajni_10.52	vami hikkA kaPa GnI ca Srama Soza apahArikA // Rajni_10.52
   aśokaḥ śokanāśaḥ syād viśoko vañjuladrumaḥ /	aSokaH Soka nASaH syAt viSokaH vaQjuladrumaH /
   madhupuṣpo 'paśokaś ca kaṅkeliḥ kelikas tathā // Rajni_10.53	maDupuzpaH apaSokaH ca kaFkeliH kelikaH taTA // Rajni_10.53
   raktapallavakaś citro vicitraḥ karṇapūrakaḥ /	raktapallavakaH citraH vicitraH karNapUrakaH /
   subhagaḥ smarādhivāso doṣahārī prapallavaḥ // Rajni_10.54	suBagaH smara aDivAsaH doza hArI prapallavaH // Rajni_10.54
   rāgī tarur hemapuṣpo rāmāvāmaṅghrighātakaḥ /	rAgI taruH hemapuzpaH rAmAvAm aFGri GAtakaH /
   piṇḍīpuṣpo naṭaś caiva pallavadrur dviviṃśatiḥ // Rajni_10.55	piNxIpuzpaH nawaH ca eva pallavadruH dviviMSatiH // Rajni_10.55
   aśokaḥ śiśiro hṛdyaḥ pittadāhaśramāpahaḥ /	aSokaH SiSiraH hRdyaH pitta dAha Srama apahaH /
   gulmaśūlodarādhmānanāśanaḥ krimikārakaḥ // Rajni_10.56	gulma SUla udara ADmAna nASanaH krimi kArakaH // Rajni_10.56
   campakaḥ svarṇapuṣpaś ca cāmpeyaḥ śītalacchadaḥ /	campakaH svarNapuzpaH ca cAmpeyaH SItala= CadaH /
   subhago bhṛṅgamohī ca śītalo bhramarātithiḥ // Rajni_10.57	suBagaH BRFgamohI ca SItalaH Bramara atiTiH // Rajni_10.57
   surabhir dīpapuṣpaś ca sthiragandho 'tigandhakaḥ /	suraBiH dIpapuzpaH ca sTira ganDaH atiganDakaH /
   sthirapuṣpo hemapuṣpaḥ pītapuṣpas tathāparaḥ /	sTirapuzpaH hemapuzpaH pItapuzpaH taTA aparaH /
   hemāhvaḥ sukumāras tu vanadīpo 'ṣṭabhūhvayaḥ // Rajni_10.58	hemAhvaH sukumAraH tu vanadIpaH azwa BU hvayaH // Rajni_10.58
   tatkalikā gandhaphalī bahugandhā gandhamodinī tredhā // Rajni_10.59	tad kalikA ganDaPalI bahuganDA ganDamodinI treDA // Rajni_10.59
   campakaḥ kaṭukas tiktaḥ śiśiro dāhanāśanaḥ /	campakaH kawukaH tiktaH SiSiraH dAha nASanaH /
   kuṣṭhakaṇḍūvraṇaharo guṇāḍhyo rājacampakaḥ // Rajni_10.60	kuzWa kaNxU vraNa haraH guNAXyaH rAjacampakaH // Rajni_10.60
   kṣudrādicampakas tv anyaḥ sa jñeyo nāgacampakaḥ /	kzudra Adi campakaH tu anyaH sa jQeyaH nAgacampakaH /
   phaṇicampakanāgāhvaś campako vanajaḥ śarāḥ // Rajni_10.61	PaNicampaka nAgAhvaH campakaH vanajaH SarAH // Rajni_10.61
   vanacampakaḥ kaṭūṣṇo vātakaphadhvaṃsano varṇyaḥ /	vanacampakaH kawu uzNaH vAta kaPa DvaMsanaH varNyaH /
   cakṣuṣyo vraṇaropī vahnistambhaṃ karoti yogaguṇāt // Rajni_10.62	cakzuzyaH vraNa ropI vahni stamBam karoti yoga guNAt // Rajni_10.62
   bakulas tu sīdhugandhaḥ strīmukhamadhudohalaś ca madhupuṣpaḥ /	bakulaH tu sIDuganDaH strI muKa maDudohalaH ca maDupuzpaH /
   surabhir bhramarānandaḥ sthirakusumaḥ kesaraś ca śāradikaḥ // Rajni_10.63	suraBiH Bramara AnandaH sTirakusumaH kesaraH ca SAradikaH // Rajni_10.63
   karakaḥ sīdhusaṃjñas tu viśārado gūḍhapuṣpako dhanvī /	karakaH sIDu saMjQaH tu viSAradaH gUXapuzpakaH DanvI /
   madano madyāmodaś cirapuṣpaś ceti saptadaśasaṃjñaḥ // Rajni_10.64	madanaH madya AmodaH cirapuzpaH ca iti saptadaSa saMjQaH // Rajni_10.64
   bakulaḥ śītalo hṛdyo viṣadoṣavināśanaḥ /	bakulaH SItalaH hRdyaH viza doza vinASanaH /
   madhuraś ca kaṣāyaś ca madāḍhyo haryadāyakaḥ // Rajni_10.65	maDuraH ca kazAyaH ca madAXyaH harya dAyakaH // Rajni_10.65
   bakulakusumaṃ ca rucyaṃ kṣīrāḍhyaṃ surabhi śītalaṃ madhuram /	bakula kusumam ca rucyam kzIra AXyam suraBi SItalam maDuram /
   snigdhakaṣāyaṃ kathitaṃ malasaṃgrahakārakaṃ caiva // Rajni_10.66	snigDa kazAyam kaTitam mala saMgraha kArakam ca eva // Rajni_10.66
   ketakī tīkṣṇapuṣpā ca viphalā dhūlipuṣpikā /	ketakI tIkzNapuzpA ca viPalA DUlipuzpikA /
   medhyā kaṇṭadalā caiva śivadviṣṭā nṛpapriyā // Rajni_10.67	meDyA kaNwadalA ca eva Siva dvizwA nRpa priyA // Rajni_10.67
   krakacā dīrghapatrā ca sthiragandhā tu pāṃśulā /	krakacA dIrGapatrA ca sTiraganDA tu pAMSulAH /
