   mahāyānasūtrālaṃkāraḥ	mahAyAna sUtra alaMkAraH
   laukikaṃ yena sattvānparipācayati | asaṃkhyeyadvayasya samāptau paścimāṃ	lOkikam yena sattvAn paripAcayati | asaMKyeya dvayasya samAptO paScimAm
   bhāvanāmāgamyāvasānagatāmabhiṣikto vajropamaṃ samādhiṃ labhate |	BAvanAm Agamya avasAna gatAm aBiziktaH vajra upamam samADim laBate |
   vikalpānuśayābhedyārthena vajropamaḥ | tato niṣṭhāgatāmāśrayaparāvṛttiṃ	vikalpa anuSaya aBedya arTena vajra upamaH | tatas nizWA gatAm ASraya parAvRttim
   labhate sarvakleśajñeyāvaraṇanirmalāṃ | sarvākārajñatāṃ cānuttarapadaṃ	laBate sarva kleSa jQeya AvaraNa nirmalAm | sarva AkAra jQa tAm ca anuttara padam
   yatrastho yāvatsaṃsāramabhisaṃbodhinirvāṇasaṃdarśanādibhiḥ sattvānāṃ	yatrasTaH yAvat saMsAram aBisaMboDi nirvANa saMdarSana AdiBiH sattvAnAm
   hitāya pratipadyate |	hitAya pratipadyate |
   kathaṃ tathā durlabhadarśane munau bhavenmahārthaṃ na hi nityadarśanaṃ |	kaTam taTA durlaBa darSane munO Bavet mahA arTam na hi nitya darSanam |
   bhṛśaṃ samāpyāyitacetasaḥ sadā prasādavegairasamaśravodbhavaiḥ ||	BRSam samApyAyita cetasaH sadA prasAda vegEH asamaSrava udBavEH ||
   Msa_14.47 ||	Msa_14.47 ||
   a[pra]codyamānaḥ satataṃ ca saṃmukhaṃ tathāgatairdharmasu[mu]khe	a[pra]codyamAnaH satatam ca saMmuKam taTAgatEH Darma su[ mu]Ke
   vyavasthitaḥ |	vyavasTitaH |
   nigṛhya keśeṣviva doṣagahvarāt nikṛṣya bodhau ca balānniveśyate ||	nigRhya keSezu iva doza gahvarAt nikRzya boDO ca balAt niveSyate ||
   Msa_14.48 ||	Msa_14.48 ||
   sa sarvalokaṃ suviśuddhadarśanairakalpabodhairabhibhūya sarvathā |	sa sarva lokam su viSudDa darSanEH akalpa boDEH aBiBUya sarvaTA |
   mahāndhakāraṃ vidhamayya bhāsate jaganmahāditya ivātyudārataḥ || Msa_14.49	mahA anDakAram viDamayya BAsate jagat mahA AdityaH iva ati udArataH || MsaH _14.49
   ebhistribhiḥ ślokairavavādamāhātmyaṃ darśayati | yo hi	eBiH triBiH SlokEH avavAda mAhAtmyam darSayati | yaH hi
   dharmamukhaśrotasyavavādaṃ labhate tasya nityaṃ buddhadarśanaṃ bhavati |	Darma muKa Srotasya vavAdam laBate tasya nityam budDa darSanam Bavati |
   tataścāsamaṃ dharmaśravaṇaṃ | yato 'syātyarthaṃ prasādaḥ	tatas ca asamam Darma SravaNam | yatas asya atyarTam prasAdaH
   prasādavegairāpyāyitacetasastannityadarśanaṃ buddhānāṃ mahārthaṃ bhavati |	prasAda vegEH ApyAyita cetasaH tad nitya darSanam budDAnAm mahA arTam Bavati |
   śeṣaṃ gatārtham |	Sezam gata arTam |
   buddhāḥ samyakpraśaṃsāṃ vidadhati satataṃ svārthasamyakprayukte,	budDAH samyak praSaMsAm vidaDati satatam sva arTa samyak prayukte,
   nindāmīrṣyāprayukte sthitivicapare cāntarāyānukūlān |	nindAm IrzyA prayukte sTiti vicapare ca antarAya anukUlAn |
   dharmān sarvaprakārānvidhivadiha jinā darśayantyagrasattve,	DarmAn sarva prakArAn viDivat iha jinAH darSayanti agra sattve,
   yān varjyāsevya yoge bhavati vipulatā saugate śāsane 'smim || Msa_14.50 ||	yAn varjya Asevya yoge Bavati vipula tA sOgate SAsane asmim || Msa_14.50 ||
   caturvidhāmanuśāsanīmetena ślokena darśayati | adhiśīlamadhikṛtya	caturviDAm anuSAsanIm etena Slokena darSayati | aDiSIlam aDikRtya
   samyaksvārthaprayukte bodhisattve praśaṃsāvidhānataḥ |	samyak sva arTa prayukte boDisattve praSaMsA viDAnataH |
   adhicittamadhiprajñaṃ cādhikṛtya sthitivicayapare tadantarāyāṇāṃ	aDicittam aDiprajQam ca aDikRtya sTiti vicaya pare tad antarAyANAm
   (MSA_Bagchi 95) tadanukūlānāṃ ca sarvaprakārāṇāṃ dharmāṇāṃ deśanataḥ |	(MSA_BagCi 95) tad anukUlAnAm ca sarva prakArANAm DarmANAm deSanataH |
   yānvarjyāsevyetyantarāyānanukūlāṃśca yathākramaṃ | yoga iti	yAn varjyA sevya iti antarAyAnanukUlAn= ca yaTAkramam | yogaH iti
   śamathavipaśyanābhāvanāyāṃ |	SamaTa vipaSyana aBAvanAyAm |
   iti satataśubhācayaprapūrṇaḥ suvipulametya sa cetasaḥ samādhiṃ |	iti satata SuBa Acaya prapUrNaH su vipulam etya sa cetasaH samADim |
   munisatatamahāvavādalabdho bhavati guṇārṇavapārago 'grasattvaḥ ||	muni satata mahAvavAda labDaH Bavati guNa arNava pAragaH agrasattvaH ||
   Msa_14.51 ||	Msa_14.51 ||
   nigamanaśloko gatārthaḥ |	nigamana SlokaH gata arTaH |
   || mahāyānasūtrālaṃkāre avavādānuśāsanyadhikāraścaturdaśaḥ ||	|| mahAyAna sUtra alaMkAre avavAda anuSAsanI aDikAraH caturdaSaH ||
   (MSA_Bagchi 96)	(MSA_BagCi 96)
   pañcadaśo 'dhikāraḥ	paQcadaSaH aDikAraH
   uddānam	uddAnam
   adhimukterbahulatā dharmaparyeṣṭideśane	aDimukteH bahula tA Darma paryezwi deSane
   pratipattistathā samyagavavādānuśāsanaṃ || Msa_15.1 ||	pratipattiH taTA samyak avavAda anuSAsanam || Msa_15.1 ||
   upāyasahitakarmavibhāge catvāraḥ ślokāḥ |	upAya sahita karma viBAge catvAraH SlokAH |
   yathā pratiṣṭhā vanadehiparvatapravāhinīnāṃ pṛthivī samantataḥ |	yaTA pratizWA vana dehi parvata pravAhinInAm pRTivI samantataH |
   tathaiva dānādiśubhasya sarvato budheṣu karma trividhaṃ nirucyate ||	taTA eva dAna Adi SuBasya sarvatas buDezu karma triviDam nirucyate ||
   Msa_15.2 ||	Msa_15.2 ||
   anena ślokena samutthānopāyaṃ darśayati | sarvaprakārasya dānādiśubhasya	anena Slokena samutTAna upAyam darSayati | sarva prakArasya dAna Adi SuBasya
   pāramitābodhipakṣādikasya karmatrayasamutthitatvāt | budheṣviti	pAramitA boDi pakza Adikasya karma traya samutTita tvAt | buDezu iti
   bodhisattveṣu | vanādigrahaṇamupabhojyā sthirasthiravastunidarśanārtham |	boDisattvezu | vana Adi grahaNam upaBojyA sTira sTira vastu nidarSana arTam |
   suduṣkaraiḥ karmabhirudyatātmanāṃ vicitrarūpairbahukalpanirgataiḥ |	su duzkarEH karmaBiH udyata AtmanAm vicitra rUpEH bahu kalpa nirgatEH |
   na kāyavākcittamayasya karmaṇo jinātmajānāṃ bhavatīha saṃnatiḥ || Msa_15.3	na kAya vAc citta mayasya karmaNaH jina AtmajAnAm Bavati iha saMnatiH || Msa_15.3
   yathā viṣācchasramahāśanād[ne] ripornivārayedātmahitaḥ svamāśrayaṃ |	yaTA vizAt Sasra mahA aSana Ad[ne] ripoH nivArayet Atma hitaH svam ASrayam |
   nihīnayānādvividhājjinātmajo nivārayetkarma tathā trayātmakaṃ || Msa_15.4	nihIna yAnAt viviDAt jina AtmajaH nivArayet karma taTA traya Atmakam || Msa_15.4
   ābhyāṃ ślokābhyāṃ vyutthānopāyaṃ darśayati |	AByAm SlokAByAm vyutTAna upAyam darSayati |
   mahāyānakhedānyayānapātavyutthānādyathākramaṃ | saṃnatiḥ kheda ityarthaḥ |	mahAyAna Keda anya yAna pAta vyutTAnAt yaTAkramam | saMnatiH KedaH iti arTaH |
   viṣādisādharmyaṃ hīnayānapratisaṃyuktasya karmaṇo hīnayānacittapariṇāmanāt	viza Adi sADarmyam hIna yAna pratisaMyuktasya karmaNaH hIna yAna citta pariNAmanAt
   mahāyāne kuśalamūlasamucchedanāt anutpannakuśalamūlānutpādāya | utpanna	mahAyAne kuSala mUla samucCedanAt anutpanna kuSala mUlAnutpAdAya | utpanna
   kuśalamūla[sa?]sya dhvaṃsanāt | buddhatvasaṃpatprāptivibandhanācca |	kuSala mUla[sa?]sya DvaMsanAt | budDa tva saMpad prApti vibanDanAt ca |
   na karmiṇaḥ karma na karmaṇaḥ kriyāṃ sadāvikalpaḥ samudīkṣate tridhā |	na karmiNaH karma na karmaNaH kriyAm sadA avikalpaH samudIkzate triDA |
   tato 'sya tatkarma viśuddhipāragaṃ bhavatyanantaṃ tadupāyasaṃgrahāt ||	tatas asya tat karma viSudDi pAragam Bavati anantam tad upAya saMgrahAt ||
   Msa_15.5 ||	Msa_15.5 ||
   anena ślokena caturthena viśuddhyupāyaṃ karmaṇo darśayati |	anena Slokena caturTena viSudDi upAyam karmaNaH darSayati |
   maṇḍalapariśuddhitaḥ kartṛkarmakriyāṇāmanupalambhāt | anantamityakṣayam |	maNxala pariSudDitaH kartR karma kriyANAm anupalamBAt | anantam iti akzayam |
   || mahāyānasūtrālaṃkāra upāyasahitakarmādhikāraḥ pañcadaśaḥ ||	|| mahAyAna sUtra alaMkAraH upAya sahita karma aDikAraH paQcadaSaH ||
   (MSA_Bagchi 97)	(MSA_BagCi 97)
   ṣoḍaśo 'dhikāraḥ	zoxaSaH aDikAraH
   pāramitāprabhedasaṃgrahe uddānaślokaḥ |	pAramitA praBeda saMgrahe uddAnaSlokaH |
   sāṃkhyātha tallalakṣaṇamānupūrvī niruktirabhyāsaguṇaśca tāsāṃ |	sAMKyA aTa talla lakzaNam AnupUrvI niruktiH aByAsa guNaH ca tAsAm |
   prabhedanaṃ saṃgrahaṇaṃ vipakṣo jñeyo guṇo 'nyonyaviniścayaśca || Msa_16.1	praBedanam saMgrahaNam vipakzaH jQeyaH guNaH anyonya viniScayaH ca || Msa_16.1
   saṃkhyāvibhāge ṣaṭ ślokāḥ |	saMKyA viBAge zaw SlokAH |
   bhogātmabhāvasaṃpatparicārārambhasaṃpadabhyudayaḥ |	Boga Atma BAva saMpad pari cAra AramBa saMpad aByudayaH |
   kleśāvaśagatvamapi ca kṛtyeṣu sadāviparyāsaḥ || Msa_16.2 ||	kleSa a= aSaga tvam api ca kRtyezu sadA aviparyAsaH || Msa_16.2 ||
   iti prathamaḥ | tatra catasṛbhiḥ pāramitābhiścaturvidho 'bhyudayaḥ |	iti praTamaH | tatra catasRBiH pAramitABiH caturviDaH aByudayaH |
   dānena bhogasaṃpat | śīlenātmabhāvasaṃpat | kṣāntyā paricārasaṃpat | tathā	dAnena Boga saMpad | SIlena Atma BAva saMpad | kzAntyA paricAra saMpad | taTA
   hi tadāsevanādāyatyād[tyāṃ] bahujanasupriyo bhavati | vīryeṇārambhasaṃpat	hi tadAsevanAt Ayati Ad[tyAn] bahu jana supriyaH Bavati | vIryeNa AramBa saMpad 
   sarvakarmāntasaṃpattitaḥ | pañcamyā kleśāvaśagatvaṃ dhyānena	sarva karmAnta saMpattitaH | paQcamyA kleSa avaSaga tvam DyAnena
   kleśaviṣkambhanāt | ṣaṣṭhyā kṛtyeṣvaviparyāsaḥ	kleSa vizkamBanAt | zazWyA kRtyezu aviparyAsaH
   sarvakāryayathābhūtaparijñānāt | ityabhyudayaḥ tatra	sarva kArya yaTA BUta parijQAnAt | iti aByudayaH tatra
   cāsaṃkleśamaviparītakṛtyārambhaṃ cādhikṛtya ṣaṭ pāramitā vyavasthitāḥ |	ca asaMkleSam aviparIta kRtya AramBam ca aDikRtya zaw pAramitAH vyavasTitAH |
   sattvārtheṣu suyuktastyāgānupaghātamarṣaṇaiḥ kurute |	sattva arTezu su yuktaH tyAga anupaGAta marzaNEH kurute |
   sanidānasthitimuktyā ātmārthaṃ sarvathā carati || Msa_16.3 ||	sa nidAna sTiti muktyA Atma arTam sarvaTA carati || Msa_16.3 ||
   iti dvitīyaḥ | sattvārtheṣu samyakprayukto	iti dvitIyaH | sattva arTezu samyak prayuktaH 
   bodhisattvastisṛbhirdānaśīlakṣāntipāramitābhiryathākramaṃ	boDisattvaH tisRBiH dAna SIla kzAnti pAramitABiH yaTAkramam
   tyāgenānupaghātenopaghātamarṣaṇena ca sattvārthaṃ kurute | tisṛbhiḥ	tyAgena anupaGAtena upaGAta marzaNena ca sattva arTam kurute | tisRBiH
   sanidānatayā [sanidānayā] cittasthityā vimuktyā ca sarvaprakāramātmārthaṃ	sa nidAna tayA [sanidAnayA] citta sTityA vimuktyA ca sarva prakAram Atma arTam
   carati | vīryaṃ niśritya yathākramaṃ dhyānaprajñābhyāsa[ma]samāhitasya	carati | vIryam niSritya yaTAkramam DyAna prajQA aByAsa [ma] samAhitasya
   cittasya samavadhānāt samāhitasya mocanāt | iti parārthamātmārthaṃ	cittasya samavaDAnAt samAhitasya mocanAt | iti para arTam Atma arTam
   cārabhya ṣaṭ pāramitāḥ |	ca AraBya zaz pAramitAH |
   avighātairaviheṭhairviheṭhasaṃmarṣaṇaiḥ kriyākhedaiḥ |	aviGAtEH aviheWEH viheWa saMmarzaNEH kriyA KedEH |
   āvarjanaiḥ sulapitaiḥ parārtha ātmārthaṃ etasmāt || Msa_16.4 ||	AvarjanEH su lapitEH para arTaH Atma arTam etasmAt || Msa_16.4 ||
   iti tṛtīyaḥ | dānādibhirbodhisattvasya sakalaḥ parārtho bhavati |	iti tRtIyaH | dAna AdiBiH boDisattvasya sakalaH para arTaH Bavati |
   yathākramaṃ pareṣāmupakaraṇāvidhātaiḥ | aviheṭhaiḥ viheṭhanāmarṣaṇaiḥ |	yaTAkramam parezAm upakaraNa aviDAtEH | aviheWEH viheWana amarzaNEH |
   sāhāyya kriyāsvakhedaiḥ ṛddhyādiprabhāvāvarjanaiḥ subhāṣitasulapitaiśca	sAhAyya kriyAsu a KedEH RdDi Adi praBAva AvarjanEH su BAzita su lapitEH ca
   saṃśayacchedanāt | etasmātparārthāt bodhisattvasyātmārtho bhavati |	saMSaya= CedanAt | etasmAt parArTAt boDisattvasya Atma arTaH Bavati |
   parākāryasvakāryatvānmahābodhiprāptitaśca | iti sakalaparārthādhikārāt ṣaṭ	parAkArya sva kArya tvAt mahA boDi prAptitaH ca | iti sakala para arTa aDikArAt zax 
   pāramitāḥ |	pAramitAH |
   (MSA_Bagchi 98)	(MSA_BagCi 98)
   bhogeṣu cānabhiratistīvrā gurutādvaye akhedaśca |	Bogezu ca anaBiratiH tIvrAH guru tA dvaye aKedaH ca |
   yogaśca nirvikalpaḥ samastamidamuttamaṃ yānaṃ || Msa_16.5 ||	yogaH ca nirvikalpaH samastam idam uttamam yAnam || Msa_16.5 ||
   iti caturthaḥ | dānena bodhisattvasya	iti caturTaH | dAnena boDisattvasya
   bhogeṣvabhi[ṣvanabhi]ratirnirapekṣatvāt | śīlasamādānena	Bogezu aBi[zu anaBi]ratiH nirapekza tvAt | SIla samAdAnena
   bodhisattvaśikṣāsu tīvrā gurutā | kṣāntyā vīryeṇa cākhedo dvaye	boDisattva SikzAsu tIvrAH guru tA | kzAntyA vIryeNa ca aKedaH dvaye
   yathākramaṃ duḥkhe ca sattvāsattvakṛte kuśalaprayoge ca |	yaTAkramam duHKe ca sattva asattva kRte kuSala prayoge ca |
   dhyānaprajñāyāṃ[bhyāṃ] nirvikalpo yogaḥ śamathavipaśyanāsaṃgṛhītaḥ |	DyAna prajQAyAM[ByAM] nirvikalpaH yogaH SamaTa vipaSyanA saMgRhItaH |
   etāvacca samasta [mahāyānam iti?] mahāyānasaṃgrahādhikārāt ṣaṭ pāramitāḥ |	etAvat ca samastaH [mahAyAnam iti?] mahAyAna saMgraha aDikArAt zaw pAramitAH |
   viṣayeṣvasaktimārgastadāptivikṣepasaṃyameṣvaparaḥ |	vizayezu asakti mArgaH tad A Apti vikzepa saMyamezu aparaH |
   sattvāvisṛjanavardhana āvaraṇaviśodhaneṣvaparaḥ || Msa_16.6 ||	sattva avisRjana varDanaH AvaraNa viSoDanezu aparaH || Msa_16.6 ||
   iti pañcamaḥ | tatra dānaṃ viṣayeṣvasaktimārgastyāgābhyāsena	iti paQcamaH | tatra dAnam vizayezu asakti mArgaH tyAga aByAsena
   tatsaktivigamāt | śīlaṃ tadāptivikṣepasaṃyameṣu bhikṣusaṃvarasthasya	tad sakti vigamAt | SIlam tad A Apti vikzepa saMyamezu Bikzu saMvara sTasya
   viṣayaprāptaye sarvakarmāntavikṣepāṇāmapravṛtteḥ | kṣāntiḥ sattvānutsarge	vizaya prAptaye sarva karmAnta vikzepANAm apravRtteH | kzAntiH sattvAn utsarge
   sarvo[vā]pakāraduḥkhānudvegāt | vīryaṃ kuśalavivardhana ārabdhavīryasya	sarvaH [vA]pakAra duHKAn udvegAt | vIryam kuSala vivarDanaH ArabDa vIryasya
   tadbuddhigamanāt | dhyānaṃ prajñā cāvaraṇaviśodhaneṣu mārgastābhyāṃ	tad budDi gamanAt | DyAnam prajQA ca AvaraNa viSoDanezu mArgaH tAByAm
   kleśajñeyāvaraṇaviśodhanāt | mārga ityupāyaḥ | evaṃ sarvākāramārgādhikārāt	kleSa jQeya AvaraNa viSoDanAt | mArgaH iti upAyaH | evam sarva AkAra mArga aDikArAt
   ṣaṭ pāramitāḥ |	zaw pAramitAH |
   śikṣātrayamadhikṛtya ca ṣaṣṭ pāramitā jinaiḥ samākhyātāḥ |	SikzA trayam aDikRtya ca zazz pAramitAH jinEH samAKyAtAH |
   ādyā tisro dvedhā antyadvayatastisṛṣvekā || Msa_16.7 ||	AdyA tisraH dveDA antya dvayataH tisRzu ekA || Msa_16.7 ||
   iti ṣaṣṭhaḥ | tatrādyā adhiśīlaṃ śikṣā tisraḥ pāramitāḥ	iti zazWaH | tatra AdyAH aDiSIlam SikzA tisraH pAramitAH
   sasaṃbhārasaparivāragrahaṇāt | dānena hi bhoganirapekṣaḥ śīlaṃ samādatte	sa saMBA rasa parivAra grahaNAt | dAnena hi Boga nirapekzaH SIlam samAdatte
   samāttaṃ ca kṣāntyā rakṣatyākruṣṭāpratyākrośanādibhiḥ |	samAttam ca kzAntyA rakzati Akruzwa apratyAkroSana AdiBiH |
   dvidhetyadhicittamadhiprajñaṃ ca śikṣā sā antena dvayena saṃgṛhītā	dviDA iti aDicittam aDiprajQam ca SikzA sA antena dvayena saMgRhItA
   yathākramaṃ dhyānena prajñayā ca | tisṛṣvapi śikṣāsvekā vīryapāramitā	yaTAkramam DyAnena prajQayA ca | tisRzu api SikzAsu ekA vIrya pAramitA
   veditavyā | sarvāsāṃ vīryasahāyatvāt | lakṣaṇavibhāge ślokāḥ ṣaṭ |	veditavyA | sarvAsAm vIrya sahAya tvAt | lakzaNa viBAge SlokAH zaw |
   dānaṃ vipakṣahīnaṃ jñānena gataṃ ca nirvikalpena |	dAnam vipakza hInam jQAnena gatam ca nirvikalpena |
   sarvecchāparipūrakamapi sattvavipācakaṃ tredhā || Msa_16.8 ||	sarva icCA paripUrakam api sattva vipAcakam treDA || Msa_16.8 ||
   bodhisattvānāṃ dānaṃ caturvidhalakṣaṇaṃ | vipakṣahīnaṃ tā[mā]tsaryasya	boDisattvAnAm dAnam caturviDa lakzaNam | vipakza hInam tA[ mA]tsaryasya
   prahīṇatvāt | nirvikalpajñānasahagataṃ dharma nairātmyaprativedhayogāt	prahINa tvAt | nirvikalpa jQAna sahagatam Darma nErAtmya prativeDa yogAt 
   sarvecchāparipūrakaṃ yo yadicchati tasmai tasya dānāt | sattvaparipācakaṃ	sarva icCA paripUrakam yaH yat icCati tasmE tasya dAnAt | sattva paripAcakam
   tredhā dānena sattvān saṃgṛhya triṣu yāneṣu yathābhavyaniyojanāt |	treDA dAnena sattvAn saMgRhya trizu yAnezu yaTA Bavya niyojanAt |
   (MSA_Bagchi 99)	(MSA_BagCi 99)
   śīlaṃ vipakṣahīnaṃ jñānena gataṃ ca nirvikalpena |	SIlam vipakza hInam jQAnena gatam ca nirvikalpena |
   sarvecchāparipūrakamapi sattvavipācakaṃ tredhā || Msa_16.9 ||	sarva icCA paripUrakam api sattva vipAcakam treDA || Msa_16.9 ||
   kṣāntirvipakṣahīnā jñānena gatā ca nirvikalpena |	kzAntiH vipakza hInA jQAnena gatA ca nirvikalpena |
   sarvecchāparipūrā api sattvavipācikā tredhā || Msa_16.10 ||	sarva icCA paripUrAH api sattva vipAcikA treDA || Msa_16.10 ||
   vīryaṃ vipakṣahīnaṃ jñānena gataṃ ca nirvikalpena |	vIryam vipakza hInam jQAnena gatam ca nirvikalpena |
   sarvecchaparipūrakamapi sattvavipācakaṃ tredhā || Msa_16.11 ||	sarva icCa paripUrakam api sattva vipAcakam treDA || Msa_16.11 ||
   dhyānaṃ vipakṣahīnaṃ jñānena gataṃ ca nirvikalpena |	DyAnam vipakza hInam jQAnena gatam ca nirvikalpena |
   sarvecchāparipūrakamapi sattvavipācakaṃ tredhā || Msa_16.12 ||	sarva icCA paripUrakam api sattva vipAcakam treDA || Msa_16.12 ||
   prajñā vipakṣahīnā jñānena gatā ca nirvikalpena |	prajQA vipakza hInA jQAnena gatA ca nirvikalpena |
   sarvecchāparipūrā api sattvavipācikā tredhā || Msa_16.13 ||	sarva icCA paripUrAH api sattva vipAcikA treDA || Msa_16.13 ||
   yathā dānalakṣaṇaṃ caturvidhamevaṃ śīlādīnāṃ veditavyam | eṣāṃ tu vipakṣā	yaTA dAna lakzaNam caturviDam evam SIla AdInAm veditavyam | ezAm tu vipakzA
   dauḥśīlyaṃ krodhaḥ kauśīdyaṃ vikṣepo dauṣprajñyaṃ yathākramaṃ |	dOHSIlyam kroDaH kOSIdyam vikzepaH dOzprajQyam yaTAkramam |
   sarvecchāparipūrakatvaṃ śīlādibhiḥ pareṣāṃ	sarva icCA paripUraka tvam SIla AdiBiH parezAm
   sarvakāyavāksaṃyamāparādhamarṣaṇasāhāyyamanorathasaṃśayacchedanecchāparipūraṇāt	sarva kAya vAc saMyama aparADa marzaNa sAhAyya manoraTa saMSaya= Cedana icCA paripUraNAt
   | sattvaparipācakatvaṃ śīlādibhirāvarjya triṣu yāneṣu paripācanāt |	| sattva paripAcaka tvam SIla AdiBiH Avarjya trizu yAnezu paripAcanAt |
   anukramavibhāge ślokaḥ |	anukrama viBAge SlokaH |
   pūrvottaraviśrayataścotpattestatkrameṇa nirdeśaḥ |	pUrvottara viSrayataH ca utpatteH tad krameNa nirdeSaH |
   hīnotkarṣasthānādaudārikasūkṣmataścāpi || Msa_16.14 ||	hIna utkarza sTAnAt OdArika sUkzmataH ca api || Msa_16.14 ||
   tribhiḥ kāraṇaisteṣāṃ dānādīnāṃ krameṇa nirdeśaḥ |	triBiH kAraNEH tezAm dAna AdInAm krameNa nirdeSaH |
   pūrvasaṃniśrayeṇottarasyotpatteḥ | bhoganirapekṣo hi śīlaṃ samātte śīlavān	pUrva saMniSrayeNa uttarasya utpatteH | Boga nirapekzaH hi SIlam samAtte SIlavAn
   kṣamo bhavati kṣamāvān vīryamārabhate ārabdhavīryaḥ samādhimutpādayati	kzamaH Bavati kzamAvAn vIryam AraBate ArabDa vIryaH samADim utpAdayati
   samāhitacitto yathābhūtaṃ prajānāti | pūrvasya ca hīnatvāt	samAhita cittaH yaTABUtam prajAnAti | pUrvasya ca hIna tvAt 
   uttarasyotkarṣasthānatvāt | hīnaṃ hi dānamutkṛṣṭaṃ śīlamevaṃ yāvaddhīnaṃ	uttarasya utkarza sTAna tvAt | hInam hi dAnam utkRzwam SIlam evam yAvat hInam
   dhyānamutkṛṣṭā prajñeti | pūrvasya caudārikatvāduttarasyasūkṣmatvāt |	DyAnam utkRzwA prajQA iti | pUrvasya ca OdArika tvAt uttarasya sUkzma tvAt |
   audārikaṃ hi dānaṃ supraveśatvāt sukaratvācca | sūkṣmaṃ jñīlaṃ tato	OdArikam hi dAnam su praveSa tvAt sukara tvAt ca | sUkzmam jQIlam tatas 
   duṣpraveśatvād duṣkaratvācca | evaṃ yāvadaudārikaṃ dhyānaṃ sūkṣmā prajñeti	duzpraveSa tvAt duzkara tvAt ca | evam yAvat OdArikam DyAnam sUkzmA prajQA iti
   nirvacanavibhāge ślokaḥ |	nirvacana viBAge SlokaH |
   dāridyasyāpanayācchaityasya ca lambhanāt kṣayāt kruddheḥ |	dAridyasya apanayAt SEtyasya ca lamBanAt kzayAt krudDeH |
   varayogamanodhāraṇaparamāthajñānataścoktiḥ || Msa_16.15 ||	vara yoga manaH DAraNa parama aTa jQAnataH ca uktiH || Msa_16.15 ||
   dāridyamapanayatīti dānaṃ | śaityaṃ lambhayatīti śīlaṃ tadvato	dAridyam apanayati iti dAnam | SEtyam lamBayati iti SIlam tadvataH 
   viṣayanimittakleśaparidāhābhāvāt | kṣayaḥ kruddheriti kṣāntistayā	vizaya nimitta kleSa paridAha aBAvAt | kzayaH krudDeH iti kzAntiH tayA
   krodhakṣayāt | vareṇa yojayatīti vīryaṃ kuśaladharmayojanāt |	kroDa kzayAt | vareNa yojayati iti vIryam kuSala Darma yojanAt |
   dhārayatyadhyātmaṃ mana iti dhyānaṃ | paramārtha[rthaṃ] jānātyanayeti	DArayati aDyAtmam manaH iti DyAnam | parama arTa [rTaM] jAnAti anayA iti
   prajñā |	prajQA |
   (MSA_Bagchi 100)	(MSA_BagCi 100)
   bhāvanāvibhāge ślokaḥ |	BAvanA viBAge SlokaH |
   bhāvanopadhimāśritya manaskāraṃ tathāśayaṃ |	BAvanA upaDim ASritya manaskAram taTA ASayam |
   upāyaṃ ca vibhutvaṃ ca sarvāsāmeva kathyate || Msa_16.16 ||	upAyam ca viBu tvam ca sarvAsAm eva kaTyate || Msa_16.16 ||
   pañcavidhā pāramitābhāvanā | upadhisaṃniśritā | tatropadhisaṃniśritā	paQcaviDA pAramitA BAvanA | upaDi saMniSritA | tatra upaDi saMniSritA
   caturākārā hetusaṃniśritā yo gotrabalena pāramitāsu pratipattyabhyāsaḥ |	catur AkArAH hetu saMniSritAH yaH gotra balena pAramitAsu pratipatti aByAsaH |
   vipākasaṃniśritā ca ātmabhāvasaṃpattibalena | praṇidhānasaṃniśritā yaḥ	vipAka saMniSritA ca Atma BAva saMpatti balena | praNiDAna saMniSritAH yaH
   pūrvapraṇidhānabalena | pratisaṃkhyānasaṃniśratā yaḥ prajñābalena	pUrva praNiDAna balena | pratisaMKyAna saMniSratA yaH prajQA balena
   pāramitāsu pratipattyabhyāsaḥ | manasikārasaṃniśritā pāramitābhāvanā	pAramitAsu pratipatti aByAsaH | manasikAra saMniSritA pAramitA BAvanA
   caturākārā | adhimuktimanaskāreṇa sarvapāramitāpratisaṃyuktaṃ	catur AkArA | aDimuktimanaskAreNa sarva pAramitA pratisaMyuktam
   sūtrāntamadhimucyamānasya | āsvādanāmanaskāreṇa labdhāḥ pāramitā	sUtrAntam aDimucyamAnasya | AsvAda nAma naskAreNa labDAH pAramitA
   āsvādayato guṇasaṃdarśayogena | anumodanāmanaskāreṇa sarvalokadhātuṣu	AsvAdayataH guNa saMdarSa yogena | anumoda nAma naskAreNa sarva loka DAtuzu
   sarvasattvānāṃ dānādikamanumodamānasya | abhinandanāmanaskāreṇātmanaḥ	sarva sattvAnAm dAna Adikam anumodamAnasya | aBinanda nAmanaskAreNa AtmanaH
   sattvānāṃ cānāgataṃ pāramitāviśeṣamabhinandamānasya | āśayasaṃniśritā	sattvAnAm ca anAgatam pAramitA viSezam aBinandamAnasya | ASaya saMniSritA
   pāramitābhāvanā ṣaḍākārā | atṛptāśayena vipulāśayena muditāśayena	pAramitA BAvanA zaz AkArAH | atRpta ASayena vipula ASayena mudita ASayena
   upakārāśayena nirlepāśayena kalyāṇāśayena ca | tatra bodhisattvasya dāne	upakAra ASayena nirlepa ASayena kalyANa ASayena ca | tatra boDisattvasya dAne
