   Mahāsāhasrapramardanī	MahAsAhasra-pramardanI
   yās tatra devatādhastā ṛṣayaś ca tathādhikāḥ /	yAH tatra devatA-aDastAH RzayaH ca taTA-aDikAH /
   babhūvus te 'pi codvignā āyuś cottrastamānasāḥ //	baBUvuH te api ca-udvignAH AyuH ca-uttrasta-mAnasAH //
   devakoṭīsahasrāṇi devakoṭīśatāni ca /	deva-kowI-sahasrANi deva-kowI-SatAni ca /
   devakanyā mahābhāgā añjaliṃ saṃpragṛhya vai //	deva-kanyA mahABAgAH aQjalim saMpragRhya vE //
   vemacitrī rāhulaś ca prahlādaś ca samāgatāḥ /	vema-citrI rAhulaH ca prahlAdaH ca samAgatAH /
   bhṛtyakoṭīsahasraiś ca bhṛtyakoṭīśatair api //	BRtya-kowI-sahasrEH ca BRtya-kowI-SatEH api //
   kanyās teṣām ṛddhimatyo baddhā daśanakhāñjalim /	kanyAH tezAm RdDimatyaH badDAH daSa-naKa-aQjalim /
   sāgaraḥ supratiṣṭhaś ca nāgarājo manasvy api //	sAgaraH su-pratizWaH ca nAga-rAjaH manasvi api //
   nagendro 'navataptaś ca ubhau nandopanandakau /	naga-indraH anavataptaH ca uBO nanda-upanandakO /
   vakṣunando vajramatir gaṅgā sindhuś ca sāgaraḥ //	vakzunandaH vajra-matiH gaFgA sinDuH ca sAgaraH //
   suparṇī pakṣirājānaḥ sāgaraṃ kṣobhayanti ye /	suparNI pakzirAjAnaH sAgaram kzoBayanti ye /
   nāgakoṭīsahasrabhir nāgakoṭīśatais tathā //	nAga-kowI-sahasraBiH nAga-kowI-SatEH taTA //
   kanyās teṣāṃ mahābhāgā añjaliṃ saṃpragṛhya vai /	kanyAH tezAm mahABAgAH aQjalim saMpragRhya vE /
   ravicandrāv ubhau vāpi nakṣatraparivāritau //	ravi-candrO uBO vA-api nakzatra-parivAritO //
   (Msp 15)	(Msp 15)
   suvarṇavarṇaḥ puṣpeṣu magadheṣu rabheyakaḥ /	suvarNa-varNaH puzpezu magaDezu raBeyakaH /
   kāpilir bharukaccheṣu kośaleṣu prapuṇḍakaḥ //	kApiliH BarukacCezu koSalezu prapuNxakaH //
   śūcīlomā ca madreṣu malleṣu ca yaśodharaḥ /	SUcI-lomA ca madrezu mallezu ca yaSoDaraH /
   vibhīṣaṇaś ca pāñcāle lohitākṣaś ca aśvaje //	viBIzaNaH ca pAQcAle lohitAkzaH ca aSva-je //
   piṅgalaś ca avanteṣu kapilākṣaś ca vaidiśe /	piFgalaH ca avantezu kapilAkzaH ca vEdiSe /
   kumbhodaraś ca matseṣu sūrateṣu ca dīrghilaḥ //	kumBodaraH ca matsezu sUratezu ca dIrGilaH //
   pramardanas tu gāndhāre sūryamitraś ca kambuṣu /	pramardanaH tu gAnDAre sUrya-mitraH ca kambuzu /
   mahājanapadeṣv ete uktā yakṣāś caturdaśa //	mahA-janapadezu ete uktAH yakzAH caturdaSa //
   vajrapāṇir mahāyakṣo dharmapālaḥ prapuṇḍaraḥ /	vajrapANiH mahA-yakzaH DarmapAlaH prapuNxaraH /
   kapilaḥ sudarśano viṣṇuḥ piṇḍāraḥ karaśodaraḥ //	kapilaH sudarSanaH vizNuH piNxAraH karaSodaraH //
   kumbhīraḥ sātyakiś cāpi pāñcikaś ca jinarṣabhaḥ /	kumBIraH sAtyakiH ca-api pAQcikaH ca jina-RzaBaH /
   maheśvaro mahāyakṣaś caturbāhur mahābalaḥ //	maheSvaraH mahA-yakzaH catur-bAhuH mahA-balaH //
   pramardanaḥ śūraseno mahānagno mahābalaḥ /	pramardanaH SUrasenaH mahA-nagnaH mahA-balaH /
   yamaś ca yamadūtaś ca māraś cāpi sasainyakaḥ //	yamaH ca yamadUtaH ca mAraH ca-api sa-sEnyakaH //
   harir nāmnā tv asau yakṣo yakṣakoṭīparigrahaḥ /	hariH nAmnA tu asO yakzaH yakza-kowI-parigrahaH /
   hārītī ca sasainyā tu giridāri ca yakṣiṇī //	hArItI ca sa-sEnyA tu giridAri ca yakziNI //
   bhīmarūpā mahātejā hārītī nāma viśrutā /	BIma-rUpA mahA-tejAH hArItI nAma viSrutA /
   caṇḍā caṇḍālikā caiva pañcaputraśatair vṛtā //	caNxA caNxAlikA ca-eva paQca-putra-SatEH vRtAH //
   ākoṭā karkaṭī kālī padumā padumāvatī /	AkowA karkawI kAlI padumA padumAvatI /
   puṣpadantī viśālā ca kharakarṇā ca rākṣasī //	puzpadantI viSAlA ca KarakarNA ca rAkzasI //
   candano viṣṇulaś cāpi haripiṅgalapiṅgalaḥ /	candanaH vizNulaH ca-api hari-piFgala-piFgalaH /
   kuñjaro nāgadantaś ca girimitro 'gradaṃṣṭrakaḥ //	kuQjaraH nAgadantaH ca giri-mitraH agradaMzwrakaH //
   rākṣasī bhadradantā ca brahmilā viṣṇulā tathā /	rAkzasI BadradantA ca brahmilA vizNulA taTA /
   yakṣo hālāhalaś caiva rākṣasaś ca vituṇḍakaḥ //	yakzaH hAlAhalaH ca-eva rAkzasaH ca vituNxakaH //
   śūleṣu te gṛhītvātha gavāś ca mṛgamānuṣān /	SUlezu te gRhItvA-aTa gavAH ca mRga-mAnuzAn /
   bhakṣayantaś ca jīvanto dhāvantaś ca diśodiśaḥ //	BakzayantaH ca jIvantaH DAvantaH ca diSaH-diSaH //
   prakampamānā dhāraṇīṃ śoṣayanto vanaspatīn /	prakampamAnAH DAraNIm SozayantaH vanaspatIn /
   saṃkocayantaḥ śikharān mardayanta imāḥ prajāḥ //	saMkocayantaH SiKarAn mardayantaH imAH prajAH //
   parasparaṃ saṃharṣento vidyākṛṣṭāḥ samāgatāḥ /	parasparam saMharzentaH vidyA-AkRzwAH samAgatAH /
   teṣāṃ samāgatānāṃ hi lokanāthasya cāgrataḥ //	tezAm samAgatAnAm hi loka-nATasya ca-agratas //
   (Msp 16)	(Msp 16)
   tato vaiśramaṇo rājā lokanātham athābravīt /	tatas vESramaNaH rAjA lokanATam aTa-abravIt /
   mamāsty uttaradigbhāge rājadhāni sunirmitā //	mama-asti uttara-diS-BAge rAjaDAni su-nirmitA //
   manoramāḍakavatī tenāham aḍakādhipaḥ /	manoramAxakavatI tena-aham axaka-aDipaH /
   cintitā sarvadeve hi rājadhāny aḍakāhvayā //	cintitA sarva-deve hi rAjaDAnI axaka-AhvayA //
   samucchritā tu prākārā saptaratnasamākulā /	samucCritA tu prAkArA sapta-ratna-samAkulAH /
   kṣomakair yojane dvedhaiḥ saṃskṛtā kāñcanāmayaiḥ //	kzomakEH yojane dveDEH saMskRtA kAQcana-AmayEH //
   kṣomake caikamekasmin samantād dikcatuṣṭaye /	kzomake ca-ekam-ekasmin samantAt diS-catuzwaye /
   sthitā vajradharā yakṣāḥ śastrahastāḥ suvarmitāḥ //	sTitAH vajraDarAH yakzAH Sastra-hastAH su-varmitAH //
   rājadhānyās tu tasyaiva kṛtaṃ dvāracatuṣṭayam /	rAjaDAnyAH tu tasya-eva kRtam dvAra-catuzwayam /
   ekaṃ suvarṇamayaṃ dvāraṃ dvitīyaṃ rūpyasaṃskṛtam //	ekam suvarNa-mayam dvAram dvitIyam rUpya-saMskRtam //
   tṛtīyaṃ sphāṭikaṃ dvāraṃ caturthaṃ maṇivicitritam /	tRtIyam sPAwikam dvAram caturTam maNi-vicitritam /
   asty antare tu nagare udyāne vanapuṣpite //	asti antare tu nagare udyAne vana-puzpite //
   vimānāni vicitrāṇi saptaratnamayāni vai /	vimAnAni vicitrANi sapta-ratna-mayAni vE /
   nānāratnamayā vṛkṣā nānāpakṣiṇikūjitāḥ //	nAnA-ratna-mayAH vRkzAH nAnA-pakziNi-kUjitAH //
   nānāpuṣpasaṃchannā nānāgandhānulepanāḥ /	nAnA-puzpa-saMCannAH nAnA-ganDa-anulepanAH /
   pakṣiṇīnāṃ vilāsaiś ca gītavādyair alaṃkṛtāḥ //	pakziNInAm vilAsEH ca gIta-vAdyEH alaMkRtAH //
   anubhomi śriyaṃ tv agryāṃ bhūtānāṃ tatra maṇḍale /	anuBomi Sriyam tu agryAm BUtAnAm tatra maNxale /
   sarvākāravaropetās tatra me paricārakāḥ //	sarva-AkAra-vara-upetAH tatra me paricArakAH //
   dharmacārī dharmakāmā na vihiṃsanti prāṇinām /	Darma-cArI Darma-kAmAH na vihiMsanti prANinAm /
   annapānais tu vikalā dāruṇās tv itarāḥ prajāḥ //	anna-pAnEH tu vikalAH dAruNAH tu itarAH prajAH //
   adharmacāry adharmakāmās te vihiṃsanti prāṇinām /	aDarma-cArI aDarma-kAmAH te vihiMsanti prANinAm /
   udāraṃ parimārganto viprekṣanti caturdiśaṃ //	udAram parimArgantaH viprekzanti caturdiSam //
   nagaradvārasaṃsthā ye udyāneṣu vaneṣu ca /	nagara-dvAra-saMsTAH ye udyAnezu vanezu ca /
   yakṣarākṣasabhūtānāṃ koṭīsahasrakān gaṇān //	yakza-rAkzasa-BUtAnAm kowI-sahasrakAn gaNAn //
   sarvāṃs tān ānayiṣyāmi sūtrapāśena karṣitān /	sarvAn tAn AnayizyAmi sUtra-pASena karzitAn /
   candanānāṃ vanaiś cchannaṃ śītapuṣkariṇīcitam //	candanAnAm vanEH cCannam SIta-puzkariNI-citam //
   madhye tadrājadhānyās tu dharmarājaniveśanaṃ /	maDye tad-rAjaDAnyAH tu DarmarAja-niveSanam /
   samantād yojanaṃ yāvat kūṭāgārās tu nirmitāḥ /	samantAt yojanam yAvat kUwAgArAH tu nirmitAH /
   suvarnasya bhaved eko dvitīyo rūpyam eva ca /	suvarnasya Bavet ekaH dvitIyaH rUpyam eva ca /
   vaiḍūryasya tṛtīyas tu caturthaḥ sphāṭikaḥ śuciḥ //	vExUryasya tRtIyaH tu caturTaH sPAwikaH SuciH //
   (Msp 17)	(Msp 17)
   pañcamo raktamuktāyāḥ ṣaṣṭhaś caivāśmagarbhaḥ /	paQcamaH rakta-muktAyAH zazWaH ca-eva-aSmagarBaH /
   saptamas tu musārasya saptaratnamayo 'ṣṭamaḥ //	saptamaH tu musArasya sapta-ratna-mayaH azwamaH //
   nāriśatasahasrāṇi ekaikasmin samāgatāḥ /	nAri-Sata-sahasrANi ekEkasmin samAgatAH /
   citrair ābharaṇair agraiś citrair veśair alaṃkṛtāḥ //	citrEH ABaraNEH agrEH citrEH veSEH alaMkRtAH //
   vicitragītavādyeṣu śilpasthāneṣu śikṣitāḥ /	vicitra-gIta-vAdyezu Silpa-sTAnezu SikzitAH /
   īdṛśena pramodena udagras tuṣṭamānasaḥ //	IdRSena pramodena udagraH tuzwa-mAnasaH //
   tatrāhaṃ madhupānena kāmaiś cātyartham ucchritaḥ /	tatra-aham maDu-pAnena kAmEH ca-atyarTam ucCritaH /
   parṣat me prapalāyanti saṃtrāsenti diśodaśaḥ //	parzad me prapalAyanti saMtrAsenti diSodaSaH //
   striyaś ca puruṣāś caiva tathā dārakadārikāḥ /	striyaH ca puruzAH ca-eva taTA dAraka-dArikAH /
   garbhasthā api naśyanti tiryagyonigatā api //	garBa-sTAH api naSyanti tiryagyoni-gatAH api //
   nakṣatracandrasūryāś ca grahāḥ pīḍanti dāruṇāḥ /	nakzatra-candra-sUryAH ca grahAH pIxanti dAruNAH /
   sasyaṃ bījaṃ phalaṃ puṣpam oṣadhaṃ pānabhojanam //	sasyam bIjam Palam puzpam ozaDam pAna-Bojanam //
   harante mānuṣīṃ lakṣmīm uccānīcīṃ karonti ca /	harante mAnuzIm lakzmIm uccAnIcIm karonti ca /
   ye kecid duṣkṛtā loke vairāḥ kalahavigrahāḥ //	ye kecid duzkRtAH loke vErAH kalaha-vigrahAH //
   dagdhaṃ naṣṭaṃ hataṃ bhinnaṃ tat sarvaṃ bhūtajaṃ smṛtam /	dagDam nazwam hatam Binnam tat sarvam BUta-jam smRtam /
   oguṇṭhanti niguṇṭhanti paryasyanti sthitanti //	oguNWanti niguNWanti paryasyanti sTitanti //
   uttrāsenti ca satvānāṃ viprekṣanti dviṣanti ca /	uttrAsenti ca satvAnAm viprekzanti dvizanti ca /
   darśenti pāpakān svapnān prasuptān pīḍayanti ca //	darSenti pApakAn svapnAn prasuptAn pIxayanti ca //
   dvārasthāś cācchaṭāṃ kṛtvā prakrośanti grasanti ca /	dvAra-sTAH ca-acCawAm kRtvA prakroSanti grasanti ca /
   mitrajñātisarūpāś ca dṛśyante ālapanti ca //	mitra-jQAti-sarUpAH ca dRSyante Alapanti ca //
   vicitrakanyārūpeṇa dṛśyante kāmarūpiṇaḥ /	vicitra-kanyA-rUpeNa dRSyante kAmarUpiNaH /
   candrarūpeṇa dṛśyante sūryanakṣatrarūpiṇaḥ //	candra-rUpeNa dRSyante sUrya-nakzatra-rUpiNaH //
   vātolkāśanirūpeṇa dṛśyante vāyupīḍakāḥ /	vAta-ulka-aSani-rUpeNa dRSyante vAyu-pIxakAH /
   ulkākalāpasadṛśāḥ śṛgālasvarabhairavāḥ //	ulkA-kalApa-sadRSAH SRgAla-svaraBEravAH //
   vikramantaś ca dṛśyante vṛkṣacaityālayeṣu ca /	vikramantaH ca dRSyante vRkza-cEtya-Alayezu ca /
   kumārarūpeṇa jvalantaḥ śakaṭasvarāḥ //	kumAra-rUpeNa jvalantaH Sakawa-svarAH //
   sadā citrāṇi darśenti ālayeṣu patheṣu ca /	sadA citrANi darSenti Alayezu paTezu ca /
   gṛhāṇāṃ nagarāṇāṃ ca dvāre muñcanti te grahāḥ /	gRhANAm nagarANAm ca dvAre muQcanti te grahAH /
   gṛhītvā jīvitaṃ kāyaṃ kupathe grāmayanti ca /	gRhItvA jIvitam kAyam kupaTe grAmayanti ca /
   vicitrāṇi ca rūpāṇi vicitrāṇi svarāṇi ca //	vicitrANi ca rUpANi vicitrANi svarANi ca //
   (Msp 18)	(Msp 18)
   rogān vicitrān darśenti vyādhīn vai kāyasaṃsthitān /	rogAn vicitrAn darSenti vyADIn vE kAya-saMsTitAn /
   viparītaṃ ca darśenti sarvarogeṣu ca lakṣaṇam //	viparItam ca darSenti sarva-rogezu ca lakzaNam //
   yāvatī prakṛti loke sarvān darśenti te 'nyathā /	yAvatI prakRti loke sarvAn darSenti te anyaTA /
   sarve samāgatās te 'pi vidyāpāśena karṣitāḥ //	sarve samAgatAH te api vidyA-pASena karzitAH //
   namas te puruṣavīra namas te puruṣottama /	namaH te puruza-vIra namaH te puruzottamaH /
   namasyāmo 'ñjalikarā dharmarāja namo 'stu te //	namasyAmaH aQjali-karAH DarmarAja namaH astu te //
   tato vaiśramaṇo rājā utthito 'tha kṛtāñjaliḥ /	tatas vESramaNaH rAjA utTitaH aTa kRtAQjaliH /
   cakrāṅkacitracaraṇayaṣṭikāñcanasannibhaḥ //	cakra-aFka-citra-caraNa-yazwi-kAQcana-sanniBaH //
   lokapradyotakiraṇa agnikalpamahāmune /	loka-pradyota-kiraNa agni-kalpa-mahA-mune /
   catuḥṣaṣṭhisahasrāṇi yakṣāṇām atra dāruṇāḥ //	catuHzazWi-sahasrANi yakzANAm atra dAruNAH //
   niśritā hy uttarabhāgaṃ pīḍayanti tadudbhavān /	niSritAH hi uttara-BAgam pIxayanti tad-udBavAn /
   teṣāṃ daṇḍaṃ praṇeṣyāmi lokanāthasya saṃmukham //	tezAm daNxam praNezyAmi lokanATasya saMmuKam //
   syād yathedam /	syAt yaTA-idam /
   khaṅge / khaṅgagarbhe / vicakṣaṇe / cakragagane / candre capale /	KaFge / KaFga-garBe / vicakzaNe / cakra-gagane / candre capale /
   bhīmaparvate / kharāgre / kuṭilakarāgre / ekākṣivargavati / sāraṅgavati	BIma-parvate / Kara-agre / kuwila-kara-agre / eka-akzi-vargavati / sAraFgavati
   vicitrakānti svasty astu mama sarvasatvānāṃ ca uttarasyāṃ diśi svāhā //	vicitra-kAnti svasti astu mama sarva-satvAnAm ca uttarasyAm diSi svAhA //
   brahmā cāpy atha śakraś ca lokapālā maheśvarāḥ /	brahmA ca-api aTa SakraH ca lokapAlAH maheSvarAH /
   yakṣasenāpatayaḥ sarve hārītī ca saputrikā //	yakza-senApatayaH sarve hArItI ca sa-putrikA //
   idaṃ puṣpaṃ ca gandhaṃ ca pratigṛhṇantu mamāhutiṃ /	idam puzpam ca ganDam ca pratigRhNantu mama-Ahutim /
   vīryeṇa tejasā teṣām aiśvaryeṇa balena ca //	vIryeNa tejasA tezAm ESvaryeNa balena ca //
   nihatāḥ sarvarogāś ca svasty astu mama sarvasatvānāṃ ca	nihatAH sarva-rogAH ca svasti astu mama sarva-satvAnAm ca
   sarvabhayopadravebhyaḥ svāhā //	sarva-Baya-upadraveByaH svAhA //
   namas te puruṣavīra namas te puruṣottama /	namaH te puruza-vIra namaH te puruzottamaH /
   namasyāmo 'ñjalikarā dharmarājā namo 'stu te //	namasyAmaH aQjali-karAH DarmarAjA namaH astu te //
   dhṛtarāṣṭraś ca rājo 'pi sa kṛtāñjalir utthitaḥ /	DRtarAzwraH ca rAjaH api sa kRtAQjaliH utTitaH /
   pūrṇarāśir ivotphullaḥ kalaviṅkarutasvaraḥ //	pUrNa-rASiH iva-utPullaH kalaviFka-ruta-svaraH //
   morakokilanirghoṣameghadundubhigarjitaḥ /	mora-kokila-nirGoza-meGa-dunduBi-garjitaH /
   catuḥṣaṣṭhisahasrāṇi gandharvā rākṣasā mune //	catuHzazWi-sahasrANi ganDarvAH rAkzasAH mune //
   niśritā pūrvadigbhāgaṃ pīḍayanti tadudbhavān /	niSritA pUrva-diS-BAgam pIxayanti tad-udBavAn /
   (Msp 19)	(Msp 19)
   teṣāṃ daṇḍaṃ praṇeṣyāmi lokanāthasya saṃmukham //	tezAm daNxam praNezyAmi lokanATasya saMmuKam //
   syād yathedam /	syAt yaTA-idam /
   dharaṇi dhāraṇi / pradhvaṃsani / bhañjani / prabhañjani / vidhamaṇi /	DaraNi DAraNi / praDvaMsani / BaQjani / praBaQjani / viDamaNi /
   kiṃpuruṣe / sakale / sārathe / sāravati / śūradhare / śūradhāriṇi /	kiMpuruze / sakale / sAraTe / sAravati / SUra-Dare / SUra-DAriNi /
   śuddhacaraṇe / ghoṣavati / sarāgre / śānti svasty astu mama sarvasatvānāṃ	SudDa-caraNe / Gozavati / sara-agre / SAnti svasti astu mama sarva-satvAnAm
   ca pūrvasyāṃ diśi svāhā //	ca pUrvasyAm diSi svAhA //
   brahmā cāpy atha śakraś ca lokapālā maheśvarāḥ /	brahmA ca-api aTa SakraH ca lokapAlAH maheSvarAH /
   yakṣasenāpatayaḥ sarve hārītī ca saputrikā //	yakza-senApatayaH sarve hArItI ca sa-putrikA //
   idaṃ puṣpaṃ ca gandhaṃ ca pratigṛhṇantu mamāhutiṃ /	idam puzpam ca ganDam ca pratigRhNantu mama-Ahutim /
   vīryeṇa tejasā teṣām aiśvaryeṇa balena ca //	vIryeNa tejasA tezAm ESvaryeNa balena ca //
   nihatāḥ sarvarogāś ca svasty astu mama sarvasatvānāṃ ca	nihatAH sarva-rogAH ca svasti astu mama sarva-satvAnAm ca
   sarvabhayopadravebhyaḥ svāhā //	sarva-Baya-upadraveByaH svAhA //
   namas te puruṣavīra namas te puruṣottama /	namaH te puruza-vIra namaH te puruzottamaH /
   namasyāmo 'ñjalikarā dharmarāja namo 'stu te //	namasyAmaH aQjali-karAH DarmarAja namaH astu te //
   rājā virūḍhakaś cāpi prāñjalīkas tato utthitaḥ /	rAjA virUXakaH ca-api prAQjalIkaH tatas utTitaH /
   sarvajñaḥ sarvadarśī ca sarvavādī pramardanaḥ /	sarvajQaH sarva-darSI ca sarva-vAdI pramardanaH /
   sarvasaṃśayacchetā ca sarvalokavināyakaḥ /	sarva-saMSaya=-CetA ca sarva-loka-vinAyakaH /
   catuḥṣaṣṭhisahasrāṇi kumbhāṇḍāḥ pretapūtanāḥ //	catuHzazWi-sahasrANi kumBANxAH preta-pUtanAH //
   niśrāya dakṣiṇaṃ deśaṃ pīḍayanti tadudbhavān /	niSrAya dakziNam deSam pIxayanti tad-udBavAn /
   teṣāṃ daṇḍaṃ praṇeṣyāmi lokanāthasya saṃmukham //	tezAm daNxam praNezyAmi lokanATasya saMmuKam //
   syād yathedam /	syAt yaTA-idam /
   śānti śāravati / kānti kāravati / kiṃkarasi / kiraṇḍi / kiṃvaḍi / dharaṇi	SAnti SAravati / kAnti kAravati / kiMkarasi / kiraNxi / kiMvaxi / DaraNi
   / vardhani / bhūmidhāriṇi / vibhūmidhāriṇi / himavati / jyotiścaraṇe /	/ varDani / BUmi-DAriNi / viBUmi-DAriNi / himavati / jyotiScaraNe /
   mālāgri / svasty astu mama sarvasatvānāṃ ca dakṣiṇāyāṃ diśi svāhā //	mAlA-agri / svasti astu mama sarva-satvAnAm ca dakziNAyAm diSi svAhA //
   brahmā cāpy atha śakraś ca lokapālā maheśvarāḥ /	brahmA ca-api aTa SakraH ca lokapAlAH maheSvarAH /
   yakṣādhipatayaḥ sarve hārītī ca saputrikā //	yakza-aDipatayaH sarve hArItI ca sa-putrikA //
   idaṃ puṣpaṃ ca gandhaṃ ca pratigṛhṇantu mamāhutiṃ /	idam puzpam ca ganDam ca pratigRhNantu mama-Ahutim /
   vīryeṇa tejasā teṣām aiśvaryeṇa balena ca //	vIryeNa tejasA tezAm ESvaryeNa balena ca //
   nihatāḥ sarvarogāś ca svasty astu mama sarvasatvānāṃ ca (Msp 20)	nihatAH sarva-rogAH ca svasti astu mama sarva-satvAnAm ca (MsB 20)
   sarvabhayopadravopasargebhyaḥ svāhā //	sarva-Baya-upadrava-upasargeByaH svAhA //
   namas te puruṣavīra namas te puruṣottama /	namaH te puruza-vIra namaH te puruzottamaH /
   namasyāmo 'ñjalikarā dharmarāja namo 'stu te //	namasyAmaH aQjali-karAH DarmarAja namaH astu te //
   virūpākṣo mahārājā gṛhītāñjalir utthitaḥ /	virUpAkzaH mahA-rAjAH gRhIta-aQjaliH utTitaH /
   mahāmeghamahāsiṃhaḥ mahāmahamahodadhiḥ /	mahA-meGa-mahA-siMhaH mahA-maha-mahA-udaDiH /
   mahāvādī mahāśūro mahāsaṃgrāmamardakaḥ /	mahA-vAdI mahASUraH mahA-saMgrAma-mardakaH /
   catuḥṣaṣṭhisahasrāṇi nāgasauparṇiguhyakāḥ /	catuHzazWi-sahasrANi nAgasOparNi-guhyakAH /
   niśrāya paścimaṃ deśaṃ pīḍayanti tadudbhavān /	niSrAya paScimam deSam pIxayanti tad-udBavAn /
   teṣāṃ daṇḍaṃ praṇeṣyāmi lokanāthasya saṃmukham //	tezAm daNxam praNezyAmi lokanATasya saMmuKam //
   syād yathedam /	syAt yaTA-idam /
   dharmadharāgre / balavati / balini viśāṅge / vivasi sāgare / khari kapile	Darma-Dara-agre / balavati / balini viSAFge / vivasi sAgare / Kari kapile
   / caṇḍāli / tiriṇi / virājane / vidhāriṇi / varṇavati / acare / svasty	/ caNxAli / tiriNi / virAjane / viDAriNi / varNavati / acare / svasti-
   astu mama sarvasatvānāṃ ca paścimāyāṃ diśi svāhā //	astu mama sarva-satvAnAm ca paScimAyAm diSi svAhA //
   brahmā cāpy atha śakraś ca lokapālā maheśvarāḥ /	brahmA ca-api aTa SakraH ca lokapAlAH maheSvarAH /
   yakṣādhipatayaḥ sarve hārītī ca saputrikā //	yakza-aDipatayaH sarve hArItI ca sa-putrikA //
   idaṃ puṣpaṃ ca gandhaṃ ca pratigṛhṇantu mamāhutiṃ /	idam puzpam ca ganDam ca pratigRhNantu mama-Ahutim /
   vīryeṇa tejasā teṣām aiśvaryeṇa balena ca //	vIryeNa tejasA tezAm ESvaryeNa balena ca //
   nihatāḥ sarvarogāś ca svasty astu mama sarvasatvānāṃ ca	nihatAH sarva-rogAH ca svasti astu mama sarva-satvAnAm ca
   sarvabhayopadravopasargebhyaḥ svāhā //	sarva-Baya-upadrava-upasargeByaH svAhA //
   namas te puruṣavīra namas te puruṣottama /	namaH te puruza-vIra namaH te puruzottamaH /
   namasyāmo 'ñjalikarā dharmarāja namo 'stu te //	namasyAmaH aQjali-karAH DarmarAja namaH astu te //
   atha brahmā mahābrahmā prāñjalīkaḥ samutthitaḥ /	aTa brahmA mahA-brahmA prAQjalIkaH samutTitaH /
   brāhmaṇaḥ snātakaḥ śuddhaḥ sarvavedeṣu pāragaḥ /	brAhmaNaH snAtakaH SudDaH sarva-vedezu pAragaH /
   vaidyarājo janānandaḥ sarvarogacikitsakaḥ /	vEdya-rAjaH janAnandaH sarva-roga-cikitsakaH /
   ye yakṣarākṣasāś caiva digvidikṣu vyavasthitāḥ /	ye yakza-rAkzasAH ca-eva diS-vidikzu vyavasTitAH /
   pātāle heṣṭham ūrdhvaṃ ca ākāśe niśritā grahāḥ /	pAtAle hezWam UrDvam ca AkASe niSritAH grahAH /
   teṣāṃ daṇḍaṃ praṇeṣyāmi lokanāthasya saṃmukham //	tezAm daNxam praNezyAmi lokanATasya saMmuKam //
   syād yathedam /	syAt yaTA-idam /
   brahma brahmaghoṣe / brahmasvare / vajradhare / sthire / sāre / acale /	brahma brahma-Goze / brahma-svare / vajraDare / sTire / sAre / acale /
   araṇe / iṣaṇe / araṇi deraṇi / śūre / varāgraprāpte / sāravate / (Msp 21)	araNe / izaNe / araNi deraNi / SUre / vara-agra-prApte / sAravate / (MsB 21)
   svasty astu mama sarvasatvānāṃ ca sarvadigvidigbhyaḥ svāhā //	svasti astu mama sarva-satvAnAm ca sarva-diS-vidigByaH svAhA //
   brahmā cāpy atha śakraś ca lokapālā maheśvarāḥ /	brahmA ca-api aTa SakraH ca lokapAlAH maheSvarAH /
   yakṣasenāpatayaḥ sarve hārītī ca saputrikā //	yakza-senApatayaH sarve hArItI ca sa-putrikA //
   idaṃ puṣpaṃ ca gandhaṃ ca pratigṛhṇantu mamāhutiṃ /	idam puzpam ca ganDam ca pratigRhNantu mama-Ahutim /
   vīryeṇa tejasā teṣām aiśvaryeṇa balena ca //	vIryeNa tejasA tezAm ESvaryeNa balena ca //
   nihatāḥ sarvarogāś ca svasty astu mama sarvasatvānāṃ ca	nihatAH sarva-rogAH ca svasti astu mama sarva-satvAnAm ca
   sarvabhayopadravopasargebhyaḥ svāhā //	sarva-Baya-upadrava-upasargeByaH svAhA //
   namas te puruṣavīra namas te puruṣottama /	namaH te puruza-vIra namaH te puruzottamaH /
   namasyāmo 'ñjalikarā dharmarāja namo 'stu te //	namasyAmaH aQjali-karAH DarmarAja namaH astu te //
   vātajāḥ pittajā rogāḥ śleṣmajāḥ sannipātajāḥ / nihatāḥ sarvarogāś ca	vAta-jAH pitta-jAH rogAH Slezma-jAH sannipAta-jAH / nihatAH sarva-rogAH ca
   svasty astu mama sarvasatvānāṃ ca sarvabhayopadravopasargopāyāsebhyaḥ	svasti astu mama sarva-satvAnAm ca sarva-Baya-upadrava-upasarga-upAyAseByaH
   svāhā //	svAhA //
   atha bhagavān etad avocat /	aTa BagavAn etat avocat /
   naikarājasyārthāya buddhā bhagavanto loka utpadyante /	na-eka-rAjasya-arTAya budDAH BagavantaH loke utpadyante /
   naikanagaranigamajanapadagrāmakulānāṃ yāvan naikasatvasyārthāya buddhā	na-eka-nagara-nigama-janapada-grAma-kulAnAm yAvat na-eka-satvasya-arTAya budDA
   bhagavanto loka utpadyante / api tu sadevakasya lokasyārthāya samārakasya	BagavantaH loke utpadyante / api tu sa-devakasya lokasya-arTAya samArakasya
   saśramaṇabrāhmaṇikāyāḥ prajāyāḥ sadevamānuṣāsurāyā buddhā bhagavanto loka	sa-SramaNa-brAhmaNikAyAH prajAyAH sa-deva-mAnuza-asurAyAH budDAH BagavantaH loka
   utpadyante / tadyathā / syād vaidyaś cikitsakaḥ paramācāryaḥ kuśalo	utpadyante / tat-yaTA / syAt vEdyaH cikitsakaH parama-AcAryaH kuSalaH-
