   akarod bhayajid rājā NCit_1.39c	akarot Baya-jit rAjA NCit-_1.39c
   dvyuṅgulaṃ bhūpadeśagam NCit_3.62d	dvi-uFgulam BUpadeSa-gam NCit-_3.62d
   dharāpṛṣṭe samāyāta NCit_3.127c	DarA-pRzwe samAyAtaH NCit-_3.127c
   dharmajñaḥ satyaniṣṭhaśca NCit_1.9c	Darma-jQaH satya-nizWaH-ca NCit-_1.9c
   dharmanītiḥ suvijñāya NCit_1.60a	DarmanItiH su-vijQAya NCit-_1.60a
   dharmarājaṃ jagadbandyaṃ NCit_1.27a	DarmarAjam jagat-bandyam NCit-_1.27a
   dharmaśca sadṛśo bhāvyaḥ NCit_2.15a	DarmaH-ca sadRSaH BAvyaH NCit-_2.15a
   dhārmikasya praśāsane NCit_1.10b	DArmikasya praSAsane NCit-_1.10b
   dhīman śṛṇu vadāni te NCit_3.87d	DIman SRNu vadAni te NCit-_3.87d
   dhūlimalena nirliptaḥ NCit_3.124c	DUli-malena nirliptaH NCit-_3.124c
   na kāryaṃ viṣamaṃ kvacit NCit_3.58d	na kAryam vizamam kvacid NCit-_3.58d
   na kuṭilaḥ pradeśakaḥ NCit_3.50b	na kuwilaH pradeSakaH NCit-_3.50b
   nakṣatraiścāśritaḥ sūryo NCit_1.93c	nakzatrEH-ca-ASritaH sUryaH NCit-_1.93c
   nakhaprabhāsamujjvalau NCit_3.137c	naKa-praBA-samujjvalO NCit-_3.137c
   nakhā raktāstathā svacchāḥ NCit_3.78c	naKAH raktAH-taTA su-acCAH NCit-_3.78c
   nakhāścārdhaśaśāṅkavat NCit_3.69a	naKAH-ca-arDa-SaSAFka-vat NCit-_3.69a
   nakhāḥ sūkṣmāṃ nakhāgrakāḥ NCit_3.81b	naKAH sUkzmAm naKa-agrakAH NCit-_3.81b
   nakhodarastanuḥ snigdha NCit_3.86c	naKa-udaraH-tanuH snigDaH NCit-_3.86c
   nageṣu sakaleṣu ca NCit_1.94b	nagezu sakalezu ca NCit-_1.94b
   nagnajitaṃ namaskṛtya NCit_1.5c	nagnajitam namaskRtya NCit-_1.5c
   nagnajid gaccha tasmāt tvaṃ NCit_1.96a	nagnajit gacCa tasmAt tvam NCit-_1.96a
   nagnaṃ pretaṃ nivāraya NCit_1.70b	nagnam pretam nivAraya NCit-_1.70b
   na cyutā dharmatatparāḥ NCit_1.13b	na cyutAH Darma-tatparAH NCit-_1.13b
   na jāto 'sau pravartate NCit_1.21d	na jAtaH asO pravartate NCit-_1.21d
   na doṣo bhavatāṃ nātha NCit_1.50a	na dozaH BavatAm nATa NCit-_1.50a
   naddhā jālakramādanu NCit_3.78b	nadDA jAla-kramAt-anu NCit-_3.78b
   na nindet kāmapi prajām NCit_1.60b	na nindet kAm-api prajAm NCit-_1.60b
   na pātayed bhavān khalu NCit_1.70d	na pAtayet BavAn Kalu NCit-_1.70d
   na bhūto na bhaviṣyati NCit_3.160b	na BUtaH na Bavizyati NCit-_3.160b
   namaskaromyahaṃ caiva NCit_1.5a	namaskaromi-aham ca-eva NCit-_1.5a
   namaskṛtya yamasvārthe NCit_1.68c	namaskRtya yama-sva-arTe NCit-_1.68c
   na mukhaṃ syāt kadācana NCit_3.43d	na muKam syAt kadAcana NCit-_3.43d
   namo namo mayā samyag NCit_1.3c	namaH namaH mayA samyak NCit-_1.3c
   nayanaṃ cāpasannibham NCit_3.23b	nayanam ca-apa-sanniBam NCit-_3.23b
   nara iha ca sarvadā NCit_3.44d	naraH iha ca sarvadA NCit-_3.44d
   nararājo mahodharaḥ NCit_1.9b	nara-rAjaH mahoDaraH NCit-_1.9b
   naralakṣaṇayukteṣu NCit_3.155a	nara-lakzaNa-yuktezu NCit-_3.155a
   narttane rodane krodhe NCit_3.18c	naRttane rodane kroDe NCit-_3.18c
   navayavakasammatam NCit_3.77d	nava-yavaka-sammatam NCit-_3.77d
   navayavaiḥ susaṃnitam NCit_3.25b	nava-yavEH su-saMnitam NCit-_3.25b
   navārdhaparṇavaccāruḥ NCit_3.109e	nava-arDa-parNa-vat-cAruH NCit-_3.109e
   na śakyate na śakyate NCit_1.36a	na Sakyate na Sakyate NCit-_1.36a
   naṣṭaḥ senāpatiścaiva NCit_1.43c	nazwaH senApatiH-ca-eva NCit-_1.43c
   nāṛiparva tvadṛśyakam NCit_3.91d	na-aRiparva tu-adRSyakam NCit-_3.91d
   nāṛī dṛśyā kadāpi na NCit_3.85b	nARI dRSyA kadApi na NCit-_3.85b
   nāgendrābhogasannibhaḥ NCit_3.86b	nAga-indra-ABoga-sanniBaH NCit-_3.86b
   nāḍyaviṣamasaṃpuṣṭā NCit_3.68c	nAxya-vizama-saMpuzwA NCit-_3.68c
   nātiprasārito bhavet NCit_3.102f	na-ati-prasAritaH Bavet NCit-_3.102f
   nātisaṃkocamāpanna NCit_3.102c	na-ati-saMkocam-ApannaH NCit-_3.102c
   nātra śaṅkā kṛthā naraḥ NCit_2.12e	na-atra SaFkA kRTAH naraH NCit-_2.12e
   nānā prakāraduḥsvapnāt NCit_2.14a	nAnA prakAra-duHsvapnAt NCit-_2.14a
   nānāvidhāni santi ca NCit_1.86d	nAnAviDAni santi ca NCit-_1.86d
   nānāśāstrasamuddhṛtam NCit_1.8b	nAnA-SAstra-samudDRtam NCit-_1.8b
   nābhijaṅkhopajaṅkhānāṃ NCit_3.162a	nABi-jaFKa-upajaFKAnAm NCit-_3.162a
   nābhito meṭraparyantaṃ NCit_3.50e	nABitaH mewra-paryantam NCit-_3.50e
   nābherardhāṅgulaṃ matam NCit_3.51b	nABeH-arDa-aFgulam matam NCit-_3.51b
   nāmādikīrtanaṃ kārya NCit_2.16c	nAma-Adi-kIrtanam kAryaH NCit-_2.16c
   nārāyaṇaṃ sarasvatīm NCit_1.1b	nArAyaNam sarasvatIm NCit-_1.1b
   nārīṇāṃ parimāṇaṃ ca NCit_3.163e	nArINAm parimANam ca NCit-_3.163e
   nārīpuruṣayoḥ satsu NCit_3.154a	nArI-puruzayoH satsu NCit-_3.154a
   nālpamapi sukhaṃ kiñcid NCit_1.61c	na-alpam-api suKam kiQcid NCit-_1.61c
   nāśakam netramodakaṃ NCit_2.22d	nASakam netramodakam NCit-_2.22d
   nāsākarṇamukheṣu ca NCit_3.114b	nAsA-karNa-muKezu ca NCit-_3.114b
   nāsākośāt samutthāya NCit_3.19c	nAsA-koSAt samutTAya NCit-_3.19c
   nāsāyāḥ punarārohaś NCit_3.33a	nAsAyAH punar-ArohaH NCit-_3.33a
   nāsārandhrāgradeśasya NCit_3.34c	nAsA-ranDra-agra-deSasya NCit-_3.34c
   nitambadeśa ārohe NCit_3.102a	nitamba-deSaH Arohe NCit-_3.102a
   nitambapārśvamānaṃ syāt NCit_3.100a	nitamba-pArSva-mAnam syAt NCit-_3.100a
   nindā tyājyā tathaiva ca NCit_1.65d	nindA tyAjyA taTA-eva ca NCit-_1.65d
   nindopāyaḥ kathañcana NCit_1.64d	nindA-upAyaH kaTaQcana NCit-_1.64d
   nirahaṅkāriṇā tasmāt NCit_1.63a	nirahaFkAriNA tasmAt NCit-_1.63a
   nirdiṣṭaṃ cāvabodhārthaṃ NCit_3.103c	nirdizwam ca-avaboDa-arTam NCit-_3.103c
   nirdiṣṭaṃ citralakṣaṇaṃ NCit_1.103c	nirdizwam citra-lakzaNam NCit-_1.103c
   nirmedhaśaśiccāru NCit_3.126a	nirmeDa-SaSit-cAru NCit-_3.126a
   nirvikalpaṃ bhaveccakṣur NCit_3.26c	nirvikalpam Bavet-cakzuH NCit-_3.26c
   nivartasva kumārgebhyas NCit_1.72c	nivartasva ku-mArgeByaH NCit-_1.72c
   niścayena na kīrtyate NCit_3.17b	niScayena na kIrtyate NCit-_3.17b
   niṣkuṭilaṃ sukomalam NCit_3.165b	nizkuwilam su-komalam NCit-_3.165b
   nīrogā na ca hantāro NCit_1.11a	nIrogAH na ca hantAraH NCit-_1.11a
   nīlavalkalasundaraṃ NCit_3.31b	nIla-valkala-sundaram NCit-_3.31b
   nīlaṃ kṛṣṇaṃ ca dīrghaṃ ca NCit_3.129c	nIlam kRzNam ca dIrGam ca NCit-_3.129c
   nīlaṃ cakṣurmanogrāhi NCit_3.118c	nIlam cakzuH-manaH-grAhi NCit-_3.118c
   nīlāñjanasamaprabhaiḥ NCit_3.115d	nIlAQjana-sama-praBEH NCit-_3.115d
   nīlā dedīpyamānāśca NCit_3.112c	nIlAH dedIpyamAnAH-ca NCit-_3.112c
   netraprītivivarddhanaṃ NCit_3.165d	netra-prIti-vivardDanam NCit-_3.165d
   netramadhyaṃ tathaiva tu NCit_3.21d	netra-maDyam taTA-eva tu NCit-_3.21d
   netramānamidaṃ jñeyaṃ NCit_3.32a	netra-mAnam-idam jQeyam NCit-_3.32a
   netramūlāt pramoditāḥ NCit_2.10b	netra-mUlAt pramoditAH NCit-_2.10b
   netraṃ matsyodaraṃ bhavet NCit_3.27b	netram matsya-udaram Bavet NCit-_3.27b
   netrāṇāṃ varṇito mayā NCit_3.26b	netrANAm varNitaH mayA NCit-_3.26b
   netrānandavidhāyakau NCit_3.129f	netra-Ananda-viDAyakO NCit-_3.129f
   naipuṇyena ca vidyayā NCit_1.63d	nEpuNyena ca vidyayA NCit-_1.63d
   nairujyaṃ saṃpradāsyati NCit_2.13f	nErujyam saMpradAsyati NCit-_2.13f
   naiva kāryā mukhākṛtiḥ NCit_3.43b	na-eva kAryA muKa-AkRtiH NCit-_3.43b
   nyāyaśca prābhavan tadā NCit_2.5b	nyAyaH-ca prABavan tadA NCit-_2.5b
   pañcaviṃśatiraṅgulaḥ NCit_3.55b	paQcaviMSatiH-aFgulaH NCit-_3.55b
   pañcaśa upadiṣṭavān NCit_3.154d	paQcaSas upadizwavAn NCit-_3.154d
   pañcāṅgulaṃ tu gaṇḍodhvaṃ NCit_3.41a	paQca-aFgulam tu gaNxoDvam NCit-_3.41a
   pañcāṅgulaṃ prakīrtitam NCit_3.74b	paQca-aFgulam prakIrtitam NCit-_3.74b
   pañcāṅgulisamāyāmau NCit_3.64c	paQcAFguli-samAyAmO NCit-_3.64c
   patanti sāgare nadyaḥ NCit_1.93a	patanti sAgare nadyaH NCit-_1.93a
   padmapatranibhaṃ netraṃ NCit_3.25a	padma-patra-niBam netram NCit-_3.25a
   padmapatranibhaṃ varam NCit_3.28b	padma-patra-niBam varam NCit-_3.28b
   padmapatrapratīkāśaḥ NCit_3.109a	padma-patra-pratIkASaH NCit-_3.109a
   padmāsyāyāstathā giram NCit_1.2b	padma-AsyAyAH-taTA giram NCit-_1.2b
   paramaṃ kathayāmi te NCit_1.88d	paramam kaTayAmi te NCit-_1.88d
   paramāṇubhiraṣṭābhir NCit_3.5a	paramANuBiH-azwABiH NCit-_3.5a
   paramāṇuśca vālāgraṃ NCit_3.4a	paramANuH-ca vAla-agram NCit-_3.4a
   parasparasamīpagam NCit_3.62b	paraspara-samIpa-gam NCit-_3.62b
   parākrāntasya dhīmataḥ NCit_1.17b	parAkrAntasya DImataH NCit-_1.17b
   parimaṇḍalasampannau NCit_3.137e	parimaNxala-sampannO NCit-_3.137e
   parimaṇḍalasaṃyutaḥ NCit_3.40d	parimaNxala-saMyutaH NCit-_3.40d
   parimāṇajñakīrtitā NCit_3.5d	parimANa-jQa-kIrtitA NCit-_3.5d
   parimāṇapratiṣṭāno- NCit_3.146c	parimANa-pratizwAno NCit-_3.146c
   parimāṇasya lakṣaṇam NCit_3.152b	parimANasya lakzaNam NCit-_3.152b
   parimāṇaṃ kalānvitaṃ NCit_1.107d	parimANam kalA-anvitam NCit-_1.107d
   parimāṇaṃ kimasya syāt NCit_1.87a	parimANam kim-asya syAt NCit-_1.87a
   parimāṇaṃ guṇaṃ tathā NCit_2.7d	parimANam guNam taTA NCit-_2.7d
   parimāṇaṃ tathāsthānaṃ NCit_1.102c	parimANam taTA-sTAnam NCit-_1.102c
   parimāṇaṃ tu yatra ca NCit_3.144b	parimANam tu yatra ca NCit-_3.144b
   parimāṇaṃ ṣaḍaṅgulaṃ NCit_3.96c	parimANam zaz-aFgulam NCit-_3.96c
   parimāṇaṃ suyatnataḥ NCit_3.146b	parimANam suyatnataH NCit-_3.146b
   parimāṇādikaṃ teṣāṃ NCit_2.19a	parimANa-Adikam tezAm NCit-_2.19a
   parimāṇānusareṇa NCit_3.7e	parimANa-anusareNa NCit-_3.7e
   parimāṇānusāreṇa NCit_3.149c	parimANa-anusAreNa NCit-_3.149c
   parivṛtiḥ ṣaḍaṅguliḥ NCit_3.65e	parivRtiH zaz-aFguliH NCit-_3.65e
   parivṛtiḥ samānaiva NCit_3.53e	parivRtiH samAnA-eva NCit-_3.53e
   parivṛttirdviraṅguliḥ NCit_3.67d	parivRttiH-dvis-aFguliH NCit-_3.67d
   paryāyavācinau matau NCit_3.7d	paryAya-vAcinO matO NCit-_3.7d
   parvatarekhā tvadoṣabhāk NCit_3.81d	parvata-reKA tvad-oza-BAj NCit-_3.81d
   parvaṃ dīrghaṃ ca vṛtaṃ ca NCit_3.82a	parvam dIrGam ca vRtam ca NCit-_3.82a
   parvārdhena mitāḥ kāryā NCit_3.81a	parva-arDena mitAH kAryA NCit-_3.81a
   parvārdhena susaṃmatā NCit_3.74d	parva-arDena su-saMmatAH NCit-_3.74d
   pātacampakapuṣpavat NCit_3.119d	pAta-campaka-puzpa-vat NCit-_3.119d
   pādapṛṣṭomṛdū syātāṃ NCit_3.136e	pAda-pRzwaH-mRdU syAtAm NCit-_3.136e
   pādasya bandhanaṃ syāttu NCit_3.62c	pAdasya banDanam syAt-tu NCit-_3.62c
   pādau caturdaśāṅgulau NCit_3.60d	pAdO caturdaSa-aFgulO NCit-_3.60d
   pāpaghnaṃ ca manohāri NCit_1.78a	pApa-Gnam ca manohAri NCit-_1.78a
   pāpahānikaraṃ bhīter NCit_2.22c	pApa-hAni-karam BIteH NCit-_2.22c
   pāpān nāśayati dhruvam NCit_2.14d	pApAt nASayati Druvam NCit-_2.14d
   pāyādibhirvihīnā yā NCit_3.146d	pAya-AdiBiH-vihInA yA NCit-_3.146d
   pāyustu dvyuṅgulaṃ matam NCit_3.101d	pAyuH-tu dvi-uFgulam matam NCit-_3.101d
   pārvatyā anusṛtyaiva NCit_1.2c	pArvatyAH anusRtya-eva NCit-_1.2c
   pārśvāṅgulikramādanu NCit_3.75d	pArSva-aFguli-kramAt-anu NCit-_3.75d
   piśācapretakāyikāḥ NCit_3.2d	piSAca-pretakAyikAH NCit-_3.2d
   piśācā rākṣasā bhūtā NCit_3.147a	piSAcAH rAkzasAH BUtAH NCit-_3.147a
   puṇyātmā pūjayiṣyati NCit_2.17b	puNya-AtmA pUjayizyati NCit-_2.17b
   punaragre pravakṣyāmi NCit_3.95a	punar-agre pravakzyAmi NCit-_3.95a
   punaratra pravakṣyate NCit_3.103d	punar-atra pravakzyate NCit-_3.103d
   punarjīvanamāpede NCit_1.55d	punar-jIvanam-Apede NCit-_1.55d
   punardeyaṃ cucūkayoḥ NCit_3.52b	punar-deyam cucUkayoH NCit-_3.52b
   purā śubhāśubhaṃ karma NCit_1.51a	purA SuBa-aSuBam karma NCit-_1.51a
   puruṣaṃ vacanaṃ tyājyam NCit_1.66a	puruzam vacanam tyAjyam NCit-_1.66a
   puruṣāṇāmidaṃ mānaṃ NCit_3.99c	puruzANAm-idam mAnam NCit-_3.99c
   puredaṃ lakṣaṇaṃ śrutvā NCit_1.9a	purA-idam lakzaNam SrutvA NCit-_1.9a
   purvoktaṃ vistareṇa ca NCit_3.10d	purva-uktam vistareNa ca NCit-_3.10d
   puṣṭamasina saṃyutam NCit_3.58b	puzwam-asina saMyutam NCit-_3.58b
   puṣṭirjñeyā mahāmate NCit_3.161d	puzwiH-jQeyAH mahAmate NCit-_3.161d
   pūjanīyaṃ hasan nṛpam NCit_1.30b	pUjanIyam hasan nRpam NCit-_1.30b
   pūjanīyo bhaviṣyasi NCit_1.77b	pUjanIyaH Bavizyasi NCit-_1.77b
   pūjayitvā prayantataḥ NCit_1.82b	pUjayitvA prayantataH NCit-_1.82b
   pūjayiṣyati vaḥ sadā NCit_2.12f	pUjayizyati vaH sadA NCit-_2.12f
   pūrvalakṣaṇasaṃyutaṃ NCit_3.46b	pUrva-lakzaNa-saMyutam NCit-_3.46b
   pṛṣṭamūlasamāgatāḥ NCit_3.112d	pRzwa-mUla-samAgatAH NCit-_3.112d
   pṛṣṭhamadhyaḥ ṣaḍaṅgulir NCit_3.98c	pRzWa-maDyaH zaz-aFguliH NCit-_3.98c
   pṛṣṭhaṃ bhāgena sundaram NCit_3.99b	pRzWam BAgena sundaram NCit-_3.99b
   prakartavyo na kartavyo NCit_1.64c	prakartavyaH na kartavyaH NCit-_1.64c
   pragacchannaiva dṛṣṭitām NCit_3.59b	pragacCat-=-a-eva dRzwitAm NCit-_3.59b
   pracāraya prayatnataḥ NCit_2.19d	pracAraya prayatnataH NCit-_2.19d
   prajāpatitulaḥ pṛthvāṃ NCit_1.74e	prajApati-tulaH pRTvAm NCit-_1.74e
   prajāpatestathā śambhoḥ NCit_1.2a	prajApateH-taTA SamBoH NCit-_1.2a
   prajā mayā vinirmitāḥ NCit_1.106b	prajAH mayA vinirmitAH NCit-_1.106b
   prajāhitakaraṃ bhavet NCit_3.30b	prajA-hita-karam Bavet NCit-_3.30b
   prajāḥ pālaya niṣpāpaḥ NCit_1.75c	prajAH pAlaya nizpApaH NCit-_1.75c
   praṇamya bhayajinnṛpaḥ NCit_1.27b	praNamya Baya-jit-nRpaH NCit-_1.27b
   pratidiśamadhāvata NCit_1.43b	pratidiSam-aDAvata NCit-_1.43b
   pratimānāṃ yathāyatham NCit_2.16b	pratimAnAm yaTAyaTam NCit-_2.16b
   pratimā sā parityaktā NCit_3.146e	pratimA sA parityaktA NCit-_3.146e
   pratimāṃ yāṃ pratidinaṃ NCit_2.17a	pratimAm yAm pratidinam NCit-_2.17a
   pratyakṣaṃ prāpyate yattu NCit_1.66c	pratyakzam prApyate yat-tu NCit-_1.66c
   pratyaṅgaṃ ca yathāyatham NCit_2.9b	pratyaFgam ca yaTAyaTam NCit-_2.9b
   pratyaṅgaṃ samatāṃ bhajet NCit_3.145b	pratyaFgam sama-tAm Bajet NCit-_3.145b
   pratyāvṛtya raṇād devaḥ NCit_1.49e	pratyAvRtya raNAt devaH NCit-_1.49e
   pratyupakṛddvijātestu NCit_1.28a	pratyupakRt-dvijAteH-tu NCit-_1.28a
   pradāya sarvamīśena NCit_1.103a	pradAya sarvam-ISena NCit-_1.103a
   pradiptāgniśikhā yathā NCit_3.69d	pradipta-agni-SiKA yaTA NCit-_3.69d
   pradīptamaṇisaṃkāśaḥ NCit_3.125a	pradIpta-maNi-saMkASaH NCit-_3.125a
   pradhānānāñca bhūbhṛtām NCit_3.160d	praDAna-anAQca BUBRtAm NCit-_3.160d
   prapayau nagaraṃ drutam NCit_1.83b	prapayO nagaram drutam NCit-_1.83b
   prapīḍya mumude bhṛśam NCit_1.41d	prapIxya mumude BRSam NCit-_1.41d
   prabhāmaṇḍalamaṇḍitam NCit_3.126b	praBA-maNxala-maNxitam NCit-_3.126b
   prabhāvaiḥ prāptaviśruteḥ NCit_1.17d	praBAvEH prApta-viSruteH NCit-_1.17d
   prabho tribhuvanasyāpi NCit_1.29a	praBo triBuvanasya-api NCit-_1.29a
   pramāṇaṃṣaḍyavaṃ smṛtam NCit_3.24b	pramANaMzaz-yavam smRtam NCit-_3.24b
   pralayānte ca vai purā NCit_2.2b	pralaya-ante ca vE purA NCit-_2.2b
   pravāhū caturaṅgulī NCit_3.90b	pravAhU catur-aFgulI NCit-_3.90b
   pravṛttaṃ tapasi drutam NCit_1.14d	pravRttam tapasi drutam NCit-_1.14d
   praśaṃśasurvidhiṃ surāḥ NCit_2.10d	praSaMSasuH-viDim surAH NCit-_2.10d
   prasannapadmavannetrāṃ NCit_3.31a	prasanna-padma-vat-netrAm NCit-_3.31a
   prasannaṃ cārulakṣaṇam NCit_3.42d	prasannam cAru-lakzaNam NCit-_3.42d
   prasanno hyagamad drutam NCit_1.97d	prasannaH hi-agamat drutam NCit-_1.97d
   prasāre dīrghakau yathā NCit_3.137d	prasAre dIrGakO yaTA NCit-_3.137d
   prasiddhaiḥ śilpibhiḥ kāryaṃ NCit_3.143a	prasidDEH SilpiBiH kAryam NCit-_3.143a
   prahlādasāramujjvalam NCit_1.7b	prahlAda-sAram-ujjvalam NCit-_1.7b
   prākāra iva tṛptidaḥ NCit_3.120b	prAkAraH iva tRpti-daH NCit-_3.120b
   prāṇatulyaṃ sutaṃ mahyaṃ NCit_1.23c	prANa-tulyam sutam mahyam NCit-_1.23c
   prāṇebhyo 'pi sutaḥ priyaḥ NCit_1.28b	prANeByaH api sutaH priyaH NCit-_1.28b
   prādurabhūt suvarṇāṇḍaṃ NCit_2.2c	prAduraBUt suvarNa-aNxam NCit-_2.2c
   prāntadvayaṃ ca jaṅghāyā NCit_3.56a	prAnta-dvayam ca jaFGAyAH NCit-_3.56a
   prāha yathāyathaṃ vacaḥ NCit_1.48d	prAha yaTAyaTam vacaH NCit-_1.48d
   prāha vaivasvataṃ yamam NCit_1.35b	prAha vEvasvatam yamam NCit-_1.35b
   prāha saptasurān brahmā NCit_2.12a	prAha sapta-surAn brahmA NCit-_2.12a
   priyaudāryaguṇā yatra NCit_3.142c	priya-OdArya-guNAH yatra NCit-_3.142c
   prīṇayitvā yamaṃ tathā NCit_1.82d	prINayitvA yamam taTA NCit-_1.82d
   pretaparyāyakaṃ nagnam NCit_1.74a	preta-paryAyakam nagnam NCit-_1.74a
   pretānāṃ yakṣarakṣasām NCit_1.109b	pretAnAm yakza-rakzasAm NCit-_1.109b
   preto dāruṇarupī ca NCit_1.43a	pretaH dAruNarupI ca NCit-_1.43a
   protisukhapradaṃ nṛṇām NCit_1.78b	proti-suKa-pradam nRNAm NCit-_1.78b
   phullāravindakoṣasya NCit_3.130a	Pulla-aravinda-kozasya NCit-_3.130a
   baddhaskandhau supūrṇāṃśau NCit_3.131c	badDa-skanDO su-pUrNa-aMSO NCit-_3.131c
   bandhanaṃ ca pradātavyaṃ NCit_3.52c	banDanam ca pradAtavyam NCit-_3.52c
   bandhuraḥ syānna saṃśayaḥ NCit_3.50d	banDuraH syAt-na saMSayaH NCit-_3.50d
   babhūvurāturā sarve NCit_1.46c	baBUvuH-AturA sarve NCit-_1.46c
   balena tejasā cāpi NCit_1.71a	balena tejasA ca-api NCit-_1.71a
   bahuśaḥ prāha vīrahā NCit_1.38b	bahuSas prAha vIra-hA NCit-_1.38b
   bahusthānapratiṣṭhitam NCit_3.164d	bahu-sTAna-pratizWitam NCit-_3.164d
   bāhuprabāhumānāni NCit_3.94c	bAhu-prabAhu-mAnAni NCit-_3.94c
   bāhumūlopajaṅghāsu NCit_3.114a	bAhu-mUla-upajaFGAsu NCit-_3.114a
   bāhū daṇḍāyamānasya NCit_3.93c	bAhU daNxAyamAnasya NCit-_3.93c
   bāhūnāṃ mānamārohaṃ NCit_3.87c	bAhUnAm mAnam-Aroham NCit-_3.87c
   bāhoścāpi tathaiva ca NCit_3.88f	bAhoH-ca-api taTA-eva ca NCit-_3.88f
   buddhimantaḥ kṛte śṛṇu NCit_1.103d	budDimantaH kRte SRNu NCit-_1.103d
   buddhimān puraṣottamaḥ NCit_1.25b	budDimAn puraza-uttamaH NCit-_1.25b
   buddhimāṃśca yaśo'nvitaḥ NCit_1.9d	budDimAn=-ca yaSaH-anvitaH NCit-_1.9d
   bṛṣaṇau nātilambau hi NCit_3.53c	bRzaNO na-ati-lambO hi NCit-_3.53c
   bramha priyau hi rājan tvaṃ NCit_1.23a	bramha priyO hi rAjan tvam NCit-_1.23a
   bramhā ṝṣyāśrayo yathā NCit_1.93d	bramhAH LzyASrayaH yaTA NCit-_1.93d
   bramhāṇamabhivandyātha NCit_1.56c	bramhANam-aBivandya-aTa NCit-_1.56c
   brahmajñayā hyupasthitaḥ NCit_1.99b	brahma-jQayA hi-upasTitaH NCit-_1.99b
   brahmaṇaśca mayā prāptaṃ NCit_2.20a	brahmaNaH-ca mayA prAptam NCit-_2.20a
   brahmaṇaḥ kṛpayā labdhāḥ NCit_1.105c	brahmaNaH kRpayA labDAH NCit-_1.105c
   brahmaṇā tu pradarśitaṃ NCit_3.152c	brahmaNA tu pradarSitam NCit-_3.152c
   brahmaṇetthaṃ vacasyukte NCit_1.80a	brahmaNA-itTam vacasi-ukte NCit-_1.80a
   brahmaṇetthaṃ sa bhūpālo hy NCit_1.68a	brahmaNA-itTam sa BUpAlaH hi NCit-_1.68a
   brahmaṇo jātireva ca NCit_2.4d	brahmaNaH jAtiH-eva ca NCit-_2.4d
   brahmaṇo bhūpatistataḥ NCit_1.97b	brahmaNaH BUpatiH-tatas NCit-_1.97b
   brahmalokaṃ jagāma saḥ NCit_1.85d	brahma-lokam jagAma saH NCit-_1.85d
   brahmaśiro 'ṅkita cāstram NCit_1.45c	brahmaSiraH aFkita ca-astram NCit-_1.45c
   brahmāṇaṃ ca mahādevaṃ NCit_1.1a	brahmANam ca mahAdevam NCit-_1.1a
   brahmāṇaṃ lokapālakam NCit_1.80d	brahmANam lokapAlakam NCit-_1.80d
   brahmāṇaṃ svāgata dṛṣṭvā NCit_1.48a	brahmANam svAgata dRzwvA NCit-_1.48a
   brahmāṇā kathite tvevaṃ NCit_1.58a	brahmANA kaTite tu-evam NCit-_1.58a
   brahmā taccitramādāya NCit_1.54e	brahmA tat-citram-AdAya NCit-_1.54e
   brahmātha prāha bhūpendraṃ NCit_1.88a	brahmA-aTa prAha BUpa-indram NCit-_1.88a
   brahmā prasannatāṃ gataḥ NCit_1.69b	brahmA prasanna-tAm gataH NCit-_1.69b
   brahmābravīt tato bhūpaṃ NCit_1.57a	brahmA-abravIt tatas BUpam NCit-_1.57a
   brahmā svayaṃ samāśvāsya NCit_1.59c	brahmA svayam samASvAsya NCit-_1.59c
   brahmetthaṃ cintayitvā tu NCit_2.7a	brahma-itTam cintayitvA tu NCit-_2.7a
   brāhmaṇaprītaye ime NCit_1.57b	brAhmaNa-prItaye ime NCit-_1.57b
   brāhmaṇasya hitārthāya NCit_1.27c	brAhmaNasya hita-arTAya NCit-_1.27c
   brāhmaṇasyāsya pūjanāt NCit_1.52b	brAhmaNasya-asya pUjanAt NCit-_1.52b
   brāhmaṇānugrahāttathā NCit_1.74d	brAhmaNa-anugrahAt-taTA NCit-_1.74d
   bhadro lekhyo vicārayan NCit_3.157b	BadraH leKyaH vicArayan NCit-_3.157b
   bhadrau dvayaṅgulinā nyūno NCit_3.150a	BadrO dvayaFgulinA nyUnaH NCit-_3.150a
   bhayajito manaḥ śuddhaṃ NCit_1.14c	Baya-jitaH manaH SudDam NCit-_1.14c
   bhayajinnṛpasattamaḥ NCit_1.48b	Baya-jit-nRpa-sattamaH NCit-_1.48b
   bhayapravartakā ime NCit_1.42d	Baya-pravartakAH ime NCit-_1.42d
   bhaye śoke ca bhrūprāntāv NCit_3.19a	Baye Soke ca BrU-prAntO NCit-_3.19a
   bhavantaṃ pūjayiṣyati NCit_2.13d	Bavantam pUjayizyati NCit-_2.13d
   bhavanti vicyutāstahā NCit_1.62b	Bavanti vicyutAH-tahA NCit-_1.62b
   bhavān mahāyaśasvī ca NCit_1.72a	BavAn mahA-yaSasvI ca NCit-_1.72a
   bhavitavyaṃ sadā khalu NCit_1.63b	Bavitavyam sadA Kalu NCit-_1.63b
   bhaveccaturdaśāṅguliḥ NCit_3.12b	Bavet-caturdaSa-aFguliH NCit-_3.12b
   bhavetāmānapūrṇyataḥ NCit_3.92d	Baveta-AmAna-pUrNyataH NCit-_3.92d
   bhavedaṣṭādaśāṅguliḥ NCit_3.91b	Bavet-azwAdaSa-aFguliH NCit-_3.91b
