   oṃ namo bhāratyai ||	om namaH BAratyE ||
   snigdhacchāyasya, vaikuṇṭhasyeva lakṣmībhṛtaḥ, yātrodyatanṛpater iva	snigDa=-CAyasya, vEkuNWasya-iva lakzmIBRtaH, yAtrA-udyata-nRpateH iva
   ghanapatraśobhitasya, vedasyeva bhūriśākhālaṅkṛtasya,	Gana-patra-SoBitasya, vedasya-iva BUri-SAKA-alaFkRtasya,
   gāṇikyasyevānekapallavojjvalasya, jambūvṛkṣasya talacchāyāyāṃ viśaśrāma |	gANikyasya-iva-aneka-pallava-ujjvalasya, jambU-vRkzasya tala=-CAyAyAm viSaSrAma |
   11) atrāntare bhagavān api marīcimālī	11) atra-antare BagavAn api marIci-mAlI
   ātapaklāntamattamahiṣalocanapāṭalamaṇḍalaś caramācalaśṛṅgam āruroha |	Atapa-klAnta-matta-mahiza-locana-pAwala-maNxalaH caramAcala-SRFgam Aruroha |
   12) tato Makarandaḥ phalamūlāny ādāya katham api tam	12) tatas MakarandaH Pala-mUlAni AdAya kaTam api tam
   abhininditāhāraparicayam akārṣīt | svayaṃ ca tadupabhuktaśeṣam aśanam	aBinindita-AhAra-paricayam akArzIt | svayam ca tad-upaBukta-Sezam aSanam
   akarot | atha tām eva priyatamāṃ ḥṛdayaphalake saṃkalpatūlikayā likhitām	akarot | aTa tAm eva priyatamAm HRdaya-Palake saMkalpa-tUlikayA liKitAm
   avalokayan niṣyandakaraṇagrāmaḥ Kandarpaketur	avalokayat nizyanda-karaNa-grAmaH KandarpaketuH-
   Makarandaviracitapallavaśayane suṣvāpa | athārdhayāmamātrakhaṇḍitāyāṃ	Makaranda-viracita-pallava-Sayane suzvApa | aTa-arDa-yAma-mAtra-KaNxitAyAm
   vibhāvaryāṃ tatra jambūtaruśikhare mithaḥ kalahāyamānayoḥ śukaśārikayoḥ	viBAvaryAm tatra jambU-taru-SiKare miTas kalahAyamAnayoH Suka-SArikayoH
   kalakalaṃ śrutvā, Kandarpaketur Makarandam uvāca | "vayasya śruṇuvas tāvad	kalakalam SrutvA, Kandarpa-ketuH Makarandam uvAca | "vayasya SruNuvaH tAvat-
   etayor ālāpam" iti | tataḥ sārikā prakopataralākṣaram uvāca | "kitava	etayoH AlApam" iti | tatas sArikA prakopa-tarala-akzaram uvAca | "kitava
   śārikāntaram anviṣya samāgato 'si, katham itarathā rātrir iyatī taveti" |	SArika-antaram anvizya samAgataH asi, kaTam itaraTA rAtriH iyatI tava-iti" |
   tac chrutvā śukas tām abravīt | "bhadre 'pūrvā mayā kathā śrutā" | atha	tat SrutvA SukaH tAm abravIt | "Badre apUrvA mayA kaTA SrutA" | aTa
   samupajātakutūhalayānubadhyamānaḥ sa kathayitum ārebhe |	samupajAta-kutUhalaya-anubaDyamAnaH sa kaTayitum AreBe |
   13) asti praśastasudhādhavalaiḥ bṛhatkathālambair iva	13) asti praSasta-suDA-DavalEH bRhat-kaTA-AlambEH iva
   śālabhañjikopaśobhitaiḥ, vṛttair iva samāṇavakakrīḍitaiḥ, kariyūthair iva	SAlaBaQjikA-upaSoBitEH, vRttEH iva samANavaka-krIxitEH, kari-yUTEH iva
   samattavāraṇaiḥ, sugrīvasainyair iva sagavākṣaiḥ, balibhavanair iva	sa-matta-vAraNEH, sugrIva-sEnyEH iva sa-gavAkzEH, bali-BavanEH iva
   sutalasanniveśair veśmabhir udbhāsitaṃ, dhanadenāpi pracetasā,	sutala-sanniveSEH veSmaBiH udBAsitaM, Danadena-api pracetasA,
   prajāpālenāpi rāmeṇa, priyaṃvadenāpi puṣpaketunā, bharatenāpi śatrughnena,	prajApAlena-api rAmeNa, priyaMvadena-api puzpaketunA, Baratena-api SatruGnena,
   tithipareṇāpy atithisatkārapravaṇena, asaṅkhyenāpi saṅkhyāvatā,	tiTi-pareNa-api atiTi-satkAra-pravaNena, asaFKyena-api saFKyA-avatA,
   marmabhedenāpi vīratareṇa, apatitenāpi nānāsavāsaktena, sudarśanenāpy	marma-Bedena-api vIratareNa, apatitena-api nAnA-sa-va-Asaktena, sudarSanena-api-
   acakreṇa, ajñātamadenāpi supratīkena, apakṣapātināpi haṃsena,	acakreNa, ajQAta-madena-api supratIkena, apakzapAtinA-api haMsena,
   aviditasnehakṣayeṇāpi kulapradīpena, agraheṇāpi kāvyajīvajñena,	avidita-sneha-kzayeNa-api kula-pradIpena, agraheNa-api kAvya-jIva-jQena,
   nidāghadivaseneva vṛṣavardhitarucinā, māghavirāmadivaseneva	nidAGa-divasena-iva vRza-varDita-rucinA, mAGa-virAma-divaseneva
   tapasyārambhinā, nabhasvateva satpathagāminā, vivasvateva gopatinā,	tapasi-AramBinA, naBasvatA-iva sat-paTa-gAminA, vivasvatA-iva gopatinA,
   maheśvareṇeva candraṃ dadhatā nivāsijanenānugataṃ, ghanāghaneneva	maheSvareNa-iva candram daDatA nivAsi-janena-anugataM, GanAGanena-iva
   pravālamaṇimaṇḍalena, devāṅganājanenevendrāṇīparicitavidagdhena,	pravAla-maNi-maNxalena, deva-aFganA-janena-iva-indrANI-paricita-vidagDena,
   vanagajeneva navapallavapallavitarucinā, kokileneva parapuṣṭena,	vana-gajena-iva nava-pallava-pallavita-rucinA, kokilena-iva parapuzwena,
   bhramareṇeva kusumeṣu lālitena, jalaukeneva raktākṛṣṭinipuṇena,	BramareNa-iva kusumezu lAlitena, jalOkena-iva rakta-AkRzwi-nipuNena,
   yāyajūkeneva suratārthinā, mahānaṭabāhuneva baddhabhujaṅgena, garuḍeneva	yAyajUkena-iva surata-arTinA, mahAnawa-bAhunA-iva badDa-BujaFgena, garuxena-iva
   vilāsihṛdayatāpakāriṇā, andhāsureṇeva śūlānām uparigatena	vilAsi-hRdaya-tApa-kAriNA, anDa-asureNa-iva SUlAnAm upari-gatena
   veśyājanenādhiṣṭhitaṃ Kusumapuraṃ nāma nagaram |	veSyA-janena-aDizWitam Kusumapuram nAma nagaram |
   14) yatra ca surāsuramaulimaṇimālālālitacaraṇāravindā,	14) yatra ca sura-asura-mOli-maNi-mAlA-lAlita-caraNa-aravindA,
   śumbhaniśumbhabalamahāvanadāvānalajvālā, mahiṣamahāsuragirivaravajradhārā,	SumBa-niSumBa-bala-mahA-vana-dAva-anala-jvAlA, mahiza-mahA-asura-giri-vara-vajra-DArA,
   praṇayapraṇatagaṅgādharajaṭājūṭaskhalitajāhnavījaladhārādhautapādapadmā	praNaya-praNata-gaFgADara-jawA-jUwa-sKalita-jAhnavI-jala-DArA-DOta-pAda-padmA
   bhagavatī Kātyāyanī Caṇḍābhidhānā svayaṃ nivasati | yasya parisare	BagavatI KAtyAyanI CaNxa-aBiDAnA svayam nivasati | yasya parisare
   surāsuramukuṭakusumarajorājiparimalavāhinī,	sura-asura-mukuwa-kusuma-rajaH-rAji-parimala-vAhinI,
   prajāpatikamaṇḍaludharmadravadhārā,	prajApatika-maNxalu-Darma-drava-DArA,
   dharātalagatasagarasutaśatasuranagarasamārohaṇapuṇyarajjuḥ,	DarA-tala-gata-sagara-suta-Sata-suranagara-samArohaNa-puNya-rajjuH,
   airāvaṇakaṭakamaṭhakampitataṭā, haricandanasyandanasurabhitasalilā	ErAvaNa-kawaka-maWa-kampita-tawA, haricandana-syandana-suraBita-salilA
   salīlasurasundarīnitambabimbāhatitaralitataraṅgā,	sa-lIla-sura-sundarI-nitamba-bimba-Ahati-taralita-taraFgA,
   snānāvatīrṇasaptarṣimālāvimalajaṭāṭavīparimalapuṇyaveṇiḥ,	snAna-avatIrNa-saptarzi-mAlA-vimala-jawA-awavI-parimala-puNya-veNiH,
   eṇatilakamukuṭajaṭājūṭakuharabhrāntijanitasaṃskāratayaiva kuṭilāvartā,	eNa-tilaka-mukuwa-jawA-jUwa-kuhara-BrAnti-janita-saMskAra-tayA-eva kuwila-AvartA,
   dharaṇīva sārvabhaumakarasparśopabhogakṣamā, jaladakālasarasīva	DaraNI-iva sArvaBOma-kara-sparSa-upaBoga-kzamA, jalada-kAla-sarasI-iva
   gandhāndhoparibhramadbhramaramālānumīyamānajalamagnakumudapuṇḍarīkā,	ganDa-anDa-upariBramat-Bramara-mAlA-numIyamAna-jalamagna-kumuda-puNxarIkA,
   chandovicitir iva mālinīsanāthā, grahapaṅktir iva sūryātmajopaśobhitā	CandovicitiH iva mAlinIsa-nATA, graha-paFktiH iva sUrya-Atmaja-upaSoBitA
   sarājahaṃsā ca, śaratkāladinaśrīr ivojjvalatkokanadā prabuddhapuṇḍarīkākṣā	sa-rAjahaMsA ca, Sarad-kAla-dina-SrIH iva-ujjvalat-kokanadA prabudDa-puNxarIkAkzA
   ca, hatāndhatamasāpi tamasānvitā, [vīcikalitāpy avīcidurgamā] bhagavatī	ca, hata-anDatamasA-api tamasA-anvitA, [vIci-kalitA-api avIci-durgamA] BagavatI
   Bhāgarathī pravahati |	BhAgaraTI pravahati |
   15) [yac ca] diśi diśi kusumanikaram iva tārāgaṇam udvahadbhiḥ,	15) [yat ca] diSi diSi kusuma-nikaram iva tArA-gaNam udvahadBiH,
   uttambhitajaladaiḥ,	uttamBita-jaladEH,
   anūrukaśābhighātaparavaśaravirathaturagagrāsaviṣamitapallavaiḥ,	anUru-kaSa-aBiGAta-parava-Sara-viraTa-turaga-grAsa-viza-mita-pallavEH,
   candracamūruruciracaraṇasaṅkrāntāmṛtakaṇanikarasekasañjātabahalasukumāranavakisalayasahasrakalitākālasandhyāvibhramaiḥ,	candra-camU-ru-rucira-caraNa-saFkrAnta-amRta-kaNa-nikara-seka-saQjAta-bahala-sukumAra-nava-kisalaya-sahasra-kalitA-kAla-sanDyA-viBramEH,
   bharatacaritair iva sadārāmāśritaiḥ, mahāvīrair iva nārikeladharaiḥ,	Barata-caritEH iva sadArAm-a-ASritEH, mahA-vIrEH iva nArikela-DarEH,
   asaṃskṛtataruṇair iva dūraprasāritākṣaiḥ, tapasvibhir iva japāsaktaiḥ,	asaMskRta-taruNEH iva dUra-prasArita-akzEH, tapasviBiH iva japa-AsaktEH,
   prasādhitair iva mālopaśobhitaiḥ, mātaṅgakumbhasthaladāraṇodyatasiṃhair	prasADitEH iva mAlA-upaSoBitEH, mAtaFga-kumBa-sTala-dAraNa-udyata-siMhEH-
   ivotkarṇakesaraiḥ, sāriṣṭair api cirajīvibhiḥ, muniyutair api	iva-utkarNa-kesarEH, sa-arizwEH api cira-jIviBiH, muni-yutEH api
   madanādhiṣṭhitaiḥ, upavanapādapair upaśobhitaṃ, aditijaṭharam	madana-aDizWitEH, upavana-pAdapEH upaSoBitaM, aditi-jaWaram
   ivānekadevakulādhyāsitaṃ, pātālam iva mahābaliśobhitaṃ bhujaṅgādhiṣṭhitaṃ	iva-aneka-devakula-aDyAsitaM, pAtAlam iva mahA-bali-SoBitam BujaFga-aDizWitam
   ca, surālayair api pavitraṃ, bhogibhir api nirupadrutam |	ca, surAlayEH api pavitraM, BogiBiH api nirupadrutam |
   16) tatra ca	16) tatra ca
   suratabharakhinnasuptasīmantinīratnatāṭaṅkamudrāṅkitabāhudaṇḍaḥ,	surata-Bara-Kinna-supta-sImantinI-ratna-tA-waFka-mudrA-aFkita-bAhu-daNxaH,
   pracaṇḍapratipakṣalakṣmīkeśapāśakusumamālāmodasurabhitakarakamalaḥ,	pracaNxa-pratipakza-lakzmI-keSa-pASa-kusuma-mAlA-Amoda-suraBita-kara-kamalaH,
   praśastakedāra iva bahudhānyakāryasaṃpādakaḥ, pārtha iva subhadrānvitaḥ	praSasta-kedAraH iva bahu-DAnya-kArya-saMpAdakaH, pArTaH iva suBadrA-anvitaH
   sabhīmasenaś ca, kṛṣṇa iva satyabhāmopetaḥ Śṛṅgāraśekharo nāma rājā	sa-BImasenaH ca, kRzNaH iva satyaBAmA-upetaH ŚRFgAraSeKaraH nAma rAjA
   prativasati | yo balabhit pāvako dharmarāṇ nirṛtiḥ pracetāḥ sadāgatir	prativasati | yaH balaBid pAvakaH DarmarAj nirRtiH pracetAH sadAgatiH-
   dhanadaḥ śaṅkara ity aṣṭamūrtir apy anaṣṭamūrtiḥ |	DanadaH SaFkaraH iti azwamUrtiH api anazwamUrtiH |
        surāṇāṃ pātāsau sa punar atipuṇyaikahṛdayo grahas tasyāsthāne	surANAm pAtAsO sa punar ati-puNya-eka-hRdayaH grahaH tasya-AsTAne
   gururucitamārge sa nirataḥ /	guru-rucita-mArge sa nirataH /
        karas tasyātyarthaṃ vahati śatakoṭipraṇayitāṃ sa sarvasvaṃ dātā tṛṇam	karaH tasya-atyarTam vahati Sata-kowi-praNayitAm sa sarva-svam dAtA tRNam
   iva sureśaṃ vijayate // SuVas_17 //	iva sureSam vijayate // SuVaH-_17 //
        jīvākṛṣṭiṃ sa cakre mṛdhabhuvi dhanuṣaḥ śatrur āsīd gatāsur lakṣāptir	jIvAkRzwim sa cakre mRDa-Buvi DanuzaH SatruH AsIt gatAsuH lakza-AptiH-
   mārgaṇānām abhavad aribale tad yaśas tena labdham /	mArgaNAnAm aBavat ari-bale tat yaSaH tena labDam /
        muktā tena kṣameti tvaritam arigaṇair uttamāṅgaiḥ pratīṣṭo pañcatvaṃ	muktA tena kzamA-iti tvaritam ari-gaNEH uttamAFgEH pratIzwaH paQcatvam
   dveṣisainye sthitam avanipatir nāpa saṅkhyāntaraṃ saḥ // SuVas_18 //	dvezi-sEnye sTitam avanipatiH na-apa saFKyA-antaram saH // SuVaH-_18 //
   17) yatra ca rājanīticature caturambudhimekhalāyā bhuvo nāyake śāsati	17) yatra ca rAjanIti-cature catur-ambuDi-meKalAyAH BuvaH nAyake SAsati
   vasumatīṃ pitṛkārye vṛṣotsargaḥ, śaśinaḥ kanyātulārohaḥ, yogeṣu	vasumatIm pitR-kArye vRzotsargaH, SaSinaH kanyA-tulA-ArohaH, yogezu
   śūlaghātādicintā, dakṣiṇavāmakaraṇaṃ digviniścayeṣu, śarabhedo dadhiṣu,	SUla-GAta-Adi-cintA, dakziNa-vAma-karaNam diS-viniScayezu, SaraBedaH daDizu,
   śṛṅkhalābandho varṇagrathanāsu, utprekṣāṣepaḥ kāvyālaṅkāreṣu,	SRFKalA-banDaH varNa-graTa-nAsu, utprekzAzepaH kAvya-alaFkArezu,
   lakṣadānacyutiḥ sāyakānāṃ, kvipāṃ sarvavināśaḥ, kośasaṅkocaḥ kamalākareṣu,	lakza-dAna-cyutiH sAyakAnAn, kvipAm sarva-vinASaH, koSa-saFkocaH kamala-Akarezu,
   jātihīnatā duṣkuleṣu na puṣpamālāsu, śṛṅgārahānir jaratkariṣu na janeṣu,	jAti-hIna-tA duzkulezu na puzpa-mAlA-asu, SRFgAra-hAniH jaratkarizu na janezu,
   durvarṇayogaḥ kambikādiṣu na kāminīkāntiṣu, gāndhāravicchedo rāgeṣu na	durvarNa-yogaH kambikA-Adizu na kAminI-kAntizu, gAnDAra-vicCedaH rAgezu na
   pauravanitāsu, mūrcchādhigamo gāneṣu, kharmābhāvo nīcasevakeṣu na	pOra-vanitAsu, mUrcCA-aDigamaH gAnezu, Karma-aBAvaH nIca-sevakezu na
   paridhāneṣu, malināmbaratvaṃ niśāsu na janeṣu, calarāgatā gīteṣu na	pariDAna-izu, malina-ambara-tvam niSAsu na janezu, calara-AgatA gItezu na
   vidagdhajaneṣu, vṛṣahāniḥ nidhuvanalīlāsu na paureṣu, bhaṅguratvaṃ	vidagDa-jana-izu, vRza-hAniH niDuvana-lIlAsu na pOrezu, BaFgura-tvam
   rāgavikṛtiṣu na citteṣu, anaṅgatā kāmadeve na parijane, mārāgamo	rAga-vikRtizu na citta-izu, anaFga-tA kAmadeve na parijane, mAra-AgamaH-
   yauvanodayeṣu na prakṛtiṣu, dvijaghātaḥ surateṣu na prajāsu, raśanābandho	yOvana-udayezu na prakRtizu, dvijaGAtaH suratezu na prajAsu, raSanA-banDo
   ratikalaheṣu na dānānumatiṣu, adhararāgatā taruṇīṣu na parijaneṣu,	rati-kalahezu na dAna-anumatizu, aDara-ra-AgatA taruNIzu na parijanezu,
   kartanam alakabhrūṣu na purandhrīṣu, nistriṃśatvam asīnāṃ, karavālanāśo	kartanam alaka-BrUzu na puranDrIzu, nistriMSa-tvam asInAM, karavAla-nASaH-
   yodhānāṃ paraṃ vyavasthitaḥ |	yoDAnAm param vyavasTitaH |
   18) tasya ca mahiṣī diggajamadalekhevānanditālimālā, pārvatīva sukumārā	18) tasya ca mahizI diggaja-mada-leKA-iva-Anandita-ali-mAlA, pArvatI-iva sukumArA
   candralekhālaṅkṛtā ca, vanarājir iva navamālikodbhāsitā sacitrakā ca,	candra-leKA-alaFkRtA ca, vana-rAjiH iva navamAlikA-udBAsitA sa-citrakA ca,
   apsarassaṃhatir iva saṃhatasukeśī samañjughoṣā ca,	apsara-ssaMhatiH iva saMhata-sukeSI sa-maQjuGozA ca,
   sarvāntaḥpurapradhānabhūtā Anaṅgavatī nāma | tayoś ca madhyamopāntavayasi	sarva-antaHpura-praDAna-BUtA AnaFgavatI nAma | tayoH ca maDyama-upAnta-vayasi
   vartamānayoḥ katham api daiva(va)śāt tribhuvanavilobhanīyākṛtiḥ,	vartamAnayoH kaTam api dEva(va)SAt triBuvana-viloBanIya-AkRtiH,
   pulomatanayevānanditasahasranetrā Vāsavadattā nāma [tanayā] babhūva | atha	puloma-tanayA-iva-Anandita-sahasra-netrA VAsavadattA nAma [tanayA] baBUva | aTa
   sā rāvaṇabhujavana ivollāsitagotreva pariṇāmam upayāty api yauvanabhāve	sA rAvaNa-Buja-vanaH iva-ullAsita-gotrA-iva pariNAmam upayAti api yOvana-BAve
   pariṇayaparaṅmukhī tasthau |	pariNaya-paraFmuKI tasTO |
   19) athaikadā tu	19) aTa-ekadA tu
   vijṛmbhamāṇasahakārakorakanikurumbanipatitamadhukaramālāmadahuṅkārajanitapathikasaṃjvaraḥ,	vijRmBamANa-sahakAra-koraka-nikurumba-nipatita-maDukaramAlAmada-huFkAra-janita-paTika-saMjvaraH,
   komalamalayamārutodbhūtacūtaprasavasarasāsvādakaṣāyakaṇṭhakalakaṇṭhakuharitabharitasakaladiṅmukhaḥ,	komala-malaya-mAruta-udBUta-cUta-prasava-sarasa-AsvAda-kazAya-kaNWa-kala-kaNWa-kuharita-Barita-sakala-diFmuKaH,
   vikacakamalakhaṇḍalīyamānamattakalahaṃsakulakolāhalamukharitakamalasarovaraḥ,	vikaca-kamala-KaNxalIyamAna-matta-kalahaMsa-kula-kolAhala-muKarita-kamala-sarovaraH,
   parabhṛtanakhakoṭipāṭitapāṭalakuḍmalavivaravinirgatamadhudhārāsāraśīkarakaṇanikarasamārabdhadakṣiṇasamīrabāṇadurvraṇitapathikavadhūhṛdayaḥ,	para-BRta-naKa-kowi-pAwita-pAwala-kuxmala-vivara-vinirgata-maDu-DArA-sAra-SIkara-kaNa-nikara-samArabDa-dakziNa-samIra-bANa-durvraNita-paTika-vaDU-hRd
   madhumadamuditakāminīgaṇḍūṣasīdhusekapulakitabakulaḥ,	maDu-mada-mudita-kAminI-gaNxUza-sIDu-seka-pulakita-bakulaH,
   madanarayaparavaśavikāsinītulākoṭivikaṭacaṭulacaraṇāravindāmandaprahārahṛṣṭakaṅkeliśataḥ,	madanaraya-para-vaSa-vikAsinI-tulA-kowi-vikawa-cawula-caraNa-aravinda-amanda-prahAra-hRzwa-kaFkeli-SataH,
   pratidiśam	pratidiSam
   aślīlaprāyagīyamānaśravaṇotsukakhiṅgajanaprāyaprārabdhacarcarīgītākarṇanamuhyadanekapathikaśataḥ,	aSlIla-prAya-gIyamAna-SravaNa-utsuka-KiFga-jana-prAya-prArabDa-carcarI-gIta-AkarNana-muhyat-aneka-paTika-SataH,
   durjana iva satāmarasaḥ, duṣkula iva jātihīnaḥ, rāvaṇa	durjanaH iva sa-tAmarasaH, duzkulaH iva jAti-hInaH, rAvaNa
   ivāpītalohitapalāśaśatasevitaḥ, mahāśṛṅgārīva sugandhavahaḥ, surājeva	iva-apIta-lohita-palASa-Sata-sevitaH, mahA-SRFgArI-iva suganDa-vahaH, surAjA-iva
   samṛddhakuvalayaḥ, vāstavika iva vardhitasukhāśaḥ, satkavikāvyabandha	samRdDa-kuvalayaH, vAstavikaH iva varDita-suKa-ASaH, sat-kavi-kAvya-banDa
   ivābaddhatuhīnaḥ, satpuruṣa iva doṣānubandharahitaḥ, kaivarta iva	iva-AbadDatu-hInaH, sat-puruzaH iva doza-anubanDa-rahitaH, kEvartaH iva
   baddharājīvotpalamālaḥ, samṛddhakāsāraśakunisārtha iva ninditamaruvakaḥ,	badDa-rAjIva-utpala-mAlaH, samRdDa-ka-AsAra-Sakuni-sArTaH iva ninditam-aruvakaH,
   śakra ivendrāṇīrucitaḥ, mahāvīra ivādharīkṛtadamanakaḥ, khiṅga	SakraH iva-indrANI-rucitaH, mahA-vIraH iva-aDarIkRta-damanakaH, KiFga
   ivāmlānasubhago vasantakāla ājagāma |	iva-amlAna-suBagaH vasanta-kAle AjagAma |
   20) atidūrapravṛddhena madhunā jagati ko vā na vikriyate yad atimukto 'pi	20) ati-dUra-pravRdDena maDunA jagati kaH vA na vikriyate yat atimuktaH api
   munir api vicakāsa | kusumaśarasya navacūtaśaramūlanilīnamadhukarāvali	muniH api vicakAsa | kusuma-Sarasya nava-cUta-Sara-mUla-nilIna-maDukara-Avali
   patreṇeva reje | vṛntanirgatavicakilavivare guñjanmadhukaro makaraketos	patreNa-iva reje | vRnta-nirgata-vicakila-vivare guQjat-maDukaraH makaraketoH-
   tribhuvanavijayaśaṅkhadhvanim iva cakāra |	triBuvana-vijaya-SaFKa-Dvanim iva cakAra |
   navayāvakapaṅkapallavitasanūpurataruṇīcaraṇaprahārānurāgavaśān	nava-yAvaka-paFka-pallavita-sanUpura-taruNI-caraNa-prahAra-anurAga-vaSAn
   navakisalayacchalena tam eva rāgam udavahad aśokapādapaḥ |	nava-kisalaya=-Calena tam eva rAgam udavahat aSoka-pAdapaH |
   madhuramadhudhvanitakāminīmukhakamalasaṅgānurāgād iva tadrasam	maDura-maDu-Dvanita-kAminI-muKa-kamala-saFga-anurAgAt iva tad-rasam
   ātmakusumeṣu bibhrad bakulatarū rarājata |	Atma-kusumezu biBrat bakula-taruH rarAjata |
   antarāntarānipatitamadhukaranikarakirmīraḥ kaṅkeliguccho	antarA-antarA-nipatita-maDukara-nikara-kirmIraH kaFkeli-gucCo
   'rdhanirvāṇamanobhavacitācakrānukārī pathikajanadāham uvāha |	arDa-nirvANa-manaH-Bava-citA-cakra-anukArI paTika-jana-dAham uvAha |
   vikacavicakilarājir alikulaśabalendranīlamuktāvalīva madhuśriyo ruruce |	vikaca-vicakila-rAjiH ali-kula-Sabala-indranIla-muktA-AvalI-iva maDu-SriyaH ruruce |
   virahiṇīhṛdayamathanāya kusumaśarasya cakram iva nāgakesarakusumam	virahiNI-hRdaya-maTanAya kusuma-Sarasya cakram iva nAgakesara-kusumam
   aśobhata | pathikahṛdayam astyaṃ grahītuṃ makaraketoḥ palāva iva	aSoBata | paTika-hRdayam astyam grahItum makaraketoH palAvaH iva
   pāṭalipuṣpam adaśyata |	pAwalipuzpam adaSyata |
   kandarpakelisaṃpallampaṭalāṭīlalāṭataṭavikaṭadhammilamalanamilitaparimalasamṛddhamadhurimaguṇaḥ,	kandarpa-keli-saMpad-lampawalAwI-lalAwa-tawa-vikawa-Dammila-malana-milita-parimala-samRdDa-maDurima-guNaH,
   kāmakalākalāpacārusundarīsundarastanakalaśaghusṛṇadhūliparimalāmodavāhī,	kAma-kalA-kala-apacAru-sundarI-sundara-stana-kalaSa-Gu-sRNa-DUli-parimala-Amoda-vAhI,
   raṇaraṇakarasitakāntakuntalīkuntalollāsanasaṅkrāntaparimalamilitālimālā	raNa-raNaka-rasita-kAnta-kuntalI-kuntala-ullAsana-saFkrAnta-parimala-milita-ali-mAlA
   madhuratarajhaṅkāramukharitanabhastalaḥ,	maDuratara-JaFkAra-muKarita-naBaH-talaH,
   navayauvanarāgataralakeralīkapolapālipatrāvalīparicayacaturaḥ,	nava-yOvana-rAga-taralakeralI-kapola-pAli-patrAvalI-paricaya-caturaH,
   catuḥṣaṣṭikalākalāpavidagdhamukhamālavīnitambabimbasaṃvāhakuśalaḥ,	catuHzazwi-kalA-kalApa-vidagDa-muKa-mAla-vI-nitamba-bimba-saMvAha-kuSalaH,
   surataśramavaśāṅghrīnīrandhrapīnapayodharabhāranidāghakaṇaśiśirito	surata-Srama-vaSa-aFGrI-nIranDra-pIna-payoDara-BAra-nidAGa-kaNa-SiSiritaH-
   malayānilo vavau |	malaya-anilaH vavO |
   22) atrāntare Vāsavadattāsakhījanād viditābhiprāyaḥ Śṛṅgāraśekharaḥ	22) atra-antare VAsava-datta-asaKI-janAt vidita-aBiprAyaH ŚRFgAra-SeKaraH
   svasutāsvayaṃvarārtham aśeṣadharaṇitalabhājāṃ bhūbhujāṃ saṅgatam akarot |	sva-sutA-svayaMvara-arTam aSeza-DaraNi-tala-BAjAm BUBujAm saFgatam akarot |
   tato	tatas-
   dagdhakṛṣṇāguruparimalāmoditamadhuvratamālābahalagumagumāyitamukharitaṃ,	dagDa-kRzNa-aguru-parimala-Amodita-maDu-vratam-AlA-bahala-guma-gu-mAyita-muKaritaM,
   atirabhasahāsacchaṭādīdhitiparimilitaṃ,	ati-raBasa-hAsa=-CawA-Adi-IDiti-parimilitaM,
   anekakathālāpavidagdhaśṛṅgāramayajanasamākulaṃ,	aneka-kaTA-AlApa-vidagDa-SRFgAra-maya-jana-samAkulaM,
   dahyamānasugandhasaurabhākṛṣṭapuropavanaṣaṭpadakulasamākulaṃ,	dahyamAna-suganDa-sOraBa-AkRzwa-pura-upavana-zawpada-kula-samAkulaM,
   arjunasamaram iva nandighoṣamukharitadigantaṃ mañcam āruroha Vāsavadattā |	arjuna-samaram iva nandi-Goza-muKarita-diS-antam maQcam Aruroha VAsavadattA |
   23) tatra kecit kalāṅkurā iva vijitanagaramaṇḍanāḥ, apare pāṇḍavā iva	23) tatra kecid kalA-aFkurAH iva vijita-nagara-maNxanAH, apare pANxavAH iva
   divyacakṣuḥkṛṣṇāguruparimilitāḥ, anye śaraddivasā iva dūrapravṛddhāśāḥ,	divya-cakzuH-kRzNa-aguru-parimilitAH, anye Sarad-divasAH iva dUra-pravRdDa-ASAH,
   itare py āhartum udyatā iva svabalārthinaḥ, kecid vyādhā iva	itare pi Ahartum udyatAH iva sva-bala-arTinaH, kecid vyADAH iva
   śakunaśrāvakāḥ, kecid ākheṭina iva rūpānusārapravṛttāḥ, kecij	Sakuna-SrAvakAH, kecid AKewinaH iva rUpa-anusAra-pravRttAH, kecid-
   jaiminimataśrāviṇa iva tathāgata[mata]dhvaṃsinaḥ, kecit khañjanā iva	jEmini-mata-SrAviNaH iva taTAgata-[m-ata]-DvaMsinaH, kecid KaQjanAH iva
   sāṃvatsaraphaladarśinaḥ, kecit sumeruparisarā iva kārtasvaramayāḥ, kecit	sAMvatsara-Pala-darSinaH, kecid sumeru-parisarAH iva kArtasvara-mayAH, kecid-
   kumudākarā iva bhāsvaddarśananimīlitāḥ, kecid dhārtarāṣṭrā iva	kumuda-AkarAH iva BAsvat-darSana-nimIlitAH, kecid DArtarAzwrAH iva
   viśvarūpāvalokanajanitendrajālodbhūtapratyayāḥ, kecid ātmanivāraṇabuddhyā	viSva-rUpa-avalokana-janita-indrajAla-udBUta-pratyayAH, kecid Atma-nivAraNa-budDyA
   balavanto 'pi suvāhāḥ, kecit pāṇigrahaṇārthino 'py asukaraṃ manyamānāḥ,	balavantaH api suvAhAH, kecid pANigrahaNa-arTinaH api asukaram manyamAnAH,
   kecid adharībhūtā (a)pi sthirāḥ, kecit pāṇḍuputrā	kecid aDarIBUtAH (a)pi sTirAH, kecid pANxu-putrA
