   caturthaḥ paricchedaḥ	caturTaH paricCedaH
        mahāvākyantaramudāharati /	mahA-vAki-antaram-udAharati /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   iti divā prabhavato gṛdhrasya śmaśāne mṛtaṃ bālamupādāya tiṣṭhatāṃ taṃ	iti divA praBavataH gRDrasya SmaSAne mRtam bAlam-upAdAya tizWatAm tam
   parityajya gamanamiṣṭam /	parityajya gamanam-izwam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, pa) alaṃ sthitvetyati---śmaśāne mṛtabālakam atyajatastadvandhūn	(vi, pa) alam sTitvA-iti-ati----SmaSAne mRta-bAlakam atyajataH-tad-vanDUn
   prati gṛdhravākyamidaṃ ślokadvayarūpaṃ mahāvākyam /	prati gRDra-vAkyam-idam Sloka-dvaya-rUpam mahA-vAkyam /
        divase śaktasya iti--divase eva bhakṣaṇāsamarthasyetyarthaḥ /	divase Saktasya iti--divase eva BakzaNa-asamarTasya-iti-arTaH /
        gamanamiṣṭamiti--vakturgṛdhrasya iṣṭaṃ mṛtabandhūnāṃ gamanamityarthaḥ	gamanam-izwam-iti--vaktuH-gRDrasya izwam mRta-banDUnAm gamanam-iti-arTaH
        tathā ca bālakaṃ tyaktvā yūyaṃ gacchadhvamiti vastu svataḥ	taTA ca bAlakam tyaktvA yUyam gacCaDvam-iti vastu svatas-
   sambhavivastunaḥ uktaprabandhārthasya vyaṅgyamityarthaḥ /	samBavi-vaH-tunaH ukta-prabanDa-arTasya vyaFgyam-iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "ādityo 'yaṃ sthito mūḍhāḥ ! snehaṃ kuruta sāmpratam /	"a-AdityaH ayam sTitaH mUXAH ! sneham kuruta sAmpratam /
   bahuvighno muhūrto 'yaṃ jīvedapi kadācana //	bahu-viGnaH muhUrtaH ayam jIvet-api kadAcana //
   amuṃ kanakavarṇābhaṃ bālamaprāptayauvanam /	amum kanaka-varNa-ABam bAlam-aprApta-yOvanam /
   gṛdhravākyātkathaṃ mūḍhāstyajadhvamaviśaṅkitāḥ" //	gRDra-vAkyAt-kaTam mUXa-astyajaDvam-aviSaFkitAH" //
   iti niśi samarthasya gomāyordivase parityāgo 'nabhilaṣita iti	iti niSi samarTasya gomAyoH-divase parityAgaH anaBilazitaH iti
   vākyasamahena dyotyate /	vAkya-samahena dyotyate /
   atra svataḥ saṃbhavī vyañjakaḥ /	atra svatas saMBavI vyaQjakaH /
   evamanyeṣvekādaśabhedeṣūdāhāryam /	evam-anyezu-ekAdaSa-Bedezu-udAhAryam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, pha) ādityo 'yam ityādiślokadvayarūpaṃ mahāvākyaṃ gomāyoruktiḥ /	(vi, Pa) AdityaH ayam ityAdi-Sloka-dvaya-rUpam mahA-vAkyam gomAyoH-uktiH /
        vahuvighna iti--tathā ca vighnaśūnyamuhūrttāntare jāvanasambhāvanā	vahu-viGnaH iti---taTA ca viGna-SUnya-muhUrtta-antare jAvana-samBAvanA
   darśitā /	darSitAH /
        evaṃ kanakavarṇṇatvena rūpaviparyyayābhāvādaprāptayauvanatvena ca	evam kanaka-varNNa-tvena rUpa-viparyyaya-aBAvAt-aprApta-yOvana-tvena ca
   mṛtyuhetuyauvanādhīnākāryyābhāvājjīvanasambhāvanā darśitā /	mRtyu-hetu-yOvana-aDInA-kAryya-aBAvAt-jIvana-samBAvanA darSitA /
        bālā iti--śiśubuddhaya ityarthaḥ /	bAlAH iti--SiSu-budDayaH iti-arTaH /
        mūḍhā iti kvacit pāṭhaḥ /	mUXAH iti kvacid pAWaH /
        nābhilaṣita iti /	na-aBilazitaH iti /
        tathā ca ātrāpi svataḥ sambhavinā etatprabandhārthena	taTA ca AtrA-api svatas samBavinAH etad-prabanDa-arTena
   vālakaparityāgānabhilāṣarūpaṃ vastu vyajyate ityarthaḥ /	vAlaka-parityAga-anaBilAza-rUpam vastu vyajyate iti-arTaH /
        evamanyeṣviti /	evam-anyezu-iti /
        svataḥ sambhavivastuvyaṅgyālaṅkārādyekādaśabhedeṣvityarthaḥ /	svatas samBavi-vaH-tuvi-aFgya-alaFkAra-Adi-ekAdaSa-Bedezu-iti-arTaH /
        Locanā:	LocanA:
        (lo, ā) āditya iti--strehaṃ jīvanopāyānusaraṇabījam /	(lo, A) AdityaH iti--H-treham jIvana-upAya-anusaraNa-bIjam /
        muhurttaḥ sandhyākālaḥ; bahuvinghaḥ bhūtādyāveśasambhāvanādāyitvām /	muhurttaH sanDyA-kAlaH; bahuvinGaH BUta-Adi-AveSa-samBAvanA-dAyitvAm /
        ataḥ svataḥ sambhavinā vastunā vasuta vyajyate /	atas svatas samBavinA vastunA vasuta vyajyate /
        udāhāryyamiti--tathā ca raghuvaṃśe"samayujyata	udAhAryyam-iti---taTA ca raGu-vaMSe"-samayujyata
   bhūpatiryuvā"ityādinā"ubhayāṃ siddhimubhāvavāpatuḥ"ityante tulyayogitayā	BUpatiH-yuvA"ityAdinA"uBayAm sidDim-uBO=-avApatuH"iti-ante tulya-yogi-tayA
   kāvyaliṅgena vā raghurāghavayorvyatirekālaṅkāraḥ pratīyate /	kAvya-liFgena vA raGu-rAGavayoH-vyatireka-alaFkAraH pratIyate /
        kiñca kumārasambhave	kiQca kumAra-samBave
   himagirivarṇṇanaprauḍhoktyaprauḍhoktisiddhālaṅkārasaṃsṛṣṭe	himagiri-varNNana-prOXa-uktyaprOXA-ukti-sidDa-alaFkAra-saMsRzwe
   himagireritarotkarṣaḥ pratīyate /	himagireH-itara-utkarzaH pratIyate /
        arthaśaktibhūrityupalakṣaṇam /	arTa-Sakti-BUH-iti-upalakzaNam /
        śabdaśaktyudbhavo 'pi kvacit prabandhavyaṅgyo dṛśyate /	Sabda-Sakti-udBavaH api kvacid prabanDa-vyaFgyaH dRSyate /
        yathā māghakāvye śiśupāladūtoktau sandhau kāvye vastumātrarūpo	yaTA mAGa-kAvye SiSupAla-dUta-uktO sanDO kAvye vastu-mAtra-rUpaH-
   vigrahaḥ upamādhvanirapi tathāvidhaḥ sambhāvyate /	vigrahaH upamA-aDvaniH-api taTAviDaH samBAvyate /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   evaṃ vācyārthavyañjakatve udāhṛtam /	evam vAcya-arTa-vyaQjaka-tve udAhRtam /
   lakṣyārthasya yathā---"niḥśeṣacyutacandanam--" ityādi (pṛdṛ 62) /	lakzya-arTasya yaTA---"niHSeza-cyuta-candanam--" ityAdi (pRdR 62) /
   vyaṅgyārthasyayathā--"ua ṇiccala-" ityādi (pṛdṛ 63) /	vyaFgya-arTasyayaTA--"ua Niccala-" ityAdi (pRdR 63) /
   anayoḥ svataḥ saṃbhavinorlakṣyavyaṅgyārthau yañjakau /	anayoH svatas saMBavinoH-lakzya-vyaFgya-arTO yaQjakO /
   evamanyeṣvekādaśabhedeṣūdāhāryam /	evam-anyezu-ekAdaSa-Bedezu-udAhAryam /
   padāṃśavarṇaracanāprabandheṣvasphuṭakramaḥ /	pada-aMSa-varNa-racanA-prabanDezu-asPuwa-kramaH /
   asaṃlakṣyakramavyaṅgyo dhvanistatra	asaMlakzya-krama-vyaFgyaH DvaniH-tatra
   padāṃśaprakṛtipratyayopasarganipātādibhedādanekavidhaḥ //	pada-aMSa-prakRti-pratyaya-upasarga-nipAta-Adi-BedAt-anekaviDaH //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ba) padāṃśa iti---asphuṭapadakramasya akramavyaṅgyadhvanirartha	(vi, ba) pada-aMSaH iti---a-sPuwa-pada-kramasya akrama-vyaFgi-aDvaniH-arTa
   ityāha--asaṃlakṣyeti /	iti-Aha--a-saMlakzya-iti /
        atra dhvanipadaṃ kāvyaparam /	atra Dvani-padam kAvya-param /
        vyaṅgyaparatve vyaṅgyo vyaṅgya ityanvayānupapatteḥ /	vyaFgya-paratve vyaFgyaH vyaFgyaH iti-anvaya-anupapatteH /
        padāṃśādivyaṅgya ityarthaḥ /	pada-aMSa-Adi-vyaFgyaH iti-arTaH /
        tatra padāṃśadyotyānāṃ bahuvidhatvamāha--tatreti /	tatra pada-aMSadyotyAnAm bahuviDa-tvam-Aha--tatra-iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā---	yaTA---
   "calāpāṅgāṃ dṛṣṭiṃ spṛśasi bahuśo vepathumatīṃ rahasyākhyāyīva svanasi	"cala-apAFgAm dRzwim spRSasi bahuSas vepaTumatIm rahasya-AKyAyI-iva svanasi
   mṛdu karṇāntikacaraḥ /	mRdu karNa-antika-caraH /
   karaṃ vyādhunvatyāḥ pibasi ratisarvasvamadharaṃ vayaṃ	karam vyADunvatyAH pibasi rati-sarva-svam-aDaram vayam
   tattvānveṣānmadhukara ! hatāstvaṃ khalu kṛtī" //	tattva-anvezAn-maDukaraH ! hatAH-tvam Kalu kRtI" //
   atra "hatāḥ" iti na punaḥ "duḥkhaṃ prāptavantaḥ" iti hanprakṛteḥ /	atra "hatAH" iti na punar "duHKam prAptavantaH" iti han-prakRteH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, bha) calāpāṅgāmitiḥ śakuntalāṃ vyākulayantaṃ bhramaraṃ prati	(vi, Ba) cala-apAFgAmitiH SakuntalAm vyAkulayantam Bramaram prati
   duṣyantasyoktiriyam /	duzyantasya-uktiH-iyam /
        tattvānveṣāt iti /	tattva-anvezAt iti /
        kiṃ brāhmaṇasya aurasakanyātvena matpariṇayāyogyā, kiṃ vā tasya	kim brAhmaNasya Orasa-kanyA-tvena mad-pariNayA-yogyA, kim vA tasya
   puṣṭakanyātvena matpariṇayayogyā ityevaṃ tattvasyānveṣaṇādityarthaḥ /	puzwa-kanyA-tvena mad-pariNaya-yogyAH iti-evam tattvasya-anvezaNAt-iti-arTaH /
        hanprakṛteriti /	hanprakRteH-iti /
        handhāturūpaprakṛterityarthaḥ /	hanDAtu-rUpa-prakRteH-iti-arTaH /
        atra bhṛtyukathanāt vipralambhātiśayo vyaṅgyaḥ /	atra BRtyu-kaTanAt vipralamBa-atiSayaH vyaFgyaH /
        Locanā:	LocanA:
        (lo, i) padāṃśe iti--iha yadyapi prakṛtyādeḥ kevalasya na	(lo, i) pada-aMSe iti--iha yadi-api prakRti-AdeH kevalasya na
   vyañjakatvam, tathāpi vācakasamudāyapraviṣṭasya rasādiṣu	vyaQjaka-tvam, taTA-api vAcaka-samudAya-pravizwasya rasa-Adizu
   tadatiśayādhāyakatvaṃ sahṛdayānubhavasiddham /	tat-atiSaya-ADAyaka-tvam sahRdaya-anuBava-sidDam /
        hatā ityādi---atra inanapratīteranantaraṃ nirvedavyaṅgyatvamiti śokaḥ	hatAH ityAdi----atre inana-pratIteH-anantaram nirveda-vyaFgya-tvam-iti SokaH
        tathā hyatra hatā ityasya sthāne ktapratyayaṃ sthāpayitvā hanaḥ	taTA hi-atra hatAH iti-asya sTAne kta-pratyayam sTApayitvA hanaH
   sthāne prakṛtyantaraniveśane na tathā pratītiḥ /	sTAne prakRti-antara-niveSane na taTA pratItiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "muhuraṅgulisaṃvṛtādharoṣṭhaṃ pratiṣedhākṣaraviklavābhirāmam /	"muhur-aFguli-saMvRta-aDara-uzWam pratizeDa-akzara-viklava-aBirAmam /
   mukhamaṃsavivarti pakṣmalākṣyāḥ kathamapyunnamitaṃ na cumbitaṃ tu" //	muKam-aMsa-vivarti pakzmala-akzyAH kaTam-api-unnamitam na cumbitam tu" //
   atra "tu" iti nipātasyānutāpavyañjakatvam /	atra "tu" iti nipAtasya-anutApa-vyaQjaka-tvam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ma) muhuraṅgulīti---śakuntalāṃ prāpya tatsambhogavighne sati	(vi, ma) muhur-aFgulI-iti----SakuntalAm prApya tad-samBoga-viGne sati
   anutapyasānasya duṣyantasya uktiriyam /	anutapyasAnasya duzyantasya uktiH-iyam /
        aṃsavivarttoti bhujamūle parāvarttamānam /	aMsa-vivarttoti Buja-mUle parAvarttamAnam /
        aṅguli śakuntalāyāḥ /	aFguli SakuntalAyAH /
        atreti---nañā eva cumbanābhāvalābhe tuśabdena cumbasya	atra-iti---naQAH eva cumbanABAva-lABe tuSabdena cumbasya
   atyantavyavacchedalābhāt vipralambhānutāpātiśayo vyaṅgyaḥ /	atyanta-vyavacCeda-lABAt vipralamBa-anutApa-atiSayaH vyaFgyaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "nyakkāro hyayameva me yadaraḥ--" ityādau (8 pṛ.) "arayaḥ" iti	"nyakkAraH hi-ayam-eva me yat-araH--" ityAdO (8 pR.) "arayaH" iti
   bahuvacanasya, "tāpasaḥ" ityekavacanasya, "atraiva" iti sarvanāmnaḥ,	bahuvacanasya, "tApasaH" iti-eka-vacanasya, "atra-eva" iti sarva-nAmnaH,
   "nihanti" iti "jīvati iti ca tiṅaḥ, "aho" ityavyayasya, "grāmaṭikā" iti	"nihanti" iti "jIvati iti ca tiFaH, "aho" iti-avyayasya, "grAmawikA" iti
   karūpataddhitasya, "viluṇṭhana" iti vyupasargasya, "bhujaiḥ" iti	ka-ru-upa-tat-hitasya, "viluNWana" iti vyupasargasya, "BujEH" iti
   bahuvacanasya vyañjakatvam /	bahuvacanasya vyaQjaka-tvam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ya) nyakkāra iti---atra vyañjakatvamityatra	(vi, ya) nyakkAraH iti---atra vyaQjaka-tvam-iti-atra
   viṣādavyañjakatvamityarthaḥ /	vizAda-vyaQjaka-tvam-iti-arTaH /
        bahuvacanasyeti---mama eko 'pyarirnāsti bahu tatsattve sambhāvite	bahuvacanasya-iti---mama ekaH api-ariH-na-asti bahu tad-sattve samBAvite
   viṣādaḥ /	vizAdaH /
        ekavacanasyeti---bahvībhaiḥ pipīllikābhirapyapakarttuśakyatve	eka-vacanasya-iti----bahvI-iBEH pipIllikABiH-api-apaka-Rttu-Sakya-tve
   ekasminnapakāriṇi tu atyantaviṣādaḥ /	ekasmin=-apakAriNi tu atyanta-vizAdaH /
        atraiveti iti---viprakṛṣṭamārgavarttikharadūṣaṇādyanekarākṣasavadho	atra-eva-iti iti---viprakRzwa-mArga-vartti-Kara-dUzaNa-Adi-aneka-rAkzasa-vaDaH-
   'pi sahyaḥ /	api sahyaH /
        atraiva laṅkāyāmityatra viṣādaḥ /	atra-eva laFkAyAm-iti-atra vizAdaH /
        tiṅa iti---madanavadhāne pūrvaṃ nihantu, varttamānamapi	tiFaH iti----madana-vaDAne pUrvam nihantu, varttamAnam-api
   hananamityatra viṣādaḥ /	hananam-iti-atra vizAdaH /
        aho iti---adṛśyaviparyayadarśanāt vismayena atyantaviṣādaḥ /	aho iti---adRSya-viparyaya-darSanAt vismayena atyanta-vizAdaH /
        karūpeti kapratyayasya taddhitatvaṃ pāṇinimate /	karUpa-iti ka-pratyayasya tat-hita-tvam pANi-nimate /
        alpārthakasya tasya viṣādatiśayavyañjakatvam /	alpa-arTakasya tasya vizAt-atiSaya-vyaQjaka-tvam /
        tathā hi--yadi luṇṭhane svargo 'pi svalpagrāmaḥ kapratyayavaśāt	taTA hi--yadi luNWane svargaH api su-alpa-grAmaH kapratyaya-vaSAt-
   cātyantasvalpaḥ /	ca-atyanta-su-alpaH /
        tadviluṇṭhanocchūnabhujānāmidānīṃ kimapi karttumakṣamatvena	tad-viluNWana-ucCUna-BujAnAm-idAnIm kim-api karttum-akzama-tvena
   vaiyarthyamityantaviṣādaḥ /	vEyarTyam-iti-anta-vizAdaH /
        vyupasargasyeti viśeṣaluṇṭhanabodhanāt /	vyupasargasya-iti viSeza-luNWana-boDanAt /
        bhujairiti ekadvikṣibhujavaiyarthyaṃ sahyaṃ bahūnāṃ	BujEH-iti ekadvi-kziBuja-vEyarTyam sahyam bahUnAm
   vaiyarthyādityatyantaviṣādaḥ /	vEyarTyAt-iti-atyanta-vizAdaH /
        nari nari kirati drāk sāyakān puṣpadhanvā puri puri ca nivṛttā	nari nari kirati drAk sAyakAn puzpaDanvA puri puri ca nivRttA
   māninīmānacarccā //	mAninI-mAna-carccA //
        "a6 kiratīti varttamānapratyayena nivṛttetyatra ktapratyayena	"a6 kirati-iti varttamAna-pratyayena nivRttA-iti-atra kta-pratyayena
   kāryakāraṇapaurvāparyavyatyayarūpātiśayoktiḥ pratīyate /	kArya-kAraNa-pOrvAparya-vyatyaya-rUpa-atiSaya-uktiH pratIyate /
        udāhariṣyate guṇarītinirūpaṇa iti śeṣaḥ /	udAharizyate guNa-rIti-nirUpaNaH iti SezaH /
        Locanā:	LocanA:
        (lo, ī) nyakkāra ityādau udāharaṇadvaye padāṃśavyañjakatvasya	(lo, I) nyakkAraH ityAdO udAharaNa-dvaye pada-aMSa-vyaQjaka-tvasya
   prakṛtatve 'pi prasaṅgāt padavyañjakatvakathanam /	prakRta-tve api prasaFgAt pada-vyaQjaka-tva-kaTanam /
        evam---	evam----
        "rāmo 'sau bhuvaneṣu vikamaguṇaiḥ prāptaḥ prasiddhiṃ	"rAmaH asO Buvanezu vikama-guNEH prAptaH prasidDim
   parāmasmadbhāgyaviparyayādiha paraṃ devo na jānāti tam /	parAm-asmad-BAgya-viparyayAt-iha param devaH na jAnAti tam /
        vandī vaiṣa yaśāṃsi gāyati marut	vandI vA-eza yaSAMsi gAyati marut-
   yasyaikabāṇāhataśreṇībhūtaviśālaśālavivaroktīrṇaiḥ svaraiḥ saptabhaiḥ" //	yasya-eka-bANa-Ahata-SreNI-BUta-viSAla-SAla-vivara-uktIrNEH svarEH saptaBEH" //
        atrāsāviti sarvanāmnā sākṣāt kiyamāṇā	atra-asO=-iti sarva-nAmnA sAkzAt kiyamANA
   tadīyalokottaraprasiddhirvyajyate /	tadIya-loka-uttara-prasidDiH-vyajyate /
        bhuvaneṣvityatra bahuvacanena guṇairityatra prakṛtyā bahuvacanena ca	Buvanezu-iti-atra bahuvacanena guNEH-iti-atra prakRtyAH bahuvacanena ca
        te te viśeṣā asmad bhāgyaviparyayādityatra ca na tava na mama	te te viSezAH asmat BAgya-viparyayAt-iti-atra ca na tava na mama
   kintvasmākaṃ sarveṣāmapi bhāgyaviparyayādityasmadbhāgyaviparyayādityatra	kintu-asmAkam sarvezAm-api BAgya-viparyayAt-iti-asmad-BAgya-viparyaya-At-iti-atra
   na khalvabhāgyāt kintu bhagyaviparyayāt /	na Kalu-a-BAgyAt kintu Bagya-viparyayAt /
        evaṃ hi pūrvamasmākaṃ bhāgyamavasthitam /	evam hi pUrvam-asmAkam BAgyam-avasTitam /
        saṃprati tu anavadhānena tasya viparyayo jāta iti pratipādanādātmānā	saMprati tu anavaDAnena tasya viparyayaH jAtaH iti pratipAdanAt-AtmAnA
   pratipādanena ca te te sahṛdayasaṃvedyā arthāḥ pratīyante /	pratipAdanena ca te te sahRdaya-saMvedyAH arTAH pratIyante /
        tathā saktotphulletyādau hareḥ paśyata ityatrānādaraṣaṣṭhyā kiñca na	taTA sakta-utPulla-ityAdO hareH paSyate iti-atra-anAdara-zazWyA kiQca na
   kevalaṃ rasādidhvanereva padāṃśaprakāśatā, kintu vastvalaṅkārayorapi /	kevalam rasa-Adi-DvaneH-eva pada-aMSa-prakASa-tA, kintu vastu-alaFkArayoH-api /
        atrālaṅkārasya yathā---	atra-alaFkArasya yaTA---
        "pathi pathi sukacañcūcārurābhāṅkurāṇāṃ	"paTi paTi suka-caQcu-UcAruH-ABa-aFkurANAm
        diśi diśi pavamāno vīrudhāṃ lāsakaśca /	diSi diSi pavamAnaH vIruDAm lAsakaH-ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "āhāre viratiḥ, samastaviṣayagrāme nivṛttiḥ parā, nāsāgre nayanaṃ	"AhAre viratiH, samasta-vizaya-grAme nivRttiH parA, nAsA-agre nayanam
   tadetadaparaṃ yaccaikatānaṃ manaḥ . maunaṃ cedamidaṃ ca śūnyamadhunā	tat-etat-aparam yat-ca-ekatAnam manaH . mOnam ca-idam-idam ca SUnya-maDunA
   yadviśvamābhāti te, tadbrūyāḥ sakhi ! yoginī kimasi, bhoḥ !kiṃ vā	yat-viSvam-ABAti te, tat-brUyAH saKi ! yoginI kim-asi, BoH !kim vA
   viyoginyasi" //	viyoginyasi" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ra) āhāre iti--dhyāyantīṃ viyoginīṃ yogadharmiṇīṃ dṛṣṭvā	(vi, ra) AhAre iti--DyAyantIm viyoginIm yoga-DarmiNIm dRzwvA
   kasyacidiyaṃ pṛcchā /	kasyacid-iyam pRcCA /
        atra nāyikāyā viprambhātiśayaḥ samastapadavyaṅgyaḥ /	atra nAyikAyAH vipramBa-atiSayaH samasta-pada-vyaFgyaH /
        ekatānamekamātraviṣayaḥ /	ekatAnam-eka-mAtra-vizayaH /
        tava sthāne yadā viśvaṃ śūnyamābhāti ityanvayaḥ /	tava sTAne yadA viSvam SUnyam-ABAti iti-anvayaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atra tu "āhāre iti viṣayasaptamyāḥ, "samasta" iti "parā" iti ca	atra tu "a-AhAre iti vizaya-saptamyAH, "samasta" iti "parA" iti ca
   viśeṣaṇadvayasya, "maunaṃ cedam" iti pratyakṣaparāmarśinaḥ sarvanāmnaḥ,	viSezaNa-dvayasya, "mOnam ca-idam" iti pratyakza-parAmarSinaH sarva-nAmnaH,
   ābhāti" ityupasargasya "sakhi" iti praṇayasmāraṇasya "asi bhoḥ" iti	ABAti" iti-upasargasya "saKi" iti praNaya-smAraNasya "asi BoH" iti
   sotprāsasya "kiṃ vā" ityuttarakṣadārḍhyasūcakasya vāśabdasya, "asi" iti	sa-utprAsasya "kim vA" iti-uttarakza-dArXya-sUcakasya vA-Sabdasya, "asi" iti
   varttamānopadeśasya ca tattadviṣayavyañjakatvaṃ sahṛdayasavedyam /	varttamAna-upadeSasya ca tad-tad-vizaya-vyaQjaka-tvam sahRdaya-savedyam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, la) viṣayasaptamyā iti /	(vi, la) vizaya-saptamyAH iti /
        manasā api āhāraviṣaya ityarthaḥ /	manasA api AhAra-vizayaH iti-arTaH /
        na tu āhārakriyāyāmadhikaraṇam ityarthaḥ /	na tu AhAra-kriyAyAm-aDikaraNam iti-arTaH /
        samasteti /	samastA-iti /
        na tu yat kiñcidviṣaye etad viśeṣaṇasya samāsapadaikadeśaḥ, kintu	na tu yat kiQcid-vizaye etat viSezaNasya samAsapada-eka-deSaH, kintu
   padasyāpi pade vyañjakatvamastīti darśitam /	padasya-api pade vyaQjaka-tvam-asti-iti darSitam /
        pratyakṣaparāmarśina iti /	pratyakza-parAmarSinaH iti /
        anubhūyamānatvaparāmarśina ityarthaḥ /	anuBUyamAna-tva-parAmarSinaH iti-arTaH /
        kvacittu pratyakṣaparāmarṣiṇa iti samyak pāṭhaḥ /	kvacid-tu pratyakza-parAmarziNaH iti samyak pAWaH /
        maunāt mithyātvasūcanācca tasya vipralambhavyañjakatvam /	mOnAt miTyA-tva-sUcanAt-ca tasya vipralamBa-vyaQjaka-tvam /
        idamapi padameva na padaikadeśaḥ /	idam-api padam-eva na pada-eka-deSaH /
        upasargasyeti /	upasargasya-iti /
        āṅupasargeṇa mithyātvarūpaṃ samyak pratibhāti iti bhāvabodhanāt	AFupasargeNa miTyAtva-rUpam samyak pratiBAti iti BAva-boDanAt-
   vipralambhavyañjanam /	vipralamBa-vyaQjanam /
        praṇayasmaraṇasyeti--tena dṛśyamāno vipralambho na tvayā gopanīya	praNaya-smaraNasya-iti--tena dRSyamAnaH vipralamBaH na tvayA gopanIya
   ityarthaḥ /	iti-arTaH /
        sotprāsopahāsasyeti---sotprāsaḥ samanāksmitam /	sa-utprAsa-upahAsasya-iti---sa-utprAsaH samanAk-smitam /
        viyogakathanāt mandasmitopahāsaḥ /	viyoga-kaTanAt manda-smita-upahAsaH /
        uttarapakṣeti---viyogapakṣa eva dṛḍha ityarthaḥ /	uttara-pakza-iti-----viyoga-pakzaH eva dRXaH iti-arTaH /
        varttamānopadeśasyeti--vipralambhaviśeṣaḥ /	varttamAna-upadeSasya-iti---vipralamBa-viSezaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   varṇaracanayorudāhariṣyate /	varNa-racanayoH-udAharizyate /
   prabandhe yathā--mahābhārate śāntaḥ /	prabanDe yaTA--mahABArate SAntaH /
   rāmāyaṇo karuṇaḥ /	rAmAyaNaH karuNaH /
   mālatīmādhavaratnāvalyādau śṛṅgāraḥ /	mAlatI-mADava-ratna-AvalI-AdO SRFgAraH /
   evamanyatra /	evam-anyatra /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, va) prabandha iti /	(vi, va) prabanDaH iti /
        prabandho 'tra grantharūpaḥ /	prabanDaH atra granTa-rUpaH /
        śānta iti /	SAntaH iti /
        svargārohaṇarūpamahābhārataśrotuḥ yudhiṣṭhiraśamajñātuḥ śāntaraso	svarga-ArohaNa-rUpa-mahABArata-SrotuH yuDizWira-Sama-jQAtuH SAnta-rasaH-
   bodhya ityarthaḥ /	boDyaH iti-arTaH /
        rāmāyaṇeti /	rAmAyaNa-iti /
        rāmaśokajñātuḥ rāmāyaṇaśrotuḥ karuṇarasa ityarthaḥ /	rAma-Soka-jQAtuH rAmAyaNa-SrotuH karuNa-rasaH iti-arTaH /
        mālatīti--mādhavavatsarājaratijñātustannāṭakaśrotuḥ śṛṅgāra ityarthaḥ	mAlati-iti---mADava-vatsarAja-rati-jQAtuH-tad-nAwaka-SrotuH SRFgAraH iti-arTaH
        Locanā:	LocanA:
        (lo, u) prabandha ityādi /	(lo, u) prabanDaH ityAdi /
        ayamāśayaḥ--na kevalaṃ vastvalaṅkāradhvanivadarthāntaramāha /	ayam-ASayaH--na kevalam vastu-alaFkAra-Dvani-vat-arTa-antaram-Aha /
        vākyavyaṅgye 'pi tatsamudāyabhūte mahābhāratādiprabandhe 'pi; anyathā	vAkya-vyaFgye api tad-samudAya-BUte mahABArata-Adi-prabanDe api; anyaTA
   kāvyatvahāneriti /	kAvya-tva-hAneH-iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   tadevamekapañcāśadbhedāstasya dhvanermatāḥ // VisSd_4.11 //	tat-evam-ekapaQcASat-BedAH-tasya DvaneH-matAH // VisSd-_4.11 //
   saṅkareṇa trirūpeṇa saṃsṛṣṭyā caikarūpayā /	saFkareNa trirUpeNa saMsRzwyA ca-eka-rUpayA /
   vedakhāgniśarāḥ (5304) śuddhairiṣubāṇāgnisāyakāḥ (5355) // VisSd_4.12 //	vedaKa-agni-SarAH (5304) SudDEH-izu-bANa-agni-sAyakAH (5355) // VisSd-_4.12 //
   śuddhaiḥ śuddhabhedairekapañcāśatā yojanenetyarthaḥ /	SudDEH SudDa-BedEH-ekapaQcASatA yojanena-iti-arTaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, śa) ekapañcāśaditi---pūrvadarśitāḥ pañcatriṃśat	(vi, Sa) ekapaQcASat-iti----pUrva-darSitAH paQcatriMSat-
