   sāṃkhyasaptatiṭīkā jayamaṅgalā //	sAMKya-saptatiwIkA jaya-maFgalAH //
   śrotratvakcakṣuriti //	Srotra-tvac-cakzuH-iti //
   'vākpāṇipādapāyūpasthān'; iti / karmendriyāṇi karmābhinirvartanāt /	avAc-pANi-pAda-pAyu-upasTAn-a; iti / karmendriyANi karma-aBinirvartanAt /
   asmādeva prayogādupasthaśabdaḥ puṃliṅgo 'pyastīti jñāyate / sa ca straiṇaḥ	asmAt-eva prayogAt-upasTa-SabdaH puMliFgaH api-asti-iti jQAyate / sa ca strENaH
   pauruṣeyaśca / tatra vāgindriyaṃ kaṇṭhastham / anyāni prasiddhānyeva // 26	pOruzeyaH-ca / tatra vAc-indriyam kaNWa-sTam / anyAni prasidDAni-eva // 26
   kārikā 27	kArikA 27
   ekādaśakamindriyaṃ darśayannāha-	ekAdaSakam-indriyam darSayan=-Aha-
   ubhayātmakamatra manaḥ, saṅkalpakamindriyaṃ ca sādharmyāt /	uBaya-Atmakam-atra manaH, saFkalpakam-indriyam ca sADarmyAt /
   guṇapariṇāmaviśeṣānnānātvaṃ bāhyabhedāśca // ISk_27 //	guNa-pariNAma-viSezAt-nAnAtvam bAhya-BedAH-ca // ISc-_27 //
   'ubhayātmakamatra manaḥ'; ityādi / atretyasminnindriyavaśe mana	auBaya-Atmakam-atra manaH-a; ityAdi / atra-iti-asmin=-indriya-vaSe mana
   ubhayātmakamubhayasvabhāvam / buddhīndriyāṇāṃ karmendriyāṇāṃ ca	uBaya-Atmakam-uBaya-svaBAvam / budDIndriyANAm karmendriyANAm ca
   svasvaviṣayagrahaṇakāle buddhīndriyaṃ karmendriyaṃ cetyarthaḥ /	sva-sva-vizaya-grahaNa-kAle budDIndriyam karmendriyam ca-iti-arTaH /
   ubhayatrāpyasya vyāpārāditi lakṣaṇaṃ tadityāha- saṅkalpayatīti	uBayatra-api-asya vyApArAt-iti lakzaNam tat-iti-Aha saFkalpayati-iti
   saṅkalpakam, idaṃ nedamiti //	saFkalpakam, idam na-idam-iti //
   kathamindriyamityāha- 'indriyaṃ ca sādharmyāt'; ityādi /	kaTam-indriyam-iti-Aha aindriyam ca sADarmyAt-a; ityAdi /
   indriyaistulyatvādityarthaḥ / yathānyadindraliṅgaṃ tathā mano 'pītyarthaḥ	indriyEH-tulya-tvAt-iti-arTaH / yaTA-anyat-indra-liFgam taTA manaH api-iti-arTaH
   tatraikasmādahaṅkārādutpannānāṃ kathaṃ svarūpabhedaḥ ? /	tatra-ekasmAt-ahaFkArAt-utpannAnAm kaTam svarUpa-BedaH ? /
   yacchrotrādibuddhīndriyam, tat pratiniyataviṣayaṃ netaraviṣayamapi /	yat-Srotra-Adi-budDIndriyam, tat pratiniyata-vizayam na-itara-vizayam-api /
   yadyāgādi karmendriyaṃ tat pratiniyatakarma, netarakarmāpi /	yad-yAga-Adi karmendriyam tat pratiniyata-karma, na-itara-karmA-api /
   manaścobhayātmakam, naikātmakamityāha- 'guṇapariṇāmaviśeṣānnānātvam'; iti	manaH-ca-uBaya-Atmakam, na-eka-Atmakam-iti-Aha aguNa-pariNAma-viSezAt-nAnAtvam-a; iti
   / ahaṅkārasthā ye guṇāḥ sattvādayasteṣāmanyo 'nyābhibhavāśrayā (dvidvāreṇa	/ ahaFkAra-sTAH ye guNAH sattva-AdayaH-tezAm-anyaH anya-aBiBava-ASrayAH (dvidvAreNa
   yaḥ pariṇāmaviśeṣastata evaiṣāṃ nānātvam / ta eva hi guṇāḥ	yaH pariNAma-viSezaH-tatas eva-ezAm nAnAtvam / te eva hi guNAH
   pari)ṇāmaviśiṣṭā indriyavyapadeśabhājo nānāviṣayā bhavanti / kathaṃ	pari)NAma-viSizwAH indriya-vyapadeSa-BAjaH nAnA-vizayAH Bavanti / kaTam
   deśaniyamo vṛttiniyamaśca ? tatra tvagindriyaṃ	deSa-niyamaH vRtti-niyamaH-ca ? tatra tvac-indriyam
   sarvaśarīrasthitabāhyābhyantaravṛtti, cakṣuḥśrotraghrāṇarasanāni śirasi	sarva-SarIra-sTita-bAhya-aByantara-vRtti, cakzuH-Srotra-GrANa-rasanAni Sirasi
   bahiḥ pṛthak pṛthagavasthitāni bāhyavṛttīni / vāgāsye sthitā /	bahis pRTak pRTak-avasTitAni bAhya-vRttIni / vAc-Asye sTitAH /
   pāṇyādayaśca bāhoradhastāt pṛthak pṛthagavasthitā bahiḥkarmaviṣayāḥ //	pANi-AdayaH-ca bAhoH-aDastAt pRTak pRTak-avasTitAH bahis-karma-vizayAH //
   ityatāha- 'bāhyabhedāśca'; iti / ye cānye viṣayabhedā	iti-atAha abAhya-BedAH-ca-a; iti / ye ca-anye vizaya-BedA
   deśaniyamavṛtiniyamābhyāṃ te 'pi guṇapariṇāmaviśeṣādeva / nātrāntarā	deSa-niyama-vRti-niyamAByAm te api guNa-pariNAma-viSezAt-eva / na-atra-antarA
   kāraṇamasti // 27 //	kAraNam-asti // 27 //
   kārikā 28	kArikA 28
   eṣāmindriyāṇāṃ kasya kā vṛttirityāha-	ezAm-indriyANAm kasya kA vRttiH-iti-Aha-
   śabdādiṣu pañcānāmālocanamātramiṣyate vṛttiḥ /	Sabda-Adizu paQcAnAm-Alocana-mAtram-izyate vRttiH /
   vacanādānaviharaṇotsargānandāśca pañcānām // ISk_28 //	vacana-AdAna-viharaNa-utsarga-AnandAH-ca paQcAnAm // ISc-_28 //
   'śabdādiṣu'; ityādi / ādiśabdena śabdasparśarūparasagandhāḥ / teṣu	aSabda-Adizu-a; ityAdi / Adi-Sabdena Sabda-sparSa-rUpa-rasa-ganDAH / tezu
   yathākramaṃ pañcānāṃ śrotrādīnāṃ buddhīndriyāṇāmālocanamātraṃ vṛttiriṣyate	yaTAkramam paQcAnAm Srotra-AdInAm budDIndriyANAm-Alocana-mAtram vRttiH-izyate
   sāṃkhyācāryaiḥ / śrotrādīni hi viṣayasya prakāśanamātraṃ kurvanti,	sAMKya-AcAryEH / Srotra-AdIni hi vizayasya prakASana-mAtram kurvanti,
   niścayaṃ tu buddhiḥ / tathā hi buddhyavasitamarthaṃ puruṣaḥ cetayata iti	niScayam tu budDiH / taTA hi budDi-avasitam-arTam puruzaH cetayate iti
   siddhāntaḥ / karmendriyāṇāmapi vāgādīnāṃ yathākramaṃ vasanādānādīni	sidDAntaH / karmendriyANAm-api vAc-AdInAm yaTAkramam vasana-AdAna-AdIni
   vṛttayaḥ karmāṇi / tatra vāgindriyasya nānāvidhavarṇoccāraṇaṃ karma,	vRttayaH karmANi / tatra vAc-indriyasya nAnAviDa-varNa-uccAraNam karma,
   ādeyasyādānaṃ pāṇyoḥ, viharaṇaṃ deśāntaragamanaṃ pādayoḥ, utsarga	Adeyasya-AdAnam pANyoH, viharaNam deSa-antara-gamanam pAdayoH, utsarga
   āhāramalasyotsarjanaṃ pāyoḥ, ānandanamānado hlādaḥ	AhAra-m-alasya-utsarjanam pAyoH, Anandana-mAnadaH hlAdaH
   śukravisṛṣṭisaṃsṛṣṭisukhaṃ tadupasthendriyavṛttiḥ // 28 //	Sukra-visRzwi-saMsRzwi-suKam tad-upasTa-indriya-vRttiH // 28 //
   kārikā 29	kArikA 29
   buddhyahaṅkāramanasāṃ kā vṛttirityāha-	budDi-ahaFkAra-manasAm kA vRttiH-iti-Aha-
   svālakṣaṇyaṃ vṛttistrayasya saiṣā bhavatyasāmānyā /	svAlakzaNyam vRttiH-trayasya sA-ezA Bavati-asAmAnyA /
   sāmānyakaraṇavṛtiḥ prāṇādyā vāyavaḥ pañca // ISk_29 //	sAmAnya-karaNa-vRtiH prANa-AdyAH vAyavaH paQca // ISc-_29 //
   'svālakṣaṇyaṃ vṛttiḥ'; ityādi / svātmīyaṃ lakṣaṇaṃ yasya tat svalakṣaṇam /	asvAlakzaNyam vRttiH-a; ityAdi / svAtmIyam lakzaNam yasya tat sva-lakzaNam /
   tasya bhāvaḥ svālakṣaṇyam / tadeva vṛttiḥ //	tasya BAvaH svAlakzaNyam / tat-eva vRttiH //
   'trayasya'; iti / buddhyahaṅkāramanasāmityarthaḥ / adhyavasāyo buddheḥ,	atrayasya-a; iti / budDi-ahaFkAra-manasAm-iti-arTaH / aDyavasAyaH budDeH,
   abhimāno 'haṅkārasya, saṅkalpo manasaḥ / ta	aBimAnaH ahaFkArasya, saFkalpaH manasaH / ta
   evādhyavasāyābhimānasaṅkalpāstrayasya vṛttiḥ / eṣāṃ ca buddhyādīnāṃ	eva-aDyavasAya-aBimAna-saFkalpAH-trayasya vRttiH / ezAm ca budDi-AdInAm
   trayodaśānāṃ caturvidhā vṛttiḥ, asāmānyāyugapatkramaśceti (?) //	trayodaSAnAm caturviDA vRttiH, asAmAnyA-yugapad-kramaH-ca-iti (?) //
   tatra sāmānyāṃ darśayitumāha- 'saiṣā'; iti / yeyamuktā vṛttiḥ saiṣā	tatra sAmAnyAm darSayitum-Aha asEzA-a; iti / yA-iyam-uktA vRttiH sA-ezA
   bhavatyasāmānyā / yā yasya sā tasyaiva nānyeṣāmapītyarthaḥ / śrotrasya	Bavati-asAmAnyA / yA yasya sA tasya-eva na-anyezAm-api-iti-arTaH / Srotrasya
   yacchabdaprakāśanaṃ tacchrotrasyaiva, nānyeṣāṃ tvagādīnāṃ dvādaśānām /	yat-Sabda-prakASanam tat-Srotrasya-eva, na-anyezAm tvac-AdInAm dvAdaSAnAm /
   evaṃ sarvatra yojyam //	evam sarvatra yojyam //
   sāmānyāmāha- 'sāmānyakaraṇavṛttiḥ'; iti sāmānyā cāsau karaṇavṛttiśceti	sAmAnyAm-Aha asAmAnya-karaNa-vRttiH-a; iti sAmAnyA ca-asO karaNa-vRttiH-ca-iti
   sāmānyakaraṇavṛttiḥ //	sAmAnya-karaNa-vRttiH //
   'prāṇādyā vāyavaḥ pañca'; iti / prāṇā ādyā yeṣāṃ vāyūnāṃ te prāṇādyāḥ /	aprANa-AdyAH vAyavaH paQca-a; iti / prANAH AdyAH yezAm vAyUnAm te prANa-AdyAH /
   prāṇāpānavyānodānasamānā iti pañca vāyavaḥ / tatra prāṇo yo	prANa-apAna-vyAna-udAna-samAnAH iti paQca vAyavaH / tatra prANaH yaH-
   mukhanāsikābhyāṃ nirgacchati / yo nābheradhaḥ sthitaḥ so 'pānaḥ / yena	muKa-nAsikAByAm nirgacCati / yaH nABeH-aDas sTitaH saH apAnaH / yena
   kāye 'gnirdīpita āhāraṃ ca pacati sa samānaḥ / yo	kAye agniH-dIpitaH AhAram ca pacati sa samAnaH / yaH-
   nābhideśādudyataśirogatirnādaṃ janayati sa udānaḥ / yaḥ sarvaśarīraṃ	nABi-deSAt-udyata-SiraH-gatiH-nAdam janayati saH udAnaH / yaH sarva-SarIram
   vyāpya sthitaṃ sa vyānaḥ / ete trayodaśānāmapi karaṇānāṃ sāmānyavṛttiḥ //	vyApya sTitam sa vyAnaH / ete trayodaSAnAm-api karaNAnAm sAmAnya-vRttiH //
   kārikā 30	kArikA 30
   karaṇaprabhāvikatvādvāyūnāṃ yugapatkramaśo vṛttimāha-	karaNa-praBAvika-tvAt-vAyUnAm yugapad-kramaSas vRttim-Aha-
   yugapaccatuṣṭayasya tu vṛttiḥ kramaśaśca nirdiṣṭā /	yugapad-catuzwayasya tu vRttiH kramaSas-ca nirdizwA /
   dṛṣṭe tathāpyadṛṣṭe trayasya tatpūrvikā vṛttiḥ // ISk_30 //	dRzwe taTA-api-adRzwe trayasya tad-pUrvikA vRttiH // ISc-_30 //
   'yugapat'; ityādi / 'catuṣṭayasya tu'; iti / tuśabdo viśeṣaṇārthaḥ /	ayugapat-a; ityAdi / acatuzwayasya tu-a; iti / tuSabdaH viSezaNa-arTaH /
   buddhirahaṅkāro manaścakṣurityetasya catuṣṭayasyaikasmin rūpe	budDiH-ahaFkAraH manaH-cakzuH-iti-etasya catuzwayasya-ekasmin rUpe
   yugapadvṛttiḥ / yathāndhakāre vidyutsaṃpāte kṛṣṇasarpasandarśane	yugapad-vRttiH / yaTA-anDakAre vidyut-saMpAte kRzNa-sarpa-sandarSane
   yugapadālocanādhyavasāyābhimānasaṅkalpanāni bhavanti / tathā hi	yugapad-Alocana-aDyavasAya-aBimAna-saFkalpanAni Bavanti / taTA hi
   cakṣuṣālocitaṃ buddhyādhyavasitamahaṅkāreṇātmīkṛtaṃ manasā saṅkalpitamiti	cakzuzA-Alocitam budDyA-aDyavasitam-ahaFkAreNa-AtmIkRtam manasA saFkalpitam-iti
   'kramaśaśca tasya'; iti / catuṣṭasyasya krameṇa kadācidvṛttiriṣṭā /	akramaSas-ca tasya-a; iti / catuzwasyasya krameNa kadAcid-vRttiH-izwAH /
   mandaprakāśe sthāṇupuruṣocitāmūrdhvatāṃ dṛṣṭavataḥ kiṃ sthāṇuḥ puruṣa iti	manda-prakASe sTANu-puruza-ucitAm-UrDva-tAm dRzwavataH kim sTANuH puruzaH iti
   vikalpaḥ / tatrākuñcapanaprasāraṇāt puruṣa ityadhyavasāyaḥ / tata	vikalpaH / tatra-akuQcapana-prasAraNAt puruzaH iti-aDyavasAyaH / tata
   ātmīkaraṇādabhimāna iti //	AtmIkaraNAt-aBimAnaH iti //
   yeya(mubhaya)thāvṛttiḥ sā kasmin viṣaya ityāha - 'dṛṣṭe'; iti / adṛṣṭe	yeya(m-uBaya)Ta-AvRttiH sA kasmin vizayaH iti-Aha  adRzwe-a; iti / adRzwe
   tarha nāstītyāha - 'tathāpyadṛṣṭe'; iti / tathā...ṣṭe dṛṣṭe 'pi vṛttiḥ //	tarha na-asti-iti-Aha  ataTA-api-adRzwe-a; iti / taTA-a...zwe dRzwe api vRttiH //
   kintu na catuṣṭayasya tarhītyāha- 'trayasya'; iti /	kintu na catuzwayasya tarhi-iti-Aha atrayasya-a; iti /
   buddhyahaṅkāramanasāmityarthaḥ / tatrāpi tatpūrvikā	budDi-ahaFkAra-manasAm-iti-arTaH / tatra-api tad-pUrvikA
   śrotrādipūrviketyarthaḥ / yathā smartavyamanusmarataḥ	Srotra-Adi-pUrvikA-iti-arTaH / yaTA smartavyam-anusmarataH
   saṅkalpābhimānādhyavasāyā bhavanti // 30 //	saFkalpa-aBimAna-aDyavasAyAH Bavanti // 30 //
   kārikā 31	kArikA 31
   atha yadetaccatuṣṭayaṃ tatkiṃ yugapat parasparasavyapekṣaṃ svāṃ svāṃ vṛtiṃ	aTa yat-etat-catuzwayam tat-kim yugapad paraspara-sa-vyapekzam svAm svAm vRtim
   pratipadyate kiṃ vā nirapekṣamityāha-	pratipadyate kim vA nirapekzam-iti-Aha-
   svāṃ svāṃ pratipadyante parasparākūtahaitukīṃ vṛttim /	svAm svAm pratipadyante paraspara-AkUta-hEtukIm vRttim /
   puruṣārtha eva heturna kenacitkāryate karaṇam // ISk_31 //	puruza-arTaH eva hetuH-na kenacid-kAryate karaNam // ISc-_31 //
   'svāṃ svām'; ityādi / ātmīyātmīyāṃ vṛttim //	asvAm svAm-a; ityAdi / AtmIya-AtmIyAm vRttim //
   'parasparākūtahaitukīm'; iti / parasparasya yadākūtaṃ svavṛttibhogastadeva	aparaspara-AkUta-hEtukIm-a; iti / parasparasya yadA-AkUtam sva-vRtti-BogaH-tat-eva
   hetuḥ / tatra bhūtāṃ parasparākūtahaitukīṃ vṛttiṃ catvāri karaṇāni	hetuH / tatra BUtAm paraspara-AkUta-hEtukIm vRttim catvAri karaNAni
   pratipadyante / tatra cakṣurbuddhyāditrayasyākūtaṃ jñātvā prakāśanaṃ	pratipadyante / tatra cakzuH-budDi-Adi-trayasya-AkUtam jQAtvA prakASanam
   pratipadyate / evaṃ buddhirahaṅkāro manaśca trayāṇāmākūtaṃ jñātvā	pratipadyate / evam budDiH-ahaFkAraH manaH-ca trayANAm-AkUtam jQAtvA
   'dhyavasāyamabhimānaṃ saṅkalpanaṃ ca pratipadyante / kramaśaśca	aDyavasAyam-aBimAnam saFkalpanam ca pratipadyante / kramaSas-ca
   parasparākūtahaitukīm / kintu pūrvapūrvahaitukī draṣṭavyā / yathā	paraspara-AkUta-hEtukIm / kintu pUrva-pUrva-hEtukI drazwavyA / yaTA
   kasyacidupanimantraṇaṃ śrutavataḥ śrotravṛttiṃ jñātvā,	kasyacid-upanimantraNam SrutavataH Srotra-vRttim jQAtvA,
   buddhirgamanāyādhyavasitā / tadvṛttiṃ jñātvā 'haṅkāro modakānahaṃ	budDiH-gamanAya-aDyavasitA / tad-vRttim jQAtvA ahaFkAraH modakAn-aham
   bhakṣayiṣyāmīti manyate / tadvṛttiṃ jñātvā manaḥ, pracuraṃ ghṛtaṃ	BakzayizyAmi-iti manyate / tad-vRttim jQAtvA manaH, pracuram GRtam
   prāpayiṣyāmīti kiṃ stokamiti, saṅkalpayatīti / evaṃ bāhyānyapi karaṇāni	prApayizyAmi-iti kim stoka-miti, saFkalpayati-iti / evam bAhyAni-api karaNAni
   svāṃ svāṃ vṛttiṃ parasparākūtahaitukīṃ pratipadyante //	svAm svAm vRttim paraspara-AkUta-hEtukIm pratipadyante //
   etāni kimātmārthaṃ svāṃ svāṃ vṛttiṃ pratipadyante, kimanyārthamityāha-	etAni kimAtma-arTam svAm svAm vRttim pratipadyante, kim-anya-arTam-iti-Aha-
   'puruṣārtha eva hetuḥ'; iti / puruṣasyārtho viṣayopabhogaḥ kaivalyaṃ ca,	apuruza-arTaH eva hetuH-a; iti / puruzasya-arTaH vizaya-upaBogaH kEvalyam ca,
   sa vṛttihetuḥ //	sa vRtti-hetuH //
   nanvīśvaraḥ kartā jagataḥ, sa eva buddhyādikalāpaṃ sṛṣṭavān yena	nanu-ISvaraH kartA jagataH, saH eva budDi-Adi-kalApam sRzwavAn yena
   puruṣasyārthaḥ sampadyate / tathā coktam-	puruzasya-arTaH sampadyate / taTA ca-uktam-
   'īśvaraprerito gacchetsvargaṃ vā śvabhrameva vā'; / iti	aISvara-preritaH gacCet-svargam vA SvaBram-eva vA-a; / iti
   tatrāha - 'na kenacitkāryate karaṇam'; iti / pradhānavyatirekeṇa na	tatra-Aha  ana kenacid-kAryate karaNam-a; iti / praDAna-vyatirekeNa na
   kaścidbuddhyādikaraṇaṃ svāṃ svāṃ vṛttiṃ kārayatītyarthaḥ / yadi kartā	kaScid-budDi-Adi-karaNam svAm svAm vRttim kArayati-iti-arTaH / yadi kartA
   syāt, kimiti prakṛtimapekṣate / nāpi seśvaravādinā prakṛtirabhyupagataiva,	syAt, kim-iti prakRtim-apekzate / na-api sa-ISvara-vAdinA prakRtiH-aByupagatA-eva,
   niścetanatvāt prakṛteḥ sacetano 'dhiṣṭhātā kartā 'paro gaveṣyata iti cet,	niScetana-tvAt prakRteH sa-cetanaH aDizWAtA kartA aparaH gavezyate iti ced-,
   puruṣa evādhiṣṭhātā / acetanā prakṛtiḥ / etaduktameva prāk // 31 //	puruzaH eva-aDizWAtA / acetanA prakRtiH / etat-uktam-eva prAk // 31 //
   kārikā 32	kArikA 32
   katividhamantaḥkaraṇamityāha-	kativiDam-antaHkaraNam-iti-Aha-
   karaṇaṃ trayodaśavidham, tadāharaṇadhāraṇaprakāśakaram /	karaNam trayodaSaviDam, tad-AharaNa-DAraNa-prakASa-karam /
   kāryaṃ ca tasya daśadhā, hāryaṃ dhāryaṃ prakāśyaṃ ca // ISk_32 //	kAryam ca tasya daSaDA, hAryam DAryam prakASyam ca // ISc-_32 //
   'karaṇaṃ trayodaśavidham'; ityādi / pañca buddhīndriyāṇi, pañca	akaraNam trayodaSaviDam-a; ityAdi / paQca budDIndriyANi, paQca
   karmendriyāṇi, buddhyahaṅkāramanāṃsi ca trīṇi / etat trayodaśavidham /	karmendriyANi, budDi-ahaFkAra-manAMsi ca trINi / etat trayodaSaviDam /
   karaṇaṃ karotīti / 'kṛtyalyuṭo bahulam'; iti kartari lyuṭ //	karaNam karoti-iti / akRtyalyuwaH bahulam-a; iti kartari lyuh //
   tatra kasya kā kriyā yadapekṣayā karaṇamityāha-	tatra kasya kA kriyA yad-apekzayA karaNam-iti-Aha-
   'tadāharaṇadhāraṇaprakāśakaram'; / iti tatkaraṇamāharaṇādīni karotīti /	atad-AharaNa-DAraNa-prakASa-karam-a; / iti tad-karaNam-AharaNa-AdIni karoti-iti /
   tatra karmendriyāṇyāharaṇaṃ kurvanti, buddhyahaṅkāramanāṃsi dhāraṇam,	tatra karmendriyANi-AharaNam kurvanti, budDi-ahaFkAra-manAMsi DAraNam,
   buddhīndriyāṇi prakāśamiti //	budDIndriyANi prakASam-iti //
   kiṃ tatkāryaṃ yasyāharaṇaṃ kurvantītyāha- 'kāryam'; iti / tasya karaṇasya	kim tat-kAryam yasya-AharaNam kurvanti-iti-Aha akAryam-a; iti / tasya karaNasya
   daśavidhaṃ kāryam / tatra śabdasparśarūparasagandhāḥ pañca	daSaviDam kAryam / tatra Sabda-sparSa-rUpa-rasa-ganDAH paQca
   vacanādānaviharaṇotsargānandāḥ pañceti daśadhā / pūrve dvividhāḥ-	vacana-AdAna-viharaNa-utsarga-AnandAH paQca-iti daSaDA / pUrve dviviDAH-
   sūkṣmāstanmātralakṣaṇāḥ sukhaikasvabhāvatvāddivyāḥ, sthūlā ākāśādayaḥ	sUkzmAH-tad-mAtra-lakzaNAH suKa-eka-svaBAva-tvAt-divyAH, sTUlAH AkASa-AdayaH
   sukhaduḥkhamohatmakatvādadivyā iti / etatkāryaṃ buddhīndriyāṇāṃ prakāśyam	suKa-duHKa-moha-tmaka-tvAt-adivyAH iti / etat-kAryam budDIndriyANAm prakASyam
   / vāgādīnāmuktyādānādikarmakartṛtvāt kāryam (?) / tatra vācā śabdasya,	/ vAc-AdInA-m-uktyA-dAna-Adi-karma-kartR-tvAt kAryam (?) / tatra vAcA Sabdasya,
   pāṇibhyāmādeyasyāhriyamāṇatvādubhayamapyāhāryam // vihāryaṃ	pANiByAm-Adeyasya-AhriyamANa-tvAt-uBayam-api-AhAryam // vihAryam
   viharaṇasthānam, pūrvāvayavanyāsenottarāvayavākramaṇena ca	viharaNa-sTAnam, pUrva-avayava-nyAsena-uttara-avayava-AkramaNena ca
   pādābhyāmāhriyamāṇatvādāhāryam / anyathā kathamutsargānandau syātām /	pAdAByAm-AhriyamANa-tvAt-AhAryam / anyaTA kaTam-utsarga-AnandO syAtAm /
   ubhayamapi karmendriyāviṣayam / buddhyahaṅkāramanasāṃ dhāryam, tairantaḥ	uBayam-api karmendriya-avizayam / budDi-ahaFkAra-manasAm DAryam, tEH-antaH
   svavṛttyāvadhāryamāṇatvāt // 32 //	sva-vRttyA-avaDAryamANa-tvAt // 32 //
   kārikā 33	kArikA 33
   tadeva trayodaśavidhaṃ karaṇaṃ bāhyāntarabhedāddvividhamiti darśayannāha-	tat-eva trayodaSaviDam karaNam bAhya-antara-BedAt-dviviDam-iti darSayan=-Aha-
   antaḥkaraṇaṃ trividhaṃ daśadhā bāhyaṃ trayasya viṣayākhyam /	antaHkaraNam triviDam daSaDA bAhyam trayasya vizaya-AKyam /
   sāmpratakālaṃ bāhyaṃ trikālamābhyantaraṃ karaṇam // ISk_33 //	sAmprata-kAlam bAhyam tri-kAlam-AByantaram karaNam // ISc-_33 //
   'antaḥkaraṇam'; ityādi / karaṇaṃ dvividham- bāhyamābhyantaraṃ ca / tatra	aantaHkaraNam-a; ityAdi / karaNam dviviDam bAhyam-AByantaram ca / tatra
   śarīrasyāntaḥsthitatvādantaḥkaraṇaṃ trividham- buddhirahaṅkāromanaśceti //	SarIrasya-antar-sTita-tvAt-antaHkaraNam triviDam budDiH-ahaFkAromanaH-ca-iti //
   'daśadhā bāhyam'; iti / daśaprakāram / pañca buddhīndriyāṇi, pañca	adaSaDA bAhyam-a; iti / daSa-prakAram / paQca budDIndriyANi, paQca
   karmendiyāṇi / tadbuddhirbhavati //	karmendiyANi / tat-budDiH-Bavati //
   tadbāhyaṃ 'trayasya viṣayākhyam'; iti / tryavayavasyāntaḥkaraṇasya bāhyaṃ	tat-bAhyam atrayasya vizaya-AKyam-a; iti / tri-ava-yavasya-antaHkaraNasya bAhyam
   viṣaya ityākhyāyate, taddvāreṇa viṣayāvagāhanāt / tenāntaḥkaraṇasya	vizayaH iti-AKyAyate, tad-dvAreNa vizaya-avagAhanAt / tena-antaHkaraNasya
   dvividho viṣayaḥ- dvāraṃ bhogyaṃ ceti / catuṣṭayasya dṛṣṭervartamāne	dviviDaH vizayaH dvAram Bogyam ca-iti / catuzwayasya dRzweH-vartamAne
   trayasyādṛṣṭe vṛttiruktā //	trayasya-adRzwe vRttiH-uktAH //
   tatrātītānāgatayorapi viṣayayoḥ kiṃ vṛttirasti, netyāha- 'sāmpratakālaṃ	tatra-atIta-anAgatayoH-api vizayayoH kim vRttiH-asti, na-iti-Aha- asAmprata-kAlam
   bāhyam'; iti / kalyata iti kālaḥ viṣaya evātīto 'nāgato vartamānoścocyate	bAhyam-a; iti / kalyate iti kAlaH vizayaH eva-atItaH anAgataH vartamAnoH-ca-ucyate
   / na tadvyatirekeṇa kālo 'sti / mā bhūt ṣaḍviṃśatitattvaprasaṅga iti /	/ na tad-vyatirekeNa kAlaH asti / mA BUt zaxviMSati-tattva-prasaFgaH iti /
   tatra sāmprato vartamānaḥ kālo yasya bāhyasya taddhi bāhyam / śrotrādi	tatra sAmprataH vartamAnaH kAlaH yasya bAhyasya tat-hi bAhyam / Srotra-Adi
   vartamānameva śabdādikaṃ prakāśayati, nātītānāgate / vāgādi ca	vartamAnam-eva Sabda-Adikam prakASayati, na-atIta-anAgate / vAc-Adi ca
   vartamānamevoktyādānaviharaṇotsargānandān karoti, nātītānāgatān //	vartamAnam-eva-ukti-AdAna-viharaNa-utsarga-AnandAn karoti, na-atIta-an-AgatAn //
   'trikālamābhyantaram'; iti / trayaḥ kālā yasya tat trikālam / yathā	atri-kAlam-AByantaram-a; iti / trayaH kAlAH yasya tat tri-kAlam / yaTA
   buddhirvartamānamadhyavasyati / tathātītānāgatāvapi / māndhātāsīt kalkī	budDiH-vartamAna-m-aDyavasyati / taTA-atIta-anAgatO=-api / mAnDAtA-AsIt kalkI
   rājā bhaviṣyatīti / yathāhaṅkāro vartamānamabhimanyate tathātītānāgatāvapi	rAjA Bavizyati-iti / yaTA-ahaFkAraH vartamAnam-aBimanyate taTA-atIta-anAgatO=-api
   / mamaivamāsīt, mamaivaṃ bhaviṣyatīti / yathā ca mano vartamānaṃ	/ mama-evam-AsIt, mama-evam Bavizyati-iti / yaTA ca manaH vartamAnam
   saṅkalpayatīti tathātītānāgatāvapi / tatra kimidaṃ bhūtaṃ syāt, na mameti	saFkalpayati-iti taTA-atIta-anAgatO=-api / tatra kim-idam BUtam syAt, na mama-iti
   / kimidaṃ bhaviṣyati, netīti // 33 //	/ kim-idam Bavizyati, na-iti-iti // 33 //
   kārikā 34	kArikA 34
   nanu ca yadi sthūlāḥ pṛthivyādayaste viśeṣāḥ / bāhyaṃ bāhyakaraṇaṃ	nanu ca yadi sTUlAH pRTivI-AdayaH-te viSezAH / bAhyam bAhya-karaNam
   svaviṣayaṃ pratipadyate / pṛthivyādayastarhi bhedena pratipattavyā ityāha-	sva-vizayam pratipadyate / pRTivI-AdayaH-tarhi Bedena pratipattavyAH iti-Aha-
   buddhīndriyāṇi teṣāṃ pañca viśeṣāviśeṣaviṣayīṇi /	budDIndriyANi tezAm paQca viSeza-aviSeza-vizayINi /
   vāgbhavati śabdaviṣayā śeṣāṇi tu pañcaviṣayīṇi // ISk_34 //	vAc-Bavati Sabda-vizayA SezANi tu paQca-vizayINi // ISc-_34 //
   'buddhīndriyāṇi'; ityādi / teṣāmapi trayodaśānāṃ karaṇānāṃ yāni pañca	abudDi-indriyANi-a; ityAdi / tezAm-api trayodaSAnAm karaNAnAm yAni paQca
