   caturtha uddyotaḥ	caturTaH uddyotaH
   lokaistantryamāṇaṃ yatnena sampādyamānandharmārthakāmatatsādhanalakṣaṇaṃ	lokEH-tantryamANam yatnena sampAdyam-Anan-Darma-arTa-kAma-tad-sADana-lakzaNam
   vastubhūtatayābhimatamapi /	vastu-BUta-tayA-aBimatam-api /
   yena yenārjanarakṣaṇakṣayādinā prakāreṇa /	yena yena-arjana-rakzaNa-kzaya-AdinA prakAreNa /
   asāravattucchendrajhālāḍivat /	asAravat-tucCendra-JAla-Axi-vat /
   viparyeti /	viparyeti /
   pratyuta viparītaṃ sampadyate /	pratyuta viparItam sampadyate /
   āstāntasya svarūpacintetyarthaḥ /	AstAntasya svarUpa-cintA-iti-arTaH /
   tena tena prakāreṇa atra lokatantre /	tena tena prakAreNa atra lokatantre /
   virāgo jāyata ityanena tatvajñānotthitaṃ nirvedaṃ bālapriyā	virAgaH jAyate iti-anena tatu-a-jQAna-utTitam nirvedam bAlapriyA
   'sītātyantaviyogaparyantamityatrātyantagrahaṇaphalamāha--atyantagrahaṇenetyādi	asIta-atyanta-viyoga-paryantam-iti-atra-atyanta-grahaNa-Palam-Aha--atyanta-grahaNena-ityAdi
   vṛṣṇipāṇḍavavirasāvasānetyuktaṃ vavṛṇeti /	vRzNi-pANxava-virasa-avasAna-iti-uktam vavRNa-iti /
   vṛṣṇīnāmityādi /	vRzNInAm-ityAdi /
   mokṣalakṣaṇaḥ puruṣārtho mukhyatayā vivakṣāviṣayatvena sūcita iti yaduktaṃ	mokza-lakzaNaH puruza-arTaH muKya-tayA vivakzA-vizaya-tvena sUcitaH iti yat-uktam
   tasyānupapattimāśaṅkya pariharati--yadyapītyādinā /	tasya-anupapattim-ASaFkya pariharati---yadi-api-ityAdinA /
   mokṣe cetyuktamiti /	mokze ca-iti-uktam-iti /
   kvaciddagranthe 'bharatarṣabha yadihāsti tadanyatra yannehāsti na tat	kvacid-dagranTe aBarata-RzaBa yat-iha-asti tat-anyatra yat-na-iha-asti na tat-
   kvaci'diti ca pāṭhaḥ /	kvaci-aditi ca pAWaH /
   evamāhuriti /	evam-AhuH-iti /
   vakṣyamāṇaṃ viśeṣaṃ dyotayantītyarthaḥ /	vakzyamANam viSezam dyotayanti-iti-arTaH /
   sarvasvamiti /	sarvasvam-iti /
   pradhānaṃ svarūpamityarthaḥ /	praDAnam sva-rUpam-iti-arTaH /
   nāstīti /	na-asti-iti /
   atreti śeṣaḥ /	atra-iti SezaH /
   yadanyatra na vidyate tādṛgatra nāstīti sambandhaḥ /	yat-anyatra na vidyate tAdRS-atra na-asti-iti sambanDaH /
   yadatrāsti tadanyatrāpyastīti bhāvaḥ /	yat-atra-asti tad-anyatra-api-asti-iti BAvaH /
   dyotyaṃ viśeṣaṃ darśayati--tathāpītyādi /	dyotyam viSezam darSayati--taTA-api-ityAdi /
   paryantavirasatvamiti /	paryanta-virasa-tvam-iti /
   dharmārthakāmānāmityanuṣajyate /	Darma-arTa-kAmAnAm-iti-anuzajyate /
   lokatantramityetadvyācaṣṭe--laukairityādi /	lokatantram-iti-etat-vyAcazwe--lOkEH-ityAdi /
   ityādi bahuśaḥ kathayatā /	ityAdi bahuSas kaTayatA /
   tataśca śānto raso rasāntarairmokṣalakṣaṇaḥ puruṣārthaḥ	tatas-ca SAntaH rasaH rasa-antarEH-mokza-lakzaNaH puruza-arTaH
   puruṣārthāntaraistadupasarjanatvenānugamyamāno 'ṅgitvena vivakṣāviṣaya iti	puruza-arTa-antarEH-tad-upasarjana-tvena-anugamyamAnaH aFgi-tvena vivakzA-vizayaH iti
   mahābhāratatātparya suvyaktamevāvabhāsate /	mahABAratatAtparya su-vyaktam-eva-avaBAsate /
   aṅgāṅgibhāvaśca yathā rasānāṃ tathā pratipāditameva /	aFga-aFgi-BAvaH-ca yaTA rasAnAm taTA pratipAditam-eva /
   pāramārthikāntastattvānapekṣayā śarīrasyevāṅgabhūtasya rasasya	pArama-arTika-antaH-tattva-anapekzayA SarIrasya-iva-aFga-BUtasya rasasya
   puruṣārthasya ca svaprādhānyena cārutvamapyaviruddham /	puruza-arTasya ca sva-prADAnyena cAru-tvam-api-avirudDam /
   nanu mahābhārate yāvānvivakṣāviṣayaḥ so 'nukramaṇyāṃ sarva evānukrānto na	nanu mahABArate yAvAn-vivakzA-vizayaH saH anukramaNyAm sarve eva-anukrAntaH na
   caittatra dṛśyate, pratyuta sarvapuruṣārthaprabodhahetutvaṃ	cEttatra dRSyate, pratyuta sarva-puruza-arTa-praboDa-hetu-tvam
   sarvarasagarbhatvaṃ ca mahābhāratasya tasminnuddeśe svaśabdaniveditatvena	sarva-rasa-garBa-tvam ca mahABAratasya tasmin=-uddeSe sva-Sabda-nivedita-tvena
   pratīyate /	pratIyate /
   atrocyate--satyaṃ śāntasyaiva rasāsyāṅgitvaṃ mahābhārate mokṣasya ca	atra-ucyate--satyam SAntasya-eva rasa-asya-aFgi-tvam mahABArate mokzasya ca
   sarvapuruṣārthabhyaḥ prādhānyamityetanna svaśabdābhidheyatvenānukramaṇyā	sarva-puruza-arTaByaH prADAnyam-iti-etat-na sva-Sabda-aBiDeya-tvena-anukramaNyA
   darśitam, darśitaṃ tu vyaṅgyatvena--- 'bhagavānvāsudevaśca kīrtyate 'tra	darSitam, darSitam tu vyaFgya-tvena-- aBagavAn-vAsudevaH-ca kIrtyate atra
   sanātanaḥ' ityasmin vākye /	sanAtanaH-a iti-asmin vAkye /
   anena hyayamartho vyaṅgyatvena vivakṣito yadatra mahābhārate	anena hi-ayam-arTaH vyaFgya-tvena vivakzitaH yat-atra mahABArate
   pāṇḍavādicaritaṃ yatkīrtyate tatsarvamavasānavirasamavidyāprapañcarūpañca,	pANxava-Adi-caritam yat-kIrtyate tat-sarvam-avasAna-virasam-avidyA-prapaQca-rUpaQca,
   paramārthasatyasvarūpastu bhagavān vāsudevo 'tra kīrtyate /	parama-arTa-satya-svarUpaH-tu BagavAn vAsudevaH atra kIrtyate /
   tasmāttasminneva parameśvare bhagavati bhavata bhāvitacetaso, mā bhūta	tasmAt-tasmin=-eva parameSvare Bagavati Bavata BAvita-cetaso, mA BUta
   vibhūtiṣu niḥsārāsu rāgiṇo guṇeṣu vā nayavinayaparākramādiṣvamīṣu kevaleṣu	viBUtizu niHsArAsu rAgiNaH guNezu vA naya-vinaya-parAkrama-Adizu-amIzu kevalezu
   keṣucitsarvātmanā pratiniviṣṭadhiyaḥ /	kezucid-sarva-AtmanA pratinivizwa-DiyaH /
   tathā cāgre--paśyata niḥsāratāṃ saṃsārasyetyamumevārthe locanam	taTA ca-agre--paSyata niHsAra-tAm saMsArasya-iti-amum-eva-arTe locanam
   śāntarasasthāyinaṃ sūcayatā tasyaiva ca sarvetarāsāratvaprati pādanena	SAnta-rasa-sTAyinam sUcayatA tasya-eva ca sarva-itarAsAra-tva-prati pAdanena
   prādhānyamuktam /	prADAnyam-uktam /
   nanu śṛṅgāravīrādicamatkāro 'pi tatra bhātītyāśaṅkyāha--pāramārthiketi /	nanu SRFgAra-vIra-Adi-camatkAraH api tatra BAti-iti-ASaFkya-aha---pAram-ArTikA-iti /
   bhogābhiniveśināṃ lokavāsanāviṣṭānāmaṅgabhūte 'pi rase tathābhimānaḥ,	Boga-aBiniveSinAm loka-vAsanA-AvizwAnAm-aFga-BUte api rase taTA-aBimAnaH,
   yathā śarīre pramātṛtvābhimānaḥ pramāturbhegāyatanamātre 'pi kevaleṣviti /	yaTA SarIre pramAtR-tva-aBimAnaH pramAtuH-Bega-Ayatana-mAtre api kevalezu-iti /
   parameśvarabhaktyupakaraṇeṣu bālapriyā vastubhūtatayeti /	parameSvara-Bakti-upakaraNezu bAlapriyA vastu-BUta-tayA-iti /
   paramārthatayetyarthaḥ /	paramArTa-tayA-iti-arTaH /
   tuccheta /	tucCeta /
   tucchaṃ śaśaśṛṅgādi /	tucCam SaSaSRFga-Adi /
   tasyaiveti /	tasya-eva-iti /
   śāntarasasyaivetyarthaḥ /	SAnta-rasasya-eva-iti-arTaH /
   pāramārthiketyādigranthamavatārayati--nanvityādi /	pAramArTika-ityAdi-granTam-avatArayati--nanu-ityAdi /
   tatra mahābhārate /	tatra mahABArate /
   bhāvaṃ vivṛṇoti--bhogetyādi /	BAvam vivRNoti--Boga-ityAdi /
   tathābhimānaḥ prādhānyābhimānaḥ /	taTA-aBimAnaH prADAnya-aBimAnaH /
   mātre 'pi śarīre iti sambandhaḥ /	mAtre api SarIre iti sambanDaH /
   dyotayan sphuṭamevāvabhāsate vyañcakaśaktyanugṛhītaśca śabdaḥ /	dyotayan sPuwam-eva-avaBAsate vyaQcaka-Sakti-anugRhItaH-ca SabdaH /
   evaṃvidhamevārthe garbhīkṛtaṃ sandarśayanto 'nantaraślokā lakṣyante--'sa	evaMviDam-eva-arTe garBIkRtam sandarSayantaH anantara-SlokA lakzyante---asa
   hi satyam' ityādayaḥ /	hi satyam-a ityAdayaH /
   ayaṃ ca nigūḍharamaṇīyo 'rtho mahābhāratāvasāne harivaṃśavarṇanena	ayam ca nigUXa-ramaNIyaH arTaH mahABArata-avasAne hari-vaMSa-varNanena
   samāptiṃ vidadhatā tenaiva kavivedhasā kṛṣṇadvaipāyanena samyaksphuṭīkṛtaḥ	samAptim vidaDatA tena-eva kavi-veDasA kRzNadvEpAyanena samyak-sPuwIkRtaH
   anena cārthena saṃsārātīte tattvāntare bhaktyatiśayaṃ pravartayatā sakala	anena ca-arTena saMsAra-atIte tattva-antare Bakti-atiSayam pravartayatA sakala
   eva sāṃsāriko vyavahāraḥ pūrvapakṣīkṛto nyakṣeṇa prakāśate /	eva sAMsArikaH vyavahAraH pUrva-pakzIkRtaH nyakzeNa prakASate /
   devatātīrthatapaḥ--prabhṛtīnāṃ ca devatāvaśeṣāṇāmanyeṣāṃ ca /	devatA-tIrTa-tapaH----praBRtInAm ca devatA-avaSezANAm-anyezAm ca /
   pāṇḍavādicaritavarṇanasyāpi vairāgyajananatātparyādvairāgyasya ca	pANxava-Adi-carita-varNanasya-api vErAgya-janana-tAtparyAt-vErAgyasya ca
   mokṣamūlatvānmokṣasya ca bhagavatprāptyupāyatvena mukhyatayā gītādiṣu	mokza-mUla-tvAt-mokzasya ca Bagavat-prApti-upAya-tvena muKya-tayA gIta-Adizu
   pradarśitatvātparabrahmaprāptyupāyatvameva /	pradarSita-tvAt-para-brahma-prApti-upAya-tvam-eva /
   paramparayā vāsudevādisañjñābhidheyatvena cāparimitaśaktyāspadaṃ paraṃ	paramparayA vAsudeva-Adi-saQjQA-aBiDeya-tvena ca-aparimita-Sakti-Aspadam param
   brahma gītādipradeśāntareṣu tadabhidhānatvena labdhaprasiddhi	brahma gIta-Adi-pradeSa-antarezu tad-aBiDAna-tvena labDa-prasidDi
   māthuraprādurbhāvānukṛtasakalasvarūpaṃ vivakṣitaṃ na tu	mATura-prAdurBAva-anukRta-sakala-svarUpam vivakzitam na tu
   māthuraprādurbhāvāṃśa eva, sanātanaśabdaviśeṣitatvāt /	mATura-prAdurBAva-aMSaH eva, sanAtana-Sabda-viSezita-tvAt /
   locanam tu na doṣa ityarthaḥ /	locanam tu na dozaH iti-arTaH /
   vibhūtiṣu rāgiṇo guṇeṣu ca niviṣṭadhiyo mā bhūteti sambandhaḥ /	viBUtizu rAgiNaH guNezu ca nivizwa-DiyaH mA BUta-iti sambanDaH /
   agra iti anukramaṇyanantaraṃ yo bhāratagranthaḥ tatretyarthaḥ /	agre iti anukramaNi-anantaram yaH BArata-granTaH tatra-iti-arTaH /
   nanu vasudevāpatyaṃ vāsudeva ityucyate, na parameśvaraḥ paramātmā mahādeva	nanu vasudeva-apatyam vAsudevaH iti-ucyate, na parameSvaraH paramAtmA mahAdeva
   ityāśaṅkyāha--vāsudevādisaṃjñābhidheyatveneti /	iti-ASaFkya-aha---vAsudeva-Adi-saMjQA-aBiDeya-tvena-iti /
   bahūnāṃ janmanāmante jñānavānmāṃ prapadyate /	bahUnAm janmanAm-ante jQAnavAn-mAm prapadyate /
   vāsudevassarvam bālapriyā anvayaṃ darśayati---vibhūtiṣvityādi /	vAsudeva-ssarvam bAla-priyA anvayam darSayati-----viBUtizu-ityAdi /
   vṛttau'tathāce'tyādi /	vRttO-ataTA-Ace-atyAdi /
   dyotayan śabdo 'vabhāsata iti sambandhaḥ /	dyotayan SabdaH avaBAsate iti sambanDaH /
   'nyakṣeṇe'ti /	anyakzeNe-ati /
   kātsyeṃnetyarthaḥ /	kAtsyeMna-iti-arTaH /
   prāptyupāyatvena varṇanamityanvayaḥ /	prApti-upAya-tvena varNanam-iti-anvayaH /
   devatāviśeṣāṇāmityatra prabhāvātiśayavarṇanamityanuṣajyate /	devatA-viSezANAm-iti-atra praBAva-atiSaya-varNanam-iti-anuzajyate /
   'mokṣasye'ti /	amokzasye-ati /
   ajñānanivṛtterityarthaḥ /	ajQAna-nivRtteH-iti-arTaH /
   vāsudevasaṃjñābhidheyatvena brahma vivakṣitamityanvayaḥ /	vAsudeva-saMjQA-aBiDeya-tvena brahma vivakzitam-iti-anvayaH /
   'tadabhidhānatvena' vāsudevasaṃjñābhidheyatvena /	atad-aBiDAna-tvena-a vAsudeva-saMjQA-aBiDeya-tvena /
   māthuro yaḥ prādurbhāvastenānukṛtaṃ sakalasvarūpaṃ yena tat /	mATuraH yaH prAdurBAvaH-tena-anukRtam sakala-svarUpam yena tat /
   'na tvi'tyādi /	ana tu-i-atyAdi /
   'vivakṣita' iti viparimāṇāmenānuṣaṅgaḥ /	avivakzita-a iti viparimANa-Amena-anuzaFgaH /
   hetvantaramapyāha--'rāmayaṇādiṣvi'tyādi /	hetu-antaram-api-Aha---arAmayaNa-Adizvi-atyAdi /
   'puruṣārtha' iti 'vivakṣita' ityanenāsya sambandhaḥ /	apuruza-arTa-a iti avivakzita-a iti-anena-asya sambanDaH /
   rāmāyaṇādiṣu cānayā sañjñayā bhagavanmūrtyantare vyavahāradarśanāt /	rAmAyaNa-Adizu ca-anayA saQjQayA Bagavat-mUrti-antare vyavahAra-darSanAt /
   nirṇītaścāyamarthaḥ śabdatattvavidbhireva /	nirNItaH-ca-ayam-arTaH Sabda-tattva-vidBiH-eva /
   tadevamanukramaṇīnirdiṣṭena vākyena bhagavadyvatirekiṇaḥ	tat-evam-anukramaNI-nirdizwena vAkyena Bagavat-yvati-rekiNaH
   sarvasyānyasyānityatāṃ prakāśayatā mokṣalakṣaṇa evaikaḥ paraḥ puruṣārthaḥ	sarvasya-anyasya-anitya-tAm prakASayatA mokza-lakzaNaH eva-ekaH paraH puruza-arTaH
   śāstranaye, kāvyanaye ca tṛṣṇākṣayasukhaparipoṣalakṣaṇaḥ śānto raso	SAstra-naye, kAvya-naye ca tRzNA-kzaya-suKa-paripoza-lakzaNaH SAntaH rasaH-
   mahābhāratasyāṅgitvena vivakṣita iti supratipāditam /	mahABAratasya-aFgi-tvena vivakzitaH iti su-pratipAditam /
   atyantasārabhūtatvāccāyamartho vyaṅgyatvenaiva darśito na tu vācyatvena /	atyanta-sAra-BUta-tvAt-ca-ayam-arTaH vyaFgya-tvena-eva darSitaH na tu vAcya-tvena /
   sārabhūto hyarthaḥ svaśabdānabhidheyatvena prakāśitaḥ sutarāmeva	sAra-BUtaH hi-arTaH sva-Sabda-an-aBiDeya-tvena prakASitaH sutarAm-eva
   śobhāmāvahati /	SoBAm-Avahati /
   prasiddhiśceyamastyeva vidagghavidvatpariṣatsu yadabhimatataraṃ vastu	prasidDiH-ca-iyam-asti-eva vidagha-vidvat-parizatsu yat-aBimatataram vastu
   vyaṅgyatvena prakāśyate na sākṣācchabdavācyatvena /	vyaFgya-tvena prakASyate na sAkzAt-Sabda-vAcya-tvena /
   locanam ityādau aṃśirūpametatsaṃjñābhidheyamiti nirṇitaṃ tātparyam /	locanam iti-AdO aMSi-rUpam-etat-saMjQA-aBiDeyam-iti nirNitam tAtparyam /
   nirṇītaśceti /	nirNItaH-ca-iti /
   śabdā hi nityā eva santo 'nantaraṃ kākatālīyavaśāttathā saṅketitā	SabdAH hi nityAH eva santaH anantaram kAkatAlIya-vaSAt-taTA saFketitA
   ityuktam--"ṛṣyandhakavṛṣṇikurubhyaśce"tyatra /	iti-uktam---"Rzi-anDaka-vRzNi-kuruByaH-ce"ti-atra /
   śāstranaya iti /	SAstra-nayaH iti /
   tatrāsvādayogābhāve puruṣeṇārthyata ityayameva vyapadeśaḥ sādaraḥ,	tatra-AsvAda-yoga-aBAve puruzeNa-arTyate iti-ayam-eva vyapadeSaH sa-AdaraH,
   camatkārayoge tu rasavyapadeśa iti bhāvaḥ /	camatkAra-yoge tu rasa-vyapadeSaH iti BAvaH /
   etacca granthakāreṇa tattvāloke vitaktyoktamiha tvasya na mukhyo 'vasara	etat-ca granTakAreNa tattva-Aloke vitaktyA-uktam-iha tu-asya na muKyaH avasara
   iti nāsmābhistaddarśitam /	iti na-asmABiH-tad-darSitam /
   sutarāmeveti yaduktaṃ tatra hetumāha--prasiddhiśceti /	sutarAm-eva-iti yat-uktam tatra hetum-Aha---prasidDiH-ca-iti /
   caśabdo yasmādarthe /	caSabdaH yasmAt-arTe /
   yata iyaṃ laukikī prasiddhiranādistato	yatas iyam lOkikI prasidDiH-anAdiH-tatas-
   bhagavadyvāsaprabhṛtīnāmapyayamevāsvaśabdābhidhāne āśayaḥ, anyathā hi	Bagavadi-vAsa-praBRtInAm-api-ayam-eva-asva-Sabda-aBiDAne ASayaH, anyaTA hi
   kriyākārakasambandhādau 'nārāyaṇaṃ namaskṛtye'tyādiśabdārthanirūpaṇe ca	kriyA-kAraka-sambanDa-AdO anArAyaNam namaskRtye-atyAdi-Sabda-arTa-nirUpaNe ca
   tathāvidha eva tasya bhagavata āśaya ityatra kiṃ pramāṇāmiti bhāvaḥ /	taTAviDaH eva tasya BagavataH ASayaH iti-atra kim pramANAm-iti BAvaH /
   vidagdhavidvadgrahaṇenakāvyanaye śāstranaya iti cānusṛtam /	vidagDa-vidvat-grahaNenaka-avya-naye SAstra-nayaH iti ca-anusRtam /
   rasādimaya etasmin kaviḥ syādavadhānavāniti yaduktaṃ, tadeva	rasa-Adi-mayaH etasmin kaviH syAt-avaDAnavAn-iti yat-uktaM, tat-eva
   prasaṅgāgatabhāratasambandhanirūpaṇānantaramupasaṃharati--tasmātsthitamiti	prasaFga-Agata-BArata-sambanDa-nirUpaNa-anantaram-upasaMharati---tasmAt-sTitam-iti
   bālapriyā 'gītādipradeśāntareṣu' ityādikaṃ vivṛṇoti locane--bahūnāmityādi	bAla-priyA agIta-Adi-pradeSa-antarezu-a iti-Adikam vivRNoti locane---bahUnAm-ityAdi
   kākatālīyavaśāditi yadṛcchayetyarthaḥ /	kAkatAlIya-vaSAt-iti yadRcCayA-iti-arTaH /
   ityatroktamiti sambandhaḥ /	iti-atra-uktam-iti sambanDaH /
   kāśikāvṛttāviti śeṣaḥ /	kASikA-vRttO=-iti SezaH /
   śāstranaye mokṣaḥ puruṣārthaḥ, kāvyanaye tu śānto rasa ityuktaṃ	SAstra-naye mokzaH puruza-arTaH, kAvya-naye tu SAntaH rasaH iti-uktam
   vivṛṇoti--tatretyādi /	vivRNoti--tatra-ityAdi /
   sādara iti /	sAdaraH iti /
   arha ityarthaḥ /	arhaH iti-arTaH /
   yasmādartha iti /	yasmAt-arTaH iti /
   hetvarthaka ityarthaḥ /	hetu-arTakaH iti-arTaH /
   ayameveti /	ayam-eva-iti /
   uktā vidagdhavidvatpariṣatprasiddhirevetyarthaḥ /	uktA vidagDa-vidvat-parizad-prasidDiH-eva-iti-arTaH /
   asvaśabdābhidhāne abhimatasyārthasya svaśabdenānabhidhāne /	asva-Sabda-aBiDAne aBimatasya-arTasya sva-Sabdena-anaBiDAne /
   āśayaḥ abhimato hetuḥ /	ASayaH aBimataH hetuH /
   atropaṣṭambhakamāha--anyathetyadi /	atra-upazwamBakam-Aha--anyaTA-iti-adi /
   'nārāyaṇaṃ namaskṛtye'tyādiślokeṣu nārāyaṇādyathasya	anArAyaNam namaskRtye-atyAdi-Slokezu nArAyaNAt-yaTasya
   kriyākārakabhāvādisambandhena namaskārādāvanvayo vivakṣitaḥ /	kriyA-kAraka-BAva-Adi-sambanDena namaskAra-AdO=-anvayaH vivakzitaH /
   evaṃ nārāyaṇādyathasya kriyākārakabhāvādisambandhena namaskārādāvanvayo	evam nArAyaNAt-yaTasya kriyA-kAraka-BAva-Adi-sambanDena namaskAra-AdO=-anvayaH-
   vivakṣitaḥ /	vivakzitaH /
   evaṃ nārāyaṇādipadānāṃ viṣṇvādayo 'rthāśca tadvivakṣā ca	evam nArAyaNa-Adi-padAnAm vizNu-AdayaH arTAH-ca tad-vivakzA ca
   tasmātsthitametat--aṅgibhūtarasādyāśrayeṇa kāvye kriyamāṇe navārthalābho	tasmAt-sTitam-etat---aFgi-BUta-rasa-Adi-ASrayeNa kAvye kriyamANe nava-arTa-lABaH-
   bhavati bandhacchāyā ca mahatī sampadyata iti /	Bavati banDa=-CAyA ca mahatI sampadyate iti /
   ata eva ca rasānuguṇārthaviśeṣopanibandhamalaṅkārāntaravirahe 'pi	atas eva ca rasa-anuguNa-arTa-viSeza-upanibanDam-alaFkAra-antara-virahe api
   chāyātiśayayogi lakṣye dṛśyate /	CAyA-atiSaya-yogi lakzye dRSyate /
   yathā-- munirjayati yogīndro mahātmā kumbhasambhavaḥ /	yaTA- muniH-jayati yogi-indraH mahAtmA kumBa-samBavaH /
   yenaikaculake dṛṣṭau tau divyau matsyakacchapau // //	yena-eka-culake dRzwO tO divyO matsya-kacCapO // //
   ityādau /	ityAdO /
   atra hyadbhūtarasānuguṇamekaculake matsyakacchapadarśanaṃ chāyātiśayaṃ	atra hyadBUta-rasa-anuguNam-eka-culake matsya-kacCapa-darSanam CAyA-atiSayam
   puṣṇāti /	puzNAti /
   tatra hyekaculake sakalajaladhisannidhānādapi	tatra hi-eka-culake sakala-jalaDi-sanniDAnAt-api
   divyamatsyakacchapadarśanamakṣuṇṇatvādadbhutarasānuguṇataram /	divya-matsya-kacCapa-darSanam-akzuNNa-tvAt-adButa-rasa-anuguNataram /
   kṣuṇṇaṃ hi vastu locanam ata iti /	kzuNNam hi vastu locanam atas iti /
   yata evaṃ sthitaṃ ata evedamapi yallakṣye dṛśyate, tadupapannamanyathā	yatas evam sTitam atas eva-idam-api yat-lakzye dRSyate, tad-upapannam-anyaTA
   tadanupapannameva, na ca tadanupapannam; cārutvena pratīteḥ /	tad-anupapannam-eva, na ca tad-anupapannam; cAru-tvena pratIteH /
   tasyāśyaitadeva kāraṇaṃ rasānuguṇārthatvamevetyāśayaḥ /	tasya-ASya-etat-eva kAraNam rasa-anuguNa-arTa-tvam-eva-iti-ASayaH /
   alaṅkārāntareti /	alaFkAra-antarA-iti /
   antaraśabdo viśeṣavācī /	antara-SabdaH viSeza-vAcI /
   yadi vā ditsite udāharaṇe rasavadalaṅkārasya	yadi vA ditsite udAharaNe rasavat-alaFkArasya
   vidyamānatvāttadapekṣayālaṅkārāntaraśabdaḥ /	vidyamAna-tvAt-tad-apekzayA-alaFkAra-antara-SabdaH /
   nanu matsyakacchapadarśanātpratīyamānaṃ yadekaculake jalanidhisannidhānaṃ	nanu matsya-kacCapa-darSanAt-pratIyamAnam yat-eka-culake jalaniDi-sanniDAnam
   tato munermāhātmyapratipattiriti na rasānuguṇenārthena	tatas muneH-mAhAtmya-pratipattiH-iti na rasa-anuguNena-arTena
   cchāyāpoṣitetyāśaṅkyāha--atra hīti /	cCAyA-pozitA-iti-ASaFkya-aha--atra hi-iti /
   nanvevaṃ pratīyamānaṃ jalanidhidarśanamevādbhutānuguṇaṃ bhavatviti	nanu-evam pratIyamAnam jalaniDi-darSanam-eva-adButa-anuguNam Bavatu-iti
   rasānuguṇo 'tra vācyo 'rtha ityasminnaṃśe	rasa-anuguNaH atra vAcyaH arTaH iti-asmin=-aMSe
   kathamidamudāharaṇamityāśaṅkyāha--tatreti /	kaTam-idam-udAharaNam-iti-ASaFkya-aha---tatra-iti /
   kṣuṇṇaṃ hīti /	kzuNNam hi-iti /
   punaḥ punarvarṇananirūpaṇādinā	punar punar-varNana-nirUpaNa-AdinA
   yatpiṣṭapiṣṭatvādatinirbhinnasvarūpamityarthaḥ /	yat-pizwa-pizwa-tvAt-ati-nirBinna-svarUpam-iti-arTaH /
   bahutaralakṣyavyāpakañcaitaditi bālapriyā lokaprasiddhyanurodhinīti bhāvaḥ	bahutara-lakzya-vyApa-kaQca-etat-iti bAlapriyA loka-prasidDi-anuroDinI-iti BAvaH
   'ata eve'tyādi 'dṛśyata' ityantaṃ vivṛṇoti--yata ityādi /	aatas eve-atyAdi adRSyata-a iti-antam vivRNoti--yate ityAdi /
   tasyā iti /	tasyAH iti /
   cārutvena pratīterityarthaḥ /	cAru-tvena pratIteH-iti-arTaH /
   'alaṅkārāntaravirahe 'pī'tyatrālaṅkārāntaraśabdaṃ dvedhā	aalaFkAra-antara-virahe apI-ati-atra-alaFkAra-antara-Sabdam dveDA
   vivṛṇoti--alaṅkārāntaraśabda ityādi /	vivRNoti--alaFkAra-antara-SabdaH ityAdi /
   itīti hetau /	iti-iti hetO /
   netyādi /	na-ityAdi /
   kintūktena byaṅgyenaiva chāyā poṣiteti bhāvaḥ /	kintu-uktena byaFgyena-eva CAyA pozitA-iti BAvaH /
   vṛttau--'adbhūtarasānuguṇam' iti /	vRtta-o---aadBUta-rasa-anuguNam-a iti /
   munyālambitasyādbhatarasasyānuguṇamityarthaḥ /	muni-AlambitasyAt-Bata-rasasya-anuguNam-iti-arTaH /
   kākatālīyeneti bhāvārthavivaraṇam /	kAkatAlIyena-iti BAva-arTa-vivaraNam /
   'pratilagna' iti /	apratilagna-a iti /
   nāyakapārśvena sambandha ityarthaḥ /	nAyaka-pArSvena sambanDaH iti-arTaH /
   asītyavyayaṃ tvamityarthe /	asi-iti-avyayam tvam-iti-arTe /
   he subhaga tvaṃ yena tasyā yena pārśveṇa atikrāntaḥ, tasyāḥ rathyā	he suBaga tvam yena tasyAH yena pArSveNa atikrAntaH, tasyAH raTyA
   tulāgrapratilagnassa pārśvo 'dyāpi svidyatītyādyanvayaḥ /	tulA-agra-pratilagnaH-sa pArSvaH adya-api svidyati-iti-Adi-anvayaH /
   'paraspare'ti /	aparaspare-ati /
   pārśvasambandhātikramaṇena nāyakagatasyāpyanurāgasya pratīteriti bhāvaḥ /	pArSva-sambanDa-atikramaNena nAyaka-gatasya-api-anurAgasya pratIteH-iti BAvaH /
   lokaprasidydhādbhūtamapi nāścaryakāri bhavati /	lokaprasidyDAt-BUtam-api na-AScarya-kAri Bavati /
   na cākṣuṇṇaṃ vastūpanibadhyamānamadbhutarasasyaivānuguṇaṃ	na cAkzuNNam vastu-upanibaDyamAnam-adButa-rasasya-eva-anuguNam
   yāvadrasāntarasyāpi /	yAvat-rasa-antarasya-api /
   tadyathā-- sijjai romañcijjai vevai ratthātulaggapaḍilaggo /	tat-yaTA- sijjEH romaQcijjEH vevEH ratTa-atu-lagga-paxilaggaH /
   sopāso ajja vi suhaa jeṇāsi volīṇo // //	sa-upAsaH ajja vi suhaa jeNAsi vA-ulINaH // //
   etadgāthārthādbhāvyamānādyā rasapratītirbhavati, sā tvāṃ spṛṣṭvā svidyati	etat-gATArTAt-BAvya-mAna-AdyA rasa-pratItiH-Bavati, sA tvAm spRzwvA svidyati
   romāñcate vepate ityevaṃvidhādarthātpratīyamānānmanāgapi no jāyate /	romAQcate vepate iti-evaMviDAt-arTAt-pratIyamAnAt-manAk-api naH jAyate /
   tadevaṃ dhvaniprabhedasamāśrayeṇa yathā kāvyārthānāṃ navatvaṃ jāyate tathā	tat-evam Dvani-praBeda-samASrayeNa yaTA kAvya-arTAnAm nava-tvam jAyate taTA
