   prastāvanā /	prastAvanA /
   atra rajanikarakarasaṃparke sati kamalasya saṃkocāvalokanādvikāśitvaṃ	atra rajanikara-kara-saMparke sati kamalasya saMkoca-avalokanAt-vikASi-tvam
   bahirasaṃbhavadapi kaviprajāpatinā pratibhopajanitena svavyāpāreṇa	bahis-asaMBavat-api kavi-prajApatinA pratiBA-upajanitena sva-vyApAreNa
   saṃbhavadrūpatayā pradarśitam /	saMBavat-rUpa-tayA pradarSitam /
   ato 'tra saṃbhāvyamānārthanibandhaḥ /	atas atra saMBAvyamAna-arTa-nibanDaH /
   tasya ca lokātikrāntagocarasyārthasya saṃbhāvanāyā nimittaṃ	tasya ca loka-atikrAnta-gocarasya-arTasya saMBAvanAyAH nimittam
   bhagavatīkarādhāratayā muktāphalākṣamālāvalokanam /	BagavatI-kara-ADAra-tayA muktAPala-akza-mAlA-avalokanam /
   tathāhi-ayaṃ tāvallokātikrānto 'paridṛṣṭapūrvo 'smābhiḥ	taTA-hi-ayam tAvat-loka-atikrAntaH aparidRzwa-pUrvaH asmABiH
   gaurīkaramuktāphalākṣamālayorādhārādheyabhāvo 'valokitaḥ /	gOrIkara-muktAPala-akza-mAlayoH-ADAra-ADeya-BAvaH avalokitaH /
   tatsajātīyasya padmasya vikāśinaścandrakarāṇāṃ ca yadyādhārādheyabhāvaḥ	tad-sajAtIyasya padmasya vikASinaH-candra-karANAm ca yadi-ADAra-ADeya-BAvaH
   syāttadātropamānopameyabhāvo bhavediti saṃbhāvanā pravṛttā /	syAt-tadA-atra-upamAna-upameya-BAvaH Bavet-iti saMBAvanA pravRttAH /
   ato 'tra sajātīyapadārthadarśanādbaharasaṃbhavadapi vastu	atas atra sajAtIya-padArTa-darSanAt-bahara-saMBavat-api vastu
   saṃbhavadrūpatayopavarṇyate /	saMBavat-rUpatayA-upavarNyate /
   ekasmin khalu padārthe paridṛṣṭe anyasminnanavalokite 'pi	ekasmin Kalu padArTe paridRzwe anyasmin=-anavalokite api
   tatsajātīyasaṃbhāvanā pravartate /	tad-sajAtIya-saMBAvanA pravartate /
   yathā dākṣiṇātyasyaikasminnuṣṭre paridṛṣṭe	yaTA dAkziNAti-asya-ekasmin=-uzwre paridRzwe
   satyaparidṛṣṭoṣṭrāntarasaṃbhāvanā /	satya-paridRzwa-uzwra-antara-saMBAvanA /
   ato 'tra saṃbhāvanā sanimittā /	atas atra saMBAvanA sa-nimittAH /
   anena ca prakāreṇātropamānābhāvaḥ prakṛtasya vastunaḥ pradarśyate	anena ca prakAreNa-atra-upamAna-aBAvaH prakRtasya vastunaH pradarSyate
   nāstyanyatkiṃcidasyopamānamiti /	na-asti-anyat-kiMcid-asya-upamAnam-iti /
   ata eva saṃbhāvyamānatayārthasyopanibaddhasya nirācikīrṣayā yadiśabdaḥ	atas eva saMBAvyamAna-tayA-arTasya-upanibadDasya nirAcikIrzayA yadi-SabdaH
   prayuktaḥ /	prayuktaH /
   yadiśabdena hyatrāśaṅkā dyotyate /	yadi-Sabdena hi-atra-ASaFkA dyotyate /
   āśaṅkā cāniścitasadbhāve vastuni bhavati /	ASaFkA ca-aniScita-sadBAve vastuni Bavati /
   yaccāniścitasadbhāvaṃ kavivedhasā saṃbhavadrūpatayopadarśitaṃ vastu tasya	yat-ca-aniScita-sadBAvam kavi-veDasA saMBavat-rUpa-tayA-upadarSitam vastu tasya
   purāṇaprajāpatinirmitapadārthaviṣayāyā tadviruddhayā lokapratītyā	purANa-prajApati-nirmita-padArTa-vizayAyA tad-virudDayA loka-pratItyA
   yānnirākriyamāṇatvaṃ tāvannirupamatvaṃ pratīyate /	yAn-nirAkriyamANa-tvam tAvat-nirupama-tvam pratIyate /
   evamayaṃ tṛtīyo bhedaḥ /	evam-ayam tRtIyaH BedaH /
   caturthastu----	caturTaH-tu----
   manye ca nipatantyasyāḥ kaṭākṣā dikṣu pṛṣṭhataḥ /	manye ca nipatanti-asyAH kawAkzAH dikzu pRzWatas /
   prāyeṇāgre tu gacchanti smarabāṇaparamparāḥ // UKss_2.*16 //	prAyeNa-agre tu gacCanti smara-bANa-paramparAH // UKsH-_2.*16 //
   atra dikṣu kaṭākṣapātaḥ kāraṇam /	atra dikzu kawAkza-pAtaH kAraNam /
   smarabāṇaparamparāgamanaṃ tu kāryam /	smara-bANa-paramparA-Agamanam tu kAryam /
   kāryakāraṇayostu kāraṇasya naisargikaṃ prāgbhāvitvaṃ kāryasya tu	kArya-kAraNayoH-tu kAraNasya nEsargikam prAk-BAvi-tvam kAryasya tu
   paścādbhāvitvam /	paScAt-BAvi-tvam /
   iha tu viparyayaḥ /	iha tu viparyayaH /
   kāryasya prāgbhāvenopanibandhanāt /	kAryasya prAgBAvena-upanibanDanAt /
   paścādbhāvitatvena ca kāraṇasya kaṭākṣā dikṣu pṛṣṭhataḥ paścāt patanti	paScAt-BAvita-tvena ca kAraNasya kawAkzAH dikzu pRzWatas paScAt patanti
   agre smarabāṇaparamparā gacchantīti atra nimittaṃ (anu) kāryasya	agre smara-bANa-paramparA gacCanti-iti atra nimittam (anu) kAryasya
   śīghramevotpādaḥ /	SIGram-eva-utpAdaH /
   tenedaṃ nimittato lokātikrāntagocaraṃ vacanam /	tena-idam nimittataH loka-atikrAnta-gocaram vacanam /
   ato 'taśayoktiḥ //	atas ataSayoktiH //
   iti	iti
   mahāśrīpratīhārendurājaviracitāyāmudbhaṭālaṅkārasārasaṃgrahalaghuvṛttau	mahA-SrI-pratIhAra-indu-rAja-viracitAyAm-udBawa-alaFkAra-sAra-saMgraha-laGu-vRttO
   dvitīyo vargaḥ //	dvitIyaH vargaH //
   atha tṛtīyo vargaḥ /	aTa tRtIyaH vargaH /
   yathāsaṃkhyamathotprekṣāṃ svabhāvoktiṃ tathaiva ca /	yaTAsaMKyam-aTa-utprekzAm svaBAva-uktim taTA-eva ca /
   apare trīnalaṅkārān girāmāhuralaṅkṛtau // UKss_3.1 //	apare trIn-alaFkArAn girAm-AhuH-alaFkRtO // UKsH-_3.1 //
   yathāsaṃkhyam----	yaTAsaMKyam-----
   bhūyasāmupadiṣṭānāmarthānāmasadharmaṇām /	BUyasAm-upadizwAnAm-arTAnAm-asaDarmaNAm /
   kramaśo yo 'nunirdeśo yathāsaṃkhyaṃ taducyate // UKss_3.2 //	kramaSas yaH anunirdeSaH yaTAsaMKyam tat-ucyate // UKsH-_3.2 //
   pūrvamuddiṣṭānāmarthānāṃ yadā krameṇārthāntarāṇyanunirdiśyante tadā	pUrvam-uddizwAnAm-arTAnAm yadA krameNa-arTa-antarANi-anunirdiSyante tadA
   yathāsaṃkhyākhyo 'laṅkāraḥ /	yaTA-saMKya-AKyaH alaFkAraH /
   tatra hi saṃkhyopalakṣitakramānatikrameṇa śabdenānupātto 'pi	tatra hi saMKyA-upalakzita-kramAnatikrameNa Sabdena-anupAttaH api
   padārthānāmanvayaḥ samāśrīyate /	padArTAnAm-anvayaH samASrIyate /
   ato yathākramaṃ padārthānāmanvayadhvananādetasyālaṅkārasya yathāsaṃkhyatā	atas yaTAkramam padArTAnAm-anvaya-DvananAt-etasya-alaFkArasya yaTA-saMKya-tA
   sa cālaṅkāro bahūnāmalpaśo 'pyupanibadhyamāno yataḥ śobhābaddho bhavati	sa ca-alaFkAraH bahUnAm-alpaSas api-upanibaDyamAnaH yatas SoBA-badDaH Bavati
   ato bhūyasāmityuktam /	atas BUyasAm-iti-uktam /
   dvayorhi tasyopanibadhyamānasya yāvaccaturguṇatvādirūpatayopanibandho na	dvayoH-hi tasya-upanibaDyamAnasya yAvat-catur-guNa-tva-Adi-rUpa-tayA-upanibanDaH na
   kṛtaḥ tāvacchobhopetatvaṃ na bhavati /	kRtaH tAvat-SoBa-upeta-tvam na Bavati /
   bhūyasāṃ punararthānāṃ tadyathāsaṃkhyamalpenaiva prayāsenaramyaṃ bhavati /	BUyasAm punar-arTAnAm tat-yaTA-saMKyam-alpena-eva prayAsena-ramyam Bavati /
   tatra hi tasya dviguṇasya triguṇasya vopanibandhe śobhātiśayo jāyate /	tatra hi tasya dviguNasya triguNasya vA-upanibanDe SoBA-atiSayaH jAyate /
   taduktam---	tat-uktam----
   taddviguṇaṃ triguṇaṃ vā bahuṣūddiṣṭeṣu jāyate ramyam /	tad-dviguNam triguNam vA bahuzu-uddizwezu jAyate ramyam /
   yatteṣu pathaiva tato dvayostu bahūśo nibadhnīyāt //	yat-tezu paTA-eva tatas dvayoH-tu bahUSaH nibaDnIyAt //
   iti /	iti /
   nanu "mṛṇālahaṃse"tyādāvupavarṇayiṣyamāṇe udāharaṇe mṛṇālādibhya	nanu "mRNAla-haMse"ti-AdO=-upavarNayizyamANe udAharaNe mRNAla-AdiBya
   upamānebhyo bāhvādīnāmupameyānāṃ viśeṣakhyāpanādyvatirekālaṅkāreṇa	upamAneByaH bAhu-AdInAm-upameyAnAm viSeza-KyApana-Adi-vatireka-alaFkAreNa
   sahṛdayahṛdayāṇyāvarjyante, na tu yathāsaṃkhyena /	sahRdaya-hRdayANi-Avarjyante, na tu yaTA-saMKyena /
   tatkathaṃ yathāsaṃkhyamalaṅkāra ityāśaṅkyoktam--"asadharmaṇāmiti" /	tat-kaTam yaTAsaMKyam-alaFkAraH iti-ASaFkya-uktam---"asaDarmaNAm-iti" /
   yatrāpi hi sādharmyabhāvādupamānopameyabhāvābhāvena	yatra-api hi sADarmya-BAvAt-upamAna-upameya-BAva-aBAvena
   vyatirekāderupanibandhābhāvastatrāpyayaṃ śobhātiśayamāvahatītyarthaḥ /	vyatireka-AdeH-upanibanDa-aBAvaH-tatra-api-ayam SoBA-atiSayam-Avahati-iti-arTaH /
   yathā----	yaTA----
   kajjalahimakanakarucaḥ suparṇavṛṣahaṃsavāhanāḥ śaṃ naḥ /	kajjala-hima-kanaka-rucaH suparNa-vRza-haMsa-vAhanAH Sam naH /
   jalanidhigiripadmasthā hariharacaturānanā dadatu //	jalaniDi-giri-padma-sTAH hari-hara-caturAnanAH dadatu //
   iti /	iti /
   atra hi hariprabhṛtīnāṃ trayāṇāmuddiṣṭānāṃ	atra hi hari-praBRtInAm trayANAm-uddizwAnAm
   kajjalaruktvasuparṇavāhanatvajalanidhisthatvādayo dharmāḥ	kajjala-ruj-tva-suparNa-vAhana-tva-jalaniDi-sTa-tva-AdayaH DarmAH
   krameṇānunirdiṣṭāḥ /	krameNa-anunirdizwAH /
   na ca tatra parasparasādharmyaṃ vidyate /	na ca tatra paraspara-sADarmyam vidyate /
   atha ca kramaparyālocanayā arthānāmānurūpyeṇa samanvayapratīteḥ	aTa ca krama-paryAlocanayA arTAnAm-AnurUpyeNa samanvaya-pratIteH
   śobhātiśayo vidyate /	SoBA-atiSayaH vidyate /
   tenāsya sādharmyādyabhāve 'pi pṛthagalaṅkāratāpratilambhādyatra	tena-asya sADarmya-Adi-aBAve api pRTak-alaFkAra-tA-pratilamBAt-yatra
   sādharmyādi vidyate tatrāpyalaṅkāratvaṃ durnivāram /	sADarmya-Adi vidyate tatra-api-alaFkAra-tvam durnivAram /
   ato "mṛṇālahaṃse"tyādike udāharaṇe yathāsaṃkhyamaṅgabhūtaṃ	atas "mRNAla-haMse"ti-Adike udAharaNe yaTAsaMKyam-aFga-BUtam
   vyatirekālaṅkārasya draṣṭavyam /	vyatireka-alaFkArasya drazwavyam /
   tenāyamaṅgāṅgibhāve saṅkaraḥ /	tena-ayam-aFga-aFgi-BAve saFkaraH /
   yadvakṣyati "parasparopakāreṇa yatrālaṅkṛtayaḥ sthitāḥ /	yat-vakzyati "paraspara-upakAreNa yatra-alaFkRtayaH sTitAH /
   svātantryeṇātmalābhaṃ no labhante so 'pa saṅkaraḥ" //	svAtantryeNa-Atma-lABam naH laBante saH apa saFkaraH" //
   iti /	iti /
   ato yathāsaṃkhyaṃ pṛthagalaṅkāratvenopadeṣṭavyam /	atas yaTAsaMKyam pRTak-alaFkAra-tvena-upadezwavyam /
   tasyodāharaṇam-----	tasya-udAharaNam------
   mṛṇālahaṃsapadmāni bāhucaṅkramaṇānanaiḥ /	mRNAla-haMsa-padmAni bAhu-caFkramaNa-AnanEH /
   nirjayantyānayā vyaktaṃ nalinyaḥ sakalā jitāḥ // UKss_3.*1 //	nirjayanti-AnayA vyaktam nalinyaH sakalAH jitAH // UKsH-_3.*1 //
   atra bāhucaṅkramaṇānanānāmuddiṣṭānāṃ yathākramaṃ	atra bAhu-caFkramaNa-AnanAnAm-uddizwAnAm yaTAkramam
   mṛṇālahaṃsapadmānyanunirdiṣṭāni /	mRNAla-haMsa-padmAni-anunirdizwAni /
   tadvaśena ca śabdānupāttasyāpi tadanvayasya garbhīkṛtatvena	tad-vaSena ca Sabda-anupAttasya-api tad-anvayasya garBIkRta-tvena
   vakrabhaṇitisadbhāvādyathāsaṃkhyamalaṅkāraḥ //	vakra-BaNiti-sadBAvAt-yaTA-saMKyam-alaFkAraH //
   utprekṣā---	utprekzA---
   sāmyarūpāvivakṣāyāṃ vācyevādyātmabhiḥ padaiḥ /	sAmya-rUpa-avivakzAyAm vAci-eva-Adya-AtmaBiH padEH /
   atadguṇakriyāyogādutprekṣātiśayānvitā // UKss_3.3 //	atad-guNa-kriyA-yogAt-utprekzA-atiSaya-anvitA // UKsH-_3.3 //
   yatrevādipadanibandhaḥ sāmyasya ca rūpaṃ na vivakṣyate tatrotprekṣākhyo	yatra-iva-Adipada-nibanDaH sAmyasya ca rUpam na vivakzyate tatra-utprekzA-AKyaH-
   'laṅkāraḥ /	alaFkAraH /
   nanvevaṃ satyasaṃbhavo nāma lakṣaṇadoṣaḥ prāptaḥ /	nanu-evam satya-saMBavaH nAma lakzaNa-dozaH prAptaH /
   dyotyasyopamānopameyabhāvasyābhāve sati	dyotyasya-upamAna-upameya-BAvasya-aBAve sati
   ivādīnāmaprayogaprasaṅgādityāśaṅkyoktaṃ "atadguṇakriyāyogādi"ti /	iva-AdInAm-aprayoga-prasaFgAt-iti-ASaFkya-uktam "atadguNa-kriyA-yoga-Adi"ti /
   dravyadharmaḥ siddho guṇaḥ /	dravya-DarmaH sidDaH guNaH /
   sādhyasvabhāvastu kriyā /	sADya-svaBAvaH-tu kriyA /
   idaṃ khalu viśvaṃ	idam Kalu viSvam
   svatantraparatantrapadārthātmakatvāddvavidham /	svatantra-paratantra-padArTa-Atmaka-tvAt-dvaviDam /
   yaśca svatantraḥ padārthaḥ sa dharmītyabhidhīyate /	yaH-ca svatantraH padArTaH sa DarmI-iti-aBiDIyate /
   tacca idaṃ taditi sarvanāmapratyavamarśayogyatvāddravyam /	tat-ca idam tat-iti sarvanAma-pratyavamarSa-yogya-tvAt-dravyam /
   paratantrasya padārthasya dharmarūpatā /	paratantrasya padArTasya Darma-rUpa-tA /
   tasya ca dvaividhyam /	tasya ca dvEviDyam /
   siddhasādhyatābhedāt /	sidDa-sADyatA-BedAt /
   tatra yaḥ siddho dharmaḥ sa guṇaḥ /	tatra yaH sidDaH DarmaH sa guNaH /
   yastu sādhyaḥ sā kriyā /	yaH-tu sADyaH sA kriyA /
   etāvantaśca laukikāḥ padārthāḥ /	etAvantaH-ca lOkikAH padArTAH /
   sāmānyādīnāmatraiva pratītikena rūpeṇāntarbhūtatvāt /	sAmAnya-AdInAm-atra-eva pratItikena rUpeNa-antar-BUta-tvAt /
   atra asauprakṛto yor'thastasya ye kriyāguṇā	atra asOprakRtaH yor-aTaH-tasya ye kriyA-guNA
   anantaroktalakṣaṇāstadyogātsāmyarūpāvivakṣāyāmapi	anantara-ukta-lakzaNAH-tad-yogAt-sAmya-rUpa-avivakzAyAm-api
   ivādiśabdapravṛttiravaraddhā /	iva-Adi-Sabda-pravRttiH-avaradDA /
   yatra kilopamānopameyabhāvena sāmyaṃ tatropamānasādṛśyādupamānavartināṃ	yatra kila-upamAna-upameya-BAvena sAmyam tatra-upamAna-sAdRSyAt-upamAna-vartinAm
   kriyāguṇānāṃ upameyapratītirbhavati /	kriyA-guNAnAm upameya-pratItiH-Bavati /
   utprekṣāyāmapi ca yo 'sāvasaḥ aprakṛtastasya ye kriyāguṇāste	utprekzAyAm-api ca yaH asOvasaH aprakRtaH-tasya ye kriyA-guNAH-te
   tasminnaprakṛte vastunyupamānatayānulliṅgite 'pi prakṛte vastunyāsajyante	tasmin=-aprakRte vastuni-upamAna-tayA-anulliFgite api prakRte vastuni-Asa-jyante
   tenātadguṇakrayāyogādasyā ivādivācyatvam /	tena-Atad-guNa-kraya-ayogAt-asyAH iva-Adi-vAcya-tvam /
   ata evānyadharmāṇāṃ svadharmibhūtādvastuna utkalitānāṃ	atas eva-anya-DarmANAm svaDarmi-BUtAt-vastunaH utkalitAnAm
   rasabhāvadyabhivyaktayanuguṇatayāvastvantarādhyastatvena	rasa-BAva-dya-Bivyakta-yanu-guNa-tayA-avastu-antara-aDyasta-tvena
   labdhaprakarṣāṇāmīkṣaṇādiyamutprekṣā /	labDa-prakarzANAm-IkzaNAt-iyam-utprekzA /
   nanvevamapi sutarāmasaṃbhavaḥ /	nanu-evam-api sutarAm-asaMBavaH /
   na hi vastvantaradharmā vastvantare samāsaktuṃ śakyā	na hi vastu-antara-DarmA vastu-antare samAsaktum SakyA
   ityāśaṅkyoktam---atiśayānviteti /	iti-ASaFkya-uktam----atiSaya-anvitA-iti /
   purāṇaprajāpativahitarūpavaparyāsena kavivedhasā padārthasya	purANa-prajApati-vahita-rUpavaparyAsena kavi-veDasA padArTasya
   guṇātiśayavivakṣayā rūpāntaramapyāsaktuṃ śakyata ityarthaḥ /	guNa-atiSaya-vivakzayA rUpa-antaram-api-Asaktum Sakyate iti-arTaH /
   iyaṃ cotprekṣā bahirasaṃbhavataḥ padārthasya	iyam ca-utprekzA bahis-asaMBavataH padArTasya
   saṃbhavadrūpatayopavarṇanāllokātikrāntaviṣayā saṃbhāvanā /	saMBavat-rUpa-tayA-upavarNanAt-loka-atikrAnta-vizayA saMBAvanA /
   tasyāśca dvaividhyam, bhāvasyābhāvasya ca bahirasaṃbhavata	tasyAH-ca dvEviDyam, BAvasya-aBAvasya ca bahis-asaMBavata
   upavarṇyamānatvāt /	upavarNyamAna-tvAt /
   tadāha----	tat-Aha----
   lokātikrāntaviṣayā bhāvābhāvābhimānataḥ /	loka-atikrAnta-vizayAH BAva-aBAva-aBimAnataH /
   saṃbhāvaneyamutprekṣā	saMBAvanA-iyam-utprekzA
   yeyaṃ lokātikrāntaviṣayā saṃbhāvanā utprekṣā sā bhāvasyābhāvasya	yA-iyam loka-atikrAnta-vizayA saMBAvanA utprekzA sA BAvasya-aBAvasya
   cābhimānāt dvaividhyaṃ bhajata ityarthaḥ /	ca-aBimAnAt dvEviDyam Bajate iti-arTaH /
   nanvivādyupanibandhe sati yadyutprekṣā bhavatatyucyate /	nanu-iva-Adi-upanibanDe sati yadi-utprekzA Bavatati-ucyate /
   evaṃ sati "candanāsaktabhujaganiśvāsānilamūrcchitaḥ /	evam sati "candana-Asakta-Bujaga-niSvAsa-anila-mUrcCitaH /
   mūrcchayatyeṣa pathikānmadhau malayamārutaḥ" //	mUrcCayati-eza paTikAn-maDO malaya-mArutaH" //
   ityevamādāvivāderaprayogādutaprekṣātvābhāvaprasaṅga ityāśaṅkyāha-----	iti-evamAdOviva-AdeH-aprayoga-aduta-prekzA-tva-aBAva-prasaFgaH iti-ASaFkya-aha-----
   vācyevādibhirucyate // UKss_3.4 //	vAci-eva-AdiBiH-ucyate // UKsH-_3.4 //
   dvividhā khalūtprekṣā /	dviviDA KalUt-prekzA /
   kācidivādiprayoge sati bhavati,	kAcid-iva-Adi-prayoge sati Bavati,
   kācittvaprayujyamāneṣvapīvādīṣvarthasāmarthyādagamyamāneṣu /	kAcid-tva-prayujyamAnezu-api-ivAdIzu-arTa-sAmarTyAt-agamyamAnezu /
   tatra yā vācyā svakaṇṭhenevādibhirvaktavyā sā ivādībhirucyate /	tatra yA vAcyA sva-kaNWena-iva-AdiBiH-vaktavyA sA iva-AdIBiH-ucyate /
   yā tvarthasāmarthyakṣiptairivādibhiravagamte tatrevādīnāmaprayogaḥ /	yA tu-arTa-sAmarTya-kziptEH-iva-AdiBiH-avagamte tatra-iva-AdInAm-aprayogaH /
   'candanāsaktabhujaga'ityādau ca malayamārutasya	acandana-Asakta-Bujaga-aityAdO ca malaya-mArutasya
   yadetanmanmathāvirbhāvanibandhanatvātpathikamūrcchāhetutvaṃ tatra	yat-etat-manmaTa-AvirBAva-nibanDana-tvAt-paTika-mUrcCA-hetu-tvam tatra
   bhujaganiśvāsamūrcchitatve kāraṇatvenotprekṣyamāṇe	Bujaga-niSvAsa-mUrcCita-tve kAraNa-tvena-utprekzyamANe
   ivādyarthor'thasāmarthyādavagamyate /	iva-Adi-arTor-aTa-sAmarTyAt-avagamyate /
   tenevādīnāmaprayogaḥ /	tena-iva-AdInAm-aprayogaH /
   ivādiśabdasāmarthyāvaseyāyāmevotprekṣāyāmivādīnāṃ prayogāt /	iva-Adi-Sabda-sAmarTya-avaseyAyAm-eva-utprekzAyAm-iva-AdInAm prayogAt /
   tatra bhāvābhimānenotprekṣāyāṃ tasyā guṇayogādhyāsena pravṛttāyā	tatra BAva-aBimAnena-utprekzAyAm tasyAH guNa-yoga-aDyAsena pravRttAyAH-
   udāharaṇam---	udAharaNam---
   asyāḥ sadārkabimbasthadṛṣṭipītātapairjapaiḥ /	asyAH sadA-arka-bimba-sTa-dRzwi-pIta-AtapEH-japEH /
   śyāmikāṅkena patitaṃ mukhe candrabhramādiva // UKss_3.*2 //	SyAmikA-aFkena patitam muKe candra-BramAt-iva // UKsH-_3.*2 //
   asyā mukhe japairhetubhūtaiḥ śyāmikāṅkena patitamiti saṃbandhaḥ /	asyAH muKe japEH-hetu-BUtEH SyAmikA-aFkena patitam-iti saMbanDaH /
   atra japāsaktā bhagavatī arkamavalokayatīti tasyāḥ śaśāṅkasadṛse mukhe	atra japa-AsaktA BagavatI arkam-avalokayati-iti tasyAH SaSAFka-sadRse muKe
   śyāmikā saṃjātā /	SyAmikA saMjAtAH /
   taccātra tasyāḥ śyamikāyā janma atiśayoktyā pātarūpatayā pratipāditaṃ	tat-ca-atra tasyAH SyamikAyAH janma atiSaya-uktyA pAta-rUpa-tayA pratipAditam
   patitamiti /	patitam-iti /
   sā cātra śyāmika śaśilāñchanena śaśena tulyā /	sA ca-atra SyAmika SaSi-lAQCanena SaSena tulyA /
   atastasyāḥ śaśilāñchanaśaśatulyatvādupasarjanopameyaṃrūpakaṃ śyāmikaivāṅka	atas-tasyAH SaSi-lAn-Cana-SaSa-tulya-tvAt-upasarjana-upameyaMrUpakam SyAmikA-eva-aFka
   ityupanibaddham /	iti-upanibadDam /
   tasya cāṅkasya śyāmikoparaktasya bhagavatīvadananipāte	tasya ca-aFkasya SyAmikA-uparaktasya BagavatI-vadana-nipAte
   kāraṇatvenendubhrāntirutprekṣitā /	kAraNa-tvena-indu-BrAntiH-utprekzitA /
   yadetacchaśino lāñchanaṃ śyāmikārūpaṃ tadbhagavatīvadana indubhrāntyeva	yat-etat-SaSinaH lAQCanam SyAmikA-rUpam tat-BagavatI-vadanaH indu-BrAnti-A-iva
   nipatitamiti /	nipatitam-iti /
   indubhrāntiśca guṇaḥ /	indu-BrAntiH-ca guNaH /
   siddharūpatve sati dravyadharmatvāt /	sidDa-rUpa-tve sati dravya-Darma-tvAt /
   evaṃ cātra śaśasadṛśī śyāmikā caitanyaśūnyatvena	evam ca-atra SaSa-sadRSI SyAmikA cEtanya-SUnya-tvena
   bhagavatīvadanamindubhrāntyā na gocarīkaroti /	BagavatI-vadanam-indu-BrAntyA na gocarIkaroti /
   atha ca tasyāḥ śaśabhāvamāpāditāyā indubhramalakṣaṇena cetanadharmeṇa	aTa ca tasyAH SaSa-BAvam-ApAditAyAH indu-Brama-lakzaNena cetana-DarmeNa
   saṃbandho nibaddhaḥ /	saMbanDaH nibadDaH /
   tenātra tasya vastvantarasya cetanasya yo 'sau guṇo	tena-atra tasya vastu-antarasya cetanasya yaH asO guNa-u
   bhramalakṣaṇastadyogādivādeḥ pravṛttiḥ /	Brama-lakzaNaH-tad-yoga-At-iva-AdeH pravRttiH /
   indubhramaśca bhāvarūpo guṇaḥ śaśīkṛtaśyamikākartṛkatayā kavinibaddhena	indu-BramaH-ca BAva-rUpaH guNaH SaSIkRta-SyamikA-kartRka-tayA kavi-nibadDena
   vaktrā bhagavatābhimānenādhyavasitaḥ /	vaktrA BagavatA-aBimAnena-aDyavasitaH /
   teneyamatadguṇayogena bhāvābhimānena utprekṣā /	tena-iyam-atad-guNa-yogena BAva-aBimAnena utprekzA /
   evaṃ kriyāyogādhyāsādbhāvābhimānena yotprekṣā tasyāmudāhāryam /	evam kriyA-yoga-aDyAsAt-BAva-aBimAnena yotprekzA tasyAm-udAhAryam /
   abhāvaviṣayāyāḥ punaḥ kriyādhyāsena pravṛttāyāstasyā udāharaṇam----	aBAva-vizayAyAH punar kriyA-aDyAsena pravRttAyAH-tasyAH udAharaNam-----
   kapolaphalakāvasyāḥ kaṣṭaṃ bhūtvā tathāvidhau /	kapola-Pala-kO=-asyAH kazwam BUtvA taTAviDO /
   apaśyantāvivānyonyamīdṛkṣāṃ kṣāmatāṃ gatau // UKss_3.*3 //	apaSyantO=-iva-anyoni-amIdRkzAm kzAma-tAm gatO // UKsH-_3.*3 //
   atra kapolaphalakayostapovaśāt kṣāmatvamāpannayoḥ	atra kapola-PalakayoH-tapaH-vaSAt kzAma-tvam-ApannayoH
   parasparādarśanamabhāvarūpaṃ sādhyatvāt kriyārūpakṣāmatāyāṃ	paraspara-adarSanam-aBAva-rUpam sADya-tvAt kriyA-rUpakzAma-tAyAm
   kāraṇatayotprekṣitam /	kAraNatayA-utprekzitam /
   teneyamataktriyāyogādabhāvābhimānenotprekṣā /	tena-iyam-ataktriyA-yogAt-aBAva-aBimAnena-utprekzA /
   evamatadguṇayogādabhāvābhimānena yā utprekṣā tasyāmudāhāryam /	evam-atad-guNa-yogAt-aBAva-aBimAnena yA utprekzA tasyAm-udAhAryam /
   svabhāvoktiḥ----	svaBAvoktiH----
   kriyāyāṃ saṃpravṛttasya hevākānāṃ nibandhanam /	kriyAyAm saMpravRttasya hevAkAnAm nibanDanam /
   kasyacinmṛgaḍimbhādeḥ svabhāvoktirudāhṛtā // UKss_3.5 //	kasyacid-mRgaximBa-AdeH svaBAva-uktiH-udAhRtA // UKsH-_3.5 //
   bhṛgabālādeḥ svasamucite vyāpāre pravṛttasya ye hevākāḥ	BRga-bAla-AdeH sva-samucite vyApAre pravRttasya ye hevAkAH
   svajātyānurūpyeṇābhiniveśaviśeṣāstadupanibandhaḥ svabhāvoktiḥ /	sva-jAti-AnurUpyeNa-aBiniveSa-viSezAH-tad-upanibanDaH svaBAva-uktiH /
   tasyāścālaṅkāratvamasādhāraṇapadārthasvarūpadhvananāt /	tasyAH-ca-alaFkAra-tvam-asADAraNa-padArTa-svarUpa-DvananAt /
   tasyā udāharaṇam-----	tasyAH udAharaNam------
   kṣaṇaṃ naṃṣṭvārdhavalitaḥ śṛṅgeṇāgre kṣaṇaṃ nudan /	kzaNam naMzwvA-arDa-valitaH SRFgeNa-agre kzaNam nudan /
   lolīkaroti praṇayādimāmeṣa mṛgārbhakaḥ // UKss_3.*4 //	lolIkaroti praNaya-At-imAm-eza mRgArBakaH // UKsH-_3.*4 //
   naṃṣṭvaṃti /	naMzwvaMti /
   'jāntanaśāṃ vibhāṣā'ityanunāsikalopasya vikalpitatvādapravṛttiḥ /	ajAntanaSAm viBAzA-aiti-anunAsika-lopasya vikalpita-tvAt-apravRttiH /
   atra mṛgapotakasya mātaramiva vatsalāṃ bhagavatīṃ praṇayanirbhareṇa cerasā	atra mRga-potakasya mAtaram-iva vatsalAm BagavatIm praNaya-nirBareNa ca-IrasA
