   akrodhādyāś ca niyamāḥ SUp_7.101c	akroDa-AdyAH ca niyamAH SUp_7.101c
   pātre vā purataḥ śiṣyas SUp_7.20c	pAtre vA puratas SizyaH SUp_7.20c
   pātheyārtham idaṃ dhanam SUp_6.165d	pATeya-arTam idam Danam SUp_6.165d
   pādaprasāraṇaṃ gatiṃ SUp_7.13c	pAda-prasAraNam gatim SUp_7.13c
   pādasthānāni pattrādyaiḥ SUp_7.48a	pAda-sTAnAni pattra-AdyEH SUp_7.48a
   pādābhyaṅgaṃ ca yatnataḥ SUp_7.33d	pAda-aByaFgam ca yatnatas SUp_7.33d
   pāduke dantadhāvanam SUp_7.91b	pAduke dantaDAvanam SUp_7.91b
   pāduke vinivedayet SUp_6.96d	pAduke vinivedayet SUp_6.96d
   pādyāsanapradānena SUp_6.197c	pAdya-Asana-pradAnena SUp_6.197c
   pānāhāraṃ prakalpayet SUp_6.226b	pAna-AhAram prakalpayet SUp_6.226b
   pāpaghnaṃ śāṃkaraṃ rakṣā- SUp_5.11c	pApa-Gnam SAMkaram rakzA SUp_5.11c
   pāpamuktaḥ śivaṃ puram SUp_1.22d	pApa-muktaH Sivam puram SUp_1.22d
   pāpayuktaḥ śivajñānaṃ SUp_6.194c	pApa-yuktaH Siva-jQAnam SUp_6.194c
   pārāvataphaleṣu ca SUp_6.12d	pArAvata-Palezu ca SUp_6.12d
   pārvatīṃ gaṇasaṃyutām SUp_6.122b	pArvatIm gaNa-saMyutAm SUp_6.122b
   pālakyaṃ nairṛte sthāpya SUp_6.84a	pAlakyam nErRte sTApya SUp_6.84a
   pālālyaḥ samidhaḥ śubhāḥ SUp_4.40b	pAlAlyaH samiDaH SuBAH SUp_4.40b
   pālāśam āsanaṃ śayyāṃ SUp_7.91a	pAlASam Asanam SayyAm SUp_7.91a
   pālāśodumbarāśvattha- SUp_2.23c	pAlASa-udumbara-aSvatTa SUp_2.23c
   pāśājālasya tan mūlaṃ SUp_1.12c	pASAjAlasya tat mUlam SUp_1.12c
   pāṃsupādaṃ tvarānvitam SUp_6.196d	pAMsu-pAdam tvarA-anvitam SUp_6.196d
   pitarau cāsya dāsatvaṃ SUp_7.110c	pitarO ca-asya dAsa-tvam SUp_7.110c
   pitā mātā ca bāndhavāḥ SUp_6.166b	pitA mAtA ca bAnDavAH SUp_6.166b
   pitā mātā na kasyacit SUp_7.109b	pitA mAtA na kasyacid SUp_7.109b
   pitā māteti tat smṛtam SUp_7.109d	pitA mAtA-iti tat smRtam SUp_7.109d
   pitṛtarpaṇavedikā SUp_4.18d	pitR-tarpaNa-vedikA SUp_4.18d
   pitṝṇāṃ tarpaṇaṃ kṛtvā SUp_5.52a	pitLNAm tarpaNam kRtvA SUp_5.52a
   pitṝṇāṃ tilavāriṇā SUp_5.50b	pitLNAm tila-vAriNA SUp_5.50b
   pitryaṃ pitṛvidhodayam SUp_5.46d	pitryam pitRviDa-udayam SUp_5.46d
   pippalīṃ paścime dadyād SUp_6.74c	pippalIm paScime dadyAt SUp_6.74c
   piban śivāmṛtaṃ divyaṃ SUp_6.36a	piban Siva-amRtam divyam SUp_6.36a
   pīṭhaṃ vā kārayed raupyaṃ SUp_6.123a	pIWam vA kArayet rOpyam SUp_6.123a
   pīḍitas tārito 'pi vā SUp_7.37b	pIxitaH tAritaH api vA SUp_7.37b
   pīnavṛttapayodharāḥ SUp_4.26b	pIna-vRtta-payoDarAH SUp_4.26b
   pujāṃ kuvanti bilvakaiḥ SUp_6.129d	pujAm kuvanti bilvakEH SUp_6.129d
   puṇyabījaṃ tathā sūkṣmaṃ SUp_6.41a	puNya-bIjam taTA sUkzmam SUp_6.41a
   puṇyaliṅgārcane proktaṃ SUp_4.38c	puNya-liFga-arcane proktam SUp_4.38c
   puṇyaṃ vārkṣyārdhasaṃmitam SUp_6.265b	puNyam vArkzya-arDa-saMmitam SUp_6.265b
   puṇyaṃ śataguṇaṃ labhet SUp_6.248d	puNyam SataguNam laBet SUp_6.248d
   puṇyaṃ śataguṇaṃ labhet SUp_6.251d	puNyam SataguNam laBet SUp_6.251d
   puṇyaṃ śivasamāśrayāt SUp_6.42b	puNyam Siva-samASrayAt SUp_6.42b
   puṇyāhe grahaśāntau ca SUp_7.11a	puNya-ahe graha-SAntO ca SUp_7.11a
   putradārādisaṃgataḥ SUp_7.103b	putra-dAra-Adi-saMgataH SUp_7.103b
   putrapautraiś ca vardhatām SUp_6.157b	putra-pOtrEH ca varDatAm SUp_6.157b
   putravān dhanavān sukhī SUp_3.11d	putravAn DanavAn suKI SUp_3.11d
   punar yaḥ kartarīṃ dadyāt SUp_6.231a	punar yaH kartarIm dadyAt SUp_6.231a
   punar vittaṃ nivedayet SUp_6.247b	punar vittam nivedayet SUp_6.247b
   punaḥ kuryāt tadāgataḥ SUp_7.8d	punar kuryAt tad-AgataH SUp_7.8d
   punaḥ śivapuraṃ vrajet SUp_6.95d	punar Siva-puram vrajet SUp_6.95d
   purataḥ pṛṣṭhato vāpi SUp_6.181c	puratas pRzWatas vA-api SUp_6.181c
   purataḥ śāntimaṇḍapam SUp_4.1b	puratas SAnti-maNxapam SUp_4.1b
   purā rudreṇa gaditāḥ SUp_1.5a	purA rudreNa gaditAH SUp_1.5a
   puruṣaṃ ca priyālaṃ ca SUp_6.16a	puruzam ca priyAlam ca SUp_6.16a
   puruṣaḥ sarvadānaiś ca SUp_5.38c	puruzaH sarva-dAnEH ca SUp_5.38c
   puruṣaḥ sthāpako jñeyaḥ SUp_1.25a	puruzaH sTApakaH jQeyaH SUp_1.25a
   puruṣāḥ pāśabandhanaiḥ SUp_1.13b	puruzAH pASa-banDanEH SUp_1.13b
   pure pure bahir dikṣu SUp_6.140c	pure pure bahis dikzu SUp_6.140c
   puṣpamālāparikṣiptaṃ SUp_6.138c	puzpa-mAlA-parikziptam SUp_6.138c
   puṣpādhārakaraṇḍakam SUp_6.60d	puzpa-ADAra-karaNxakam SUp_6.60d
   puṣpārāmajalopetaṃ SUp_4.19c	puzpa-ArAma-jala-upetam SUp_4.19c
   puṣpārāmaṃ tathottaram SUp_2.18b	puzpa-ArAmam taTA-uttaram SUp_2.18b
   puṣpāśramavibhūṣite SUp_7.128b	puzpa-ASrama-viBUzite SUp_7.128b
   pūgatāmbūlapattrāṇām SUp_6.53c	pUga-tAmbUla-pattrANAm SUp_6.53c
   pūgāṃś ca vinivedayet SUp_6.47d	pUgAn ca vinivedayet SUp_6.47d
   pūjayann āpnuyāt phalam SUp_5.43d	pUjayan ApnuyAt Palam SUp_5.43d
   pūjayitvādhivāsayet SUp_2.23b	pUjayitvA-aDivAsayet SUp_2.23b
   pūjayec ca dine dine SUp_6.130d	pUjayet ca dine dine SUp_6.130d
   pūjayec ca śivajñānaṃ SUp_7.78a	pUjayet ca Siva-jQAnam SUp_7.78a
   pūjayet satataṃ gurum SUp_7.2d	pUjayet satatam gurum SUp_7.2d
   pūjayet satataṃ budhaḥ SUp_3.13b	pUjayet satatam buDaH SUp_3.13b
   pūjayed dhyānayogena SUp_1.26c	pUjayet DyAna-yogena SUp_1.26c
   pūjayed vibhavair gurum SUp_1.35b	pUjayet viBavEH gurum SUp_1.35b
   pūjārthaṃ vartulaṃ kāryaṃ SUp_2.4c	pUjA-arTam vartulam kAryam SUp_2.4c
   pūjā śraddhā yathā yathā SUp_3.13d	pUjA SradDA yaTA yaTA SUp_3.13d
   pūrṇāhutiṃ ghṛtābhāve SUp_4.58a	pUrNAhutim GRta-aBAve SUp_4.58a
   pūrvakrameṇa vinyasya SUp_6.85c	pUrva-krameNa vinyasya SUp_6.85c
   pūrvataḥ sattramaṇḍapam SUp_2.17d	pUrvatas sattra-maNxapam SUp_2.17d
   pūrvāparāṣṭahastaṃ syād SUp_4.1c	pUrva-apara-azwa-hastam syAt SUp_4.1c
   pṛthakjīvā mṛtā yānti SUp_6.188c	pRTak-jIvAH mRtAH yAnti SUp_6.188c
   pṛthakpṛthaganekāni SUp_6.124a	pRTak-pRTak-anekAni SUp_6.124a
   pṛthivyadhipatiḥ śrīmān SUp_4.30c	pRTivI-aDipatiH SrImAn SUp_4.30c
   pṛthivyāṃ yāni tīrthāni SUp_5.37a	pRTivyAm yAni tIrTAni SUp_5.37a
   pṛṣadājyatilair yavaiḥ SUp_2.23d	pRzadAjya-tilEH yavEH SUp_2.23d
   pṛṣadājyaplutā hutvā SUp_4.40c	pRzadAjya-plutAH hutvA SUp_4.40c
   pauṇḍraṃ pañcaguṇaṃ phalam SUp_6.27b	pONxram paQcaguNam Palam SUp_6.27b
   pauṣapūrṇimaparvaṇi SUp_6.142d	pOza-pUrNima-parvaNi SUp_6.142d
   prakurvīta śivālayam SUp_4.20b	prakurvIta Siva-Alayam SUp_4.20b
   prakṛtiḥ kāraṇāya naḥ SUp_1.12d	prakRtiH kAraNAya naH SUp_1.12d
   pragṛhya daṇḍaṃ chattraṃ vā SUp_7.46c	pragRhya daNxam Cattram vA SUp_7.46c
   pragrahaṃ rajjum eva vā SUp_6.276b	pragraham rajjum eva vA SUp_6.276b
   prajānāṃ ca hite rataḥ SUp_6.157d	prajAnAm ca hite rataH SUp_6.157d
   prajñām athā vinirmathya SUp_7.132a	prajQAm aTAH vinirmaTya SUp_7.132a
   prajñāsaukhyaṃ ca vindati SUp_6.280b	prajQA-sOKyam ca vindati SUp_6.280b
   praṇaṣṭaṃ ca gavādikaṃ SUp_6.279d	praNazwam ca gavA-Adikam SUp_6.279d
   praṇipatya nivedayet SUp_6.81d	praNipatya nivedayet SUp_6.81d
   pratimām avatārayet SUp_6.144b	pratimAm avatArayet SUp_6.144b
   pratimāliṅgavedīṣu SUp_3.14c	pratimA-AliFga-vedIzu SUp_3.14c
   prativāte 'nuvāte vā SUp_7.15a	prativAte anuvAte vA SUp_7.15a
   pratīhārasamopetāṃ SUp_6.122c	pratIhAra-samopetAm SUp_6.122c
   pratyāhāraś ca naivedyam SUp_1.27c	pratyAhAraH ca nEvedyam SUp_1.27c
   pratyekaṃ kalpam ekaikaṃ SUp_6.211a	pratyekam kalpam ekEkam SUp_6.211a
   pratyekaṃ tu phale phale SUp_6.17b	pratyekam tu Pale Pale SUp_6.17b
   pratyekaṃ dravyajaṃ phalam SUp_4.32d	pratyekam dravya-jam Palam SUp_4.32d
   prathame puramaṇḍape SUp_6.139d	praTame pura-maNxape SUp_6.139d
   pradadyāc ca gavāṃ hitam SUp_7.92d	pradadyAt ca gavAm hitam SUp_7.92d
   pradadyāc chivagokule SUp_6.277d	pradadyAt Siva-gokule SUp_6.277d
   pradadyāc chivayogibhyas SUp_6.257a	pradadyAt Siva-yogiByaH SUp_6.257a
   pradadyāc chivayogibhyas SUp_6.261a	pradadyAt Siva-yogiByaH SUp_6.261a
   pradadyād yaḥ prajīvanam SUp_6.227b	pradadyAt yaH prajIvanam SUp_6.227b
   pradadyāl lavaṇāḍhakam SUp_6.72b	pradadyAt lavaNa-AXakam SUp_6.72b
   pradātavyaṃ phalārthinā SUp_6.43b	pradAtavyam Pala-arTinA SUp_6.43b
   pradeyaṃ cāpi śaktitaḥ SUp_7.79b	pradeyam ca-api Saktitas SUp_7.79b
   prabrūyād aparaś cātra SUp_6.163c	prabrUyAt aparaH ca-atra SUp_6.163c
   prayāgaṃ kāmikaṃ tīrtham SUp_6.192a	prayAgam kAmikam tIrTam SUp_6.192a
   pralaye karmayoginaḥ SUp_1.31d	pralaye karma-yoginaH SUp_1.31d
   pralaye muktim āpnuyāt SUp_2.31f	pralaye muktim ApnuyAt SUp_2.31f
   pralaye muktim āpnuyāt SUp_5.26d	pralaye muktim ApnuyAt SUp_5.26d
   pralaye śivavidyayā SUp_1.33d	pralaye Siva-vidyayA SUp_1.33d
   pralaye sarvadehinām SUp_1.30b	pralaye sarva-dehinAm SUp_1.30b
   pravakṣyāmi jagaddhitam SUp_1.8d	pravakzyAmi jagat-hitam SUp_1.8d
   pravakṣyāmi samāsataḥ SUp_6.284b	pravakzyAmi samAsatas SUp_6.284b
   pravakṣyāmi samāsataḥ SUp_7.1b	pravakzyAmi samAsatas SUp_7.1b
   pravāsagamanāgatau SUp_7.9d	pravAsa-gamana-AgatO SUp_7.9d
   praśne vāde 'nṛte 'śauce SUp_7.66c	praSne vAde anRte aSOce SUp_7.66c
   prasaṅgāt kautukād vāpi SUp_6.185c	prasaFgAt kOtukAt vA-api SUp_6.185c
   prasaṅgenāpi yaḥ paśyed SUp_6.193a	prasaFgena-api yaH paSyet SUp_6.193a
   prasannamanasaṃ gurum SUp_7.4b	prasanna-manasam gurum SUp_7.4b
   prasamīkṣya nṝṇām iha SUp_1.6b	prasamIkzya nLNAm iha SUp_1.6b
   prasādanāya kupito SUp_7.10c	prasAdanAya kupitaH SUp_7.10c
   prasādād īśvarasyaiva SUp_4.54c	prasAdAt ISvarasya-eva SUp_4.54c
   prasīdati maheśvaraḥ SUp_7.79d	prasIdati maheSvaraH SUp_7.79d
   prākāraguptaṃ tat kāryaṃ SUp_2.16c	prAkAra-guptam tat kAryam SUp_2.16c
   prākāraṃ tatsamantāc ca SUp_2.14a	prAkAram tad-samantAt ca SUp_2.14a
   prākārād dakṣiṇe kāryaṃ SUp_2.15c	prAkArAt dakziNe kAryam SUp_2.15c
   prākārāntarbahiḥ kāryaṃ SUp_4.19a	prAkAra-antar-bahis kAryam SUp_4.19a
   prākārāntaṃ ca kārayet SUp_4.19d	prAkAra-antam ca kArayet SUp_4.19d
   prākārāntaḥ sthitaṃ kāryaṃ SUp_2.14c	prAkAra-antar sTitam kAryam SUp_2.14c
   prākāreṇa ca saṃyutam SUp_6.108d	prAkAreNa ca saMyutam SUp_6.108d
   prāṅ nivedya phalaṃ smṛtam SUp_6.248b	prAk nivedya Palam smRtam SUp_6.248b
   prāṅ nivedya phalaṃ smṛtam SUp_6.251b	prAk nivedya Palam smRtam SUp_6.251b
   prāṅmukho 'dhyāpayed guruḥ SUp_7.63d	prAFmuKaH aDyApayet guruH SUp_7.63d
   prācīnāvītinā kāryaṃ SUp_5.50a	prAcInAvItinA kAryam SUp_5.50a
   prācīnāvīty asavyena SUp_5.51c	prAcInAvIti asavyena SUp_5.51c
   prāṇāgnihotraṃ kurvanti SUp_4.67a	prANa-agnihotram kurvanti SUp_4.67a
   prāṇāyāmasamudbhavaḥ SUp_1.27b	prANAyAma-samudBavaH SUp_1.27b
   prātarnīhāravelāyāṃ SUp_6.213a	prAtar-nIhAra-velAyAm SUp_6.213a
   prātaḥ pradadyāt saghṛtaṃ SUp_6.225a	prAtar pradadyAt sa-GRtam SUp_6.225a
   prātaḥ prasādhanaṃ dattvā SUp_7.34a	prAtar prasADanam dattvA SUp_7.34a
   prātaḥ saṃsthāpayel liṅgaṃ SUp_2.26a	prAtar saMsTApayet liFgam SUp_2.26a
   prāpaṇīyā gṛhaṃ tasya SUp_6.171c	prApaNIyAH gRham tasya SUp_6.171c
   prāptuṃ yajñaśatair api SUp_5.19d	prAptum yajQa-SatEH api SUp_5.19d
   prāpnuyād anupūrvaśaḥ SUp_6.22d	prApnuyAt anupUrvaSas SUp_6.22d
   prāpnuyād dviguṇaṃ phalam SUp_6.249d	prApnuyAt dviguNam Palam SUp_6.249d
   prāpnuyād dharmatatparam SUp_6.222d	prApnuyAt Darma-tatparam SUp_6.222d
   prāpnuyād vipulān bhogān SUp_6.56a	prApnuyAt vipulAn BogAn SUp_6.56a
   prāpnuyād vipulān bhogān SUp_6.230c	prApnuyAt vipulAn BogAn SUp_6.230c
   prāpnoti paramaṃ padam SUp_7.42d	prApnoti paramam padam SUp_7.42d
   prāpya nirvāṇam āpnuyāt SUp_6.194d	prApya nirvANam ApnuyAt SUp_6.194d
   prāpya muktim avāpnuyāt SUp_1.30d	prApya muktim avApnuyAt SUp_1.30d
   prāyas te daivamohitāḥ SUp_7.129d	prAyas te dEva-mohitAH SUp_7.129d
   prārthayitvā dhaneśvarān SUp_7.27d	prArTayitvA DaneSvarAn SUp_7.27d
   prāsādasthāś ca ye nṛpāḥ SUp_7.122b	prAsAda-sTAH ca ye nRpAH SUp_7.122b
   prāsādasya pramāṇena SUp_2.13c	prAsAdasya pramANena SUp_2.13c
   prāsādaṃ kalpayec chrīmān SUp_2.9a	prAsAdam kalpayet SrImAn SUp_2.9a
   prāsādārdhena vijñeyo SUp_2.12c	prAsAda-arDena vijQeyaH SUp_2.12c
   prāhedam aṇumātrakam SUp_7.132d	prAha-idam aNu-mAtrakam SUp_7.132d
   priyaṅgubilvapaippalya- SUp_4.59c	priyaFgu-bilva-pEppalya SUp_4.59c
   priyaṃ brūyāt sadā tebhyaḥ SUp_7.79a	priyam brUyAt sadA teByaH SUp_7.79a
   proktam etat pradakṣiṇam SUp_7.89d	proktam etat pradakziNam SUp_7.89d
   pronnatāḥ stambhapaṅktayaḥ SUp_6.115d	pronnatAH stamBa-paFktayaH SUp_6.115d
   phalatīha śubhāśubham SUp_7.113b	Palati-iha SuBa-aSuBam SUp_7.113b
   phalapātranivedane SUp_6.265d	Pala-pAtra-nivedane SUp_6.265d
   phalam āpnoti mānavaḥ SUp_6.220d	Palam Apnoti mAnavaH SUp_6.220d
   phalam uktaṃ samāsataḥ SUp_4.32b	Palam uktam samAsatas SUp_4.32b
   phalaṃ prāpnoti mānavaḥ SUp_6.29b	Palam prApnoti mAnavaH SUp_6.29b
   phalaṃ sārdhārdhikaṃ bhavet SUp_4.47d	Palam sArDa-ArDikam Bavet SUp_4.47d
   phalāni ca viśeṣataḥ SUp_7.93b	PalAni ca viSezataH SUp_7.93b
   phalāni vinivedayet SUp_6.51b	PalAni vinivedayet SUp_6.51b
   phalāni sthāpayed bahiḥ SUp_6.80d	PalAni sTApayet bahis SUp_6.80d
   phale phale mahābhogair SUp_6.51c	Pale Pale mahA-BogEH SUp_6.51c
   phalair bhakṣaiś ca saṃyuktāṃ SUp_6.161c	PalEH BakzEH ca saMyuktAm SUp_6.161c
   badarāṇi supakvāni SUp_6.20c	badarANi su-pakvAni SUp_6.20c
   baddhaḥ parikaras tena SUp_1.18c	badDaH parikaraH tena SUp_1.18c
   bandhayogavinirmuktaṃ SUp_4.10c	banDa-yoga-vinirmuktam SUp_4.10c
   baliṃ dadyād viśeṣataḥ SUp_2.29d	balim dadyAt viSezataH SUp_2.29d
   bahis tad eva jagatī SUp_4.13a	bahis tat eva jagatI SUp_4.13a
   bahiḥ kāñcanasaṃskṛtam SUp_6.123d	bahis kAQcana-saMskRtam SUp_6.123d
   bahiḥ kāryā dvihastikā SUp_4.17b	bahis kAryA dvi-hastikA SUp_4.17b
   bahiḥ kāryeṇa kenacit SUp_7.24d	bahis kAryeNa kenacid SUp_7.24d
   bahiḥ kuryāt tathāśritam SUp_6.140b	bahis kuryAt taTA-ASritam SUp_6.140b
   bahiḥ prākārataḥ sthitāḥ SUp_6.75d	bahis prAkArataH sTitAH SUp_6.75d
   bahiḥ suvarṇanicitaṃ SUp_6.107a	bahis suvarNa-nicitam SUp_6.107a
   bahukṣīrayutā gāvo SUp_6.159c	bahu-kzIra-yutAH gAvaH SUp_6.159c
   bālakrīḍanakān etān SUp_6.208c	bAla-krIxanakAn etAn SUp_6.208c
   bālair baddhas tu loko 'yaṃ SUp_7.104c	bAlEH badDaH tu lokaH ayam SUp_7.104c
   bāhyakarmavinirmuktā SUp_4.67c	bAhya-karma-vinirmuktA SUp_4.67c
   bījapūreṣu tasyārdhaṃ SUp_6.14a	bIjapUrezu tasya-arDam SUp_6.14a
   budbudair ardhacandraiś ca SUp_6.137c	budbudEH arDacandrEH ca SUp_6.137c
   brahmacaryam akalkatā SUp_7.100b	brahmacaryam akalka-tA SUp_7.100b
   brahmaṇaḥ keśavasya vā SUp_7.130d	brahmaNaH keSavasya vA SUp_7.130d
   brahmaviṣṇumaheśvarāḥ SUp_2.5d	brahma-vizNu-maheSvarAH SUp_2.5d
   brahmahā sa prakīrtitaḥ SUp_7.62d	brahma-hA sa prakIrtitaH SUp_7.62d
   brahmāsādhya ca yo gacched SUp_7.62c	brahma-asADya ca yaH gacCet SUp_7.62c
   brāhmaṃ tīrtham avasthitam SUp_5.45b	brAhmam tIrTam avasTitam SUp_5.45b
   brūyād bhadram abhadrakam SUp_7.81b	brUyAt Badram aBadrakam SUp_7.81b
   bhaktitaḥ śivayoginām SUp_6.220b	BaktitaH Siva-yoginAm SUp_6.220b
   bhaktyābdaṃ yo 'nupālayet SUp_6.224b	BaktyA-abdam yaH anupAlayet SUp_6.224b
   bhaktyā vā śivayogibhyas SUp_6.10c	BaktyA vA Siva-yogiByaH SUp_6.10c
   bhaktyā vittānusārataḥ SUp_6.121d	BaktyA vitta-anusArataH SUp_6.121d
   bhakṣaṇāt sarvapāpānāṃ SUp_5.12c	BakzaNAt sarva-pApAnAm SUp_5.12c
   bhakṣabhojyapradānaiś ca SUp_6.177c	Bakza-Bojya-pradAnEH ca SUp_6.177c
   bhagavan bhavasāgarāt SUp_1.3d	Bagavan Bava-sAgarAt SUp_1.3d
   bhavabhogamahārṇavāt SUp_4.28d	Bava-Boga-mahA-arNavAt SUp_4.28d
   bhavet puṇyaṃ śivāgrataḥ SUp_6.37d	Bavet puNyam Siva-agratas SUp_6.37d
   bhaved vedyāḥ samucchrayaḥ SUp_2.2d	Bavet vedyAH samucCrayaH SUp_2.2d
   bhavyavṛkṣajalānvitam SUp_2.17b	Bavya-vRkza-jala-anvitam SUp_2.17b
   bhasma bhasmāntikaṃ yena SUp_5.27a	Basma Basma-antikam yena SUp_5.27a
   bhasmasnānaphalaṃ labhet SUp_5.21b	Basma-snAna-Palam laBet SUp_5.21b
   bhasmasnānaphalaṃ labhet SUp_5.22d	Basma-snAna-Palam laBet SUp_5.22d
   bhasmasnānam anuttamam SUp_5.32b	Basma-snAnam anuttamam SUp_5.32b
   bhasmasnānarataṃ śāntaṃ SUp_5.28a	Basma-snAna-ratam SAntam SUp_5.28a
   bhasmasnānaṃ dvijanmanām SUp_5.15d	Basma-snAnam dvijanmanAm SUp_5.15d
   bhasmasnānaṃ śivasnānaṃ SUp_5.13a	Basma-snAnam Siva-snAnam SUp_5.13a
   bhasmānīya pradadyād yaḥ SUp_5.30a	Basma-AnIya pradadyAt yaH SUp_5.30a
   bhasmānīya prayatnena SUp_5.9a	Basma-AnIya prayatnena SUp_5.9a
   bhasmāstṛte mahībhāge SUp_5.18a	Basma-AstRte mahIBAge SUp_5.18a
   bhasmeti parikīrtitam SUp_5.12d	Basma-iti parikIrtitam SUp_5.12d
   bhāga eko bhavej jaṅghā SUp_2.9c	BAgaH ekaH Bavet jaFGA SUp_2.9c
   bhāgam ekaṃ nyased bhūmau SUp_2.3a	BAgam ekam nyaset BUmO SUp_2.3a
   bhāṇḍaṃ vāpi suśobhanam SUp_6.260d	BANxam vA-api su-SoBanam SUp_6.260d
   bhāsakatvāc chubhasya ca SUp_5.12b	BAsaka-tvAt SuBasya ca SUp_5.12b
   bhikṣāpātramukhācchādam SUp_6.272c	BikzA-pAtra-muKa-AcCAdam SUp_6.272c
   bhikṣāpātrasamāśrayam SUp_6.270d	BikzA-pAtra-samASrayam SUp_6.270d
   bhikṣāpātre kamaṇḍalau SUp_6.273d	BikzA-pAtre kamaNxalO SUp_6.273d
   bhinnaṃ ca bahudhā sthitam SUp_7.83b	Binnam ca bahuDA sTitam SUp_7.83b
   bhīmeśvare suvarṇākṣe SUp_6.190c	BImeSvare suvarNAkze SUp_6.190c
   bhuktvā ca śayane svapne SUp_7.7c	BuktvA ca Sayane svapne SUp_7.7c
   bhuktvā cānnavirecane SUp_5.17b	BuktvA ca-anna-virecane SUp_5.17b
   bhuktvā cāsya nivedayet SUp_7.24b	BuktvA ca-asya nivedayet SUp_7.24b
   bhuktvā tu vipulān bhogāṃs SUp_6.209c	BuktvA tu vipulAn BogAn SUp_6.209c
   bhuktvānte syād dvijottamaḥ SUp_5.30d	BuktvA-ante syAt dvijottamaH SUp_5.30d
   bhuktvā bhogāñ chive pure SUp_6.218b	BuktvA BogAn Cive pure SUp_6.218b
   bhuktvā sa tu mahīpatiḥ SUp_6.214d	BuktvA sa tu mahIpatiH SUp_6.214d
   bhuṅkte divyān yathepsitān SUp_4.50d	BuFkte divyAn yaTA-IpsitAn SUp_4.50d
   bhuṅkte svayaṃ mahābhogān SUp_6.128c	BuFkte svayam mahA-BogAn SUp_6.128c
   bhūtāni ca caturviṃśad SUp_1.11c	BUtAni ca caturviMSat SUp_1.11c
   bhūtim ālabhya pañcadhā SUp_5.22b	BUtim AlaBya paQcaDA SUp_5.22b
   bhūtirūpaṃ samudgīrṇaṃ SUp_5.2c	BUti-rUpam samudgIrNam SUp_5.2c
   bhūtispṛṣṭaṃ viśuddhyati SUp_5.5d	BUti-spRzwam viSudDi-ati SUp_5.5d
   bhūtebhyaś ca baliṃ haret SUp_2.29b	BUteByaH ca balim haret SUp_2.29b
   bhūmikādvayavinyāsād SUp_4.20c	BUmikA-dvaya-vinyAsAt SUp_4.20c
   bhūmibhāge manohare SUp_4.63d	BUmi-BAge manohare SUp_4.63d
   bhūmibhāge sa()vistīṛṇe SUp_6.105a	BUmi-BAge sa()vistIRNe SUp_6.105a
   bhūmivinyastamastakaḥ SUp_7.5d	BUmi-vinyasta-mastakaH SUp_7.5d
   bhūmisthaṃ caturaśraṃ svād SUp_2.4a	BUmi-sTam caturaSram svAt SUp_2.4a
   bhūmyambhaḥparamāṇūnāṃ SUp_6.110a	BUmi-amBaH-paramANUnAm SUp_6.110a
   bhṛtyānāṃ svajanasya ca SUp_6.173b	BRtyAnAm sva-janasya ca SUp_6.173b
   bhṛtyair yuktaḥ sa bāndhavaiḥ SUp_6.127d	BRtyEH yuktaH sa bAnDavEH SUp_6.127d
   bhṛtyaiś ca parivāritaḥ SUp_2.30d	BRtyEH ca parivAritaH SUp_2.30d
   bhaiṣajyāhārapātrāṇi SUp_7.27a	BEzajya-AhAra-pAtrANi SUp_7.27a
   bhogatṛṣṇāvimohinīm SUp_1.6d	Boga-tRzNA-vimohinIm SUp_1.6d
   bhogamokṣajigīṣayā SUp_1.35d	Boga-mokza-jigIzayA SUp_1.35d
   bhogāñ chivapure prāpya SUp_6.234c	BogAn Civa-pure prApya SUp_6.234c
   bhogāñ chivapure labhet SUp_6.59b	BogAn Civa-pure laBet SUp_6.59b
   bhogān dadāti vipulān SUp_7.73a	BogAn dadAti vipulAn SUp_7.73a
   bhogān bhuktvā ca mucyante SUp_1.31c	BogAn BuktvA ca mucyante SUp_1.31c
   bhogān bhuktvā tu vipulāṃs SUp_6.65a	BogAn BuktvA tu vipulAn SUp_6.65a
   bhogān bhuṅkte yathepsitān SUp_4.53d	BogAn BuFkte yaTA-IpsitAn SUp_4.53d
   bhogān bhuṅkte śive pure SUp_4.34d	BogAn BuFkte Sive pure SUp_4.34d
   bhogān bhuṅkte śive pure SUp_4.42d	BogAn BuFkte Sive pure SUp_4.42d
   bhogān bhuṅkte śive pure SUp_4.44d	BogAn BuFkte Sive pure SUp_4.44d
   bhogān bhuṅkte śive pure SUp_6.4b	BogAn BuFkte Sive pure SUp_6.4b
   bhogān bhuṅkte śive pure SUp_6.67d	BogAn BuFkte Sive pure SUp_6.67d
   bhogān bhuṅkte śive pure SUp_6.69b	BogAn BuFkte Sive pure SUp_6.69b
   bhogān bhuṅkte śive pure SUp_6.77d	BogAn BuFkte Sive pure SUp_6.77d
   bhogān bhuṅkte śive pure SUp_6.204d	BogAn BuFkte Sive pure SUp_6.204d
   bhogān bhuṅkte śive pure SUp_6.207d	BogAn BuFkte Sive pure SUp_6.207d
   bhogān bhuṅkte śive pure SUp_6.226d	BogAn BuFkte Sive pure SUp_6.226d
   bhogān bhuṅkte śive pure SUp_6.258b	BogAn BuFkte Sive pure SUp_6.258b
