   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   GarP_3,14.8 //	GarP_3,14.8 //
   tāmbūlasāraṃ khadirasya sāraṃ puṣpasya sāraṃ candanasyāpi sāram /	tAmbUla sAram Kadirasya sAram puzpasya sAram candanasya api sAram /
   godhūmasāraṃ yavānāṃ ca sāraṃ māṣasya sāraṃ hareṇośca sāram // GarP_3,14.9	goDUma sAram yavAnAm ca sAram mAzasya sAram hareNoH ca sAram // GarP_3,14.9
   śuddhaṃ tathā vrīhinīvārasāraṃ śyāmākasāraṃ śuddhadhānyasya sāram //	SudDam taTA vrIhinIvAra sAram SyAmAka sAram SudDa DAnyasya sAram //
   GarP_3,14.10 //	GarP_3,14.10 //
   niṣiddhānsarvaśākasya sārāṃstathā nipiddhāllāṃvaṇasvāpi sārān /	nizidDAn sarva SAkasya sArAn= taTA nipidDAt lAMvaNasva api sArAn /
   gṛhṇāti viṣṇuḥ paramādareṇa annasya sāraṃ bhakṣyabhojyasya sāram //	gRhNAti vizNuH parama AdareNa annasya sAram Bakzya Bojyasya sAram //
   GarP_3,14.11 //	GarP_3,14.11 //
   sūpasya sāraṃ paramānnasya sāraṃ dugdhasya sāraṃ dadhitakrasya sāram /	sUpasya sAram paramAnnasya sAram dugDasya sAram daDi takrasya sAram /
   ghṛtasya sāraṃ rāmaṭhasyāpi sāraṃ gṛhṇāti viṣṇuḥ sarṣapasyāpi sāram //	GRtasya sAram rAmaWasya api sAram gRhNAti vizNuH sarzapasya api sAram //
   GarP_3,14.12 //	GarP_3,14.12 //
   marīcasāraṃ jīrakasyāpi sāraṃ tathā havirghṛtapakvasya sāram /	marIca sAram jIrakasya api sAram taTA haviH GRta pakvasya sAram /
   taileṣu pakvasya ca bharjitasya guḍasya sāraṃ navanītasya sāram //	tElezu pakvasya ca Barjitasya guxasya sAram navanItasya sAram //
   GarP_3,14.13 //	GarP_3,14.13 //
   lavaṅgasāraṃ śarkarāyāśca sāramityādisārān vāsudevastu bhukte /	lavaFga sAram SarkarAyAH ca sAram iti Adi sArAn vAsudevaH tu Bukte /
   lakṣmīpatiḥ sarvajagannivā sastasyājñayā vāsudevopi nityam // GarP_3,14.14	lakzmI patiH sarva jagan= ivA saH tasya AjQayA vAsudeva upi nityam // GarP_3,14.14
   taccheṣasārānapi cāvanīśo mahātmanoṃśāñchṛṇu śiṣyavarya /	tad Seza sArAn api ca avanISaH mahAtmanoMSAn SRNu Sizya varya /
   evaṃ vimūḍhā vāsudevasya bhaktāḥ kiṃ vaktavyaṃ viṣṇubhaktā hi loke //	evam vimUXAH vAsudevasya BaktAH kim vaktavyam vizNu BaktAH hi loke //
   GarP_3,14.15 //	GarP_3,14.15 //
   kalyāṇāste sārabhoktāra eva naiṣāṃ bhavettena duḥ khābhivṛddhiḥ /	kalyANAH te sAra BoktAraH eva na ezAm Bavet tena duH Ka aBivRdDiH /
   bhuñjanti ye vaiśvadevaṃ vihāya duṣṭāṃstānvai bhukticinttāṃśca viddhi //	BuQjanti ye vESvadevam vihAya duzwAn= tAn vE Bukti cinttAn= ca vidDi //
   GarP_3,14.16 //	GarP_3,14.16 //
   vakṣye viśeṣaṃ vaiśvadeve khagendra gopyaṃ no vadānyatra vidvān /	vakzye viSezam vESvadeve Kaga indra gopyam naH vadAnyatra vidvAn /
   sūryādīnāṃ ye ca dāne ca dadyurvinā vāyorantarasthaṃ hariṃ ca //	sUrya AdInAm ye ca dAne ca dadyuH vinA vAyoH antara sTam harim ca //
   GarP_3,14.17 //	GarP_3,14.17 //
   te vai sadā sārabhoktāra eva jñeyāstvato viṣṇureko mahātmā /	te vE sadA sAra BoktAraH eva jQeyAH tu atas vizNuH ekaH mahAtmA /
   sārāṃśabhoktā na tu sarvasya bhoktā bhunakti sarvaṃ tvaviruddhaśaktiḥ //	sAra aMSa BoktA na tu sarvasya BoktA Bunakti sarvam tu avirudDa SaktiH //
   GarP_3,14.18 //	GarP_3,14.18 //
   vakṣye ha sārānpunaranyānkhagendra śṛṇuṣva guhyaṃ paramādareṇa /	vakzye ha sArAn punar anyAn Kaga indra SRNuzva guhyam parama AdareNa /
   drākṣādayaḥ sarva eva tvasārāḥ kālādiduṣṭā bhāvaduṣṭāḥ padārthāḥ //	drAkzA AdayaH sarve eva tu asArAH kAla Adi duzwAH BAva duzwAH padArTAH //
   GarP_3,14.19 //	GarP_3,14.19 //
   atipakvānantaraṃ tu tathā dinacatuṣṭaye /	ati pakva anantaram tu taTA dina catuzwaye /
   asārāḥ kaluṣā jñeyāstathā jaṃbūphalaṃ smṛtam // GarP_3,14.20 //	asArAH kaluzAH jQeyAH taTA jaMbU Palam smRtam // GarP_3,14.20 //
   māsasyānantaraṃ vīndra tvasāraṃ panasaṃ smṛtam /	mAsasya anantaram vi indra tu asAram panasam smRtam /
   ṣaṇmāsānantaraṃ vīndra kharjūraṃ tiktavatsmṛtam // GarP_3,14.21 //	zaz mAsa anantaram vi indra KarjUram tikta vat smRtam // GarP_3,14.21 //
   ārdraṃ pūtaṃ nārikelaṃ sphoṭanānantaraṃ prabho /	Ardram pUtam nArikelam sPowana anantaram praBo /
   ahorātrānantaraṃ tu asāraṃ parikīrtitam // GarP_3,14.22 //	ahorAtra anantaram tu asAram parikIrtitam // GarP_3,14.22 //
   śuṣkabhūtaṃ nārikelaṃ khajūraṃ tu yathā tathā /	Suzka BUtam nArikelam Ka jUram tu yaTA taTA /
   pakṣasyānantaraṃ cūtamasāraṃ parikīrtitam // GarP_3,14.23 //	pakzasya anantaram cUtam asAram parikIrtitam // GarP_3,14.23 //
   varṣasyānantaraṃ vīndra pūgīphalamudāhṛtam /	varzasya anantaram vi indra pUgI Palam udAhRtam /
   ghaṭikānantaraṃ vīndra tāṃbūlaṃ parikīrtitam // GarP_3,14.24 //	GawikA anantaram vi indra tAMbUlam parikIrtitam // GarP_3,14.24 //
   yāmasyānantaraṃ cānnaṃ sūpānnaṃ pāyasaṃ tathā /	yAmasya anantaram ca annam sUpa annam pAyasam taTA /
   bhakṣyaṃ ca kvathitaṃ vīndra asāraṃ parikīrtitam // GarP_3,14.25 //	Bakzyam ca kvaTitam vi indra asAram parikIrtitam // GarP_3,14.25 //
   tripakṣānantaraṃ vīndra tailapakvaṃ tathā smṛtam /	tri pakza anantaram vi indra tEla pakvam taTA smRtam /
   caturyāmānantaraṃ ca tvasāraṃ ghṛtapakvakam // GarP_3,14.26 //	catur yAma anantaram ca tu asAram GRta pakvakam // GarP_3,14.26 //
   triyāmānantaraṃ śākā niḥ sārāḥ parikīrtitāḥ /	tri yAma anantaram SAkAH niH sArAH parikIrtitAH /
   jaṃbīraṃ śṛṅgabere dhātrī karpūraṃ ca cūtakam // GarP_3,14.27 //	jaMbIram SRFgabere DAtrI karpUram ca cUtakam // GarP_3,14.27 //
   vatsarānantaraṃ vīndra niḥ sāraṃ parikīrtitam /	vatsara anantaram vIndra niH sAram parikIrtitam /
   parpaṭaḥ pakṣamātreṇa niḥ sāraḥ parikīrtitaḥ // GarP_3,14.28 //	parpawaH pakza mAtreNa niH sAraH parikIrtitaH // GarP_3,14.28 //
   tulasī sarvadā sārā ekādaśyāmapi dvija /	tulasI sarvadA sArAH ekAdaSyAm api dvija /
   ārdrā vāpyathavā śuṣkā sārdrā sāravatī smṛtā // GarP_3,14.29 //	ArdrA vA api aTavA SuzkA sArdrA sAravatI smRtAH // GarP_3,14.29 //
   ekādaśyāṃ tu tulasī sārā grāhyā manīṣibhiḥ /	ekAdaSyAm tu tulasI sArAH grAhyA manIziBiH /
   tvacā nāseṃdriyeṇāpi na tu jihvendriyeṇa ca // GarP_3,14.30 //	tvacA nAseMdriyeNa api na tu jihvA indriyeNa ca // GarP_3,14.30 //
   ekādaśyāṃ harerannaṃ niḥ sāraṃ parikīrtitam /	ekAdaSyAm hareH annam niH sAram parikIrtitam /
   ekādaśyāṃ harestīrthaṃ manuṣyāṇāṃ khageśvara // GarP_3,14.31 //	ekAdaSyAm hareH tIrTam manuzyANAm KageSvara // GarP_3,14.31 //
   ekavāre ca sāraṃ syāddvivāre ca tatodhikam /	eka vAre ca sAram syAt dvi vAre ca tatoDikam /
   ekādaśyāṃ mahābhāga tīrthaṃ gandhādimiśritam // GarP_3,14.32 //	ekAdaSyAm mahABAga tIrTam ganDa Adi miSritam // GarP_3,14.32 //
   asāramiti saṃproktaṃ tathā svādūdamiśritam /	asAram iti saMproktam taTA svAdu udamiSritam /
   ekādaśyāṃ hareḥ sāraṃ kṣīraṃ sarpirmadhūdakam // GarP_3,14.33 //	ekAdaSyAm hareH sAram kzIram sarpiH maDu udakam // GarP_3,14.33 //
   niḥ sāraṃ manujendrāṇāmiti vedavidāṃ matam /	niH sAram manuja indrANAm iti veda vidAm matam /
   āṣāḍhamāse garuḍa śāko niḥ sāra ucyate // GarP_3,14.34 //	AzAXa mAse garuxa SAkaH niH sAraH ucyate // GarP_3,14.34 //
   māsi bhādrapade vīndra hyasāraṃ dadhi cocyate /	mAsi BAdrapade vi indra hi asAram daDi ca ucyate /
   kṣīraṃ tu hyāśvine māse niḥ sāraṃ parikīrtitam // GarP_3,14.35 //	kzIram tu hi ASvine mAse niH sAram parikIrtitam // GarP_3,14.35 //
   ūrdhvapuṇḍragadāhīnā nāryasāreti gīyate /	UrDva puNxra gadA hInA nAryasAra iti gIyate /
   haribhaktivihīnā ye hyasurāḥ parikīrtitāḥ // GarP_3,14.36 //	hari Bakti vihInAH ye hi asurAH parikIrtitAH // GarP_3,14.36 //
   harināmavihīnaṃ tu mukhaṃ niḥ sāramucyate /	harinAm a vihInam tu muKam niH sAram ucyate /
   harinaivedyahīnastu pāko niḥ sāra ucyate // GarP_3,14.37 //	hari nEvedya hInaH tu pAkaH niH sAraH ucyate // GarP_3,14.37 //
   tridinaiścātasīpuṣpaṃ niḥ sāraṃ parikīrtitam /	tri dinEH ca atasI puzpam niH sAram parikIrtitam /
   praharaṃ mallikā sāraṃ jātī tu praharārdhakam // GarP_3,14.38 //	praharam mallikA sAram jAtI tu prahara arDakam // GarP_3,14.38 //
   triyāmaṃ śatapatraṃ syātkaravīramaharniśam /	tri yAmam Satapatram syAt karavIram aharniSam /
   ghaṭikāvadhi sāraṃ syātpārijātaṃ khageśvara // GarP_3,14.39 //	GawikA avaDi sAram syAt pArijAtam KageSvara // GarP_3,14.39 //
   trivarṣaṃ kesaraṃ phalga sāramityucyate budhaiḥ /	tri varzam kesaram Palga sAram iti ucyate buDEH /
   kastūrī daśavarṣaṃ tu karpūraṃ varṣamātrakam // GarP_3,14.40 //	kastUrI daSa varzam tu karpUram varza mAtrakam // GarP_3,14.40 //
   sasāramiti saṃproktaṃ candanaṃ sarvadā smṛtam /	sa sAram iti saMproktam candanam sarvadA smRtam /
   śuddhanniḥ sārabhūtāṃśca vakṣye śṛṇu khageśvara // GarP_3,14.41 //	SudDat niH sAra BUtAn= ca vakzye SRNu KageSvara // GarP_3,14.41 //
   tuṣā medhyā āranālaṃ puṇyakaṃ bhiḥ saṭā tathā /	tuzA meDyA AranAlam puNyakam BiH sawA taTA /
   upodvrajī alābūśca bṛhatkośātakī tathā // GarP_3,14.42 //	upodvrajI alAbUH ca bRhatkoSAtakI taTA // GarP_3,14.42 //
   vṛntākaṃ cukraśākaśca bilvamauduṃvaraṃ tathā /	vRntAkam cukraSAkaH ca bilvam OduMvaram taTA /
   palāñjurlaśunaṃ vṛntaṃ kalañjaṃ ca tathā dvijā // GarP_3,14.43 //	palAn juH laSunam vRntam kalaQjam ca taTA dvijAH // GarP_3,14.43 //
   etatsarvatra kāle ca niḥ sāramiti kīrtitam /	etat sarvatra kAle ca niH sAram iti kIrtitam /
   ekādaśyāṃ vaiśvadevaṃ śrāddhaṃ tarpaṇameva ca // GarP_3,14.44 //	ekAdaSyAm vESvadevam SrAdDam tarpaNam eva ca // GarP_3,14.44 //
   mantreṇa pretadahanamasāraṃ parikīrtitam /	mantreNa preta dahanam asAram parikIrtitam /
   havirnārāyaṇo devo etāṃśca hyaśubhānra sān // GarP_3,14.45 //	haviH nArAyaNaH devaH etAn= ca hi aSuBAnra sAn // GarP_3,14.45 //
   na gṛhṇāti na gṛhṇāti na gṛhṇāti hariḥ svayam /	na gRhNAti na gRhNAti na gRhNAti hariH svayam /
   tathāpi sarvaṃ jānāti jīvānāṃ pāpakarmaṇām // GarP_3,14.46 //	taTA api sarvam jAnAti jIvAnAm pApa karmaNAm // GarP_3,14.46 //
   āsvādanaṃ kārayati svayaṃ nāsvādate hariḥ /	AsvAdanam kArayati svayam na AsvAdate hariH /
   asārabhojanaṃ caiva jīvānāṃ karmajaṃ phalam // GarP_3,14.47 //	asAra Bojanam ca eva jIvAnAm karma jam Palam // GarP_3,14.47 //
   amukhyabhojino jīvāḥ kuntyādyā mukhyabhojinaḥ /	amuKya BojinaH jIvAH kuntI AdyAH muKya BojinaH /
   śubhāni ca pibedviṣṇuraśubhaṃ no pibedvibhuḥ // GarP_3,14.48 //	SuBAni ca pibet vizNuH aSuBam no pibet viBuH // GarP_3,14.48 //
   ko vadettasya ceṣṭāṃ tu pūrṇānando hariḥ svayam /	kaH vadet tasya cezwAm tu pUrNa AnandaH hariH svayam /
   na tena sadṛśaḥ kopi deśe kāle ca vidyate /	na tena sadRSaH kopi deSe kAle ca vidyate /
   tasyāvatārānvakṣyahaṃ śṛṇu pakṣīndrasattama // GarP_3,14.49 //	tasya avatArAn vakzi aham SRNu pakzi indra sattamaH // GarP_3,14.49 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe tṛtīyāṃśe brahmakāṇḍe	iti SrI gAruxe mahApurANe uttara KaNxe tRtIya aMSe brahma kANxe
   vaiśvadevārthakasārāsāravastuviveko nāma caturdaśodhyāyaḥ	vESvadeva arTakasArAsAravastuvivekaH nAma caturdaSaH DyAyaH
   śrīgaruḍamahāpurāṇam  15	SrI garuxa mahApurANam 15
   śrīkṛṣṇa uvāca /	SrI kRzNaH uvAca /
   athāvatā rānpuruṣākhyo hariśca gato dhyānaṃ kartumīśo mahātmā /	aTa avatA rAnpuruza AKyaH hariH ca gataH DyAnam kartum ISaH mahAtmA /
   prādurbabhūvākhilasadguṇārṇavaḥ sa eva viṣṇuḥ sa ca bījabhūtaḥ //	prAdurbaBUva aKila sat guNa arNavaH saH eva vizNuH sa ca bIja BUtaH //
   GarP_3,15.1 //	GarP_3,15.1 //
   yo bījabhūtaḥ puruṣākhya viṣṇuḥ sa evābhūdvāsudevo mahātmā /	yaH bIja BUtaH puruza AKya vizNuH saH eva aBUt vAsudevaH mahAtmA /
   sṛṣṭiṃ kartuṃ puruṣākhyasya vāyormāyākhyāyāṃ mūlarūpo yathā'sa //	sRzwim kartum puruza AKyasya vAyoH mAya AKyAyAm mUla rUpaH yaTA asa //
   GarP_3,15.2 //	GarP_3,15.2 //
   yo vāsudevastu sa eva jātaḥ saṃkarṣaṇākhyo khilasadguṇātmā /	yaH vAsudevaH tu saH eva jAtaH saMkarzaNa AKyaH Kila sat guNa AtmA /
   sṛṣṭiṃ kartuṃ sūtrabhūtasya vāyorjayākhyāyaṃ pūrṇasaṃvitparātmā //	sRzwim kartum sUtra BUtasya vAyoH jaya AKyAyam pUrNa saMvid para AtmA //
   GarP_3,15.3 //	GarP_3,15.3 //
   sa evaṃ saṃkarṣaṇanāmadheyaḥ pradyumnanāmā ca sa eva viśrutaḥ /	saH evam saMkarzaNa nAmaDeyaH pradyumna nAmA ca saH eva viSrutaH /
   sarasvatībhāratīsarjanārthaṃ sa eva devyā mūlarūpo babhūva // GarP_3,15.4	sarasvatI BAratI sarjana arTam saH eva devyAH mUla rUpaH baBUva // GarP_3,15.4
   sṛṣṭvā yuktaṃ ṣoḍaśabhiḥ kalābhirmahattattvaṃ sūkṣmarūpaṃ sa eva /	sRzwvA yuktam zoxaSaBiH kalABiH mahat tattvam sUkzma rUpam saH eva /
   sāhaṅkāraṃ krīḍayāmāsa devaḥ śṛṇu tvaṃ vai ṣoḍaśākhyāḥ kalāśca //	sa ahaFkAram krIxayAmAsa devaH SRNu tvam vE zoxaSa AKyAH kalAH ca //
   GarP_3,15.5 //	GarP_3,15.5 //
   bhūtāni karmendriyapañcakāni jñānendriyāṇīha tathā manaśca /	BUtAni karmendriya paQcakAni jQAna indriyANi iha taTA manaH ca /
   tato babhūva hyaniruddhasaṃjñako jīvāṃśca saṃgṛhya supūrṇaśaktiḥ //	tatas baBUva hi anirudDa saMjQakaH jIvAn= ca saMgRhya su pUrNa SaktiH //
   GarP_3,15.6 //	GarP_3,15.6 //
   soyaṃ viriñcyādisamastadevān sthūlena dehena sasarja nāthaḥ /	soyam viriQci Adi samasta devAn sTUlena dehena sasarja nATaH /
   tathā sa viṣṇuḥ puruṣābhidhastu sanatkumāratvamavāpa vīndra // GarP_3,15.7	taTA sa vizNuH puruza aBiDaH tu sanatkumAra tvam avApa vi indra // GarP_3,15.7
   ananyasādhyaṃ brahmacaryaṃ ca kartuṃ daśendriyāṇāṃ śoṣaṇārthaṃ sadaiva /	ananya sADyam brahmacaryam ca kartum daSa indriyANAm SozaNa arTam sadA eva /
   sanandanādau paṭhitaḥ kumārastasmānnānyo nātra vicāryamasti // GarP_3,15.8	sanandana AdO paWitaH kumAraH tasmAt na anyaH na atra vicAryam asti // GarP_3,15.8
   sa eva viṣṇuḥ sūkaratvaṃ hyavāpa kṣopaṇīmuddhartuṃ daityavapurnihantum /	saH eva vizNuH sUkara tvam hi avApa kzopaNIm udDartum dEtya vapuH nihantum /
   hiraṇyākṣaṃ sajjanānāṃ khagendra tathā bhūmeḥ sthāpanārthaṃ ca devaḥ //	hiraNyAkzam sat janAnAm Kaga indra taTA BUmeH sTApana arTam ca devaH //
   GarP_3,15.9 //	GarP_3,15.9 //
   tato harirmadvidāsatvamāpānṛṣerbhāryāyāṃ yāminyāṃ yo mahātmā /	tatas hariH mad vidAsa tvam ApAnRzeH BAryAyAm yAminyAm yaH mahAtmA /
   tatrāvatāre pañcarātraṃ samagramupādeṣṭuṃ nāpa dānaṃ svatantraḥ //	tatra avatAre paQca rAtram samagram upAdezwum na apa dAnam svatantraH //
   GarP_3,15.10 //	GarP_3,15.10 //
   sa eva viṣṇuḥ samabhūdbradaryāṃ nārāyaṇākhyaḥ śamalāpahaśca /	saH eva vizNuH samaBUt bradaryAm nArAyaNa AKyaH Samala apahaH ca /
   tapastaptuṃ śikṣayituṃ tvṛṣīṇāṃ tiraskartuṃ hyapsarasāṃ sahasram //	tapaH taptum Sikzayitum tu RzINAm tiraskartum hi apsarasAm sahasram //
   GarP_3,15.11 //	GarP_3,15.11 //
   tato hariḥ kapilatvaṃ hyavāpya tirohitānkālabalena tattvān /	tatas hariH kapila tvam hi avApya tirohitAn kAla balena tattvAn /
   caturviśatiṃ saṃśayaṃ coddhariṣyannupādiśaccāsuraye mahātmā //	catur viSatim saMSayam ca udDarizyan= upAdiSat ca asuraye mahAtmA //
   GarP_3,15.12 //	GarP_3,15.12 //
   sa eva dataḥ samabhūdrameśonasūyāyāmatrirūpaḥ parātmā /	saH eva dataH sama BUt rameSonasUyAyAm atri rUpaH para AtmA /
   ānvīkṣikiṃ nāma sutarkavidyāmalarkanāmne pradadāttāṃ mahātmā //	AnvIkzikim nAma su tarka vidyAm alarka nAmne pradadAt tAm mahAtmA //
   GarP_3,15.13 //	GarP_3,15.13 //
   sa eva vaṃśepyabhavadraveśca ākūtyāṃ yaḥ saccidānandarūpaḥ /	saH eva vaMSepyaBava draveH ca AkUtyAm yaH saccidAnanda rUpaH /
   svāyaṃbhuvaṃ yattu manvantaraṃ ca devaiḥ sākaṃ pālayāmāsa vīndra //	svAyaMBuvam yat tu manvantaram ca devEH sAkam pAlayAmAsa vi indra //
   GarP_3,15.14 //	GarP_3,15.14 //
   sa eva viṣṇuḥ sa urukramobhūdāgnīdhraputryāṃ merudevyāṃ ca nābheḥ /	saH eva vizNuH saH urukramaH BUdAgnIDra putryAm merudevyAm ca nABeH /
   vidyāratānāṃ mānināṃ sarvadaivamatyāścaryaṃ darśayituṃ ca vīndra //	vidyA ratAnAm mAninAm sarva dEvam ati AScaryam darSayitum ca vi indra //
   GarP_3,15.15 //	GarP_3,15.15 //
   tato harirjagṛhe kūrmarūpaṃ surāsurāṇāmudadhiṃ vimathnatām /	tatas hariH jagRhe kUrma rUpam sura asurANAm udaDim vimaTnatAm /
   pṛṣṭhe dhartuṃ mandaraṃ parvataṃ ca brahmāṇḍaṃ vā dhartumīśo mahātmā //	pRzWe Dartum mandaram parvatam ca brahmANxam vA Dartum ISaH mahAtmA //
   GarP_3,15.16 //	GarP_3,15.16 //
   tato hariḥ prādurabhūnmahātmā dhanvantarirnāma harinmaṇidyutiḥ /	tatas hariH prAduraBUt mahAtmA DanvantariH nAma harinmaNi dyutiH /
   apathyadoṣānparihartumeva haste gṛhītvā pūrṇakubhaṃ sudhābhiḥ //	apaTya dozAn parihartum eva haste gRhItvA pUrNakuBam suDABiH //
   GarP_3,15.17 //	GarP_3,15.17 //
   tato harirjagṛhe śrīvapuśca yanmohinīti pravadanti loke /	tatas hariH jagRhe SrI vapuH ca yat mohinI iti pravadanti loke /
   udvṛttānāṃ ditijānāṃ mahātmā samyakteṣāṃ vañcayituṃ harirbalam //	udvRttAnAm ditijAnAm mahAtmA samyak tezAm vaQcayitum hariH balam //
   GarP_3,15.18 //	GarP_3,15.18 //
   tato hariḥ prādurabhūnmahātmā nṛsiṃhanāmā bhagavānanantaḥ /	tatas hariH prAduraBUt mahAtmA nRsiMha nAmA BagavAn anantaH /
   daityo hiraṇyakaśipuśca tathorudeśe saṃsthāpitaḥ karajairdāritaśca //	dEtyaH hiraNyakaSipuH ca taTA uru deSe saMsTApitaH karajEH dAritaH ca //
   GarP_3,15.19 //	GarP_3,15.19 //
   tato harirbhagavānvāmanobhūdadityāṃ vai kaśyapāddavadevaḥ /	tatas hariH BagavAn vAmanaH BUt adityAm vE kaSyapAt davadevaH /
   indrāyedaṃ dātukāmaḥ khagendra tadarthaṃ vai pāvituṃ sovituṃ ca //	indrAya idam dAtu kAmaH Kaga indra tad arTam vE pAvitum sovitum ca //
   GarP_3,15.20 //	GarP_3,15.20 //
   tato harirjamadagneḥ sutobhūlloke sarve parśurāmaṃ vadanti /	tatas hariH jamadagneH sutoBUt loke sarve parSurAmam vadanti /
   brahmadviṣāṃ kṣatriyāṇāṃ ca vīndra bhūmiṃ niḥ kṣatrāṃ kartukāmo maheśaḥ //	brahma dvizAm kzatriyANAm ca vi indra BUmim niH kzatrAm kartu kAmaH maheSaH //
   GarP_3,15.21 //	GarP_3,15.21 //
   tatobhavadvyāsarūpī sa viṣṇuścaturvāraṃ rāghavāsyāpi pūrṇaḥ /	tatas Bavat vyAsa rUpI sa vizNuH catur vAram rAGava asya api pUrNaH /
   parāśarātsatyavatyāṃ babhūva pailādibhirvedabhāgāṃśca kartum //	parASarAt satyavatyAm baBUva pElAdiBiH veda BAgAn= ca kartum //
   GarP_3,15.22 //	GarP_3,15.22 //
   tato harī raghuvaṃśevatīrṇaḥ kausalyāyāṃ rāghavaḥ sūryavaṃśe /	tatas hariH raGu vaMSevatIrNaH kOsalyAyAm rAGavaH sUrya vaMSe /
   samudrādorvigrahaṃ kartumīśo haṃ tuṃ bhūmyāṃ rāvaṇādīṃśca vīndra //	samudrAdoH vigraham kartum ISaH ham tum BUmyAm rAvaNa AdIn= ca vi indra //
   GarP_3,15.23 //	GarP_3,15.23 //
   tato harirvyāsarūpī babhūva aṣṭāviṃśe dvapare jñānarūpī /	tatas hariH vyAsa rUpI baBUva azwAviMSe dvapare jQAna rUpI /
   parāśarātsatyavatyāṃ mahātmā svayaṃ vedān saṃvibhaktuṃ ca devaḥ //	parASarAt satyavatyAm mahAtmA svayam vedAn saMviBaktum ca devaH //
   GarP_3,15.24 //	GarP_3,15.24 //
   tato hariḥ kṛṣṇarūpī babhūva devakyāṃ vai vasudevātsa viṣṇuḥ /	tatas hariH kRzNa rUpI baBUva devakyAm vE vasudevAt sa vizNuH /
   kaṃsādīnvai nitarāṃ hantukāmaḥ samyakpātuṃ pāṇḍavāṃścāpi vīndra //	kaMsa AdIn vE nitarAm hantu kAmaH samyak pAtum pANxavAn= ca api vi indra //
   GarP_3,15.25 //	GarP_3,15.25 //
   tataḥ kalau saṃpravṛtte haristu saṃmohanārthaṃ cāsurāṇāṃ khagendra /	tatas kalO saMpravRtte hariH tu saMmohana arTam ca asurANAm Kaga indra /
   nāmnā buddho kīkaṭeṣu prajāto vedapramāṇaṃ nirākartumeva // GarP_3,15.26	nAmnA budDaH kIkawezu prajAtaH veda pramANam nirAkartum eva // GarP_3,15.26
   tato hariḥ kalkisaṃjñaśca vīndra utpatsyate yugayormadhyasaṃdhau /	tatas hariH kalki saMjQaH ca vIndraH utpatsyate yugayoH maDya saMDO /
   dasyuprāyānbhūmipānvai nihantuṃ nāmnā harirviṣṇuguptasya gehe //	dasyu prAyAn BUmipAn vE nihantum nAmnA hariH vizNuguptasya gehe //
   GarP_3,15.27 //	GarP_3,15.27 //
   keśavādyāścaturviṃśatirvai saṃkarṣaṇādayaḥ /	keSava AdyAH caturviMSatiH vE saMkarzaNa AdayaH /
   viśvādaya sahasraṃ ca parādyā amitāḥ smṛtāḥ // GarP_3,15.28 //	viSvAdaya sahasram ca para AdyAH amitAH smRtAH // GarP_3,15.28 //
   avatārā hyasaṃkhyātā viṣṇornārāyaṇasya ca /	avatArAH hi asaMKyAtAH vizNoH nArAyaNasya ca /
   svayaṃ nārāyaṇāste te nāṇumātraṃ vibhidyate // GarP_3,15.29 //	svayam nArAyaNAH te te na aNu mAtram viBidyate // GarP_3,15.29 //
   balatorūpataścāpi guṇataśca kathañcana /	balataH rUpataH ca api guNataH ca kaTaQcana /
   anantonantaguṇataḥ pūrṇo viṣṇurna cānyathā // GarP_3,15.30 //	anantaH nanta guNataH pUrNaH vizNuH na ca anyaTA // GarP_3,15.30 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe tṛtīyāṃśe brahmakāṇḍe	iti SrI gAruxe mahApurANe uttara KaNxe tRtIya aMSe brahma kANxe
   viṣṇoravatāranirūpaṇaṃ nāma pañcadaśo 'dhyāyaḥ	vizNoH avatAranirUpaNam nAma paQcadaSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  16	SrI garuxa mahApurANam 16
   śrīkṛṣṇa uvāca /	SrI kRzNaH uvAca /
   mahālakṣmyāḥ svarūpaṃ ca avatārānkhageśvara /	mahAlakzmyAH svarUpam ca avatArAn Kaga ISvara /
   śṛṇu samyaṅ mahābhāga tajjñānasya vinirṇayam // GarP_3,16.1 //	SRNu samyak mahABAga tat jQAnasya vinirNayam // GarP_3,16.1 //
   īśādanyasya jagato hyātmo locana eva tu /	ISAt anyasya jagataH hi AtmaH locanaH eva tu /
   viṣayīkurute tatsyājjñānaṃ lakṣmyāḥ prakīrtitam // GarP_3,16.2 //	vizayIkurute tat syAt jQAnam lakzmyAH prakIrtitam // GarP_3,16.2 //
   nityāviyoginī devī haripādaikasaṃśrayā /	nitya aviyoginI devI hari pAda eka saMSrayAH /
   nityamuktā nityabuddhā mahālakṣmīḥ prakīrtitā // GarP_3,16.3 //	nitya muktA nitya budDA mahAlakzmIH prakIrtitAH // GarP_3,16.3 //
   mūlasya ca harerbhāryā lakṣmīḥ saṃprakīrtitā /	mUlasya ca hareH BAryA lakzmIH saMprakIrtitA /
   puṃso hibhāryā prakṛtiḥ prakṛteścā bhimāninī // GarP_3,16.4 //	puMsaH hiBAryA prakRtiH prakRteH cA BimAninI // GarP_3,16.4 //
   sṛṣṭiṃ kartuṃ guṇānvīndra puruṣeṇa saha prabho /	sRzwim kartum guNAn vIndra puruzeNa saha praBo /
