   sāṅkhyasāraḥ /	sAFKya-sAraH /
   śabdasparśobhayaguṇakamevaṃ krameṇaikaikaguṇavṛddhyā paratanmātratrayaṃ	Sabda-sparSa-uBaya-guNakam-evam krameNa-ekEka-guNa-vRdDyA para-tanmAtra-trayam
   pūrvapūrvatanmātrebhya utpadyate pātañjalabhāṣye tanmātreṣu	pUrva-pUrva-tanmAtreByaH utpadyate pAtaQjala-BAzye tanmAtrezu
   krameṇaikaikaguṇavṛddhivacanāt / tataśca pañcatanmātrebhyaḥ pañcabhūtāni	krameNa-ekEka-guNa-vRdDi-vacanAt / tatas-ca paQca-tanmAtreByaH paQcaBUtAni
   jāyante / tatrāhaṅkārāt pañcatanmātrāṇāṃ taddvārā bhūtānāṃ cotpattau	jAyante / tatra-ahaFkArAt paQca-tanmAtrANAm tad-dvArA BUtAnAm ca-utpattO
   kramaḥ kūrmaviṣṇvādipurāṇeṣūktaḥ / yathā kūrme /	kramaH kUrma-vizNu-Adi-purANezu-uktaH / yaTA kUrme /
   bhūtādistu vikurvāṇaḥ śabdamātraṃ sasarja ha /	BUtAdiH-tu vikurvANaH Sabda-mAtram sasarja ha /
   ākāśaṃ suṣiraṃ tasmādutpannaṃ śabdalakṣaṇam //	AkASam suziram tasmAt-utpannam Sabda-lakzaNam //
   ākāśastu vikurvāṇaḥ sparśamātraṃ sasarja ha /	AkASaH-tu vikurvANaH sparSa-mAtram sasarja ha /
   vāyurutpadyate tasmāt tasya sparśo guṇo mataḥ //	vAyuH-utpadyate tasmAt tasya sparSaH guNaH mataH //
   ityādikrameṇeti / nanvevamākāśādibhūtacatuṣṭayasyāpi	ityAdi-krameNa-iti / nanu-evam-AkASa-Adi-BUta-catuzwayasya-api
   tattvāntarārambhakatvena prakṛtitvāpattyā	tattva-antara-AramBaka-tvena prakRti-tva-ApattyA
   kevalavikṛtitvasiddhāntakṣatiriti cenna / ākāśādīnāṃ	kevala-vikRti-tva-sidDAnta-kzatiH-iti ced-na / AkASa-AdInAm
   sparśāditanmātreṣvahaṅkāropaṣṭambhamātreṇa kāraṇatvasya purāṇeṣūktatvāditi	sparSa-Adi-tanmAtrezu-ahaFkAra-upazwamBa-mAtreNa kAraNa-tvasya purANezu-ukta-tvAt-iti
   / tadevaṃ trayoviṃśatitattvānāmutpattiruktā / tatra pañcabhūtāni	/ tat-evam trayoviMSati-tattvAnAm-utpattiH-uktAH / tatra paQcaBUtAni
   varjayitvā 'haṅkāraṃ ca buddhau praveśya saptadaśakaṃ liṅgaśarīrasañjñaṃ	varjayitvA ahaFkAram ca budDO praveSya saptadaSakam liFga-SarIra-saQjQam
   bhavati vahnerindhanavadātmano 'bhivyaktisthānatvāt / tacca sarvapuruṣāṇāṃ	Bavati vahneH-inDana-vat-AtmanaH aBivyakti-sTAna-tvAt / tat-ca sarva-puruzANAm
   sargādāvutpadya prākṛtapralayaparyantaṃ tiṣṭhati / tenaiva	sarga-AdO=-utpadya prAkRta-pralaya-paryantam tizWati / tena-eva
   cehalokaparalokayoḥ saṃsaraṇaṃ jīvānāṃ bhavati / prāṇaśca buddhereva	ceha-loka-para-lokayoH saMsaraNam jIvAnAm Bavati / prANaH-ca budDeH-eva
   vṛttibheda ityato na liṅgaśarīrāt pṛthaṅ nirdiśyate / tasya liṅgaśarīrasya	vRtti-BedaH iti-atas na liFga-SarIrAt pRTak nirdiSyate / tasya liFga-SarIrasya
   sūkṣmāṇi pañcabhūtānyāśrayaścitrādivadāśrayaṃ vinā paramasūkṣmasya	sUkzmANi paQcaBUtAni-ASrayaH-citra-Adi-vat-ASrayam vinA parama-sUkzmasya
   lokāntaragamanāsambhavāt / idaṃ ca liṅgaśarīramādau svayambhuva	loka-antara-gamana-asamBavAt / idam ca liFga-SarIram-AdO svayamBuva
   upādhibhūtamekameva jāyate / tasyaiva virāḍākhyavakṣyamāṇasthūlaśarīravat	upADiBUtam-ekam-eva jAyate / tasya-eva virAxa-AKya-vakzyamANa-sTUla-SarIra-vat
   / tataśca vyaṣṭijīvānāmupādhibhūtāni vyaṣṭiliṅgaśarīrāṇi tadaṃśabhūtāni	/ tatas-ca vyazwi-jIvAnAm-upADi-BUtAni vyazwi-liFga-SarIrANi tad-aMSa-BUtAni
   tato vibhajyante / piturliṅgaśarīrāt putraliṅgaśarīravat / taduktaṃ	tatas viBajyante / pituH-liFga-SarIrAt putra-liFga-SarIra-vat / tad-uktam
   sūtrakāreṇa / vyaktibhedaḥ karmaviśeṣāditi / manunā 'pyuktam /	sUtrakAreNa / vyakti-BedaH karma-viSezAt-iti / manunA api-uktam /
   teṣāṃ tvavayavān sūkṣmān ṣaṇṇāmapyamitaujasām /	tezAm tu-avayavAn sUkzmAn zaNNAm-api-amita-ojasAm /
   sanniveśyātmamātrāsu sarvabhūtāni nirmame //	sanniveSya-Atma-mAtrAsu sarva-BUtAni nirmame //
   iti / ṣaṇṇāmiti ṣaḍindriyaṃ samastaliṅgaśarīropalakṣakam / tathā ca	iti / zaNNAm-iti zaz-indriyam samasta-liFga-SarIra-upalakzakam / taTA ca
   svayambhūḥ svaliṅgaśarīrāvayavān sūkṣmān alpān ātmamātrāsu svāṃśacetaneṣu	svayamBUH sva-liFga-SarIra-avayavAn sUkzmAn alpAn Atma-mAtrAsu sva-aMSa-cetanezu
   saṃyojya sarvaprāṇinaḥ sasarjetyarthaḥ / liṅgaśarīraṃ nirūpitam /	saMyojya sarva-prANinaH sasarja-iti-arTaH / liFga-SarIram nirUpitam /
   sthūlaśarīrotpattirucyate / daśaguṇitamahattattvamadhye 'haṅkāro	sTUlaSarIra-utpattiH-ucyate / daSa-guNita-mahat-tattva-maDye ahaFkAraH-
   'haṅkārasyāpi daśaguṇitasya madhye vyoma vyomno 'pi daśaguṇitasya madhye	ahaFkArasya-api daSa-guNitasya maDye vyoma vyomnaH api daSa-guNitasya maDye
   vāyurvāyorapi daśaguṇitasya madhye tejaḥ tejaso 'pi daśaguṇitasya madhye	vAyuH-vAyoH-api daSa-guNitasya maDye tejaH tejasaH api daSa-guNitasya maDye
   jalaṃ jalasyāpi daśaguṇitasya madhye pṛthivī samutpadyate / saiva	jalam jalasya-api daSa-guNitasya maDye pRTivI samutpadyate / sA-eva
   sthūlaśarīrasya bījam / tadeva ca pṛthivīrūpaṃ bījamaṇḍarūpeṇa pariṇamate	sTUla-SarIrasya bIjam / tat-eva ca pRTivI-rUpam bIjamaNxa-rUpeNa pariNamate
   / tasyāpi daśaguṇitasyāṇḍarūpasya pṛthivyāvaraṇasya madhye	/ tasya-api daSa-guNitasya-aNxa-rUpasya pRTivI-AvaraNasya maDye
   caturdaśabhuvanātmakaṃ svayambhuvaṃ sthūlaśarīraṃ tatsaṅkalpādevotpadyate	caturdaSa-Buvana-Atmakam svayamBuvam sTUlaSarIram tad-saFkalpAt-eva-utpadyate
   / tenaiva śarīreṇa svayambhūrnārāyaṇa ityucyate / taduktaṃ manunā	/ tena-eva SarIreNa svayamBUH-nArAyaNaH iti-ucyate / tat-uktam manunA
   svayambhuvaṃ prakṛtya /	svayamBuvam prakRtyaH /
   so 'bhidhyāya śarīrāt svāt sisṛkṣurvividhāḥ prajāḥ /	saH aBiDyAya SarIrAt svAt sisRkzuH-viviDAH prajAH /
   apa eva sasarjādau tāsu bījamavāsṛjat //	apaH eva sasarja-AdO tAsu bIjam-avAsRjat //
   tadaṇḍamabhavaddhaimaṃ sahasrāṃśusamaprabham /	tat-aNxam-aBavat-hEmam sahasrAMSu-sama-praBam /
   tasmin jajñe svayaṃ brahmā sarvalokapitāmahaḥ //	tasmin jajQe svayam brahmA sarva-loka-pitAmahaH //
   sa vai śarīrī prathamaḥ sa vai puruṣa ucyate /	sa vE SarIrI praTamaH sa vE puruzaH ucyate /
   ādikartā sa bhūtānāṃ brahmāgre samavartata //	AdikartA sa BUtAnAm brahma-agre samavartata //
   āpe nārā iti proktā āpo vai narasūnavaḥ /	Ape nArAH iti proktAH ApaH vE nara-sUnavaH /
   tā yadasyāyanaṃ pūrvaṃ tena nārāyaṇaḥ smṛtaḥ //	tAH yat-asya-ayanam pUrvam tena nArAyaNaH smRtaH //
   ityādineti / tata eva cādipuruṣāt vyaṣṭipuruṣāṇāṃ vibhāgādante ca tatraiva	ityAdinA-iti / tatas eva ca-Adi-puruzAt vyazwi-puruzANAm viBAgAt-ante ca tatra-eva
   layāt sa eva caika ātmeti śrutismṛtyorvyavahriyate / ato na	layAt saH eva ca-ekaH AtmA-iti Sruti-smRtyoH-vyavahriyate / atas na
   vyavahāraparatayā nārāyaṇa eva sarvabhūtānāmātmeti śrutismṛtivirodha iti /	vyavahAra-para-tayA nArAyaNaH eva sarva-BUtAnAm-AtmA-iti Sruti-smRti-viroDaH iti /
   tataśca sa nārāyaṇo virāṭ śarīrī svanābhikamalakarṇikāsthānīyasya	tatas-ca sa nArAyaNaH virAj SarIrI sva-nABi-kamala-karNikA-sTAnIyasya
   sumerorupari caturmukhākhyasvayambhuvaṃ sṛṣṭvā taddvārā 'nyānapi	sumeroH-upari caturmuKa-AKya-svayamBuvam sRzwvA tad-dvArAH anyAn-api
   vyaṣṭiśarīriṇaḥ sthāvarāntān sasarja / tathā ca smaryate /	vyazwi-SarIriNaH sTAvara-antAn sasarja / taTA ca smaryate /
   taccharīrasamutpannaiḥ kāryaistaiḥ karaṇaiḥ saha /	tad-SarIra-samutpannEH kAryEH-tEH karaNEH saha /
   kṣetrajñāḥ samajāyanta gātrebhyastasya dhīmataḥ //	kzetrajQAH samajAyanta gAtreByaH-tasya DImataH //
   iti / yattu śeṣaśāyino nārāyaṇasya	iti / yat-tu Seza-SAyinaH nArAyaNasya
   nābhikamalaśrotracakṣurādibhyaścaturmukhasyāvirbhāvaḥ śrūyate	nABi-kamala-Srotra-cakzuH-AdiByaH-caturmuKasya-AvirBAvaH SrUyate
   taddainandinasargeṣveva kalpabhedena mantavyam / dainandinapralayeṣveva hi	tad-dEnandina-sargezu-eva kalpa-Bedena mantavyam / dEnandina-pralayezu-eva hi
   nārāyaṇaśarīre praviśyaikībhūya suptānāṃ devānāṃ	nArAyaNa-SarIre praviSya-ekIBUya suptAnAm devAnAm
   caturmukhādikrameṇāvirbhāvaḥ śeṣaśāyinaḥ sakāśādghaṭate na tvādisargeṣu /	caturmuKa-Adi-krameNa-AvirBAvaH Seza-SAyinaH sakASAt-Gawate na tu-Adisargezu /
   dainandinapralaya eva līlāvigraheṇa śayanāditi / tadevaṃ	dEnandina-pralayaH eva lIlA-vigraheNa SayanAt-iti / tat-evam
   saṅkṣepataścaturviṃśatitattvāni teṣāṃ sṛṣṭirūpaṃ prayojanaṃ coktam / tatra	saFkzepataH-caturviMSati-tattvAni tezAm sRzwi-rUpam prayojanam ca-uktam / tatra
   yadyasmājjāyate tasya tadāpūraṇenaiva sthitiḥ tatastasya saṃhāro 'pi	yat-yasmAt-jAyate tasya tad-ApUraNena-eva sTitiH tatas-tasya saMhAraH api
   tatraiva bhavati /	tatra-eva Bavati /
   yadyasmājjāyate tattvaṃ tattatra pravilīyate /	yat-yasmAt-jAyate tattvam tat-tatra pravilIyate /
   līyante pratilomāni jāyante cottarottaram //	lIyante pratilomAni jAyante ca-uttarottaram //
   iti bhāratādibhya iti / ete ca sṛṣṭisthitisaṃhārarūpāḥ sthūlā eva	iti BArata-AdiByaH iti / ete ca sRzwi-sTiti-saMhAra-rUpAH sTUlAH eva
   pariṇāmāścaturviṃśatitattvānāṃ kūṭasthapuruṣavivekāya pradarśitāḥ / sūkṣmā	pariNAmAH-caturviMSati-tattvAnAm kUwasTa-puruza-vivekAya pradarSitAH / sUkzmA
   apyanye pratikṣaṇapariṇāmā eteṣāṃ smaryante / tathā /	api-anye pratikzaNa-pariNAmAH etezAm smaryante / taTA /
   nityadā hyaṅgabhūtāni bhavanti na bhavanti ca /	nityadA hi-aFga-BUtAni Bavanti na Bavanti ca /
   kālenālakṣyavegena sūkṣmatvāttanna dṛśyate //	kAlena-Alakzya-vegena sUkzma-tvAt-tat-na dRSyate //
   iti / ataśca sarvaṃ jaḍavastu paramārthataḥ sarvadaivāsaducyate / tataśca	iti / atas-ca sarvam jaxa-vastu paramArTataH sarva-dA-eva-asat-ucyate / tatas-ca
   tasmādvirajyātmaiva paramārthasatyo duḥkhabhīrubhirdraṣṭavyaḥ /	tasmAt-virajya-AtmA-eva parama-arTa-satyaH duHKa-BIruBiH-drazwavyaH /
   taduktamanugītāyām /	tat-uktam-anugItAyAm /
   avyaktabījaprabhavo budhiskandhamayo mahān /	avyakta-bIja-praBavaH buDi-skanDa-mayaH mahAn /
   mahāhaṅkāraviṭapa indriyāṅkurakoṭaraḥ //	mahA-ahaFkAra-viwapaH indriya-aFkura-kowaraH //
   mahābhūtapraśākhaśca viśeṣapratiśākhavān /	mahABUta-praSAKaH-ca viSeza-pratiSAKavAn /
   sadāparṇaḥ sadāpuṣpaḥ śubhāśubhaphalodayaḥ //	sadA-aparNaH sadApuzpaH SuBa-aSuBa-Pala-udayaH //
   ājīvaḥ sarvabhūtānāṃ brahmavṛttaḥ sanātanaḥ /	AjIvaH sarva-BUtAnAm brahma-vRttaH sanAtanaH /
   etajjñātvā ca tattvena jñānena paramāsinā //	etat-jQAtvA ca tattvena jQAnena parama-asinA //
   chittvā cākṣaratāṃ prāpya jahāti mṛtyujanmanī /	CittvA ca-akzaratAm prApya jahAti mRtyu-janmanI /
   iti śrīvijñānabhikṣuviracite sāṅkhyasāre vivekapratiyogināṃ prakṛtyādīnāṃ	iti SrI-vijQAna-Bikzu-viracite sAFKya-sAre viveka-pratiyoginAm prakRti-AdInAm
   svarūpaparicchedaḥ // * //	svarUpa-paricCedaH // * //
   iti sāṅkhyasārasya pūrvabhāgaḥ //	iti sAFKya-sArasya pUrva-BAgaH //
   athottarabhāgaḥ //	aTa-uttara-BAgaH //
   prathamaḥ paricchedaḥ //	praTamaH paricCedaH //
   atha śiṣyaiḥ sukhenaiva grahītuṃ padyamālayā /	aTa SizyEH suKena-eva grahItum padyamAlayA /
   vivekasyānuyogyātmā puruṣākhyo nirūpyate // ViSs_2,1.1 //	vivekasya-anuyogya-AtmA puruza-AKyaH nirUpyate // ViSH-_2,1.1 //
   tatra sāmānyataḥ siddho jāne 'hamiti dhībalāt /	tatra sAmAnyatas sidDaH jAne aham-iti DI-balAt /
   draṣṭā 'to nityavibhvādidharmaireva sa sādhyate // ViSs_2,1.2 //	drazwA atas nitya-viBvAdi-DarmEH-eva sa sADyate // ViSH-_2,1.2 //
   bhoktā nityastadarthatvāt tatkarmotpāditatvataḥ /	BoktA nityaH-tad-arTa-tvAt tad-karma-utpAdita-tvataH /
   mahadādivikārāṇāṃ sarveṣāmaviśeṣataḥ // ViSs_2,1.3 //	mahat-Adi-vikArANAm sarvezAm-aviSezatas // ViSH-_2,1.3 //
   api cādṛṣṭasaṃskārādhāratvādbījarūpataḥ /	api ca-adRzwa-saMskAra-ADAra-tvAt-bIja-rUpataH /
   dhīranādirato 'syāśca siddhā bhokturanāditā // ViSs_2,1.4 //	DIra-nAdi-H-atas asyAH-ca sidDAH BoktuH-anAditAH // ViSH-_2,1.4 //
   svasvāmibhāvānāditvamṛte bhoktṛvyavasthiteḥ /	sva-svAmi-BAvAn-Adi-tvam-Rte BoktR-vI-avasTiteH /
   svabhaktavṛttisaṃskāravattvaṃ svatvaṃ tu buddhiṣu // ViSs_2,1.5 //	sva-Bakta-vRtti-saMskAravat-tvam sva-tvam tu budDizu // ViSH-_2,1.5 //
   svāmyaṃ svaniṣṭhasaṃskārahetuvṛtteśca bhoktari /	svAmyam sva-nizWa-saMskAra-hetu-vRtteH-ca Boktari /
   ataśca ghaṭate svatvanāśe kaivalyamātmanaḥ // ViSs_2,1.6 //	atas-ca Gawate sva-tva-nASe kEvalyam-AtmanaH // ViSH-_2,1.6 //
   bhoktuścānādibhāvasya vināśe hetvasambhavāt /	BoktuH-ca-anAdi-BAvasya vinASe hetu-asamBavAt /
   na nāśo bhokturastīti bhoktā nityo hi sidhyati // ViSs_2,1.7 //	na nASaH BoktuH-asti-iti BoktA nityaH hi siDyati // ViSH-_2,1.7 //
   janyo jñānaprakāśo 'sya nityatve tu na yujyate /	janyaH jQAna-prakASaH asya nitya-tve tu na yujyate /
   na hyaprakāśe kutrāpi prakāśotpattirīkṣyate // ViSs_2,1.8 //	na hi-aprakASe kutra-api prakASa-utpattiH-Ikzyate // ViSH-_2,1.8 //
   kārye prakāśākhyaguṇe 'vayavānāṃ hi tadguṇaḥ /	kArye prakASa-AKya-guNe avayavAnAm hi tad-guNaH /
   kāraṇaṃ tena nānityaḥ prakāśo nityavastuni // ViSs_2,1.9 //	kAraNam tena na-anityaH prakASaH nitya-vastuni // ViSH-_2,1.9 //
   prakāśāśrayasaṃyogāt prakāśabhūma indhane /	prakASa-ASraya-saMyogAt prakASa-BUmaH inDane /
   ādarśe cāvṛterbhaṅgāt prakāśotpattivibhramaḥ // ViSs_2,1.10 //	AdarSe ca-AvRteH-BaFgAt prakASa-utpatti-viBramaH // ViSH-_2,1.10 //
   tasmānnityātmano jñānaṃ nityaṃ vācyaṃ tathā sati /	tasmAt-nitya-AtmanaH jQAnam nityam vAcyam taTA sati /
   lāghavājjñānamevātmā nirādhāraḥ prakalpyate // ViSs_2,1.11 //	lAGavAt-jQAnam-eva-AtmA nirADAraH prakalpyate // ViSH-_2,1.11 //
   anāśritatayā dravyaṃ saṃyogādeśca tanmatam /	anASrita-tayA dravyam saMyoga-AdeH-ca tat-matam /
   ato jñāne 'hamityādibuddhirapyupapadyate // ViSs_2,1.12 //	atas jQAne aham-ityAdi-budDiH-api-upapadyate // ViSH-_2,1.12 //
   piṇḍe 'handhīrhi mūḍhānāṃ dhruvaivānādidoṣataḥ /	piNxe ahan-DIH-hi mUXAnAm DruvA-eva-anAdi-dozataH /
   saṃyogāttatra piṇḍe tu jñānavattvamatiḥ pramā // ViSs_2,1.13 //	saMyogAt-tatra piNxe tu jQAna-vat-tva-matiH pramA // ViSH-_2,1.13 //
   santu vā '; 'dheyatā 'lpatvajanmanāśādibuddhayaḥ /	santu vA a; aDeya-tA alpa-tva-janma-nASa-Adi-budDayaH /
   śrotrasya nabhasīvārthajñānasya jñānamātrake // ViSs_2,1.14 //	Srotrasya naBasi-iva-arTa-jQAnasya jQAna-mAtrake // ViSH-_2,1.14 //
   tasmāllāghavatarkeṇa bādhakābhāvatastathā /	tasmAt-lAGava-tarkeNa bADaka-aBAvataH-taTA /
   śrutyādibhiśca nityātmā cidrūpeṇaiva sidhyati // ViSs_2,1.15 //	Sruti-AdiBiH-ca nitya-AtmA cit-rUpeNa-eva siDyati // ViSH-_2,1.15 //
   tajjñānaṃ vibhu nityatvāddehavyāpitayā 'pi ca /	tat-jQAnam viBu nitya-tvAt-deha-vyApitayA api ca /
   madhyatve nāśitā hi syādaṇutve vā 'lpadeśatā // ViSs_2,1.16 //	maDya-tve nASitAH hi syAt-aNu-tve vA alpa-deSa-tA // ViSH-_2,1.16 //
   vibhutve 'pi svadhīvṛttereva sākṣānnirīkṣaṇāt /	viBu-tve api svaDI-vRtteH-eva sAkzAt-nirIkzaNAt /
   na sarvatra sadā sarvabhānaṃ jñāne prasajyate // ViSs_2,1.17 //	na sarvatra sadA sarva-BAnam jQAne prasajyate // ViSH-_2,1.17 //
   arthabhānaṃ citāvarthapratibimbo mato budhaiḥ /	arTa-BAnam citO=-arTa-pratibimbaH mataH buDEH /
   vṛttereva cittau sākṣātpratibimbanayogyatā // ViSs_2,1.18 //	vRtteH-eva cittO sAkzAt-pratibimbana-yogya-tA // ViSH-_2,1.18 //
   ato 'saṅge 'pi kūṭasthacaitanye vibhuni dhruve /	atas asaFge api kUwasTa-cEtanye viBuni Druve /
   vṛttidvārakamevānyabhānaṃ phalabalān matam // ViSs_2,1.19 //	vRtti-dvArakam-eva-anya-BAnam Pala-balAt matam // ViSH-_2,1.19 //
   anvayavyatirekābhyāṃ vṛttijanyatayā 'khilaḥ /	anvaya-vyatirekAByAm vRtti-janya-tayA aKilaH /
   vṛtyaikādhikaraṇyena kāmādirdhīṣu nātmasu // ViSs_2,1.20 //	vRtyA-eka-aDikaraNyena kAma-AdiH-DIzu na-Atmasu // ViSH-_2,1.20 //
   ato 'ntaḥsvavikārāṇāṃ svasvabuddhiṣvavasthiteḥ /	atas antar-sva-vikArANAm sva-sva-budDizu-avasTiteH /
   kūṭāstha eva sarvo 'pi cidākāśagaṇaḥ samaḥ // ViSs_2,1.21 //	kUwAsTaH eva sarvaH api cit-AkASa-gaNaH samaH // ViSH-_2,1.21 //
   nityaśuddho nityabuddho nityamukto nirañjanaḥ /	nitya-SudDaH nitya-budDaH nitya-muktaH niraQjanaH /
   svaprakāśo nirādhāraḥ pradīpaḥ sarvavastuṣu // ViSs_2,1.22 //	sva-prakASaH nirADAraH pradIpaH sarva-vastuzu // ViSH-_2,1.22 //
   nanvevamekataivāstu lāghavādātmanāṃ svavat /	nanu-evam-ekatA-eva-astu lAGavAt-AtmanAm sva-vat /
   dhīṣveva sukhaduḥkhādivaidharmyāditi cenna tat // ViSs_2,1.23 //	DIzu-eva suKa-duHKa-Adi-vEDarmyAt-iti ced-na tat // ViSH-_2,1.23 //
   bhogābhogādivaidharmyeṇaikarūpe 'pi cidgaṇe /	Boga-ABoga-Adi-vEDarmyeNa-eka-rUpe api cit-gaNe /
   śrutismṛtibhyāmuktena bhedasiddheḥ parasparam // ViSs_2,1.24 //	Sruti-smRtiByAm-uktena Beda-sidDeH parasparam // ViSH-_2,1.24 //
   sukhādipratibimbhātmā bhogo 'pyasya na vastutaḥ /	suKa-Adi-pratibimBa-AtmA BogaH api-asya na vastutas /
   tathā 'pyasya citau bhāvābhāvau syātāṃ hi bhedakau // ViSs_2,1.25 //	taTA api-asya citO BAva-aBAvO syAtAm hi BedakO // ViSH-_2,1.25 //
   aupādhikau yathā śyāmarāgau sphaṭikabhedakau /	OpADikO yaTA SyAma-rAgO sPawika-BedakO /
   svadṛṣṭāntaśca viṣamo vaidharmyāsiddhito 'mbare // ViSs_2,1.26 //	sva-dRzwAntaH-ca vizamaH vEDarmya-asidDitaH ambare // ViSH-_2,1.26 //
   iti śrīvijñānabhikṣuviracite sāṅkhyasāre puruṣasvarūpaparicchedaḥ // * //	iti SrI-vijQAna-Bikzu-viracite sAFKya-sAre puruza-svarUpa-paricCedaH // * //
   atha dvitīyaḥ paricchedaḥ //	aTa dvitIyaH paricCedaH //
   athātmānātmavaidharmye guṇadoṣātmake tayoḥ /	aTa-AtmA-anAtma-vEDarmye guNa-doza-Atmake tayoH /
   vakṣye vistārato yena viveko 'tisphuṭo bhavet // ViSs_2,2.1 //	vakzye vistArataH yena vivekaH ati-sPuwaH Bavet // ViSH-_2,2.1 //
   sāmānyātmaghanākāśe sānnidhyeritaśaktibhiḥ /	sAmAnya-Atma-Gana-AkASe sAnniDya-Irita-SaktiBiH /
   jāyate līyate bhūtvā bhūyo 'yaṃ jagadambudaḥ // ViSs_2,2.2 //	jAyate lIyate BUtvA BUyas ayam jagat-ambudaH // ViSH-_2,2.2 //
   triguṇātmakaśaktīnāṃ pariṇāmairataścitiḥ /	triguNa-Atmaka-SaktInAm pariNAmEH-atas-citiH /
   ādhāravidhayā viśvopādānamavikārataḥ // ViSs_2,2.3 //	ADAraviDayA viSva-upAdAnam-avikArataH // ViSH-_2,2.3 //
   yathā '; 'dharatayā toyaṃ dharopādānamiṣyate /	yaTA a; aDara-tayA toyam DarA-upAdAnam-izyate /
   svasthapārthivatanmātradvāreṇaivaṃ citirmatā // ViSs_2,2.4 //	svasTa-pArTiva-tanmAtra-dvAreNa-evam citiH-matA // ViSH-_2,2.4 //
   ato jagadupādānamapi brahmāvikārataḥ /	atas jagat-upAdAnam-api brahma-avikArataH /
   kūṭasthanityaparyāyaparamārthasaducyate // ViSs_2,2.5 //	kUwasTa-nitya-paryAya-parama-arTa-sat-ucyate // ViSH-_2,2.5 //
   svārthatvāt svānubhūtyā ca siddhatvāt paramārthasat /	sva-arTa-tvAt sva-anuBUtyA ca sidDa-tvAt parama-arTa-sat /
   svataḥ sthityā svataḥ siddhyā lokaiḥ sanniti hīryate // ViSs_2,2.6 //	svatas sTityA svatas sidDyA lokEH san=-iti hIryate // ViSH-_2,2.6 //
   pratikṣaṇavikāreṇa taistai rūpairapāyataḥ /	pratikzaNa-vikAreNa tEH-tEH rUpEH-apAyataH /
   prakṛtyādirasat sarvo jaḍārtho 'bdhau taraṅgavat // ViSs_2,2.7 //	prakRti-AdiH-asat sarvaH jaxa-arTaH abDO taraFga-vat // ViSH-_2,2.7 //
   yattu kālāntareṇāpi nānyasañjñāmupaiti vai /	yat-tu kAla-antareNa-api na-anya-saQjQAm-upEti vE /
   pariṇāmādisambhūtāṃ tadvastvityādikasmṛteḥ // ViSs_2,2.8 //	pariNAma-Adi-samBUtAm tad-vastu-iti-Adika-smRteH // ViSH-_2,2.8 //
   parārthādhīnasattvācca paradṛṣṭyā ca siddhitaḥ /	para-arTa-aDIna-sattvAt-ca para-dRzwyA ca sidDitaH /
   parataḥ sannasanneva tatparāpekṣayā mataḥ // ViSs_2,2.9 //	paratas san=-asan=-A-iva tad-para-apekzayA mataH // ViSH-_2,2.9 //
   sato 'stitvaṃ tu nāsattā nāstitve satyatā kutaḥ /	sataH astitvam tu na-asattA na-astitve satya-tA kutas /
   iti gāruḍataścaivaṃ sadasattvavyavasthiteḥ // ViSs_2,2.10 //	iti gAruxataH-ca-evam sat-asattva-vyavasTiteH // ViSH-_2,2.10 //
   ato na sannāsadidaṃ jagat sadasadātmakam /	atas na sannAsat-idam jagat sat-asat-Atmakam /
   asadviṣayakatvācca tasya dhīstāttviko bhramaḥ // ViSs_2,2.11 //	asat-vizayaka-tvAt-ca tasya DIH-tAttvikaH BramaH // ViSH-_2,2.11 //
   jagadvṛkṣasya caitanyaṃ sāro 'sārastathetarat /	jagat-vRkzasya cEtanyam sAraH asAraH-taTA-itarat /
   prapañcasya sthirāṃśo hi citirevāvikārataḥ // ViSs_2,2.12 //	prapaQcasya sTira-aMSaH hi citiH-eva-avikArataH // ViSH-_2,2.12 //
   tadanyadakhilaṃ tucchamasāratvādudīryate /	tat-anyat-aKilam tucCamasAra-tvAt-udIryate /
   tathā 'nṛtamasaccāpi tadapekṣāsthiratvataḥ // ViSs_2,2.13 //	taTA anRtam-asat-ca-api tad-apekzA-sTira-tvataH // ViSH-_2,2.13 //
   evaṃvidhaivātmasattā anyāsattā ca darśitā /	evaMviDA-eva-Atma-sattA anya-asattA ca darSitAH /
   vāsiṣṭhādau vistarato yathā leśāttaducyate // ViSs_2,2.14 //	vAsizWa-AdO vistarataH yaTA leSAt-tat-ucyate // ViSH-_2,2.14 //
   svapno jāgratyasadrūpaḥ svapne jāgradasadvapuḥ /	svapnaH jAgrati-asat-rUpaH svapne jAgrat-asat-vapuH /
   mṛtirjanmanyasadrūpā mṛtau janmāpyasanmayam // ViSs_2,2.15 //	mRtiH-janmani-asat-rUpAH mRtO janma-api-asat-mayam // ViSH-_2,2.15 //
   jaganmayī bhrāntiriti na kadāpi na vidyate /	jagat-mayI BrAntiH-iti na kadApi na vidyate /
   vidyate na kadācicca jalabudbudavat sthitam // ViSs_2,2.16 //	vidyate na kadAcid-ca jala-budbuda-vat sTitam // ViSH-_2,2.16 //
   ātmaivāsti paraṃ satyaṃ nānyāḥ saṃsāradṛṣṭayaḥ /	AtmA-eva-asti param satyam na-anyAH saMsAra-dRzwayaH /
   śuktikārajataṃ yadvadyathā marumarīcikā // ViSs_2,2.17 //	SuktikA-rajatam yadvat-yaTA maru-marIcikA // ViSH-_2,2.17 //
