   namaḥ sarvajñāya //	namaH sarvajQAya //
   kalpikaṃ / sa dūtas taṃ bhikṣum evaṃ vaded asti kaścid āryāṇāṃ	kalpikam / sa dUtaH tam Bikzum evam vadet asti kaScid AryANAm
   vaiyyāvṛtyakaro ya āryāṇāṃ vaiyyāvṛtyaṃ pratyanubhavatīti / cīvarārthikena	vEyyAvRtya-karaH yaH AryANAm vEyyAvRtyam pratyanuBavati-iti / cIvara-arTikena
   bhikṣuṇā vaiyyāvṛtyakaro vyapadeṣṭavya ārāmiko vā upāsako vā ete dūta	BikzuNA vEyyAvRtya-karaH vyapadezwavyaH ArAmikaH vA upAsakaH vE ete dUta
   bhikṣūṇāṃ vaiyyāvṛtyakarā ete bhikṣūṇāṃ vaiyyāvṛtyaṃ pratyanubhavantīti /	BikzUNAm vEyyAvRtya-karAH ete BikzUNAm vEyyAvRtyam pratyanuBavanti-iti /
   atha sa dūtas tāni cīvaracetanakāny ādāya yena sa vaiyyāvṛtyakaras	aTa sa dUtaH tAni cIvara-cetanakAni AdAya yena sa vEyyAvRtya-karas
   tenopasaṃkrāmet* / upasaṃkramya taṃ vaiyyāvṛtyakaram evaṃ vadet* / khalv	tena-upasaMkrAmet* / upasaMkramya tam vEyyAvRtya-karam evam vadet* / Kalu-
   āyuṣman vaiyyāvṛtyakara jānīyā ebhis taṃ cīvaracetanakair evaṃrūpam	Ayuzman vEyyAvRtya-kara jAnIyAH eBiH tam cIvara-cetanakEH evaMrUpam
   caivaṃrūpaṃ ca cīvaraṃ cetayitvā evaṃnāmā bhikṣur upasaṃkramiṣyati tam	ca-evaMrUpam ca cIvaram cetayitvA evaMnAmA BikzuH upasaMkramizyati tam
   ācchādayethā cīvareṇa kāle kalpiteneti / atha sa dūtas taṃ	AcCAdayeTA cIvareNa kAle kalpitena-iti / aTa sa dUtaH tam
   vaiyyāvṛtyakaraṃ sādhu ca suṣṭhu ca samanuyujya samanuśiṣya yena sa	vEyyAvRtya-karam sADu ca suzWu ca samanuyujya samanuSizya yena sa
   bhikṣus tena saṃkrāmet* / upasaṃkramya taṃ bhikṣum evaṃ vaded yo 'sāv	BikzuH tena saMkrAmet* / upasaMkramya tam Bikzum evam vadet yaH asO=-
   āryeṇa vaiyyāvṛtyakaro vyapadiṣṭaḥ samanuśiṣṭaḥ samayena tam	AryeNa vEyyAvRtya-karaH vyapadizwaH samanuSizwaH samayena tam
   upasaṃkrāmethā ācchādayiṣyati sa satvāṃ cīvareṇa kāle kalpiteneti /	upasaMkrAmeTAH AcCAdayizyati sa satvAm cIvareNa kAle kalpitena-iti /
   cīvarārthikena bhikṣuṇā vaiyyāvṛtyakara upasaṃkramya dvis triś	cIvara-arTikena BikzuNA vEyyAvRtya-karaH upasaMkramya dvis tris-
   codayitavyaḥ smārayitavyo 'rthiko 'smy āyuṣman vaiyyāvṛtyakara	codayitavyaH smArayitavyaH arTikaH asmi Ayuzman vEyyAvRtya-kara
   cīvareṇārthiko 'smy āyuṣman vaiyyāvṛtyakara cīvareṇeti / dvis triś	cIvareNa-arTikaH asmi Ayuzman vEyyAvRtya-kara cIvareNa-iti / dvis tris-
   codayataḥ smārayataḥ sacet tac cīvaram abhiniṣpadyate ity evaṃ kuśalaṃ no	codayataH smArayataH saced tat cIvaram aBinizpadyate iti evam kuSalam na-u
   ced abhiniṣpadyeta catuṣpaṃcaṣaṭkṛtvaḥ paraṃ tūṣṇīm uddeśe sthātavyaṃ	ced aBinizpadyeta catuzpaMca-zaz-kRtvas param tUzNIm uddeSe sTAtavyam
   catuṣpaṃcaṣaṭkṛtvā paraṃ tūṣṇahīm uddeśe sthitasya sacet tac cīvaram	catuzpaMcazawkRtvA param tu-uzNahIm uddeSe sTitasya saced tat cIvaram
   abhiniṣpadyeta ity evaṃ kuśalaṃ no ced abhiniṣpadyeta na uttari	aBinizpadyeta iti evam kuSalam no ced aBinizpadyeta naH uttari
   dhyāyacchec cīvarasyābhinivartaye abhiṣpanne cīvare naisargikapāyantikā /	DyAyacCet cIvarasya-aBinivartaye aBizpanne cIvare nEsargika-pAyantikA /
   no ced abhiniṣpadyeta yasyā diśas tāni cīvaracetanakāny ānītāni tatra	no ced aBinizpadyeta yasyAH diSaH tAni cIvara-cetanakAni AnItAni tatra
   svayaṃ vā gantavyam āpto vā dūto 'nupreṣitavyaḥ yāni tāny āyuṣmadbhir	svayam vA gantavyam AptaH vA dUtaH anuprezitavyaH yAni tAni AyuzmadBiH-
   evaṃnāmānaṃ bhikṣum uddiśya cīvaracetanakāny anupreṣitāni na tāni tasya	evaMnAmAnam Bikzum uddiSya cIvara-cetanakAni anuprezitAni na tAni tasya
   bhikṣoḥ kaṃcid arthaṃ spharanti prajānātv āyuṣmantaḥ svam arthaṃ mā vo	BikzoH kaMcid arTam sParanti prajAnAtu AyuzmantaH svam arTam mA vaH-
   'rthaḥ praṇaśyatv ity ayaṃ tatra sāmayaḥ /	arTaH praNaSyatu iti ayam tatra sAmayaH /
   NP.11 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur navaṃ kauśeyasaṃstaraṃ	NP.11 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH navam kOSeya-saMstaram
   kārayen naisargikapāyantikā /	kArayet nEsargika-pAyantikA /
   NP.12 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ śuddhakālakānām eḍakaromnāṃ	NP.12 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH SudDa-kAlakAnAm exaka-romnAm
   navaṃ saṃstaraṃ kārayen naisargikapāyantikā /	navam saMstaram kArayet nEsargika-pAyantikA /
   NP.13 (PrMoSū_Mū-Banerjee) navaṃ bhikṣuṇā saṃstaraṃ kārayatā dvau bhāgau	NP.13 (PrMoSU_MU-BaneH-jee) navam BikzuNA saMstaram kArayatA dvO BAgO
   śuddhakālakānām eḍakaromnām ādātavyau tṛtīyo 'vadātānāṃ caturtho	SudDa-kAlakAnAm exaka-romnAm AdAtavyO tRtIyaH avadAtAnAm caturTaH-
   gocarikāṇām anādāya ced bhikṣur dvau bhāgau śuddhakālakānām eḍakaromnāṃ	gocarikANAm anAdAya ced BikzuH dvO BAgO SudDa-kAlakAnAm exaka-romnAm
   tṛtīyo 'vadātānāṃ caturtho gocarikāṇāṃ navaṃ saṃstaraṃ kārayen	tRtIyaH avadAtAnAm caturTaH gocarikANAm navam saMstaram kArayet-
   naisargikapāyantikā /	nEsargika-pAyantikA /
   NP.14 (PrMoSū_Mū-Banerjee) navaṃ bhikṣuṇā saṃstaraṃ kārayatā akāmaṃ ṣaḍ	NP.14 (PrMoSU_MU-BaneH-jee) navam BikzuNA saMstaram kArayatA akAmam zaz-
   varṣāṇi kṛtvā dhārayitavyam* / arvāk ced bhikṣuḥ ṣaṇṇāṃ varṣāṇāṃ taṃ	varzANi kRtvA DArayitavyam* / arvAk ced BikzuH zaNNAm varzANAm tam
   purāṇasaṃstaraṃ niḥsṛjya vā aniḥsṛjya vā anyaṃ navaṃ saṃstaraṃ kārayed	purANa-saMstaram niHsRjya vA aniHsRjya vE anyam navam saMstaram kArayet-
   anyatra saṃghasaṃmatyā [saṃghasaṃvṛtyā] naisargikapāyantikā /	anyatra saMGa-saMmatyA [saMGa-saMvRtyA] nEsargika-pAyantikA /
   NP.15 (PrMoSū_Mū-Banerjee) navaṃ bhikṣuṇā niṣadanaṃ kārayitā	NP.15 (PrMoSU_MU-BaneH-jee) navam BikzuNA nizadanam kArayitA
   purāṇaniṣadanasāmantakāt sugatavitastir ādātavyā navasya durvarṇīkaraṇāya	purANa-nizadana-sAmantakAt sugata-vitastiH AdAtavyAH navasya durvarNIkaraNAya
   / anādāya ced bhikṣuḥ purāṇaniṣadanasāmantakāt sugatavitastiṃ navasya	/ anAdAya ced BikzuH purANa-nizadana-sAmantakAt sugata-vitastim navasya
   durvarṇīkaraṇāya navaṃ niṣadanaṃ paribhuṃjīta naisargikapāyantikā /	durvarNIkaraNAya navam nizadanam pariBuMjIta nEsargika-pAyantikA /
   NP.16 (PrMoSū_Mū-Banerjee) bhikṣoḥ khalv adhvapratipannasyotpadyerann	NP.16 (PrMoSU_MU-BaneH-jee) BikzoH Kalu aDva-pratipannasya-utpadyeran-=-
   eḍakaromāṇy ākāṃkṣatā tena bhikṣuṇā pratigṛhītavyāni pratigṛhya yāvat	exaka-romANi Aka-aMkzatA tena BikzuNA pratigRhItavyAni pratigRhya yAvat-
   triyojanaparamaṃ svayaṃ hartavyāny asati hārake tata uttari pāren	tri-yojana-paramam svayam hartavyAni asati hArake tatas uttari pAren
   naisargikapāyantikā /	nEsargika-pAyantikA /
   NP.17 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur ajñātikayā bhikṣuṇyā	NP.17 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH ajQAtikayA BikzuNyA
   eḍakaromāṇi dhāvayed raṃjayed vivaṭed vivaṭāpayed vā naisargikapāyantikā /	exaka-romANi DAvayet raMjayet vivawet vivawApayet vA nEsargika-pAyantikA /
   NP.18 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ svahastaṃ jātarūparajatam	NP.18 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH sva-hastam jAtarUpa-rajatam
   udgṛhṇīyād udgrāhanasatvā naisargikā pāyantikā /	udgRhNIyAt udgrAhana-satvA nEsargikA pAyantikA /
   NP.19 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur nānāprakāraṃ rūpikavyavahāraṃ	NP.19 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH nAnA-prakAram rUpika-vyavahAram
   samāpadyeta naisargikā pāyantikā /	samApadyeta nEsargikA pAyantikA /
   NP.20 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur nānāprakāraṃ krayavikrayaṃ	NP.20 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH nAnA-prakAram kraya-vikrayam
   samāpadyeta naisargikā pāyantikā /	samApadyeta nEsargikA pAyantikA /
   NP.21 (PrMoSū_Mū-Banerjee) daśāhaparamaṃ bhikṣuṇā atirekapātraṃ	NP.21 (PrMoSU_MU-BaneH-jee) daSa-aha-paramam BikzuNA atireka-pAtram
   dhārayitavyaṃ tata uttaraṃ paridhārayen naisargikā pāyantikā /	DArayitavyam tatas uttaram pariDArayet nEsargikA pAyantikA /
   NP.22 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur ūnapaṃcabandhanena pātreṇa	NP.22 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH Una-paMcabanDanena pAtreNa
   pāribhogikenānyaṃ navaṃ pātraṃ paryeṣeta / kalyāṇakāmatām	pAriBogikena-anyam navam pAtram paryezeta / kalyANa-kAma-tAm
   upādāyābhiniṣpanne pātre naisargikā pāyantikā / tena bhikṣuṇā tat pātraṃ	upAdAya-aBinizpanne pAtre nEsargikA pAyantikA / tena BikzuNA tat pAtram
   bhikṣuparṣady upaniḥsṛṣṭavyaḥ yaḥ tasyāṃ bhikṣuparṣadi pātraparyanto	Bikzu-parzadi upaniHsRzwavyaH yaH tasyAm Bikzu-parzadi pAtra-paryantaH-
   bhavati / tat tasya bhikṣor anupradātavyam idaṃ te bhikṣoḥ pātraṃ	Bavati / tat tasya BikzoH anupradAtavyam idam te BikzoH pAtram
   vādhiṣṭhātavyaṃ na vikārayitavyaṃ sacen mandaṃ mandaṃ paribhoktavyaṃ yāvad	vA-aDizWAtavyam na vikArayitavyam saced mandam mandam pariBoktavyam yAvat-
   bhedanaparyantam upādāya ity ayaṃ tatra samayaḥ /	Bedana-paryantam upAdAya iti ayam tatra samayaH /
   NP.23 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ svayaṃ yācitena	NP.23 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH svayam yAcitena
   sūtreṇājñātinā tantuvāyena cīvaraṃ vāyeyam iti niṣpanne cīvare naisargikā	sUtreNa-ajQAtinA tantuvAyena cIvaram vAyeyam iti nizpanne cIvare nEsargikA
   pāyantikā /	pAyantikA /
   NP.24 (PrMoSū_Mū-Banerjee) bhikṣuṃ khalūddiśyājñātiḥ gṛhapatir vā	NP.24 (PrMoSU_MU-BaneH-jee) Bikzum Kalu-uddiSya-ajQAtiH gRhapatiH vA
   gṛhapatipatnī vājñātitantuvāyena cīvaraṃ vāyayet tatra cet sa bhikṣuḥ	gRhapati-patnI vA-AjQAti-tantu-vAyena cIvaram vAyayet tatra ced sa BikzuH
   pūrvam apravāritaḥ san kaṃcid eva vikalpam āpadya tam ajñātiṃ tantuvāyam	pUrvam apravAritaH san kaMcid eva vikalpam Apadya tam ajQAtim tantuvA-ayam
   upasaṃkramyaivaṃ vadet* / yat khalv āyuṣmāṃs tantuvāya jānīyā idaṃ cīvaram	upasaMkramya-evam vadet* / yat Kalu AyuzmAn tantuvAya jAnIyAH idam cIvaram
   asmān uddiśya ūyate sādhv āyuṣmaṃs tantuvāya idaṃ cīvaraṃ suvistṛtaṃ ca	asmAn uddiSya Uyate sADu Ayuzman tantuvAyaH idam cIvaram su-vistRtam ca
   kuru suvilikhitaṃ ca suvitakṣitaṃ ca svākoṭitaṃ cāpy eva vayam āyuṣmate	kuru su-viliKitam ca suvitakzitam ca svAkowitam ca-api eva vayam Ayuzmate
   tantuvāyāya kāṃcid eva mātram upasaṃhariṣyāmo yaduta piṇḍapātaṃ vā	tantuvAyAya kAMcid eva mAtram upasaMharizyAmaH yat-uta piNxa-pAtam vA
   piṇḍapātamātraṃ vā piṇḍapātasaṃbalaṃ vā cīvarasyābhiniṣpattaye	piNxapAta-mAtram vA piNxa-pAta-saMbalam vA cIvarasya-aBinizpattaye
   abhiniṣpanne cīvare naisargikā pāyantikā /	aBinizpanne cIvare nEsargikA pAyantikA /
   NP.25 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhikṣoś cīvaraṃ datvā tataḥ	NP.25 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH BikzoH cIvaram datvA tatas-
   paścād abhiṣiktaḥ kupitaś caṇḍībhūto nātmamanā ācchindyād ācchedayed vā	paScAt aBiziktaH kupitaH caNxIBUtaH na-Atma-manAH AcCindyAt AcCedayet vA
   evaṃ cainaṃ vaded ānaya bhikṣo cīvaraṃ na te bhūyo dadāmīti / tena	evam ca-enam vadet Anaya BikzaH cIvaram na te BUyas dadAmi-iti / tena
   bhikṣuṇā tac cīvaraṃ tac ca śeṣam upaniḥsṛṣṭavyaṃ bhuktasya ca naisargikā	BikzuNA tat cIvaram tat ca Sezam upaniHsRzwavyam Buktasya ca nEsargikA
   pāyantikā /	pAyantikA /
   NP.26 (PrMoSū_Mū-Banerjee) daśāham āgatāyāṃ kārtikyāṃ paurṇamāsyāṃ bhikṣor	NP.26 (PrMoSU_MU-BaneH-jee) daSa-aham AgatAyAm kArtikyAm pOrNamAsyAm BikzoH-
   utpadyetātyayakacīvaram ākāṃkṣatā tena bhikṣuṇā pratigṛhītavyaṃ pratigṛhya	utpadyeta-atyayaka-cIvaram Aka-aMkzatA tena BikzuNA pratigRhItavyam pratigRhya
   yāvac cīvaradānakālasamayād dhārayitavyaṃ tata uttaraṃ dhārayen naisargikā	yAvat cIvara-dAna-kAla-samayAt DArayitavyam tatas uttaram DArayet nEsargikA
   pāyantikā /	pAyantikA /
   NP.27 (PrMoSū_Mū-Banerjee) bhikṣavaḥ khalu saṃbahulāḥ āraṇyakeṣu	NP.27 (PrMoSU_MU-BaneH-jee) BikzavaH Kalu saMbahulAH AraNyakezu
   śayanāsaneṣu na varṣakā bhavanti sāśaṅkasaṃmateṣu nānābhayasaṃmateṣu	Sayana-Asanezu na varzakAH Bavanti sa-ASaFka-saMmatezu nAnA-Baya-saMmatezu
   sapratibhayabhairavasaṃmateṣu ākāṃkṣatā āraṇyakena bhikṣuṇā trayāṇāṃ	sa-pratiBaya-BErava-saMmatezu Aka-aMkzatA AraNyakena BikzuNA trayANAm
   cīvarāṇām anyatamānyatamaṃ cīvaram antargṛhe upanikṣiptavyaṃ syāt khalv	cIvarANAm anyatama-anyatamam cIvaram antargRhe upanikziptavyam syAt Kalu-
   āraṇyakasya bhikṣos tadrūpapratyayo bahiḥsīmāṃ gantuṃ ṣaḍrātraparamam	AraNyakasya BikzoH tad-rUpa-pratyayaH bahis-si-imAm gantum zaz-rAtra-paramam
   āraṇyakena bhikṣuṇā tasmāc cīvarād bahiḥsīmāṃ vipravastavyaṃ tata uttari	AraNyakena BikzuNA tasmAt cIvarAt bahis-si-imAm vipra-vastavyam tatas uttari
   vipravasen naisargikā pāyantikā /	vipravaset nEsargikA pAyantikA /
   NP.28 (PrMoSū_Mū-Banerjee) māsyaḥ śeṣo grīṣmāṇāṃ bhikṣuṇā varṣāśāṭīcīvaraṃ	NP.28 (PrMoSU_MU-BaneH-jee) mAsyaH SezaH grIzmANAm BikzuNA varzA-SAwI-cIvaram
   paryeṣitavyam ardhamāsāvaśiṣṭā kṛtvā dhārayitavyam* / arvāk ced bhikṣuḥ	paryezitavyam arDa-mAsa-avaSizwA kRtvA DArayitavyam* / arvAk ced BikzuH
   śeṣo grīṣmāṇāṃ varṣāśāṭīcīvaraṃ paryeṣeta ūrdhvam ardhamāsāvaśiṣṭā varṣāḥ	SezaH grIzmANAm varzA-SAwI-cIvaram paryezete UrDvam arDa-mAsa-avaSizwAH varzAH
   kṛtvā dhārayen naisargikā pāyantikā /	kRtvA DArayet nEsargikA pAyantikA /
   NP.29 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur jānan sāṃghikaṃ lābhaṃ	NP.29 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH jAnan sAMGikam lABam
   pariṇatam ātmanaḥ paudgalikaṃ pariṇāmayen naisargikā pāyantikā /	pariNatam AtmanaH pOdgalikam pariNAmayet nEsargikA pAyantikA /
   NP.30 (PrMoSū_Mū-Banerjee) yāni tāni bhagavatā glānānāṃ bhikṣūṇāṃ	NP.30 (PrMoSU_MU-BaneH-jee) yAni tAni BagavatA glAnAnAm BikzUNAm
   sāṃpreyāṇi pratisevanīyāni bhaiṣajyāny ākhyātāni tadyathā sarpis tailaṃ	sAMpreyANi pratisevanIyAni BEzajyAni AKyAtAni tat-yaTA sarpiH tElam
   madhu phāṇitaṃ tāny ākāṃkṣatā glānena bhikṣuṇā saptāhaparamaṃ svayam	maDu PANitam tAni Aka-aMkzatA glAnena BikzuNA sapta-Aha-paramam svayam
   adhiṣṭhāya saṃnidhikāraparibhogena paribhoktavyāni tata uttari	aDizWAya saMniDi-kAra-pariBogena pariBoktavyAni tatas uttari
   paribhuṃjīta naisargikā pāyantikā /	pariBuMjIta nEsargikA pAyantikA /
   uddiṣṭā me āyuṣmantas triṃśan naisargikapāyantikā dharmāḥ / tatrāham	uddizwAH me AyuzmantaH triMSat nEsargika-pAyantikAH DarmAH / tatra-aham
   āyuṣmantaḥ paripṛcchāmi -- kaścit sthātra pariśuddhāḥ	AyuzmantaH paripRcCAmi - kaScid sTA-atra pariSudDAH
   dvir api trir api paripṛcchāmi -- kaścit sthātra pariśuddhāḥ	dvis api tris api paripRcCAmi - kaScid sTA-atra pariSudDAH
   pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etad dhārayāmi /	pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam etat DArayAmi /
   navatiḥ pāyantikā dharmāḥ	navatiH pAyantikAH DarmAH
   ime khalv āyuṣmantaḥ navatiḥ pāyantikā dharmā anvardhamāsaṃ	ime Kalu AyuzmantaH navatiH pAyantikA DarmAH anvarDamAsam
   prātimokṣasūtroddeśam āgacchanti /	prAtimokza-sUtra-uddeSam AgacCanti /
   Pāy.1 (PrMoSū_Mū-Banerjee) saṃprajānan mṛṣāvādāt pāyantikā /	PAy.1 (PrMoSU_MU-BaneH-jee) saMprajAnan mRzAvAdAt pAyantikA /
   Pāy.2 (PrMoSū_Mū-Banerjee) ūnamanuṣyavādāt pāyantikā /	PAy.2 (PrMoSU_MU-BaneH-jee) Una-manuzya-vAdAt pAyantikA /
   Pāy.3 (PrMoSū_Mū-Banerjee) bhikṣupaiśunyāt pāyantikā /	PAy.3 (PrMoSU_MU-BaneH-jee) Bikzu-pESunyAt pAyantikA /
   Pāy.4 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur jānan samagreṇa saṃghena	PAy.4 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH jAnan samagreNa saMGena
   yathādharmam adhikaraṇam upanikṣiptaṃ punaḥ karmaṇaḥ khoṭayet pāyantikā /	yaTADarmam aDikaraNam upanikziptam punar karmaNaH Kowayet pAyantikA /
   Pāy.5 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur mātṛgrāmasyottari	PAy.5 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH mAtR-grAmasya-uttari
   ṣaṭpaṃcikayā vācā dharmaṃ deśayed anyatra vijñapuruṣāt pāyantikā /	zawpaMcikayA vAcA Darmam deSayet anyatra vijQa-puruzAt pAyantikA /
   Pāy.6 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur anupasaṃpannāya pudgalāya	PAy.6 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH anupasaMpannAya pudgalAya
   padaśo dharmaṃ vācayet pāyantikā /	padaSaH Darmam vAcayet pAyantikA /
   Pāy.7 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur anupasaṃpannāya pudgalāya	PAy.7 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH anupasaMpannAya pudgalAya
   duṣṭhulāpattim ārocayed anyatra saṃghasaṃmatyān [saṃghasaṃvṛtyā] pāyantikā	duzWula-Apattim Arocayet anyatra saMGa-saMmatyAn [saMGa-saMvRtyA] pAyantikA
   Pāy.8 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur anupasaṃpannāya	PAy.8 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH anupasaMpannAya
   pudgalāyottaraṃmanuṣyadharmam ārocayed bhūtāt pāyantikā /	pudgalAya-uttaraMmanuzya-Darmam Arocayet BUtAt pAyantikA /
   Pāy.9 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ pūrvaṃ samanujño bhūtvā tataḥ	PAy.9 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH pUrvam sa-manujQaH BUtvA tatas-
   paścād evaṃ vaded yathā saṃstutikayāyuṣmantaḥ sāṃghikaṃ lābhaṃ pariṇatam	paScAt evam vadet yaTA saMstutikayA-AyuzmantaH sAMGikam lABam pariNatam
   ātmanaḥ paudgalikaṃ pariṇāmayantīti pāyantikā /	AtmanaH pOdgalikam pariNAmayanti-iti pAyantikA /
   Pāy.10 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur anvardhamāsaṃ	PAy.10 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH anvarDamAsam
   prātimokṣasūtroddeśe uddiśyamāne evaṃ vadet kiṃ punar ebhir āyuṣmantaḥ	prAtimokza-sUtra-uddeSe uddiSyamAne evam vadet kim punar eBiH AyuzmantaH
   kṣudrānukṣudraiḥ śikṣāpadair anvardhamāsaṃ prātimokṣasūtroddeśair	kzudra-anukzudrEH SikzA-padEH anvarDa-mAsam prAtimokza-sUtra-uddeSEH-
   uccāryamānair yāni bhikṣūṇāṃ kaukṛtyāya saṃvartante ālekhāya vilekhāya	uccAryamAnEH yAni BikzUNAm kOkRtyAya saMvartante AleKAya vileKAya
   vileṭhāya vipratisārāyeti śikṣāpadavilaṃghanāt pāyantikā /	vileWAya vipratisArAya-iti SikzA-pada-vilaMGanAt pAyantikA /
   Pāy.11 (PrMoSū_Mū-Banerjee) bījagrāmabhūtagrāmapātanapātāpanāt pāyantikā /	PAy.11 (PrMoSU_MU-BaneH-jee) bIja-grAma-BUta-grAma-pAtana-pAtApanAt pAyantikA /
   Pāy.12 (PrMoSū_Mū-Banerjee) avadhyānakṣipaṇāt pāyantikā /	PAy.12 (PrMoSU_MU-BaneH-jee) avaDya-anakzi-paNAt pAyantikA /
   Pāy.13 (PrMoSū_Mū-Banerjee) ājñāviheṭhanāt pāyantikā /	PAy.13 (PrMoSU_MU-BaneH-jee) AjQA-viheWanAt pAyantikA /
   Pāy.14 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ sāṃghikaṃ maṃcaṃ vā pīṭhaṃ	PAy.14 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH sAMGikam maMcam vA pIWam
   vā vṛṣiko vā biṃbopadhānacaturaśrakaṃ vā abhyavakāśe upanikṣipyoparikṣipya	vA vRzikaH vA biMba-upaDAna-caturaSrakam vA aByavakASe upanikzipya-uparikzipya
   vā anuddhṛtānuddhṛtya vā tato viprakrāmet santaṃ bhikṣum anavalokyānyatra	vA anudDRtAn-udDRtya vA tatas viprakrAmet santam Bikzum anavalokya-anyatra
   tadrūpāt pratyayāt pāyantikā /	tad-rUpAt pratyayAt pAyantikA /
   Pāy.15 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ sāṃghike vihāre	PAy.15 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH sAMGike vihAre
   tṛṇasaṃstaraṃ vā parṇasaṃstaraṃ vā saṃstīrya vā saṃstārya vā	tRNa-saMstaram vA parNa-saMstaram vA saMstIrya vA saMstArya vA
   anuddhṛtyānuddhārya vā tato viprakrāmet santaṃ bhikṣum anavalokyānyatra	anudDRtya-anudDArya vA tatas viprakrAmet santam Bikzum anavalokya-anyatra
   tadrūpāt pratyayāt pāyantikā /	tad-rUpAt pratyayAt pAyantikA /
   Pāy.16 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur abhiṣaktaḥ kupitaś	PAy.16 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH aBizaktaH kupitaS
   caṇḍībhūto 'nāttamanā sāṃghikād vihārād bhikṣuṃ niṣkarṣen niṣkārṣāpayed vā	caNxIBUtaH anAtta-manA sAMGikAt vihArAt Bikzum nizkarzet nizkArzApayet vA
   anyatra tadrūpāt pratyayāt pāyantikā /	anyatra tad-rUpAt pratyayAt pAyantikA /
   Pāy.17 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur jānan sāṃghike vihāre	PAy.17 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH jAnan sAMGike vihAre
   pūrvopagatānāṃ bhikṣūṇāṃ tataḥ paścād āgatyānupraskandyāsane niṣadyāṃ	pUrva-upagatAnAm BikzUNAm tatas paScAt Agatya-anupraskandya-Asane nizadyAm
   śayyāṃ vā kalpayed yasya saṃbādho bhaviṣyati sa viprakramiṣyatīti ity eva	SayyAm vA kalpayet yasya saMbADaH Bavizyati sa viprakramizyati-iti iti eva
   pratyayaṃ kṛtvā pāyantikā /	pratyayam kRtvA pAyantikA /
   Pāy.18 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur jānan sāṃghike vihāre	PAy.18 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH jAnan sAMGike vihAre
   uparivihāyasikṛtāyāṃ kuṭikāyām āhāryapādake maṃce vā pīṭhe vā sahasā	upari-vihAyasi-kRtAyAm kuwikAyAm AhArya-pAdake maMce vA pIWe vA sahasA
   balenābhipaded vābhinipadyeta vā pāyantikā /	balena-aBipadet vA-aBinipadyeta vA pAyantikA /
   Pāy.19 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur jānan saprāṇakenodakena	PAy.19 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH jAnan sa-prANakena-udakena
   tṛṇaṃ vā gomayaṃ vā mṛttikāṃ vā siñcet siñcayed vā pāyantikā /	tRNam vA gomayam vA mRttikAm vA siQcet siQcayet vA pAyantikA /
