   akarod dharmato rājyaṃ NsP_52.124e	akarot DarmataH rAjyam NsP_52.124e
   madhyarātre tathoṣasi NsP_56.31d	maDyarAtre taTA uzasi NsP_56.31d
   madhyāhne cāryamā yadā NsP_30.50d	maDyAhne ca aryamA yadA NsP_30.50d
   madhyāhne tv amarāvatyāṃ NsP_30.51a	maDyAhne tu amarAvatyAm NsP_30.51a
   madhye caiva śivaḥ sthitaḥ NsP_30.45d	maDye ca eva SivaH sTitaH NsP_30.45d
   madhye nikṣipatāmbudheḥ NsP_43.30b	maDye nikzipata ambuDeH NsP_43.30b
   madhye pṛthivyām adrīndro NsP_30.19a	maDye pRTivyAm adri indraH NsP_30.19a
   madhyerājasabhaṃ bālas NsP_31.11cda	maDyerAja saBam bAlaH NsP_31.11cda
   madhyesabhaṃ narapater NsP_31.3c	maDyesaBam narapateH NsP_31.3c
   manavas tu caturdaśa NsP_2.16b	manavaH tu caturdaSa NsP_2.16b
   manasā tadviyogaṃ tu NsP_47.66a	manasA tad viyogam tu NsP_47.66a
   manasāvandya rāmaṃ ca NsP_51.2c	manasA Avandya rAmam ca NsP_51.2c
   manase sarasi sthitā NsP_63.66b	manase sarasi sTitA NsP_63.66b
   manasaiva hi pārthivaḥ NsP_24.29b	manasA eva hi pArTivaH NsP_24.29b
   manasaiva hi bhūtāni NsP_5.37a	manasA eva hi BUtAni NsP_5.37a
   manas tatraiva saṃlagnaṃ NsP_7.55c	manaH tatra eva saMlagnam NsP_7.55c
   manas tasmin niveśya ca NsP_7.53d	manaH tasmin niveSya ca NsP_7.53d
   manaḥ prasādam agamat NsP_64.29c	manaH prasAdam agamat NsP_64.29c
   manaḥ saṃyamya tattvataḥ NsP_7.42d	manaH saMyamya tattvataH NsP_7.42d
   manaḥ sūkṣme parātmani NsP_24.43b	manaH sUkzme para Atmani NsP_24.43b
   manujebhyas tathātmane NsP_60.3d	manujeByaH taTA Atmane NsP_60.3d
   manudeśeṣu sarveṣu NsP_50.129a	manu deSezu sarvezu NsP_50.129a
   manunā rājyakāmena NsP_31.69c	manunA rAjya kAmena NsP_31.69c
   manuputraḥ puroditaḥ NsP_24.2b	manu putraH purA uditaH NsP_24.2b
   manuṣyāṇaṃ nibodha me NsP_2.6b	manuzyANam niboDa me NsP_2.6b
   manuṣyāṃś ca paśūṃs tathā NsP_2.23d	manuzyAn ca paSUn taTA NsP_2.23d
   manuṣyāḥ sādhakā matāḥ NsP_3.21d	manuzyAH sADakAH matAH NsP_3.21d
   manusiddhim avāpnuyāt NsP_17.19b	manu sidDim avApnuyAt NsP_17.19b
   manus tatsūnavo 'pi ye NsP_2.17b	manuH tad sUnavaH api ye NsP_2.17b
   manuṃ svāyaṃbhuvaṃ prabhuḥ NsP_3.8d	manum svAyaMBuvam praBuH NsP_3.8d
   manuḥ saptarṣayo devā NsP_23.37a	manuH saptarzayaH devAH NsP_23.37a
   manuḥ svāyaṃbhuvaḥ sutām NsP_5.22b	manuH svAyaMBuvaH sutAm NsP_5.22b
   manogatas tvattapasāsmi tuṣṭaḥ NsP_31.79b	manogataH tvad tapasA asmi tuzwaH NsP_31.79b
   manogataṃ tat paramaṃ tutoṣa NsP_63.28b	manogatam tat paramam tutoza NsP_63.28b
   mano niyamayed ekaṃ NsP_34.58c	manaH niyamayet ekam NsP_34.58c
   mano niyamitaṃ yena NsP_34.59a	manaH niyamitam yena NsP_34.59a
   manonirodhena ca duṣkareṇa NsP_31.79d	manaH niroDena ca duzkareNa NsP_31.79d
   manonirmalatā tīrthaṃ NsP_67.2a	manaH nirmala tA tIrTam NsP_67.2a
   manorathapathātītaṃ NsP_31.57c	manoraTa paTa atItam NsP_31.57c
   manor manvantarasya tu NsP_1.23b	manoH manvantarasya tu NsP_1.23b
   manovākkāyakarmabhiḥ NsP_58.15b	manaH vAc kAya karmaBiH NsP_58.15b
   mano viṣṇau samāveśya NsP_25.28c	manaH vizNO samAveSya NsP_25.28c
   manoḥ sūnuḥ pratāpavan NsP_24.19d	manoH sUnuH pratApa van NsP_24.19d
   manoḥ svāyaṃbhuvasyāsīd NsP_31.2a	manoH svAyaMBuvasya AsIt NsP_31.2a
   mantrapiṇḍavaśād yogaṃ NsP_47.42a	mantra piNxa vaSAt yogam NsP_47.42a
   mantrapūrvaṃ mahārāja NsP_34.11c	mantra pUrvam mahA rAja NsP_34.11c
   mantram enaṃ tu yo japet NsP_17.17d	mantram enam tu yaH japet NsP_17.17d
   mantrarūpaṃ na saṃśayaḥ NsP_17.28b	mantra rUpam na saMSayaH NsP_17.28b
   mantravat pravrajet punaḥ NsP_60.4d	mantravat pravrajet punar NsP_60.4d
   mantravad bhāskaraṃ namet NsP_60.10d	mantravat BAskaram namet NsP_60.10d
   mantravān prokṣya cātmānaṃ NsP_58.53a	mantravAn prokzya ca AtmAnam NsP_58.53a
   mantraṃ prādāj jayapradam NsP_52.98d	mantram prAdAt jaya pradam NsP_52.98d
   mantraṃ vai dvādaśākṣaram NsP_25.28d	mantram vE dvAdaSa akzaram NsP_25.28d
   mantraḥ sarvārthasādhakaḥ NsP_17.8b	mantraH sarva arTa sADakaH NsP_17.8b
   mantraḥ sarvārthasādhakaḥ NsP_63.6d	mantraH sarva arTa sADakaH NsP_63.6d
   mantraḥ sarvārthasādhakaḥ NsP_64.92d	mantraH sarva arTa sADakaH NsP_64.92d
   mantrāṇāṃ paramo mantro NsP_17.25c	mantrANAm paramaH mantraH NsP_17.25c
   mantrāṇāṃ mantram uttamam NsP_17.2b	mantrANAm mantram uttamam NsP_17.2b
   mantrigaṇaś ca tvarānvitaḥ NsP_48.6b	mantri gaNaH ca tvarA anvitaH NsP_48.6b
   mantriṇaḥ pauramukhyāś ca NsP_48.71c	mantriNaH pOra muKyAH ca NsP_48.71c
   mantriṇaḥ śīghrakāriṇaḥ NsP_48.14b	mantriNaH SIGrakAriNaH NsP_48.14b
   mantriṇā mantrināyakaḥ NsP_48.129b	mantriNA mantri nAyakaH NsP_48.129b
   mantriṇo mātṛvargaś ca NsP_48.151a	mantriNaH mAtRvargaH ca NsP_48.151a
   mantribhiḥ saha kāryāṇi NsP_48.27c	mantriBiH saha kAryANi NsP_48.27c
   mantreṇa snāpite yac ca NsP_33.5c	mantreNa snApite yat ca NsP_33.5c
   mantreṇānena vai dadyāc NsP_67.13c	mantreNa anena vE dadyAt NsP_67.13c
   mantreṇaiva tu mantravit NsP_60.7d	mantreNa eva tu mantra vid NsP_60.7d
   manthadhvaṃ kṣīrasāgaram NsP_38.9d	manTaDvam kzIrasAgaram NsP_38.9d
   manthānaṃ mandaraṃ kṛtvā NsP_38.8c	manTAnam mandaram kRtvA NsP_38.8c
   manthānaṃ mandaraṃ kṛtvā NsP_38.18a	manTAnam mandaram kRtvA NsP_38.18a
   manda kiṃ tvaṃ na lajjase NsP_41.56b	manda kim tvam na lajjase NsP_41.56b
   mandarasthaṃ hariṃ devaṃ NsP_65.2a	mandara sTam harim devam NsP_65.2a
   mandarasya girer adhaḥ NsP_38.21d	mandarasya gireH aDas NsP_38.21d
   mandaraṃ prati bhūdharam NsP_63.83b	mandaram prati BUDaram NsP_63.83b
   mandaraṃ madhusūdanaḥ NsP_38.22b	mandaram maDusUdanaH NsP_38.22b
   mandarākhyo mahāgiriḥ NsP_38.14d	mandara AKyaH mahA giriH NsP_38.14d
   mandare madhusūdanam NsP_65.7b	mandare maDusUdanam NsP_65.7b
   mandaro 'dhaḥ praviśya ca NsP_38.20b	mandaraH aDas praviSya ca NsP_38.20b
   mandāragiriketanaḥ NsP_40.44b	mandAra giri ketanaH NsP_40.44b
   mandiraṃ prāptavān niśi NsP_33.67b	mandiram prAptavAn niSi NsP_33.67b
   mandehā nāma rākṣasāḥ NsP_58.53d	mandehAH nAma rAkzasAH NsP_58.53d
   mandehān ravivairiṇaḥ NsP_58.55b	mandehAn ravi vEriNaH NsP_58.55b
   manmathākārasadṛśaṃ NsP_49.34a	manmaTa AkAra sadRSam NsP_49.34a
   manyase nānṛtaṃ tv etat NsP_13.59c	manyase na anRtam tu etat NsP_13.59c
   manvantarasya saṃkhyeyaṃ NsP_2.21c	manvantarasya saMKyeyam NsP_2.21c
   manvantaraṃ cāpi caturdaśākhyam NsP_22.16d	manvantaram ca api caturdaSa AKyam NsP_22.16d
   manvantaraṃ manoḥ kālaḥ NsP_2.18c	manvantaram manoH kAlaH NsP_2.18c
   manvantare bhavanty ete NsP_23.37c	manvantare Bavanti ete NsP_23.37c
   mamajja tapasādṛtaḥ NsP_3.6d	mamajja tapasA AdRtaH NsP_3.6d
   mama taccaritaṃ dṛṣṭvā NsP_33.55c	mama tat caritam dRzwvA NsP_33.55c
   mama tadbhārahāniḥ syād NsP_53.4c	mama tad BAra hAniH syAt NsP_53.4c
   mama dehi jagatpate NsP_10.44d	mama dehi jagatpate NsP_10.44d
   mama nārīsamudbhavam NsP_63.62d	mama nArI samudBavam NsP_63.62d
   mamanthuḥ kṣīrasāgaram NsP_38.23f	mamanTuH kzIrasAgaram NsP_38.23f
   mama prasādāt tava sā ca mātā NsP_31.96c	mama prasAdAt tava sA ca mAtA NsP_31.96c
   mama brūṣe puro harim NsP_41.61d	mama brUze puras harim NsP_41.61d
   mama mādhava śrīpate NsP_10.45b	mama mADava SrIpate NsP_10.45b
   mama rūpasamā rāmā NsP_63.78c	mama rUpa samA rAmA NsP_63.78c
   mama loke sa modate NsP_11.61d	mama loke sa modate NsP_11.61d
   mama loke sa modate NsP_65.28d	mama loke sa modate NsP_65.28d
   mama vākyān mahāmate NsP_5.6d	mama vAkyAt mahAmate NsP_5.6d
   mama vālir mahābalaḥ NsP_50.104d	mama vAliH mahA balaH NsP_50.104d
   mama satyāc ca sukṛtād NsP_33.36c	mama satyAt ca sukRtAt NsP_33.36c
   mama sarvārthasādhakam NsP_64.7d	mama sarva arTa sADakam NsP_64.7d
   mama saṃśayabhājinaḥ NsP_33.37b	mama saMSaya BAjinaH NsP_33.37b
   mama sṛṣṭis tvayā purā NsP_18.4b	mama sRzwiH tvayA purA NsP_18.4b
   mamāgniśaraṇārthāya NsP_45.32a	mama agni SaraNa arTAya NsP_45.32a
   mamāgre 'varṇayat tava NsP_42.8b	mama agre avarNayat tava NsP_42.8b
   mamātmajasya kiṃ jāḍyāṃ NsP_41.52c	mama Atmajasya kim jAxyAm NsP_41.52c
   mamātra tapaso bhāvān NsP_63.97c	mama atra tapasaH BAvAn NsP_63.97c
   mamādya sarvaṃ samaduḥkhitasya bhoḥ NsP_49.119c	mama adya sarvam sama duHKitasya BoH NsP_49.119c
   mamāntike yā ca sunītir āryā NsP_31.96d	mama antike yA ca sunItiH AryA NsP_31.96d
   mamāparādhān nayanaṃ NsP_55.16a	mama aparADAt nayanam NsP_55.16a
   mamāpi śṛṇu sāṃpratam NsP_45.21b	mama api SRNu sAMpratam NsP_45.21b
   mamaiva caritaṃ purā NsP_33.61b	mama eva caritam purA NsP_33.61b
   mamaiva pārṣado bhava NsP_64.116d	mama eva pArzadaH Bava NsP_64.116d
   mamaiva putraṃ rājānaṃ NsP_48.113c	mama eva putram rAjAnam NsP_48.113c
   mamaiva pūjāṃ kuruta NsP_40.19a	mama eva pUjAm kuruta NsP_40.19a
   mayā ca kathitaṃ tava NsP_67.21d	mayA ca kaTitam tava NsP_67.21d
   mayā ca tat partijñātam NsP_50.105c	mayA ca tat parti jQAtam NsP_50.105c
   mayā jñānam anuttamam NsP_25.54d	mayA jQAnam anuttamam NsP_25.54d
   mayā tava hi pṛcchataḥ NsP_13.59b	mayA tava hi pRcCataH NsP_13.59b
   mayā tavāhitaṃ yac ca NsP_13.52a	mayA tava ahitam yat ca NsP_13.52a
   mayā tavehārcanam acyutasya NsP_34.60b	mayA tava iha arcanam acyutasya NsP_34.60b
   mayā tiṣṭhātmakaśmale NsP_49.46d	mayA tizWa Atma kaSmale NsP_49.46d
   mayā te kīrtitaḥ prabhuḥ NsP_5.15d	mayA te kIrtitaH praBuH NsP_5.15d
   mayā te 'patyasaṃtatiḥ NsP_5.65d	mayA te apatya saMtatiH NsP_5.65d
   mayā te parikīrtitāḥ NsP_5.65b	mayA te parikIrtitAH NsP_5.65b
   mayā te munisattama NsP_3.9d	mayA te muni sattama NsP_3.9d
   mayā dattaṃ padatrayam NsP_45.33b	mayA dattam pada trayam NsP_45.33b
   mayā dṛṣṭā pativratā NsP_51.53d	mayA dRzwA pativratA NsP_51.53d
   mayā dṛṣṭo jale nṛpa NsP_25.53d	mayA dRzwaH jale nRpa NsP_25.53d
   mayādhunā te haribhaktivardhanam NsP_9.10b	mayA aDunA te hari Bakti varDanam NsP_9.10b
   mayā pitṛmukheritam NsP_48.158b	mayA pitR muKa Iritam NsP_48.158b
   mayāpy apakṛtaṃ nātha NsP_33.48c	mayA api apakRtam nATa NsP_33.48c
   mayā bhaja janārdanam NsP_17.34d	mayA Baja janArdanam NsP_17.34d
   mayā bhavati nānyathā NsP_50.69d	mayA Bavati na anyaTA NsP_50.69d
   mayā bhṛguniyuktena NsP_63.119c	mayA BRgu niyuktena NsP_63.119c
   mayā bhogecchayā dvija NsP_33.69b	mayA Boga icCayA dvija NsP_33.69b
   mayā muktaṃ nirargalam NsP_48.41b	mayA muktam nirargalam NsP_48.41b
   mayā vaḥ kathitaḥ sarvo NsP_61.14a	mayA vaH kaTitaH sarvaH NsP_61.14a
   mayā vā saṃgaraṃ kuru NsP_47.147b	mayA vA saMgaram kuru NsP_47.147b
   mayā vicitrāḥ pāpaghnyaḥ NsP_18.3c	mayA vicitrAH pApa GnyaH NsP_18.3c
   mayā saha viniṣkramya NsP_50.12a	mayA saha vinizkramya NsP_50.12a
   mayā saṃbhāṣitā sītā NsP_51.54a	mayA saMBAzitA sItA NsP_51.54a
   mayā sārdhaṃ mahāmate NsP_50.111d	mayA sArDam mahAmate NsP_50.111d
   mayāsya jagato dvija NsP_6.1b	mayA asya jagataH dvija NsP_6.1b
   mayi kṣipto 'dya vaiṣṇava NsP_43.44d	mayi kziptaH adya vEzNava NsP_43.44d
   mayi dūte daśānanī NsP_52.32b	mayi dUte daSAnanI NsP_52.32b
   mayi bhaktiṃ dṛḍhāṃ kṛtvā NsP_11.61c	mayi Baktim dRXAm kRtvA NsP_11.61c
   mayetthaṃ saṃstuto bhaktyā NsP_25.18c	mayA itTam saMstutaH BaktyA NsP_25.18c
   maye svasmin sthite munau NsP_43.36d	maye svasmin sTite munO NsP_43.36d
   mayaiva saha suvrata NsP_64.116b	mayA eva saha suvrata NsP_64.116b
   mayaivaṃ te prakīrtitaḥ NsP_56.47d	mayA evam te prakIrtitaH NsP_56.47d
   mayocyamānaṃ kramaśo munīndrāḥ NsP_58.16d	mayA ucyamAnam kramaSas muni indrAH NsP_58.16d
   mayocyamānaṃ ca vimucya pāpaṃ NsP_36.11c	mayA ucyamAnam ca vimucya pApam NsP_36.11c
   mayocyamānāñ chaśinaḥ samāhitaḥ NsP_21.17c	mayA ucyamAnAn CaSinaH samAhitaH NsP_21.17c
   mayocyamānāṃ śṛṇvantu NsP_14.1c	mayA ucyamAnAm SRNvantu NsP_14.1c
   mayy astu te bhṛguśreṣṭha NsP_11.60a	mayi astu te BRgu SrezWa NsP_11.60a
   marīcim atryaṅgirasaṃ NsP_5.18a	marIcim atri aFgirasam NsP_5.18a
   marīcir atriś ca tathā NsP_4.2c	marIciH atriH ca taTA NsP_4.2c
   marīcyādaya eva ca NsP_4.2b	marIci AdayaH eva ca NsP_4.2b
   marīcyādiṣu vai mune NsP_67.19b	marIci Adizu vE mune NsP_67.19b
   marīcyādīnāṃ tu ye putrās NsP_5.29a	marIci AdInAm tu ye putrAH NsP_5.29a
   marīcyādyā maharṣayaḥ NsP_4.8b	marIci AdyAH mahA RzayaH NsP_4.8b
   marīcyādyās tadā dhruvam NsP_31.56d	marIci AdyAH tadA Druvam NsP_31.56d
   marīcyādyair mahābhāgaiḥ NsP_58.56a	marIci AdyEH mahABAgEH NsP_58.56a
   marutāṃ vistareṇoktā NsP_18.5a	marutAm vistareNa uktA NsP_18.5a
   marutvatyāṃ marutvanto NsP_5.43a	marutvatyAm marutvantaH NsP_5.43a
   martyānām iha kīrtitam NsP_2.9d	martyAnAm iha kIrtitam NsP_2.9d
   martyā yakṣyanti devatāḥ NsP_39.7b	martyAH yakzyanti devatAH NsP_39.7b
   malāktaṃ tu daśāhīnaṃ NsP_58.73a	mala aktam tu daSa ahInam NsP_58.73a
   mallikāmālatījāti  NsP_24.9c	mallikA mAlatI jAti NsP_24.9c
   mallikāmālatījāti  NsP_28.11c	mallikA mAlatI jAti NsP_28.11c
   mallikāmālatījāti  NsP_34.18c	mallikA mAlatI jAti NsP_34.18c
   mahatā tapasaānītā NsP_48.91c	mahatA tapasaA AnItA NsP_48.91c
   mahatā tu varān imān NsP_40.11b	mahatA tu varAn imAn NsP_40.11b
   mahatā sa tathāvṛtaḥ NsP_1.43b	mahatA sa taTA AvRtaH NsP_1.43b
   mahattattvād ajāyata NsP_1.42d	mahat tattvAt ajAyata NsP_1.42d
   mahat padmam ajāyata NsP_25.40b	mahat padmam ajAyata NsP_25.40b
   mahat padmam ajāyata NsP_37.5b	mahat padmam ajAyata NsP_37.5b
   mahat pāpaṃ tvayā kṛtam NsP_48.117d	mahat pApam tvayA kRtam NsP_48.117d
   mahatyā senayā yuktaḥ NsP_51.36a	mahatyA senayA yuktaH NsP_51.36a
   mahat saukhyam avāpnuyāt NsP_42.7d	mahat sOKyam avApnuyAt NsP_42.7d
   mahad api suvicārya lokatattvaṃ NsP_9.6a	mahat api su vicArya loka tattvam NsP_9.6a
   mahad ākhyānam uttamam NsP_7.9d	mahat AKyAnam uttamam NsP_7.9d
   mahadādyā viśeṣāntās NsP_1.60c	mahat AdyAH viSeza antAH NsP_1.60c
   mahadānandakānane NsP_41.24d	mahat Ananda ka Anane NsP_41.24d
   mahākāyau mahāvīryau NsP_37.4c	mahA kAyO mahA vIryO NsP_37.4c
   mahāgaṇapatiṃ śūram NsP_25.6a	mahAgaNapatim SUram NsP_25.6a
   mahātmann anugṛhṇīṣva NsP_43.46a	mahAtman anugRhNIzva NsP_43.46a
   mahātman sutarāṃ dhanyaḥ NsP_43.51c	mahAtman sutarAm DanyaH NsP_43.51c
   mahātmāno munīśvarāḥ NsP_31.71b	mahAtmAnaH muni ISvarAH NsP_31.71b
   mahādarīguhābhiś ca NsP_6.15c	mahA AdarI guhABiH ca NsP_6.15c
   mahādaṃṣṭraṃ mahābhujam NsP_44.14d	mahAdaMzwram mahA Bujam NsP_44.14d
   mahādevaḥ pinākadhṛk NsP_52.122d	mahAdevaH pinAkaDRk NsP_52.122d
   mahādevena kīrtitam NsP_16.38b	mahAdevena kIrtitam NsP_16.38b
   mahānakhaṃ mahāpādaṃ NsP_44.15a	mahAnaKam mahA pAdam NsP_44.15a
   mahānadyo nadān api NsP_64.20d	mahAnadyaH nadAn api NsP_64.20d
   mahānavamyāṃ dvādaśyāṃ NsP_58.109a	mahAnavamyAm dvAdaSyAm NsP_58.109a
   mahānubhāvasya tavātmajasya NsP_42.33c	mahA anuBAvasya tava Atmajasya NsP_42.33c
   mahānetraṃ mahāvaktraṃ NsP_44.14c	mahA netram mahA vaktram NsP_44.14c
   mahāntaṃ lokaviśrutam NsP_52.104d	mahAntam loka viSrutam NsP_52.104d
   mahānti surasāni ca NsP_66.14b	mahAnti surasAni ca NsP_66.14b
   mahāpātakam ity āhuḥ NsP_12.19a	mahApAtakam iti AhuH NsP_12.19a
   mahāpātakayukto 'pi NsP_17.17a	mahApAtaka yuktaH api NsP_17.17a
   mahāpātakasaṃtatiḥ NsP_31.60b	mahApAtaka saMtatiH NsP_31.60b
   mahāpātakinām api NsP_50.51b	mahApAtakinAm api NsP_50.51b
   mahāpāpakṛtaṃ ghoraṃ NsP_16.6a	mahA pApa kRtam Goram NsP_16.6a
   mahāpāparato nityaṃ NsP_33.64c	mahA pApa rataH nityam NsP_33.64c
   mahāphalasamanvitaḥ NsP_66.15d	mahA Pala samanvitaH NsP_66.15d
   mahābandhaṃ kṣapācarāḥ NsP_43.31d	mahAbanDam kzapA carAH NsP_43.31d
   mahābalaparākramaḥ NsP_39.5d	mahA bala parAkramaH NsP_39.5d
   mahābalaparākramaḥ NsP_45.2b	mahA bala parAkramaH NsP_45.2b
   mahābalaparākramaḥ NsP_46.35d	mahA bala parAkramaH NsP_46.35d
   mahābalaparākramaḥ NsP_46.39d	mahA bala parAkramaH NsP_46.39d
   mahābalaparākramaḥ NsP_50.20d	mahA bala parAkramaH NsP_50.20d
   mahābalaparākramaḥ NsP_50.79d	mahA bala parAkramaH NsP_50.79d
   mahābalaparākramāḥ NsP_47.8b	mahA bala parAkramAH NsP_47.8b
   mahābalaparākramāḥ NsP_50.84b	mahA bala parAkramAH NsP_50.84b
   mahābalaparākramau NsP_37.4d	mahA bala parAkramO NsP_37.4d
   mahābalaparīvārā NsP_49.53c	mahA bala parIvArA NsP_49.53c
   mahābalaparīvāro NsP_48.132a	mahA bala parIvAraH NsP_48.132a
   mahābhūtaviśākhaś ca NsP_15.6a	mahABUta viSAKaH ca NsP_15.6a
   mahāmatiṃ mahāprājñaṃ NsP_64.39c	mahAmatim mahA prAjQam NsP_64.39c
   mahāmantra upāsitaḥ NsP_31.69b	mahA mantraH upAsitaH NsP_31.69b
   mahāyogaṃ prapanno 'smi NsP_7.70c	mahA yogam prapannaH asmi NsP_7.70c
   mahārāja mahotsavaḥ NsP_42.11b	mahA rAja mahA utsavaH NsP_42.11b
   mahārhamaṇicitreṇa NsP_34.37c	mahArha maNi citreNa NsP_34.37c
   mahālakṣaṃ mahācalam NsP_52.71b	mahAlakzam mahA acalam NsP_52.71b
   mahāsukṛtasaṃbhārair NsP_31.26a	mahA su kRta saMBArEH NsP_31.26a
   mahāsukhaṃ yo 'nyasukhāni vāñchet NsP_43.11b	mahAsuKam yaH anya suKAni vAQCet NsP_43.11b
   mahimā tena varṇitaḥ NsP_33.80d	mahimA tena varNitaH NsP_33.80d
   mahiṣākhyaṃ ca guggulam NsP_25.66b	mahiza AKyam ca guggulam NsP_25.66b
   mahiṣyaḥ śobhanā yās tu NsP_25.64c	mahizyaH SoBanAH yAH tu NsP_25.64c
   mahī prāha nṛpottama NsP_53.2b	mahI prAha nRpa uttama NsP_53.2b
   mahendrasyāmarāvatyāṃ NsP_30.50e	mahA indrasya amarAvatyAm NsP_30.50e
   mahendrādriratā ye ca NsP_1.5c	mahendra adri ratAH ye ca NsP_1.5c
   mahendrādriṃ gatā vīrā NsP_50.150a	mahendra adrim gatA vIrAH NsP_50.150a
   mahendrādriṃ jagāmātha NsP_47.154a	mahendra adrim jagAma aTa NsP_47.154a
   mahendreṇa niśācarī NsP_63.93d	mahA indreNa niSAcarI NsP_63.93d
   mahendre tu nṛpātmajam NsP_65.8b	mahendre tu nRpa Atmajam NsP_65.8b
   mahendre parvate dvijaḥ NsP_50.146d	mahendre parvate dvijaH NsP_50.146d
   mahendro varuṇo dhātā NsP_19.14c	mahendraH varuNaH DAtA NsP_19.14c
   mahodaramahāpāśvau NsP_52.66a	mahodara mahApASvO NsP_52.66a
   maholkāsadṛśadyutim NsP_52.87b	mahA ulkA sadRSa dyutim NsP_52.87b
   mā khida tvaṃ mahāmate NsP_43.83d	mA Kida tvam mahAmate NsP_43.83d
   māghamāse tu saptamyāṃ NsP_58.110a	mAGa mAse tu saptamyAm NsP_58.110a
   māghamāse prayāgaṃ tu NsP_1.8a	mAGa mAse prayAgam tu NsP_1.8a
   māghamāse saritsnāyī NsP_30.38a	mAGa mAse sarit snAyI NsP_30.38a
   māghe māsi prayāge tu NsP_67.23a	mAGe mAsi prayAge tu NsP_67.23a
   māṇikyamukuṭair yuktai NsP_24.18a	mANikya mukuwEH yuktE NsP_24.18a
   māṇikyaṃ paścimaṃ smṛtam NsP_30.23b	mANikyam paScimam smRtam NsP_30.23b
   mātaraṃ pitaraṃ punaḥ NsP_7.22b	mAtaram pitaram punar NsP_7.22b
   mātaraṃ praṇipatya me NsP_43.21d	mAtaram praNipatya me NsP_43.21d
   mātaraṃ mātṛvatsalaḥ NsP_13.45d	mAtaram mAtR vatsalaH NsP_13.45d
   mātariśvātha satyavān NsP_5.27d	mAtariSvA aTa satyavAn NsP_5.27d
   mātar me kartum arhasi NsP_31.32d	mAtar me kartum arhasi NsP_31.32d
   mātā tasya mahātmanaḥ NsP_7.21b	mAtA tasya mahAtmanaH NsP_7.21b
   mātāpitṛn namaskṛtya NsP_7.17a	mAtA pitRt namaskRtya NsP_7.17a
   mātāpitṛbhyāṃ śuśrūṣur NsP_64.13c	mAtA pitRByAm SuSrUzuH NsP_64.13c
   mātāpitros tu bhaktitaḥ NsP_58.32d	mAtA pitroH tu BaktitaH NsP_58.32d
   mātur vākyam aninditam NsP_31.29b	mAtuH vAkyam aninditam NsP_31.29b
   mātulasya gṛhaṃ prati NsP_48.21d	mAtulasya gRham prati NsP_48.21d
   mātuluṅgamahāphalaiḥ NsP_24.10d	mAtuluFga mahA PalEH NsP_24.10d
   mātulyuktopadeśas tu NsP_52.105c	mAtulyukta upadeSaH tu NsP_52.105c
   mātuś ca bāndhavānāṃ ca NsP_7.28c	mAtuH ca bAnDavAnAm ca NsP_7.28c
   mātuś ca vacanaṃ brahman NsP_13.46c	mAtuH ca vacanam brahman NsP_13.46c
   mātṛgarbhe tathaivāyaṃ NsP_12.20c	mAtR garBe taTA eva ayam NsP_12.20c
   mātṛduḥkhena te vaktraṃ NsP_13.43a	mAtR duHKena te vaktram NsP_13.43a
   mātṛbhir bāndhavaiḥ saha NsP_48.128d	mAtRBiH bAnDavEH saha NsP_48.128d
   mātṛbhyaś ca viśeṣataḥ NsP_47.158b	mAtRByaH ca viSezataH NsP_47.158b
   mātṛvipragaṇāya vā NsP_56.32b	mAtR vipra gaNAya vA NsP_56.32b
   mātṛśuśrūṣaṇaṃ tathā NsP_67.3b	mAtR SuSrUzaNam taTA NsP_67.3b
   mātṝṇāṃ draṣṭum añjasā NsP_48.75d	mAtLNAm drazwum aQjasA NsP_48.75d
   mātṝś ca pitaraṃ caiva NsP_48.77c	mAtLH ca pitaram ca eva NsP_48.77c
   mātrā tanmārgarakṣārthaṃ NsP_31.40a	mAtrA tad mArga rakzA arTam NsP_31.40a
   mātrādīn abhivādyātha NsP_48.153c	mAtrA AdIn aBivAdya aTa NsP_48.153c
   mātrā sahāsa duḥkhī sa NsP_13.16a	mAtrA sahAsa duHKI sa NsP_13.16a
   mātraivamukto dharmātmā NsP_48.68c	mAtrA evam uktaH Darma AtmA NsP_48.68c
   mātroktakāle tv āsanne NsP_7.49c	mAtrA ukta kAle tu Asanne NsP_7.49c
   mātsaryaroṣasmaralobhamoha NsP_43.58a	mAtsarya roza smara loBa moha NsP_43.58a
   mātsyaṃ rūpaṃ samāsthāya NsP_37.19c	mAtsyam rUpam samAsTAya NsP_37.19c
   mātsyaṃ vapus tan mahad adritulyaṃ NsP_37.36a	mAtsyam vapuH tat mahat adri tulyam NsP_37.36a
   mādṛśair api no dṛśyaḥ NsP_25.37c	mAdRSEH api naH dRSyaH NsP_25.37c
   mādhavaṃ ca prapanno 'smi NsP_7.67c	mADavam ca prapannaH asmi NsP_7.67c
   mādhavaḥ sarvatīrtheṣu NsP_10.17c	mADavaH sarva tIrTezu NsP_10.17c
   mādhavānantayoḥ śubham NsP_25.61b	mADava anantayoH SuBam NsP_25.61b
   mādhavāya namo namaḥ NsP_47.18d	mADavAya namaH namaH NsP_47.18d
   mādhavo madhusūdanaḥ NsP_40.38b	mADavaH maDusUdanaH NsP_40.38b
   mādhyāhnikīṃ kriyāṃ kuryāc NsP_58.62a	mADyAhnikIm kriyAm kuryAt NsP_58.62a
