   // Saddharmalaṅkāvatārasūtram //	// Sat Darma laFkA avatAra sUtram //
   vikalpabuddhivaikalyānnityānityaṃ nivāryate // Lank_5.2 //	vikalpa budDi vEkalyAt nitya anityam nivAryate // Lank _5.2 //
   yāvatpratijñā kriyate tāvatsarvaṃ sasaṃkaram /	yAvat pratijQA kriyate tAvat sarvam sa saMkaram /
   svacittamātraṃ saṃpaśyan na vivādaṃ samārabhet // Lank_5.3 //	sva citta mAtram saMpaSyan na vivAdam samAraBet // Lank _5.3 //
   iti laṅkāvatāre tathāgatanityānityatvaprasaṅgaparivartaḥ pañcamaḥ //	iti laFkA avatAre taTAgata nitya anitya tva prasaFga parivartaH paQcamaH //
   START Parivarta 6	START Parivarta 6
   (Vaidya 90)	(VEdyaH 90)
   kṣaṇikaparivarto nāma ṣaṣṭhaḥ /	kzaNika parivartaH nAma zazWaH /
   atha khalu mahāmatirbodhisattvo mahāsattvaḥ punarapi bhagavantamadhyeṣate	aTa Kalu mahAmatiH boDisattvaH mahAsattvaH punar api Bagavantam aDyezate
   sma   deśayatu me bhagavān, deśayatu me sugataḥ skandhadhātvāyatanānāṃ	sma  deSayatu me BagavAn , deSayatu me sugataH skanDa DAtu AyatanAnAm
   pravṛttinivṛttim / asatyātmani kasya pravṛttirvā nirvṛttirvā? bālāśca	pravRtti nivRttim / asati a Atmani kasya pravRttiH vA nirvRttiH vA? bAlAH ca
   pravṛttinivṛttyāśritā duḥkhakṣayānavabodhānnirvāṇaṃ na prajānanti /	pravRtti nivRtti ASritAH duHKa kzayAn avaboDAn nirvANam na prajAnanti /
   bhagavānāha   tena hi mahāmate śṛṇu, sādhu ca suṣṭhu ca manasikuru /	BagavAn Aha  tena hi mahAmate SRNu, sADu ca suzWu ca manasikuru /
   bhāṣiṣye 'haṃ te / sādhu bhagavanniti mahāmatirbodhisattvo mahāsattvo	BAzizye aham te / sADu Bagavan= iti mahAmatiH boDisattvaH mahAsattvaH 
   bhagavataḥ pratyaśrauṣīt //	BagavataH pratyaSrOzIt //
   bhagavāṃstasyaitadavocat   tathāgatagarbho mahāmate kuśalākuśalahetukaḥ	BagavAn= tasya etat avocat  taTAgata garBaH mahAmate kuSala akuSala hetukaH
   sarvajanmagatikartā pravartate naṭavadgatisaṃkaṭa ātmātmīyavarjitaḥ /	sarva janma gati kartA pravartate nawa vat gati saMkawaH Atma AtmIya varjitaH /
   tadanavabodhātrisaṃgatipratyayakriyāyogaḥ pravartate / na ca tīrthyā	tad anavaboDa atri saMgati pratyaya kriyA yogaH pravartate / na ca tIrTyA
   avabudhyante kāraṇābhiniveśābhiniviṣṭāḥ /	avabuDyante kAraNa aBiniveSa aBinivizwAH /
   anādikālavividhaprapañcadauṣṭhulyavāsanāvāsitaḥ ālayavijñānasaṃśabdito	anAdi kAla viviDa prapaQca dOzWulya vAsanA vAsitaH AlayavijQAna saMSabditaH 
   'vidyāvāsanabhūmijaiḥ saptabhirvijñānaiḥ saha	avidyA vAsana BUmi jEH saptaBiH vijQAnEH saha
   mahodadhitaraṃgavannityamavyucchinnaśarīraḥ pravartate anityatādoṣarahita	mahodaDi taraMga vat nityam avyucCinna SarIraH pravartate anitya tA doza rahita
   ātmavādavinivṛtto 'tyantaprakṛtipariśuddhaḥ / tadanyāni	Atma vAda vinivRttaH atyanta prakRti pariSudDaH / tad anyAni
   vijñānānyutpannāpavargāni manomanovijñānaprabhṛtīni kṣaṇikāni,	vijQAnAni utpanna apavargAni manaH manaH vijQAna praBRtIni kzaNikAni,
   saptāpyabhūtaparikalpahetujanitasaṃsthānākṛtiviśeṣasamavāyāvalambīni	sapta api aBUta parikalpa hetu janita saMsTAna AkRti viSeza samavAya avalambIni
   nāmanimittābhiniviṣṭāni svacittadṛśyarūpalakṣaṇāavabodhakāni	nAma nimitta aBinivizwAni sva citta dRSya rUpa lakzaNa aavaboDakAni
   sukhaduḥkhāpratisaṃvedakāni amokṣakāraṇāni	suKa duHKa apratisaMvedakAni amokza kAraNAni
   nāmanimittaparyutthānarāgajanitajanakataddhetvālambāni / teṣāṃ	nAma nimitta paryutTAna rAga janita janaka tad hetu AlambAni / tezAm
   copāttānāmindriyākhyānāṃ parikṣayanirodhe samantarānutpatteranyeṣāṃ	ca upAttAnAm indriya AKyAnAm parikzaya niroDe samantara anutpatteH anyezAm
   svamativikalpasukhaduḥkhāpratisaṃvedināṃ	sva m ati vikalpa suKa duHKa apratisaMvedinAm
   saṃjñāveditanirodhasamāpattisamāpannānāṃ caturdhyānasatyavimokṣakuśalānāṃ	saMjQA vedita niroDa samApatti samApannAnAm catur DyAna satya vimokza kuSalAnAm
   yogināṃ vimokṣabuddhirbhavatyapravṛtteḥ //	yoginAm vimokza budDiH Bavati apravRtteH //
   aparāvṛtte ca tathāgatagarbhaśabdasaṃśabdite ālayavijñāne nāsti saptānāṃ	aparAvRtte ca taTAgata garBa Sabda saMSabdite AlayavijQAne na asti saptAnAm
   pravṛttivijñānānāṃ nirodhaḥ / tatkasya hetoḥ?	pravRtti vijQAnAnAm niroDaH / tat kasya hetoH?
   taddhetvālambanapravṛttatvādvijñānānām, aviṣayatvācca	tad hetu Alambana pravRtta tvAt vijQAnAnAm, avizaya tvAt ca
   sarvaśrāvakapratyekabuddhatīrthyayogayogināṃ	sarva SrAvaka pratyekabudDa tIrTya yoga yoginAm
   svapudgalanairātmyāvabodhātsvasāmānyalakṣaṇaparigrahātskandhadhātvāyatanānāṃ	sva pudgala nErAtmya avaboDAt sva sAmAnya lakzaNa parigrahAt skanDa DAtu AyatanAnAm
   pravartate tathāgatagarbhaḥ /	pravartate taTAgata garBaH /
   pañcadharmasvabhāvadharmanairātmyadarśanānnivartate	paQca Darma svaBAva Darma nErAtmya darSanAt nivartate
   bhūmikramānusaṃdhiparāvṛttyā / nānyatīrthyamārgadṛṣṭibhirvicārayituṃ	BUmi krama anusaMDi parAvRttyA / na anya tIrTya mArga dRzwiBiH vicArayitum
   śakyate / tato 'calāyāṃ bhūmau bodhisattvabhūmau pratiṣṭhito	Sakyate / tatas acalAyAm BUmO boDisattva BUmO pratizWitaH 
   daśasamādhisukhamukhamārgān pratilabhate / samādhibuddhaiḥ saṃdhāryamāṇo	daSa samADi suKa muKa mArgAn pratilaBate / samADi budDEH saMDAryamANaH 
   'cintyabuddhadharmasvapraṇidhānavyavalokanatayā samādhisukhabhūtakoṭyā	acintya budDa Darma sva praNiDAna vyavalokana tayA samADi suKa BUta kowyA
   vinivārya pratyātmāryagatigamyaiḥ	vinivArya pratyAtma Arya gati gamyEH
   sarvaśrāvakapratyekabuddhatīrthakarāsādhāraṇairyogamārgairdaśāryagotramārgaṃ	sarva SrAvaka pratyekabudDa tIrTaka rAsA DAraNEH yoga mArgEH da SArya gotra mArgam
   pratilabhate, kāyaṃ ca jñānamanomayaṃ samādhyabhisaṃskārarahitam /	pratilaBate, kAyam ca jQAna manaH mayam samADi aBisaMskAra rahitam /
   tasmāttarhi mahāmate tathāgatagarbhaḥ ālayavijñānasaṃśabdito	tasmAt tarhi mahAmate taTAgata garBaH AlayavijQAna saMSabditaH 
   viśodhayitavyo viśeṣārthibhirbodhisattvairmahāsattvaiḥ //	viSoDayitavyaH viSeza arTiBiH boDisattvEH mahAsattvEH //
   yadi hi mahāmate ālayavijñānasaṃśabditastathāgatagarbho 'tra na syāditi	yadi hi mahAmate AlayavijQAna saMSabditaH taTAgata garBaH atra na syAt iti
   asati mahāmate tathāgatagarbhe ālayavijñānasaṃśabdite na pravṛttirna	asati mahAmate taTAgata garBe AlayavijQAna saMSabdite na pravRttiH na
   nivṛttiḥ syāt / bhavati ca mahāmate pravṛttirnivṛttiśca bālāryāṇām /	nivRttiH syAt / Bavati ca mahAmate pravRttiH nivRttiH ca bAla AryANAm /
   svapratyātmāryagatidṛṣṭadharmasukhavihāreṇa ca viharanti yogino	sva pratyAtma Arya gati dRzwa Darma suKa vihAreNa ca viharanti yoginaH 
   'nikṣiptadhurā duṣprativedhāśca / mahāmate ayaṃ	anikzipta DurAH duzprativeDAH ca / mahAmate ayam
   tathāgatagarbhālayavijñānagocaraḥ	taTAgata garBAlaya vijQAna gocaraH
   sarvaśrāvakapratyekabuddhatīrthyavitarkadarśanānāṃ (Vaidya 91)	sarva SrAvaka pratyekabudDa tIrTya vitarka darSanAnAm (VEdyaH 91)
   prakṛtipariśuddho 'pi san aśuddha ivāgantukleśopakliṣṭatayā teṣāmābhāti na	prakRti pariSudDaH api san aSudDaH iva Agantu kleSa upaklizwa tayA tezAm ABAti na
   tu tathāgatānām / tathāgatānāṃ punarmahāmate	tu taTAgatAnAm / taTAgatAnAm punar mahAmate
   karatalāmalakavatpratyakṣagocaro bhavati / etadeva mahāmate mayā śrīmālāṃ	kara tala Amalaka vat pratyakza gocaraH Bavati / etat eva mahAmate mayA SrI mAlAm
   devīmadhikṛtya deśanāpāṭhe anyāṃśca sūkṣmanipuṇaviśuddhabuddhīn	devIm aDikRtya deSanA pAWe anyAn= ca sUkzma nipuNa viSudDa budDIn
   bodhisattvānadhiṣṭhāya tathāgatagarbha ālayavijñānasaṃśabditaḥ	boDisattvAn aDizWAya taTAgata garBaH AlayavijQAna saMSabditaH
   saptabhirvijñānaiḥ saha pravṛttyabhiniviṣṭānāṃ śrāvakāṇāṃ	saptaBiH vijQAnEH saha pravRtti aBinivizwAnAm SrAvakANAm
   dharmanairātmyapradarśanārthaṃ śrīmālāṃ devīmadhiṣṭhāya tathāgataviṣayo	Darma nErAtmya pradarSana arTam SrI mAlAm devIm aDizWAya taTAgata vizayaH 
   deśito na śrāvakapratyekabuddhānyatīrthakaratarkaviṣayo 'nyatra mahāmate	deSitaH na SrAvaka pratyekabudDa anya tIrTakara tarka vizayaH anyatra mahAmate
   tathāgataviṣaya eva tathāgatagarbha ālayavijñānaviṣayastvatsadṛśānāṃ ca	taTAgata vizayaH eva taTAgata garBaH Alaya vijQAna vizayaH tvad sadRSAnAm ca
   sūkṣmanipuṇamatibuddhiprabhedakānāṃ bodhisattvānāṃ	sUkzma nipuNam ati budDi praBedakAnAm boDisattvAnAm
   mahāsattvānāmarthapratiśaraṇānāṃ no tu yathārutadeśanāpāṭhābhiniviṣṭānāṃ	mahAsattvAnAm arTa pratiSaraNAnAm no tu yaTA aruta deSanA pAWA aBinivizwAnAm
   sarvānyatīrthyaśrāvakapratyekabuddhānām / tasmāttarhi mahāmate tvayā	sarvAnyatIrTya SrAvaka pratyekabudDAnAm / tasmAt tarhi mahAmate tvayA
   anyaiśca bodhisattvairmahāsattvaiḥ sarvatathāgataviṣaye	anyEH ca boDisattvEH mahAsattvEH sarva taTAgata vizaye
   'smiṃstathāgatagarbhālayavijñānaparijñāne yogaḥ karaṇīyaḥ / na	asmin= taTAgata garBAlaya vijQAna parijQAne yogaH karaNIyaH / na
   śrutamātrasaṃtuṣṭairbhavitavyam //	Sruta mAtra saMtuzwEH Bavitavyam //
   tatredamucyate  	tatra idam ucyate  
   garbhastathāgatānāṃ hi vijñānaiḥ saptabhiryutaḥ /	garBaH taTAgatAnAm hi vijQAnEH saptaBiH yutaH /
   pravartate 'dvayo grāhātparijñānānnivartate // Lank_6.1 //	pravartate advayaH grAhAt parijQAnAt nivartate // Lank _6.1 //
   bimbavaddṛśyate cittamanādimatibhāvitam /	bimba vat dRSyate cittam anAdim ati BAvitam /
   arthākāro na cārtho 'sti yathābhūtaṃ vipaśyataḥ // Lank_6.2 //	arTa AkAraH na ca arTaH asti yaTABUtam vipaSyataH // Lank _6.2 //
   aṅgulyagraṃ yathā bālo na gṛhṇāti niśākaram /	aFgulI agram yaTA bAlaH na gRhNAti niSAkaram /
   tathā hyakṣarasaṃsaktastattvaṃ vetti na māmakam // Lank_6.3 //	taTA hi akzara saMsaktaH tattvam vetti na mAmakam // Lank _6.3 //
   naṭavannṛtyate cittaṃ mano vidūṣasādṛśam /	nawa vat nRtyate cittam manaH vidUza sAdRSam /
   vijñānaṃ pañcabhiḥ sārdhaṃ dṛśyaṃ kalpeti raṅgavat // Lank_6.4 //	vijQAnam paQcaBiH sArDam dRSyam kalpA iti raFga vat // Lank _6.4 //
   atha khalu mahāmatirbodhisattvo mahāsattvaḥ punarapi bhagavantamadhyeṣate	aTa Kalu mahAmatiH boDisattvaH mahAsattvaH punar api Bagavantam aDyezate
   sma   deśayatu me bhagavān, deśayatu me sugataḥ	sma  deSayatu me BagavAn , deSayatu me sugataH
   pañcadharmasvabhāvavijñānanairātmyadvayaprabhedagatilakṣaṇam, yena	paQca Darma svaBAva vijQAna nErAtmya dvaya praBeda gati lakzaNam, yena
   nairātmyadvayaprabhedagatilakṣaṇena ahaṃ ca anye ca bodhisattvā	nErAtmya dvaya praBeda gati lakzaNena aham ca anye ca boDisattvA
   mahāsattvāḥ sarvabhūmikramānusaṃdhiṣvetān dharmān vibhāvayema, yathā	mahAsattvAH sarva BUmi krama anusaMDizu etAn DarmAn viBAvayema, yaTA
   tairdharmaiḥ sarvabuddhadharmānupraveśo bhavet /	tEH DarmEH sarva budDa Darma anupraveSaH Bavet /
   sarvabuddhadharmānupraveśācca yāvattathāgatasvapratyayātmabhūmipraveśaḥ	sarva budDa Darma anupraveSAt ca yAvat taTAgata sva pratyaya Atma BUmi praveSaH
   syāditi / bhagavānāha   tena hi mahāmate śṛṇu, sādhu ca suṣṭhu ca	syAt iti / BagavAn Aha  tena hi mahAmate SRNu, sADu ca suzWu ca
   manasikuru / bhāṣiṣye 'haṃ te / sādhu bhagavanniti mahāmatirbodhisattvo	manasikuru / BAzizye aham te / sADu Bagavan= iti mahAmatiH boDisattvaH 
   mahāsattvo bhagavataḥ pratyaśrauṣīt / bhagavāṃstasyaitadavocat  	mahAsattvaH BagavataH pratyaSrOzIt / BagavAn= tasya etat avocat  
   pañcadharmasvabhāvavijñānanairātmyadvayaprabhedagatilakṣaṇaṃ te mahāmate	paQca Darma svaBAva vijQAna nErAtmya dvaya praBeda gati lakzaNam te mahAmate
   deśayiṣyāmi / yaduta nāma nimittaṃ vikalpaḥ samyagjñānaṃ tathatā ca	deSayizyAmi / yat uta nAma nimittam vikalpaH samyak jQAnam taTatA ca
   tathāgatapratyātmāryagatipraveśaḥ śāśvatocchedasadasaddṛṣṭivivarjito	taTAgata pratyAtma Arya gati praveSaH SASvata ucCeda sat asat dRzwi vivarjitaH 
   dṛṣṭadharmasukhasamāpattisukhavihāra āmukhībhavati yogayoginām / tatra	dRzwa Darma suKa samApatti suKa vihAraH AmuKIBavati yoga yoginAm / tatra
   mahāmate	mahAmate
   pañcadharmasvabhāvavijñānanairātmyadvayasvacittadṛśyabāhyabhāvābhāvānavabodhādvikalpaḥ	paQca Darma svaBAva vijQAna nErAtmya dvaya sva citta dRSya bAhya BAva aBAva anavaboDAt vikalpaH
   pravartate bālānāṃ na tvāryāṇām //	pravartate bAlAnAm na tu AryANAm //
   (Vaidya 92)	(VEdyaH 92)
   mahāmatirāha   kathaṃ punarbhagavan bālānāṃ vikalpaḥ pravartate, na	mahAmatiH Aha  kaTam punar Bagavan bAlAnAm vikalpaH pravartate, na
   tvāryāṇām? bhagavānāha   nāmasaṃjñāsaṃketābhiniveśena mahāmate	tu AryANAm? BagavAn Aha  nAma saMjQA saMketa aBiniveSena mahAmate
   bālāścittamanusaranti / anusaranto vividhalakṣaṇopacāreṇa	bAlAH cittam anusaranti / anusarantaH viviDa lakzaNa upacAreNa
   ātmātmīyadṛṣṭipatitāśayā varṇapuṣkalatāmabhiniviśante / abhiniviśantaśca	Atma AtmIya dRzwi patita ASayAH varNa puzkala tAm aBiniviSante / aBiniviSantaH ca
   ajñānāvṛtāḥ saṃrajyante / saṃraktā rāgadveṣamohajaṃ karmābhisaṃskurvanti /	ajQAna AvRtAH saMrajyante / saMraktAH rAga dveza moha jam karma aBisaMskurvanti /
   abhisaṃskṛtya punaḥ punaḥ kośakārakīṭakā iva svavikalpapariveṣṭitamatayo	aBisaMskRtya punar punar koSakAra kIwakAH iva sva vikalpa parivezwita matayo
   gatisamudrakāntāraprapatitā ghaṭiyantravannātipravartante / na ca	gati samudra kAntAra prapatitAH Gawiyantra vat na ati pravartante / na ca
   prajānanti mohānmāyāmarīcyudakacandrasvabhāvakalpanātmātmīyarahitān	prajAnanti mohAt mAyA marIci udaka candra svaBAva kalpanA Atma AtmIya rahitAn
   sarvadharmānabhūtavikalpoditāṃllakṣyalakṣaṇāpagatān	sarva DarmAn aBUta vikalpa uditAn= lakzya lakzaNa apagatAn
   bhaṅgotpādasthitigativinivṛttān	BaFga utpAda sTiti gati vinivRttAn
   svacittadṛśyavikalpaprabhavānīśvarakālāṇupradhānaprabhavān /	sva citta dRSya vikalpa praBavAn ISvara kAla aNu praDAna praBavAn /
   nāmanimittānuplavena mahāmate bālā nimittamanusaranti //	nAma nimittAn uplavena mahAmate bAlAH nimittam anusaranti //
   tatra nimittaṃ punarmahāmate yaccakṣurvijñānasyābhāsamāgacchati	tatra nimittam punar mahAmate yat cakzuH vijQAnasya ABAsam AgacCati
   rūpasaṃjñakam / evaṃ śrotraghrāṇajihvākāyamanovijñānānāṃ	rUpa saMjQakam / evam Srotra GrANa jihvA kAya manaH vijQAnAnAm
   śabdagandharasaspraṣṭavyadharmasaṃjñakametannimittamiti vadāmi / tatra	Sabda ganDa rasa sprazwavya Darma saMjQakam etat nimittam iti vadAmi / tatra
   vikalpaḥ punarmahāmate yena nāma samudīrayati / nimittavyañjakamidam  	vikalpaH punar mahAmate yena nAma samudIrayati / nimitta vyaQjakam idam  
   evamidaṃ nānyatheti hastyaśvarathapadātistrīpuruṣādikasaṃjñakaṃ	evam idam na anyaTA iti hasti aSva raTa padAti strI puruza Adika saMjQakam
   tadvikalpaḥ pravartate / samyagjñānaṃ punarmahāmate yena	tad vikalpaH pravartate / samyak jQAnam punar mahAmate yena
   nāmanimittayoranupalabdhiḥ / anyonyāgantukatvādapravṛttirvijñānasya	nAma nimittayoH anupalabDiH / anyonya Agantuka tvAt apravRttiH vijQAnasya
   anucchedāśāśvatataḥ	anucCeda aSASvatataH
   sarvatīrthakaraśrāvakapratyekabuddhabhūmyapātanatvātsamyagjñānamityucyate	sarva tIrTakara SrAvaka pratyekabudDa BUmi apAtana tvAt samyak jQAnam iti ucyate
   / punaraparaṃ mahāmate yena samyagjñānena bodhisattvo mahāsattvo na nāma	/ punar aparam mahAmate yena samyak jQAnena boDisattvaH mahAsattvaH na nAma
   bhāvīkaroti, na ca nimittamabhāvīkaroti /	BAvIkaroti, na ca nimittam aBAvIkaroti /
   samāropāpavādāntadvayakudṛṣṭivivarjitaṃ	samAropa apavAda anta dvaya kudRzwi vivarjitam
   nāmanimittārthayorapravṛttivijñānam / evametāṃ tathatāṃ vadāmi /	nAma nimitta arTayoH apravRtti vijQAnam / evam etAm taTatAm vadAmi /
   tathatāvyavasthitaśca mahāmate bodhisattvo mahāsattvo	taTatA vyavasTitaH ca mahAmate boDisattvaH mahAsattvaH 
   nirābhāsagocarapratilābhitvātpramuditāṃ bodhisattvabhūmiṃ pratilabhate //	nirABAsa gocara pratilABi tvAt pramuditAm boDisattva BUmim pratilaBate //
   sa pratilabhya pramuditāṃ bodhisattvabhūmiṃ vyāvṛttaḥ	sa pratilaBya pramuditAm boDisattva BUmim vyAvRttaH
   sarvatīrthyāpāyagatibhyo bhavati lokottaradharmagatisamavasṛtaḥ	sarva tIrTya apAya gatiByaH Bavati loka uttara Darma gati samavasRtaH
   lakṣaṇaparicayānmāyādipūrvakāṃ sarvadharmagatiṃ vibhāvayan	lakzaNa paricayAt mAyA Adi pUrvakAm sarva Darma gatim viBAvayan
   svapratyātmāryadharmagatilakṣaṇaṃ tarkadṛṣṭivinivṛttakautuko 'nupūrveṇa	sva pratyAtma Arya Darma gati lakzaNam tarka dRzwi vinivRtta kOtukaH anupUrveNa
   yāvaddharmameghā bhūmiriti / dharmameghānantaraṃ	yAvat Darma meGAH BUmiH iti / Darma meGa anantaram
   yāvatsamādhibalavaśitābhijñākusumitāṃ tathāgatabhūmiṃ pratilabhate / sa	yAvat samADi bala vaSitA aBijQA kusumitAm taTAgata BUmim pratilaBate / sa
   pratilabhya sattvaparipācanatayā vicitrairnirmāṇakiraṇairvirājate	pratilaBya sattva paripAcana tayA vicitrEH nirmANa kiraNEH virAjate
   jalacandravat / aṣṭāpadasunibaddhadharmā nānādhimuktikatayā sattvebhyo	jala candra vat / azwApada su nibadDa DarmA nAnA aDimuktika tayA sattveByaH 
   dharmaṃ deśayati / kāyaṃ manovijñaptirahitam / etanmahāmate	Darmam deSayati / kAyam manaH vijQapti rahitam / etat mahAmate
   tathatāpraveśātpratilabhante bodhisattvā mahāsattvāḥ //	taTatA apraveSAt pratilaBante boDisattvAH mahAsattvAH //
   punarapi mahāmatirāha   kiṃ punarbhagavan pañcasu	punar api mahAmatiH Aha  kim punar Bagavan paQcasu
   dharmeṣvantargatāstrayaḥ, svabhāvā uta svalakṣaṇasiddhāḥ? bhagavānāha  	Darmezu antargatAH trayaH, svaBAvAH uta sva lakzaNa sidDAH? BagavAn Aha  
   atraiva mahāmate trayaḥ svabhāvā antargatāḥ, aṣṭau ca vijñānāni, dve ca	atra eva mahAmate trayaH svaBAvAH antargatAH, azwO ca vijQAnAni, dve ca
   nairātmye / tatra nāma ca nimittaṃ ca parikalpitaḥ svabhāvo veditavyaḥ /	nErAtmye / tatra nAma ca nimittam ca parikalpitaH svaBAvaH veditavyaH /
   yaḥ punarmahāmate tadāśrayapravṛtto vikalpaścittacaittasaṃśabdito	yaH punar mahAmate tad ASraya pravRttaH vikalpaH citta cEtta saMSabditaH 
   yugapatkālodita āditya iva raśmisahito vicitralakṣaṇasvabhāvo	yugapad kAla uditaH AdityaH iva raSmi sahitaH vicitra lakzaNa svaBAvaH 
   vikalpādhārakaḥ, sa mahāmate svabhāvaḥ paratantra ityucyate / samyagjñānaṃ	vikalpa ADArakaH, sa mahAmate svaBAvaH paratantraH iti ucyate / samyak jQAnam
   tathatā ca mahāmate avināśatvātsvabhāvaḥ pariniṣpanno veditavyaḥ //	taTatA ca mahAmate avinASa tvAt svaBAvaH parinizpannaH veditavyaH //
   (Vaidya 93)	(VEdyaH 93)
   punaraparaṃ mahāmate svacittadṛśyamabhiniviśyamānaṃ vikalpo 'ṣṭadhā	punar aparam mahAmate sva citta dRSyam aBiniviSyamAnam vikalpaH azwaDA
   bhidyate /	Bidyate /
   nimittasyābhūtalakṣaṇaparikalpitatvādātmātmīyagrāhadvayavyupaśamānnairātmyadvayamājāyate	nimittasya aBUta lakzaNa parikalpita tvAt Atma AtmIya grAha dvaya vyupaSamAt nErAtmya dvayam AjAyate
   / eṣu mahāmate pañcasu dharmeṣu sarvabuddhadharmā antargatāḥ,	/ ezu mahAmate paQcasu Darmezu sarva budDa DarmAH antargatAH,
   bhūmivibhāgānusaṃdhiśca śrāvakapratyekabuddhabodhisattvānām, tathāgatānāṃ	BUmi viBAga anusaMDiH ca SrAvaka pratyekabudDa boDisattvAnAm, taTAgatAnAm
   ca pratyātmāryajñānapraveśaḥ //	ca pratyAtma Arya jQAna praveSaH //
   punaraparaṃ mahāmate pañcadharmāḥ   nimittaṃ nāma vikalpastathatā	punar aparam mahAmate paQca DarmAH  nimittam nAma vikalpaH taTatA
   samyagjñānaṃ ca / tatra mahāmate nimittaṃ	samyak jQAnam ca / tatra mahAmate nimittam
   yatsaṃsthānākṛtiviśeṣākārarūpādilakṣaṇaṃ dṛśyate tannimittam /	yad saMsTAna AkRti viSeza AkAra rUpa Adi lakzaNam dRSyate tad nimittam /
   yattasminnimitte ghaṭādisaṃjñākṛtakam   evamidaṃ nānyatheti, tannāma /	yat tasmin nimitte Gawa Adi saMjQA kRtakam  evam idam na anyaTA iti, tad nAma /
   yena tannāma samudīrayati nimittābhivyañjakaṃ samadharmeti vā, sa mahāmate	yena tad nAma samudIrayati nimitta aBivyaQjakam sama Darma iti vA, sa mahAmate
   cittacaittasaṃśabdito vikalpaḥ / yannāmanimittayoratyantānupalabdhitā	citta cEtta saMSabditaH vikalpaH / yad nAma nimittayoH atyanta anupalabDi tA
   buddhipralayādanyonyānanubhūtāparikalpitatvādeṣāṃ dharmāṇāṃ sā tathateti /	budDi pralayAt anyonyAn anuBUta aparikalpita tvAt ezAm DarmANAm sA taTatA iti /
   tattvaṃ bhūtaṃ niścato niṣṭhā prakṛtiḥ svabhāvo	tattvam BUtam niScataH nizWA prakRtiH svaBAvaH 
   'nupalabdhistattathālakṣaṇam / mayā anyaiśca tathāgatairanugamya	anupalabDiH tat taTA lakzaNam / mayA anyEH ca taTAgatEH anugamya
   yathāvaddeśitaṃ prajñaptaṃ vivṛtamuttānīkṛtam, yatrānugamya	yaTAvat deSitam prajQaptam vivRtam uttAnIkRtam, yatra anugamya
   samyagavabodhānucchedāśāśvatato vikalpasyāpravṛttiḥ	samyak avaboDa anucCeda aSASva tataH vikalpasya apravRttiH
   svapratyātmāryajñānānukūlaṃ	sva pratyAtma Arya jQAna anukUlam
   tīrthakarapakṣaparapakṣaśrāvakapratyekabuddhāgatilakṣaṇaṃ tatsamyagjñānam	tIrTakara pakza para pakza SrAvaka pratyekabudDa Agati lakzaNam tat samyak jQAnam
   / ete ca mahāmate pañca dharmāḥ / eteṣveva trayaḥ svabhāvāḥ, aṣṭau ca	/ ete ca mahAmate paQca DarmAH / etezu eva trayaH svaBAvAH, azwO ca
   vijñānāni, dve ca nairātmye, sarvabuddhadharmāścāntargatāḥ / atra te	vijQAnAni, dve ca nErAtmye, sarva budDa DarmAH ca antargatAH / atra te
   mahāmate svamatikauśalaṃ karaṇīyam, anyaiśca kārayitavyam / na	mahAmate sva m ati kOSalam karaNIyam, anyEH ca kArayitavyam / na
   parapraṇeyena bhavitavyam //	para praNeyena Bavitavyam //
   tatredamucyate  	tatra idam ucyate  
   pañca dharmāḥ svabhāvaśca vijñānānyaṣṭa eva ca /	paQca DarmAH svaBAvaH ca vijQAnAni azwaH eva ca /
   dve nairātmye bhavetkṛtsno mahāyānaparigrahaḥ // Lank_6.5 //	dve nErAtmye Bavet kRtsnaH mahAyAna parigrahaH // Lank _6.5 //
   nāmanimittasaṃkalpāḥ svabhāvadvayalakṣaṇam /	nAma nimitta saMkalpAH svaBAva dvaya lakzaNam /
   samyagjñānaṃ tathātvaṃ ca pariniṣpannalakṣaṇam // Lank_6.6 //	samyak jQAnam taTAtvam ca parinizpanna lakzaNam // Lank _6.6 //
   atha khalu mahāmatirbodhisattvo mahāsattvaḥ punarapi bhagavantametadavocat	aTa Kalu mahAmatiH boDisattvaH mahAsattvaH punar api Bagavantam etat avocat 
     yatpunaretaduktaṃ bhagavatā deśanāpāṭhe yathā	 yat punar etat uktam BagavatA deSanA pAWe yaTA
   gaṅgānadīvālukāsamāstathāgatā atītā anāgatā vartamānāśca / tatkimidaṃ	gaFgA nadI vAlukA samAH taTAgatAH atItAH anAgatAH vartamAnAH ca / tat kim idam
   bhagavan yathārutārthagrahaṇaṃ kartavyam, āhosvidanyaḥ	Bagavan yaTA ruta arTa grahaNam kartavyam, Ahosvit anyaH
   kaścidarthāntaraviśeṣo 'stīti? taducyatāṃ bhagavan / bhagavānāha   na	kaScid arTa antara viSezaH asti iti? tat ucyatAm Bagavan / BagavAn Aha  na
   mahāmate yathārutārthagrahaṇaṃ kartavyam / na ca mahāmate	mahAmate yaTA ruta arTa grahaNam kartavyam / na ca mahAmate
   gaṅgānadīvālukāpramāṇatayā tryadhvakabuddhapramāṇatā bhavati / tatkasya	gaFgA nadI vAlukA pramANa tayA tri aDvaka budDa pramANa tA Bavati / tat kasya
