   ātmasiddhiḥ /	Atma sidDiH /
   bodhyayorevābhedasādhakaḥ, na tu buddhibodhyayorbuddhiboddhrorvetyāha	boDyayoH eva aBeda sADakaH, na tu budDi boDyayoH budDi bodDroH vA iti Aha
   bodhyastha iti / buddhīnāṃ boddhṝṇāṃ vā sahopalabhyamānānāṃ nābhedaḥ /	boDya sTaH iti / budDInAm bodDLNAm vA saha upalaByamAnAnAm nABedaH /
   buddhasya baddhatvāpātāt / nāpi buddhibodhyayorbuddhiddhrorvā,	budDasya badDa tva ApAtAt / na api budDi boDyayoH budDidDroH vA,
   buddherjaḍatvādiprasaṅgāt satyamithyārthayoraikyaprasaṅgācca / kintu	budDeH jaxa tva Adi prasaFgAt satya miTyA arTayoH Ekya prasaFgAt ca / kintu
   bodhyayoreva tathābhūtayorabheda iṣyatāṃ guṇaguṇiprabhṛtyoḥ	boDyayoH eva taTABUtayoH aBedaH izyatAm guNa guNi praBRtyoH
   kathañcidityarthaḥ / buddhiboddhṛga iti tu prakṛtābhiprāyeṇa / yadvā	kaTaQcid iti arTaH / budDi bodDR gaH iti tu prakRta aBiprAyeNa / yat vA
   bodhyayoreva sahopalambhaniyamaḥ saṃbhavati / na punarbuddhiboddhadhroḥ /	boDyayoH eva saha upalamBa niyamaH saMBavati / na punar budDi bodDa DroH /
   buddhimantarāpi boddhuḥ prakāśāt svāpādāvityarthaḥ //15//16//	budDim antarA api bodDuH prakASAt svApAdO= iti arTaH //15//16//
   jñānajñātrorabhedasādhane pratyakṣabādhitatvamapyāha spaṣṭaśce ti /	jQAna jQAtra uraBeda sADane pratyakza bADita tvam api Aha spazwaH ce ti /
   ghaṭamahaṃ jānāmīti hi sphuṭo jñeyajñātṛjñānānāṃ bhedapratibhāsaḥ /	Gawam aham jAnAmi iti hi sPuwaH jQeya jQAtR jQAnAnAm Beda pratiBAsaH /
   tadvādha ityarthaḥ / śaṅkate na ce ti / pratyakṣajñānaviṣayatvaṃ,	tat vA aDaH iti arTaH / SaFkate na ce ti / pratyakza jQAna vizaya tvaM,
   jñānaviṣayatvaṃ vā pratiyoginaḥ tadbhedapratyakṣe kāraṇatvenāpekṣitam /	jQAna vizaya tvam vA pratiyoginaH tad Beda pratyakze kAraNa tvena apekzitam /
   prakṛte saṃvido jñānāntarāgocaratvena svayaṃprakāśatvāttadbhedapratyakṣaṃ	prakRte saMvidaH jQAna antara agocara tvena svayaMprakASa tvAt tad Beda pratyakzam
   jñātari na saṃbhavatīti śaṅkiturāśayaḥ / parihati siddhimātreṇe ti /	jQAtari na saMBavati iti SaFkituH ASayaH / parihati sidDi mAtreNe ti /
   pratiyoginaḥ saṃvidaḥ siddhimātreṇa prakāśamātreṇa,	pratiyoginaH saMvidaH sidDi mAtreNa  prakASa mAtreNa,
   tadupapattau saṃvidbhedapratyakṣopapattau,	tad upapattO  saMvid Beda pratyakza upapattO,
   aprayojakatvena pratyakṣadijñānāntarādhīnatatprakāśasya bhedapratyakṣe	aprayojaka tvena  pratyakza dijQAna antara aDIna tad prakASasya Beda pratyakze
   'hetutvena, tadviśeṣa	ahetu tvena, tad viSeza
   sya prakāśaviśeṣasya pratyakṣādijñānāntarādhīnasya	sya  prakASa viSezasya pratyakza Adi jQAna antara aDInasya
   anākṣepāt ākṣepāyogādityarthaḥ / ayaṃ bhāvaḥ  anyonyābhāvapratyakṣe	anAkzepAt a Akzepa ayogAt iti arTaH / ayam BAvaH anyonya aBAva pratyakze
   'dhikaraṇasya pratyakṣamevāpekṣitam, pratiyoginaḥ prakāśamātraṃ ca / natu	aDikaraNasya pratyakzam eva apekzitam, pratiyoginaH prakASa mAtram ca / na tu
   pratiyoginaḥ pratyakṣam / stambhe piśācabhedasyāpratyakṣatvāpatteḥ /	pratiyoginaH pratyakzam / stamBe piSAca Bedasya apratyakza tva ApatteH /
   pratiyoginaḥ prakṛte vedanasya prakāśastu svata evāsti / tata eva veditari	pratiyoginaH prakRte vedanasya prakASaH tu svatas eva asti / tatas eva veditari
   tadbhedapratyakṣe nānupapattiriti / vastutastattadasādhāraṇākāra eva	tad Beda pratyakze na anupapattiH iti / vastutas tad tad asADAraNa AkAraH eva
   itaratādātmyadhīvirodhitvena tasya tasyetarasmādbhedarūpaḥ / sa ca	itara tAdAtmya DI vi roDi tvena tasya tasya itarasmAt Beda rUpaH / sa ca
   pratiyogyanavabhāse 'pi bhāsata evotyāha anavabhāsamāna iti / tathā ca	pratiyogi anavaBAse api BAsate eva utyAha anavaBAsamAnaH iti / taTA ca
   jñāturahantvena bhānameva saṃvidbhedagrahaṇamiti bhāvaḥ /	jQAtuH ahantvena BAnam eva saMvid Beda grahaNam iti BAvaH /
   tadbhinnatvavyavahāre punaḥ	tad Binna tva vyavahAre punar 
   pratiyogiparāmarśasahakṛtamasādhāraṇākārajñānaṃ heturiti bodhyam /	pratiyogi parAmarSa saha kRtam asADAraNa AkAra jQAnam hetuH iti boDyam /
   sarvaloke ti / etena bhedasya pratyakṣaṃ na saṃbhavati / kṣaṇikasya	sarva loke ti / etena Bedasya pratyakzam na saMBavati / kzaNikasya
   pratyakṣasya pratiyogigrahaṇapūrvakabhedagrahaṇaparyantamanavasthānāt /	pratyakzasya pratiyogi grahaNa pUrvaka Beda grahaNa paryantam anavasTAnAt /
   yugapatpratiyogyabhāvādhikaraṇagrahe tu	yugapad pratiyogyaBAva aDikaraNa grahe tu
   samūhālambanavadupaśleṣaviśeṣāsiddhiprasaṅgāt / ato bhramarūpa eva	samUha Alambana vat upaSleza viSeza asidDi prasaFgAt / atas Brama rUpaH eva
   bhedagraha ityapāstam / tattadasādhāraṇa	Beda grahaH iti apAstam / tad tat asADAraNa
   dharmasyaivetarabhedarūpatvāttasya ca dharmiṇi prathamakṣaṇa eva gṛhīteḥ /	Darmasya eva itara Beda rUpa tvAt tasya ca DarmiNi praTama kzaNaH eva gRhIteH /
   ata evāpūrvavastudarśane vilakṣaṇo 'yaṃ kaścana padārtha iti	atas eva apUrva vastu darSane vilakzaNaH ayam kaScana padArTaH iti
   bhedapratītirlokasammatā svānubhavasiddhā ca nāpahnavārhā iti	Beda pratItiH loka sammatA sva anuBava sidDA ca na apahnava arhAH iti
   sarvalokasvasākṣika mityuktam /	sarva loka sva sAkzika miti uktam /
   śaṅkate nanu jīvata iti / śirasi padanidhānena tiraskaraṇena /	SaFkate nanu jIvate iti / Sirasi pada niDAnena tiraskaraNena /
   pratibandhagrahaṇaṃ vyāptigrahaṇam / tataḥ bhedapratyakṣataḥ /	pratibanDa grahaNaM vyApti grahaNam / tatas  Beda pratyakzataH /
   tadvādhasambhavaḥ abhedānumānabādhasaṃbhavaḥ /	tad vADa samBavaH  aBeda anumAna bADa saMBavaH /
   tathāsati pratyakṣasyānumānabādhakatve / apodyeta bādhyeta / ayaṃ bhāvaḥ 	taTA asati  pratyakzasya anumAna bADaka tve / apodyet a bADyeta / ayam BAvaH 
   bhinnatvena gṛhyamāṇayoreva hi sahopalambhaniyamo 'bhedavyāpyatvena	Binna tvena gRhyamANayoH eva hi saha upalamBa niyamaH aBeda vyApya tvena
   gṛhītaḥ / tena cābhedānumāne pratyakṣe bhedagrahaṇāṃśobhramalakṣaṇa iti	gRhItaH / tena ca aBeda anumAne pratyakze Beda grahaNa aMSaH Brama lakzaNaH iti
   niścīyate / na copajīvyavirodhaḥ / pratyakṣasiddhavastusvarūpasya	niScIyate / na ca upajIvya viroDaH / pratyakza sidDa vastu svarUpasya
   vyāptigrahopayogino 'bhyupagamāt / bhedasya ca vyāptigrahānupayuktatvāditi	vyApti graha upayoginaH aByupagamAt / Bedasya ca vyApti grahAn upayukta tvAt iti
   / pariharati aviśeṣajña iti / dṛṣṭāntadārṣṭāntikayorvaiṣamyaṃ na	/ pariharati aviSeza jQaH iti / dRzwAnta dArzwa antikayoH vEzamyam na
   jānāsītyarthaḥ / tadevopapādayati	jAnAsi iti arTaH / tat eva upapAdayati
   tatre ti / na pratyakṣatvamanumānatvaṃ vā bādhyatve bādhakatve vā	tatre ti / na pratyakza tvam anumAna tvam vA bADya tve bADaka tve vA
   prayojakam / kintu doṣamūlatvamadoṣamūlatvaṃ caiva tathā / tathā ca yathā	prayojakam / kintu doza mUla tvam adoza mUla tvam ca eva taTA / taTA ca yaTA
   jvālābhedānumānamadośamūlaṃ bādhakam, jvālaikyapratyakṣaṃ tu	jvAlA Beda anumAnam adoSa mUlam bADakam, jvAlA Ekya pratyakzam tu
   sādṛśyadoṣamūlaṃ bādhyaṃ bhavati; naivaṃ prakṛte	sAdRSya doza mUlam bADyam Bavati; na evam prakRte
   jñātṛjñeyajñānabhedagrahasya doṣamūlatvamiti samuditāśayaḥ /	jQAtR jQeya jQAna Beda grahasya doza mUla tvam iti samudita ASayaH /
   jvālaikyapratyakṣe kḷptakāraṇadoṣānuvṛttimupapādayati tathāhī tyādinā /	jvAlA Ekya pratyakze k?pta kAraNa doza anuvRttim upapAdayati taTA hI tyAdinA /
   acirapraśamitatvapunaruddīpitatvoktyā jvālayorvāstavabhedo jñāpyate /	acira praSamita tva punar uddIpita tva uktyA jvAlayoH vAstava BedaH jQApyate /
   tadadarśanamekavartivṛttitvajñānaṃ caikyabhrame tayorheturityuktaṃ bhavati	tad adarSanam eka varti vRtti tva jQAnam ca Ekya Brame tayoH hetuH iti uktam Bavati
   / nirvāpaṇapunaruddīpanadraṣṭuśca jvālayorbhedaprtyakṣaṃ vartata iti tena	/ nirvApaNa punar uddIpana drazwuH ca jvAlayoH Beda prtyakzam vartate iti tena
   bādhitatvamapi nirvāpaṇādyadraṣṭṛniṣṭha jvālayokyapratyakṣe viva	bADita tvam api nirvApaNAt yat razwR nizWa jvAla yokya pratyakze viva
   kṣitam / niruktaṃ bhramahetumanirvāpitasthalepyupapādayati ata iti /	kzitam / niruktam Brama hetum anirvApita sTalepI upapAdayati atas iti /
   tailavartyavayavāgnisaṃyogasya dīpahetoranyānyatayā jvālābhedo 'ṅgīkāryo	tEla vartI avayava agni saMyogasya dIpa hetoH anyA anyatayA jvAlA BedaH aFgIkAryaH 
   'nirvāpaṇasthale 'pi / kāraṇadhārānuvṛttibalācca kāryadhārānuvṛttiḥ /	anirvApaNa sTale api / kAraNa DArA anuvRtti balAt ca kArya DArA anuvRttiH /
   pūrvapūrvajvālāyāstu kāraṇanivṛttyā nivṛttireva / taddheturhi	pUrva pUrva jvAlAyAH tu kAraNa nivRttyA nivRttiH eva / tad hetuH hi
   tailavartyavayaviśeṣāgnisaṃyogaḥ / agnerāśrayāśitvādvartyavayavaviśeṣanāśe	tEla varti avaya vi Seza agni saMyogaH / agneH ASraya ASi tvAt varti avayava viSeza nASe
   tadagnisaṃyogasya nāśo hyāvaśyakaḥ / evaṃ pūrvottaradīpajvālayorbhede	tad agni saMyogasya nASaH hi AvaSyakaH / evam pUrva uttara dIpa jvAlayoH Bede
   siddhe sajātīyadīpadhārāyāṃ bhedāgrahātsādṛśyarūpadoṣadarśanāccaikyabhrama	sidDe sajAtIya dIpa DArAyAm Beda agrahAt sAdRSya rUpa doza darSanAt cEkya Brama
   iti bhāvaḥ / nānābhūte aikyabhramaṃ	iti BAvaH / nAnA BUte Ekya Bramam
   pratyakṣarūpamudāhṛtyaikasminnānātvabhramamapi pratyakṣarūpamudāharati	pratyakza rUpam udAhRtya ekasmin= AnAtva Bramam api pratyakza rUpam udAharati
   tathaike ti / svābhāvikacākṣuṣaraśmiprasaraṇasya viparyayo dvaitībhāvo	taTA eke ti / svABAvika cAkzuza raSmi prasaraNasya viparyayaH dvEtIBAvaH 
   'ṅgulyavaṣṭambhādiprayuktaścandradvitvabhrame doṣaḥ / asya ca	aFguli avazwamBa Adi prayuktaH candra dvi tva Brame dozaH / asya ca
   nirdeṣapuruṣīyacandraikyapratyakṣabādhitatvaṃ samasamaye tyādinocyate /	nirdeza puruzIya candra Ekya pratyakza bADita tvam sama samaye tyAdinA ucyate /
   dṛṣṭāntitāt dārṣṭāntike vaiṣamyamupapādayati na caivam iti /	dRzwa antitAt dArzwa antike vEzamyam upapAdayati na ca evam iti /
   jñātṛjñānajñeyabhedanirūpitalaukikaviṣayitāśālī ghaṭamahaṃ jānāmīti	jQAtR jQAna jQeya Beda nirUpita lOkika vizayitA SAlI Gawam aham jAnAmi iti
   sākṣātkāraḥ doṣamūlaḥ, abhedapratyakṣabādhito vā naiva dṛśyate /	sAkzAtkAraH doza mUlaH, aBeda pratyakza bADitaH vA na eva dRSyate /
   tadabhedānumānabādhakatvaṃ susthitamiti bhāvaḥ / viparītaṃ kasmānna	tad aBeda anumAna bADaka tvam susTitam iti BAvaH / viparItam kasmAt na
   bhavatītyatrāha na copalabdhī ti / tathātvaṃ jñānābhinnatvaṃ jñātṛjñeyayoḥ	Bavati iti atra Aha na ca upalabDI ti / taTA tvaM jQAna aBinna tvam jQAtR jQeyayoH
   / pūrvoktamaprayojakatvaṃ smārayati vipakṣa iti / vipakṣe	/ pUrva uktam aprayojaka tvam smArayati vipakzaH iti / vipakze
   bādhakatarkavirahādvyāptyasiddhyāsiddhamabhedānumānaṃ na	bADaka tarka virahAt vyApti asidDyA sidDam aBeda anumAnam na
   jñānajñātṛjñeyabhedapratyakṣe bādhakatvena śakyaśaṅkamiti bhāvaḥ /	jQAna jQAtR jQeya Beda pratyakze bADaka tvena SakyaSaFkam iti BAvaH /
   jñānādibhedagraha indriyavṛttiprasṛtibhedarūpadoṣamūlo bhavedityatrāha	jQAna Adi Beda grahaH indriya vRtti prasRti Beda rUpa doza mUlaH Bavet iti atra Aha
   anaindriyikatvene ti / bāhyendriyāgrāhyatvena jñānajñātrostadbhedagrahasya	anEndriyika tvene ti / bAhya indriya agrAhya tvena jQAna jQAtroH tad Beda grahasya
   nendriyavṛttibhedaprayuktatvaṃ saṃbhavatītyarthaḥ / atra bādhakapratyayo	na indriya vRtti Beda prayukta tvam saMBavati iti arTaH / atra bADaka pratyayo
   'pi nāsti candradvitvabhrama ivetyāha yogyānupalambhe ti / na caivamihe ti	api na asti candra dvi tva BramaH iva iti Aha yogyA anupalamBe ti / na ca evam ihe ti
   vākyābhipretamanena vākyadvayena vivṛtam / saṃvidadhīne tivākyoktaṃ	vAkya aBipretam anena vAkya dvayena vivRtam / saMvid aDIne tivAkya uktam
   prapañcayati api ce ti / tathāniyamaḥ saṃvidā sahopalambhaniyamaḥ /	prapaQcayati api ce ti / taTA aniyamaH  saMvidA saha upalamBa niyamaH /
   avarjanīyaḥ abhedasyānupagame 'pi durvāraḥ / nanu saṃvidamantarāpi	avarjanIyaH  aBedasya anupagame api durvAraH / nanu saMvidam antarA api
   viṣayādiḥ sidhyatvityatrāha na ca bhedo 'pī ti /	vizaya AdiH siDyatu iti atra Aha na ca BedaH apI ti /
   bhedaḥ grāhyagrāhakabhedaḥ / siddhiṃ jñānam / apasiddhāntaścaivaṃ kathana	BedaH  grAhya grAhaka BedaH / sidDin jQAnam / apasidDAntaH ca evam kaTana
   iti bhāvaḥ / yadvā sahopalambhaniyamasyābhedasādhakatve svavyāghātamapyāha	iti BAvaH / yat vA saha upalamBa niyamasya aBeda sADaka tve sva vyAGAtam api Aha
   na ca bhedopī ti / bhedapratibhāso 'pi saṃvidaiva vācya iti	na ca Beda upI ti / Beda pratiBAsaH api saMvid A eva vAcyaH iti
   niruktahetorbhedasyāpi saṃvidabhede bhedaghaṭito heturapi na sidhyediti	nirukta hetoH Bedasya api saMvid aBede Beda GawitaH hetuH api na siDyet iti
   yāvat / yadvā bhavadabhimataḥ saṃvidāṃ bhedopi na sidhyediti bhāvaḥ //	yAvat / yat vA Bavat aBimataH saMvidAm Beda upi na siDyet iti BAvaH //
   evaṃ prakaṭasaugatābhimataṃ saṃvidabhedasādhakaṃ sahopalambhaniyamaṃ	evam prakawa sOgata aBimatam saMvid aBeda sADakam saha upalamBa niyamam
   pradūṣya pracchannasaugatābhimataṃ prakāśasvabhāvatvamapi dūṣayati	pradUzya pracCanna sOgata aBimatam prakASa svaBAva tvam api dUzayati
   aprakāśe ti / aprakāśātmanaḥ aprakāśasvabhāvasya jñānabhinnasya ca / anena	aprakASe ti / aprakASa AtmanaH a prakASa svaBAvasya jQAna Binnasya ca / anena
   jñeyasya jñānābhedānumāne pratyakṣabādho, hetoḥ pakṣe 'siddhiśca	jQeyasya jQAna aBeda anumAne pratyakza bADo, hetoH pakze asidDiH ca
   prādarśiṣātām /	prAdarSizAtAm /
   yadyapi jaḍatvānna prakāśasvabhāvatvaṃ jñeyasya, athāpi	yadi api jaxa tvAt na prakASa svaBAva tvam jQeyasya, aTa api
   svayaṃprakāśajñānasaṃbandhātkādācitkaprakāśo ghaṭate ghaṭāderiti bhāvaḥ /	svayaMprakASa jQAna saMbanDAt kAdAcitka prakASaH Gawate Gawa AdeH iti BAvaH /
   jñātā jñānābhinnaḥ prakāśasvabhāvatvādityatra tu heturupagamyate, na	jQAtA jQAna aBinnaH prakASa svaBAva tvAt iti atra tu hetuH upagamyate, na
   sādhyamityāha na ca tāvate ti / jñānatvaṃ  viṣayaprakāśakadhītvam /	sADyam iti Aha na ca tAvate ti / jQAna tvan vizaya prakASaka DI tvam /
   jñādhātvarthasya hi kartṛdharmatvaṃ jñānasya / ātmanastu dharmitvānna	jQADAtu arTasya hi kartR Darma tvam jQAnasya / AtmanaH tu Darmi tvAt na
   tathātvamiti bhāvaḥ / jñānasvabhāvaṃ tāvadāha paratantram iti /	taTAtvam iti BAvaH / jQAna svaBAvam tAvat Aha paratantram iti /
   prakārataikasvabhāvatvaṃ, kādācitkatvaṃ, viṣayāvagāhitvaṃ ceti	prakArata eka svaBAva tvan, kAdAcitka tvan, vizaya avagAhi tvam ca iti
   jñānadharmāḥ / avatiṣṭhamānam anuvartamānaṃ dhārārūpatayā /	jQAna DarmAH / avatizWamAnam  anuvartamAnam DArA rUpatayA /
   dhārāvāhikavijñānamekaṃ jñānaṃ mataṃ hi naḥ iti pakṣe tu svarūpata	DArAvAhika vijQAnam ekam jQAnam matam hi naH iti pakze tu svarUpata
   evānuvartamānaṃ yāvadviṣayāntarasaṃcāramiti vivekaḥ / ātmasvabhāvamāha	eva anuvartamAnam yAvat vizaya antara saMcAram iti vivekaH / Atma svaBAvam Aha
   ātme ti / dharmitvaṃ jñātṛtvamahantvena bhānaṃ cātmano dharmāḥ / nanvevaṃ	Atme ti / Darmi tvam jQAtR tvam ahantvena BAnam ca AtmanaH DarmAH / nanu evam
   jñānabhinnatve ātmano jñānamiti vyapadeśaḥ kathaṃ ghaṭata ityatrāha yadī	jQAna Binna tve AtmanaH jQAnam iti vyapadeSaH kaTam GawataH iti atra Aha yadI
   ti / ananyat svam / ātmani jñānaśabdo jñānasādṛśyāt / tacca	ti / ananyat svam / Atmani jQAna SabdaH jQAna sAdRSyAt / tat ca
   svādhīnaprakāśatvarūpaṃ svayaṃprakāśatvaṃ	svADIna prakASa tva rUpam svayaMprakASa tvam
   svanirūpitaviṣayatāvattvatādātmyobhayasaṃbandhena	sva nirUpita vizaya tAvat tva tAdAtmya uBaya saMbanDena
   kiñcidviśiṣṭatvalakṣaṇamiti bhāvaḥ / tathāpī ti /	kiQcid viSizwa tva lakzaNam iti BAvaH / taTA apI ti /
   jñānaśabdenābhilapyamānamātmasvarūpaṃ jñānatulyameva, na tu	jQAna Sabdena aBilapyamAnam Atma svarUpam jQAna tulyam eva, na tu
   jñāptimātratayā mukhyaṃ jñānamityarthaḥ / yadvā jñānāyatanameva mantavyaṃ	jQApti mAtra tayA muKyam jQAnam iti arTaH / yat vA jQAna Ayatanam eva mantavyam
   natu jñaptimātratayeti / mantavyamiti śeṣaḥ / tataśca jñāturātmano	na tu jQaptimAtra tayA iti / mantavyam iti SezaH / tatas ca jQAtuH AtmanaH 
   jñānābhedānumānaṃ parābhimataṃ prabalapratyakṣabādhitamiti bhāvaḥ /	jQAna aBeda anumAnam para aBimatam prabala pratyakza bADitam iti BAvaH /
   pratyakṣatarkasiddhamātmano jñātṛtvamāgamato 'pi pratiṣṭhāpayati ata eve	pratyakza tarka sidDam AtmanaH jQAtR tvam AgamataH api pratizWApayati atas eve
   ti / athe tyādivākyaṃ jñātrahamarthātmatvaparam / yo 'yam iti	ti / aTe tyAdi vAkyam jQAtR aham arTa Atma tva param / yaH ayam iti
   aindriyikajñānapracurasyendriyādhiṣṭhāturātmano	Endriyika jQAna pracurasya indriya aDizWAtuH AtmanaH 
   hṛdayāntaḥsthatvasvaprakāśatvaparam /	hRdaya antar sTa tva sva prakASa tva param /
   indriyādipravṛttyanuguṇasaṅkalpaprayatnavattvarūpādhiṣṭhānalabhyaṃ	indriya Adi pravRtti anuguNa saFkalpa prayatnavattva rUpa aDizWAna laByam
   kartṛtvaṃ, jñātṛtvaṃ ca svayaṃprakāśatvājjñānaśabditasyātmanaḥ	kartR tvaM, jQAtR tvam ca svayaMprakASa tvAt jQAna Sabditasya AtmanaH
   pratipādayadvākyam eṣa hī tyādi / mumukṣubhirjñeyamātmasvarūpaṃ	pratipAdayat vAkyam eza hI tyAdi / mumukzuBiH jQeyam Atma svarUpam
   jñātṛtvaviśiṣṭamiti pratipādayadvākyaṃ vijñātāram iti /	jQAtR tva viSizwam iti pratipAdayat vAkyam vijQAtAram iti /
   vijñātṛjīvātmaśarīrakaṃ paramātmānamityarthaḥ / muktau jñānavattvaparaṃ na	vijQAtR jIva Atma SarIrakam paramAtmAnam iti arTaH / muktO jQAna vat tva param na
   paśyaḥ iti / paśyaḥ sarvadarśī muktātmā / muktidaśāyāṃ	paSyaH iti / paSyaH sarva darSI mukta AtmA / mukti daSAyAm
   jñānābhāvaśrutirheyadarśanābhāvapareti na paśya ityādi vyavasthāpayati /	jQAna aBAva SrutiH heya darSana aBA= a parA iti na paSyaH ityAdi vyavasTApayati /
   duḥkhatāṃ kutrāpi vastuni pratikūlatvam / bhagavadvibhūtitayā hi sarvasya	duHKa tAM kutra api vastuni pratikUla tvam / Bagavat viBUti tayA hi sarvasya
   svānukūlatvena darśanaṃ tadā / sarvaṃ ha paśyaḥ paśyati	sva anukUla tvena darSanam tadA / sarvam ha paSyaH paSyati
   ityuttarardhamapyatrodāhāryam / etadvivaraṇarūpaṃ sa uttama ityādi / sa	iti uttar arDam api atra udAhAryam / etat vivaraNa rUpam saH uttamaH ityAdi / sa
   tatra paryetī tyādi nopajanaṃ smaran ityantamatrodāhāryat /	tatra paryetI tyAdi na upajanam smaran iti antam atra udAhAryat /
   kalāṣoḍaśakasya nivṛttāvapimuktau	kalA zoxaSakasya nivRttO= api muktO
   svarūpanirūpakadharmabhūtajñānānivṛttiparam evameve ti /	svarUpa nirUpaka Darma BUta jQAna anivRtti param evam eve ti /
   jñānavattvenātmano dehendriyamanaprāṇavijñānavailakṣaṇyaparaṃ ca tasmādve	jQAnavat tvena AtmanaH deha indriya mana prANa vijQAna vElakzaNya param ca tasmAt ve
   tīti vivekaḥ /	ti iti vivekaH /
   evaṃ jñātṛtvamātmano vyavasthāpya paramātmano 'pi tadvyavasthāpayati	evam jQAtR tvam AtmanaH vyavasTApya paramAtmanaH api tad vyavasTApayati
   satyam iti / tadvadvacanaḥ jñānavadvācī / tadvacanatve jñānavācitve /	satyam iti / tadvat vacanaH  jQAna vat vAcI / tad vacana tve  jQAna vAci tve /
   jñānavācī bhāvalyuḍanto jñānaśabdo litsvareṇādyudātto bhavet / ayaṃ tu	jQAna vAcI BAvalI uxantaH jQAna SabdaH litsvareNa Adi udAttaH Bavet / ayam tu
   antodāttaḥ / tadacpratyayānto 'yaṃ jñātṛvācī svīkārya iti bhāvaḥ /	anta udAttaH / tadat pratyaya antaH ayam jQAtR vAcI svIkAryaH iti BAvaH /
   aitareye ti / prakaraṇabalāt prajñānaśabdaḥ prajñānavatpara iti bhāvaḥ /	Etareye ti / prakaraNa balAt prajQAna SabdaH prajQAna vatparaH iti BAvaH /
   prājñena prajña eva prājñaḥ / svārthe 'ṇ / tena / sarvajñena	prAjQena  prajQaH eva prAjQaH / sva arTe aN / tena / sarvajQena
   paramātmanetyarthaḥ / dehendriyamanaḥ prāṇadhībhyo 'nya iti	paramAtmanA iti arTaH / deha indriya manaH prANa DIByaH anyaH iti
   pratijñātātmasvarūpanirūpaṇamupasaṃharati tatsiddham iti //	pratijQAta Atma svarUpa nirUpaNam upasaMharati tat sidDam iti //
   atha ananyasādhana iti pratijñātaṃ svayaṃprakāśatvamātmanaḥ samarthayituṃ	aTa ananya sADanaH iti pratijQAtam svayaMprakASa tvam AtmanaH samarTayitum
   pramāṇaparīkṣāmupakramate kiṃ puna rityādinā / anumānam iti / yadyapyahaṃ	pramANa parIkzAm upakramate kim puna riti AdinA / anumAnam iti / yadi api aham
   jānāmīti pratyakṣameva tatra pramāṇaṃ sambhavati / tasya	jAnAmi iti pratyakzam eva tatra pramANam samBavati / tasya
   dehādiviṣayatvāyogāt / athāpi vilakṣaṇātmaviṣayatvaṃ pratyakṣasyedaṃ	deha Adi vizaya tva ayogAt / aTa api vilakzaNa Atma vizaya tvam pratyakzasya idam
   pramāṇamatraivaṃ pravartitumarhatītyevaṃ sāmagrīnirūpaṇādyātmakena	pramANam atra evam pravartitum arhati iti evam sAmagrI nirUpaNa Adi Atmakena
   tarkeṇaiva vyavasthāpyamityāśayaḥ / yadāhe ti / icchādi vilakṣaṇātmano	tarkeNa eva vyavasTApyam iti ASayaH / yadAhe ti / icCA Adi vilakzaNa AtmanaH 
   'numāpakaṃ yadāha, ato 'numānameva pramāṇaṃ tatretyakṣapādāśayo vijñāyata	anumApakam yat A aha, atas anumAnam eva pramANam tatra iti akza pAda ASayaH vijQAyata
   ityāśayaḥ /	iti ASayaH /
   codayati kimamīṣām iti / dhūmadhvajaḥ agniḥ / ayaṃ bhāvaḥ  vyāptigrahasya	codayati kim amIzAm iti / DUma DvajaH  agniH / ayam BAvaH vyApti grahasya
   sahacāradarśanamūlakatvena vilakṣaṇātmanā sahacāradarśane icchādīnāṃ	sahacAra darSana mUlaka tvena vilakzaNa AtmanA sahacAra darSane icCA AdInAm
   pratyakṣeṇaiva tasya siddheḥ kṛtamanumānena / sahacārādarśane ca kathaṃ	pratyakzeNa eva tasya sidDeH kRtam anumAnena / sahacAra adarSane ca kaTam
   tena vyāptirgṛhyeta / agṛhītavyāptikena cecchādinā kathantarāṃ	tena vyAptiH gRhyeta / agRhIta vyAptikena ca icCA AdinA kaTantarAm
   tadanumānamiti / pariharati mābhū dityādinā / siṣādhayiṣita 	tad anumAnam iti / pariharati mABU diti AdinA / sizADayizita 
   sādhyaviśeṣeṇecchādiviśeṣasya sahacāragraho māstu / āśrayitvaguṇatvābhyāṃ	sADya viSezeNa icCA Adi viSezasya sahacAra grahaH mA astu / ASrayitva guNa tvAByAm
   sahacāradarśanādevātmānumānaṃ pravartate / etacca sāmānyato dṛṣṭamiti	sahacAra darSanAt eva Atma anumAnam pravartate / etat ca sAmAnyatas dRzwam iti
   bhāvaḥ / etadevopapādayati tathāhī ti / kāryatvam utpattimattvam /	BAvaH / etat eva upapAdayati taTA hI ti / kAryatvam  utpattimat tvam /
   anityatvaṃ vināśitvam / guṇatvaṃ guṇatvajātimattvam,	anitya tvaM  vinASi tvam / guNa tvaM guNa tva jAtimat tvam,
   viśeṣaṇataikasvabhāvatvaṃ vā / etāni vyāpyānyāśritatvasya / icchādaya	viSezaNa tA eka svaBAva tvam vA / etAni vyApyAni ASrita tvasya / icCA daya
   āśritāguṇatvādrūpavadityanumānamatra vivakṣitam / atra hetuṃ sādhayati	ASrita aguNa tvAt rUpa vat iti anumAnam atra vivakzitam / atra hetum sADayati
   guṇatvaṃ ce ti / padārthatvena dravyādyanyatamatve prāpte	guNa tvam ce ti / padArTa tvena dravya Adi anyatama tve prApte
