   acidaṃśavyapohena Svs_133a	acit-aMSa-vyapohena Svs_133a
   yady ajñānasya sambhavaḥ Svs_238b	yadi ajQAnasya samBavaH Svs_238b
   yad yathā kiṃ cid ucyeta Svs_404a	yat yaTA kim cit ucyeta Svs_404a
   yady ayaṃ vividhākāra- Svs_205a	yadi ayam viviDa-AkAra Svs_205a
   yady avidyāprasādajaḥ Svs_246b	yadi avidyA-prasAda-jaH Svs_246b
   yady ekatraiva vartitā Svs_353b	yadi ekatra-eva vartitA Svs_353b
   yady evam asti brahmeti Svs_399a	yadi evam asti brahma-iti Svs_399a
   yad vikalpādijalpitam Svs_182b	yat vikalpa-Adi-jalpitam Svs_182b
   yadvidyayā nirastatvān Svs_266a	yat-vidyayA nirasta-tvAn Svs_266a
   yan muktir na bhaviṣyati Svs_283b	yat muktiH na Bavizyati Svs_283b
   yas tvayā paricoditaḥ Svs_138b	yaH tvayA paricoditaH Svs_138b
   yasmād ṛte yadābhāti Svs_438a	yasmAt Rte yadABAti Svs_438a
   yasminn abhāsamāne hi Svs_419a	yasmin aBAsamAne hi Svs_419a
   yā bhāvāntaramātradhīḥ Svs_361b	yAH BAva-antara-mAtra-DIH Svs_361b
   yāvidyā tadbale sati) Svs_258b	yA-avidyA tad-bale sati) Svs_258b
   yā vidyāphalam iṣyate Svs_293b	yA vidyA-Palam izyate Svs_293b
   yā svarūpapade sthitā Svs_294b	yA sva-rUpa-pade sTitA Svs_294b
   yuktyā pratyūhyatām iti Svs_270b	yuktyA pratyUhyatAm iti Svs_270b
   yugapaj jāyamāneṣu Svs_329a	yugapad jAyamAnezu Svs_329a
   yenādvaitāvirodhinaḥ Svs_339b	yena-advEta-aviroDinaH Svs_339b
   yenaivaṃ sati hīyate Svs_437b	yena-evam sati hIyate Svs_437b
   yenaivaṃ sutarāṃ vyartho Svs_286a	yena-evam sutarAm vyarTaH Svs_286a
   yeyaṃ dhīr upajāyate Svs_394b	yA-iyam DIH upajAyate Svs_394b
   ye yuktiṃ prārthayāmahe Svs_185b	ye yuktim prArTayAmahe Svs_185b
   yo dvitīyas tu gaṇyate Svs_35b	yaH dvitIyaH tu gaNyate Svs_35b
   yo nāmārtho na bhāsate Svs_419b	yaH nAma-arTaH na BAsate Svs_419b
   yo hetus te vivakṣitaḥ Svs_273b	yaH hetuH te vivakzitaH Svs_273b
   yaugapadyakramāyogād Svs_374a	yOgapadya-krama-ayogAt Svs_374a
   rūpabhedaḥ kutastyo 'yaṃ Svs_246a	rUpa-BedaH kutastyaH ayam Svs_246a
   rūpādivad ataḥ saṃvid Svs_181a	rUpa-Adi-vat atas saMvid Svs_181a
   rūpeṇa pratiyogi cet Svs_245b	rUpeNa pratiyogi ced Svs_245b
   lokayātropapadyate Svs_332b	lokayAtrA-upapadyate Svs_332b
   vayam aśraddadhānāḥ smo Svs_185a	vayam aSraddaDAnAH smaH Svs_185a
   vastutāṃ tatra sādhayet) Svs_254b	vastu-tAm tatra sADayet) Svs_254b
   vastuno dūṣaṇatvena Svs_249a	vastunaH dUzaNa-tvena Svs_249a
   vastusthityā na yujyate Svs_310b	vastu-sTityA na yujyate Svs_310b
   vākyajanyā bhavanmate Svs_299b	vAkya-janyA Bavat-mate Svs_299b
   vākyasiddhā hi te guṇāḥ Svs_340b	vAkya-sidDAH hi te guNAH Svs_340b
   vākyaṃ tat svāpnamuktyukti- Svs_270a	vAkyam tat svApna-m-ukti-ukti Svs_270a
   vācārambhaṇamātraṃ tu Svs_58a	vAcA-AramBaNa-mAtram tu Svs_58a
   vācyaikadeśabhaṅgena Svs_114a	vAcya-eka-deSa-BaFgena Svs_114a
   vādasyeha na sambhavaḥ Svs_94b	vAdasya-iha na samBavaH Svs_94b
   vāmadevaśukādayaḥ Svs_265b	vAmadeva-Suka-AdayaH Svs_265b
   vikalpabhramavāraṇam Svs_151b	vikalpa-Brama-vAraNam Svs_151b
   vikalpādhānavibhramaḥ Svs_149b	vikalpa-ADAna-viBramaH Svs_149b
   vikalpo 'syā na yujyate Svs_212b	vikalpaH asyAH na yujyate Svs_212b
   vikārajātaṃ kūṭasthaṃ Svs_59a	vikAra-jAtam kUwasTam Svs_59a
   vijñātam akhilaṃ bhavet Svs_64b	vijQAtam aKilam Bavet Svs_64b
   vidyayaivādvitīyayā Svs_224b	vidyayA-eva-advitIyayA Svs_224b
   vidyāto 'rthāntaraṃ cāsāv Svs_213a	vidyAtaH arTa-antaram ca-asO Svs_213a
   vidyāphalam upeyate Svs_288b	vidyA-Palam upeyate Svs_288b
   vidyābhāvātmikeṣyate Svs_209b	vidyA-aBAva-AtmikA-izyate Svs_209b
   vidyā syāt paramārthataḥ Svs_215b	vidyA syAt paramArTataH Svs_215b
   vibhāgeneti yan matam Svs_124b	viBAgena-iti yat matam Svs_124b
   'vibhāgo 'sti nidarśanam Svs_352b	aviBAgaH asti nidarSanam Svs_352b
   vibhinnam iva vibhrāntaṃ Svs_130a	viBinnam iva viBrAntam Svs_130a
   vibhutvaikatvanityatāḥ Svs_335b	viBu-tva-eka-tva-nitya-tAH Svs_335b
   vibhūtir na niṣidhyate Svs_67b	viBUtiH na niziDyate Svs_67b
   viruddhaguṇasaṅkrānter Svs_113a	virudDa-guNa-saFkrAnteH Svs_113a
   viruddhatvād asambhavi Svs_76b	virudDa-tvAt asamBavi Svs_76b
   viruddhatve dvitīyena Svs_9a	virudDa-tve dvitIyena Svs_9a
   viruddhadvandvasaṅkaṭe Svs_82b	virudDa-dvandva-saFkawe Svs_82b
   viruddhadvandvasaṅkrānteḥ Svs_117a	virudDa-dvandva-saFkrAnteH Svs_117a
   viruddhadvandvasaṅgatau Svs_118b	virudDa-dvandva-saFgatO Svs_118b
   viruddhadvandvasaṅgame Svs_77b	virudDa-dvandva-saFgame Svs_77b
   viruddhamitivṛttayaḥ Svs_317b	virudDam-iti-vRttayaH Svs_317b
   viruddhārthāsamarpaṇe Svs_359b	virudDa-arTa-asamarpaNe Svs_359b
   virodhaparihārārthaṃ Svs_83a	viroDa-parihAra-arTam Svs_83a
   virodhena nigṛhyase Svs_143b	viroDena nigRhyase Svs_143b
   vivakṣīr mā sma jātucit Svs_259b	vivakzIH mA sma jAtucit Svs_259b
   vivādadarśanāt teṣu Svs_338a	vivAda-darSanAt tezu Svs_338a
   vivādās teṣu vādinām Svs_347b	vivAdAH tezu vAdinAm Svs_347b
   vivekāgrahaṇena saḥ Svs_376b	viveka-agrahaNena saH Svs_376b
   viśiṣṭam api cid yadi Svs_128b	viSizwam api cit yadi Svs_128b
   viśisṭaṃ ca (iti manyate) Svs_130b	viSiswam ca (iti manyate) Svs_130b
   viśeṣaṇe vā ciddhātor Svs_112a	viSezaNe vA cit-DAtoH Svs_112a
   viśeṣaṇe vā tad brahma Svs_22a	viSezaNe vA tat brahma Svs_22a
   viṣṇor vibhūtimahima- Svs_44a	vizNoH viBUti-mahima Svs_44a
   vismṛtaṃ mṛgyate yathā Svs_289b	vismRtam mRgyate yaTA Svs_289b
   vṛttyarthasya nañarthasya Svs_27a	vRtti-arTasya naQarTasya Svs_27a
   vetālāvāhanaṃ bhavet Svs_285b	vetAlAvAhanam Bavet Svs_285b
   vedyatve veditṛtve ca Svs_220a	vedya-tve veditR-tve ca Svs_220a
   vedyaṃ vā veditāthavā Svs_219b	vedyam vA veditA-aTavA Svs_219b
   vaiyarthyaṃ vedalokayoḥ Svs_345b	vEyarTyam veda-lokayoH Svs_345b
   vyajyate brahmavidyayā Svs_292b	vyajyate brahma-vidyayA Svs_292b
   vyarthas te muktaye śramaḥ Svs_264b	vyarTaH te muktaye SramaH Svs_264b
   vyartho mokṣāya te śramaḥ Svs_278b	vyarTaH mokzAya te SramaH Svs_278b
   vyavacchindanti jāyanta Svs_366a	vyavacCindanti jAyanta Svs_366a
   vyavacchindanti bhānti naḥ Svs_393b	vyavacCindanti BAnti naH Svs_393b
   vyavacchedanibandhanaiḥ Svs_407b	vyavacCeda-nibanDanEH Svs_407b
   vyavacchedavidhānayoḥ Svs_374b	vyavacCeda-viDAnayoH Svs_374b
   vyavasthā ghaṭate vitter Svs_193a	vyavasTA Gawate vitteH Svs_193a
   vyavasthām apare jaguḥ Svs_86b	vyavasTAm apare jaguH Svs_86b
   vyavasthitaṃ nirastatvād Svs_94a	vyavasTitam nirasta-tvAt Svs_94a
   vyavahāravad iṣyate Svs_253b	vyavahAra-vat izyate Svs_253b
   vyavahāraḥ kutas tv ayam) Svs_252b	vyavahAraH kutas tu ayam) Svs_252b
   vyavahārāś ca tatkṛtāḥ Svs_314b	vyavahArAH ca tad-kRtAH Svs_314b
   vyavahārāś ca niyatāḥ Svs_370a	vyavahArAH ca niyatAH Svs_370a
   vyavahārās tu lupyeraṃs Svs_69a	vyavahArAH tu lupyeran Svs_69a
   vyavahāro 'valupyeta Svs_322a	vyavahAraH avalupyeta Svs_322a
   vyāvahārikasatyatvān Svs_70a	vyAvahArika-satya-tvAn Svs_70a
   vyāhate bhavatāṃ mate Svs_275b	vyAhate BavatAm mate Svs_275b
   vyāhanyeta samīhitam Svs_204b	vyAhanyeta samIhitam Svs_204b
   vyomavadvaibhavāśrayāt Svs_193b	vyoma-vat-vEBava-ASrayAt Svs_193b
   śabdādigrahaṇaṃ bhavet Svs_196b	Sabda-Adi-grahaNam Bavet Svs_196b
   śiraḥpāṇyādibhedataḥ Svs_324b	SiraH-pANi-Adi-BedataH Svs_324b
   śukasya brahmavidyayā Svs_263b	Sukasya brahma-vidyayA Svs_263b
   śokamohādayaḥ punaḥ Svs_123b	Soka-moha-AdayaH punar Svs_123b
   śraddadhāneṣu śobhate Svs_184b	SraddaDAnezu SoBate Svs_184b
   śrutidaṇḍena dustarka- Svs_151a	Sruti-daNxena dustarka Svs_151a
   śrutipratyakṣamūlake Svs_150b	Sruti-pratyakza-mUlake Svs_150b
   śrutir atyartham ādarāt Svs_152b	SrutiH atyarTam AdarAt Svs_152b
   śruter artho 'yam ucyate Svs_33b	SruteH arTaH ayam ucyate Svs_33b
   śrutyā cāpy anumoditaḥ Svs_32b	SrutyA ca-api anumoditaH Svs_32b
   śvetaketum upādāya Svs_104a	Svetaketum upAdAya Svs_104a
   ṣaṣṭhaprapāṭhake tasya Svs_105a	zazWa-prapAWake tasya Svs_105a
   ṣaṣṭhī yasyeti yujyate Svs_28b	zazWI yasya-iti yujyate Svs_28b
   sa eva hetus tasyāpi Svs_274a	saH eva hetuH tasya-api Svs_274a
   saṅkhyādyāḥ śāstrabhedakāḥ Svs_236b	saFKI-A-AdyAH SAstra-BedakAH Svs_236b
   saṅkhyā pṛthaksatī tatra Svs_50a	saFKyA pRTak-satI tatra Svs_50a
   saṅkhyāyāṃ naiva gaṇyate Svs_49b	saFKyAyAm na-eva gaNyate Svs_49b
   saṅkhyeyānyapadārthatvat Svs_50b	saFKyeya-anya-padArTa-tvat Svs_50b
   saṅgādyekanibandhanām Svs_334b	saFga-Adi-eka-nibanDanAm Svs_334b
   sajātiyavijātīya- Svs_407a	sajAti-yavijAtIya Svs_407a
   sata evopapadyate Svs_95b	sataH eva-upapadyate Svs_95b
   sataḥ sattvaṃ sadā bhavet Svs_97b	sataH sattvam sadA Bavet Svs_97b
   sati puṣkalakāraṇe Svs_301b	sati puzkala-kAraNe Svs_301b
   satkakṣyāntarniveśyate Svs_99b	sat-kakzya-antar-niveSyate Svs_99b
   sattvaprāptiṃ puraḥkṛtya Svs_80a	sattva-prAptim puraHkRtya Svs_80a
   sattvāsattvāṃśabhaṅgataḥ Svs_83b	sattva-asattva-aMSa-BaFgataH Svs_83b
   sattvāsattve vibhāgena Svs_85a	sattva-asattve viBAgena Svs_85a
   sattve sat sadvitīyaṃ syāj Svs_356a	sattve sat sa-dvitIyam syAt Svs_356a
   satyatvaṃ dūrapahnavam Svs_390b	satya-tvam dUra-pahnavam Svs_390b
   saty arthāntarasambandhe Svs_28a	sati arTa-antara-sambanDe Svs_28a
   satyaṃ pratītir asty asyā Svs_371a	satyam pratItiH asti asyAH Svs_371a
   satyādilakṣaṇoktīnām Svs_18a	satya-Adi-lakzaNa-uktInAm Svs_18a
   sadadvaitaṃ prasajyate Svs_397b	sat-advEtam prasajyate Svs_397b
   sadasattvavikalpanam Svs_144b	sat-asattva-vikalpanam Svs_144b
   sadasattvaṃ ghaṭādiṣu Svs_93b	sat-asat-tvam Gawa-Adizu Svs_93b
   sadasattvaṃ tathaikasya Svs_76a	sat-asat-tvam taTA-ekasya Svs_76a
   sadasattvaṃ prapañcasya Svs_79a	sat-asat-tvam prapaQcasya Svs_79a
   sadasatpratyayaprāpta- Svs_77a	sat-asat-pratyaya-prApta Svs_77a
   sadasatpratyayaprāpta- Svs_82a	sat-asat-pratyaya-prApta Svs_82a
   sadasadbhyām anirvācyaṃ Svs_84a	sat-asadByAm anirvAcyam Svs_84a
   sadasadbhyāṃ vilakṣaṇam Svs_398b	sat-asadByAm vilakzaNam Svs_398b
   sadasadvyatirekitā Svs_363b	sat-asat-vyatireki-tA Svs_363b
   sadasadvyatirekoktiḥ Svs_357a	sat-asat-vyatireka-uktiH Svs_357a
   sadasadvyatirekoktiḥ Svs_403a	sat-asat-vyatireka-uktiH Svs_403a
   sadā sattvaṃ prapañcasya Svs_81a	sadA sattvam prapaQcasya Svs_81a
   sadā sann abhyupeyatām Svs_101b	sadA san aByupeyatAm Svs_101b
   sad iti pratipadyate Svs_244b	sat iti pratipadyate Svs_244b
   sadṛśaṃ vātra vakti saḥ Svs_16b	sadRSam vA-atra vakti saH Svs_16b
   sadṛśī tadvimuktigīḥ Svs_277b	sadRSI tad-vimukti-gIH Svs_277b
   sadbhis te sadvitīyatā Svs_362b	sadBiH te sa-dvitIya-tA Svs_362b
   santi ca svapnadṛṣṭāni Svs_282a	santi ca svapna-dRzwAni Svs_282a
   santo vā nobhaye 'pi vā Svs_355b	santaH vA na-uBaye api vA Svs_355b
   sannidhītarakāritā Svs_192b	sanniDItara-kAritA Svs_192b
   sa bhūmodaram antaram Svs_54b	sa BUma-udaram antaram Svs_54b
   samaye nāvabhāti cet Svs_164b	samaye na-avaBAti ced Svs_164b
   samastena nañā vastu Svs_256a	samastena naQAH vastu Svs_256a
   samāsaḥ ko vivakṣitaḥ Svs_3b	samAsaH kaH vivakzitaH Svs_3b
   samāse saṃśrite sati Svs_26b	samAse saMSrite sati Svs_26b
   samudradrapsavipruṣaḥ Svs_44b	samudradrapsa-vipruzaH Svs_44b
   samudrān saptasaṅkhyayā Svs_45b	samudrAn sapta-saFKyayA Svs_45b
   samo vābhyadiko vāsya Svs_35a	samaH vA-aByadikaH vA-asya Svs_35a
   sambandhivyaṅgyabhedasya Svs_188a	sambanDi-vyaFgya-Bedasya Svs_188a
   sambandhe 'pyakṣagocare Svs_148b	sambanDe api-akza-gocare Svs_148b
   sambandho dvyāśrayas tasmāt Svs_97a	sambanDaH dvi-ASrayaH tasmAt Svs_97a
   sarvajñatvādivacana- Svs_240a	sarvajQa-tva-Adi-vacana Svs_240a
   sarvajñaḥ satyasaṅkalpo Svs_107a	sarvajQaH satya-saFkalpaH Svs_107a
   sarvajñe nityamukte 'pi Svs_238a	sarvajQe nityam-ukte api Svs_238a
   sarvasyaiva niṣedhakam Svs_13b	sarvasya-eva nizeDakam Svs_13b
   sarvasyaivopalakṣaṇam Svs_14b	sarvasya-eva-upalakzaNam Svs_14b
   sarvaṃ nāma na kiṃcana Svs_198b	sarvam nAma na kiMcana Svs_198b
   sarvaṃ saṃvedanāspadam Svs_432b	sarvam saMvedana-Aspadam Svs_432b
   sarvāny eva pramāṇāni Svs_392a	sarvAni eva pramANAni Svs_392a
   sarve laukikavaidikāḥ Svs_370b	sarve lOkika-vEdikAH Svs_370b
   sarveṣām ātmasākṣikam Svs_426b	sarvezAm Atma-sAkzikam Svs_426b
   sarvo laukikavaidikaḥ Svs_322b	sarvaH lOkika-vEdikaH Svs_322b
   sahabhāvo dvayor yataḥ Svs_429b	sahaBAvaH dvayoH yatas Svs_429b
   sahopalambhaniyamān Svs_416a	saha-upalamBa-niyamAn Svs_416a
   sahopalambhaniyamo Svs_431a	saha-upalamBa-niyamaH Svs_431a
   sahopalambhaniyamo Svs_437a	saha-upalamBa-niyamaH Svs_437a
   saṃyogecchādikasya naḥ Svs_188b	saMyoga-icCA-Adikasya naH Svs_188b
   saṃrakṣyamānabhedās te Svs_424a	saMrakzyamAna-BedAH te Svs_424a
   saṃvit kiṃ saiva kiṃvāhaṃ Svs_295a	saMvid kim sA-eva kiMvAham Svs_295a
   saṃvittir vyaktir iṣyate Svs_297b	saMvittiH vyaktiH izyate Svs_297b
   saṃvitpuṣkalakāraṇam Svs_306b	saMvid-puzkala-kAraNam Svs_306b
   saṃvidas te 'dvitīyatām Svs_336b	saMvidaH te advitIyatAm Svs_336b
   saṃvid eva na te dharmāḥ Svs_337a	saMvid eva na te DarmAH Svs_337a
   saṃvid evābhyupeyate Svs_190b	saMvid eva-aByupeyate Svs_190b
   saṃvid eveti cet tasyā Svs_222a	saMvid eva-iti ced tasyAH Svs_222a
   saṃvido 'pi yadīṣyate Svs_225b	saMvidaH api yadi-izyate Svs_225b
   saṃvido vā na bhidyate Svs_201b	saMvidaH vA na Bidyate Svs_201b
   saṃvido 'sti na vā tvayā Svs_412b	saMvidaH asti na vA tvayA Svs_412b
   saṃvedyo 'rthas tv asann iti Svs_435b	saMvedyaH arTaH tu asan iti Svs_435b
   saṃśaye samupasthite Svs_87b	saMSaye samupasTite Svs_87b
   saṃsarantaḥ sahasraśaḥ Svs_313b	saMsarantaH sahasraSas Svs_313b
   saṃsāriṇas tathābhāvo Svs_292a	saMsAriNaH taTA-aBAvaH Svs_292a
   saṃsāriṇas tadāstīti Svs_307a	saMsAriNaH tadA-asti-iti Svs_307a
   sāṅkhyās tu pratipedire Svs_81b	sAFKyAH tu pratipedire Svs_81b
   sā ced asti tayā mūlaṃ Svs_372a	sA ced asti tayA mUlam Svs_372a
   sā ced ekā tataḥ saikā Svs_263a	sA ced ekA tatas sA-ekA Svs_263a
   sā tadā tasya nābhāvaṃ Svs_395a	sA tadA tasya na-aBAvam Svs_395a
   sādhvī bhedānirūpaṇā Svs_211b	sADvI BedAnirUpaNA Svs_211b
   sā na kiṃcin niyacchati Svs_210b	sA na kiMcid niyacCati Svs_210b
   sāpi saṃvit tadātmeti Svs_206a	sA-api saMvid tadA-AtmA-iti Svs_206a
   sā vidyā kiṃ nu saṃvittir Svs_219a	sA vidyA kim nu saMvittiH Svs_219a
   sā sattā na svatantrānyā Svs_409a	sA sattA na svatantrA-anyA Svs_409a
   sā sphuraty eva tu sphuṭam Svs_165b	sA sPurati eva tu sPuwam Svs_165b
   sā hi nyāyānalaspṛṣṭā Svs_208a	sA hi nyAya-anala-spRzwA Svs_208a
   siddhāyām api saṃvidi Svs_337b	sidDAyAm api saMvidi Svs_337b
   sukhaduḥkhādivad dhiyaḥ Svs_187b	suKa-duHKa-Adi-vat DiyaH Svs_187b
   (sukhaduḥkhādiṣu sphuṭaḥ) Svs_329b	(suKa-duHKa-Adizu sPuwaH) Svs_329b
   saiva cedbhāsate 'nyac cen Svs_168a	sA-eva ced-BAsate anyat ced Svs_168a
   saiva tasyāḥ phalaṃ kathaṃ Svs_298b	sA-eva tasyAH Palam kaTam SvH-_298b
   saivābhāva itīhāpi Svs_362a	sA-eva-aBAvaH iti-iha-api Svs_362a
   so 'yaṃ gaur iti yujyate Svs_117b	saH ayam gOH iti yujyate Svs_117b
   so 'yaṃ gaur itivat tattvam Svs_115a	saH ayam gOH iti-vat tattvam Svs_115a
   sphaṭike dhavale matiḥ Svs_368b	sPawike Davale matiH Svs_368b
   syād eva yugapat sattvam Svs_90a	syAt eva yugapad sattvam Svs_90a
   syān mataṃ naiva te santi Svs_265a	syAt matam na-eva te santi Svs_265a
   svacchacinmātrasantatiḥ Svs_433b	svacCa-cit-mAtra-santatiH Svs_433b
   svatas tāvan na yujyate Svs_176b	svatas tAvat na yujyate Svs_176b
   svato vā parato 'pi vā Svs_175b	svatas vA paratas api vA Svs_175b
   svanimittaprakāśasya Svs_178a	sva-nimitta-prakASasya Svs_178a
   svaniṣṭhatvān nañarthasya Svs_20a	sva-nizWa-tvAt naQarTasya Svs_20a
   svapnavṛttavilakṣaṇāḥ Svs_315b	svapna-vRtta-vilakzaNAH Svs_315b
   svaprakāśasya ciddhātor Svs_118a	sva-prakASasya cit-DAtoH Svs_118a
   svaprakāśasya ciddhātor Svs_294a	sva-prakASasya cit-DAtoH Svs_294a
   svaprakāśaṃ tad eva hi Svs_417b	sva-prakASam tat eva hi Svs_417b
   svaprakāśe cidātmani Svs_120b	sva-prakASe cit-Atmani Svs_120b
   svapramāṇabalāt siddhaḥ Svs_32a	sva-pramANa-balAt sidDaH Svs_32a
   svayamprakāśatāśabdam Svs_418a	svayamprakASa-tA-Sabdam Svs_418a
   svarūpam abhyupetyaiva Svs_142a	sva-rUpam aByupetya-eva Svs_142a
   svarūpam eva bhāvānāṃ Svs_377a	svarUpam eva BAvAnAm Svs_377a
   svarūpaṃ na spṛśanti kim Svs_131b	svarUpam na spRSanti kim Svs_131b
   svarūpānavabodhataḥ Svs_291b	sva-rUpa-anavaboDataH Svs_291b
   svavāgbādhasya jalpitam Svs_436b	sva-vAc-bADasya jalpitam Svs_436b
   svaśarīre 'pi tatprāpteḥ Svs_324a	sva-SarIre api tad-prApteH Svs_324a
   (svasādhyasya puraḥ)kārād Svs_250a	(su-asADyasya puraH)kArAt Svs_250a
   svasthās tiṣṭhanty abādhitāḥ Svs_12b	svasTAH tizWanti abADitAH Svs_12b
   svasthās tiṣṭhanty abādhitāḥ Svs_25b	svasTAH tizWanti abADitAH Svs_25b
   svasmin sati viruddhatvād Svs_177a	svasmin sati virudDa-tvAt Svs_177a
   svasyābhāve 'py asambhavāt Svs_178b	svasya-aBAve api asamBavAt Svs_178b
   svasvasvapnaikadarśinaḥ Svs_333b	sva-sva-svapna-eka-darSinaH Svs_333b
   svaṃ svam arthaṃ yathāyatham Svs_365b	svam svam arTam yaTAyaTam Svs_365b
   svaṃ svam arthaṃ yathoditam Svs_392b	svam svam arTam yaTA-uditam Svs_392b
   svātmanā saha bhāsate Svs_430b	sva-AtmanA saha BAsate Svs_430b
   svāpādau bhāsate naivam Svs_434a	svApa-AdO BAsate na-evam Svs_434a
   svāvidyāparikalpitam Svs_271b	sva-avidyA-parikalpitam Svs_271b
   svāśrayībhūtavastunoḥ Svs_140b	sva-ASrayIBUta-vastunoH Svs_140b
   svaiḥ svair vyavasthitai rūpaiḥ Svs_408a	svEH svEH vyavasTitEH rUpEH Svs_408a
   hanta keyam abhivyaktir Svs_293a	hanta kA-iyam aBivyaktiH Svs_293a
   hanta brahmopadeśo 'yaṃ Svs_184a	hanta brahma-upadeSaH ayam Svs_184a
   hantaivaṃ saty avidyaiva Svs_215a	hanta-evam sati avidyA-eva Svs_215a
   hastastham eva hemādi Svs_289a	hasta-sTam eva hema-Adi Svs_289a
   hrasvadīrghatvabhedā vā Svs_380a	hrasva-dIrGa-tva-BedAH vA Svs_380a
