   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati-sAhasrikA PrajQApAramitA
   nirmāṇaratīnāṃ paranirmitavaśavartināṃ brahmakāyikānāṃ brahmapurohitānāṃ	nirmANa-ratInAm paranirmita-vaSavartinAm brahmakAyikAnAm brahma-purohitAnAm
   brahmapārṣadyānāṃ mahābrahmaṇāṃ parīttābhānām apramāṇābhānām ābhāsvarāṇāṃ	brahmapArzadyAnAm mahA-brahmaNAm parItta-ABAnAm apramANa-ABAnAm ABAsvarANAm
   parīttaśubhānām (PvSPL ga_a) apramāṇaśubhānāṃ śubhakṛtsnānāṃ bṛhatphalānām	parIttaSuBAnAm (PvSPL ga_a) apramANa-SuBAnAm SuBa-kRtsnAnAm bRhat-PalAnAm
   asaṃjñisatvānāṃ śuddhāvāsānāṃ sudṛśānāṃ sudarśanānām aspṛhāṇām atapānām	asaMjQi-satvAnAm SudDAvAsAnAm sudRSAnAm sudarSanAnAm aspRhANAm atapAnAm
   akaniṣṭhānāñ cākāśānantyāyatanopagānāṃ vijñānānantyāyatanopagānām	aka-nizWAnAn ca-AkASa-Anantya-Ayatana-upagAnAm vijQAna-Ananti-Ayatana-upagAnAm
   ākiñcanyāyatanopagānān naivasaṃjñānāsaṃjñāyatanopagānān devānāṃ loke	AkiQcanyAyatana-upagAnAt na-eva-saMjQAna-asaMjQA-Ayatana-upagAnAn devAnAm loke
   prādurbhāvo bhavati srotaāpannānāṃ sakṛdāgāminām anāgāminām arhataṃ	prAdurBAvaH Bavati srotaApannAnAm sakRdAgAminAm anAgAminAm arhatam
   pratyekabuddhānāṃ bodhisatvānāṃ mahāsatvānān tathāgatānām arhatāṃ	pratyekabudDAnAm boDisatvAnAm mahA-satvAnAn taTAgatAnAm arhatAm
   samyaksambuddhānāṃ loke prādurbhāvo bhavati bodhisatvaṃ mahāsatvam āgamya	samyaksambudDAnAm loke prAdurBAvaH Bavati boDisatvam mahA-satvam Agamya
   trayāṇāṃ ratnānāṃ yad idaṃ buddharatnasya dharmaratnasya saṃgharatnasya	trayANAm ratnAnAm yat idam budDa-ratnasya Darma-ratnasya saMGa-ratnasya
   loke prādurbhāvo bhavati bodhisatvaṃ mahāsatvam āgamya sarveṣāṃ laukikānāñ	loke prAdurBAvaH Bavati boDisatvam mahA-satvam Agamya sarvezAm lOkikAnAn-
   jīvitopakaraṇānām	jIvita-upakaraNAnAm
   annapānavastrayānaśayyāsanaglānapratyayabhaiṣajyapariskārāṇāṃ	anna-pAna-vastra-yAna-SayyA-Asana-glAna-pratyaya-BEzajya-pariskArANAm
   maṇimuktāvaiḍūryaśaṃkhaśilāpravāḷajātarūparajatānāṃ loke prādurbhāvo	maNi-muktA-vExUrya-SaMKa-SilA-pravA?a-jAtarUpa-rajatAnAm loke prAdurBAvaH-
   bhavati yāvat kulaputrās sarvasukhopadhānānān divyānāṃ mānuṣyakāṇāñ ca	Bavati yAvat kula-putrAH sarva-suKa-upaDAnAnAn divyAnAm mAnuzya-kANAn ca
   bhavasukhānān nirvāṇasukhānāñ ca loke prādurbhāvo bhavati sarvas sa	Bava-suKAnAn nirvANa-suKAnAn ca loke prAdurBAvaH Bavati sarvas sa
   kulaputrā bodhisatvaṃ mahāsatvam āgamya tat kasya hetos tathā hi kulaputrā	kula-putrAH boDisatvam mahA-satvam Agamya tat kasya hetoH taTA hi kula-putrA
   bodhisatvo mahāsatvaḥ prajñāpāramitāyāñ caran satvān* ṣaṭsu pāramitāsu	boDisatvaH mahAsatvaH prajQApAramitAyAn caran satvAn* zawsu pAramitAsu
   niyojayati dānan dāpayati śīle niyuṅkte kṣāntau pratiṣṭhāpayati vīrye	niyojayati dAnan dApayati SIle niyuFkte kzAntO pratizWApayati vIrye
   niyojayati dhyāne pratiṣṭhāpayati prajñāyāṃ niyojayati bodhisatvaṃ	niyojayati DyAne pratizWApayati prajQAyAm niyojayati boDisatvam
   mahāsatvam āgamya satvā dānapāramitāyāṃ yāvat prajñāpāramitāyāñ caranti te	mahAsatvam Agamya satvAH dAna-pAramitAyAm yAvat prajQApAramitAyAn caranti te
   dānapāramitāyāṃ yāvat prajñāpāramitāyāñ carantas sarvalaukikalokottarās	dAna-pAramitAyAm yAvat prajQApAramitAyAn carantaH sarva-lOkika-loka-uttarAs
   saṃpattīr anuprāpnuvanti tasmāt tarhi kulaputrā bodhisatvo mahāsatvas	saMpattIH anuprApnuvanti tasmAt tarhi kula-putrAH boDisatvaH mahAsatva-s
   sarvasatvānāṃ hitasukhāya pratipanno bhavati // atha khalu bhagavāṃs	sarva-satvAnAm hita-suKAya pratipannaH Bavati // aTa Kalu BagavAn=-
   tasyāṃ velāyāñ jihvendriyaṃ mūkhān nirṇāmyemān trisāhasramahāsāhasraṃ	tasyAm velAyAn jihvA-indriyam mUKAn nirNAmya-imAn tri-sAhasra-mahA-sAhasram
   lokadhātuñ jihvendriyeṇācchādayāmāsa atha khalu tato jihvendriyād	lokaDAtun jihvA-indriyeNa-AcCAdayAmAsa aTa Kalu tatas jihvA-indriyAt-
   anekavarṇā nānānvarṇā arciso niścārya pūrvasyān diśi gaṅgānadīvālikopamāl	aneka-varNAH nAnAnvarNAH arcisaH niScArya pUrvasyAn diSi gaFgA-nadI-vAlikA-upamAl
   lokadhātūn avabhāsayamāsuḥ evan dakṣiṇasyāṃ paścimāyām uttarasyāṃ pi dikṣv	lokaDAtUn avaBAsayamAsuH evan dakziNasyAm paScimAyAm uttarasyAm pi dikzu-
   adha-ūrdhvāyān diśi gaṅgānadīvālikopamāl lokadhātūn avabhāsayāmāsuḥ //	aDa-u-UrDvAyAn diSi gaFgA-nadI-vAlikA-upamAt lokaDAtUn avaBAsayAmAsuH //
   atha khalu pūrvasyān diśi gaṅgānadīvālikopameṣu lokadhātuṣv	aTa Kalu pUrvasyAn diSi gaFgA-nadI-vAlikA-upamezu lokaDAtuzu-
   aprameyāsaṃkhyeyā bodhisatvā mahāsatvās taṃ prabhāvyūhan dṛṣṭvā	aprameya-asaMKyeyAH boDisatvAH mahAsatvAH tam praBAvi-Uhan dRzwvA
   svakasvasvakeṣu buddhakṣetreṣu buddhān bhagavataḥ paripṛcchanti sma	sva-ka-sva-svakezu budDa-kzetrezu budDAn BagavataH paripRcCanti sma
   kasyāyaṃ bhagavann anubhāvo yenāyam evaṃrūpaḥ prabhāvabhāsas sandṛśyante	kasya-ayam Bagavan anuBAvaH yena-ayam evaMrUpaH praBAva-BAsaH sandRSyante
   te buddhā bhagavantas tān bodhisatvān mahāsatvān evam āhuḥ eṣa kulaputrāḥ	te budDAH BagavantaH tAn boDisatvAt mahAsatvAn evam AhuH eza kula-putrAH
   paścime digbhāge sahāyāṃ lokadhātau śākyamunir nāma tahāgato 'rhan	paScime diS-BAge sahAyAm lokaDAtO SAkyamuniH nAma tahA-gataH arhan
   samyaksambuddhas tena jihvendriyaṃ mukhān nirṇāmya daśasu dikṣu	samyaksambudDaH tena jihvA-indriyam muKAt nirNAmya daSasu dikzu
   gaṅgānadīvālikopamā lokadhātavo mahatāvabhāsena (PvSPL ga_b) sphuṭīkṛtā	gaFgA-nadI-vAlikA-upamA lokaDAtavaH mahatA-avaBAsena (PvSPL ga_b) sPuwIkRtA
   yad uta bodhisatvānāṃ mahāsatvānāṃ prajñāpāramitādeśanāya saṃprakāśanāya	yat uta boDisatvAnAm mahAsatvAnAm prajQApAramitA-deSanAya saMprakASanAya
   te bodhisatvā mahāsatvās tāṃs tathāgatān evam āhur gamiṣyāmo vayaṃ	te boDisatvAH mahAsatvAH tAn taTAgatAn evam AhuH gamizyAmaH vayam
   bhagavaṃs tāṃ sahāṃ lokadhātun taṃ bhagavantaṃ śākyamunin tathāgatam	Bagavan tAm sahAm lokaDAtun tam Bagavantam SAkyamunin taTAgatam
   arhantaṃ samyaksambuddhan darśanāya vandanāya paryupāsanāya tāṃś ca	arhantam samyaksambudDan darSanAya vandanAya paryupAsanAya tAn ca
   daśadiksannipatitān bodhisatvān mahāsatvān darśanāya tāñ ca	daSa-diS-sannipatitAn boDisatvAt mahAsatvAn darSanAya tAn ca
   prajñāpāramitāṃ śravaṇāya te buddhā bhagavanta evam āhur yasyedānīṃ	prajQApAramitAm SravaNAya te budDAH BagavantaH evam AhuH yasya-idAnIm
   kulaputrāḥ kālaṃ manyaddhva evan dakṣiṇasyān diśi paścimāyām uttarasyāṃ	kula-putrAH kAlam manyadDvaH evan dakziNasyAn diSi paScimAyAm uttarasyAm
   vidikṣv adha-ūrdhvāyān diśi gaṅgānadīvālikopameṣu lokadhātuṣv	vidikzu aDa-u-UrDvAyAn diSi gaFgA-nadI-vAlikA-upamezu lokaDAtuzu-
   aprameyāsaṃkhyeyā bodhisatvā mahāsatvās taṃ prabhāvyūhan dṛṣṭvā	aprameya-asaMKyeyAH boDisatvAH mahAsatvAH tam praBAvi-Uhan dRzwvA
   svakasvakeṣu buddhakṣetreṣu buddhān bhagavantaḥ paripṛcchanti sma kasyāyaṃ	sva-ka-svakezu budDa-kzetrezu budDAn BagavantaH paripRcCanti sma kasya-ayam
   bhagavann anubhāvo yenāyam evaṃrūpaḥ prabhāvabhāsas sandṛśyate te buddhā	Bagavan anuBAvaH yena-ayam evaMrUpaH praBAva-BAsaH sandRSyate te budDA
   bhagavantas tān bodhisatvān māhāsatvān evam āhuḥ eṣa kulaputrā	BagavantaH tAn boDisatvAt mAhAsa-tvAn evam AhuH eza kula-putrA
   adhodigbhāge sahāṃyāṃ lokadhātau śākyamunir nāma tāthāgato 'rhan	aDas-digBAge saha-aMyAm lokaDAtO SAkyamuniH nAma tATAgataH arhan
   samyaksambuddhas tena jihvendriyan nirṇāmya daśasu dikṣu	samyaksambudDaH tena jihvA-indriyan nirNAmya daSasu dikzu
   gaṅgānadīvālikopamā lokadhātavo mahatāvabhāsena sphuṭīkṛtā yad uta	gaFgA-nadI-vAlikA-upamA lokaDAtavaH mahatA-avaBAsena sPuwIkRtA yat uta
   bodhisatvānāṃ mahāsatvānāṃ prajñāpāramitān deśanāya saṃprakāśanāya te	boDisatvAnAm mahAsatvAnAm prajQApAramitAn deSanAya saMprakASanAya te
   bodhisatvā mahāsatvās tāṃs tathāgatān evam āhur gamiṣyāmo vayaṃ bhagavaṃs	boDisatvAH mahAsatvAH tAn taTAgatAn evam AhuH gamizyAmaH vayam Bagavan=-
   tāṃ sahāṃ lokadhātun tañ ca bhagavantaṃ śākyamunin tathāgatam arhantaṃ	tAm sahAm lokaDAtun taQ ca Bagavantam SAkyamunin taTAgatam arhantam
   samyaksambuddhan darśanāya vandanāya paryupāsanāya tāṃś ca	samyaksambudDan darSanAya vandanAya paryupAsanAya tAn ca
   daśadiksannipatitān bodhisatvān mahāsatvān darśanāya vandanāya tāñ ca	daSa-diS-sannipatitAn boDisatvAt mahAsatvAn darSanAya vandanAya tAn ca
   prajñāpāramitāṃ śravaṇāya te buddhā bhagavanta evam āhur yasyedānīṃ	prajQApAramitAm SravaNAya te budDAH BagavantaH evam AhuH yasya-idAnIm
   kulaputrāḥ kālaṃ manyadhve // atha khalu daśabhyo digbhyas te bodhisatvāḥ	kula-putrAH kAlam manyaDve // aTa Kalu daSaByaH digByaH te boDisatvAH
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākā gṛhītvā	puzpa-DUpa-ganDa-mAlya-vilepana-cUrNa-cIvara=-Catra-Dvaja-patAkA gRhItvA
   nānāratnasuvarṇarūpyapuṣpapuṭaṃ parigṛhītvā mahatyā	nAnA-ratna-suvarNa-rUpya-puzpa-puwam parigRhItvA mahatyA
   tūryatāṇḍāvacarasaṃgītyā bhagavantaṃ śākyamunin tathāgatam upasaṃkrāntā	tUrya-tANxAvacara-saMgItyA Bagavantam SAkyamunin taTAgatam upasaMkrAntA
   abhūvan* // atha khalu cāturmahārājikā devā yāvad akaniṣṭhā devā divyāni	aBUvan* // aTa Kalu cAturmahArAjikAH devAH yAvat akanizWA devAH divyAni
   puṣpadhūpagandhamālyavilepanacūrṇotpalapadmakumudapuṇḍarīkamaṇḍāravakesaratamālapatrāṇi	puzpa-DUpa-ganDa-mAlya-vilepana-cUrNa-utpala-padma-kumuda-puNxarI-ka-maNxArava-kesara-tamAla-patrANi
   gṛhītvā yena bhagavāṃs tenopasaṃkrāman* atha khalu te bodhisatvā	gRhItvA yena BagavAn tena-upasaMkrAman* aTa Kalu te boDisatvA
   mahāsatvās te ca devās taiḥ puṣpadhūpagandhamālyavilepanais tathāgatam	mahAsatvAH te ca devAH tEH puzpa-DUpa-ganDa-mAlya-vilepanEH taTAgatam
   arhantaṃ samyaksambuddham avakiranti sma atha khalu tāni puṣpāṇi viyad	arhantam samyaksambudDam avakiranti sma aTa Kalu tAni puzpANi viyat-
   abhyudgamyāsya trisāhasramahāsāhasrasya lokadhātor upariṣṭhāt puṣpavitānāṃ	aByudgamya-asya tri-sAhasra-mahA-sAhasrasya loka-DAtoH uparizWAt puzpa-vitAnAm
   saṃsthitañ caturaśrañ ca catusthūṇaṃ samambhāgaśas suvibhaktaṃ ramaṇīyaṃ	saMsTitan caturaSran ca catusTUNam samamBAgaSaH su-viBaktam ramaNIyam
   manoramaṃ yat puṣpavitānan dṛṣṭvā tato bodhisatvamahāsatvaparṣado	manoramam yat puzpa-vitAnan dRzwvA tatas boDisatva-mahA-satva-parzadaH-
   devaparṣadaś ca prāṇikoṭinayutaśatasahasreṇānutpattakeṣu dharmeṣu kṣāntiḥ	deva-parzadaH ca prANi-kowina-yuta-Sata-sahasreNa-anutpattakezu Darmezu kzAntiH
   pratilabdhā ta utthāyāsanebhya ekāṃsam uttarāsaṅgān kṛtvā dakṣiṇāni	pratilabDA te utTAya-AsaneByaH eka-aMsam uttarAsaFgAn kRtvA dakziNAni
   jānumaṇḍalāni pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃs tenāñjaliṃ praṇamayya	jAnu-maNxalAni pRTivyAm pratizWApya yena BagavAn tena-aQjalim praNamayya
   bhagavantam etad avocan vayaṃ bhagavann anāgate (PvSPL gā_a) 'dhvany	Bagavantam etat avocan vayam Bagavan anAgate (PvSPL gAH-_a) aDvani-
   evaṃrūpāṇān dharmāṇāṃ lābhino bhavema yathā tathāgato 'rhan	evaMrUpANAn DarmANAm lABinaH Bavema yaTA taTAgataH arhan
   samyaksambuddhaḥ evañ ca śrāvakasaṃghaṃ pariharema evañ ca parṣadi dharman	samyaksambudDaH evan ca SrAvaka-saMGam pariharema evan ca parzadi Darman
   deśayema yathaitarhi tathāgato dharman deśayati // atha khalu bhagavāṃs	deSayema yaTA-etarhi taTAgataH Darman deSayati // aTa Kalu BagavAn=-
   teṣān daśadigabhyāgatānāṃ bodhisatvānāṃ mahāsatvānān teṣāñ ca devānām	tezAn daSa-diS-aByAgatAnAm boDisatvAnAm mahA-satvAnAn tezAn ca devAnAm
   āśayaṃ viditvā sarvadharmāṇām	ASayam viditvA sarva-DarmANAm
   anutpādāyānirodhāyānabhisaṃskārāyāprādurbhāvāya kṣāntiñ ca viditvā smitam	anutpAdAya-aniroDAya-anaBisaMskArAya-aprAdurBAvAya kzAntin ca viditvA smitam
   akarot* // atha khalv āyuṣmān ānanda utthāyāsanād ekāṃsam uttarāsaṅgaṅ	akarot* // aTa Kalu AyuzmAn AnandaH utTAya-AsanAt eka-aMsam uttarAsaFgaF
   kṛtvā dakṣiṇañ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃs	kRtvA dakziNan jAnu-maNxalam pRTivyAm pratizWApya yena BagavAn=-
   tenāñjaliṃ praṇamayya bhagavantam etad avocat ko bhagavan hetuḥ kaḥ	tena-aQjalim praNamayya Bagavantam etat avocat kaH Bagavan hetuH kaH
   pratayaḥ smitasya prādurbhāvāya nāhetukan nāpratyayaṃ buddhā bhagavanta	pratayaH smitasya prAdurBAvAya na-ahetukan na-apratyayam budDAH Bagavanta
   smitam āviṣkurvanti evam ukte bhagavān āyuṣmantam ānandam etad avocad	smitam Avizkurvanti evam ukte BagavAn Ayuzmantam Anandam etat avocat-
   etenānanda prāṇikoṭīnayutaśatasahasreṇānutpattikeṣu dharmeṣu kṣāntiḥ	etena-Ananda prANi-kowIn-ayuta-Sata-sahasreNa-anutpattikezu Darmezu kzAntiH
   pratilabdhā ete cānāgate 'dhvany aṣṭāṣaṣṭyā kalpakoṭibhir	pratilabDAH ete ca-anAgate aDvani azwAzazwyA kalpa-kowiBiH-
   bodhyaṅgapuṣpanāmānas tathāgatā arhantas samyaksambuddhā loka utpatsyante	boDi-aFga-puzpa-nAmAnaH taTAgatAH arhantaH samyaksambudDAH loke utpatsyante
   puṣpākare kalpe // atha khalu bhagavāṃs tasyāṃ velāyām ayuṣmantaṃ subhūtim	puzpAkare kalpe // aTa Kalu BagavAn tasyAm velAyAm ayuzmantam suBUtim
   āmantrayāmāsa pratibhātu te subhūte bodhisatvānāṃ mahāsatvānāṃ	AmantrayAmAsa pratiBAtu te suBUte boDisatvAnAm mahAsatvAnAm
   prajñāpāramitām ārabhya dhārmikīṅ kathāṅ kartuṃ yathā bodhisatvā mahāsatvā	prajQApAramitAm AraBya DArmikIF kaTA-aF kartum yaTA boDisatvA mahAsatvA
   prajñāpāramitāyāñ caranto niryāyur iti // atha khalu teṣāṃ bodhisatvānāṃ	prajQApAramitAyAn carantaH niryAyuH iti // aTa Kalu tezAm boDisatvAnAm
   mahāsatvānān teṣāñ ca mahāśrāvakāṇān teṣāñ ca devaputrāṇām etad abhavat*	mahA-satvAnAn tezAn ca mahA-SrAvakANAn tezAn ca deva-putrANAm etat aBavat-*
   // kin nu khalv āyuṣmān subhūtis svakena prajñāpratibhānabalādhānena	// kid nu Kalu AyuzmAn suBUtiH svakena prajQA-pratiBAna-bala-ADAnena
   bodhisatvānāṃ mahāsatvānāṃ prajñāpāramitām upadekṣyaty uta buddhānubhāvena	boDisatvAnAm mahAsatvAnAm prajQApAramitAm upadekzyati uta budDa-anuBAvena
   // atha khalv āyuṣmān subhūtir buddhānubhāvena teṣāṃ bodhisatvānāṃ	// aTa Kalu AyuzmAn suBUtiH budDa-anuBAvena tezAm boDisatvAnAm
   mahāsatvānān teṣāñ ca mahāśrāvakāṇān teṣāñ ca devaputrāṇāñ cetasaiva	mahA-satvAnAn tezAn ca mahA-SrAvakANAn tezAn ca deva-putrANAn cetasA-eva
   cetaḥparivitarkam ājñāyāyuṣmantaṃ śāriputram etad avocat tat kiñcid	cetaH-parivitarkam AjQAya-Ayuzmantam SAriputram etat avocat tat kiQcid-
   āyuṣmañ cchāriputra bhagavataś śrāvakā bhāṣante deśayanty udīrayanti	Ayuzman cCAriputra BagavataH SrAvakAH BAzante deSayanti udIrayanti
   sarvas sa tathāgatasya puruṣākāro veditavyas taṅ kasya hetor yo hi	sarvaH sa taTAgatasya puruza-AkAraH veditavyaH taF kasya hetoH yaH hi
   tathāgatena dharmo deśitas tasyān dharmadeśanāyāṃ śikṣamāṇo bhagavataś	taTAgatena DarmaH deSitaH tasyAn Darma-deSanAyAm SikzamANaH BagavataS
   śrāvakās tān dharmatāṃ sākṣātkurvanti tān dharmatāṃ sākṣātkṛtya yad yad	SrAvakAH tAn Darma-tAm sAkzAtkurvanti tAn Darma-tAm sAkzAtkRtya yat yat-
   eva bhāṣante deśayanty upadiśanti sarvan tad dharmatayā na viruddhyate	eva BAzante deSayanti upadiSanti sarvan tat Darma-tayA na virudDyate
   tathāgata evaiṣa śāriputropāyakauśalyayogena bodhisatvānāṃ mahāsatvānāṃ	taTAgataH eva-eza SAriputra-upAya-kOSalya-yogena boDisatvAnAm mahAsatvAnAm
   prajñāpāramitām upadekṣyaty aviṣayo 'trāyuṣmāñ cchāriputra	prajQApAramitAm upadekzyati avizayaH atra-AyuzmAn cCAriputra
   sarvaśrāvakapratyekabuddhānāṃ bodhisatvānāṃ mahāsatvānāṃ prajñāpāramitām	sarva-SrAvaka-pratyekabudDAnAm boDisatvAnAm mahAsatvAnAm prajQApAramitAm
   upadeśam // atha khalv āyuṣmān subhūtir bhagavantam etad avocat*	upadeSam // aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat-*
   bodhisatvo mahāsatva iti bhagavann ucyate kasyaitad bhagavan	boDisatvaH mahAsatvaH iti Bagavan ucyate kasya-etat Bagavan
   dharmasyādhivacanaṃ yad uta bodhisatva iti prajñāpāramiteti vā nāhaṃ	Darmasya-aDivacanam yat uta boDisatvaH iti prajQApAramitA-iti vA na-aham
   bhagavaṃs tan dharmaṃ samanupaśyāmi (PvSPL gā_b) yad uta bodhisatva iti	Bagavan tat Darmam samanupaSyAmi (PvSPL gAH-_b) yat uta boDisatvaH iti
   prajñāpāramiteti vā so 'haṃ bhagavan bodhisatvam asamanupaśyan	prajQApAramitA-iti vA saH aham Bagavan boDisatvam asamanupaSyan
   prajñāpāramitām apy anupalabhamānaḥ katamaṃ bodhisatvaṃ katamasyāṃ	prajQApAramitAm api anupalaBamAnaH katamam boDisatvam katamasyAm
   prajñāpāramitāyām avavadiṣyāmy anuśāsiṣyāmi // evam ukte bhagavān	prajQApAramitAyAm avavadizyAmi anuSAsizyAmi // evam ukte BagavAn
   āyuṣmantaṃ subhūtim etad avocan nāmamātram idaṃ subhūte yad uta	Ayuzmantam suBUtim etat avocat nAma-mAtram idam suBUte yat uta
   prajñāpāramiteti bodhisatva iti bodhisatvanāmeti tad api nāma nādhyātman	prajQApAramitA-iti boDisatvaH iti boDisatva-nAma-iti tat api nAma na-aDyAtman
   na bahirdhā nobhayam antareṇopalabhyate tadyathā pi nāma subhūte satvas	na bahirDA na-uBayam antareNa-upalaByate tat-yaTA pi nAma suBUte satva-s
   satva iti nāmnocyate na ca kadācit satvopalabdhir yac ca nāma tad	satvaH iti nAmnA-ucyate na ca kadAcid satva-upalabDiH yat ca nAma tat-
   dharmaprajñaptimātran tasyāś ca dharmaprajñaptir notpādo na nirodho	Darma-prajQaptimAtran tasyAH ca Darma-prajQaptiH na-utpAdaH na niroDaH-
   'nyatra nāmasaṃketamātreṇa vyavahriyate tac ca nāma nādhyātman na bahirdhā	anyatra nAma-saMketa-mAtreNa vyavahriyate tat ca nAma na-aDyAtman na bahirDA
   nobhayam antareṇopalabhyate evam	na-uBayam antareNa-upalaByate evam
   ātmasatvajīvajantupoṣapuruṣapudgalamanujamānavakārakavedakajanakapaśyakā	Atma-satva-jIva-jantu-poza-puruza-pudgalam-anujamAnavakAraka-vedaka-janaka-paSyakA
   iti subhūte sarvam etad dharmaprajñaptimātran tasyāś ca dharmaprajñapter	iti suBUte sarvam etat Darma-prajQaptimAtran tasyAH ca Darma-prajQapteH-
   notpādo na nirodho 'nyatra nāmasaṃketanamātreṇa vyavahriyate tac ca nāma	na-utpAdaH na niroDaH anyatra nAma-saMketana-mAtreNa vyavahriyate tat ca nAma
   nādhyātmān na bahirdhā nobhayam antareṇopalabhyate evam eva subhūte yad	na-aDyAtmAt na bahirDA na-uBayam antareNa-upalaByate evam eva suBUte yat-
   ucyate prajñāpāramiteti bodhisatva iti bodhisatvanāmeti sarvam etad	ucyate prajQApAramitA-iti boDisatvaH iti boDisatva-nAma-iti sarvam etat-
   dharmaprajñaptimātran tasyāś ca dharmaprajñapter notpādo na nirodho	Darma-prajQaptimAtran tasyAH ca Darma-prajQapteH na-utpAdaH na niroDaH-
   'nyatra nāmasaṃketamātreṇa vyavahriyate tac ca nāma nādhyātmān na bahirdhā	anyatra nAma-saMketa-mAtreNa vyavahriyate tat ca nAma na-aDyAtmAt na bahirDA
   nobhayam antareṇopalabhyate tadyathāpi nāma subhūte idam ādhyātmakaṃ rūpam	na-uBayam antareNa-upalaByate tat-yaTA-api nAma suBUte idam ADyAtmakam rUpam
   iti sarvam etad dharmaprajñaptimātran tasyāś ca dharmaprajñapter notpādo	iti sarvam etat Darma-prajQaptimAtran tasyAH ca Darma-prajQapteH na-utpAdaH-
   na nirodho 'nyatra nāmasaṃketamātreṇa vyavahriyate tac ca nāma nādhyātman	na niroDaH anyatra nAma-saMketa-mAtreNa vyavahriyate tat ca nAma na-aDyAtman
   na bahirdhā nobhayam antareṇopalabhyate evaṃ vedanāsaṃjñāsaṃskārāvijñānam	na bahirDA na-uBayam antareNa-upalaByate evam vedanA-saMjQA-saMskAra-avijQAnam
   iti subhūte dharmaprajñaptimātram etad tasyāś ca dharmaprajñapter notpādo	iti suBUte Darma-prajQapti-mAtram etat tasyAH ca Darma-prajQapteH na-utpAdaH-
   na nirodho 'nyatra nāmasaṃketamātreṇa vyavahriyate tac ca nāma nādhyātman	na niroDaH anyatra nAma-saMketa-mAtreNa vyavahriyate tat ca nAma na-aDyAtman
   na bahirdhā nobhayam antareṇopalabhyate evam eva subhūte yad ucyate	na bahirDA na-uBayam antareNa-upalaByate evam eva suBUte yat ucyate
   prajñāpāramiteti bodhisatva iti bodhisatvanāmeti sarvam etan	prajQApAramitA-iti boDisatvaH iti boDisatva-nAma-iti sarvam etat-
   dharmaprajñaptimātran tasyāś ca dharmaprajñapter notpādo na nirodho	Darma-prajQaptimAtran tasyAH ca Darma-prajQapteH na-utpAdaH na niroDaH-
   'nyatra nāmasaṃketamātreṇa vyavahriyate tac ca nāma nādhyātman na bahirdhā	anyatra nAma-saMketa-mAtreNa vyavahriyate tat ca nAma na-aDyAtman na bahirDA
   nobhayam antareṇopalabhyate cakṣur iti subhūte dharmaprajñaptimātram etat	na-uBayam antareNa-upalaByate cakzuH iti suBUte Darma-prajQapti-mAtram etat-
   tasyāś ca dharmaprajñapter notpādo na nirodho 'nyatra nāmasaṃketamātreṇa	tasyAH ca Darma-prajQapteH na-utpAdaH na niroDaH anyatra nAma-saMketa-mAtreNa
   vyavahriyate tac ca nāma nādhyātman na bahirdhā nobhayam	vyavahriyate tat ca nAma na-aDyAtman na bahirDA na-uBayam
   antareṇopalabhyate // evaṃ śrotraṃ ghrāṇaṃ jihvā kāyo mana iti subhūte	antareNa-upalaByate // evam Srotram GrANam jihvA kAyaH manaH iti suBUte
   dharmaprajñaptimātram etat tasyāś ca dharmaprajñapter notpādo na nirodho	Darma-prajQapti-mAtram etat tasyAH ca Darma-prajQapteH na-utpAdaH na niroDaH-
   'nyatra dharmasaṃketamātreṇa vyavahriyate tac ca nāma nādhyātman na	anyatra Darma-saMketa-mAtreNa vyavahriyate tat ca nAma na-aDyAtman na
   bahirdhā nobhayam antareṇopalabhyate rūpam iti subhūte	bahirDA na-uBayam antareNa-upalaByate rUpam iti suBUte
   dharmaprajñaptimātram etat tasyāś ca dharmaprajñapter notpādo na nirodho	Darma-prajQapti-mAtram etat tasyAH ca Darma-prajQapteH na-utpAdaH na niroDaH-
   'nyatra nāmasaṃketamātreṇa vyavahriyate tac ca nāma nādhyātman na bahirdhā	anyatra nAma-saMketa-mAtreNa vyavahriyate tat ca nAma na-aDyAtman na bahirDA
   nobhayam antareṇopalabhyate. evaṃ śabdo gandho rasaḥ spraṣṭavyan dharma	na-uBayam antareNa-upalaByate. evam SabdaH ganDaH rasaH sprazwavyan Darma
   iti subhūte dharmapra	iti suBUte Darma-pra
