   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   deśe kāla upāyena Yj_1.6a	deSe kAle upAyena Yt _1.6a
   deśe kāle na darśayet K_531b	deSe kAle na darSayet K_531b
   deśe deśe 'vatiṣṭhate Nar_1.91d	deSe deSe avatizWate Nar_1.91d
   'deśe vā bhavato mithaḥ Nar_12.62b	adeSe vA BavataH miTas Nar_12.62b
   deśe 'śucāv ātmani ca Yj_1.149a	deSe aSucO Atmani ca Yt _1.149a
   deśe saṃbhāṣate mithaḥ Mn_8.55b	deSe saMBAzate miTas M= _8.55b
   dehatyāgo 'nupaskṛtaḥ Mn_10.62b	dehatyAgaH anupaskRtaH M= _10.62b
   dehanāśam anuprāptas Par_3.12c	deha nASam anuprAptaH Par_3.12c
   dehanāśam anuprāptas Par_5.14a	deha nASam anuprAptaH Par_5.14a
   dehabhedam avāpnoti YSS_2.29c	dehaBedam avApnoti YSH _2.29c
   dehasparśo vidhīyate Par_3.3d	deha sparSaH viDIyate Par_3.3d
   dehāc caiva malāś cyutāḥ Mn_5.132[130M]d	dehAt ca eva malAH cyutAH M= _5.132[130M]d
   dehād utkramaṇaṃ cāṣmāt Mn_6.63a	dehAt utkramaNam ca azmAt M= _6.63a
   dehīty uktasya saṃsadi Mn_8.52b	dehi iti uktasya saMsadi M= _8.52b
   dehī vindati vedanām Yj_3.143b	dehI vindati vedanAm Yt _3.143b
   dehe tiṣṭhati dehinām Par_11.37d	dehe tizWati dehinAm Par_11.37d
   dehendriyavināśe tu K_787a	deha indriya vinASe tu K_787a
   deheṣu ca samutpattim Mn_6.65c	dehezu ca samutpattim M= _6.65c
   daityadānavayakṣāṇāṃ Mn_3.196[186M]a	dEtya dAnava yakzANAm M= _3.196[186M]a
   daivakarmaṇi yukto hi Mn_3.75[65M]c	dEva karmaNi yuktaH hi M= _3.75[65M]c
   daivakāryād dvijātīnāṃ Mn_3.203[193M]a	dEva kAryAt dvijAtInAm M= _3.203[193M]a
   daivajñam uditoditam Yj_1.313b	dEva jQam udita uditam Yt _1.313b
   daivataskararājotthe Nar_3.06a	dEva taskara rAja utTe Nar_3.06a
   daivatāny abhigacchet tu Mn_4.153a	dEvatAni aBigacCet tu M= _4.153a
   daivataikyena kevalam Ang_1.1031b	dEva tA Ekyena kevalam Ank _1.1031b
   daivataikye pṛthaṅ na tu Ang_1.1031d	dEva tA Ekye pRTak na tu Ank _1.1031d
   daivapātre 'bhighāryātha Ang_1.813a	dEva pAtre aBiGArya aTa Ank _1.813a
   daivapitryātitheyāni Mn_3.18a	dEva pitrya AtiTeyAni M= _3.18a
   daivapitryādi karma ca Par_7.16b	dEva pitrya Adi karma ca Par_7.16b
   daivamānuṣakaṃ sukham Mn_11.234[233M]b	dEva mAnuzakam suKam M= _11.234[233M]b
   daivayogena cidvṛddher Ang_1.40a	dEva yogena cit vRdDeH Ank _1.40a
   daivayogena vidvāṃsaḥ Ang_1.1057a	dEva yogena vidvAMsaH Ank _1.1057a
   daivarājakṛtaṃ doṣaṃ K_162a	dEva rAja kRtam dozam K_162a
   daivarājakṛtād anyo K_593c	dEva rAja kRtAt anyaH K_593c
   daivarājakṛtād ṛte Yj_2.59d	dEva rAja kRtAt Rte Yt _2.59d
   daivarājakṛtād ṛte K_531d	dEva rAja kRtAt Rte K_531d
   daivarājakṛtād ṛte Nar_1.110d	dEva rAja kRtAt Rte Nar_1.110d
   daivarājakṛtād ṛte Nar_6.10d	dEva rAja kRtAt Rte Nar_6.10d
   daivarājakṛtād vinā K_594d	dEva rAja kRtAt vinA K_594d
   daivarājakṛte tadvan Nar_2.06c	dEva rAja kRte tadvat Nar_2.06c
   daivarājakṛte 'pi saḥ K_595b	dEva rAja kRte api saH K_595b
   daivarājakṛto doṣas K_161a	dEva rAja kRtaH dozaH K_161a
   daivarājapariplutāḥ Yj_2.163d	dEva rAja pariplutAH Yt _2.163d
   daivarājikam iṣyate K_751d	dEva rAjikam izyate K_751d
   daivasādhye pauruṣeyīṃ K_224e	dEva sADye pOruzeyIm K_224e
   daivaṃ dharmaṃ pracakṣate Mn_3.28d	dEvam Darmam pracakzate M= _3.28d
   daivaṃ paitṛkameva ca Ang_1.778d	dEvam pEtRkam eva ca Ank _1.778d
   daivaṃ hi pitṛkāryasya Mn_3.203[193M]c	dEvam hi pitR kAryasya M= _3.203[193M]c
   daivājjīvanpravardhitaḥ Ang_1.1048d	dEvAt jIvan pravarDitaH Ank _1.1048d
   daivāt pūrvakṛtena vā Mn_7.166[167M]b	dEvAt pUrva kRtena vA M= _7.166[167M]b
   daivāt pūrvakṛtena vā Mn_11.47[46M]b	dEvAt pUrva kRtena vA M= _11.47[46M]b
   daivātsaṃprāptajīvanāḥ Ang_1.1054d	dEvAt saMprApta jIvanAH Ank _1.1054d
   daivād yady api śāstrataḥ K_068d	dEvAt yadi api SAstrataH K_068d
   daivādyantaṃ tad īheta Mn_3.205[195M]a	dEva Adi antam tat Iheta M= _3.205[195M]a
   daivād vyāpāditā yadi Par_9.49b	dEvAt vyApAditA yadi Par_9.49b
   daivikaṃ paitṛkaṃ ca yat YS182v_5.12b	dEvikam pEtRkam ca yat YS182u _5.12b
   daivikaṃ paitṛkaṃ tathā YS182v_5.7d	dEvikam pEtRkam taTA YS182u _5.7d
   daivikānāṃ yugānāṃ tu Mn_1.72a	dEvikAnAm yugAnAm tu M= _1.72a
   daivikā vyādhayo nṛṇām K_458f	dEvikAH vyADayaH nRNAm K_458f
   daivikī na ca mānuṣī K_616d	dEvikI na ca mAnuzI K_616d
   daivikī mānuṣī tathā K_216d	dEvikI mAnuzI taTA K_216d
   daivikī vadatāṃ nṛṇām K_219d	dEvikI vadatAm nRNAm K_219d
   daivikī vā kriyā proktā K_233c	dEvikI vA kriyA proktA K_233c
   daivikīṃ varjayet kriyāṃ K_217b	dEvikIm varjayet kriyAm K_217b
   daivikīṃ hīyate tataḥ K_217d	dEvikIm hIyate tatas K_217d
   daivike nāsti nigrahaḥ Mn_8.409d	dEvike na asti nigrahaH M= _8.409d
   daivikeṣu ca pitryeṣu Ang_1.593a	dEvikezu ca pitryezu Ank _1.593a
   daivī ca vividhā sthitiḥ Mn_11.237[236M]b	dEvI ca viviDA sTitiH M= _11.237[236M]b
   daivīṃ vācaṃ vadanti tām Mn_8.103d	dEvIm vAcam vadanti tAm M= _8.103d
   daive karmaṇi dharmavit Mn_3.149[139M]b	dEve karmaNi Darma vid M= _3.149[139M]b
   daive caiveha karmaṇi Mn_3.75[65M]b	dEve ca eva iha karmaNi M= _3.75[65M]b
   daivena vidhinā yuktaṃ Mn_7.207Ma	dEvena viDinA yuktam M= _7.207Ma
   daive pitrye ca karmaṇi YS182v_3.43d	dEve pitrye ca karmaNi YS182u _3.43d
   daive pitrye ca bhojakaḥ Yj_2.235b	dEve pitrye ca BojakaH Yt _2.235b
   daive pitrye ca bhojayet Mn_3.129[119M]b	dEve pitrye ca Bojayet M= _3.129[119M]b
   daive puruṣakāre ca Yj_1.349a	dEve puruzakAre ca Yt _1.349a
   daive rātryahanī varṣaṃ Mn_1.67a	dEve rAtrI ahanI varzam M= _1.67a
   daive rucitam ity api Mn_3.254[244M]d	dEve rucitam iti api M= _3.254[244M]d
   daive haviṣi pitrye vā Mn_3.169[159M]c	dEve havizi pitrye vA M= _3.169[159M]c
   daive haviṣi pitrye vā Mn_3.240[230M]c	dEve havizi pitrye vA M= _3.240[230M]c
   daivoḍhājaḥ sutaś caiva Mn_3.38a	dEva UXA jaH sutaH ca eva M= _3.38a
   daihikānāṃ malānāṃ ca Mn_5.134[132M]c	dEhikAnAm malAnAm ca M= _5.134[132M]c
   doṣakārī tu kartṛtvaṃ K_035a	doza kArI tu kartR tvam K_035a
   doṣam āropya yatnataḥ K_958d	dozam Aropya yatnatas K_958d
   doṣam āhur manīṣiṇaḥ Nar_1516.13d	dozam AhuH manIziNaH Nar_1516.13d
   doṣam ṛcchaty asaṃśayam Mn_2.93b	dozam RcCati asaMSayam M= _2.93b
   doṣavaktranumokakaḥ K_833d	doza vaktra numokakaH K_833d
   doṣavat karaṇaṃ yat syād Nar_10.7a	dozavat karaNam yat syAt Nar_10.7a
   doṣas tv anyathā damaḥ Yj_2.288b	dozaH tu anyaTA damaH Yt _2.288b
   doṣaṃ saṃśrayakāritam Mn_7.176[177M]b	dozam saMSraya kAritam M= _7.176[177M]b
   doṣaḥ syāt paradāravat Nar_12.78b	dozaH syAt para dAra vat Nar_12.78b
   doṣānurūpaṃ saṃgrāhyaḥ K_206a	doza anurUpam saMgrAhyaH K_206a
   doṣān viṣayasaṅgajān Mn_12.18b	dozAn vizaya saFga jAn M= _12.18b
   doṣāya bhojanatyāga Ang_1.300c	dozAya Bojana tyAgaH Ank _1.300c
   doṣāḥ prāṇasya nigrahāt Mn_6.71d	dozAH prANasya nigrahAt M= _6.71d
   doṣe kṛte tena nareṇa kartā YSS_1.43b	doze kRte tena nareNa kartA YSH _1.43b
   doṣeṇaiva tu dūṣayet K_278b	dozeNa eva tu dUzayet K_278b
   doṣeṇaiva tu dūṣayet K_380b	dozeNa eva tu dUzayet K_380b
   doṣe tu sati nāgaḥ syād Nar_12.31c	doze tu sati nAgaH syAt Nar_12.31c
   doṣeṣv eteṣu somapāḥ YSS_2.53b	dozezu etezu somapAH YSH _2.53b
   doṣair mātus tathaiva ca Yj_3.163b	dozEH mAtuH taTA eva ca Yt _3.163b
   doṣaiś cānye 'pi ye vṛtāḥ Mn_8.77d	dozEH ca anye api ye vRtAH M= _8.77d
   doṣaiḥ prayāti jīvo 'yaṃ Yj_3.131c	dozEH prayAti jIvaH ayam Yt _3.131c
   doṣo bhavati viprāṇāṃ Mn_10.103c	dozaH Bavati viprANAm M= _10.103c
   doṣo mithyābhiyoginaḥ Nar_M1.51b	dozaH miTyA aBiyoginaH Nar_M1.51b
   doṣo yatra vibhāvayet K_776d	dozaH yatra viBAvayet K_776d
   doṣo 'yaṃ śrāddhakarmaṇaḥ Ang_1.274b	dozaH ayam SrAdDa karmaNaH Ank _1.274b
   dohyapuṃsāṃ parīkṣaṇam Yj_2.177d	dohyapuMsAm parIkzaNam Yt _2.177d
   dohyābharaṇakarmiṇaḥ K_842b	dohya ABaraNa karmiNaH K_842b
   dohyābharaṇakarmiṇām K_898b	dohya ABaraNa karmiNAm K_898b
   daurātmyād aprakurvatī YS99v_18b	dOrAtmyAt aprakurvatI YS99u _18b
   daurbalyaṃ khyāpyate rājñaḥ Mn_8.171c	dOrbalyam KyApyate rAjQaH M= _8.171c
   daurbalye svasya saṃjāte Ang_1.314c	dOrbalye svasya saMjAte Ank _1.314c
   dauścarmyaṃ gurutalpagaḥ Mn_11.49[48M]d	dOScarmyam guru talpa gaH M= _11.49[48M]d
   dauhitra eva ca hared Mn_9.131c	dOhitraH eva ca haret M= _9.131c
   dauhitraṃ viṭpatiṃ bandhum Mn_3.148[138M]c	dOhitram viwpatim banDum M= _3.148[138M]c
   dauhitraḥ kutapas tilāḥ Mn_3.235[225M]b	dOhitraH kutapaH tilAH M= _3.235[225M]b
   dauhitraḥ kutapastilāḥ Ang_1.906b	dOhitraH kutapaH tilAH Ank _1.906b
   dauhitro 'pi hy amutrainaṃ Mn_9.139c	dOhitraH api hi amutra enam M= _9.139c
   dauhitro yadi dattaḥ syād Ang_1.420c	dOhitraH yadi dattaH syAt Ank _1.420c
   dauhitro vā punaḥ smṛtaḥ Ang_1.944b	dOhitraH vA punar smRtaH Ank _1.944b
   dauhitro hy akhilaṃ riktham Mn_9.132a	dOhitraH hi aKilam rikTam M= _9.132a
   dauhṛdasyāpradānena Yj_3.79a	dOhRdasya apradAnena Yt _3.79a
   dyūtadharmaṃ nibodhata Mn_9.220d	dyUta Darmam niboData M= _9.220d
   dyūtapānaprasaktāś ca Mn_12.45c	dyUta pAna prasaktAH ca M= _12.45c
   dyūtam āhvaya eva ca Mn_8.7b	dyUtam AhvayaH eva ca M= _8.7b
   dyūtam ekamukhaṃ kāryaṃ Yj_2.203a	dyUtam eka muKam kAryam Yt _2.203a
   dyūtam etat purā kalpe Mn_9.227a	dyUtam etat purA kalpe M= _9.227a
   dyūtastrīpānasaktāś ca Yj_2.267c	dyUta strI pAna saktAH ca Yt _2.267c
   dyūtaṃ kṛṣiṃ vāṇijyāṃ ca Yj_1.262c	dyUtam kRzim vANijyAm ca Yt _1.262c
   dyūtaṃ ca janavādaṃ ca Mn_2.179a	dyUtam ca janavAdam ca M= _2.179a
   dyūtaṃ naiva tu seveta K_933a	dyUtam na eva tu seveta K_933a
   dyūtaṃ prakīrṇakaṃ caivety Nar_M1.19c	dyUtam prakIrNakam ca eva iti Nar_M1.19c
   dyūtaṃ samāhvayaṃ caiva Mn_9.221a	dyUtam samAhvayam ca eva M= _9.221a
   dyūtaṃ samāhvayaṃ caiva Mn_9.224a	dyUtam samAhvayam ca eva M= _9.224a
   dyūte yasyākṣadevinaḥ K_938b	dyUte yasya akza devinaH K_938b
   dyūte samāhvaye caiva K_228a	dyUte samAhvaye ca eva K_228a
   dyaur bhūmir āpo hṛdayaṃ Mn_8.86a	dyOH BUmiH ApaH hRdayam M= _8.86a
   dravāṇāṃ caiva sarveṣāṃ Mn_5.115[114M]a	dravANAm ca eva sarvezAm M= _5.115[114M]a
   draviṇaṃ rāṣṭram eva ca Mn_7.136[137M]d	draviNam rAzwram eva ca M= _7.136[137M]d
   draviṇārhaś ca dhuryaś ca K_557c	draviNa arhaH ca DuryaH ca K_557c
   dravyakālādisaṃbhavāḥ Ang_1.900b	dravya kAla Adi saMBavAH Ank _1.900b
   dravyajātyādibhedataḥ K_410f	dravya jAti Adi BedataH K_410f
   dravyadātus tu saṃtatiḥ Mn_11.5d	dravya dAtuH tu saMtatiH M= _11.5d
   dravyaprakārā hi yathā Yj_3.216c	dravya prakArAH hi yaTA Yt _3.216c
   dravyapradānena samāsamena YSS_1.49a	dravya pradAnena samAsamena YSH _1.49a
   dravyapramāṇahīnaṃ yat Nar_M2.11a	dravya pramANa hInam yat Nar_M2.11a
   dravyabhāksvāmyudāhṛtaḥ K_807d	dravya BAj svAmI udAhRtaH K_807d
   dravyam ajñānanāśitam K_597d	dravyam ajQAna nASitam K_597d
   dravyam avyākṛtaṃ ca yat Nar_2.02b	dravyam avyAkRtam ca yat Nar_2.02b
   dravyam asvāmivikrītaṃ Nar_7.2a	dravyam asvAmi vikrItam Nar_7.2a
   dravyalopeṣu kṛtsnaśaḥ Ang_1.1099d	dravya lopezu kRtsnaSas Ank _1.1099d
   dravyaśuddhis tathaiva ca Mn_5.146[144M]b	dravya SudDiH taTA eva ca M= _5.146[144M]b
   dravyaśuddhiṃ tathaiva ca Mn_5.57b	dravya SudDim taTA eva ca M= _5.57b
   dravyasaṃkhyāvivarjitaḥ K_138b	dravya saMKyA vivarjitaH K_138b
   dravyasvaṃ pañcadhā kṛtvā K_700a	dravya svam paQcaDA kRtvA K_700a
   dravyahastaḥ kathaṃ cana Mn_5.143[141M]b	dravya hastaH kaTam cana M= _5.143[141M]b
   dravyahānikaraṃ buddhaiḥ K_623d	dravya hAni karam budDEH K_623d
   dravyahṛd dāpyate tatra K_576c	dravya hRt dApyate tatra K_576c
   dravyaṃ gṛhītvā yal lekhyaṃ K_309a	dravyam gRhItvA yat leKyam K_309a
   dravyaṃ gṛhītvā vṛddhyarthaṃ K_516a	dravyam gRhItvA vRdDi arTam K_516a
   dravyaṃ tad aupanidhikaṃ Yj_2.65c	dravyam tat OpaniDikam Yt _2.65c
   dravyaṃ dāyādabāndhavāḥ Yj_2.264b	dravyam dAyAda bAnDavAH Yt _2.264b
   dravyaṃ dravyaprayojanam YS78v_51b	dravyam dravya prayojanam YS78u _51b
   dravyaṃ brāhmaṇasaṃpattir Yj_1.217c	dravyam brAhmaNa saMpattiH Yt _1.217c
   dravyaṃ yas tu samāharet K_631b	dravyam yaH tu samAharet K_631b
   dravyaṃ vijñeyam uttamam Nar_14.15d	dravyam vijQeyam uttamam Nar_14.15d
   dravyaṃ śraddhāsamanvitam Mn_7.87Mb	dravyam SradDA samanvitam M= _7.87Mb
   dravyaṃ śraddhāsamanvitam Yj_1.6b	dravyam SradDA samanvitam Yt _1.6b
   dravyāṇām apakarṣaṇāt Nar_14.12d	dravyANAm apakarzaNAt Nar_14.12d
   dravyāṇām alpasārāṇāṃ Mn_11.164[163M]a	dravyANAm alpa sArANAm M= _11.164[163M]a
   dravyāṇām samatikramāt Nar_1516.6b	dravyANAm samatikramAt Nar_1516.6b
   dravyāṇāṃ kuśalā brūyur Yj_2.181c	dravyANAm kuSalAH brUyuH Yt _2.181c
   dravyāṇāṃ śuddhim eva ca Mn_1.113d	dravyANAm SudDim eva ca M= _1.113d
   dravyāṇāṃ sthānayogāṃś ca Mn_9.332c	dravyANAm sTAna yogAn ca M= _9.332c
   dravyāṇi stenayen naraḥ Mn_8.333b	dravyANi stenayet naraH M= _8.333b
   dravyāṇi hiṃsyād yo yasya Mn_8.288a	dravyANi hiMsyAt yaH yasya M= _8.288a
   dravyāt svalpaṃ tu svāminā K_819b	dravyAt su alpam tu svAminA K_819b
   dravyāpekṣaṃ manīṣibhiḥ Nar_14.12b	dravya apekzam manIziBiH Nar_14.12b
   dravyārjanaṃ ca nāśaṃ ca Mn_12.79c	dravya arjanam ca nASam ca M= _12.79c
   dravyeṣu triṣv anukramāt Nar_14.20d	dravyezu trizu anukramAt Nar_14.20d
   dravyeṣv apahṛteṣu vā Nar_14.21b	dravyezu apahRtezu vA Nar_14.21b
   dravyairvā vipulairviprān Ang_2,10.19c	dravyEH vA vipulEH viprAn Ank _2,10.19c
   dravyopādānam ācaret Mn_8.417b	dravya upAdAnam Acaret M= _8.417b
   draṣṭavyas tv atha mantavyaḥ Yj_3.191c	drazwavyaH tu aTa mantavyaH Yt _3.191c
   draṣṭavyo vyavahāras tu Yj_2.212c	drazwavyaH vyavahAraH tu Yt _2.212c
   draṣṭā ca vyavahārāṇāṃ Nar_M1.2c	drazwA ca vyavahArANAm Nar_M1.2c
   draṣṭāro vyavahārāṇāṃ Yj_2.202a	drazwAraH vyavahArANAm Yt _2.202a
   draṃṣṭrābhir bhakṣitā ye ca YS182v_4.31a	draMzwrABiH BakzitAH ye ca YS182u _4.31a
   drupadāṃ nāma gāyatrīṃ Ang_1.201a	drupadAm nAma gAyatrIm Ank _1.201a
   drupadāṃ vā japec chatam Par_11.20d	drupadAm vA japet Satam Par_11.20d
   drumāṇām avapātanam Mn_11.64[63M]b	drumANAm avapAtanam M= _11.64[63M]b
   drumāṃsamadhusarpiṣām Mn_7.131[132M]b	dru mAMsa maDu sarpizAm M= _7.131[132M]b
   droṇapriyo droṇarājo Ang_1.521c	droNapriyaH droNarAjaH Ank _1.521c
   droṇānnaṃ na parityajet Par_6.69d	droNa annam na parityajet Par_6.69d
   drohabhāvaṃ kucaryāṃ ca Mn_9.17c	droha BAvam kucaryAm ca M= _9.17c
   dvandvair ayojayac cemāḥ Mn_1.26c	dvandvEH ayojayat ca imAH M= _1.26c
   dvayametatprakathitaṃ Ang_1.180a	dvayam etat prakaTitam Ank _1.180a
   dvayaṃ yāmatrayaṃ tathā Ang_1.287b	dvayam yAma trayam taTA Ank _1.287b
   dvayaṃ vātha punaścaikaṃ Ang_1.828c	dvayam vA aTa punar ca ekam Ank _1.828c
   dvayaṃ saṃbadhyate tataḥ YSS_2.23b	dvayam saMbaDyate tatas YSH _2.23b
   dvayorapi hi nirṇayaḥ Ang_1.990d	dvayoH api hi nirNayaH Ank _1.990d
   dvayor apy etayor mūlaṃ Mn_7.49a	dvayoH api etayoH mUlam M= _7.49a
   dvayor ātmāsya jāyate Mn_10.28b	dvayoH AtmA asya jAyate M= _10.28b
   dvayor āpannayos tulyam Nar_1516.11a	dvayoH ApannayoH tulyam Nar_1516.11a
   dvayoryadi tadā punaḥ Ang_1.966b	dvayoH yadi tadA punar Ank _1.966b
   dvayor yas tatra hīyate Nar_M1.5b	dvayoH yaH tatra hIyate Nar_M1.5b
   dvayor vivadator arthe Nar_1.145a	dvayoH vivadatoH arTe Nar_1.145a
   dvayor vivadamānayoḥ Nar_M1.3d	dvayoH vivadamAnayoH Nar_M1.3d
   dvayor vivadamānayoḥ Nar_1.127b	dvayoH vivadamAnayoH Nar_1.127b
   dvayor vivadamānayoḥ Nar_1.174b	dvayoH vivadamAnayoH Nar_1.174b
   dvayor vivāde sāmantaḥ K_734c	dvayoH vivAde sAmantaH K_734c
   dvayor hi kulayoḥ śokam Mn_9.5c	dvayoH hi kulayoH Sokam M= _9.5c
   dvayos trayāṇāṃ pañcānāṃ Mn_7.114[115M]a	dvayoH trayANAm paQcAnAm M= _7.114[115M]a
   dvayoḥ satsu ca sākṣiṣu Nar_1.145b	dvayoH satsu ca sAkzizu Nar_1.145b
   dvātriśadāhuteḥ paścāt Ang_1.72c	dvAtri SadAhuteH paScAt Ank _1.72c
   dvātriṃśataṃ paṇān daṇḍyo Yj_2.218c	dvAtriMSatam paNAn daNxyaH Yt _2.218c
   dvātriṃśat kṣatriyasya ca Mn_8.337d	dvAtriMSat kzatriyasya ca M= _8.337d
   dvātriṃśat kṣatriyasya tu Nar_19.58d	dvAtriMSat kzatriyasya tu Nar_19.58d
   dvātriṃśadaṅgulāni tu Nar_20.15c	dvAtriMSat aFgulAni tu Nar_20.15c
   dvādaśānāṃ tathānyeṣāṃ Ang_1.651a	dvAdaSAnAm taTA anyezAm Ank _1.651a
   dvādaśābdamalabhyaitaṃ Ang_1.402c	dvAdaSa abdam alaBya etam Ank _1.402c
   dvādaśābdāni pañca vā Yj_1.36b	dvAdaSa abdAni paQca vE Yt _1.36b
   dvādaśāham athāpi vā Par_4.9d	dvAdaSa aham aTa api vA Par_4.9d
   dvādaśāham abhojanam Mn_11.215[214M]b	dvAdaSa aham aBojanam M= _11.215[214M]b
   dvādaśāhaṃ kaṇānnatā Mn_11.167[166M]d	dvAdaSa aham kaNAnna tAH M= _11.167[166M]d
   dvādaśāhaḥ sapiṇḍānām K_685c	dvAdaSa ahaH sapiNxAnAm K_685c
   dvādaśāhena bhūmipaḥ Mn_5.83[82M]b	dvAdaSa ahena BUmipaH M= _5.83[82M]b
   dvādaśāhena bhūmipaḥ Par_3.4b	dvAdaSa ahena BUmipaH Par_3.4b
   dvādaśāhopavāsena Yj_3.320c	dvAdaSa aha upavAsena Yt _3.320c
   dvādaśe 'hani saṃprāpte Ang_1.981a	dvAdaSe ahani saMprApte Ank _1.981a
   dvādaśe 'hani saṃprāpte Ang_1.991c	dvAdaSe ahani saMprApte Ank _1.991c
   dvādaśaita udāhṛtāḥ Nar_13.44d	dvAdaSa ete udAhRtAH Nar_13.44d
   dvādaśaite nṛṇāṃ malāḥ Mn_5.135[133M]d	dvAdaSA ete nRNAm malAH M= _5.135[133M]d
   dvādaśaiva tu tāḥ smṛtāḥ Mn_7.156[157M]d	dvAdaSa eva tu tAH smRtAH M= _7.156[157M]d
   dvādaśaiva vyatikrame Mn_8.269b	dvAdaSa eva vyatikrame M= _8.269b
   dvādaśaiva vyatikrame Nar_1516.18b	dvAdaSa eva vyatikrame Nar_1516.18b
   dvādaśyāṃ vāsya kārayet Mn_2.30b	dvAdaSyAm vA asya kArayet M= _2.30b
   dvādaśyāṃ śatamityāhur Ang_1.707c	dvAdaSyAm Satam iti AhuH Ank _1.707c
   dvādaśyāṃ śrāddhamācaret Ang_1.709b	dvAdaSyAm SrAdDam Acaret Ank _1.709b
   dvāparaṃ kalir eva ca Mn_9.301b	dvAparam kaliH eva ca M= _9.301b
   dvāpare kulam ekaṃ tu Par_1.25c	dvApare kulam ekam tu Par_1.25c
   dvāpare caikamāsena Par_1.27c	dvApare ca eka mAsena Par_1.27c
   dvāpare tv annam ādāya Par_1.26c	dvApare tu annam AdAya Par_1.26c
   dvāpare yajñam evāhur Mn_1.86c	dvApare yajQam eva AhuH M= _1.86c
   dvāpare yajñam evāhuḥ Par_1.23c	dvApare yajQam eva AhuH Par_1.23c
   dvāpare yācamānāya Par_1.28c	dvApare yAcamAnAya Par_1.28c
   dvāpare rudhiraṃ caiva Par_1.32c	dvApare ruDiram ca eva Par_1.32c
   dvāpare śāṅkhalikhitāḥ Par_1.24c	dvApare SAFKa liKitAH Par_1.24c
   dvābhyām ekaś caturthas tu Mn_4.9c	dvAByAm ekaH caturTaH tu M= _4.9c
   dvābhyāṃ jātau striyā dhane Mn_9.191b	dvAByAm jAtO striyAH Dane M= _9.191b
   dvābhyāṃ piṇḍodake pṛthak Nar_13.22b	dvAByAm piNxa udake pRTak Nar_13.22b
   dvāramārgakriyābhoga  K_226a	dvAra mArga kriyA Boga K_226a
   dvārāṇāṃ caiva bhaṅktāraṃ Mn_9.289c	dvArANAm ca eva BaFktAram M= _9.289c
   dvārāvasthitatoraṇam K_935b	dvAra avasTita toraNam K_935b
   dvāre kṛtvā tu dhānyāni Par_6.40c	dvAre kRtvA tu DAnyAni Par_6.40c
   dvāv adharmyau smṛtāv iha Mn_3.25b	dvO aDarmyO smRtO iha M= _3.25b
   dvāv apy etau dhṛtavratau Nar_18.40b	dvO api etO DRta vratO Nar_18.40b
   dvāv aṃśau kṣatriyāsutaḥ Mn_9.151b	dvO aMSO kzatriyA sutaH M= _9.151b
   dvāv āṃśau pratipadyeta Nar_13.12a	dvO AMSO pratipadyeta Nar_13.12a
   dvāv ikṣū dve ca mūlake Mn_8.341b	dvO ikzU dve ca mUlake M= _8.341b
   dvāv ikṣū pañca mūlakān Nar_18.37d	dvO ikzU paQca mUlakAn Nar_18.37d
   dvāv imau puruṣau loke Par_3.30a	dvO imO puruzO loke Par_3.30a
   dvāviṃśatidināditaḥ Ang_1.932b	dvAviMSati dina AditaH Ank _1.932b
   dvāv eva varjayen nityam Mn_4.127a	dvO eva varjayet nityam M= _4.127a
   dvāv oṣṭhau chedayen nṛpaḥ Mn_8.282b	dvO ozWO Cedayet nRpaH M= _8.282b
   dvāv oṣṭhau chedayen nṛpaḥ Nar_1516.27b	dvO ozWO Cedayet nRpaH Nar_1516.27b
   dvāsaptatisahasrāṇi Yj_3.108a	dvAsaptati sahasrANi Yt _3.108a
   dvikaṃ trikaṃ catuṣkaṃ ca Mn_8.142a	dvikam trikam catuzkam ca M= _8.142a
   dvikaṃ śataṃ vā gṛhṇīyāt Mn_8.141a	dvikam Satam vA gRhNIyAt M= _8.141a
   dvikaṃ śataṃ hi gṛhṇāno Mn_8.141c	dvikam Satam hi gRhNAnaH M= _8.141c
   dvigatiḥ sa udāhṛtaḥ Nar_M1.24b	dvi gatiH saH udAhRtaH Nar_M1.24b
   dviguṇatriguṇā damāḥ Yj_2.207b	dviguNa triguNAH damAH Yt _2.207b
   dviguṇas tūttameṣu ca Yj_2.214b	dviguNaH tu uttamezu ca Yt _2.214b
   dviguṇaṃ garbhapātane Par_4.20b	dviguNam garBa pAtane Par_4.20b
   dviguṇaṃ govadhe caret Par_9.2d	dviguNam go vaDe caret Par_9.2d
   dviguṇaṃ govrataṃ caret Par_9.16d	dviguNam go vratam caret Par_9.16d
   dviguṇaṃ go vrataṃ tasya YS99v_40c	dviguNam gaH vratam tasya YS99u _40c
   dviguṇaṃ govrataṃ tasya Ang_2,10.1c	dviguNam go vratam tasya Ank _2,10.1c
   dviguṇaṃ ca pradāpyate K_601d	dviguNam ca pradApyate K_601d
   dviguṇaṃ cen na dattaṃ ca YS99v_58a	dviguNam ced na dattam ca YS99u _58a
   dviguṇaṃ tat tṛtīye 'hni Nar_9.3c	dviguNam tat tRtIye ahni Nar_9.3c
   dviguṇaṃ tatra dāpayet K_821d	dviguNam tatra dApayet K_821d
   dviguṇaṃ tasya sūtake YSS_2.48d	dviguNam tasya sUtake YSH _2.48d
