   Tattvasamāsasūtravṛttiḥ /	Tattva-samAsa-sUtra-vRttiH /
   yadadhyayanena jñānamutpadyate tattvabhāvabhūteṣu sā tṛtīyā	yat-aDyayanena jQAnam-utpadyate tattva-BAva-BUtezu sA tRtIyA
   siddhistārayantītyabhidhīyate |	sidDiH-tArayanti-iti-aBiDIyate |
   yadādhyātmikasya duḥkhasyāpanodanaṃ kṛtvā jñānamutpadyate	yat-ADyAtmikasya duHKasya-apanodanam kRtvA jQAnam-utpadyate
   tattvabhāvabhūteṣu sā caturthī siddhiḥ pramuditetyabhidhīyate |	tattva-BAva-BUtezu sA caturTI sidDiH pramuditA-iti-aBiDIyate |
   yadādhibhautikasya duḥkhasyāpanodanaṃ kṛtvā jñānam utpadyate	yadADiBOtikasya duHKasya-apanodanam kRtvA jQAnam utpadyate
   tattvabhāvabhūteṣu sā pañcamī siddhiḥ pramuditetyabhidhīyate |	tattva-BAva-BUtezu sA paQcamI sidDiH pramuditA-iti-aBiDIyate |
   yadādhidaivikasya duḥkhasyāpanodanaṃ kṛtvā jñānamutpadyate	yat-ADidEvikasya duHKasya-apanodanam kRtvA jQAnam-utpadyate
   tattvabhāvabhūteṣu sā ṣaṣṭhī siddhiḥ pramodamānetyabhidhīyate |	tattva-BAva-BUtezu sA zazWI sidDiH pramodamAnA-iti-aBiDIyate |
   yattu snigdhasaṃsargāvyapayājjñānamutpadyate tattvabhāvabhūteṣu sā sapramī	yat-tu snigDa-saMsarga-avyapayAt-jQAnam-utpadyate tattva-BAva-BUtezu sA sa-pramI
   siddhiḥ ramyaketyabhidhīyate |	sidDiH ramyaka-iti-aBiDIyate |
   yat paricaryādānena jñānamutpadyate tattvabhāvabhūteṣu paritoṣite gurau	yat paricaryA-dAnena jQAnam-utpadyate tattva-BAva-BUtezu paritozite gurO
   siddhiḥ satpramuditetyabhidhīyate |	sidDiH sat-pramuditA-iti-aBiDIyate |
   ityetā aṣṭasiddhayo vyākhyātāḥ |	iti-etAH azwa-sidDayaH vyAKyAtAH |
   [daśadhā mūlikārthāḥ || Tats_16 ||]	[daSaDAH mUlikA-arTAH || Tats_16 ||]
   atrāha ke daśamūlikārthā ityatrocyate |	atra-Aha ke daSamUlikA-arTAH iti-atra-ucyate |
   astitvamekatvamathārthavattvaṃ parārthamanyatvamakartṛtā ca /	astitvam-eka-tvam-aTa-arTavat-tvam para-arTam-anya-tvam-akartR-tA ca /
   yogo viyogo vahavaḥ pumāṃsaḥ sthitiḥ śarīrasya ca śeṣavṛttiḥ //	yogaH viyogaH vahavaH pumAMsaH sTitiH SarIrasya ca Seza-vRttiH //
   ityete daśamūlikārthāḥ |	iti-ete daSamUlikA-arTAH |
   saṅghātaparārthatvāditi puruṣāstitvaṃ siddham |	saFGAta-para-arTa-tvAt-iti puruza-astitvam sidDam |
   bhedānāṃ parimāṇāt kāraṇamastyavyaktamiti paryāyadvayena	BedAnAm parimANAt kAraNam-asti-avyaktam-iti paryAya-dvayena
   pradhānasyāstitvaṃ siddham |	praDAnasya-astitvam sidDam |
   hetumadanityamityekatvaṃ siddham |	hetumada-nityam-iti-eka-tvam sidDam |
   prītyaprītiviṣādātmakā ityarthavattvaṃ siddham |	prIti-aprIti-vizAda-AtmakAH iti-arTavat-tvam sidDam |
   nānāvidhairupāyairiti parārthatvaṃ siddham |	nAnAviDEH-upAyEH-iti parArTa-tvam sidDam |
   triguṇamaviveki viṣaya ityanyatvaṃ siddham |	triguNam-aviveki vizayaH iti-anya-tvam sidDam |
   tasmācca viparyāsādityakartṛtvaṃ siddham |	tasmAt-ca viparyAsa-Aditya-kartR-tvam sidDam |
   puruṣasya darśanārthaṃ kaivalyārthaṃ tathā pradhānasyāpīti yogasiddhiḥ |	puruzasya darSana-arTam kEvalya-arTam taTA praDAnasya-api-iti yoga-sidDiH |
   prāpte śarīrabhede caritārthatvāditi viyogasiddhiḥ |	prApte SarIra-Bede caritArTa-tvAt-iti viyoga-sidDiH |
   janmamaraṇakaraṇānāmiti puruṣabahutvaṃ siddham |	janma-maraNa-karaNAnAm-iti puruza-bahu-tvam sidDam |
   cakrabhramivaditi śeṣavṛttiḥ siddhā |	cakra-Brami-vat-iti Seza-vRttiH sidDAH |
   ete daśamūlikārthā vyākhyātāḥ |	ete daSamUlikA-arTAH vyAKyAtAH |
   eteṣāṃ daśānāṃ prāgupadiṣṭānāṃ ca pañcāśatpratyayāḥ |	etezAm daSAnAm prAk-upadizwAnAm ca paQcASat-pratyayAH |
   ete ca ṣaṣṭipadārthāḥ ṣaṣṭitantramityucyate |	ete ca zazwi-padArTAH zazwitantram-iti-ucyate |
   [anugrahasargaḥ || Tats_17 ||]	[anugraha-sargaH || Tats_17 ||]
   atrāha ko 'nugrahasargaḥ atrocyate |	atra-Aha kaH anugraha-sargaH atra-ucyate |
   bāhyān pañcatanmātrebhyaścotpādyānugrahasargadhyānotpannenādhāravarjitān	bAhyAn paQca-tanmAtreByaH-ca-utpAdya-anugraha-sarga-DyAna-utpannena-ADAra-varjitAn
   putrān dṛṣṭvā tebhyastanmātrebhyo 'nugrahasargamasṛjadbrahmā |	putrAn dRzwvA teByaH-tanmAtreByaH anugraha-sargam-asRjat-brahmA |
   [caturdaśavidho bhūtasargaḥ || Tats_18 ||]	[caturdaSaviDaH BUta-sargaH || Tats_18 ||]
   atrāha kaścaturdaśavidho bhūtasarga ityatrocyate |	atra-Aha kaH-caturdaSaviDaH BUta-sargaH iti-atra-ucyate |
   aṣṭavikalpo daivaḥ paiśāco rākṣaso yākṣo gāndharva aindraḥ prājāpatyo	azwa-vikalpaH dEvaH pESAcaH rAkzasaH yAkzaH gAnDarva EndraH prAjApatyaH-
   brāhma ityaṣṭau devayonayaḥ |	brAhmaH iti-azwO devayonayaH |
   pañcadhā tiryagyonaśca paśupakṣimṛgasarīsṛpasthāvarā iti |	paQcaDA tiryagyonaH-ca paSu-pakzi-mRga-sarIsRpa-sTAvarAH iti |
   gavādimūṣakāntāḥ paśavaḥ |	gavA-Adi-mUza-kAntAH paSavaH |
   garuḍādimaśakāntāḥ pakṣiṇaḥ |	garuxa-Adi-maSakAntAH pakziNaH |
   siṃhādiśṛgālāntāḥ mṛgāḥ |	siMha-Adi-SRgAla-antAH mRgAH |
   śeṣādikīṭāntāḥ sarīsṛpāḥ |	Seza-Adi-kIwa-antAH sarIsRpAH |
   parvatāditṛṇāntāḥ sthāvarāḥ |	parvata-Adi-tRNa-antAH sTAvarAH |
   mānuṣyaṃ caikavidhaṃ brāhmaṇādicāṇḍālāntam |	mAnuzyam ca-ekaviDam brAhmaNa-Adi-cANxAla-antam |
   aṣṭavikalpo daivastiryagyonaśca pañcadhā bhavati |	azwa-vikalpaH dEvaH-tiryagyonaH-ca paQcaDA Bavati |
   mānuṣyaścaikavidhaḥ samāsato bhautikaḥ sargaḥ ||	mAnuzyaH-ca-ekaviDaH samAsatas BOtikaH sargaH ||
   [trividho dhātusargaḥ || Tats_19 ||]	[triviDaH DAtu-sargaH || Tats_19 ||]
   samāsato ye tridhāḥ sargāḥ tatrāha kastrividho dhātusargaḥ atrocyate	samAsatas ye triDAH sargAH tatra-Aha kaH-triviDaH DAtu-sargaH atra-ucyate
   sūkṣmāḥ mātāpitṛjāḥ prabhūtā iti |	sUkzmAH mAtA-pitR-jAH praBUtAH iti |
   jñānendriyapañcaprāṇabuddhimanasāṃ gaṇaḥ sūkṣmaḥ |	jQAna-indriya-paQca-prANa-budDi-manasAm gaNaH sUkzmaH |
   liṅgaśarīrāṇītyarthaḥ |	liFga-SarIrANi-iti-arTaH |
   mātāpitṛjā ṣāṭkauśikāḥ tatra mātṛto lomalohitamāṃsāni pitṛtaḥ	mAtA-pitR-jA zAz-kOSikAH tatra mAtRtaH loma-lohita-mAMsAni pitRtaH
   snāyvasthimajjāna iti ṣaṭko gaṇaḥ |	snAyu-asTi-majjAnaH iti zawkaH gaNaH |
   prabhūtāḥ pañcamahābhūtāni mahābhūte ghaṭādīnāṃ niveśa iti trividho	praBUtAH paQca-mahABUtAni mahABUte Gawa-AdInAm niveSaH iti triviDaH-
   dhātusargo vyākhyātaḥ |	DAtu-sargaH vyAKyAtaH |
   etatsaṃsāramaṇḍalamuktam ||	etad-saMsAra-maNxalam-uktam ||
   [trividho bandhaḥ || Tats_20 ||]	[triviDaH banDaH || Tats_20 ||]
   atrāha kastrividho bandya ityatrocyate |	atra-Aha kaH-triviDaH bandyaH iti-atra-ucyate |
   prakṛtibandho vaikārikabandho dakṣiṇābandhaśceti |	prakRti-banDaH vEkArika-banDaH dakziNAbanDaH-ca-iti |
   tatra prakṛtibandho nāmāṣṭau prakṛtayastāḥ paratenābhimanyamānasya	tatra prakRti-banDaH nAma-azwO prakRtayaH-tAH paratena-aBimanyamAnasya
   prakṛtilayaḥ prakṛtibandha ityucyate |	prakRti-layaH prakRtibanDaH iti-ucyate |
   tatra vaikārikabandho nāma pravrajitānāṃ laukikānāṃ	tatra vEkArika-banDaH nAma pravrajitAnAm lOkikAnAm
   vaikārikairindriyairvaśīkṛtānāṃ śabdādiviṣaye	vEkArikEH-indriyEH-vaSIkRtAnAm Sabda-Adi-vizaye
   praśaktānāmajitendriyāṇāmajñānināṃ kāmamohitānāṃ vaikārikabandha ityucyate	praSaktAnAm-ajita-indriyANAm-ajQAninAm kAma-mohitAnAm vEkArika-banDaH iti-ucyate
   dakṣiṇābandho nāma brahmacārigṛhasthabhikṣuvaikhānasānāṃ	dakziNAbanDaH nAma brahmacAri-gRhasTa-Bikzu-vEKAnasAnAm
   kāmamohopahatacetasāmabhimānapūrvikāṃ dakṣiṇāṃ prayacchatāṃ dakṣiṇābandha	kAma-moha-upahata-cetasAm-aBimAna-pUrvikAm dakziNAm prayacCatAm dakziNAbanDa
   ityucyate |	iti-ucyate |
   iti trividho bandho vyākhyātaḥ |	iti triviDaH banDaH vyAKyAtaH |
   uktaṃ ca |	uktam ca |
        prākṛtena tu bandhena tathā vaikārikeṇa ca /	prAkRtena tu banDena taTA vEkArikeNa ca /
        dakṣiṇābhistṛtīyena bandhoyaṃ ca nigadyate //	dakziNABiH-tRtIyena banDoyam ca nigadyate //
   [trividho mokṣaḥ || Tats_21 ||]	[triviDaH mokzaH || Tats_21 ||]
   atrāha kastrividho mokṣa ityatrocyate |	atra-Aha kaH-triviDaH mokzaH iti-atra-ucyate |
   jñānodrekādindriyarāgopaśamāt kṛtsnakṣayācceti |	jQAna-udrekAt-indriya-rAga-upaSamAt kRtsna-kzayAt-ca-iti |
   jñānodrekādindriyarāgopaśamāt svadharmādharmakṣayo bhavati	jQAna-udrekAt-indriya-rAga-upaSamAt svaDarma-aDarma-kzayaH Bavati
   dharmādharmakṣayācca kaivalyamiti |	Darma-aDarma-kzayAt-ca kEvalyam-iti |
   uktaṃ ca |	uktam ca |
        ādyo hi mokṣo jñānena dvitīyo rāgasaṃkṣayāt /	AdyaH hi mokzaH jQAnena dvitIyaH rAga-saMkzayAt /
        kṛtsnakṣayāt tṛtīyastu vyākhyātaṃ mokṣalakṣaṇam //	kRtsna-kzayAt tRtIyaH-tu vyAKyAtam mokza-lakzaNam //
   [trividhaṃ pramāṇam || Tats_22 ||]	[triviDam pramANam || Tats_22 ||]
   kiṃ trividhaṃ pramāṇamityatrocyate |	kim triviDam pramANam-iti-atra-ucyate |
   dṛṣṭamanumānamāptavacanaṃ ceti etat trividhaṃ pramāṇam |	dRzwam-anumAnam-Apta-vacanam ca-iti etat triviDam pramANam |
   dṛṣṭaṃ tāvadvyākhyāyate yāvadindriyāṇāṃ pañcendriyārthāḥ pratyakṣā eva	dRzwam tAvat-vyAKyAyate yAvat-indriyANAm paQca-indriya-arTAH pratyakzAH eva
   dṛṣṭam |	dRzwam |
   anumānam pramāṇaṃ liṅgadarśane jāyamānaṃ jñānam |	anumAnam pramANam liFga-darSane jAyamAnam jQAnam |
   yathā meghodayena vṛṣṭiḥ sādhyate bakapaṅktibhiḥ salilam dhūmenāgniḥ	yaTA meGa-udayena vRzwiH sADyate baka-paFktiBiH salilam DUmena-agniH
   tadanumānam |	tad-anumAnam |
   pratyakṣeṇānumānena vā yortho na sādhyate sa āptavacanāt sādhyate |	pratyakzeNa-anumAnena vA yorTaH na sADyate saH Apta-vacanAt sADyate |
   yathendro devānāṃ rājā uttarāḥ kuravaḥ sauvarṇo meruḥ svarge 'psarasa iti	yaTA-indraH devAnAm rAjA uttarAH kuravaH sOvarNaH meruH svarge apsarasaH iti
   ta indrādayaḥ pratyakṣānumānāsādhyāśca vasiṣṭādayo munayo vadanti	te indra-AdayaH pratyakza-anumAna-asADyAH-ca vasizwa-AdayaH munayaH vadanti
   santīndrādayaḥ āgamopyasti |	santi-indra-AdayaH Agama-upyasti |
        svakarmaṇyabhiyukto yo rāgadveṣavivarjitaḥ /	sva-karmaNi-aBiyuktaH yaH rAga-dveza-vivarjitaH /
        jñānavān śīlasampanna āpto jñeyastu tādṛśaḥ //	jQAnavAn SIla-sampad-naH AptaH jQeyaH-tu tAdRSaH //
   evametat trividhaṃ pramāṇamabhihitam |	evam-etat triviDam pramANam-aBihitam |
   atrāha tena trividhena pramāṇena kiṃ sādhyate atrocyate |	atra-Aha tena triviDena pramANena kim sADyate atra-ucyate |
   yathā loke mānena prasthādinā dhānyāni mīyante |	yaTA loke mAnena prasTa-AdinA DAnyAni mIyante |
   tulayā candanādīni dravyāṇi |	tulayA candana-AdIni dravyANi |
   evamanena tattvabhāvabhūtāni pramīyante |	evam-anena tattva-BAva-BUtAni pramIyante |
   trividhena duḥkhenābhibhūto brāhmaṇaḥ kapilamaharṣiśaraṇamupāgataḥ atrāha	triviDena duHKena-aBiBUtaH brAhmaNaH kapila-mahA-Rzi-SaraNam-upAgataH atra-Aha
   [trividhaṃ duḥkham || Tats_23 ||]	[triviDam duHKam || Tats_23 ||]
   kiṃ trividhaṃ duḥkhamityatrocyate |	kim triviDam duHKam-iti-atra-ucyate |
   ādhyātmikamādhibhautikamādhidaivikamiti |	ADyAtmikam-ADiBOtikam-ADidEvikam-iti |
   tatrādhyātmikaṃ dvividhaṃ śārīraṃ mānasaṃ ceti |	tatra-ADyAtmikam dviviDam SArIram mAnasam ca-iti |
   śarīre bhavaṃ śārīram manasi bhavaṃ mānasaṃ ceti |	SarIre Bavam SArIram manasi Bavam mAnasam ca-iti |
   tatra śārīraṃ nāma vātapittaśleṣmaṇāṃ vaiṣamyādyadduḥkhamutpadyate	tatra SArIram nAma vAta-pitta-SlezmaNAm vEzamyAt-yat-duHKam-utpadyate
   jvarātisāravisūcikāmūrchādikaṃ tacchārīramucyate |	jvara-atisAra-visUcikA-mUrCA-Adikam tat-SArIram-ucyate |
   kāmakrodhalobhamohamaderṣyādikaṃ priyaviyogādikaṃ tanmānasamityucyate |	kAma-kroDa-loBa-moha-mada-IrzyA-Adikam priya-viyoga-Adikam tat-mAnasam-iti-ucyate |
   adhibhūtebhyo bhavamādhibhautikam |	aDiBUteByaH Bavam-ADiBOtikam |
   mānuṣapaśumṛgasarīsṛpasthāvarebhyo yadduḥkhamutpadyate tadādhibhautikam |	mAnuza-paSu-mRga-sarIsRpa-sTAvareByaH yat-duHKam-utpadyate tad-ADiBOtikam |
   adhidevebhyo jātamādhidaivikam |	aDideveByaH jAtam-ADidEvikam |
   śītoṣṇavātavarṣāsannipātādinimittaṃ yadduḥkhamutpadyate tadādhidaivikam |	SIta-uzNa-vAta-varzA-sannipAta-Adi-nimittam yat-duHKam-utpadyate tad-ADidEvikam |
   anena trividhena duḥkhenābhibhūtasya brāhmaṇasya jijñāsotpanā |	anena triviDena duHKena-aBiBUtasya brAhmaNasya jijQAsA-utpanAH |
   jñātumicchā jijñāsā |	jQAtum-icCA jijQAsA |
   yathā tṛṣitasya pānīyaṃ pātumicchā pipāsā |	yaTA tRzitasya pAnIyam pAtum-icCA pipAsA |
   etatsamāsato niḥśreyasaṃ jñānam |	etat-samAsatas niHSreyasam jQAnam |
   yajjñātvā punarjanma na syāditi ||	yat-jQAtvA punarjanma na syAt-iti ||
        etanmaharṣervijñānaṃ kapilasya mahātmanaḥ /	etat-mahA-RzeH-vijQAnam kapilasya mahAtmanaH /
        yacchrutvā brāhmaṇaḥ śreyaḥ kṛtakṛtyo 'bhavat tadā //	yat-SrutvA brAhmaNaH SreyaH kRtakRtyaH aBavat tadA //
        sāṃkhyasūtrakrameṇaiṣā vyākhyātā kramadīpikā /	sAMKya-sUtra-krameNa-ezA vyAKyAtA kramadIpikA /
        anuṣṭupchandasā cātra jñeyaṃ ślokaśatatrayam //	anuzwuB-CandasA ca-atra jQeyam Sloka-Sata-trayam //
   iti śrītattvasamāsākhyā sūtravṛttiḥ samāptā ||	iti SrI-tattva-samAsa-AKyA sUtra-vRttiH samAptAH ||
