   ||śrīḥ||	||SrIH||
   pañcamaḥ paṭalaḥ	paQcamaH pawalaH
   adhunā dīkṣitasya mantra vidhiṃ darśayati 	aDunA dIkzitasya mantra  viDim darSayati 
   caitre kṛtvaitan māsi karmāccha pakṣe	cEtre kRtvA etat mAsi karma acCa pakze
   puṇya rkṣe bhūyo deśikāt prāpya dīkṣām |	puNya Rkze BUyas deSikAt prApya dIkzAm |
   tenānujñātaḥ pūrva sevāṃ dvitīye	tena anujQAtaH pUrva sevAm dvitIye
   māsi dvādaśyām ārabhetāmalāyām // Krd_5.1 //	mAsi dvAdaSyAm AraBeta amalAyAm // KrD _5.1 //
   caitre māsi puṇya rkṣe śubha nakṣatre accha pakṣe śukla pakṣe etat karma	cEtre mAsi puNya Rkze SuBa nakzatre acCa  pakze Sukla pakze etat karma
   mantra dīkṣātmakaṃ karma kṛtvā bhūyaḥ punar api deśikāt guror dīkṣāṃ	mantra dIkzA Atmakam karma kRtvA BUyas punar api deSikAt guroH dIkzAm
   mantropadeśaṃ prāpyānantaraṃ tena guruṇānujñātaḥ dvitīye māsi vaiśākhe	mantra upadeSam prApya anantaram tena guruNA anujQAtaH dvitIye mAsi vESAKe
   dvādaśyām tithau pūrva sevāṃ puraścaraṇam ārabhet | caitre duḥkhāya dīkṣā	dvAdaSyAm tiTO pUrva sevAm puraScaraNam AraBet | cEtre duHKAya dIkzA
   syāt iti vacanaṃ gopāla mantra bhinna dīkṣa viṣayam || KrdC_5.1 ||	syAt iti vacanam gopAla  mantra  Binna  dIkza  vizayam || KrdC_5.1 ||
   kṛtvā snānādyaṃ karma dehārcanāntaṃ	kRtvA snAna Adyam karma deha arcana antam
   vartmāśritya prāg īritaṃ mantri mukhyaḥ |	vartma ASritya prAk Iritam mantri muKyaH |
   śuddho maunī san brahmacārī niśāśī	SudDaH mOnI san brahmacArI niSA ASI
   japyāc chāntātmā śuddha padmākṣa dāmnā // Krd_5.2 //	japyAt SAnta AtmA SudDa padma akza dAmnA // KrD _5.2 //
   kṛtveti | mantri mukhyaḥ sādhakaḥ snānam ārabhyātma yogāntaṃ karma kṛtvā	kRtvA iti | mantri muKyaH sADakaH snAnam AraBya Atma  yoga antam karma kRtvA
   prāg īritaṃ vartmāśritya pūrvokta pūjā prakāram āśritya śuddho	prAk Iritam vartma ASritya pUrva ukta  pUjA  prakAram ASritya SudDaH 
   gāyatrī japena niṣpāpo brāhmaṇādy ukta bāhyāntara śauca yukto maunī	gAyatrI  japena nizpApaH brAhmaNa Adi  ukta  bAhya antara  SOca   yuktaH mOnI
   vāg yato brahmacārī aṣṭa vidha maithuna tyāgī niśāśī rātri bhojī śāntātmā	vAc  yataH brahmacArI azwa viDa  mETuna  tyAgI niSA ASI rAtri  BojI SAnta AtmA
   anuddhata cittaḥ śukla padma bīja mālayā japyāt |	anudData cittaH Sukla  padma  bIja  mAlayA japyAt |
   atraivam āgamāntaroktaṃ boddhavyam | śubhe dine krośaṃ krośa dvayaṃ vā	atra evam Agama antara uktam bodDavyam | SuBe dine kroSam kroSa  dvayam vA
   kṣetraṃ vihārārthaṃ parikalpya	kzetram vihAra arTam parikalpya
   kṣīra druma bhava vitasti parimitāṣṭa kīlakāḥ pratyekam ekadaiva vā	kzIra druma  Bava vitasti  parimita azwa kIlakAH pratyekam ekadA eva vA
   daśa kṛtvaḥ śata kṛtvo vā japitvā aṣṭa dig devatāḥ sampūjya madhye kṣetre	daSa kRtvas Sata  kRtvas vA japitvA azwa  diS  devatAH sampUjya maDye kzetre
   kṣetra pāla baliṃ dattvā pūjāṃ kṛtvā pūrvādy aṣṭa dikṣu tān nikhanyāt	kzetra pAla  balim dattvA pUjAm kRtvA pUrva Adi  azwa  dikzu tAn niKanyAt 
   tatra tatra tat tan nāmnā dik pati baliṃ ca dattvā dīpakaṃ ca dattvā	tatra tatra tat tan  nAmnA dik pati balim ca dattvA dIpakam ca dattvA
   japa pūrva divase eka bhojanam upavāso vā guruṃ brāhmaṇāṃś ca tarpayet |	japa  pUrva  divase eka Bojanam upavAsaH vA gurum brAhmaNAn ca tarpayet |
   tathā ca sanat kumāra kalpe 	taTA ca sanat kumAra kalpe 
   viprāṃś ca bhojayed anna bhojanācchādanādibhiḥ |	viprAn ca Bojayet anna Bojana AcCAdana AdiBiH |
   bahubhir vastra bhūṣābhiḥ sampūjya gurum ātmanaḥ |	bahuBiH vastra  BUzABiH sampUjya gurum AtmanaH |
   ārabheta japaṃ paścāt tad anujñā puraḥsaram || iti |	AraBeta japam paScAt tad  anujQA  puraHsaram || iti |
   tato 'grima dine snānādikaṃ kṛtvā saṅkalpaṃ kuryāt oṃ adyoṃ nama ity ādy	tatas agrima dine snAna Adikam kRtvA saFkalpam kuryAt om adyom namaH iti Ady
   uccāryāmuka mantrasya siddhi kāma iyat	uccArya amuka mantrasya sidDi kAmaH iyat 
   saṅkhyāka japa tad daśāṃśāmuka dravya homa tad daśāṃśāmuka dravya tarpaṇa tad daśāṃśāmukābhiṣeka tad daśāṃśa brāhmaṇa sampradānaka bhojya dānātmaka puraścaraṇa karma	saFKyAka japa  tad  daSa aMSa amuka dravya  homa  tad  daSa aMSa amuka  dravya tarpaNa  tad  daSa aMSa amuka aBizeka  tad  daSa aMSa  brAhmaNa  sampradAna k
   kariṣye iti saṅkalpaṃ kuryāt | tato mantra rṣi chando devatānāṃ	karizye iti saFkalpam kuryAt | tatas mantra Rzi  Cando devatAnAm
   kāma sthāne puraścaraṇa jape viniyoga iti | jape cāyaṃ niyamaḥ 	kAma sTAne puraScaraNa jape viniyogaH iti | jape ca ayam niyamaH 
   nairantarya vidhiḥ prokto na dinaṃ vyatilaṅghayet |	nErantarya  viDiH proktaH na dinam vyatilaFGayet |
   śayanaṃ darbha śayyāyāṃ śuciḥ prayata mānasaḥ |	Sayanam darBa SayyAyAm SuciH prayata mAnasaH |
   divasātikrame doṣaḥ siddhi bādhaḥ prajāyate ||	divasa atikrame dozaH sidDi bADaH prajAyate ||
   nāradīye 	nAradIye 
   śanaiḥ śanair avispaṣṭaṃ na drutaṃ na vilambitam |	SanEs SanEs avispazwam na drutam na vilambitam |
   na nyūnaṃ nādhikaṃ vāpi japaṃ kuryād dine dine ||	na nyUnam na aDikam vA api japam kuryAt dine dine ||
   tathānyatra 	taTA anyatra 
   ananya mānasaḥ prātaḥ kālān madhyandināvadhi |	ananya mAnasaH prAtar kAlAn maDyandina avaDi |
   nāradīye tathaiva ca 	nAradIye taTA eva ca 
   na vadan na svapan gacchan nānyat kim api saṃsmaran |	na vadan na svapan gacCan na anyat kim api saMsmaran |
   na kṣuj jṛmbhaṇa hikkādi vikalī kṛta mānasaḥ ||	na kzuj  jRmBaNa hikkA Adi  vikalI kRta mAnasaH ||
   mantra siddhim avāpnoti tasmād yatna paro bhavet |	mantra  sidDim avApnoti tasmAt yatna  paraH Bavet |
   uṣṇīṣo kañcukī nagno mukta keśaḥ tathaiva ca ||	uzNIzaH kaQcukI nagnaH mukta keSaH taTA eva ca ||
   prasārita pāṇi pādo nocca pādāsano bhavet ||	prasArita  pANi  pAdaH na ucca pAda AsanaH Bavet ||
   tathā vaiśampāyana saṃhitāyām 	taTA vESampAyana  saMhitAyAm 
   snānaṃ tri savanaṃ proktam aśaktau dviḥ sakṛt tathā |	snAnam tri savanam proktam aSaktO dvis sakRt taTA |
   asnātasya phalaṃ nāsti na vā tarpayataḥ pitṝn ||	asnAtasya Palam na asti na vA tarpayataH pitLn ||
   nāsatyam abhibhāṣeta nendriyāṇi pralobhayet |	nAsatyam aBiBAzeta na indriyANi praloBayet |
   śayanaṃ darbha śayyāyāṃ śuciḥ prayata mānasaḥ ||	Sayanam darBa SayyAyAm SuciH prayata mAnasaH ||
   tad vāsaḥ kṣālayen nityam anyathā vighnam āvahet |	tad  vAsaH kzAlayet nityam anyaTA viGnam Avahet |
   naikavāsā japen mantraṃ bahu vastrī kadācana ||	na eka vAsAH japet mantram bahu  vastrI kadAcana ||
   upary adho bahir vastre puraścaraṇa kṛd bhajet ||	upari  aDas bahis vastre puraScaraNa  kRt Bajet ||
   tathā nāradīye 	taTA nAradIye 
   strī śūdrābhyāṃ na sambhāṣed rātrau japa paro na ca |	strI  SUdrAByAm na samBAzet rAtrO japa  paraH na ca |
   japen na sandhyā kāleṣu pradoṣe nobhayeṣu ca |	japet na sanDyA  kAlezu pradoze na uBayezu ca |
   brāhmaṇānīta vastra śuddha jalena karmakṛd bhavet || iti || KrdC_5.2 ||	brAhmaNa AnIta  vastra  SudDa  jalena karma kRt Bavet || iti || KrdC_5.2 ||
   api tu kṛtyam āha 	api tu kRtyam Aha 
   tanvan śuśrūṣāṃ goṣu tābhyaḥ prayacchan	tanvan SuSrUzAm gozu tAByaH prayacCan
   grāsaṃ bhūteṣu prodvahaś cānukampām |	grAsam BUtezu prodvahaH ca anukampAm |
   mantrādhiṣṭhātriṃ devatāṃ vandamāno	mantra aDizWAtrim devatAm vandamAnaH 
   durgāṃ dubodha dhvānta bhānuṃ guruṃ ca // Krd_5.3 //	durgAm duboDa  Dva anta BAnum gurum ca // KrD _5.3 //
   goṣu śuśrūṣāṃ go paricaryāṃ dhūma kaṇḍūyanādi rūpāṃ sevāṃ vistārayan | kiṃ	gozu SuSrUzAm go paricaryAm DUma  kaNxUyanAdi  rUpAm sevAm vistArayan | kim
   kurvan ? tābhyo gobhyo grāsa ṃ prayacchan gopāla mantra eva grāsādikam	kurvan ? tAByaH goByaH grAsa m prayacCan gopAla mantraH eva grAsa Adikam
   atropādānād anyatrānukteś ca | bhūteṣu prāṇiṣu karuṇāṃ dhārayan	atra upAdAnAt anyatra anukteH ca | BUtezu prANizu karuNAm DArayan
   mantrādhiṣṭhātṛ devatāṃ durgām ajñānāndhakāra sūryaṃ guruṃ ca vandamānaḥ	mantra aDizWAtR devatAm durgAm ajQAna anDakAra  sUryam gurum ca vandamAnaH
   || KrdC_5.3 ||	|| Krdu _5.3 ||
   kurvann ātmīyaṃ karma varṇāśrama sthaṃ	kurvan AtmIyam karma varNa ASrama  sTam
   mantraṃ japtvā triḥ snāna kāle 'bhiṣiñcet |	mantram japtvA tris snAna kAle aBiziQcet |
   ācāman pāthas tattva saṅkhyā prajaptaṃ	AcAman pATas  tattva  saFKyA  prajaptam
   bhuñjānaś cānnaṃ sapta japtāñcanādi // Krd_5.4 //	BuQjAnaH ca annam sapta japta aQcana Adi // KrD _5.4 //
   svīyaṃ varṇāśramoktaṃ karma kurvan ātmīyaṃ ātmano yo varṇo brāhmaṇādir yo	svIyam varNa ASrama uktam karma kurvan AtmIyam AtmanaH yaH varNaH brAhmaNa AdiH yaH 
   vāśramo brahmacaryādis tatra tatrasthaṃ karma vihitaṃ tat tat kurvann ity	vA ASramaH brahmacarya AdiH tatra tatrasTam karma vihitam tat tat kurvan iti 
   arthaḥ | mantra japta jalena kāle vāra trayaṃ svātmānam abhiṣiñcet	arTaH | mantra  japta  jalena kAle vAra trayam sva AtmAnam aBiziQcet 
   tattva saṅkhyā prajaptaṃ dvātriṃśat saṅkhyā prajaptaṃ	tattva saFKyA  prajaptam dvAtriMSat  saFKyA  prajaptam
   pañca viṃśati prajaptaṃ vā tathā jalam ācāman ittham evānnaṃ bhuñjānaḥ |	paQca viMSati  prajaptam vA taTA jalam AcAman itTam eva annam BuQjAnaH |
   punaḥ kīdṛśaḥ ? sapta japtam añjanādi kajjalādi yasya sa tathā ādi śabdena	punar kIdRSaH ? sapta japtam aQjana Adi  kajjala Adi yasya sa taTA Adi  Sabdena
   gandha mālyādīnāṃ parigrahaḥ | añjanādya iti kvacit pāṭhaḥ || KrdC_5.4 ||	ganDa  mAlya AdInAm parigrahaH | aQjana AdyaH iti kvacid pAWaH || Krdu _5.4 ||
   japa sthānam āha 	japa sTAnam Aha 
   adreḥ śṛṅge nadyās taṭe bilva mūle	adreH SRFge nadyAH tawe bilva mUle
   toye hṛdaghne gokula viṣṇu gehe |	toye hRd aGne go kula  vizNu  gehe |
   aśvatthādhastād ambudheś cāpi tīre	aSvatTa aDastAt ambuDeH ca api tIre
   sthāneṣv eteṣv āsīna ekaikaśas tu // Krd_5.5 //	sTAnezu etezu AsInaH ekEkaSas tu // KrD _5.5 //
   prajaped ayuta catuṣkaṃ daśākṣaraṃ manu varaṃ pṛthak kramaśaḥ |	prajapet ayuta  catuzkam daSa akzaram manu varam pRTak kramaSas |
   aṣṭādaśākṣaraṃ ced ayuta dvayam ity udīritā saṅkhyā // Krd_5.6 //	azwAdaSa akzaram ced ayuta  dvayam iti udIritA saFKyA // KrD _5.6 //
   parvata śṛṅge nadī tīre bilva vṛkṣa samīpa deśe hṛdaya pramāṇa jale goṣṭhe	parvata  SRFge nadI  tIre bilva  vRkza  samIpa deSe hRdaya  pramANa  jale gozWe
   viṣṇu pratimādhiṣṭhita gehe pippala vṛkṣa samīpa deśe samudrasya tīre	vizNu  pratima aDizWita gehe pippala vRkza  samIpa deSe samudrasya tIre
   aṣṭasu sthāneṣu āsīna upaviṣṭaḥ ekaikaśaḥ ekaikasmin sthāne sthāneṣu	azwasu sTAnezu AsInaH upavizwaH ekEkaSas ekEkasmin sTAne sTAnezu
   kramaśaḥ krameṇa pṛthak ayuta catuṣkaṃ kṛtvā daśākṣara mantraṃ japet	kramaSas krameNa pRTak ayuta  catuzkam kRtvA daSa akzara  mantram japet 
   yadāṣṭādaśākṣara mantraḥ tadāyuta dvayaṃ kṛtvā iti japa saṅkhyodīritā atra	yadA azwAdaSa akzara  mantraH tadA yuta  dvayam kRtvA iti japa  saFKyA udIritAH atra
   na pratisthānam ayuta catuṣkāyuta dvaya japaḥ kintu yathā japtavyaṃ yena	na pratisTAnam ayuta  catuzka Ayuta  dvaya  japaH kintu yaTA japtavyam yena
   sarvatra japena tāvaty eva saṅkhyā bhavati anyathāṣṭasu sthāneṣu	sarvatra japena tAvatI eva saFKyA Bavati anyaTA azwasu sTAnezu
   japenāṣṭādaśāksare ṣoḍaśāyuta japaḥ syāt | prapañca sāre	japena azwAdaSa aksare zoxaSa ayuta  japaH syAt | prapaQca  sAre
   'pi ayuta dvitayāvadhi japaḥ syād iti | yadyapy aṣṭādaśākṣare iyaṃ saṅkhyā	api  ayuta  dvitaya avaDi japaH syAt iti | yadi api azwAdaSa akzare iyam saFKyA
   tathāpi tulya nyāyād daśākṣare 'pi iyam eva vyavastheti rudradharaḥ ||	taTA api tulya  nyAyAt daSa akzare api iyam eva vyavasTA iti rudra DaraH ||
   KrdC_5.5 6 ||	Krdu _5.5 6 ||
   ukteṣu sthāneṣūuy krameṇāhāra niyamam āha 	uktezu sTAnezUuy krameNa AhAra  niyamam Aha 
   śākaṃ mūlaṃ phalaṃ go stana bhava dadhinī bhaikṣam annaṃ ca saktuṃ	SAkam mUlam Palam go stana  Bava  daDinI BEkzam annam ca saktum
   dugdhānnaṃ cety adānaḥ kṣiti dhara śikharādau kramāt sthāna bhede |	dugDa annam ca iti adAnaH kziti Dara  SiKara AdO kramAt sTAna Bede |
   ekaṃ caiṣām aśaktau gaditam iha mayā pūrvāsevā vidhānaṃ	ekam ca ezAm aSaktO gaditam iha mayA pUrva AsevA  viDAnam
   nirvṛtte 'smin punaś ca prajapatu vidhivat siddhaye sādhakeśaḥ // Krd_5.7	nirvRtte asmin punar ca prajapatu viDivat sidDaye sADaka ISaH // KrD _5.7
   kṣiti dhara śikharādau pūrvokta parvata śṛṅgādau sthāna viśeṣe kramād	kziti Dara  SiKara AdO pUrva ukta parvata  SRFga AdO sTAna  viSeze kramAt 
   ekaikaṃ krameṇa vihitaṃ śākaṃ vāstukādi mūlaṃ śūraṇādi phalaṃ āmrādi	ekEkam krameNa vihitam SAkam vAstuka Adi mUlam SUraNa Adi Palam Amra Adi
   go stana bhavaṃ dugdhaṃ dadhi ca dvandvaḥ bhaikṣaṃ bhikṣāta upalabdham	go stana  Bavam dugDam daDi ca dvandvaH BEkzam BikzAtaH upalabDam
   annaṃ ca praśastaṃ haimatikaṃ sitāsvinnaṃ saktuṃ bhṛṣṭa yava cūrṇaṃ	annam ca praSastam hEmatikam sitA svinnam saktum BRzwa yava  cUrNam
   dugdhānnaṃ pāyasaṃ adāno bhakṣamāṇo japaṃ kuryāt mitodanam |	dugDa annam pAyasam adAnaH BakzamANaH japam kuryAt mitodanam |
   śastānnaṃ ca samaśnīyān mantra siddhi samīhayā |	Sasta annam ca samaSnIyAt mantra  sidDi  samIhayA |
   tasmān nityaṃ prayatnena śastānnāśī bhaven naraḥ || iti |	tasmAt nityam prayatnena Sasta anna ASI Bavet naraH || iti |
   aśaktaṃ praty āha ekam iti | aśaktau caiṣām adri śṛṅgādy aṣṭa sthānānāṃ	aSaktam prati Aha  ekam iti | aSaktO ca ezAm adri  SRFga Adi  azwa  sTAnAnAm
   madhye ekaṃ sthānaṃ samāśritya śākādy aṣṭa vidheṣv ekaṃ bhojanam āśritya	maDye ekam sTAnam samASritya SAka Adi  azwa viDezu ekam Bojanam ASritya
   japaṃ kuryāt | tad uktaṃ nāradīye 	japam kuryAt | tat uktam nAradIye 
   mṛdu koṣṇaṃ supakvaṃ ca kuryād vai laghu bhojanam |	mRdu kozNam su pakvam ca kuryAt vE laGu Bojanam |
   nendriyāṇāṃ yathā vṛddhis tathā bhuñjīta sādhakaḥ ||	na indriyANAm yaTA vRdDiH taTA BuQjIta sADakaH ||
   yad vā tad vā parityājyaṃ duṣṭānāṃ saṅgamaṃ tathā ||	yat vA tat vA parityAjyam duzwAnAm saFgamam taTA ||
   iha granthe pūrva sevāvidhānaṃ mayā gaditaṃ kathitam asminn nivṛtte	iha granTe pUrva sevA viDAnam mayA gaditam kaTitam asmin nivRtte
   sampūrṇe puraścaraṇa jape punaś ca prajapatu siddhaye	sampUrNe puraScaraNa jape punar ca prajapatu sidDaye
   viśiṣṭa phala siddhaye vidhivat yathokta prakāreṇa atra kecid asmin	viSizwa  Pala  sidDaye viDivat yaTA ukta  prakAreNa atra kecid asmin
   pūrva sevārambhe karmaṇi nirvṛtte samāpte punaḥ puraścaraṇa japaṃ karotv	pUrva sevA AramBe karmaNi nirvRtte samApte punar puraScaraNa  japam karotv
   ity āhuḥ || KrdC_5.7 ||	iti AhuH || KrdC_5.7 ||
   dehārcanānte dinaśo dinādau	deha arcana ante dinaSas dina AdO
   dīkṣokta mārgānyataraṃ vidhānam |	dIkzA ukta  mArga anyataram viDAnam |
   āśritya kṛṣṇaṃ prayajed vivikte	ASritya kRzNam prayajet vivikte
   gehe niṣaṇṇo huta śiṣṭa bhojī // Krd_5.8 //	gehe nizaNNaH huta  Sizwa  BojI // KrD _5.8 //
   dehārcanānte deha pūjāvasāne dinaśaḥ pratidinaṃ dinādau prātar	deha arcana ante deha  pUjA avasAne dinaSas pratidinam dina AdO prAtar
   dīkṣokta mārgeṣu ṣoḍaśa pañcopacārādiṣu anyataram ekaṃ vartmāśritya kṛṣṇaṃ	dIkzA ukta  mArgezu zoxaSa  paQca upacAra Adizu anyataram ekam vartma ASritya kRzNam
   prayajet pūjayatu āvaraṇa bhedād vartma bhedaḥ | kīdṛśaḥ ? vivikta ekānte	prayajet pUjayatu AvaraNa  BedAt vartma BedaH | kIdRSaH ? vivikte ekAnte
   gṛhe niṣaṇṇa upaviṣṭaḥ | punaḥ kīdṛśaḥ ? huta śiṣṭa bhojī	gRhe nizaNNaH upavizwaH | punar kIdRSaH ? huta  Sizwa BojI
   prātyahika japa daśāṃśa homāvaśiṣṭa bhojī || KrdC_5.8 ||	prAtyahika ja pa daSa aMSa  homa avaSizwa  BojI || Krdu _5.8 ||
   prakārāntaram api mahate phalāya puraścaraṇam āha daśa lakṣam iti	prakAra antaram api mahate PalAya puraScaraNam Aha daSa lakzam iti
   rudradharaḥ | vayaṃ tu paśyāmaḥ | prakṛta yathokta puraścaraṇam āha 	rudra DaraH | vayam tu paSyAmaH | prakRta  yaTA ukta puraScaraNam Aha 
   daśa lakṣam akṣaya phala pradaṃ manuṃ	daSa lakzam akzaya  Pala  pradam manum
   pratijapya śikṣita matir daśākṣaram |	pratijapya Sikzita matiH daSa akzaram |
   juhuyād guḍājya madhu samplutair navair	juhuyAt guxa Ajya  maDu  samplutEH navEH 
   aruṇāmbujair hutavahe daśāyutam // Krd_5.9 //	aruNa ambujEH hutavahe daSa ayutam // KrD _5.9 //
   śuddha matiḥ sādhakaḥ akṣaya phaladaṃ mokṣa phalaṃ daśākṣaraṃ manuṃ	SudDa matiH sADakaH akzaya Pala dam mokza Palam daSa akzaram manum
   daśa lakṣaṃ pratijapya hutavahe saṃskṛtāgnau aruṇāmbujair aruṇa kamalair	daSa lakzam pratijapya hutavahe saMskRta agnO aruNa ambujEH aruNa  kamalEH 
   daśā yutaṃ lakṣam ekaṃ juhuyāt | kīdṛśaiḥ ? guḍājya madhu samplutaiḥ	daSa a yutam lakzam ekam juhuyAt | kIdRSEH ? guxa Ajya  maDu  samplutEH
   guḍa ghṛta madhu saṃyuktaiḥ || KrdC_5.9 ||	guxa  GRta  maDu  saMyuktEH || KrdC_5.9 ||
   śuṣira yugala varṇaṃ cen manuṃ pañca lakṣaṃ	Suzira  yugala varNam ced manum paQca lakzam
   prajapatu juhuyāc ca prokta kptyārdha lakṣam |	prajapatu juhuyAt ca prokta  kptyA arDa lakzam |
   amala matir alābhe pāyasair ambujānāṃ	amala matiH alABe pAyasEH ambujAnAm
   sahita ghṛta sitair evārabhed dhoma karma // Krd_5.10 //	sahita  GRta  sitEH eva AraBet Doma karma // KrD _5.10 //
   śuṣira yugala varṇaṃ śuṣiraṃ chidraṃ nava saṅkhyātmakaṃ tasya yugalaṃ	Suzira  yugala varNam Suziram Cidram nava  saFKyA Atmakam tasya yugalam
   dvandvaṃ aṣṭādaśākṣaraṃ japet tadā pañca lakṣaṃ prajapatu prokta kptyā	dvandvam azwAdaSa akzaram japet tadA paQca lakzam prajapatu prokta  kptyA
   pūrvokta paripāṭyā cārdha lakṣam juhuyāt yathokta homa dravyālābhe	pUrva ukta  paripAwyA ca arDa lakzam juhuyAt yaTA ukta  homa  dravya alABe
   dravyāntaram āha amala matir iti śuddha matiḥ ambujānāṃ padmānām alābhe	dravya antaram Aha amala matiH iti SudDa matiH ambujAnAm padmAnAm alABe
   'prāptau pāyasaiḥ paramānnair homam ārabheta | kīdṛśaiḥ ? sahite	aprAptO pAyasEH parama annEH homam AraBeta | kIdRSEH ? sahite
   ghṛta site yeṣu taiḥ ghṛta śarkarā sahitair ity arthaḥ | svāhāntena	GRta  site yezu tEH GRta SarkarA  sahitEH iti arTaH | svAhA antena
   homa pūjeti sarvatra boddhavyaṃ homādeś cānuṣṭhāna prakāro	homa  pUjA iti sarvatra bodDavyam homa AdeH ca anuzWAna  prakAraH 
   mat kṛta homānuṣṭhāna paddhater avagantavyaḥ | nāradīye, yathā 	mat  kRta  homa anuzWAna  padDateH avagantavyaH | nAradIye, yaTA 
   japasya tu daśāṃśena homaḥ kāryo dine dine |	japasya tu daSa aMSena homaH kAryaH dine dine |
   athavā lakṣa paryantaṃ homaḥ kāryo vipaścitā || iti || KrdC_5.10 ||	aTavA lakza  paryantam homaH kAryaH vipaScitAH || iti || KrdC_5.10 ||
   homāśaktaṃ pratyāha 	homa aSaktam pratyAha 
   asaktānāṃ home nigama rasanāgendra guṇito	asaktAnAm home nigama  rasa nAga indra  guNitaH 
   japaḥ kāryaś ceti divja nṛpa viśām āhur apare |	japaH kAryaH ca iti divja  nRpa viSAm AhuH apare |
   sahomaś ced eṣāṃ sama iha japo homa rahito	sahomaH ced ezAm samaH iha japaH homa  rahitaH 
   ya ukto varṇānāṃ sa khalu vihitas tac cala dṛśām // Krd_5.11 //	yaH uktaH varNAnAm sa Kalu vihitaH tat  cala  dRSAm // KrD _5.11 //
   tāvad dravyādy asampattyā homa karmaṇi asamarthānāṃ	tAvat dravya Adi  a sampattyA homa karmaNi asamarTAnAm
   brāhmaṇa kṣatriya vaiśyānāṃ yathā sāṅkhyaṃ nigamā vedāś catvāraḥ rasāḥ ṣaṭ	brAhmaNa  kzatriya  vESyAnAm yaTA sAFKyam nigamAH vedAH catvAraH rasAH zax 
   nāgendrā aṣṭau etair guṇitair japyo 'nuṣṭheya ity apare ācāryā āhuḥ |	nAga indrAH azwO etEH guNitEH japyaH anuzWeyaH iti apare AcAryAH AhuH |
   tatra kṛta eva japaḥ etair guṇita iti rudradharaḥ | vastutas tu 	tatra kRtaH eva japaH etEH guNitaH iti rudra DaraH | vastutas tu 
   homāśaktau japaṃ kuryād dhoma saṅkhyā caturguṇam |	homa aSaktO japam kuryAt Doma  saFKyA  caturguNam |
   ṣaḍ guṇaṃ cāṣṭa guṇitaṃ yathā saṅkhyaṃ dvijātayaḥ ||	zaz  guNam ca azwa  guNitam yaTA  saFKyam dvijAtayaH ||
   iti puraścaraṇa candrikoktam eva yuktaṃ paśyāmaḥ |	iti puraScaraNa  candrikA uktam eva yuktam paSyAmaH |
   homa karmaṇy aśaktānāṃ viprāṇāṃ dviguṇo japaḥ |	homa karmaNi aSaktAnAm viprANAm dviguNaH japaH |
   itareṣāṃ tu varṇānāṃ triguṇo hi vidhīyate || iti |	itarezAm tu varNAnAm triguNaH hi viDIyate || iti |
   eteṣāṃ matāpekṣayā apara ity uktam | eteṣāṃ ca mate tarpaṇādi vyatirekeṇa	etezAm mata apekzayA aparaH iti uktam | etezAm ca mate tarpaNa Adi  vyatirekeNa
   mūla bhūta japa dviguṇa japenaiva puraścaraṇa siddhir bhavati tathaiva	mUla BUta  japa  dviguNa  japena eva puraScaraNa  sidDiH Bavati taTA eva
   granthāntare 'bhidhānāt | eṣāṃ brāhmaṇādīnāṃ homa sahitaś cej japaḥ tadā	granTa antare aBiDAnAt | ezAm brAhmaNa AdInAm homa  sahitaH ced japaH tadA
   trayāṇām api ayuta catuṣṭayādi samānam eva varṇānāṃ brāhmaṇādīnāṃ	trayANAm api ayuta  catuzwaya Adi samAnam eva varNAnAm brAhmaNa AdInAm
   homa rahito ya ukto japaḥ | atra homa rahito yaś caturguṇo japa iti	homa  rahitaH yaH uktaH japaH | atra homa  rahitaH yaH caturguNaH japaH iti
   bhairava tripāṭhinaḥ | sa eva tac cala dṛśāṃ tat patnīnāṃ vihitaḥ ||	BErava  tri pAWinaH | saH eva tat  cala dRSAm tat patnInAm vihitaH ||
   KrdC_5.11 ||	Krdu _5.11 ||
   sanātanaḥ : home asamarthānāṃ vipra kṣatriya vaiśyānāṃ yathā saṅkhyaṃ	sanAtanaH : home asamarTAnAm vipra kzatriya  vESyAnAm yaTA saFKyam
   nigamādevāś catvāraḥ, rasāḥ ṣaṭ nāgendrā aṣṭau, etair guṇito japaḥ kāryaḥ	nigamAdevAH catvAraH, rasAH zaw nAga indrAH azwO, etEH guNitaH japaH kAryaH
   | tv arthe vā śabdaḥ | apara iti homa karmaṇy asugamam eveti || (hbv	| tu  arTe vA SabdaH | aparaH iti homa karmaNi asugamam eva iti || (hbv
   17.205 ṭīkā)	17.205 wIkA)
   śūdraṃ praty āha 	SUdram prati Aha 
   yaṃ varṇam āśrito yaḥ śūdraḥ sa ca tan nata bhruvām |	yam varNam ASritaH yaH SUdraH sa ca tan nata  BruvAm |
   vidadhīta japaṃ vidhivac chraddhāvān bhakti bharāvanamra tanuḥ // Krd_5.12	vidaDIta japam viDivat SradDAvAn Bakti Bara avanamra  tanuH // KrD _5.12
   brāhmaṇādīnāṃ madhye yaṃ varṇaṃ śūdraḥ samāśritaḥ sa tan nata bhruvāṃ	brAhmaNa AdInAm maDye yam varNam SUdraH samASritaH sa tan nata  BruvAm
   teṣām eva dvijāty ādīnāṃ strīṇāṃ vihitaṃ japaṃ vidhivat kathita prakāreṇa	tezAm eva dvijAty a AdInAm strINAm vihitam japam viDivat kaTita  prakAreNa
