   bhogapuṇyarakṣā saptamaḥ paricchedaḥ	Boga-puNya-rakzA saptamaH paricCedaH
   lokasya duṣkhâpaham etad eva tasmān mamâstu vratam etad eva ||	lokasya duzKâpaham etat eva tasmAt mamâstu vratam etat eva ||
   yathâiko rājapuruṣaḥ pramathnāti mahājanaṃ |	yaTâikaH rAja-puruzaH pramaTnAti mahAjanam |
   vikaroti na śaknoti dīrghadarśī mahājanaḥ ||	vikaroti na Saknoti dIrGadarSI mahAjanaH ||
   yasmān nâiva sâikākī tasya rājabalaṃ balaṃ |	yasmAt nâiva sâikAkI tasya rAja-balam balam |
   tathā na durbalaṃ kaṃcid aparāddhaṃ vimānayet ||	taTA na durbalam kaMcid aparAdDam vimAnayet ||
   yasmān narakapālāś ca kṛpāvantaś ca tadbalaṃ |	yasmAt naraka-pAlAH ca kRpAvantaH ca tat-balam |
   tasmād ārādhayet satvān bhṛtyaś caṇḍanṛpaṃ yathā ||	tasmAt ArADayet satvAn BRtyaH caNxa-nRpam yaTA ||
   kupitaḥ kiṃ nṛpaḥ kuryād yena syān narakavyathā |	kupitaH kim nRpaH kuryAt yena syAt naraka-vyaTA |
   yatsatvadaurmanasyena kṛtena hy anubhūyate ||	yat-satva-dOrmanasyena kRtena hi anuBUyate ||
   [ Bendall ed p157 ---> ]	[ Bet-dalt ed p157 ---> ]
   tuṣṭaḥ kiṃ nṛpatir dadyād yad buddhatvasamaṃ bhavet |	tuzwaH kim nRpatiH dadyAt yat budDa-tva-samam Bavet |
   yat satvasaumanasyena kṛtena hy anubhūyate ||	yat satva-sOmanasyena kRtena hi anuBUyate ||
   āstāṃ bhaviṣyadbuddhatvaṃ satvârādhanasaṃbhavaṃ |	AstAm Bavizyat-budDa-tvam satvârADana-saMBavam |
   ihâiva saubhāgyayaśaḥ sausthityaṃ kiṃ na paśyasi ||	ihâiva sOBAgya-yaSaH sOsTityam kim na paSyasi ||
   prāsādikatvam ārogyam prāmodyaṃ cirajīvitaṃ |	prAsAdika-tvam Arogyam prAmodyam cira-jIvitam |
   cakravartisukhaṃ sphītaṃ kṣamī prāpnoti saṃsaran ||	cakravarti-suKam sPItam kzamI prApnoti saMsaran ||
   maitrâśayaś ca yat pūjyaḥ satvamāhātmyam eva tat |	mEtrâSayaH ca yat pUjyaH satva-mAhAtmyam eva tat |
   buddhaprasādād yat puṇyaṃ buddhamāhātmyam eva tat ||	budDa-prasAdAt yat puNyam budDa-mAhAtmyam eva tat ||
   atâiva hi candrapradīpasūtre maitrībhāvaphalam udbhāvitam |	atâiva hi candra-pradIpa-sUtre mEtrI-BAva-Palam udBAvitam |
   yāvanti pūjāṃ bahuvidhâprameyāḥ |	yAvanti pUjAm bahuviDâ-prameyAH |
   kṣetraṃ śateṣu niyuta ca bimbareṣū |	kzetram Satezu niyuta ca bimbarezU |
   tāṃ pūja kṛtvâtuliyanāya-	tAm pUja kRtvâ-tuliyanAya-
   [ Cambridge MS f77b ---> ]	[ Cambridge M f77B ---> ]
   kānāṃ |	kAnAm |
   saṃkhyākalāpī [[DOUBT]] na bhavati maitracitte ||	saMKyA-kalApI [[DOUBT]] na Bavati mEtra-citte ||
   tasmād evaṃvidheṣu mahādakṣiṇīyeṣûnnatiṃ varjayet sadā |	tasmAt evaMviDezu mahA-dakziNIyezûnnatim varjayet sadA |
   eṣā cônnatir ayoniśomanaskārāt saṃbhavatîti ||tasyânavatāre yatnaḥ kāryaḥ	ezA cônnatiH ayoni-Soma-naskArAt saMBavatîti ||tasyânavatAre yatnaH kAryaH
   yathôktaṃ ratnameghe |	yaTôktam ratna-meGe |
   kathaṃ ca kulaputra bodhisatvo 'yoniśomanaskārâpagato bhavati |	kaTam ca kula-putra boDisatvaH ayoni-Soma-naskArâpagataH Bavati |
   iha bodhisatvâikākī rahogataḥ pravivekasthito nâivaṃ cittam utpādayati |	iha boDisatvâikAkI rahaH-gataH praviveka-sTitaH nâivam cittam utpAdayati |
   ahaṃ asaṃkīrṇavihārī |	aham asaMkIrNa-vihArI |
   ahaṃ pravivekasthitaḥ |	aham praviveka-sTitaH |
   ahaṃ pratipannas tāthāgate dharmavinaye |	aham pratipannaH tATAgate Darma-vinaye |
   ye tv anye śramaṇā vā brāhmaṇā vā sarve te saṃkīrṇavihāriṇaḥ |	ye tu anye SramaNAH vA brAhmaNAH vA sarve te saMkIrNa-vihAriNaH |
   saṃsargabahulôddhurās tāthāgatād dharmavinayāt ||	saMsarga-bahulôdDurAH tATAgatAt Darma-vinayAt ||
   [ Bendall ed p158 ---> ]	[ Bet-dalt ed p158 ---> ]
   evaṃ hi bodhisatvo 'yoniśomanaskārâpagato bhavati ||	evam hi boDisatvaH ayoni-Soma-naskArâpagataH Bavati ||
   punar atrâivôktam |	punar atrâivôktam |
   iha bodhisatvo vīryam ārabhamāṇo na tan mahad vīryam āsvādayati |	iha boDisatvaH vIryam AraBamANaH na tat mahat vIryam AsvAdayati |
   na ca tena vīryeṇâtmānam utkarṣayati |	na ca tena vIryeNâtmAnam utkarzayati |
   na parān paṃsayati |	na parAn paMsayati |
   tasyâivaṃ bhavati |	tasyâivam Bavati |
   ko hi nāma saprajñajātīyaḥ svakarmâbhiyuktaḥ parāṃś codayet ||	kaH hi nAma sa-prajQa-jAtIyaH sva-karmâBiyuktaH parAn codayet ||
   evaṃ hi bodhisatvo 'nunnatavīryo bhavati ||	evam hi boDisatvaH anunnata-vIryaH Bavati ||
   eṣa tu puṇyarakṣāyāḥ saṃkṣepo yad bodhipariṇāmanā ||	eza tu puNya-rakzAyAH saMkzepaH yat boDi-pariNAmanAH ||
   tathā hy uktam āryâkṣayamatisūtre |	taTA hi uktam Aryâ-kzayam-ati-sUtre |
   na hi bodhipariṇāmitasya kuśalamūlasyântarā kaścit parikṣayo yāvad	na hi boDi-pariNAmitasya kuSala-mUlasyântarA kaScid parikzayaH yAvat-
   bodhimaṇḍaniṣadanāt |	boDimaNxa-nizadanAt |
   tad yathâpi nāma bhadanta śāradvatīputra mahāsamudrapatitasyôdakabindor	tat yaTâpi nAma Badanta SAradvatI-putra mahA-samudra-patitasyôdaka-bindoH-
   nântarâsti kṣayo yāvan na kalpaparyavasāna |	nântarâsti kzayaH yAvat na kalpa-paryavasAnaH |
   iti ||	iti ||
   iti śikṣāsamuccaye bhogapuṇyarakṣā saptamaḥ paricchedaḥ ||	iti SikzAsamuccaye Boga-puNya-rakzA saptamaH paricCedaH ||
   Copyright (c) 2002 by Jens Braarvig - Oslo	CopyriGt (c) 2002 bi Jens Braarvij  Oslo
