   Udīcya Śyāmilaka: Pāḍatāḍitaka	UdIcya ŚyAmilaka: PAxa-tAxitaka
   bhaṭṭimakhavarmā mām āhvayati kiṃ bravīṣi - vayasya kim adyāpy	BawwimaKa-varmA mAm Ahvayati kim bravIzi  vayasya kim adya-api-
   apūrvapratihāropasthānena cirotsanno rājabhāvo 'smāsv ādhīyate sthīyatāṃ	apUrva-pratihAra-upasTAnena cira-utsannaH rAja-BAvaH asmAsu ADIyate sTIyatAm
   muhūrtam āgacchāmīti sakhe sthito 'smi (vilokya) ita ito bhavān eṣa khalu	muhUrtam AgacCAmi-iti saKe sTitaH asmi (vilokya) itas itas BavAn eza Kalu
   pulināvatīrṇavṛṣabhapadoddharaṇakhelaiś caraṇavinyāsair bhavanakakṣyām	pulina-avatIrNa-vRzaBa-pada-udDaraNa-KelEH caraNa-vinyAsEH Bavana-kakzyAm
   alaṃkurvann ita evābhivartate bhaṭṭiḥ aho nu khalv asya vilāseṣv abhyāsaḥ	alaMkurvan itas eva-aBivartate BawwiH aho nu Kalu asya vilAsezu aByAsaH
   veśo vilāsa ity upapannam etad api ca	veSaH vilAsaH iti upapannam etat api ca
   42 (a) vilolabhujagāminā rucirapīvarāṃsorasā	42 (a) vilola-Buja-gAminA rucira-pIvara-aMsa-urasA
   (b) vilāsacaturabhruvā muhur apāṅgaviprekṣiṇā	(b) vilAsa-caturaBruvA muhur apAFga-viprekziNA
   (c) anena hi narendrasadma viśatā padair mantharair	(c) anena hi narendra-sadma viSatA padEH manTarEH-
   [p.90] (d) avīṇam amṛdaṅgam ekanaṭanāṭakaṃ nāṭyate yāvad enam ālapāmi	[p.90] (d) avINam amRdaFgam eka-nawa-nAwakam nAwyate yAvat enam AlapAmi
   bhaṭṭimakhavarman, kim ayam atidivāvihāreṇa suhṛjjana utkaṇṭhyate sādhu	Bawwi-maKa-varman, kim ayam ati-divA-vihAreNa suhRd-janaH utkaNWyate sADu
   muhūrtam api tāvad yuṣmaddarśanenānugṛhyeta eṣa khalu vihasann	muhUrtam api tAvat yuzmad-darSanena-anugRhyeta eza Kalu vihasan=-
   ākulāpasavyaparidhānaṃ śvāsaviṣamitākṣaraṃ svāgatam ity añjalinābhyupaiti	Akula-apasavya-pariDAnam SvAsa-viza-mita-akzaram svAgatam iti aQjalinA-aByupEti
   bho yadaitāvad anenādyaiva puṣpadāsī puṣpavatīti mahyam ākhyātā, tathāpi	Bo yadA-etAvat anena-adya-eva puzpadAsI puzpavatI-iti mahyam AKyAtA, taTA-api
   katham upabhuktaiva (vicintya) lāṭaḍiṇḍino nāmaite nātibhinnāḥ piśācebhyaḥ	kaTam upaBuktA-eva (vicintya) lAwa-xiNxinaH nAma-ete na-ati-BinnAH piSAceByaH
   kutaḥ sarvo hi lāṭaḥ	kutas sarvaH hi lAwaH
   43 (a) nagnaḥ snāti mahājane 'mbhasi sadā nenekti vāsaḥ svayaṃ	43 (a) nagnaH snAti mahAjane amBasi sadA nena-ikti vAsaH svayam
   (b) keśān ākulayaty adhautacaraṇaḥ śayyāṃ samākrāmati	(b) keSAn Akulayati aDOta-caraNaH SayyAm samAkrAmati
   (c) yat tad bhakṣayati vrajann api pathā dhatte paṭaṃ pāṭitaṃ	(c) yat tat Bakzayati vrajan api paTA Datte pawam pAwitam
   (d) chidre cāpi sakṛt prahṛtya sahasā lāṭaś ciraṃ katthate	(d) Cidre ca-api sakRt prahRtya sahasA lAwaH ciram katTate
   sarvathā kṛtam anena svadeśaupayikam mā tāvad bhoḥ	sarvaTA kRtam anena sva-deSa-Opayikam mA tAvat BoH
   44 (a) avicintya phalaṃ vallyās	44 (a) avicintya Palam vallyA-aH-
   tvayā puṣpavadhaḥ kṛtaḥ	tvayA puzpa-vaDaH kRtaH
   kiṃ bravīṣi - katham iti	kim bravIzi  kaTam iti
   (b) idaṃ hi rajasā dhvastam	(b) idam hi rajasA Dvastam
   uttarīyaṃ vilokyatām	uttarIyam vilokyatAm
   kiṃ bravīṣi - śayyāntāvalambitaṃ tāmbūlāvasiktam etad	kim bravIzi  SayyA-anta-avalambitam tAmbUla-avasiktam etat-
   [p.91] avagacchāmīti mā tāvat idaṃ kṣudramuktāphalāvakīrṇam iva lalāṭaṃ	[p.91] avagacCAmi-iti mA tAvat idam kzudra-muktAPala-avakIrNam iva lalAwam
   svedabindubhiḥ kim iti vakṣyati eṣa pārśvam avadhāyoccaiḥ prahasitaḥ haṇḍe	sveda-binduBiH kim iti vakzyati eza pArSvam avaDAya-uccEs prahasitaH haNxe
   jaghanyakāmuka katham anayā chalitaḥ kiṃ bravīṣi - kaś chalito nāma, nanv	jaGanya-kAmuka kaTam anayA CalitaH kim bravIzi  kaH CalitaH nAma, nanu-
   anugṛhīto 'smi śrūyatām sā hi	anugRhItaH asmi SrUyatAm sA hi
   45 (a) vipulataralalāṭā saṃyatāgrālakatvād	45 (a) vipulatara-lalAwA saMyata-agrAlaka-tvAt-
   (b) racitajaghanabhārā vāsasārdhorukeṇa	(b) racita-jaGana-BArA vAsasA-arDa-UrukeNa
   (c) vivṛtatanur apoḍhaprāgalaṃkārabhārā	(c) vivRta-tanuH apoXa-prAk-alaMkAra-BArA
   (d) kathaya katham agamyā puṣpitā strīlatā syāt	(d) kaTaya kaTam agamyA puzpitA strI-latA syAt-
   api ca śrotum arhati bhavān	api ca Srotum arhati BavAn
   46 (a) pārśvāvartitalocanā nakhapadāny ālokayantī mayā	46 (a) pArSva-Avartita-locanA naKa-padAni AlokayantI mayA
   (b) dṛṣṭā ceṣad avāṅmukhī svabhavanapratyātape 'vasthitā	(b) dRzwA ca-Izat avAk-muKI sva-Bavana-pratyAtape avasTitA
   (c) saṃgṛhyātha karadvayena kaṭhināv utkampamānau stanau	(c) saMgRhya-aTa kara-dvayena kaWinO utkampamAnO stanO
   (d) prāviśyāntaragāram argalavatā dvāraṃ kareṇāvṛṇot	(d) prAviSya-antara-gAram argalavatA dvAram kareNa-AvRNot-
   tato 'ham anudrutaṃ praviśya	tatas aham anudrutam praviSya
   47 (a) kacanigrahadīrghalocanāṃ	47 (a) kaca-nigraha-dIrGa-locanAm
   (b) rabhasāvartitavalgitastanīm	(b) raBasa-Avartita-valgita-stanIm
   (c) kim asīti nahīti vādinīṃ	(c) kim asi-iti na-hi-iti vAdinIm
   ( d) samacumbaṃ sahasā vilāsinīm iti	( d) sama-cumbam sahasA vilAsinIm iti
   bhoḥ, citraḥ khalu prastāvaḥ pṛcchāmas tāvad enām	BoH, citraH Kalu prastAvaH pRcCAmaH tAvat enAm
   [p.92] tatas tataḥ kiṃ bravīṣi - atha sakhe	[p.92] tatas tatas kim bravIzi  aTa saKe
   48 (a) samupasthitasya jaghanaṃ	48 (a) samupasTitasya jaGanam
   raśanātyāgād viviktatarabimbam	raSanA-tyAgAt viviktatara-bimbam
   (b) pāṇibhyāṃ vrīḍitayā	(b) pANiByAm vrIxitayA
   nimīlite me 'nayā nayane iti	nimIlite me anayA nayane iti
   dhik tvām astu avikatthana, udvejanīyo hy asi nindyaś cāryajanasya	Dik tvAm astu avikatTana, udvejanIyaH hi asi nindyaH ca-Arya-janasya
   saṃvṛttaḥ kiṃ bravīṣi - evam apy anugṛhīto 'smi na tvayā mahābhārate	saMvRttaH kim bravIzi  evam api anugRhItaH asmi na tvayA mahABArate
   śrutapūrvam	Sruta-pUrvam
   49 (a) yasyāmitrā na bahavo	49 (a) yasya-amitrAH na bahavaH-
   yasmān nodvijate janaḥ	yasmAt na-udvijate janaH
   (b) yaṃ sametya na nindanti	(b) yam sametya na nindanti
   sa pārtha puruṣādhamaḥ iti	sa pArTa puruza-aDamaH iti
   bho, etat khalu ḍiṇḍitvaṃ nāma tathāpi - sādhu bhoḥ, prīto 'smi bhavato	Bo, etat Kalu xiNxitvam nAma taTA-api  sADu BoH, prItaH asmi BavataH-
   'nena ḍiṇḍitvena sarvathā viṭeṣv ādhirājyam arhasi ayam idānīm āśīrvādaḥ	anena xiNxitvena sarvaTA viwezu ADirAjyam arhasi ayam idAnIm ASIrvAdaH
   kiṃ bravīṣi - avahito'smīti śrūyatām	kim bravIzi  avahitaH-asmi-iti SrUyatAm
   50 (a) prabhātam avagamya pṛṣṭham upagūhya suptasya te	50 (a) praBAtam avagamya pRzWam upagUhya suptasya te
   (b) pragalbham adhiruhya pārśvam apavāsasaikoruṇā	(b) pragalBam aDiruhya pArSvam apavAsa-sa-eka-UruNA
   (c) tathaiva hi kacagraheṇa parivartya vaktrāmbujaṃ	(c) taTA-eva hi kaca-graheNa parivartya vaktra-ambujam
   (d) pibatv atha ca pāyayatv adharam ātmanas tvāṃ priyā	(d) pibatu aTa ca pAyayatu aDaram AtmanaH tvAm priyA
   [p.93] eṣa khalv anugṛhīto 'smīty uktvā palāyate namo 'stu bhagavate	[p.93] eza Kalu anugRhItaH asmi-iti uktvA palAyate namaH astu Bagavate
   sādhayāmas tāvat (parikramya) aye kā nu khalv eṣā svabhavanāvalokanam	sADayAmaH tAvat (parikramya) aye kA nu Kalu ezA sva-Bavana-avalokanam
   apsarā vimānam ivālaṃkaroti eṣā hi sā kāśīnāṃ vāramukhyā parākramikā nāma	apsarAH vimAnam iva-alaMkaroti ezA hi sA kASInAm vAramuKyA parAkramikA nAma
   sukhamatiḥ piñcholayā krīḍantī rūpalāvaṇyavibhramair locanam anugṛhṇāti	suKa-matiH piQColayA krIxantI rUpa-lAvaNya-viBramEH locanam anugRhNAti
   āścaryam	AScaryam
   51 (a) viracitakucabhārā hemavaikakṣyakeṇa	51 (a) viracita-kuca-BArA hema-vEkakzyakeNa
   (b) sphuṭavivṛtanitambā vāsasārdhorukeṇa	(b) sPuwa-vivRta-nitambA vAsasA-arDa-UrukeNa
   (c) vicarati calayantī kāmināṃ cittam eṣā	(c) vicarati calayantI kAminAm cittam ezA
   (d) kisalayam iva lolā cañcalaṃ veśavallyāḥ	(d) kisalayam iva lolA caQcalam veSavallyAH
   api ca	api ca
   52 (a) gaṇḍāntāgalitaikakuṇḍalamaṇicchāyānuliptānanām	52 (a) gaNxa-anta-Agalita-eka-kuNxala-maNi=-CAyA-anulipta-AnanAm
   (b) anvabhyastatayā hikārapiśunaiḥ śvāsair avāktālubhiḥ	(b) anvaByasta-tayA hikAra-piSunEH SvAsEH avAktAluBiH
   (c) piñcholām adhare niveśya madhurām āvādayantīm imāṃ	(c) piQColAm aDare niveSya maDurAm AvAdayantIm imAm
   (d) maṇḍūkasvanaśaṅkito gṛhaśikhī paryeti vakrānanaḥ	(d) maNxUka-svana-SaFkitaH gRhaSiKI paryeti vakra-AnanaH
   kiṃ nu khalv asyā udavasitād indrasvāmino rahasyasacivo hiraṇyagarbhako	kim nu Kalu asyAH udavasitAt indra-svAminaH rahasya-sacivaH hiraNyagarBakaH-
   niṣpatyeta evābhivartate kim atrāścaryam indrasvāmī hiraṇyagarbhako veśa	nizpatyeta eva-aBivartate kim atra-AScaryam indra-svAmI hiraNyagarBakaH veSa
   iti saṃhitam idaṃ taptaṃ tapteneti eṣa mām añjalinopasarpati haṇḍe	iti saMhitam idam taptam taptena-iti eza mAm aQjalinA-upasarpati haNxe
   hiraṇyagarbhaka, kim idaṃ veśadevāyatanam aparāntapiśācair vidhvaṃsayitum	hiraNyagarBaka, kim idam veSa-deva-Ayatanam aparAnta-piSAcEH viDvaMsayitum
   iṣyate	izyate
   [p.94] kiṃ bravīṣi - eṣa khalu svāmino 'smi videśarāgeṇaivaṃ dhuri	[p.94] kim bravIzi  eza Kalu svAminaH asmi videSa-rAgeNa-evam Duri
   niyuktaḥ eṣā hi pūrvaṃ pañcasuvarṇaśatāni gaṇayati adhunā sahasreṇāpy	niyuktaH ezA hi pUrvam paQca-suvarNa-SatAni gaNayati aDunA sahasreNa-api-
   upanimantritāpi mātrāpi viniyujyamānā naiva śakyate tīrtham avatārayitum	upanimantritA-api mAtrA-api viniyujyamAnA na-eva Sakyate tIrTam avatArayitum
   tad arhasi tvam api tāvad enāṃ gamayitum iti atyārjavaḥ khalv asi na hi	tat arhasi tvam api tAvat enAm gamayitum iti ati-ArjavaH Kalu asi na hi
   śatasahasreṇāpi prāṇā labhyante kiṃ bravīṣi - kiṃ cāsyāḥ prāṇasaṃdehe	Sata-sahasreNa-api prANAH laByante kim bravIzi  kim ca-asyAH prANa-saMdehe
   kāraṇam asmāsu paśyasīti āviṣkṛtaṃ hi tatrabhavatyā bhartṛsvāminaś	kAraNam asmAsu paSyasi-iti AvizkRtam hi tatraBavatyA BartR-svAminaH-
   cāmaragrāhiṇyā kuṭaṅgadāsyā svāminaḥ saṃsargāt tathābhūtaṃ vyasanam	cAmara-grAhiNyA kuwaFga-da-AsyA svAminaH saMsargAt taTABUtam vyasanam
   anubhūtam kiṃ bravīṣi - ālabhasva tāvad idaṃ me śarīram sat yam evedam iti	anuBUtam kim bravIzi  AlaBasva tAvat idam me SarIram sat yam eva-idam iti
   asatyena na svāminam evaṃ brūyāt kiṃ bravīṣi - cirābhyastam evedam	asatyena na svAminam evam brUyAt kim bravIzi  cira-aByastam eva-idam
   asmatsvāmipādānām iti ata eva na śakyam anyathā kārayitum na caitad evam.	asmad-svAmi-pAdAnAm iti atas eva na Sakyam anyaTA kArayitum na ca-etat evam.
   paśyatu bhavān	paSyatu BavAn
   53 (a) kāvye gāndharve nṛttaśāstre vidhijñaṃ	53 (a) kAvye gAnDarve nRtta-SAstre viDi-jQam
   (b) dakṣaṃ dātāraṃ dakṣiṇaṃ dākṣiṇātyam	(b) dakzam dAtAram dakziNam dAkziNAtyam
   (c) veśyā kā necchet svāminaṃ koṅkaṇānāṃ	(c) veSyA kA na-icCet svAminam koFkaNAnAm
   (d) syāc ced asya strīṣv ārjavāt saṃnipātaḥ	(d) syAt ced asya strIzu ArjavAt saMnipAtaH
   api ca	api ca
   [p.95] 54 (a) saṃcārayan kalabhakaṃ gajanartakaṃ vā	[p.95] 54 (a) saMcArayan kalaBakam gaja-nartakam vA
   (b) veśyāṅgaṇeṣu bhagadatta ivendradattaḥ	(b) veSyA-aFgaNezu BagadattaH iva-indradattaH
   (c) udvīkṣyate stananiviṣṭakarāmbujābhir	(c) udvIkzyate stana-nivizwa-kara-ambujABiH-
   ( d) vyāghro mṛgībhir iva vāravilāsinībhiḥ	( d) vyAGraH mRgIBiH iva vAra-vilAsinIBiH
   api caiṣā bhartur no 'dhirājasya syālaṃ pāraśavaṃ kauśikaṃ siṃhavarmāṇaṃ	api ca-ezA BartuH naH aDirAjasya syAlam pAraSavam kOSikam siMhavarmANam
   mitram apadiśantī sarvān kāminaḥ pratyākhyānena vrīḍayati kiṃ bravīṣi -	mitram apadiSantI sarvAn kAminaH pratyAKyAnena vrIxayati kim bravIzi -
   kiṃ ca tasyaiṣātikāmitayāvamanyata iti yuṣmaddeśaupayikam eva kila satatam	kim ca tasya-ezAtikAmitayA-avamanyate iti yuzmad-deSa-Opayikam eva kila satatam
   atisevanam kiṃ bravīṣi - deśaupayikam adeśaupayikam iti nāvagacchāmi	ati-sevanam kim bravIzi  deSa-Opayikam adeSa-Opayikam iti na-avagacCAmi
   vispaṣṭam abhidhīyatām iti evam anugṛhītaḥ kathaṃ na kathayiṣyāmi śrūyatām	vispazwam aBiDIyatAm iti evam anugRhItaH kaTam na kaTayizyAmi SrUyatAm
   55 (a) śravaṇanikaṭajair nakhāvapātair	55 (a) SravaNa-nikawa-jEH naKa-avapAtEH-
   (b) vanagajadamya ivāṅkitaḥ pratodaiḥ	(b) vana-gaja-damyaH iva-aFkitaH pratodEH
   (c) vivṛtajaghanabhūṣaṇāṃ vivastrāṃ	(c) vivRta-jaGana-BUzaNAm vivastrAm
   (d) vṛṣa iva vatsatarīm ihopayāti	(d) vRzaH iva vatsatarIm iha-upayAti
   kiṃ bravīṣi - tena hy anenaivopāyanenainam upasthāsyāmīti	kim bravIzi  tena hi anena-eva-upAyanena-enam upasTAsyAmi-iti
   yady evam indrasvāmī vijñāpyaḥ	yadi evam indra-svAmI vijQApyaH
   56 (a) daśanamaṇḍalacitrakakundarāṃ	56 (a) daSana-maNxala-citraka-kundarAm
   (b) dayitamālyanivāsitamekhalām	(b) dayita-mAlya-nivAsita-meKalAm
   [p.96] (c) tvadaparaṃ prati sā jaghanasthalīṃ	[p.96] (c) tvad-aparam prati sA jaGana-sTalIm
   ( d) na vivṛṇoti vṛtāpi śataṃśataiḥ	( d) na vivRNoti vRtA-api SataMSatEH
   svasti bhavate sādhayāmas tāvat (parikramya) aye ko nu khalv eṣa	svasti Bavate sADayAmaH tAvat (parikramya) aye kaH nu Kalu eza
   śaurpakārikāyā rāmadāsyā bhavanān niṣpatya ḍiṇḍigaṇaparivṛto veśam	SOrpa-kArikAyAH rAma-dA-asyAH BavanAt nizpatya xiNxi-gaNa-parivRtaH veSam
   āviṣkaroti (vilokya) etaj jaṅgamaṃ viṭatīrtham udīcyānāṃ bālhikānāṃ	Avizkaroti (vilokya) etat jaFgamam viwatIrTam udIcyAnAm bAlhikAnAm
   kārūśamaladānāṃ ceśvaro mahāpratīhāro bhadrāyudha eṣaḥ	kAru-uSamaladAnAm ca-ISvaraH mahA-pratIhAraH BadrAyuDaH ezaH
   57 (a) viracitakuntalamauliḥ	57 (a) viracita-kuntala-mOliH
   śra vaṇārpitakāṣṭha vi pulasitakalaśaḥ	Sra vaNa-arpita-kAzWa vi pulasita-kalaSaH
   (b) janam ālapañ jakārair	(b) janam Alapan jakArEH-
   unnāṭayatīva lāṭānām	unnAwayati-iva lAwAnAm
   kā ca tāvad asya lāṭeṣu sādhudṛṣṭir etāvat sarvo hi lāṭaḥ	kA ca tAvat asya lAwezu sADu-dRzwiH etAvat sarvaH hi lAwaH
   58 (a) saṃveṣṭya dvāv uttarīyeṇa bāhū	58 (a) saMvezwya dvO uttarIyeNa bAhU
   (b) rajjvā madhyaṃ vāsasā saṃnibadhya	(b) rajjvA maDyam vAsasA saMnibaDya
   ( c) pratyudgacchan saṃmukhīnaṃ śakāraiḥ	( c) pratyudgacCan saMmuKInam SakArEH
   (d) pādāpātair aṃsakubjaḥ prayāti	(d) pAda-ApAtEH aMsa-kubjaH prayAti
   api ca	api ca
   [p.97] 59 (a) urasi kṛtakapotakaḥ karābhyāṃ	[p.97] 59 (a) urasi kRtakapotakaH karAByAm
   (b) vadati jajeti yakārahīnam uccaiḥ	(b) vadati jaja-iti yakAra-hInam uccEs-
   (c) samayugalanibaddhamadhyadeśo	(c) sama-yugala-nibadDa-maDyadeSaH-
   (d) vrajati ca paṅkam iva spṛśan karāgraiḥ	(d) vrajati ca paFkam iva spRSan kara-agrEH
   sarvathā nāsty apiśācam aiśvaryam athavāsyaivaikasya deśāntaravihāro	sarvaTA na-asti apiSAcam ESvaryam aTavA-asya-eva-ekasya deSa-antara-vihAraH-
   yuktaḥ kutaḥ	yuktaH kutas-
   60 (a) yenāparāntaśakamālavabhūpatīnāṃ	60 (a) yena-aparAnta-Saka-mAlava-BUpatInAm
   (b) kṛtvā śiraḥsu caraṇau caratā yatheṣṭam	(b) kRtvA SiraHsu caraNO caratA yaTezwam
   (c) kāle 'bhyupetya jananīṃ jananīṃ ca gaṅgām	(c) kAle aByupetya jananIm jananIm ca gaFgAm
   (d) āviṣkṛtā magadharājakulasya lakṣmīḥ	(d) AvizkRtA magaDa-rAja-kulasya lakzmIH
   api ca	api ca
   61 (a) velānilair mṛdubhir ākulitālakāntā	61 (a) velA-anilEH mRduBiH Akulita-alaka-antA
   (b) gāyanti yasya caritāny aparāntakāntāḥ	(b) gAyanti yasya caritAni aparAnta-kAntAH
   (c) utkaṇṭhitāḥ samavalambya latās tarūṇāṃ	(c) utkaNWitAH samavalambya latAH tarUNAm
   (d) hintālamāliṣu taṭeṣu mahārṇavasya	(d) hintAla-mAlizu tawezu mahA-arNavasya
   kiṃ tad gītam	kim tat gItam
   62 (a) u hi māṇuso tti bhaḍḍā-	62 (a) u hi mANusaH tti BaxxA-
   uheṇa ṇavi kovi licchai āuhe	uheNa Navi kovi licCE Auhe
   (b) ṇa soṇṇāri tassa kammasiddhiṃ	(b) Na soNNAri tassa kamma-sidDim
   viḍā hi khalu bhuñjanti sokarasiddhiṃ	vixAH hi Kalu BuQjanti sokara-sidDim
   [p.98] (parikramya) eṣa khalu pradyumnadevāyatanasya vaijayantīm	[p.98] (parikramya) eza Kalu pradyumna-devAyatanasya vEjayantIm
   abhilikhati etaḍ ḍiṇḍitvaṃ nāma bhoḥ ḍiṇḍino hi nāmaite nātiviprakṛṣṭā	aBiliKati etat xiNxitvam nAma BoH xiNxinaH hi nAma-ete na-ati-viprakRzwA
   vānarebhyaḥ bhoḥ kiṃ ca tāvad asya ḍiṇḍikeṣu priyatvam ḍiṇḍino hi nāma	vAnareByaH BoH kim ca tAvat asya xiNxikezu priya-tvam xiNxinaH hi nAma
   63 (a) ālekhyam ātmalipibhir gamayanti nāśaṃ	63 (a) AleKyam Atma-lipiBiH gamayanti nASam
   (b) saudheṣu kūrcakamaṣīmalam arpayanti	(b) sODezu kUrcaka-mazI-malam arpayanti
   (c) ādāya tīkṣṇataradhāram ayovikāraṃ	(c) AdAya tIkzNatara-DAram ayaH-vikAram
   ( d) prāsādabhūmiṣu ghuṇakriyayā caranti	( d) prAsAda-BUmizu GuNa-kriyayA caranti
   kiṃ ca tāvad ayaṃ likhati (vilokya) nirapekṣa iti	kim ca tAvat ayam liKati (vilokya) nirapekzaH iti
   sthāne khalv asyedaṃ nāma suṣṭhu khalv idam ucyate - arthaṃ nāma	sTAne Kalu asya-idam nAma suzWu Kalu idam ucyate  arTam nAma
   śīlasyopaharatīti tathā hy eṣa dhāntras tāṃ naḥ priyasakhīm anapekṣayā	SIlasya-upaharati-iti taTA hi eza DAntraH tAm naH priya-saKIm anapekzayA
   veśatāpasīvratena karśayati sā hi tapasvinī	veSa-tApasI-vratena karSayati sA hi tapasvinI
   64 (a) netrāmbu pakṣmabhir arālaghanāsitāgrair	64 (a) netra-ambu pakzmaBiH arAlaGa-nAsita-agrEH-
   (b) netrāmbudhautavalayena kareṇa vaktram	(b) netra-ambu-DOta-valayena kareNa vaktram
   (c) śokaṃ guruṃ ca hṛdayena samaṃ bibharti	(c) Sokam gurum ca hRdayena samam biBarti
   (d) trīṇi tridhā trivalijihmitaromarājiḥ	(d) trINi triDA tri-vali-jihmita-romarAjiH
   tad upālapsye tāvad en am bho bhagavan nirapekṣa, karuṇātmakasya bhavato	tat upAlapsye tAvat ed am Bo Bagavat nirapekza, karuNA-Atmakasya BavataH-
   maitrīm ādāya vartamānasya tvayi muditāyāṃ yoṣiti yuktam upekṣāvihāritvam	mEtrIm AdAya vartamAnasya tvayi muditAyAm yoziti yuktam upekzA-vihAri-tvam
   kiṃ bravīṣi - gṛhīto vañcitakasyārthaḥ spṛṣṭo 'smy upāsakatvena īdṛśaḥ	kim bravIzi  gRhItaH vaQcitakasya-arTaH spRzwaH asmi upAsaka-tvena IdRSaH
   saṃsāradharma	saMsAra-Darma
   [p.99] ity uktaṃ tathāgateneti mā tāvad bhoḥ tasyām eva bhagavatas	[p.99] iti uktam taTAgatena-iti mA tAvat BoH tasyAm eva Bagavatas
   tathāgatasya vacanaṃ pramāṇaṃ nānyatra kiṃ bravīṣi - kutra vā kadā vā mama	taTAgatasya vacanam pramANam na-anyatra kim bravIzi  kutra vA kadA vA mama
   tathāgatasya vacanam apramāṇam iti iyaṃ pratijñā kiṃ bravīṣi - kutaḥ	taTAgatasya vacanam apramANam iti iyam pratijQA kim bravIzi  kutas-
   saṃdeha iti bhadramukha śrūyatām	saMdehaH iti Badra-muKa SrUyatAm
   65 (a) śramaniḥsṛtajihvam unmukhaṃ	65 (a) Srama-niHsRta-jihvam unmuKam
   (b) hṛdi niḥsaṅganikhātasāyakam	(b) hRdi niHsaFga-niKAta-sAyakam
   (c) samavekṣya mṛgaṃtathāgataṃ	(c) samavekzya mRgaMtaTA-gatam
   (d) smarasi tvaṃ na mṛgaṃ tathāgatam	(d) smarasi tvam na mRgam taTAgatam
   eṣa prahasitaḥ kiṃ bravīṣi - na khalu tathāgataśāsanaṃ śaṅkitavyam anyad	eza prahasitaH kim bravIzi  na Kalu taTAgata-SAsanam SaFkitavyam anyat-
   dhi śāstram, anyā puruṣaprakṛtir, na vayaṃ vītarāgā iti yady evam arhati	Di SAstram, anyA puruza-prakRtiH-, na vayam vIta-rAgAH iti yadi evam arhati
   bhavāṃs tatrabhavatīṃ rādhikāṃ tathābhūtāṃ śokasāgarād uddhartum kiṃ	BavAn tatraBavatIm rADikAm taTABUtAm Soka-sAgarAt udDartum kim
   bravīṣi - yad ājñāpayati vayasyo 'yam añjaliḥ sādhu mucyeyam iti sarvathā	bravIzi  yat AjQApayati vayasyaH ayam aQjaliH sADu mucyeyam iti sarvaTA
   durlabhas te mokṣaḥ, kiṃ tv iyam āśīḥ pratigṛhyatām	durlaBaH te mokzaH, kim tu iyam ASIH pratigRhyatAm
   66 (a) viproṣyāgata utsukām avanatām utsaṅgam āropaya	66 (a) viprozya-AgataH utsukAm avanatAm utsaFgam Aropaya
   (b) skandhe vaktram upopadhāya rudatīṃ bhūyaḥ samāśvāsaya	(b) skanDe vaktram upopaDAya rudatIm BUyas samASvAsaya
   (c) ābaddhāṃ mahiṣīviṣāṇaviṣamām unmucya veṇīṃ tato	(c) AbadDAm mahizI-vizANa-vizamAm unmucya veNIm tatas-
   ( d) lambaṃ locanatoyaśauṇḍam alakaṃ chindhi priyāyāḥ svayam	( d) lambam locana-toya-SONxam alakam CinDi priyAyAH svayam
   eṣa prahasya gataḥ ito vayam (parikramya) aye ko nu khalv eṣa ita	eza prahasya gataH itas vayam (parikramya) aye kaH nu Kalu ezaH ita
   evābhivartate	eva-aBivartate
   [p.100] 67 (a) duścīvarāvayavasaṃvṛtaguhyadeśo	[p.100] 67 (a) duScIvara-avayava-saMvRta-guhya-deSaH-
   (b) bastānanaḥ kapilaromaśapīvarāṃsaḥ	(b) basta-AnanaH kapila-roma-SapI-vara-aMsaH
   (c) āyāti mūlakam adan kapipiṅgalākṣo	(c) AyAti mUlakam adan kapi-piFga-lAkzaH-
   ( d) dāśerako yadi na nūnam ayaṃ piśācaḥ	( d) dASerakaH yadi na nUnam ayam piSAcaH
   bhavatu, dṛṣṭam eṣa khalu bhrātur athavā vayasyasya tatrabhavato	Bavatu, dRzwam eza Kalu BrAtuH aTavA vayasyasya tatraBavataH-
   dāśerakādhipater apatyaratnasya guptakulasyāvāse dṛṣṭapūrvaḥ tat kim	dASeraka-aDipateH apatya-ratnasya gupta-kulasya-AvAse dRzwa-pUrvaH tat kim
   asyeha prayojanam eṣa māṃ kṛtāñjalir upasarpati kiṃ bravīṣi - guptakuleṇa	asya-iha prayojanam eza mAm kRtAQjaliH upasarpati kim bravIzi  gupta-kuleNa
   pekkhasi ovārida v(p)aṇap(v)añcadiccu gaṇikā (kāvi?) kidepsayadi tahṇā,	pekKasi ovAri-da v(p)aNa-p(v)aQca-diccu gaNikA (kAvi?) kidepsayadi tahNA,
   ṇaṃ poravīthīe aṣeṣāayitaṃ puṃṇi (puṇṇi) kāvi gaṇikā ṇa dīṣai tahammi	Nam poravITIe azezAayitam puMNi (puNNi) kAvi gaNikA Na dIzE tahammi
   taṣṣa adīye (ādīye), teṇayyuṃ samaṃ khelanto ṇiyyudiṣṣaye, ambā hi me	tazzaH adIye (a-AdIye), teNayyum samam KelantaH Niyyu-dizzaye, ambA hi me
   ṣāvitā tuyyaṃ atthakeṇa dāṇi gaṇikā kāmuppūlida aṣṣeṇa kulonthiṃ	zAvitA tuyyam atTakeNa dANi gaNikA kAm-uppUlida azzeNa kula-unTim
   theṇe(a)va kāmā ṇa yaṣṣe (aṃṣe), jai gacchāmi	TeNa-i(a)va kAmAH Na yazze (aMze), jE gacCAmi
