   (Tvbh_38)	(TvB_38)
   tenaivākāreṇa tasya vastunaś cetasy abhiniveśanam | evam etan nānyathety	tena eva AkAreNa tasya vastunaH cetasi aBiniveSanam | evam etat na anyaTA iti 
   avadhāraṇam adhimokṣaḥ | sa cāsaṃhāryatākarmakaḥ | adhimuktipradhāno hi	avaDAraNam aDimokzaH | sa ca asaMhAryatA karmakaH | aDimukti praDAnaH hi
   svasiddhāntāt parapravādibhir apahartuṃ na śakyate |	sva sidDAntAt para pravAdiBiH apahartum na Sakyate |
   (Tvbh_74)	(TvB_74)
   smṛtiḥ saṃstute vastuny asaṃpramoṣaś cetaso 'bhilapanatā | saṃstutaṃ vastu	smRtiH saMstute vastuni asaMpramozaH cetasaH aBilapana tA | saMstutam vastu
   pūrvānubhūtam | ālambanagrahaṇāvipraṇāśakāraṇatvād asaṃpramoṣaḥ |	pUrva anuBUtam | Alambana grahaNa avipraNASa kAraNa tvAt asaMpramozaH |
   pūrvagṛhītasya vastunaḥ punaḥ punar ālambanākārasmaraṇam abhilapanatā |	pUrva gRhItasya vastunaH punar punar Alambana AkAra smaraNam aBilapana tA |
   abhilapanam evābhilapanatā | sā punar avikṣepakarmikā | ālambanābhilapane	aBilapanam eva aBilapana tA | sA punar avikzepa karmikA | Alambana aBilapane
   sati cittasyālambanāntara ākārāntare vā vikṣepābhāvād avikṣepakarmikā |	sati cittasya Alambana antaraH AkAra antare vA vikzepa aBAvAt avikzepa karmikA |
   samādhir upaparīkṣye vastuni cittasyaikāgratā | upaparīkṣyaṃ vastu guṇato	samADiH upaparIkzye vastuni cittasya ekAgra tA | upaparIkzyam vastu guNataH 
   doṣato vā | ekāgratā ekālambanatā | jñānasaṃniśrayadānakarmakaḥ | samāhite	dozataH vA | ekAgra tA eka AlambanatA | jQAna saMniSraya dAna karmakaH | samAhite
   citte yathābhūtaparijñānāt |	citte yaTABUta parijQAnAt |
   dhīḥ prajñā | sāpy upaparīkṣya eva vastuni pravicayo yogāyogavihito	DIH prajQA | sA api upaparIkzya eva vastuni pravicayaH yoga ayoga vihitaH 
   'nyathā veti | pravicinotīti pravicayaḥ | yaḥ samyaṅ mithyā vā	anyaTA vA iti | pravicinoti iti pravicayaH | yaH samyak miTyA vA
   saṃkīrṇasvasāmānyalakṣaṇeṣv iva dharmeṣu vivekāvabodhaḥ | yuktir yogaḥ |	saMkIrNa sva sAmAnya lakzaNezu iva Darmezu viveka avaboDaH | yuktiH yogaH |
   sa punar āptopadeśo 'numānaṃ pratyakṣañ ca | tena triprakāreṇa yogena yo	sa punar Apta upadeSaH anumAnam pratyakzan ca | tena tri prakAreNa yogena yaH 
   janitaḥ sa yogavihitaḥ | sa punaḥ śrutamayaś cintāmayo bhāvanāmayaś ca |	janitaH sa yoga vihitaH | sa punar Sruta mayaH cintAmayaH BAvanA mayaH ca |
   tatrāptavacanaprāmāṇyād yo 'vabodhaḥ sa śrutamayaḥ | yuktinidhyānajaś	tatra Apta vacana prAmANyAt yaH avaboDaH sa Sruta mayaH | yukti niDyAna jaH 
   cintāmayaḥ | samādhijo bhāvanāmayaḥ |	cintA mayaH | samADi jaH BAvanA mayaH |
   ayogo 'nāptopadeśo 'numānābhāso mithyā praṇihitaś ca samādhiḥ | tenāyogena	ayogaH anApta upadeSaH anumAna ABAsaH miTyA praNihitaH ca samADiH | tena ayogena
   janito 'yogavihitaḥ | upapattipratilambhiko laukikavyavahārāvabodhaś ca na	janitaH ayoga vihitaH | upapatti pratilamBikaH lOkika vyavahAra avaboDaH ca na
   yogavihito nāyogavihitaḥ | eṣā ca saṃśayavyāvartanakarmikā |	yoga vihitaH na ayoga vihitaH | ezA ca saMSaya vyAvartana karmikA |
   saṃśayavyāvartanaṃ prajñayā dharmān pravicinvato niścayalābhād iti |	saMSaya vyAvartanam prajQayA DarmAn pravicinvataH niScaya lABAt iti |
   ete hi pañca dharmāḥ parasparaṃ vyatiricyāpi pravartante | evañ ca	ete hi paQca DarmAH parasparam vyatiricya api pravartante | evan ca
   yatrādhimokṣas tatra nāvaśyam itarair api bhavitavyam | evaṃ sarvatra	yatra aDimokzaH tatra na avaSyam itarEH api Bavitavyam | evam sarvatra
   vācyam | uktā viniyatāḥ ||	vAcyam | uktAH viniyatAH ||
   (Tvbh_76)	(TvB_76)
   tadanantaroddiṣṭās tv idānīṃ kuśalā vaktavyā ity ata āha |	tad anantara uddizwAH tu idAnIm kuSalAH vaktavyAH iti atas Aha |
   śraddhātha hrīr apatrapā || 10d	SradDA aTa hrIH apatrapAH || 10d
   alobhāditrayaṃ vīryaṃ praśrabdhiḥ sāpramādikā |	aloBa Adi trayam vIryam praSrabDiH sa apramAdikA |
   āhiṃsā kuśalāḥ | 11abc	AhiMsA kuSalAH | 11abc
   eta ekādaśa dharmā iti vākyaśeṣaḥ |	ete ekAdaSa DarmAH iti vAkya SezaH |
   tatra śraddhā astitvaguṇavattvaśakyatveṣu karmaphalasatyaratneṣv	tatra SradDA astitva guNavat tva Sakya tvezu karma Pala satya ratnezu 
   abhisaṃpratyayaḥ prasādaś cetaso 'bhilāṣaḥ | śraddhā hi tridhā pravartate	aBisaMpratyayaH prasAdaH cetasaH aBilAzaH | SradDA hi triDA pravartate
   | sati vastuni guṇavaty aguṇavati vā saṃpratyayākārā | sati guṇavati ca	| sati vastuni guNavatI aguNavati vA saMpratyaya AkArA | sati guNavati ca
   prasādākārā | sati guṇavati ca prāptum utpādayituṃ vā śakye 'bhilāṣākārā |	prasAda AkArA | sati guNavati ca prAptum utpAdayitum vA Sakye aBilAza AkArAH |
   cetasaḥ prasāda iti | śraddhā hi cittakāluṣyavairodhikīty atas	cetasaH prasAdaH iti | SradDA hi citta kAluzya vEroDikI iti atas 
   tatsaṃprayoge kleśopakleśamalakāluṣyavigamāc cittaṃ śraddhām āgamya	tad saMprayoge kleSa upakleSa mala kAluzya vigamAt cittam SradDAm Agamya
   prasīdatīti cetasaḥ prasāda ucyate | sā punaś chandasaṃniśrayadānakarmikā	prasIdati iti cetasaH prasAdaH ucyate | sA punar Canda saMniSraya dAna karmikA
   hrīr ātmānaṃ dharmaṃ vādhipatiṃ kṛtvāvadyena lajjā | sadbhir garhitatvād	hrIH AtmAnam Darmam vA aDipatim kRtvA avadyena lajjA | sadBiH garhita tvAt 
   aniṣṭavipākatvāc ca pāpam evāvadyam | tenāvadyena kṛtenākṛtena vā yā	anizwa vipAka tvAt ca pApam eva avadyam | tena avadyena kRtena akRtena vA yA
   cittasyāvalīnatā lajjā sā hrīḥ | iyaṃ ca	cittasya AvalIna tA lajjA sA hrIH | iyam ca
   duścaritasaṃyamasaṃniśrayadānakarmikā |	duScarita saMyama saMniSraya dAna karmikA |
   apatrāpyaṃ lokam adhipatiṃ kṛtvāvadyena lajjā | loke hy etad garhitaṃ māṃ	apatrApyam lokam aDipatim kRtvA avadyena lajjA | loke hi etat garhitam mAm
   caivaṃ karmāṇaṃ viditvā garhiṣyatīty aślokādibhayād avadyena lajjate |	ca evam karmANam viditvA garhizyati iti aSloka Adi BayAt avadyena lajjate |
   idam api duścaritasaṃyamasaṃniśriyadānakarmakam |	idam api duScarita saMyama saMniSriya dAna karmakam |
   (Tvbh_78)	(TvB_78)
   alobho lobhapratipakṣaḥ | lobho nāma bhave bhavopakaraṇeṣu ca yāsaktiḥ	aloBaH loBa pratipakzaH | loBaH nAma Bave Bava upakaraNezu ca yAsaktiH
   prārthanā ca | tatpratipakṣo 'lobho bhave bhavopakaraṇeṣu vānāsaktiḥ	prArTanA ca | tad pratipakzaH aloBaH Bave Bava upakaraNezu vAnAsaktiH
   vaimukhyañ ca | ayañ ca duścaritāpravṛttisaṃniśrayadānakarmakaḥ |	vEmuKyan ca | ayan ca duScarita apravRtti saMniSraya dAna karmakaH |
   adveṣo dveṣapratipakṣo maitrī | dveṣo hi sattveṣu duḥkhe duḥkhasthānīyeṣu	advezaH dveza pratipakzaH mEtrI | dvezaH hi sattvezu duHKe duHKa sTAnIyezu
   ca dharmeṣv āghātaḥ | adveṣo dveṣapratipakṣatvāt sattveṣu duḥkhe	ca Darmezu AGAtaH | advezaH dveza pratipakza tvAt sattvezu duHKe
   duḥkhasthānīyeṣu ca dharmeṣv anāghātaḥ | ayam api	duHKa sTAnIyezu ca Darmezu anAGAtaH | ayam api
   duścaritāpravṛttisaṃniśrayadānakarmakaḥ |	duScarita apravRtti saMniSraya dAna karmakaH |
   amoho mohapratipakṣo yathābhūtasaṃpratipattiḥ | mohaḥ	amohaH moha pratipakzaH yaTABUta saMpratipattiH | mohaH
   karmaphalasatyaratneṣv ajñānam | mohapratipakṣatvād amohas teṣv eva	karma Pala satya ratnezu ajQAnam | moha pratipakza tvAt amohaH tezu eva
   karmaphalasatyaratneṣu saṃpratipattiḥ | ayam api	karma Pala satya ratnezu saMpratipattiH | ayam api
   duścaritāpravṛttisaṃniśrayadānakarmakaḥ |	duScarita apravRtti saMniSraya dAna karmakaH |
   vīryaṃ kausīdyapratipakṣaḥ kuśale cetaso 'bhyutsāhaḥ | na tu kliṣṭe |	vIryam kOsIdya pratipakzaH kuSale cetasaH aByutsAhaH | na tu klizwe |
   kliṣṭe tūtsāhaḥ kutsitatvāt kausīdyam eva | etac ca	klizwe tu utsAhaH kutsita tvAt kOsIdyam eva | etat ca
   kuśalapakṣaparipūraṇapariniṣpādanakarmakam |	kuSala pakza paripUraNa parinizpAdana karmakam |
   praśrabdhir dauṣṭhulyapratipakṣaḥ kāyacittakarmaṇyatā | dauṣṭhulyaṃ	praSrabDiH dOzWulya pratipakzaH kAya citta karmaNya tA | dOzWulyam
   kāyacittayor akarmaṇyatā sāṃkleśikadharmabījāni ca | tadapagame	kAya cittayoH akarmaNya tA sAMkleSika Darma bIjAni ca | tad apagame
   praśrabdhisadbhāvāt | tatra kāyakarmaṇyatā kāyasya svakāryeṣu (Tvbh_80)	praSrabDi sadBAvAt | tatra kAya karmaNya tA kAyasya sva kAryezu (TvB_80)
   laghusamutthānatā yato bhavati | cittakarmaṇyatā	laGu samutTAna tA yatas Bavati | citta karmaNya tA
   samyaṅmanasikārasaṃprayuktasya cittasyāhlādalāghavanimittaṃ yac caitasikaṃ	samyak manasikAra saMprayuktasya cittasya AhlAda lAGava nimittam yat cEtasikam
   dharmāntaraṃ yadyogāc cittam avyāhatam ālambane pravartate 'tas tac	Darma antaram yat yogAt cittam avyAhatam Alambane pravartate atas tat 
   cittakarmaṇyatety ucyate | kāyasya punaḥ spraṣṭavyaviśeṣa eva prītyāhṛtaḥ	citta karmaNyatA iti ucyate | kAyasya punar sprazwavya viSezaH eva prIti AhRtaH
   kāyapraśrabdhir veditavyā | prītamanasaḥ kāyaḥ praśrabhyata iti sūtre	kAya praSrabDiH veditavyA | prIta manasaH kAyaH praSraByate iti sUtre
   vacanāt | iyaṃ tadvaśenāśrayaparāvṛttito 'śeṣakleśāvaraṇaniṣkarṣaṇakarmikā	vacanAt | iyam tad vaSena ASraya parAvRttitaH aSeza kleSa AvaraNa nizkarzaNa karmikA
   sāpramādikā | sahāpramādena pravartata iti sāpramādikā | kā punar asau |	sa apramAdikA | saha apramAdena pravartate iti sa apramAdikA | kA punar asO |
   upekṣā | kuta etat | ekāntakuśalatvāt sarvakuśalānāṃ ceha nirdeśādhikārāc	upekzA | kutas etat | ekAnta kuSala tvAt sarva kuSalAnAm ca iha nirdeSa aDikArAt 
   chraddhādivat sākṣād anirdeśāt tadvyatiriktānyakuśalābhāvāc	CradDA Adi vat sAkzAt anirdeSAt tad vyatiriktAni akuSala aBAvAt 
   copekṣaiva vijñāyate |	ca upekzA eva vijQAyate |
   tatrāpramādaḥ pramādapratipakṣaḥ | alobhād yāvad vīryam apramādaḥ | yān	tatra apramAdaH pramAda pratipakzaH | aloBAt yAvat vIryam apramAdaH | yAn
   alobhādīn niśrityākuśalān dharmān prajahāti tatpratipakṣāṃś ca kuśalān	aloBa AdIn niSritya akuSalAn DarmAn prajahAti tad pratipakzAn ca kuSalAn
   dharmān bhāvayati te 'lobhādayo 'pramādaḥ | ata eva pramādapratipakṣaḥ	DarmAn BAvayati te aloBa AdayaH apramAdaH | atas eva pramAda pratipakzaH
   pramādasyāto viparītatvāt | sa punar	pramAdasya atas viparIta tvAt | sa punar 
   laukikalokottarasaṃpattiparipūraṇakarmakaḥ |	lOkika lokottara saMpatti paripUraNa karmakaH |
   upekṣā cittasamatā cittapraśaṭhatā cittānābhogatā | ebhis tribhiḥ	upekzA citta samatA citta praSaWa tA citta anABoga tA | eBiH triBiH
   (Tvbh_82) padair upekṣāyā ādimadhyāvasānāvasthā dyotitā | tatra	(TvB_82) padEH upekzAyE Adi maDya avasAna avasTA dyotitA | tatra
   layauddhatyaṃ vā cetaso vaiṣamyam | tasyābhāvād ādau cittasamatā | tato	laya OdDatyam vA cetasaH vEzamyam | tasya aBAvAt AdO citta samatA | tatas 
   'nabhisaṃskāreṇāprayatvena samāhitasya cetaso	anaBisaMskAreNa aprayatvena samAhitasya cetasaH 
   yathāyogaṃ samasyaiva yā pravṛttiḥ sā cittapraśaṭhatā | sā punar avasthā	yaTAyogam samasya eva yA pravRttiH sA citta praSaWa tA | sA punar avasTA
   layauddhatyaśaṅkānugatācirabhāvitatvāt | tato bhāvanāprakarṣagamanāt	laya OdDatya SaFkA anugata acira BAvita tvAt | tatas BAvanA prakarza gamanAt
   tadvipakṣadūrībhāvāt tacchaṅkābhāve layauddhatyapratipakṣanimitteṣv	tad vipakza dUrI BAvAt tad SaFkA aBAve laya OdDatya pratipakza nimittezu 
   ābhogam akurvato 'nābhogāvasthā cittasyānābhogatā | iyañ ca	ABogam akurvataH anABoga avasTA cittasya anABaH gatA | iyan ca
   sarvakleśopakleśānavakāśasaṃniśrayadānakarmikā |	sarva kleSa upakleSa anavakASa saMniSraya dAna karmikA |
   avihiṃsā vihiṃsāpratipakṣaḥ | vadhabandhanādibhiḥ sattvānām aviheṭhanam	avihiMsA vihiMsA pratipakzaH | vaDa banDana AdiBiH sattvAnAm aviheWanam
   avihiṃsā sattveṣu karuṇā | kaṃ ruṇaddhīti karuṇā | kam iti sukhasyākhyā	avihiMsA sattvezu karuNA | kam ruNadDi iti karuNA | kam iti suKasya AKyA
   sukhaṃ ruṇaddhīty arthaḥ | kāruṇiko hi paraduḥkhaduḥkhī bhavatīti | iyaṃ	suKam ruNadDi iti arTaH | kAruNikaH hi para duHKa duHKI Bavati iti | iyam
   cāviheṭhanakarmikā | uktā ekādaśa kuśalāḥ |	ca aviheWana karmikA | uktAH ekAdaSa kuSalAH |
   tadanantaroddiṣṭās tu kleśā ity atas tān adhikṛtyāha |	tad anantara uddizwAH tu kleSAH iti atas tAn aDikRtya Aha |
   kleśā rāgapratighamūḍhayaḥ || 11d	kleSAH rAga pratiGa mUXayaH || 11d
   mānadṛgvicikitsāś ca 12a	mAna dRS vicikitsAH ca 12a
   iti | rāgaś ca pratighaś ca mūḍhiś ca rāgapratighamūḍhayaḥ |	iti | rAgaH ca pratiGaH ca mUXiH ca rAga pratiGa mUXayaH |
   (Tvbh_84)	(TvB_84)
   tatra rāgo bhavabhogayor adhyavasānaṃ prārthanā ca | sa punar	tatra rAgaH Bava BogayoH aDyavasAnam prArTanA ca | sa punar 
   duḥkhasaṃjananakarmakaḥ | duḥkham atropādānaskandhās teṣāṃ	duHKa saMjanana karmakaH | duHKam atra upAdAna skanDAH tezAm
   kāmarūpārūpyatṛṣṇāvaśād abhinirvṛtteḥ | ato rāgasya duḥkhasaṃjananaṃ karma	kAmarUpa ArUpya tRzNA vaSAt aBinirvRtteH | atas rAgasya duHKa saMjananam karma
   nirdiśyate |	nirdiSyate |
   pratighaḥ sattveṣv āghātaḥ sattveṣu rūkṣacittatā yenāviṣṭaḥ sattvānāṃ	pratiGaH sattvezu AGAtaH sattvezu rUkza citta tA yena AvizwaH sattvAnAm
   vadhabandhanādikam anarthañ cintayati | sa punar	vaDa banDana Adikam anarTan cintayati | sa punar 
   asparśavihāraduścaritasaṃniśriyadānakarmakaḥ | sparśaḥ sukham | tena	asparSa vihAra duScarita saMniSriya dAna karmakaH | sparSaH suKam | tena
   sahito vihāraḥ sparśavihāraḥ | na sparśavihāro 'sparśavihāraḥ |	sahitaH vihAraH sparSa vihAraH | na sparSa vihAraH asparSa vihAraH |
   duḥkhasahita ity arthaḥ | āghātacittasyāvaśyaṃ daurmanasyasamudācārāc	duHKa sahitaH iti arTaH | AGAta cittasya avaSyam dOrmanasya samudAcArAt 
   cittaṃ tapyate | cittānuvidhānāc ca kāyo 'pi tapyata eveti sarveryāpatheṣu	cittam tapyate | citta anuviDAnAt ca kAyaH api tapyate eva iti sarveH yApaTezu
   saduḥkhasavighāto 'sparśavihāro bhavati | pratihatacittasya ca na kiñcid	sa duHKa sa viGAtaH asparSa vihAraH Bavati | pratihata cittasya ca na kiQcid 
   duścaritaṃ vidūra iti pratigho 'sparśavihāraduścaritasaṃniśrayadānakarmaka	duScaritam vidUraH iti pratiGaH asparSa vihAra duScarita saMniSraya dAna karmaka
   uktaḥ |	uktaH |
   moho 'pāyeṣu sugatau nirvāṇe tatpratiṣṭhāpākeṣu hetuṣu teṣāṃ cāviparīte	mohaH apAyezu sugatO nirvANe tad pratizWA pAkezu hetuzu tezAm ca aviparIte
   hetuphalasaṃbandhe yad ajñānam | ayañ ca	hetu Pala saMbanDe yat ajQAnam | ayan ca
   saṃkleśotpattisaṃniśriyadānakarmakaḥ | tatra kleśakarmajanmātmakas	saMkleSa utpatti saMniSriya dAna karmakaH | tatra kleSa karma janma Atmaka s
   trividhaḥ saṃkleśaḥ | tasyotpattiḥ pūrvapūrvasaṃkleśanimittād	triviDaH saMkleSaH | tasya utpattiH pUrva pUrva saMkleSa nimittAt 
   uttarottarasya saṃkleśasyātmalābhaḥ | tasyotpatteḥ saṃniśrayadānakarma |	uttarottarasya saMkleSasya Atma lABaH | tasya utpatteH saMniSraya dAna karma |
   (Tvbh_86) mūḍhasyaiva hi	(TvB_86) mUXasya eva hi
   mithyājñānasaṃśayarāgādikleśapaunarbhavikakarmajanmanāṃ pravṛtter	miTyAjQAna saMSaya rAga Adi kleSa pOnarBavika karma janmanAm pravRtteH 
   nāmūḍhasyeti |	na amUXasya iti |
   mānaḥ | māno hi nāma sarva eva satkāyadṛṣṭisamāśrayeṇa pravartate | sa	mAnaH | mAnaH hi nAma sarve eva sat kAya dRzwi samASrayeNa pravartate | sa
   punaś cittasyonnatilakṣaṇaḥ | tathā hy ātmātmīyabhāvaṃ skandheṣv	punar cittasya unnati lakzaNaH | taTA hi Atma AtmIya BAvam skanDezu 
   adhyāropyāyam aham idaṃ mamety ātmānaṃ tena tena viśeṣeṇonnamayati |	aDyAropyAyam aham idam mama iti AtmAnam tena tena viSezeNa unnamayati |
   anyebhyo 'dhikaṃ manyate | sa cāgauravaduḥkhotpattisaṃniśrayadānakarmakaḥ	anyeByaH aDikam manyate | sa ca agOrava duHKa utpatti saMniSraya dAna karmakaH
   | agauravaṃ guruṣu guṇavatsu ca pudgaleṣu stabdhatā kāyavācor apraśrititā	| agOravam guruzu guNavatsu ca pudgalezu stabDa tA kAya vAcoH apraSrititA
   duḥkhotpattiḥ punar atra punarbhavotpattiḥ | sa ca punaś	duHKa utpattiH punar atra punarBava utpattiH | sa ca punar 
   cittonnatisvarūpābhede 'pi cittonnatinimittabhedāt saptadhā bhidyate |	citta unnati svarUpa aBede api citta unnati nimitta BedAt saptaDA Bidyate |
   māno 'timāna ity evamādi |	mAnaH atimAnaH iti evamAdi |
   hīnāt kulavijñānavittādibhiḥ śreyān asmi kulavijñānavittādibhir iti yā	hInAt kula vijQAna vitta AdiBiH SreyAn asmi kula vijQAna vitta AdiBiH iti yA
   cittasyonnatiḥ sadṛśena vā kulādibhir eva sadṛśo 'smīti yā cittasyonnatiḥ	cittasya unnatiH sadRSena vA kula AdiBiH eva sadRSaH asmi iti yA cittasya unnatiH
   sa mānaḥ |	sa mAnaH |
   atimānaḥ | kulavijñānavittādibhiḥ sadṛśāt tyāgaśīlapauruṣādibhiḥ śreyān	atimAnaH | kula vijQAna vitta AdiBiH sadRSAt tyAga SIla pOruza AdiBiH SreyAn
   asmi śreyasā vā kulavidyādibhiḥ sadṛśo 'smi vijñānavittādibhir ity ayam	asmi SreyasA vA kula vidyA AdiBiH sadRSaH asmi vijQAna vitta AdiBiH iti ayam
   atimānaḥ |	atimAnaH |
   śreyasaḥ kulavijñānavittair aham eva śreyān asmi kulavijñānavittair iti yā	SreyasaH kula vijQAna vittEH aham eva SreyAn asmi kula vijQAna vittEH iti yA
   cittasyonnatir ayaṃ mānātimānaḥ |	cittasya unnatiH ayam mAna atimAnaH |
   (Tvbh_88)	(TvB_88)
   asmimānaḥ | pañcasūpādānaskandheṣv ātmātmīyarahiteṣv ātmātmīyābhiniveśād	asmimAnaH | paQca su upAdAna skanDezu Atma AtmIya rahitezu Atma AtmIya aBiniveSAt 
   yā cittasyonnatiḥ so 'smimānaḥ |	yA cittasya unnatiH saH asmimAnaH |
   abhimānaḥ | aprāpta uttare viśeṣādhigame prāpto mayeti yā cittasyonnatiḥ	aBimAnaH | aprAptaH uttare viSeza aDigame prAptaH mayA iti yA cittasya unnatiH
   so 'bhimānaḥ |	saH aBimAnaH |
   ūnamānaḥ | bahvantaraviśiṣṭāt kulavidyādibhir alpāntarahīno 'smi	Una mAnaH | bahu antara viSizwAt kula vidyA AdiBiH alpa antara hInaH asmi
   kulavidyādibhir iti yā cittasyonnatir ayam ūnamānaḥ |	kula vidyA AdiBiH iti yA cittasya unnatiH ayam Una mAnaH |
   mithyāmānaḥ | aguṇavato guṇavān asmīti yā cittasyonnatiḥ sa mithyāmānaḥ |	miTyAmAnaH | aguNavataH guNavAn asmi iti yA cittasya unnatiH sa miTyAmAnaH |
   aguṇā hi dauḥśīlyādayas te yasya vidyante so 'guṇavān | tasmād guṇavān	aguNAH hi dOHSIlya AdayaH te yasya vidyante saH aguNavAn | tasmAt guNavAn
   asmīty anena hi dānaśīlādyabhāve 'pi guṇavattvam abhyupagataṃ bhavatīty	asmi iti anena hi dAna SIla Adi aBAve api guNavat tvam aByupagatam Bavati iti 
   ato nirvastukatvān mithyāmāna ity ucyate |	atas nirvastuka tvAt miTyAmAnaH iti ucyate |
   dṛg iti sāmānyanirdeśe 'pi kleśādhikārāt pañcaiva kleśātmikāḥ	dRS iti sAmAnya nirdeSe api kleSa aDikArAt paQca eva kleSa AtmikAH
   satkāyadṛṣṭyādikā dṛṣṭayaḥ saṃbadhyante | na laukikī samyagdṛṣṭir anāsravā	sat kAya dRzwi AdikAH dRzwayaH saMbaDyante | na lOkikI samyak dRzwiH anAsravA
   vā | āsāṃ tu kliṣṭanitīraṇākāratvād aviśeṣe 'py ālambanākārabhedāt	vA | AsAm tu klizwa nitIraNa AkAra tvAt aviSeze api Alambana AkAra BedAt 
   parasparato bhedaḥ |	parasparataH BedaH |
   tatra satkāyadṛṣṭir yat pañcasūpādānaskandheṣv ātmātmīyadarśanam |	tatra sat kAya dRzwiH yat paQca su upAdAna skanDezu Atma AtmIya darSanam |
   antagrāhadṛṣṭis teṣv eva pañcasūpādānaskandheṣv ātmātmīyatvena gṛhīteṣu	anta grAha dRzwiH tezu eva paQca su upAdAna skanDezu Atma AtmIya tvena gRhItezu
   yad ucchedataḥ śāśvatato vā darśanam |	yat ucCedataH SASvatataH vA darSanam |
   mithyādṛṣṭiḥ | yayā mithyādṛṣṭyā hetuṃ vāpavadati phalaṃ kriyāṃ vā sad vā	miTyAdRzwiH | yayA miTyA dRzwyA hetum vA apavadati Palam kriyAm vA sat vA
   vastu nāśayati sā sarvadarśanapāpatvān mithyādṛṣṭir ity ucyate |	vastu nASayati sA sarva darSana pApa tvAt miTyAdRzwiH iti ucyate |
   dṛṣṭaparāmarśaḥ pañcasūpādānaskandheṣv agrato viśiṣṭataḥ śreṣṭhataḥ	dRzwa parAmarSaH paQca su upAdAna skanDezu agratas viSizwataH SrezWataH
   paramataś ca yad darśanam |	paramatas ca yat darSanam |
   (Tvbh_90)	(TvB_90)
   śilavrataparāmarśaḥ pañcasūpādānaskandheṣu śuddhito muktito nairyāṇikataś	Sila vrata parAmarSaH paQca su upAdAna skanDezu SudDitaH muktitaH nEryANikataH 
   ca yad darśanam |	ca yat darSanam |
   vicikitsā | karmaphalasatyaratneṣu vimatiḥ | vividhā matir vimatiḥ syān na	vicikitsA | karma Pala satya ratnezu vimatiH | viviDA matiH vimatiH syAt na
   syād iti | prajñātaś ceyaṃ jātyantaram evoktā |	syAt iti | prajQAtaH ca iyam jAti antaram eva uktAH |
   uktāḥ ṣaṭkleśās tadanantaroddiṣṭās tv idānīm upakleśā vaktavyā ity ata āha	uktAH zaz kleSAH tad anantara uddizwAH tu idAnIm upakleSAH vaktavyAH iti atas Aha
   krodhopanāhane punaḥ |	kroDa upanAhane punar |
   mrakṣaḥ pradāśa īrṣyātha mātsaryaṃ saha māyayā || 12bcd	mrakzaH pradASaH IrzyA aTa mAtsaryam saha mAyayA || 12bcd
   śāṭhyaṃ mado 'vihiṃsāhrīr atrapā styānam uddhataḥ |	SAWyam madaH avihiMsA hrIH atrapA styAnam udDataH |
   āśraddhyam atha kausīdyaṃ pramādo muṣitā smṛtiḥ || 13	ASradDyam aTa kOsIdyam pramAdaH muzitA smRtiH || 13
   vikṣepo 'saṃprajanyañ ca kaukṛtyaṃ middham eva ca |	vikzepaH asaMprajanyan ca kOkRtyam midDam eva ca |
   vitarkaś ca vicāraś cety upakleśā dvaye dvidhā || 14	vitarkaH ca vicAraH ca iti upakleSAH dvaye dviDA || 14
   tatra krodho vartamānam apakāram āgamya yaś cetasa āghātaḥ | ayaṃ	tatra kroDaH vartamAnam apakAram Agamya yaH cetasaH AGAtaH | ayam
   cāghātasvarūpatvāt pratighān na bhidyate | kiṃ tv asya	ca AGAta svarUpa tvAt pratiGAn na Bidyate | kim tu asya
   pratighasyāvasthāviśeṣe prajñaptatvāt pratighāṃśikaḥ | vartamānam apakāram	pratiGasya avasTA viSeze prajQaptatvAt pratiGa aMSikaH | vartamAnam apakAram
   āgamya yaś cetasa āghātaḥ sattvāsattvaviṣayo	Agamya yaH cetasaH AGAtaH sattva asattva vizayaH 
   daṇḍadānādisaṃniśrayadānakarmakaś ca sa krodha iti prajñapyate |	daNxa dAna Adi saMniSraya dAna karmakaH ca sa kroDaH iti prajQapyate |
   upanāho vairānubandhaḥ | krodhād ūrdhvaṃ mamānenedam apakṛtam ity asya	upanAhaH vEra anubanDaH | kroDAt UrDvam mama anena idam apakRtam iti asya
   vairātmakasyānuśayasyānutsargaḥ prabandhena pravartanam upanāhaḥ | ayañ	vEra Atmakasya anuSayasya anutsargaH prabanDena pravartanam upanAhaH | ayan 
   cākṣāntisaṃniśrayadānakarmakaḥ | akṣāntir apakārāmarṣaṇaṃ	ca akzAnti saMniSraya dAna karmakaH | akzAntiH apakAra AmarzaNam
   pratyapakāracikīrṣā ca | ayam api krodhavat pradveṣāvasthāviśeṣe	pratyapakAra cikIrzA ca | ayam api kroDa vat pradveza avasTA viSeze
   prajñapyate | ataḥ prajñaptisann eva veditavyaḥ |	prajQapyate | atas prajQaptisan eva veditavyaH |
   mrakṣa ātmano 'vadyapracchādanā | chandadveṣabhayādīn nirākṛtya kāle	mrakzaH AtmanaH avadya pracCAdanA | Canda dveza Baya AdIn nirAkRtya kAle
   taddhitaiṣiṇā codakena tat tvam evaṃkārīty anuyuktasya mohāṃśiky	tad hita eziNA ca udakena tat tvam evaMkArI iti anuyuktasya mohAMSiky
   avadyapracchādanā mrakṣaḥ | mohāṃśikatvaṃ tu mrakṣasya pracchādanākāratvāt	avadya pracCAdanA mrakzaH | moha aMSika tvam tu mrakzasya pracCAdana AkAra tvAt
