   sāṃkhyaparibhāṣā /	sAMKya-pariBAzA /
   nighaṇṭaṃ nāma kāṭhinyaṃ vṛttisāvadhanatā na tu deśāntaram / jyotiṣaṃ nāma	niGaNwam nAma kAWinyam vRtti-sAvaDana-tA na tu deSa-antaram / jyotizam nAma
   vivekata na tu gaṇakādivyāpāraḥ / sūtraṃ nāma abhedānusandhānaṃ na tu	vivekata na tu gaNaka-Adi-vyApAraH / sUtram nAma aBeda-anusanDAnam na tu
   karmapreraṇā / niruktaṃ nāma saṃśayacchedyaṃ na tu vedārthaprauḍhiḥ /	karma-preraNA / niruktam nAma saMSaya=-Cedyam na tu veda-arTa-prOXiH /
   sūtrapāṭhaṃ nāma jñānadṛṣṭiḥ / na tu vyākaraṇabalam /	sUtrapAWam nAma jQAna-dRzwiH / na tu vyAkaraNa-balam /
        etajjñānaṃ paraṃ jñānamanyatsaṃsārapoṣaṇam /	etat-jQAnam param jQAnam-anyat-saMsAra-pozaNam /
   iti vedoktakarmayogaḥ / pramāṇaṃ vedākṣarāṇāṃ sāyujyaṃ sarūpatāṃ	iti veda-ukta-karma-yogaH / pramANam veda-akzarANAm sAyujyam sarUpa-tAm
   salokatāmaśnuta iti śruteḥ //	salokatAm-aSnutaH iti SruteH //
        atha pātañjalahaṭhayogaḥ /	aTa pAtaQjala-haWa-yogaH /
   atha pātañjalayogaṃ kathayatyaṅgāni vai kramāt /	aTa pAtaQjala-yogam kaTayati-aFgAni vE kramAt /
   dehasādhyaṃ bhavenmokṣaṃ tajjñānaṃ sādhanaṃ śṛṇu // 1 //	deha-sADyam Bavet-mokzam tat-jQAnam sADanam SRNu // 1 //
   tatra haṃsopaniṣadi- gudamavaṣṭabhyādhārādvāyumutthāpya svādhiṣṭhānaṃ	tatra haMsa-upanizadi gudam-avazwaByADArAt-vAyum-utTApya svADizWAnam
   triḥpradakṣiṇīkṛtya maṇipūrakaṃ gatvā anāhatamatikramya viśuddhe	tris-pradakziNIkRtya maNipUrakam gatvA anAhatam-atikramya viSudDe
   prāṇānniruddhya ājñāmanu brahmarandhraṃ dhyāyet / tatra nādamanubhavati	prANAn-nirudDyaH AjQAm-anu brahmaranDram DyAyet / tatra nAdam-anuBavati
   ciṇiti prathamaḥ 1 ciṇiciṇi 2 ghaṇṭā 3 śaṅkha 4 tantrī 5 tāla 6 veṇu 7	ciNiti praTamaH 1 ciNiciNi 2 GaNwA 3 SaFKaH 4 tantrI 5 tAla 6 veNu 7
   bheri 8 mṛdaṅga 9 megha 10 navamaṃ tyājyaṃ daśamamabhyaset / tasmānmano	Beri 8 mRdaFgaH 9 meGaH 10 navamam tyAjyam daSamam-aByaset / tasmAt-manaH-
   vilīnaṃ bhavati / yasya manasi viṣṭanā manaso 'ntarāyaṃ mano na veda yasya	vilInam Bavati / yasya manasi vizwanA manasaH antarAyam manaH na veda yasya
   manaḥ śarīraṃ yo manontaro yamayati /	manaH SarIram yaH manontaraH yamayati /
   cakraṃ sapta trikūṭaṃ ca śrīhaṭhaṃ gohaṭhaṃ tathā /	cakram sapta trikUwam ca SrI-haWam go-haWam taTA /
   bhrūvorgumphā brahmarandhraṃ sūlo yānaṃ jalandharam // 1 //	BrUvoH-gumPAH brahmaranDram sUlaH yAnam jalanDaram // 1 //
   ṭālī lolī tathā dhotī lambikāśodhanaṃ kramāt /	wAlI lolI taTA DotI lambikA-SoDanam kramAt /
   khecarī bhūcarī caiva mahākāṣṭhā tathaiva ca // 2 //	KecarI BUcarI ca-eva mahAkAzWA taTA-eva ca // 2 //
   udgānaṃ lopanaṃ caiva gāṭhanaṃ cāvakāśakam /	udgAnam lopanam ca-eva gAWanam ca-avakASakam /
   iḍāpiṅgalayornāmānyaṣṭāviṃśatyanukramāt // 3 //	ixA-piFgalayoH-nAmAni-azwAviMSati-anukramAt // 3 //
   praṇavaṃ vyāharan jāpyaṃ so 'haṃ yāmaṃ matāntare /	praNavam vyAharan jApyam saH aham yAmam mata-antare /
   asya kartā bhavejjīvo dehabhājanasammatam /	asya kartA Bavet-jIvaH deha-BAjana-sammatam /
   sādhanena bhavetsiddhirahaṃ vṛddho 'bhijāyate // 4 //	sADanena Bavet-sidDiH-aham vRdDaH aBijAyate // 4 //
   aṇimādi bhavetteṣāṃ bhūtaṃ bhaviṣyaṃ vartamānam /	aNima-Adi Bavet-tezAm BUtam Bavizyam vartamAnam /
   vācāṃ siddhirmṛtaṃ mokṣaṃ dehasaṅgena mānitā // 5 //	vAcAm sidDiH-mRtam mokzam deha-saFgena mAnitAH // 5 //
   yathā prete kṣamā liṅgaṃ tatsakāśācca saukhyatā /	yaTA prete kzamA liFgam tad-sakASAt-ca sOKya-tA /
   tathā dehasamīreṇa ahaṃ mameti mānitā // 6 //	taTA deha-samIreNa aham mama-iti mAnitAH // 6 //
   brahmarandhre gate prāṇe hyahaṃ mokṣo 'pi jāyate /	brahmaranDre gate prANe hi-aham mokzaH api jAyate /
   yathā dadhnagṛhasvāmī palāyan saukhyamānitā // 7 //	yaTA daDnagRhasvAmI palAyan sOKya-mAnitAH // 7 //
   punarahaṅkṛto vāso vāsanā janmadāyinī /	punar-ahaFkRtaH vAsaH vAsanA janma-dAyinI /
   tathā dehagato mokṣo buddhirarbhakasaṃmatā // 8 //	taTA deha-gataH mokzaH budDiH-arBaka-saMmatAH // 8 //
   tatra gītā-	tatra gItA-
   vāsāṃsi jīrṇāni yathā vihāya	vAsAMsi jIrNAni yaTA vihAya
   navāni gṛhṇāti naro parāṇi /	navAni gRhNAti naraH parANi /
   tathā śarīrāṇi vihāya jīrṇā-	taTA SarIrANi vihAya jIrNA-
   nyanyāni saṃyāti navāni dehī // 9 //	nyanyAni saMyAti navAni dehI // 9 //
   draṣṭā dṛśyaṃ yadā vartte dehe saṅgena mokṣakaḥ (?) /	drazwA dRSyam yadA vartte dehe saFgena mokzakaH (?) /
   ātmā dehī kathaṃ kṛtvā sarvavyāpivilakṣaṇaḥ / 10 //	AtmA dehI kaTam kRtvA sarva-vyApi-vilakzaNaH / 10 //
   tasmādunmīladyogī ca vikalaḥ kaulaśikṣayā /	tasmAt-unmIlat-yogI ca vikalaH kOla-SikzayA /
   samābhyutthānamanyāni dehasaṅgena vyarthatā // 11 //	sama-aByutTAnam-anyAni deha-saFgena vyarTa-tA // 11 //
   ātmā prajñānamānandanityaśuddhanirāmayaḥ /	AtmA prajQAnam-Ananda-nitya-SudDa-nirAmayaH /
   vicarejjñāptimātreṇa dehātītaṃ ca sarvadā // 12 //	vicaret-jQApti-mAtreNa deha-atItam ca sarvadA // 12 //
   yāvaddehābhimānaṃ ca yāvatsiddhiḥ pravarttate /	yAvat-deha-aBimAnam ca yAvat-sidDiH pravarttate /
   tāvajjanyānadānaṃ ca bhavetkarmānusārataḥ // 13 //	tAvat-janyAna-dAnam ca Bavet-karma-anusArataH // 13 //
   tatra niṣedhārthaśrutiḥ-	tatra nizeDa-arTa-SrutiH-
   na karmaṇā na prajayā dhanena	na karmaNA na prajayA Danena
   tyāgenaike amṛtatvamānaśuḥ /	tyAgena-eke amRta-tva-mAnaSuH /
   pareṇa nākaṃ nihitaṃ guhāyāṃ	pareNa nAkam nihitam guhAyAm
   vibhrājate yadyatayo viśanti //	viBrAjate yat-yatayaH viSanti //
   vedāntavijñānasuniścitārthāḥ saṃnyāsayogādyatayaḥ śuddhasattvāḥ iti śruteḥ	vedAnta-vijQAna-su-niScita-arTAH saMnyAsa-yogAt-yatayaH SudDa-sattvAH iti SruteH
   / ābrahmabhuvanāllokāt iti gītāsu /	/ Abrahma-BuvanAt-lokAt iti gItAsu /
   iṣṭādarśanadṛśyānāṃ virāmo yatra vā bhavet /	izwa-adarSana-dRSyAnAm virAmaH yatra vA Bavet /
   tasmādvilakṣaṇaṃ hyātmā hyaparokṣe bhavetsvayam // 1 //	tasmAt-vilakzaNam hi-AtmA hi-aparokze Bavet-svayam // 1 //
   yāvanna jñāyate ātmā kartṛlābhalavaṃ muniḥ /	yAvat-na jQAyate AtmA kartR-lABa-lavam muniH /
   tāvatsarvaṃ bhavedvyarthaṃ yathā vandhyā vibhūṣitā // 2 //	tAvat-sarvam Bavet-vyarTam yaTA vanDyA viBUzitAH // 2 //
   iti karmaparaḥ / parantu anarthakārī dehanāśakārī / tasmājjñānāya sādhayet	iti karma-paraH / parantu anarTa-kArI deha-nASa-kArI / tasmAt-jQAnAya sADayet-
   tatra cakram ādhāraṃ nāma deham // 1 // svādhiṣṭhānaṃ sāttvikamahaṅkāraḥ	tatra cakram ADAram nAma deham // 1 // svADizWAnam sAttvikam-ahaFkAraH
   // 2 // maṇipuraṃ buddhiḥ // 3 //	// 2 // maNi-puram budDiH // 3 //
   anāhataṃ sadācāraḥ // 4 // viśuddhaṃ guhabhaktiḥ // 5 // ājñācakre jñāne	anAhatam sat-AcAraH // 4 // viSudDam guha-BaktiH // 5 // AjQAcakre jQAne
   sāvadhānatā // 6 // sahasradalaṃ turyā // 7 // trikūṭaṃ guṇarahitam // 8	sAvaDAna-tA // 6 // sahasra-dalam turyA // 7 // trikUwam guNa-rahitam // 8
   // śrīhaṭhaṃ māyārahitam // 9 //	// SrI-haWam mAyA-rahitam // 9 //
   gohaṭhamavidyātiraskāraḥ // 10 // bhruvorgumphā kāmanāśūnyam // 11 //	gohaWam-avidyA-tiraskAraH // 10 // BruvoH-gumPA kAmanA-SUnyam // 11 //
   brahmarandhraṃ manolayaḥ // 12 // sūlabandhamindriyanigrahaḥ // 13 //	brahmaranDram manolayaH // 12 // sUla-banDam-indriya-nigrahaH // 13 //
   yānaṃ viṣayanirāsaḥ // 14 // jālandharaṃ svapararahitam // 15 // ṭālī	yAnam vizaya-nirAsaH // 14 // jAlanDaram sva-para-rahitam // 15 // wAlI
   padārthavārtāśūnyam // 16 // lolī yuktāhāraḥ // 17 // dhotī sarvajale	padArTa-vArtA-SUnyam // 16 // lolI yukta-AhAraH // 17 // DotI sarva-jale
   'pyaikyam // 18 // lambikā stutinindārahitam // 19 // khecarī avakāśe	api-Ekyam // 18 // lambikA stuti-nindA-rahitam // 19 // KecarI avakASe
   dṛṣṭiḥ // 20 // bhūcarī yugmamātramavalokanam // 21 // mahākāṣṭhā sarvaṃ	dRzwiH // 20 // BUcarI yugma-mAtram-avalokanam // 21 // mahAkAzWA sarvam
   brahmeti niścayaḥ // 22 // udgānamaniketam // 23 // lopanaṃ kāryātītam //	brahma-iti niScayaH // 22 // udgAnam-aniketam // 23 // lopanam kArya-atItam //
   24 // gāṭhanaṃ dehaduḥkhasahanam // 25 // avakāśama dehātītam // 26 //	24 // gAWanam deha-duHKa-sahanam // 25 // avakASama deha-atItam // 26 //
   iḍāpiṅgalayornāma // 27 // 28 // prapañcabuddhirahitam //	ixA-piFgalayoH-nAma // 27 // 28 // prapaQca-budDi-rahitam //
   evantu sādhayetprājño na tu dehaviḍambanam /	evantu sADayet-prAjQaH na tu deha-vixambanam /
   dehādvilakṣaṇaṃ ātmā vṛthā bhramanti mānavāḥ //	dehAt-vilakzaNam AtmA vRTA Bramanti mAnavAH //
        iti pātañjalahaṭhayogaḥ //	iti pAtaQjala-haWa-yogaH //
        atha sāṅkhyarājayogaḥ /	aTa sAFKya-rAja-yogaH /
   vinā sāṅkhyena pratyakṣaṃ na bhavedātmayoginām(?) /	vinA sAFKyena pratyakzam na Bavet-Atma-yogi-nAm(?) /
   dehaḥ kañcukavattyājyaḥ svasvaṃ khamiva rājate // 1 //	dehaH kaQcuka-vat-tyAjyaH sva-svam Kam-iva rAjate // 1 //
   yaṃ śaivāḥ samupāsate śiva iti brahmeti vedāntino	yam SEvAH samupAsate SivaH iti brahma-iti vedAntinaH-
   bauddhā buddha iti pramāṇapaṭavaḥ karteti naiyāyikāḥ /	bOdDA budDaH iti pramANa-pawavaH kartA-iti nEyAyikAH /
   arhannityatha jainaśāsanaratāḥ karmeti mīmāṃsakāḥ	arhan=-iti-aTa jEna-SAsana-ratAH karma-iti mImAMsakAH
   sarve ghūrṇiparāḥ prapañcavikalāḥ sāṃkhyātparaṃ nānyathā // 2 //	sarve GUrNi-parAH prapaQca-vikalAH sAMKyAt-param na-anyaTA // 2 //
   sāṃkhyaṃ yogaṃ samabhyasyet puruṣaṃ pañcaviṃśatiḥ /	sAMKyam yogam samaByasyet puruzam paQcaviMSatiH /
   iti śrutirvedavākyaṃ vedāntaiḥ sadbhirucyate // 3 //	iti SrutiH-veda-vAkyam vedAntEH sadBiH-ucyate // 3 //
   ākāśapūrakaṃ sāṃkhyaṃ yogaḥ samīrapūrakaḥ /	AkASa-pUrakam sAMKyam yogaH samIrapUrakaH /
   dehādvilakṣaṇaṃ ātmā tasmātsāṃkhyaṃ samabhyaset // 4 //	dehAt-vilakzaNam AtmA tasmAt-sAMKyam samaByaset // 4 //
   pralayaḥ sarvatadvācāmātmano vyatirekatā(?) /	pralayaH sarva-tad-vAcAm-AtmanaH vyatireka-tA(?) /
   sa sāṃkhyayogasaṃjñā ca itaraṃ bhrāmikaṃ matam // 5 //	sa sAMKya-yoga-saMjQA ca itaram BrAmikam matam // 5 //
   sarvādvilakṣaṇo hyātmā ekamanekarūpiṇam /	sarvAt-vilakzaNaH hi-AtmA ekam-aneka-rUpiNam /
   ekamevādvitīyaṃ brahma alaṃ tataḥ paraṃ bhavet (?) // 6 //     	ekam-eva-advitIyam brahma alam tatas param Bavet (?) // 6 //
        iti sāṃkhyayogaḥ /	iti sAMKya-yogaH /
        atha dehalakṣaṇam-	aTa deha-lakzaNam-
   bhogarogaṃ tathā malaṃ nidhanaṃ kṣetragāmitā /	Boga-rogam taTA malam niDanam kzetra-gAmitA /
   prārabdhamanuvarttante yathā tadvai viniścitam // 1 //	prArabDam-anuvarttante yaTA tat-vE viniScitam // 1 //
   pañcatanmātrabhūtāni pratyakṣamakhilaṃ jagat /	paQca-tanmAtra-BUtAni pratyakzam-aKilam jagat /
   prakṛtirguṇakarmāṇi varttante citprakāśataḥ // 2 //	prakRtiH-guNa-karmANi varttante cit-prakASataH // 2 //
   manotthāya yadā dehe tatkarma jīvasaṃjñakam /	manotTAya yadA dehe tat-karma jIva-saMjQakam /
   dehena manamutthāya tatkarma dehasaṃjñitam(?) // 3 //	dehena manam-utTAya tat-karma deha-saMjQitam-(?) // 3 //
   bhakṣyabhakṣakabhāvaṃ ca bhūtaṃ bhūteṣu yujyate /	Bakzya-Bakzaka-BAvam ca BUtam BUtezu yujyate /
   tadarthaṃ śṛṇu me vatsa pañcabhūtānyanukramāt // 4 //	tad-arTam SRNu me vatsa paQcaBUtAni-anukramAt // 4 //
   āpaḥ pṛthivī bhakṣyaṃ ca vāyuragniśca bhakṣakaḥ /	ApaH pRTivI Bakzyam ca vAyuH-agniH-ca BakzakaH /
   tatrākāśamāvapanaṃ sattā cinmātrasaṃjñitā // 5 //	tatra-AkASam-Avapanam sattA cit-mAtra-saMjQitAH // 5 //
   kṣutpipāsāvisargaṃ ca dehe karmāṇi kevalam /	kzuD-pipAsA-visargam ca dehe karmANi kevalam /
   anyatkāryāṇi karmāṇi vedasaṃjñā vidhīyate // 6 //	anyat-kAryANi karmANi veda-saMjQA viDIyate // 6 //
   dhairyaṃ samarasaścaiva sarvabhakṣasya nispṛhaḥ /	DEryam samarasaH-ca-eva sarva-Bakzasya nispRhaH /
   akhaṇḍapañcabhūtāni lakṣaṇairdeha ucyate // 7 //	aKaNxa-paQcaBUtAni lakzaNEH-dehaH ucyate // 7 //
   tatrāhamantaḥkaraṇaṃ bhoktā, bhoktā nāma sākṣitvam indriyāṇāṃ	tatra-aham-antaHkaraNam BoktA, BoktA nAma sAkzi-tvam indriyANAm
   bhogasādhanatā nāma rasaparīkṣā pañcabhūtānāṃ bhogyaṃ nāma	BogasADana-tA nAma rasa-parIkzA paQcaBUtAnAm Bogyam nAma
   sthūlakṛśādidravyaguṇāḥ / yathā bhavanti tathā / tatra pramāṇaṃ śrutiḥ-	sTUla-kRSa-Adi-dravya-guNAH / yaTA Bavanti taTA / tatra pramANam SrutiH-
   tābhyaḥ puruṣamānayattā abruvanpuruṣaṃ stuteti puruṣo vā vasu kṛtaṃ	tAByaH puruza-mAnayat-tA abruvan-puruzam stutA-iti puruzaH vA vasu kRtam
   yathāyatanaṃ praviśāmi kṣutpipāse bhavateti śruteḥ mātābālakanyāyena tatra	yaTA-Ayatanam praviSAmi kzuD-pipAse BavatA-iti SruteH mAtA-bAlaka-nyAyena tatra
   gītāsu	gItAsu
   idaṃ śarīraṃ kaunteya kṣetramityabhidhīyate /	idam SarIram kOnteya kzetram-iti-aBiDIyate /
   etadyo vetti tama prāhuḥ kṣetrajña iti tadvidaḥ // 8 //	etat-yaH vetti tama prAhuH kzetrajQaH iti tad-vidaH // 8 //
        iti sāṃkhyaparibhāṣā (1) //	iti sAMKya-pariBAzA (1) //
   (1) sāṃkhyaparibhāṣāgranthasya ekamevādarśapustakaṃ prāptamapi ca	(1) sAMKya-pariBAzA-granTasya ekam-eva-AdarSa-pustakam prAptam-api ca
   granthakṛtā granthaprārambhe-	granTa-kRtA granTa-prAramBe-
   vibhaktimatra yo paśyettasya jñānaṃ ca dūrataḥ /	viBaktim-atra yaH paSyet-tasya jQAnam ca dUratas /
   guruyuktyā prasādena granthagarbhāvalokanam //	guru-yuktyA prasAdena granTa-garBa-avalokanam //
   iti pratijñātatvādasya mudraṇe kārite bahuṣu sthaleṣu agatyā 'śuddhirasti	iti pratijQAta-tvAt-asya mudraNe kArite bahuzu sTalezu agatyA aSudDiH-asti
   kintu granthārtharakṣārthaṃ na tannirāse 'smābhirdṛṣṭipātaḥ kṛtaḥ /	kintu granTa-arTa-rakzA-arTam na tad-nirAse asmABiH-dRzwi-pAtaH kRtaH /
   grantho 'pi khaṇḍita ivābhāti /	granTaH api KaNxitaH iva-ABAti /
