   śrīmadarcaṭaviracitā	SrImat arcawa viracitA
       tad evaṃpūrvācāryān prati akṛtakasya sato 'bhāvāt sadakāraṇavan nityam	tat evaMpUrva AcAryAn prati akRtakasya sataH aBAvAt sat akAraNa vat nityam
   [VaiSū 4.1.1.] iti nityalakṣaṇavirahād eva na tannityatvam | yat tu [S.	[VESU 4.1.1.] iti nitya lakzaNa virahAt eva na tat nitya tvam | yat tu [S.
   140b.] sad utpattimat tad uktena nyāyenāvaśyaṃ nāśitayopagataṃ paraiḥ	140b.] sat utpattimat tat uktena nyAyena avaSyam nASitayA upagatam parEH
   kālāntarasthāyi na bhavatīti prati pāditam |	kAla antara sTAyi na Bavati iti prati pAditam |
   __________NOTES__________	__________NOTEH __________
   [551] p. 83.22	[551] p. 83.22
   [552] p. 83.1	[552] p. 83.1
   [553] p. 116.13	[553] p. 116.13
   [554]  nāṃ saṃgrahaḥ | tā     T.	[554]  nAm saMgrahaH | tA   T.
   [555] vināśahetor asthirasvabhāvatvāt vināśahetor asthiti     T.	[555] vinASa hetoH asTira svaBAva tvAt vinASa hetoH asTiti   T.
   [556] eva svahe     T.	[556] eva svahe   T.
   [557] kāryāṇi |	[557] kAryANi |
   [558] hetu  |	[558] hetu |
   [559] virodhinaḥ |	[559] viroDinaH |
   [560] kathaṃ naṣṭo nāma    Tb.	[560] kaTam nazwaH nAma   Tb.
   [ § 44. sāmānyena sattvakṣaṇikatvayos tādātmyavyāptipradarśanam |]	[ § 44. sAmAnyena sattva kzaNika tvayoH tAdAtmya vyApti pradarSanam |]
    yadā tu yat sat tat kṣaṇikam eveti sāmānyenocyate kṛtakākṛtakalakṣaṇaṃ	yadA tu yat sat tat kzaNikam eva iti sAmAnyena ucyate kRtaka akRtaka lakzaNam
   sato bhedam anapekṣya prauḍhavāditayā kṛtakasyāpi cāvaśyambhāvī vināśa iti	sataH Bedam anapekzya prOXa vAdi tayA kRtakasya api ca avaSyamBAvI vinASaH iti
   paropagamo [T. 308b.] nāpekṣyate, tadā vināśaṃ pratyanapekṣatvam eva	para upagamaH [T. 308b.] na apekzyate, tadA vinASam pratyanapekza tvam eva
   sarvasya na sidhyati | yeṣāṃ hi vināśo bhavaṃ(van) dṛṣṭo ghaṭādīnāṃ teṣām	sarvasya na siDyati | yezAm hi vinASaH BavaM(van) dRzwaH Gawa AdInAm tezAm
   eva taddhetvayogāt tatrānapekṣā yujyate |	eva tad hetu ayogAt tatra anapekzA yujyate |
   ye tu deśādivyavahitāḥ parvatādayo vā vināśam āviśanto na dṛṣṭāḥ teṣām	ye tu deSa Adi vyavahitAH parvata AdayaH vA vinASam AviSantaH na dRzwAH tezAm
   avaśyaṃ vināśitvopagamanibandhanābhāvād antye 'py ayaṃ vināśaṃ	avaSyam vinASi tvA upagama nibanDana aBAvAt antye api ayam vinASam
   pratyanapekṣa eva vinaśyann 'viśeṣād ādāv api tadbhāvaniyata iti vaktum	pratyanapekzaH eva vinaSyan aviSezAt AdO api tad BAva niyataH iti vaktum
   aśakyatvāt tatsvabhāvasāpekṣatvāt[561]| vināśaṃ pratyanapekṣatvāsiddher	aSakya tvAt tad svaBAva sApekza tva at[561]| vinASam pratyanapekza tvA sidDeH 
   akṛtakānāṃ cākāśādīnāṃ vināśisvabhāvasāpekṣāṇām ity anapekṣayā sato	akRtakAnAm ca AkASa AdInAm vinASi svaBAva sApekzANAm iti anapekzayA sataH 
   naśvarasvabhāvatā 'siddheḥ anvayavyatirekayos tannibandhanayor ayogam	naSvara svaBAva tA asidDeH anvaya vyatirekayoH tad nibanDanayoH ayogam
   utpaśyann arthakriyāvirodhalakṣaṇam eva tadā bādhakaṃ pramāṇaṃ	utpaSyan arTa kriyA viroDa lakzaNam eva tadA bADakam pramANam
   tādātmyaprasādhakam abhidhānīyam iti manyamānaḥ pūrvapakṣam utthāpayann	tAdAtmya prasADakam aBiDAnIyam iti manyamAnaH pUrva pakzam utTApayan= 
   āha    svabhāvato naśvaratve 'py uktena {p. 144.1} nyāyena	Aha   svaBAvataH naSvara tve api uktena {p. 144.1} nyAyena
   paridṛśyamānavināśānāṃ ghaṭādīnāṃ kaścid deśādivyavahitaḥ[562]parvatādir	paridRSyamAna vinASAnAm Gawa AdInAm kaScid deSa Adi vyavahitaH[562]parvata AdiH 
   vā 'nupalabdhavināśaḥ kṛtako 'pi sadrūpa ākāśādir vā 'kṛtakaḥ [S. 141a.]	vA anupalabDa vinASaH kRtakaH api sat rUpaH AkASa AdiH vA akRtakaH [S. 141a.]
   san na 'tatsvabhāvo 'pi avināśisvabhāvo 'pi syāt | apiśabdaḥ sambhāvanāyām	san na atad svaBAvaH api avinASi svaBAvaH api syAt | api SabdaH samBAvanAyAm
   | tasya[563]vināśisvabhāvasaṃsādhakapramāṇābhāvād āśaṅkyata etat | tataś	| tasya [563]vinASi svaBAva saMsADaka pramANa aBAvAt ASaFkyate etat | tatas 
   ca vināśisvabhāvasāpekṣatvāt tadanapekṣatvam asiddham iti	ca vinASi svaBAva sApekza tvAt tad anapekza tvam asidDam iti
   tadvaśāt[564]sādhyasya [T 309a.] kṣaṇikatvasya sattvasvabhāvatvāsiddheḥ	tad vaSAt[564]sADyasya [T 309a.] kzaNika tvasya sattva svaBAva tva asidDeH
   tannibandhanā nānvayavyatirekasiddhir iti | kiṃ punar atrāśaṅkānimittaṃ	tad nibanDanA na anvaya vyatireka sidDiH iti | kim punar atra ASaFkA nimittam
   yena kaścid atatsvabhāvo 'py āśaṅkyata ity āha    na hi sarvaḥsarvasya	yena kaScid atad svaBAvaH api ASaFkyate iti Aha   na hi sarvaHsarvasya
   svabhāvaḥ iti | vicitrasvabhāvā hi bhāvā dṛśyante    kecit[565]sapratighāḥ	svaBAvaH iti | vicitra svaBAvAH hi BAvAH dRSyante   kecit[ 565]sa pratiGAH
   kecid[566]apratighāḥ, tathā nīlānīlādisvabhāvāḥ, tathā kecid vināśinaḥ	kecid [566]a pratiGAH, taTA nIla AnIla Adi svaBAvAH, taTA kecid vinASinaH
   anye tv avināśisvabhāvāḥ śaṅkyanta iti pūrvapakṣāśaṅkā |	anye tu avinASi svaBAvAH SaFkyante iti pUrva pakza ASaFkA |
       na    `kaścid atatsvabhāvo 'pi syāt'    iti āśaṅkanīyam, tathābhāve hy	na   `kaScid atad svaBAvaH api syAt a   iti ASaFkanIyam, taTA aBAve hi 
   akṣaṇikatvaṃ tasya syāt | tasmiṃś ca saty avastutvaprasaṅgāt kuto	akzaNika tvam tasya syAt | tasmin ca sati avastu tva prasaFgAt kuto
   'tatsvabhāvatāśaṅkā? | kathaṃ punar akṣaṇikatve 'vastutvaprasaṅgaḥ? |	atad svaBAvatA SaFkA? | kaTam punar akzaNika tve avastu tva prasaFgaH? |
   yataḥ[567]sattvasya kṣaṇikatvasvabhāvatayā 'nvayavyatirekasiddhir ity ata	yatas [567] sattvasya kzaNika tva svaBAva tayA anvaya vyatireka sidDiH iti ata
   āha    śaktir hi ityādi |	Aha   SaktiH hi ityAdi |
   __________NOTES__________	__________NOTEH __________
   [561] anitya 	[561] anitya 
   [562] viprakṛṣṭaḥ    T.	[562] viprakRzwaH   T.
   [563] ākāśa 	[563] AkASa 
   [564] anapekṣatvavaśāt	[564] anapekza tva vaSAt 
   [565] ghaṭapaṭādayaḥ	[565] Gawa pawa AdayaH
   [566] vijñānādayaḥ	[566] vijQAna AdayaH
   [567] avastutvaprasaṅgatvāt	[567] avastu tva prasaFga tvAt 
   [ § 45. arthakriyākāritvam eva sattvaṃ, tac ca kṣaṇikānām eveti |]	[ § 45. arTa kriyA kAritvam eva sattvan, tat ca kzaNikAnAm eva iti |]
   evaṃ manyate    iha tāvad idam eva vicāraṇīyam [S. 141b.] kiṃ lakṣaṇam	evam manyate   iha tAvat idam eva vicAraNIyam [S. 141b.] kim lakzaNam
   etad bhāvānāṃ sattvaṃ yuktam iti | tatra na sattāyogalakṣaṇam avyāpteḥ,	etat BAvAnAm sattvam yuktam iti | tatra na sattA yoga lakzaNam avyApteH,
   sāmānyādiṣv abhāvāt | vandhyāsutādiṣv api bhāvād ativyāpter vā |	sAmAnya Adizu aBAvAt | vanDyA suta Adizu api BAvAt ati vyApteH vA |
   vandhyāsutādīnām asattvāt kathaṃ sattāyogaḥ? iti cet | na |	vanDyA suta AdInAm asattvAt kaTam sattA yogaH? iti ced | na |
   itaretarāśrayāt | yatas teṣām asattvaṃ sattāyogavirahād eva [T. 309b.]	itaretara ASrayAt | yatas tezAm asattvam sattA yoga virahAt eva [T. 309b.]
   tadvirahaś cāsattvād iti | yadi ca satām eva sattāyogaḥ evaṃ tarhy anyat	tad virahaH ca asattvAt iti | yadi ca satAm eva sattA yogaH evam tarhi anyat 
   sattvalakṣaṇam abhidhānīyam sattāyogasya ca vaiyarthyam, tata eva vastunaḥ	sattva lakzaNam aBiDAnIyam sattA yogasya ca vEyarTyam, tatas eva vastunaH
   sattvāt | sarvārthakriyāsāmarthyavirahāt {p. 146.1} sattāyogābhāvas teṣām	sattvAt | sarva arTa kriyA sAmarTya virahAt {p. 146.1} sattA yoga aBAvaH tezAm
   iti cet | evaṃ sati yad evārthakriyāsāmarthyayuktaṃ tasyaiva sattāyoga ity	iti ced | evam sati yat eva arTa kriyA sAmarTya yuktam tasya eva sattA yogaH iti 
   arthakriyāsāmarthyam eva bhāvalakṣaṇamāyātam ity apārthakaḥ sattāyogaḥ |	arTa kriyA sAmarTyam eva BAva lakzaNam AyAtam iti apArTakaH sattA yogaH |
   itthaṃca evam | anyathā sāmānyādīnāṃ kathaṃ svarūpaṃ sattvaṃ syāt? |	itTaMcaH evam | anyaTA sAmAnya AdInAm kaTam svarUpam sattvam syAt? |
   arthakriyāsāmarthyaṃ tu sarveṣām astīti tad eva bhāvalakṣaṇam |	arTa kriyA sAmarTyam tu sarvezAm asti iti tat eva BAva lakzaNam |
       utpādavyayadhrauvyayuktaṃsat [Tattvārtha  5.29.] ity etad apy ayuktam,	utpAda vyaya DrOvya yuktaMsat [Tattva arTa 5.29.] iti etat api ayuktam,
   dhrauvyeṇotpādavyayayor virodhāt ekasmiṃ(smin) dharmiṇy ayogāt |	DrOvyeNa utpAda vyayayoH viroDAt ekasmin(smin) DarmiNI ayogAt |
   kathañcidutpādavyayau kathañcit dhrauvyam iti cet | yathotpādavyayau na	kaTaQcid utpAda vyayO kaTaQcid DrOvyam iti ced | yaTA utpAda vyayO na
   tathā dhrauvyam, yathā ca dhrauvyaṃ na tathotpādavyayāv iti naikaṃ vastu	taTA DrOvyam, yaTA ca DrOvyam na taTA utpAda vyayO iti na ekam vastu
   yathoktalakṣaṇaṃ [S. 142a.] syāt | tato 'nyasya bhāvalakṣaṇasyāyogāt	yaTA ukta lakzaNam [S. 142a.] syAt | tatas anyasya BAva lakzaNasya ayogAt 
   śakteś cāntaśaḥ svajñānajanane 'py upagamāt paraiḥ, anyathā	SakteH ca antaSas sva jQAna janane api upagamAt parEH, anyaTA
   ṣaṭpadārthādivyavasthānāyogāt saiva bhāvalakṣaṇam, sarvaśaktivirahaḥ	zawpadArTa Adi vyavasTAna ayogAt sA eva BAva lakzaNam, sarva Sakti virahaH
   punarbhāvalakṣaṇam |	punarBAva lakzaNam |
       sarvagrahaṇaṃ ca sarvasya vastuno vastvantaraśaktiviraharūpatvād	sarva grahaNam ca sarvasya vastunaH vastu antara Sakti viraha rUpa tvAt 
   abhāvatānirāsārtham | yasya tu na kvacicchaktiḥ sa evaikāntenābhāva ucyate	aBAvatA nirAsa arTam | yasya tu na kvacid SaktiH saH eva ekAntena aBAvaH ucyate
       śaktilakṣaṇam eva sattvam akṣaṇike syāt tataḥ kṣaṇikātmatā [T. 310a.]	Sakti lakzaNam eva sattvam akzaNike syAt tatas kzaNikA Atma tA [T. 310a.]
   sattvasya na sidhyatīti kuto 'nvayavyatirekau? iti cet, āha    na	sattvasya na siDyati iti kutas anvaya vyatirekO? iti cet, Aha   na
   caivākṣaṇikasya kvacit kārye 'ntaśo jñānalakṣaṇe 'pi śaktir asti tat kutas	ca eva akzaNikasya kvacid kArye antaSas jQAna lakzaNe api SaktiH asti tat kutas 
   tasya tallakṣaṇaṃ sattvam atītāder iva bhaviṣyati?, yataḥ sattvasya	tasya tad lakzaNam sattvam atIta AdeH iva Bavizyati?, yatas sattvasya
   kṣaṇikātmatā na sidhyet |	kzaNikA Atma tA na siDyet |
       nanu ca śakter atīndriyatvāt kāraṇānāṃ kāryārambhaniyamābhāvāc ca	nanu ca SakteH atIndriya tvAt kAraNAnAm kArya AramBa niyama aBAvAt ca
   kathaṃ tadviraho 'kṣaṇikasya bhavet yato 'sya	kaTam tat virahaH akzaNikasya Bavet yatas asya
   sarvaśaktivirahalakṣaṇenāsattvena virodhinā nirākriyamāṇaṃ sattvaṃ	sarva Sakti viraha lakzaNena asattvena viroDinA nirAkriyamANam sattvam
   kṣaṇikātmatām evānubhavet yato 'nvayavyatirekau syātām ity ata āha   	kzaNikA Atma tAm eva anuBavet yatas anvaya vyatirekO syAtAm iti atas Aha   
   kramayaugapadyābhyām ityādi | naiva pratyakṣataḥ [S. 142b.] kāryavirahād	krama yOgapadyAByAm ityAdi | na eva pratyakzataH [S. 142b.] kArya virahAt 
   vā sarvaśaktiviraho 'kṣaṇikatve ucyate, kintu tadvyāpakavirahāt | tathā hi	vA sarva Sakti virahaH akzaNika tve ucyate, kintu tad vyApaka virahAt | taTA hi
      kramayaugapadyābhyāṃ kāryakriyā vyāptā prakārāntarābhāvāt | tataḥ	  krama yOgapadyAByAm kArya kriyA vyAptA prakAra antara aBAvAt | tatas 
   kāryakriyāśaktivyāpakayos tayor akṣaṇikatve {p. 147.} virodhāt nivṛttes	kArya kriyA Sakti vyApakayoH tayoH akzaNika tve {p. 147.} viroDAt nivRtteH 
   tadvyāptāyāḥ kāryakriyāśakter api nivṛttir iti sarvaśaktivirahalakṣaṇam	tad vyAptAyAH kArya kriyA SakteH api nivRttiH iti sarva Sakti viraha lakzaNam
   asattvam akṣaṇikatve vyāpakānupalabdhir ākarṣati, viruddhayor ekatrāyogāt	asattvam akzaNika tve vyApaka anupalabDiH Akarzati, virudDayoH ekatra ayogAt 
   | tato nivṛttaṃ sattvaṃ kṣaṇikeṣv evāvatiṣṭhamānaṃ tadātmatām anubhavatīti	| tatas nivRttam sattvam kzaNikezu eva avatizWamAnam tad Atma tAm anuBavati iti
      `yat sat tat kṣaṇikam eva' ity anvayavyatirekarūpāyā vyāpteḥ siddhir	  `yat sat tat kzaNikam eva a iti anvaya vyatireka rUpAyAH vyApteH sidDiH 
   niścayo bhavati |	niScayaH Bavati |
       nanu ca prakārāntarābhāvāt kāryam aṅkurādikaṃ bījādinā	nanu ca prakAra antara aBAvAt kAryam aFkura Adikam bIja AdinA
   kramayaugapadyābhyām eva kriyata ity ucyate sa eva tu prakārāntaravirahaḥ	krama yOgapadyAByAm eva kriyate iti ucyate saH eva tu prakAra antara virahaH
   [T. 310b.] kāryātmanaḥ kutaḥ siddhaḥ? |	[T. 310b.] kArya AtmanaH kutas sidDaH? |
   prakārāntarasyopalabdhilakṣaṇaprāptatve katham atyantāsambhavaḥ? | kevalaṃ	prakAra antarasya upalabDi lakzaNa prApta tve kaTam atyanta asamBavaH? | kevalam
   deśādiniṣedhamātram eva syāt | ^1anupalabdhilakṣaṇaprāptatve nā	deSa Adi nizeDa mAtram eva syAt | ^1anupalabDi lakzaNa prApta tve nA
   'sattāniścayo viprakarṣiṇām[568]iti kutas tadabhāvasiddhiḥ? | tataḥ	asattA niScayaH viprakarziNAm[568]iti kutas tad aBAva sidDiH? | tatas 
   prakārāntareṇārthakriyāsambhavāt kramayaugapadyanivṛttāv api	prakAra antareNa arTa kriyA samBavAt krama yOgapadya nivRttO api
   nārthakriyāsāmartthyanivṛttir iti kuto 'kṣaṇikatve sati	na arTa kriyA sAma rtTya nivRttiH iti kutas akzaNika tve sati
   sarvasāmarthyavirahalakṣaṇam asattvam?, yataḥ sattvasya kṣaṇikātmatayā	sarva sAmarTya viraha lakzaNam asattvam?, yatas sattvasya kzaNikA Atma tayA
   'nvayavyatirekau syātām? | na | ubhayathā 'py adoṣāt | [S. 143a.] tathā hi	anvaya vyatirekO syAtAm? | na | uBayaTA api adozAt | [S. 143a.] taTA hi
      kramo nāma paripāṭiḥ kāryāntarāsāhityaṃ kaivalyam aṅkurādeḥ,	  kramaH nAma paripAwiH kArya antarAsAhityam kEvalyam aFkura AdeH,
   yaugapadyam api tasyāparair bbījādikāryaiḥ sāhityaṃ | prakārāntaraṃ	yOgapadyam api tasya aparEH bbIja Adi kAryEH sAhityam | prakAra antaram
   cāṅkurādeḥ tadubhayāvasthāvirahe 'py anyathābhavanam | tasya	ca aFkura AdeH tad uBaya avasTA virahe api anyaTA Bavanam | tasya
   cāṅkurādisvabhāvasyānyasahitasya kevalasya vā 'bhāve	ca aFkura Adi svaBAvasya anya sahitasya kevalasya vA aBAve
   pratyakṣabodhagamyamāne saty upalabdhilakṣaṇaprāpta eva svabhāvaḥ	pratyakza boDa gamyamAne sati upalabDi lakzaNa prAptaH eva svaBAvaH
   kramayaugapadyabhāvabahirbhūto nopalabhyate | vastunaḥ	krama yOgapadya BAva bahis BUtaH na upalaByate | vastunaH
   upalabhyasyānyasāhitye kaivalye cāpanīte	upalaByasya anya sAhitye kEvalye ca apanIte
   tadviviktadeśādipratibhāsinaḥ[569]pratyakṣasyodayāt svabhāvānupalambhata	tad vivikta deSa Adi pratiBAsinaH[569] pratyakzasya udayAt svaBAvAnupalamBata
   evābhāvaniścayādilakṣaṇavyavahāravṛtteḥ | tasya	eva aBAva niScaya Adi lakzaNa vyavahAra vRtteH | tasya
   cāṅkurādibhāvasyāvasthādvayabahirbhāvaniṣedhe kayościddeśakālayoḥ	ca aFkura Adi BAvasya avasTA dvaya bahis BAva nizeDe kayoH cit deSa kAlayoH
   deśāntarādau krameṇāṅkurādibhāvavatītarasmin vā bhāve 'pi na kācit kṣatiḥ	deSa antara AdO krameNa aFkura Adi BAvavatI tarasmin vA BAve api na kAcid kzatiH
   | tataḥ pratyakṣata eva [T. 311a.] prakārāntarābhāvasiddheḥ kathaṃ	| tatas pratyakzatas eva [T. 311a.] prakAra antara aBAva sidDeH kaTam
   kramayaugapadyābhyām arthakriyāśaktir avyāptā syāt? |śāstrakāras tu yathā	krama yOgapadyAByAm arTa kriyA SaktiH avyAptA syAt? |SAstra kAraH tu yaTA
   pratyakṣatā eva prakārāntarābhāvasiddhiḥ tathā svayam etena kramākramādayo	pratyakzatA eva prakAra antara aBAva sidDiH taTA svayam etena kramAkramAt ayaH 
   'pīti atidiśan vakṣyati |	api iti atidiSan vakzyati |
       {p. 148.1} anupalabdhilakṣaṇaprāptatve 'pi prakārāntarasya	{p. 148.1} anupalabDi lakzaNa prApta tve api prakAra antarasya
   kramayaugapadyayor anyo 'nyavya[S.143b.]vacchedarūpatvād evāśrayasi( d	krama yOgapadyayoH anyaH anya vya[S.1 43b.]vacCeda rUpa tvAt eva ASraya si( d
   evābhāvasi)ddhiḥ tathā hi    anyonyavyavacchedarūpāṇām	eva aBAva si)dDiH taTA hi   anyonya vyavacCeda rUpANAm
   ekaniṣedhenāparavidhānāt tasyā[570]'pratiṣedhe vidhipratiṣedhayor virodhād	eka nizeDena apara viDAnAt tasya a[570] apratizeDe viDi pratizeDayoH viroDAt 
   ubhayapratiṣedhātmanaḥ prakārāntarasya kutaḥ sambhavaḥ? | atra prayogaḥ   	uBaya pratizeDa AtmanaH prakAra antarasya kutas samBavaH? | atra prayogaH   
   yatra yatprakāravyavacchedena yaditaraprakāravyavasthānaṃ na tatra	yatra yat prakAra vyavacCedena yat itara prakAra vyavasTAnam na tatra
   prakārāntarasambhavaḥ, tad yathā   	prakAra antara samBavaH, tat yaTA   
   nīlaprakāravyavacchedenānīlaprakārāntaravyavasthāyāṃ pīte | asti ca	nIla prakAra vyavacCedena AnIla prakAra antara vyavasTAyAm pIte | asti ca
   kramayaugapadyayor anyataraprakāravyavacchedena	krama yOgapadyayoH anyatara prakAra vyavacCedena
   taditaraprakāravyavasthānam vyavacchidyamānaprakārāviṣayīkṛte sarvatra	tad itara prakAra vyavasTAnam vyavacCidyamAna prakAra avizayIkRte sarvatra
   kāryakāraṇarūpe[571]vastunīti viruddhopalabdhiḥ	kArya kAraNa rUpe[571]vastuni iti virudDa upalabDiH
   vyavacchidyamānaprakāretaravyavasthānaṃ ca, prakārāntarasambhavaś[572],	vyavacCidyamAna prakAra itara vyavasTAnam ca, prakAra antara samBavaS[572],
   [573] ca tato bahirbhāvalakṣaṇa ity anayos tattvā 'nyatvarūpayor	[573] ca tatas bahis BAva lakzaNaH iti anayoH tattvA anyatva rUpayoH 
   anyonyaparihārasthitalakṣaṇatvāt | na cātrāpi bādhakāntarāśaṅkayā	anyonya parihAra sTita lakzaNa tvAt | na ca atra api bADaka antara ASaFkayA
   'navasthānam āśaṅkanīyam, pūrvaprasiddhasya [T. 311b.] [S. 144a.]	anavasTAnam ASaFkanIyam, pUrva prasidDasya [T. 311b.] [S. 144a.]
   virodhasya smaraṇamātratvāt | viruddhopalabdhiṣu bahirddharmiṇi hetoḥ	viroDasya smaraNa mAtra tvAt | virudDa upalabDizu bahis dDarmiNi hetoH
   sadbhāvam upadarśya virodhasādhanam eva bādhakam, tac cehāsti | tato	sadBAvam upadarSya viroDa sADanam eva bADakam, tat ca iha asti | tatas 
   viruddhayor ekatrāsambhavāt pratiyogyabhāvaniścayaḥ śītoṣṇasparśayor iva	virudDayoH ekatra asamBavAt pratiyogi aBAva niScayaH SIta uzNa sparSayoH iva
   bhāvābhāvayor iva veti kuto 'navasthā? |	BAva aBAvayoH iva vA iti kutas anavasTA? |
       tatra na krameṇākṣaṇikaḥ kāryāṇi karoty aviśeṣād akārakāvasthāyām iva	tatra na krameNa akzaNikaH kAryANi karoti aviSezAt akAraka avasTAyAm iva
   | sahakāryapekṣā ca dvividhasyāpi sahakāritvasyāyogād anupanyasanīyā |	| sahakAri apekzA ca dviviDasya api sahakAri tvasya ayogAt anupanyasanIyAH |
   sarveṣāṃ caikakriyākāla eva kriyāprasakteḥ, tatkārakasya svabhāvasya	sarvezAm ca eka kriyA kAle eva kriyA prasakteH, tad kArakasya svaBAvasya
   tadaiva bhāvāt | nāpi yugapat, pratyakṣādivirodhāt[574]punas	tadA eva BAvAt | na api yugapat, pratyakza Adi viroDAt[574] punar 
   tatkriyāprasaṅgāc ca | kṛtatvān neti cet, na, sāmarthyānapāyāt | anyathā	tad kriyA prasaFgAt ca | kRta tvAt na iti cet, na, sAmarTyAn apAyAt | anyaTA
   prāg apy akārakarūpāviśeṣād kriyā syāt | kṛtasya karttum aśakyatvād iti	prAk api akAraka rUpA viSezAt kriyA syAt | kRtasya karttum aSakya tvAt iti
   cet | śaktāśaktatayā tarhy ekatraiva kārye bhedaprasaṅgaḥ	ced | Sakta aSakta tayA tarhi ekatra eva kArye Beda prasaFgaH
   śālikodravabījāder iva | nityaś ca yadā yugapat karoti tataḥ prāg api	SAli kodrava bIja AdeH iva | nityaH ca yadA yugapad karoti tatas prAk api
   bhāvāt tadaiva tatkriyāprasaṅgaḥ punas tato 'pi pūrvataram ity evaṃ [S.	BAvAt tadA eva tad kriyA prasaFgaH punar tatas api pUrvataram iti evam [S.
   144b.] na kadācid yugapat kriyā syāt | pūrvottarakālayoś caikadā yugapat	144b.] na kadAcid yugapad kriyA syAt | pUrva uttara kAlayoH ca ekadA yugapad 
   kāriṇo 'nyadā {p. 149.1} sarvārthakriyāsāmarthyavirahalakṣaṇam asattvaṃ	kAriNaH anyadA {p. 149.1} sarva arTa kriyA sAmarTya viraha lakzaNam asattvam
   syād iti kathaṃ na kṣaṇikatā? | kriyopagame vā kramapakṣa eva | tatra	syAt iti kaTam na kzaNikatA? | kriyA upagame vA krama pakzaH eva | tatra
   cokto doṣaḥ | evam akṣaṇikatve [T. 312a.] sati cakṣurādyāya 	ca uktaH dozaH | evam akzaNika tve [T. 312a.] sati cakzuH AdyAya 
   tanānāmasattvaprasaṅgāt[575]kṣaṇikatāyām eva sattvam iti yat sat tat	tanAnAm asattva prasaFga at[57 5]kzaNika tAyAm eva sattvam iti yat sat tat 
   kṣaṇikam eveti sato naśvarātmatāsiddheḥ anvayavyatirekarūpavyāptisiddhir	kzaNikam eva iti sataH naSvara Atma tA sidDeH anvaya vyatireka rUpa vyApti sidDiH 
   iti ||[576]	iti ||[576]
   {p. 150.1} [ 3. kāryahetunirūpaṇam |]	{p. 150.1} [ 3. kArya hetu nirUpaNam |]
   __________NOTES__________	__________NOTEH __________
   [568]  tvena sattāniścayo na, vi     T.	[568]  tvena sattA niScayaH na, vi   T.
   [569] prakārāntara  |	[569] prakAra antara |
   [570] vihitasya |	[570] vihitasya |
   [571]  ṇabhūte    T.	[571]  Na BUte   T.
   [572] vyavacchidyamānaprakāreṇetaravyavasthānāt |	[572] vyavacCidyamAna prakAreNa itara vyavasTAnAt |
   [573]  rāntarāsa     T.	[573]  rAnta rAsa   T.
   [574] pratyakṣavirodhāt    T.	[574] pratyakza viroDAt   T.
   [575]  dyāyattānāma     T.	[575]  dyAyattA nAma   T.
   [576] T. adds here brāhmaṇācataviracite vivaraṇe svabhāvahetvadhikāraḥ	[576] T. addH here brAhmaNa Acataviracite vivaraNe svaBAva hetu aDikAraH
   prathamaḥ |	praTamaH |
   [ § 1. kāryakāraṇabhāvavyavasthā |]	[ § 1. kArya kAraNa BAva vyavasTA |]
       tad evaṃ svabhāvahetau tādātmyasiddhinibandhanam	tat evam svaBAva hetO tAdAtmya sidDi nibanDanam
   anvayavyatirekaniścayaṃ pratipādya kāryahetau	anvaya vyatireka niScayam pratipAdya kArya hetO
   kāryakāraṇabhāvasiddhinimittatvāt tayos tasyāś ca	kArya kAraNa BAva sidDi nimitta tvAt tayoH tasyAH ca
   pratyakṣānupalambhanibandhanāyāḥ prāg eva darśitatvāt tadgatam aparam api	pratyakza anupalamBa nibanDanAyAH prAk eva darSita tvAt tad gatam aparam api
   pareṣāṃ bhrāntikāraṇam apanetuṃ tadviṣayaṃ darśayann āha    arthāntare	parezAm BrAnti kAraNam apanetum tad vizayam darSayan Aha   arTa antare
   hetor vyatirikte vastuni gamye kāryaṃhetuḥ | anarthāntare tu svabhāvo	hetoH vyatirikte vastuni gamye kAryaMhetuH | anarTa antare tu svaBAvaH 
   hetur ity uktam | kasmāt [S. 145a.] punar arthāntare kāryam eva hetur ity	hetuH iti uktam | kasmAt [S. 145a.] punar arTa antare kAryam eva hetuH iti 
   āha    avyabhicārāt iti kāryam eva hy arthāntaraṃ na vyabhicarati nānyat	Aha   avyaBicArAt iti kAryam eva hi arTa antaram na vyaBicarati na anyat 
   yathoktaṃ prāk tataḥ kāryam evārthāntare gamye hetur ucyate saṃyogavaśād	yaTA uktam prAk tatas kAryam eva arTa antare gamye hetuH ucyate saMyoga vaSAt 
   gamakatve |	gamaka tve |
       na ca kenacit ity[577]^7ādinā yaḥ[578]sarvathā	na ca kenacid iti [577]^7a AdinA yaH[578]sarvaTA
   gamyagamakabhāvaprasaṅgaācāryeṇoktaḥ parasya, tam ihāpi kāryahetau paraḥ	gamya gamaka BAva prasaFgaa AcAryeNa uktaH parasya, tam iha api kArya hetO paraH
   kadācit prasañjayed ity āśaṅkamāna āha    kāryakāraṇa  ityādi [T. 312b.]	kadAcid prasaQjayet iti ASaFkamAnaH Aha   kArya kAraNa ityAdi [T. 312b.]
   yadi hi kāryaṃ hetur ucyate tadā kāryakāraṇabhāvena kāraṇenāsya gamakatvam	yadi hi kAryam hetuH ucyate tadA kArya kAraNa BAvena kAraNena asya gamaka tvam
