   Vārāhagṛhyasūtra, 1	VArAha-gRhya-sUtra, 1
   ardhapañcamān māsān adhītya pañcārdhaṣaṣṭhān vā dīkṣaṇāyanaṃ	arDa-paQcamAn mAsAn aDItya paQcArDa-zazWAn vA dIkzaNa-ayanam
   vādhītyāthotsṛjanty etena dharmeṇa ṛtam avādiṣaṃ satyam avādiṣaṃ	vA-aDItyA-aTa-utsRjanti etena DarmeNa Rtam avAdizam satyam avAdizam
   brahmāvādiṣaṃ tan mām āvīt tadvaktāram āvīd āvīn mām āvīd vaktāram /	brahma-a=-Adizam tat mAm AvIt tad-vaktAram AvIt AvIt mAm AvIt vaktAram /
   vāṅ me manasi pratiṣṭhitā mano me vāci pratiṣṭhitam āvir āyur mayi dhehi /	vAc me manasi pratizWitAH manaH me vAci pratizWitam Avis AyuH mayi Dehi /
   vedasya vāṇī stha /	vedasya vANI sTa /
   pratiśvasantu chandāṃsy utsṛjāmahe 'dhyāyān // VGrs_8.7	pratiSvasantu CandAMsi utsRjAmahe aDyAyAn // VGrH-_8.7
   oṃ bhūr bhuvaḥ svar ity antam adhītya ko vo vimuñcatīti ca // VGrs_8.8	om BUH BuvaH svar iti antam aDItya kaH vaH vimuQcati-iti ca // VGrH-_8.8
   pakṣiṇīṃ rātrīṃ nādhīyīta /	pakziNIm rAtrIm na-aDIyIta /
   ubhayataḥ pakṣāṃ vā // VGrs_8.9	uBayatas pakzAm vA // VGrH-_8.9
   nāta ūrdhvamabhreṣu // VGrs_8.10	na-atas UrDvam-aBrezu // VGrH-_8.10
   ākālikavidyutstanayitnuvarṣaṃ varṣaṃ ca // VGrs_8.11	AkAlika-vidyut-stanayitnu-varzam varzam ca // VGrH-_8.11
   athopaniṣadarhāḥ /	aTa-upanizad-arhAH /
   brahmacārī sucaritī medhāvī karmakṛd dhanadaḥ priyaḥ vidyayā vā vidyām	brahmacArI su-caritI meDAvI karma-kRt DanadaH priyaH vidyayA vA vidyAm
   anvicchan // VGrs_8.12	anvicCan // VGrH-_8.12
   tāni tīrthāni brahmaṇaḥ // VGrs_8.13	tAni tIrTAni brahmaNaH // VGrH-_8.13
   Vārāhagṛhyasūtra, 9	VArAha-gRhya-sUtra, 9
   ṣoḍaśavarṣasya godānam /	zoxaSa-varzasya go-dAnam /
   agniṃ vādhyeṣyamāṇasya /	agnim vA-aDyezyamANasya /
   agnigodāno maitrāyaṇiḥ // VGrs_9.1	agni-godAnaH mEtrAyaNiH // VGrH-_9.1
   jaṭākaraṇenokto mantravidhiḥ // VGrs_9.2	jawA-karaNena-uktaH mantra-viDiH // VGrH-_9.2
   upastha upakakṣayoś cādhiko mantraprayogaḥ /	upasTe upakakzayoH ca-aDikaH mantra-prayogaH /
   yat kṣureṇa parcayatā supeśasā vaptar vapasi keśaśmaśrūn /	yat kzureNa parcayatA supeSasA vaptar vapasi keSa-SmaSrUn /
   śundha śiro mukhaṃ māsyāyuḥ pramoṣīḥ /	SunDa SiraH muKam mAsi-AyuH pramozIH /
   iti // VGrs_9.3	iti // VGrH-_9.3
   bhūmau keśān nikhanet // VGrs_9.4	BUmO keSAn niKanet // VGrH-_9.4
   ante gāṃ dadyāt // VGrs_9.5	ante gAm dadyAt // VGrH-_9.5
   vede guruṇānujñātaḥ snāyāt // VGrs_9.6	vede guruNA-anujQAtaH snAyAt // VGrH-_9.6
   chandasy arthān buddhvā snāsyan gāṃ kārayet // VGrs_9.7	Candasi arTAn budDvA snAsyan gAm kArayet // VGrH-_9.7
   ācāryamarhayet // VGrs_9.8	AcAryam-arhayet // VGrH-_9.8
   āpo hi ṣṭheti tisṛbhiḥ hiraṇyavarṇāḥ śucaya iti catasṛbhiḥ snātvāhate	ApaH hi zWA-iti tisRBiH hiraNya-varNAH SucayaH iti catasRBiH snAtvA-Ahate
   vāsasī paridadhīta vasvasi vasumantaṃ māṃ kuru sauvarcasāya vāṃ tejase	vAsasI paridaDIta vasu-asi vasumantam mAm kuru sOvarcasAya vAm tejase
   brahmavarcasāya paridadhānīti // VGrs_9.9	brahmavarcasAya paridaDAni-iti // VGrH-_9.9
   viśvajanasya chāyāsīti chattraṃ dhārayate // VGrs_9.10	viSva-janasya CAyA-asi-iti Cattram DArayate // VGrH-_9.10
   mālāmābadhnīte yām aśvinau dhārayetāṃ bṛhatīṃ puṣkarasrajam /	mAlAm-AbaDnIte yAm aSvinO DArayetAm bRhatIm puzkara-srajam /
   tāṃ viśvair devair anumatāṃ mālāmāropayāmi /	tAm viSvEH devEH anumatAm mAlAm-AropayAmi /
   iti // VGrs_9.11	iti // VGrH-_9.11
   tejo 'sīti hiraṇyaṃ bibhṛyāt // VGrs_9.12	tejaH asi-iti hiraNyam biBRyAt // VGrH-_9.12
   pratiṣṭhe stho devate mā mā saṃtāptam ityupānahau // VGrs_9.13	pratizWe sTaH devate mA mA saMtAptam iti-upAnahO // VGrH-_9.13
   viṣṭambho 'sīti dhārayedvaiṇavīṃ yaṣṭim // VGrs_9.14	vizwamBaH asi-iti DArayet-vENavIm yazwim // VGrH-_9.14
   sodakaṃ ca kamaṇḍalum // VGrs_9.15	sa-udakam ca kamaNxalum // VGrH-_9.15
   nityavratāny āhur ācāryāḥ // VGrs_9.16	nitya-vratAni AhuH AcAryAH // VGrH-_9.16
   dvivastro 'ta ūrdhvam /	dvi-vastraH atas UrDvam /
   śobhanaṃ vāso bhartavyamiti śrutiḥ // VGrs_9.17	SoBanam vAsaH Bartavyam-iti SrutiH // VGrH-_9.17
   āmantrya gurūn gurvadhīnāṃśca svān gṛhānvrajet // VGrs_9.18	Amantrya gurUn guru-aDInAn=-ca svAn gRhAn-vrajet // VGrH-_9.18
   pratiṣiddham aparayā dvārā niḥsaraṇaṃ malavadvāsasā saha sambhāṣā	pratizidDam aparayA dvArA niHsaraNam malavat-vAsasA saha samBAzA
   rajasvadvāsasā saha śayyā gor guror duruktavacanam asthāne śayanaṃ sthānaṃ	rajasvat-vAsasA saha SayyA goH guroH durukta-vacanam asTAne Sayanam sTAnam
   smayanaṃ yānaṃ gānaṃ smaraṇamiti /	smayanam yAnam gAnam smaraNam-iti /
   tāni varjayet // VGrs_9.19	tAni varjayet // VGrH-_9.19
   yājanaṃ vṛttiḥ /	yAjanam vRttiH /
   uñchaṃ śilamayācitapratigrahaḥ sādhubhyo vā yācitam /	uQCam Silam-ayAcita-pratigrahaH sADuByaH vA yAcitam /
   asaṃsidhyamānāyāṃ vā vaiśyavṛttiḥ // VGrs_9.20	asaMsiDyamAnAyAm vA vESya-vRttiH // VGrH-_9.20
   svādhyāyavirodhino 'rthān utsṛjet // VGrs_9.21	svADyAya-viroDinaH arTAn utsRjet // VGrH-_9.21
   Vārāhagṛhyasūtra, 10	VArAha-gRhya-sUtra, 10
   vinītakrodhaḥ saharṣaḥ saharṣīṃ bhāryāṃ vindetānanyapūrvāṃ yavīyasīm //	vinIta-kroDaH sa-harzaH saharzIm BAryAm vindeta-ananya-pUrvAm yavIyasIm //
   VGrs_10.1	VGrH-_10.1
   asamānapravarair vivāhaḥ /	asamAna-pravarEH vivAhaH /
   ūrdhvaṃ saptamāt pitṛbandhubhyaḥ pañcamān mātṛbandhubhyo bījinaśca //	UrDvam saptamAt pitR-banDuByaH paQcamAn mAtR-banDuByaH bIjinaH-ca //
   VGrs_10.2	VGrH-_10.2
   kṛttikāsvātipūrvair iti varayet // VGrs_10.3	kRttikA-svAti-pUrvEH iti varayet // VGrH-_10.3
   mṛgaśiraḥśraviṣṭhottarāṇīty upayamet // VGrs_10.4	mRgaSiraH-SravizWA-uttarANi-iti upayamet // VGrH-_10.4
   pañca vivāhakārakāṇi bhavanti vittaṃ rūpaṃ vidyā prajñā bāndhavamiti //	paQca vivAha-kArakANi Bavanti vittam rUpam vidyA prajQA bAnDavam-iti //
   VGrs_10.5	VGrH-_10.5
   ekālābhe vittaṃ visṛjet /	eka-alABe vittam visRjet /
   dvitīyālābhe rūpam /	dvitIya-alABe rUpam /
   tṛtīyālābhe vidyām /	tRtIya-alABe vidyAm /
   prajñāyāṃ tu bāndhave ca vivadante // VGrs_10.6	prajQAyAm tu bAnDave ca vivadante // VGrH-_10.6
   anṛkṣarā ṛjavaḥ santu panthā yebhiḥ sakhāyo yantu no vareyam /	anRkzarAH RjavaH santu panTAH yeBiH saKAyaH yantu naH vareyam /
   samaryamā saṃ bhago no 'nunīyāt saṃ jāspatyaṃ suyamamastu devāḥ /	samaryamA sam BagaH naH anunIyAt sam jAspatyam suyamam-astu devAH /
   iti varakān vrajato 'numantrayate // VGrs_10.7	iti varakAn vrajataH anumantrayate // VGrH-_10.7
   bandhumatīṃ kanyām aspṛṣṭamaithunām upayacchetānagnikāṃ śreṣṭhām //	banDumatIm kanyAm aspRzwa-mETunAm upayacCeta-anagnikAm SrezWAm //
   VGrs_10.8	VGrH-_10.8
   vijñānamasyai kuryāt /	vijQAnam-asyE kuryAt /
   caturo loṣṭān āharet sītāloṣṭaṃ vediloṣṭaṃ gomayaloṣṭaṃ śmaśānaloṣṭaṃ ca	caturaH lozwAn Aharet sItA-lozwam vedi-lozwam gomaya-lozwam SmaSAna-lozwam ca
   // VGrs_10.9	// VGrH-_10.9
   teṣāmekaṃ gṛhṇīṣveti brūyāt /	tezAm-ekam gRhNIzva-iti brUyAt /
   śmaśānaloṣṭaṃ ced gṛhṇīyān nopayaccheta // VGrs_10.10	SmaSAna-lozwam ced gRhNIyAt na-upayacCeta // VGrH-_10.10
   asaṃspṛṣṭāṃ dharmeṇopayaccheta brāhmeṇa śaulkena vā // VGrs_10.11	asaMspRzwAm DarmeNa-upayacCeta brAhmeNa SOlkena vA // VGrH-_10.11
   śatamitirathaṃ dadyād gomithunaṃ vā // VGrs_10.12	Sata-miti-raTam dadyAt go-miTunam vA // VGrH-_10.12
   ubhayāṃs tejanīṣv āsej janyān kaumārikāṃś ca /	uBayAn tejanIzu Aset janyAn kOmArikAn ca /
   pūrve janyāḥ syur apare kaumārikāḥ // VGrs_10.13	pUrve janyAH syuH apare kOmArikAH // VGrH-_10.13
   caturo gomayapiṇḍān kṛtvā dvāv anyebhyas tathānyebhya iti prayacchet //	caturaH gomaya-piNxAn kRtvA dvO anyeByaH taTA-anyeByaH iti prayacCet //
   VGrs_10.14	VGrH-_10.14
   dhanaṃ na iti brūyuḥ /	Danam naH iti brUyuH /
   putrapaśavo na iti janyāḥ // VGrs_10.15	putra-paSavaH naH iti janyAH // VGrH-_10.15
   dadāni /	dadAni /
   pratigṛhṇānīti trir brahmadeyām // VGrs_10.16	pratigRhNAni-iti tris brahma-deyAm // VGrH-_10.16
   kṛtenāṃsena visaṃkaseyuḥ // VGrs_10.17	kRtena-aMsena visaMkaseyuH // VGrH-_10.17
   trir ānandaṃ māgadho hvayet // VGrs_10.18	tris Anandam mAgaDaH hvayet // VGrH-_10.18
   Vārāhagṛhyasūtra, 11	VArAha-gRhya-sUtra, 11
   ṣaḍarghyārhā bhavanti ṛtvigācāryo vivāhyo rājā snātakaḥ priyaśceti //	zaz-arGya-arhAH Bavanti Rtvij-AcAryaH vivAhyaH rAjA snAtakaH priyaH-ca-iti //
   VGrs_11.1	VGrH-_11.1
   aprākaraṇikānnā parisaṃvatsarād arhayanti /	aprAkaraNika-annA parisaMvatsarAt arhayanti /
   anyatra yājyāt karmaṇo vivāhāc ca // VGrs_11.2	anyatra yAjyAt karmaNaH vivAhAt ca // VGrH-_11.2
   na jīvapitṛko 'rghyaṃ pratigṛhṇīyāt // VGrs_11.3	na jIvapitRkaH arGyam pratigRhNIyAt // VGrH-_11.3
   athainam arhayanti // VGrs_11.4	aTa-enam arhayanti // VGrH-_11.4
   kāṃsye camase vā dadhani madhvāsicya varṣīyasāpidhāya virājo doho 'si	kAMsye camase vA daDani maDu-Asicya varzIyasA-apiDAya virAjaH dohaH asi
   virājo doho 'si virājo doham aśīya mayi dohaḥ padyāyai virāja iti	virAjaH dohaH asi virAjaH doham aSIya mayi dohaH padyAyE virAjaH iti
   madhuparkarmāhiyamāṇaṃ pratīkṣate // VGrs_11.5	maDu-parkarma-ahiyamANam pratIkzate // VGrH-_11.5
   sāvitreṇa viṣṭarau pratigṛhya rāṣṭrabhṛd asīty āsaṃdyām udagagram āstṛṇāti	sAvitreNa vizwarO pratigRhya rAzwraBRt asi-iti AsaMdyAm udagagram AstRNAti
   // VGrs_11.6	// VGrH-_11.6
   ahaṃ varṣma sadṛśānām udyatānām iva sūryaḥ /	aham varzma sadRSAnAm udyatAnAm iva sUryaH /
   idam ahaṃ tam adharaṃ karomi yo mā kaścābhidāsati /	idam aham tam aDaram karomi yaH mA kaH-ca-aBidAsati /
   ity ekasminn upaviśati // VGrs_11.7	iti ekasmin upaviSati // VGrH-_11.7
   mā tvadyoṣam ity anyataram adhastāt pādayor upakarṣati // VGrs_11.8	mA tvad-yozam iti anyataram aDastAt pAdayoH upakarzati // VGrH-_11.8
   viṣṭara āsīnāyaikaikaṃ triḥ prāha // VGrs_11.9	vizwaraH AsInAya-ekEkam tris prAha // VGrH-_11.9
   naiva bho ityāha /	na-eva Bo iti-Aha /
   na mā riṣāmeti // VGrs_11.10	na mA rizAma-iti // VGrH-_11.10
   ācamanīyāḥ prathamāḥ pratipadyante // VGrs_11.11	AcamanIyAH praTamAH pratipadyante // VGrH-_11.11
   amṛtopastaraṇam asīty ācāmati // VGrs_11.12	amRta-upastaraNam asi-iti AcAmati // VGrH-_11.12
   padyena pādau prakṣālayati // VGrs_11.13	padyena pAdO prakzAlayati // VGrH-_11.13
   spṛśaty argham // VGrs_11.14	spRSati arGam // VGrH-_11.14
   tataḥ praṇayati // VGrs_11.15	tatas praNayati // VGrH-_11.15
   sāvitreṇobhayato viṣṭaraṃ madhuparkaṃ pratigṛhya adityās tvā pṛṣṭhe	sAvitreNa-uBayatas vizwaram maDuparkam pratigRhya adityAH tvA pRzWe
   sādayāmīti bhūmau pratiṣṭhāpyāvasāyya suparṇasya tvā garutmataś	sAdayAmi-iti BUmO pratizWApyAvasAyya suparNasya tvA garutmataH-
   cakṣuṣāvekṣa ityavekṣya namo rudrāya pātrasada iti prādeśena pratidiśaṃ	cakzuzA-avekzaH iti-avekzya namaH rudrAya pAtra-sadaH iti prAdeSena pratidiSam
   vyuddiśyāṅguṣṭhenopamadhyamayā ca madhu vātā ṛtāyata iti tisṛbhiḥ	vyuddiSya-aFguzWena-upamaDyamayA ca maDu vAtA RtAyate iti tisRBiH
   saṃsṛjati // VGrs_11.16	saMsRjati // VGrH-_11.16
   satyaṃ yaśaḥ śrīḥ śrayatāmiti triḥ prāśnāti bhūyiṣṭham // VGrs_11.17	satyam yaSaH SrIH SrayatAm-iti tris prASnAti BUyizWam // VGrH-_11.17
   suhṛde 'vaśiṣṭaṃ prayacchati // VGrs_11.18	suhRde avaSizwam prayacCati // VGrH-_11.18
   amṛtapidhānam asīty ācāmati // VGrs_11.19	amRta-piDAnam asi-iti AcAmati // VGrH-_11.19
   asiviṣṭarapāṇir gāṃ prāha // VGrs_11.20	asi-vizwara-pANiH gAm prAha // VGrH-_11.20
   hato me pāpmā pāpmānaṃ me hata /	hataH me pApmA pApmAnam me hata /
   yāṃ tvā devā vasavo 'nvajīviṣur ādityānāṃ svasāraṃ rudramātaram /	yAm tvA devAH vasavaH anvajIvizuH AdityAnAm svasAram rudra-mAtaram /
   daivīṃ gāmaditiṃ janānām ārabhantām arhatām arhaṇāya /	dEvIm gAm-aditim janAnAm AraBantAm arhatAm arhaNAya /
   oṃ kuruteti sampreṣyati // VGrs_11.21	om kuruta-iti samprezyati // VGrH-_11.21
   catur avarān brāhmaṇān nānāgotrān ityekaikaṃ paśvaṅgaṃ pāyasaṃ vā bhojayet	catuH avarAn brAhmaNAn nAnA-gotrAn iti-ekEkam paSu-aFgam pAyasam vA Bojayet-
   // VGrs_11.22	// VGrH-_11.22
   yadyutsṛjet mātā rudrāṇāṃ duhitā vasūnāṃ svasādityānām amṛtasya nābhiḥ /	yadi-utsRjet mAtA rudrANAm duhitA vasUnAm svasA-AdityAnAm amRtasya nABiH /
   pra nu vocaṃ cikituṣe janāya mā gāmanāgāmaditiṃ vadhiṣṭa // VGrs_11.23	pra nu vocam cikituze janAya mA gAm-anAgAma-ditim vaDizwaH // VGrH-_11.23
   om utsṛjata tṛṇānyat tūdakaṃ pibatu // VGrs_11.24	om utsRjata tRNa-anyat tu-udakam pibatu // VGrH-_11.24
   ityukte paśum ālabhante // VGrs_11.25	iti-ukte paSum AlaBante // VGrH-_11.25
   śaṃ no mitra iti pāṇī prakṣālya yathārtham // VGrs_11.26	Sam naH mitraH iti pANI prakzAlya yaTArTam // VGrH-_11.26
   Vārāhagṛhyasūtra, 12	VArAha-gRhya-sUtra, 12
   athālaṃkaraṇam alaṃkaraṇam asi sarvasmā alaṃ bhūyāsam // VGrs_12.1	aTa-alaMkaraNam alaMkaraNam asi sarvasmE alam BUyAsam // VGrH-_12.1
   prāṇāpānau me tarpayāmi samānavyānau me tarpayāmy udānarūpe me tarpayāmi	prANa-apAnO me tarpayAmi samAna-vyAnO me tarpayAmi udAna-rUpe me tarpayAmi
   cakṣuḥśrotre me tarpayāmi sucakṣā aham akṣibhyāṃ bhūyāsaṃ suvarcā mukhena	cakzuH-Srotre me tarpayAmi su-cakzAH aham akziByAm BUyAsam suvarcAH muKena
   suśrutkarṇābhyām iti gandhācchādane // VGrs_12.2	suSrutkarNAByAm iti ganDa-AcCAdane // VGrH-_12.2
   paridhāsye yaśo dhāsye dīrghāyutvāya jaradaṣṭir asmi /	pariDAsye yaSaH DAsye dIrGa-Ayu-tvAya jara-dazwiH asmi /
   śataṃ ca jīva śaradaḥ purūcīrvasūni cāyyo vibhajāya jīyām /	Satam ca jIva SaradaH purUcIH-vasUni cAyyaH viBajAya jIyAm /
   ityahataṃ vāsa ācchādyāgniṃ prajvālya vyāhṛtibhir vrīhiyavān hutvā	iti-ahatam vAsaH AcCAdya-agnim prajvAlya vyAhRtiBiH vrIhi-yavAn hutvA
   maṅgalāny āśāset // VGrs_12.3	maFgalAni ASAset // VGrH-_12.3
   Vārāhagṛhyasūtra, 13	VArAha-gRhya-sUtra, 13
   atha pravadane kanyāmupavasitāṃ snātāṃ saśiraskām ahatenācchinnadaśena	aTa pravadane kanyAm-upavasitAm snAtAm sa-SiraskAm ahatena-AcCinna-daSena
   vāsasā saṃvītāṃ saṃstīrṇasya purastād vihitāni vāditrāṇi vidhivadupakalpya	vAsasA saMvItAm saMstIrNasya purastAt vihitAni vAditrANi viDivat-upakalpya
   purastāt sviṣṭakṛto vāce pathyāyai pūṣṇe pṛthivyā agnaye senāyai dhenāyai	purastAt svizwakRtaH vAce paTyAyE pUzNe pRTivyAH agnaye senAyE DenAyE
   gāyatryai triṣṭubhe jagatyā anuṣṭubhe paṅktaye virāje rākāyai sinīvālyai	gAyatryE trizwuBe jagatyA anuzwuBe paFktaye virAje rAkAyE sinIvAlyE
   kuhvai tvaṣṭra āśāyai sampattyai bhūtyai nirṛtyā anumatyai parjanyāyāgnaye	kuhvE tvazwre ASAyE sampattyE BUtyE nirRtyAH anumatyE parjanyAya-agnaye
   sviṣṭakṛte ca juhuyāt // VGrs_13.1	svizwakRte ca juhuyAt // VGrH-_13.1
   ājyaśeṣeṇa pāṇī pralipya kanyāyā mukhaṃ saṃmārṣṭi priyāṃ karomi pataye	Ajya-SezeNa pANI pralipya kanyAyAH muKam saMmArzwi priyAm karomi pataye
   devarāṇāṃ śvaśurāya ca /	devarANAm SvaSurAya ca /
   rucyai tvāgniḥ saṃsṛjatu ruciṣyā pataye bhava /	rucyE tvA-agniH saMsRjatu rucizyA pataye Bava /
   saubhāgyena tvā saṃsṛjatv ilā devī ghṛtapadīndrāṇy agnāyyaśvinī rāṭ /	sOBAgyena tvA saMsRjatu ilA devI GRta-padI-indrANi agnAyI-aSvinI rAj /
   vāgilā dyaur arundhatī /	vAgilA dyOH arunDatI /
   iti ca // VGrs_13.2	iti ca // VGrH-_13.2
   sarvāṇi vāditrāṇy abhimantrayate yā caturdhā pravadaty agnau yā vāte yā	sarvANi vAditrANi aBimantrayate yA caturDA pravadati agnO yA vAte yA
   bṛhatyuta /	bRhatI-uta /
   paśūnāṃ yāṃ brāhmaṇe nyadadhuḥ śivā sā pravadatv iha /	paSUnAm yAm brAhmaNe nyadaDuH SivA sA pravadatu iha /
   iti // VGrs_13.3	iti // VGrH-_13.3
   sarvāṇi vāditrāṇy alaṃkṛtya kanyā pravādayate śubhaṃ vada dundubhe	sarvANi vAditrANi alaMkRtya kanyA pravAdayate SuBam vada dunduBe
   suprajāstvāya gomukha /	suprajAH-tvAya gomuKaH /
   prakrīḍantu kanyāḥ sumanasyamānāḥ sahendrāṇyā savayasaḥ sanīḍāḥ /	prakrIxantu kanyAH sumanasyamAnAH saha-indrANyA sa-vayasaH sa-nIxAH /
   prajāpatiryo vasati prajāsu prajās tanvate sumanasyamānāḥ /	prajApatiH-yaH vasati prajAsu prajAH tanvate sumanasyamAnAH /
   sa imāḥ prajā ramayatu prajātyai svayaṃ ca no ramatāṃ śaṃ dadhānaḥ /	saH imAH prajAH ramayatu prajAtyE svayam ca naH ramatAm Sam daDAnaH /
   iti // VGrs_13.4	iti // VGrH-_13.4
   pravadanti kārālikāni // VGrs_13.5	pravadanti kArAlikAni // VGrH-_13.5
   kanyām udakenābhiṣiñcet // VGrs_13.6	kanyAm udakena-aBiziQcet // VGrH-_13.6
   Vārāhagṛhyasūtra, 14	VArAha-gRhya-sUtra, 14
   khe rathasya khe 'nasaḥ khe yugasya śatakratoḥ /	Ke raTasya Ke anasaH Ke yugasya SatakratoH /
   abālām indrastriḥ pūrtty akṛṇot sūryavarcasaḥ /	abAlAm indraH-tris pUrtti akRNot sUrya-varcasaH /
   ityathāsyā ahataṃ vāsaḥ prayacchati // VGrs_14.1	iti-aTa-asyE ahatam vAsaH prayacCati // VGrH-_14.1
   athaināṃ darbhaśulvena saṃnahyati saṃ tvā nahyāmi payasā pṛthivyāḥ saṃ tvā	aTa-enAm darBa-Sulvena saMnahyati sam tvA nahyAmi payasA pRTivyAH sam tvA
   nahyāmy adbhiroṣadhībhiḥ /	na-hyAmi adBiH-ozaDIBiH /
   saṃ tvā nahyāmi prajayā dhanena saha saṃnaddhā sunuhi bhāgadheyam /	sam tvA nahyAmi prajayA Danena saha saMnadDA sunuhi BAgaDeyam /
   iti // VGrs_14.2	iti // VGrH-_14.2
   athaināṃ vāsaso 'ntaṃ grāhayitvābhyudānayati aghoracakṣur apatighny edhi /	aTa-enAm vAsasaH antam grAhayitvA-aByudAnayati aGora-cakzuH apatiGnI eDi /
   ehi śivā paśubhyaḥ sumanāḥ suvarcāḥ /	ehi SivA paSuByaH sumanAH suvarcAH /
   dīrghāyupatnī prajayā svarvid indrapraṇayīr upa no vastum ehi /	dIrGa-Ayu-patnI prajayA svarvid indra-praNayIH upa naH vastum ehi /
   iti // VGrs_14.3	iti // VGrH-_14.3
   samūhanollepanoddhananāvekṣaṇam ity agnikāle bhūmisaṃskārān sarvatra	samUhana-ullepana-udDanana-avekzaNam iti agni-kAle BUmi-saMskArAn sarvatra
   yathānimittam // VGrs_14.4	yaTA-nimittam // VGrH-_14.4
   paścādagneḥ kaṭe tejanyāṃ vā darbheṣv āsanam // VGrs_14.5	paScAt-agneH kawe tejanyAm vA darBezu Asanam // VGrH-_14.5
   śucau bhūmipradeśe śamīśamakaśyāmākānāṃ priyaṅgudūrvāgaurasarṣapāṇāṃ	SucO BUmi-pradeSe SamI-Samaka-SyAmAkAnAm priyaFgu-dUrvA-gOrasarzapANAm
   yathālābhagandhasakṣīraphalavadbhyo vanaspatibhyo haritparṇakuśayavādibhiś	yaTA-lABa-ganDa-sakzIra-PalavadByaH vanaspatiByaH harit-parNa-kuSayava-AdiBiH-
   cānnair yā oṣadhayaḥ /	ca-annEH yAH ozaDayaH /
   samanyā yantīty anuvākena śaṃ no devīriti ca sahiraṇyāpo 'bhimantrya	samanyAH yanti-iti anuvAkena Sam naH devIH-iti ca sa-hiraNya-apaH aBimantrya
   praṇītodakumbhaṃ praṇayet // VGrs_14.6	praNIta-uda-kumBam praNayet // VGrH-_14.6
   taṃ lājāhutīṣu hūyamānāsu bhrātā brahmacārī vodgṛhya dhārayed dakṣiṇataśca	tam lAja-AhutIzu hUyamAnAsu BrAtA brahmacArI vA-udgRhya DArayet dakziNatas-ca
   // VGrs_14.7	// VGrH-_14.7
   lājān saṃskṛtān śamīparṇamiśrān śūrpeṇa dakṣiṇato mātānyā vāvidhavā //	lAjAn saMskRtAn SamI-parNa-miSrAn SUrpeNa dakziNatas mAtA-anyA vA-aviDavA //
   VGrs_14.8	VGrH-_14.8
   ājyaṃ saṃskṛtya brahmāṇam āmantrya samidham ādhāyāghārāv āghāryājyabhāgau	Ajyam saMskRtya brahmANam Amantrya samiDam ADAya-AGArO AGArya-Ajya-BAgO
   hutvā // VGrs_14.9	hutvA // VGrH-_14.9
   atha juhoti /	aTa juhoti /
   agnaye janavide svāhā /	agnaye jana-vide svAhA /
   somāya janavide svāhā /	somAya jana-vide svAhA /
   gandharvāya janavide svāhā /	ganDarvAya jana-vide svAhA /
   somaḥ prathamo vivide gandharvo vivida uttaraḥ /	somaH praTamaH vivide ganDarvaH vivide uttaraH /
   tṛtīyo 'gniṣṭe patisturyo 'haṃ manuṣyajāḥ /	tRtIyaH agnizwe patiH-turyaH aham manuzya-jAH /
   svāhā /	svAhA /
   somo 'dadad gandharvāya gandharvo 'dadad agnaye /	somaH adadat ganDarvAya ganDarvaH adadat agnaye /
   rayiṃ ca putrāṃś cādād agnir mahyamatho imām /	rayim ca putrAn ca-AdAt agniH mahyam-aTo imAm /
   iti // VGrs_14.10	iti // VGrH-_14.10
   hiraṇyagarbha ityaṣṭābhiḥ pratyṛcam ājyāhutīr juhuyāt // VGrs_14.11	hiraNyagarBaH iti-azwABiH pratyRcam Ajya-AhutIH juhuyAt // VGrH-_14.11
   yena karmaṇertset tatra jayāñ juhuyāditi jayānāṃ śrutiḥ /	yena karmaNA-Irtset tatra jayAn juhuyAt-iti jayAnAm SrutiH /
   tvā yathoktam /	tvA yaToktam /
   ākūtyai tvā svāhā /	AkUtyE tvA svAhA /
   bhūtyai tvā svāhā /	BUtyE tvA svAhA /
   kāmāyai tvā svāhā /	kAmAyE tvA svAhA /
   rakṣāyai tvā svāhā /	rakzAyE tvA svAhA /
   samṛdhe tvā svāhā /	samRDe tvA svAhA /
   samṛddhyai tvā svāhā /	samRdDyE tvA svAhA /
   ṛcā stomam /	RcA stomam /
   prajāpataye /	prajApataye /
   bhūḥ svāhā /	BUH svAhA /
   ayāś cāgne 'sīti ca // VGrs_14.12	ayAH ca-agne asi-iti ca // VGrH-_14.12
   uttarato 'gner darbheṣu prācīṃ kanyām avasthāpya purastāt pratyaṅmukha	uttaratas agneH darBezu prAcIm kanyAm avasTApya purastAt pratyaFmuKa
   upayantā devasya te savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ	upayantAH devasya te savituH prasave aSvinoH bAhuByAm pUzNaH hastAByAm
   hastaṃ gṛhṇāmy aham asāv ity athāsyā upanayanavaddhastaṃ gṛhṇāti	hastam gRhNAmi aham asO iti aTa-asyAH upanayana-vat-hastam gRhNAti
   nīcāriktam ariktena /	nIca-Ariktam ariktena /
   gṛhṇāmi te saubhagatvāya hastaṃ mayā patyā jaradaṣṭir yathāsat /	gRhNAmi te sOBaga-tvAya hastam mayA patyA jara-dazwiH yaTAsat /
   bhago 'ryamā savitā puraṃdhir mahyaṃ tvādurgāharpatyāya devāḥ /	BagaH aryamA savitA puraMDiH mahyam tvA-durgA-harpatyAya devAH /
