   akartṛtvam abhoktṛtvaṃ Avg_18.51a	akartR-tvam aBoktR-tvam Avc-_18.51a
   na kiṃcid iti niścayī Avg_11.8b	na kiMcid iti niScayI Avc-_11.8b
   na kiṃcid iti niścayī Avg_15.17b	na kiMcid iti niScayI Avc-_15.17b
   na kiṃcid iti niścitam Avg_2.19b	na kiMcid iti niScitam Avk-_2.19b
   na kiṃcid iti niścitaḥ Avg_17.19b	na kiMcid iti niScitaH Avc-_17.19b
   na kiṃcid iva śāmyati Avg_11.8d	na kiMcid iva SAmyati Avc-_11.8d
   na kiṃcid iva śāmyati Avg_15.17d	na kiMcid iva SAmyati Avc-_15.17d
   na kiṃcid bhāvako 'paraḥ Avg_18.42b	na kiMcid BAvakaH aparaH Avc-_18.42b
   na kiṃcid vāsanā hṛdi Avg_18.89b	na kiMcid vAsanA hRdi Avc-_18.89b
   na kiṃcin na ca kiṃcana Avg_18.96d	na kiMcid na ca kiMcana Avc-_18.96d
   na ca jñānī na vā yogī Avg_16.10c	na ca jQAnI na vA yogI Avk-_16.10c
   na cintā muktaye mama Avg_14.3d	na cintA muktaye mama Avc-_14.3d
   na jagarti na nidrāti Avg_17.10a	na jagarti na nidrAti Avc-_17.10a
   na jahāti vimūḍhatām Avg_18.76b	na jahAti vimUXa-tAm Avc-_18.76b
   na jātu viṣayāḥ ke 'pi Avg_17.3a	na jAtu vizayAH ke api Avk-_17.3a
   na tāṃ paśyanti sūrayaḥ Avg_18.57b	na tAm paSyanti sUrayaH Avc-_18.57b
   na tu jānanti saṃmohād Avg_18.43c	na tu jAnanti saMmohAt Avk-_18.43c
   na tuṣyati na kupyati Avg_3.9d	na tuzyati na kupyati Avc-_3.9d
   na tu saspṛha-cittasya Avg_18.52c	na tu sa-spRha--cittasya Avc-_18.52c
   na te bandho 'sti mokṣo vā Avg_15.18c	na te banDaH asti mokzaH vA Avk-_15.18c
   na te bhinnam idaṃ jagat Avg_15.12b	na te Binnam idam jagat Avc-_15.12b
   na te vṛddhir na vā kṣatiḥ Avg_15.11d	na te vRdDiH na vA kzatiH Avc-_15.11d
   na te saṅgo 'sti kenāpi Avg_5.1a	na te saFgaH asti kena-api Avc-_5.1a
   na tyāgo na graho layaḥ Avg_6.1d	na tyAgaH na grahaH layaH Avc-_6.1d
   na tyāgo na graho layaḥ Avg_6.2d	na tyAgaH na grahaH layaH Avc-_6.2d
   na tyāgo na graho layaḥ Avg_6.3d	na tyAgaH na grahaH layaH Avc-_6.3d
   na tyāgo na graho layaḥ Avg_6.4d	na tyAgaH na grahaH layaH Avc-_6.4d
   na tvaṃ deho na te deho Avg_15.4a	na tvam dehaH na te dehaH Avk-_15.4a
   na tvaṃ viprādiko varṇo Avg_1.5a	na tvam vipra-AdikaH varNaH Avc-_1.5a
   na dadāti na gṛhṇāti Avg_17.13c	na dadAti na gRhNAti Avc-_17.13c
   na duṣṭam api nindati Avg_18.82b	na duzwam api nindati Avc-_18.82b
   na duḥkhāya na tuṣṭaye Avg_3.14d	na duHKAya na tuzwaye Avk-_3.14d
   na dūraṃ na ca saṅkocāl Avg_18.5a	na dUram na ca saFkocAt Avc-_18.5a
   na dveṣas tasya ca sthitau Avg_17.7b	na dvezaH tasya ca sTitO Avc-_17.7b
   na dvaitaṃ paśyato mama Avg_2.21b	na dvEtam paSyataH mama Avc-_2.21b
   na dhāvati janākīrṇaṃ Avg_18.100a	na DAvati jana-AkIrNam Avk-_18.100a
   na nindati na ca stauti Avg_17.13a	na nindati na ca stOti Avc-_17.13a
   na punar-bhava-sambhavaḥ Avg_1.18d	na punar--Bava--samBavaH Avc-_1.18d
   na pṛthvī na jalaṃ nāgnir Avg_1.3a	na pRTvI na jalam na-agniH Avc-_1.3a
   na prīyate vandyamāno Avg_18.99a	na prIyate vandyamAnaH Avc-_18.99a
   na bhayaṃ tasya kutracit Avg_4.6d	na Bayam tasya kutracid Avc-_4.6d
   na bhavaty adhivāsitaḥ Avg_17.4b	na Bavati aDivAsitaH Avc-_17.4b
   na bhaved api bāliśaḥ Avg_18.26b	na Bavet api bAliSaH Avc-_18.26b
   na manas te kadācana Avg_15.5b	na manaH te kadAcana Avc-_15.5b
   na mamāsty asahiṣṇutā Avg_7.1d	na mama-asti asahizNu-tA Avc-_7.1d
   na mayā śuddha-rūpiṇā Avg_18.25b	na mayA SudDa--rUpiNA Avc-_18.25b
   namaḥ śāntāya tejase Avg_18.1d	namaH SAntAya tejase Avc-_18.1d
   na māno nāvamānatā Avg_18.24d	na mAnaH na-avamAna-tA Avc-_18.24d
   na mukti-kārikāṃ dhatte Avg_18.47a	na mukti--kArikAm Datte Avk-_18.47a
   na mukto viṣaya-dveṣṭā Avg_17.17a	na muktaH vizaya-dvezwAH Avc-_17.17a
   na muñcati na gṛhṇāti Avg_8.2c	na muQcati na gRhNAti Avc-_8.2c
   na mumukṣur na cetaraḥ Avg_18.28b	na mumukzuH na ca-itaraH Avc-_18.28b
   na mumukṣur na vā mukto Avg_18.96c	na mumukzuH na vA muktaH Avc-_18.96c
   na mṛto na ca jīvati Avg_18.83d	na mRtaH na ca jIvati Avc-_18.83d
   na me bandho 'sti mokṣo vā Avg_2.18a	na me banDaH asti mokzaH vA Avk-_2.18a
   na me vṛddhir na ca kṣatiḥ Avg_7.2d	na me vRdDiH na ca kzatiH Avc-_7.2d
   na yāti vikṛtiṃ manāk Avg_18.55d	na yAti vikRtim manAk Avc-_18.55d
   na lepas tasya śuddhasya Avg_18.64c	na lepaH tasya SudDasya Avc-_18.64c
   na lepaṃ svasya paśyati Avg_18.18d	na lepam svasya paSyati Avc-_18.18d
   na vāñchati na śocati Avg_8.2b	na vAQCati na Socati Avc-_8.2b
   na vāñchati na śocati Avg_11.3d	na vAQCati na Socati Avc-_11.3d
   na vāyur dyaur na vā bhavān Avg_1.3b	na vAyuH dyOH na vA BavAn Avk-_1.3b
   na vā viṣaya-lolupaḥ Avg_17.17b	na vA vizaya-lolupaH Avc-_17.17b
   na vikṣepo na caikāgryaṃ Avg_18.10a	na vikzepaH na ca-EkAgryam Avc-_18.10a
   na virakto na rāgavān Avg_16.6d	na viraktaH na rAgavAn Avk-_16.6d
   na virakto na saṅgavān Avg_18.96b	na viraktaH na saFgavAn Avc-_18.96b
   na viśrāntam abhūn manaḥ Avg_10.7d	na viSrAntam aBUt manaH Avk-_10.7d
   na viṣeso 'sti yoginaḥ Avg_18.11d	na vizesaH asti yoginaH Avk-_18.11d
   na śāntaṃ stauti niṣkāmo Avg_18.82a	na SAntam stOti nizkAmaH Avc-_18.82a
   na śāntiṃ labhate mūḍho Avg_18.39a	na SAntim laBate mUXaH Avk-_18.39a
   na śṛṇoti na paśyati Avg_18.27d	na SRNoti na paSyati Avc-_18.27d
   na samādhiṃ na vikṣepaṃ Avg_18.18c	na samADim na vikzepam Avc-_18.18c
   na sukhaṃ na ca vā duḥkham Avg_18.10c	na suKam na ca vA duHKam Avk-_18.10c
   na sukhī na ca vā duḥkhī Avg_18.96a	na suKI na ca vA duHKI Avk-_18.96a
   na spṛhā na viraktir vā Avg_17.9c	na spRhA na viraktiH vA Avk-_17.9c
   na smaraty akṛtaṃ kṛtam Avg_11.6d	na smarati akRtam kRtam Avk-_11.6d
   na smaraty akṛtaṃ kṛtam Avg_18.98d	na smarati akRtam kRtam Avc-_18.98d
   na svargo naiva narako Avg_18.80a	na svargaH na-eva narakaH Avk-_18.80a
   na harṣam upagacchati Avg_4.2d	na harzam upagacCati Avc-_4.2d
   na harṣo na viṣāditā Avg_18.22b	na harzaH na vizAditA Avc-_18.22b
   na hi sarva-parityāgam Avg_18.2c	na hi sarva-parityAgam Avc-_18.2c
   na hi saṃsāra-vāhīkair Avg_4.1c	na hi saMsAra--vAhIkEH Avc-_4.1c
   na hiṃsā naiva kāruṇyaṃ Avg_17.16a	na hiMsA na-eva kAruNyam Avc-_17.16a
   na hṛṣyati na kupyati Avg_8.2d	na hRzyati na kupyati Avc-_8.2d
   na hṛṣyati na kupyati Avg_17.13b	na hRzyati na kupyati Avc-_17.13b
   na hy ākāśasya dhūmena Avg_4.3c	na hi AkASasya DUmena Avc-_4.3c
   nātibodho na mūḍhatā Avg_18.10b	na-ati-boDaH na mUXa-tA Avc-_18.10b
   nātirikto 'smy ahaṃ tataḥ Avg_2.8b	na-atiriktaH asmi aham tatas Avk-_2.8b
   nātmā bhāveṣu no bhāvas Avg_7.4a	na-AtmA BAvezu naH BAvaH Avc-_7.4a
   nātra mohaṃ kuruṣva bhoḥ Avg_15.8b	na-atra moham kuruzva BoH Avk-_15.8b
   nānā mataṃ maharṣīṣāṃ Avg_9.5a	nAnA matam mahA-RzIzAm Avc-_9.5a
   nānā-vicāra-suśrānto Avg_18.27a	nAnA--vicAra--su-SrAntaH Avc-_18.27a
   nānā-vidha-parāmarśa- Avg_19.1c	nAnA--viDa--parAmarSa Avc-_19.1c
   nānā-śāstrāṇy-anekaśaḥ Avg_16.1b	nAnA-SAstrANi--anekaSas Avk-_16.1b
   nānāścaryam idaṃ viśvaṃ Avg_11.8a	nAnA-AScaryam idam viSvam Avc-_11.8a
   nānyat tasyāsti bheṣajam Avg_2.16b	na-anyat tasya-asti Bezajam Avc-_2.16b
   nānyatheheti niścayī Avg_11.5b	na-anyaTA-iha-iti niScayI Avc-_11.5b
   nāpnoti karmaṇā mokṣaṃ Avg_18.36a	na-Apnoti karmaNA mokzam Avc-_18.36a
   nāpnoty avasaraṃ kartuṃ Avg_18.77c	na-Apnoti avasaram kartum Avc-_18.77c
   nāma-mātra-vijṛmbhitam Avg_18.69b	nAma--mAtra--vijRmBitam Avc-_18.69b
   nāraṇyam upaśānta-dhīḥ Avg_18.100b	na-araNyam upaSAnta-DIH Avc-_18.100b
   nālābhenānuśocati Avg_18.81b	na-alABena-anuSocati Avc-_18.81b
   nāśollāsau vihāyāsmād Avg_13.6c	nASa-ullAsO vihAya-asmAt Avc-_13.6c
   nāśo vāpi na kutracit Avg_18.23b	nASaH vA-api na kutracid Avc-_18.23b
   nāścaryaṃ naiva ca kṣobhaḥ Avg_17.16c	na-AScaryam na-eva ca kzoBaH Avk-_17.16c
   nāśramī nākṣa-gocaraḥ Avg_1.5b	na-ASramI na-akza--gocaraH Avc-_1.5b
   nāsaṃsārī ca kaścana Avg_15.16d	na-asaMsArI ca kaScanaH Avc-_15.16d
   nāsty abhāvaḥ sva-bhāvanāṃ Avg_18.4c	na-asti aBAvaH sva-BAvanAm Avc-_18.4c
   nāsya cintā mahātmanaḥ Avg_18.86b	na-asya cintA mahAtmanaH Avc-_18.86b
   nāham deho na me deho Avg_2.22a	na-aham dehaH na me dehaH Avk-_2.22a
   nāhaṃ karteti viśvāsā- Avg_1.8c	na-aham kartA-iti viSvAsA Avc-_1.8c
   nāhaṃ deho na me deho Avg_11.6a	na-aham dehaH na me dehaH Avk-_11.6a
   nityaṃ nirantaraṃ brahma Avg_1.20c	nityam nirantaram brahma Avk-_1.20c
   nityānitya-vivekinaḥ Avg_3.8b	nitya-anitya--vivekinaH Avc-_3.8b
   nidrito bodhita iva Avg_14.1c	nidritaH boDitaH iva Avc-_14.1c
   nindyamāno na kupyati Avg_18.99b	nindyamAnaH na kupyati Avc-_18.99b
   nimeṣonmeṣayor api Avg_16.4b	nimeza-unmezayoH api Avc-_16.4b
   nirapekṣaṃ tadā bhavet Avg_16.5d	nirapekzam tadA Bavet Avc-_16.5d
   nirapekṣaḥ sukhaṃ cara Avg_15.4d	nirapekzaH suKam caraH Avc-_15.4d
   nirapekṣo nirvikāro Avg_1.17a	nirapekzaH nirvikAraH Avk-_1.17a
   nirasta-kalpanā dhīrā Avg_18.53c	nirasta--kalpanA DIrAH Avk-_18.53c
   nirahaṅkāra-dhīreṇa Avg_18.29c	nirahaFkAra--DIreNa Avc-_18.29c
   nirākāraṃ tu niścalam Avg_1.18b	nirAkAram tu niScalam Avc-_1.18b
   nirātaṅkasya sarvadā Avg_18.78d	nirAtaFkasya sarvadA Avc-_18.78d
   nirādhārā grahavya-grā Avg_18.38a	nirADArAH graha-vya-grAH Avk-_18.38a
   nirālambaiva niṣkāmā Avg_18.44c	nirAlamba-eva nizkAmAH Avk-_18.44c
   nirāvaraṇa-dṛṣṭayaḥ Avg_18.6 d	nirAvaraNa--dRzwayaH Avc-_18.6 d
   nirāśaṃ gata-sandehaṃ Avg_18.30c	nirASam gata-sandeham Avc-_18.30c
   nirāśaḥ śobhate budhaḥ Avg_18.84d	nirASaH SoBate buDaH Avc-_18.84d
   nirāśena gatārtinā Avg_18.93b	nirASena gata-ArtinA Avc-_18.93b
   nirupādheḥ śivasya me Avg_20.13d	nirupADeH Sivasya me Avc-_20.13d
   nirodhaṃ kurute tv asau Avg_18.17b	niroDam kurute tu asO Avk-_18.17b
   nirodhādīni karmāṇi Avg_18.75a	niroDa-AdIni karmANi Avc-_18.75a
   nirodhaikāgrya-siddhaye Avg_18.45d	niroDa-EkAgrya--sidDaye Avc-_18.45d
   nirdvandvaś chinna-saṃśayaḥ Avg_18.87b	nirdvandvaH Cinna--saMSayaH Avc-_18.87b
   nirdvandvasya nirāśiṣaḥ Avg_3.14b	nirdvandvasya nirASizaH Avc-_3.14b
   nirdvandvo bālavad dhīmān Avg_16.8c	nirdvandvaH bAla-vat DImAn Avk-_16.8c
   nirdhyātuṃ ceṣṭituṃ vāpi Avg_18.31a	nirDyAtum cezwitum vA-api Avc-_18.31a
   nirdhyāyati viceṣṭate Avg_18.31d	nirDyAyati vicezwate Avc-_18.31d
   nirnimittam idaṃ kin tu Avg_18.31c	nirnimittam idam kin tu Avc-_18.31c
   nirbharaḥ śītalāśayaḥ Avg_1.17b	nirBaraH SItala-ASayaH Avc-_1.17b
   nirmamas tvaṃ sukhī bhava Avg_15.6d	nirmamaH tvam suKI BavaH Avc-_15.6d
   nirmamaḥ śobhate dhīraḥ Avg_18.88a	nirmamaH SoBate DIraH Avk-_18.88a
   nirmamo nirahaṅkāro Avg_18.73c	nirmamaH nirahaFkAraH Avc-_18.73c
   nirmamo nirahaṃkāro Avg_17.19a	nirmamaH nirahaMkAraH Avk-_17.19a
   nirvāsanaṃ hariṃ dṛṣṭvā Avg_18.46a	nirvAsanam harim dRzwvA Avc-_18.46a
   nirvāsanaḥ kiṃ kurute Avg_18.15c	nirvAsanaH kim kurute Avk-_18.15c
   nirvāsanaḥ sphūrti-mātro Avg_11.8c	nirvAsanaH sPUrti--mAtraH Avk-_11.8c
   nirvāsanaḥ sphūrti-mātro Avg_15.17c	nirvAsanaH sPUrti--mAtraH Avk-_15.17c
   nirvāsano nirālambaḥ Avg_18.21a	nirvAsanaH nirAlambaH Avk-_18.21a
   nirvikalpasya sarvadā Avg_18.66d	nirvikalpasya sarvadA Avc-_18.66d
   nirvikalpa-svabhāvasya Avg_18.11c	nirvikalpa--svaBAvasya Avc-_18.11c
   nirvikalpaṃ nirāyāsaṃ Avg_18.5c	nirvikalpam nirAyAsam Avc-_18.5c
   nirvikalpaḥ śuciḥ śāntaḥ Avg_11.7c	nirvikalpaH SuciH SAntaH Avk-_11.7c
   nirvikalpe sthitir mama Avg_2.17d	nirvikalpe sTitiH mama Avc-_2.17d
   nirvikalpo bahir-yatnād Avg_18.76c	nirvikalpaH bahis--yatnAt Avc-_18.76c
   nirvikalpo 'si bodhātmā Avg_15.5c	nirvikalpaH asi boDa-AtmA Avc-_15.5c
   nirvikārasya dhīrasya Avg_18.78c	nirvikArasya DIrasya Avc-_18.78c
   nirvikāraṃ nirañjanam Avg_18.5d	nirvikAram niraQjanam Avk-_18.5d
   nirvikāraḥ sukhaṃ cara Avg_15.5d	nirvikAraH suKam caraH Avc-_15.5d
   nirvikārā nirāmayāḥ Avg_18.57d	nirvikArAH nirAmayAH Avk-_18.57d
   nirvikāro gata-kleśaḥ Avg_11.1c	nirvikAraH gata-kleSaH Avc-_11.1c
   nirvicāradaśāspadam Avg_16.7d	nirvicAra-daSA-Aspadam Avc-_16.7d
   nirvimarśasya me sadā Avg_20.10d	nirvimarSasya me sadA Avc-_20.10d
   nirviśeṣasya sarvadā Avg_20.4d	nirviSezasya sarvadA Avc-_20.4d
   nirvṛttau dveṣa eva hi Avg_16.8b	nirvRttO dvezaH eva hi Avc-_16.8b
   nirveda-samatāyuktyā Avg_9.6c	nirveda--samatA-yuktyA Avc-_9.6c
   nirvyājārjava-bhūtasya Avg_18.92c	nirvyAja-Arjava--BUtasya Avc-_18.92c
   nivṛtti-phalabhāginī Avg_18.61d	nivRtti--Pala-BAginI Avc-_18.61d
   nivṛttir api mūḍhasya Avg_18.61a	nivRttiH api mUXasya Avc-_18.61a
   niścitya kalpitaṃ paśyan Avg_18.28c	niScitya kalpitam paSyan Avk-_18.28c
   niścintaḥ svaśarīre 'pi Avg_18.84c	niScintaH sva-SarIre api Avk-_18.84c
   niṣkāmaḥ kiṃ vijānāti Avg_18.8c	nizkAmaH kim vijAnAti Avc-_18.8c
   niṣkāmaḥ śobhate budhaḥ Avg_18.73d	nizkAmaH SoBate buDaH Avc-_18.73d
   niṣkāmo viṣayeṣu ca Avg_18.84b	nizkAmaH vizayezu ca Avc-_18.84b
   niṣkriyaṃ sphuraṇaṃ kva vā Avg_20.5b	nizkriyam sPuraNam kva vA Avc-_20.5b
   niṣprapañcaṃ nirāmayam Avg_18.35b	nizprapaQcam nirAmayam Avc-_18.35b
   niḥśaṅko yukta-mānasaḥ Avg_18.47b	niHSaFkaH yukta-mAnasaH Avc-_18.47b
   niḥsaṅkalpaḥ sukhī bhava Avg_15.15d	niHsaFkalpaH suKI BavaH Avc-_15.15d
   niḥsaṅgo niṣkriyo 'si tvaṃ Avg_1.15a	niHsaFgaH nizkriyaH asi tvam Avc-_1.15a
   niḥsnehaḥ putra-dārādau Avg_18.84a	niHsnehaH putra-dAra-AdO Avc-_18.84a
   niḥspṛhaṃ mānasaṃ yasya Avg_3.12a	niHspRham mAnasam yasya Avc-_3.12a
   niḥsvabhāvasya me sadā Avg_20.5d	niHsvaBAvasya me sadA Avc-_20.5d
   niḥsvabhāvasya yoginaḥ Avg_18.79d	niHsvaBAvasya yoginaH Avk-_18.79d
   nehānya iti niścayī Avg_11.2b	na-iha-anyaH iti niScayI Avc-_11.2b
   nainaṃ jānāti kaścana Avg_16.3b	na-enam jAnAti kaScanaH Avc-_16.3b
   nairāśye 'pi mahātmanaḥ Avg_3.12b	nErASye api mahAtmanaH Avc-_3.12b
   nairāśye bandha-mokṣe ca Avg_14.3c	nErASye banDa-mokze ca Avc-_14.3c
   naiva kiṃcit kṛtaṃ tena Avg_18.19c	na-eva kiMcid kRtam tena Avc-_18.19c
   naiva dhīrasya durgrahaḥ Avg_18.20b	na-eva DIrasya durgrahaH Avc-_18.20b
   naiva prārthayate lābhaṃ Avg_18.81a	na-eva prArTayate lABam Avc-_18.81a
   naivācāram-anācāram Avg_18.48c	na-eva-AcAram-anAcAram Avk-_18.48c
   naivodvijati maraṇe Avg_18.99c	na-eva-udvijati maraNe Avk-_18.99c
   nodvignaṃ na ca santuṣṭam Avg_18.30a	na-udvignam na ca santuzwam Avk-_18.30a
   nonmīlati na mīlati Avg_17.10b	na-unmIlati na mIlati Avc-_17.10b
   nauddhatyaṃ na ca dīnatā Avg_17.16b	na-OdDatyam na ca dIna-tA Avc-_17.16b
   paṭo yadvad vicāritaḥ Avg_2.5b	pawaH yadvat vicAritaH Avc-_2.5b
   patatūdetu vā deho Avg_18.86a	patatu-udetu vA dehaH Avk-_18.86a
   para-brahma-svarūpa-bhāk Avg_18.37d	para--brahma--svarUpa-BAj Avc-_18.37d
   paramātmani ceśvare Avg_14.3b	paramAtmani ca-ISvare Avc-_14.3b
   paramātmā vilokyate Avg_2.3d	paramAtmA vilokyate Avc-_2.3d
   paras tatra vimuhyati Avg_15.1d	paraH tatra vimuhyati Avc-_15.1d
   parigraheṣu vairāgyaṃ Avg_18.62a	parigrahezu vErAgyam Avk-_18.62a
   paritaḥ parameśvaraḥ Avg_1.19d	paritas parameSvaraH Avk-_1.19d
   parityajya mayādhunā Avg_2.3b	parityajya mayA-aDunA Avc-_2.3b
   palāyante na śaktās te Avg_18.46c	palAyante na SaktAH te Avc-_18.46c
   paśyañ chṛṇvan spṛśañ jighrann Avg_18.47c	paSyan SRNvan spRSan jiGran Avk-_18.47c
   paśyaty anya-śarīravat Avg_3.10b	paSyati anya--SarIra-vat Avc-_3.10b
   paśyanty ātmānam avyayam Avg_18.40d	paSyanti AtmAnam avyayam Avc-_18.40d
   paśyann api na paśyati Avg_18.15d	paSyan api na paSyati Avc-_18.15d
   paśyann api na paśyati Avg_18.90b	paSyan api na paSyati Avc-_18.90b
   paśyan vigata-kautukaḥ Avg_3.11b	paSyan vigata-kOtukaH Avc-_3.11b
   paśyan śṛṇvan spṛśan jighrann Avg_17.8c	paSyan SRNvan spRSan jiGran Avk-_17.8c
   paśyan śṛṇvan spṛśan jighrann Avg_17.12a	paSyan SRNvan spRSan jiGran Avk-_17.12a
   paśyan śṛṇvan spṛśan jighrann Avg_18.65c	paSyan SRNvan spRSan jiGran Avk-_18.65c
   paśya bhūta-vikārāṃs tvaṃ Avg_9.7a	paSya BUta--vikArAn tvam Avc-_9.7a
   pāṇḍitye 'pi na paṇḍitaḥ Avg_18.97d	pANxitye api na paNxitaH Avc-_18.97d
   pīḍyamāno 'pi sarvadā Avg_3.9b	pIxyamAnaH api sarvadA Avc-_3.9b
   puruṣārthe sthitaḥ sukham Avg_13.2d	puruza-arTe sTitaH suKam Avc-_13.2d
   pūrṇa-svarasa-vigrahaḥ Avg_18.67b	pUrNa--svarasa-vigrahaH Avc-_18.67b
   pūrṇaṃ brahmāṇḍa-maṇḍalam Avg_17.2d	pUrNam brahmANxa--maNxalam Avc-_17.2d
   prakāśo me nijaṃ rūpaṃ Avg_2.8a	prakASaH me nijam rUpam Avk-_2.8a
   prakṛtiṃ ca na paśyataḥ Avg_18.72b	prakRtim ca na paSyataH Avc-_18.72b
   prakṛtyā śūnya-cittasya Avg_18.24a	prakRtyA SUnya-cittasya Avc-_18.24a
   prakṛtyā śūnya-citto yaḥ Avg_14.1a	prakRtyA SUnya-cittaH yaH Avk-_14.1a
   prajvālyājñāna-gahanaṃ Avg_1.9c	prajvAlya-ajQAna--gahanam Avc-_1.9c
   pratyakṣam apy avastutvād Avg_5.3a	pratyakzam api avastu-tvAt Avc-_5.3a
   prapañco vīci-saṃnibhaḥ Avg_6.2b	prapaQcaH vIci--saMniBaH Avc-_6.2b
   pramādād bhāva-bhāvanaḥ Avg_14.1b	pramAdAt BAva--BAvanaH Avc-_14.1b
   praviśanti svabhāvataḥ Avg_2.25d	praviSanti svaBAvataH Avc-_2.25d
   pravṛttir api dhīrasya Avg_18.61c	pravRttiH api DIrasya Avc-_18.61c
   pravṛttir upajāyate Avg_18.61b	pravRttiH upajAyate Avc-_18.61b
   pravṛttau jāyate rāgo Avg_16.8a	pravRttO jAyate rAgaH Avc-_16.8a
   pravṛttau vā nirvṛttau vā Avg_18.20a	pravRttO vA nirvRttO vA Avk-_18.20a
   prākṛtasyeva dhīrasya Avg_18.24c	prAkRtasya-iva DIrasya Avc-_18.24c
   prājño bhavati nirvṛtaḥ Avg_18.34d	prAjQaH Bavati nirvRtaH Avc-_18.34d
   prāptāprāptam upāśnute Avg_17.17d	prApta-aprAptam upASnute Avc-_17.17d
   prāptāprāpta-vinirvṛtaḥ Avg_11.7d	prApta-aprApta--vinirvRtaH Avc-_11.7d
   prāpti-tuṣṭir muhur-muhuḥ Avg_10.4d	prApti-tuzwiH muhur--muhur Avc-_10.4d
   prāyo mūḍhasya dṛśyate Avg_18.62b	prAyas mUXasya dRSyate Avc-_18.62b
   prīty-abhāvena śabdāder Avg_12.2a	prIti--aBAvena Sabda-AdeH Avc-_12.2a
   prauḍha-vairāgyam āśritya Avg_10.3c	prOXa--vErAgyam ASritya Avc-_10.3c
   baddho baddhābhimāny api Avg_1.11b	badDaH badDa-aBimAnI api Avc-_1.11b
   bandha-mukto bhaviṣyasi Avg_1.4d	banDa-muktaH Bavizyasi Avc-_1.4d
   bandha-mokṣau bhayaṃ tathā Avg_2.20b	banDa-mokzO Bayam taTA Avc-_2.20b
   bandho vaiṣayiko rasaḥ Avg_15.2b	banDaH vEzayikaH rasaH Avc-_15.2b
   bahir antar yathā ghaṭe Avg_1.20b	bahis antar yaTA Gawe Avc-_1.20b
   bahiḥ sva-cchanda-cāriṇaḥ Avg_14.4b	bahis sva-cCanda--cAriNaH Avc-_14.4b
   bahunātra kim uktena Avg_18.68a	bahunA-atra kim uktena Avk-_18.68a
   bahunātra kim uktena Avg_18.80c	bahunA-atra kim uktena Avk-_18.80c
   bahunātra kim uktena Avg_20.14c	bahunA-atra kim uktena Avk-_20.14c
   bahyaṃ kvābhyantaraṃ kva vā Avg_19.6b	bahyam kva-aByantaram kva vA Avc-_19.6b
   buddhi-paryanta-saṃsāre Avg_18.73a	budDi-paryanta--saMsAre Avc-_18.73a
   buddhir muktasya sarvadā Avg_18.44d	budDiH muktasya sarvadA Avc-_18.44d
   buddhvā saṃyag idaṃ tattvam Avg_12.6c	budDvA saMyak idam tattvam Avk-_12.6c
   bubhukṣur iha saṃsāre Avg_17.5a	buBukzuH iha saMsAre Avk-_17.5a
   bubhutsopaśamaḥ gatāḥ Avg_9.2d	buButsA-upaSamaH gatAH Avc-_9.2d
   bodha-mātro 'ham ajñānād Avg_2.17a	boDa--mAtraH aham ajQAnAt Avc-_2.17a
   bodho 'ham iti niścayī Avg_11.6b	boDaH aham iti niScayI Avc-_11.6b
   bodho 'haṃ jñāna-khaḍgena Avg_1.14c	boDaH aham jQAna---Kaxgena Avc-_1.14c
   bodho 'haṃ prakṛteḥ paraḥ Avg_2.1b	boDaH aham prakRteH paraH Avk-_2.1b
   brahmādi-stamba-paryantaṃ Avg_2.11c	brahma-Adi-stamba--paryantam Avc-_2.11c
   brahmaivāste mahāśayaḥ Avg_18.28d	brahma-eva-Aste mahA-ASayaH Avc-_18.28d
   bruvann api na ca brūte Avg_18.90c	bruvan api na ca brUte Avc-_18.90c
   bhava cin-mātra-vāsanaḥ Avg_1.17d	Bava cin--mAtra-vAsanaH Avc-_1.17d
   bhava tyāga-paro 'vratī Avg_9.1d	Bava tyAga--paraH avratI Avc-_9.1d
   bhavāsaṃsakti-mātreṇa Avg_10.4c	Bava-asaMsakti--mAtreNa Avc-_10.4c
   bhaved galita-mānasaḥ Avg_17.20d	Bavet galita-mAnasaH Avc-_17.20d
   bhavo 'yaṃ bhāvanā-mātro Avg_18.4a	BavaH ayam BAvanA--mAtraH Avk-_18.4a
   bhāvanābhāvanā-saktā Avg_18.63a	BAvanA-BAvanA--saktAH Avc-_18.63a
   bhāvayanti ku-buddhayaḥ Avg_18.43b	BAvayanti ku-budDayaH Avc-_18.43b
   bhāvasya bhāvakaḥ kaścin Avg_18.42a	BAvasya BAvakaH kaScid Avc-_18.42a
   bhāvaṃ bāhyam athāntaraṃ Avg_1.13d	BAvam bAhyam aTa-antaram Avc-_1.13d
   bhāvā deha-stha-yoginaḥ Avg_13.4b	BAvAH deha--sTa--yoginaH Avc-_13.4b
   bhāvābhāva-vikāraś ca Avg_11.1a	BAva-aBAva--vikAraH ca Avc-_11.1a
   bhāvābhāva-vibhāvinām Avg_18.4d	BAva-aBAva--viBAvinAm Avc-_18.4d
   bhāvābhāva-vihīno yas Avg_18.19a	BAva-aBAva--vihInaH yaH Avc-_18.19a
   bhāvābhāvau ca kalpitau Avg_18.8b	BAva-aBAvO ca kalpitO Avc-_18.8b
   bhāveṣu galitā yasya Avg_18.91c	BAvezu galitA yasya Avc-_18.91c
   bhāveṣv ālokya bhūriśaḥ Avg_13.7b	BAvezu Alokya BUriSas Avc-_13.7b
