   akramānantacidrūpaḥ Ipk_1,7.1c	akrama-ananta-cit-rUpaH IpS-_1,7.1c
   bhedābhedavirodhataḥ Ipk_2,4.19b	Beda-aBeda-viroDataH IpS-_2,4.19b
   bhedinas tv avabhāsanam Ipk_1,6.2d	BedinaH tu avaBAsanam IpS-_1,6.2d
   bhede tv ekarase bhāte Ipk_3,1.8a	Bede tu eka-rase BAte IpS-_3,1.8a
   bhedo yad avabhāsyate Ipk_2,1.8d	BedaH yat avaBAsyate IpS-_2,1.8d
   bhogo duḥkhasukhātmakaḥ Ipk_4.3d	BogaH duHKa-suKa-AtmakaH IpS-_4.3d
   bhrāntitve cāvasāyasya Ipk_1,3.5a	BrAnti-tve ca-avasAyasya Ipk-_1,3.5a
   bhrānteś cārthasthitiḥ katham Ipk_1,3.4b	BrAnteH ca-arTa-sTitiH kaTam IpS-_1,3.4b
   madhyordhvagāmyudānākhyas Ipk_3,2.20a	maDya-UrDva-gAmi-udAna-AKyaH IpS-_3,2.20a
   mano 'nuvyavasāyi sat Ipk_2,2.3b	manaH anuvyavasAyi sat IpS-_2,2.3b
   manomātrapathe 'py akṣa- Ipk_3,2.16a	manaH-mAtra-paTe api akza Ipk-_3,2.16a
   manyate samavetaṃ sāpy Ipk_1,4.7c	manyate samavetam sA-api IpS-_1,4.7c
   mayā dṛṣṭam iti smṛteḥ Ipk_1,4.6d	mayA dRzwam iti smRteH IpS-_1,4.6d
   mayīḥ karmādikalpanāḥ Ipk_2,2.3d	mayIH karma-Adi-kalpanAH IpS-_2,2.3d
   mayo 'nekaḥ pumān mataḥ Ipk_4.3b	mayaH anekaH pumAn mataH IpS-_4.3b
   malo vidyeśvarāś ca te Ipk_3,2.9d	malaH vidyeSvarAH ca te IpS-_3,2.9d
   mahāgurubhir ucyate sma śivadṛṣṭiśāstre yathā Ipk_4.16b	mahA-guruBiH ucyate sma Siva-dRzwi-SAstre yaTA IpS-_4.16b
   maheśvaro yathā baddhaḥ Ipk_4.13c	maheSvaraH yaTA badDaH IpS-_4.13c
   mātā sa meyaḥ san kālā- Ipk_3,1.9c	mAtA sa meyaH san kAlA Ipk-_3,1.9c
   mātur arthakriyārthinaḥ Ipk_2,2.7b	mAtuH arTa-kriyA-arTinaH IpS-_2,2.7b
   mātur eva tadanyonyā- Ipk_3,1.1c	mAtuH eva tad-anyonyA Ipk-_3,1.1c
   mātur bhātasya no sakṛt Ipk_2,1.6d	mAtuH BAtasya no sakRt Ipk-_2,1.6d
   mātaikaḥ sa iti sthitam Ipk_1,8.10d	mAtA-ekaH saH iti sTitam IpS-_1,8.10d
   mātaiva kāraṇaṃ tena Ipk_2,4.7a	mAtA-eva kAraNam tena Ipk-_2,4.7a
   mātriṇi jñeyaśūnyatā Ipk_3,2.13d	mAtriNi jQeya-SUnyatA IpS-_3,2.13d
   mātreṇāthākhilātmanā Ipk_1,4.2d	mAtreNa-aTa-aKila-AtmanA IpS-_1,4.2d
   mātraivātadvyapohanāt Ipk_1,6.3b	mAtrA-eva-Atad-vyapohanAt IpS-_1,6.3b
   māyayā bhāsamānānāṃ Ipk_1,8.7c	mAyayA BAsamAnAnAm IpS-_1,8.7c
   māyākhyaṃ janmabhogadam Ipk_3,2.5b	mAyA-AKyam janma-Boga-dam IpS-_3,2.5b
   māyātṛtīye te eva Ipk_4.4c	mAyA-tRtIye te eva IpS-_4.4c
   māyāto bhediṣu kleśa- Ipk_3,2.3c	mAyAtaH Bedizu kleSa IpS-_3,2.3c
   māyāmalayutāyutam Ipk_3,2.15d	mAyA-mala-yuta-ayutam IpS-_3,2.15d
   māyāśaktir vijṛmbhate Ipk_3,1.8d	mAyA-SaktiH vijRmBate IpS-_3,1.8d
   māyāśaktyā vibhoḥ saiva Ipk_1,5.18a	mAyA-SaktyA viBoH sA-eva IpS-_1,5.18a
   māyāśakty eva sā vidyety Ipk_3,1.6c	mAyA-Sakti eva sA vidyA-iti IpS-_3,1.6c
   māyāśaktyaiva tat trayam Ipk_3,2.5d	mAyA-SaktyA-eva tat trayam IpS-_3,2.5d
   māyīyas tu vikalpitaḥ Ipk_3,2.8d	mAyIyaH tu vikalpitaH IpS-_3,2.8d
   mitaṃ guṇatayā sthitam Ipk_3,2.11d	mitam guNa-tayA sTitam IpS-_3,2.11d
   mitir vastuny abādhitā Ipk_2,3.2d	mitiH vastuni abADitAH Ipk-_2,3.2d
   mukhair ekapramātari Ipk_1,7.2b	muKEH eka-pramAtari IpS-_1,7.2b
   mukhyatvaṃ kartṛtāyāś ca Ipk_3,2.12a	muKya-tvam kartRtAyAH ca IpS-_3,2.12a
   mukhyaṃ saṃsārakāraṇam Ipk_3,2.10d	muKyam saMsAra-kAraNam IpS-_3,2.10d
   mūrtivaicitryato deśa- Ipk_2,1.5a	mUrti-vEcitryataH deSa Ipk-_2,1.5a
   meyaṃ sādhāraṇaṃ muktaḥ Ipk_4.13a	meyam sADAraNam muktaH IpS-_4.13a
   yato hi pūrvānubhava- Ipk_1,2.5a	yatas hi pUrva-anuBava Ipk-_1,2.5a
   yat kāryakaraṇātmakam Ipk_3,1.10b	yat kArya-karaNa-Atmakam IpS-_3,1.10b
   yathābhāsā vibhidyante Ipk_2,3.4c	yaTA-ABAsAH viBidyante IpS-_2,3.4c
   yathābhimatasaṃsthānā- Ipk_1,6.10c	yaTA-aBimata-saMsTAnA Ipk-_1,6.10c
   yathāruci yathārthitvaṃ Ipk_2,3.3a	yaTAruci yaTArTi-tvam Ipk-_2,3.3a
   yathāvastvavalokanāt Ipk_3,1.4d	yaTAvastu-avalokanAt Ipk-_3,1.4d
   yathāvyutpatti bhidyate Ipk_2,3.3b	yaTAvyutpatti Bidyate IpS-_2,3.3b
   yad anta yad apekṣayā Ipk_2,4.6b	yat anta yat apekzayA IpS-_2,4.6b
   yad asat tad asadyuktā Ipk_2,4.3a	yat asat tat asat-yuktAH Ipk-_2,4.3a
   yady evam antargaḍunā Ipk_1,2.5c	yadi evam antar-gaxunA IpS-_1,2.5c
   yad vaśād vyavatiṣṭhate Ipk_2,3.1b	yat vaSAt vyavatizWate IpS-_2,3.1b
   yaś ca pramātā śūnyādiḥ Ipk_3,1.9a	yaH ca pramAtA SUnya-AdiH IpS-_3,1.9a
   'yaṃ sa ity āmṛśaty api Ipk_1,4.8b	ayam saH iti AmRSati api IpS-_1,4.8b
   yā ca paśyāmy aham imaṃ Ipk_1,4.7a	yA ca paSyAmi aham imam IpS-_1,4.7a
   yā caiṣā pratibhā tattat- Ipk_1,7.1a	yA ca-ezA pratiBA tat-tat Ipk-_1,7.1a
   yā tu bāhyatayā sthirā Ipk_3,2.17b	yA tu bAhya-tayA sTirA IpS-_3,2.17b
   yuktā saikapramātṛjā Ipk_1,7.13d	yuktA sa-eka-pramAtR-jAH IpS-_1,7.13d
   yukto bhāvasamanvayaḥ Ipk_2,4.16d	yuktaH BAva-samanvayaH Ipk-_2,4.16d
   yujaḥ saṃbandhadhīpadam Ipk_2,2.4d	yujaH saMbanDa-DI-padam IpS-_2,2.4d
   ye 'py asāmayikedantā- Ipk_4.7a	ye api asAmayiket-antA Ipk-_4.7a
   yeṣāṃ nottamakartṛtā Ipk_3,2.6b	yezAm na-uttama-kartR-tA IpS-_3,2.6b
   yoginām api bhāsante Ipk_1,4.5a	yoginAm api BAsante IpS-_1,4.5a
   yoginām api mṛdbīje Ipk_2,4.10a	yoginAm api mRd-bIje IpS-_2,4.10a
   yoginirmāṇatābhāve Ipk_2,4.11a	yogi-nirmANa-tA-BAve Ipk-_2,4.11a
   yogīva nirupādānam Ipk_1,5.7c	yogI-iva nirupAdAnam IpS-_1,5.7c
   rajataikavimarśe 'pi Ipk_2,3.13a	rajata-eka-vimarSe api Ipk-_2,3.13a
   rase saṃskārajatvaṃ tu Ipk_1,3.2c	rase saMskAra-ja-tvam tu Ipk-_1,3.2c
   rūpā śuktimatir bhavet Ipk_1,7.12b	rUpA Sukti-matiH Bavet IpS-_1,7.12b
   rūpo 'kṣādibhuvāṃ yathā Ipk_1,8.9d	rUpaH akza-Adi-BuvAm yaTA IpS-_1,8.9d
   rūpyajñānāpramātvavit Ipk_1,7.7d	rUpya-jQAna-apramAtva-vid IpS-_1,7.7d
   liṅgam anyapramātṛgāt Ipk_2,4.13b	liFgam anya-pramAtR-gAt IpS-_2,4.13b
   lokasyaiṣa tathānavekṣitaguṇaḥ svātmāpi viśveśvaro Ipk_4.17c	lokasya-eza taTA-anavekzita-guNaH sva-AtmA-api viSveSvaraH Ipk-_4.17c
   varṇavaicitryarūpayā Ipk_4.10d	varNa-vEcitrya-rUpayA Ipk-_4.10d
   vartamānāvabhāsānāṃ Ipk_1,5.1a	vartamAna-avaBAsAnAm IpS-_1,5.1a
   vastu pramāṇaṃ tat so 'pi Ipk_2,3.1c	vastu pramANam tat saH api IpS-_2,3.1c
   vahnyābhāsādito bhavet Ipk_2,4.12b	vahni-ABAsAditaH Bavet IpS-_2,4.12b
   vāstave 'pi cidekatve Ipk_2,4.20a	vAstave api cit-eka-tve IpS-_2,4.20a
   vikalpa eva sa para- Ipk_1,6.5c	vikalpaH eva sa para Ipk-_1,6.5c
   vikalpakriyayā tattad- Ipk_4.10c	vikalpa-kriyayA tad-tad IpS-_4.10c
   vikalpahānaikāgryāt Ipk_4.11c	vikalpa-hAna-ekAgryAt IpS-_4.11c
   vikalpena sukhādike Ipk_1,8.4b	vikalpena suKa-Adike IpS-_1,8.4b
   vikalpe yo 'yam ullekhaḥ Ipk_1,8.8a	vikalpe yaH ayam ulleKaH IpS-_1,8.8a
   vikalpeṣu bhaved bhāvi- Ipk_1,8.2c	vikalpezu Bavet BAvi IpS-_1,8.2c
   vikalpe svairacāriṇi Ipk_1,6.10b	vikalpe svEra-cAriNi IpS-_1,6.10b
   vikalpo ghaṭa ity ayam Ipk_1,6.3d	vikalpaH GawaH iti ayam IpS-_1,6.3d
   vicitrābhāsahetutā Ipk_1,5.4d	vicitra-ABAsa-hetu-tAH IpS-_1,5.4d
   vicitro hetutām iyāt Ipk_1,5.5b	vicitraH hetutAm iyAt IpS-_1,5.5b
   vicchinnabhāsaḥ śūnyāder Ipk_2,1.6c	vicCinna-BAsaH SUnya-AdeH IpS-_2,1.6c
   vijñānākalamantreśo Ipk_3,2.20c	vijQAnAkala-mantra-ISaH Ipk-_3,2.20c
   vidyābhijñāpitaiśvaryaś Ipk_3,2.2c	vidyA-aBijQApita-ESvaryaH IpS-_3,2.2c
   vidyāśaktiḥ tirodhāna- Ipk_3,1.7c	vidyA-SaktiH tiroDAna IpS-_3,1.7c
   vinaivecchāvaśena tat Ipk_2,4.10b	vinA-eva-icCA-vaSena tat IpS-_2,4.10b
   vibhāvya śivatāmayīm aniśam āviśan siddhyati Ipk_4.16d	viBAvya Siva-tA-mayIm aniSam AviSan sidDi-ati IpS-_4.16d
   vimarśa eva devasya Ipk_1,8.11c	vimarSaH eva devasya IpS-_1,8.11c
   vimarśaṃ vidur anyathā Ipk_1,5.11b	vimarSam viduH anyaTA IpS-_1,5.11b
   vimarśaḥ katham anyathā Ipk_1,5.19b	vimarSaH kaTam anyaTA IpS-_1,5.19b
   vimarśo 'nyavyapohanāt Ipk_1,6.5b	vimarSaH anya-vyapohanAt IpS-_1,6.5b
   vimṛśan sa iti svairī Ipk_1,4.1c	vimRSan saH iti svErI IpS-_1,4.1c
   viruddhābhāvasaṃsparśe Ipk_2,3.15c	virudDa-aBAva-saMsparSe Ipk-_2,3.15c
   viviktabhūtalajñānaṃ Ipk_1,7.7a	vivikta-BU-tala-jQAnam IpS-_1,7.7a
   viviktaṃ bhūtalaṃ śaśvad Ipk_1,7.9a	viviktam BU-talam SaSvat Ipk-_1,7.9a
   viśeṣo 'rthāvabhāsasya Ipk_1,8.2a	viSezaH arTa-avaBAsasya Ipk-_1,8.2a
   viśvarūpo maheśvaraḥ Ipk_1,3.7b	viSvarUpaH maheSvaraH IpS-_1,3.7b
   viśvarūpo 'ham idam ity Ipk_4.1c	viSvarUpaH aham idam iti IpS-_4.1c
   viśvavaicitryacitrasya Ipk_2,3.15a	viSva-vEcitrya-citrasya IpS-_2,3.15a
   viśvātmano vikalpānāṃ Ipk_4.12c	viSva-AtmanaH vikalpAnAm IpS-_4.12c
   viṣayatvena vibhramāt Ipk_3,2.16b	vizaya-tvena viBramAt IpS-_3,2.16b
   vedyabhūmim upeyuṣām Ipk_3,1.4b	vedya-BUmim upeyuzAm IpS-_3,1.4b
   vedyā rūpadṛśeva dṛk Ipk_1,3.2b	vedyAH rUpa-dRSA-iva dRS IpS-_1,3.2b
   vaicitrye kim nibandhanam Ipk_1,5.5d	vEcitrye kim nibanDanam IpS-_1,5.5d
   vyaktyekadeśabhedaṃ cāpy Ipk_2,2.5c	vyakti-eka-deSa-Bedam ca-api IpS-_2,2.5c
   vyañjakasyānyathāpi vā Ipk_2,3.10d	vyaQjakasya-anyaTA-api vA IpS-_2,3.10d
   vyavahāraḥ pravartyate Ipk_2,3.17d	vyavahAraH pravartyate IpS-_2,3.17d
   vyavahāre kim anyena Ipk_1,5.6c	vyavahAre kim anyena IpS-_1,5.6c
   vyavahāro 'nubhūyate Ipk_1,7.14d	vyavahAraH anuBUyate IpS-_1,7.14d
   vyāno viśvātmakaḥ paraḥ Ipk_3,2.20d	vyAnaH viSva-AtmakaH paraH IpS-_3,2.20d
   śaktitvaṃ nāpadiśyate Ipk_4.5b	Sakti-tvam na-apadiSyate IpS-_4.5b
   śaktiprakāśeneśādi- Ipk_2,3.17c	Sakti-prakASena-ISa-Adi IpS-_2,3.17c
   śaktyāviṣkaraṇeneyaṃ Ipk_1,1.3c	Sakti-AvizkaraNena-iyam IpS-_1,1.3c
   śarīrādyavasāyinī Ipk_1,2.2d	SarIra-Adi-avasAyinI IpS-_1,2.2d
   śivaḥ cidānandaghanaḥ Ipk_4.14c	SivaH cit-Ananda-GanaH IpS-_4.14c
   śītoṣṇe vātha tallakṣyaḥ Ipk_2,1.3c	SIta-uzNe vA-aTa tat-lakzyaH IpS-_2,1.3c
   śuktau na rajatasthitiḥ Ipk_2,3.13b	SuktO na rajata-sTitiH IpS-_2,3.13b
   śuddhabodhātmakatve 'pi Ipk_3,2.6a	SudDa-boDa-Atmaka-tve api Ipk-_3,2.6a
   śuddhe jñānakriye yataḥ Ipk_1,8.11d	SudDe jQAna-kriye yatas IpS-_1,8.11d
   śūnyādau tadguṇe jñānaṃ Ipk_3,2.12c	SUnya-AdO tad-guNe jQAnam IpS-_3,2.12c
   śūnyādyabodharūpās tu Ipk_3,2.8a	SUnya-Adi-aboDa-rUpAH tu Ipk-_3,2.8a
   śūnye buddhe śarīre vā Ipk_3,1.8c	SUnye budDe SarIre vE IpS-_3,1.8c
   śūnye buddhyādyabhāvātmany Ipk_3,2.13a	SUnye budDi-Adi-aBAva-Atmani Ipk-_3,2.13a
   śleṣi sattvatamomayam Ipk_4.6d	Slezi sattva-tamaH-mayam IpS-_4.6d
   sa eva vimṛśattvena Ipk_1,8.11a	saH eva vimRSat-tvena IpS-_1,8.11a
   sakṛdābhāsasādhyo 'sāv Ipk_1,7.3c	sakRt-ABAsa-sADyaH asO IpS-_1,7.3c
   sakramatvaṃ ca laukikyāḥ Ipk_2,1.2a	sa-krama-tvam ca lOkikyAH Ipk-_2,1.2a
   sakramaṃ pratibhāsate Ipk_1,5.21d	sa-kramam pratiBAsate IpS-_1,5.21d
   sakramāntarbahiḥsthitiḥ Ipk_2,4.5b	sa-krama-antar-bahis-sTitiH IpS-_2,4.5b
   sa cābhāsadvayasthitau Ipk_2,4.7b	sa ca-ABAsa-dvaya-sTitO IpS-_2,4.7b
   sato 'pi na punaḥ sattā- Ipk_2,4.3c	sataH api na punar sattA IpS-_2,4.3c
   sattānandaḥ kriyā patyus Ipk_4.6a	sattA-AnandaH kriyA patyuH IpS-_4.6a
   sattā yad asataḥ sataḥ Ipk_2,4.2b	sattA yat asataH sataH IpS-_2,4.2b
   sattāyāṃ na punaḥ kva cit Ipk_1,8.2b	sattAyAm na punar kva cit IpS-_1,8.2b
   satyaṃ kiṃ tu smṛtijñānaṃ Ipk_1,3.1a	satyam kim tu smRti-jQAnam IpS-_1,3.1a
   satyāpy ātmani dṛṅnāśāt Ipk_1,2.4a	satyA-api Atmani dRS-nASAt Ipk-_1,2.4a
   satyāḥ sthairyopayogābhyām Ipk_2,2.1c	satyAH sTErya-upayogAByAm Ipk-_2,2.1c
   sadasattāpade 'py eṣa Ipk_2,4.15c	sat-asat-tApa-de api ezaH IpS-_2,4.15c
   sadvidyāhamidaṃdhiyoḥ Ipk_3,1.3d	sat-vidyA-aham-idaMDiyoH Ipk-_3,1.3d
   sa naisargika evāsti Ipk_1,6.10a	sa nEsargikaH eva-asti Ipk-_1,6.10a
   saptamyarthaḥ prakalpyate Ipk_2,4.15d	saptamI-arTaH prakalpyate IpS-_2,4.15d
   samabhittitalopame Ipk_2,3.15b	sama-Bitti-tala-upame IpS-_2,3.15b
   samalo vimalo vāpi Ipk_1,7.14c	sa-malaH vimalaH vA-api IpS-_1,7.14c
   samastasaṃpatsamavāptihetuṃ Ipk_1,1.1c	samasta-saMpad-samavApti-hetum Ipk-_1,1.1c
   samullekhāvabhāsanāt Ipk_1,6.11b	samulleKa-avaBAsanAt IpS-_1,6.11b
   samyagjñānakriye tathā Ipk_4.15b	samyak-jQAna-kriye taTA IpS-_4.15b
   sargaḥ spaṣṭāvabhāsanāt Ipk_4.11b	sargaH spazwa-avaBAsanAt IpS-_4.11b
   sarvatrābhāsabhedo 'pi Ipk_2,1.6a	sarvatra-ABAsa-BedaH api Ipk-_2,1.6a
   sarvathā tv antarālīnā- Ipk_4.14a	sarvaTA tu antarAlInA Ipk-_4.14a
   sarvadā bhātavigrahe Ipk_2,3.16b	sarvadA BAta-vigrahe IpS-_2,3.16b
   sarvapramitibhāgini Ipk_2,3.16d	sarva-pramiti-BAgini IpS-_2,3.16d
   sarvākṣagocaratvena Ipk_3,2.17a	sarvAkza-gocara-tvena Ipk-_3,2.17a
   sarvo mamāyaṃ vibhava Ipk_4.12a	sarvaH mama-ayam viBavaH Ipk-_4.12a
   savedyam apavedyaṃ ca Ipk_3,2.15c	sa-vedyam apavedyam ca IpS-_3,2.15c
   sa hi pūrvānubhūtārtho- Ipk_1,4.1a	sa hi pUrva-anuBUta-arTo Ipk-_1,4.1a
   sahiṣṇor apapāditā Ipk_2,4.5d	sahizNoH apapAditAH IpS-_2,4.5d
   saṃkaro viṣayasya tat Ipk_1,5.3b	saMkaraH vizayasya tat IpS-_1,5.3b
   saṃprāpyānekatāṃ yāti Ipk_2,2.2c	saMprApya-aneka-tAm yAti IpS-_2,2.2c
   saṃvidāṃ lokapaddhatiḥ Ipk_1,8.10b	saMvidAm loka-padDatiH IpS-_1,8.10b
   saṃvidāṃ veditaiṣa saḥ Ipk_1,4.3d	saMvidAm vedita-eza saH IpS-_1,4.3d
   saṃsārī karmabandhanaḥ Ipk_3,2.2b	saMsArI karma-banDanaH IpS-_3,2.2b
   saṃskārāt kalpanā proktā Ipk_1,6.6c	saMskArAt kalpanA proktAH IpS-_1,6.6c
   saṃskārāt smṛitisiddhau syāt Ipk_1,2.6c	saMskArAt smRiti-sidDO syAt IpS-_1,2.6c
   saṃskārāt smṛtisaṃbhavaḥ Ipk_1,2.5b	saMskArAt smRti-saMBavaH IpS-_1,2.5b
   sākṣāṇām āntarī vṛttiḥ Ipk_3,2.14a	sAkzANAm AntarI vRttiH IpS-_3,2.14a
   sākṣātkārakṣaṇe 'py asti Ipk_1,5.19a	sAkzAtkArakzaNe api asti IpS-_1,5.19a
   sā tu deśādikādhyakṣa- Ipk_2,3.9a	sA tu deSa-Adika-aDyakza Ipk-_2,3.9a
   sādākhyaṃ tattvam āditaḥ Ipk_3,1.2b	sAdAKyam tattvam Aditas IpS-_3,1.2b
   sādhanaṃ saiva nāparam Ipk_1,7.5d	sADanam sA-eva na-aparam Ipk-_1,7.5d
   sādhāraṇo 'nyathā caiśaḥ Ipk_4.11a	sADAraNaH anyaTA ca-ESaH Ipk-_4.11a
   sāntarviparivartinaḥ Ipk_2,4.4b	sa-antar-viparivartinaH IpS-_2,4.4b
   sāpi bhinnāvabhāsini Ipk_1,6.6d	sA-api Binna-avaBAsini Ipk-_1,6.6d
   sāpekṣāḥ kevalaṃ kva cit Ipk_1,8.1b	sa-apekzAH kevalam kva cit IpS-_1,8.1b
   sāpy apekṣāvihīnānāṃ Ipk_2,4.14c	sA-api apekzA-vihInAnAm IpS-_2,4.14c
   sā bhinnābhāsabhedataḥ Ipk_1,8.6d	sA Binna-ABAsa-BedataH IpS-_1,8.6d
   sābhilāpaṃ vikalpākhyaṃ Ipk_1,2.1c	sa-aBilApam vikalpa-AKyam IpS-_1,2.1c
   sāmānādhikaraṇyaṃ ca Ipk_3,1.3c	sAmAnADikaraNyam ca IpS-_3,1.3c
   sāmānādhikaraṇyena Ipk_2,3.6c	sAmAnADikaraNyena IpS-_2,3.6c
   sā sphurattā mahāsattā Ipk_1,5.14a	sA sPurat-tA mahA-sattAH Ipk-_1,5.14a
   siddhasyānyānapekṣaṇāt Ipk_1,2.11b	sidDasya-anya-anapekzaNAt IpS-_1,2.11b
   siddhir nāpy anumānataḥ Ipk_1,5.9d	sidDiH na-api anumAnataH IpS-_1,5.9d
   siddhiṃ vā vidadhīta kaḥ Ipk_1,1.2d	sidDim vA vidaDIta kaH IpS-_1,1.2d
   siddhe sarvasya jīvataḥ Ipk_1,6.11d	sidDe sarvasya jIvataH IpS-_1,6.11d
   siddhyet tasyāghaṭātmanā Ipk_1,7.8b	sidDyet tasya-aGawA-AtmanA IpS-_1,7.8b
   sukhaduḥkhādiyogataḥ Ipk_3,2.18d	suKa-duHKa-Adi-yogataH Ipk-_3,2.18d
   sukhādiṣu ca saukhyādi- Ipk_1,8.3a	suKa-Adizu ca sOKya-Adi IpS-_1,8.3a
   sṛṣṭiḥ sādhāraṇī sarva- Ipk_3,2.17c	sRzwiH sADAraNI sarva IpS-_3,2.17c
   sṛṣṭiḥ svapnapadaṃ matam Ipk_3,2.16d	sRzwiH svapna-padam matam IpS-_3,2.16d
   sṛṣtes tiṅvācyakarmavat Ipk_1,5.17d	sRzteH tiFvAcya-karma-vat IpS-_1,5.17d
   saivam ity api bhedataḥ Ipk_1,4.6b	sA-evam iti api BedataH IpS-_1,4.6b
   saiṣāpy ajñatayā satyai- Ipk_4.9c	sA-ezA-api ajQa-tayA satyE IpS-_4.9c
   saiṣā sāratayā proktā Ipk_1,5.14c	sA-ezA sAratayA proktAH IpS-_1,5.14c
   so 'ntas tathāvimarśātmā Ipk_2,3.2a	saH antar taTA-avimarSa-AtmA IpS-_2,3.2a
   so 'pi bāhyaḥ pṛthakprathaḥ Ipk_1,8.8b	saH api bAhyaH pRTak-praTaH IpS-_1,8.8b
   sauṣupta[ṃ] pralayopamam Ipk_3,2.15b	sOzupta[M] pralaya-upamam IpS-_3,2.15b
   sauṣupte viṣuvatsv iva Ipk_3,2.19d	sOzupte vizuvatsu iva IpS-_3,2.19d
   sthita eveti niścitam Ipk_1,6.8d	sTitaH eva-iti niScitam IpS-_1,6.8d
   sthitam icchāvaśād bahiḥ Ipk_1,5.7b	sTitam icCA-vaSAt bahis IpS-_1,5.7b
   sthitaḥ sa smaraṇādiṣu Ipk_1,6.9d	sTitaH sa smaraNa-Adizu Ipk-_1,6.9d
   sthitau rudro 'dhidaivatam Ipk_3,2.1b	sTitO rudraH aDidEvatam IpS-_3,2.1b
   sthirasvārthakriyākaram Ipk_2,4.10d	sTira-sva-arTa-kriyA-karam Ipk-_2,4.10d
   sthūlasūkṣmatvabhedataḥ Ipk_3,1.11d	sTUla-sUkzma-tva-BedataH IpS-_3,1.11d
   sparśo voṣṇādiko mṛduḥ Ipk_1,7.10b	sparSaH vA-uzNa-AdikaH mRduH IpS-_1,7.10b
   spaṣṭāvabhāsā bhāvānāṃ Ipk_3,2.16c	spazwa-avaBAsAH BAvAnAm IpS-_3,2.16c
   sphaṭikādijaḍopamaḥ Ipk_1,5.11d	sPawika-Adi-jaxa-upamaH Ipk-_1,5.11d
   sphuṭam asyopalakṣaṇāt Ipk_1,8.4d	sPuwam asya-upalakzaNAt Ipk-_1,8.4d
   smaratīty apadiśyate Ipk_1,4.1d	smarati-iti apadiSyate IpS-_1,4.1d
   smartā draṣṭeva kalpitaḥ Ipk_1,2.6d	smartA drazwA-iva kalpitaH IpS-_1,2.6d
   smaryate yad dṛg āsīn me Ipk_1,4.6a	smaryate yat dRS AsIt me IpS-_1,4.6a
   smaryamāṇasya bhāsanam Ipk_1,4.3b	smaryamANasya BAsanam IpS-_1,4.3b
   smṛtitaiva kathaṃ tāvad Ipk_1,3.4a	smRti-tA-eva kaTam tAvat Ipk-_1,3.4a
   smṛtis tadanurodhinī Ipk_1,2.3b	smRtiH tad-anuroDinI IpS-_1,2.3b
   smṛtiḥ kenātha yatraivā- Ipk_1,2.4c	smRtiH kena-aTa yatra-evA IpS-_1,2.4c
   smṛtes tadavasāyataḥ Ipk_1,3.3b	smRteH tad-avasAyataH IpS-_1,3.3b
   smṛtau pūrvo 'rthavat pṛthak Ipk_1,4.4b	smRtO pUrvaH arTavat pRTak IpS-_1,4.4b
   smṛtau yaiva svasaṃvittiḥ Ipk_1,7.5a	smRtO yA-eva sva-saMvittiH IpS-_1,7.5a
   smṛtyapohanaśaktimān Ipk_1,3.7d	smRti-apohana-SaktimAn IpS-_1,3.7d
   smṛtyutprekṣādigocare Ipk_4.8d	smRti-utprekzA-Adi-gocare IpS-_4.8d
   syād aprāmāṇyavedikā Ipk_1,7.12d	syAt aprAmANya-vedikAH IpS-_1,7.12d
   syād ekaś cidvapur jñāna- Ipk_1,3.7c	syAt ekaH cit-vapuH jQAna IpS-_1,3.7c
   syād etad avabhāseṣu Ipk_1,5.6a	syAt etat avaBAsezu IpS-_1,5.6a
   syād ghaṭāghaṭayor dvayoḥ Ipk_1,6.2b	syAt Gawa-aGawayoH dvayoH IpS-_1,6.2b
   srotasāṃ sāgare yathā Ipk_2,3.7b	srotasAm sAgare yaTA IpS-_2,3.7b
   svajñānam aghaṭātmatām Ipk_1,7.10d	sva-jQAnam aGawa-Atma-tAm IpS-_1,7.10d
   svabhāvam avabhāsasya Ipk_1,5.11a	svaBAvam avaBAsasya IpS-_1,5.11a
   svalakṣaṇaṃ ghaṭābhāsa- Ipk_1,4.2c	sva-lakzaNam Gawa-ABAsa IpS-_1,4.2c
   svaviśrāntyuparodhāyā- Ipk_4.10a	sva-viSrAnti-uparoDAyA Ipk-_4.10a
   svasaṃvidekamānās tā Ipk_1,4.5c	sva-saMvid-eka-mAnAH tAH IpS-_1,4.5c
   svasaṃvedanasiddhā tu Ipk_1,7.13c	sva-saMvedana-sidDA tu Ipk-_1,7.13c
   svasvarūpāparijñāna- Ipk_4.3a	sva-svarUpa-aparijQAna Ipk-_4.3a
   svasvarūpāpahānitaḥ Ipk_3,2.4d	sva-svarUpa-apahAn-itaH Ipk-_3,2.4d
   svāṅgarūpeṣu bhāveṣu Ipk_3,2.3a	sva-aFga-rUpezu BAvezu Ipk-_3,2.3a
   svāṅgarūpeṣu bhāveṣu Ipk_4.4a	sva-aFga-rUpezu BAvezu Ipk-_4.4a
   svātantryam etan mukhyaṃ Ipk_1,5.13c	svAtantryam etat muKyam IpS-_1,5.13c
   svātantryasyāpy abodhatā Ipk_3,2.4b	svAtantryasya-api aboDatA IpS-_3,2.4b
   svātantryahānir bodhasya Ipk_3,2.4a	svAtantrya-hAniH boDasya Ipk-_3,2.4a
   svātantryād advayātmanaḥ Ipk_1,5.16b	svAtantryAt advaya-AtmanaH IpS-_1,5.16b
