   Bhartrhari: Vakyapadiya	BhartH-hari: Vakya-pad-iya
   nāpi bhedo 'vadhāryate Vp_3,1.102d	na-api BedaH avaDAryate Vp_3,1.102d
   nāpekṣate nimittaṃ ca Vp_3,5.7a	na-apekzate nimittam ca Vp_3,5.7a
   nābhāva upapadyate Vp_3,3.67d	na-aBAvaH upapadyate Vp_3,3.67d
   nābhāve vyavatiṣṭhate Vp_3,3.86b	na-aBAve vyavatizWate Vp_3,3.86b
   nābhāvo jāyate bhāvo Vp_3,3.61a	na-aBAvaH jAyate BAvaH Vp_3,3.61a
   nābhidhānaṃ svadharmeṇa Vp_3,3.4a	na-aBiDAnam svaDarmeNa Vp_3,3.4a
   nāmākhyātasarūpā ye Vp_2.318a	nAma-AKyAta-sarUpAH ye Vp_2.318a
   nāmnāṃ sattvapradhānatā Vp_2.343b	nAmnAm sattva-praDAna-tA Vp_2.343b
   nārthavattā pade varṇe Vp_2.402a	na-arTavattA pade varNe Vp_2.402a
   nārthāc chabdasya sāṃnidhyaṃ Vp_2.338c	na-arTAt Sabdasya sAMniDyam Vp_2.338c
   nārthe na buddhau saṃbandho Vp_2.241c	na-arTe na budDO saMbanDaH Vp_2.241c
   nālabdhakramayā vācā Vp_1.89c	na-alabDa-kramayA vAcA Vp_1.89c
   nālikādiparigrahāt Vp_2.111b	nAlikA-Adi-parigrahAt Vp_2.111b
   nāvaśyam abhidheyeṣu Vp_3,3.36a	na-avaSyam aBiDeyezu Vp_3,3.36a
   nāvaśyam avatiṣṭhate Vp_2.38d	na-avaSyam avatizWate Vp_2.38d
   nāvaśyaṃ te 'bhisaṃbaddhāḥ Vp_2.333c	na-avaSyam te aBisaMbadDAH Vp_2.333c
   nāsti yasya svarūpaṃ tu Vp_2.420c	na-asti yasya svarUpam tu Vp_2.420c
   nāsti vyākaraṇād ṛte Vp_1.13d	na-asti vyAkaraNAt Rte Vp_1.13d
   nāstīty apy apade nāsti Vp_3,7.109c	na-asti-iti api apade na-asti Vp_3,7.109c
   nikṛṣṭenādhikena vā Vp_3,5.6d	nikRzwena-aDikena vA Vp_3,5.6d
   nighātādivyavasthārthaṃ Vp_2.3a	niGAta-Adi-vyavasTA-arTam Vp_2.3a
   nighāto 'tra tathā sati Vp_2.5d	niGAtaH atra taTA sati Vp_2.5d
   nitya eva tu saṃbandho Vp_2.366c	nityaH eva tu saMbanDaH Vp_2.366c
   'nityatvān nābhidhīyate Vp_3,1.47d	anitya-tvAt na-aBiDIyate Vp_3,1.47d
   nityatve kṛtakatve vā Vp_1.28a	nitya-tve kRtaka-tve vA Vp_1.28a
   nityatve samudāyānāṃ Vp_2.56a	nitya-tve samudAyAnAm Vp_2.56a
   nityam āgantubhir malaiḥ Vp_1.168b	nityam AgantuBiH malEH Vp_1.168b
   nityam evānavasthitam Vp_2.138d	nityam eva-anavasTitam Vp_2.138d
   nityam evābhidhīyate Vp_3,2.6d	nityam eva-aBiDIyate Vp_3,2.6d
   nityasaṃbandhināṃ dṛṣṭaṃ Vp_2.157c	nitya-saMbanDinAm dRzwam Vp_2.157c
   nityas tatra kathaṃ kāryaṃ Vp_2.59c	nityaH tatra kaTam kAryam Vp_2.59c
   nityaḥ sadasadātmakaḥ Vp_3,3.87b	nityaH sat-asat-AtmakaH Vp_3,3.87b
   nityānityeṣu jātayaḥ Vp_3,1.26b	nitya-anityezu jAtayaH Vp_3,1.26b
   nityāv evopavarṇitau Vp_3,1.2d	nityO eva-upavarNitO Vp_3,1.2d
   nityāḥ kharaṇasādayaḥ Vp_2.364b	nityAH KaraNasa-AdayaH Vp_2.364b
   nityāḥ śabdārthasaṃbandhās Vp_1.23a	nityAH Sabda-arTa-saMbanDAH Vp_1.23a
   nityāḥ ṣaṭ śaktayo 'nyeṣāṃ Vp_3,7.35a	nityAH zaw SaktayaH anyezAm Vp_3,7.35a
   nitye 'nitye 'pi vāpy arthe Vp_3,3.38a	nitye anitye api vA-api arTe Vp_3,3.38a
   nityeṣu ca kutaḥ pūrvaṃ Vp_2.22a	nityezu ca kutas pUrvam Vp_2.22a
   nipātā dyotakāḥ ke cit Vp_2.192a	nipAtAH dyotakAH ke cit Vp_2.192a
   nimittatvāya kalpate Vp_1.67d	nimitta-tvAya kalpate Vp_1.67d
   nimittatvāya kalpate Vp_3,7.69d	nimitta-tvAya kalpate Vp_3,7.69d
   nimittaniyamaḥ śabdāt Vp_3,7.158a	nimitta-niyamaH SabdAt Vp_3,7.158a
   nimittabhāvo bhāvānām Vp_3,7.14a	nimitta-BAvaH BAvAnAm Vp_3,7.14a
   nimittabhūtāḥ sādhutve Vp_3,4.2a	nimitta-BUtAH sADu-tve Vp_3,4.2a
   nimittabhedāt prakrānte Vp_2.283a	nimitta-BedAt prakrAnte Vp_2.283a
   nimittabhedāt sarvatra Vp_1.176c	nimitta-BedAt sarvatra Vp_1.176c
   nimittabhedād ekasya Vp_2.250c	nimitta-BedAt ekasya Vp_2.250c
   nimittabhedād ekaiva Vp_3,7.37a	nimitta-BedAt ekA-eva Vp_3,7.37a
   nimittaṃ kiṃ cid iṣyate Vp_2.170d	nimittam kim cit izyate Vp_2.170d
   nimittaṃ tatra mukhyaṃ syān Vp_2.267c	nimittam tatra muKyam syAt Vp_2.267c
   nimittaṃ niyataṃ loke Vp_1.101c	nimittam niyatam loke Vp_1.101c
   nimittaṃ puṇyapāpayoḥ Vp_3,1.45d	nimittam puNya-pApayoH Vp_3,1.45d
   nimittaṃ yac ca dṛśyate Vp_2.289b	nimittam yat ca dRSyate Vp_2.289b
   nimittaṃ saṃjñayos tatra Vp_3,7.146c	nimittam saMjQayoH tatra Vp_3,7.146c
   nimittaṃ saṃpracakṣate Vp_3,7.152d	nimittam saMpracakzate Vp_3,7.152d
   nimittaṃ hetur iṣyate Vp_3,7.24b	nimittam hetuH izyate Vp_3,7.24b
   nimittāt kaiś cid iṣyate Vp_2.255b	nimittAt kEH cit izyate Vp_2.255b
   nimittāt smṛtim ādadhat Vp_2.215b	nimittAt smRtim AdaDat Vp_2.215b
   nimittāpekṣaṇaṃ teṣu Vp_2.365c	nimitta-apekzaNam tezu Vp_2.365c
   nimittāvadhisaṃkaraiḥ Vp_2.171d	nimitta-avaDi-saMkarEH Vp_2.171d
   nimittāsaṃnidhāv api Vp_2.370d	nimitta-asaMniDO api Vp_2.370d
   nimitti gauṇa iṣyate Vp_2.267d	nimitti gONaH izyate Vp_2.267d
   nimittebhyaḥ pravartante Vp_3,7.124a	nimitteByaH pravartante Vp_3,7.124a
   nimitte śrutyapāśrayāt Vp_1.142b	nimitte Sruti-apASrayAt Vp_1.142b
   nimitte sati laukikī Vp_2.370b	nimitte sati lOkikI Vp_2.370b
   nimittair avyavasthitaiḥ Vp_2.137b	nimittEH avyavasTitEH Vp_2.137b
   nimittair vikṛto dhvaniḥ Vp_1.97b	nimittEH vikRtaH DvaniH Vp_1.97b
   niyatagrahaṇā loke Vp_3,7.11c	niyata-grahaNAH loke Vp_3,7.11c
   niyataṃ diśi darśanam Vp_3,6.11b	niyatam diSi darSanam Vp_3,6.11b
   niyataṃ na sa kāryabhāk Vp_1.62b	niyatam na sa kArya-BAj Vp_1.62b
   niyataṃ yac ca sādhanam Vp_2.125b	niyatam yat ca sADanam Vp_2.125b
   niyataṃ sādhane sādhyaṃ Vp_2.47a	niyatam sADane sADyam Vp_2.47a
   niyatādhārasādhanā Vp_2.418b	niyata-ADAra-sADanA Vp_2.418b
   niyatā yānty abhivyaktiṃ Vp_2.317c	niyatAH yAnti aBivyaktim Vp_2.317c
   niyatās tadupādhayaḥ Vp_3,3.6d	niyatAH tad-upADayaH Vp_3,3.6d
   niyatās tu prayogā ye Vp_2.125a	niyatAH tu prayogAH ye Vp_2.125a
   niyatāḥ śabdaśaktayaḥ Vp_2.168d	niyatAH Sabda-SaktayaH Vp_2.168d
   niyatāḥ sādhanatvena Vp_2.275a	niyatAH sADana-tvena Vp_2.275a
   niyato buddhiṣu kramaḥ Vp_1.94d	niyataH budDizu kramaH Vp_1.94d
   niyatau viṣayāntare Vp_2.178b	niyatO vizaya-antare Vp_2.178b
   niyamadyotanārthā vāpy Vp_2.245a	niyamadyotana-arTAH vA-api Vp_2.245a
   niyamas tatra na tv evaṃ Vp_2.167c	niyamaH tatra na tu evam Vp_2.167c
   niyamas tv avatiṣṭhate Vp_3,1.75d	niyamaH tu avatizWate Vp_3,1.75d
   niyamaḥ kva cid eva yaḥ Vp_3,3.8b	niyamaH kva cit eva yaH Vp_3,3.8b
   niyamaḥ puṇyapāpayoḥ Vp_3,3.30d	niyamaH puNya-pApayoH Vp_3,3.30d
   niyamaḥ pratiṣedhaś ca Vp_2.351a	niyamaH pratizeDaH ca Vp_2.351a
   niyamaḥ saṃprakāśate Vp_2.47d	niyamaH saMprakASate Vp_2.47d
   niyamāc cheṣa iṣyate Vp_3,7.72d	niyamAt SezaH izyate Vp_3,7.72d
   niyamāt karmasaṃjñāyāḥ Vp_3,7.127c	niyamAt karma-saMjQAyAH Vp_3,7.127c
   niyamārthā punaḥ śrutiḥ Vp_2.64b	niyama-arTA punar SrutiH Vp_2.64b
   niyamārthā punaḥ śrutiḥ Vp_3,1.89b	niyama-arTA punar SrutiH Vp_3,1.89b
   niyamārthā śrutir bhavet Vp_2.244d	niyama-arTA SrutiH Bavet Vp_2.244d
   niyamena prakṛṣyate Vp_3,5.6b	niyamena prakRzyate Vp_3,5.6b
   niyamena pratīyate Vp_2.276d	niyamena pratIyate Vp_2.276d
   niyamena vyapekṣate Vp_2.161d	niyamena vyapekzate Vp_2.161d
   niyamena vyavasthitā Vp_1.98b	niyamena vyavasTitA Vp_1.98b
   niyamo na tu vastuni Vp_3,7.103b	niyamaH na tu vastuni Vp_3,7.103b
   niyamo nuṭśabādiṣu Vp_2.167d	niyamaH nuz-Saba-Adizu Vp_2.167d
   niyogabhedān manyante Vp_2.408c	niyoga-BedAn manyante Vp_2.408c
   nirapekṣaḥ pravartate Vp_2.158b	nirapekzaH pravartate Vp_2.158b
   nirākāṅkṣasya sarvataḥ Vp_2.9b	nirAkAFkzasya sarvatas VB-_2.9b
   nirākāṅkṣāṇi nirvṛttau Vp_2.352a	nirAkAFkzANi nirvRttO Vp_2.352a
   nirātmakānām utpattau Vp_3,3.8a	nirAtmakAnAm utpattO Vp_3,3.8a
   nirādhārapravṛttau ca Vp_2.244a	nirADAra-pravRttO ca Vp_2.244a
   nirīheṣv api bhāveṣu Vp_3,7.8c	nirIhezu api BAvezu Vp_3,7.8c
   niruktir nāvatiṣṭhate Vp_2.26d	niruktiH na-avatizWate Vp_2.26d
   nirupākhyaṃ phalaṃ yathā Vp_2.234b	nirupAKyam Palam yaTA Vp_2.234b
   nirupākhye prakalpitāḥ Vp_3,3.66b	nirupAKye prakalpitAH Vp_3,3.66b
   nirghoṣaiva garīyasī Vp_1.164d	nirGozA-eva garIyasI Vp_1.164d
   nirjñātadravyasaṃbandhe Vp_3,1.72a	nirjQAta-dravya-saMbanDe Vp_3,1.72a
   nirjñātaśakter dravyasya Vp_1.33a	nirjQAta-SakteH dravyasya Vp_1.33a
   nirjñātārthaṃ padaṃ yac ca Vp_2.72a	nirjQAta-arTam padam yat ca Vp_2.72a
   nirṇayatvena nirṇayaḥ Vp_3,3.24b	nirNaya-tvena nirNayaH Vp_3,3.24b
   nirdiśanty eva laukikāḥ Vp_3,3.85b	nirdiSanti eva lOkikAH Vp_3,3.85b
   nirdiṣṭaviṣayaṃ kiṃ cid Vp_3,7.136a	nirdizwa-vizayam kim cit Vp_3,7.136a
   nirdiṣṭās te prakṛtyarthāḥ Vp_2.231c	nirdizwAH te prakRti-arTAH Vp_2.231c
   nirdeśaṃ prati yā saṃkhyā Vp_3,1.59c	nirdeSam prati yA saMKyA Vp_3,1.59c
   nirdeśe liṅgasaṃkhyānāṃ Vp_2.307a	nirdeSe liFga-saMKyAnAm Vp_2.307a
   nirdhāraṇe vibhakte yo Vp_3,7.147a	nirDAraNe viBakte yaH Vp_3,7.147a
   nirbhāgasya prakāśasya Vp_2.93c	nirBAgasya prakASasya Vp_2.93c
   nirbhāgātmakatā tulyā Vp_3,6.15a	nirBAga-Atmaka-tA tulyAH Vp_3,6.15a
   nirbhāgeṇaiva cetasā Vp_2.93d	nirBAgeNa-eva cetasA Vp_2.93d
   nirbhāgeṣv abhyupāyo vā Vp_1.95c	nirBAgezu aByupAyaH vA Vp_1.95c
   nirmanthanaṃ yathāraṇyor Vp_2.300a	nirmanTanam yaTA-araNyoH Vp_2.300a
   nirvartyatvaṃ pracakṣate Vp_3,7.47d	nirvartya-tvam pracakzate Vp_3,7.47d
   nirvartyamānaṃ yat karma Vp_3,1.27a	nirvartyamAnam yat karma Vp_3,1.27a
   nirvartyaṃ ca vikāryaṃ ca Vp_3,7.45a	nirvartyam ca vikAryam ca Vp_3,7.45a
   nirvartyaṃ ca vikāryaṃ ca Vp_3,7.48c	nirvartyam ca vikAryam ca Vp_3,7.48c
   nirvartyādiṣu tat pūrvam Vp_3,7.54a	nirvartya-Adizu tat pUrvam Vp_3,7.54a
   nirvartyo vā vikāryo vā Vp_3,7.79a	nirvartyaH vA vikAryaH vA Vp_3,7.79a
   nivartamāne karmatve Vp_3,7.56c	nivartamAne karma-tve Vp_3,7.56c
   nivartyeta sthitā katham Vp_2.242d	nivartyeta sTitA kaTam Vp_2.242d
   nivṛttapreṣaṇaṃ karma Vp_3,7.56a	nivRtta-prezaNam karma Vp_3,7.56a
   nivṛttapreṣaṇaṃ karma Vp_3,7.63a	nivRtta-prezaNam karma Vp_3,7.63a
   nivṛttapreṣaṇād dhātoḥ Vp_3,7.60c	nivRtta-prezaNAt DAtoH Vp_3,7.60c
   nivṛttabhedā sarvaiva Vp_2.454a	nivRtta-BedA sarvA-eva Vp_2.454a
   nivṛttaḥ kvāvatiṣṭhatām Vp_2.15d	nivRttaH kva-avatizWatAm Vp_2.15d
   nivṛttiś copadiśyate Vp_2.324d	nivRttiH ca-upadiSyate Vp_2.324d
   nivṛtter avatiṣṭhate Vp_2.241d	nivRtteH avatizWate Vp_2.241d
   nivṛttau caritārthatvāt Vp_3,1.90a	nivRttO caritArTa-tvAt Vp_3,1.90a
   nivṛttyātmani vā sthitaḥ Vp_2.427b	nivRtti-a-Atmani vA sTitaH Vp_2.427b
   niśritāḥ svavikalpajāḥ Vp_1.8b	niSritAH sva-vikalpa-jAH Vp_1.8b
   niṣkramā nirupāśrayāḥ Vp_3,6.14b	nizkramAH nirupASrayAH Vp_3,6.14b
   niṣkriyo 'pi prayujyate Vp_3,7.76d	nizkriyaH api prayujyate Vp_3,7.76d
   niṣṭhāyāṃ karmaviṣayā Vp_3,7.160a	nizWAyAm karma-vizayAH Vp_3,7.160a
   niṣpattimātre kartṛtvaṃ Vp_3,7.18a	nizpatti-mAtre kartR-tvam Vp_3,7.18a
   nīduhiprakṛtau ca yat Vp_3,7.77b	nI-duhi-prakRtO ca yat Vp_3,7.77b
   nīlādibhiḥ samākhyānaṃ Vp_2.8c	nIla-AdiBiH samAKyAnam Vp_2.8c
   necchānimittād icchāvān Vp_3,1.94a	na-icCA-nimittAt icCAvAn Vp_3,1.94a
   nendriyāṇāṃ prakāśye 'rthe Vp_1.58c	na-indriyANAm prakASye arTe Vp_1.58c
   neyam evābhidhīyate Vp_3,3.27b	na-iyam eva-aBiDIyate Vp_3,3.27b
   naikatvam asty anānātvaṃ Vp_3,6.26a	na-ekatvam asti anAnAtvam Vp_3,6.26a
   naikatvaṃ nāpi nānātvaṃ Vp_3,1.21a	na-ekatvam na-api nAnAtvam Vp_3,1.21a
   naikatvaṃ vyavatiṣṭheta Vp_3,6.28a	na-ekatvam vyavatizWeta Vp_3,6.28a
   naikadeśasarūpebhyas Vp_2.358c	na-eka-deSa-sarUpeByaH Vp_2.358c
   naitad vākyaṃ vivakṣyate Vp_3,3.25b	na-etat vAkyam vivakzyate Vp_3,3.25b
   naiti bhāvo 'nupākhyatām Vp_3,3.61b	na-eti BAvaH anupAKyatAm Vp_3,3.61b
   nairātmyād vā vyavasthitam Vp_2.437b	nErAtmyAt vA vyavasTitam Vp_2.437b
   naiva cāsti talaṃ vyomni Vp_2.140c	na-eva ca-asti talam vyomni Vp_2.140c
   naiva tatrādriyāmahe Vp_3,1.85d	na-eva tatra-AdriyAmahe Vp_3,1.85d
   naivādhikatvaṃ dharmāṇāṃ Vp_2.272a	na-eva-aDika-tvam DarmANAm Vp_2.272a
   naivānyenābhisaṃbandhaṃ Vp_2.460c	na-eva-anyena-aBisaMbanDam Vp_2.460c
   naivāvāsthita niścayaḥ Vp_2.483d	na-eva-avAsTita niScayaH Vp_2.483d
   nopakārasya vācakaḥ Vp_2.438b	na-upakArasya vAcakaH Vp_2.438b
   nopajāyata ity eke Vp_2.208c	na-upajAyate iti eke Vp_2.208c
   nyaktāyām api saṃpūrṇaiḥ Vp_3,7.20c	nyaktAyAm api saMpUrNEH Vp_3,7.20c
   nyagbhāvanā nyagbhavanaṃ Vp_3,7.59a	nyagBAvanA nyagBavanam Vp_3,7.59a
   nyagbhāvanā nyagbhavanaṃ Vp_3,7.59c	nyagBAvanA nyagBavanam Vp_3,7.59c
   nyagbhāvas tv eva kartari Vp_3,7.95b	nyagBAvaH tu eva kartari Vp_3,7.95b
   nyagbhāvāpādanād api Vp_3,7.101b	nyagBAva-ApAdanAt api Vp_3,7.101b
   nyāyaprasthānamārgāṃs tān Vp_2.487a	nyAya-prasTAna-mArgAn tAn Vp_2.487a
   nyāyenaivopapadyate Vp_3,1.87d	nyAyena-eva-upapadyate Vp_3,1.87d
   nyūnatā vā prayojikā Vp_2.272b	nyUna-tA vA prayojikA Vp_2.272b
   paktiḥ karaṇarūpaṃ tu Vp_2.433c	paktiH karaNa-rUpam tu Vp_2.433c
   paktvā bhujyata ity atra Vp_3,7.85a	paktvA Bujyate iti atra Vp_3,7.85a
   pacāv anuktaṃ yat karma Vp_3,7.83a	pacO anuktam yat karma Vp_3,7.83a
   pacikriyāṃ karotīti Vp_2.433a	pacikriyAm karoti-iti Vp_2.433a
   pacisidhyativad viduḥ Vp_3,7.57b	pacisiDi-ati-vat viduH Vp_3,7.57b
   pañcālān kurubhir yadā Vp_3,7.4b	paQcAlAn kuruBiH yadA Vp_3,7.4b
   paṭhyate kiṃ cid eva tu Vp_2.259b	paWyate kim cit eva tu Vp_2.259b
   padakāle prakāśate Vp_2.186d	pada-kAle prakASate Vp_2.186d
   padagrahaṇapūrvakam Vp_2.239b	pada-grahaNa-pUrvakam VB-_2.239b
   padatve sati kevalāḥ Vp_2.194b	padatve sati kevalAH Vp_2.194b
   padaprakṛtibhāvaś ca Vp_2.58a	pada-prakRti-BAvaH ca Vp_2.58a
   padabhāgā iva sthitāḥ Vp_2.11d	pada-BAgAH iva sTitAH Vp_2.11d
   padabhede 'pi varṇānām Vp_1.72a	pada-Bede api varNAnAm Vp_1.72a
   padam anyac ca vidyate Vp_1.73b	padam anyat ca vidyate Vp_1.73b
   padam anyat prayujyate Vp_2.35d	padam anyat prayujyate Vp_2.35d
   padam ādyaṃ pṛthak sarvaṃ Vp_2.2a	padam Adyam pRTak sarvam Vp_2.2a
   padarūpaṃ ca yad vākyam Vp_2.412a	pada-rUpam ca yat vAkyam Vp_2.412a
   padavācyo yathā nārthaḥ Vp_2.216a	pada-vAcyaH yaTA na-arTaH Vp_2.216a
   padasyārtham ato viduḥ Vp_2.53d	padasya-arTam atas viduH Vp_2.53d
   padasyoccāraṇād artho yathā Vp_2.63a	padasya-uccAraNAt arTaH yaTA Vp_2.63a
   padaṃ cet syād avācakam Vp_2.87d	padam ced syAt avAcakam Vp_2.87d
   padaṃ lakṣaṇadarśanāt Vp_2.59d	padam lakzaNa-darSanAt Vp_2.59d
   padaṃ sāpekṣam ity api Vp_2.2b	padam sa-apekzam iti api Vp_2.2b
   padākhyā vākyasaṃjñā ca Vp_2.52c	pada-AKyA vAkya-saMjQA ca Vp_2.52c
   padānām arthayuktānāṃ Vp_2.206a	padAnAm arTa-yuktAnAm Vp_2.206a
   padānām upapadyate Vp_2.10d	padAnAm upapadyate Vp_2.10d
   padānāṃ pravibhāgena Vp_2.247c	padAnAm praviBAgena Vp_2.247c
   padānāṃ saṃhitā yoniḥ Vp_2.58c	padAnAm saMhitA yoniH Vp_2.58c
   padāntarasarūpāś ca Vp_2.11c	pada-antara-sa-rUpAH ca Vp_2.11c
   padāmnāyaś ca yady anyaḥ Vp_2.59a	padAmnAyaH ca yadi anyaH Vp_2.59a
   padārthadarśanaṃ tatra Vp_2.217c	padArTa-darSanam tatra Vp_2.217c
   padārthapratyayo yathā Vp_2.60b	padArTa-pratyayaH yaTA Vp_2.60b
   padārtharūpabhedena Vp_2.442c	padArTa-rUpa-Bedena Vp_2.442c
   padārthavyaktikalpane Vp_2.115b	padArTa-vyakti-kalpane VB-_2.115b
   padārthaḥ pravibhajyate Vp_2.86d	padArTaH praviBajyate Vp_2.86d
   padārthaḥ sahavṛttiṣu Vp_2.61d	padArTaH saha-vRttizu Vp_2.61d
   padārthā na tu vastutaḥ Vp_2.440b	padArTAH na tu vastutas Vp_2.440b
   padārthānām apoddhāre Vp_3,1.2a	padArTAnAm apodDAre Vp_3,1.2a
   padārthābhyuccaye tyāgād Vp_2.34c	padArTa-aByuccaye tyAgAt Vp_2.34c
   padārthāstitvakalpane Vp_2.34b	padArTa-astitva-kalpane VB-_2.34b
   padārthāḥ samavasthitāḥ Vp_3,1.11d	padArTAH samavasTitAH Vp_3,1.11d
   padārthīkṛta evānyaiḥ Vp_3,3.12a	padArTIkRtaH eva-anyEH Vp_3,3.12a
   padārthenārthavanti vā Vp_2.55b	padArTena-arTavanti vA Vp_2.55b
   padārtheṣu vyavasthitāḥ Vp_2.49b	padArTezu vyavasTitAH Vp_2.49b
   padārtheṣūpajāyate Vp_2.414b	padArTezu-upajAyate VB-_2.414b
   padārtheṣv avibhāvitāḥ Vp_2.51b	padArTezu aviBAvitAH Vp_2.51b
   padārthe samudāye vā Vp_2.442a	padArTe samudAye vA Vp_2.442a
   padārthair upapāditām Vp_2.143d	padArTEH upapAditAm Vp_2.143d
   padārthair eva te samāḥ Vp_2.325d	padArTEH eva te samAH Vp_2.325d
   padārthair yaḥ pratīyate Vp_2.217b	padArTEH yaH pratIyate Vp_2.217b
   padārthaiḥ parikalpitaiḥ Vp_3,3.88b	padArTEH parikalpitEH Vp_3,3.88b
   padārthopanibandhanāḥ Vp_2.87b	padArTa-upanibanDanAH Vp_2.87b
   padārtho 'pi tathā bhavet Vp_2.16b	padArTaH api taTA Bavet Vp_2.16b
   padārthau sarvaśabdānāṃ Vp_3,1.2c	padArTO sarva-SabdAnAm Vp_3,1.2c
   pade na varṇā vidyante Vp_1.74a	pade na varNAH vidyante Vp_1.74a
   padeṣu samavasthitaḥ Vp_2.248b	padezu samavasTitaH Vp_2.248b
   padeṣu sahavṛttiṣu Vp_2.61b	padezu saha-vRttizu VB-_2.61b
   padeṣv evam asaṃvedyaṃ Vp_2.60c	padezu evam asaMvedyam Vp_2.60c
   padair anarthakair evaṃ Vp_2.413c	padEH anarTakEH evam Vp_2.413c
   panthāno ye vyavasthitāḥ Vp_1.31b	panTAnaH ye vyavasTitAH Vp_1.31b
   paratantrās tu cādayaḥ Vp_2.196d	paratantrAH tu ca-AdayaH Vp_2.196d
   paratas tatra lakṣaṇam Vp_3,7.93d	paratas tatra lakzaNam Vp_3,7.93d
   parato nopapadyate Vp_3,3.70b	paratas na-upapadyate Vp_3,3.70b
   parato vā nirūpaṇam Vp_3,3.52b	paratas vA nirUpaNam Vp_3,3.52b
   paramāṇum apaṇḍitaḥ Vp_2.236b	paramANum apaNxitaH Vp_2.236b
   paramāṇor abhāgasya Vp_3,6.13a	paramANoH aBAgasya Vp_3,6.13a
   paramāṇor ghaṭasya ca Vp_3,6.15b	paramANoH Gawasya ca Vp_3,6.15b
   paramārthe tayor eṣa Vp_3,6.26c	parama-arTe tayoH ezaH Vp_3,6.26c
   paramārthe tu naikatvaṃ Vp_3,7.39a	parama-arTe tu na-ekatvam Vp_3,7.39a
   parayā bādhyate 'parā Vp_3,7.146d	parayA bADyate aparAH Vp_3,7.146d
   pararūpam iva dvayoḥ Vp_2.101d	para-rUpam iva dvayoH Vp_2.101d
   pararūpeṇa rūpyate Vp_3,1.105d	para-rUpeNa rUpyate Vp_3,1.105d
   paras tu śabdasaṃtānaḥ Vp_1.106c	paraH tu Sabda-saMtAnaH Vp_1.106c
   parasmin sādhanaṃ matā Vp_3,7.17b	parasmin sADanam matA Vp_3,7.17b
   parasyāṅgasya karmatvān Vp_3,7.131c	parasya-aFgasya karma-tvAn Vp_3,7.131c
   paraṃ brahmādhigamyate Vp_1.22d	param brahma-aDigamyate Vp_1.22d
   paraṃ vā paramārthataḥ Vp_2.22b	param vA paramArTataH Vp_2.22b
   parāṅgabhūtaṃ sāmānyaṃ Vp_3,1.82a	para-aFga-BUtam sAmAnyam Vp_3,1.82a
   parānākāṅkṣaśabdakam Vp_2.4b	parAnAkAFkza-Sabdakam VB-_2.4b
   parāparatve mūrtīnāṃ Vp_3,6.4a	parAparatve mUrtInAm Vp_3,6.4a
   parikalpeṣu maryādā Vp_3,3.65c	parikalpezu maryAdA Vp_3,3.65c
   parigṛhya śrutiṃ caikāṃ Vp_2.109a	parigRhya Srutim ca-ekAm Vp_2.109a
   paricchinno 'vasīyate Vp_2.237b	paricCinnaH avasIyate Vp_2.237b
   paricchede 'nunā kṛte Vp_2.203b	paricCede anunA kRte Vp_2.203b
   paripākair ayatnajāḥ Vp_2.148b	paripAkEH ayatna-jAH Vp_2.148b
   parimāṇaṃ ca yat tayoḥ Vp_3,6.15d	parimANam ca yat tayoH Vp_3,6.15d
   pareṣām asamākhyeyam Vp_1.35a	parezAm asamAKyeyam Vp_1.35a
   pareṣāṃ pratipādane Vp_2.407d	parezAm pratipAdane Vp_2.407d
   paryāyā iva laukikāḥ Vp_2.332b	paryAyAH iva lOkikAH Vp_2.332b
   paryāyā iva sādhavaḥ Vp_1.178b	paryAyAH iva sADavaH Vp_1.178b
   paryāye vyavatiṣṭhate Vp_2.251b	paryAye vyavatizWate Vp_2.251b
   paryudāsas tathārthavān Vp_2.447d	paryudAsaH taTA-arTavAn Vp_2.447d
   paryudāso 'yam atra tu Vp_2.84b	paryudAsaH ayam atra tu VB-_2.84b
   parvatād āgamaṃ labdhvā Vp_2.486a	parvatAt Agamam labDvA Vp_2.486a
   parvatādisarūpāṇāṃ Vp_1.103c	parvata-Adi-sarUpANAm Vp_1.103c
   pavitraṃ sarvavidyānām Vp_1.14c	pavitram sarva-vidyAnAm Vp_1.14c
   paśunā na prakalpeta Vp_3,1.62c	paSunA na prakalpeta Vp_3,1.62c
   paśor nāsti virodhinī Vp_3,1.71b	paSoH na-asti viroDinI Vp_3,1.71b
   paśyanti tadvad ekena Vp_2.401c	paSyanti tadvat ekena Vp_2.401c
   paśyanty ārṣeṇa cakṣuṣā Vp_1.38b	paSyanti ArzeNa cakzuzA Vp_1.38b
   paśyantyāś caitad adbhutam Vp_1.159b	paSyantyAH ca-etat adButam Vp_1.159b
   paśvantaram anarthakam Vp_3,1.64d	paSu-antaram anarTakam Vp_3,1.64d
   paśvantaram upādeyam Vp_3,1.63c	paSu-antaram upAdeyam Vp_3,1.63c
   paśvādiṣu vibhajyate Vp_2.459d	paSu-Adizu viBajyate Vp_2.459d
   pāṭhe 'nyair upavarṇyate Vp_2.260b	pAWe anyEH upavarNyate Vp_2.260b
   pātrādibhedān nānātvaṃ Vp_2.389a	pAtra-Adi-BedAt nAnAtvam Vp_2.389a
   pādyavat sā vibhāgena Vp_2.378a	pAdya-vat sA viBAgena Vp_2.378a
