   pāpaśodhanaṃ aṣṭamaḥ paricchedaḥ |	pApa-SoDanam azwamaH paricCedaH |
   pāpakṣayaḥ saṃlakṣayitavyaḥ ||	pApa-kzayaH saMlakzayitavyaH ||
   tathāgatabimbaparivarte 'pi pratipakṣasamudācārôktaḥ |	taTAgata-bimba-parivarte api pratipakza-samudAcArôktaH |
   tad yathā puruṣo mīḍhâvaliptaḥ sudhautusnānaṃ kṛtvā gandhair vilipyate |	tat yaTA puruzaH mIXâvaliptaH su-DOtu-snAnam kRtvA ganDEH vilipyate |
   tasya tad daurgandhyaṃ vāntaṃ vigataṃ syād evaṃ pañcânantaryakāriṇas tat	tasya tat dOrganDyam vAntam vigatam syAt evam paQcânantarya-kAriNaH tat-
   pāpaṃ vigacchati |	pApam vigacCati |
   yo 'pi daśâkuśalakarmapathasamanvāgatas tathāgate śraddhāṃ pratilabhya	yaH api daSâ-kuSala-karma-paTa-samanvAgataH taTAgate SradDAm pratilaBya
   tathāgatabimbaṃ kārayet tasyâpi tat pāpaṃ na prajñāyate viśeṣato	taTAgata-bimbam kArayet tasyâpi tat pApam na prajQAyate viSezataH-
   bodhicittasamanvāgatasya |	boDi-citta-samanvAgatasya |
   viśeṣato 'bhiniṣkrāntagṛhâvāsasya śīlavatêti ||	viSezataH aBinizkrAnta-gRhâvAsasya SIlavatêti ||
   puṣpakūṭadhāraṇyām apy uktaṃ |	puzpa-kUwa-DA-AraNyAm api uktam |
   yaś ca khalu punaḥ siṃhavikrīḍitatathāgataṃ saṃmukhaṃ varṣaṃ vā	yaH ca Kalu punar siMha-vikrIxita-taTA-gatam saMmuKam varzam vA
   varṣasahasraṃ vā varṣaśatasahasraṃ vā sarvasukhôpadhānair upatiṣṭhed |	varza-sahasram vA varza-Sata-sahasram vA sarva-suKôpaDAnEH upatizWet |
   yaś ca parinirvṛtasya tathāgatasya caitye bodhicittasaṃgṛhītâikapuṣpam	yaH ca parinirvRtasya taTAgatasya cEtye boDi-citta-saMgRhItâika-puzpam
   āropayet tathāgatapūjāyai janâñjaliṃ côpanāmayej jalena vā siñcayed	Aropayet taTAgata-pUjAyE janâQjalim côpanAmayet jalena vA siQcayet-
   iṣikāpadaṃ vā dadyān nirmālyaṃ câpanayed upalepanapradānaṃ vā	izikA-padam vA dadyAt nirmAlyam câpanayet upalepana-pradAnam vA
   puṣpapradānaṃ vā dīpapradānaṃ vā kuryād āttamanāḥ ekakramavyatihāraṃ	puzpa-pradAnam vA dIpa-pradAnam vA kuryAt Atta-manAH eka-krama-vyatihAram
   vâtikramya vācaṃ bhāṣate |	vâtikramya vAcam BAzate |
   namas tasmai buddhāya bhagavatêtimātre 'tra siṃhavikrīḍitakāṅkṣā vā	namaH tasmE budDAya Bagavatêti-mAtre atra siMha-vikrIxita-kAFkzA vA
   vimatir vā vicikitsā vā yad asau kalpaṃ vā kalpaśataṃ vā kalpasahasraṃ vā	vimatiH vA vicikitsA vA yat asO kalpam vA kalpa-Satam vA kalpa-sahasram vA
   durgativinipātaṃ gacchen nêdaṃ-	durgati-vinipAtam gacCet nêdaM-
   [ Cambridge MS f83b ---> ]	[ Cambridge M f83B ---> ]
   sthānaṃ vidyatae iti ||	sTAnam vidyatae iti ||
   [ Bendall ed p174 ---> ]	[ Bet-dalt ed p174 ---> ]
   bhaiṣajyaguruvaidūryaprabharājasūtre 'py uktaṃ |	BEzajya-guru-vEdUrya-praBa-rAja-sUtre api uktam |
   ye pañca śikṣāpadāni dhārayanti |	ye paQca SikzA-padAni DArayanti |
   ye daśa śikṣāpadāni dhārayanti |	ye daSa SikzA-padAni DArayanti |
   ye ca bodhisatvasaṃvaraṃ caturthaṃ śataṃ śikṣāpadānāṃ dhārayanti |	ye ca boDisatva-saMvaram caturTam Satam SikzA-padAnAm DArayanti |
   ye punar abhiniṣkrāntagṛhâvāsā bhikṣavaḥ pañcāśâdhike dve śikṣāpadaśate	ye punar aBinizkrAnta-gRhâvAsAH BikzavaH paQcASâDike dve SikzA-pada-Sate
   dhārayanti |	DArayanti |
   yāś ca bhikṣuṇyaḥ pañcaśikṣāpadaśatāni dhārayanti |	yAH ca BikzuNyaH paQca-SikzA-pada-SatAni DArayanti |
   ye ca yathāparigṛhītāc chikṣāsaṃvarād anyatarāc chikṣāpadād bhraṣṭā	ye ca yaTA-parigRhItAt SikzA-saMvarAt anyatarAt SikzA-padAt BrazwA
   bhavanti |	Bavanti |
   sacet te durgatibhayabhītās tasya bhagavato	saced te durgati-Baya-BItAH tasya BagavataH-
   bhaiṣajyaguruvaiḍūryaprabharājasya tathāgatasya nāmadheyaṃ dhārayeyur	BEzajya-guru-vExUrya-praBarAjasya taTAgatasya nAmaDeyam DArayeyuH-
   yathāvibhavataś ca pūjāṃ kuryuḥ |	yaTA-viBavataH ca pUjAm kuryuH |
   na bhūyas teṣām apāyagatiḥ pratikāṅkṣitavyā ||	na BUyas tezAm apAya-gatiH pratikAFkzitavyAH ||
   atha bhagavān āyuṣmantam ānandam āmantrayate sma |	aTa BagavAn Ayuzmantam Anandam Amantrayate sma |
   śraddadhāsi tvam ānanda |	SraddaDAsi tvam Ananda |
   pattīyasi |	pattIyasi |
   yad ahaṃ tasya bhagavato bhaiṣajyaguruvaiḍūryaprabharājasya tathāgatasya	yat aham tasya BagavataH BEzajya-guru-vExUrya-praBarAjasya taTAgatasya
   guṇān varṇayāmi |	guNAn varNayAmi |
   atha te kāṅkṣā vā vimatir vā vicikitsā vâtra gambhīre buddhagocare ||	aTa te kAFkzA vA vimatiH vA vicikitsA vâtra gamBIre budDa-gocare ||
   athâyuṣmān ānando bhagavantam etad avocat |	aTâyuzmAn AnandaH Bagavantam etat avocat |
   na me bhadanta bhagavan kāṅkṣā vā vimatir vā vicikitsā vā	na me Badanta Bagavan kAFkzA vA vimatiH vA vicikitsA vA
   tathāgatabhāṣiteṣu sūtrânteṣu |	taTAgata-BAzitezu sUtrântezu |
   tat kasya hetoḥ |	tat kasya hetoH |
   nâsti tathāgatānām apariśuddhakāyavāṅmanaḥsamudācāratā |	nâsti taTAgatAnAm apariSudDa-kAya-vAc-manaH-samudAcAra-tA |
   imau bhagavan candrasūryāv evaṃ maharddhikāv evaṃ mahânubhāvau pṛthivyāṃ	imO Bagavan candra-sUryO evam mahA-rdDikO evam mahânuBAvO pRTivyAm
   patetāṃ |	patetAm |
   sumeruḥ parvatarājā sthānāc calet |	sumeruH parvata-rAjA sTAnAt calet |
   na tu buddhānāṃ vacanam anyathā bhavet ||	na tu budDAnAm vacanam anyaTA Bavet ||
   kiṃtu bhadanta bhagavan santi satvāḥ śraddhêndriyavikalā ye buddhagocaraṃ	kiMtu Badanta Bagavan santi satvAH SradDêndriya-vikalAH ye budDa-gocaram
   śrutvā na śraddadhati |	SrutvA na SraddaDati |
   teṣām evaṃ bhavati |	tezAm evam Bavati |
   katham idaṃ nāmadheyaṃ smaraṇamātreṇa tasya tathāgatasyâittakā guṇânuśaṃsā	kaTam idam nAmaDeyam smaraNa-mAtreNa tasya taTAgatasyâittakAH guNânuSaMsA
   bhavati |	Bavati |
   te na śraddadhati |	te na SraddaDati |
   na pattīyanti |	na pattIyanti |
   pratikṣipanti |	pratikzipanti |
   teṣāṃ dīrgharātram anarthāyâhitāyâsukhāya vinipātāya bhaviṣyati ||	tezAm dIrGarAtram anarTAyâhitAyâsuKAya vinipAtAya Bavizyati ||
   bha-	Ba-
   [ Cambridge MS f84a ---> ]	[ Cambridge M f84aH ---> ]
   gavān āha |	gavAn Aha |
   asthānam ānandânavakāśo yeṣāṃ tasya nāmadheyaṃ nipatet karṇe teṣāṃ	asTAnam Anandânava-kASaH yezAm tasya nAmaDeyam nipatet karNe tezAm
   durgatyapāyagamanaṃ bhaved iti |	durgati-apAya-gamanam Bavet iti |
   duḥśraddhānīyaś cânanda buddhānāṃ buddhagocaraḥ |yac ca tvam ānanda	duHSradDAnIyaH cânanda budDAnAm budDa-gocaraH |yat ca tvam Ananda
   śraddadhāsi pattīyasi |	SraddaDAsi pattIyasi |
   [ Bendall ed p175 ---> ]	[ Bet-dalt ed p175 ---> ]
   tathāgatasyâiṣo 'nubhāvo draṣṭavyaḥ |	taTAgatasyâizaH anuBAvaH drazwavyaH |
   abhūmiś câtra śrāvakapratyekabuddhānāṃ sthāpayitvâikajātipratibaddhān	aBUmiH câtra SrAvaka-pratyekabudDAnAm sTApayitvâika-jAti-pratibadDAn
   bodhisatvān mahāsatvān iti ||	boDisatvAt mahAsatvAn iti ||
   atrâiva côktaṃ |	atrâiva côktam |
   ye cânye śrāddhāḥ kulaputrā vā kuladuhitaro vâṣṭâṅgasamanvāgatam upavāsam	ye cânye SrAdDAH kula-putrAH vA kula-duhitaraH vâzwâFga-samanvAgatam upavAsam
   upavasanti |	upavasanti |
   ekavārṣikaṃ vā traivārṣikaṃ vā śikṣāpadaṃ dhārayanti |	eka-vArzikam vA trEvArzikam vA SikzA-padam DArayanti |
   yeṣām evam abhiprāyaḥ evaṃ praṇidhānaṃ |	yezAm evam aBiprAyaH evam praNiDAnam |
   anena vayaṃ kuśalamūlena paścimāyāṃ diśāyāṃ sukhāvatyāṃ	anena vayam kuSala-mUlena paScimAyAm diSAyAm suKAvatyAm
   lokadhātaûpapadyema yatrâmitābhas tathāgataḥ |	lokaDAtaûpapadI-ema yatrâmita-ABaH taTAgataH |
   yaiḥ śrutaṃ bhaviṣyati tasya bhagavato	yEH Srutam Bavizyati tasya BagavataH-
   bhaiṣajyaguruvaiḍūryaprabhavarājasya tathāgatasya nāmadheyaṃ |	BEzajya-guru-vExUrya-praBava-rAjasya taTAgatasya nAmaDeyam |
   teṣāṃ maraṇakālasamaye 'ṣṭau bodhisatvā ṛddhyâgatya mārgam upadarśayanti |	tezAm maraNa-kAla-samaye azwO boDisatvAH RdDi-âgatya mArgam upadarSayanti |
   te tatra nānāraṅgeṣu padmeṣûpapādukāḥ prādurbhavanti |	te tatra nAnA-raFgezu padma-izûpapAdukAH prAdurBavanti |
   kecit punar devalokae upapadyante |	kecid punar deva-lokae upapadyante |
   teṣāṃ tatrôpapannānāṃ tat pūrvakaṃ kuśalamūlaṃ na kṣīyate |	tezAm tatrôpapannAnAm tat pUrvakam kuSala-mUlam na kzIyate |
   durgativinipātabhayaṃ ca na bhaviṣyati |	durgati-vinipAta-Bayam ca na Bavizyati |
   te tataś cyutêha manuṣyaloke rājāno bhavanti |	te tatas cyutêha manuzya-loke rAjAnaH Bavanti |
   caturdvīpêśvarāś cakravartinaḥ |	catur-dvIpêSvarAH cakravartinaH |
   anekāni satvakoṭīniyutaśatasahasrāṇi daśa kuśaleṣu karmapatheṣu	anekAni satva-kowI-niyuta-Sata-sahasrANi daSa kuSalezu karma-paTezu
   pratiṣṭhāpayanti |	pratizWApayanti |
   apare punaḥ kṣatriyamahāśālakuleṣûpapadyante |	apare punar kzatriya-mahA-SAla-kulezûpapadyante |
   brāhmaṇamahāśālakuleṣûpapadyante |	brAhmaNa-mahASAla-kulezûpapadyante |
   gṛhapatimahāśālakuleṣu prabhūtadhanadhānyakoṣakoṣṭhâgārakuleṣûpapadyante |	gRhapati-mahASAla-kulezu praBUta-Dana-DAnya-koza-kozWâgAra-kulezûpapadyante |
   te rūpasaṃpannā bhavanti |	te rUpa-saMpannAH Bavanti |
   parivārasampannā bhavanti ||	parivAra-sampannAH Bavanti ||
   tatrâivôktaṃ |	tatrâivôktam |
   yena ca punar mātṛgrāmeṇa tasya bhagavato	yena ca punar mAtR-grAmeNa tasya BagavataH-
   bhaiṣajyaguruvaiḍūryaprabharājasya tathāgatasya nāmadheyaṃ śrutaṃ	BEzajya-guru-vExUrya-praBarAjasya taTAgatasya nAmaDeyam Srutam
   bhaviṣyati |	Bavizyati |
   udgṛhītaṃ vā |	udgRhItam vA |
   sa tasya paścimo mātṛgrāmabhā-	sa tasya paScimaH mAtR-grAma-BA-
   [ Cambridge MS f84b ---> ]	[ Cambridge M f84B ---> ]
   vaḥ pratikāṅkṣitavyêti ||	vaH pratikAFkzita-vyêti ||
   mañjuśrībuddhakṣetraguṇavyūhâlaṃkārasūtre 'py uktaṃ |	maQju-SrI-budDa-kzetra-guNa-vyUhâ-laMkAra-sUtre api uktam |
   jñānôttaraprabhāketuṃ praṇidhānamatiṃ tathā |	jQAnôttara-praBA-ketum praNiDAna-matim taTA |
   śāntêndriyaṃ mañjughoṣaṃ bhaktitaḥ praṇamāmy aham ||	SAntêndriyam maQjuGozam BaktitaH praNamAmi aham ||
   [ Bendall ed p176 ---> ]	[ Bet-dalt ed p176 ---> ]
   yâiṣāṃ bodhisatvānāṃ nāmadheyaṃ tu dhārayet |	yâizAm boDisatvAnAm nAmaDeyam tu DArayet |
   etasya mātṛgrāmasya strībhāvo na bhaviṣyati ||	etasya mAtR-grAmasya strI-BAvaH na Bavizyati ||
   uktaḥ saṃkṣepāt pratipakṣasamudācāraḥ ||	uktaH saMkzepAt pratipakza-samudAcAraH ||
   pratyāpattibalam adhunôcyate ||	pratyApatti-balam aDunôcyate ||
   yathôktam āryakṣitigarbhasūtre |	yaTôktam Arya-kziti-garBa-sUtre |
   prāṇâtipātāt prativirato bhavati bodhisatvo mahāsatvaḥ sarvasatvānām	prANâtipAtAt prativirataH Bavati boDisatvaH mahAsatvaH sarva-satvAnAm
   abhayaṃdadaḥ |	aBayaMdadaH |
   anuttrāso 'nupāyāso 'lomaharṣaḥ sa tena kuśalamūlena karmavipākena |	anuttrAsaH anupAyAsaH aloma-harzaH sa tena kuSala-mUlena karma-vipAkena |
   yat pūrvântakoṭipañcagaticakrâruḍhena saṃsāranady-udyātena	yat pUrvânta-kowi-paQca-gati-cakrâruXena saMsAra-nadI--udyAtena
   prāṇâtipātahetunā kāyavāṅmanasā karmâvaraṇaṃ kleśâvaraṇaṃ dharmâvaraṇaṃ	prANâtipAta-hetunA kAya-vAc-manasA karmâ-varaNam kleSâ-varaNam Darmâ-varaNam
   kṛtaṃ vā syāt kāritaṃ vânumoditaṃ syāt |	kRtam vA syAt kAritam vânumoditam syAt |
   tat sarvaṃ tena prāṇâtipātavairamaṇacakreṇa sarvânarthaṃ mardayati |	tat sarvam tena prANâtipAta-vEramaNa-cakreNa sarvânarTam mardayati |
   yāvad aśeṣam avipākaṃ kurute |	yAvat aSezam avipAkam kurute |
   sanikāyasabhāge devamanuṣyāṇāṃ priyo bhavati nirātaṅko dīrghâyuṣkêti ||	sa-nikAyasa-BAge deva-manuzyANAm priyaH Bavati nirAtaFkaH dIrGâ-yuzkêti ||
   yāvat punar aparaṃ kulaputra yo bodhisatvo yāvajjīvam adattâdānāt	yAvat punar aparam kula-putra yaH boDisatvaH yAvajjIvam adattâ-dAnAt
   prativirato bhavati sa sarvasatvānām abhayam dadāti	prativirataH Bavati sa sarva-satvAnAm aBayam dadAti
   anyatrâsayatnenâsaṃkṣobheṇa svalābhena saṃtuṣṭo viharati |	anyatrâsa-yatnenâ-saMkzoBeNa sva-lABena saMtuzwaH viharati |
   adhā-	aDA-
   [ Bendall ed p177 ---> ]	[ Bet-dalt ed p177 ---> ]
   rmikabhogânabhilāṣī sa tena kuśalamūlena yāvad adattâdānahetukaṃ	rmika-BogânaBilAzI sa tena kuSala-mUlena yAvat adattâ-dAna-hetukam
   karmâvaraṇaṃ mardayati pramardayati yāvad aśeṣam avipākaṃ kurutae iti ||	karmâ-varaNam mardayati pramardayati yAvat aSezam avipAkam kurutae iti ||
   pe ||evaṃ daśâpi kuśalāḥ karmapathāḥ svavipakṣâkuśalaghātakās tatra	pe ||evam daSâpi kuSalAH karma-paTAH sva-vipakzâ-kuSala-GAtakAH tatra
   paṭhyante ||	paWyante ||
   tathā candrapradīpasūtre 'pi vyāpādaviratyā sarvapāpakṣayaḥ śrūyate |	taTA candra-pradIpa-sUtre api vyApAda-viratyA sarva-pApa-kzayaH SrUyate |
   yathâha |	yaTâha |
   sahiṣyāmy atra bālānām abhūtāṃ paribhāṣaṇāṃ |	sahizyAmi atra bAlAnAm aBUtAm pariBAzaNAm |
   ākrośanaṃ tarjanāṃ câdhivāsiṣya nāyakaḥ ||	AkroSanam tarjanAm câDivAsizya nAyakaH ||
   kṣapayiṣye pāpakaṃ karma yan mayā purime kṛtam |	kzapayizye pApakam karma yat mayA purime kRtam |
   anyeṣu bodhisatveṣu vyāpādo janito mayêti ||	anyezu boDisatvezu vyApAdaH janitaH mayêti ||
   uktaṃ pratyāpattibalam ||	uktam pratyApatti-balam ||
   āśrayabalaṃ tu vaktavyam ||	ASraya-balam tu vaktavyam ||
   atra sūkarikâvadānam udāhāryam |	atra sUkarikâvadAnam udAhAryam |
   ye buddhaṃ śaraṇaṃ yānti na te gacchanti durgatiṃ |	ye budDam SaraNam yAnti na te gacCanti durgatim |
   prahāya mānuṣān kāyān divyān kāyāṃl labhanti te ||	prahAya mAnuzAn kAyAn divyAn kAyAn laBanti te ||
   ity evaṃ dharmaṃ saṃghaṃ câdhikṛtya pāpakṣayaḥ ||	iti evam Darmam saMGam câDikRtya pApa-kzayaH ||
   āryamaitreyavimokṣe tu bodhicittena pāpaviśuddhir uktā |	Arya-mEtreya-vimokze tu boDi-cittena pApa-viSudDiH uktAH |
   kalpa-	kalpa-
   [ Cambridge MS f85a ---> ]	[ Cambridge M f85aH ---> ]
   uddāhâgnibhūtaṃ sarvaduṣkṛtanirdahanatayā |	uddAhâgni-BUtam sarva-duzkRta-nirdahana-tayA |
   pātālabhūtaṃ sarvâkuśaladharmaparyādānakaraṇatayā ||	pAtAla-BUtam sarvâ-kuSala-Darma-paryAdAna-karaNa-tayA ||
   pe ||	pe ||
   tad yathā kulaputra hāṭakaprabhāsaṃ nāma rasajātaṃ |	tat yaTA kula-putra hAwaka-praBAsam nAma rasa-jAtam |
   tasyâikaṃ palaṃ lohapalasahasraṃ suvarṇīkaroti |	tasyâikam palam loha-pala-sahasram suvarNIkaroti |
   na ca tatra tat palaṃ śakyate tena lohapalasahasreṇa paryādātuṃ |	na ca tatra tat palam Sakyate tena loha-pala-sahasreNa paryAdAtum |
   na lohīkartuṃ |	na lohIkartum |
   evam evâikaḥ sarvajñatācittôtpādarasadhātuḥ	evam evâikaH sarvajQa-tA-cittôt-pAda-rasa-DAtuH
   kuśalamūlapariṇāmanājñānasaṃgṛhītaḥ sarvakarmakleśâvaraṇalohāni pa-	kuSala-mUla-pariNAmanA-jQAna-saMgRhItaH sarva-karma-kleSâ-varaNa-lohAni pa-
   [ Bendall ed p178 ---> ]	[ Bet-dalt ed p178 ---> ]
   ryādāya sarvadharmān sarvajñatāvarṇān karoti |	ryAdAya sarva-DarmAn sarvajQa-tA-varNAn karoti |
   na ca sarvajñatācittôtpādarasadhātuḥ śakyaḥ sarvakarmakleśalohaiḥ	na ca sarvajQa-tA-cittôt-pAda-rasa-DAtuH SakyaH sarva-karma-kleSa-lohEH
   saṃkleśayituṃ paryādātuṃ vā |	saMkleSayitum paryAdAtum vA |
   tad yathā kulaputrâikaḥ pradīpo yādṛśe gṛhe vā layane vā praveśyate sa	tat yaTA kula-putrâikaH pradIpaH yAdRSe gRhe vA layane vA praveSyate sa
   saha praveśito varṣasahasrasaṃcitam api tamondhakāraṃ vidhamayati |	saha praveSitaH varza-sahasra-saMcitam api tamonDakAram viDamayati |
   avabhāsaṃ ca karoti |	avaBAsam ca karoti |
   evam evâikaḥ sarvajñatācittôtpādapradīpo yādṛśe satvâśaye gahane	evam evâikaH sarvajQa-tA-cittôt-pAda-pradIpaH yAdRSe satvâSaye gahane
   'vidyātamondhakārânugate praveśyate sa saha praveśito	avidyAtamonDaka-arânugate praveSyate sa saha praveSitaH-
   'nabhilāpyakalpaśatasahasrasaṃcitam api karmakleśâvaraṇatamondhakāraṃ	anaBilApya-kalpa-Sata-sahasra-saMcitam api karma-kleSâ-varaNa-tamonDakAram
   vidhamati |	viDamati |
   jñānâlokaṃ ca karoti ||	jQAnâlokam ca karoti ||
   tad yathā kulaputra cintāmaṇirājamukuṭānāṃ mahānāgarājñāṃ nâsti	tat yaTA kula-putra cintAmaNi-rAja-mukuwAnAm mahA-nAga-rAjQAm nâsti
   parôpakramabhayaṃ |	parôpakrama-Bayam |
   evam eva bodhicittamahākaruṇācintāmaṇirājamukuṭâvabaddhānāṃ bodhisatvānāṃ	evam eva boDi-citta-mahA-karuNA-cintAmaNi-rAja-mukuwâvabadDAnAm boDisatvAnAm
   nâsti durgatyapāyaparôpakramabhayam iti ||	nâsti durgati-apAya-parôpakrama-Bayam iti ||
   āryôpāliparipṛcchāyām apy uktaṃ |	Aryô-pAli-paripRcCAyAm api uktam |
   ihôpāle mahāyānaṃ saṃprasthito bodhisatvaḥ sacet pūrvâhṇakālasamaye	ihôpAle mahAyAnam saMprasTitaH boDisatvaH saced pUrvâhNa-kAla-samaye
   āpattim āpadyeta |	Apattim Apadyeta |
   madhyâhnakālasamaye sarvajñatācittenâvirahito vihared aparyantâiva	maDyâhna-kAla-samaye sarvajQa-tA-cittenâ-virahitaH viharet aparyantâ-iva
   bodhisatvasya śīlaskandhaḥ |	boDisatvasya SIla-skanDaH |
   sacen madhyâhnakālasamaye āpattim āpadyate sāyâhnakālasamaye	saced maDyâhna-kAla-samaye Apattim Apadyate sAyâhna-kAla-samaye
   sarvajñatācittenâvirahito bhaved aparyantâiva bodhisatvasya śīlaskandhaḥ |	sarvajQa-tA-cittenâ-virahitaH Bavet aparyantâ-iva boDisatvasya SIla-skanDaH |
   evaṃ yāme yāme vidhir uktaḥ |	evam yAme yAme viDiH uktaH |
   evaṃ hy upāle saparihārā śikṣā mahāyānasaṃprasthitānāṃ bodhisatvānāṃ |	evam hi upAle sa-parihArA SikzA mahAyAna-saMprasTitAnAm boDisatvAnAm |
   tatra bodhisatvena nâtikaukṛtyaparyutthānam utpādyaṃ nâtivipratisāriṇā	tatra boDisatvena nâtikA-OkRtya-paryutTAnam utpAdyam nâti-vipratisAriNA
   bhavitavyaṃ |	Bavitavyam |
   sacet punaḥ śrāvakayānīyaḥ pudgalaḥ punaḥ punar āpattim āpadyeta |	saced punar SrAvaka-yAnIyaH pudgalaH punar punar Apattim Apadyeta |
   naṣṭaḥ śrāvakasya pudgalasya	nazwaH SrAvakasya pudgalasya
   [ Cambridge MS f85b ---> ]	[ Cambridge M f85B ---> ]
   śīlaskandho veditavyaḥ |	SIla-skanDaH veditavyaH |
   iti ||	iti ||
   iti śikṣāsamuccaye pāpaśodhanam aṣṭamaḥ paricchedaḥ ||	iti SikzAsamuccaye pApa-SoDanam azwamaH paricCedaH ||
   Copyright (c) 2002 by Jens Braarvig - Oslo	CopyriGt (c) 2002 bi Jens Braarvij  Oslo
