   caturtha ucchvāsaḥ	caturTaH ucCvAsaH
   taraccakravākasīmantyamānasrotasaḥ,	tarat-cakravAka-sImantyamAna-srotasaH,
   kāściduddhūyamānadhavalacāmarasaṭālagnatrikaṇṭakavalitavikaṭakaṭākṣāḥ	kAScid-udDUyamAna-Davala-cAmara-sawA-lagna-trikaNwaka-valita-vikawa-kawAkzAH
   sarasya iva haṃsākṛṣyamāṇanīlotpalavanāḥ,	sarasyaH iva haMsa-AkRzyamANa-nIlotpala-vanAH,
   kāściccalaccaraṇacyutālaktakāruṇasvedaśīkarasicyamānabhavanahaṃsāḥ,	kAScid-calat-caraNa-cyuta-alaktaka-aruNa-sveda-SIkara-sicyamAna-Bavana-haMsAH,
   saṃdhyārāgarajyamānendubimbā iva kaumudīrajanyaḥ,	saMDyA-rAga-rajyamAna-indu-bimbAH iva kOmudIra-janyaH,
   kāścitkaṇṭhanihitakāñcanakāñcīguṇāñcitakañcukivikārākuñcitabruvaḥ	kAScid-kaNWa-nihita-kAQcana-kAQcI-guNa-AQcita-kaQcuki-vikAra-AkuQcitabruvaH
   kāmavāgurā iva prasāritabāhupāśā rājamahiṣyaḥ prārabdhanṛttā vilesuḥ /	kAma-vAgurAH iva prasArita-bAhu-pASAH rAja-mahizyaH prArabDa-nRttAH vilesuH /
   sarvataśca nṛtyataḥ streṇasya galadabhiḥ pādālaktakairaruṇitā rāgamayīva	sarvatas-ca nRtyataH streNasya galadaBiH pAda-alaktakEH-aruNitA rAga-mayI-iva
   śuśoṇa kṣoṇī /	SuSoNa kzoNI /
   samullasadbhiḥ stanamaṇḍalairmaṅgalakalaśamaya iva babhūva mahotsavaḥ /	samullasadBiH stana-maNxalEH-maFgala-kalaSa-mayaH iva baBUva mahA-utsavaH /
   bhujalatāvikṣepairma-ṇālavalayamaya iva rarāja jīvalokaḥ /	Buja-latA-vikzepEH-ma-NAla-valaya-mayaH iva rarAja jIva-lokaH /
   samullasadbhirvilāsasmitaistaḍinmaya ivākriyata kālaḥ /	samullasadBiH-vilAsa-smitEH-taxit-mayaH iva-akriyata kAlaH /
   cañcalānāṃ cakṣuṣāmaṃ śubhiḥ kṛṣṇasāramayā ivāsan vāsarāḥ /	caQcalAnAm cakzuzA-Amam SuBiH kRzNa-sAra-mayAH iva-Asan vAsarAH /
   samullasadbhiḥ śirīṣakusumastabakakarṇapūraiḥ śukapicchamaya iva	samullasadBiH SirIza-kusuma-stabaka-karNapUrEH Suka-picCa-mayaH iva
   haritacchāyo 'bhūdātapaḥ /	harita=-CAyaH aBUt-AtapaH /
   visraṃsamānairdhammillatamālapalvaiḥ kajjalamayamivālakṣyatāntarikṣam /	visraMsamAnEH-Dammilla-tamAla-palvEH kajjala-mayam-iva-alakzyata-antarikzam /
   utkṣiptairhastakisalayaiḥ kamalinīmayya iva babhāsire sṛṣṭayaḥ	utkziptEH-hasta-kisalayEH kamalinI-mayyaH iva baBAsire sRzwayaH
   māṇikyendrāyudhānāmarciṣā cārṣipatramayā iva cakāśire ravimarīcayaḥ /	mANikya-indrAyuDAnAm-arcizA ca-Arzi-patra-mayAH iva cakASire ravi-marIcayaH /
   raṇatāmābharaṇagaṇānāṃ pratiśabdakaiḥ kiṅkiṇīmayya iva śiśiñjire diśaḥ /	raNa-tAm-ABaraNa-gaNAnAm pratiSabdakEH kiFkiNI-mayyaH iva SiSiQjire diSaH /
   jaratyo 'pyunmādinya iva ramaṇyo reṇuḥ /	jaratyaH api-unmAdinyaH iva ramaNyaH reNuH /
   varṣīyāṃso 'pi grahagṛhītā iva nāpatrepire /	varzIyAMsaH api graha-gRhItAH iva na-apatrepire /
   vidvāṃso 'pimattā ivātmānaṃ visasmaruḥ /	vidvAMsaH api-mattAH iva-AtmAnam visasmaruH /
   ninatiṣayā munīnāmapi manāṃsi vipuspuluḥ /	ninatizayA munInAm-api manAMsi vipuspuluH /
   sarvasvaṃ ca dadau narapatiḥ /	sarva-svam ca dadO narapatiH /
   diśi diśi kuberakoṣā ivālupyanta lokena draviṇarāśayaḥ /	diSi diSi kubera-kozAH iva-alupyanta lokena draviNa-rASayaH /
   evaṃ ca vṛtte tasminmahotsave, śanaiḥ śanaiḥ punarapyatikrāmati kāle, deve	evam ca vRtte tasmin-mahA-utsave, SanEs SanEs punar-api-atikrAmati kAle, deve
   cottamāṅganihitarakṣāsarṣape, samunmiṣatpratāpāgniphuliṅga iva goro	ca-uttamAFga-nihita-rakzA-sarzape, samunmizat-pratApa-agni-PuliFgaH iva goro
   canāpiñjaritavapuṣi, samabhivyajyamānasahajakṣātratejasīva	canA-piQjarita-vapuzi, samaBivyajyamAna-sahaja-kzAtra-tejasi-iva
   hāṭakabaddhavikaṭavyāghranakhapaṅktimaṇḍitagrīvake;	hAwaka-badDa-vikawa-vyAGra-naKa-paFkti-maNxita-grIvake;
   hṛdayodbhidyamānadarpāṅkura iva, prathamāvyaktajalpitena satyasya	hRdaya-udBidyamAna-darpa-aFkuraH iva, praTama-avyakta-jalpitena satyasya
   śanaiḥśanaikaroṅkāramivakurvāṇe, mugdhasmitaiḥ kusumairiva madhukarakulāni	SanEs-Sana-eka-roFkAram-ivakurvANe, mugDa-smitEH kusumEH-iva maDukara-kulAni
   bandhuhṛdayānyākarṣati, jananīpayodharakalaśapayaḥsīkalarasekādiva	banDu-hRdayAni-Akarzati, jananI-payoDara-kalaSa-payaH-sI-kalara-sekAt-iva
   jāyamānairvilāsahasitāṅkurairdarśanakairarlakriyamāṇamukhakamalake,	jAyamAnEH-vilAsa-hasita-aFkurEH-darSana-kEH-arla-kriyamANa-muKa-kamalake,
   cāritraivāntaḥ purastrīkadambakena pālyamāne, mantra iva sacivamaṇḍalena	cAritra-eva-antar pura-strI-kadambakena pAlyamAne, mantraH iva saciva-maNxalena
   rakṣyamāṇe, vṛtta iva kulaputrakalokenāmucyamāne, yaśasīvātmavaśena	rakzyamANe, vRttaH iva kula-putraka-lokena-amucyamAne, yaSasi-iva-Atma-vaSena
   saṃvardhyamāne, mṛgapatipota iva rakṣipuruṣaśastrapañjaramadhyagate,	saMvarDyamAne, mRgapati-potaH iva rakzi-puruza-Sastra-paQjara-maDya-gate,
   dhātrīkarāṅgulilagne pañcaṣāṇi padāni prayacchati harṣe, ṣaṣṭhaṃ	DAtrI-kara-aFguli-lagne paQcazANi padAni prayacCati harze, zazWam
   varṣamavatarati ca rājyavardhane devī yaśomatī garbheṇādhatta	varzam-avatarati ca rAjya-varDane devI yaSomatI garBeNa-aDatta
   nārāyaṇamūrtiriva vasudhāṃ devīṃ rājyaśriyam /	nArAyaNa-mUrtiH-iva vasuDAm devIm rAjya-Sriyam /
   pūrṇeṣu ca prasavadivaseṣu dīrgharaktanālanetrāmutpalinīmiva sarasī,	pUrNezu ca prasava-divasezu dIrGa-rakta-nAla-netrAm-utpalinIm-iva sarasI,
   haṃsamadhurasvarāṃ śaradamiva prāvṛṭ, kusumasukumārāvayavāṃ vanarājimiva	haMsa-maDura-svarAm Saradam-iva prAvRw, kusuma-sukumAra-avayavAm vana-rAjim-iva
   madhuśrīḥ, mahākanakāvadāta vasudhārāmiva dyauḥ, prabhāvarṣiṇīṃ	maDu-SrIH, mahA-kanaka-avadAta vasu-DArAm-iva dyOH, praBA-varziNIm
   ratnajātimiva velā, sakalajananayanānandakāriṇīṃ candralekhāmiva pratipat,	ratna-jAtim-iva velA, sakala-jana-nayana-Ananda-kAriNIm candraleKAm-iva pratipat,
   sahasranetradarśanayogyāṃ jayantīmiva śacī, sarvabhūbhudabhyarthitāṃ	sahasra-netra-darSana-yogyAm jayantIm-iva SacI, sarva-BUBudaByarTitAm
   gaurīmiva menā prasūtavatī duhitaram /	gOrIm-iva menA prasUtavatI duhitaram /
   yayā dvayoḥ sutayorapi stanayorivaikāvalīlatayā nitarāmarājata jananī /	yayA dvayoH sutayoH-api stanayoH-iva-eka-avalIla-tayA nitarAm-arAjata jananI /
   arimanneva tu kāle devyā yaśomatyā bhrātā	ariman=-eva tu kAle devyA yaSomatyA BrAtA
   sutamaṣṭavarṣadeśīyamudbhūyamānakuṭilakākapakṣakaśikhaṇḍaṃ	sutam-azwa-varza-deSIyam-udBUyamAna-kuwila-kAka-pakzaka-SiKaNxam
   khaṇḍaparaśuhuṅkārāgnidhūmalekhānubaddhamūrdhānaṃ makaradhvajamiva	KaNxa-paraSu-huFkAra-agni-DUma-leKA-anubadDa-mUrDAnam makaraDvajam-iva
   punarjātam, ekenendranīlakuṇḍalāśuśyāmalitena śarīrārdhenetareṇa ca	punar-jAtam, ekena-indranIla-kuNxala-aSuSya-amalitena SarIra-arDena-itareNa ca
   trikaṇṭakamuktāphalālokadhavalitena saṃpṛttāvatāramiva	trikaNwaka-muktAPala-Aloka-Davalitena saMpRtta-avatAram-iva
   hariharayordarśayantam, pīnaprakoṣṭhapratiṣṭhitapuṣpalohavalayaṃ	hari-harayoH-darSayantam, pIna-prakozWa-pratizWita-puzpa-loha-valayam
   paraśurāmamiva kṣatrakṣapaṇakṣīṇaparasupāśacihnitaṃ bālatāḍgatam,	paraSurAmam-iva kzatra-kzapaNa-kzINa-parasu-pASa-cihnitam bAla-tAxgatam,
   kaṇṭhasūtragrathitabhaṅgurapravālāṅkuraṃ hiraṇyakaśipumivoraḥ	kaNWa-sUtra-graTita-BaFgura-pravAla-aFkuram hiraNyakaSipum-iva-uraH
   kāṭhinyakhaṇḍitanarasiṃhanakharakhaṇjaṃ gṛhītajanmāntaram, śaiśave 'pi	kAWinya-KaNxita-nara-siMha-naKara-KaNjam gRhIta-janma-antaram, SESave api
   savāṣṭambhaṃ bījamiva voryadramasya bhaṇḍināmānamanucaraṃ	sa-vAzwamBam bIjam-iva vA-uryadramasya BaNxi-nAmAnam-anucaram
   kumārayorarpitavān /	kumArayoH-arpitavAn /
   avanipatestu tasyopari putrayostṛtīyasya netrayoriveśvarasya tulyaṃ	avanipateH-tu tasya-upari putrayoH-tRtIyasya netrayoH-iva-ISvarasya tulyam
   darśanamāsīt /	darSanam-AsIt /
   rājaputrāvapi sakalajīvalokahṛdayānādadāyinī tena prakṛtidakṣiṇena	rAja-putrO=-api sakala-jIva-loka-hRdaya-anAdadAyinI tena prakRti-dakziNena
   madhumādhavāviva malayamārutenopetau nitarāṃ rejatuḥ /	maDu-mADavO=-iva malaya-mArutena-upetO nitarAm rejatuH /
   krameṇacāpareṇeva bhrātrā prajānandena saha vardhamānau yauvanamavateratuḥ	krameNa-cApareNa-iva BrAtrA prajA-Anandena saha varDamAnO yOvanam-avateratuH
   sthirorustambhau ca pṛthuprakoṣṭhau dīrghabhujārgalau vikaṭoraḥkavāṭau	sTira-Uru-stamBO ca pRTu-prakozWO dIrGa-Buja-argalO vikawa-uraH-kavAwO
   prāṃśuśālābhirāmau mahānagarasaṃniveśāviva sarvalokāśrayakṣamau babhūvatuḥ	prAMSu-SAla-aBirAmO mahA-nagara-saMniveSO=-iva sarva-loka-ASraya-kzamO baBUvatuH
   atha candrasūryāviva sphurajjyotsnā	aTa candra-sUryO=-iva sPurat-jyotsnA
   śaḥpratāpākrāntabhavānāvabhirāmadurnirīkṣyau, agnimārutāviva	SaH-pratApa-AkrAnta-BavAnO=-aBirAma-durnirIkzyO, agni-mArutO=-iva
   samabhivyaktatejobalāvekībhūtau, śilākaṭhinakāyabandhau	samaBivyakta-tejaH-balO=-ekIBUtO, SilA-kaWina-kAya-banDO
   himavadvindhyāvivācalau, mahāvṛṣāviva kṛtayugayogyau, aruṇagaruḍāviva	himavat-vinDyO=-iva-acalO, mahA-vRzO=-iva kRta-yuga-yogyO, aruNa-garuxO=-iva
   harivāhanavibhaktaśarīrau, indropendrāviva nāgendaragatau, karṇārjunāviva	hari-vAhana-viBakta-SarIrO, indra-upendrO=-iva nAga-indara-gatO, karNa-arjunO=-iva
   kuṇḍalakirīṭadharau, pūrvāparadigbhāgāviva	kuNxala-kirIwa-DarO, pUrva-apara-diS-BAgO=-iva
   sarvatejasvināmudayāstamayasaṃpādanatamarthau,	sarva-tejasvinAm-udaya-astamaya-saMpAdanatam-arTO,
   amāntāvivātimānenāsannavelārgalanirodhasaṃkaṭe kukuṭīrake, tejaḥparāṅmukhī	amAntO=-iva-ati-mAnena-Asanna-vela-argala-niroDa-saMkawe kukuwIrake, tejaH-parAFmuKI
   chāyāmapi jugupsamānau, svātmapratibimbenāpi pādanakhalagnena lajjamānau,	CAyAm-api jugupsamAnO, sva-Atma-pratibimbena-api pAda-naKa-lagnena lajjamAnO,
   śiroruhāṇāmapi bhaṅgena duḥkhamavatiṣṭamānau, cūḍāmaṇisaṃkrāntenāpi	SiroruhANAm-api BaFgena duHKam-avatizwamAnO, cUxAmaNi-saMkrAntena-api
   dvitīyenātapatreṇāpatrapamāṇau, bhagavati ṣaṇmukhe 'pi	dvitIyena-AtapatreNa-apatrapamANO, Bagavati zaNmuKe api
   svāmiśabdenāsukhāyamānaśravaṇau, darpaṇadṛṣṭenāpi pratipuruṣeṇa	svAmi-Sabdena-asuKAyamAna-SravaNO, darpaNa-dRzwena-api prati-puruzeNa
   dūyamānanayanau, saṃdhyāñjalighaṭaneṣvapi śūlāyamānottamāhgau,	dUyamAna-nayanO, saMDyA-an-jali-Gawanezu-api SUlAyamAna-uttamA-hgO,
   jaladharadhṛtenāpi dhanuṣā dodhūyamānahṛdayau,	jalaDara-DRtena-api DanuzA doDUyamAna-hRdayO,
   ālekhyakṣitipatibhirapyapraṇamadbhiḥ saṃtapyamānacaraṇau,	AleKya-kziti-patiBiH-api-apraNamadBiH saMtapyamAna-caraNO,
   parimitamaṇḍalasaṃtuṣṭaṃ tejaḥ saviturapyabahumanyamānau,	parimita-maNxala-saMtuzwam tejaH savituH-api-abahumanyamAnO,
   bhūbhṛdapahṛtalakṣmīkaṃ sāgaramapyupahasantau, balavantamakṛtavigrahaṃ	BUBRt-apa-hRta-lakzmIkam sAgaram-api-upahasantO, balavantam-akRta-vigraham
   mārutamapi nindantau, himavato 'pi camarībālavyajanavījitena dahyamānau,	mArutam-api nindantO, himavataH api camarI-bAla-vyajana-vIjitena dahyamAnO,
   jaladhīnāmapi śaṅkhaiḥ khidyamānau, catuḥsamudrādhipatimaparaṃ	jalaDInAm-api SaFKEH KidyamAnO, catur-samudra-aDipatim-aparam
   pracetasamapyasahamānau, anapahṛtacchatrānapi vicchāyānavanipālān	pracetasamapi-asahamAnO, anapahRta=-CatrAn-api vicCAyA-anava-nipAlAn
   kurvāṇau, sādhuṣvapyasevitaprasannau, mukhena madhukṣarantau,	kurvANO, sADuzu-api-asevita-prasannO, muKena maDukzarantO,
   duṣṭarājavaṃśānūṣmaṇā dūrasthitānapi mlānimānayantau, anudivasaṃ	duzwa-rAja-vaMSAn-UzmaNA dUra-sTitAn-api mlAnimAnayantO, anu-divasam
   śastrāmyāsaśyāmikākalaṅkitamaśeṣarājakapratāpāgninirvapaṇamalinami va	Sastra-AmyAsa-SyAmikA-kalaFkitam-aSeza-rAjaka-pratApa-agni-nirvapaNa-malinami va
   karatalamudvahantau, yogyākāleṣu	kara-talam-udvahantO, yogya-akAlezu
   dhīrairdhanurdhvanibhirabhyarṇopabhogādigvadhūbhirivālapantau	DIrEH-DanuH-DvaniBiH-aByarNa-upaBoga-Adi-gvaDUBiH-iva-AlapantO
   rājyavardhana iti harṣa iti sarvasyāmeva	rAjya-varDanaH iti harzaH iti sarvasyAm-eva
   pṛthivyāmāvirbhūtaśabdaprādurbhāvau svalpīyasaiva kālena dvīpāntareṣvapi	pRTivyAm-AvirBUta-Sabda-prAdurBAvO svalpIyasA-eva kAlena dvIpa-antarezu-api
   prakāśatāṃ jagmatuḥ /	prakASa-tAm jagmatuH /
   ekadā ca tāvāhūya bhuktavānabhyantaragataḥ pitā sasnehamavādīt--"vatsau!	ekadA ca tO=-AhUya BuktavAn-aByantara-gataH pitA sa-sneham-avAdIt---"vatsO!
   prathamaṃ rājyāṅgaṃ, durlabhāḥ sadbhṛtyāḥ /	praTamam rAjya-aFgaM, durlaBAH sat-BRtyAH /
   prāyeṇa paramāṇava iva samavāyeṣvanuguṇībhūya dravyaṃ kurvanti pārthivaṃ	prAyeNa paramANavaH iva samavAyezu-anuguNIBUya dravyam kurvanti pArTivam
   kṣudrāḥ krīḍārasena nartayantatau mayūratāṃ nayanti bāliśāḥ /	kzudrAH krIxA-rasena nartayantatO mayUra-tAm nayanti bAliSAH /
   darpaṇamivānupraviśyātmīyāṃ prakṛtiṃ saṃkrāmayanti pallavikāḥ /	darpaNam-iva-anupraviSya-AtmIyAm prakRtim saMkrAmayanti pallavikAH /
   svapnā iva mithyādarśanairasadbuddhiṃ janayanti vipralambhakāḥ /	svapnAH iva miTyA-darSanEH-asat-budDim janayanti vipralamBakAH /
   gītanṛtyahasitairunmattatāmāvahantyapekṣitā vikārā iva vātikāḥ, cātakā iva	gIta-nRtya-hasitEH-unmatta-tAm-Avahanti-apekzitAH vikArAH iva vAtikAH, cAtakAH iva
   tṛṣṇāvanto na śakyante grahītumakulīnāḥ mānase mīnamiva	tRzNAvantaH na Sakyante grahItum-akulInAH mAnase mInam-iva
   sphurantamevābhiprāyaṃ gṛhṇanti jālikāḥ /	sPurantam-eva-aBiprAyam gRhNanti jAlikAH /
   yamapaṭṭikā ivāmbare citramālikhantyudgītakāḥ /	yama-pawwikAH iva-ambare citram-AliKanti-udgItakAH /
   śalyaṃ hṛdaye nikṣipantyatimārgaṇāḥ /	Salyam hRdaye nikzipanti-ati-mArgaNAH /
   yataḥ sarvairebhirdeṣābhiṣaṅgairasaṃgatau babhudhaipadhābhiḥ parīkṣitau	yatas sarvEH-eBiH-deza-aBizaFgEH-asaMgatO baBuDA-epaDABiH parIkzitO
   śucī vinītau vikrāntāvabhirūpau mālavarājaputrau bhrātarau bujāviva me	SucI vinItO vikrAntO=-aBirUpO mAlava-rAja-putrO BrAtarO bujO=-iva me
   śarīrādavyatiriktau	SarIrAt-avyatiriktO
   kumāraguptamādhavaguptanāmānāvasmābhirbhavatoranucaratvārthamimau	kumAragupta-mADavagupta-nAmAnO=-asmABiH-BavatoH-anucaratva-arTam-imO
   nirdiṣṭau /	nirdizwO /
   anayorupari bhavadbhyāmapi nānyaparijanasamavṛttibhyāṃ bhavitavyam',	anayoH-upari BavadByAm-api na-anya-parijana-sama-vRttiByAm Bavitavyam-a,
   ityuktvā tayorāhvānāya pratīhāramādideśa /	iti-uktvA tayoH-AhvAnAya pratIhAram-AdideSaH /
   na cirād dvāradeśanihitalocanau rājyavardhanaharṣau pratīhāreṇa saha	na cirAt dvAra-deSa-nihita-locanO rAjya-varDana-harzO pratIhAreNa saha
   praviśantam, agrato jyeṣṭhamaṣṭādaśavarṣavayasaṃ nātyuccaṃ	praviSantam, agratas jyezWam-azwAdaSa-varza-vayasam na-ati-uccam
   nātikharvamatigurubhiḥ padanyāsairanekanarapatisaṃcaraṇacalāṃ	na-ati-Karvam-ati-guruBiH pada-nyAsEH-aneka-narapati-saMcaraNa-calAm
   niścalīkurvāṇamivorvīm,	niScalIkurvANam-iva-urvIm,
   anavaratābhyastalaṅghanaghanopacayakaṭhinamāṃsamedurādūrudvayānniṣpatatevānulvaṇajānugranthiprasūtena	anavarata-aByasta-laFGana-Gana-upacaya-kaWina-mAMsa-medurAdUru-dvayAt-nizpatatA-iva-anulvaNa-jAnu-granTi-prasUtena
   tanutarajaṅghākāṇḍayugalena bhāsamānam, ullikhitapārśvaprakāśitakraśimnā	tanutara-jaFGA-kANxa-yugalena BAsamAnam, ulliKita-pArSva-prakASi-ta-kra-SimnA
   mandaramiva surāsurarabhasabhramitavāsukikaṣaṇakṣīṇena madhyena	mandaram-iva sura-asura-raBasa-Bramita-vAsuki-kazaNa-kzINena maDyena
   lakṣyamāṇam ativistīrṇenorasā svāmisaṃbhāvanānāmaparimitānāmavakāśamiva	lakzyamANam ati-vistIrNena-urasA svAmi-saMBAvanAnAm-aparimitAnAm-avakASam-iva
   prayacchantam, pralambamānasya bhujayugalasya	prayacCantam, pralambamAnasya Buja-yugalasya
   nibhṛtalalitairvikṣepairatidustaraṃ tarantamiva yauvanodadhim,	niBRta-lalitEH-vikzepEH-ati-dustaram tarantam-iva yOvana-udaDim,
   vāmakarakaṭakamāṇikyamarīcigañjarījālinyā	vAma-kara-kawaka-mANikya-marIci-gaQjarI-jAlinyA
   samudbhidyamānapratāpānalaśikhāpallavayeva	samudBidyamAna-pratApa-anala-SiKA-pallava-yA-iva
   cāpaguṇakiṇalekhayāṅkitapīvaraprakoṣṭham,	cApa-guNa-kiNa-leKayA-aFkita-pIvara-prakozWam,
   ālohinīmuccāṃsataṭāvalambinīmastragrahaṇavratavidhṛtāṃ rauravīmiva tvacaṃ	AlohinIm-ucca-aMsa-tawa-avalambinIm-astra-grahaNa-vrata-viDRtAm rOravIm-iva tvacam
   karṇābharaṇamaṇeḥ prabhāṃ bibhrāṇam,	karNa-ABaraNa-maNeH praBAm biBrANam,
   utkoṭikeyūrapatrabhaṅgaputrikāpratibimbagarbhakapolaṃ mukhaṃ	utkowi-keyUra-patra-BaFga-putrikA-pratibimba-garBa-kapolam muKam
   candramasamiva hṛdayasthitarohiṇīkamudvahantam,	candramasam-iva hRdaya-sTita-rohiNIkam-udvahantam,
   acapalāstamitatārakeṇādhomukhena cakṣuṣā śikṣayantamiva	acapala-astamita-tArakeNa-aDomuKena cakzuzA Sikzayantam-iva
   lakṣmīlābhottānitamukhāni paṅkajavanāni vinayam,	lakzmI-lABa-uttAnita-muKAni paFkaja-vanAni vinayam,
   svāmyanurāgamivāmlātakamuttaṃsīkṛtaṃ śirasā dhārayantam, nirdayayā	svAmi-anurAgam-iva-amlAtakam-uttaMsIkRtam SirasA DArayantam, nirdayayA
   kaṅkaṇabhaṅgabhītasakalakārmukārpitāmiva namratāṃ prakāśayantatam, śaiśava	kaFkaNa-BaFga-BIta-sakala-kArmuka-arpitAm-iva namra-tAm prakASayantatam, SESava
   eva nirjitairindriyairaribhiriva saṃyataiḥ śobhamānam, praṇayinīmiva	eva nirjitEH-indriyEH-ariBiH-iva saMyatEH SoBamAnam, praNayinIm-iva
   viśvāsabhūmiṃ kulaputratāmanuvratamānam, tejasvinamapi śīlenāhlādakena	viSvAsa-BUmim kula-putra-tAm-anuvratamAnam, tejasvinam-api SIlena-AhlAdakena
   savitāramiva śaśinātargatena virājamānam, acalānāmapi kāyakārkhasyena	savitAram-iva SaSinA-atargatena virAjamAnam, acalAnAm-api kAyaka-arKasyena
   gandhanamivācarantam, darśanakrītamānandaste vikrīṇānamiva jana	ganDanam-iva-Acarantam, darSana-krItam-AnandaH-te vikrINAnam-iva jana
   saubhāgyena kumāraguptam, pṛṣṭhatastasya kanīyāṃsamatiprāṃśutayā gauratayā	sOBAgyena kumAraguptam, pRzWatas-tasya kanIyAMsam-ati-prAMSutayA gOratayA
   ca manaḥ śilāśelamiva saṃcarantam, anulbaṇamālatīkusumaśekharanibhena	ca manaH SilA-Selam-iva saMcarantam, anulbaNa-mAlatI-kusuma-SeKara-niBena
   nirjigamiṣatā guruṇa śirasi cumbitamiva yaśasā,	nirjigamizatA guruNa Sirasi cumbitam-iva yaSasA,
   parasparaviruddhayorvinayayauvanayościrāt prathamasaṃgamacihnamiva	paraspara-virudDayoH-vinaya-yOvanayoH-cirAt praTama-saMgama-cihnam-iva
   bhrūsaṃgatakena kathayantam, atidhīratayā hṛdayanihitā svāmibhaktimiva	BrU-saMgatakena kaTayantam, ati-DIra-tayA hRdaya-nihitA svAmi-Baktim-iva
   niścalāṃ dṛṣṭiṃ dhārayantam, acchācchacandanarasānulepanaśītalaṃ	niScalAm dRzwim DArayantam, acCa-acCa-candana-rasa-anulepana-SItalam
   saṃnihitahāropadhānaṃ vakṣaḥsthalamanantasāmantasaṃkrānti śrāntāyāḥ śriyo	saMnihita-hAra-upaDAnam vakzaH-sTalam-ananta-sAmanta-saMkrAnti SrAntAyAH SriyaH-
   viśālaṃ śaśimaṇiśilāpaṭṭaśayanamiva bibrāṇam, cakṣuḥ	viSAlam SaSi-maNi-SilA-pawwa-Sayanam-iva bibrANam, cakzuH
   kuraṅgakairghoṇāvaṃśaṃ varāhauḥ skandhapīṭhaṃ mahiṣaiḥ prakoṣṭhabandhaṃ	kuraFgakEH-GoNA-vaMSam varAhOH skanDa-pIWam mahizEH prakozWa-banDam
   vyāghraiḥ parākramaṃ kesaribhirgamanaṃ	vyAGrEH parAkramam kesariBiH-gamanam
   mataṅgajairmṛgayākṣapitaśeṣairbhītairutkocamiva dattaṃ darśayanta	mataFga-jEH-mRgayA-kzapita-SezEH-BItEH-utkocam-iva dattam darSayanta
   mādhavaguptaṃ dadṛśatuḥ /	mADava-guptam dadRSatuH /
   praviśya ca tau dūrādeva caturbhirahgairuttamāṅgena ca gāṃ spṛśantau	praviSya ca tO dUrAt-eva caturBiH-ahgEH-uttamAFgena ca gAm spRSantO
   namaścakratuḥ /	namaH-cakratuH /
   snigdhanarendradṛṣṭinirdiṣṭāmucitāṃ bhūmiṃ bhejāte /	snigDa-narendra-dRzwi-nirdizwAm-ucitAm BUmim BejAte /
   muhūrtaṃ ca sthitvā bhūpatirādideśa tau--"adyaprabhṛti bhavadbhyāṃ	muhUrtam ca sTitvA BUpatiH-AdideSa tO--"adya-praBRti BavadByAm
   kumārāvanuvartanīyau' iti /	kumArO=-anuvartanIyO-a iti /
   "yathājñāpayati devaḥ' iti medinīdo lāyamānamaulibhyāmutthāya	"yaTA-AjQApayati devaH-a iti medinIdaH lAyamAna-mOliByAm-utTAya
   rājyavradhanaharṣau praṇematuḥ /	rAjya-vraDana-harzO praNematuH /
   tau ca pitaram /	tO ca pitaram /
   tataścārabhya kṣaṇamapi nimeṣonmeṣāviva	tatas-ca-AraBya kzaNam-api nimeza-unmezO=-iva
   cakṣurgocarādanapayāntāvucchvāsaniḥśvāsāviva naktandivamabhimukhasthitau	cakzuH-gocarAt-anapayAntO=-ucCvAsa-niHSvAsO=-iva naktandivam-aBimuKa-sTitO
   bhujāviva satatapārśvavartinau kumārayostau babhūvatuḥ /	BujO=-iva satata-pArSva-vartinO kumArayoH-tO baBUvatuH /
   atha rājyaśrīrapi nṛttagītādiṣu vidagdhāsu sakhīṣu sakalāsu kalāsu ca	aTa rAjya-SrIH-api nRtta-gIta-Adizu vidagDAsu saKIzu sakalAsu kalAsu ca
   pratidivasamupacīyamānaparicayā śanaiḥ śanairavardhata /	pratidivasam-upacIyamAna-paricayA SanEs SanEs-avarData /
   parimitaireva divasairyaunavanamāruroha /	parimitEH-eva divasEH-yOnavanam-Aruroha /
   nipeturekasyāṃ tasyāṃ śarā iva lakṣyabhuvi bhūbhujāṃ sarveṣāṃ dṛṣaśṭayaḥ /	nipetuH-ekasyAm tasyAm SarAH iva lakzya-Buvi BUBujAm sarvezAm dRzaSwayaH /
   nūtasaṃpreṣamādibhiśca tāṃ yayācire rājānaḥ /	nUta-saMprezam-AdiBiH-ca tAm yayAcire rAjAnaH /
   kadācittu rājāntaḥpuraprasādasthito bāhyakakṣyāvasthitena puruṣeṇa	kadAcid-tu rAja-antaHpura-prasAda-sTitaH bAhya-kakzya-avasTitena puruzeNa
   svaprastāvāgatāṃ gīyamānāmāryāmaśṛṇot--	sva-prastA=-AgatAm gIyamAnAm-AryAm-aSRNot--
   "udvegamahāvarte pātayati payodharonnamanakāle /	"udvega-mahA-Avarte pAtayati payoDara-unnamana-kAle /
   saridiva taṭamanuvarṣaṃ vivardhamānā sutā pitaram' // 4.5 //	sarit-iva tawam-anu-varzam vivarDamAnA sutA pitaram-a // 4.5 //
   tāṃ ca śrutvā pārśvasthitāṃ mahādevīmutsāritaparijano jagāda--"devi!	tAm ca SrutvA pArSva-sTitAm mahAdevIm-utsArita-parijanaH jagAda--"devi!
