   ADHYAYA 1	ADHYAYAH 1
   idam amṛtam idaṃ brahmedaṃ sarvam || BrhUp_2,5.14 ||//	idam amRtam idam brahma idam sarvam || BrhUp_2,5.14 ||//
   BrhUpBh_2,5.14	Brhu upBh_2,5.14
   yastu kāryakaraṇasaṃghāto mānuṣādijātiviśiṣṭaḥ so 'yamātmā sarveṣāṃ	yaH tu kArya karaNa saMGAtaH mAnuza Adi jAti viSizwaH saH ayam AtmA sarvezAm
   bhūtānāṃ madhu /	BUtAnAm maDu /
   nanvayaṃ śārīraśabdena nirdiṣṭaḥ pṛthivīparyāya eva /	nanu ayam SArIra Sabdena nirdizwaH pRTivI paryAyaH eva /
   na /	na /
   pārthivāṃśasyaiva tatra grahaṇāt /	pArTiva aMSasya eva tatra grahaNAt /
   idaṃ tu sarvātmā pratyastamitādhyātmādhibhūtādisarvaviśeṣaḥ	idam tu sarva AtmA pratyasta mita aDyAtma aDiBUta Adi sarva viSezaH
   sarvabhūtadevatāgaṇaviśiṣṭaḥ kāryakaraṇasaṃghātaḥ so 'yamātmetyucyate /	sarva BUta devatA gaNa viSizwaH kArya karaNa saMGAtaH saH ayam AtmA iti ucyate /
   tasminnasminnātmani tejomayo 'mṛtamayaḥ puruṣo 'yamūrtarasaḥ sarvātmako	tasmin= asmin= Atmani tejaH mayaH amRta mayaH puruzaH ayamUrta rasaH sarva AtmakaH 
   nirdiśyate /	nirdiSyate /
   ekadeśena tu pṛthivyādiṣu nirdiṣṭo 'trādhyātmaviśeṣābhāvātsa na nirdiśyate	eka deSena tu pRTivI Adizu nirdizwaH atra aDyAtma viSeza aBAvAt sa na nirdiSyate
   yastu pariśiṣṭo vijñānamayo yadartho 'yaṃ dehaliṅgasaṃghāta ātmā sa	yaH tu pariSizwaH vijQAna mayaH yad arTaH ayam deha liFga saMGAtaH AtmA sa
   yaścāyamātmetyucyate //14//	yaH ca ayam AtmA iti ucyate //14//
   START BrhUp 2,5.15	START BrhUp 2,5.15
   sa vā ayam ātmā sarveṣāṃ adhipatiḥ sarveṣāṃ bhūtānāṃ rājā |	sa vE ayam AtmA sarvezAm aDipatiH sarvezAm BUtAnAm rAjA |
   tad yathā rathanābhau ca rathanemau cārāḥ sarve samarpitāḥ |	tat yaTA raTa nABO ca raTa nemO cArAH sarve samarpitAH |
   evam evāsminn ātmani sarvāṇi bhūtāni sarve devāḥ sarve lokāḥ sarve prāṇāḥ	evam eva asmin Atmani sarvANi BUtAni sarve devAH sarve lokAH sarve prANAH
   sarva eta ātmānaḥ samarpitāḥ || BrhUp_2,5.15 ||	sarve ete AtmAnaH samarpitAH || BrhUp_2,5.15 ||
   BrhUpBh_2,5.15	Brhu upBh_2,5.15
   yasminnātmani pariśiṣṭo vijñānamayo 'mātmā /	yasmin= Atmani pariSizwaH vijQAna mayaH amAtmA /
   tasminnavidyākṛtakāryakaraṇasaṅghātopadhiviśiṣṭe brahmavidyāyā	tasmin= avidyA kRta kArya karaNa saFGAta upaDi viSizwe brahma vidyAyAH 
   paramārthātmani praveśite, sa evamuttko 'nantaro 'bāhyaḥ kṛtastraḥ	parama arTa Atmani praveSite, saH evam uttkaH anantaraH abAhyaH kRtastraH
   prajñānaghanabhūtaḥ sarveṣāṃ bhūtānāmayamātmā sarvairūpāsyaḥ sarveṣāṃ	prajQAna Gana BUtaH sarvezAm BUtAnAm ayam AtmA sarvErUpAsyaH sarvezAm
   bhūtānāmadhipatiḥ sarvabhūtānāṃ svatantro na kumāramātyavat, kiṃ tarhi?	BUtAnAm aDipatiH sarva BUtAnAm svatantraH na kumAra m Atyavat, kim tarhi?
   sarveṣāṃ bhūtānāṃ rājā /	sarvezAm BUtAnAm rAjA /
   rājatvaviśeṣaṇamadhipatiriti;bhavati kaścidrājocitaṣṭattimāśritya rājā, na	rAja tva viSezaNam aDipatiH iti;Bavati kaScid rAja ucitazwattim ASritya rAjA, na
   tvadhipatiḥ, ato viśinaṣṭyadhipatiriti /	tu aDipatiH, atas viSinazwi aDipatiH iti /
   evaṃ sarvabhūtātmā vidvān brahmavinmuttko bhavati /	evam sarva BUta AtmA vidvAn brahma vid muttkaH Bavati /
   yaduttkam 'brahmavidyayā sarvaṃ bhaviṣyanto manuṣyā manyante kimu	yat uttkam abrahma vidyayA sarvam BavizyantaH manuzyAH manyante kimu
   tadbrahmāvedyasmāttatsarvamabhavat'itīdaṃ tad vyākhyātam /	tat brahmA vedyasmAt tat sarvam aBavat aiti idam tat vyAKyAtam /
   evamātmānabheva sarvātmatvena ācāryagamābhyāṃ śrutvā, matvā tarkato	evam AtmAnaBeva sarva Atma tvena AcArya gamAByAm SrutvA, matvA tarkato
   vijñāya sākṣādevaṃ yathā madhubrāhmaṇe darśitaṃ tathā,	vijQAya sAkzAt evam yaTA maDu brAhmaNe darSitam taTA,
   tasmādbrahmavijñānādevaṃlakṣaṇāt pūrvamapibrahemaiva sadavidyayā	tasmAt brahma vijQAnAt evaMlakzaNAt pUrvam apibrahema eva sat avidyayA
   abrahmāsīt, sarvabheva ca sadasarvamāsīt	abrahma AsIt, sarva Beva ca sat asarvam AsIt
   tāntvavidyāmasmādvijñanāttiraskṛtya brahmavidbrahmaiva san brahmābhavat	tAntu avidyAm asmAt vijQanAt tiraskRtya brahma vid brahmA eva san brahmA aBavat
   sarvaḥ sa sarvamabhavat /	sarvaH sa sarvam aBavat /
   parisamāptaḥ śāstrārtho yadarthaḥ prastutaḥ /	parisamAptaH SAstra arTaH yad arTaH prastutaH /
   tasminnetasmin sarvātmabhūte brahmavidi sarvātmani sarvaṃ jagat	tasmin= etasmin sarva Atma BUte brahma vidi sarva Atmani sarvam jagat 
   samarpitamityetasminnarthe dṛṣṭānta upādīyate tadyathā rathanābhau ca	samarpitam iti etasmin= arTe dRzwAntaH upAdIyate  tat yaTA raTa nABO ca
   rathenemau cārāḥ sarve samarpitā iti prasidvor'thaḥ, evamevāsminnātmani	raTena imO cArAH sarve samarpitAH iti prasidvor aTaH, evam eva asmin= Atmani
   paramātmabhūte brahmavidi sarvāṇi bhūtāni brahmādistambaryantāni, sarve	paramAtma BUte brahma vidi sarvANi BUtAni brahma Adi stambarI antAni, sarve
   devā agnyādayaḥ, sarve lokā	devAH agni AdayaH, sarve lokA
   bhūrādayaḥ, sarve praṇā vāgādayaḥ, sarva eta ātmāno jalacandravat	BUH AdayaH, sarve praNA vAc AdayaH, sarve ete AtmAnaH jala candra vat 
   pratiśarīrānupraveśino 'vidyākalpitāḥ, sarvaṃ jagadasmin samarpitam /	prati SarIra anupraveSinaH avidyA kalpitAH, sarvam jagat asmin samarpitam /
   yaduttkaṃ brahmavidvāmadevaḥ pratipede 'ahaṃ manurabhavaṃ sūryaśca'iti, sa	yat uttkam brahma vid vAmadevaH pratipede  aaham manuH aBavam sUryaH ca aiti, sa
   eṣa sarvātmabhāvo vyākhyātaḥ /	eza sarva Atma BAvaH vyAKyAtaH /
   sa eṣa vidvān brahmavit sarvopādhiḥ sarvātmā sarvo bhavati /	saH eza vidvAn brahma vid sarva upADiH sarva AtmA sarvaH Bavati /
   nirupādhirnirupākhyaḥ anantaro 'bāhyaḥ kṛtsnaḥ prajñānaghano 'jājaro	nirupADiH nirupAKyaH anantaraH abAhyaH kRtsnaH prajQAna GanaH aja ajaraH 
   'mṛtobhayo 'calo neti netyasthūlo 'naṇurityevaṃviśeṣaṇo bhavati /	amRta uBayaH acalaH na iti na iti asTUlaH anaNuH iti evaMviSezaNaH Bavati /
   tametamarthamajānantastārkikāḥ kecit paṇḍitaṃmanyāścāgamavidaḥ śāstrārtha	tam etam arTam aja anantaH tArkikAH kecid paNxitaMmanyAH ca Agama vidaH SAstra arTa
   virudvaṃ manyamānā vikalpayanto mohamagādhamupayānti /	virudvam manyamAnAH vikalpayantaH moham agADam upayAnti /
   tametamarthametau manetrāvanuvadataḥ  "anejadekaṃ manaso javīyaḥ"	tam etam arTam etO manetrO= anuvadataH  "anejat ekam manasaH javIyaH"
   "tadejati tannaijati"iti /	"tadejati tat na ejati" iti /
   tathā ca taittirīyake  "yasmātparaṃ nāpāramasti kiñcat""etatsāma	taTA ca tEttirIya ke  "yasmAt param na apAram asti kiQcat""etat sAma
   gāyannāste" "ahamannamahamannamahamannam"ityādi /	gAyan= Aste" "aham annam aham annam aham annam "ityAdi /
   tathā ca cchāndogye"jakṣat krīḍanramamāṇaḥ" "sayadi pitṛlokakāmaḥ"	taTA ca cCAndogye" jakzat krIxa n ramamANaH" "sayadi pitR loka kAmaH"
   "sarvagandhaḥ sarvarasaḥ"ityādi /	"sarva ganDaH sarva rasaH"ityAdi /
   āyarvaṇe ca"sarvajñaḥ sarvavit""dūrāta sudūre tadihāntike ca /	AyarvaNe ca" sarvajQaH sarva vit""dUrAta sudUre tat iha antike ca /
   "kaṭhavallīṣvapi"aṇoraṇīyān mahato mahīyān" "kastaṃ madāmadaṃ devam"	"kaWa vallIzu api"aNoH aNIyAn mahataH mahIyAn" "kaH tam madAmadam devam"
   "tadvāvato 'nyānatyeti tiṣṭhat"iti ca /	"tadvAvataH anyAnatyeti tizWat"iti ca /
   tathā gītāsu"ahaṃ kraturahaṃ yajñaḥ" "pitāhamasya jagataḥ" "nādatte	taTA gItAsu "aham kratuH aham yajQaH" "pitA aham asya jagataH" "nAdat te
   kasyacit pāpam" "samaṃ sarveṣu bhūteṣu" "avimattkaṃ vibhattkepu" "grasiṣṇu	kasyacid pApam" "samam sarvezu BUtezu" "avimattkam viBatt kepu" "grasizNu
   prabhaviṣṇu ca"ityevamādyāgamārtha virudvamiva	praBavizNu ca"iti evamAdi a Agama arTa virudvam iva
   pratibhāntaṃ manyamānāḥ svacittasāmarthyādarthanirṇayāya vikalpayantaḥ,	pratiBA antam manyamAnAH sva citta sAmarTyAt arTa nirNayAya vikalpayantaH,
   astyātmā nāstyātmā kartākartā muttko badvaḥ kṣaṇiko vijñānamātraṃ śūnyaṃ	asti AtmA na asti AtmA kartA akartA muttkaH badvaH kzaNikaH vijQAna mAtram SUnyam
   cetyevaṃ vikalpayanto na pāramadhigacchantyavidyāyāḥ, virudvarrmadarśitvāt	ca iti evam vikalpayantaH na pAram aDigacCanti avidyAyAH, virudvarrma darSi tvAt 
   sarvatra /	sarvatra /
   tasmāttatra ya eva śrutyācāryadarśitamārgānusāriṇaḥ, ta evāvidyāyāḥ	tasmAt tatra yaH eva Sruti AcArya darSita mArga anusAriNaH, te eva avidyAyAH
   pāramadhigacchanti /	pAram aDigacCanti /
   ta eva vāsmānmohasamudrādagādhāduttariṣyanti, netare	te eva vA asmAn moha samudrAt agADAt uttarizyanti, na itare
   svavudvikauśalānusāriṇaḥ //15 //	sva vudvi kOSala anusAriNaH //15 //
   START BrhUp 2,5.16	START BrhUp 2,5.16
   parisamāptā brahmavidyāmṛtatvasādhanābhūtā, yāṃ maitreyī pṛṣṭavatī	parisamAptA brahma vidyA amRta tva sADana aBUtA, yAm mEtreyI pRzwavatI
   bhartāram 'yadeva bhagavānamṛtatvasādhanaṃ veda tadeva me brūhi'iti /	BartAram ayat eva BagavAn amRta tva sADanam veda tat eva me brUhi aiti /
   etasyā brahmavidyāyāḥ stutyartheyamākhyāyikāyāḥ	etasyAH brahma vidyAyAH stuti arTeyam AKyAyikAyAH
   saṅkṣepator'thaprakāśanārthāvetau mantrau bhavataḥ /	saFkzepator aTa prakASana arTO= etO mantrO BavataH /
   evaṃ hi mantrabrāhmaṇābhyāṃ stutatvāt amṛtatvasarvaprāptisādhanatvaṃ	evam hi mantra brAhmaNAByAm stuta tvAt amRta tva sarva prApti sADana tvam
   brahmavidyāyāḥ prakaṭīkṛtaṃ rājamārga mupanītaṃ bhavati  yathāditya	brahma vidyAyAH prakawIkRtam rAjamArga mupanItam Bavati   yaTA Aditya
   udyañchalārvaraṃ tamo 'panayatīti tadvat /	udyan Sala arvaram tamaH apanayati iti tadvat /
   api caivaṃ stutā brahmavidyāyā indrarakṣitā sā duṣprāpyā	api ca evam stutA brahma vidyAyAH indra rakzitA sA duzprApyA
   devairapi;.smādaścibhyāmapidevabhipagbhyāmindrarakṣitā vidyā mahatāyāsena	devEH api;.smAdaH ciByAm apideva BipagByAm indra rakzitAH vidyA mahatA AyAsena
   prāptā /	prAptA /
   brāhmaṇasya śiraśchittvāśvayaṃ śiraḥ pratisandhāya tasminnindreṇacchinne	brAhmaNasya SiraH CittvA Svayam SiraH pratisanDAya tasmin= indreNa= Cinne
   punaḥ svaśira eva pratisandhāya tena brāhmaṇasya svaśirasaivottkāśeṣā	punar sva SiraH eva pratisanDAya tena brAhmaNasya sva SirasA eva uttkASezA
   brahmavidyā śrutā /	brahma vidyA SrutAH /
   tasmāttataḥ parataraṃ kiñcit puruṣārthasādhanaṃ na bhūtaṃ na bhāvi vā,	tasmAt tatas parataram kiQcid puruza arTa sADanam na BUtam na BAvi vA,
   kuta eva vartamānam, iti nātaḥ parāstutirasti /	kutas eva vartamAnam, iti na atas parAstutiH asti /
   api caivaṃ stūyate brahmavidyāsarvapuruṣārthānāṃ karma hi sādhanamiti loke	api ca evam stUyate brahma vidyA sarva puruza arTAnAm karma hi sADanam iti loke
   prasidvam /	prasidvam /
   tacca karma vittasādhyam,	tat ca karma vitta sADyam,
   tenāśāpināstyamṛtatvasya /	tena aSApinA asti amRta tvasya /
   tadidamamṛtatvaṃ kevalayātmavidyayā karmanirapekṣayā prāpyate;yasmāt	tat idam amRta tvam kevalayA Atma vidyayA karma nirapekzayA prApyate;yasmAt 
   karmaprakaraṇe vaktuṃ prāptapi kevalaprakaraṇe, karmaprakaraṇāduttīrta	karma prakaraNe vaktum prAptapi kevala prakaraNe, karma prakaraNAt uttIrta
   karmaṇā virudvatvāt kevalasaṃnyāsasahitā abhihitā amṛtatvasādhanāya /	karmaNA virudva tvAt kevala saMnyAsa sahitAH aBihitAH amRta tva sADanAya /
   tasmānnātaḥ paraṃ puruṣārthasādhanamasti /	tasmAt na atas param puruza arTa sADanam asti /
   api caivaṃ stutā brahmavidyā sarvo hi loko dvandvārāmaḥ"sa vai naiva reme	api ca evam stutA brahma vidyA sarvaH hi lokaH dvandva ArAmaH"sa vE na eva reme
   tasmādekākī na ramate"iti śruteḥ /	tasmAt ekAkI na ramate"iti SruteH /
   yājñavalkyo lokasādhāraṇo 'pi	yAjQavalkyaH loka sADAraNaH api
   sannātmajñānabaladbhāryāputravittādisaṃsāraratiṃ parityajya prajñānatṛpta	sanna Atma jQAna balat BAryA putra vitta Adi saMsAra ratim parityajya prajQAna tRpta
   ātmaratirbabhūva /	Atma ratiH baBUva /
   api caivaṃ stutā brahmavidyā yasmādyājñavalkyenasaṃsāramārgad	api ca evam stutAH brahma vidyA yasmAt yAjQavalkyena saMsAra mArgad
   vyuttiṣṭhatāpi priyāyai bhāryāyai protyarthameṃvāmihitā,"priyaṃ bhāpasa	vyuttizWatA api priyAyE BAryAyE proti arTam eMvAmi hitA," priyam BApasa
   ehyāḥsva"iti liṅgāt /	ehi AH sva"iti liFgAt /
   tatreyaṃ stutyarthākhyāyiketyavocāma /	tatra iyam stuti arTa AKyAyikA iti avocAma /
   kā punaḥ sā ākhyāyikā? ityucyate   	kA punar sA AKyAyikA? iti ucyate   
   idaṃ vai tan madhu dadhyaṅṅ ātharvaṇo 'śvibhyām uvāca |	idam vE tat maDu daDyaF ATarvaNaH aSviByAm uvAca |
   tad etad ṛṣiḥ paśyann avocat    tad vāṃ narā sanaye daṃsa ugram āviṣ	tat etat RziH paSyan avocat   tat vAm narAH sanaye daMsaH ugram Aviz
   kṛṇomi tanyatur na vṛṣṭim |	kRNomi tanyatuH na vRzwim |
   dadhyaṅ ha yan madhv ātharvaṇo vām aśvasya śīrṣṇā pra yad īm uvāceti ||	daDyaF ha yat maDu ATarvaNaH vAm aSvasya SIrzNA pra yat Im uvAca iti ||
   BrhUp_2,5.16 ||	BrhUp_2,5.16 ||
   BrhUpBh_2,5.16	Brhu upBh_2,5.16
   idamityanantaranirdiṣṭaṃ vyapadiśati, budvau sannihitatvāt /	idam iti anantara nirdizwam vyapadiSati, budvO sannihita tvAt /
   vaiśabdaḥ smaraṇārthaḥ /	vESabdaH smaraNa arTaH /
   tadityākhyāyikānirvṛttaṃprakaraṇāntarābhihitaṃ parokṣaṃ vaiśabdena	tad iti AKyAyikA nirvRttaMprakaraNa antara aBihitam parokzam vESabdena
   smārayanniha vyapadiśati /	smArayan= iha vyapadiSati /
   yattat pravargyaprakaraṇe mūcitam, nāviṣkṛtaṃ madhu, tadidaṃ	yat tat pravargya prakaraNe mUcitam, na AvizkRtam maDu, tat idam
   madhvihānantaraṃ nirdiṣṭam 'iyaṃ pṛthivī'ityādinā /	maDu iha anantaram nirdizwam  aiyam pRTivI aityAdinA /
   kathaṃ tatra prakaraṇānte sūcitam dadhyaṅ ha vā ābhyāmātharvaṇo madhu nāma	kaTam tatra prakaraNa ante sUcitam daDyaF ha vE AByAm ATarvaNaH maDu nAma
   brāhmaṇamuvāca /	brAhmaNam uvAca /
   tadenayoḥ priyaṃ dhāma tadevainayoretenopagacchati /	tat enayoH priyam DAma tat eva enayoH etena upagacCati /
   sa hovācendreṇa vā uttko 'smayetaccedanyasmā anuvrūyāstata eva te	sa ha uvAca indreNa vA uttkaH asmayetat ced anyasmE anuvrUyAH tatas eva te
   śiraśchindyāmiti /	SiraH CindyAm iti /
   tasmādvai bibhemi, yadvai me sa śiro na chindyāt tadvāmupaneṣya iti /	tasmAt vE biBemi, yat vE me sa SiraH na CindyAt tadvAm upanezyaH iti /
   tau hocaturāvāṃ tvā tasmāt trāsyāvahe iti kathaṃ mā trāsyethe? iti /	tO ha UcaturAvAm tvA tasmAt trAsyAvahe iti kaTam mA trAsyeTe? iti /
   yadā nāvupaneṣyase;atha te śiraśchittvā	yadA nO= upanezyase;aTa te SiraH CittvA
   anyatrāhratyopanidhāsyāvaḥ;athāśvasya śira āhratya tatte	anyatra Ahratya upaniDAsyAvaH;aTa aSvasya SiraH Ahratya tat te
   pratidhāsyāvaḥ;tena nāvanuvakṣyasi /	pratiDAsya avaH;tena na a= anuvakzyasi /
   yadā nāvanuvakṣyasi, atha te tadindraḥ śiraśchetsyati;atha te svaṃ śira	yadA na a= anuvakzyasi, aTa te tad indraH SiraH Cetsyati;aTa te svam Sira
   āhratya tatte pratidhāsyāva iti /	Ahratya tat te pratiDAsyAvaH iti /
   tatheti tau hopaninye /	taTA iti tO ha upaninye /
   tau yadopaninye, athāsya śiracchittvānyatropanidadhutuḥ;athāśvasya śira	tO yadA upaninye, aTa asya Sirat CittvA anyatra upanidaDutuH ;aTa aSvasya Sira
   āhratya tadvāsya pratidadhatuḥ /	Ahratya tat vA asya pratidaDatuH /
   tena hābhyāmanuvāca /	tena hAByAm anuvAca /
   sa yadā ābhyāmanuvācāthāsya tadindraḥ śiraściccheda /	sa yadA AByAm anuvAca aTa asya tat indraH SiraH cicCedaH /
   athāsya svaṃ śira āhratya tadvāsya pratidadhaturiti /	aTa asya svam SiraH Ahratya tat vA asya pratidaDatuH iti /
   yāvattu pravargyakarmāṅgabhūtaṃ madhu tāvadeva tatrābhihitam, na tu	yAvat tu pravargya karma aFga BUtam maDu tAvat eva tatra aBihitam, na tu
   kakṣyamātmājñānākhyam /	kakzyam AtmA ajQAna AKyam /
   tatra yā ākhyāyikābhihitā seha stutyarthā pradarśyate /	tatra yA AKyAyikA aBihitA sA iha stuti arTA pradarSyate /
   idaṃ vai tanmadhu dadhyaṅṅātharvaṇo 'nena prapañcenāśvibhyāmuvāca /	idam vE tad maDu daDyak FATarvaNaH anena prapaQcena aSviByAm uvAca /
   tadetadṛpiḥ tadetat karma, śṛpirmantraḥ, paśyannupalabhamānaḥ,	tat etat RpiH tat etat karma, SRpiH mantraH, paSyan= upalaBamAnaH,
   avocat uttkavān /	avocat  uttkavAn /
   katham? taddaṃsa iti vyavahitena sambandhaḥ /	kaTam? tad daMsaH iti vyavahitena sambanDaH /
   daṃsa iti karmaṇo nāmadheyam /	daMsaH iti karmaNaH nAmaDeyam /
   tacca daṃsaḥ kiviśiṣṭam? ugraṃ krūram /	tat ca daMsaH kiviSizwam? ugram krUram /
   vāṃ yuvayoḥ /	vAm yuvayoH /
   he narā narākārāvaśvinau /	he narAH nara AkArO= aSvinO /
   tacca karma kinnimitam? sanaye lābhāya !lāmalubdho hi loke 'pi krūraṃ	tat ca karma kinnimitam? sanaye lABAya !lAma lubDaH hi loke api krUram
   karmācarati, tathaivaitāvupalabhyete yathā soke /	karma Acarati, taTA eva etO= upalaByete yaTA soke /
   tadāviḥ prakāśaṃ kṛṇomi karomi yadrahasi bhavadbhayāṃ kṛtam, kimiva?	tadAviH prakASam kRNomi karomi yat rahasi Bavat BayAm kRtam, kim iva?
   ityucyate  tanyatuḥ parjanyaḥ, na iva /	iti ucyate  tanyatuH parjanyaH, naH iva /
   nakārastūpariṣṭādupacāra upamārthīyo vede, na pratipedhārthaḥ;yathāśvaṃ na	nakAraH tu uparizwAt upacAraH upamA arTIyaH vede, na pratipeDa arTaH;yaTASvam na
   aśvamiveti yadvat /	aSvam iva iti yadvat /
   tanyaturiva vṛrṣṭi yathā parjanyo vṛrṣṭi prakāśayati stanayitnvādiśabdaiḥ,	tanyatuH iva vRrzwi yaTA parjanyaH vRrzwi prakASayati stanayitnu A Adi SabdEH,
   tadvadahaṃ yuvayoḥ krūraṃ karma āviṣkṛṇomīti sambandhaḥ /	tadvat aham yuvayoH krUram karma AvizkRNomi iti sambanDaH /
   nanvaśvinoḥ stutyarthau kathamimau mantrau syātāṃ nindāvacanau hīmau /	nanu aSvinoH stuti arTO kaTam imO mantrO syAtAm nindA vacanO hi imO /
   naipa doṣaḥ;stutirevaiṣā, na nindāvacanau /	na epa dozaH;stutiH eva ezA, na nindA vacanO /
   yasmādīdṛśamapyatikrūraṃ karma kurvatoryuvayorna loma ca mīyata iti /	yasmAt IdRSam api atikrUram karma kurvatoH yuvayoH na loma ca mIyate iti /
   na cānyatkiñcidvīyata eveti /	na ca anyat kiQcid vIyate eva iti /
   stutāvetau bhavataḥ /	stutO= etO BavataH /
   nindāṃ praśaṃsāṃ hi laukikāḥ smaranti /	nindAm praSaMsAm hi lOkikAH smaranti /
   tathā praśaṃsārūpā ca nindā loke prasidvā /	taTA praSaMsA rUpA ca nindA loke prasidvA /
   dadhyaṅnāma ātharvaṇaḥ /	daDyak nAmaH ATarvaNaH /
   hetyanarthako nipātaḥ /	hA iti anarTakaH nipAtaH /
   yanmadhukakṣyamātmajñānalakṣaṇamāthavaṇo vāṃ yukābhyāmaśvasya śīrṣṇā	yat maDu kakzyam Atma jQAna lakzaNam ATavaNaH vAm yukAByAm aSvasya SIrzNA
   śirasā prayat īm uvāca yat provāca madhu /	SirasA prayat Im uvAca yat provAca maDu /
   īmityanarthako nipātaḥ //16//	Im iti anarTakaH nipAtaH //16//
   START BrhUp 2,5.17	START BrhUp 2,5.17
   idaṃ vai tan madhu dadhyaṅṅ ātharvaṇo 'śvibhyām uvāca |	idam vE tat maDu daDyaF ATarvaNaH aSviByAm uvAca |
   tad etad ṛṣiḥ paśyann avocat    ātharvaṇāyāśvinau dadhīce 'śvyaṃ śiraḥ	tat etat RziH paSyan avocat   ATarvaNAya aSvinO daDIce aSvyam SiraH
   praty airayatam |	prati Erayatam |
   sa vāṃ madhu pra vocad ṛtāyan tvāṣṭraṃ yad dasrāv apikakṣyaṃ vām iti ||	sa vAm maDu pra vocat RtAyan tvAzwram yat dasrO api kakzyam vAm iti ||
   BrhUp_2,5.17 ||	BrhUp_2,5.17 ||
   BrhUpBh_2,5.17	Brhu upBh_2,5.17
   idaṃ vai tanmadhvityādi pūrvavanmantrāntaradarśanārtham /	idam vE tad maDu ityAdi pUrvavat mantra antara darSana arTam /
   tathānyo mantrastāmeva ākhyāyikāmanusaratisma /	taTA anyaH mantraH tAm eva AKyAyikAm anusaratisma /
   ātharvaṇo dadhyaṅnāma, ātharvaṇo 'nyo vidyata ityato viśinaṣṭi	ATarvaNaH daDi ak nAma, ATarvaNaH anyaH vidyate iti atas viSinazwi
   dadhyaṅnāmātharvaṇaḥ /	daDyak nAma ATarvaNaH /
   tasmai dadhīca ātharvaṇāya he 'śvināviti mantradṛśo vacanam, aśvyama	tasmE daDIcaH ATarvaNAya he aSvinO= iti mantra dRSaH vacanam, aSvyam a
   śvasya svabhūtaṃ śiraḥ, brāhmaṇasya śirasicchinne 'śvasya	Svasya sva BUtam SiraH, brAhmaNasya Sira sicCinne aSvasya
   śiraśchittvedṛśamatikrūraṃ karma kṛtvā aśvayaṃ śiro brāhmaṇaṃ prati	SiraH CittvA IdRSam atikrUram karma kRtvA aSvayam SiraH brAhmaNam prati
   erayataṃ gamitavantau yuvām /	erayatam gamitavantO yuvAm /
   sa cātharvaṇo vāṃ yuvābhyāṃ tanmadhu pravocad yat pūrvaṃ pratijñātaṃ	sa ca ATarvaNaH vAm yuvAByAm tad maDu pravocat yat pUrvam pratijQAtam
   vakṣyāmīti /	vakzyAmi iti /
   sa kimarthamevaṃ jīvitasandehamāruhya pravocat? ityucyate /	sa kimarTam evam jIvita sandeham Aruhya pravocat? iti ucyate /
   śṛtāyan yata pūrvaṃ pratijñātaṃ satyaṃ tat paripālayitumicchan /	SRtAyan yata pUrvam pratijQAtam satyam tat paripAlayitum icCan /
   jīvitādapi hi satyadharmaparipālanā gurutaretyesya liṅgametat /	jIvitAt api hi satya Darma paripAlanAH gurutarA iti esya liFgam etat /
   ki tanmadhu pravocat? ityucyate tvāṣṭram, tvaṣṭā ādityastasya sambandhi,	ki tad maDu pravocat? iti ucyate tva azwram, tvazwA AdityaH tasya sambanDi,
   yajñasya śiraśchinnaṃ tvaṣṭābhavat,	yajQasya SiraH Cinnam tu azwA aBavat,
   tatpratisandhānārtha pravargya karma /	tad pratisanDAna arTa pravargya karma /
   tatra pravargyakarmāṅgabhūtaṃ yad vijñānaṃ tattvāṣṭraṃ madhu yajñasya	tatra pravargya karma aFga BUtam yat vijQAnam tat tvAzwram maDu yajQasya
   śiraśchedanapratisandhānādiviṣayaṃ darśanaṃ tattvāṣṭraṃ yanmadhu he	SiraH Cedana pratisanDAna Adi vizayam darSanam tat tvAzwram yat maDu he
   dastro, dastrāviti parabalānāmupakṣapayitārau śatrūṇāṃ vā	dastro, dastrO= iti para balAnAm upakza payitArO SatrUNAm vA
   hiṃsitārau, api ca na kevalaṃ tvāṣṭrameva madhu	hiMsitArO, api ca na kevalam tvAzwram eva maDu
   karmasambandhiyuvābhyāmavocat, api ca kakṣyaṃ gopyaṃ rahasyaṃ	karma sambanDi yuvAByAm avocat, api ca kakzyam gopyam rahasyam
   paramātmasambandhi yad vijñānaṃ madhu	parama Atma sambanDi yat vijQAnam maDu
   madhubrāhmaṇenottkamadhyāyadvayaprakāśitam, tacca vāṃ yuvābhyāṃ	maDu brAhmaNena uttkama DyAya dvaya prakASitam, tat ca vAm yuvAByAm
   pravocadityanuvartate //17//	pravocat iti anuvartate //17//
   START BrhUp 2,5.18	START BrhUp 2,5.18
   idaṃ vai tan madhu dadhyaṅṅ ātharvaṇo 'śvibhyām uvāca |	idam vE tat maDu daDyaF ATarvaNaH aSviByAm uvAca |
   tad etad ṛṣiḥ paśyann avocat    puraś cakre dvipadaḥ puraś cakre	tat etat RziH paSyan avocat   puras cakre dvipadaH puras cakre
   catuṣpadaḥ |	catuzpadaH |
   puraḥ sa pakṣī bhutvā puraḥ puruṣa āviśad iti |	puras sa pakzI ButvA puras puruzaH AviSat iti |
   sa vā ayaṃ puruṣaḥ sarvāsu pūrṣu puriśayaḥ |	sa vE ayam puruzaH sarvAsu pUrzu puriSayaH |
   nainena kiṃ canānāvṛtam |	na enena kim cana anAvRtam |
