   bhīṣmaparva	BIzma-parva
   āsuraṃ bhāvamāpannā bhajante yonimāsurīm // Bhmj_6.169 //	Asuram BAvam-ApannAH Bajante yonim-AsurIm // Bhmd-_6.169 //
   sattvādibhirguṇairbaddho jñāyate ceṣṭitairjanaḥ /	sattva-AdiBiH-guNEH-badDaH jQAyate cezwitEH-janaH /
   manobhojanamācāro guṇatulyo hi dehinām // Bhmj_6.170 //	manaH-Bojanam-AcAraH guNa-tulyaH hi dehinAm // Bhmd-_6.170 //
   ***** śrīgītāsu ṣoḍaśo 'dhyāyaḥ || 17 || *****	***** SrIgItAsu zoxaSaH aDyAyaH || 17 || *****
   ākarṇyaitadathovāca phalgunaḥ punaracyutam /	AkarNya-etat-aTa-uvAca PalgunaH punar-acyutam /
   saṃnyāsatyāgayostatvaṃ jñātumicchāmyahaṃ vibho // Bhmj_6.171 //	saMnyAsa-tyAgayoH-tatvam jQAtum-icCAmi-aham viBo // Bhmd-_6.171 //
   ukte pāṇḍusuteneti bhagavānabhyabhāṣata /	ukte pANxu-sutena-iti BagavAn-aByaBAzata /
   kāmyakarmaphalatyāgaṃ saṃnyāsaṃ saṃpracakṣate // Bhmj_6.172 //	kAmya-karma-Pala-tyAgam saMnyAsam saMpracakzate // Bhmd-_6.172 //
   sarvakarmaphalatyāgastyāga ityabhidhīyate /	sarva-karma-Pala-tyAgaH-tyAgaH iti-aBiDIyate /
   ma(sa)tkarma na parityājyaṃ tyājyaṃ tu vidhigarhitam // Bhmj_6.173 //	ma(sa)tkarma na parityAjyam tyAjyam tu viDi-garhitam // Bhmd-_6.173 //
   nityakarmaparityāgo mohāttāmasa ucyate /	nityakarma-parityAgaH mohAt-tAmasaH ucyate /
   kleśaduḥkhabhayāttyāgo rājaso niṣphalaḥ smṛtaḥ /	kleSa-duHKa-BayAt-tyAgaH rAjasaH nizPalaH smRtaH /
   kurvatāmapyasaktānāṃ tyāgaḥ sattvocito mataḥ // Bhmj_6.174 //	kurvatAm-api-asaktAnAm tyAgaH sattva-ucitaH mataH // Bhmd-_6.174 //
   ***** śrīgītāsu saptadaśo 'dhyāyaḥ || 18 || *****	***** SrIgItAsu saptadaSaH aDyAyaH || 18 || *****
   karma kartā ca buddhiśca trividhā guṇabhedataḥ /	karma kartA ca budDiH-ca triviDA guNa-BedataH /
   dhṛtiḥ sukhaṃ ca traiguṇyāttrividhaṃ dehināṃ matam // Bhmj_6.175 //	DRtiH suKam ca trEguNyAt-triviDam dehinAm matam // Bhmd-_6.175 //
   yathoktasevī niḥsaṅgaḥ kuru karma nijaṃ sakhe /	yaTA-ukta-sevI niHsaFgaH kuru karma nijam saKe /
   madbhakto matstutiparaḥ paraṃ padamavāpsyasi // Bhmj_6.176 //	mad-BaktaH mad-stuti-paraH param padam-avApsyasi // Bhmd-_6.176 //
   idaṃ bhaktāya te jñānamupadiṣṭaṃ mayā svayam /	idam BaktAya te jQAnam-upadizwam mayA svayam /
   yaḥ śroṣyati sa saṃsāraduḥkhānyatitariṣyati // Bhmj_6.177 //	yaH Srozyati sa saMsAra-duHKAni-atitarizyati // Bhmd-_6.177 //
   kaccinmoho vinaṣṭaste kaccidetacchrutaṃ tvayā /	kaccit-mohaH vinazwaH-te kaccit-etat-Srutam tvayA /
   keśaveneti kathite babhāṣe śakranandanaḥ // Bhmj_6.178 //	keSavena-iti kaTite baBAze SakranandanaH // Bhmd-_6.178 //
   bhagavanvītamoho 'haṃ kariṣye tava śāsanam /	Bagavan-vIta-mohaH aham karizye tava SAsanam /
   uktveti vīro gāṇḍīvamācakarṣa raṇotsukaḥ // Bhmj_6.179 //	uktvA-iti vIraH gANxIvam-Acakarza raNa-utsukaH // Bhmd-_6.179 //
   ***** śrīgītāsvaṃṣṭādaśo 'dhyāyaḥ || 19 || *****	***** SrI-gItAsu-aMzwAdaSaH aDyAyaH || 19 || *****
   athodatiṣṭhadgambhīrajaladadhvānamantharaḥ /	aTa-udatizWat-gamBIra-jalada-DvAna-manTaraH /
   yuyutsuṃ pārthamālokya sainyānāṃ harṣaniḥsvanaḥ // Bhmj_6.180 //	yuyutsum pArTam-Alokya sEnyAnAm harza-niHsvanaH // Bhmd-_6.180 //
   pūrvaṃ tataḥ subhaṭakaṅkaṭapātikhaṅgaṭāṅkāranādamukhareṣu baleṣu rājñām /	pUrvam tatas su-Bawa-kaFkawa-pa-ati-KaFga-wA-aFkAra-nAda-muKarezu balezu rAjQAm /
   dharmātmajaḥ kavacacāpaśarānvimucya devavratābhimukhamutsukadhīḥ sasarpaḥ	DarmAtmajaH kavaca-cApa-SarAn-vimucya deva-vrata-aBimuKam-utsuka-DIH sasarpaH
   // Bhmj_6.181 //	// Bhmd-_6.181 //
   dhigdhiṅnṛpaṃ kṛpaṇaceṣṭa manuṣyasaṃjñaṃ bhūruṃ	Dik-Dik-nRpam kRpaNa-cezwa manuzya-saMjQam BUrum
   yudhiṣṭhiramalīkakṛtābhidhānam /	yuDizWiram-alIka-kRta-aBiDAnam /
   yācñā kṛtāñjalirupaiti parānyadeṣa śūrāstadiṅgitajaḍāḥ pṛthagityavocan //	yAcQA kRtAQjaliH-upEti parAn-yat-eza SUrAH-tad-iFgita-jaxAH pRTak-iti-avocan //
   Bhmj_6.182 //	Bhmd-_6.182 //
   so 'pyacchakīrtiratha bhīṣmamukhānupetya prahvaḥ	saH api-acCa-kIrtiH-aTa BIzma-muKAn-upetya prahvaH
   śarīrapaṇasaṃśritadhārtarāṣṭrān /	SarIra-paNa-saMSrita-DArtarAzwrAn /
   tatpādalagnamukuṭaḥ prakaṭaṃ praṇamya lebhe tadāśiṣamaśeṣamahīpajaitrīm //	tad-pAda-lagna-mukuwaH prakawam praNamya leBe tad-ASizam-aSeza-mahIpa-jEtrIm //
   Bhmj_6.183 //	Bhmd-_6.183 //
   abhyāhataṃ ca raṇaraṅgamṛdaṅgatūrye pārthānguṇaikarasiko guṇavānyuyutsuḥ /	aByAhatam ca raNa-raFga-mRdaFga-tUrye pArTAn-guNa-eka-rasikaH guNavAn-yuyutsuH /
   abhyāyayau tava sutaḥ svakurūnnirasya dhāvanti tulyagumameva nṛṇāṃ manāṃsi	aByAyayO tava sutaH sva-kurUn-nirasya DAvanti tulya-gumam-eva nRNAm manAMsi
   // Bhmj_6.184 //	// Bhmd-_6.184 //
   asminmahākṣayamukhe karavālapaṭṭasaṃrakṣitapratimukhe raṇaraṅganāṭye /	asmin-mahA-kzaya-muKe karavAla-pawwa-saMrakzita-pratimuKe raNa-raFga-nAwye /
   vyākīrṇakīrtikusumāñjalirarjunāgranāndīmivāpaṭhadamandadhanurninādaiḥ //	vyAkIrNa-kIrti-kusuma-aQjaliH-arjuna-agra-nAn-dIm-iva-apaWadamanda-DanuH-ninAdEH //
   Bhmj_6.185 //	Bhmd-_6.185 //
   atrāntare nṛpaticakrakirīṭakoṭisaṃpātajātavabuśākulavisphuliṅga /	atra-antare nRpati-cakra-kirIwa-kowi-saMpAta-jAta-vabuSa-Akula-visPuliFgaH /
   jaitrī triśūlakaraśiṣyamunerudagrā gāṅgeyaśātaviśisvāvalirullalāsa //	jEtrI triSUla-kara-Sizya-muneH-udagrA gAFgeya-SAta-viSisu-AvaliH-ullalAsa //
   Bhmj_6.186 //	Bhmd-_6.186 //
   saṃtrāsasaṃkucitaniścalakarṇatāladikkuñjarākalitakampitasarvalokam /	saMtrAsa-saMkucita-niScala-karNa-tAla-diS-kuQjarA-kalita-kampita-sarva-lokam /
   kṣubhyatkṣayāmbudharabhairavabhīmanādaṃ bhīmaṃ niśamya	kzuByat-kzaya-ambuDara-BErava-BIma-nAdam BImam niSamya
   bhayamāvirabhūdbhaṭānām // Bhmj_6.187 //	Bayam-AviraBUt-BawAnAm // Bhmd-_6.187 //
   atha bhīmaṃ samabhyāyātsvayaṃ rājā suyodhanaḥ /	aTa BImam samaByAyAt-svayam rAjA suyoDanaH /
   bhrātṛbhiḥ sahito vīrairdhunāno vipulaṃ dhanuḥ // Bhmj_6.188 //	BrAtRBiH sahitaH vIrEH-DunAnaH vipulam DanuH // Bhmd-_6.188 //
   tataḥ pravṛtte saṃgrāme durlakṣye śaravṛṣṭibhiḥ /	tatas pravRtte saMgrAme durlakzye Sara-vRzwiBiH /
   svayaṃ śāntanavaḥ śrīmānabhyadhāvaddhanaṃjayam // Bhmj_6.189 //	svayam SAntanavaH SrImAn-aByaDAvat-DanaMjayam // Bhmd-_6.189 //
   sātyakiṃ kṛtavarmā ca hyabhimanyuṃ bṛhadbalaḥ /	sAtyakim kRtavarmA ca hi-aBimanyum bRhadbalaH /
   duḥśāsano 'pi nakulaṃ sahadevaṃ ca durmukhaḥ // Bhmj_6.190 //	duHSAsanaH api nakulam sahadevam ca durmuKaH // Bhmd-_6.190 //
   yudhiṣṭhiraṃ tathā śalya ācāryo drupadātmajam /	yuDizWiram taTA SalyaH AcAryaH drupada-Atmajam /
   somadattaśca vairāṭiṃ bāhlikaścedibhūpatim // Bhmj_6.191 //	somadattaH-ca vErAwim bAhlikaH-cedi-BUpatim // Bhmd-_6.191 //
   rakṣasāṃ pravaraṃ vīraṃ ghaṭotkacamalumbusaḥ /	rakzasAm pravaram vIram Gawotkaca-malumbusaH /
   śikhaṇḍinaṃ droṇasuto matsyaṃ prāgjyotiṣeśvaraḥ // Bhmj_6.192 //	SiKaNxinam droNa-sutaH matsyam prAgjyotiza-ISvaraH // Bhmd-_6.192 //
   kṛpaḥ kekayabhūpālaṃ drupadaṃ ca jayadrathaḥ /	kRpaH kekaya-BUpAlam drupadam ca jayadraTaH /
   sutasomaṃ vikarṇaśca bhīmasenasutaṃ balī // Bhmj_6.193 //	sutasomam vikarNaH-ca BImasena-sutam balI // Bhmd-_6.193 //
   cekitānaḥ vikarṇaśca praaitivindhyaṃ ca saubalaḥ /	cekitAnaH vikarNaH-ca praEtivinDyam ca sObalaH /
   irāvataśca vikrāntaṃ śatāyuḥ phalguṇātmajam // Bhmj_6.194 //	irAvataH-ca vikrAntam SatAyuH PalguNa-Atmajam // Bhmd-_6.194 //
   vindānuvindāvāvantyau kuntibhojaṃ yaśasvinam /	vinda-anuvindO=-AvantyO kuntiBojam yaSasvinam /
   kauravo vīrabāhuśca virāṭasutamuttaram // Bhmj_6.195 //	kOravaH vIrabAhuH-ca virAwa-sutam-uttaram // Bhmd-_6.195 //
   anye ca vīrā rājāno rājasiṃhāḥ prahāriṇaḥ /	anye ca vIrAH rAjAnaH rAja-siMhAH prahAriNaH /
   utsāhasattvasaṃpannāḥ sasainyāḥ yamupādravan // Bhmj_6.196 //	utsAha-sattva-saMpannAH sa-sEnyAH yam-upAdravan // Bhmd-_6.196 //
   teṣāṃ kaṅkaṇaratnāṃśupaṭalāḥ karanirgatāḥ /	tezAm kaFkaNa-ratna-aMSu-pawalAH kara-nirgatAH /
   hemapuṅkhā śarāścakrurvahnivyāptaṃ digantaram // Bhmj_6.197 //	hema-puFKA SarAH-cakruH-vahni-vyAptam digantaram // Bhmd-_6.197 //
   athopuṅkhā rajasā gajavājirathākulam /	aTa-UpuFKAH rajasA gaja-vAji-raTa-Akulam /
   vīrāṇāṃ tumulaṃ yuddhaṃ nirmaryādamavartata // Bhmj_6.198 //	vIrANAm tumulam yudDam nirmaryAdam-avartata // Bhmd-_6.198 //
   tataḥ śirobhirvīrāṇāṃ patitotphullitairmuhuḥ /	tatas SiroBiH-vIrANAm patita-utPullitEH-muhur /
   amandakandukakrīḍā babhūveva raṇaśriyaḥ // Bhmj_6.199 //	amanda-kanduka-krIxA baBUva-iva raNa-SriyaH // Bhmd-_6.199 //
   tataḥ pāṇḍavasainyeṣu bhīṣmacāpacyutaiḥ śaraiḥ /	tatas pANxava-sEnyezu BIzma-cApa-cyutEH SarEH /
   vidāriteṣa bahuśaḥ samuttasthau mahāravaḥ // Bhmj_6.200 //	vidAriteza bahuSas samuttasTO mahA-ravaH // Bhmd-_6.200 //
   athābhimanyurabhyetya śatamanyusutātmajaḥ /	aTa-aBimanyuH-aByetya Satamanyu-suta-AtmajaH /
   bhīṣmamabhyādravadvīro miṣatāṃ sarvabhūbhujām // Bhmj_6.201 //	BIzmam-aByAdravat-vIraH mizatAm sarva-BUBujAm // Bhmd-_6.201 //
   kṛtavarmaprabhṛtibhiḥ sahitaṃ bhīṣmamojasā /	kRtavarma-praBRtiBiH sahitam BIzmam-ojasA /
   ayodhayatsa viśiśvairdhvajamasya cakarta ca // Bhmj_6.202 //	ayoDayat-sa viSiSvEH-Dvajam-asya cakarta ca // Bhmd-_6.202 //
   hematāle nipatite saṃrabdho 'tha pitāmahaḥ /	hema-tAle nipatite saMrabDaH aTa pitAmahaH /
   divyāsravarṣī sāvegaṃ saubhadraṃ samupādravat // Bhmj_6.203 //	divya-asra-varzI sa-Avegam sOBadram samupAdravat // Bhmd-_6.203 //
   tato vṛkodaramukhā vinadanto mahārathāḥ /	tatas vRkodara-muKAH vinadantaH mahA-raTAH /
   sānugaṃ śantanusutaṃ samantātparyavārayan // Bhmj_6.204 //	sa-anugam Santanu-sutam samantAt-paryavArayan // Bhmd-_6.204 //
   bhīṣmo 'pi sātyakiṃ viddhvā dhvajaṃ pavanajanmanaḥ /	BIzmaH api sAtyakim vidDvA Dvajam pavana-janmanaH /
   unmamātha śarāgreṇa haimaṃ kesariṇaṃ rathāt // Bhmj_6.205 //	unmamATa Sara-agreNa hEmam kesariNam raTAt // Bhmd-_6.205 //
   atrāntare giriprāṃśumāruhya madakuñjaram /	atra-antare giri-prAMSum-Aruhya mada-kuQjaram /
   ayodhyanmadrarājaṃ hṛṣṭo vairāṭiruttaraḥ // Bhmj_6.206 //	ayoDyat-madra-rAjam hRzwaH vErAwiH-uttaraH // Bhmd-_6.206 //
   sa kuñjarendraḥ śalyasya pādena caturo hayān /	sa kuQjara-indraH Salyasya pAdena caturaH hayAn /
   jaghānākṛṣya hastena garjañjaladaniḥsvanaḥ // Bhmj_6.207 //	jaGAna-AkRzya hastena garjan-jalada-niHsvanaH // Bhmd-_6.207 //
   tato madrādhipaḥ kruddhaḥ śaktiṃ śaktimatāṃ varaḥ /	tatas madra-aDipaH krudDaH Saktim SaktimatAm varaH /
   pradīptāṃ prāhiṇodvegāduttarāyeṣuvarṣiṇe // Bhmj_6.208 //	pradIptAm prAhiNot-vegAt-uttarAya-izu-varziNe // Bhmd-_6.208 //
   sa tayā bhinnahṛdayaḥ papāta galitāyudhaḥ /	sa tayA Binna-hRdayaH papAta galita-AyuDaH /
   karṇikāra iva bhraṣṭaḥ karīndrācalaśekharāt // Bhmj_6.209 //	karNikAraH iva BrazwaH karIndra-acala-SeKarAt // Bhmd-_6.209 //
   uttaraṃ nihataṃ dṛṣṭvā śaṅkhastasyānujaḥ krudhā /	uttaram nihatam dRzwvA SaFKaH-tasya-anujaH kruDA /
   cakāra śalyamabhyetya śarairjaṭilavigraham // Bhmj_6.210 //	cakAra Salyam-aByetya SarEH-jawila-vigraham // Bhmd-_6.210 //
   tasya śalyo 'tha gadayā vidārya dalaśo ratham /	tasya SalyaH aTa gadayA vidArya dalaSas raTam /
   unnanādābhavanyena diśaḥ śakalitā iva // Bhmj_6.211 //	unnanAda-aBavan-yena diSaH SakalitAH iva // Bhmd-_6.211 //
   śaṅkho hatāśvaḥ sahasā phalguṇasya rathaṃ yayau /	SaFKaH hata-aSvaH sahasA PalguNasya raTam yayO /
   bhīṣmo 'tha pāṇḍavacamūṃ vyagāhata nṛpāntakaḥ // Bhmj_6.212 //	BIzmaH aTa pANxava-camUm vyagAhata nRpa-antakaH // Bhmd-_6.212 //
   matsyakekayāpāñcālacedisenāsu sarvaśaḥ /	matsya-kekayA-pAQcAla-cedi-senAsu sarvaSas /
   bhīṣmabāṇavibhinnāsu sūryo 'staśikharaṃ yayau // Bhmj_6.213 //	BIzma-bANa-viBinnAsu sUryaH asta-SiKaram yayO // Bhmd-_6.213 //
   tato nivṛtte saṃgrāme śibirāṇi nareśvarāḥ /	tatas nivRtte saMgrAme SibirANi nareSvarAH /
   bhejire pratisaṃsanto vipulaṃ bhīṣmavikramam // Bhmj_6.214 //	Bejire pratisaMsantaH vipulam BIzma-vikramam // Bhmd-_6.214 //
   ***** prathame yuddhadivase uttaravadhaḥ || 20 || *****	***** praTame yudDa-divase uttara-vaDaH || 20 || *****
   dinānte dīrṇapṛtanaḥ śokārto dharmanandanaḥ /	dina-ante dIrNa-pRtanaH Soka-ArtaH DarmanandanaH /
   saṃhāraṃ nijasainyānāṃ pradadhyau bhīṣmavikramam // Bhmj_6.215 //	saMhAram nija-sEnyAnAm pradaDyO BIzma-vikramam // Bhmd-_6.215 //
   sa rājamadhye govindamuvāca karuṇākulaḥ /	sa rAja-maDye govindam-uvAca karuNA-AkulaH /
   kṣīyamāṇasya samare satyaṃ śreyastapo mama // Bhmj_6.216 //	kzIyamANasya samare satyam SreyaH-tapaH mama // Bhmd-_6.216 //
   alaṃ yuddhena me kṛṣṇa pṛthivīkṣayakāriṇā /	alam yudDena me kRzNa pRTivI-kzaya-kAriNA /
   ko mucyeta raṇe prāpya bhīṣmaṃ bhīṣmaparākramam // Bhmj_6.217 //	kaH mucyeta raNe prApya BIzmam BIzma-parAkramam // Bhmd-_6.217 //
   iti bruvāṇaṃ rājānamuvāca madhusūdanaḥ /	iti bruvANam rAjAnam-uvAca maDusUdanaH /
   dhruvaste vijayo rājanyasya yoddhā dhanaṃjayaḥ // Bhmj_6.218 //	DruvaH-te vijayaH rAjanyasya yodDA DanaMjayaH // Bhmd-_6.218 //
   sātyakirdrupadaḥ śaibyaḥ sikhaṇḍī pañca kekayāḥ /	sAtyakiH-drupadaH SEbyaH siKaNxI paQca kekayAH /
   saubhadraśca raṇe kruddho hanyādeva gaṇānapi // Bhmj_6.219 //	sOBadraH-ca raNe krudDaH hanyAt-eva gaNAn-api // Bhmd-_6.219 //
   ukte janārdaneneti tīvraṃ bhīṣmaparākramam /	ukte janArdanena-iti tIvram BIzma-parAkramam /
   mithaḥ kathayatāṃ teṣāṃ sā jagāma vibhāvarī // Bhmj_6.220 //	miTas kaTayatAm tezAm sA jagAma viBAvarI // Bhmd-_6.220 //
   athodite sahasrāṃśau vihite pāṇḍunandanaiḥ /	aTa-udite sahasrAMSO vihite pANxu-nandanEH /
   kruñcavyūhe mahotsāhairvyūhamanye 'pi cakrire // Bhmj_6.221 //	kruQca-vyUhe mahA-utsAhEH-vyUham-anye api cakrire // Bhmd-_6.221 //
   tataḥ pravṛtte samare tīvre bhīrubhayaṃkare /	tatas pravRtte samare tIvre BIru-BayaMkare /
   hṛdayākampane nājñāṃ tālaketuradṛśyata // Bhmj_6.222 //	hRdaya-Akampane na-AjQAm tAlaketuH-adRSyate // Bhmd-_6.222 //
   gambhīradhīrasaṃrambho varjayansa pṛthagjanam /	gamBIra-DIra-saMramBaH varjayan-sa pRTagjanam /
   cakarta bhūbhujāmeva śirāṃsi laghuvikramaḥ // Bhmj_6.223 //	cakarta BUBujAm-eva SirAMsi laGu-vikramaH // Bhmd-_6.223 //
   bhīṣmeṇālolite vyūhe vātoddhūta ivārmave /	BIzmeNa-Alolite vyUhe vAta-udDUtaH iva-armave /
   tamabhyadhāvatsaṃrabdhaḥ śvetāśvo 'cyutasārathiḥ // Bhmj_6.224 //	tam-aByaDAvat-saMrabDaH SvetASvaH acyuta-sAraTiH // Bhmd-_6.224 //
   tamāpatantaṃ viśakhairbhīṣmaḥ kṣipramapūrayat /	tam-Apatantam viSaKEH-BIzmaH kzipram-apUrayat /
   droṇaduryodhanamukhāḥ sarve cānye mahārathāḥ // Bhmj_6.225 //	droNa-duryoDana-muKAH sarve ca-anye mahA-raTAH // Bhmd-_6.225 //
   pārtho 'pi sāyakaiścakre samantātkuruvāhinīm /	pArTaH api sAyakEH-cakre samantAt-kuru-vAhinIm /
   tatpakṣapavanasphārairdīrṇāmiva sahasradhā // Bhmj_6.226 //	tad-pakza-pavana-sPArEH-dIrNAm-iva sahasraDA // Bhmd-_6.226 //
   duryodhanaprerito 'tha svayaṃ śantanunandanaḥ /	duryoDana-preritaH aTa svayam Santanu-nandanaH /
   nindannijaṃ kṣatradharmamabhyadāvaddhanaṃjayam // Bhmj_6.227 //	nindat-nijam kzatra-Darmam-aByadAvat-DanaMjayam // Bhmd-_6.227 //
   nirviśeṣaṃ tayostatra suciraṃ yudhyamānayoḥ /	nirviSezam tayoH-tatra su-ciram yuDyamAnayoH /
   niruddhāṃ śarajālena nādṛśyanta diśo daśa // Bhmj_6.228 //	nirudDAm Sara-jAlena na-adRSyanta diSaH daSa // Bhmd-_6.228 //
   na dadarśa tayoḥ kaścidantaraṃ kṣipatoḥ śarān /	na dadarSa tayoH kaScid-antaram kzipatoH SarAn /
   dhārāsāraprabalayornadatoriva meghayoḥ // Bhmj_6.229 //	DArA-sAra-prabalayoH-nadatoH-iva meGayoH // Bhmd-_6.229 //
   tato droṇamukhā vīrā dhṛṣṭadyumnapurogamaiḥ /	tatas droNa-muKAH vIrAH DRzwadyumna-purogamEH /
   ayudhyantābhavanyena surāḥ pulakitā divi // Bhmj_6.230 //	ayuDyanta-aBavan-yena surAH pulakitA divi // Bhmd-_6.230 //
   bhībhasenaḥ kaliṅgānāṃ praviśyātha varuthinīm /	BI-BasenaH kaliFgAnAm praviSya-aTa varuTinIm /
   pātayankuñjarāṃścakre niḥsaṃcārāṃ vasuṃdharām // Bhmj_6.231 //	pAtayan-kuQjarAn=-cakre niHsaMcArAm vasuMDarAm // Bhmd-_6.231 //
   bhīmanirbhinnamattebhakumbhodbhūtāsṛgambhasām /	BIma-nirBinna-matta-iBa-kumBa-udBUta-asRj-amBasAm /
   pravāhairyayurākaṇṭhaṃ turaṅgāḥ kṛcchagāminaḥ // Bhmj_6.232 //	pravAhEH-yayuH-AkaNWam turaFgAH kRcCa-gAminaH // Bhmd-_6.232 //
   nihatya kuñjarānīkaṃ kaliṅgānāṃ prahāriṇām /	nihatya kuQjara-anIkam kaliFgAnAm prahAriNAm /
   ketumantaṃ narapatiṃ jaghāna sapadānugam // Bhmj_6.233 //	ketumantam narapatim jaGAna sa-padAnugam // Bhmd-_6.233 //
   niḥśeṣitakaliṅgasya bhīmasenasya nādataḥ /	niHSezita-kaliFgasya BImasenasya nAdataH /
   ghanagambhīranādena pṛthivī samakampata // Bhmj_6.234 //	Gana-gamBIra-nAdena pRTivI samakampata // Bhmd-_6.234 //
   tato bhīṣmaḥ samabhyetya dṛṣṭvā dīrṇāmanīkinīm /	tatas BIzmaH samaByetya dRzwvA dIrNAm-anIkinIm /
   vidhāya virathaṃ bhīmaṃ śaineyāśvānapothayat // Bhmj_6.235 //	viDAya viraTam BImam SEneya-aSvAn-apoTayat // Bhmd-_6.235 //
   duryodhanasutaṃ vīraṃ lakṣmaṇaṃ śauryalakṣaṇam /	duryoDana-sutam vIram lakzmaNam SOrya-lakzaNam /
   abhimanyuḥ śitairbāṇaiḥ kṣiprahastamapothayat // Bhmj_6.236 //	aBimanyuH SitEH-bANEH kzipra-hastam-apoTayat // Bhmd-_6.236 //
   gocare patitaṃ putraṃ saubhadrasya pramāthinaḥ /	gocare patitam putram sOBadrasya pramATinaH /
   dṛṣṭvā duryodhano rājā sānugaḥ svayamādravat // Bhmj_6.237 //	dRzwvA duryoDanaH rAjA sa-anugaH svayam-Adravat // Bhmd-_6.237 //
   kuruvīraiḥ parivṛtaṃ vilokya sutamarjunaḥ /	kuru-vIrEH parivRtam vilokya sutam-arjunaH /
   maṇḍalīkṛtagāṇḍīvastūrṇaṃ pratyudyayau parān // Bhmj_6.238 //	maNxalIkRta-gANxIvaH-tUrNam pratyudyayO parAn // Bhmd-_6.238 //
   lāghavādabhitastasya sāyakāścitrayodhinaḥ /	lAGavAt-aBitas-tasya sAyakAH-citra-yoDinaH /
   jahnuḥ śirāṃsi śūrāṇāṃ phalānīva mahīruhām // Bhmj_6.239 //	jahnuH SirAMsi SUrANAm PalAni-iva mahIruhAm // Bhmd-_6.239 //
   ākhaṇḍalabhuvā caṇḍagāṇḍīvapreritaiḥ śaraiḥ /	AKaNxala-BuvA caNxa-gANxIva-preritEH SarEH /
   vidāriteṣvanīkeṣu vidhvastarathasādiṣu // Bhmj_6.240 //	vidAritezu-anIkezu viDvasta-raTa-sAdizu // Bhmd-_6.240 //
   rudhireṇeva gagane saṃdhyārāgema pūrite /	ruDireNa-iva gagane saMDyA-rAgema pUrite /
   avahāraṃ raṇe cakre vāsarānte pitāmahaḥ // Bhmj_6.241 //	avahAram raNe cakre vAsara-ante pitAmahaH // Bhmd-_6.241 //
   ***** ditīyo yuddhadivasaḥ || 21 || *****	***** ditIyaH yudDa-divasaH || 21 || *****
   anyedyurgāruḍaṃ vyūhaṃ dṛṣṭvā bhīṣmeṇa kalpitam /	anyedyus-gAruxam vyUham dRzwvA BIzmeNa kalpitam /
   ardhacandraṃ prativyūhaṃ cakrire pāṇḍunandanāḥ // Bhmj_6.242 //	arDacandram prativyUham cakrire pANxu-nandanAH // Bhmd-_6.242 //
   tataḥ pravṛte samare bhīrūṇāṃ dhṛtikhaṇḍane /	tatas pravRte samare BIrUNAm DRti-KaNxane /
   ārūḍheva mahīvyoma rajasā samalakṣyata // Bhmj_6.243 //	ArUXA-iva mahI-vyoma rajasA samalakzyata // Bhmd-_6.243 //
   asṛkpravāhaiḥ sahasā praśānte reṇumaṇḍale /	asRk-pravAhEH sahasA praSAnte reNu-maNxale /
   sughoraḥ saṃprahāro 'bhūnnṛpāṇāṃ tridaśekṣitaḥ // Bhmj_6.244 //	su-GoraH saMprahAraH aBUt-nRpANAm tridaSa-IkzitaH // Bhmd-_6.244 //
   bhīṣmadroṇamukhairvīraiḥ/ phalguṇapramukhā raṇe /	BIzma-droNa-muKEH-vIrEH/ PalguNa-pramuKAH raNe /
   saṃsaktāḥ samadṛśyanta pūrvadevairivāmarāḥ // Bhmj_6.245 //	saMsaktAH samadRSyanta pUrvadevEH-iva-amarAH // Bhmd-_6.245 //
   bāṇajālena mahatā saṃhatānāṃ samantataḥ /	bANa-jAlena mahatA saMhatAnAm samantataH /
   arjunena niruddhāsu ripūṇāṃ śastravṛṣṭiṣu // Bhmj_6.246 //	arjunena nirudDAsu ripUNAm Sastra-vRzwizu // Bhmd-_6.246 //
   akampitau kuruvyūhe bhīmasenaghaṭotkacau /	akampitO kuru-vyUhe BImasena-GawotkacO /
   praviśya cakraturvīrau vyākulāṃ paravāhinīm // Bhmj_6.247 //	praviSya cakratuH-vIrO vyAkulAm para-vAhinIm // Bhmd-_6.247 //
   tāvabhyadhāvatsaṃrambhādamarṣī dhṛtarāṣṭrajaḥ /	tO=-aByaDAvat-saMramBAt-amarzI DRtarAzwra-jaH /
   kurvannājasamājena mauliradnāruṇā diśaḥ // Bhmj_6.248 //	kurvan=-Aja-samAjena mOliH-adna-aruNAH diSaH // Bhmd-_6.248 //
   haiḍambabāṇanihatā vīrāstasya padānugāḥ /	hExamba-bANa-nihatAH vIrAH-tasya padAnugAH /
   mahāvātasamākrāntā drumā iva cakampire // Bhmj_6.249 //	mahA-vAta-samAkrAntAH drumAH iva cakampire // Bhmd-_6.249 //
   duryodhanapreritānāṃ śarāṇāṃ dīptatejasām /	duryoDana-preritAnAm SarANAm dIpta-tejasAm /
   vṛṣṭimabhyudgatāṃ ghorāṃ cicchedāśu vṛkodaraḥ // Bhmj_6.250 //	vRzwim-aByudgatAm GorAm cicCeda-ASu vRkodaraH // Bhmd-_6.250 //
   bhīmotsṛṣṭena pṛthunā pṛṣaṅke(tke)nātha kauravaḥ /	BIma-utsRzwena pRTunA pRzaFke(t-ke)nATa kOravaH /
   hṛdi viddho nimagnena mumoha bhṛśavihvalaḥ // Bhmj_6.251 //	hRdi vidDaH nimagnena mumoha BRSa-vihvalaH // Bhmd-_6.251 //
