   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   tatrasthānāṃ bhavenmuktiḥ svakāle karmasaṃkṣaye // GarP_2,21.18 //	tatrasTAnAm Bavet muktiH sva kAle karma saMkzaye // GarP_2,21.18 //
   garuḍa uvāca /	garuxaH uvAca /
   nāma gotraṃ na dṛśyeta pratītirnaiva jāyate /	nAma gotram na dRSyeta pratItiH na eva jAyate /
   kecidvadanti daivajñāḥ pīḍāṃ pretasamudbhavām // GarP_2,21.19 //	kecid vadanti dEva jQAH pIxAm preta samudBavAm // GarP_2,21.19 //
   na svapnaścaiṣṭitaṃ naiva darśanaṃ na kadācana /	na svapnaH cEzwitam na eva darSanam na kadAcana /
   kiṃ kartavyaṃ suraśreṣṭha tatra me brūhi niścitam // GarP_2,21.20 //	kim kartavyam sura SrezWa tatra me brUhi niScitam // GarP_2,21.20 //
   śrībhagavānuvāca /	SrI BagavAn uvAca /
   satyaṃ vāpyanṛtaṃ vāpi vadanti kṣitidevatāḥ /	satyam vA api anRtam vA api vadanti kziti devatAH /
   tadā sañcintya hṛdaye satyametaddvijeritam // GarP_2,21.21 //	tadA saQcintya hRdaye satyam etat dvija Iritam // GarP_2,21.21 //
   bhāvabhaktiṃ puraskṛtya pitṛbhaktiparāyaṇaḥ /	BAva Baktim puraskRtya pitR Bakti parAyaNaH /
   kṛtvā kṛṣṇabaliṃ caiva puraścaraṇa pūrvakam // GarP_2,21.22 //	kRtvA kRzNabalim ca eva puraScaraNa pUrvakam // GarP_2,21.22 //
   japahomaistathā dānaiḥ prakuryāddehasodhanam /	japa homEH taTA dAnEH prakuryAt deha soDanam /
   kṛtena tena vighnāni vinaśyanti khageśvara // GarP_2,21.23 //	kRtena tena viGnAni vinaSyanti KageSvara // GarP_2,21.23 //
   bhūtapretapiśācairvā sa cedanyaiḥ prapīḍyate /	BUta preta piSAcEH vA sa ced anyEH prapIxyate /
   pitruddeśena vai kuryānnārāyaṇabaliṃ tadā /	pitR uddeSena vE kuryAt nArAyaNa balim tadA /
   vimuktaḥ sarvapīḍābhya iti satyaṃ vaco mama // GarP_2,21.24 //	vimuktaH sarva pIxAByaH iti satyam vacaH mama // GarP_2,21.24 //
   pitṛpīḍā bhavedyatra kṛtyairanyairna mucyate /	pitR pIxA Bavet yatra kRtyEH anyEH na mucyate /
   tasmātsarvaprayatnena pitṛbhaktiparo bhavet // GarP_2,21.25 //	tasmAt sarva prayatnena pitR Bakti paraH Bavet // GarP_2,21.25 //
   navame daśame varṣe pikṣuddeśena vai pumān /	navame daSame varze pikzut deSena vE pumAn /
   gāyattrīmayutaṃ japtvā daśāṃśena ca homayet // GarP_2,21.26 //	gAyat trIm ayutam japtvA daSa aMSena ca homayet // GarP_2,21.26 //
   kṛtvā kṛṣṇabaliṃ pūrvaṃ vṛṣotsargādikāḥ kriyāḥ /	kRtvA kRzNa balim pUrvam vRzotsarga AdikAH kriyAH /
   sarvopadravahīnastu sarvasaukhyamavāpnuyāt /	sarva upadrava hInaH tu sarva sOKyam avApnuyAt /
   uttamaṃ lokamāpnoti jñātiprādhānyameva ca // GarP_2,21.27 //	uttamam lokam Apnoti jQAti prADAnyam eva ca // GarP_2,21.27 //
   pitṛmā tṛsamaṃ loke nāstyanyaddaivataṃ param /	pitRmA tR samam loke na asti anyat dEvatam param /
   tasmātsarvaprayatnena pūjayetpitarau sadā // GarP_2,21.28 //	tasmAt sarva prayatnena pUjayet pitarO sadA // GarP_2,21.28 //
   hitānāmupadeṣṭā hi pratyakṣaṃ daivataṃ pitā /	hitAnAm upadezwA hi pratyakzam dEvatam pitA /
   anyā yā devatā loke na dehaprabhavo hi tāḥ // GarP_2,21.29 //	anyA yA devatAH loke na deha praBavaH hi tAH // GarP_2,21.29 //
   śarīrameva jantūnāṃ svargamokṣaikasādhanam /	SarIram eva jantUnAm svarga mokza eka sADanam /
   deho datto hi yenaivaṃ ko 'nyaḥ pūjyatamastataḥ // GarP_2,21.30 //	dehaH dattaH hi yena evam kaH anyaH pUjyatamaH tatas // GarP_2,21.30 //
   iti sañcintyahṛdaye pakṣinyadyatprayacchati /	iti saQcintya hRdaye pakzin yat yat prayacCati /
   tatsarvamātmanā bhuṅkte dānaṃ vedavido viduḥ // GarP_2,21.31 //	tat sarvam AtmanA BuFkte dAnam veda vidaH viduH // GarP_2,21.31 //
   punnāmanarakādyasmātpitaraṃ trāyate sutaḥ /	punnAma narakAt yasmAt pitaram trAyate sutaH /
   tasmātputtra iti prokta iha cāpi paratra ca // GarP_2,21.32 //	tasmAt puttraH iti proktaH iha ca api paratra ca // GarP_2,21.32 //
   apamṛtyumṛtau syātāṃ pitarau kasyacitkhaga /	apamRtyu mRtO syAtAm pitarO kasyacid Kaga /
   vratatīrthāvivāhādiśrāddhaṃ saṃvatsaraṃ tyajet // GarP_2,21.33 //	vrata tIrTa avivAha Adi SrAdDam saMvatsaram tyajet // GarP_2,21.33 //
   svapnādhyāyamimaṃ yastu preta liṅganidarśakam /	svapna aDyAyam imam yaH tu preta liFga nidarSakam /
   yaḥ paṭhecchṛṇuyādvāpi pretacihnaṃ na paśyati // GarP_2,21.34 //	yaH paWet SRNuyAt vA api preta cihnam na paSyati // GarP_2,21.34 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe dvitīyāṃśe dharmakādṛpretakalpe	iti SrI gAruxe mahApurANe uttara KaNxe dvitIya aMSe DarmakAdR preta kalpe
   śrīkṛṣṇagaruḍasaṃvāde svapnādhyāyo nāmaikaviṃśo 'dhyāyaḥ	SrI kRzNa garuxa saMvAde svapnADyAyaH nAma ekaviMSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  22	SrI garuxa mahApurANam 22
   garuḍa uvāca /	garuxaH uvAca /
   sambhavanti kathaṃ pretāḥ kena teṣāṃ gatirbhavet /	samBavanti kaTam pretAH kena tezAm gatiH Bavet /
   kīdṛkteṣāṃ bhavedrūpaṃ bhojanaṃ kiṃ bhavetprabho // GarP_2,22.1 //	kIdRS tezAm Bavet rUpam Bojanam kim Bavet praBo // GarP_2,22.1 //
   suprītāste kathaṃ pretāḥ kva tiṣṭhanti sureśvara /	su prItAH te kaTam pretAH kva tizWanti sureSvara /
   prasannaḥ kṛpayā deva praśramenaṃ vadasva me // GarP_2,22.2 //	prasannaH kRpayA deva praSram enam vadasva me // GarP_2,22.2 //
   śrībhagavānuvāca /	SrI BagavAn uvAca /
   pāpakarmaratā ye vai pūrvakarmavaśānugāḥ /	pApa karma ratAH ye vE pUrva karma vaSa anugAH /
   jāyante te mṛtāḥ pretāstāñchṛṇuṣva vadāmyaham // GarP_2,22.3 //	jAyante te mRtAH pretAH tAn SRNuzva vadAmi aham // GarP_2,22.3 //
   vāpīkūpataḍāgāṃśca ārāmaṃ suramandiram /	vApI kUpa taxAgAn= ca ArAmam sura mandiram /
   prapāṃ sadma suvṛkṣāṃśca tathā bhojanaśālikāḥ // GarP_2,22.4 //	prapAm sadma su vRkzAn= ca taTA Bojana SAlikAH // GarP_2,22.4 //
   pitṛpaitāmahaṃ dharmaṃ kikrīṇāti sa pāpabhāk /	pitRpEtAmaham Darmam kikrINAti sa pApa BAj /
   mṛtaḥ pretatvamāpnoti yāvadābhūtasaṃplavam // GarP_2,22.5 //	mRtaH preta tvam Apnoti yAvat ABUtasaMplavam // GarP_2,22.5 //
   gocaraṃ grāmasīmāṃ taḍāgārāmagahvaram /	gocaram grAma sImAm taxAga ArAma gahvaram /
   karṣayanti ca ye lobhātpretāste vai bhavanti hi // GarP_2,22.6 //	karzayanti ca ye loBAt pretAH te vE Bavanti hi // GarP_2,22.6 //
   caṇḍālādudakātsarpādbrāhmaṇādbaidyutāgnitaḥ /	caNxAlAt udakAt sarpAt brAhmaNAt bEdyuta agnitaH /
   daṃṣṭribhyaśca paśubhyaśca maraṇaṃ pāpakarmiṇām // GarP_2,22.7 //	daMzwriByaH ca paSuByaH ca maraNam pApa karmiNAm // GarP_2,22.7 //
   udbandhanamṛtā ye ca viṣaśastrahatāśca ye /	udbanDana mRtAH ye ca viza Sastra hatAH ca ye /
   ātmopaghātino ye ca viṣūcyādihatāstathā // GarP_2,22.8 //	Atma upaGAtinaH ye ca vizUcya Adi hatAH taTA // GarP_2,22.8 //
   mahārogairmṛtā ye ca pāparogaiśca dasyubhiḥ /	mahA rogEH mRtA ye ca pApa rogEH ca dasyuBiH /
   asaṃskṛtapramītā ye vihitācāravarjitāḥ // GarP_2,22.9 //	asaMskRta pramItAH ye vihita AcAra varjitAH // GarP_2,22.9 //
   vṛṣotsargādiluptāścaluptamāsikapiṇḍakāḥ /	vRzotsarga Adi luptAH calupta mAsika piNxakAH /
   yasyānayati śūdrogniṃ tṛṇakāṣṭhahavīṃṣi saḥ // GarP_2,22.10 //	yasya Anayati SUdra ugnim tRNa kAzWa havIMzi saH // GarP_2,22.10 //
   patanātparvatānāṃ ca bhittipātena ye mṛtāḥ /	patanAt parvatAnAm ca BittipAtena ye mRtAH /
   rajasvalādidoṣaiśca na ca bhūmau matāśca ye // GarP_2,22.11 //	rajasvala Adi dozEH ca na ca BUmO matAH ca ye // GarP_2,22.11 //
   antarikṣe mṛtā ye ca viṣṇusmaraṇavarjitāḥ /	antarikze mRtAH ye ca vizNu smaraNa varjitAH /
   sūtakaiḥ śvādisaṃparkaiḥ pretabhāvā iha kṣitau // GarP_2,22.12 //	sUtakEH Sva Adi saMparkEH preta BAvAH iha kzitO // GarP_2,22.12 //
   evamādibhiranyaiśca kumṛtyuvaśagāśca ye /	evamAdiBiH anyEH ca ku mRti u vaSa gAH ca ye /
   te sarve pretayonisthā vicaranti marusthale // GarP_2,22.13 //	te sarve preta yoni sTAH vicaranti maru sTale // GarP_2,22.13 //
   mātaraṃ bhaginīṃ bhāryāṃ snuṣāṃ duhitaraṃ tathā /	mAtaram BaginIm BAryAm snuzAm duhitaram taTA /
   adṛṣṭadoṣāṃ tyajati sa preto jāyatedhruvam // GarP_2,22.14 //	adRzwa dozAm tyajati sa pretaH jAyateDruvam // GarP_2,22.14 //
   bhrātṛdhrugbrahmahā goghnaḥ surāpo gurutalpagaḥ /	BrAtRDruj brahma hA go GnaH surApaH guru talpa gaH /
   hemakṣaumaharastārkṣya sa vai pretatvamāpnuyāt // GarP_2,22.15 //	hema kzOma haraH tArkzya sa vE preta tvam ApnuyAt // GarP_2,22.15 //
   nyāsāpahartā mitradhruk paradāraratastathā /	nyAsa apahartA mitra Druj para dAra rataH taTA /
   viśvāsaghātī krūrastu sa preto jāyate dhruvam // GarP_2,22.16 //	viSvAsa GAtI krUraH tu sa pretaH jAyate Druvam // GarP_2,22.16 //
   kulamārgāṃśca santyajya paradharmaratastathā /	kula mArgAn= ca santi ajya para Darma rataH taTA /
   vidyāvṛttavihīnaśca sa preto jāyatedhruvam // GarP_2,22.17 //	vidyA vRtta vihInaH ca sa pretaH jAyateDruvam // GarP_2,22.17 //
   atraivodāharantīmamitihāsaṃ purātanam /	atra eva udAharanti imam itihAsam purAtanam /
   yudhiṣṭhirasya saṃvādaṃ bhīṣmeṇa saha suvrata /	yuDizWirasya saMvAdam BIzmeNa saha suvrata /
   tadahaṃ kathayiṣyāmi yacchrutvā saukhyamāpnuyāt // GarP_2,22.18 //	tat aham kaTayizyAmi yat SrutvA sOKyam ApnuyAt // GarP_2,22.18 //
   yudhiṣṭhira uvāca /	yuDizWiraH uvAca /
   kena karmavipākena pretatvamupajāyate /	kena karma vipAkena preta tvam upajAyate /
   kena vā mucyate kasmāttanme brūhi pitāmaha /	kena vA mucyate kasmAt tat me brUhi pitAmaha /
   yacchrutvā na punarmohamevaṃ yāsyā mi suvrata // GarP_2,22.19 //	yat SrutvA na punar moham evam yA asyA mi suvrata // GarP_2,22.19 //
   bhīṣma uvāca /	BIzmaH uvAca /
   yenaiva jāyate preto yenaiva sa vimucyate /	yena eva jAyate pretaH yena eva sa vimucyate /
   prāpnoti narakaṃ ghoraṃ dustaraṃ daivatairapi // GarP_2,22.20 //	prApnoti narakam Goram dustaram dEvatEH api // GarP_2,22.20 //
   satataṃ śravaṇādyasya puṇyaśravaṇakīrtanāt /	satatam SravaNAdyasya puNya SravaNa kIrtanAt /
   mānavā vipramucyante āpannāḥ pretayoniṣu // GarP_2,22.21 //	mAnavAH vipramucyante ApannAH preta yonizu // GarP_2,22.21 //
   śrūyate hi purā vatsa brāhmaṇaḥ śaṃsitavrataḥ /	SrUyate hi purA vatsa brAhmaNaH SaMsita vrataH /
   nāmnā santaptakaḥ khyāta stapor'the vanamāśritaḥ // GarP_2,22.22 //	nAmnA santaptakaH KyAta stapor aTe vanam ASritaH // GarP_2,22.22 //
   svādhyāyayukto homena yo (yā) gayukto dayānvitaḥ /	svADyAya yuktaH homena yaH (yA) gayuktaH dayA anvitaH /
   yajansa sakalānyajñānyuktyā kālaṃ ca vikṣipan // GarP_2,22.23 //	yajan sa sakalAn yajQAni uktyA kAlam ca vikzipan // GarP_2,22.23 //
   brahāmacaryasamāyukto yuktastapasi mārdave /	brahAma carya samAyuktaH yuktaH tapasi mArdave /
   paralokabhayopetaḥ satyaśaucaiśca nirmalaḥ // GarP_2,22.24 //	para loka Baya upetaH satya SOcEH ca nirmalaH // GarP_2,22.24 //
   yukto 'hi guruvākyena yuktaścātithipūjane /	yuktaH ahi guru vAkyena yuktaH ca atiTi pUjane /
   ātmayoge sadodyuktaḥ sarvadvandvavivarjitaḥ // GarP_2,22.25 //	Atma yoge sadA udyuktaH sarva dvandva vivarjitaH // GarP_2,22.25 //
   yogābhyāse sadā yuktaḥ saṃsāravijigīṣayā /	yoga aByAse sadA yuktaH saMsAra vijigIzayA /
   evaṃvṛttaḥ sadācāro mokṣakāṅkṣī jitendriyaḥ // GarP_2,22.26 //	evaMvRttaH sat AcAraH mokza kAFkzI jita indriyaH // GarP_2,22.26 //
   bahūnyabdāni vijane vane tasya gatāni vai /	bahUni abdAni vijane vane tasya gatAni vE /
   tasya buddhistato jātā tīrthānugamanaṃ prati // GarP_2,22.27 //	tasya budDiH tatas jAtA tIrTa anugamanam prati // GarP_2,22.27 //
   puṇyaistīrthajalaireva śoṣayiṣye kalevaram /	puNyEH tIrTa jalEH eva Sozayizye kalevaram /
   sa tīrthetvaritaṃ snātvā tapasvī bhāskarodaye /	sa tIrTetvaritam snAtvA tapasvI BAskara udaye /
   kṛtajāpyanamaskāro hyadhvānaṃ pratyapadyata // GarP_2,22.28 //	kRta jApya namaskAraH hi aDvAnam pratyapadyata // GarP_2,22.28 //
   ekasmindivase vipro mārgabhraṣṭo mahātapāḥ /	ekasmin divase vipraH mArga BrazwaH mahA tapAH /
   dadarśādhvani gacchansa pañca pretān sudāruṇān // GarP_2,22.29 //	dadarSa aDvani gacCan sa paQca pretAn su dAruNAn // GarP_2,22.29 //
   araṇye nirjane deśe saṃkaṭe vṛkṣavarjite /	araNye nirjane deSe saMkawe vRkza varjite /
   pañcaitānvikṛtākārāndṛṣṭvā vai ghoradarśanān /	paQca etAn vikRta AkArAn dRzwvA vE Gora darSanAn /
   īṣatsantrastahṛdayo 'tiṣṭhadunmīlya locane // GarP_2,22.30 //	Izat santrasta hRdayaH atizWat unmIlya locane // GarP_2,22.30 //
   avalambya tato dhairyaṃ bhayamutsṛjya dūrataḥ /	avalambya tatas DEryam Bayam utsRjya dUratas /
   papraccha madhurābhāṣī ke yūyaṃ vikṛtānanāḥ // GarP_2,22.31 //	papracCa maDura ABAzI ke yUyam vikRta AnanAH // GarP_2,22.31 //
   kiñcāśubhaṃ kṛtaṃ karma yena prāptāḥ stha vaikṛtam /	kiQca aSuBam kRtam karma yena prAptAH sTa vEkRtam /
   kathaṃ vā caikataḥ karma prasthitāḥ kutra niścitam // GarP_2,22.32 //	kaTam vA ca ekatas karma prasTitAH kutra niScitam // GarP_2,22.32 //
   pretarāja uvāca /	pretarAjaH uvAca /
   svaiḥ svaistu karmabhiḥ prāptaṃ pretatvaṃ hi dvijottama /	svEH svEH tu karmaBiH prAptam preta tvam hi dvijottamaH /
   paradroharatāḥ sarve pāpamṛtyuvaśaṃ gatāḥ // GarP_2,22.33 //	para droha ratAH sarve pApa mRtyu vaSam gatAH // GarP_2,22.33 //
   kṣutpipāsārditā nityaṃ pretatvaṃ samupāgatāḥ /	kzuD pipAsA arditAH nityam preta tvam samupAgatAH /
   hatavākyā hataśrīkā hata saṃjñā vicetasaḥ // GarP_2,22.34 //	hata vAkyA hata SrIkA hata saMjQA vicetasaH // GarP_2,22.34 //
   na jānīmo diśaṃ tāta vidiśaṃ cātiduḥ khitāḥ /	na jAnImaH diSam tAta vidiSam ca atiduH KitAH /
   kva nu gacchāmahe mūḍhāḥ piśācāḥ karmajā vayam // GarP_2,22.35 //	kva nu gacCAmahe mUXAH piSAcAH karma jAH vayam // GarP_2,22.35 //
   na mātā na pitāsmākaṃ pretatvaṃ karmabhiḥ svakaiḥ /	na mAtA na pitA asmAkam preta tvam karmaBiH svakEH /
   prāptāḥ sma sahasā jātaduḥ khodvegasamākulam // GarP_2,22.36 //	prAptAH sma sahasA jAtaduH Ka udvega samAkulam // GarP_2,22.36 //
   darśanena ca te brahmanmuditāpyāyitā vayam /	darSanena ca te brahman mudita ApyAyitAH vayam /
   muhūrtantiṣṭha vakṣyāmi vṛttāntaṃ sarvamāditaḥ // GarP_2,22.37 //	muhUrtantizWa vakzyAmi vRttAntam sarvam Aditas // GarP_2,22.37 //
   ahaṃ paryuṣito nāma eṣa sūcīmukhastathā /	aham paryuzitaH nAma eza sUcImuKaH taTA /
   śīghrago rogha (ha) kaścaiva pañcamo lekhakaḥ smatṛtaḥ // GarP_2,22.38 //	SIGra gaH roGa (ha) kaH ca eva paQcamaH leKakaH smatRtaH // GarP_2,22.38 //
   evaṃ nāmnā ca sarve vai saṃprāptāḥ pretatāṃ vayam /	evam nAmnA ca sarve vE saMprAptAH preta tAm vayam /
   brāhmaṇa uvāca /	brAhmaNaH uvAca /
   pretānāṃ karmajātānāṃ kathaṃ vai nāmasambhavaḥ /	pretAnAm karma jAtAnAm kaTam vE nAma samBavaH /
   kiñcitkāraṇamudiśya yena brūyāḥ svanāmakān // GarP_2,22.39 //	kiQcid kAraNam udiSya yena brUyAH sva nAmakAn // GarP_2,22.39 //
   pretarāja uvāca /	pretarAjaH uvAca /
   mayā svādu sadā bhuktaṃ dattaṃ paryuṣitaṃ dvija // GarP_2,22.40 //	mayA svAdu sadA Buktam dattam paryuzitam dvija // GarP_2,22.40 //
   śīghraṃ gacchati vipreṇa yācitaḥ kṣudhitena vai /	SIGram gacCati vipreNa yAcitaH kzuDitena vE /
   etatkāraṇamuddiśya nāma paryuṣitaṃ mama // GarP_2,22.41 //	etat kAraNam uddiSya nAma paryuzitam mama // GarP_2,22.41 //
   śīghraṃ gacchati vipreṇa yācitaḥ kṣudhitena vai /	SIGram gacCati vipreNa yAcitaH kzuDitena vE /
   etatkāraṇamuddiśya śīghrago 'yaṃ dvijottama // GarP_2,22.42 //	etat kAraNam uddiSya SIGra gaH ayam dvijottamaH // GarP_2,22.42 //
   sūcitā bahavo 'nena viprā annādhikāṅkṣayā /	sUcitAH bahavaH anena viprAH anna aDikAFkzayA /
   etatkāraṇamuddiśya eṣa sūcimukhaḥ smṛtaḥ // GarP_2,22.43 //	etat kAraNam uddiSyaH eza sUcimuKaH smRtaH // GarP_2,22.43 //
   ekākī miṣṭamaśrāti poṣyavargamṛte sadā /	ekAkI mizwam aSrAti pozya vargam Rte sadA /
   brāhmaṇānāmabhāvena rodha (ha) kastena cocyate // GarP_2,22.44 //	brAhmaNAnAm aBAvena roDaH (ha) kaH tena ca ucyate // GarP_2,22.44 //
   purāyaṃ maunamāsthāya yācito vilikhedbhuvam /	purA ayam mOnam AsTAya yAcitaH viliKet Buvam /
   tena karmavipākena lekhako nāma cocyate // GarP_2,22.45 //	tena karma vipAkena leKakaH nAma ca ucyate // GarP_2,22.45 //
   pretatvaṃ karmabhāvena prāptaṃ nāmāni ca dvija /	preta tvam karma BAvena prAptam nAmAni ca dvija /
   meṣānano lekhako 'yaṃ rodha (ha) kaḥ parvatānanaḥ // GarP_2,22.46 //	meza AnanaH leKakaH ayam roDaH (ha) kaH parvata AnanaH // GarP_2,22.46 //
   śīghragaḥ puśuvaktraśca sūcakaḥ sūcivaktravān /	SIGra gaH puSuvaktraH ca sUcakaH sUcivaktravAn /
   duḥkhitā nitarāṃ svaminpaśya rūpaviparyayam // GarP_2,22.47 //	duHKitAH nitarAm svam inpaSya rUpa viparyayam // GarP_2,22.47 //
   kṛtvā māyāmayaṃ rūpaṃ vicarāmo mahītale /	kRtvA mAyA mayam rUpam vicarAmaH mahI tale /
   sarve ca vikṛtākārā lamboṣṭhā vikṛtānanāḥ // GarP_2,22.48 //	sarve ca vikRta AkArAH lamba uzWAH vikRta AnanAH // GarP_2,22.48 //
   bṛhaccharīriṇo raudrā jātāḥ svenaiva karmaṇā /	bRhat SarIriNaH rOdrAH jAtAH svena eva karmaNA /
   etatte sarvamākhyātaṃ pretatve kāraṇaṃ mayā // GarP_2,22.49 //	etat te sarvam AKyAtam preta tve kAraNam mayA // GarP_2,22.49 //
   jñānino 'pi vayaṃ sarve jātāḥ sma tava darśanāt /	jQAninaH api vayam sarve jAtAH sma tava darSanAt /
   yatra te śravaṇe śraddhā tatpṛccha kathayāmi te // GarP_2,22.50 //	yatra te SravaNe SradDA tat pRcCa kaTayAmi te // GarP_2,22.50 //
   brāhmaṇa uvāca /	brAhmaNaH uvAca /
   ye jīvā bhuvi jīvanti sarve 'pyāhāramūlakāḥ /	ye jIvAH Buvi jIvanti sarve api AhAra mUlakAH /
   yuṣmākamapicāhāraṃ śrotumicchāmi tattvataḥ // GarP_2,22.51 //	yuzmAkam apica AhAram Srotum icCAmi tattvataH // GarP_2,22.51 //
   pretā ūcuḥ /	pretAH UcuH /
   yadi te śravaṇe śraddhā āhārāṇāṃ dvijottama /	yadi te SravaNe SradDA AhArANAm dvijottamaH /
   asmākaṃ tu mahībhāga śṛṇutvaṃ susamāhitaḥ // GarP_2,22.52 //	asmAkam tu mahIBAga SRNu tvam su samAhitaH // GarP_2,22.52 //
   brāhmaṇa uvāca /	brAhmaNaH uvAca /
   kathayantu mahāpretā āhāraṃ ca pṛthakpṛthak /	kaTayantu mahA pretAH AhAram ca pRTak pRTak /
   ityuktāṃ brāhmaṇenemamūcuḥ pretāḥ pṛthakapṛthak // GarP_2,22.53 //	iti uktAm brAhmaNena imam UcuH pretAH pRTaka pRTak // GarP_2,22.53 //
   pretā ūcuḥ /	pretAH UcuH /
   śṛṇu cāhāramasmākaṃ sarvasattbavigarhitam /	SRNu ca AhAram asmAkam sarva sattba vigarhitam /
   yacchrutvā garhase brahman bhūyobhūyaśca garhitam // GarP_2,22.54 //	yat SrutvA garhase brahman BUyas BUyas ca garhitam // GarP_2,22.54 //
   śleṣmamūtrapurīṣotthaṃ śarīrāṇāṃ malaiḥ saha /	Slezma mUtra purIza utTam SarIrANAm malEH saha /
   ucchiṣṭaiścaiva cānyaiśca pretānāṃ bhojanaṃ bhavet // GarP_2,22.55 //	ucCizwEH ca eva ca anyEH ca pretAnAm Bojanam Bavet // GarP_2,22.55 //
   gṛhāṇi cāpyaśaucāni prakīrṇopaskarāṇi ca /	gRhANi ca api aSOcAni prakIrNa upaskarANi ca /
   malināni prasūtāni pretā bhuñjanti tatra vai // GarP_2,22.56 //	malinAni prasUtAni pretAH BuQjanti tatra vE // GarP_2,22.56 //
   nāsti satyaṃ gṛhe yatra na śaucaṃ na ca saṃyamaḥ /	na asti satyam gRhe yatra na SOcam na ca saMyamaH /
   patitairdasyubhiḥ saṅgaḥ pretā bhuñjanti tatra vai // GarP_2,22.57 //	patitEH dasyuBiH saFgaH pretAH BuQjanti tatra vE // GarP_2,22.57 //
   balimantravihīnāni homahīnāni yāni ca /	bali mantra vihInAni homa hInAni yAni ca /
   svādhyāya vratahīnāni pretā bhuñjanti tatra vai // GarP_2,22.58 //	su ADyAya vrata hInAni pretAH BuQjanti tatra vE // GarP_2,22.58 //
   na lajjā na ca maryādā yadātra strījito gṛhī /	na lajjA na ca maryAdA yadA atra strI jitaH gRhI /
   guravo yatra pūjyā na pretā bhuñjanti tatra vai // GarP_2,22.59 //	guravaH yatra pUjyAH na pretAH BuQjanti tatra vE // GarP_2,22.59 //
   yatra lobhastathā krodho nidrā śoko bhayaṃ madaḥ /	yatra loBaH taTA kroDaH nidrA SokaH Bayam madaH /
   ālasyaṃ kalaho nityaṃ pretā bhuñjanti tatra vai // GarP_2,22.60 //	Alasyam kalahaH nityam pretAH BuQjanti tatra vE // GarP_2,22.60 //
   bhartṛhīnā ca yā nārī paravīryaṃ niṣevate /	BartR hInA ca yA nArI para vIryam nizevate /
   bījaṃ mūtrasamāyurkta pretā bhuñjanti tattu vai // GarP_2,22.61 //	bIjam mUtra samAyurkta pretAH BuQjanti tat tu vE // GarP_2,22.61 //
   lajjā me jāyate tāta vadato bhojanaṃ svakam /	lajjA me jAyate tAta vadataH Bojanam svakam /
   yatstrīrajo yonigataṃ pretā bhuñjanti tattu vai // GarP_2,22.62 //	yat strI rajaH yoni gatam pretAH BuQjanti tat tu vE // GarP_2,22.62 //
   nirviṇṇāḥ pretabhāvena pṛcchāmi tvāṃ dṛḍhavrata /	nirviNNAH preta BAvena pRcCAmi tvAm dRXa vrata /
   yathā na bhavitā pretastanme vada tapodhana /	yaTA na BavitA pretaH tat me vada tapoDana /
   nityaṃ mṛtyurvaraṃ jantoḥ pretatvaṃ mā bhavetkvacit // GarP_2,22.63 //	nityam mRtyuH varam jantoH preta tvam mA Bavet kvacid // GarP_2,22.63 //
   brāhmaṇa uvāca /	brAhmaNaH uvAca /
   upavāsaparo nityaṃ kṛcchracāndrāyaṇe rataḥ /	upavAsa paraH nityam kRcCra cAndrAyaNe rataH /
   vrataiśca vividhaiḥ pūto na preto jāyate naraḥ // GarP_2,22.64 //	vratEH ca viviDEH pUtaH na pretaH jAyate naraH // GarP_2,22.64 //
   ekādaśyāṃ vrataṃ kurvañjāgareṇa samanvitam /	ekAdaSyAm vratam kurvan jAgareNa samanvitam /
   aparaiḥ sukṛtaiḥ pūto na preto na preto jāyate naraḥ // GarP_2,22.65 //	aparEH su kRtEH pUtaH na pretaH na pretaH jAyate naraH // GarP_2,22.65 //
   iṣṭvā vai vāśvamedhādīndadyāddānāni yo naraḥ /	izwvA vE vA aSvameDa AdIn dadyAt dAnAni yaH naraH /
   ārāmodyānavāpyādeḥ prapāyāścaiva kārakaḥ // GarP_2,22.66 //	ArAmodyAnavApya AdeH prapAyAH ca eva kArakaH // GarP_2,22.66 //
   kumārīṃ brāhmaṇānāṃ tu vivāhayati śaktitaḥ /	kumArIm brAhmaNAnAm tu vivAhayati Saktitas /
   vidyādo 'bhayadaścaiva na preto jāyate naraḥ // GarP_2,22.67 //	vidyA AdaH aBaya daH ca eva na pretaH jAyate naraH // GarP_2,22.67 //
   śūdrānnena tu bhuktena jaṭharasthena yo mṛtaḥ /	SUdra annena tu Buktena jaWara sTena yaH mRtaH /
   durmṛtyunā mṛto yaśca sa preto jāyate naraḥ // GarP_2,22.68 //	durmRtyunA mRtaH yaH ca sa pretaH jAyate naraH // GarP_2,22.68 //
   ayājyayājakaścaiva yājyānāṃ ca vivarjakaḥ /	ayAjya yAjakaH ca eva yAjyAnAm ca vivarjakaH /
   kārubhiśca rato nityaṃ sa preto jāyate naraḥ // GarP_2,22.69 //	kAruBiH ca rataH nityam sa pretaH jAyate naraH // GarP_2,22.69 //
   kṛtvā madyapasamparkaṃ madyapastrīniṣevaṇam /	kRtvA madyapa samparkam madyapa strI nizevaNam /
