   Sandhi markers:	SanDi markeH-s:
   uṣasi snātvā kṛta-maṅgalo mantribhiḥ saha samagacche |	uzasi snAtvA kRta-maFgalaH mantriBiH saha samagacCe |
   tāmś ca abravam -- ' āryāḥ rūpeṇai7va saha	tAmH ca abravam -- a AryAH rUpeNa-e7va saha
   parivṛtto mama svabhāvaḥ |	parivRttaH mama svaBAvaH |
   ya eṣa viṣā1nnena hantuṃ cintitaḥ pitā me sa	yaH eza vizA1nnena hantum cintitaH pitA me sa
   muktvā svam etad rājyaṃ bhūya eva grāhayitavyaḥ |	muktvA svam etat rAjyam BUyas eva grAhayitavyaH |
   pitṛvad amuṣmin vayaṃ śuśrūṣayai9va vartāmahe |	pitR-vat amuzmin vayam SuSrUzayA-e9va vartAmahe |
   na hy asti pitṛ-vadhāt paraṃ pātakam ' iti |	na hi asti pitR-vaDAt param pAtakam a iti |
   bhrātaraṃ ca viśāla-varmāṇam āhūyo7ktavān -- '	BrAtaram ca viSAla-varmANam AhUya-u7ktavAn -- a
   vatsa na su-bhikṣāḥ sāmprataṃ puṇḍrāḥ |	vatsa na su-BikzAH sAmpratam puNxrAH |
   te duḥkha-moho1pahatās tyaktā3tmāno rāṣṭraṃ	te duHKa-moha-u1pahatAH tyakta-A3tmAnaH rAzwram
   naḥ samṛddham abhidraveyuḥ |	naH samRdDam aBidraveyuH |
   ato muṣṭi-vadhaḥ sasya-vadho vā yado9tpadyate tadā	atas muzwi-vaDaH sasya-vaDaH vA yadA-u9tpadyate tadA
   abhiyāsyasi |	aBiyAsyasi |
   na adya yātrā yuktā ' iti |	na adya yAtrA yuktA a iti |
   nagara-vṛddhāv apy alāpiṣam -- ' alpīyasā mūlyena	nagara-vRdDO api alApizam -- a alpIyasA mUlyena
   mahā2rhaṃ vajra-vastu mā astu me labhyaṃ	mahA2rham vajra-vastu mA astu me laByam
   dharma-rakṣāyai tad-anuguṇenai7va mūlyena adaḥ	Darma-rakzAyE tad--anuguNena-e7va mUlyena adaH
   krīyatām ' iti |	krIyatAm a iti |
   śata-haliṃ ca rāṣṭra-mukhyam āhūya ākhyātavān --	Sata-halim ca rAzwra-muKyam AhUya AKyAtavAn --
   ' yo 'sāv ananta-sīraḥ prahāra-varmaṇaḥ pakṣa iti	a yaH asO ananta-sIraH prahAra-varmaNaH pakzaH iti
   nināśayiṣitaḥ so 'pi pitari me prakṛti-sthe kim iti	ninASayizitaH saH api pitari me prakRti-sTe kim iti
   nāśyeta tat tvayā api tasmin samrambho na kāryaḥ '	nASyeta tat tvayA api tasmin samramBaH na kAryaH a
   iti |	iti |
   tae ime sarvam ābhijñānikam upalabhya ' sa eva ayam	tae ime sarvam ABijQAnikam upalaBya a saH eva ayam
   iti niścinvānā vismayamānāś ca tāṃ mahā-devīṃ	iti niScinvAnAH vismayamAnAH ca tAm mahA--devIm
   ca praśamsanto mantra-balāni co7dghoṣayanto bandhanāt	ca praSamsantaH mantra-balAni co7dGozayantaH banDanAt-
   pitarau niṣkrāmayya svaṃ rājyaṃ pratya pādayan |	pitarO nizkrAmayya svam rAjyam pratya pAdayan |
   ahaṃ ca tayā me dhātryā sarvam idaṃ mama ceṣṭitaṃ	aham ca tayA me DAtryA sarvam idam mama cezwitam
   rahasi pitror avagamayya	rahasi pitroH avagamayya
   praharṣa-kāṣṭhā2dhirūḍhayos tayoḥ pāda-mūlam	praharza--kAzWa-a2DirUXayoH tayoH pAda--mUlam
   abhaje |	aBaje |
   abhajye ca yauvarājya-lakṣmyā tad-anujñātayā |	aBajye ca yOvarAjya--lakzmyA tad--anujQAtayA |
   prasādhitā3tmā deva-pāda-viraha-duḥkha-durbhagān	prasADita-A3tmA deva-pAda--viraha--duHKa--durBagAn
   bhogān nirviśan bhūyo 'sya pitṛ-sakhasya	BogAn nirviSan BUyas asya pitR-saKasya
   simha-varmaṇo lekhyāc caṇḍa-varmaṇaś	simha-varmaNaH leKyAt caNxa-varmaNaH-
   campā2bhiyogam avagamya ' śatru-vadho mitra-rakṣā	campA-a2Biyogam avagamya a Satru-vaDaH mitra-rakzA
   co7bhayam api karaṇīyam eva ' ity a-laghunā	co7Bayam api karaNIyam eva a iti a-laGunA
   laghu-samutthānena sainya-cakreṇa abhyasaram |	laGu--samutTAnena sEnya-cakreNa aByasaram |
   abhūvaṃ ca bhūmis	aBUvam ca BUmis
   tvat-pāda-lakṣmī-sākṣāt-kriyā-maho2tsavā3nanda-rāśeḥ ' iti |	tu-at-pAda-lakzmI--sAkzAt--kriyA--maho2tsavA3-nanda--rASeH a iti |
   śrutvai9tad devo rāja-vāhanaḥ sa-smitam avādīt -- '	SrutvE9-tat devaH rAja-vAhanaH sa--smitam avAdIt -- a
   paśyata pāra-talpikam upadhi-yuktam api	paSyata pAra-talpikam upaDi-yuktam api
   guru-jana-bandha-vyasana-mukti-hetutayā	guru--jana-banDa--vyasana-mukti--hetu-tayA
   duṣṭā1-mitra-pramāpaṇā1bhyupāyatayā	duzwa-a1-mitra--pramApaNA1ByupAya-tayA
   rājyo1palabdhi-mūlatayā ca puṣkalāv artha-dharmāv	rAjya-u1palabDi--mUla-tayA ca puzkalO arTa-DarmO=-
   apy arīradhat |	api arIH-aDat |
   kiṃ hi buddhimat-prayuktaṃ na abhyupaiti śobhām '	kim hi budDimat--prayuktam na aByupEti SoBAm a
   iti |	iti |
   artha-pāla-mukhe nidhāya snigdha-dīrghāṃ dṛṣṭim '	arTa-pAla--muKe niDAya snigDa--dIrGAm dRzwim a
   ācaṣṭāṃ bhavān ātmīya-caritam ' ity ādideśa |	AcazwAm BavAn AtmIya--caritam a iti AdideSaH |
   so 'pi baddhā1ñjalir abhidadhe --	saH api badDa-a1QjaliH aBidaDe --
   / iti śrīdaṇḍinaḥ kṛtau daśa-kumāra-caritae	/ iti SrI-daNxinaH kRtO daSa-kumAra--caritae
   upahāra-varma caritaṃ nāma tṛtīya ucchvāsaḥ /	upahAra-varma caritam nAma tRtIyaH ucCvAsaH /
   / pañcama ucchvāsaḥ /	/ paQcamaH ucCvAsaH /
   so 'pi praṇamya vijñāpayāmāsa - ' deva devasya	saH api praNamya vijQApayAmAsa  a deva devasya
   anveṣaṇāya dikṣu bhramann abhraṃ-kaṣasya api	anvezaNAya dikzu Braman aBraM-kazasya api
   vindhya-pārśva-rūḍhasya vanaspater adhaḥ	vinDya-pArSva-rUXasya vanaspateH aDas-
   pariṇata-pataṅga-bāla-pallavā1vatamsite	pariNata-pataFga--bAla--pallava-a1vatam-site
   paścima-dig-aṅganā-mukhe palvalā1mbhasy	paScima--diS--aFganA--muKe palvalA1mBasy
   upaspṛśyo7pāsya sandhyāṃ tamaḥ-samīkṛteṣu	upaspRSyaH-7pAsya sanDyAm tamaH--samIkRtezu
   nimno1nnateṣu gantum a-kṣamaḥ kṣamā-tale kisalayair	nimno1nnatezu gantum a-kzamaH kzamA-tale kisalayEH-
   uparacayya śayyāṃ śiśayiṣamāṇaḥ śirasi kurvann	uparacayya SayyAm SiSayizamANaH Sirasi kurvan=-
   añjalim ' yā asmin vanaspatau vasati devatā sai9va me	aQjalim a yA asmin vanaspatO vasati devatA sE9va me
   śaraṇam astu śarāru-cakra-cāra-bhīṣaṇāyāṃ	SaraNam astu SarAru--cakra--cAra--BIzaNAyAm
   śarva-gala-śyāma-śārvarā1ndhakāra-pūrā3dhmāta-gabhīra-gahvarāyām	Sarva--gala-SyAma--SArvara-a1nDakAra--pUrA3-DmAta--gaBIra--gahvarAyAm
   asyāṃ mahā2ṭavyām ekakasya me	asyAm mahA-a2wavyAm ekakasya me
   prasuptasya ' ity upadhāya vāma-bhujam aśayiṣi |	prasuptasya a iti upaDAya vAma-Bujam aSayizi |
   tataḥ kṣaṇād eva avani-durlabhena sparśena asu	tatas kzaNAt eva avani-durlaBena sparSena asu
   khāyiṣata kim āpa gātrāṇi āhlādayiṣate7ndriyāṇi	KAyizata kim Apa gAtrANi AhlAdayizate7ndriyANi
   abhyamanāyiṣṭa ca antar-ātmā viśeṣataś ca	aByamanAyizwa ca antar-AtmA viSezataH ca
   hṛṣitās tanū-ruhāḥ paryasphuran me dakṣiṇa-bhujaḥ |	hRzitAH tanU-ruhAH paryasPurat me dakziNa-BujaH |
   ' kathaṃ nv idam ' iti manda-mandam unmiṣann upary	a kaTam nu idam a iti manda-mandam unmizan upari-
   accha-candrā3tapa-ccheda-kalpaṃ śuklā1mśuka-vitānam	acCa--candrA3tapa-=-Ceda--kalpam SuklA1mSuka-vitAnam
   aikṣiṣi |	Ekzizi |
   vāmato valita-dṛṣṭiḥ samayā saudha-bhittiṃ	vAmatas valita-dRzwiH samayA sODa-Bittim
   citrā3staraṇa-śāyinam ati-viśrabdha-prasuptam	citrA3staraNa-SAyinam ati--viSrabDa--prasuptam
   aṅganā-janam alakṣayam |	aFganA-a-janam alakzayam |
   dakṣiṇato datta-cakṣur āgalita-stanā1mśukām	dakziNatas datta-cakzuH Agalita--stanA1mSukAm
   amṛta-phena-paṭala-pāṇḍura-śayana-śāyinīm	amRta--Pena--pawala--pANxura-Sayana--SAyinIm
   ādi-varāha-damṣṭrā2mśu-jāla-lagnām	Adi--varAha--damzwrA2mSu--jAla-lagnAm
   amsa-srasta-dugdha-sāgara-dukūlo1ttarīyāṃ	amsa-srasta--dugDa--sAgara--dukUlaH-1ttarIyAm
   bhaya-sādhvasa-mūrchitām iva dharaṇīm	Baya-sADu-asa--mUrCitAm iva DaraNIm
   aruṇā1dhara-kiraṇa-bāla-kisalaya-lāsya-hetubhir	aruNA1-Dara--kiraNa--bAla--kisalaya--lAsya--hetuBiH-
   ānanā1ravinda-parimalo1dvāhibhir	AnanA1ravinda--parimalo1dvAhiBiH-
   niḥśvāsa-mātariśvabhir	niHSvAsa--mAtariSvaBiH-
   īśvare3kṣaṇa-dahana-dagdhaṃ sphuliṅga-śeṣam	ISvare3kzaNa--dahana--dagDam sPuliFga--Sezam
   an-aṅgam iva sandhukṣayantīm antaḥ-supta-ṣaṭ-padam	an-aFgam iva sanDukzayantIm antaH-supta--zaw--padam
   ambujam iva jāta-nidraṃ sa-rasam	ambujam iva jAta-nidram sa-rasam
   āmīlita-locane1ndīvaram ānanaṃ dadhānām	AmIlita-locane1ndIvaram Ananam daDAnAm
   airāvata-madā1valepa-lūnā1paviddhām iva	ErAvata-mada-a1valepa-lUnA1-pavidDAm iva
   nandana-vana-kalpa-vṛkṣa-ratna-vallarīm kām api	nandana-vana--kalpa-vRkza--ratna-vallarIm kAm api
   taruṇīm ālokayam |	taruNIm Alokayam |
   atarkayaṃ ca - ' kva gatā sā mahā2ṭavī kuta idam	atarkayam ca  a kva gatA sA mahA-a2wavI kutas idam
   ūrdhvā1ṇḍa-kapāla-saṃ puṭo1daro1llekhi	UrDva-a1Nxa-kapAla-sam puwaH-1dara-u1lleKi
   śakti-dhvaja-śikhara-śūlo1tsedhaṃ saudham āgatam kva	Sakti-Dvaja--SiKara--SUla-u1tseDam sODam Agatam kva
   ca tad-araṇya-sthalī-samāstīrṇaṃ pallava-śayanam	ca tad--araNya--sTalI--samAstIrNam pallava--Sayanam
   kutastyaṃ ce7dam indu-gabhasti-sambhāra-bhāsuraṃ	kutastyam ca-i7dam indu--gaBasti--samBAra-BAsuram
   hamsa-tūla-dukūla-śayanam |	hamsa-tUla-dukUla--Sayanam |
   eṣa ca ko nu	eza ca kaH nu
   śīta-raśmi-kiraṇa-rajju-dolā-paribhraṣṭa-mūrchita	SIta-raSmi-kiraNa--rajju--dolA--pariBrazwa--mUrCita
   iva apsaro-gaṇaḥ svaira-suptaḥ sundarī-janaḥ kā	iva apsaraH--gaNaH svEH-a-suptaH sundarI--janaH kA
   ce7yaṃ devī9va aravinda-hastā	ca-I7yam devI9va aravinda-hastA
   śārada-śaśā1ṅka-maṇḍalā1mala-dukūlo1ttara-cchadam	SArada-SaSa-a1Fka--maNxala-a1mala--dukUlaH-1ttara-cCadam
   adhiśete śayana-talam |	aDiSete Sayana-talam |
   na tāvad eṣā deva-yoṣā yato manda-mandam	na tAvat ezA deva--yozAH yatas manda-mandam
   indu-kiraṇaiḥ samvāhyamānā kamalinī9va saṅkucati |	indu-kiraNEH samvAhyamAnA kamalinI9-va saFkucati |
   bhagna-vṛnta-cyuta-rasa-bindu-śabalitaṃ	Bagna--vRnta--cyuta-rasa--bindu--Sabalitam
   pāka-pāṇḍu-cūta-phalam ivo7dbhinna-sveda-rekham	pAka--pANxu--cUta--Palam iva-u7dBinna--sveda-reKam
   ālakṣyate gaṇḍa-sthalam |	Alakzyate gaNxa-sTalam |
   abhinava-yauvana-vidāha-nirbharo3ṣmaṇi kuca-taṭe	aBinava-yOvana--vidAha--nirBara-u3zmaNi kuca--tawe
   vaivarṇyam upaiti varṇakam |	vEvarNyam upEti varNakam |
   vāsasī ca paribhogā1nurūpaṃ dhūsarimāṇam	vAsasI ca pariBogA1nurUpam DU-sarimANam
   ādarśayataḥ |	AdarSayataH |
   tad eṣā mānuṣy- eva |	tat ezA mAnuzy eva |
   diṣṭyā ca an-ucchiṣṭa-yauvanā yataḥ saukumāryam	dizwyA ca an-ucCizwa--yOvanAH yatas sOkumAryam
   āgatāḥ samhatā iva avayavāḥ prasnigdhatamā api	AgatAH samhatAH iva avayavAH prasnigDatamAH api
   pāṇḍutā2nuviddhe9va deha-cchaviḥ danta-pīḍā2n-abhijñatayā	pANxutA-a2nuvidDe9va deha--=-CaviH danta--pIxA2n-aBijQa-tayA
   na ati-viśada-rāgo mukhe vidruma-dyutir adhara-maṇiḥ	na ati-viSada--rAgaH muKe vidruma--dyutiH aDara-maNiH
   an-aty-āpūrṇam ārakta-mūlaṃ campaka-kuḍmala-dalam iva kaṭhoraṃ	an-aty-ApUrNam Arakta--mUlam campaka-kuxmala-dalam iva kaWoram
   kapola-talam an-aṅga-bāṇa-pāta-muktā3śaṅkaṃ ca	kapola-talam an-aFga--bANa-pAta--muktA3-SaFkam ca
   viśrabdha-madhuraṃ supyate na cai7tad-vakṣaḥ-sthalaṃ	viSrabDa--maDuram supyate na cE7tat--vakzaH-sTalam
   nir-daya-vimarda-vistārita-mukha-stana-yugalam asti ca	nir-daya--vimarda--vistArita-muKa--stana--yugalam asti ca
   an-ati krānta-śiṣṭa-maryāda-cetaso mama asyām	an-ati krAnta--Sizwa--maryAda--cetasaH mama asyAm
   āsaktiḥ |	AsaktiH |
   āsakty-anurūpaṃ punar āśliṣṭā yadi spaṣṭam	Asakti--anurUpam punar ASlizwA yadi spazwam
   ārta-raveṇai7va saha nidrāṃ mokṣyati |	Arta--raveNa-e7va saha nidrAm mokzyati |
   atha ahaṃ na śakṣyāmi ca an-upaśliṣya śayitum |	aTa aham na SakzyAmi ca an-upaSlizya Sayitum |
   ato yad bhāvi tad bhavatu |	atas yat BAvi tat Bavatu |
   bhāgyam atra parīkṣiṣye |	BAgyam atra parIkzizye |
   ' iti spṛṣṭā1-spṛṣṭam eva kim apy	a iti spRzwA1--spRzwam eva kim api-
   āviddha-rāga-sādhvasaṃ lakṣya-suptaḥ sthito 'smi |	AvidDa--rAga--sADvasam lakzya-suptaH sTitaH asmi |
   sā api kim apy utkampinā romo1dbhedavatā	sA api kim api utkampinA romo1t-BedavatA
   vāma-pārśvena sukhāyamānena	vAma-pArSvena suKAyamAnena
   manda-manda-jṛmbhita-kārambha-mantharā1ṅgī	manda-manda--jRmBi-ta-ka-AramBa--manTara-a1FgI
   tvaṅgad-agra-pakṣmaṇoś cakṣuṣor	tu-aFgad-agra--pakzmaNoH cakzuzoH-
   alasa-tānta-tārakeṇa	alasa-tA-anta--tArakeNa
   an-atipakva-nidrā-kaṣāyitā1pāṅga-para-bhāgeṇa	an-ati-pakva--nidrA--kazAyitA1-pAFga--para-BAgeNa
   yugalene8ṣad unmilantī	yugalena-i8zat unmilantI
   trāsa-vismaya-harṣa-rāga-śaṅkā-vilāsa-vibhrama-vyavahitāni	trAsa--vismaya--harza--rAga--SaFkA--vilAsa--viBrama--vyavahitAni
   vrīḍā2ntarāṇi kāni kāny api kāmena	vrIxA-2ntarANi kAni kAni api kAmena
   adbhutā1nubhāvena avasthā2ntarāṇi kāryamāṇā	adButA1nuBAvena avasTA-a2ntarANi kAryamANA
   parijana-prabodhano1dyatā giraṃ	parijana--praboDana-u1dyatA giram
   kāmā3vega-para-vaśaṃ hṛdayam aṅgāni ca	kAmA3-vega--para--vaSam hRdayam aFgAni ca
   sādhvasā3yāsa-sambadhyamāna-sveda-pulakāni kathaṃ	sADvasa-A3yAsa--sambaDyamAna--sveda--pulakAni kaTam
   katham api nigṛhya sa-spṛheṇa	kaTam api nigRhya sa--spRheNa
   madhura-kūṇita-tri-bhāgeṇa manda-manda-pracāritena	maDura--kUNita-tri-BAgeNa manda-manda--pracAritena
   cakṣuṣā mad-aṅgāni nirvarṇya	cakzuzA mad--aFgAni nirvarNya
   dūro1tsarpita-pūrva-kāyā api tasminn eva śayane	dUro1t-sarpita--pUrva-kAyAH api tasmin eva Sayane
   sa-cakitam aśayiṣṭa |	sa-cakitam aSayizwaH |
   ajaniṣṭa me rāgā3viṣṭa-cetaso 'pi kim api nidrā |	ajanizwa me rAga-a3vizwa--cetasaH api kim api nidrA |
   punar an-anukūla-sparśa-duḥkhā3yatta-gātraḥ	punar an-anukUla--sparSa--duHKA3-yat-ta--gAtraH
   prābudhye |	prAbuDye |
   prabuddhasya ca me sai9va mahā2ṭavī tad eva	prabudDasya ca me sA-e9va mahA-a2wavI tat eva
   taru-talaṃ sa eva patrā3staro 'bhūt |	taru-talam saH eva patra-a3staraH aBUt |
   vibhāvarī ca vyabhāsīt |	viBAvarI ca vyaBAsIt |
   abhūc ca me manasi	aBUt ca me manasi
   - ' kim ayaṃ svapnaḥ kiṃ vipralambho vā kim iyam	 a kim ayam svapnaH kim vipralamBaH vA kim iyam
   āsurī daivī vā kā api māyā |	AsurI dEvI vA kAH api mAyA |
   yad bhāvi tad bhavatu |	yat BAvi tat Bavatu |
   na aham idaṃ tatvato na avabudhya mokṣyāmi	na aham idam tatvataH na avabuDya mokzyAmi
   bhūmi-śayyām |	BUmi-SayyAm |
   yāvad-āyur atratyāyai devatāyai pratiśayito bhavāmi	yAvat--AyuH atratyAyE devatAyE pratiSayitaH BavAmi
   ' iti niścita-matir atiṣṭham |	a iti niScita-matiH atizWam |
   athā8virbhūya kā api	aTa-a8virBUya kAH api
   ravi-karā1bhitapta-kuvalaya-dāma-tāntā1ṅga-yaṣṭiḥ	ravi-kara-a1Bitapta-kuvalaya-dAma-ta-antA1Fga-yazwiH
   kliṣṭa-nivasano1ttarīyā nir-alaktaka-rūkṣa-pāṭalena	klizwa-nivasano1ttarIyAH nir-alaktaka-rUkza-pAwalena
   niḥśvāso3ṣma-jarjarita-tviṣā danta-cchadena	niHSvAsa-u3zma--jarjarita--tvizA danta--cCadena
   vamantī9va virahā1nalam	vamantI9va virahA1-nalam
   an-avarata-salila-dhārā-visarjanād rudhirā1vaśeṣam	an-a-varata-salila--DArA--visarjanAt ruDira-a1vaSezam
   iva lohitataraṃ dvitayam akṣṇor udvahantī	iva lohitataram dvitayam akzNoH udvahantI
   kula-cāritra-bandhana-pāśa-vibhrameṇai7ka-veṇībhūtena	kula--cAritra--banDana--pASa--viBrameNE7ka-veNI-BUtena
   keśa-pāśena nīlā1mśuka-cīra-cūḍikā-parivṛtā	keSa--pASena nIla-a1mSuka-cIra--cUxikA--parivRtA
   pati-vratā-patāke9va sañcarantī kṣāma-kṣāmā api	pati-vratA--patAke9va saQcarantI kzAma--kzAmAH api
   devatā2nubhāvād an-atikṣīṇa-varṇā1vakāśā	devatA-2nuBAvAt an-ati-kzINa-varNa-a1vakASA
   sīmantinī praṇipatantaṃ māṃ praharṣo1tkampitena	sImantinI praNipatantam mAm praharza-u1tkampitena
   bhuja-latā-dvayeno7tthāpya putra-vat pariṣvajya śirasy	Buja-latA--dvayena-u7tTApya putra-vat parizvajya Sirasi-
   upāghrāya vātsalyam iva stana-yugalena stanya-cchalāt	upAGrAya vAtsalyam iva stana--yugalena stanya--cCalAt-
   prakṣarantī śiśireṇa aśruṇā niruddha-kaṇṭhī	prakzarantI SiSireNa aSruNA nirudDa-kaNWI
   sneha-gadgadaṃ vyāhārṣīt -- ' vatsa yadi vaḥ	sneha--gadgadam vyAhArzIt -- a vatsa yadi vaH
   kathitavatī magadha-rāja-mahiṣī vasumatī mama haste	kaTitavatI magaDa-rAja--mahizI vasumatI mama haste
   bālam artha-pālaṃ nidhāya kathāṃ ca kāñ-cid	bAlam arTa-pAlam niDAya kaTAm ca kAQ-cid-
   ātma-bhartṛ-putra-sakhī-janā1nubaddhāṃ	Atma--BartR-putra--saKI--jana-a1nubadDAm
   rāja-rāja-pravartitāṃ kṛtvā antar-dhānam agād	rAja--rAja--pravartitAm kRtvA antar-DAnam agAt-
   ātmajā maṇi-bhadrasye7ti sā aham asmi vo jananī |	AtmajA maNi-Badrasya-i7ti sA aham asmi vaH jananI |
   pitur vo dharma-pāla-sūnoḥ sumitrā2nujasya	pituH vaH Darma--pAla--sUnoH sumitrA-a2nujasya
   kāma-pālasya pāda-mūlān	kAma-pAlasya pAda--mUlAn
   niṣ-kāraṇa-kopa-kaluṣitā3śayā proṣya	niz-kAraNa-kopa-kaluzitA3SayA prozya
   anuśaya-vidhurā svapne kena api rakṣo-rūpeṇo7petya	anuSaya-viDurA svapne kena api rakzaH---rUpeNa-u7petya
   śaptā asmi -- ' caṇḍikāyāṃ tvayi varṣa-mātraṃ	SaptAH asmi -- a caNxikAyAm tvayi varza--mAtram
   vasāmi pravāsa-duḥkhāya ' iti bruvatai9va aham	vasAmi pravAsa--duHKAya a iti bruvatE9va aham
   āviṣṭā prābudhye |	AvizwA prAbuDye |
   gataṃ ca tad varṣaṃ varṣa-sahasra-dīrgham |	gatam ca tat varzam varza--sahasra--dIrGam |
   atītāyāṃ tu yāminyāṃ deva-devasya try-ambakasya	atItAyAm tu yAminyAm deva-devasya tri--ambakasya
   śrāvastyām utsava-samājam anubhūya bandhu-janaṃ ca	SrAvastyAm utsava--samAjam anuBUya banDu--janam ca
   sthāna-sthānebhyaḥ samnipatitam abhisamīkṣya	sTAna--sTAneByaH samnipatitam aBisamIkzya
   mukta-śāpā patyuḥ pārśvam abhisarāmī7ti	mukta-SApAH patyuH pArSvam aBisarAmi-i7ti
   prasthitāyām eva mayi tvam atra abhyupetya ' prapanno	prasTitAyAm eva mayi tvam atra aByupetya a prapannaH-
   asmi śaraṇam ihatyāṃ devatām ' iti prasuptoasi |	asmi SaraNam ihatyAm devatAm a iti prasuptaH-asi |
   evaṃ śāpa-duḥkhā3viṣṭayā tu mayā tadā na	evam SApa--duHKA3-vizwayA tu mayA tadA na
   tatvataḥ paricchinno bhavān |	tatvataH paricCinnaH BavAn |
   api tu śaraṇā3gatam a-virala-pramādāyām asyāṃ	api tu SaraNA3-gatam a-virala--pramAdAyAm asyAm
   mahā2ṭavyām a-yuktaṃ parityajya gantum iti mayā tvam	mahA-a2wavyAm a-yuktam parityajya gantum iti mayA tvam
   api svapann eva asi nītaḥ |	api svapan eva asi nItaH |
   pratyāsanne ca tasmin deva-gṛhe punar acintayam -- '	pratyAsanne ca tasmin deva-gRhe punar acintayam -- a
   katham iha taruṇena anena saha samājaṃ gamiṣyāmi '	kaTam iha taruNena anena saha samAjam gamizyAmi a
   iti |	iti |
   atha rājñaḥ śrāvastī4śvarasya yathā2rtha-nāmno	aTa rAjQaH SrAvastI4-Svarasya yaTA2rTa-nAmno
   dharma-vardhanasya kanyāṃ nava-mālikāṃ	Darma-varDanasya kanyAm nava-mAlikAm
   gharma-kāla-subhage kanyā-pura-vimāna-harmya-tale	Garma-kAla--suBage kanyA--pura-vimAna--harmya--tale
   viśāla-komalaṃ śayyā-talam adhiśayānāṃ	viSAla--komalam SayyA-talam aDiSayAnAm
   yad-ṛcchayo9palabhya ' diṣṭye9yaṃ suptā	yat--RcCayA-u9palaBya a dizwye9yam suptA
   parijanaś ca gāḍha-nidraḥ |	parijanaH ca gAXa-nidraH |
   śetām ayam atra muhūrta-mātraṃ brāhmaṇa-kumāro	SetAm ayam atra muhUrta--mAtram brAhmaNa-kumAraH-
   yāvat kṛta-kṛtyā nivarteya ' iti tvāṃ tatra	yAvat kRta-kRtyA nivarteya a iti tvAm tatra
   śāyayitvā tam uddeśam agamam |	SAyayitvA tam uddeSam agamam |
   dṛṣṭvā co7tsava-śriyam nirviśya ca	dRzwvA ca-u7tsava--Sriyam nirviSya ca
   sva-jana-darśana-sukham abhivādya ca tri-bhuvane3śvaram	sva--jana--darSana--suKam aBivAdya ca tri-Buvane3Svaram
   ātmā1līka-pratyākalano1pārūḍha-sādhvasaṃ ca	Atma-a1lIka--pratyAkalana-u1pArUXa--sADvasam ca
   namaskṛtya bhakti-praṇata-hṛdayā bhagavatīm ambikāṃ	namaskRtya Bakti-praNata--hRdayA BagavatIm ambikAm
   tayā giri-duhitrā devyā sa-smitam ' ayi bhadre mā	tayA giri-duhitrA devyA sa--smitam a ayi Badre mA
   bhaiṣīḥ |	BEzIH |
   bhave7dānīṃ bhartṛ-pārśva-gāminī |	Bave7dAnIm BartR-pArSva--gAminI |
   gatas te śāpaḥ ity anugṛhītā sadya eva	gataH te SApaH iti anugRhItA sadyas eva
   pratyāpanna-mahimā pratinivṛtya dṛṣṭvai9va tvāṃ	pratyApanna--mahimA pratinivRtya dRzwvA-e9va tvAm
   yathāvad abhyajānām - ' kathaṃ mat-suta eva ayaṃ	yaTAvat aByajAnAm  a kaTam mat--sutaH eva ayam
   vatsasya artha-pālasya prāṇa-bhūtaḥ sakhā pramatir	vatsasya arTa-pAlasya prANa-BUtaH saKA pramatiH-
   iti |	iti |
   pāpayā mayā asminn a-jñānād audāsīnyam ācaritam	pApayA mayA asmin a-jQAnAt OdAsInyam Acaritam
   api ca ayam asyām āsakta-bhāvaḥ |	api ca ayam asyAm Asakta-BAvaH |
   kanyā cai7naṃ kāmayate yuvānam |	kanyA cE7nam kAmayate yuvAnam |
   ubhau ce7mau lakṣya-suptau trapayā sādhvasena vā	uBO ca-I7mO lakzya--suptO trapayA sADvasena vA
   anyo-anyam ātmānaṃ na vivṛṇvāte |	anyaH--anyam AtmAnam na vivRNvAte |
   gantavyaṃ ca mayā |	gantavyam ca mayA |
   kāmā3ghrātayā apy anayā kanyayā	kAmA3-GrAtayA api anayA kanyayA
   rahasya-rakṣaṇāya na samābhāṣitaḥ sakhī-janaḥ	rahasya--rakzaNAya na samABAzitaH saKI--janaH
   parijano vā |	parijanaH vA |
   nayāmi tāvat kumāram |	nayAmi tAvat kumAram |
   punar apī7mam arthaṃ labdha-lakṣo yatho9papannair	punar api-i7mam arTam labDa-lakzaH yaTA-u9papannEH-
   upāyaiḥ sādhayiṣyati ' iti mat-prabhāva-prasvāpitaṃ	upAyEH sADayizyati a iti mat--praBAva--prasvApitam
   bhavantam etad eva patra-śayanam pratyanaiṣam |	Bavantam etat eva patra--Sayanam pratyanEzam |
   evam idaṃ vṛttam |	evam idam vRttam |
   eṣā ca ahaṃ pitus te pāda-mūlaṃ pratyupasarpeyam	ezA ca aham pituH te pAda--mUlam pratyupasarpeyam
   ' iti prāñjaliṃ māṃ bhūyo bhūyaḥ pariṣvajya	a iti prAQjalim mAm BUyas BUyas parizvajya
   śirasy upāghrāya kapolayoś cumbitvā sneha-vihvalā	Sirasi upAGrAya kapolayoH cumbitvA sneha--vihvalA
   gatā0sīt |	gatA0-sIt |
   ahaṃ ca pañca-bāṇa-vaśyaḥ śrāvastīm abhyavartiṣi |	aham ca paQca--bANa--vaSyaH SrAvastIm aByavartizi |
   mārge ca mahati nigame naigamānāṃ	mArge ca mahati nigame nEgamAnAm
