   darpadalanam	darpa-dalanam
   ācāmayācakaḥ kṛcchrād dvārāgrabhuvamāyayau // KDarp_2.85 //	AcAma-yAcakaH kRcCrAt dvAra-agra-Buvam-AyayO // KDarp_2.85 //
   taṃ dṛṣṭvā candanaḥ saudhād viprāṇāṃ mārgadūṣaṇam /	tam dRzwvA candanaH sODAt viprANAm mArga-dUzaNam /
   nivāryatāmayaṃ prāptas tūrṇamityavadatkrudhā // KDarp_2.86 //	nivAryatAm-ayam prAptaH tUrNam-iti-avadat-kruDA // KDarp_2.86 //
   prabhubhrūbhaṅgabhītena laguḍenāhatastataḥ /	praBu-BrU-BaFga-BItena laguxena-AhataH-tatas /
   dvārapālena sāvartaḥ sa kapota ivābhavat // KDarp_2.87 //	dvArapAlena sAvartaH sa kapotaH iva-aBavat // KDarp_2.87 //
   sa nirbhinnalalāṭāsthi- prakṣaratkṣatajokṣitaḥ /	sa nirBinna-lalAwa-asTi prakzarat-kzataja-ukzitaH /
   kṣaṇaṃ saṃmūrcchitaḥ prāpa kleśabhogāya jīvitam // KDarp_2.88 //	kzaNam saMmUrcCitaH prApa kleSa-BogAya jIvitam // KDarp_2.88 //
   adūravartinī śrutvā caṇḍālī tadyathāravam /	adUra-vartinI SrutvA caNxAlI tat-yaTA-ravam /
   upasṛtya śuśocārtā spṛśantī tasya śoṇitam // KDarp_2.89 //	upasRtya SuSoca-ArtA spRSantI tasya SoNitam // KDarp_2.89 //
   kena niṣkaruṇenedaṃ darśitaṃ bata pauruṣam /	kena nizkaruNena-idam darSitam bata pOruzam /
   praklinnakāyavikale yenāsminsubhaṭāyitam // KDarp_2.90 //	praklinna-kAya-vikale yena-asmin-su-BawAyitam // KDarp_2.90 //
   kāyāpāpamayīṃ duḥkha- daśāṃ dṛṣṭvāsya duḥsahām /	kAya-apApa-mayIm duHKa daSAm dRzwvA-asya duHsahAm /
   vairāgyāvasare kena krauryamevaṃvidhaṃ kṛtam // KDarp_2.91 //	vErAgya-avasare kena krOryam-evaMviDam kRtam // KDarp_2.91 //
   ārtimevaṃvidhāmasya hṛdayakledinīmimām /	Artim-evaMviDAmasya hRdaya-kledinIm-imAm /
   vilokya kuryātkaḥ pāpaṃ pāpaṃ hi padamāpadām // KDarp_2.92 //	vilokya kuryAt-kaH pApam pApam hi padam-ApadAm // KDarp_2.92 //
   yadyanena mahatpāpaṃ na kṛtaṃ pūrvajanmani /	yadi-anena mahat-pApam na kRtam pUrva-janmani /
   taducyatāṃ sphuratkaṣṭā dṛṣṭā kasyedṛśī daśā // KDarp_2.93 //	tat-ucyatAm sPurat-kazwA dRzwA kasya-IdRSI daSA // KDarp_2.93 //
   ye dṛśyante vipatkleśa- viśeṣaviṣamavyathāḥ /	ye dRSyante vipad-kleSa viSeza-vizama-vyaTAH /
   ta eva guravaḥ pāpa- vāpasya (?) karaṇe nṛṇām // KDarp_2.94 //	te eva guravaH pApa vApasya (?) karaNe nRNAm // KDarp_2.94 //
   karuṇārheṣu śūrāṇām upakāriṣu vairiṇām /	karuNA-arhezu SUrANAm upakArizu vEriNAm /
   vañcakānāmapāpeṣu pāpasaṃkhyāṃ karoti kaḥ // KDarp_2.95 //	vaQcakAnAm-apApezu pApa-saMKyAm karoti kaH // KDarp_2.95 //
   tāraṃ rodiṣi kiṃ putra sahasvāghātajāṃ rujam /	tAram rodizi kim putra sahasva-AGAta-jAm rujam /
   aśarmakarmanirmāṇaṃ marmacchedi śarīriṇām // KDarp_2.96 //	aSarma-karma-nirmANam marma=-Cedi SarIriNAm // KDarp_2.96 //
   iti tasyāṃ pralāpinyāṃ prekṣavāpte jane jinaḥ /	iti tasyAm pralApinyAm prekzava-Apte jane jinaH /
   anāthabandhuḥ karuṇā- sindhustenāyayau pathā // KDarp_2.97 //	anATa-banDuH karuNA sinDuH-tena-AyayO paTA // KDarp_2.97 //
   bhavabhramāsaktapariśramāṇāṃ rāgādidoṣairupatāpitānām /	Bava-Brama-Asakta-pariSramANAm rAga-Adi-dozEH-upatApitAnAm /
   āśvāsanenāmṛtasodareṇa limpanniva dyāṃ dyuticandanena // KDarp_2.98 //	ASvAsanena-amRta-sodareNa limpan=-iva dyAm dyuti-candanena // KDarp_2.98 //
   dṛṣṭvā tamāpadgatamugraroga- bhagnaṃ nimagnaṃ vyasane vivignam /	dRzwvA tam-Apad-gatam-ugra-roga Bagnam nimagnam vyasane vivignam /
   vyalambatārdraḥ karuṇārasena tattāpaśāntyai bhagavāñjinendraḥ //	vyalambata-ArdraH karuNA-rasena tad-tApa-SAntyE BagavAn-jina-indraH //
   KDarp_2.99 //	KDarp_2.99 //
   tatsaṃnidhānena muhūrtamātraṃ sa nirvyathaḥ svāsthyamivāsasāda /	tad-saMniDAnena muhUrta-mAtram sa nirvyaTaH svAsTyam-iva-AsasAda /
   nihanti pāpaṃ kuśalaṃ prasūte saṃdarśanaṃ sattvahitāśayānām // KDarp_2.100	nihanti pApam kuSalam prasUte saMdarSanam sattva-hita-ASayAnAm // KDarp_2.100
   jñātvātha candanaḥ prāptaṃ bhagavantaṃ tathāgatam /	jQAtvA-aTa candanaH prAptam Bagavantam taTAgatam /
   vikasatkusumasmeraṃ pūjāmādāya niryayau // KDarp_2.101 //	vikasat-kusuma-smeram pUjAm-AdAya niryayO // KDarp_2.101 //
   bhagavānapi sāścarya- prabhāvādudgataṃ bhuvaḥ /	BagavAn-api sa-AScarya praBAvAt-udgatam BuvaH /
   haimaṃ kamalamāruhya tasthau paryaṅkalīlayā // KDarp_2.102 //	hEmam kamalam-Aruhya tasTO paryaFka-lIlayA // KDarp_2.102 //
   praṇataṃ caraṇālīnaṃ pūjāvyagrakaraṃ puraḥ /	praNatam caraNa-AlInam pUjA-vyagra-karam puras /
   babhāṣe bhagavānprīto bhikṣusaṃsadi candanam // KDarp_2.103 //	baBAze BagavAn-prItaH Bikzu-saMsadi candanam // KDarp_2.103 //
   kimayaṃ yācamāno 'pi varākastāḍitaḥ krudhā /	kim-ayam yAcamAnaH api varAkaH-tAxitaH kruDA /
   kṛtaṃ na kṛpaṇe kasmāt karuṇākomalaṃ manaḥ // KDarp_2.104 //	kRtam na kRpaNe kasmAt karuNA-komalam manaH // KDarp_2.104 //
   dayārdrāḥ sarvasattveṣu bhavanti vimalāśayāḥ /	dayA-ArdrAH sarva-sattvezu Bavanti vimala-ASayAH /
   evaṃvidhānāṃ duḥkhānāṃ kāraṇaṃ kaluṣaṃ manaḥ // KDarp_2.105 //	evaMviDAnAm duHKAnAm kAraNam kaluzam manaH // KDarp_2.105 //
   kṛtakrūrāpakāreṣu vidveṣaparuṣeṣvapi /	kRta-krUra-apakArezu vidveza-paruzezu-api /
   bhavanti santaḥ kleśoṣma- śoṣiteṣu na karkaśāḥ // KDarp_2.106 //	Bavanti santaH kleSa-Uzma Sozitezu na karkaSAH // KDarp_2.106 //
   kliṣṭaḥ kaṣṭaṃ kadaryo 'yaṃ lobhenāparajanmani /	klizwaH kazwam kadaryaH ayam loBena-apara-janmani /
   apradānodyatenādya kāyakleśena pīḍitaḥ // KDarp_2.107 //	apradAna-udyatena-adya kAya-kleSena pIxitaH // KDarp_2.107 //
   eṣa nandastava pitā pūrṇārthamalasaṃcayāt /	eza nandaH-tava pitA pUrNa-arTa-mala-saMcayAt /
   āvṛtaḥ pāparogeṇa caṇḍālatvamupāgataḥ // KDarp_2.108 //	AvRtaH pApa-rogeNa caNxAla-tvam-upAgataH // KDarp_2.108 //
   janmāntare 'pyato 'nyasmin rogayogānmumūrṣaṇā /	janma-antare api-atas anyasmin roga-yogAt-mumUrzaNAH /
   suvarṇaṃ dattametena tenāyaṃ sadhano 'bhavat // KDarp_2.109 //	suvarNam dattam-etena tena-ayam sa-DanaH aBavat // KDarp_2.109 //
   antyakleśadaśāyāṃ yan mumūrṣuḥ saṃprayacchati /	antya-kleSa-daSAyAm yat mumUrzuH saMprayacCati /
   taccābhogyaṃ bhavatyasya lobhādanyeṣu janmasu (?) // KDarp_2.110 //	tat-ca-aBogyam Bavati-asya loBAt-anyezu janmasu (?) // KDarp_2.110 //
   datta na vittaṃ karuṇānimittaṃ lobhapravṛttaṃ kṛtameva cittam /	datta na vittam karuNA-nimittam loBa-pravRttam kRtam-eva cittam /
   yaiḥ saṃcayosāharasaiḥ pranṛttaṃ śocanti te pātakamātmavṛttam //	yEH saMcayaH-sAha-rasEH pranRttam Socanti te pAtakam-Atma-vRttam //
   KDarp_2.111 //	KDarp_2.111 //
   ityuktvā bhagavānpuṇyāṃ vidadhe dharmadeśanām /	iti-uktvA BagavAn-puNyAm vidaDe Darma-deSanAm /
   yayā kleśaprahāṇārham arhattvaṃ prāpa candanaḥ // KDarp_2.112 //	yayA kleSa-prahANa-arham arhat-tvam prApa candanaH // KDarp_2.112 //
   tasmānna darpaḥ puruṣeṇa kāryaḥ pravardhamānena dhanodayena /	tasmAt-na darpaH puruzeNa kAryaH pravarDamAnena Dana-udayena /
   adānabhogopahataṃ hi vittaṃ puṃsāṃ paratreha ca durnimittam // KDarp_2.113	adAna-Boga-upahatam hi vittam puMsAm paratra-iha ca durnimittam // KDarp_2.113
   tṛtīyo vicāraḥ	tRtIyaH vicAraH
   saṃsāradoṣapraśamaikahetuḥ karoti vidyā yadi darpamoham /	saMsAra-doza-praSama-eka-hetuH karoti vidyA yadi darpa-moham /
   tadandakārāya bhavatyavaśyaṃ sābhre nabhasyaṃśumatoṃśumālā // KDarp_3.1 //	tad-andakArAya Bavati-avaSyam sa-aBre naBasi-aMSuma-toMSu-mAlA // KDarp_3.1 //
   śikṣābhyāsena suvyaktaṃ paṭhantyapi vihaṃgamāḥ /	SikzA-aByAsena su-vyaktam paWanti-api vihaMgamAH /
   ka eṣa vidyayā darpaḥ kaṣṭaprāptaikadeśayā // KDarp_3.2 //	kaH eza vidyayA darpaH kazwa-prApta-eka-deSayA // KDarp_3.2 //
   sā vidyā yā madaṃ hanti sā śrīryārthiṣu varṣati /	sA vidyA yA madam hanti sA SrI-ryA-arTizu varzati /
   dharmānusāriṇī yā ca sā buddhirabhidhīyate // KDarp_3.3 //	Darma-anusAriNI yA ca sA budDiH-aBiDIyate // KDarp_3.3 //
   yo vidyāgururāyāti laghutāṃ śīlaviplavāt /	yaH vidyA-guruH-AyAti laGu-tAm SIla-viplavAt /
   tasmai paṇḍitamūrkhāya viparītātmane namaḥ // KDarp_3.4 //	tasmE paNxita-mUrKAya viparIta-Atmane namaH // KDarp_3.4 //
   vidyāṃ prāpya kṛtaṃ yena vidveṣakaluṣaṃ manaḥ /	vidyAm prApya kRtam yena vidveza-kaluzam manaH /
   tenātmā hanta mūrkheṇa snātvā pāṃsūtkarairvṛtaḥ // KDarp_3.5 //	tena-AtmA hanta mUrKeNa snAtvA pAMsu-utkarEH-vRtaH // KDarp_3.5 //
   vidyā śrīriva lobhena dveṣeṇāyāti nindyatām /	vidyA SrIH-iva loBena dvezeNa-AyAti nindya-tAm /
   bhāti namratayaivaiṣā lajjayeva kulāṅganā // KDarp_3.6 //	BAti namra-tayA-eva-ezA lajjayA-iva kula-aFganA // KDarp_3.6 //
   spṛhaṇīyā satāṃ tāvad vidyā saṃtoṣaśālinī /	spRhaNIyA satAm tAvat vidyA saMtoza-SAlinI /
   yāvanna pārthivāsthāna- paṇyasthāne prasāritā // KDarp_3.7 //	yAvat-na pArTiva-AsTAna paNya-sTAne prasAritAH // KDarp_3.7 //
   sadguṇāḥ śucayastāvad yāvadvādena śodhakaiḥ /	sat-guNAH SucayaH-tAvat yAvat-vAdena SoDakEH /
   prakṣālya na parīkṣyante khalairbhūpālasaṃsadi // KDarp_3.8 //	prakzAlya na parIkzyante KalEH-BUpAla-saMsadi // KDarp_3.8 //
   aśmāpyahṛdayo yasya guṇasāraṃ parīkṣate /	aSmApi-ahRdayaH yasya guNa-sAram parIkzate /
   ucitaiva suvarṇasya tasyāgnipatane ruciḥ // KDarp_3.9 //	ucitA-eva suvarNasya tasya-agni-patane ruciH // KDarp_3.9 //
   kavibhirnṛpasevāsu citrālaṃkārahāriṇī /	kaviBiH-nRpa-sevAsu citra-alaMkAra-hAriNI /
   vāṇī veśyeva lobhena paropakaraṇīkṛtā // KDarp_3.10 //	vANI veSyA-iva loBena para-upakaraNIkRtAH // KDarp_3.10 //
   vādibhiḥ kalahodarka- tarkasaṃparkakarkaśā /	vAdiBiH kalaha-udarka tarka-saMparka-karkaSAH /
   vāṇī krakacadhāreva dharmamūle nipātitā // KDarp_3.11 //	vANI krakaca-DArA-iva Darma-mUle nipAtitAH // KDarp_3.11 //
   sādhutejovadhāyaiva tārkikaiḥ karkaśīkṛtā /	sADu-tejaH-vaDAya-eva tArkikEH karkaSIkRtAH /
   vāṇī vivādibhiḥ krūraiḥ saunikairiva kartarī // KDarp_3.12 //	vANI vivAdiBiH krUrEH sOnikEH-iva kartarI // KDarp_3.12 //
   śīlaṃ naiva bibharti kīrtivimale dhatte na dharme dhiyaṃ mātsaryeṇa	SIlam na-eva biBarti kIrti-vimale Datte na Darme Diyam mAtsaryeNa
   manīṣiṇāṃ pratanute pāruṣyadoṣaṃ girā /	manIziNAm pratanute pAruzya-dozam girA /
   tarkoktyā paralokakarma nayati prāyeṇa saṃdigdhatāṃ	tarka-uktyA para-loka-karma nayati prAyeNa saMdigDa-tAm
   yastasyāphalaśāstrapāṭanapaṭormūḍhasya kiṃ vidyayā // KDarp_3.13 //	yaH-tasya-aPala-SAstra-pAwana-pawoH-mUXasya kim vidyayA // KDarp_3.13 //
   ye saṃsatsu vivādinaḥ parayaśaḥśalyena śūlākulāḥ kurvanti svaguṇastavena	ye saMsatsu vivAdinaH para-yaSaH-Salyena SUla-AkulAH kurvanti sva-guNa-stavena
   guṇināṃ yatnādguṇācchādanam /	guNinAm yatnAt-guNa-AcCAdanam /
   teṣāṃ roṣakaṣāyitodaradṛśāṃ dveṣoṣṇaniḥśvāsināṃ dīptā ratnaśikheva	tezAm roza-kazAyita-udara-dRSAm dveza-uzNa-niHSvAsinAm dIptAH ratna-SiKA-iva
   kṛṣṇaphaṇināṃ vidyā janodvegabhūḥ // KDarp_3.14 //	kRzNa-PaNinAm vidyA jana-udvega-BUH // KDarp_3.14 //
   śocyatāṃ yātyaśīlena vidveṣeṇāpavitratām /	Socya-tAm yAti-aSIlena vidvezeNa-apavitra-tAm /
   darpaśāpahatā vidyā naśyatyeva sahāyuṣā // KDarp_3.15 //	darpaSa-apa-hatAH vidyA naSyati-eva saha-AyuzA // KDarp_3.15 //
   tapovane munivarau mānyau munimanīṣiṇām /	tapaH-vane muni-varO mAnyO muni-manIziNAm /
   purā raibhyabharadvājau suhṛdau cakratuḥ sthitim // KDarp_3.16 //	purA rEBya-BaradvAjO suhRdO cakratuH sTitim // KDarp_3.16 //
   putrāvabhūtāṃ raibhyasya vidyāvimaladarpaṇau /	putrO=-aBUtAm rEByasya vidyA-vimala-darpaNO /
   spṛhaṇīyau guṇajñānāṃ sarvāvasuparāvasū // KDarp_3.17 //	spRhaNIyO guNa-jQAnAm sarva-avasu-parAvasU // KDarp_3.17 //
   bharadvājasya putro 'bhūd yavakrītābhidhaḥ sutāḥ /	BaradvAjasya putraH aBUt yavakrIta-aBiDaH sutAH /
   bhavantavidyāḥ prāyeṇa pitṛpraṇayalālitāḥ // KDarp_3.18 //	Bavanta-vidyAH prAyeNa pitR-praNaya-lAlitAH // KDarp_3.18 //
   sa yuvā raibhyatanayau sarvatra śrutiviśrutau /	sa yuvA rEBya-tanayO sarvatra Sruti-viSrutO /
   paśyannātmani sāsūyaḥ paścāttāpākulo 'bhavat // KDarp_3.19 //	paSyan=-Atmani sa-asUyaH paScAttApa-AkulaH aBavat // KDarp_3.19 //
   sa gatvā jāhnavītīraṃ nirāhārakṛśaściram /	sa gatvA jAhnavI-tIram nirAhAra-kRSaH-ciram /
   cacāra niścalatanus tīvraṃ vidyāptaye tapaḥ // KDarp_3.20 //	cacAra niScala-tanuH tIvram vidyA-Aptaye tapaH // KDarp_3.20 //
   taṃ tapastāpitātmānaṃ svayametya śatakratuḥ /	tam tapaH-tApita-AtmAnam svayam-etya SatakratuH /
   uvāca mithyānirbandhaḥ ko 'yaṃ te muniputraka // KDarp_3.21 //	uvAca miTyA-nirbanDaH kaH ayam te muni-putrakaH // KDarp_3.21 //
   anadhītā gurumukhāt kathaṃ vidyādhigamyate /	anaDItAH guru-muKAt kaTam vidyA-aDigamyate /
   anabhyāsena pāṇḍityaṃ nabhaḥkusumaśekharaḥ // KDarp_3.22 //	anaByAsena pANxityam naBaH-kusuma-SeKaraH // KDarp_3.22 //
   adhunā vidyayā kiṃ te vidyārhaṃ śaiśavaṃ gatam /	aDunA vidyayA kim te vidyA-arham SESavam gatam /
   yatphalaṃ kila vidyāyās tasminnavahito bhava // KDarp_3.23 //	yat-Palam kila vidyAyAH tasmin=-avahitaH Bava // KDarp_3.23 //
   śīlaṃ parahitāsaktir anutsekaḥ kṣamā dhṛtiḥ /	SIlam para-hita-AsaktiH anutsekaH kzamA DRtiH /
   alobhaśceti vidyāyāḥ paripākojjvalaṃ phalam // KDarp_3.24 //	aloBaH-ca-iti vidyAyAH paripAka-ujjvalam Palam // KDarp_3.24 //
   vivekarahitā vidyā dveṣaroṣoṣmaśoṣitā /	viveka-rahitA vidyA dveza-roza-Uzma-SozitA /
   darpāśaninipātena hatā vallīva niṣphalā // KDarp_3.25 //	darpa-aSani-nipAtena hatA vallI-iva nizPalAH // KDarp_3.25 //
   etadarthaṃ śrute buddhiṃ karoti dveṣadūṣitaḥ /	etad-arTam Srute budDim karoti dveza-dUzitaH /
   yadvivādaiḥ kariṣyāmi mānamlāniṃ manīṣiṇām // KDarp_3.26 //	yad-vivAdEH karizyAmi mAna-mlAnim manIziNAm // KDarp_3.26 //
   tyaktvā praśamasaṃtoṣau vidyāyāḥ prathamaṃ phalam /	tyaktvA praSama-saMtozO vidyAyAH praTamam Palam /
   nānāviparyayapathair gacchantyarthaphalārthinaḥ // KDarp_3.27 //	nAnA-viparyaya-paTEH gacCanti-arTa-Pala-arTinaH // KDarp_3.27 //
   upakārāya yā puṃsāṃ na parasya na cātmanaḥ /	upakArAya yA puMsAm na parasya na ca-AtmanaH /
   patrasaṃcayasaṃbhāraiḥ kiṃ tayā bhāravidyayā // KDarp_3.28 //	patra-saMcaya-saMBArEH kim tayA BAravidyayA // KDarp_3.28 //
   anyāyaḥ prauḍhavādena nīyate nyāyatāṃ yayā /	anyAyaH prOXa-vAdena nIyate nyAyatAm yayA /
   nyāyaścānyāyatāṃ lobhāt kiṃ tayā kṣadravidyayā // KDarp_3.29 //	nyAyaH-ca-anyAyatAm loBAt kim tayA kzadra-vidyayA // KDarp_3.29 //
   svajihvāstutibhirnityaṃ patnīvodghāṭitāṃśukā /	sva-jihvA-stutiBiH-nityam patnI-iva-udGAwita-aMSukAH /
   kriyate yā sabhāmadhye kiṃ tayā dhṛṣṭavidyayā // KDarp_3.30 //	kriyate yA saBA-maDye kim tayA DRzwa-vidyayA // KDarp_3.30 //
   anuṣṭhānena rahitā pāṭhamātreṇa kevalam /	anuzWAnena rahitA pAWa-mAtreNa kevalam /
   rañjayatyeva yā lokaṃ kiṃ tayā śukavidyayā // KDarp_3.31 //	raQjayati-eva yA lokam kim tayA Suka-vidyayA // KDarp_3.31 //
   gopyate yā śrutajñasya mūrkhasyāgre prakāśyate /	gopyate yA Sruta-jQasya mUrKasya-agre prakASyate /
   na dīyate ca śiṣyebhyaḥ kiṃ tayā śaṭhavidyayā // KDarp_3.32 //	na dIyate ca SizyeByaH kim tayA SaWa-vidyayA // KDarp_3.32 //
   parotkarṣaṃ samācchādya vikrayāya prasāryate /	para-utkarzam samAcCAdya vikrayAya prasAryate /
   yā muhurdhanināmagre kiṃ tayā paṇyavidyayā // KDarp_3.33 //	yA muhur-DaninAm-agre kim tayA paNya-vidyayA // KDarp_3.33 //
   na tīryate yayā ghoraḥ saṃsāramakarākaraḥ /	na tIryate yayA GoraH saMsAra-makara-AkaraH /
   nityaṃ cittānubandhinyā kiṃ tayā mohavidyayā // KDarp_3.34 //	nityam citta-anubanDinyA kim tayA moha-vidyayA // KDarp_3.34 //
   nityābhyāsaprayāsena jīvitaṃ kṣīyate yayā /	nitya-aByAsa-prayAsena jIvitam kzIyate yayA /
   trivargasyoparodhena kiṃ tayā kaṣṭavidyayā // KDarp_3.35 //	trivargasya-uparoDena kim tayA kazwa-vidyayA // KDarp_3.35 //
   na vivekocitāṃ buddhiṃ na vairāgyamayaṃ manaḥ /	na viveka-ucitAm budDim na vErAgya-mayam manaH /
   saṃpādayati yā puṃsāṃ kiṃ tayā jaḍavidyayā // KDarp_3.36 //	saMpAdayati yA puMsAm kim tayA jaxa-vidyayA // KDarp_3.36 //
   śaucāśaucavivādena tyaktā (?) śrotriyatā yayā /	SOca-aSOca-vivAdena tyaktA (?) SrotriyatA yayA /
   mithyābhimānayoginyā kiṃ tayā dambhavidyayā // KDarp_3.37 //	miTyA-aBimAna-yoginyA kim tayA damBa-vidyayA // KDarp_3.37 //
   paramātsaryaśalyena vyathā saṃjāyate yayā /	para-mAtsarya-Salyena vyaTA saMjAyate yayA /
   sukhanidrāpahāriṇyā kiṃ tayā śūlavidyayā // KDarp_3.38 //	suKa-nidrA-apahAriNyA kim tayA SUla-vidyayA // KDarp_3.38 //
   parasūktāpahāreṇa svasṛbhāṣitavādinā /	para-sUkta-apahAreNa svasR-BAzita-vAdinA /
   utkarṣaḥ khyāpyate yasyāḥ kiṃ tayā cauravidyayā // KDarp_3.39 //	utkarzaH KyApyate yasyAH kim tayA cOra-vidyayA // KDarp_3.39 //
   anabhyāsahatotsāhā pareṇa paribhūyate /	anaByAsa-hata-utsAhA pareNa pariBUyate /
   yā lajjājananī jāḍyāt kiṃ tayā mandavidyayā // KDarp_3.40 //	yA lajjA-jananI jAxyAt kim tayA manda-vidyayA // KDarp_3.40 //
   lobhaḥ prabhūtavittasya rāgaḥ pravrajitasya ca /	loBaH praBUta-vittasya rAgaH pravrajitasya ca /
   na yayā śāntimāyāti kiṃ tayālīkavidyayā // KDarp_3.41 //	na yayA SAntim-AyAti kim tayA-alIka-vidyayA // KDarp_3.41 //
   yayā bhūpatimāśritya pareṣāṃ guṇanindakaḥ /	yayA BUpatim-ASritya parezAm guNa-nindakaH /
   dānamānonnatiṃ hanti kiṃ tayā doṣavidyayā // KDarp_3.42 //	dAna-mAna-unnatim hanti kim tayA doza-vidyayA // KDarp_3.42 //
   gṛhe dhārādhiruḍhāpi sabhāyāṃ na pravartate /	gRhe DArA-aDiruXA-api saBAyAm na pravartate /
   pratibhābhaṅgasaṅgādyā kiṃ tayā mūkavidyayā // KDarp_3.43 //	pratiBA-BaFga-saFga-AdyA kim tayA mUka-vidyayA // KDarp_3.43 //
   caṇḍaṃ piṇḍārthināṃ dveṣa- piśunānāṃ śunāmiva /	caNxam piNxa-arTinAm dveza piSunAnAm SunAm-iva /
   yayā saṃjāyate yuddhaṃ kiṃ tayā vadhavidyayā // KDarp_3.44 //	yayA saMjAyate yudDam kim tayA vaDa-vidyayA // KDarp_3.44 //
   vismṛtā yāvaliptasya kaṇṭhe kṛtagatāgatā /	vismRtA yA-avaliptasya kaNWe kRta-gata-AgatAH /
   jīvavṛttiriva kṣīṇā kiṃ tayā mṛtavidyayā // KDarp_3.45 //	jIva-vRttiH-iva kzINA kim tayA mRta-vidyayA // KDarp_3.45 //
   rasāyanī jarājīrṇaś cirarogī yayā bhiṣak /	rasAyanI jarA-jIrNaH cira-rogI yayA Bizaj /
   dhātuvādī daridraśca kiṃ tayā hāsyavidyayā // KDarp_3.46 //	DAtuvAdI daridraH-ca kim tayA hAsya-vidyayA // KDarp_3.46 //
   yayā mugdhamṛgāḥ kūṭaiḥ pīḍyante tīvramārgaṇaiḥ /	yayA mugDa-mRgAH kUwEH pIxyante tIvra-mArgaNEH /
   āśāpāśāvalambinyā kiṃ tayā lubdhavidyayā // KDarp_3.47 //	ASA-pASa-avalambinyA kim tayA lubDa-vidyayA // KDarp_3.47 //
   paropatāpaḥ kriyate vaśyādikuhakairyayā /	para-upatApaH kriyate vaSya-Adi-kuhakEH-yayA /
   yantratantrānusāriṇyā kiṃ tayā vyājavidyayā // KDarp_3.48 //	yantra-tantra-anusAriNyA kim tayA vyAja-vidyayA // KDarp_3.48 //
   gururgarvātkavirdveṣād yatirbhogaparigrahāt /	guruH-garvAt-kaviH-dvezAt yatiH-Boga-parigrahAt /
   nṛpaḥ pāpāddvijaḥ krodhāt sā vidyā vāryate yayā // KDarp_3.49 //	nRpaH pApAt-dvijaH kroDAt sA vidyA vAryate yayA // KDarp_3.49 //
   vidyāguṇāste viduṣāṃ ye vivekanibandhanam /	vidyA-guNAH-te viduzAm ye viveka-nibanDanam /
   svalpaśilpakalātulyāḥ śeṣā jīvitahetavaḥ // KDarp_3.50 //	su-alpa-Silpa-kalA-tulyAH SezAH jIvita-hetavaH // KDarp_3.50 //
   vīṇeva śrotrahīnasya lolākṣīva vicakṣuṣaḥ /	vINA-iva Srotra-hInasya lola-akzI-iva vicakzuzaH /
   vyasoḥ kusumamāleva vidyā stabdhasya niṣphalā // KDarp_3.51 //	vyasoH kusuma-mAlA-iva vidyA stabDasya nizPalAH // KDarp_3.51 //
   dveṣadarpahatā vidyā kāmakrodhahatā matiḥ /	dveza-darpa-hatA vidyA kAma-kroDa-hatA matiH /
   lobhamohahatā vṛttir yeṣāṃ teṣāṃ kimāyuṣā // KDarp_3.52 //	loBa-moha-hatA vRttiH yezAm tezAm kim-AyuzA // KDarp_3.52 //
   dūre vyākaraṇaṃ kuruṣva viṣamaṃ dhātukṣayakṣobhitaṃ mīmāṃsā virasā na	dUre vyAkaraNam kuruzva vizamam DAtu-kzaya-kzoBitam mImAMsA virasAH na
   śoṣayati kiṃ tarkairalaṃ karkaśaiḥ /	Sozayati kim tarkEH-alam karkaSEH /
   na kṣībaḥ patati smarabhramakaraiḥ kiṃ navyakāvyāsavais tasmānnityahitāya	na kzIbaH patati smara-Brama-karEH kim navyaka-avyAsavEH tasmAt-nitya-hitAya
   śāntamanasāṃ vairāgyamārogyadam // KDarp_3.53 //	SAnta-manasAm vErAgyam-Arogya-dam // KDarp_3.53 //
   ityuktaḥ surarājena niścayānna cacāla saḥ /	iti-uktaH surarAjena niScayAt-na cacAla saH /
   abhimānagṛhītānāṃ durnivāro hi durgrahaḥ // KDarp_3.54 //	aBimAna-gRhItAnAm durnivAraH hi durgrahaH // KDarp_3.54 //
   atha vṛddhadvijo bhūtvā sikatāmuṣṭibhiḥ śanaiḥ /	aTa vRdDa-dvijaH BUtvA sikatA-muzwiBiH SanEs /
   śakraḥ pracakrame kartuṃ gaṅgāyāṃ setubandhanam // KDarp_3.55 //	SakraH pracakrame kartum gaFgAyAm setu-banDanam // KDarp_3.55 //
   taṃ dṛṣṭvā niṣphalakleśa- viphalodyoganiścalam /	tam dRzwvA nizPala-kleSa viPala-udyoga-niScalam /
   munisūnuḥ kṛpāviṣṭaḥ papracchābhyetya sasmitaḥ // KDarp_3.56 //	muni-sUnuH kRpA-AvizwaH papracCa-aByetya sa-smitaH // KDarp_3.56 //
   brahmanka eṣa nirbandhas tava vandhyasamudyame /	brahman-kaH eza nirbanDaH tava vanDya-samudyame /
   niṣphalaṃ vipulāyāsaṃ na prājñāḥ karma kurvate // KDarp_3.57 //	nizPalam vipula-AyAsam na prAjQAH karma kurvate // KDarp_3.57 //
   asminkuṭilakallola- dolāvikṣobhite 'mbhasi /	asmin-kuwila-kallola dolA-vikzoBite amBasi /
   hāsyahetuḥ kathaṃ setuḥ sikatāmuṣṭibhirbhavet // KDarp_3.58 //	hAsya-hetuH kaTam setuH sikatA-muzwiBiH-Bavet // KDarp_3.58 //
