   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   tvanapekṣeti phalam /	tu anapekzA iti Palam /
   deśādivyavahitavastuprāptau	deSa Adi vyavahita vastu prAptO
   mārgasyāpekṣetinyāyānugṛhītaśrutivirodhānnopasaṃhāra iti siddhāntaḥ /	mArgasya apekzA iti nyAya anugRhIta Sruti viroDAt na upasaMhAraH iti sidDAntaH /
   nirañjano 'saṅgaḥ, sāmyaṃ brahma //29//	niraQjanaH asaFgaH, sAmyam brahma //29//
   END BsRp_3,3.17.29	END BsRp _3,3.17.29
   START BsRp_3,3.17.30ḥ	START BsRp _3,3.17.30H
   upapannas tallakṣaṇārthopalabdher lokavat | BBs_3,3.30 |	upapannaH tad lakzaNa arTa upalabDeH loka vat | BBH _3,3.30 |
   nanu tarhi saguṇavidyāyāmapi mārgo vyartha ityata āha upapanna iti /	nanu tarhi sa guNa vidyAyAm api mArgaH vyarTaH iti atas Aha upapannaH iti /
   sā gatirlakṣaṇaṃ kāraṇaṃ yasyārthasya sa tallakṣaṇārthaḥ //30//	sA gatiH lakzaNam kAraNam yasya arTasya sa tad lakzaNa arTaH //30//
   END BsRp_3,3.17.30	END BsRp _3,3.17.30
   START BsRp_3,3.18.31ḥ	START BsRp _3,3.18.31H
   aniyamaḥ sarvāsām avirodhaḥ śabdānumānābhyām | BBs_3,3.31 |	aniyamaH sarvAsAm aviroDaH Sabda anumAnAByAm | BBH _3,3.31 |
   aniyamaḥ sarvāsāṃ /	aniyamaH sarvAsAm /
   atrāpyarcirādimārga eva viṣayastatra vidyāviśeṣaprakaraṇādaviśeṣaśruteśca	atra api arcira Adi mArgaH eva vizayaH tatra vidyA viSeza prakaraNAt aviSeza SruteH ca
   saṃśaye pūrvapakṣamāha kiṃ tāvaditi /	saMSaye pUrva pakza mAha kim tAvat iti /
   saguṇanirguṇavidyāsu mārgasya bhāvābhāvavyavasthāvatsaguṇāsvapi	sa guNa nirguNa vidyAsu mArgasya BAva aBAva vyavasTAvatsa guNAsu api
   vyavastheti dṛṣṭāntena prāptau siddhānte vyavasthāpavādādgatiniyamo	vyavasTA iti dRzwAntena prAptO sidDAnte vyavasTApavAdAt gati niyamaH 
   'niyama ubhayatra phalam /	aniyamaH uBayatra Palam /
   niyame prakaraṇamuktvā punaruktiṃ liṅgamāha apiceti /	niyame prakaraNam uktvA punaruktim liFgam Aha apica iti /
   ekatroktagateranyatra prāptau punaruktirvṛthā syādityarthaḥ /	ekatra ukta gateH anyatra prAptO punaruktiH vRTA syAt iti arTaH /
   siddhāntayati sarvāsāmiti /	sidDAntayati  sarvAsAm iti /
   abhyudayo brahmalokaḥ /	aByudayaH brahma lokaH /
   aviśeṣaśrutyādinā prakaraṇabādho na doṣa ityāha naiṣa iti /	aviSeza Sruti AdinA prakaraNa bADaH na dozaH iti Aha na ezaH iti /
   tattatra adhikṛtānāṃ madhye ya itthaṃ pañcāgnīnvidurye cāmī araṇye	tat tatra aDikRtAnAm maDye yaH itTam paQca agnIn viduH ye ca amI araNye
   śraddhātapa ityupāsate śraddhātapaupalakṣitaṃ brahma dhyāyanti te	SradDA AtapaH iti upAsate SradDAtapa Opalakzitam brahma DyAyanti te
   'rciṣamabhisaṃbhavantītyanvayaḥ /	arcizam aBisaMBavanti iti anvayaH /
   nanu śraddhātapomātraśrutestābhyāmevārcirādigamanaṃ syānna	nanu SradDA tapaH mAtra SruteH tAByAm eva arcira Adi gamanam syAt na
   vaiśvānarādividyāśīlānāmiti śaṅkate kathaṃ punariti /	vESvAnara Adi vidyA SIlAnAm iti SaFkate  kaTam punar iti /
   aviduṣāṃ gatiniṣedhācchraddhātapaḥśabdābhyāṃ tatsādhyabrahmavidyālakṣaṇeti	aviduzAm gati nizeDAt SradDA tapaH SabdAByAm tad sADya brahma vidyA lakzaNa iti
   pariharati naiṣa doṣa iti /	pariharati na eza dozaH iti /
   tat brahmalokasthānaṃ, parāgatāḥ parāvṛttāḥ, kāmakrodhadoṣā na santīti	tat brahma loka sTAnaM, parAgatAH parAvRttAH, kAma kroDa dozAH na santi iti
   yāvat /	yAvat /
   dakṣiṇāḥ kevalakarmiṇastapasvino 'pyavidvāṃso na gacchantītyarthaḥ /	dakziNAH kevala karmiNaH tapasvinaH api avidvAMsaH na gacCanti iti arTaH /
   lakṣaṇādoṣahīnaṃ vākyamāha vājasaneyinastviti /	lakzaNa adoza hInam vAkyam Aha vAja saneyinaH tu iti /
   kiñca vidyākarmalakṣaṇamārgadvayabhraṣṭānāmadhogatiśruteḥ	kiQca vidyA karma lakzaNa mArga dvaya BrazwAnAm aDas gati SruteH
   vaiśvānarādyupāsakānāmarcirādimārgaprāptirityāha atha ya etāviti /	vESvAnara Adi upAsakAnAm arciH Adi mArga prAptiH iti Aha aTa yaH etO= iti /
   dandaśūkaḥ sarpaḥ /	dandaSUkaH sarpaH /
   kiñca 'agnirjyotirāha śuklaḥ ṣaṇmāsā uttarāyaṇam /	kiQca aagniH jyotirAha SuklaH zaz mAsAH uttarAyaNam /
   tatra prayātā gacchanti brahma brahmavido	tatra prayAtAH gacCanti brahma brahma vidaH 
   janāḥ'ityaviśeṣeṇopasakānāmarcirādigatimuktvopasaṃhārasmṛteśca teṣāṃ	janAH aitya viSezeNa upasakAnAm arciH Adi gati muktvA upasaMhAra smRteH ca tezAm
   tatprāptirityāha smṛtiriti /	tad prAptiH iti Aha smRtiH iti /
   śukla gatirārcirādikā, kṛṣṇā dhūmādikā, jagato vidyākarmādhikṛtasya,	Sukla gatiH Arcira AdikA, kRzNA DUma AdikA, jagataH vidyA karma aDikRtasya,
   śāśvate dhruve saṃmate /	SASvate Druve saMmate /
   tatraikayā śuklayā punarāvṛttivarjaṃ kāryaṃ brahma gacchati anyayā svarge	tatra ekayA SuklayA punarAvRtti varjam kAryam brahma gacCati anyayA svarge
   gatvā punarāyātītyarthaḥ /	gatvA punar AyAti iti arTaH /
   punaruktidoṣaṃ dūṣayati yatpunariti /	punarukti dozam dUzayati yat punar iti /
   tatra tatra mārgaśrutiranvahaṃ mārgacintanārthaṃ, prakaraṇena	tatra tatra mArga SrutiH anvaham mArga cintana arTaM, prakaraNena
   mārgadhyānasya vidyāṅgatvāvagamāt /	mArga DyAnasya vidyA aFga tva avagamAt /
   tathāca vakṣyati sūtrakāraḥ 'taccheṣagatyanusmṛtiyogācca'iti /	taTA ca vakzyati sUtra kAraH  atad Seza gati anusmRti yogAt ca aiti /
   yeṣāṃ na śruto mārgaste mārgadhyānaṃ vināpi vidyāsāmarthyānmārgaṃ labhanta	yezAm na SrutaH mArgaH te mArga DyAnam vinA api vidyA sAmarTyAn mArgam laBanta
   iti jñāpanārthā punaruktirityarthaḥ /	iti jQApana arTA punar uktiH iti arTaH /
   tasmātsarvopāsanāsu pratīkabhinnāsvarcirādiprāptiriti siddham //31//	tasmAt sarva upAsanAsu pratIka BinnAsu arcira Adi prAptiH iti sidDam //31//
   END BsRp_3,3.18.31	END BsRp _3,3.18.31
   START BsRp_3,3.19.32ḥ	START BsRp _3,3.19.32H
   yāvadadhikāram avasthitir ādhikārikāṇām | BBs_3,3.32 |	yAvat aDikAram avasTitiH ADikArikANAm | BBH _3,3.32 |
   yāvadadhikāram /	yAvat aDikAram /
   nirguṇavidyāyāṃ gatirvyarthā muktiphalatvāt, saguṇavidyāsu	nirguNa vidyAyAm gatiH vyarTAH mukti Pala tvAt, sa guNa vidyAsu
   sarvatrārthavatī brahmalokaphalatvāditi vyavasthā kṛtā, sā na yuktā,	sarvatra arTavatI brahma loka Pala tvAt iti vyavasTA kRtA, sA na yuktA,
   tattvajñānināmapītihāsādau punarjanmadarśanena jñānasya	tattva jQAninAm api itihAsa AdO punar janma darSanena jQAnasya
   muktiphalatvābhāvādityākṣepātsaṃgatiḥ /	mukti Pala tva aBAvAt iti AkzepAt saMgatiH /
   jñānināṃ punarjanmadarśanaṃ saṃśayabījaṃ bhāṣye darśitam /	jQAninAm punar janma darSanam saMSaya bIjam BAzye darSitam /
   pūrvapakṣe jñānānmuktiśrutīnāṃ jñānastutimātratvena jñānasya	pUrva pakze jQAnAt mukti SrutInAm jQAna stuti mAtra tvena jQAnasya
   muktiphalatvābhāve sati brahmalokaphalatvāviśeṣādarcirādimārgopasaṃhāraḥ	mukti Pala tva aBAve sati brahma loka Pala tva aviSezAt arcirAdi mArga upasaMhAraH
   phalaṃ, siddhānte tūktavyavasthāsiddhiriti vivekaḥ /	PalaM, sidDAnte tu ukta vyavasTA sidDiH iti vivekaH /
   śrutāvapīti /	SrutO= api iti /
   medhātirthermeṣetimantre indrasya meṣajanmopalabhyate /	meDA tirTeH meza iti mantre indrasya meza janma upalaByate /
   vasiṣṭha urvaśīputre jāta ityevamartho bahvṛcārthavāda ityarthaḥ /	vasizWaH urvaSI putre jAtaH iti evam arTaH bahu Rca arTa vAdaH iti arTaH /
   pākṣikamityāpātataḥ /	pAkzikam iti ApAtataH /
   ahetutvameveti pūrvapakṣaḥ /	ahetu tvam eva iti pUrva pakzaH /
   jñānasya muktyahetutvaṃ neti siddhāntayati te ceti /	jQAnasya mukti ahetu tvam na iti sidDAntayati te ca iti /
   lokavyavasthāsu svāmitvamadhikāraḥ, tatprāpakaṃ prārabdhaṃ yāvadasti	loka vyavasTAsu svAmi tvam aDikAraH, tad prApakam prArabDam yAvat asti
   tāvatkālaṃ jīvanmuktatvenādhikārikāṇāmavasthitiḥ, prārabdhakṣaye	tAvatkAlam jIvanmukta tvena ADikArikANAm avasTitiH, prArabDa kzaye
   pratibandhakābhāvādvidehakaivalyamityatra mānamāha atheti /	pratibanDaka aBAvAt videha kEvalyam iti atra mAnam Aha aTa iti /
   atha prārabdhakṣayānantaram /	aTa prArabDa kzaya anantaram /
   tataḥ paścādūrdhvo vilakṣaṇaḥ kevalaḥ brahmasvarūpaḥ san udetyodgamya	tatas paScAt UrDvaH vilakzaNaH kevalaH brahma svarUpaH san udetya udgamya
   dehaṃ tyaktveti yāvat /	deham tyaktvA iti yAvat /
   ekala eva advitīyaḥ, madhye udāsīnātmakasvarūpe tiṣṭhatītyarthaḥ /	ekalaH eva advitIyaH, maDye udAsIna Atmaka svarUpe tizWati iti arTaH /
   nanu jñānināmapi janmāntaraṃ cetkathaṃ muktirityata āha sakṛtpravṛttamiti	nanu jQAninAm api janma antaram ced kaTam muktiH iti atas Aha  sakRt pravRttam iti
   yadi jñānināṃ prārabdhātiriktakarmādhīnāṃ janmāntaraṃ syāttadā	yadi jQAninAm prArabDa atirikta karma aDInAm janma antaram syAt tadA
   jñānānmuktyabhāvaḥ syāt /	jQAnAt mukti aBAvaH syAt /
   naitadasti /	na etat asti /
   kintu bahujanmaphalāya sakṛdudbhūtaṃ prārabdhaṃ te kṣapayanti,	kintu bahu janma PalAya sakRt udBUtam prArabDam te kzapayanti,
   janmagrahaṇe 'pi jñānayogabalānna śocanti prārabdhasamāptau mucyanta	janma grahaNe api jQAna yoga balAn na Socanti prArabDa samAptO mucyanta
   ityarthaḥ /	iti arTaH /
   jñānināṃ janmāntarasya pūrvajanmahetuprārabdhādhīnatāyāmaluptasmṛtitvaṃ	jQAninAm janma antarasya pUrva janma hetu prArabDa aDIna tA AyAm alupta smRti tvam
   hetuḥ /	hetuH /
   yo hyajātismaratve sati karmāntarādhīnajanmāntaravān, sa luptasmṛtiriti	yaH hi ajAti smara tve sati karma antara aDIna janma antaravAn, sa lupta smRtiH iti
   vyāpteḥ /	vyApteH /
   jñāniṣuvyāpakābhāvādviśiṣṭavyāpyābhāvasiddhiḥ /	jQAnizu vyApaka aBAvAt viSizwa vyApya aBAva sidDiH /
   nanu teṣāṃ jātismaratvādaluptasmṛtitvamanyathāsiddhimityata āha na caita	nanu tezAm jAti smara tvAt alupta smRti tvam anyaTA sidDim iti atas Aha na ca eta
   iti /	iti /
   tathāca teṣāmajātismaratvarūpaviśeṣaṇe sati viśeṣyābhāvādeva	taTA ca tezAm ajAti smara tva rUpa viSezaNe sati viSezya aBAvAt eva
   viśiṣṭābhāvasiddhirityarthaḥ /	viSizwa aBAva sidDiH iti arTaH /
   pūrvadehenāmapratyabhijñānahīnāḥ paratantrāḥ sābhimānā jātismarāḥ,	pUrva dehena Ama pratyaBijQAna hInAH paratantrAH sa aBimAnAH jAti smarAH,
   ādhikārikāstu pūrvanāmānaḥ svatantrā nirabhimānā iti vaiṣamyam /	ADikArikAH tu pUrva nAmAnaH svatantrAH niraBimAnAH iti vEzamyam /
   tena janakena saha vyudya vivādaṃ kṛtvetyarthaḥ /	tena janakena saha vyudya vivAdam kRtvA iti arTaH /
   viduṣaḥ prārabdhātiriktakarmābhāvānna bandhaḥ /	viduzaH prArabDa atirikta karma aBAvAt na banDaH /
   nimittābhāve naimittikābhāva iti nyāyānugṛhītānāṃ jñānānmuktiśrutīnāṃ na	nimitta aBAve nEmittikA BAvaH iti nyAya anugRhItAnAm jQAnAt mukti SrutInAm na
   stutimātratvamitimamarthamupapādayati yadi hyupayukta ityādinā /	stuti mAtra tvam itimam arTam upapAdayati yadi hi upayuktaH ityAdinA /
   śrutismṛtyuktārthe yuktimapyāha na cāvidyeti /	Sruti smRti ukta arTe yuktim api Aha na ca avidyA iti /
   vidyayā kleśadāhāttatkāryakarmakṣayaścettarhi prārabdhasya kathaṃ sthitiḥ,	vidyayA kleSa dAhAt tad kArya karma kzayaH ced tarhi prArabDasya kaTam sTitiH,
   tatrāha pravṛttaphalasyeti /	tatra aha  pravRtta Palasya iti /
   viduṣo dehapātāvadhiśruteranubhavācca jñānasyāvarakājñānāṃśanivartakasya	viduzaH deha pAta avaDi SruteH anuBavAt ca jQAnasya avaraka ajQAna aMSa nivartakasya
   prārabdhavikṣepasthityanukūlājñānāṃśanivartanasāmarthyābhāvasiddherbhogenaiva	prArabDa vikzepa sTiti anukUlA jQAna aMSa nivartana sAmarTya aBAva sidDeH Bogena eva
   prārabdhakṣaya iti bhāvaḥ /	prArabDa kzayaH iti BAvaH /
   jñānināmadhikārikatvaṃ kathamityāśaṅkya	jQAninAm aDikArika tvam kaTam iti ASaFkya
   jñānātprākkṛtopāsanādivaśādityāha jñānāntareṣu ceti /	jQAnAt prAk kRta upAsana Adi vaSa Aditya aha  jQAna antarezu ca iti /
   pratisaṃcaro mahāpralayaḥ, parasya hiraṇyagarbhasya, adhikārānte	pratisaMcaraH mahApralayaH, parasya hiraNyagarBasya, aDikAra ante
   sākṣātkṛtātmāno mucyante ityarthaḥ /	sAkzAtkRtAtmAnaH mucyante iti arTaH /
   brahmabhāvaphalasyāpi bhāvitvamāśaṅkya tattvamasīti śrutibādhamāha nahīti	brahma BAva Palasya api BAvi tvam ASaFkya tat tvam asi iti Sruti bADam Aha nahi iti
   tasmānnirguṇavidyāyāṃ mārgānupasaṃhāra iti siddham //32//	tasmAt nirguNa vidyAyAm mArgAn upasaMhAraH iti sidDam //32//
   END BsRp_3,3.19.32	END BsRp _3,3.19.32
   START BsRp_3,3.20.33ḥ	START BsRp _3,3.20.33H
   akṣaradhiyāṃ tvavarodhaḥ sāmānyatadbhāvābhyāmaupasadavattaduktam |	akzara DiyAm tu avaroDaH sAmAnya tad BAvAByAm Opasada vat tat uktam |
   BBs_3,3.33 |	BBH _3,3.33 |
   akṣaradhiyām /	akzara DiyAm /
   atrākṣarabrahmapramāpakā niṣedhaśabdā viṣayāḥ, teṣu yatra yāvantaḥ	atra akzara brahma pramApakAH nizeDa SabdAH vizayAH, tezu yatra yAvantaH
   śrutāstatra tāvatāmaśeṣadvaitaniṣedhakatvasaṃbhavāsaṃbhavābhyāṃ	SrutAH tatra tAvatAm aSeza dvEta nizeDaka tva saMBava asaMBavAByAm
   saṃśayamāha tāsāmiti /	saMSayam Aha tAsAm iti /
   yathā nirguṇavidyāyāṃ mārgasyānapekṣitatvādanupasaṃhārastathā	yaTA nirguNa vidyAyAm mArgasya anapekzita tvAt anupasaMhAraH taTA
   śrutaniṣedhānāmupalakṣaṇatayā	Sruta nizeDAnAm upalakzaNa tayA
   sarvadvaitaniṣedhasaṃbhavācchākhāntarīyaniṣedhaśabdānāmanapekṣitatvādanupasaṃhāra	sarva dvEta nizeDa saMBavAt SAKA antarIya nizeDa SabdAnAm anapekzita tvAt anupasaMhAra
   iti dṛṣṭāntena pūrvapakṣastatra lāghavaṃ phalam /	iti dRzwAntena pUrva pakzaH tatra lAGavam Palam /
   siddhānte tu doṣadvayābhāvaḥ phalam /	sidDAnte tu doza dvaya aBAvaH Palam /
   tathāhi yadi śrutaśabdairaśrutaniṣedhā lakṣyante tadā lakṣaṇādoṣaḥ, yadi	taTA ahi yadi Sruta SabdEH aSruta nizeDAH lakzyante tadA lakzaNA dozaH, yadi
   na lakṣyante tadā sarvadvaitaniṣedhāsiddhernirviśeṣapramityabhāvadoṣa iti	na lakzyante tadA sarva dvEta nizeDa asidDeH nirviSeza pramityaBAva dozaH iti
   vivekaḥ /	vivekaH /
   akṣare dharmiṇi dvaitaniṣedhadhiyo 'kṣaradhiyastaddhetavaḥ śabdā iti	akzare DarmiNi dvEta nizeDa DiyaH akzara DiyaH tad hetavaH SabdAH iti
   yāvat, tāsāmavarodha upasaṃhāra iti sūtrayojanā /	yAvat, tAsAm avaroDaH upasaMhAraH iti sUtra yojanA /
   śeṣibrahmaṇāḥ sarvaśākhāsu bhāvāttatpramiteḥ samānatvāccheṣāṇāmusaṃhāraḥ	Sezi brahmaNAH sarva SAKAsu BAvAt tad pramiteH samAna tvAt SezANAm usaMhAraH
   iti cettarhi nyāyasāmyātpunaruktitāvadavasthyamityata āha prapañcārtha iti	iti ced tarhi nyAya sAmyAt punar ukti tA avadavasTyam iti atas Aha  prapaQca arTaH iti
   ānandādīnāṃ svarūpatvādastūpasaṃhāraḥ	Ananda AdInAm sva rUpa tvAt astu upasaMhAraH
   niṣedhānāmanātmatvādānantyāccānupasaṃhāra ityadhikāraśaṅkāyāṃ	nizeDa anAm anAtma tvAt AnantyAt ca anupasaMhAraH iti aDikAra SaFkAyAm
   teṣāmanātmave 'pi nirviśeṣabrahmapramityarthatvādavidyātajjaniṣedhatvena	tezAm anAtmave api nirviSeza brahma pramiti arTa tvAt avidyA tad janizeDa tvena
   saṃgrahasiddheśca nirapekṣāsthūlānaṇuvākyasthātayā	saMgraha sidDeH ca nirapekzA sTUlAn aNu vAkya sTAtayA
   kḷptaniṣedhaśabdānāmanyatraśrutiniṣedhavākyaikavākyatayopasaṃhāra iti	k?pta nizeDa SabdAnAm anyatra Sruti nizeDa vAkya eka vAkya tayA upasaMhAraH iti
   cintā yuktetyarthaḥ /	cintA yuktA iti arTaH /
   anyatraśrutaśeṣāṇāmanyatrasthaśeṣisaṃbandhe dṛṣṭāntaṃ vyācaṣṭe yatheti /	anyatra Sruta SezANAm anyatrasTa Sezi saMbanDe dRzwAntam vyAcazwe yaTA iti /
   'jamadagniḥ puṣṭikāmaścatūrātreṇāyajata'ityupakramya vihito jamadagninā	ajamadagniH puzwi kAmaH catU rAtreNa ayajata aiti upakramya vihitaH jamadagninA
   kṛto jāmadagnyaḥ, ahīnaścatūrātraḥ kratustasminpuroḍāśinya upasado	kRtaH jAmadagnyaH, ahInaH catUrAtraH kratuH tasmin puroxASinyaH upasadaH 
   bhavantīti puroḍāśasādhyā iṣṭayastaittirīyake vihitāḥ,	Bavanti iti puroxASa sADyAH izwayaH tEttirIyake vihitAH,
   tāsāmadhvaryukartṛkatvātsāmavedotpannamantrāṇāṃ tātsu	tAsAm aDvaryu kartRka tvAt sAmaveda utpanna mantrANAm tAtsu
   viniyogādadhvaryuṇaiva prayogo nodgātretyarthaḥ /	viniyogAt aDvaryuNA eva prayogaH na udgAtra iti arTaH /
   verdevagaṇasya hotraṃ adhvaraṃ ca karmāgnestvatta	veH deva gaNasya hotram aDvaram ca karma agneH tvatta
   evetyagnyāmantraṇamantrārthaḥ /	eva iti agni AmantraNa mantra arTaH /
   utpattividhirguṇaḥ phalāpekṣatvādutpannasya phale viniyogavidhirmukhyaḥ	utpatti viDiH guNaH Pala apekza tvAt utpannasya Pale viniyoga viDiH muKyaH
   saphalatvāt /	saPala tvAt /
   tathāca mantraṇāmudgātṛvedetpannatvādudegātrā prayogaḥ,	taTA ca mantraNAm udgAtR vedet panna tvAt udega atrA prayogaH,
   viniyogavidhanādhvaryuṇā prayoga iti guṇamukhyayorvyatikrame virodha sati	viniyoga viDana aDvaryuNA prayogaH iti guNa muKyayoH vyatikrame viroDa sati
   mukhyena balīyasā mantrātmakavedasyādhvaryuṇā saṃprayoga	muKyena balIyasA mantra Atmaka vedasya aDvaryuNA saMprayoga
   utpatterviniyogārthatvāditi jaiminisūtrārthaḥ /	utpatteH viniyoga arTa tvAt iti jEmini sUtra arTaH /
   yadyapi śābarabhāṣye vāravantīyādisāmnāmuccaiḥ	yadi api SAbara BAzye vAravantIya Adi sAmnAm uccEs 
   svarakasāmavedotpannatvādādhānāṅgatvenoccaiḥ svaraprayogaḥ 'ya evaṃ	svaraka sAma veda utpanna tvAt ADAna aFga tvena uccEs svara prayogaH ayaH evam
   vidvānvāravantīyaṃ gāyati yajñāyajñīyaṃ gāyati vāmadevyaṃ gāyati'ityādhāne	vidvAn vAravantIyam gAyati yajQAyajQIyam gAyati vAmadevyam gAyati aitya ADAne
   teṣāṃ viniyogavidhinā yājuṣeṇa yājuṣasyopāṃśusvarasya prayoga iti	tezAm viniyoga viDinA yAjuzeNa yAjuzasya upAMSu svarasya prayogaH iti
   guṇamukhyayorvirodhe sattyutpatterviniyogārthatvānmukhyaviniyogabalena	guNa muKyayoH viroDe satti utpatteH viniyoga arTa tvAt muKya viniyoga balena
   sāmnāṃ yajurvedasvarasaṃyoga iti sūtraṃ vyākhyātaṃ, tathāpi	sAmnAm yajurveda svara saMyogaH iti sUtram vyAKyAtaM, taTA api
   nyāyasāmyādaupasadamantrāḥ sūtraviṣayatvenodāhṛtā ityavirodhaḥ //33//	nyAya sAmyAt Opasada mantrAH sUtra vizaya tvena udAhRtAH iti aviroDaH //33//
   END BsRp_3,3.20.33	END BsRp _3,3.20.33
   START BsRp_3,3.21.34ḥ	START BsRp _3,3.21.34H
   iyadāmananāt | BBs_3,3.34 |	iyat AmananAt | BBH _3,3.34 |
   iyadāmananāt /	iyat AmananAt /
   mantradvaye 'pi pratipādanaprakārabhedāt jñeyaikyabhānācca	mantra dvaye api pratipAdana prakAra BedAt jQeya Ekya BAnAt ca
   saṃśayamāha kimatreti /	saMSaya mAha kim atra iti /
   ṛtapānavākye 'akṣaraṃ brahma yatparam'iti guṇāḥ śrutāḥ, suparṇavākye	Rta pAna vAkye aakzaram brahma yat param aiti guNAH SrutAH, suparNa vAkye
   'naśnatvādayasteṣāṃ mitho 'nupasaṃhāra iti pūrvapakṣaphalaṃ, siddhānte	anaSna tva AdayaH tezAm miTas anupasaMhAraH iti pUrva pakza PalaM, sidDAnte
   tūpasaṃhāre brahmasvarūpavākyārthaikyādupasaṃhāra iti vivekaḥ /	tu upasaMhAre brahma svarUpa vAkya arTa EkyAt upasaMhAraH iti vivekaH /
   astu vedyaikyādakṣaradhiyāmupasaṃhāraḥ /	astu vedya EkyAt akzara DiyAm upasaMhAraH /
   iha tu vedyabhedānnopasaṃhāra iti pratyudāharaṇena pūrvapakṣaḥ /	iha tu vedya BedAt na upasaMhAraH iti pratyudAharaNena pUrva pakzaH /
   nanvayaṃ guṇādhikaraṇe nirasta iti cet, satyaṃ, kintu pibatpadasya	nanu ayam guNa aDikaraNe nirastaH iti cet, satyan, kintu pibat padasya
   mukhyārthatvāya svataḥ kalpanayā ca pānakṛtyāśrayau buddhijīvau pibantau	muKya arTa tvAya svatas kalpanayA ca pAna kRtya ASrayO budDi jIvO pibantO
   grāhyau, suparṇau tu jīveśvarāvidyādhikāśaṅkāyāṃ mantradvaye 'pi	grAhyO, suparNO tu jIva ISvara avidyA aDikA SaFkAyAm mantra dvaye api
   dvivacanaśabdasāmānyādautpattikadvitvaviśiṣṭatayā	dvi vacana Sabda sAmAnyAt Otpattika dvi tva viSizwa tayA
   tulyavastudvayapratyabhijñānasya bādhakābhāvātprakaraṇādyanugrahācca	tulya vastu dvaya pratyaBijQAnasya bADaka aBAvAt prakaraNa Adi anugrahAt ca
   jīvānuvādenāsaṃsāribrahmaṇi mantradvayatātparyamiti prapañcārthamidaṃ	jIva anuvAdena asaMsAri brahmaNi mantra dvayatAt paryam iti prapaQca arTam idam
   sūtramiti bhāvaḥ //34//	sUtram iti BAvaH //34//
   END BsRp_3,3.21.34	END BsRp _3,3.21.34
   START BsRp_3,3.22.35ḥ	START BsRp _3,3.22.35H
   antarā bhūtagrāmavatsātmanaḥ | BBs_3,3.35 |	antarA BUta grAma vatsa AtmanaH | BBH _3,3.35 |
   antarā bhūtagrāmavatsvātmanaḥ /	antarA BUta grAma vatsvAtmanaH /
   ghaṭādikaṃ cidviṣayatvenāparokṣaṃ, brahma tu sākṣādaviṣayatvenāparokṣamiti	Gawa Adikam cit vizaya tvena aparokzaM, brahma tu sAkzAt avizaya tvena aparokzam iti
   prathamārthe pañcami /	praTama arTe paQcami /
   atra śrutāvātmadharmo 'parokṣatvaṃ brahmaṇayuktaṃ, brahmadharmaḥ	atra SrutO= Atma DarmaH aparokza tvam brahmaNa yuktan, brahma DarmaH
   sarvāntaratvamātmanyuktaṃ, tena tayoraikyaṃ dṛḍhīkṛtaṃ mantavyaṃ, tanme	sarva antara tvam Atmani uktan, tena tayoH Ekyam dRXIkRtam mantavyan, tat me
   vyācakṣvetyuṣastapraśne yājñavalkyena prāṇādiprerako dṛṣṭyādisākṣī	vyAcakzva iti uzasta praSne yAjQavalkyena prANa Adi prerakaH dRzwi Adi sAkzI
   pratipāditaḥ /	pratipAditaH /
   tathaiva 'yadeva sākṣādaparokṣādbrahma ya ātmā sarvāntarastanme	taTA eva ayat eva sAkzAt aparokzAt brahma yaH AtmA sarva antaraH tat me
   vyācakṣva'iti kaholapraśne 'śanāyādyatītaḥ pratipāditaḥ /	vyAcakzva aiti kahola praSne aSanAya Adi atItaH pratipAditaH /
   tatra brāhmaṇadvaye 'pi praśnādabhyāsātsarvāntaratvapratyabhijñānācca	tatra brAhmaNa dvaye api praSnAt aByAsAt sarva antara tva pratyaBijQAnAt ca
   saṃśaye mantrayorvedyaikyādastu vidyaikyaṃ, iha tu brāhmaṇyorvedyaikye 'pi	saMSaye mantrayoH vedya EkyAdaH tu vidya Ekyan, iha tu brAhmaNyorvedya Ekye api
   abhyāsādvidyābhedaḥ, yajatyabhyāsātprayājabhedavaditi pratyudāharaṇena	aByAsAt vidyA BedaH, yajati aByAsAt prayAja Beda vat iti pratyudAharaNena
   pūrvapakṣaḥ, tatra mitho dharmānupasaṃhāraḥ phalaṃ, siddhānte tūpasaṃhāra	pUrva pakzaH, tatra miTas DarmAn upasaMhAraH PalaM, sidDAnte tu upasaMhAra
   iti vivekaḥ /	iti vivekaH /
   dvayoḥ sarvāntaratvānupapattyā tāvadbrahmāṇayorekavastuparatvaṃ siddham /	dvayoH sarva antara tva anupapattyA tAvat brahmANayoH eka vastu paratvam sidDam /
   tathāca vedyaikyānnirguṇavidyaikye na vivādaḥ //35//	taTA ca vedya EkyAt nirguNa vidya Ekye na vivAdaH //35//
   END BsRp_3,3.22.35	END BsRp _3,3.22.35
   START BsRp_3,3.22.36ḥ	START BsRp _3,3.22.36H
   anyathā bhedānupapattir iti cen nopadeśāntaravat | BBs_3,3.36 |	anyaTA Beda anupapattiH iti ced na upadeSa antara vat | BBH _3,3.36 |
   nanu anyathā vidyaikyāṅgīkāre abhyāsānupapattiriti ceducyate sa evābhyāsaḥ	nanu anyaTA vidyA Ekya aFgIkAre aByAsAnupapattiH iti ced ucyate  saH eva aByAsaH
