   sāṅkhyakārikā gauḍapādabhāṣya	sAFKya-kArikAH gOxa-pAda-BAzya
   mohamevamanyonyavṛttayo guṇāḥ // 12 //	moham-evam-anyonya-vRttayaH guNAH // 12 //
   kiṃcānyat /	kiMca-anyat /
   sattvaṃ laghu prakāśakamiṣṭamupaṣṭambhakaṃ calaṃ ca rajaḥ /	sattvam laGu prakASakam-izwam-upazwamBakam calam ca rajaH /
   guru varaṇakameva tamaḥ pradīpavaccārthato vṛttiḥ // ISk_13 //	guru varaNakam-eva tamaH pradIpa-vat-ca-arTataH vRttiH // ISc-_13 //
   sattvaṃ laghu prakāśakaṃ ca yadā sattvamutkaṭaṃ bhavati tadā laghūnyaṅgāni	sattvam laGu prakASakam ca yadA sattvam-utkawam Bavati tadA laGUni-aFgAni
   buddhiprakāśaśca prasannatendriyāṇāṃ bhavati / upaṣṭambhakaṃ calaṃ ca	budDi-prakASaH-ca prasanna-tA-indriyANAm Bavati / upazwamBakam calam ca
   rajaḥ upaṣṭambhātītyupaṣṭambhakamudyotakaṃ yathā vṛṣo vṛṣadarśane	rajaH upazwamBAti-iti-upazwamBakam-udyotakam yaTA vRzaH vRza-darSane
   utkaṭamupaṣṭambhaṃ karoti eva rajovṛttiḥ / tathā rajaśca calaṃ dṛṣṭaṃ	utkawam-upazwamBam karoti eva rajaH-vRttiH / taTA rajaH-ca calam dRzwam
   rajovṛttiścalacitto bhavati / guru varaṇamekameva tamaḥ yadā tama utkaṭaṃ	rajaH-vRttiH-cala-cittaH Bavati / guru varaNam-ekam-eva tamaH yadA tamaH utkawam
   bhavati tadā gurūṇyaṅgānyāvṛtānīndriyāṇi bhavanti svārthāsamarthāni /	Bavati tadA gurUNi-aFgAni-AvRtAni-indriyANi Bavanti sva-arTa-asamarTAni /
   atrāha yadi guṇāḥ parasparaṃ viruddhāḥ svamatenaiva kamarthaṃ niṣpādayanti	atra-Aha yadi guNAH parasparam virudDAH sva-matena-eva kam-arTam nizpAdayanti
   tarhi kathaṃ pradīpavaccārthato vṛttiḥ pradīpena tulyaṃ pradīpavadarthataḥ	tarhi kaTam pradIpa-vat-ca-arTataH vRttiH pradIpena tulyam pradIpa-vat-arTataH
   sādhanā vṛttiriṣṭā yathā pradīpaḥ	sADanA vRttiH-izwA yaTA pradIpaH
   parasparaviruddhatailāgnivarttisaṃyogādarthaprakāśān janayati evaṃ	paraspara-virudDa-tEla-agni-vartti-saMyogAt-arTa-prakASAn janayati evam
   sattvarajastamāṃsi parasparaṃ viruddhānyarthaṃ niṣpādayanti // 13 //	sattva-rajaH-tamAMsi parasparam virudDAni-arTam nizpAdayanti // 13 //
   antarapraśno bhavati triguṇamaviveki viṣaya ityādi pradhānaṃ vyaktaṃ ca	antara-praSnaH Bavati triguNam-aviveki vizayaH ityAdi praDAnam vyaktam ca
   vyākhyātaṃ tatra pradhānamupalabhyamānaṃ mahadādi ca triguṇamavivekyādīti	vyAKyAtam tatra praDAnam-upalaByamAnam mahat-Adi ca triguNam-avivekya-Adi-iti
   ca kathamavagamyate tatrāha /	ca kaTam-avagamyate tatra-Aha /
   avivekyādiḥ siddhastraiguṇyāttadviparyayābhāvāt /	aviveki-AdiH sidDaH-trEguNyAt-tad-viparyaya-aBAvAt /
   kāraṇaguṇātmakatvātkāryasyāvyaktamapi siddham // ISk_14 //	kAraNa-guNa-Atmaka-tvAt-kAryasya-avyaktam-api sidDam // ISc-_14 //
   yo 'yamavivekyādirguṇaḥ sa traiguṇyānmahadādau 'vyaktenāyaṃ siddhyati /	yaH ayam-avivekya-AdiH-guNaH sa trEguNyAt-mahat-AdO avyaktena-ayam sidDyati /
   atrocyate tadviparyayābhāvāttasya	atra-ucyate tad-viparyaya-aBAvAt-tasya
   viparyayastadviparyayastasyābhāvastadviparyayābhāvastasmāt siddhamavyaktam	viparyayaH-tad-viparyayaH-tasya-aBAvaH-tad-viparyaya-aBAvaH-tasmAt sidDam-avyaktam
   / yathā yatraiva tantavastatraiva paṭaḥ / anye tantavo 'nyaḥ paṭo na	/ yaTA yatra-eva tantavaH-tatra-eva pawaH / anye tantavaH anyaH pawaH na
   kutastadviparyayābhāvāt / evaṃ vyaktāvyaktasampanno bhavati dūraṃ	kutas-tad-viparyaya-aBAvAt / evam vyakta-avyakta-sampannaH Bavati dUram
   pradhānamāsannaṃ vyaktaṃ yo vyaktaṃ paśyati sa pradhānamapi paśyati	praDAnam-Asannam vyaktam yaH vyaktam paSyati sa praDAnam-api paSyati
   tadviparyayābhāvāt / itaścāvyaktaṃ siddhaṃ kāraṇaguṇātmakatvāt kāryasya /	tad-viparyaya-aBAvAt / itas-ca-avyaktam sidDam kAraNa-guNa-Atmaka-tvAt kAryasya /
   loke yadātmakaṃ kāraṇaṃ tadātmakaṃ kāryamapi tathā kṛṣṇebhyastantubhyaḥ	loke yad-Atmakam kAraNam tad-Atmakam kAryam-api taTA kRzNeByaH-tantuByaH
   kṛṣṇa eva paṭo bhavati / evaṃ mahadādiliṅgamavivekiviṣayaḥ sāmānyacetanaṃ	kRzNaH eva pawaH Bavati / evam mahat-Adi-liFgam-aviveki-vizayaH sAmAnya-cetanam
   prasavadharmi yadātmakaṃ liṅgaṃ tadātmakamavyaktamapi siddham // 14 //	prasava-Darmi yad-Atmakam liFgam tad-Atmakam-avyaktam-api sidDam // 14 //
   traiguṇyādavivekyādirvyakte siddhastadviparyayābhāvāt / evaṃ	trEguNyAt-aviveki-AdiH-vyakte sidDaH-tad-viparyaya-aBAvAt / evam
   kāraṇaguṇātmakatvāt kāryasyāvyaktamapi siddhamityetanmithyā loke	kAraNa-guNa-Atmaka-tvAt kAryasya-avyaktam-api sidDam-iti-etat-miTyA loke
   yannopalabhyate tannāsti evaṃ pradhānamapyasti kiṃ tu nopalabhyate /	yat-na-upalaByate tat-na-asti evam praDAnam-api-asti kim tu na-upalaByate /
   bhedānāṃ parimāṇātsamanvayācchaktitaḥ pravṛtteśca /	BedAnAm parimANAt-samanvayAt-Saktitas pravRtteH-ca /
   kāraṇakāryavibhāgādavibhāgādvaiśvarūpyasya // ISk_15 //	kAraNa-kArya-viBAgAt-aviBAgAt-vESvarUpyasya // ISc-_15 //
   kāraṇamastyavyaktamiti kriyākārakasambandhaḥ / bhedānāṃ parimāṇāloke yatra	kAraNam-asti-avyaktam-iti kriyA-kAraka-sambanDaH / BedAnAm parimANa-Aloke yatra
   karttāsti tasya parimāṇaṃ dṛṣṭaṃ yathā kulālaḥ parimitairmṛtpiṇḍaiḥ	karttA-asti tasya parimANam dRzwam yaTA kulAlaH parimitEH-mRd-piNxEH
   parimitāneva ghaṭān karoti evaṃ mahadapi mahadādiliṅgaṃ parimitaṃ bhedataḥ	parimitAn-eva GawAn karoti evam mahat-api mahat-Adi-liFgam parimitam BedataH
   pradhānakāryamekā buddhireko 'haṃkāraḥ pañca tanmātrāṇi ekādaśendriyāṇi	praDAna-kAryam-ekA budDiH-ekaH ahaMkAraH paQca tanmAtrANi ekAdaSa-indriyANi
   pañcatanmātrāṇi ekādaśendriyāṇi pañcamahābhūtānītyevaṃ bhedānāṃ	paQca-tanmAtrANi ekAdaSa-indriyANi paQca-mahABUtAni-iti-evam BedAnAm
   parimāṇādasti pradhānaṃ kāraṇaṃ yadvyaktaṃ parimitamutpādayati /yadi	parimANAt-asti praDAnam kAraNam yat-vyaktam parimitam-utpAdayati /yadi
   pradhānaṃ na syāttadā niḥparimāṇamidaṃ vyaktamapi na syāt parimāṇācca	praDAnam na syAt-tadA niHparimANam-idam vyaktam-api na syAt parimANAt-ca
   bhedānāmasti pradhānaṃ yasmādvyaktamutpannam / tathā samanvayādiha loke	BedAnAm-asti praDAnam yasmAt-vyaktam-utpannam / taTA samanvayAt-iha loke
   prasiddhirdṛṣṭā yathā vratadhāriṇaṃ baṭuṃ dṛṣṭvā samanvayati nūnamasya	prasidDiH-dRzwA yaTA vrata-DAriNam bawum dRzwvA samanvayati nUnam-asya
   pitarau brāhmaṇāviti evamidaṃ triguṇaṃ mahadādiliṅgaṃ dṛṣṭvā sādhayāmo	pitarO brAhmaNO=-iti evam-idam triguNam mahat-Adi-liFgam dRzwvA sADayAmaH-
   'sya yat kāraṇaṃ bhaviṣyatīti ataḥ samanvayādasti pradhānam / tathā	asya yat kAraNam Bavizyati-iti atas samanvayAt-asti praDAnam / taTA
   śaktitaḥ pravṛtteśca iha yo yasmin śaktaḥ sa tasminnevārthe pravarttate	SaktitaH pravRtteH-ca iha yaH yasmin SaktaH sa tasmin=-eva-arTe pravarttate
   yathā kulālo ghaṭāsya karaṇe samartho ghaṭameva karoti na paṭaṃ rathaṃ vā	yaTA kulAlaH Gawa-asya karaNe samarTaH Gawam-eva karoti na pawam raTam vA
   / tathāsti pradhānaṃ kāraṇaṃ kutaḥ kāraṇakāryavibhāgāt / karotīti kāraṇam	/ taTA-asti praDAnam kAraNam kutas kAraNa-kArya-viBAgAt / karoti-iti kAraNam
   / kriyata iti kāryam / kāraṇasya kāryasya ca vibhāgo yathā ghaṭo	/ kriyate iti kAryam / kAraNasya kAryasya ca viBAgaH yaTA Gawo
   dadhimadhūdakapayasāṃ dhāraṇe samartho na tathā taktāraṇaṃ mṛtpiṇḍaḥ /	daDi-maDu-udaka-payasAm DAraNe samarTaH na taTA tak-tAraNam mRd-piNxaH /
   mṛtpiṇḍo vā ghaṭaṃ niṣpādayati na caivaṃ ghaṭo mṛtpiṇḍam / evaṃ	mRd-piNxaH vA Gawam nizpAdayati na ca-evam GawaH mRd-piNxam / evam
   mahadādiliṅgaṃ dṛṣṭvānumīyate / asti vibhaktaṃ tat kāraṇaṃ yasya vibhāga	mahat-Adi-liFgam dRzwvA-anumIyate / asti viBaktam tat kAraNam yasya viBAga
   idaṃ vyaktamiti / itaśca avibhāgādvaiśvarūpasya viśvaṃ jagat tasya rūpaṃ	idam vyaktam-iti / itas-ca aviBAgAt-vESvarUpasya viSvam jagat tasya rUpam
   vyaktiḥ / viśvarūpasya bhāvo vaiśvarūpaṃ tasyāvibhāgādasti pradhānaṃ	vyaktiH / viSvarUpasya BAvaH vESvarUpam tasya-aviBAgAt-asti praDAnam
   yasmātrailokyasya pañcānāṃ pṛthivyādīnāṃ mahābhūtānāṃ parasparaṃ vibhāgo	yasmAtrElokyasya paQcAnAm pRTivI-AdInAm mahABUtAnAm parasparam viBAgaH-
   nāsti mahābhūteṣvantarbhūtāstrayo lokā iti pṛthivyāpastejovāyurākāśamiti	na-asti mahABUtezu-antarBUtAH-trayaH lokAH iti pRTivI-ApaH-tejaH-vAyuH-AkASam-iti
   etāni pañcamahābhūtāni pralayakāle sṛṣṭikrameṇaivāvibhāgaṃ yānti	etAni paQca-mahABUtAni pralaya-kAle sRzwi-krameNa-eva-aviBAgam yAnti
   tanmātreṣu pariṇāmiṣu tanmātrāṇyekādaśendriyāṇi cāhaṃkāre ahaṃkāro buddhau	tanmAtrezu pariNAmizu tanmAtrANi-ekAdaSa-indriyANi ca-ahaMkAre ahaMkAraH budDO
   buddhiḥ pradhāne evaṃ trayo lokāḥ pralayakāle prakṛtāvavibhāgaṃ gacchanti	budDiH praDAne evam trayaH lokAH pralaya-kAle prakRtO=-aviBAgam gacCanti
   tasmādavibhāgāt kṣīradadhivadvyaktāvyaktayoravyaktaṃ kāraṇam // 15 //	tasmAt-aviBAgAt kzIra-daDi-vat-vyakta-avyaktayoH-avyaktam kAraNam // 15 //
   ataśca /	atas-ca /
   kāraṇamastyavyaktaṃ pravartate triguṇataḥ samudayācca /	kAraNam-asti-avyaktam pravartate triguNataH samudayAt-ca /
   pariṇāmataḥ salilavatpratipratiguṇāśrayaviśeṣāt // ISk_16 //	pariNAmataH salila-vat-prati-pratiguNa-ASraya-viSezAt // ISc-_16 //
   avyaktaṃ prakhyātaṃ kāraṇamasti yasmānmahadādiliṅgaṃ pravarttate /	avyaktam praKyAtam kAraNam-asti yasmAt-mahat-Adi-liFgam pravarttate /
   triguṇataḥ triguṇāt sattvarajastamoguṇā yasmiṃstattriguṇaṃ tatkimuktaṃ	triguNataH triguNAt sattva-rajaH-tamaH-guNAH yasmin=-tat-triguNam tat-kim-uktam
   bhavati sattvarajastamasāṃ sāmyāvasthā pradhānam / tathā samudayāt yathā	Bavati sattva-rajaH-tamasAm sAmya-avasTA praDAnam / taTA samudayAt yaTA
   gaṃgāśrotāṃsi triṇī rudramūrddhani patitāni ekaṃ sroto janayati evaṃ	gaMgA-SrotAMsi triNI rudra-mUrdDani patitAni ekam srotaH janayati evam
   triguṇamavyaktamekaṃ vyaktaṃ janayati tathā vā tantavaḥ samuditāḥ paṭaṃ	triguNam-avyaktam-ekam vyaktam janayati taTA vA tantavaH samuditAH pawam
   janayanti evamavyaktaṃ gunasamudayānmahadādi janayatīti triguṇataḥ	janayanti evam-avyaktam guna-samudayAt-mahat-Adi janayati-iti triguNataH
   samudayācca vyaktaṃ jagat pravarttate / yasmādekasmāt pradhānādvyaktaṃ	samudayAt-ca vyaktam jagat pravarttate / yasmAt-ekasmAt praDAnAt-vyaktam
   tasmādekarūpeṇa bhavitavyam / naiṣa doṣaḥ pariṇāmataḥ salilavat	tasmAt-eka-rUpeNa Bavitavyam / na-eza dozaH pariNAmataH salila-vat-
   pratipratiguṇāśrayaviśeṣādekasmāt pradhānāt trayo lokāḥ	prati-prati-guNa-ASraya-viSezAt-ekasmAt praDAnAt trayaH lokAH
   samutpannāstulyabhāvā na bhavanti devāḥ sukhena yuktā manuṣyā duḥkhena	samutpannAH-tulya-BAvAH na Bavanti devAH suKena yuktAH manuzyAH duHKena
   tiryañco mohena ekasmāt pradhānāt pravṛttaṃ vyaktaṃ	tiryaQcaH mohena ekasmAt praDAnAt pravRttam vyaktam
   pratipratiguṇāśrayaviśeṣāt pariṇamātaḥ salilavadbhavati / pratipratīti	prati-prati-guNa-ASraya-viSezAt pariNamAtaH salila-vat-Bavati / pratiprati-iti
   vīpsā / guṇānāmāśrayo guṇāśrayastadviśeṣastaṃ guṇāśrayaviśeṣaṃ	vIpsA / guNAnAm-ASrayaH guNa-ASrayaH-tad-viSezaH-tam guNa-ASraya-viSezam
   pratinidhāya pratipratiguṇāśrayaviśeṣaṃ pariṇāmāt pravarttate vyaktaṃ	pratiniDAya prati-prati-guNa-ASraya-viSezam pariNAmAt pravarttate vyaktam
   yathā ākāśādekarasaṃ salilaṃ patitaṃ nānārūpātsaṃśleṣādbhidyate	yaTA AkASAt-eka-rasam salilam patitam nAnA-rUpAt-saMSlezAt-Bidyate
   tadrasāntarairevamekasmāt pradhānāt pravṛttāstrayo lokā naikasvabhāvā	tad-rasa-antarEH-evam-ekasmAt praDAnAt pravRttAH-trayaH lokAH na-eka-svaBAvA
   bhavanti deveṣu sattvamutkaṭaṃ rajastamasī udāsīne tena te 'tyantasukhino	Bavanti devezu sattvam-utkawam rajaH-tamasI udAsIne tena te atyanta-suKinaH-
   manuṣyeṣu raja utkaṭaṃ bhavati sattvatamasī udāsīne tena te	manuzyezu rajaH utkawam Bavati sattva-tamasI udAsIne tena te
   'tyantaduḥkhino tiryakṣu tama utkaṭaṃ bhavati sattvajasī udāsīne tena te	atyanta-duHKinaH tiryakzu tamaH utkawam Bavati sattva-jasI udAsIne tena te
   'tyantamūḍhāḥ // 16 //	atyanta-mUXAH // 16 //
   evamāryādvayena pradhānasyāstitvamabhyupagamyate / itaścottaraṃ	evam-AryA-dvayena praDAnasya-astitvam-aByupagamyate / itas-ca-uttaram
   puruṣāstitvapratipādanārthamāha /	puruza-astitva-pratipAdana-arTam-Aha /
   saṅghātaparārthatvāttriguṇādiviparyayādadhiṣṭhānāt /	saFGAta-para-arTa-tvAt-triguNa-Adi-viparyayAt-aDizWAnAt /
   puruṣo 'sti bhoktṛbhāvātkaivalyārthapravṛtteśca // ISk_17 //	puruzaH asti BoktR-BAvAt-kEvalya-arTa-pravRtteH-ca // ISc-_17 //
   yaduktaṃ vyaktāvyaktavijñānānmokṣaḥ prāpyata iti tatra	yat-uktam vyakta-avyakta-vijQAnAt-mokzaH prApyate iti tatra
   vyaktādanantaramavyaktaṃ pañcabhiḥ kāraṇairadhigatamavyaktavat puruṣo 'pi	vyaktAt-anantaram-avyaktam paQcaBiH kAraNEH-aDigatam-avyakta-vat puruzaH api
   sūkṣmastasyādhunānumitāstitvaṃ pratikriyate / asti puruṣaḥ kasmāt	sUkzmaH-tasya-aDunA-anumita-astitvam pratikriyate / asti puruzaH kasmAt-
   saṃghātaparārthatvāt / yo 'yaṃ mahadādi saṃghātaḥ sa puruṣārtha	saMGAta-para-arTa-tvAt / yaH ayam mahat-Adi saMGAtaH sa puruza-arTa
   ityanumīyate acetanatvāt paryaṅgavat / yathā paryaṅka pratyekaṃ	iti-anumIyate acetana-tvAt paryaFga-vat / yaTA paryaFka pratyekam
   gātrotpalakapādavaṭatūlīprachādanapaṭopadhānasaṃghataḥ parārtho nahi	gAtra-utpalaka-pAda-vawa-tUlI-praCAdana-pawa-upaDAna-saMGataH para-arTaH na-hi
   svārthaḥ paryaṅkasya nahi kiñcidapi gātrotpalādyavayavānāṃ parasparaṃ	sva-arTaH paryaFkasya nahi kiQcid-api gAtra-utpala-Adi-avayavAnAm parasparam
   kṛtyamasti / ato 'vagamyate 'sti puruṣo yaḥ paryaṅke śete yasyārthaṃ	kRtyam-asti / atas avagamyate asti puruzaH yaH paryaFke Sete yasya-arTam
   paryaṅkastatparārthamidaṃ śarīraṃ pañcānāṃ mahābhūtānāṃ saṃghāto varttate	paryaFkaH-tad-para-arTam-idam SarIram paQcAnAm mahABUtAnAm saMGAtaH varttate
   'sti puruṣo yasyedaṃ bhogyaśarīraṃ bhogyaṃ mahadādisaṃghātarūpaṃ	asti puruzaH yasya-idam Bogya-SarIram Bogyam mahat-Adi-saMGAta-rUpam
   samutpannamiti / itaścātmāsti triguṇādiviparyayāt yaduktaṃ	samutpannam-iti / itas-ca-AtmA-asti triguNa-Adi-viparyayAt yat-uktam
   pūrvasyāmāryāyāṃ trigunamavivekiviṣaya ityādi / tasmādviparyayādyenoktaṃ	pUrvasyAmAryAyAm trigunam-aviveki-vizayaH ityAdi / tasmAt-viparyaya-Adyena-uktam
   tadviparītastathā pumān / adhiṣṭhānādyatheha	tad-viparItaH-taTA pumAn / aDizWAnAt-yaTA-iha
   laṃghanalpavanadhāvanasamarthairaśvairyukto rathaḥ sārathinādhiṣṭhitaḥ	laMGa-nalpa-vana-DAvana-samarTEH-aSvEH-yuktaH raTaH sAraTinA-aDizWitaH
   pravarttate tathātmādhiṣṭhānāccharīramiti / tathā coktaṃ ṣaṣṭhitantre	pravarttate taTA-Atma-aDizWAnAt-SarIram-iti / taTA ca-uktam zazWitantre
   puruṣādhiṣṭhitaṃ pradhānaṃ pravarttate / ato 'styātmābhoktṛtvāt / yathā	puruza-aDizWitam praDAnam pravarttate / atas asti-Atma-aBoktR-tvAt / yaTA
   madhurāmlalavaṇakaṭutiktakaṣāyaṣaḍrasopabṛṃhitsya saṃyktasyānnasya	maDura-amla-lavaNa-kawu-tikta-kazAya-zaz-rasa-upabRMhitsya saMyktasya-annasya
   sādhyate evaṃ mahadādiliṅgasya bhoktṛtvābhāvādasti sa ātmā yasyedaṃ	sADyate evam mahat-Adi-liFgasya BoktR-tva-aBAvAt-asti saH AtmA yasya-idam
   bhogyaṃ śarīramti / itaśca kaivalyārthama pravṛtteśca kevalasya bhāvaḥ	Bogyam SarIram-ti / itas-ca kEvalya-arTama pravRtteH-ca kevalasya BAvaH
   kaivalyaṃ tannimitaṃ yā ca pravṛttistasyāḥ svakaivalyārthaṃ pravṛtteḥ	kEvalyam tad-nimitam yA ca pravRttiH-tasyAH sva-kEvalya-arTam pravRtteH
   sakāśādanumīyate astyātmeti yato sarvo vidvānavidvāṃśca	sakASAt-anumIyate asti-AtmA-iti yatas sarvaH vidvAn-avidvAn=-ca
   saṃsārasantānakṣayamicchati / evamebhirhetubhirastyātmā śarīrādvyatiriktaḥ	saMsAra-santAna-kzayam-icCati / evam-eBiH-hetuBiH-asti-AtmA SarIrAt-vyatiriktaH
   atha sa kimekaha sarvaśarīre 'dhiṣṭhātā maṇirasanātmakasūtravat	aTa sa kim-ekaha sarva-SarIre aDizWAtA maNi-rasana-Atmaka-sUtra-vat
   āhosvidbahava ātmānaḥ pratiśarīramadhiṣṭhātāra ityatrocyate /	Ahosvit-bahavaH AtmAnaH pratiSarIram-aDizWAtAraH iti-atra-ucyate /
   janmamaraṇakaraṇānāṃ pratiniyamādayugapatpravṛtteśca /	janma-maraNa-karaNAnAm pratiniyamAt-ayugapad-pravRtteH-ca /
   puruṣabahutvaṃ siddhaṃ traiguṇyaviparyayāccaiva // ISk_18 //	puruza-bahu-tvam sidDam trEguNya-viparyayAt-ca-eva // ISc-_18 //
   janma ca maraṇaṃ ca karaṇāni ca janmamaraṇakaraṇāni teṣāṃ pratiniyamāt	janma ca maraNam ca karaNAni ca janma-maraNa-karaNAni tezAm pratiniyamAt-
   pratyekaniyamādityarthaḥ / yadyeka eva ātmā syāttata ekasya janmani sarva	pratyeka-niyamAt-iti-arTaH / yadi-ekaH eva AtmA syAt-tatas ekasya janmani sarva
   eva jāyeran ekasya maraṇe sarve 'pi mriyeran ekasya karaṇavaikalye	eva jAyeran ekasya maraNe sarve api mriyeran ekasya karaNa-vEkalye
   bādhiryāndhamūkatvakuṇatvakhaṃjatvalakṣaṇe sarve 'pi	bADirya-anDamUka-tva-kuNa-tva-KaMja-tva-lakzaNe sarve api
   badhirāndhakuṇikhaṃjāḥ syurna caivaṃ bhavati tasmājjanmamaraṇakaraṇānāṃ	baDira-anDa-kuNi-KaMjAH syuH-na ca-evam Bavati tasmAt-janma-maraNa-karaNAnAm
   pratiniyamāt puruṣabahutvaṃ siddham / itaścāyugapat pravṛtteśca	pratiniyamAt puruza-bahu-tvam sidDam / itas-ca-ayugapad pravRtteH-ca
   yugapadekakālaṃ na yugapadayugapat pravarttanaṃ yasmādayugapaddharmādiṣu	yugapad-eka-kAlam na yugapad-ayugapad pravarttanam yasmAt-ayugapad-Darma-Adizu
   pravṛttirdṛśyate eke dharme pravṛttā anye 'dharme vairāgye 'nye jñāne 'nye	pravRttiH-dRSyate eke Darme pravRttAH anye aDarme vErAgye anye jQAne anye
   pravṛttāḥ tasmādayugapat pravṛtteśca bahava iti siddham /	pravRttAH tasmAt-ayugapad pravRtteH-ca bahavaH iti sidDam /
   kiñcānyattraiguṇyāviparyayāccaiva triguṇabhāvaviparyayācca puruṣabahutvaṃ	kiQca-anyat-trEguNya-aviparyayAt-ca-eva triguNa-BAva-viparyayAt-ca puruza-bahu-tvam
   siddham / yathā sāmānye janmani ekaḥ sāttvikaḥ sukhī / anyo rājaso duḥkhī	sidDam / yaTA sAmAnye janmani ekaH sAttvikaH suKI / anyaH rAjasaH duHKI
   / anyastāmaso mohavān / evaṃ traiguṇyaviparyayādbahutvaṃ siddhamiti // 18	/ anyaH-tAmasaH mohavAn / evam trEguNya-viparyayAt-bahu-tvam sidDam-iti // 18
   akarttā puruṣa ityetaducyate /	akarttA puruzaH iti-etat-ucyate /
   tasmācca viparyāsātsiddhaṃ sākṣitvamasya puruṣasya /	tasmAt-ca viparyAsAt-sidDam sAkzi-tvam-asya puruzasya /
   kaivalyaṃ mādhyasthyaṃ draṣṭṛtvamakartṛbhāvaśca // ISk_19 //	kEvalyam mADyasTyam drazwR-tvam-akartR-BAvaH-ca // ISc-_19 //
   tasmācca viparyāsāttasmācca yathoktatraiguṇyaviparyāsādviparyayānnirguṇaḥ	tasmAt-ca viparyAsAt-tasmAt-ca yaTA-ukta-trEguNya-viparyAsAt-viparyayAt-nirguNaH
   puruṣo vivekī bhoktetyādiguṇānāṃ puruṣasya yo viparyāsa uktastasmāt	puruzaH vivekI BoktA-ityAdi-guNAnAm puruzasya yaH viparyAsaH uktaH-tasmAt-
   sattvarajastamaḥsu karttṛbhūteṣu sākṣitvaṃ siddhaṃ puruṣasyeti yo	sattva-rajaH-tamaHsu karttR-BUtezu sAkzi-tvam sidDam puruzasya-iti yaH-
   'yamadhikṛto bahutvaṃ prati / guṇā eva karttāraḥ pravarttante sākṣī na	ayam-aDikRtaH bahu-tvam prati / guNAH eva karttAraH pravarttante sAkzI na
   pravattate nāpi nivarttata eva / kiṃcānyat kaivalyaṃ kevalabhāvaḥ	pravattate na-api nivarttate eva / kiMca-anyat kEvalyam kevala-BAvaH
   kaivalyamanyatvamityarthaḥ / triguṇebhyaḥ kevalaḥ / anyanmādhyasthyaṃ	kEvalyam-anya-tvam-iti-arTaH / triguNeByaH kevalaH / anyat-mADyasTyam
   madhyasthabhāvaḥ parivrājakavat madhyasthaḥ puruṣaḥ / yathā kaścit	maDyasTa-BAvaH parivrAjaka-vat maDyasTaH puruzaH / yaTA kaScid-
   parivrājako grāmīṇeṣu karṣaṇārtheṣu pravṛtteṣu kevalo madhyasthaḥ puruṣo	parivrAjakaH grAmINezu karzaNa-arTezu pravRttezu kevalaH maDyasTaH puruzaH-
   'pyevaṃ guṇeṣu varttamāneṣu na pravarttate /	api-evam guNezu varttamAnezu na pravarttate /
   tasmāddraṣṭṛtvamakarttṛbhāvāśca yasmānmadhyasthastasmāddraṣṭā	tasmAt-drazwR-tva-m-akarttR-BAvAH-ca yasmAt-maDyasTaH-tasmAt-drazwA
   tasmādakarttā puruṣasteṣāṃ karmaṇāmiti sattvarajastamāṃsi trayo guṇāḥ	tasmAt-akarttA puruzaH-tezAm karmaNAm-iti sattva-rajaH-tamAMsi trayaH guNAH
   karmakarttṛbhāvena pravarttante na puruṣa evaṃ puruṣasyāstitvaṃ ca siddham	karmakarttR-BAvena pravarttante na puruzaH evam puruzasya-astitvam ca sidDam
   / yasmātkarttā puruṣastatkathamadhyavasāyaṃ karoti dharmaṃ	/ yasmAt-karttA puruzaH-tat-kaTamaDyavasAyam karoti Darmam
   kariṣyāmyadharmaṃ na kariṣyāmītyataḥ karttā bhavati na ca karttā puruṣa	karizyAmi-aDarmam na karizyAmi-iti-atas karttA Bavati na ca karttA puruza
   evamubhayātra doṣaḥ syāditi // 19 //	evam-uBaya-atra dozaH syAt-iti // 19 //
   ata ucyate /	atas ucyate /
   tasmāttatsaṃyogādacetanaṃ cetanāvadiva liṅgam /	tasmAt-tad-saMyogAt-acetanam cetanAvat-iva liFgam /
   guṇakartṛtve 'pi tathā karteva bhavatyudāsīnaḥ // ISk_20 //	guNa-kartR-tve api taTA kartA-iva Bavati-udAsInaH // ISc-_20 //
   iha puruṣaścetanākṛt tena cetanāvabhāsaṃ yuktaṃ mahadādiliṅgaṃ	iha puruzaH-cetanA-kRt tena cetanA-avaBAsam yuktam mahat-Adi-liFgam
   cetanāvadiva bhavati yathā loke ghaṭāḥ śītasaṃyuktaḥ śīta uṣṇasaṃyukta	cetanAvat-iva Bavati yaTA loke GawAH SIta-saMyuktaH SItaH uzNa-saMyukta
   uṣṇa evaṃ mahadādi liṅgaṃ tasya saṃyogāt puruṣasaṃyogāccetanāvadiva	uzNaH evam mahat-Adi liFgam tasya saMyogAt puruza-saMyogAt-cetanA-vat-iva
   bhavati tasmādguṇā adhyavasāyaṃ kurvanti na puruṣaḥ / yadyapi loke puruṣaḥ	Bavati tasmAt-guNAH aDyavasAyam kurvanti na puruzaH / yadi-api loke puruzaH
   karttā gaṃtetyādi prayujyate tathāpyakarttā puruṣaḥ kathaṃ guṇakarttṛtve	karttA gaMtA-ityAdi prayujyate taTA-api-akarttA puruzaH kaTam guNa-karttR-tve
   ca tathā kartteva bhavatyudāsīno guṇānāṃ karttṛtve sati udāsīno 'pi	ca taTA karttA-iva Bavati-udAsInaH guNAnAm karttR-tve sati udAsInaH api
