   brahmasūtraśāṅkarabhāṣyam	brahmasUtra SAFkara BAzyam
   sato jīvataḥ /	sataH jIvataH /
   nanu pūrvaṃ nirastaṃ pradhānaṃ kathamutthāpyate, tatrāha apiceti /	nanu pUrvam nirastam praDAnam kaTam utTApyate, tatra Aha apicA iti /
   atra pradhāne virudhyamāno 'saṃbhāvito vākyaśeṣaḥ śruta iti śaṅkate nanu	atra praDAne viruDyamAnaH asaMBAvitaH vAkya SezaH SrutaH iti SaFkate nanu
   ya iti /	yaH iti /
   pañcamyantākṣaraśrutyā bhūtaprakṛteḥ	paQcamI anta akzara SrutyAH BUta prakRteH
   pratyabhijñānātprathamāntaparaśabdoktasya jagannimitteśvarasya	pratyaBijQAnAt praTama anta para Sabda uktasya jagat nimitta ISvarasya
   sarvajñatvādikamityāha atrocyata iti /	sarvajQa tva Adikam iti Aha atra ucyate iti /
   'saṃdigdhe tu vākyaśeṣāt'iti nyāyena siddhāntayati evaṃ prāpta iti /	asaMdigDe tu vAkya SezAt aiti nyAyena sidDAntayati evam prAptaH iti /
   cetanācetanatvena saṃdigdhe bhūtayonau 'yaḥ sarvajñaḥ'iti	cetana acetana tvena saMdigDe BUta yonO ayaH sarvajQaH aiti
   vākyaśeṣādīśvaratvanirṇaya ityayuktaṃ, vākyaśeṣe bhūtayoneḥ	vAkya SezAt ISvara tva nirNayaH iti ayuktaM, vAkya Seze BUta yoneH
   pratyabhijñāpakābhāvāditi śaṅkate nanviti /	pratyaBijQApaka aBAvAt iti SaFkate nanu iti /
   'janikartṛḥ prakṛtiḥ'iti sūtreṇa prakṛterapādānasaṃjñāyāṃ	ajanikartRH prakRtiH aiti sUtreNa prakRteH apAdAna saMjQAyAm
   pañcamīsmaraṇādakṣarātsaṃbhavatīti prakṛtitvenoktākṣarasya	paQcamI smaraNAt akzarAt saMBavati iti prakRti tvena ukta akzarasya
   bhūtayonirvākyaśeṣe tasmāditi prakṛtitvaliṅgena pratyabhijñānamastīti	BUta yoniH vAkya Seze tasmAt iti prakRti tva liFgena pratyaBijQAnam asti iti
   samādhatte atrocyata iti /	samADatte atra ucyate iti /
   etatkāryaṃ brahma sūkṣmātmakaṃ nāma rūpaṃ, sthūlaṃ tato 'nnaṃ	etat kAryam brahma sUkzma Atmakam nAma rUpaM, sTUlam tatas annam
   vrīhyādītyarthaḥ /	vrIhi Adi iti arTaH /
   yaduktaṃ pañcamyantākṣaraśrutyā bhūtayoneḥ pratyabhijñānadacetanatvamiti,	yat uktam paQcamI anta akzara SrutyA BUta yoneH pratyaBijQAna dacetana tvam iti,
   tatrāha akṣarātparata iti /	tatra aha akzarAt paratas iti /
   nāyamakṣaraśabdo bhūtayoniṃ parāmṛśati,	na ayam akzara SabdaH BUta yonim parAmRSati,
   paravidyādhigamyatvenoktasyākṣarasya bhūtayoneḥ 'akṣaraṃ puruṣaṃ	para vidyA aDigamya tvena uktasya akzarasya BUta yoneH aakzaram puruzam
   vedā'ityakṣaraśrutyā vedyatvaliṅgavatyā pūrvameva brahmatvena	vedAH aiti akzara SrutyA vedya tva liFgavatyA pUrvam eva brahma tvena
   parāmarśādityāha yeneti /	parAmarSa At iti Aha yena iti /
   yena jñānenākṣaraṃ bhūtayoniṃ sarvajñaṃ puruṣaṃ veda tāṃ brahmavidyāṃ	yena jQAnena akzaram BUta yonim sarvajQam puruzam veda tAm brahma vidyAm
   yogyāya śiṣyāya prabrūyādityupakramya 'aprāṇo hyamanāḥ śubhraḥ'	yogyAya SizyAya prabrUyAt iti upakramya aaprANaH hi amanAH SuBraH a
   'akṣarātparataḥ paraḥ'ityucyamānaḥ paro bhūtayoniriti gamyata ityarthaḥ /	aakzarAt paratas paraH aiti ucyamAnaH paraH BUta yoniH iti gamyate iti arTaH /
   tarhi pañcamyantākṣaraśabdārthaḥ ka ityāśaṅkyājñānamiti vakṣyata	tarhi paQcamI anta akzara Sabda arTaH kaH iti ASaFkya ajQAnam iti vakzyata
   ityāha kathamiti /	iti Aha kaTam iti /
   paravidyeti samākhyayāpi tadviṣayasya brahmatvamityāha apiceti /	para vidyA iti samAKyayA api tad vizayasya brahma tvam iti Aha apicA iti /
   nanu pradhānavidyāpi kāraṇaviṣayatvātparetyata āha parāparavibhāgo iti /	nanu praDAna vidyA api kAraNa vizaya tvAt para iti atas Aha para apara viBAgaH iti /
   anityaphalatvenāparavidyāṃ ninditvā muktyarthine brahmavidyāṃ provāceti	anitya Pala tvena apara vidyAm ninditvA mukti arTine brahma vidyAm provAca iti
   vākyaśeṣokterityarthaḥ /	vAkya Seza ukteH iti arTaH /
   astu pradhānavidyāpi muktiphalatvena paretyata āha naceti /	astu praDAna vidyA api mukti Pala tvena para iti atas Aha naca iti /
   nanu 'yaḥ sarvajñaḥ'ityagre paravidyāviṣaya ucyate, adreśyavākyena tu	nanu ayaH sarvajQaH aiti agre para vidyA vizayaH ucyate, adreSya vAkyena tu
   pradhānavidyocyata ityata āha tisraśceti /	praDAna vidyA ucyate iti atas Aha tisraH ca iti /
   itaśca bhūtayonerbrahmatvamityāha kasminniti /	itas ca BUtayoneH brahma tvam iti Aha  kasmin= iti /
   acetanamātrasyaikāyatanamupādānaṃ tajjñānātkāryajñāne 'pi	acetana mAtrasya eka Ayatanam upAdAnam tad jQAnAt kArya jQAne api
   tadakāryāṇāmātmanāṃ jñānaṃ na bhavati /	tad akAryANAm AtmanAm jQAnam na Bavati /
   evaṃ jīve jñāte tadakāryasya bhogyasya jñānaṃ na bhavatītyarthaḥ /	evam jIve jQAte tat akAryasya Bogyasya jQAnam na Bavati iti arTaH /
   brahmavidyāśabdācca bhūtayonirbrahmetyāha apiceti /	brahma vidyA SabdAt ca BUtayoniH brahma iti Aha a picA iti /
   sa brahmavidyāṃ sarvavidyānāṃ pratiṣṭhāṃ samāptibhūmiṃ brahmavidyāmuvāca /	sa brahma vidyAm sarva vidyAnAm pratizWAm samApti BUmim brahma vidyAm uvAca /
   brahmaṇi sarvavidyānāṃ vidyāphalānāṃ cāntarbhāvādbrahmavidyā	brahmaNi sarva vidyAnAm vidyA PalAnAm ca antarBAvAt brahma vidyA
   sarvavidyāpratiṣṭhā /	sarva vidyA pratizWA /
   nanvaparavidyā paraprakaraṇe kimarthamuktetyata āha apareti /	nanu aparavidyA para prakaraNe kim arTam uktA iti atas Aha a para iti /
   plavante gacchantīti plavā vināśinaḥ, adṛḍhānityaphalasaṃpādanāśaktāḥ,	plavante gacCanti iti plavAH vinASinaH, adRXa anitya Pala saMpAdana aSaktAH,
   ṣoḍaśartvijaḥ patnīyajamānaścetyaṣṭādaśa /	zoxaSa RtvijaH patnI yajamAnaH ca iti azwAdaSa /
   yajñena nāmanimittena nirūpyanta iti yajñarūpāḥ /	yajQena nAma nimittena nirUpyantaH iti yajQa rUpAH /
   tathāhi ṛtuṣu yācayanti yajñaṃ kārayantītyṛtvijaḥ, yajata iti yajamānaḥ,	taTA hi Rtuzu yAcayanti yajQam kArayanti iti RtvijaH, yajate iti yajamAnaH,
   'patyurno yajñasaṃyoge'iti sūtreṇa patiśabdasya nakāro 'ntādeśo	apatyuH naH yajQa saMyoge aiti sUtreNa pati Sabdasya nakAraH anta AdeSaH 
   yajñasaṃbandhe vihita iti patnī, evamṛtvigādināmapravṛttinimittaṃ yajña	yajQa saMbanDe vihitaH iti patnI, evam Rtvij Adi nAma pravRtti nimittam yajQa
   iti yajñarūpāḥ /	iti yajQa rUpAH /
   yeṣvavaramanityaphalakaṃ karma śrutyuktaṃ, etadeva karma śreyo	yezu avarama nitya Palakam karma Sruti uktan, etat eva karma SreyaH 
   nānyadātmajñānamiti ye mūḍhāstuṣyanti te punaḥ	na anyat Atma jQAnam iti ye mUXAH tuzyanti te punar 
   punarjanmamaraṇamāpnuvantītyarthaḥ /	punar janma maraNam Apnuvanti iti arTaH /
   tadvijñānārthaṃ brahmavijñānārthaṃ gurumabhigacchedeveti niyamaḥ /	tad vijQAna arTam brahma vijQAna arTam gurum aBigacCet eva iti niyamaH /
   brahmaniṣṭhasyāpyanadhītavedasya gurutvaṃ vārayati śrotriyamiti /	brahma nizWasya api anaDIta vedasya guru tvam vArayati  Srotriyam iti /
   kāryamupādānābhinnamityaṃśe dṛṣṭāntaḥ /	kAryam upAdAna aBinnam iti aMSe dRzwAntaH /
   sarvasāmye tathāpyaniṣṭāpatterityāha apica sthūlā iti //21//	sarva sAmye taTA api anizwa ApatteH iti Aha  apica sTUlAH iti //21//
   END BsRp_1,2.6.21	END BsRp _1,2.6.21
   START BsRp_1,2.6.22	START BsRp _1,2.6.22
   viśeṣaṇabhedavyapadeśābhyāṃ ca netarau | BBs_1,2.22 |	viSezaNa Beda vyapadeSAByAm ca na itarO | BBH _1,2.22 |
   viśeṣaṇānna jīvo bhedokterna pradhānamiti hetudvayaṃ vibhajya	viSezaNAt na jIvaH Beda ukteH na praDAnam iti hetu dvayam viBajya
   vyācaṣṭe viśinaṣṭi hītyādinā /	vyAcazwe  viSinazwi hi ityAdinA /
   divyo dyotanātmakaḥ svayañjyotiḥ, amūrtaḥ pūrṇaḥ, puruṣaḥ puriśayaḥ	divyaH dyotana AtmakaH svayan jyotiH, amUrtaH pUrNaH, puruzaH puriSayaH
   pratyagātmā, bāhyaṃ sthūlamābhyantaraṃ kāraṇaṃ sūkṣmaṃ tābhyāṃ	pratyagAtmA, bAhyam sTUlam AByantaram kAraNam sUkzmam tAByAm
   sahādhiṣṭhānatvena tiṣṭhatīti sabāhyābhyantaraḥ, hi tathā śrutiṣu	saha aDizWAna tvena tizWati iti sa bAhya aByantaraH, hi taTA Srutizu
   prasiddha ityarthaḥ /	prasidDaH iti arTaH /
   avidyākṛtaṃ nāmarūpātmakaṃ śarīraṃ tena paricchedo 'lpatvam /	avidyA akRtam nAma rUpa Atmakam SarIram tena paricCedaH alpa tvam /
   tasya śarīrasya dharmājjāḍyamūrtatvādīnityarthaḥ /	tasya SarIrasya DarmAt jAxya mUrta tva AdIn iti arTaH /
   nanvakṣaraśabdena pradhānoktāvaśabdatvaṃ pradhānasya pratijñātaṃ bādhyeta,	nanu akzara Sabdena praDAna ukta a= aSabda tvam praDAnasya pratijQAtam bADyeta,
   tatrāha akṣaramavyākṛtamiti /	tatra aha akzaram avyAkRtam iti /
   aśnoti vyāpnoti svavikārajātamityakṣaram /	aSnoti vyApnoti sva vikAra jAtam iti akzaram /
   avyākṛtamavyaktam /	avyAkRtam avyaktam /
   anādīti yāvat /	anAdi iti yAvat /
   nāmarāpayorbījamīśvaraḥ tasya śaktirūpam /	na amarApayoH bIjam ISvaraH tasya Sakti rUpam /
   paratantratvādupādānamapi śaktirityuktam /	paratantra tvAt upAdAnam api SaktiH iti uktam /
   bhūtānāṃ sūkṣmāḥ saṃskārā yatra tadbhūtasūkṣmaṃ īśvaraścinmātra āśrayo	BUtAnAm sUkzmAH saMskArAH yatra tad BUta sUkzmam ISvaraH cit mA atraH ASrayaH 
   yasya tattathā /	yasya tat taTA /
   tasyaiva cinmātrasya jīveśvarabhedopādhibhūtam /	tasya eva cit mAtrasya jIva ISvara Beda upADi BUtam /
   yattu īśvara āśrayo viṣayo yasyeti nānājīvavādināṃ vyākhyānaṃ	yat tu ISvaraH ASrayaH vizayaH yasya iti nAnA jIva vAdinAm vyAKyAnam
   tadbāṣyabahirbhūtaṃ, 'etasminkhalvakṣare gārgi ākāśa otaśca	tad bAzya bahis BUtaM, aetasmin Kalu akzare gArgi AkASaH otaH ca
   protaśca'ityotaprotabhāvenāvyākṛtasya	protaH ca aityota prota BAvena avyAkRtasya
   cidāśrayatvaśruterāśrayapadalakṣaṇāyā nirmūlatvāt /	cit ASraya tva SruteH ASraya pada lakzaNAyAH nirmUla tvAt /
   nahi mūlaprakṛterbhede kiñcinmānamasti /	na hi mUlaprakRteH Bede kiQcid mAnam asti /
   naca 'indro māyābhiḥ'iti śrutirmānaṃ, 'ajāmekām'ityādyanekaśrutibalena	na ca aindraH mAyABiH aiti SrutiH mAnaM, aajAm ekAm aitya Adi aneka Sruti balena
   lāghavatarkasahāyena tasyāḥ śruterbuddhibhedena māyābhedānuvāditvāt /	lAGava tarka sahAyena tasyAH SruteH budDi Bedena mAyA Beda anuvAdi tvAt /
   taduktaṃ sureśvarācāryaiḥ 'svatastvavidyābhedo 'tra manāgapi na	tat uktam sura ISvara AcAryEH  asvataH tu avidyA BedaH atra manAk api na
   vidyate'iti /	vidyate aiti /
   sāṃkhyayogācāryāḥ purāṇetihāsakartāraśca mūlaprakṛtyaikyaṃ vadanti /	sAMKya yoga AcAryAH purANa itihAsa kartAraH ca mUlaprakRti a Ekyam vadanti /
   nanvavidyaikye bandhamuktivyavasthā katham /	nanu avidya Ekye banDa mukti vyavasTA kaTam /
   naca vyavasthā nāstīti vācyaṃ, śravaṇe pravṛttyādibādhāpatāditi cet,	na ca vyavasTA na asti iti vAcyaM, SravaNe pravRtti Adi bADa ApatAt iti ced ,
   ucyate ye hyavidyānānātvamicchanti tairapi pariṇāmitvena sāṃśatvamavidyāyā	ucyate ye hi avidyA nAnAtvam icCanti tEH api pariNAmi tvena sa aMSa tvam avidyAyAH 
   aṅgīkāryaṃ, tathā cānarthātmakasvīyasaṃghātātmanā	aFgIkAryan, taTA ca anarTa Atmaka svIya saMGAta AtmanA
   pariṇatāvidyāṃśopahitajīvabhedādvyavasthā sidhyati /	pariNata avidyA aMSa upahita jIva BedAt vyavasTA siDyati /
   yasya jñānamantaḥkaraṇe jāyate tasyāntaḥ karaṇapariṇāmyajñānāṃśanaśo	yasya jQAnam antaHkaraNe jAyate tasya antar karaNa pariNAmya jQAna aMSanaSo
   muktiriti /	muktiH iti /
   evaṃ ca śrotuḥ svarūpānandaprāptiḥ, śravaṇādo pravṛttiḥ, vidvadanubhavaḥ,	evam ca SrotuH svarUpa Ananda prAptiH, SravaNa AdaH pravRttiH, vidvat anuBavaH,
   jīvanmuktiśāstraṃ ceti sarvamabādhitaṃ bhavati /	jIvanmukti SAstram ca iti sarvam abADitam Bavati /
   nacaivaṃ nānājīvapakṣādaviśeṣaḥ, mūlaprakṛtinānātvābhāvādityalam /	na ca evam nAnA jIva pakzAt aviSezaH, mUlaprakRti nAnAtva aBAvAt iti alam /
   paratvehetuḥ avikāra iti /	paratvehetuH a vikAraH iti /
   nanu sūtrakṛtā śrutau pradhānādbhedavyapadeśa uktastatra	nanu sUtra kRtA SrutO praDAnAt Beda vyapadeSaH uktaH tatra
   kathamajñānādbhedoktirvyākhyāyate, tatrāha nātreti /	kaTam ajQAnAt Beda uktiH vyAKyAyate, tatra aha na atra iti /
   kāryātmanā pradhīyata iti pradhānamajñānameva /	kArya AtmanA praDIyate iti praDAnam ajQAnam eva /
   tato 'nyasyāpramāṇikatvādityarthaḥ /	tatas anyasya apramANika tvAt iti arTaH /
   ato 'trājñānameva bhūtayoniriti pūrvapakṣaṃ kṛtvā nirasyate /	atas atra ajQAnam eva BUta yoniH iti pUrva pakzam kRtvA nirasyate /
   tannirāsenārthātsāṃkhyākalpitapradhānanirāsa iti mantavyam //22//	tad nirAsena arTAt sAMKyA kalpita praDAna nirAsaH iti mantavyam //22//
   END BsRp_1,2.6.22	END BsRp _1,2.6.22
   START BsRp_1,2.6.23	START BsRp _1,2.6.23
   rūpopanyāsāc ca | BBs_1,2.23 |	rUpa upanyAsAt ca | BBH _1,2.23 |
   vṛttikṛnmatenādau sūtraṃ vyācaṣṭe apicetyādinā /	vRtti kRt matena AdO sUtram vyAcazwe a picA ityAdinA /
   'prāṇo manaḥ sarvendriyāṇi ca khaṃ vāyurjyotirāpaḥ pṛthivī'iti śrutiḥ /	aprANaH manaH sarva indriyANi ca Kam vAyuH jyotiH ApaH pRTivI aiti SrutiH /
   agnirdhulokaḥ, 'asau vāva loko gautamāgniḥ'iti śruteḥ /	agniH Du lokaH, aasO vAva lokaH gOtama agniH aiti SruteH /
   vivṛtā vedāḥ vāgityanvayaḥ /	vivRtAH vedAH vAc iti anvayaH /
   padbhyāṃ pādāvityarthaḥ /	padByAm pAdO= iti arTaH /
   yasyedaṃ rūpaṃ sa eṣa sarvaprāṇināmantarātmetyartha /	yasya idam rUpam saH eza sarva prANinAm antara AtmA iti arTa /
   tanumahimna iti /	tanu mahimnaH iti /
   alpaśakterityarthaḥ /	alpa SakteH iti arTaH /
   yathā kaścibrahmavitsvasya sarvātmatvaprakaṭanārthamahamannamiti sāma	yaTA kaScibrahma vid svasya sarva Atma tva prakawana arTam aham annam iti sAma
   gāyati na tvannatvādikamātmano vivakṣati, aphalatvāt,	gAyati na tu anna tva Adikam AtmanaH vivakzati, aPala tvAt,
   tathehāpītyāha ahamannamiti /	taTA iha api iti Aha  aham annam iti /
   vṛttikṛdvyākhyāṃ dūṣayati anye punariti /	vRtti kRt vyAKyAm dUza yati  anye punar iti /
   eṣa sarvabhūtāntarātmā sūtrātmā etasmādbhūtayonerjāyata iti śrutyanvayena	eza sarva BUta antarAtmA sUtra AtmA etasmAt BUtayoneH jAyate iti Sruti anvayena
   hiraṇyagarbhasyātra jāyamānatvenopanyāsādityarthaḥ /	hiraNyagarBasya atra jAyamAna tvena upanyAsAt iti arTaH /
   niradikṣadavocadityarthaḥ /	niradikzat avocat iti arTaH /
   agnirdyuloko yasya, yasya samidrūpaḥ sūryaḥ so	agniH dyu lokaH yasya, yasya samiD rUpaH sUryaH saH 
   'pidyulokāgnistasmādajāyatetyarthaḥ /	api dyu loka agniH tasmAt ajAyata iti arTaH /
   'tasmāditya eva samit'iti śrutyantarāt /	atasmAt ityaH eva samit aiti Sruti antarAt /
   ato madhye 'pi sṛṣṭireva vācyā na rūpamiti bhāvaḥ /	atas maDye api sRzwiH eva vAcyA na rUpam iti BAvaH /
   yaduktam 'agnirmūrdhā'ityatra bhūtayoneḥ sarvātmatvaṃ vivakṣitamiti,	yat uktam aagniH mUrDA aiti atra BUta yoneH sarva Atma tvam vivakzitam iti,
   tatretyāha sarvātmatvamapīti /	tatra iti Aha  sarva Atma tvam api iti /
   nanu hiraṇyagarbhasya janmānyatrānuktaṃ kathamatra vaktavyaṃ,	nanu hiraNyagarBasya janmAnyatra anuktam kaTam atra vaktavyaM,
   tatrāha śrutīti /	tatra aha  Sruti iti /
   agre samavartata jātaḥ sanbhūtagrāmasyaikaḥ patirīśvaraprasādādabhavat /	agre samavartata jAtaH san BUta grAmasya ekaH patiH ISvara prasAdAt aBavat /
   sa sūtrātmā dyāmimāṃ pṛthivīṃ ca sthūlaṃ sarvamadhārayat /	sa sUtra AtmA dyAm imAm pRTivIm ca sTUlam sarvam aDArayat /
   kaśabdasya prajāpatisaṃjñātve sarvanāmatvābhāvena smā	ka Sabdasya prajApati saMjQA tve sarva nAma tva aBAvena smA
   ityayogādekāralopenaikasmai devāya prāṇātmane haviṣā vidhema paricaremeti	iti ayogAt ekAra lopena ekasmE devAya prANa Atmane havizA viDema paricarema iti
   vyākhyeyaṃ, 'katama eko deva iti prāṇaḥ'iti śruteḥ /	vyAKyeyan, akatamaH ekaH devaH iti prANaH aiti SruteH /
   yadvā yasmādayaṃ jātastasmā ekasmai devāyetyarthaḥ, 'eko devaḥ	yat vA yasmAt ayam jAtaH tasmE ekasmE devAya iti arTaH, aekaH devaH
   sarvabhūteṣu gūḍhaḥ'iti śrutyantarāt /	sarva BUtezu gUXaH aiti Sruti antarAt /
   nanu tasya bhūtāntarātmatvaṃ kathaṃ, tatrāha vikāreti /	nanu tasya BUta antarAtma tvam kaTaM, tatra aha vikArA iti /
   pūrvakalpe prakṛṣṭopāsanākarmasamuccayānuṣṭhānadasminkalpe	pUrva kalpe prakRzwa upAsana akarma samuccaya anuzWAna dasmin kalpe
   sarvaprāṇivyaṣṭiliṅgānāṃ vyāpakaṃ sarvaprāṇyantargataṃ	sarva prANi vyazwi liFgAnAm vyApakam sarva prANi antargatam
   jñānakarmendriyaprāṇātmakaṃ samaṣṭiliṅgaśarīraṃ jāyate tadrūpasya	jQAna karmendriya prANa Atmakam samazwi liFga SarIram jAyate tad rUpasya
   sūtrātmanaḥ sarvabhūtāntarātmatvaṃ yuktamityarthaḥ /	sUtra AtmanaH sarva BUta antarAtma tvam yuktam iti arTaH /
   svapakṣe sūtrārthamāha asminpakṣa iti /	sva pakze sUtra arTam Aha asmin pakzaH iti /
   karma saphalaṃ sarvaṃ śrautasmārtādikaṃ tapaśca puruṣa eveti	karma saPalam sarvam SrOta smArta Adikam tapaH ca puruzaH eva iti
   sarvāntaratvarūpopanyāsācca bhūtayonau jñeye vākyaṃ samanvitamityarthaḥ	sarva antara tva rUpa upanyAsAt ca BUta yonO jQeye vAkyam samanvitam iti arTaH
   END BsRp_1,2.6.23	END BsRp _1,2.6.23
   START BsRp_1,2.7.24	START BsRp _1,2.7.24
   vaiśvānaraḥ sādhāraṇaśabdaviśeṣāt | BBs_1,2.24 |	vESvAnaraH sADAraNa Sabda viSezAt | BBH _1,2.24 |
   vaiśvānaraḥ /	vESvAnaraH /
   chāndogyamudāharati ko na iti /	CAndogyam udAharati kaH naH iti /
   prācīnaśālasatyayajñendradyumnajanabuḍilā militvā mīmāṃsāṃ cakruḥ 'ko na	prAcIna SAla satya yajQa indradyumna jana buxilAH militvA mImAMsAm cakruH  akaH na
   ātmā kiṃ brahma'iti /	AtmA kim brahma aiti /
   ātmaiva brahmeti jñāpanārthaṃ padadvayam /	AtmA eva brahma iti jQApana arTam pada dvayam /
   te pañcāpi niścayārthamuddālakamājagmuḥ /	te paQca api niScaya arTam uddAlakam AjagmuH /
   so 'pi samyaṅna vedeti tenoddālakena saha ṣaḍapyaśvapatiṃ kaikeyaṃ	saH api samyak na veda iti tena uddAlakena saha zaz api aSva patim kEkeyam
   rājānamāgatyocuḥ ātmānamiti /	rAjAnam Agatya UcuH AtmAnam iti /
   adhyeṣi smarasi tameva no brūhīti /	aDyezi smarasi tam eva naH brUhi iti /
   rājā tu teṣāṃ bhrāntinirāsārthaṃ tānpratyekamapṛcchat 'kaṃ	rAjA tu tezAm BrAnti nirAsa arTam tAn pratyekam apRcCat  akam
   tvamātmānamupāḥse'iti /	tvam AtmAnam upAHse aiti /
   te ca prācīnaśālādayaḥ krameṇa pratyekamūcuḥ divamevāhaṃ vaiśvānaraṃ vedmi	te ca prAcIna SAla AdayaH krameNa pratyekam UcuH divam eva aham vESvAnaram vedmi
   ādityamevāhaṃ vedmi /	Adityam eva aham vedmi /
   vāyumeva /	vAyum eva /
   ākāśameva /	AkASam eva /
   apa eva /	apaH eva /
   pṛthivīmevāhaṃ vedmīti /	pRTivIm eva aham vedmi iti /
   tato rājā dyusūryādīnāṃ ṣaṇṇāṃ yathākrameṇa	tatas rAjA dyu sUrya AdInAm zaNNAm yaTAkrameNa
   sutejastvaviśvarūpatvapṛthagvartmātmatvabahulatvarayitvapratiṣṭhātvaguṇānvidhāya	su tejaH tu aviSva rUpa tva pRTak vartma Atma tva bahula tvarayitva pratizWAtu a guNAn viDAya
   bhavanto yadi māmapṛṣṭvā dyusūryādiṣu bhagavato vaiśvānarasyāṅgeṣveva	BavantaH yadi mAm apRzwvA dyu sUrya Adizu BagavataH vESvAnarasya aFgezu eva
   pratyekaṃ vaiśvānaratvadṛṣṭayo bhaveyustadā krameṇa	pratyekam vESvAnara tva dRzwayaH BaveyuH tadA krameNa
   mūrdhapātāndhatvapramāṇotkramaṇadehaviśīrṇatvabastibhedapādaśoṣā bhavatāṃ	mUrDa pAta anDa tva pramANa utkramaNa deha viSIrNa tva basti Beda pAda SozAH BavatAm
   syuriti pratyekopāsanaṃ ninditvā,	syuH iti pratyeka upAsanam ninditvA,
   sutejastvaguṇako dyuloko 'syātmano vaiśvānarasya mūrdhā,	su tejaH tu aguNakaH dyulokaH asya AtmanaH vESvAnarasya mUrDA,
   viśvarūpatvaguṇakaḥ sūryo 'sya cakṣurityevaṃ dyusūryādīnāṃ	viSvarUpa tva guNakaH sUryaH asya cakzuH iti evam dyu sUrya AdInAm
   mūrdhādibhāvamupadiśya samastavaiśvānaradhyānavidhirāmnāyate yastvetamiti	mUrDa Adi BAvam upadiSya samasta vESvAnara DyAna viDirAmnAyate yaH tu etam iti
   ābhimukhyenāparokṣatayā viśvaṃ mimīte jānātītyabhivimānaḥ /	ABimuKyena aparokza tayA viSvam mimIte jAnAti iti aBivimAnaH /
   taṃ sarvajñaṃ sa tadupāsakaḥ sarvatra bhogaṃ bhuṅkta ityarthaḥ /	tam sarvajQam sa tad upAsakaH sarvatra Bogam BuFkte iti arTaH /
   lokā bhūrādayaḥ, bhūtāni śarīrāṇi, ātmāno jīvā iti bhedaḥ /	lokAH BUH AdayaH, BUtAni SarIrANi, AtmAnaH jIvAH iti BedaH /
   suṣṭhu tejaḥ kāntiryasya dyulokasya sa sutejāḥ /	suzWu tejaH kAntiH yasya dyulokasya sa su tejAH /
   viśvāni rūpāṇyasya sūryasya, 'eṣa śukla eṣa nīlaḥ'iti śruteḥ /	viSvAni rUpANi asya sUryasya, aeza SuklaH eza nIlaH aiti SruteH /
   pṛthak nānāvidhaṃ vartma gamanaṃ ātmā svabhāvo yasya vāyoḥ sa	pRTak nAnAviDam vartma gamanam AtmA svaBAvaH yasya vAyoH sa
   nānāgatitvaguṇako 'sya prāṇaḥ /	nAnAgati tva guNakaH asya prANaH /
   bahulatvaṃ vyāpitvaṃ tadguṇa ākāśo 'sya saṃdeho dehamadhyam /	bahula tvam vyApi tvam tad guNaH AkASaH asya saMdehaH deha maDyam /
   rayitvaṃ dhanatvaṃ tadguṇā āpo yasya bastirmūtrasthānam /	rayitvam Dana tvam tad guNAH ApaH yasya bastiH mUtra sTAnam /
   pratiṣṭhātvaguṇā pṛthivī tasya pādau /	pratizWAtu a guNA pRTivI tasya pAdO /
   tasya homādhāratvaṃ saṃpādayati ura evetyādinā /	tasya homa ADAra tvam saMpAdayati  uraH eva ityAdinA /
   pūrvamupakramasthādṛśyatvādisādhāraṇadharmasya	pUrvam upakrama sTAdRSya tva Adi sADAraNa Darmasya
   vākyaśeṣasthasarvajñātvādiliṅgena brahmaniṣṭhatvamuktaṃ,	vAkya Seza sTa sarvajQAtvA Adi liFgena brahma nizWa tvam uktaM,
   tadvadatrāpyupakramasthasādhāraṇavaiśvānaraśabdasya	tadvat atra api upakrama sTa sADAraNa vESvAnara Sabdasya
   vākyaśeṣasthahomādhāratvaliṅgena jāṭharaniṣṭhatvamiti dṛṣṭāntena	vAkya Seza sTa homa ADAra tva liFgena jAWara nizWa tvam iti dRzwAntena
   pūrvapakṣayati kintāvadityādinā /	pUrva pakzayati kintA vat ityAdinA /
   pūrvottarapakṣayorjāṭharabrahmaṇordhyānaṃ phalam /	pUrva uttara pakzayoH jAWara brahmaNoH DyAnam Palam /
   yadadyate tadannaṃ, yena pacyate so 'yaṃ puruṣaśarīre 'ntarastītyarthaḥ /	yat adyate tad annaM, yena pacyate saH ayam puruza SarIre antarasti iti arTaH /
   pakṣāntaramāha agnimātraṃ veti /	pakza antara m Aha agni mAtram vA iti /
   viśvasmai bhuvanāya vaiśvānaramagnimahnāṃ ketuṃ cihnaṃ sūryaṃ devā akṛṇvan	viSvasmE BuvanAya vESvAnaram agni mahnAm ketum cihnam sUryam devAH akRNvan
   kṛtavantaḥ /	kRtavantaH /
   sūryodaye dinavyavahārādityarthaḥ /	sUrya udaye dina vyavahArAt iti arTaH /
   syādvaiśvānara ityanuṣaṅgaḥ /	syAt vESvAnaraH iti anuzaFgaH /
   hi yasmātkaṃ sukhaprado bhuvanānāṃ rājā vaiśvānaro 'bhimukhā	hi yasmAt kam suKa pradaH BuvanAnAm rAjA vESvAnaraH aBimuKA
