   Abhidharmakośabhāṣyam	ABiDarma-koSa-BAzyam
   aśvakarṇo vinitako nimindharagiriḥ tataḥ /	aSvakarNaH vinitakaH niminDara-giriH tatas /
   dvīpāḥ bahiścakravāḍaḥ sapta haimāḥ sa āyasaḥ // VAkK_3.49 //	dvIpAH bahis-cakravAxaH sapta hEmAH saH AyasaH // VAkK_3.49 //
   catūratnamayo meruḥ jale 'śītisahasrake /	catU-ratna-mayaH meruH jale aSIti-sahasrake /
   magnāḥ ūrdhva jalāt merurbhūyo 'śītisahasrakaḥ // VAkK_3.50 //	magnAH UrDva jalAt meruH-BUyas aSIti-sahasrakaH // VAkK_3.50 //
   ardhārdhahāniraṣṭāsu samocchrāyaghanāśca te /	arDa-arDa-hAniH-azwAsu sama-ucCrAya-GanAH-ca te /
   śītāḥ saptāntarāṇyeṣāṃ ādyāśītisahasrikā // VAkK_3.51 //	SItAH sapta-antarANi-ezAm Adya-aSIti-sahasrikA // VAkK_3.51 //
   ābhyantaraḥ samudro 'sau triguṇaḥ sa tu pārśvataḥ /	AByantaraH samudraH asO triguNaH sa tu pArSvatas /
   ardhārdhenāparāḥ śītāḥ śeṣaṃ bāhyo mahodadheḥ // VAkK_3.52 //	arDa-arDena-aparAH SItAH Sezam bAhyaH mahodaDeH // VAkK_3.52 //
   lakṣatrayaṃ sahasrāṇi viṃśatirdve ca tatra tu /	lakza-trayam sahasrANi viMSatiH-dve ca tatra tu /
   jambūdvīpo dvisāhasrastripārśvaḥ śakaṭākṛtiḥ // VAkK_3.53 //	jambUdvIpaH dvi-sAhasraH-tri-pArSvaH Sakawa-AkRtiH // VAkK_3.53 //
   sārdhatriyojanaṃ tvekaṃ prāgvideho 'rdhacandravat /	sArDa-tri-yojanam tu-ekam prAc-videhaH arDacandra-vat /
   pārśvatrayaṃ tathāsya ekaṃ sārdhaṃ triśatayojanam // VAkK_3.54 //	pArSva-trayam taTA-asya ekam sArDam tri-Sata-yojanam // VAkK_3.54 //
   godānīyaḥ sahasrāṇi sapta sārdhāni maṇḍalaḥ /	godAnIyaH sahasrANi sapta sArDAni maNxalaH /
   sārdhe dve madhyamasya aṣṭau caturasraḥ kuruḥ samaḥ // VAkK_3.55 //	sArDe dve maDyamasya azwO caturasraH kuruH samaH // VAkK_3.55 //
   dehā videhāḥ kuravaḥ kauravāścāmarāvarāḥ /	dehAH videhAH kuravaH kOravAH-ca-amara-avarAH /
   aṣṭau tadantaradvīpā gāṭhā uttaramantriṇaḥ // VAkK_3.56 //	azwO tad-antaradvIpAH gAWAH uttara-mantriNaH // VAkK_3.56 //
   ihottareṇa kīṭādri navakāddhimavān tataḥ /	iha-uttareNa kIwa-adri navakAt-himavAn tatas /
   pañcāśadvistṛtāyāmaṃ saro 'rvāggandhamādanāt // VAkK_3.57 //	paQcASat-vistRta-AyAmam saraH arvAc-ganDamAdanAt // VAkK_3.57 //
   adhaḥ sahasrairviśatyā tanmātro 'vīcirasya hi /	aDas sahasrEH-viSatyA tanmAtraH avIcirasya hi /
   tadūrdhvaṃ sapta narakāḥ sarve 'ṣṭau ṣoḍaśotsadāḥ // VAkK_3.58 //	tad-UrDvam sapta narakAH sarve azwO zoxaSa-utsadAH // VAkK_3.58 //
   kukūlaṃ kuṇapaṃ cātha kṣuramārgādikaṃ nadī /	kukUlam kuNapam ca-aTa kzura-mArga-Adikam nadI /
   teṣāṃ caturdiśaṃ śītā anye 'ṣṭāvarvudādayaḥ // VAkK_3.59 //	tezAm caturdiSam SItAH anye azwA=-aru-udAdayaH // VAkK_3.59 //
   ardhena meroścandrārkau pañcāśatsaikayojanau /	arDena meroH-candra-arkO paQcASat-sa-eka-yojanO /
   ardharātro 'staṃgamanaṃ madhyānha udayaḥ sakṛta // VAkK_3.60 //	arDarAtraH astaMgamanam maDyAn-he udayaH sakRtaH // VAkK_3.60 //
   prāvṛṇmāse dvitīye 'ntyanavamyāṃ vardhate niśā /	prAvRz-mAse dvitIye antyanavamyAm varDate niSA /
   hemantānāṃ caturthe tu hīyate aharviparyayāt // VAkK_3.61 //	hemantAnAm caturTe tu hIyate ahar-viparyayAt // VAkK_3.61 //
   lavaśo rātryaharvṛddhī dakṣiṇottarage ravau /	lavaSas rAtrI-ahar-vRdDI dakziNa-uttara-ge ravO /
   svacchāyayārkasāmīpyādvikalendusamīkṣaṇam // VAkK_3.62 //	sva=-CAyayA-arka-sAmIpyAt-vi-kala-indu-samIkzaNam // VAkK_3.62 //
   pariṣaṇḍāścatasro 'sya daśasāhasrikāntarāḥ /	parizaNxAH-catasraH asya daSa-sAhasrikA-antarAH /
   ṣoḍaśāṣṭau sahasrāṇi catvāri dve ca nirgatāḥ // VAkK_3.63 //	zoxaSa-azwO sahasrANi catvAri dve ca nirgatAH // VAkK_3.63 //
   karoṭapāṇayastāsu mālādhārāssadāmadāḥ /	karowapANayaH-tAsu mAlA-DArAssadAma-dAH /
   mahārājikadevāśca parvateṣvapi saptasu // VAkK_3.64 //	mahArAjika-devAH-ca parvatezu-api saptasu // VAkK_3.64 //
   merumūrdhni trayastriṃśāḥ sa cāśītisahasradik /	meru-mUrDni trayastriMSAH sa ca-aSIti-sahasra-diS /
   vidikṣu kūṭāścatvāra uṣitā vajrapāṇibhiḥ // VAkK_3.65 //	vidikzu kUwAH-catvAraH uzitAH vajrapANiBiH // VAkK_3.65 //
   madhye sārdhadvisāhasrapārśvamadhyardhayojanam /	maDye sArDa-dvi-sAhasra-pArSvam-aDyarDa-yojanam /
   puraṃ sudarśanaṃ nāma haimaṃ citratalaṃ mṛdu // VAkK_3.66 //	puram sudarSanam nAma hEmam citra-talam mRdu // VAkK_3.66 //
   sārdhadviśatapārśvo 'tra vaijayantaḥ bahiḥ punaḥ /	sArDa-dvi-Sata-pArSvaH atra vEjayantaH bahis punar /
   taccaitrarathapāruṣyamiśranandanabhūṣitam // VAkK_3.67 //	tad-cEtraraTa-pAruzya-miSra-nandana-BUzitam // VAkK_3.67 //
   viṃśatyantaritānyeṣāṃ subhūmīni caturdiśam /	viMSati-antaritAni-ezAm su-BUmIni caturdiSam /
   pūrvottare pārijātaḥ sudharmā dakṣiṇāvare // VAkK_3.68 //	pUrva-uttare pArijAtaH suDarmA dakziNA-vare // VAkK_3.68 //
   tata ūrdhva vimāneṣu devāḥ kāmabhujastu ṣaṭ /	tatas UrDva vimAnezu devAH kAmaBujaH-tu zaw /
   dvaṃdvāliṃṅganapāṇyāptivasitekṣitamaithunāḥ // VAkK_3.69 //	dvaMdva-aliMFgana-pANi-Apti-vasita-Ikzita-mETunAH // VAkK_3.69 //
   pañcavarṣopamo yāvat daśavarṣopamaḥ śiśuḥ /	paQca-varza-upamaH yAvat daSa-varza-upamaH SiSuH /
   saṃbhavatyeṣu saṃpūrṇāḥ savastrāścaiva rūpiṇaḥ // VAkK_3.70 //	saMBavati-ezu saMpUrNAH sa-vastrAH-ca-eva rUpiNaH // VAkK_3.70 //
   kāmopapattayastistraḥ kāmadevāḥ samānuṣāḥ /	kAma-upapattayaH-tistraH kAmadevAH sa-mAnuzAH /
   sukhopapattayastistro navatridhyānabhūmayaḥ // VAkK_3.71 //	suKa-upapattayaH-tistraH nava-tri-DyAna-BUmayaH // VAkK_3.71 //
   sthānāt sthānadadho yāvattāvadūrdhvaṃ tatastataḥ /	sTAnAt sTAnadaDas yAvat-tAvat-UrDvam tatas-tatas /
   nordhva darśanamastyeṣāmanyatrarddhiparāśrayāt // VAkK_3.72 //	na-UrDva darSanam-asti-ezAm-anyatra-RdDi-para-ASrayAt // VAkK_3.72 //
   caturdvīpakacandrārkamerukāmadivaukasām /	catur-dvIpaka-candra-arka-meru-kAma-divOkasAm /
   brahmalokasahasraṃ ca sāhasraścūḍiko mataḥ // VAkK_3.73 //	brahma-loka-sahasram ca sAhasraH-cUxikaH mataH // VAkK_3.73 //
   tatsahasraṃ dvisāhasro lokadhātustu madhyamaḥ /	tad-sahasram dvi-sAhasraH lokaDAtuH-tu maDyamaH /
   tatsahasraṃ trisāhasraḥ samasaṃvartasaṃbhavaḥ // VAkK_3.74 //	tad-sahasram tri-sAhasraH sama-saMvarta-saMBavaH // VAkK_3.74 //
   jāmbūdvīpāḥ pramāṇena catuḥsārdhatrihastakāḥ /	jAmbUdvIpAH pramANena catur-sa-arDa-trihastakAH /
   dviguṇottaravṛddhayā tu purvagodottarāvhayāḥ // VAkK_3.75 //	dviguNa-uttara-vRdDayA tu purvagoda-uttara-avhayAH // VAkK_3.75 //
   pādabṛddhayā tanuryāva tsārdhakrośo divaukasām /	pAda-bRdDayA tanuH-yAva tsa-arDa-kroSaH divOkasAm /
   kāmināṃ rūpiṇāṃ tvādau yojanārdhaṃ tataḥ param // VAkK_3.76 //	kAminAm rUpiNAm tu-AdO yojana-arDam tatas param // VAkK_3.76 //
   ardhārdhavṛddhi ūrdhva tu parīttābhebhya āśrayaḥ /	arDa-arDa-vRdDi UrDva tu parIttABeByaH ASrayaH /
   dviguṇadviguṇā hitvānabhrakebhya striyojanam // VAkK_3.77 //	dviguNa-dviguNAH hitvA-naBrakeByaH stri-yojanam // VAkK_3.77 //
   sahasrāmāyuḥ kuruṣu dvayorardhārdhavarjitam /	sahasrAm-AyuH kuruzu dvayoH-arDa-arDa-varjitam /
   ihāniyatam ante tu daśābdāḥ ādito 'mitam // VAkK_3.78 //	iha-aniyatam ante tu daSa-abdAH Aditas amitam // VAkK_3.78 //
   nṛṇāṃ varṣāṇi pañcāśadahorātro divaukasām /	nRNAm varzANi paQcASat-ahorAtraH divOkasAm /
   kāme 'dharāṇāṃ tenāyuḥ pañcavarṣaśatāni tu // VAkK_3.79 //	kAme aDarANAm tena-AyuH paQca-varza-SatAni tu // VAkK_3.79 //
   dviguṇottaramurdhvānāmubhayaṃ rūpiṇāṃ punaḥ /	dviguNa-uttaram-urDvAnAm-uBayam rUpiNAm punar /
   nāstyahorātramāyustu kalpaiḥ svāśrayasaṃmitaiḥ // VAkK_3.80 //	na-asti-ahorAtram-AyuH-tu kalpEH sva-ASraya-saMmitEH // VAkK_3.80 //
   ārūpye viṃśatiḥ kalpasahasrāṇya dhikādhikam /	ArUpye viMSatiH kalpa-sahasrANya DikA-aDikam /
   mahākalpaḥ parīttābhāt prabhṛtyadharmadhastataḥ // VAkK_3.81 //	mahAkalpaH parItta-ABAt praBRti-aDarmaDas-tatas // VAkK_3.81 //
   kāmedevāyuṣā tulyā ahorātrā yathākramam /	kAmedeva-AyuzA tulyAH ahorAtrAH yaTAkramam /
   saṃjīvādiṣu ṣaṭsu āyustaisteṣāṃ kāmadevavat // VAkK_3.82 //	saMjIva-Adizu zawsu AyuH-tEH-tezAm kAmadeva-vat // VAkK_3.82 //
   ardhaṃ pratāpane avīcāvantaḥkalpaṃ paraṃ punaḥ /	arDam pratApane avIcO=-antaH-kalpam param punar /
   kalpaṃ tiraścāṃ pretānāṃ māsānhā śatapañcakam // VAkK_3.83 //	kalpam tiraScAm pretAnAm mAsAn-hA SatapaQcakam // VAkK_3.83 //
   vāhādvarṣaśatenaikatiloddhārakṣayāyuṣaḥ /	vAhAt-varza-Satena-eka-tila-udDAra-kzaya-AyuzaH /
   arvudā dviṃśatiguṇaprativṛddhayāyuṣaḥ pare // VAkK_3.84 //	arvudAH dviMSati-guNa-prativRdDayA-AyuzaH pare // VAkK_3.84 //
   kurubāhyo 'ntarāmṛtyuḥ paramāṇvakṣarakṣaṇāḥ /	kuru-bAhyaH antarAmRtyuH paramANu-akza-rakzaNAH /
   rūpanāmādhvaparyantāḥ paramāṇuraṇustathā // VAkK_3.85 //	rUpa-nAma-aDva-paryantAH paramANuH-aNuH-taTA // VAkK_3.85 //
   lohāpśaśā vigocchidrarajolikṣāstadudbhavāḥ /	lohApSaSAH vigA-ucCidra-rajaH-likzAH-tad-udBavAH /
   yavastathāṅgulīparva jñeyaṃ saptaguṇottaram // VAkK_3.86 //	yavaH-taTA-aFgulI-parva jQeyam sapta-guNa-uttaram // VAkK_3.86 //
   caturviśatiraṅgulyo hasto hastacatuṣṭayam /	catur-viSatiH-aFgulyaH hastaH hasta-catuzwayam /
   dhanuḥ pañcaśatānyeṣāṃ krośo raṇyaṃ ca tanmatam // VAkK_3.87 //	DanuH paQca-SatAni-ezAm kroSaH raNyam ca tat-matam // VAkK_3.87 //
   te 'ṣṭau yojanamityāhuḥ viṃśaṃ kṣaṇaśataṃ punaḥ /	te azwO yojanam-iti-AhuH viMSam kzaNa-Satam punar /
   tatkṣaṇaḥ te punaḥ ṣaṣṭirlavaḥ triṃśad guṇottarāḥ // VAkK_3.88 //	tad-kzaNaH te punar zazwiH-lavaH triMSat guNa-uttarAH // VAkK_3.88 //
   trayo muhūrttāhorātramāsāḥ dvādaśamāsakaḥ /	trayaH muhUrtta-ahorAtra-m-AsAH dvAdaSa-mAsakaH /
   saṃvatsaraḥ sonarātraḥ kalpo bahuvidhaḥ smṛtaḥ // VAkK_3.89 //	saMvatsaraH sonarAtraH kalpaH bahuviDaH smRtaH // VAkK_3.89 //
   saṃvarttakalpo narakasaṃbhavāt bhājanakṣayaḥ /	saMvartta-kalpaH naraka-saMBavAt BAjana-kzayaH /
   vivartakalpaḥ prāgvāyoryāvannaraka saṃbhavaḥ // VAkK_3.90 //	vivarta-kalpaH prAk-vAyoH-yAvat-naraka saMBavaH // VAkK_3.90 //
   antaḥ kalpo 'mitāt yavaddaśavarṣāyuṣaḥ tataḥ /	antar kalpaH amitAt yavat-daSa-varza-AyuzaH tatas /
   utkarṣā apakarṣāśca kalpā aṣṭā daśāpare // VAkK_3.91 //	utkarzAH apakarzAH-ca kalpAH azwAH daSa-apare // VAkK_3.91 //
   utkarṣa ekaḥ te 'śītisahasrādyāvadāyuṣaḥ /	utkarzaH ekaH te aSIti-sahasrAt-yAvat-AyuzaH /
   iti loko vivṛtto 'yaṃ kalpāṃstiṣṭhati viṃśatim // VAkK_3.92 //	iti lokaH vivRttaH ayam kalpAn=-tizWati viMSatim // VAkK_3.92 //
   vivartate 'tha saṃvṛtta āste saṃvartate samam /	vivartate aTa saMvRttaH Aste saMvartate samam /
   te hyaśītirmahākalpaḥ tadasaṃkhyatrayodbhavam // VAkK_3.93 //	te hi-aSItiH-mahAkalpaH tad-asaMKya-traya-udBavam // VAkK_3.93 //
   buddhatvam apakarṣe hi śatādyāvattadudbhavaḥ /	budDa-tvam apakarze hi SatAt-yAvat-tad-udBavaH /
   dvayoḥ pratyekabuddhānāṃ khaḍgaḥ kalpaśatānvayaḥ // VAkK_3.94 //	dvayoH pratyekabudDAnAm KaxgaH kalpa-Sata-anvayaH // VAkK_3.94 //
   cakravartisamutpattirnādho 'śītisahasrakāt /	cakravarti-samutpattiH-na-aDas aSIti-sahasrakAt /
   suvarṇarūpyatāmrāyaścakriṇaḥ te 'dharakramāt // VAkK_3.95 //	suvarNa-rUpya-tAmrAyaH-cakriNaH te aDara-kramAt // VAkK_3.95 //
   ekadvitricaturdvīpāḥ na ca dvau saha buddhavat /	eka-dvi-tri-catur-dvIpAH na ca dvO saha budDa-vat /
   pratyudyānasvayaṃyāna kalahāstrajitaḥ avadhāḥ // VAkK_3.96 //	pratyudyAna-svayaMyAna kalaha-astra-jitaH avaDAH // VAkK_3.96 //
   deśasthottaptapūrṇatvairlakṣaṇātiśayo muneḥ /	deSa-sTa-uttapta-pUrNa-tvEH-lakzaNa-atiSayaH muneH /
   prāgāsan rūpivat sattvāḥ rasarāgāttataḥ śanaiḥ // VAkK_3.97 //	prAc-Asan rUpivat sattvAH rasa-rAgAt-tatas SanEs // VAkK_3.97 //
   ālasyātsaṃnidhiṃ kṛtvā sāgrahaiḥ kṣetrapo bhṛtaḥ /	AlasyAt-saMniDim kRtvA sAgrahEH kzetrapaH BRtaH /
   tataḥ karmapathādhikyādapahrāse daśāyuṣaḥ // VAkK_3.98 //	tatas karma-paTa-ADikyAt-apahrAse daSa-AyuzaH // VAkK_3.98 //
   kalpasya śastrarogābhyāṃ durbhikṣeṇa ca nirgamaḥ /	kalpasya Sastra-rogAByAm durBikzeNa ca nirgamaH /
   divasān sapta māsāṃśca varṣāṇi ca yathākramam // VAkK_3.99 //	divasAn sapta mAsAn=-ca varzANi ca yaTAkramam // VAkK_3.99 //
   saṃvartanyaḥ punastistro bhavantyagnyambuvāyubhiḥ /	saMvartanyaH punar-tistraH Bavanti-agni-ambu-vAyuBiH /
   dhyānatrayaṃ dvitīyādi śīrṣa tāsāṃ yathākramam // VAkK_3.100 //	DyAna-trayam dvitIya-Adi SIrza tAsAm yaTAkramam // VAkK_3.100 //
   tadapakṣālasādharmyāt na caturthe 'styaniñjanāt /	tad-apakza-alasADarmyAt na caturTe asti-aniQjanAt /
   na nityaṃ saha sattvena tadvimānodayavyayāt // VAkK_3.101 //	na nityam saha sattvena tad-vimAna-udaya-vyayAt // VAkK_3.101 //
   saptāgninā adbhirekā evaṃ gate 'dbhiḥ saptake punaḥ /	sapta-agninA adBiH-ekA evam gate adBiH saptake punar /
   tejasā saptakaḥ paścādvāyusaṃvartanī tataḥ // VAkK_3.102 //	tejasA saptakaH paScAt-vAyu-saMvartanI tatas // VAkK_3.102 //
   abhidharmakośabhāṣye lokanirdeśo nāma tṛtīyaṃ kośasthānam samāptamiti /	aBiDarma-koSa-BAzye lokanirdeSaH nAma tRtIyam koSa-sTAnam samAptam-iti /
   śrīlāmāvākasya yadatra puṇyam /	SrI-lAmAvAkasya yat-atra puNyam /
   caturthaṃ kośasthānam	caturTam koSa-sTAnam
   oṃ namo buddhāya /	om namaH budDAya /
   karmajaṃ lokavaicitryaṃ cetanā tatkṛtaṃ ca tat /	karma-jam loka-vEcitryam cetanA tad-kRtam ca tat /
   cetanā mānasaṃ karma tajjaṃ vākkāyakarmaṇī // VAkK_4.1 //	cetanA mAnasam karma tad-jam vAkkAya-karmaNI // VAkK_4.1 //
   te tu vijñaptyavijñaptī kāyavijñaptiriṣyate /	te tu vijQapti-avijQaptI kAya-vijQaptiH-izyate /
   saṃsthānaṃ na gatiryasmātsaṃskṛtaṃ kṣaṇikaṃ vyayāt // VAkK_4.2 //	saMsTAnam na gatiH-yasmAt-saMskRtam kzaNikam vyayAt // VAkK_4.2 //
   na kasyacidahetoḥ syāt hetuḥ syācca vināśakaḥ /	na kasyacid-ahetoH syAt hetuH syAt-ca vinASakaH /
   dvigrāhyaṃ syāt na cāṇau tat vāgvijñaptistu vāgdhvaniḥ // VAkK_4.3 //	dvi-grAhyam syAt na ca-aNO tat vAc-vijQaptiH-tu vAc-DvaniH // VAkK_4.3 //
   trividhāmalarūpoktivṛddhayakurvatpathādibhiḥ /	triviDa-amala-rUpa-ukti-vRdDayakuH-vat-paTa-AdiBiH /
   kṣaṇādūrdhvamavijñaptiḥ kāmāptātītabhūtajā // VAkK_4.4 //	kzaNAt-UrDvam-avijQaptiH kAma-Apta-atIta-BUta-jAH // VAkK_4.4 //
   svāni bhūtānyupādāya kāyavākkarma sāsravam /	svAni BUtAni-upAdAya kAya-vAkkarma sa-Asravam /
   anāsravaṃ yatra jātaḥ avijñaptiranupāttikā // VAkK_4.5 //	anAsravam yatra jAtaH avijQaptiH-anupAttikAH // VAkK_4.5 //
   naiḥṣyandikī ca sattvākhyā niṣyandopāttabhūtajā /	nEHzyandikI ca sattva-AKyA nizyanda-upAtta-BUta-jAH /
   samādhijau pacayikānupāttābhinnabhūtajā // VAkK_4.6 //	samADi-jO pacayikA-anupAtta-aBinna-BUta-jAH // VAkK_4.6 //
   nāvyākṛtāstyavijñaptiḥ tridhānvyat aśubhaṃ punaḥ /	na-avyAkRta-asti-avijQaptiH triDA-anvyat aSuBam punar /
   kāme rūpe 'pyavijñaptiḥ vijñaptiḥ savicārayoḥ // VAkK_4.7 //	kAme rUpe api-avijQaptiH vijQaptiH sa-vicArayoH // VAkK_4.7 //
   kāme 'pi nivṛtā nāsti samutthānamasadyataḥ /	kAme api nivRtA na-asti samutTAnam-asat-yatas /
   paramārthaśubho mokṣaḥ svato mūlahyrapatrapāḥ // VAkK_4.8 //	parama-arTa-SuBaH mokzaH svatas mUla-hyrapatrapAH // VAkK_4.8 //
   saṃprayogeṇa tadyuktāḥ samutthā nāt kriyādayaḥ /	saMprayogeNa tad-yuktAH samutTAH nAt kriyA-AdayaH /
   viparyayeṇākuśalaṃ paramāvyākṛte dhruve // VAkK_4.9 //	viparyayeNa-akuSalam parama-avyAkRte Druve // VAkK_4.9 //
   samutthānaṃ dvidhā hetutatkṣaṇotthānasaṃjñitam /	samutTAnam dviDA hetu-tad-kzaNa-utTAna-saMjQitam /
   pravartakaṃ tayorādyaṃ dvitīyamanuvartakam // VAkK_4.10 //	pravartakam tayoH-Adyam dvitIyam-anuvartakam // VAkK_4.10 //
   pravartakaṃ dṛṣṭiheyaṃ vijñānam ubhayaṃ punaḥ /	pravartakam dRzwi-heyam vijQAnam uBayam punar /
   mānasaṃ bhāvanāheyaṃ pañcakaṃ tvanuvartakam // VAkK_4.11 //	mAnasam BAvanA-Aheyam paQcakam tu-anuvartakam // VAkK_4.11 //
   pravartake śubhādau hi syāttridhāpyanuvartakam /	pravartake SuBa-AdO hi syAt-triDA-api-anuvartakam /
   tulyaṃ muneḥ śubhaṃ yāvat nobhayaṃ tu vipākajam // VAkK_4.12 //	tulyam muneH SuBam yAvat na-uBayam tu vipAka-jam // VAkK_4.12 //
   avijñaptistridhā jñeyā saṃvarāsaṃvaretarā /	avijQaptiH-triDA jQeyA saMvarA-saMvara-itarAH /
   saṃvaraḥ prātimokṣākhyo dhyānajo 'nāsravastathā // VAkK_4.13 //	saMvaraH prAtimokza-AKyaH DyAna-jaH anAsravaH-taTA // VAkK_4.13 //
   aṣṭadhā prātimokṣākhyaḥ dravyatastu caturvidhaḥ /	azwaDA prAtimokza-AKyaH dravyataH-tu caturviDaH /
   liṅgato nāmasaṃcārāt pṛthak te cāvirodhinaḥ // VAkK_4.14 //	liFgataH nAma-saMcArAt pRTak te ca-aviroDinaH // VAkK_4.14 //
   pañcāṣṭadaśasarvebhyo varjyebhyo viratigrahāt /	paQca-azwa-daSa-sarveByaH varjyeByaH virati-grahAt /
   upāsakopavāsasthaśramaṇoddeśabhikṣutā // VAkK_4.15 //	upAsaka-upavAsa-sTa-SramaNa-uddeSa-BikzutA // VAkK_4.15 //
   śīlaṃ sucaritaṃ karma saṃvaraścocyate punaḥ /	SIlam su-caritam karma saMvaraH-ca-ucyate punar /
   ādye vijñaptyavijñapto prātimokṣakriyāpathaḥ // VAkK_4.16 //	Adye vijQapti-avijQaptaH prAtimokza-kriyA-paTaH // VAkK_4.16 //
   prātimokṣānvitā aṣṭau dhyānajena tadanvitaḥ /	prAtimokza-anvitAH azwO DyAna-jena tad-anvitaH /
   anāsraveṇāryasattvāḥ antyau cittānuvartinau // VAkK_4.17 //	anAsraveNa-Arya-sattvAH antyO citta-anuvartinO // VAkK_4.17 //
   anāgamye prahāṇākhyau tāvānantaryamārgajau /	anAgamye prahANa-AKyO tO=-Anantarya-mArga-jO /
   saṃprajñānasmṛtī dve tu manaindriyasaṃvarau // VAkK_4.18 //	saMprajQAna-smRtI dve tu manEndriya-saMvarO // VAkK_4.18 //
   prātimokṣasthito nityamatyāgā dvartamānayā /	prAtimokza-sTitaH nityam-atyAgAH dvartamAnayA /
   avijñaptyānvitaḥ pūrvāt kṣaṇādūrdhvamatītayā // VAkK_4.19 //	avijQaptyA-anvitaH pUrvAt kzaNAt-UrDvam-atItayA // VAkK_4.19 //
   tathaivāsaṃvarastho 'pi dhyānasaṃvaravān sadā /	taTA-eva-asaMvara-sTaH api DyAna-saMvaravAn sadA /
   atītājātayā āryastu prathame nābhyatītayā // VAkK_4.20 //	atIta-ajAtayA AryaH-tu praTame na-aByatItayA // VAkK_4.20 //
   samāhītāryamārgasthau tau yuktau vartamānayā /	sa-mAhIta-Arya-mArga-sTO tO yuktO vartamAnayA /
   madhyasthasyāsti cedādau madhyayā ūrdhvaṃ dvikālayā // VAkK_4.21 //	maDyasTasya-asti ced-AdO maDyayA UrDvam dvi-kAlayA // VAkK_4.21 //
   asaṃvarasthaḥ śubhayāśubhayā saṃvare sthitaḥ /	asaMvara-sTaH SuBayASuBayA saMvare sTitaH /
   avijñaptyānvito yāvat prasādakleśavegavān // VAkK_4.22 //	avijQaptyA-anvitaH yAvat prasAda-kleSa-vegavAn // VAkK_4.22 //
   vijñaptyā tu punaḥ sarve kurvanto madhyayānvitāḥ /	vijQaptyA tu punar sarve kurvantaH maDyayA-anvitAH /
   atītayā kṣaṇādūrdhvamātyāgāt nāstyajātayā // VAkK_4.23 //	atItayA kzaNAt-UrDva-mAtyAgAt na-asti-ajAtayA // VAkK_4.23 //
   nivṛtānivṛtābhyāṃ ca nātītābhyāṃ samanvitaḥ /	nivRta-anivRtAByAm ca na-atItAByAm samanvitaH /
   asaṃvaro duścaritaṃ dauḥśīlyaṃ karma tatpathaḥ // VAkK_4.24 //	asaMvaraH duScaritam dOHSIlyam karma tat-paTaH // VAkK_4.24 //
   vijñaptyaivānvitaḥ kurvanmadhyastho mṛducetanaḥ /	vijQaptyA-eva-anvitaH kurvan-maDya-sTaH mRdu-cetanaH /
   tyaktānutpannavijñaptiravijñaptyāryapudgalaḥ // VAkK_4.25 //	tyakta-anutpanna-vijQaptiH-avijQapti-Arya-pudgalaH // VAkK_4.25 //
   dhyānajo dhyānabhūmyaiva labhyate anāsravastayā /	DyAna-jaH DyAna-BUmyA-eva laByate anAsravaH-tayA /
   āryayā prātimokṣākhyaḥ paravijñapanādibhiḥ // VAkK_4.26 //	AryayA prAtimokza-AKyaH para-vijQapana-AdiBiH // VAkK_4.26 //
   yāvajjīvaṃ samādānamahorātraṃ ca saṃvṛteḥ /	yAvajjIvam samAdAnam-ahorAtram ca saMvRteH /
   nāsaṃvaro 'styahorātraṃ na kilaivaṃ pragṛhyate // VAkK_4.27 //	na-asaMvaraH asti-ahorAtram na kila-evam pragRhyate // VAkK_4.27 //
   kālyaṃ grāhyo 'nyato nīcaiḥ sthitenoktānuvāditā /	kAlyam grAhyaH anyatas nIcEs sTitena-ukta-anuvAditA /
   upavāsaḥ samagrāṅgo nirbhūṣeṇāniśākṣayāt // VAkK_4.28 //	upavAsaH samagra-aFgaH nirBUzeNa-aniSA-kzayAt // VAkK_4.28 //
   śīlāṅgānyapramādāṅgaṃ vratāṅgāni yathākramam /	SIla-aFgAni-apramAdAFgam vrata-aFgAni yaTAkramam /
   catvāryekaṃ tathā trīṇi smṛtināśo madaśca taiḥ // VAkK_4.29 //	catvAri-ekam taTA trINi smRti-nASaH madaH-ca tEH // VAkK_4.29 //
   anyasyāpyupavāso 'sti śaraṇaṃ tvagatasya na /	anyasya-api-upavAsaH asti SaraNam tu-agatasya na /
   upāsakatvopagamātsaṃvṛt uktistu bhikṣuvat // VAkK_4.30 //	upAsaka-tva-upagamAt-saMvRd uktiH-tu Bikzu-vat // VAkK_4.30 //
   sarve cet saṃvṛtā ekadeśakāryādayaḥ katham /	sarve ced saMvRtAH eka-deSa-kArya-AdayaH kaTam /
   tatpalanāt kila proktāḥ mṛdvāditvaṃ yathā manaḥ // VAkK_4.31 //	tad-palanAt kila proktAH mRdu-Adi-tvam yaTA manaH // VAkK_4.31 //
   buddhasaṃghakarāndharmānaśaikṣānubhayāṃśca saḥ /	budDa-saMGa-karAn-DarmAn-aSEkza-anuBayAn=-ca saH /
   nirvāṇaṃ ceti śaraṇaṃ yo yāti śaraṇatrayam // VAkK_4.32 //	nirvANam ca-iti SaraNam yaH yAti SaraNa-trayam // VAkK_4.32 //
   mithyācārātigarhyatvātsaukaryādākriyāptitaḥ /	miTyA-cAra-atigarhya-tvAt-sOkaryAt-a-akriyA-AptitaH /
