   Pāramitāsamāsaḥ	PAra mita asamAsaH
   yadyesā matpāpaparikṣayārthaṃ na vīkṣate svāmapi dharmapīḍām /	yadi esA mad pApa parikzaya arTam na vIkzate svAm api Darma pIxAm /
   asmān na kalyāṇataraṃ hi mitram asāvapi kṣāntyupacārā eva // Ps_3.27 //	asmAt na kalyANataram hi mitram asO= api kzAnti upacArAH eva // Ps_3.27 //
   karmasvatāṃ eva hi vīkṣamāṇastitikṣate tadguṇadarśanācca /	karmasva tAm eva hi vIkzamANaH titikzate tad guNa darSanAt ca /
   naivaṃprakārāpi hi naiṣṭhikatvaṃ kṣāntirvikalpopahatā prayāti // Ps_3.28	na evaMprakArA api hi nEzWika tvam kzAntiH vikalpa upahatA prayAti // Ps_3.28
   anityaduḥkhāśuciniḥsvabhāvatā mama kṣamante na tu tadviparyayāḥ /	anitya duHKa aSuci niHsvaBAva tA mama kzamante na tu tad viparyayAH /
   iyaṃ vipakṣapraśamakṣamā kṣamā dvayapravṛtterna tu pāramārthikī // Ps_3.29	iyam vipakza praSama kzamA kzamA dvaya pravRtteH na tu pAramArTikI // Ps_3.29
   ayatnatattvārthavicakṣaṇo janaḥ paropakāreṣu yataḥ pravartate /	ayatna tattva arTa vicakzaNaH janaH para upakArezu yatas pravartate /
   kṣamā na caivaṃ samatāṃ sameti yā yataḥ kṣamaivaṃ na vikalpanakṣayā //	kzamA na ca evam sama tAm sameti yA yatas kzamA evam na vikalpana kzayAH //
   Ps_3.30 //	Ps_3.30 //
   nirodham āyānti yadā tvaśeṣatāḥ samādhikanyūnavikalpanakramāḥ /	niroDam AyAnti yadA tu aSeza tAH samADi kanyUna vikalpana kramAH /
   anuttarāṃ kṣāntimamānagocarāṃ vadanti tāmadvāyamārgacāriṇāḥ // Ps_3.31 //	anuttarAm kzAntimamAna gocarAm vadanti tAmadvAya mArga cAriNAH // Ps_3.31 //
   svataḥ parasmādubhayādahetuto yathā na bhāvāḥ prabhavanti ke cana /	svatas para smAt uBayAt ahetutaH yaTA na BAvAH praBavanti ke cana /
   svataḥ parasmād ubhayād ahetutastathā na bhāvā vibhavanti ke cana //	svatas parasmAt uBayAt ahetutaH taTA na BAvAH viBavanti ke cana //
   Ps_3.32 //	Ps_3.32 //
   naṣṭād anaṣṭād ubhayāc na nobhayān na jātu kāryaṃ khalu vidyate kva cit /	nazwAt anazwAt uBayAt na na uBayAt na jAtu kAryam Kalu vidyate kva cit /
   tathāpi kāryaṃ samudeti vastuno yetthaṃ kṣamā sā dvayavarjitā kṣamā //	taTA api kAryam samudeti vastunaH yA itTam kzamA sA dvaya varjitA kzamA //
   Ps_3.33 //	Ps_3.33 //
   sato 'sato vāsti na janma janmanā vinā nirodho 'pi na kasya cit kva cit /	sataH asataH vA asti na janma janmanA vinA niroDaH api na kasya cit kva cit /
   svabhāvaśūnyāmiti bhāvakalpanāṃ vipaśyataḥ kṣāntirudeti naiṣṭhikī //	svaBAva SUnyAm iti BAva kalpanAm vipaSyataH kzAntiH udeti nEzWikI //
   Ps_3.34 //	Ps_3.34 //
   avāpya yāṃ vyākriyate sahasraśo jinairasau nāma jino bhaviṣyati /	avApya yAm vyAkriyate sahasraSas jinEH asO nAma jinaH Bavizyati /
   pravartate lokahitakriyāvidhiḥ samāhitasyaiva ca tasya sarvadā // Ps_3.35	pravartate loka hita kriyA viDiH samAhitasya eva ca tasya sarvadA // Ps_3.35
   yāvacca bhāvābhiniviṣṭabuddhiratra dvayaṃ tāvadupaiti mohāt /	yAvat ca BAva aBinivizwa budDiH atra dvayam tAvat upEti mohAt /
   tathānimittaṃ ca vimokṣaheturdure bhavatyasya yathā kṣiteḥ kham // Ps_3.36	taTA animittam ca vimokza hetuH dure Bavati asya yaTA kziteH Kam // Ps_3.36
   upaiti dharmapraṇidhānakarmasu prabhutvamṛddhāvadhimuktijanmasu /	upEti Darma praNiDAna karmasu praBu tvam RdDa avaDimukti janmasu /
   tathā pariṣkāravidhau svacetasi prakarṣiṇi jñānabale tathāyuṣi // Ps_3.37	taTA parizkAra viDO sva cetasi prakarziNi jQAna bale taTA Ayuzi // Ps_3.37
   avāpya caitadvaśitāmayaṃ dhanaṃ prakṛṣṭaṃ akṣiṣṇu parārthasādhanam /	avApya ca etat vaSitAmayam Danam prakRzwam akzizNu para arTa sADanam /
   janasya kṛcchreṣu patiṣyataḥ sataḥ sa jāyate dhāraṇakāraṇaṃ vibhuḥ //	janasya kRcCrezu patizyataH sataH sa jAyate DAraNa kAraNam viBuH //
   Ps_3.38 //	Ps_3.38 //
   tasmāt parārthamahatīṃ dhuramudvahadbhiḥ kṣānterupāyavidhireṣa	tasmAt para arTa mahatIm Duram udvahadBiH kzAnteH upAya viDiH eza
   sadānugamyaḥ /	sadA anugamyaH /
   atra sthitasya hi bhavanti parārthacittāḥ sarvā<;ḥ>; kriyā	atra sTitasya hi Bavanti para arTa cittAH sarvA<;H>; kriyA
   guṇaphalābharaṇābhirāmāḥ // Ps_3.39 //	guNa Pala ABaraNa aBirAmAH // Ps_3.39 //
   asyāṃ hi bhaktirapi yā pravirūḍhamūlā tāmabhyasanti munayo munirājabhāve /	asyAm hi BaktiH api yA pravirUXa mUlA tAm aByasanti munayaH muni rAja BAve /
   śraddhānuviddhamanasāṃ na hi dharmamārge dṛṣṭo manoratharathasya yato	SradDA anuvidDa manasAm na hi Darma mArge dRzwaH manoraTa raTasya yatas 
   'kṣabhaṅgaḥ // Ps_3.40 //	akza BaFgaH // Ps_3.40 //
   // kṣāntipāramitāsamāsaḥ //	// kzAnti pAramitA samAsaH //
   4. vīryapāramitāsamāsaḥ	4. vIrya pAramitA samAsaH
   sarvaṃsahe kṣāntibale ca rūḍhe sarvādbhutānyārabhate sa śauryāt /	sarvaMsahe kzAnti bale ca rUXe sarva adButAni AraBate sa SOryAt /
   vīryeṇa kāryāntamahābalena yasmāt sa devānapi yātyatītya // Ps_4.1 //	vIryeNa kArya anta mahA balena yasmAt sa devAn api yAti atItya // Ps_4.1 //
   sudṛśyapārāṇyapi laukikāni kāryāṇi nirvīryaduruttarāṇi /	su dRSya pArANi api lOkikAni kAryANi nirvIrya duruttarANi /
   aprāpyarūpaṃ tu na kiṃ cid asti khedānabhijñena parākrameṇa // Ps_4.2 //	aprApya rUpam tu na kim cit asti Keda anaBijQena parAkrameNa // Ps_4.2 //
   ārabdham evotsahate na hīna ārabhya madhyastu viṣādameti /	ArabDam eva utsahate na hInaH AraBya maDyaH tu vizAdam eti /
   parārtham aśrāntaparākramāste nirvāṇamutsṛjya samārabhante // Ps_4.3 //	para arTam aSrAnta parAkramAH te nirvANam utsRjya samAraBante // Ps_4.3 //
   prāyeṇa dainyopahato jano 'yaṃ svādhīnavīryo 'pi gurusvakāryaḥ /	prAyeNa dEnya upahataH janaH ayam svADIna vIryaH api guru sva kAryaH /
   ahīnavīryasya tu merusāro 'pyakhedasādhyaḥ parakāryabhāraḥ // Ps_4.4 //	ahIna vIryasya tu meru sAraH api aKeda sADyaH para kArya BAraH // Ps_4.4 //
   saṃsārakoṭyorubhayoḥ samānaiḥ prayāmasārairdivasairyadi syuḥ /	saMsAra kowyoH uBayoH samAnEH prayAma sArEH divasEH yadi syuH /
   saṃvatsarāstatpracayātidīrghaiḥ kalpaiḥ samudrodakabindutulyaiḥ // Ps_4.5	saMvatsarAH tad pracaya ati dIrGEH kalpEH samudra udaka bindu tulyEH // Ps_4.5
   utpādayeyaṃ yadi bodhicittam ekaikametena parākrameṇa /	utpAdayeyam yadi boDi cittam ekEkam etena parAkrameNa /
   saṃbhāraśeṣaṃ cinuyāṃ tathāpi bhūyaḥsamutsāritakhedadainyaḥ // Ps_4.6 //	saMBAra Sezam cinuyAm taTA api BUyas samutsArita Keda dEnyaH // Ps_4.6 //
   ekaikamevaṃ yadi bodhicittaṃ prāpyeta saṃbhāravidhiśca śeṣaḥ /	ekEkam evam yadi boDi cittam prApyeta saMBAra viDiH ca SezaH /
   tathāpi bodhiṃ samudānayeyaṃ kṛpāsamutsāhitadhairyasāraḥ // Ps_4.7 //	taTA api boDim samudAnayeyam kRpA samutsAhita DErya sAraH // Ps_4.7 //
   saṃsāraduḥkhaṃ svamacintayitvā saṃnāhadārḍhyaṃ yadacintyamevam /	saMsAra duHKam svam acintayitvA saMnAha dArXyam yat acintyam evam /
   ādyaṃ samādānamidaṃ vadanti vīravratānāṃ karuṇātmakānām // Ps_4.8 //	Adyam samAdAnam idam vadanti vIra vratAnAm karuNa AtmakAnAm // Ps_4.8 //
   padbhyāṃ atikramya kukūlakalpāṃ kṛtsnāṃ mahīmāyudhasaṃvṛtāṃ vā /	padByAm atikramya kukUla kalpAm kRtsnAm mahIm AyuDa saMvRtAm vA /
   yaddraṣṭum apyutsahate munīndrān pātuṃ śivaṃ dharmarasāyanaṃ vā // Ps_4.9	yat drazwum api utsahate muni indrAn pAtum Sivam Darma rasAyanam vA // Ps_4.9
   saṃsārapaṅkājjanatā mayeyam uddhṛtya nirvāṇasukhe niveṣyā /	saMsAra paFkAt janatA mayA iyam udDRtya nirvANa suKe nivezyAH /
   utkṣepanikṣepavidhau padānāṃ yaccittamevaṃ ca samādadāti // Ps_4.10 //	utkzepa nikzepa viDO padAnAm yat cittam evam ca samAdadAti // Ps_4.10 //
   yad vā hitārthaṃ kramate parasya puṇyāni vā lokahitāya cittam /	yat vA hita arTam kramate parasya puNyAni vA loka hitAya cittam /
   parākramaḥ so 'kṣayavikramāṇāṃ śrīmatsamādānavidhau dvitīyaḥ // Ps_4.11 //	parAkramaH saH akzaya vikramANAm SrImat samAdAna viDO dvitIyaH // Ps_4.11 //
   puṇyasya cotpādasamānakālaṃ saṃbuddhabhāve pariṇāmanaṃ yat /	puNyasya ca utpAda samAna kAlam saMbudDa BAve pariNAmanam yat /
   tadakṣayatvaṃ samudāgamāya śubhaṃ samādānam udāharanti // Ps_4.12 //	tat akzaya tvam samudAgamAya SuBam samAdAnam udAharanti // Ps_4.12 //
   mahatsu vāmbhaḥsu yathā niṣikto naivodabinduḥ kṣayamabhyupaiti /	mahatsu vA amBaHsu yaTA niziktaH na eva udabinduH kzayam aByupEti /
   saṃbuddhabhāve pariṇāmitasya tathaiva puṇyasya na saṃkṣayo 'sti // Ps_4.13	saMbudDa BAve pariNAmitasya taTA eva puNyasya na saMkzayaH asti // Ps_4.13
   tathā hi kāruṇyaviśuddhabuddhiḥ sarvajñabhāvāya phalantyamūni /	taTA hi kAruNya viSudDa budDiH sarvajQa BAvAya Palanti amUni /
   puṇyāni lokasya carācarasyetyevaṃ sa tānyārabhate susattvaḥ // Ps_4.14 //	puNyAni lokasya carAcarasya iti evam sa tAni AraBate su sattvaH // Ps_4.14 //
   mahātrisāhasragataṃ janaughaṃ nirvāpayedekadine na kaścit /	mahA tri sAhasra gatam jana oGam nirvApayet eka dine na kaScid /
   kalpaṃ tathā naiva ca sattvadhātostenāpi kiṃ cit paripācitaṃ syāt //	kalpam taTA na eva ca sattva DAtoH tena api kim cit paripAcitam syAt //
   Ps_4.15 //	Ps_4.15 //
   śrutvāpi sattvākṣayatāṃ imāṃ yaḥ sattvānaśeṣān vininīṣureva /	SrutvA api sattva akzayatAm imAm yaH sattvAn aSezAn vininIzuH eva /
   viṣādadoṣānavalīḍhavīryaḥ kastasya dūrastha ihārthasāraḥ // Ps_4.16 //	vizAda dozAn avalIXa vIryaH kaH tasya dUra sTaH iha arTasAraH // Ps_4.16 //
   yaḥ puṇyarāśirjagatāṃ samagrastāvatpramāṇairdaśabhirjinasya /	yaH puNya rASiH jagatAm samagraH tAvat pramANEH daSaBiH jinasya /
   nivṛttimāgacchati romakūpa ekaika ekaikasujātaromā // Ps_4.17 //	nivRttim AgacCati romakUpaH ekEkaH ekEka sujAta romA // Ps_4.17 //
   śatena bhūyo guṇitena tena puṇyena romāspadasaṃśritena /	Satena BUyas guNitena tena puNyena roma Aspada saMSritena /
   bhavatyanuvyañjanamekameva śeṣāṇi tasya prabhavanti kāye // Ps_4.18 //	Bavati anuvyaQjanam ekam eva SezANi tasya praBavanti kAye // Ps_4.18 //
   tāvadguṇādeva ca puṇyarāśestasmād anuvyañjanasaṃpraviṣṭāt /	tAvat guNAt eva ca puNya rASeH tasmAt anuvyaQjana saMpravizwAt /
   pratyekaśastasya jinatvaśaṃsi nirvartate lakṣaṇacitrakarma // Ps_4.19 //	pratyekaSaH tasya jinatu aSaMsi nirvartate lakzaNa citra karma // Ps_4.19 //
   sallakṣaṇotpattinimittabhūtāt sahasrasaṃkhyāguṇitācca puṇyāt /	sat lakzaNa utpatti nimitta BUtAt sahasra saMKyA guNitAt ca puNyAt /
   nirvartate tasya manojñavarṇā saṃpūrṇacandrasphuṭakāntirūrṇā // Ps_4.20 //	nirvartate tasya manojQa varNA saMpUrNa candra sPuwa kAnti H UrNA // Ps_4.20 //
   ūrṇābhinirvṛttikarmaṃ ca puṇyaṃ śatapramāṇairguṇitaṃ sahasraiḥ /	UrNA aBinirvRtti karmam ca puNyam Sata pramANEH guNitam sahasrEH /
   karoti tasyānavalokanīyaṃ chattarābhamuṣṇīṣalalāmaśīrṣam // Ps_4.21 //	karoti tasya anavalokanIyam Cattara ABam uzNIza lalAm a SIrzam // Ps_4.21 //
   ayaṃ mayā puṇyanidhiḥ parārthaṃ saṃceya ityuttamabodhicitte /	ayam mayA puNya niDiH para arTam saMceyaH iti uttama boDi citte /
   vīryonmukhe kena mukhena tasmiṃllayapravṛttirlabhatāṃ praveśam // Ps_4.22	vIrya unmuKe kena muKena tasmin= laya pravRttiH laBatAm praveSam // Ps_4.22
   sarve 'pi sattvā yadi lokadhātau pratyekabuddhaiḥ sadṛśā bhaveyuḥ /	sarve api sattvAH yadi lokaDAtO pratyekabudDEH sadRSAH BaveyuH /
   jñānena tebhyo 'bhyadhikaprabhāvaḥ kṣāntistha eko 'pi hi bodhisattvaḥ //	jQAnena teByaH aByaDika praBAvaH kzAnti sTaH ekaH api hi boDisattvaH //
   Ps_4.23 //	Ps_4.23 //
   tathaiva ca kṣāntibalasthitebhyo viśeṣaṃ āyātyavivartanīyaḥ /	taTA eva ca kzAnti bala sTiteByaH viSezam AyAti avivartanIyaH /
   aśrāntavīryaḥ kuśalaprayoge yallaukike caiva taduttare ca // Ps_4.24 //	aSrAnta vIryaH kuSala prayoge yat lOkike ca eva tad uttare ca // Ps_4.24 //
   tebhyaḥ puṇaścādhika eva dūraṃ ya ekajātipratibaddhabodhiḥ /	teByaH puNaH ca aDikaH eva dUram yaH eka jAti pratibadDa boDiH /
   ka eva vādo dṛḍhavīryavatsu ye bodhimūle prathamaṃ niṣaṇṇāḥ // Ps_4.25 //	kaH eva vAdaH dRXa vIryavatsu ye boDi mUle praTamam nizaNNAH // Ps_4.25 //
   tādṛgvidhajñānaviśuddhipūrṇaḥ syād yadyaśeṣena ca lokadhātuḥ /	tAdRgviDa jQAna viSudDi pUrNaH syAt yadi aSezena ca lokaDAtuH /
   yāyāt kalāṃ so 'pi na bodhimūle sthitasya mārātikṛtāntyajāteḥ // Ps_4.26	yAyAt kalAm saH api na boDi mUle sTitasya mAra atikRta antya jAteH // Ps_4.26
   tādṛgvidhajñānaviśuddhacittāḥ syuryadyaśeṣena ca sarvalokāḥ /	tAdRgviDa jQAna viSudDa cittAH syuH yadi aSezena ca sarva lokAH /
   balapradeśasya muneratulyāḥ kalāpradeśairapi te samagrāḥ // Ps_4.27 //	bala pradeSasya muneH atulyAH kalA pradeSEH api te samagrAH // Ps_4.27 //
   ityadbhutajñānasamudramekaḥ kṛpātmako nistarituṃ prayāti /	iti adButa jQAna samudram ekaH kRpA AtmakaH nistaritum prayAti /
   avyāhatājñaḥ paracittacāre prajñāvabhāsaṃ ca nabho viśālam // Ps_4.28 //	avyAhata ajQaH para citta cAre prajQA avaBAsam ca naBaH viSAlam // Ps_4.28 //
   sarveṣu sattveṣu ca tasya mātrā samānahārdā karuṇābhyudeti /	sarvezu sattvezu ca tasya mAtrA samAna hArdA karuNA aByudeti /
   saṃbuddhadharmāśca tato 'vaśeṣāstasyādbhutāḥ saṃprabhavantyaśeṣāḥ //	saMbudDa DarmAH ca tatas avaSezAH tasya adButAH saMpraBavanti aSezAH //
   Ps_4.29 //	Ps_4.29 //
   ebhiḥ samādānaguṇairupetaḥ śuddhaśravaiḥ pelavasattvasattvaiḥ /	eBiH samAdAna guNEH upetaH SudDa SravEH pelava sattva sattvEH /
   aṣṭābhiraṅgairiva tattvamārgo vīryaprakarṣādadhikaṃ vibhāti // Ps_4.30 //	azwABiH aFgEH iva tattva mArgaH vIrya prakarzAt aDikam viBAti // Ps_4.30 //
   vīryaṃ tridhā yaḥ kuśalaprayogastasmācca vākkāyamanoviśeṣāḥ /	vIryam triDA yaH kuSala prayogaH tasmAt ca vAc kAya manaH viSezAH /
   prasthānaviṣṭhānasamāhitasya vīryaprakarṣasya manomayasya // Ps_4.31 //	prasTAna vizWAna samAhitasya vIrya prakarzasya manaH mayasya // Ps_4.31 //
   yo bodhicittapraṇayaḥ samaśca kṛpā ca nairātmagatau kṣamā ca /	yaH boDi citta praNayaH samaH ca kRpA ca nErAtma gatO kzamA ca /
   caturvikalpo janasaṃgrahaśca sarveṣu dharmeṣvanavagrahaśca // Ps_4.32 //	catur vikalpaH jana saMgrahaH ca sarvezu Darmezu anavagrahaH ca // Ps_4.32 //
   saṃsārapaṅke yadakhinnatā ca traidhātukasyaiva ca nopalabdhiḥ /	saMsAra paFke yat aKinna tA ca trEDAtukasya eva ca na upalabDiH /
   sarvasvadānaṃ na ca tena mānaḥ samagraśikṣasya na śikṣayā ca // Ps_4.33 //	sarva sva dAnam na ca tena mAnaH samagra Sikzasya na SikzayA ca // Ps_4.33 //
   parāpakārairavikāri dhairyaṃ cittasya cātyantamavikṣatiryā /	para apakArEH avikAri DEryam cittasya ca atyantam avikzatiH yA /
   ārambhadārḍhayaṃ kuśalakriyāsu prītirvivekaikarasā ca citte // Ps_4.34 //	AramBa dArXayam kuSala kriyAsu prItiH viveka eka rasA ca citte // Ps_4.34 //
   caturvidhadhyānasamāpanaṃ ca cittasya nidhyaptiranātmataśca /	caturviDa DyAna samApanam ca cittasya niDyaptiH anAtmataH ca /
   atṛptatā ca śrutavistareṇa nyāyapraveśastadavekṣaṇācca // Ps_4.35 //	atRpta tA ca Sruta vistareNa nyAya praveSaH tad avekzaNAt ca // Ps_4.35 //
   yā deśanā caiva yathāśrutānāṃ jñānaṃ ca dharmānabhilāpyatāyām /	yA deSanA ca eva yaTA SrutAnAm jQAnam ca DarmAn aBilApyatAyAm /
   pañcasvabhijñāsu ca yatprabhutvam abhyāsamātrā ca taduttarāyām // Ps_4.36	paQcasu aBijQAsu ca yat praBu tvam aByAsa mAtrA ca tad uttarAyAm // Ps_4.36
   yadṛddhipādeṣvabhinirhṛtatvaṃ paṭvī na cāyāsamayī kriyā ca /	yat RdDipAdezu aBinirhRta tvam pawvI na ca AyAsa mayI kriyA ca /
   samyakprahāṇeṣu ca yaḥ prayogaḥ śubhāśubhādeva ca yā vimuktiḥ // Ps_4.37	samyak prahANezu ca yaH prayogaH SuBa aSuBAt eva ca yA vimuktiH // Ps_4.37
   yatkauśalaṃ cendriyanirṇayeṣu nirindriyān paśyati yacca dharmān /	yat kOSalam ca indriya nirNayezu nirindriyAn paSyati yat ca DarmAn /
   mārgasya saṃbhāravimārgaṇaṃ ca na cāsya kiṃ cid gamanaṃ kutaścit //	mArgasya saMBAra vimArgaNam ca na ca asya kim cit gamanam kutaScid //
   Ps_4.38 //	Ps_4.38 //
   ityevamādyaṃ pṛthucitravīryaṃ prasthānaviṣṭhānaviśeṣacitram /	iti evamAdyam pRTu citravIryam prasTAna vizWAna viSeza citram /
   asyākṣayatvapratipūraṇārthaṃ prasthānakarmaiva viśeṣahetuḥ // Ps_4.39 //	asya akzaya tva pratipUraNa arTam prasTAna karma eva viSeza hetuH // Ps_4.39 //
   nimittakarmasvapi na pravartate vitiṣṭhate jñānamaye ca karmaṇi /	nimitta karmasu api na pravartate vitizWate jQAna maye ca karmaNi /
   kṛpāguṇādyan na jahāti saṃskṛtaṃ na coruvīryo 'pi patatyasaṃskṛte //	kRpA guNAt yat na jahAti saMskRtam na ca uru vIryaH api patati asaMskRte //
   Ps_4.40 //	Ps_4.40 //
   apūrvadharmaśrutiralparogatā durāsadetvaṃ śrutadharmadhāraṇam /	apUrva Darma SrutiH alpa roga tA durAsa detvam Sruta Darma DAraNam /
   amānuṣebhyo 'pi parigrahodayaḥ samādhigotrapratilambha eva ca // Ps_4.41	amAnuzeByaH api parigraha udayaH samADi gotra pratilamBaH eva ca // Ps_4.41
   vrajantyavandhyā yadaharniśaṃ kriyā guṇairna hāniṃ yadutpaiti mauśalīm /	vrajanti avanDyAH yat aharniSam kriyA guNEH na hAnim yat utpEti mOSalIm /
   vivṛddha evotpalavacca yadguṇairmanuṣyadharmādadhikaprayojanaiḥ // Ps_4.42	vivRdDaH eva utpala vat ca yad guNEH manuzya DarmAt aDika prayojanEH // Ps_4.42
   yaśo viśālam ca sukhaṃ sukhodayaṃ vinītakārpaṇyamanastvamuttamam /	yaSaH viSAlam ca suKam suKa udayam vinIta kArpaNya manaH tvam uttamam /
   guṇāśca teṣāmiha dṛṣṭadhārmikā bhavanti vīryāditi ko 'tra vismayaḥ //	guNAH ca tezAm iha dRzwa DArmikAH Bavanti vIryAt iti kaH atra vismayaH //
   Ps_4.43 //	Ps_4.43 //
   trailokyapūjyamamitoruguṇaṃ saṃbuddhabhāvamapi yānti yadā /	trElokya pUjyam amita uru guNam saMbudDa BAvam api yAnti yadA /
   vīryavyāpāśrayadṛḍhāḥ puruṣā na syād ataḥ ka iva vīryaparaḥ // Ps_4.44 //	vIrya vyApa ASraya dRXAH puruzAH na syAt atas kaH iva vIrya paraH // Ps_4.44 //
   // vīryapāramitāsamāsaḥ //	// vIrya pAramitA samAsaH //
   5. dhyānapāramitāsamāsaḥ	5. DyAna pAramitA samAsaH
   atha dhyānavidhau yogaṃ kuryāj jñānavivṛddhaye /	aTa DyAna viDO yogam kuryAt jQAna vivRdDaye /
   sukhaṃ hi kartuṃ lokānāṃ jñānālokādanugraham // Ps_5.1 //	suKam hi kartum lokAnAm jQAna AlokAt anugraham // Ps_5.1 //
   prasīdatyadhikaṃ jñānaṃ dhyānānmanasi nirmale /	prasIdati aDikam jQAnam DyAnAt manasi nirmale /
   śaradutsāritaghane nabhasīvendumaṇḍalam // Ps_5.2 //	Sarad utsArita Gane naBasi iva indu maNxalam // Ps_5.2 //
   viśuddhaśīlaḥ kalyāṇaiḥ sahāyaiḥ sahitairhitaiḥ /	viSudDa SIlaH kalyANEH sahAyEH sahitEH hitEH /
   alpakṛtyaḥ praśāntātma smṛtyadhiṣṭhānaveṣṭitaḥ // Ps_5.3 //	alpa kRtyaH praSAnta Atma smRti aDizWAna vezwitaH // Ps_5.3 //
   nivasan vṛkṣamūleṣu śādvalāstīrṇabhūmiṣu /	nivasan vRkza mUlezu SAdvala AstIrNa BUmizu /
   anupaskṛtaramyeṣu vanapuṣpasugandhiṣu // Ps_5.4 //	anupaskRta ramyezu vana puzpa suganDizu // Ps_5.4 //
   dhyānasācivyadhīreṣu saṃtuṣṭajanaveśmasu /	DyAna sAcivya DIrezu saMtuzwa jana veSmasu /
   jananirghoṣamūkatvād gambhīrāvasthiteṣviva // Ps_5.5 //	jana niH Goza mUka tvAt gamBIra avasTitezu iva // Ps_5.5 //
   pratyaraṇyaniviṣṭeṣu śūnyeṣvāyataneṣu vā /	pratyaraNya nivizwezu SUnyezu Ayatanezu vA /
   kuñjeṣu ca mahīdhrāṇāṃ siṃhanādānunādiṣu // Ps_5.6 //	kuQjezu ca mahIDrANAm siMhanAda anuna Adizu // Ps_5.6 //
   yatra kva cana vā deśe saṃsargakleśavarjite /	yatra kva cana vA deSe saMsarga kleSa varjite /
   paryaṅkena sukhāsīnaḥ śarīram ṛju dhārayan // Ps_5.7 //	paryaFkena suKa AsInaH SarIram Rju DArayan // Ps_5.7 //
   upasthāpya smṛtimayīṃ rakṣāṃ abhimukhīṃ hṛdi /	upasTApya smRti mayIm rakzAm aBimuKIm hRdi /
   kṛpayā kuvitarkāṇāṃ kṛtvevākṣaṇaghoṣaṇām // Ps_5.8 //	kRpayA kuvitarkANAm kRtvA iva akzaNa GozaNAm // Ps_5.8 //
   prajñāparicayasyāyāṃ kālo me na tu nirvṛteḥ /	prajQA paricayasyAyAm kAlaH me na tu nirvRteH /
   na hi sattvān anirvāpya svayaṃ nirvātum utsahe // Ps_5.9 //	na hi sattvAn anirvApya svayam nirvAtum utsahe // Ps_5.9 //
   iti lokahitāvekṣī buddhabhāvagataspṛhaḥ /	iti loka hita avekzI budDa BAva gata spRhaH /
   kuryāt sātatyayogena dhyānārambhasamudyamam // Ps_5.10 //	kuryAt sAtatya yogena DyAna AramBa samudyamam // Ps_5.10 //
   na hi viśramya viśramya mathnannagnimavāpnuyāt /	na hi viSramya viSramya maTnan= agnim avApnuyAt /
   sa eva yogo yoge 'pi viśeṣādhigamādṛte // Ps_5.11 //	saH eva yogaH yoge api viSeza aDigamAt Rte // Ps_5.11 //
   ekatraiva ca badhnīyād dṛḍham ālambane manaḥ /	ekatra eva ca baDnIyAt dRXam Alambane manaH /
   anyānyālambanagrāhaḥ kliśnātyevākulaṃ manaḥ // Ps_5.12 //	anyAni Alambana grAhaH kliSnAti eva Akulam manaH // Ps_5.12 //
   vidarśanād vīryabalāllīyamānaṃ samuddharet /	vidarSanAt vIrya balAt lIyamAnam samudDaret /
   uddhanyamānaṃ ca manaḥ praśamena nivārayet // Ps_5.13 //	udDanyamAnam ca manaH praSamena nivArayet // Ps_5.13 //
   samyaggatamupekṣitaṃ samādhibalaniścalam /	samyak gatam upekzitam samADi bala niScalam /
   tatrāpi vā tanmayaḥ syāt sugatajñānalabdhaye // Ps_5.14 //	tatra api vA tad mayaH syAt sugata jQAna labDaye // Ps_5.14 //
   na ca dhyānasukhāsvādaḥ pāratantryamanukramet /	na ca DyAna suKa AsvAdaH pAratantryam anukramet /
   na hi svasukhamātrārthamayam ārambhavistaraḥ // Ps_5.15 //	na hi sva suKa mAtra arTa mayam AramBa vistaraH // Ps_5.15 //
   śarīrajīvitāpekṣī dainyopahatamānasaḥ /	SarIra jIvita apekzI dEnya upahata mAnasaH /
   na kuryād vīryaśaithilyamapyādīpte svamūrdhani // Ps_5.16 //	na kuryAt vIrya SETilyam api AdIpte sva mUrDani // Ps_5.16 //
   lakṣayitvā nimittāni manastasya samādhaye /	lakzayitvA nimittAni manaH tasya samADaye /
   bhraśyamānaṃ prayuñjīta smṛtyāvahitayā punaḥ // Ps_5.17 //	BraSyamAnam prayuQjIta smRtyOvahitayA punar // Ps_5.17 //
   mano nivaraṇebhyaśca vipakṣairvinivartayet /	manaH nivaraNeByaH ca vipakzEH vinivartayet /
   svecchāprayātaṃ dviradam aṅkuśākarṣaṇairiva // Ps_5.18 //	sva icCA prayAtam dviradam aFkuSa AkarzaNEH iva // Ps_5.18 //
   atha nīvaraṇavyādhināśaprasvasthamānasaḥ /	aTa nIvaraNa vyADi nASa prasvasTa mAnasaH /
   dāridryādiva nirmukto mahato vyasanādiva // Ps_5.19 //	dAridryAt iva nirmuktaH mahataH vyasanAt iva // Ps_5.19 //
   prītiyuktena manasā kāmadoṣān vicārayet /	prIti yuktena manasA kAma dozAn vicArayet /
   tadviyogopalabhyāṃ ca parāṃ sukhaparamparām // Ps_5.20 //	tad viyoga upalaByAm ca parAm suKa paramparAm // Ps_5.20 //
   vidyududdyotacapalāḥ phenāṃśukanibhātmakāḥ /	vidyut uddyota capalAH Pena aMSuka niBa AtmakAH /
