   akartṛbhāvādbhoktuśca MrgT_1,2.15c	akartR-BAvAt-BoktuH-ca MrgT_1,2.15c
   prakāśayatyato 'nyeṣu MrgT_1,1.26c	prakASayati-atas anyezu MrgT_1,1.26c
   prakāśayatyekadeśaṃ MrgT_1,10.5c	prakASayati-eka-deSam MrgT_1,10.5c
   prakāśānvayataḥ sāttvās MrgT_1,12.3c	prakASa-anvayataH sAttvAH MrgT_1,12.3c
   prakāśārthapravṛttatvād MrgT_1,11.4c	prakASa-arTa-pravRtta-tvAt MrgT_1,11.4c
   prakāśāścenduyakṣapāḥ MrgT_1,13.132b	prakASAH-ca-indu-yakzapAH MrgT_1,13.132b
   prakāśyatvācca bhūtādir MrgT_1,12.6c	prakASya-tvAt-ca BUtAdiH MrgT_1,12.6c
   prakṛtāvucyate katham MrgT_1,13.186d	prakRtO=-ucyate kaTam MrgT_1,13.186d
   prakṛtisthāśayān kālaṃ MrgT_1,13.184c	prakRti-sTa-ASayAn kAlam MrgT_1,13.184c
   prakṛtyādi nivāryate MrgT_1,13.183b	prakRti-Adi nivAryate MrgT_1,13.183b
   pragītaṃ bahuvistaram MrgT_1,1.27d	pragItam bahu-vistaram MrgT_1,1.27d
   pracalatvaṃ pradhāvatām MrgT_4.30b	pracala-tvam praDAvatAm MrgT_4.30b
   praṇavoccārasaṃśritam MrgT_3.119b	praNava-uccAra-saMSritam MrgT_3.119b
   praṇetṝṇ paśuśāstrāṇāṃ MrgT_1,4.11a	praNetLN paSu-SAstrANAm MrgT_1,4.11a
   praṇetrasarvadarśitvān MrgT_1,2.11a	praNetR-asarva-darSi-tvAt MrgT_1,2.11a
   pratijñāmātramevedaṃ MrgT_1,2.12c	pratijQA-mAtram-eva-idam MrgT_1,2.12c
   pratipatpañcadaśyośca MrgT_3.54a	pratipad-paQcadaSyoH-ca MrgT_3.54a
   pratipannasya lakṣaṇam MrgT_1,9.1b	pratipannasya lakzaNam MrgT_1,9.1b
   pratipuṃniyatatvācca MrgT_1,8.2c	pratipuMniyata-tvAt-ca MrgT_1,8.2c
   pratipraśnātimātrakam MrgT_3.48b	pratipraSna-atimAtrakam MrgT_3.48b
   pratisroto 'nuyāyīni MrgT_3.37c	pratisrotas anuyAyIni MrgT_3.37c
   pratīcyāṃ gandhamādanāt MrgT_1,13.68d	pratIcyAm ganDamAdanAt MrgT_1,13.68d
   pratīcyāṃ vipulo nīlaḥ MrgT_1,13.72c	pratIcyAm vipulaH nIlaH MrgT_1,13.72c
   pratītiraupadravā MrgT_1,12.18d	pratItiH-OpadravAH MrgT_1,12.18d
   pratīto yasya dharmiṇaḥ MrgT_1,9.11b	pratItaH yasya DarmiNaH MrgT_1,9.11b
   pratyabdamathavaindavam MrgT_3.127b	pratyabdam-aTa-vA-Endavam MrgT_3.127b
   pratyayāstadupādānās MrgT_1,10.25a	pratyayAH-tad-upAdAnAH MrgT_1,10.25a
   pratyaṃśaṃ saṃhitāṇubhiḥ MrgT_3.5d	pratyaMSam saMhitA-aNuBiH MrgT_3.5d
   pratyātmaniyataṃ bhoga- MrgT_1,12.33a	pratyAtma-niyatam Boga MrgT_1,12.33a
   pratyātmasthasvakālāntā- MrgT_1,7.8c	pratyAtma-sTa-sva-kAla-antA MrgT_1,7.8c
   pratyāhāro vidhātavyaḥ MrgT_4.5c	pratyAhAraH viDAtavyaH MrgT_4.5c
   pradīptakṣutpipāsakāḥ MrgT_1,13.18b	pradIpta-kzuD-pipAsakAH MrgT_1,13.18b
   pradoṣe prativāsaram MrgT_3.102d	pradoze prativAsaram MrgT_3.102d
   pradhānavikṛteradhaḥ MrgT_1,4.8b	praDAna-vikRteH-aDas MrgT_1,4.8b
   pradhānādicaturgranthi- MrgT_1,13.196c	praDAna-Adi-catur-granTi MrgT_1,13.196c
   pradhānādhipatīñchṛṇu MrgT_1,13.148d	praDAna-aDipatIn-SRNu MrgT_1,13.148d
   prabhāvātiśayātkhyātaṃ MrgT_1,13.76c	praBAva-atiSayAt-KyAtam MrgT_1,13.76c
   prabhāsanaimiṣau ceti MrgT_1,13.137a	praBAsa-nEmizO ca-iti MrgT_1,13.137a
   pramāṇaṃ bhātyabādhitam MrgT_1,1.9b	pramANam BAti-abADitam MrgT_1,1.9b
   pramādāddhārite liṅge MrgT_3.115a	pramAdAt-hArite liFge MrgT_3.115a
   pramādādyoṣitaṃ gatvā MrgT_3.118c	pramAdAt-yozitam gatvA MrgT_3.118c
   pramārṣṭi tadyayā sāsya MrgT_1,13.172c	pramArzwi tat-yayA sA-asya MrgT_1,13.172c
   pramukheṣu tu recakam MrgT_4.26b	pramuKezu tu recakam MrgT_4.26b
   prameyatvaṃ prapadyate MrgT_1,2.13b	prameya-tvam prapadyate MrgT_1,2.13b
   prayoktṛdehasāpekṣaṃ MrgT_1,4.7a	prayoktR-deha-sApekzam MrgT_1,4.7a
   prayoktryādimahīprāntam MrgT_1,12.32c	prayoktryAdi-mahI-prAntam MrgT_1,12.32c
   pralayārkānaladyutiḥ MrgT_1,13.23d	pralaya-arka-anala-dyutiH MrgT_1,13.23d
   pravartakamanādimat MrgT_1,8.6b	pravartakam-anAdimat MrgT_1,8.6b
   pravādo 'pyakhilo mithyā MrgT_1,1.14a	pravAdaH api-aKilaH miTyA MrgT_1,1.14a
   pravṛttaye guruṃ svaṃ ca MrgT_3.34c	pravRttaye gurum svam ca MrgT_3.34c
   pravṛttasya jagatprabhoḥ MrgT_1,7.14b	pravRttasya jagat-praBoH MrgT_1,7.14b
   pravṛttasya sukhaṃ duḥkhaṃ MrgT_1,11.18c	pravRttasya suKam duHKam MrgT_1,11.18c
   pravṛttā daśakoṭayaḥ MrgT_1,13.12b	pravRttA daSa-kowayaH MrgT_1,13.12b
   pravṛttikārakāstitvaṃ MrgT_1,12.9c	pravRtti-kAraka-astitvam MrgT_1,12.9c
   pravṛttiḥ sukhabuddhijā MrgT_1,11.18b	pravRttiH suKa-budDi-jA MrgT_1,11.18b
   pravṛtteṣu bhṛgūn gurūn MrgT_1,13.103d	pravRttezu BRgUn gurUn MrgT_1,13.103d
   pravṛttyaṅgaṃ paraṃ hi tat MrgT_1,10.4d	pravRtti-aFgam param hi tat MrgT_1,10.4d
   pravṛttyanantaraṃ dveṣo MrgT_1,11.19a	pravRtti-anantaram dvezaH MrgT_1,11.19a
   pravṛttyanupapattitaḥ MrgT_1,9.17b	pravRtti-anupapattitaH MrgT_1,9.17b
   praśnasyāvaśyavācyatvāt MrgT_4.14c	praSnasya-avaSya-vAcya-tvAt MrgT_4.14c
   prasiddhā eva bhūyasā MrgT_1,10.20d	prasidDAH eva BUyasA MrgT_1,10.20d
   prastutoktiśarīravat MrgT_1,13.39d	prastuta-ukti-SarIra-vat MrgT_1,13.39d
   prahlādaḥ śiśupālakaḥ MrgT_1,13.29d	prahlAdaH SiSupAlakaH MrgT_1,13.29d
   prākāraṃ kavacaṃ kuryāt MrgT_3.102a	prAkAram kavacam kuryAt MrgT_3.102a
   prākāraṃ bhasmanā dīptam MrgT_3.101a	prAkAram BasmanA dIptam MrgT_3.101a
   prākṛtāśca bhavantyaṇoḥ MrgT_1,10.26d	prAkRtAH-ca Bavanti-aNoH MrgT_1,10.26d
   prākṛto dehasaṃyoge MrgT_1,10.29a	prAkRtaH deha-saMyoge MrgT_1,10.29a
   prākpādakṛtasaṃsthiteḥ MrgT_1,2.8b	prAc-pAda-kRta-saMsTiteH MrgT_1,2.8b
   prāgāyataḥ suparvāṇāḥ MrgT_1,13.65c	prAc-AyataH su-parvANAH MrgT_1,13.65c
   prāgvibhūtyavyayau śāsta MrgT_1,13.126a	prAk-viBUti-avyayO SAsta MrgT_1,13.126a
   prāgvyākhyānaparāmarśa- MrgT_3.60c	prAc-vyAKyAna-parAmarSa MrgT_3.60c
   prācyādiṣvindramukhyānāṃ MrgT_1,13.46c	prAcI-a-Adizu-indra-muKyAnAm MrgT_1,13.46c
   prācyāṃ viṣkambhaśailasya MrgT_1,13.77a	prAcyAm vizkamBa-SElasya MrgT_1,13.77a
   prāṇaśabdaḥ kalāsu ca MrgT_1,11.23d	prANa-SabdaH kalAsu ca MrgT_1,11.23d
   prāṇaḥ prāgudito vāyur MrgT_4.4a	prANaH prAc-uditaH vAyuH MrgT_4.4a
   prāṇādivṛttibhedena MrgT_1,12.31c	prANa-Adi-vRtti-Bedena MrgT_1,12.31c
   prāṇādivṛttisiddhyarthaṃ MrgT_4.41c	prANa-Adi-vRtti-sidDi-arTam MrgT_4.41c
   prāṇāpānādayaste tu MrgT_1,11.21a	prANa-apAna-AdayaH-te tu MrgT_1,11.21a
   prāṇāyāmaṃ vināpyevaṃ MrgT_4.50c	prANAyAmam vinA-api-evam MrgT_4.50c
   prāṇāyāmaḥ pratyāhāro MrgT_4.3a	prANAyAmaH pratyAhAraH MrgT_4.3a
   prāṇāyāmādikānapi MrgT_4.53d	prANAyAma-AdikAn-api MrgT_4.53d
   prāṇāyāmādyanuṣṭhānāj MrgT_4.2c	prANAyAma-Adi-anuzWAnAt MrgT_4.2c
   prāṇāyāmāyutaṃ bhajet MrgT_3.118d	prANAyAma-ayutam Bajet MrgT_3.118d
   prāṇo vā prāṇayogataḥ MrgT_1,11.23b	prANaH vA prANa-yogataH MrgT_1,11.23b
   prātarniśākṛtaṃ pāpaṃ MrgT_4.29c	prAtar-niSA-kRtam pApam MrgT_4.29c
   prāptamadyānniveditam MrgT_3.72b	prApta-madyAt-niveditam MrgT_3.72b
   prāptaṃ gṛhṇāti nātodye MrgT_1,12.18a	prAptam gRhNAti na-Atodye MrgT_1,12.18a
   prāptaṃ lakṣaṇamātmanaḥ MrgT_1,6.1b	prAptam lakzaNam-AtmanaH MrgT_1,6.1b
   prāptaḥ sarvaharo doṣaḥ MrgT_1,9.4c	prAptaH sarva-haraH dozaH MrgT_1,9.4c
   prāpnoti dhāraṇāśabdaṃ MrgT_4.35a	prApnoti DAraNA-Sabdam MrgT_4.35a
   prāpya yānti paraṃ padam MrgT_1,13.174d	prApya yAnti param padam MrgT_1,13.174d
   prāyaścittaṃ vidhisthitam MrgT_3.106b	prAyaScittam viDi-sTitam MrgT_3.106b
   prāyaścittaṃ hi tadguroḥ MrgT_3.26d	prAyaScittam hi tad-guroH MrgT_3.26d
   prāyaścittī bhavedyasmāt MrgT_3.24c	prAyaScittI Bavet-yasmAt MrgT_3.24c
   prārabheta gururvyākhyāṃ MrgT_3.33c	prAraBeta guruH-vyAKyAm MrgT_3.33c
   prārambhe 'pi na sampraśna- MrgT_3.48a	prAramBe api na sampraSna MrgT_3.48a
   prāvṛtīśabale karma MrgT_1,2.7a	prAvRti-ISa-bale karma MrgT_1,2.7a
   prāha vistaraśaḥ punaḥ MrgT_1,2.2d	prAha vistaraSaH punar MrgT_1,2.2d
   prāhedaṃ sādhanaṃ haraḥ MrgT_4.57b	prAha-idam sADanam haraH MrgT_4.57b
   priyo 'marāṇāṃ tatketuḥ MrgT_1,13.102a	priyaH amarANAm tad-ketuH MrgT_1,13.102a
   pretamāriniṣevitā MrgT_1,13.49d	pretam-Ari-nizevitAH MrgT_1,13.49d
   preraṇākṛṣṭisaṃrodha- MrgT_4.4c	preraNa-AkRzwi-saMroDa MrgT_4.4c
   preraṇāśūnyatāptaye MrgT_4.37d	preraNA-SUnyatA-Aptaye MrgT_4.37d
   protsāraṇaṃ preraṇaṃ sā MrgT_1,10.6c	protsAraNam preraNam sA MrgT_1,10.6c
   provāca codanādharmaḥ MrgT_1,1.4c	provAca codanA-DarmaH MrgT_1,1.4c
   phalamūlabhugeva vā MrgT_3.76b	Pala-mUla-Buj-eva vA MrgT_3.76b
   phalaṃ dīpāṅgavastuvat MrgT_1,12.33f	Palam dIpa-aFga-vastu-vat MrgT_1,12.33f
   phalaṃ brūhi sureśvara MrgT_4.40b	Palam brUhi sureSvara MrgT_4.40b
   phalaṃ mūlaṃ ca bhojanam MrgT_1,13.86d	Palam mUlam ca Bojanam MrgT_1,13.86d
   baddhvāsanamatandritaḥ MrgT_3.87b	badDvA-Asanam-atandritaH MrgT_3.87b
   badhnīyācchivatejasā MrgT_3.6b	baDnIyAt-Siva-tejasA MrgT_3.6b
   bandhadhyānārcanādikam MrgT_3.69d	banDa-DyAna-arcana-Adikam MrgT_3.69d
   bandhamokṣāvubhāvapi MrgT_1,2.16d	banDa-mokzO=-uBO=-api MrgT_1,2.16d
   bandhaśūnyasya vaśitā MrgT_1,7.3a	banDa-SUnyasya vaSitA MrgT_1,7.3a
   babhūvuḥ kāñcanā ye ca MrgT_1,13.75c	baBUvuH kAQcanAH ye ca MrgT_1,13.75c
   balavadbhūtasaṃjuṣṭā MrgT_1,13.52c	balavat-BUta-saMjuzwAH MrgT_1,13.52c
   balātibalapāśāṅga- MrgT_1,13.129c	bala-ati-bala-pASa-aFga MrgT_1,13.129c
   balipriyasukhādhipāḥ MrgT_1,13.133b	bali-priya-suKa-aDipAH MrgT_1,13.133b
   baliṃ ca nairṛte dadyād MrgT_3.86c	balim ca nErRte dadyAt MrgT_3.86c
   bahiḥ sthito bahiḥsaṃsthāt MrgT_3.62c	bahis sTitaH bahis-saMsTAt MrgT_3.62c
   bahudaivasike yoge MrgT_3.123a	bahu-dEvasike yoge MrgT_3.123a
   bāṇe liṅge svayaṃvyakte MrgT_3.96c	bANe liFge svayaMvyakte MrgT_3.96c
   bādhakānyanuvartīni MrgT_4.38c	bADakAni-anuvartIni MrgT_4.38c
   bādhāśūnye vanādau vā MrgT_4.17c	bADA-SUnye vana-AdO vA MrgT_4.17c
   bāhyāvṛtau tadastrāṇi MrgT_3.103a	bAhyOvRtO tad-astrANi MrgT_3.103a
   bāhyena vāyunā mūrteḥ MrgT_4.21c	bAhyena vAyunA mUrteH MrgT_4.21c
   biḍālavyālabhekeṣu MrgT_3.57a	bixAla-vyAla-Bekezu MrgT_3.57a
   bindurnādo 'tha kāraṇam MrgT_1,13.194d	binduH-nAdaH aTa kAraNam MrgT_1,13.194d
   binduśūnyānvitāni tu MrgT_4.38b	bindu-SUnya-anvitAni tu MrgT_4.38b
   bibhṛyādiṣṭasiddhaye MrgT_4.39b	biBRyAt-izwa-sidDaye MrgT_4.39b
   bījasya prakṛteraṇoḥ MrgT_1,3.5d	bIjasya prakRteH-aNoH MrgT_1,3.5d
   buddhitattvaṃ tato nānā- MrgT_1,10.23a	budDi-tattvam tatas nAnA MrgT_1,10.23a
   buddhirbodhanimittaṃ ced MrgT_1,11.9a	budDiH-boDa-nimittam ced MrgT_1,11.9a
   buddhiryā siddhiratra sā MrgT_1,11.2b	budDiH-yA sidDiH-atra sA MrgT_1,11.2b
   buddhau paiśācamāditaḥ MrgT_1,13.142d	budDO pESAcam-Aditas MrgT_1,13.142d
   buddhau bhāvādayaḥ sthitāḥ MrgT_1,13.197b	budDO BAva-AdayaH sTitAH MrgT_1,13.197b
   budhnavajraśarīrāja- MrgT_1,13.125c	buDna-vajra-SarI-rAja MrgT_1,13.125c
   bubhuk.oritarasya vā MrgT_3.App.1d	buBuk.oH-itarasya vA MrgT_3.App.1d
   bṛhadgarbho balistathā MrgT_1,13.30b	bRhadgarBaH baliH-taTA MrgT_1,13.30b
   boddhṛtvapariṇāmitva- MrgT_1,7.22a	bodDR-tva-pariNAmi-tva MrgT_1,7.22a
   bodha ityucyate bodha- MrgT_1,11.8c	boDaH iti-ucyate boDa MrgT_1,11.8c
   bodhe kṛtye ca tattathā MrgT_1,3.5b	boDe kRtye ca tat-taTA MrgT_1,3.5b
   -bjāśano bhadravājini MrgT_1,13.83b	-bja-aSanaH Badra-vAjini MrgT_1,13.83b
   brahmaṇo 'ṇḍasya yojanaiḥ MrgT_1,13.9b	brahmaNaH aNxasya yojanEH MrgT_1,13.9b
   brahmādyaiśca surottamaiḥ MrgT_1,13.62d	brahma-AdyEH-ca sura-uttamEH MrgT_1,13.62d
   brāhmavaiṣṇavakaumāram MrgT_1,13.144c	brAhma-vEzNava-kOmAram MrgT_1,13.144c
   bruvate bhagavan kecit MrgT_1,12.23a	bruvate Bagavan kecid MrgT_1,12.23a
   brūta kena nivāryate MrgT_1,12.17b	brUta kena nivAryate MrgT_1,12.17b
   brūte ya evaṃ yo 'dhīte MrgT_3.51c	brUte yaH evam yaH aDIte MrgT_3.51c
   brūyādaṅga paṭhasveti MrgT_3.33a	brUyAt-aFga paWasva-iti MrgT_3.33a
   brūhi sarvārthadarśyasi MrgT_1,13.180d	brUhi sarva-arTa-darSI-asi MrgT_1,13.180d
   bhaktiśca śivabhakteṣu MrgT_1,5.5a	BaktiH-ca Siva-Baktezu MrgT_1,5.5a
   bhagavānagraṇīrabhūt MrgT_1,1.21b	BagavAn-agraNIH-aBUt MrgT_1,1.21b
   bhajatyanugrahāpekṣaṃ MrgT_1,10.8c	Bajati-anugraha-apekzam MrgT_1,10.8c
   bhajeccandrapathi sthite MrgT_4.24d	Bajet-candra-paTi sTite MrgT_4.24d
   bhadrakarṇamahālayāḥ MrgT_1,13.139d	Badra-karNa-mahAlayAH MrgT_1,13.139d
   bhadrāśvaṃ mālyavatprācyāṃ MrgT_1,13.68a	BadrASvam mAlyavat-prAcyAm MrgT_1,13.68a
   bhayamutpadyate śaktyā MrgT_1,13.11c	Bayam-utpadyate SaktyA MrgT_1,13.11c
   bharadvāja nibodha me MrgT_1,11.21d	BaradvAja niboDa me MrgT_1,11.21d
   bharadvājamṛṣiṃ tataḥ MrgT_1,1.1b	BaradvAjam-Rzim tatas MrgT_1,1.1b
   bharadvājādayo dvijāḥ MrgT_1,1.2b	BaradvAja-AdayaH dvijAH MrgT_1,1.2b
   bhavatyayomayyardhena MrgT_1,13.22a	Bavati-ayaH-mayi-arDena MrgT_1,13.22a
   bhavanti koṭayastriṃśad MrgT_1,13.21a	Bavanti kowayaH-triMSat MrgT_1,13.21a
   bhavanti jagato 'ṇavaḥ MrgT_1,7.1d	Bavanti jagataH aNavaH MrgT_1,7.1d
   bhavanti vajrakajvālā- MrgT_4.38a	Bavanti vajraka-jvAlA MrgT_4.38a
   bhavantyaṣṭau subībhatsā MrgT_1,13.17a	Bavanti-azwO su-bIBatsA MrgT_1,13.17a
   bhavantyetāni liṅgāni MrgT_1,5.8c	Bavanti-etAni liFgAni MrgT_1,5.8c
   bhavāvasthā varaṃ tataḥ MrgT_1,2.26d	Bava-avasTAH varam tatas MrgT_1,2.26d
   bhavitavyaṃ jagatkṛtā MrgT_1,2.4b	Bavitavyam jagat-kRtA MrgT_1,2.4b
   bhavināṃ bhavakhinnānāṃ MrgT_1,4.14a	BavinAm Bava-KinnAnAm MrgT_1,4.14a
   bhavināṃ viśramāyaivaṃ MrgT_1,13.192c	BavinAm viSramAya-evam MrgT_1,13.192c
   bhavettyaktajaro vaśī MrgT_4.48b	Bavet-tyakta-jaraH vaSI MrgT_4.48b
   bhavedvinamane jite MrgT_4.48d	Bavet-vinamane jite MrgT_4.48d
   bhasmakṣayāntakahara- MrgT_1,13.126c	Basma-kzaya-antaka-hara MrgT_1,13.126c
   bhasmanā traiphalena ca MrgT_3.7b	BasmanA trEPalena ca MrgT_3.7b
   bhāti vainayiko guṇaḥ MrgT_1,10.28b	BAti vEnayikaH guNaH MrgT_1,10.28b
   bhārataṃ himavadgireḥ MrgT_1,13.69d	BAratam himavat-gireH MrgT_1,13.69d
   bhāratākhe prakīrtitāḥ MrgT_1,13.96b	BArata-AKe prakIrtitAH MrgT_1,13.96b
   bhārabhūtyāṣāḍhiḍiṇḍi- MrgT_1,13.136c	BAraBUti-AzAXi-xiNxi MrgT_1,13.136c
   bhāvapratyayalakṣaṇam MrgT_1,10.23b	BAva-pratyaya-lakzaNam MrgT_1,10.23b
   bhāvapratyayalakṣaṇaḥ MrgT_1,11.8b	BAva-pratyaya-lakzaNaH MrgT_1,11.8b
   bhāvā buddhiguṇā dharma- MrgT_1,10.24a	BAvAH budDi-guNAH Darma MrgT_1,10.24a
   bhāvāḥ sapratyayāsteṣāṃ MrgT_1,10.26a	BAvAH sa-pratyayAH-tezAm MrgT_1,10.26a
   bhāsaścandrātapopamāḥ MrgT_1,13.111d	BAsaH-candra-Atapa-upamAH MrgT_1,13.111d
   bhāsvadagnau jale śuklaṃ MrgT_1,12.28c	BAsvat-agnO jale Suklam MrgT_1,12.28c
   bhikṣāmalabdhvā no kopaṃ MrgT_3.83c	BikzAm-alabDvA no kopam MrgT_3.83c
   bhidyete te tvanekadhā MrgT_1,2.9d	Bidyete te tu-anekaDA MrgT_1,2.9d
   bhinnajātīyamapyeka- MrgT_1,12.33e	Binna-jAtIyam-api-eka MrgT_1,12.33e
   bhinnadeśeṣu yaṣṭṛṣu MrgT_1,1.8b	Binna-deSezu yazwRzu MrgT_1,1.8b
   bhinnā vṛtterna vastutaḥ MrgT_1,11.21b	BinnA vRtteH-na vastutas MrgT_1,11.21b
   bhīkṣāṃ tu carato bhikṣāṃ MrgT_3.81a	BIkzAm tu carataH BikzAm MrgT_3.81a
   bhīmomāpatyajeśvarāḥ MrgT_1,13.146b	BIma-umApatya-jeSvarAH MrgT_1,13.146b
   bhuktirapyanuṣaṅgataḥ MrgT_1,2.9b	BuktiH-api-anuzaFgataH MrgT_1,2.9b
   bhujaṅgakṣaṇadācarāḥ MrgT_1,13.28d	BujaFga-kzaNadA-carAH MrgT_1,13.28d
   bhuvanādi vinirmame MrgT_1,13.1b	Buvana-Adi vinirmame MrgT_1,13.1b
   bhuvanānāmadhīśvarāḥ MrgT_1,13.166b	BuvanAnAm-aDISvarAH MrgT_1,13.166b
   bhuvanāni vapūṃṣi ca MrgT_1,13.193d	BuvanAni vapUMzi ca MrgT_1,13.193d
   bhuvanānyapi nādādi- MrgT_1,13.164a	BuvanAni-api nAda-Adi MrgT_1,13.164a
   bhuvaneśamahādeva- MrgT_1,13.151a	BuvaneSa-mahAdeva MrgT_1,13.151a
   bhūtagrāmavivartakāḥ MrgT_1,13.154d	BUta-grAma-vivartakAH MrgT_1,13.154d
   bhūtaye svarga ityetā MrgT_1,13.56c	BUtaye svargaH iti-etAH MrgT_1,13.56c
   bhūtavedasahasrau dvāv MrgT_1,13.85a	BUta-veda-sahasrO dvO MrgT_1,13.85a
   bhūtādiriti saṃsmṛtaḥ MrgT_1,12.2b	BUtAdiH-iti saMsmRtaH MrgT_1,12.2b
   bhūtāvadhi jagadyeṣāṃ MrgT_1,9.9a	BUta-avaDi jagat-yezAm MrgT_1,9.9a
   bhūtairanabhilakṣitaḥ MrgT_1,4.12d	BUtEH-anaBilakzitaH MrgT_1,4.12d
   bhūtairbhūyobhirāvṛtaḥ MrgT_1,13.24d	BUtEH-BUyoBiH-AvRtaH MrgT_1,13.24d
   bhūmayastāsu saṃsthitāḥ MrgT_1,13.135d	BUmayaH-tAsu saMsTitAH MrgT_1,13.135d
   bhūmayo bhūtapañcakam MrgT_1,12.19d	BUmayaH BUta-paQcakam MrgT_1,12.19d
   bhūmiprādhānikagranthi- MrgT_1,13.177a	BUmi-prADAnika-granTi MrgT_1,13.177a
   bhūmimanto 'pyamī yeṣāṃ MrgT_1,13.124a	BUmimantaH api-amI yezAm MrgT_1,13.124a
   bhūyasā tulya evāyaṃ MrgT_1,13.120c	BUyasA tulyaH eva-ayam MrgT_1,13.120c
   bhūyiṣṭhānīśaśaktigaḥ MrgT_1,12.1d	BUyizWAn-ISa-Sakti-gaH MrgT_1,12.1d
   bhūrisragbalidhūpādyair MrgT_3.99c	BUri-sraj-bali-DUpa-AdyEH MrgT_3.99c
   bhūṣitā bhūmipādayaḥ MrgT_3.3d	BUzitAH BUmipa-AdayaH MrgT_3.3d
   bhṛguṇī brahmavetālī MrgT_1,13.156a	BRguNI brahma-vetAlI MrgT_1,13.156a
   bhedato vyavasīyate MrgT_1,12.33b	BedataH vyavasIyate MrgT_1,12.33b
   bhedānantyaṃ prapadyate MrgT_1,5.17b	Beda-Anantyam prapadyate MrgT_1,5.17b
   bhedān saṃkhyānameva ca MrgT_3.34b	BedAn saMKyAnam-eva ca MrgT_3.34b
   bhairavāmrātakeśvarāḥ MrgT_1,13.137d	BErava-AmrAtaka-ISvarAH MrgT_1,13.137d
   bhogakriyāvidhau jantor MrgT_1,10.7c	Boga-kriyA-viDO jantoH MrgT_1,10.7c
   bhogabhūmiṣu nā bhuṅkte MrgT_1,10.13c	Boga-BUmizu nA BuFkte MrgT_1,10.13c
   bhogaviplutacittasya MrgT_4.56c	Boga-vipluta-cittasya MrgT_4.56c
   bhogasādhanamākṣipya MrgT_1,4.13a	Boga-sADanam-Akzipya MrgT_1,4.13a
   bhogasāmyāvimokṣau ca MrgT_1,2.14c	Boga-sAmya-avimokzO ca MrgT_1,2.14c
   bhogasthānaṃ pracakṣate MrgT_1,13.2d	Boga-sTAnam pracakzate MrgT_1,13.2d
   bhogānicchā vighnasaṃghavyapāyaḥ MrgT_1,10.30b	Boga-anicCA viGna-saMGa-vyapAyaH MrgT_1,10.30b
   bhogānkālānuvartinaḥ MrgT_1,10.13d	BogAn-kAla-anuvartinaH MrgT_1,10.13d
   bhogāsaktirnyakkṛtirdehalabdhir MrgT_1,10.30c	Boga-AsaktiH-nyakkRtiH-deha-labDiH MrgT_1,10.30c
   bhogo 'rthaḥ sarvatattvānāṃ MrgT_1,10.16a	BogaH arTaH sarva-tattvAnAm MrgT_1,10.16a
   bhogyā vikāriṇo dṛṣṭāś MrgT_1,6.5a	BogyAH vikAriNaH dRzwAH MrgT_1,6.5a
   bhojano 'bdāyutasthitiḥ MrgT_1,13.90b	BojanaH abda-ayuta-sTitiH MrgT_1,13.90b
   bhautikavratinaste syur MrgT_3.8a	BOtika-vratinaH-te syuH MrgT_3.8a
   bhautikaḥ kāmya ityuktaḥ MrgT_3.10c	BOtikaH kAmyaH iti-uktaH MrgT_3.10c
   bhauvanerudrasaṃśrayam MrgT_1,10.18d	BOvanerudra-saMSrayam MrgT_1,10.18d
   bhramatyandheva mārgatī MrgT_1,11.22d	Bramati-anDA-iva mArgatI MrgT_1,11.22d
   bhraṣṭe vā sākṣasūtrake MrgT_3.115b	Brazwe vA sAkzasUtrake MrgT_3.115b
   bhraṃśe vā janite bhaṅge MrgT_3.116a	BraMSe vA janite BaFge MrgT_3.116a
   bhrātṛśiṣyādike tryaham MrgT_3.59b	BrAtR-Sizya-Adike tri-aham MrgT_3.59b
   bhrātṝṇāṃ jyāyasāmapi MrgT_3.21b	BrAtLNAm jyAyasAm-api MrgT_3.21b
   makuṭaṃ vimalākhyaṃ ca MrgT_3.46a	makuwam vimala-AKyam ca MrgT_3.46a
   maṅgalācārayogitvaṃ MrgT_3.22a	maFgala-AcAra-yogi-tvam MrgT_3.22a
   maṇḍalādhipatīritāḥ MrgT_1,13.185b	maNxala-aDipa-ti-IritAH MrgT_1,13.185b
   maṇḍalādhipatīśvarāḥ MrgT_1,13.154b	maNxala-aDipati-ISvarAH MrgT_1,13.154b
   maṇḍalālaṅkṛtā hareḥ MrgT_1,13.47b	maNxala-alaFkRtA hareH MrgT_1,13.47b
   maṇḍale maṇḍalādhipāḥ MrgT_1,13.152d	maNxale maNxala-aDipAH MrgT_1,13.152d
   maṇḍale hāṭakaḥ sthitaḥ MrgT_1,13.33b	maNxale hAwakaH sTitaH MrgT_1,13.33b
   matamāśrityadurdhiyaḥ MrgT_1,2.27b	matam-ASritya-durDiyaH MrgT_1,2.27b
   matimānnābhivādayet MrgT_3.70d	matimAn-na-aBivAdayet MrgT_3.70d
   matiranyā viparyayaḥ MrgT_1,11.3d	matiH-anyAH viparyayaH MrgT_1,11.3d
   matistenetarā rāgo MrgT_1,11.15a	matiH-tena-itarAH rAgaH MrgT_1,11.15a
   madhutripuravidviṣoḥ MrgT_1,13.119b	maDu-tripura-vidvizoH MrgT_1,13.119b
