   (Hbṭ 1)	(Hbj 1)
   tayoḥ kena, vibhinnābhyāmabhinnasya vibhedataḥ |	tayoH kena, viBinnAByAm aBinnasya viBedataH |
   teṣāmabhedasiddhyarthamabhinno yadi tūcyate || 16 ||	tezAm aBeda sidDi arTam aBinnaH yadi tu ucyate || 16 ||
   anyaḥ svabhāvastasyāpi tadabhedaprasiddhaye |	anyaH svaBAvaH tasya api tad aBeda prasidDaye |
   kalpanīyaḥ svabhāvo 'nyaḥ tathā syādanavasthitiḥ || 17 ||	kalpanIyaH svaBAvaH anyaH taTA syAt anavasTitiH || 17 ||
   na cānantasvabhāvatvamarthasāmarthyabhāvini |	na ca ananta svaBAva tvam arTa sAmarTya BAvini |
   jñāne 'vabhāsate yena tathavopagamo bhavet || 18 ||	jQAne avaBAsate yena taTavA upagamaH Bavet || 18 ||
   aikāntikastvabhedaḥ syādabhinnād bhinnayoryadi |	EkAntikaH tu aBedaH syAt aBinnAt BinnayoH yadi |
   bheda eva viśīryeta tadekāvyatirakataḥ || 19 ||	BedaH eva viSIryeta tat eka avyatirakataH || 19 ||
   (Hbṭ 106)	(H bj 106)
   abhedasyāparityāge bhedaḥ syāt kalpanākṛtaḥ |	aBedasya aparityAge BedaH syAt kalpanA kRtaH |
   tasyāvitathabhāve vā syādabhede mṛṣārthatā || 20 ||	tasya avitaTa BAve vA syAt aBede mRzArTa tA || 20 ||
   anyonyābhāvarūpāṇāmaparābhāvahetukaḥ |	anyonya aBAva rUpANAm apara aBAva hetukaH |
   ekabhāvo yatastasmānnaikasya syād dvirūpatā || 21 ||	eka BAvaH yatas tasmAt na ekasya syAt dvi rUpa tA || 21 ||
   anyonyābhāvarūpāśca paryāyāḥ syurna bhedinaḥ |	anyonya aBAva rUpAH ca paryAyAH syuH na BedinaH |
   tadvināśe 'vināśi syād dravyaṃ vā kathamanyathā? || 22 ||	tad vinASe avinASi syAt dravyam vA kaTam anyaTA? || 22 ||
   kūṭasthanityatā dravye bhedeṣu kṣaṇanāśitā |	kUwasTa nityatA dravye Bedezu kzaNa nASitAH |
   kasmānneṣṭā? virodhaścet neṣyate bhedalakṣaṇam || 23 ||	kasmAt na izwA? viroDaH ced na izyate Beda lakzaNam || 23 ||
   tadiṣṭau kinna sāmānyaṃ sarvavyaktyanuyāyi ca |	tat izwO kinna sAmAnyam sarva vyakti anuyAyi ca |
   ekamiṣṭaṃ jananyā ca jāyāyāḥ kiṃ na caikatā? || 24 ||	ekam izwam jananyA ca jAyAyAH kim na ca ekatA? || 24 ||
   bhedābhedoktadoṣāśca tayoriṣṭau kathaṃ na vā? |	Beda aBeda ukta dozAH ca tayoH izwO kaTam na vA? |
   pratyekaṃ ye prasajyante dvayorbhāve kathaṃ na te? || 25 ||	pratyekam ye prasajyante dvayoH BAve kaTam na te? || 25 ||
   guḍaścet kaphahetuḥ syānnāgaraṃ pittakāraṇam |	guxaH ced kaPa hetuH syAt nAgaram pitta kAraNam |
   tanmūlajamanyadevedaṃ guḍanāgarasaṃjñitam || 26 ||	tad mUla jam anyadeva idam guxa nAgara saMjQitam || 26 ||
   madhuraṃ na hi sarvaṃ syāt kaphaheturyathā madhu |	maDuram na hi sarvam syAt kaPa hetuH yaTA maDu |
   tīkṣṇaṃ vā pittajanakaṃ yathā māgadhikā matā || 27 ||	tIkzNam vA pitta janakam yaTA mAgaDikA matA || 27 ||
   pratyekaṃ yannidānaṃ yat svato miśraṃ tadātmakam |	pratyekam yat nidAnam yat svatas miSram tad Atmakam |
   kinna dṛṣṭam? yathā māṣaḥ snigdhoṣṇaḥ kaphapittakṛt || 28 ||	kin na dRzwam? yaTA mAzaH snigDa uzNaH kaPa pitta kRt || 28 ||
   śaktyapekṣaṃ ca kāryaṃ syād guṇamātrānibandhanam |	Sakti apekzam ca kAryam syAt guNa mAtrA nibanDanam |
   sarvatrābhāvatastāsāṃ kasyacit kiñcideva ca || 29 ||	sarvatra aBAvataH tAsAm kasyacid kiQcid eva ca || 29 ||
   ye bhedābheda mātre tu doṣāḥ sambhavinaḥ katham? |	ye Beda aBeda mAtre tu dozAH samBavinaH kaTam? |
   tatsadbhāve 'pi te na syuriti brūyād vicakṣaṇaḥ || 30 ||	tad sadBAve api te na syuH iti brUyAt vicakzaNaH || 30 ||
   virodhisannirdherddoṣaḥ tajjanmā na bhavedapi |	viroDi sannirDeH ddozaH tad janmA na Bavet api |
   sati tasmiṃstadātmā tu nāniṣṭo 'pi nivartate || 31 ||	sati tasmin= tad AtmA tu na anizwaH api nivartate || 31 ||
   bhāgā eva ca bhāsante sanniviṣṭāstathā tathā |	BAgAH eva ca BAsante sannivizwAH taTA taTA |
   tadvān kaścit punarnaiva nirbhāgaḥ pratibhāsate || 32 ||	tadvAn kaScid punar na eva nirBAgaH pratiBAsate || 32 ||
   anyonyapratyayāpekṣāste tathāsthitamūrtayaḥ |	anyonya pratyaya apekzAH te taTA sTita mUrtayaH |
   karmaṇāṃ cāpi sāmarthyādavinirbhāgavartinaḥ || 33 ||	karmaNAm ca api sAmarTyAt avinirBAga vartinaH || 33 ||
   sanniveśena ye bhāvāḥ prāṇināṃ sukhaduḥkhadāḥ |	sanniveSena ye BAvAH prANinAm suKa duHKa dAH |
   karmabhirjanitāste hi tebhya evāvibhāginaḥ || 34 ||	karmaBiH janitAH te hi teByaH eva aviBAginaH || 34 ||
   te caikaśabdavācyāḥ syuḥ kathañcinna tvabhedinaḥ |	te ca eka Sabda vAcyAH syuH kaTaQcid na tu aBedinaH |
   na ca svalakṣaṇajñāne śabdārthaḥ pratibhāsate || 35 ||	na ca sva lakzaNa jQAne Sabda arTaH pratiBAsate || 35 ||
   (Hbṭ 107)	(H bj 107)
   aspaṣṭarūpā gamyante śabdebhyo 'pi ta eva hi |	aspazwa rUpAH gamyante SabdeByaH api te eva hi |
   tataḥ kena sahaiṣāṃ syād bhinnabhinnatvakalpanā? || 36 ||	tatas kena saha ezAm syAt Binna Binna tva kalpanA? || 36 ||
   nirvibhāgasya cānekabhinnadeśāṃśayogitā |	nirviBAgasya ca aneka Binna deSa aMSayogitAH |
   kathamiṣṭā? pratīteścet kṣaṇadhvaṃsānubhāvinaḥ || 37 ||	kaTam izwA? pratIteH ced kzaNa DvaMsa anuBAvinaH || 37 ||
   paryāyā ye prātīyante sthemānandavato matāḥ |	paryAyAH ye prAtIyante sTema AnandavataH matAH |
   kuto 'nyataḥ pramāṇācced bādhakādiha tatsamam || 38 ||	kutas anyatas pramANAt ced bADakAt iha tad samam || 38 ||
   aikāntikāvananyatvād bhedābhedau tayordhruvam |	EkAntikO= ananya tvAt Beda aBedO tayoH Druvam |
   anyonyaṃ vā tayorbhedo niyato dharmadharmiṇoḥ || 39 ||	anyonyam vA tayoH BedaH niyataH Darma DarmiNoH || 39 ||
   tayorapi bhaved bhedo yadi yenātmanā tayoḥ |	tayoH api Bavet BedaH yadi yena AtmanA tayoH |
   paryāyo dravyamityetad yadi bhedastadātmanā || 40 ||	paryAyaH dravyam iti etat yadi BedaH tad AtmanA || 40 ||
   bheda eva tathā ca syānnaivekasya dvirūpatā |	BedaH eva taTA ca syAt na evekasya dvi rUpa tA |
   dravyaparyāyarūpābhyāṃ na vānyo 'stīha kaścana || 41 ||	dravya paryAya rUpAByAm na vA anyaH asti iha kaScana || 41 ||
   svabhāvo yannimittāt syāt tayorekatvakalpanā |	svaBAvaH yad nimittAt syAt tayoH eka tva kalpanA |
   tatastayorabhede hi svātmahāniḥ prasajyate || 42 ||	tatas tayoH aBede hi sva Atma hAniH prasajyate || 42 ||
   tasya bhedo 'pi tābhyāṃ ced yadi yenātmanā ca te |	tasya BedaH api tAByAm ced yadi yena AtmanA ca te |
   dharmī dharmastadanyaśca yadi bhedastadātmanā || 43 ||	DarmI DarmaH tad anyaH ca yadi BedaH tad AtmanA || 43 ||
   bheda evātha tatrāpi tebhyo 'nyaḥ parikalpyate |	BedaH eva aTa tatra api teByaH anyaH parikalpyate |
   teṣāmabhedasiddhyarthaṃ prasaṅgaḥ pūrvavad bhavet || 44 ||	tezAm aBeda sidDi arTam prasaFgaH pUrvavat Bavet || 44 ||
   dharmitvaṃ tasya caivaṃ syāt tattantratvāt tadanyayoḥ |	Darmi tvam tasya ca evam syAt tad tantra tvAt tad anyayoH |
   na caivaṃ gamyate tena vādo 'yaṃ jālmakalpitaḥ || 45 ||"	na ca evam gamyate tena vAdaH ayam jAlma kalpitaH || 45 ||"
   ityalaṃ bahubhāṣitayā | tadevaṃ mṛtsaṃsthānayorekasvabhāvatve na	iti alam bahu BAzitayA | tat evam mRd saMsTAnayoH eka svaBAva tve na
   kathañcidbhedasambhava iti sahakāriṇāmanekatve 'pi na	kaTaQcid Beda samBavaH iti sahakAriNAm aneka tve api na
   kāryasyānekatvamityatra bhavatyetadudāharaṇamiti |	kAryasya aneka tvam iti atra Bavati etat udAharaNam iti |
   [30. dravyagunayorabhede vaiśeṣikakṛtapūrvapakṣasyollekhaḥ |]	[30. dravya gunayoH aBede vESezika kRta pUrva pakzasya ulleKaH |]
   atra vaiśeṣikamatamāśaṅkayāha  "anyadeva" ityādi | "saṃsthānaṃ"	atra vESezika matamASaFkayA aha "anyadeva" ityAdi | "saMsTAnaM"
   hyavayavasanniveśa ucyate | sa ca saṃyogalakṣaṇatvād guṇarūpaḥ | "tato"	hi avayava sanniveSaH ucyate | sa ca saMyoga lakzaNa tvAt guNa rUpaH | "tato"
   mṛddravyādasyānyatvaṃ dravyaguṇayorasaṃkīrṇasvabhāvatvāt | tena yadi	mRd dravyAt asya anya tvam dravya guNayoH asaMkIrNa svaBAva tvAt | tena yadi
   mṛtpiṇḍasya mṛdātmatāyāṃ vyāpāraḥ kulālasya tatsaṃsthānaviśeṣe kathyate,	mRd piNxasya mRdA Atma tAyAm vyApAraH kulAlasya tad saMsTAna viSeze kaTyate,
   tadā tayotyantabhedāt kāraṇānekatvāt kāryānekatvaṃ prāptamiti |	tadA tayA utyanta BedAt kAraNa aneka tvAt kArya anekatvam prAptam iti |
   siddhāntavādyāha  "uktamatra" iti | mṛtsaṃsthānayoḥ svabhāvabhede	sidDAntavAdya aha "uktam atra" iti | mRd saMsTAnayoH svaBAva Bede
   dūṣaṇamuktam "mṛtsaṃsthānayoraparasparātmatayā" (Hbṭ 108) ityādikamiti na	dUzaNam uktam "mRd saMsTAnayoH aparaspara AtmatayA" (Hbj 108) iti Adikam iti na
   saṃsthānasya mṛddravyādanyatvam | tato mṛtpiṇḍopādānāhitātiśayena	saMsTAnasya mRd dravyAt anya tvam | tatas mRd piNxa upAda anAhita atiSayena
   tatkāryakṣaṇasahakāriṇā kulālena tadupādānopakṛtātmanā	tad kArya kzaNa sahakAriNA kulAlena tad upAdAna upakRta AtmanA
   tatkāryakṣaṇasahakāriṇā mṛtpiṇḍena ca pratyekaṃ sakalameva	tad kArya kzaNa sahakAriNA mRd piNxena ca pratyekam sakalam eva
   mṛtsaṃsthānātmakaṃ kāryaṃ kriyata iti na kāraṇānekatve 'pyanekatvamasya |	mRd saMsTAna Atmakam kAryam kriyate iti na kAraNa aneka tve api aneka tvam asya |
   atraivopacayahetumāha  "api ca" ityādi | yat tad ghaṭagataṃ saṃsthānaṃ	atra eva upacaya hetum Aha "api ca" ityAdi | yat tat Gawa gatam saMsTAnam
   "yadi tata" mṛdo "bhinnaṃ syāt" tadā kulālaḥ pṛthageva kimiti na karoti? |	"yadi tata" mRdaH "Binnam syAt" tadA kulAlaH pRTak eva kim iti na karoti? |
   nahi bhinnānāmāvaśyakamapṛthakkaraṇam, kulālaścānvayavyatirekābhyāṃ tasya	na hi BinnAnAm AvaSya kama pRTakkaraNam, kulAlaH ca anvaya vyatirekAByAm tasya
   saṃsthānasya guṇātmanaḥ kāraṇatayā gamyata iti "sa pṛthagapi" tat "kuryāt"	saMsTAnasya guNa AtmanaH kAraNa tayA gamyate iti "sa pRTak api" tat "kuryAt "
   | para āha  "gunasyetyādi | "dravyāśrayya'guṇavān	| paraH Aha "gunasya ityAdi | "dravya ASrayya aguNavAn
   saṃyogavibhāgeṣvakāraṇamanapekṣa" iti guṇalakṣaṇāt sarvadā guṇo	saMyoga viBAgezu akAraNam anapekza" iti guNa lakzaNAt sarvadA guNa u
   dravyaparatantraḥ, sa kathaṃ kadācit pṛthak kriyeta? | vaiśeṣika eva	dravya paratantraH, sa kaTam kadAcid pRTak kriyeta? | vESezikaH eva
   bauddhīyaṃ codyamāśaṅkayāha  "tatsaṃsthāna" ityādi | yadi svabhāvenaiva	bOdDIyam ca udyamASaFkayA aha "tad saMsTAna" ityAdi | yadi svaBAvena eva
   tasya guṇātmanaḥ saṃsthānasya "kriyāvad guṇavad"	tasya guNa AtmanaH saMsTAnasya "kriyAvat guNavat "
   ityādivacanādādhārasvabhāvaṃ tat mṛddravyaṃ, saṃsthānaṃ vā tathāvidhaṃ	ityAdi vacanAt ADAra svaBAvam tat mRd dravyaM, saMsTAnam vA taTAviDam
   kapālādheyātmakaṃ tadā kimiti kulālavyāpāramapekṣate? | svata eva kiṃ na	kapAla ADeya Atmakam tadA kim iti kulAla vyApAram apekzate? | svatas eva kim na
   bhavati? iti codakābhiprāyaḥ |	Bavati? iti ca udaka aBiprAyaH |
   evaṃ codyamāśaṅkaya vaiśeṣikaḥ parihāramāha  "na, tataḥ" ityādi | yat tat	evam ca udyam ASaFkaya vESezikaH parihAram Aha "na, tatas " ityAdi | yat tat 
   mṛddravyaṃ pṛthubudhnodarādyākāraṃ ca saṃsthānaṃ tayoryaḥ sambandha	mRd dravyam pRTu buDna udara Adi AkAram ca saMsTAnam tayoH yaH sambanDa
   ādhārādheyalakṣaṇaḥ tatra yā "yogyatā" tāṃ "dvayamapyetat kulālād" yataḥ	ADAra ADeya lakzaNaH tatra yA "yogyatA" tAm "dvayam api etat kulAlAd" yatas 
   pratilabhate tasmāt "kulālamapekṣate" kulālānapekṣāyāṃ doṣamāha  "anyathā"	pratilaBate tasmAt "kulAlam apekzate" kulAla anapekzAyAm dozam Aha "anyaTA"
   yadi tayoḥ parasparasambandhayogyatāyāṃ kulālāpekṣā na syāt tadā	yadi tayoH paraspara sambanDa yogya tAyAm kulAla apekzA na syAt tadA
   svabhāvata eva mṛtpiṇḍasya tathavidhasaṃsthānasambandhayogyatvaṃ bhavet |	svaBAvataH eva mRd piNxasya taTaviDa saMsTAna sambanDa yogya tvam Bavet |
   tasmiṃśca sati vastuna eva tatsaṃsthānasambandhayogyatālakṣaṇā	tasmin= ca sati vastunaH eva tad saMsTAna sambanDa yogya tA lakzaNA
   dharmatāstīti kulālasannidheḥ prāgapi saṃsthānaviśeṣeṇa sambandhaḥ syāditi	DarmatA asti iti kulAla sanniDeH prAk api saMsTAna viSezeNa sambanDaH syAt iti
   vaiśeṣikīyaścodyaparihāraḥ |	vESezikIyaH ca udya parihAraH |
   (Hbṭ 109)	(H bj 109)
   [31. dravyaguṇayorabhedasyopapādanam |]	[31. dravya guNayoH aBedasya upapAdanam |]
   siddhāntavādyāha  "evam" ityādi | yadi parasparasambandhayogyatāyāṃ	sidDAnta vAdya aha "evam" ityAdi | yadi paraspara sambanDa yogya tAyAm
   kulālamapekṣate "evaṃ tarhi sā yogyatā mṛddravyasya kulālād bhavati iti"	kulAlam apekzate "evam tarhi sA yogyatA mRd dravyasya kulAlAt Bavati iti"
   āpannam | na ca "anayoḥ" mṛddravyayogyatayoḥ svabhāvasya "bhedaḥ" nānātvam	Apannam | na ca "anayoH" mRd dravya yogyatayoH svaBAvasya "BedaH" nAnAtvam
   | yadi hi syāt tadā yogyatāyāḥ dravyāt pṛthakkaraṇaṃ "prāgvat prasajyeta"	| yadi hi syAt tadA yogyatAyAH dravyAt pRTak karaNam "prAgvat prasajyeta"
   | atha yogyatāyā api yogyapāratantryādapṛthaksiddhiṃ brūyāt tadā tasyā api	| aTa yogyatAyAH api yogya pAratantryAt apRTak sidDim brUyAt tadA tasyAH api
   vastudharmatayaiva prāgapi samāveśo mā bhūditi dravyeṇa saha	vastu Darma tayA eva prAk api samAveSaH mA BUt iti dravyeNa saha
   sambandhayogyatāyā anya yogyatā kulālād bhavatītyeṣṭavyā | sāpi	sambanDa yogya tAyAH anyaH yogyatA kulAlAt Bavati iti ezwavyA | sA api
   pṛthakkaraṇaprasaṅgā[t] dravyād bhinnasvabhāvā nopagantavyā |	pRTakkaraNa prasaFga A[t] dravyAt Binna svaBAvAH na upagantavyA |
   pṛthakkaraṇaprasaṅge vā punaḥ sa eva parihāraḥ tadīyaḥ, punastadevottaram,	pRTakkaraNa prasaFge vA punar saH eva parihAraH tadIyaH, punar tat eva uttaram,
   ityanavasthāprasaṅgādavaśyāmabhinnasvabhāvatā	iti anavasTA prasaFgAt avaSya Ama Binna svaBAva tA
   kapālātmakamṛddravyayogyatayorabhyupagantavyā | kimevaṃ sati siddhaṃ	kapAla Atmaka mRd dravya yogyatayoH aByupagantavyA | kim evam sati sidDam
   bhavati? ityata āha  "asti tāvat" ityādi | mṛtpiṇḍakulālabhyāṃ	Bavati? iti atas Aha "asti tAvat" ityAdi | mRd piNxa kula AlaByAm
   kapāladravyasya saṃyogaviśeṣasambandhayogyasyārambhāt yadaikasvabhāvatve	kapAla dravyasya saMyoga viSeza sambanDa yogyasya AramBAt yadA eka svaBAva tve
   'pyekasyānekapratyayopādheyaviśeṣatā tadā siddhaḥ āsmākīnaḥ pakṣaḥ |	api ekasya aneka pratyaya upADeya viSeza tA tadA sidDaH AsmAkInaH pakzaH |
   tataśca kimasmākaṃ mṛtsaṃsthānayorekasvabhāvatvasādhanāya	tatas ca kim asmAkam mRd saMsTAnayoH eka svaBAva tva sADanAya
   atinirbbandhanena? | yadi yogyatāmapyāśrityānekapratyayajanyatve	ati nirbbanDanena? | yadi yogyatAm api ASritya aneka pratyaya janya tve
   'pyekatvāt nānātvaprasaṅgābhāvaḥ sidhyati kāryasya, na kiñcid	api ekatvAt nAnAtva prasaFga aBAvaH siDyati kAryasya, na kiQcid 
   dravyagunavādanirākaraṇeneha prayojanam, anyatraiva tannirākaraṇasya	dravya gunavAda nirAkaraNena iha prayojanam, anyatra eva tad nirAkaraNasya
   kṛtatvādityabhiprāyaḥ | nirbandhagrahaṇena ca	kRta tvAt iti aBiprAyaH | nirbanDa grahaNena ca
   mṛtsaṃsthānayoraparasparātmatayā saṃsthānamṛtsvabhāvaviśeṣābhyāṃ	mRd saMsTAnayoH aparaspara Atma tayA saMsTAna mRd svaBAva viSezAByAm
   tayorapratibhāsanaprasaṅgāt ityanayopapattyā sādhitamevānayorekatvam,	tayoH apratiBAsana prasaFgAt iti anayA upapattyA sADitam eva anayoH eka tvam,
   yuktyantarāṇāṃ sambhave 'pi tadabhidhānalakṣaṇo nirbbandho na kriyate,	yukti antarANAm samBave api tad aBiDAna lakzaNaH nirbbanDaH na kriyate,
   prakṛtasiddheranyathāpi bhāvādityācaṣṭe |	prakRta sidDeH anyaTA api BAvAt iti Acazwe |
   [32. sāmagrībhede kāryabhedasya kāraṇabhede 'pi ca	[32. sAmagrI Bede kArya Bedasya kAraNa Bede api ca
   kāryasyaikyasyopasaṃhāraḥ |]	kAryasya Ekyasya upasaMhAraH |]
   tadevaṃ sāmagrībhedāt sāmagryantarajanyebhyo bhedaḥ sahakāriṇāmanekatve	tat evam sAmagrI BedAt sAmagrI antara janyeByaH BedaH sahakAriNAm aneka tve
   'pi ca kāryasyaikatvamaviruddhamiti pratipādya (Hbṭ 110) upasaṃharannāha 	api ca kAryasya eka tvam avirudDam iti pratipAdya (H bj 110) upasaMharan= Aha 
   "tena sahakāriṇa" ityādi | yena  pratyayāntarapracaye tadvikalasāmagryāḥ	"tena sahakAriNa" ityAdi | yena pratyaya antara pracaye tad vikala sAmagryAH
   sāmagryantaraṃ sampadyate, tacca pūrvasāmagrījanyād bhinnaṃ kāryāntarameva	sAmagryantaram sampadyate, tat ca pUrva sAmagrI janyAt Binnam kArya antaram eva
   janayati ; ekasāmagrīvyapadeśaviṣayāṇāṃ ca sahakāriṇāmanekatve	janayati ; eka sAmagrI vyapadeSa vizayANAm ca sahakAriNAm aneka tve
   'pyanekasyaikakriyavirodhābhāvāt tadanvayavyatirekānuvidhāyinaśca	api anekasya eka kriya viroDa aBAvAt tad anvaya vyatireka anuviDAyinaH ca
   kāryasyaikasya darśanāt svabhāvata ekatvaṃ sādhitam  tena kāraṇena	kAryasya ekasya darSanAt svaBAvataH eka tvam sADitam tena kAraNena
   sahakaraṇaśīlā ekasāmagryantargatāḥ pratyayāḥ sāmagryantaraiḥ saha	saha karaNa SIlAH eka sAmagrI antargatAH pratyayAH sAmagrI antarEH saha
   "naikopayogaviṣayāḥ" eka upayogasya viṣayo yeṣāṃ te na bhavanti,	"na eka upayoga vizayAH" ekaH upayogasya vizayaH yezAm te na Bavanti,
   sāmagryantaraireva saha bhinnopayogaviṣayatvasya nyāyabalāt pratīteḥ |	sAmagrI antarEH eva saha Binna upayoga vizaya tvasya nyAya balAt pratIteH |
   anena yat prāg vikalpitaṃ ‘yadi kāraṇaśabdena sāmagrī bhaṇyate tadā	anena yat prAk vikalpitam ‘yadi kAraNa Sabdena sAmagrI BaNyate tadA
   tadbhedādastyevātatsāmagrījanyebhyaḥ kāryasya bheda iuti kimucyate  na	tad BedAt asti eva Atad sAmagrI janyeByaH kAryasya BedaH iuti kim ucyate na
   kāraṇabhedād bhedaḥ syāt'; iti etadudā haraṇopadarśitaṃ nigamitam | atha	kAraNa BedAt BedaH syAt a; iti etat udA haraNa upadarSitam nigamitam | aTa
   kāraṇaśabdena sāmagrīvyapadeśaviṣayāḥ sahakāriṇa ucyante tadā	kAraNa Sabdena sAmagrI vyapadeSa vizayAH sahakAriNaH ucyante tadA
   tadbhedādanekatvalakṣaṇāt kāryasyānekatvalakṣaṇo bhedo neṣyata eva,	tad BedAt aneka tva lakzaNAt kAryasya aneka tva lakzaNaH BedaH na izyate eva,
   anekasyaikakriyāvirodhābhāvāt, ekasyānekata utpattidarśanācceti	anekasya eka kriyA viroDa aBAva at, ekasya anekatas utpatti darSanAt ca iti
   mṛtsaṃsthānayorekātmakatopadarśitaṃ nigamayati  ‘kāryasvabhāvasya';	mRd saMsTAnayoH eka Atmaka tA upadarSitam nigamayati ‘kArya svaBAvasya a;
   mṛtsaṃsthānātmana ‘ekatve 'pi'; nānātvābhāve 'pi ‘vastutaḥ'; paramārthataḥ	mRd saMsTAna AtmanaH ‘eka tve api a; nAnAtva aBAve api ‘vastutaH a; paramArTataH
   kalpanābuddhau mṛtsaṃsthānayorbhinnayoriva pratibhāsane 'pīti |	kalpanA budDO mRd saMsTAnayoH BinnayoH iva pratiBAsane api iti |
   evam udāharaṇe sāmagrībhedāt kāryāṇāṃ bhedo	evam udAharaNe sAmagrI BedAt kAryANAm BedaH 
   naikasāmagrīviṣayapratyayabhedādanekatvaṃ kāryasyeti pratipādya prakṛte	na eka sAmagrI vizaya pratyaya BedAt aneka tvam kAryasya iti pratipAdya prakRte
   cakṣurādau yojayannāha  "yathā iho" dāharaṇe "kāraṇabhedaḥ" sāmagrībhedaḥ	cakzuH AdO yojayan = Aha "yaTA iho" dAha raNe "kAraNa BedaH" sAmagrI BedaH
   kulālavikalamṛtpiṇḍatatsahitasūtrādhikasāmagrītritayalakṣaṇo ‘bhinneṣu';	kulAla vikala mRd piNxa tad sahita sUtra aDika sAmagrI tritaya lakzaNaH ‘Binna izu a;
   nānāsvabhāveṣu ‘viśeṣeṣu';	nAnA svaBAvezu ‘viSezezu a;
   iṣṭakādicakrāvibhaktaghaṭatadvibhaktaghaṭalakṣaṇeṣūpayogā "nnaikakāryaḥ"	izwakA Adi cakra aviBakta Gawa tad viBakta Gawa lakzaNezu upayogAH "nna eka kAryaH"
   kintu bhinnakārya eva, "tathā" tenaiva prakāreṇa cakṣurādibhyo	kintu Binna kAryaH eva, "taTA" tena eva prakAreNa cakzuH AdiByaH 
   vijñānasyotpattau sāmagryantarāt sāmagrīlakṣaṇakāraṇabhedo 'nekakārya	vijQAnasya utpattO sAmagrI antarAt sAmagrI lakzaNa kAraNa BedaH aneka kArya
   ityunneyaḥ |	iti unneyaH |
   (Hbṭ 111)	(H bj 111)
   etadeva vibhajannāha  "tathāhi" ityādi | yā cakṣūrūparahitā	etat eva viBajat nAha "taTA ahi" ityAdi | yA cakzU rUparahitA
   samanantarapratyayākhyāvijñānalakṣaṇā pratyayāntarasāpekṣā sāmagrī, tato	samanantara pratyaya AKyA vijQAna lakzaNA pratyaya antara sApekzA sAmagrI, tatas 
   vijñānasya vikalpakasyetarasya vā tadupādeyatvena yā bodharūpatopalabdhā	vijQAnasya vikalpakasya itarasya vA tad upAdeya tvena yA boDa rUpa tA upalabDA
   sā cakṣurvijñānasyāpi bhavati | "tasyaiva" cakṣurvijñānasya | kīdṛśasya? |	sA cakzuH vijQAnasya api Bavati | "tasya eva" cakzuH vijQAnasya | kIdRSasya? |
   "upalambhātmanaḥ sato bhavataḥ" jāyamānasya tadaiva	"upalamBa AtmanaH sataH BavataH" jAyamAnasya tadA eva
   tadekakāryapratiniyatasya cakṣurindriyasya sannidhānāt	tad eka kArya pratiniyatasya cakzuH indriyasya sanniDAnAt 
   samanantarapratyayopādānopakṛtāt tato "rūpagrahaṇapratiniyamo"	samanantara pratyaya upAdAna upakRtAt tatas "rUpa grahaNa pratiniyamaH "
   rūpākāratāpratiniyamaḥ, śabdādyākāravivekavata evaṃ (va) kāryasya	rUpa AkAra tA pratiniyamaH, Sabda Adi AkAra vivekavataH evam (va) kAryasya
   cakṣuḥsahitasamanantarapratyayasāmagryāḥ janakatvād | "viṣayād"	cakzuH sahita samanantara pratyaya sAmagryAH janaka tvAt | "vizayAt "
   viṣayādhikāt samanantarapratyayādindriyācca "tena" viṣayeṇa "tulyarūpatā"	vizaya aDikAt samanantara pratyayAt indriyAt ca "tena" vizayeNa "tulya rUpa tA"
   na kevalaiva rūpapratibhāsitā bhrāntavijñānasyeveti	na kevalA eva rUpa pratiBAsitA BrAnta vijQAnasya iva iti
   viṣayendriyamanaskāralakṣaṇasāmagrīkāryamevaṃ pradarśitam |	vizaya indriya manaskAra lakzaNa sAmagrIkAryam evam pradarSitam |
   tadanyadekadvayajanyaṃ tu kāryaṃ svayambhūhyam | atrābhinnatve 'pi	tad anyat eka dvaya janyam tu kAryam svayamBUhyam | atra aBinna tve api
   vastutaḥ "kāryasya" cakṣurvijñānalakṣaṇasya "kāraṇānāṃ"	vastutas "kAryasya" cakzuH vijQAna lakzaNasya "kAraNAnAM"
   viṣāyendriyamanaskārāṇāṃ bhinnebhyaḥ svabhāvebhyaḥ kevalānāmeṣāṃ yaḥ	vizAya indriya manaskArANAm BinneByaH svaBAveByaH kevalAnAm ezAm yaH
   svabhāvastato bhinnā evātajjanyebhyo vidhiśe (nyebhyo 'pi viśe)ṣā	svaBAvaH tatas BinnAH eva Atat janyeByaH viDiSe (nyeByaH api viSe)zA
   bodharūpatādilakṣaṇā "bhavanti" | atajjanyāpekṣayā caikātmakā api	boDa rUpa tA Adi lakzaNAH "Bavanti" | atad janya apekzayA ca eka AtmakAH api
   bahutvena nirdiṣṭāḥ | yata evam "iti" tasmāt na kāraṇabhede 'pi |	bahu tvena nirdizwAH | yatas evam "iti" tasmAt na kAraNa Bede api |
   yathaikasāmagryantargatapratyayabhede 'pyabhedo naivaṃ	yaTA eka sAmagrI antargata pratyaya Bede api aBedaH na evam
   sāmagrīlakṣaṇakāraṇabhede 'pyabhedaḥ sāmagryantarajanyebhyaḥ	sAmagrI lakzaNa kAraNa Bede api aBedaH sAmagrI antara janyeByaH
   "kāryaviśeṣasya" viśiṣṭasya kāryasyeti |	"kArya viSezasya" viSizwasya kAryasya iti |
