   daśarūpakam /	daSa-rUpakam /
   dūrādhvānaṃ vadhaṃ yuddhaṃ rājyadeśādiviplavam /	dUra-aDvAnam vaDam yudDam rAjya-deSa-Adi-viplavam /
   saṃrodhaṃ bhojanaṃ snānaṃ surataṃ cānulepanam // DhDaś_3.31 //	saMroDam Bojanam snAnam suratam ca-anulepanam // DhDas-_3.31 //
   ambaragrahaṇādīni pratyakṣāṇi na nirdiśet /	ambara-grahaNa-AdIni pratyakzANi na nirdiSet /
   nādhikārivadhaṃ kvāpi tyājyamāvaśyakaṃ na ca // DhDaś_3.32 //	na-aDi-kAri-vaDam kvApi tyAjyam-AvaSyakam na ca // DhDaH-_3.32 //
   ekāhācaritaikārthamitthamāsannanāyakam /	eka-Aha-AcaritA-ekArTam-itTam-Asanna-nAyakam /
   pātraistricaturairaṅkaṃ teṣāmante'sya nirgamaḥ // DhDaś_3.33 //	pAtrEH-tricaturEH-aFkam tezAm-ante-asya nirgamaH // DhDas-_3.33 //
   patākāsthānakānyatra bindurante ca bījavat /	patAkA-sTAnakAni-atra binduH-ante ca bIja-vat /
   evamaṅkāḥ prakartavyāḥ praveśādipuraskṛtāḥ /	evam-aFkAH prakartavyAH praveSa-Adi-puraskRtAH /
   pañcāṅkametadavaraṃ daśāṅkaṃ nāṭakaṃ param // DhDaś_3.34 //	paQcAFkam-etat-avaram daSa-aFkam nAwakam param // DhDaH-_3.34 //
   atha prakaraṇe vṛttamutpādyaṃ lokasaṃśrayam /	aTa prakaraNe vRttam-utpAdyam loka-saMSrayam /
   amātyavipravaṇijāmekaṃ kuryāc ca nāyakam // DhDaś_3.35 //	amAtya-vipravaNijAm-ekam kuryAt ca nAyakam // DhDaH-_3.35 //
   dhīrapraśāntaṃ sāpāyaṃ dharmakāmārthatatparam /	DIra-praSAntam sa-apAyam Darma-kAma-arTa-tatparam /
   śepaṃ nāṭakavat sandhipraveśakarasādikam // DhDaś_3.36 //	Sepam nAwaka-vat sanDi-praveSa-ka-rasa-Adikam // DhDaH-_3.36 //
   nāyikā tu dvidhā netuḥ kulastrī gaṇikā tathā /	nAyikA tu dviDA netuH kula-strI gaNikA taTA /
   kvacidekaiva kulajā kvāpi dvayaṃ kvacit // DhDaś_3.37 //	kvacid-ekA-eva kula-jA kvApi dvayam kvacid // DhDaH-_3.37 //
   kulajābhyantarā bāhyā veśyā nātikramo'nayoḥ /	kula-ja-aByantarA bAhyA veSyA na-atikramaH-anayoH /
   ābhiḥ prakaraṇaṃ tredhā saṅkīrṇaṃ dhūrtasaṅkulam // DhDaś_3.38 //	ABiH prakaraNam treDA saFkIrNam DUrta-saFkulam // DhDaH-_3.38 //
   lakṣyate nāṭikāpyatra saṅkīrṇānyanivṛttaye /	lakzyate nAwikA-api-atra saFkIrNa-ani-anivRttaye /
   tatra vastu prakaraṇān nāṭakān nāyako nṛpaḥ /	tatra vastu prakaraNAt nAwakAn nAyakaH nRpaH /
   prakhyāto dhīralalitaḥ śṛṅgāro'ṅgī salakṣaṇaḥ // DhDaś_3.39 //	praKyAtaH DIra-lalitaH SRFgAraH-aFgI sa-lakzaNaH // DhDas-_3.39 //
   strīprāyacaturaṅkādibhedakaṃ yadi ceṣyate /	strI-prAya-caturaFka-Adi-Bedakam yadi ca-izyate /
   ekadvitryaṅkapātrādibhedenānantarūpatā // DhDaś_3.40 //	eka-dvi-tri-aFka-pAtra-Adi-Bedena-ananta-rUpa-tA // DhDas-_3.40 //
   devī tatra bhavej jyeṣṭhā pragalbhā nṛpavaṃśajā /	devI tatra Bavet jyezWA pragalBA nRpa-vaMSa-jAH /
   gambhīrā māninī kṛcchāt tadvaśān netṛsaṅgamaḥ // DhDaś_3.41 //	gamBIrA mAninI kRcCAt tad-vaSAt netR-saFgamaH // DhDas-_3.41 //
   nāyikā tādṛśī mugdhā divyā cātimanoharā /	nAyikA tAdRSI mugDA divyA ca-ati-manoharAH /
   antaḥpurādisambandhādāsannā śrutidarśanaiḥ // DhDaś_3.42 //	antaHpura-Adi-sambanDAt-AsannA Sruti-darSanEH // DhDas-_3.42 //
   anurāgo navāvastho netustasyāṃ yathottaram /	anurAgaH nava-avasTaH netuH-tasyAm yaTottaram /
   netā tatra pravarteta devītrāsena śaṅkitaḥ /	netA tatra pravarteta devI-trAsena SaFkitaH /
   kaiśikyaṅgaiścaturbhiśca yaktāṅkairiva nāṭikā // DhDaś_3.43 //	kESikI-aFgEH-caturBiH-ca yakta-aFkEH-iva nAwikAH // DhDas-_3.43 //
   bhāṇastu dhūrtacaritaṃ svānubhūtaṃ pareṇa vā /	BANaH-tu DUrta-caritam sva-anuBUtam pareNa vA /
   yatropavarṇayedeko nipuṇaḥ paṇḍito viṭaḥ // DhDaś_3.44 //	yatra-upavarNayet-ekaH nipuNaH paNxitaH viwaH // DhDaH-_3.44 //
   sambodhanoktipratyuktī kuryādākāśabhāpitaiḥ /	samboDana-ukti-pratyuktI kuryAt-AkASa-BApitEH /
   sūcayed vīraśṛṅgārau śauryasaubhāgyasaṃstavaiḥ // DhDaś_3.45 //	sUcayet vIra-SRFgArO SOrya-sOBAgya-saMstavEH // DhDas-_3.45 //
   bhūyasā bhāratī vṛttirekāṅkaṃ vastu kalpitam /	BUyasA BAratI vRttiH-eka-aFkam vastu kalpitam /
   mukhanirvahaṇe sāṅge lāsyāṅgāni daśāpi ca // DhDaś_3.46 //	muKa-nirvahaNe sa-aFge lAsya-aFgAni daSA-api ca // DhDaH-_3.46 //
   geyaṃ padaṃ sthitaṃ pādyamāsīnaṃ puṣpagaṇḍikā /	geyam padam sTitam pAdyam-AsInam puzpa-gaNxikAH /
   pracchedakastrigūḍhaṃ ca saindhavākhyaṃ dvigūḍhakam // DhDaś_3.47 //	pracCedakaH-tri-gUXam ca sEnDava-AKyam dvi-gUXakam // DhDaH-_3.47 //
   uttamottamakaṃ caiva uktapratyuktameva ca /	uttama-uttamakam ca-eva ukta-pratyuktam-eva ca /
   lāsye daśavidhaṃ hyetadaṅganirdeśakalpanam // DhDaś_3.48 //	lAsye daSaviDam hi-etat-aFga-nirdeSa-kalpanam // DhDaH-_3.48 //
   tadvat prahasanaṃ tredhā śuddhavaikṛtasaṅkaraiḥ /	tadvat prahasanam treDA SudDa-vEkRta-saFkarEH /
   pākhaṇḍivipraprabhṛticeṭaceṭīviṭākulam /	pAKaNxi-vipra-praBRti-cewa-cewI-viwa-Akulam /
   ceṣṭitaṃ vepabhāṣābhiḥ śuddhaṃ hāsyavaconvitam // DhDaś_3.49 //	cezwitam vepa-BAzABiH SudDam hAsi-avacA-unvitam // DhDaH-_3.49 //
   kāmukādivaciveṣaiḥ ṣaṇḍhakañcukitāpasaiḥ /	kAmuka-Adi-vaci-vezEH zaNXa-kaQcuki-tApasEH /
   vikṛtaṃ saṅkarād vīthyā saṅkīrṇaṃ dhūrtasaṅkulam /	vikRtam saFkarAt vITyA saFkIrNam DUrta-saFkulam /
   rasastu bhūyasā kāryaḥ ṣaḍvidho hāsya eva tu // DhDaś_3.50 //	rasaH-tu BUyasA kAryaH zaxviDaH hAsyaH eva tu // DhDaH-_3.50 //
   ḍime vastu prasiddhaṃ syād vṛttayaḥ kaiśikīṃ vinā /	xime vastu prasidDam syAt vRttayaH kESikIm vinA /
   netāro devagandharvayakṣarakṣomahoragāḥ /	netAraH deva-ganDarva-yakza-rakzaH-mahA-uragAH /
   bhūtapretapiśācādyāḥ ṣoḍaśātyantamuddhatāḥ // DhDaś_3.51 //	BUta-preta-piSAca-AdyAH zoxaSa-atyantam-udDatAH // DhDas-_3.51 //
   rasairahāsyaśṛṅgāraiḥ ṣaḍbhirdīptaiḥ samanvitaḥ /	rasEH-ahAsya-SRFgArEH zaxBiH-dIptEH samanvitaH /
   māyendrajālasaṅgrāmakrodhodbhrāntādiceṣṭitaiḥ // DhDaś_3.52 //	mAyA-indra-jAla-saFgrAma-kroDa-udBrAnta-Adi-cezwitEH // DhDas-_3.52 //
   candrasūryoparāgaiśca nyāyye raudrarase'ṅgini /	candra-sUrya-uparAgEH-ca nyAyye rOdra-rase-aFgini /
   caturaṅkaścatuḥsandhirnirvimarśo ḍimaḥ smṛtaḥ // DhDaś_3.53 //	catur-aFkaH-catuHsanDiH-nirvimarSaH ximaH smRtaH // DhDas-_3.53 //
   khyātetivṛtto vyāyogaḥ khyātoddhatanarāśrayaḥ /	KyAtA-iti-vRttaH vyAyogaH KyAta-udData-nara-ASrayaH /
   hīno garbhavimarśābhyāṃ dīptāḥ syurḍimavad rasāḥ // DhDaś_3.54 //	hInaH garBa-vimarSAByAm dIptAH syuH-xima-vat rasAH // DhDas-_3.54 //
   astrīnimittasaṅgrāmo jāmadagnyajaye yathā /	astrI-nimitta-saFgrAmaH jAmadagnya-jaye yaTA /
   ekāhācaritaikāṅko vyāyogo bahubhirnaraiḥ // DhDaś_3.55 //	eka-Aha-AcaritA-ekAFkaH vyAyogaH bahuBiH-narEH // DhDas-_3.55 //
   kāryaṃ samavakāre'pi āmukhaṃ nāṭakādivat /	kAryam samavakAre-api AmuKam nAwaka-Adi-vat /
   khyātaṃ devāsuraṃ vastu nirvimarśāstu sandhayaḥ // DhDaś_3.56 //	KyAtam devAsuram vastu nirvimarSAH-tu sanDayaH // DhDas-_3.56 //
   vṛttayo mandakaiśikyo netāro devadānavāḥ /	vRttayaH manda-kESikyaH netAraH deva-dAnavAH /
   dvādaśodāttavikhyātāḥ phalaṃ teṣāṃ pṛthak pṛthak // DhDaś_3.57 //	dvAdaSa-udAtta-viKyAtAH Palam tezAm pRTak pRTak // DhDaH-_3.57 //
   bahuvīrarasāḥ sarve yadvadambhodhimanthane /	bahu-vIra-rasAH sarve yadvat-amBoDi-manTane /
   aṅkaiḥstribhistrikapaṭastriśṛṅgārastrividravaḥ // DhDaś_3.58 //	aFkEHH-triBiH-trikapawaH-triSRFgAraH-trividravaH // DhDas-_3.58 //
   dvisandhiraṅkaḥ prathamaḥ kāryo dvādaśanālikaḥ /	dvi-sanDiH-aFkaH praTamaH kAryaH dvAdaSa-nAlikaH /
   caturdvinālikāvantyau nālikā ghaṭikādvayam // DhDaś_3.59 //	catur-dvi-nAlikA-AvantyO nAlikA GawikA-dvayam // DhDaH-_3.59 //
   vastusvabhāvadaivārikṛtāḥ syuḥ kapaṭāstrayaḥ /	vastu-svaBAva-dEva-ari-kRtAH syuH kapawAH-trayaH /
   nagaroparodhayuddhe vātāgnyādikavidravāḥ // DhDaś_3.60 //	nagara-uparoDa-yudDe vAta-agni-Adika-vi-dravAH // DhDas-_3.60 //
   dharmārthakāmaiḥ śṛṅgāro nātra vindupraveśakau /	Darma-arTa-kAmEH SRFgAraH na-atra vindu-praveSakO /
   vīthyaṅgāni yathālābhaṃ kuryāt prahasane yathā // DhDaś_3.61 //	vITi-aFgAni yaTAlABam kuryAt prahasane yaTA // DhDas-_3.61 //
   vīthī tu kaiśikīvṛttau sandhyaṅgāṅkaistu bhāṇavat /	vITI tu kESikI-vRttO sanDi-aFga-aFkEH-tu BANa-vat /
   rasaḥ sūcyastu śṛṅgāraḥ spṛśedapi rasāntaram // DhDaś_3.62 //	rasaH sUcyaH-tu SRFgAraH spRSet-api rasa-antaram // DhDas-_3.62 //
   yuktā prastāvanākhyātairaṅgairudghātyakādibhiḥ /	yuktA prastAvana-AKyAtEH-aFgEH-udGAtyaka-AdiBiH /
   evaṃ vīthī vidhātavyā dvyekapātraprayojitā // DhDaś_3.63 //	evam vITI viDAtavyAH dvi-eka-pAtra-prayojitAH // DhDaH-_3.63 //
   utsṛṣṭikāṅke prakhyātaṃ vṛttaṃ buddhyā prapañcayet /	utsRzwikA-aFke praKyAtam vRttam budDyA prapaQcayet /
   rasastu karuṇaḥ sthāyī netāraḥ prākṛtā narāḥ // DhDaś_3.64 //	rasaH-tu karuNaH sTAyI netAraH prAkRtAH narAH // DhDas-_3.64 //
   bhāṇavat sandhivṛttyaṅgairyuktaḥ strīparidevitaiḥ /	BANa-vat sanDi-vRtti-aFgEH-yuktaH strI-paridevitEH /
   vācā yuddhaṃ vidhātavyaṃ tathā jayaparājayau // DhDaś_3.65 //	vAcA yudDam viDAtavyam taTA jaya-parAjayO // DhDaH-_3.65 //
   miśramohāmṛge vṛttaṃ caturaṅkaṃ trisandhimat /	miSra-mohAmRge vRttam catur-aFkam tri-sanDimat /
   naradivyāvaniyamān nāyakapratināyakau // DhDaś_3.66 //	nara-divyO=-aniyamAt nAyaka-pratinAyakO // DhDaH-_3.66 //
   khyātau dhīroddhatāvantyo viparyāsādayuktakṛt /	KyAtO DIra-udData-AvantyaH viparyAsAt-ayukta-kRt /
   divyastriyamanicchantīmapahārādinecchataḥ // DhDaś_3.67 //	divya-striyam-anicCantIm-apahAra-AdinA-icCataH // DhDas-_3.67 //
   śṛṅgārābhāsamapyasya kiñcit kiñcit pradarśayet /	SRFgAra-ABAsam-api-asya kiQcid kiQcid pradarSayet /
   saṃrambhaṃ paramānīya yuddhaṃ vyājān nivārayet /	saMramBam parama-AnIya yudDam vyAjAn nivArayet /
   vadhaprāptasya kurvīta vadhaṃ naiva mahātmanaḥ // DhDaś_3.68 //	vaDa-prAptasya kurvIta vaDam na-eva mahAtmanaH // DhDas-_3.68 //
   itthaṃ vicintya daśarūpakalakṣmamārgam	itTam vicintya daSa-rUpaka-lakzma-mArgam
   ālokya vastu paribhāvya kaviprabandhān /	Alokya vastu pariBAvya kavi-prabanDAn /
   kuryādayatnavadalaṅkṛtibhiḥ prabandhaṃ	kuryAt-ayatna-vat-alaFkRtiBiH prabanDam
   vākyairudāramadhuraiḥ sphuṭamandavṛttaiḥ // DhDaś_3.69 //	vAkyEH-udAra-maDurEH sPuwa-manda-vRttEH // DhDas-_3.69 //
   [pariccheda 4]	[paricCeda 4]
   vibhāvairanubhāvaiśca sāttvikairvyabhicāribhiḥ /	viBAvEH-anuBAvEH-ca sAttvikEH-vyaBicAriBiH /
   ānīyamānaḥ svādyatvaṃ sthāyī bhāvo rasaḥ smṛtaḥ // DhDaś_4.1 //	AnIyamAnaH svAdya-tvam sTAyI BAvaH rasaH smRtaH // DhDas-_4.1 //
   jñāyamānatayā tatra vibhāvo bhāvapoṣakṛt /	jQAyamAna-tayA tatra viBAvaH BAva-poza-kRt /
   ālambanoddīpanatvaprabhedena sa ca dvidhā // DhDaś_4.2 //	Alambana-uddIpana-tva-praBedena sa ca dviDA // DhDaH-_4.2 //
   anubhāvo vikārastu bhāvasaṃsūcanātmakaḥ /	anuBAvaH vikAraH-tu BAva-saMsUcana-AtmakaH /
   hetukāryātmanoḥ siddhistayoḥ saṃvyavahārataḥ // DhDaś_4.3 //	hetu-kArya-AtmanoH sidDiH-tayoH saMvyavahArataH // DhDas-_4.3 //
   sukhaduḥkhādikairbhāvairbhāvastadbhāvabhāvanam /	suKa-duHKa-AdikEH-BAvEH-BAvaH-tad-BAva-BAvanam /
   pṛthag bhāvā bhavantyanye'nubhāvatve'pi sāttvikāḥ /	pRTak BAvAH Bavanti-anye-anuBAva-tve-api sAttvikAH /
   sattvādeva samutpattestac ca tadbhāvabhāvanam // DhDaś_4.4 //	sattvAt-eva samutpatteH-tat ca tad-BAva-BAvanam // DhDaH-_4.4 //
   stambhapralayaromāñcāḥ svedo vaivarṇyavepathū /	stamBa-pralaya-romAQcAH svedaH vEvarNya-vepaTU /
   aśruvaisvaryamityaṣṭau stambho'smin niṣkriyāṅgatā /	aSru-vEsvaryam-iti-azwO stamBaH-asmin nizkriya-aFga-tA /
   pralayo naṣṭasañjñatvaṃ śeṣāḥ suvyaktalakṣaṇāḥ // DhDaś_4.5 //	pralayaH nazwa-saQjQa-tvam SezAH su-vyakta-lakzaNAH // DhDas-_4.5 //
   viśeṣādābhimukhyena caranto vyabhicāriṇaḥ /	viSezAt-ABimuKyena carantaH vyaBicAriNaH /
   sthāyinyunmagnanirmagnāḥ kallolā iva vāridhau // DhDaś_4.6 //	sTAyinI-unmagna-nirmagnAH kallolAH iva vAriDO // DhDaH-_4.6 //
   nirvedaglāniśaṅkāśramadhṛtijaḍatāharṣadainyaugryacintās	nirveda-glAni-SaFkA-Srama-DRti-jaxa-tA-harza-dEnyOgrya-cintA-s
   trāserṣyāmarṣagarvāḥ smṛtimaraṇamadāḥ suptanidrāvibodhāḥ /	trAsa-IrzyA-amarza-garvAH smRti-maraNa-madAH supta-nidrA-viboDAH /
   vrīḍāpasmāramohāḥ samatiralasatāvegatarkāvahitthā	vrIxA-apasmAra-mohAH samatirala-satA-vega-tarka-avahitTA
   vyādhyunmādau vipādotsukacapalayutāstriṃśadete trayaśca // DhDaś_4.7 //	vyADi-unmAdO vipAda-utsuka-capala-yutAH-triMSat-ete trayaH-ca // DhDas-_4.7 //
   tattvajñānāpadīrṣyādernirvedaḥ svāvamānanam /	tattva-jQAna-apadIrzya-AdeH-nirvedaH sva-avamAnanam /
   tatra cintāśruniḥśvāsavaiavarṇyocchvāsadīnatāḥ // DhDaś_4.8 //	tatra cintA-aSru-niHSvAsa-vEavarNya-ucCvAsa-dIna-tAH // DhDas-_4.8 //
   ratyādyāyāsatṛṭkṣudbhirglānirniṣprāṇateha ca /	rati-Adi-AyAsa-tRz-kzudBiH-glAniH-nizprANatA-iha ca /
   vaivarṇyakampānutsāhakṣāmāṅgavacanakriyāḥ // DhDaś_4.9 //	vEvarNya-kampAn-utsAha-kzAma-aFga-vacana-kriyAH // DhDas-_4.9 //
   anarthapratibhā śaṅkā parakrauryāt svadurnayāt /	anarTa-pratiBA SaFkA para-krOryAt sva-durnayAt /
   kampaśoṣābhivīkṣādiratra varṇasvarānyatā // DhDaś_4.10 //	kampa-Soza-aBivIkzA-AdiH-atra varNa-svara-anyatA // DhDas-_4.10 //
   śramaḥ khedo'dhvaratyādeḥ svedo'smin mardanādayaḥ /	SramaH KedaH-aDvarati-AdeH svedaH-asmin mardana-AdayaH /
   santoṣo jñānaśaktyāderdhṛtiravyagrabhogakṛt // DhDaś_4.11 //	santozaH jQAna-Sakti-AdeH-DRtiH-avyagra-Boga-kRt // DhDaH-_4.11 //
   apratipattirjaḍatā syādiṣṭāniṣṭadarśanaśrutibhiḥ /	apratipattiH-jaxatA syAt-izwa-anizwa-darSana-SrutiBiH /
   animiṣanayananirīkṣaṇatūṣṇīmbhāvādayastatra // DhDaś_4.12 //	animiza-nayana-nirIkzaNa-tUzNImBA=-AdayaH-tatra // DhDaH-_4.12 //
   prasattirutsavādibhyo harṣo'śrusvedagadgadāḥ /	prasattiH-utsava-AdiByaH harzaH-aSru-sveda-gadgadAH /
   daurgatyādyairanaujasyaṃ dainyaṃ kārṣṇyābhṛjādimat // DhDaś_4.13 //	dOrgatya-AdyEH-anOjasyam dEnyam kArzNya-aBRja-Adimat // DhDaH-_4.13 //
   duṣṭe'parādhadaurmukhyakrauryaiścaṇḍatvamugratā /	duzwe-aparADa-dOrmuKya-krOryEH-caNxa-tvam-ugra-tA /
   tatra svedaśiraḥkampatarjanātāḍanādayaḥ // DhDaś_4.14 //	tatra sveda-SiraH-kampa-tarjanA-tAxana-AdayaH // DhDas-_4.14 //
   dhyānaṃ cintehitānāpteḥ śūnyatāśvāsatāpakṛt /	DyAnam cintehita-anApteH SUnyatA-SvAsa-tApa-kRt /
   garjitādermanaḥkṣobhastrāso'trotkampitādayaḥ // DhDaś_4.15 //	garjita-AdeH-manaH-kzoBaH-trAsaH-atra-utkampita-AdayaH // DhDas-_4.15 //
   parotkarṣākṣamāsūyā garvadaurjanyamanyujā /	para-utkarza-akzamA-asUyAH garva-dOrjanya-manyu-jA /
   doṣoktyavajñe srukuṭimanyukrodheṅgitāni ca // DhDaś_4.16 //	doza-ukti-avajQe srukuwi-manyu-kroDa-iFgitAni ca // DhDaH-_4.16 //
   adhikṣepāpamānāderamarṣo'bhiniviṣṭatā /	aDikzepa-apamAna-Aderam-arzaH-aBinivizwa-tA /
   tatra khedaśiraḥkampatarjanātāḍanādayaḥ // DhDaś_4.17 //	tatra Keda-SiraH-kampa-tarjanA-tAxana-AdayaH // DhDas-_4.17 //
   garvo'bhijanalāvaṇyabalaiśvaryādibhirmadaḥ /	garvaH-aBijana-lAvaNya-bala-ESvarya-AdiBiH-madaH /
   karmāṇyādharpaṇāvajñā savilāsāṅgavīkṣaṇam // DhDaś_4.18 //	karmANi-ADarpaNa-avajQA sa-vilAsa-aFga-vIkzaNam // DhDaH-_4.18 //
   sadṛśajñānacintādyaiḥ saṃskārāt smṛtiratra ca /	sadRSa-jQAna-cintA-AdyEH saMskArAt smRtiH-atra ca /
   jñātatvenārthabhāsinyāṃ bhrūsamunnayanādayaḥ /	jQAta-tvena-arTa-BAsinyAm BrU-samunnayana-AdayaH /
   maraṇaṃ suprasiddhatvādanarthatvāc ca nocyate // DhDaś_4.19 //	maraNam su-prasidDa-tvAt-anarTa-tvAt ca na-ucyate // DhDaH-_4.19 //
   harṣotkarṣo madaḥ pānāt skhaladaṅgavacogatiḥ /	harza-utkarzaH madaH pAnAt sKalat-aFga-vacaH-gatiH /
   nidrā hāso'tra ruditaṃ jyeṣṭhamadhyādhamādiṣu /	nidrA hAsaH-atra ruditam jyezWa-maDya-aDama-Adizu /
   suptaṃ nidrodbhavaṃ tatra śvāsocchāsakriyā param // DhDaś_4.20 //	suptam nidrA-udBavam tatra SvAsa-ucCAsa-kriyA param // DhDaH-_4.20 //
   manaḥsammīlanaṃ nidrā cintālasyaklamādibhiḥ /	manaH-sammIlanam nidrA cintA-Alasya-klama-AdiBiH /
   tatra jṛmbhāṅgabhaṅgākṣimīlanotsvapnatādayaḥ /	tatra jRmBA-aFga-BaFga-akzi-mIlana-utsvapna-tA-AdayaH /
   vivodhaḥ pariṇāmādestatra jṛmbhākṣimardane // DhDaś_4.21 //	vivoDaH pariNAma-AdeH-tatra jRmBA-akzi-mardane // DhDaH-_4.21 //
   durācārādibhirvrīḍā dhārṣṭyābhāvastamunnayet /	durAcAra-AdiBiH-vrIxA DArzwya-aBAvaH-tam-unnayet /
   sācīkṛtāṅgāvaraṇavaivarṇyādhomukhādibhiḥ // DhDaś_4.22 //	sAcIkRta-aFga-AvaraNa-vEvarNya-aDomuKa-AdiBiH // DhDaH-_4.22 //
   āveśo grahaduḥkhādyairapasmāro yathāvidhiḥ /	AveSaH graha-duHKa-AdyEH-apasmAraH yaTAviDiH /
   bhūpātakampaprakhedalālāphenodgamādayaḥ // DhDaś_4.23 //	BUpAta-kampa-praKeda-lAlA-Pena-udgama-AdayaH // DhDaH-_4.23 //
   moho vicittatā bhītiduḥkhāveśānucintanaiḥ /	mohaH vicitta-tA BIti-duHKa-AveSa-anucintanEH /
   tatrājñānabhramāghātaghūrṇanādarśanādayaḥ // DhDaś_4.24 //	tatra-ajQAna-Brama-AGAta-GUrNanA-darSana-AdayaH // DhDas-_4.24 //
   bhrānticchedopadeśābhyāṃ śāstrādestattvadhīrmatiḥ /	BrAnti=-Ceda-upadeSAByAm SAstra-AdeH-tattva-DIH-matiH /
   ālasyaṃ śramagarbhādejahyajṛmbhāsitādimat // DhDaś_4.25 //	Alasyam Srama-garBA-dejahi-ajRmBAsita-Adimat // DhDaH-_4.25 //
   āvegaḥ samgramo'sminnabhisarajanite śastranāgābhiyogo	AvegaH samgramaH-asmin=-aBisara-janite Sastra-nAga-aBiyogaH-
   vātāt pāṃsūpadigdhastvaritapadagatirvarṣaje piṇḍitāṅgaḥ /	vAtAt pAMsu-upadigDaH-tvarita-pada-gatiH-varza-je piNxita-aFgaH /
   utpātāt srastatāṅgeṣvahitahitakṛte śokaharṣānubhāvā	utpAtAt srasta-tA-aFgezu-ahita-hita-kRte Soka-harza-anuBAvA
   vahnerdhūmākulāsyaḥ karijamanubhayastammakampāpasārāḥ // DhDaś_4.26 //	vahneH-DUma-Akula-AsyaH karijam-anuBayaH-tammakampa-apasArAH // DhDas-_4.26 //
   tarko vicāraḥ sandehād bhrūśiroṅgulinartakaḥ /	tarkaH vicAraH sandehAt BrU-SiroFguli-nartakaH /
   lajjādyairvikriyāguptāvavahitthāṅgavikriyā /	lajjA-AdyEH-vikriyAguptO=-avahitTa-aFga-vikriyA /
   vyādhayaḥ sannipātādyāsteṣāmanyatra vistaraḥ // DhDaś_4.27 //	vyADayaH sannipAta-AdyAH-tezAm-anyatra vistaraH // DhDas-_4.27 //
   aprekṣākāritonmādaḥ sannipātagrahādibhiḥ /	aprekzA-kArita-unmAdaH sannipAta-graha-AdiBiH /
   assminnavasthā ruditagītahāsāsitādayaḥ // DhDaś_4.28 //	assmin=-avasTAH rudita-gIta-hAsa-asita-AdayaH // DhDas-_4.28 //
   prārabdhakāryāsiddhyāderviṣādaḥ sattvasaṅkṣayaḥ /	prArabDa-kArya-asidDi-AdeH-vizAdaH sattva-saFkzayaH /
   niḥśvāsocchvāsahṛttāpasahāyānveṣaṇādikṛt // DhDaś_4.29 //	niHSvAsa-ucCvAsa-hRttApa-sahAya-anvezaNa-Adi-kRt // DhDaH-_4.29 //
   kālākṣamatvamautmukyaṃ ramyecchāratisamgramaiḥ /	kAla-akzam-atvam-Otmukyam ramya-icCA-arati-samgramEH /
   tatrocchvāsatvaniḥśvāsahṛttāpasvedavibhramāḥ // DhDaś_4.30 //	tatra-ucCvAsa-tva-niHSvAsa-hRtta-apa-sveda-viBramAH // DhDas-_4.30 //
   mātsaryadveṣarāgādeścāpalaṃ tvanavasthitiḥ /	mAtsarya-dveza-rAga-AdeH-cApalam tu-anavasTitiH /
   tatra bhartsanapāruṣyasvacchandācaraṇādayaḥ // DhDaś_4.31 //	tatra Bartsana-pAruzya-svacCanda-AcaraNa-AdayaH // DhDaH-_4.31 //
   viruddhairaviruddhairvā bhāvairvicchidyate /	virudDEH-avirudDEH-vA BAvEH-vicCidyate /
   ātmabhāvaṃ nayatyanyān sa sthāyī lavaṇākaraḥ // DhDaś_4.32 //	Atma-BAvam nayati-anyAn sa sTAyI lavaNa-AkaraH // DhDas-_4.32 //
   ratyutsāhajgupsāḥ krodho hāsaḥ smayo bhayaṃ śokaḥ /	rati-utsAhajgupsAH kroDaH hAsaH smayaH Bayam SokaH /
   śamamapi kecit prāhuḥ puṣṭirnāṭyeṣu naitasya // DhDaś_4.33 //	Samam-api kecid prAhuH puzwiH-nAwyezu na-etasya // DhDaH-_4.33 //
   nirvedādiratādrūpyādasthāyī svadate katham /	nirveda-Adi-ratAdrUpyAt-asTAyI svadate kaTam /
   vairasyāyaiva tatpoṣastenāṣṭau sthāyino matāḥ // DhDaś_4.34 //	vErasyAya-eva tad-pozaH-tena-azwO sTAyinaH matAH // DhDas-_4.34 //
   vācyā prakaraṇādibhyo buddhisthā vā yathā kriyā /	vAcyA prakaraNa-AdiByaH budDi-sTAH vA yaTA kriyA /
   vākyārthaḥ kārakairyuktā sthāyī bhāvastathetaraiḥ // DhDaś_4.35 //	vAkya-arTaH kArakEH-yuktA sTAyI BAvaH-taTA-itarEH // DhDas-_4.35 //
   rasaḥ sa eva svādvyatvād rasikasyaiva vartanāt /	rasaH saH eva svAdvya-tvAt rasikasya-eva vartanAt /
   nānukāryasya vṛttatvāt kāvyasyātatparatvataḥ // DhDaś_4.36 //	na-anukAryasya vRtta-tvAt kAvyasya-atat-paratvataH // DhDas-_4.36 //
   draṣṭuḥ pratītirvrīḍerṣyārāgadveṣaprasaṅgataḥ /	drazwuH pratItiH-vrIxA-IrzyA-rAga-dveza-prasaFgataH /
   laukikasya svaramaṇīsaṃyuktasyeva darśanāt // DhDaś_4.37 //	lOkikasya sva-ramaNI-saMyuktasya-iva darSanAt // DhDaH-_4.37 //
   dhīrodāttādyavasthānāṃ rāmādiḥ pratipādakaḥ /	DIrodAtta-Adi-avasTAnAm rAma-AdiH pratipAdakaH /
